Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,410.0137814705146,416.2084088670045,423.5856696727097,431.8073165374926,450.47295495756146,485.40938535124224,532.8324087195272,590.8691065530277,658.7820621913095,736.5431794352785,824.5769033244537,923.6088148697546,1034.624794446362,1158.7321116474382,1297.253737152592,1451.6631717500236,1623.5414319048655,1814.647254799642,2026.9448859338065,2262.5102978631953,2523.5213135246227,2812.37843579983,3131.7809469471003,3484.4705158475763,3873.2070257460873,4300.851408133151,4770.839571249724,5286.5505980094495,5851.082774439909,6467.267143583887,7138.489703840285,7868.447010809947,8659.92681492024,9514.752548331617,10434.440477658256,11421.606764401042,12477.386775925932,13600.809808639604,14789.20884488659,16041.152390791529,17353.908366196996,18721.358089158897,20134.266124714915,21584.307420341167,23062.625257380318,24556.357871956694,26048.850977164664,27524.80630082051,28969.63291150696,30365.380866590414,31691.13654829225,32929.42686350033,34064.98838286732,35080.8858936809,35959.4617219591,36689.35703441502,37262.10560804355,37669.23521615153,37904.03986802375,37967.09115326768,37861.022096678396,37589.153361230114,37157.69221003422,36577.81001808825,35861.38019514104,35020.666015097726,34069.750726859726,33024.13302154264,31898.99473936948,30709.40919922749,29470.768843272654,28196.818001092535,26899.619500151184,25591.425513644837,24284.68788396106,22990.08226129486,21714.613044113918,20465.169615397484,19248.60180616654,18071.11288407248,16935.717681635684,15844.627673683613,14800.367912335842,13805.654040233703,12861.075270178482,11965.81915770181,11119.43164713773,10321.778869285165,9572.395152771183,8869.189891990807,8210.17102238608,7593.739373878917,7018.671681201013,6483.1627646518355,5984.6850178990335,5521.056359599517,5090.429187035472,4691.277454462119,4321.764533800799,3979.6789358510932,3663.0862151225124,3370.317389227636,3099.968938882118,2850.7336434204785,2620.908980719878,2408.9524000907413,2213.5077555183398,2033.399233081147,1867.6313509508368,1715.2663536709838,1575.1417058086315,1446.2314160328135,1327.624160698148,1218.5196790743612,1118.228773346295,1026.1725947716725,941.7173748760064,864.1668671475793,792.9303943196699,727.4778523279283,667.3397103103745,612.1070106073994,561.431368761765,515.009508886042,472.44798627838054,433.39684916806874,397.5518224520198,364.63881510393713,334.4139201743161,306.66341479044246,281.2037601563925,257.88160155303433,236.54493285607157,216.98829072088768,199.04991171404473,182.58518259314917,167.4646444669589,153.57399279538274,140.8140773894808,129.10090241146438,118.36562637469598,108.55456214368903,99.59178020555163,91.37355505868321,83.83130369774307,76.90405907002918,70.53838028941338,64.688352636341,59.315587557831236,54.38922266747692,49.88592174544439
B,590.9300007138409,598.5874225477675,605.9922138903672,613.3072262876465,633.3005104521535,673.5844365719206,729.1934720198847,797.5502381388229,877.4999096507274,968.774037279102,1071.6623716855115,1186.8179741854608,1315.1991366685434,1457.889803104184,1616.2129216394549,1791.6424153156452,1985.7461478816174,2200.2684045726764,2437.154637621754,2698.435718023108,2986.216113435798,3302.807527756341,3650.8064423728524,4032.7986843722897,4451.331800850242,4909.005602013211,5408.984912402021,5954.298383324997,6547.592069234289,7191.1476871615405,7887.770788488047,8640.511313220108,9451.376779960432,10321.275358014816,11250.739638963494,12241.370051124568,13293.19456852394,14404.05092479562,15570.035016461743,16788.520063490236,18055.609185343408,19364.144831345257,20703.99759601735,22066.13367595097,23441.210284926532,24816.312668792172,26175.18348716642,27503.252411304733,28787.011623527844,30010.20960956685,31154.241484510498,32204.149300391695,33147.37744811941,33970.17434192161,34658.46149523378,35204.0795419479,35601.560654681234,35845.5607419287,35932.39364767756,35864.6003174958,35646.399758417945,35282.59056752017,34780.32937923529,34150.59619977777,33404.83716855231,32554.790995527015,31613.520833017603,30594.783071581303,29512.00814595473,28378.565066888415,27208.01899912247,26012.04439558955,24800.8129362435,23584.764763531934,22374.617125450128,21179.41561374256,20004.832891554826,18856.562874444782,17740.312590318732,16661.248987090286,15621.73855213688,14623.48478723028,13668.49899673243,12758.990857635708,11895.320422907564,11076.642009149582,10302.443343447663,9572.509428942134,8886.348721184551,8242.054244993114,7637.81449251553,7072.170612132563,6544.001468873792,6051.679273729747,5592.941168864184,5165.831424652702,4768.692474543693,4400.153516781711,4058.569757748,3741.960736719673,3448.5920753753076,3176.9664619877412,2925.823651424088,2693.989348031462,2479.932285257956,2282.2615520604672,2099.7538283480308,1931.3480181434873,1776.145249583478,1633.2980785068326,1501.7519415046397,1380.5732221903909,1268.9325720010265,1166.101691048459,1071.4533281195731,984.4606302974793,904.5452353271677,831.0675369884356,763.4838499724151,701.3064187955634,644.1034177996582,591.4989511518007,543.1730528444153,498.8472725377271,458.15717208610687,420.7763181967455,386.42089329676696,354.8354743976222,325.7930330950892,299.09493556927333,274.5709425846066,252.07920948984875,231.4787067215549,212.57544689560592,195.21590414241726,179.26303684701074,164.59440554324317,151.10217291380627,138.69310379022662,127.28856515286567,116.82452613091993,107.25155800242052,98.4976590632647,90.46235670959402,83.07968938422967,76.29116010598085,70.0456475655638,64.29940612560131,59.01606582062319,54.166632357066,49.72948711327298
C,1239.9610326729273,1254.536388261096,1266.237548630911,1276.0856995059082,1309.3471835452042,1380.691179503503,1479.9856473628245,1601.6646831404223,1742.9024823984544,1902.5832656183068,2080.6559028893193,2277.7469830830255,2495.030773352173,2733.8686549613453,2996.0172711321025,3283.4439878907037,3598.203252400902,3942.5922759178484,4319.18571550139,4730.602282245679,5179.483759170216,5668.7410615140725,6201.668371948063,6781.425066580687,7410.989405761922,8093.335514881719,8832.25203221361,9631.203162783197,10492.946492159846,11419.579739973142,12413.964930550943,13479.24583723328,14616.961753483121,15826.970511127836,17108.610248029607,18462.770150422963,19888.135932031357,21380.36621959277,22932.777668471983,24540.66625498768,26197.74171576874,27893.522573610757,29613.756808683454,31346.03572779057,33077.85997917023,34792.402052504636,36468.83609674018,38088.984756596576,39636.4141213697,41091.553930209324,42432.21774253416,43641.18624573481,44704.47519649759,45606.8535318515,46332.926177274436,46874.66227714184,47227.31800131634,47386.401404762284,47349.48429558383,47121.39452949875,46708.8677104267,46119.36251115858,45363.035512818264,44454.15375906239,43407.46901258002,42238.10734665393,40962.581048062806,39597.74333457522,38160.05493380057,36665.981451251995,35132.18359679212,33572.58975549764,31999.28592003582,30424.80396662942,28862.131732448095,27322.101600697224,25811.258869139627,24336.29818553311,22903.976114313275,21520.410069080015,20188.27148727055,18909.455298562163,17686.26073838981,16521.255363918004,15414.74614218508,14365.580670894406,13373.029338010569,12436.737894691305,11556.022357991082,10728.471633085648,9951.797984311084,9224.150028513937,8544.094416988002,7909.579528593167,7317.775487362978,6766.230829443419,6252.861886371753,5775.938805726231,5333.395428187898,4922.750158842511,4541.824911350407,4188.734995532076,3861.8891173681745,3559.802675691464,3280.5475427719643,3022.367775569802,2783.7162769559536,2563.2482125141196,2359.821010540728,2172.3564585700196,1999.516253439321,1840.1116077638883,1693.08501603844,1557.5062792662416,1432.5725049591103,1317.6072927517407,1211.8694645244361,1114.538572915402,1024.9148439436324,942.3698888231004,866.3467039627545,796.3596709665227,731.9945566333104,672.8901731382703,618.5750898508657,568.6248796896161,522.6698441752,480.377079559767,441.4504768269418,405.63072169182067,372.6952946009728,342.45847073244124,314.73560372984747,289.2725267447901,265.86681056458394,244.33767631068264,224.52357655059612,206.28219529789072,189.49044801218886,174.04448159916933,159.8596744105675,146.87063624417434,134.98195308632026,124.06007768020753,114.01702656073766,104.77476348077202,96.26508186726086,88.42960482124313,81.2197851178469,74.59690520628904,68.53207720987506
D,5281.053083917456,5356.501899069088,5440.198118523967,5529.331080221972,5741.7276682916045,6146.679859568637,6694.565110256498,7358.880094280837,8126.992218386743,8994.952740424927,9964.27371698356,11040.000587238055,12230.089338610973,13543.623748841304,14991.873856558122,16587.401759866883,18343.48167230696,20274.87600428409,22398.021443026035,24729.93205140816,27288.096186374034,30091.689003667045,33162.20412774212,36520.84182567599,40188.26988717234,44185.45253443096,48538.03526657229,53270.302624247975,58403.08640281398,63953.95286876601,69944.8183283154,76399.4846745942,83332.91047898955,90750.74780971925,98655.56118880105,107058.78173247361,115958.8829110623,125336.37373739488,135157.58492728,145399.68100364596,156029.66378713222,166988.26949083962,178192.36538558666,189568.26350049378,201040.13362324657,212503.5637738971,223827.4487734295,234894.66564644157,245596.71354486,255802.99830508698,265363.99646322,274159.2348277434,282086.947738756,289035.4644754522,294890.1763866363,299583.0499509194,303066.9600365906,305295.66589537385,306235.9931003781,305903.9637675657,304329.15834218496,301546.2588982014,297609.1213840214,292602.5027558087,286615.71195192146,279741.2628747543,272083.0428496714,263751.3890846602,254854.88888341433,245502.43003491388,235805.2496889225,225860.0839669382,215752.09985296888,205569.04848729505,195401.33421613253,185326.1611258918,175393.4509436902,165653.3601379494,156156.2538615054,146948.14479926755,138051.82267132384,129484.45421616417,121265.70591700195,113416.8313286801,105943.45464838366,98840.82202036823,92106.84474141651,85741.82016087322,79743.55795445683,74097.5613104292,68789.95670415253,63809.77127444183,59148.805148444,54794.335924786115,50727.921605931166,46933.65806439794,43398.13689607036,40110.34683740904,37056.75978262601,34220.72203870598,31587.655914566967,29145.009254322562,26882.25543728205,24789.554884967063,22853.77737495712,21062.94636163058,19406.54380930255,17875.46361539574,16462.01161044037,15158.909597547277,13956.928994620175,12847.870481458589,11824.45961978295,10880.318461393616,10009.965548170887,9208.810021994184,8471.759238476463,7793.0975192808255,7167.964180398752,6592.004402240899,6061.369229637102,5572.715571836365,5123.206202506884,4710.375922237649,4330.932375021465,3981.9026723666007,3660.7056545389833,3365.022297811232,3092.7957144626725,2842.231152779322,2611.7959970538923,2400.219767585801,2206.2316608957112,2028.0370966251962,1864.212243346922,1713.4887878739037,1574.736265144914,1446.9620582244797,1329.311398302884,1221.0673646961645,1121.6508848461158,1030.6207343202846,947.3097827288116,870.7652572044836,800.3682116404755,735.5709488581875,675.8961528714334,620.9368888864373,570.3566033018367,523.8891237086814,481.33865889043096
E,553.1407120990468,562.2253936545716,574.0023874002326,587.5860731096677,616.3548148675611,668.3573114697749,737.9828421494457,822.3814855025715,920.3495245512623,1031.712520094466,1156.9493161817643,1296.9690178069186,1453.0460544647926,1626.6154396747363,1819.4042065599165,2033.3326726299108,2270.4510894866,2533.0355879976737,2823.6189821189528,3144.8624025644112,3499.5423399903175,3890.7068107999435,4321.768428820012,4796.167917332411,5317.342592811849,5888.830942760822,6514.87750229248,7199.614723037912,7946.773495366239,8759.70151978026,9642.411968835844,10599.262447471068,11633.405325305961,12746.717807822628,13940.64828282042,15217.979321201445,16579.59024403727,18023.682832026716,19546.308814551398,21145.053389357632,22815.87611093236,24550.56356040052,26337.073732980825,28164.560004118994,30021.594140508816,31891.947715371152,33754.86420283223,35591.39952272025,37383.62074905026,39109.67387226645,40744.2730578365,42266.46261829764,43658.07340490351,44899.04280326455,45968.55813612673,46853.410153677556,47543.857515635376,48030.20192025711,48304.88156962801,48368.892998026866,48225.65162162303,47879.4235759289,47337.87337693433,46614.40689611451,45723.288380706406,44679.310075427165,43499.407186266515,42202.100197230146,40805.60802072434,39328.11738617255,37788.25085277922,36202.5989420334,34585.80256173917,32952.81534914751,31318.91578340838,29697.26384382056,28096.582150755643,26525.507867599983,24992.665032725745,23505.92136129809,22069.25891299901,20685.681406983094,19358.58551964579,18091.60961545498,16885.76689611439,15740.317247587922,14654.955543863161,13629.767470334487,12664.415579304068,11756.500798910074,10903.725969156087,10104.2771924653,9356.802491868,8659.195081070897,8008.3981440259795,7401.779291395965,6837.122383297763,6312.611083034114,5826.0128136396115,5374.5823220612365,4955.920433214255,4567.96410809435,4208.986443777638,3877.375426311488,3570.9804420680885,3287.844872708617,3026.2522768380954,2784.7186256720124,2561.992303036324,2356.8907589304213,2167.915731769086,1993.7400950710628,1833.1874432408335,1685.2273946100518,1548.975591437551,1423.6927392881491,1308.558827365784,1202.6561226382328,1105.2062035243998,1015.5120295115083,932.9579411550983,857.009660079029,787.214288975478,723.178813479284,664.3787250833526,610.3427428096122,560.6621732751747,514.9699025714326,472.9403962640596,434.2896993930091,398.775436472515,366.19681149109283,336.3531238925489,308.96210311427376,283.800944504434,260.67119264441897,239.3959275280267,219.81976456146333,201.80885456334397,185.25088376469193,170.0550738089392,156.15218175192578,143.43817763934206,131.7652924762665,121.03765860365742,111.170423040529,102.08961286714123,93.73213522499982,86.04577731685661,78.98920640670907,72.53196981980051
F,1362.7762206710074,1379.5585231992518,1394.3716804500027,1407.9767172453394,1448.8779581704578,1533.8010924849416,1651.419475902962,1795.6499602456406,1963.544900743983,2154.1114093157607,2367.5792918625284,2604.964081154964,2867.927529023245,3158.3729402166873,3478.688364999977,3831.5438390407026,4219.758243514234,4646.478633917572,5115.225236569907,5629.635995926297,6193.442965154972,6810.755485698327,7486.203679977311,8224.339102187061,9029.580314163159,9906.4097305208,10860.367878064075,11896.683227459198,13019.802323805014,14233.435095073459,15542.279904840343,16951.460544192785,18464.12608453532,20081.34826794573,21803.523312396646,23633.041707954217,25569.416298760745,27608.17031449807,29741.685693003314,31964.78144380905,34270.03739852554,36644.224438431986,39068.84005195238,41527.520394166124,44003.470113616844,46473.61515685904,48909.02517351188,51283.944161401545,53574.61410097304,55752.48652653166,57784.92538921776,59645.83379303787,61313.367679469484,62763.597966535905,63972.04788335671,64924.615930485146,65611.87466992359,66024.63131217733,66156.60330047783,66012.31513086031,65599.22171236004,64925.851347163756,64004.8678202092,62855.54426879924,61498.03441776113,59953.100429798404,58243.85121306268,56394.56001810585,54429.01311939335,52370.99196352639,50244.6895882558,48070.90160421229,45867.816533316436,43654.17576786303,41449.28866621542,39269.50015032802,37125.128132131584,35026.57231858458,32984.280069095,31007.74976092823,29101.454990152477,27268.680195130866,25513.264768584784,23839.405765679774,22247.958449744954,20737.58668172038,19307.546544007808,17957.62237829544,16687.086815750772,15492.624513547671,14371.07721876999,13319.91717670132,12337.219998237493,11420.123847474204,10564.586822344978,9767.116866527314,9024.758660509371,8335.072818302202,7695.106061185567,7101.271095308256,6550.425230787902,6039.856658066809,5567.284447911961,5130.579585751731,4726.94167116643,4353.820985710152,4008.9753163043683,3690.4601468343467,3396.6286581491513,3125.925634148999,2876.4020841281385,2646.3286163795865,2434.1691638756197,2238.5750533340697,2058.38500521833,1892.6239187228218,1740.2173397650877,1599.969770076839,1470.86393888469,1351.9874510190693,1242.5327869142186,1141.7973026081916,1049.1832297428582,964.1703770846997,886.073064657751,814.274418143759,748.2381221178857,687.4817400342736,631.5767142260485,580.1483659053165,532.8758951631656,489.49238096966604,449.7318234535657,413.2246760533349,379.67775660181763,348.829524201428,320.44648988103665,294.32321659597,270.2823192280109,248.17446458539814,227.8783714028269,209.30081034144797,192.30411762223105,176.69446751171176,162.34499024778995,149.1432493731109,136.99106861431798,125.80453188205199,115.51398327095205,106.06402705965482,97.41352771079457
G,533.7737016839649,541.2146171739403,549.2232003107713,557.6516376179497,578.3881208528378,618.5136169625949,673.2441379454656,740.0970014347895,817.9656968120203,906.6055416011457,1006.318391048046,1117.7653453112637,1241.9108264733634,1379.8510166292176,1532.9222693657618,1702.6186961667686,1890.5404908799878,2098.472755334526,2328.4085178867977,2582.4509994122536,2862.804736320774,3171.898778614005,3512.457498756284,3887.250731528376,4299.070716217363,4750.814254400135,5245.943898731785,5787.875124110478,6379.759671348106,7024.498994582029,7725.545029585451,8486.66508908569,9310.759365357371,10199.807091076804,11155.504386484043,12180.640683831483,13276.58471589809,14442.673237910925,15676.605620229899,16977.309567451786,18342.459875890516,19766.41103129223,21240.455392481625,22756.76420280736,24306.964048175505,25878.645260859612,27455.56076918493,29022.69567912878,30565.60163610188,32066.271715706334,33503.52133853955,34859.369435034445,36117.792028354925,37260.788784450626,38269.33787830544,39130.529434281794,39834.16761487446,40369.83067984727,40728.70602190717,40909.400479116186,40912.63177443573,40739.79150992173,40395.313192201735,39889.10572267925,39231.977282816224,38435.25380664745,37512.43471347209,36479.0707687415,35350.5734669509,34142.35140786298,32870.358772253014,31549.41638890325,30192.765510677364,28813.854945848358,27426.351998949292,26042.290449799904,24670.074579755244,23317.910295927944,21993.96853848786,20705.757609504282,19457.374406570572,18252.00131069685,17093.14134021028,15984.485358020542,14927.358900241868,13921.468865164501,12966.884722936737,12064.005413865047,11212.82330663574,10411.423702832759,9657.95751708478,8950.99948082131,8289.528689490237,7671.812625372918,7095.221958080825,6557.502440119157,6056.77049552759,5591.498103621665,5159.759385664888,4759.139051372778,4387.531974715815,4043.1356228847076,3724.450056290424,3430.0731418745054,3158.0943022356887,2906.7751540499135,2674.5946986355675,2460.2421685643935,2262.617027661485,2080.677667778344,1913.084470421467,1758.6522559127263,1616.3325142151787,1485.2090659856578,1364.4980625747812,1253.547098236792,1151.6263851612357,1057.9130381180455,971.7111822068255,892.3986048181378,819.4267556335019,752.3207466253948,690.6793520572529,634.1552063215387,582.2785661745769,534.6277423304632,490.83789497099406,450.5816895765479,413.5692969260871,379.548393097156,348.3041594658814,319.65928270697424,293.4359648660609,269.38143613827646,247.29719331164674,227.00663492717922,208.3524799114754,191.19676757673088,175.4208576207353,160.92543012687247,147.63048556412056,135.47534478705123,124.367693055991,114.17571090260795,104.81450609394126,96.2089896387206,88.29375383293596,81.01307225983757,74.32089978993612,68.18087258100257,62.566308078068005
H,575.3419191602383,581.1923939113317,584.3275925828568,585.7481431537428,596.6033700574388,623.4085190010451,662.0484573595187,710.289411167282,767.0187621158217,831.8194622880467,904.7065654656061,985.970264750307,1076.1262454109578,1175.7702721024207,1285.6664153283944,1406.6743013555288,1539.7010442793844,1685.766439548052,1846.0194025033727,2021.6457510875696,2213.8600352920184,2424.0082880320824,2653.6178033342107,2904.1861023954125,3177.1620244272817,3474.018381679194,3796.5979195704303,4146.637880272951,4525.608941745957,4934.732271997097,5375.579661104198,5849.877191612233,6358.684920348689,6902.362223968354,7481.051624530148,8095.595125703651,8745.867129481436,9430.395223141442,10146.649730122244,10892.953113750733,11666.879478059182,12464.029000123428,13278.209796741752,14103.969741728699,14935.715818966488,15765.699325896978,16584.15832537803,17382.407716960523,18152.436388258862,18884.56332877527,19567.676220017383,20192.887837977294,20752.756830332168,21239.08960187099,21643.469436034007,21961.050796856158,22188.592279055694,22322.899131643768,22361.757222822016,22306.716029188283,22160.328636166592,21925.48596851855,21606.504194497473,21210.029079334956,20742.990385428056,20212.49570519508,19626.467644347238,18993.267646426473,18321.064991168292,17617.99733437127,16892.332889979003,16151.200482951754,15400.815410377238,14647.563881285041,13898.008342143323,13157.696178849046,12430.111797118943,11718.754664227667,11027.137555952999,10358.446007370423,9714.142870056223,9095.283961225672,8503.11777753807,7939.01788790037,7403.216351969116,6895.199896721419,6414.662065449391,5961.481045198527,5535.364058000634,5135.140633355896,4759.698887938676,4408.145261966958,4079.795250347723,3773.649175171816,3488.311951260423,3222.5784116008294,2975.427883526829,2746.0171092472983,2533.331659875524,2336.147276935994,2153.3919945544026,1984.1406686595817,1827.6149769835044,1683.0894045720077,1549.6154165120256,1426.3311211952343,1312.4785674428722,1207.4004108104918,1110.539913587958,1021.3719460723148,939.2417374435546,863.5694070410133,793.8398622014579,729.6007968428132,670.4626914641607,616.0984079924594,566.1484483481886,520.2146825093721,477.95863638792116,439.0766683501607,403.29996921682914,370.3945622630789,340.16130321847623,312.42688091680367,286.96409993481956,263.56926287347943,242.0652666808375,222.29274185580365,204.1100524481446,187.39329605848278,172.0363038382967,157.9506404899215,145.04833807577762,133.20813029235967,122.33397929979304,112.34017302867186,103.15014891887768,94.69649391957941,86.92094448923345,79.77438659558352,73.2168557156609,67.21753683578405,61.73139037449703,56.69541781858265,52.06829107483356,47.81336884768657,43.89864076452162,40.2967273756617,36.984880154372995,33.94498149686472,31.16354472228916
I,753.4239417574547,762.2236035961054,769.2094029131229,775.078546053459,795.2866843419752,838.9175022539945,899.9959598817129,975.3076837750154,1063.2766303751223,1163.3385994331713,1275.5548838847485,1400.3823917406535,1538.6023155161067,1691.1065689531415,1859.0294091741298,2043.6407540239597,2246.274765411561,2468.4279291582266,2711.786087530194,2978.0847597055695,3269.0970567852264,3586.792546654253,3933.413197054402,4311.158224052022,4722.156168043786,5168.582314078707,5653.174402584552,6178.532455207925,6746.88548038079,7360.120173055947,8020.678523301847,8731.265568279532,9493.660637919616,10308.668119714423,11176.831201919003,12099.777033542643,13077.778114914116,14109.199295733513,15190.914420832469,16321.094132711221,17496.84750795191,18712.39243688024,19959.314107054168,21230.249882138378,22517.56772622017,23810.317109174124,25094.427182035055,26357.23884547839,27586.873568572526,28768.68145255564,29885.586521492558,30923.54725631344,31870.400748764638,32712.547860579514,33435.75700701568,34031.00348920479,34491.556051224434,34810.59783237937,34982.697616825695,35008.3221859726,34889.56947748247,34629.086450597206,34231.87283841577,33706.977159440496,33064.07162945934,32313.217983544022,31466.03298765718,30535.34968299127,29533.835861827905,28474.17250837902,27369.402163504044,26231.241906179002,25070.073289908665,23896.51765612727,22721.444741458905,21554.27310593951,20401.315836023412,19268.821261639805,18163.03922456342,17089.692868836326,16051.733284631622,15051.407831027413,14091.24740874715,13173.95787987986,12300.3541727161,11469.979243234906,10682.686194253123,9938.607755723942,9237.566642134067,8577.883138293644,7957.945338319365,7376.488619427233,6832.580136255353,6324.732663465989,5850.760129752139,5408.781727066309,4997.216883060389,4614.773272053554,4259.850632547409,3930.4691411814183,3624.89914895314,3341.654516918003,3079.4926161893204,2837.2524223895184,2613.3755297756898,2406.443213914435,2215.211343521465,2038.6047145407554,1875.717050144543,1725.691296424267,1587.437188430065,1459.9886530160543,1342.4894956455955,1234.1899655731745,1134.446755844405,1042.722299229171,958.4191253368708,880.867152990363,809.4980767670553,743.8030506669294,683.3326881125396,627.6970619490132,576.5657044440519,529.651833444733,486.57184390299824,446.9808708932192,410.57988013007395,377.10027063360536,346.30387472922337,317.98295804770305,291.96021952518487,268.0887914031765,246.22178816209123,226.15236174311812,207.71726281095155,190.77108215988568,175.1841854791233,160.84271335277518,147.64858125986026,135.51947957430582,124.38887356494742,114.20600339552843,104.89459720135868,96.34634018877033,88.49097005625823,81.26628693572013,74.61805468969074,68.50000091134152,62.873816924480984,57.7091577835544,52.98364227364376
J,371.2797606403509,378.4905747203326,389.23570048977035,402.3742191791798,427.8962758293758,472.00034572133035,530.5768029877776,601.6986171986981,684.7356953198248,779.8729642695969,887.8246449524476,1009.6671048034154,1146.7991822840668,1300.7924547073533,1473.5006277095854,1666.9957163266758,1883.5313405492527,2125.6219739540757,2396.0764984442417,2697.9271555585537,3034.423942433082,3409.162471661898,3826.170852368104,4289.6896557839855,4804.1513977668465,5374.267021202959,6005.523611457429,6703.577293465622,7474.032382404217,8322.448597945971,9255.213313974844,10279.336132129876,11401.112721296993,12626.060245536662,13959.583656534132,15408.67560508091,16978.85568368314,18673.372788017063,20493.613159180444,22442.624976199673,24521.95340497392,26728.679774276265,29055.691211627858,31496.721433110037,34044.40495656562,36684.89825048983,39398.054838039236,42164.38627573018,44964.02244287982,47770.018008534214,50548.804045052275,53269.815736863864,55903.62628864566,58415.38604565152,60766.32308432509,62925.87126533684,64866.44551605144,66558.26395236466,67972.73110844166,69094.15969980085,69910.37368960335,70409.70535243303,70586.1693954072,70446.3503470665,69999.24208916695,69254.97537762209,68229.41605373523,66946.53338087261,65430.86105336918,63707.05425765304,61801.83674175314,59744.443409610976,57562.20498759495,55282.34604878761,52932.006750084096,50537.00505945382,48118.46284164248,45696.23772165051,43289.96328554222,40918.08569605175,38592.74146703273,36323.94446660584,34122.13902702459,31997.95402077896,29957.1523236536,28001.838980352506,26134.662393494298,24358.803920095772,22676.42347175116,21085.30858798134,19583.183253637384,18168.588398055977,16840.83937413661,15597.51615888908,14433.976293063432,13346.318941412062,12331.405334558249,11386.824403010978,10509.142506346347,9693.655003778485,8936.308242662231,8233.69886156504,7583.073790267017,6981.84670478056,6426.145715576313,5912.442380364907,5437.686370882309,4999.288988020335,4595.12316182665,4223.161883659327,3880.613496385349,3565.017220511694,3274.2163138817928,3006.347879899199,2759.842867527608,2533.4239533908762,2325.603100519814,2134.6375047400074,1959.0717184763794,1797.614099645011,1649.1368116531403,1512.6758233991618,1387.4309092726317,1272.7182605490516,1167.5457442411887,1071.0215952825472,982.382857608884,900.9496566047069,826.1251991032789,757.395773386615,694.3307491854831,636.5825776794057,583.7962192565801,535.430543239582,491.06839752360935,450.3413975163621,412.9238034088877,378.5325201755801,346.9270975741803,317.90973014577617,291.32525721480306,267.061162889042,244.92770904132368,224.6402619831202,206.02301466500649,188.9214587646626,173.20209744247845,158.75244534155283,145.48102858769474,133.31738478942214,122.21206303796234
