Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,166.76289273436782,169.7446228137369,173.9108666807415,178.86796435940056,188.84589802697602,206.41160837232576,229.77413194826823,258.0458746887803,290.8782931619183,328.26125067190907,370.4015964124915,417.6513984795999,470.48806089471236,529.4484175650455,595.1728361885554,668.374227756786,749.8174251192794,840.3523756329893,940.9273072929395,1052.5442422257895,1176.254304520599,1313.2150563594864,1464.7266680315154,1632.1102672479433,1816.6964609068314,2019.864221966113,2243.266819474816,2488.5306045620146,2757.1479311603644,3050.483263876133,3370.164889064804,3717.9688875671095,4095.2344518771424,4502.837153727774,4941.502331436246,5412.479392535038,5916.304132199787,6452.49817149066,7019.7653236807355,7617.397250609907,8244.05761302872,8896.78157294563,9571.105543954465,10263.000920913804,10968.183962606538,11680.452709041861,12391.789505044653,13094.834385897771,13782.577366041107,14446.411121274634,15076.32117088118,15663.960220894081,16202.05911143106,16682.56463146621,17097.094433472004,17440.300384379996,17708.231333649295,17896.94206848816,18003.340326028447,18027.814882680508,17971.7360117726,17836.7993574648,17626.072356710167,17344.97276821397,16999.240786227187,16594.793107632977,16138.398188291005,15637.47020241616,15099.261120429941,14530.964088212095,13939.913031057593,13332.629563048646,12714.82560563806,12092.302569987161,11470.956272606029,10855.826869329087,10250.19713827172,9657.298808277446,9080.345017935371,8522.24096362478,7984.377173857997,7467.765281460888,6973.567201621037,6503.036734559418,6056.421462500373,5633.3082699821925,5233.455722359785,4856.775592908416,4503.024548746812,4171.194259572636,3860.325180443527,3569.644666726006,3298.5589500092547,3046.201550285653,2811.3678411471874,2593.0173642223913,2390.2682703532373,2202.391228891825,2028.512031080867,1867.5819241226384,1718.6833433957127,1581.024206649563,1453.9379140045653,1336.8038819193216,1228.8170547595682,1129.2483843016794,1037.4567066091822,952.8858813545315,875.0647918191098,803.5498614825707,737.792930463808,677.3103937831581,621.6725750933238,570.5020322169457,523.4735571466033,480.313841641325,440.72418340862663,404.3771898030179,370.9950691714015,340.32845083937116,312.1563851112106,286.28634326989425,262.5542175770874,240.81709952353864,220.89021937775183,202.60939120257933,185.8318101501158,170.4287993362746,156.2858098407882,143.3024207072078,131.3923389429034,120.48339951906419,110.50414133945887,101.3583711324081,92.97035081538901,85.27234771278373,78.20370376388621,71.71083552290214,65.74723415894898,60.27346545605596,55.2571698131641,50.67306224412607,46.485578524861026,42.646306200066675,39.123170107616204,35.88764737824511,32.91472575929107,30.18290361469381,27.674189924995325,25.374104287339684,23.271676915473073
B,240.34605853766604,244.18929075951962,249.03524113401528,254.53823049929917,266.37842873585674,287.9254642514786,316.7321257386013,351.5183151554066,391.70399038596526,437.14845113675506,487.9893877311412,544.5468833907424,607.2934639895238,676.7654325447782,753.6171621018926,838.5773140206381,932.4200789067208,1036.0054262042556,1150.290896055836,1276.2745453585087,1414.9891895643968,1567.567787776461,1735.2807588659539,1919.3923113759188,2121.1470493480974,2341.8137915968687,2582.9350258715185,2845.985524560658,3132.2522774444687,3442.843176806401,3779.118900114738,4142.557137113423,4534.124695608974,4954.249665039641,5403.173816046397,5881.656114053556,6389.685436960986,6926.179205888741,7489.202447121233,8077.440034216927,8688.955895931836,9320.225011899736,9966.27475250125,10622.669381062686,11284.827890955701,11946.440380820297,12599.58059852482,13237.157923469982,13852.616712670666,14438.088465163377,14984.582294493031,15484.903830636982,15933.04962157174,16322.45728706399,16646.42707107139,16901.148153190134,17084.125371082093,17192.93200481434,17225.95054482049,17184.56957879221,17070.979683648493,16887.644779241138,16638.15439251921,16327.911587714967,15962.526286469481,15547.736282961529,15089.894235411539,14595.646274687475,14071.467467578075,13523.7946864086,12959.144594605013,12383.08886584949,11800.466254591043,11216.244511583136,10635.524532550284,10062.59164205394,9500.09897515986,8950.715445137825,8417.117109971976,7901.720941032905,7405.6033843224795,6929.527394207241,6474.405362614028,6041.246748595119,5630.180674939305,5240.765778567416,4872.722373294297,4525.914718546405,4200.0780351955755,3894.2787642220956,3607.631695075214,3339.4209036429284,3089.092657751214,2855.8554438578303,2638.6201489276145,2436.4448132725247,2248.5299336335243,2074.2130655938204,1912.7039955514238,1763.0563214087445,1624.4409679791156,1496.1416041006953,1377.5546426364647,1268.1180178173863,1167.1029803751715,1073.8480303535362,987.7710802683482,908.3669156798725,835.2071951927692,767.8883652668278,705.9105185796626,648.8312836994137,596.2575300502284,547.8438492333644,503.2925550271896,462.3533779580239,424.7522816969855,390.18718701300065,358.4012514926942,329.1639653760453,302.27115155638506,277.5449655803983,254.83389564812336,234.00602028804386,214.88950086978164,197.33061020574974,181.19562305281823,166.3641422041399,152.72909848915043,140.19675077356828,128.6866859593942,118.13181898491236,108.46553978046005,99.59674225680958,91.45330984242118,83.97083748488723,77.09175262196968,70.76531518160014,64.94761758187987,59.60158473107958,54.696974027639826,50.21037536017044,46.10794573575481,42.34267738161915,38.883625305925115,35.703334061908265,32.77779644631669,30.08645349941083,27.612194504963647,25.341356990260508,23.263726726099183
C,504.3232643176447,510.5548317295153,516.076071147574,521.127563282383,536.1780359973889,567.2928550362388,610.161194005249,662.4099784913188,722.8312556565653,790.9456566983717,866.7282141751795,950.4437791665674,1042.5910720667434,1143.749241997668,1254.665641917412,1376.177161783848,1509.1574108028562,1654.5826784673382,1813.546383127726,1987.1601495491473,2176.5449766525126,2382.935358721823,2607.7271708856583,2852.2592074166655,3117.7936873332997,3405.5909120448605,3717.254497966856,4054.251056548053,4417.74903009226,4808.638353702296,5228.131023385136,5677.557699076085,6157.571733684114,6668.116666385731,7208.916170618772,7780.348002984278,8381.859350543817,9011.619045880436,9666.806651095274,10345.436374683195,11044.852087909849,11760.62740138796,12486.74324010072,13217.958004135904,13948.99131835035,14672.734864880254,15380.391638903571,16064.282899430207,16717.4664810968,17331.676171076957,17897.5413729338,18407.790048288534,18856.51760019256,19237.293703161155,19543.619601486254,19772.10801842468,19920.760870432798,19987.68681294769,19971.866498581505,19875.34560621624,19700.975282575117,19451.911513402614,19132.449163394285,18748.618217441624,18306.652267953523,17812.941900570717,17274.461951683035,16698.329754981307,16091.495797876813,15460.91165142568,14813.610232576522,14155.469545366663,13491.588963764532,12827.255631124994,12167.948715502236,11518.236838232006,10880.878470269969,10258.695100838186,9654.534224032172,9070.973444430507,8509.136146695428,7969.818190674238,7453.986114022849,6962.719753419402,6496.145341339627,6053.773733927725,5635.294324084364,5240.5550008327655,4869.264746588233,4520.404419061786,4193.007140469132,3886.2901994137796,3599.6473255293513,3332.211740562659,3082.7888103473224,2850.343599677631,2633.9963526906754,2433.0165987355986,2246.5322529199016,2073.496344457548,1912.989938782524,1764.2178403407156,1626.508592589912,1499.2357962425642,1381.5862980563124,1272.8196199200304,1172.283331760225,1079.410276044219,993.7185677801469,914.753495699742,841.9508822932523,774.8096138152325,712.883903111262,655.7816141314253,603.1642619303171,554.7466696154777,510.216418125154,469.2277819001429,431.4858859426809,396.7259277912403,364.7131775205273,335.24297774148357,308.140743601286,283.2542412408351,260.3848577262684,239.35381135355524,220.00536828697986,202.1992889538098,185.81082804429633,170.7307345116741,156.86525157216062,144.13611670495766,132.46553168232208,121.74646749989634,111.8936849460953,102.83105774054975,94.49055433707399,86.81223792366563,79.74426642250579,73.2428924899589,67.272463516573,61.80542162707924,56.80158804217706,52.204754709990326,47.97788152344346,44.08811438221238,40.50673575392643,37.209164674168136,34.17495674647357,31.387804142332044,28.83553560118613
D,2147.9367981223872,2175.1626769843792,2200.510114504864,2224.829719164014,2293.8517449159453,2434.6291243740743,2629.1458368557883,2867.8692332107485,3146.3288972976547,3463.207151286118,3819.161374605949,4216.122222753716,4657.075182062402,5145.412440200835,5685.328284539009,6281.49597065887,6938.859389563232,7662.919501707431,8459.80720091374,9335.877849897695,10297.672071761162,11352.366625194574,12508.016453646325,13772.570052532843,15153.778744868541,16659.507226323985,18299.388736694254,20082.54408637527,22016.79083236495,24108.71383060272,26366.539802002055,28799.20671653561,31412.312448156506,34207.939857039106,37187.00532738505,40353.77051786927,43707.605215245545,47241.09820853654,50941.4873185723,54800.10014669687,58804.43150850196,62932.071230283436,67151.60926824722,71435.20762476261,75754.23051055052,80069.27744134703,84330.89664089953,88494.92898137824,92520.4880443107,96358.3820594678,99952.30767026411,103256.93874070955,106234.02476222746,108841.60528097652,111036.63531451959,112793.63694507028,114095.02042508389,114923.53942589139,115266.87720403292,115131.23826270556,114527.92506427104,113470.15701578741,111978.3610493872,110084.56518004109,107822.49496137134,105227.071640981,102337.47468297905,99195.26838406558,95841.34540368324,92316.70453498351,88663.21486161379,84917.2480514239,81110.81084128986,77276.88368636555,73449.44673864463,69657.49840004015,65919.7550317734,62255.02768891193,58682.206986856974,55218.54562901534,51872.55965932093,48650.653695404384,45560.17486213768,42609.06944504725,39799.40891099384,37129.36718451375,34598.12288089347,32205.75385569741,29951.405409482875,27829.601941318742,25835.104988921044,23963.76777286625,22212.48722263297,20576.463674785307,19048.75223995051,17623.36291867626,16295.24433186799,15060.246693465037,13913.276834643593,12848.070338042317,11859.143325761,10941.773199406487,10091.998640092732,9306.11720568267,8579.192833384412,7906.723577356055,7284.755384619688,6709.864602905104,6179.157980649805,5689.898960636947,5238.620153223973,4822.2410478474285,4438.028413972774,4083.585642730164,3756.85274691447,3456.1041511657036,3179.4264508032597,2924.673206977794,2690.0189582772555,2473.8281160395195,2274.6549643523786,2091.243660053546,1922.528232730662,1767.5823969543385,1625.169998019084,1494.1750125835806,1373.628388892343,1262.6594296703672,1160.4957921231373,1066.4634879366242,979.9868832772812,900.5886987920514,827.7916330067644,760.922244015057,699.4461899892736,642.8874552061709,590.8217250112325,542.8763858186688,498.7305251114165,458.1149314411395,420.81209442822853,386.65620476179987,355.3968647487171,326.67671220354276,300.2634972035484,275.95168980798667,253.5621549290629,232.94215233193418,213.96533663471067,196.5317573084547,180.56785867718045
E,224.97620667274737,228.61195689709973,233.25703009640193,238.59368100756393,250.05244683978478,270.9250427643586,298.99643137235637,333.16072008076736,372.97081983307794,418.3903976394384,469.6438226586211,527.1274513162369,591.384877717977,663.0256072691442,742.7787150834768,831.4539924043951,929.9170035698717,1039.1280935592965,1160.1558861870194,1294.1248151082202,1442.2096232110086,1605.6999610327066,1786.0402369862259,1984.6885116770834,2203.10318124397,2442.7863671268983,2705.5390472090644,2993.1162426065803,3307.1046260264848,3648.9299846804834,4020.299383233859,4423.066276510424,4858.57416654257,5327.626887156039,5830.845586389613,6369.415670030119,6943.714696052965,7552.98350327757,8195.549338255694,8870.386670292097,9575.778134597786,10308.23313363867,11062.633856192553,11834.366794426287,12618.569967906978,13408.34326782217,14194.864011567322,14970.079858664903,15726.371357832191,16454.459254254798,17143.612365149154,17784.946098818065,18370.769559955996,18892.596750865385,19341.63206949555,19712.320137630057,20000.58743977485,20202.384079512758,20314.572466337322,20337.652678287915,20273.150325677536,20122.948841256133,19890.36962706489,19581.16067688928,19201.424004656288,18757.476121439697,18256.530596411594,17706.45504568005,17114.97820212837,16489.806132609843,15838.819029944734,15169.018983998481,14486.573780443508,13797.77966407227,13109.066474657426,12425.959771403122,11752.101467430382,11091.097831555791,10446.54842368383,9821.731888910499,9218.28682920833,8637.440795083536,8080.587826339817,7549.2246765736345,7043.744103382755,6563.804066935749,6109.247329640686,5680.082514203587,5276.142201278047,4896.39656653255,4539.860947572955,4205.754832348694,3893.4929051877825,3602.1755615185566,3330.508256142785,3077.3756014062956,2841.837507055543,2623.122295228493,2420.2858526213404,2232.1721753311817,2057.770811197064,1896.2123638519265,1746.7684927226069,1608.7596733416153,1481.2833982959514,1363.5191335640477,1254.7468182665964,1154.3436162958672,1061.7839163157034,976.5714025606841,898.0795326477507,825.7536361832495,759.1018929358092,697.6933731949274,641.1580377709714,589.1863390037115,541.4356360699127,497.52351144816686,457.12558721994805,419.9513127653245,385.743964762957,354.2806471901,325.37229132260177,298.85476383092947,274.5098833513417,252.14187402031828,231.5809023156767,212.67436002850673,195.2868642631713,179.30025743730585,164.61360728181836,151.14320684088995,138.80548644659333,127.48350160161257,117.08496592345699,107.52764383042413,98.73818884152487,90.65214357648321,83.21393975573645,76.37689820043512,70.10322883244301,64.36403067433696,59.1161961301833,54.29875905992101,49.87207945818898,45.80105650903442,42.05507336296613,38.60799713695432,35.43817891443086,32.52845374528914,29.866140645883988
F,554.2752828786304,561.7035795866288,569.2362502740013,576.8246766758498,596.4085868655529,634.9379362798228,687.3912892141312,751.0383201201302,824.5262897766997,907.3655370913698,999.6078159472042,1101.6535846257857,1214.1879774026697,1338.0019979814194,1474.0968201560781,1623.5935444827578,1787.6735061415843,1967.6562433611984,2165.0177116805967,2381.279213578288,2617.997521173059,2876.886912856487,3159.878273270423,3468.8656326306495,3805.6833797195955,4172.190713261687,4570.689445388551,5003.3479196730705,5472.00435388731,5978.1863693105415,6523.835820652862,7111.071450139004,7741.185524037606,8414.601114535337,9131.46038917071,9892.740067190183,10698.216602160552,11546.002917576638,12432.903510348811,13356.744297919948,14314.420837130509,15300.411753740444,16307.00251886524,17327.377025516405,18354.54569594092,19378.911389893914,20388.44581885581,21372.4511705233,22321.069274803485,23222.456724753047,24063.077680388164,24832.124636413253,25520.56503157051,26118.505227159658,26615.829632293448,27006.738276204396,27287.374352461542,27453.98006203487,27504.007249228333,27439.39114423758,27263.2797299754,26979.26465830219,26592.6496982883,26111.47000496004,25544.121121255142,24899.24821566843,24186.46307936594,23415.846177119834,22597.272683708597,21740.61484694016,20855.912228788988,19951.781139482777,19035.753225342603,18115.59132708464,17199.295741442016,16293.632271954479,15402.860330075191,14531.276253658016,13683.197181462483,12862.546880263715,12071.164165104326,11310.395955743783,10581.820450874717,9887.165237913252,9226.772623718458,8600.077530898943,8006.761389100521,7446.725443654057,6919.659583069283,6424.1820627746665,5958.977090051161,5522.99069417786,5115.419480723787,4735.072251968727,4380.269712103969,4049.5607936079905,3741.7171152957717,3455.7243637496654,3190.355798886516,2944.1226454639936,2715.720525006058,2504.0237029246623,2308.0850885197606,2127.0207313032065,1959.669037503403,1804.9724510149445,1662.0008537058861,1529.947502460401,1408.1290291787768,1295.9001300702243,1192.452711510671,1097.06972834289,1009.1142311321543,928.0269102192458,853.3260957204556,784.6072546039884,721.4248251856885,663.2832793789913,609.7609147733644,560.4794735092,515.1041422778129,473.34355232144185,434.9497794332503,399.7070471183574,367.33115626685225,337.56644248538146,310.1906027477667,285.0036515465083,261.8279208927864,240.50806031645988,220.91103686606664,202.92613510882447,186.44304440115835,171.30863889873163,157.40141265394362,144.61296415932546,132.84651098691344,122.01688978824885,112.05055629437784,102.88558531585163,94.47167074272657,86.77012554456354,79.72388516947125,73.25265121989484,67.30383903921445,61.830843315415585,56.79296644093772,52.155418512674125,47.889317331972066,43.97168840463268,40.38546494091082
G,217.09915759197656,220.24842767652416,223.8146162785284,227.66746078113266,236.7220734406412,253.9014683801286,277.1854119650039,305.5225847743023,338.4420053045013,375.83669540921517,417.8307735389185,464.7004189089881,516.8499872574758,574.7395640188012,638.9303859827287,710.049959780623,788.7701065950063,875.8401328392848,972.0964250181283,1078.4212012181997,1195.738786955399,1325.0674548435047,1467.5490153257942,1624.3439604022308,1796.6218020933127,1985.5955804350124,2192.7152539585527,2419.4106689309892,2667.000723538883,2936.6990077112314,3229.9495608996804,3548.3282674027714,3893.0470377939346,4264.9312356059145,4664.687127767733,5093.478889210704,5551.874692263532,6039.5904769065755,6555.655449461378,7099.613389701557,7670.482712874588,8265.890320900347,8882.17991384394,9516.063981346138,10164.027471054707,10820.865689651064,11479.767787067349,12134.441360723114,12778.834140022107,13405.406988828156,14005.293631571798,14570.973859980213,15095.751838790982,15572.108923818825,15992.103474848944,16350.35731499816,16642.632092967586,16864.597869956157,17012.600836949707,17086.09289906973,17085.408815723917,17011.164853410413,16865.248351466835,16651.83195244906,16375.460945712563,16040.894408527698,15653.795687329108,15220.677246180345,14747.98968964475,14242.17998387123,13709.919583547797,13157.397409856258,12590.138877761725,12013.755729951718,11433.950611825587,10855.739903814267,10282.619479106539,9718.003311036311,9165.290723848197,8627.60388268101,8106.639870163884,7603.714614421815,7120.278379437298,6657.860304639732,6217.002799446127,5797.573898204509,5399.593564167952,5023.219749134477,4668.441429466378,4334.453391738637,4020.478522475233,3725.9168240110853,3450.337305233989,3193.013038222038,2952.844282971397,2728.887985350203,2520.3558195223895,2326.607890714207,2146.839067197641,1980.0410594716586,1825.334986102565,1681.9681353301114,1549.3139650675016,1426.7868850752293,1313.5901243578444,1208.9988467959868,1112.378778877004,1023.1832303115453,940.9530940335588,865.2539217034472,795.5275839116159,731.2803509790236,672.0753852054044,617.5309349781276,567.3203347721997,521.1716360265946,478.7808219482117,439.80534932195053,403.9555298197321,370.97231745119933,340.62730856371604,312.7227418423675,287.0914983099611,263.58887510611345,242.01940583604497,222.2076689112329,204.0018752883672,187.26582707637118,171.87891753640235,157.73613108185168,144.7480432783437,132.84082084373702,121.94045201769063,111.9418482455247,102.76247876800957,94.32891108690497,86.57573898310724,79.4455825166496,72.88908802670191,66.86492813157099,61.33980172870035,56.288433994670136,51.67243880252085,47.437055982609586,43.54699971455921,39.971056051186125,36.68203232674033,33.6567571569056,30.876080438799384,28.324873350972876,25.992028353410852
H,234.00599464338706,237.30503645832283,240.88611991083812,244.619343549115,253.5989426120175,270.74272374000446,293.77715522357994,321.4371699775414,353.0683909841808,388.4011851813455,427.40764195888744,470.2154737057199,517.0777957669709,568.2929879068108,624.2494934607972,685.3849718883407,752.1588624510495,825.0867204639721,904.7473957810241,991.734310346527,1086.6514964515427,1190.166640208371,1303.0342553214377,1425.9909299386218,1559.7461461179314,1705.0190733485879,1862.708578514502,2033.659318286929,2218.5830685883884,2418.0673454932844,2632.8703475271204,2863.824158637707,3111.434143298429,3375.862111294107,3657.163890830135,3955.736678266926,4271.505896965434,4603.740850690424,4951.196513576083,5313.045407164721,5688.097604433636,6074.205412190132,6468.352208877641,6867.8857774047665,7270.089619747828,7671.204614403094,8066.498550445819,8451.768134058977,8823.142575585505,9175.945928800811,9504.813065658882,9805.463070841468,10074.31957119494,10307.444904190352,10500.7964836808,10652.062789764883,10759.7089193282,10822.223106264215,10838.56815190881,10809.524042041865,10736.353569760751,10620.481704877666,10464.019667460614,10270.197861647486,10042.381327328632,9784.019677142025,9498.952543202,9191.224021682749,8864.78395352429,8523.566690959544,8171.568081813845,7812.226587794061,7448.538019716545,7083.581885052402,6720.523959365873,6362.037405208543,6009.795720168957,5665.481284003293,5330.783515783062,5007.2339675169305,4695.531610861812,4396.1794479706305,4109.774144494425,3836.9733373763156,3577.8835376708807,3332.251848481896,3099.9257222298083,2880.8421776687264,2674.856045249071,2481.398834340408,2299.9307172080016,2130.017514491606,1971.3262197896472,1823.3719706650197,1685.4793971808508,1557.0649799490723,1437.6343897357235,1326.7790705308391,1224.0080469396823,1128.7293156712449,1040.4244662445553,958.6460159757506,883.0174099780808,813.1876674879499,748.698351565605,689.1329175072098,634.1250125738314,583.3568671373557,536.5592946804851,493.4784116481026,453.797882066756,417.2375463884208,383.5485232331988,352.5122437533149,323.94045163311773,297.67500766933364,273.54219969573364,251.3497290683842,230.93409144985577,212.14859757497746,194.8633732508362,178.9653593567769,164.3583118444028,150.95846157494648,138.656073155559,127.35276366714164,116.96298513295059,107.40975034078215,98.62463284297327,90.5477669564013,83.12784776248401,76.32213110717976,70.08810656516414,64.36721365006333,59.11306536816744,54.28425921844674,49.843809885444685,45.75914923927791,42.00212633563617,38.549007415782405,35.3804759065528,32.48163242035655,29.83071865656297,27.39731411387896,25.161454049579017,23.105436999764883,21.21379782537772,19.473307712198082,17.872974170845985,16.40404103678083,15.059988470301384
I,306.43642155681647,311.13456959924457,316.7773785003679,322.9849673302476,336.6921291387393,361.87342806197444,395.33173314593023,435.2855312696586,480.807465905347,531.505666310654,587.3222120190494,648.4118541165789,715.0996090197173,787.7674217494946,866.9179006331623,953.1163392095062,1046.9511550408006,1149.083267866556,1260.2570473912097,1381.2292977616664,1512.7637549957171,1655.709056696007,1811.0309620485104,1979.6651515509975,2162.5046009835614,2360.4565842573384,2574.676889826499,2806.2505979127313,3056.0876543980153,3324.9372080725952,3613.795272810845,3923.7696494665147,4255.553410132558,4609.403596230299,4985.4644290459455,5384.360388855448,5806.123402596913,6249.9533701293185,6714.404448398838,7198.612235297742,7701.260733241903,8219.793033284848,8750.525596695066,9290.256276735361,9835.688342609245,10382.11827629879,10923.523199523836,11454.519727102484,11970.087640259975,12464.045616853586,12929.200729132035,13359.686828082991,13750.460978261215,14095.887287275216,14390.079793824189,14629.379511847332,14811.105538311273,14932.547477407312,14991.58675364441,14988.588508469073,14924.597948694563,14800.889643963488,14619.720655343215,14385.022741698149,14100.978705353882,13771.930418452492,13402.856202947765,12999.2047860861,12566.347944376044,12109.662764653858,11634.67036809967,11146.291119351077,10648.873837528661,10146.87534328217,9644.864082791326,9146.782092220301,8655.241636235733,8172.8370461020195,7702.166581670538,7245.6070552776455,6804.362352888621,6379.342908380417,5971.58196902918,5582.1895646147905,5211.479029445122,4859.23034529096,4525.356762404446,4209.891482909081,3912.7389791791766,3633.173320691984,3370.499145276676,3124.16857619481,2893.774691050793,2678.678769599168,2477.9499460417223,2290.786719784487,2116.514612058932,1954.5811240979215,1804.305287015555,1664.847787529467,1535.475002651896,1415.5560749488238,1304.5629125399835,1202.0022147451937,1107.214510355224,1019.5994625906495,938.6303268541272,863.8515691212586,794.87886594059,731.3488672692225,672.8007353078418,618.82603553454,569.0626277667221,523.1932235154826,480.9453859856062,442.09123452395517,406.37793363944024,373.5223865846637,343.2843406344014,315.4486031161051,289.82504140990176,266.24858294859354,244.57921521765877,224.69536282698465,206.43490013190436,189.65205650659252,174.22036409386232,160.0261909707348,146.96874114843922,134.96005457241262,123.92500712229968,113.80131061195351,104.52671738656682,96.01381802127497,88.19354834871629,81.00437234395204,74.39141449318177,68.30645979374304,62.707953754111664,57.56100239390157,52.8373722438649,48.51549034589181,44.56305719371056,40.93428050742828,37.59939900088049,34.5320611892345,31.709283833258713,29.111451939322556,26.722318759396572,24.529005791052327,22.522002777462404
J,151.00879457282613,153.9322110059022,158.27866872504347,163.58905471153656,173.91913793194368,191.78496834326918,215.51975026527347,244.34217051146553,277.9973200459863,316.5613015867064,360.32537787265403,409.7282031262477,465.33975322281,527.8006199338186,597.8664171170117,676.3819592450992,764.2663750487502,862.5453516804718,972.3649116072978,1094.962522366851,1231.664805776033,1383.9397153521243,1553.4321266119139,1741.8740478989819,1951.0762394874155,2182.9634558805524,2439.7780477859906,2723.831788917241,3037.415510177356,3382.8019430103946,3762.602436995881,4179.68325908916,4636.618144634622,5135.661802615542,5679.02222363624,6269.557500499627,6909.521144409491,7600.234752769903,8342.254996201897,9136.818031159622,9984.54211183362,10884.212945469706,11832.894278814032,12827.994811188088,13866.470747957743,14942.621450931314,16048.16154620493,17175.07656698983,18315.198495866658,19457.465758712413,20588.109123832393,21694.60132657619,22764.89598721562,23784.74209393797,24738.299485425912,25613.11123182306,26397.963196661534,27080.761570614322,27649.917977210043,28099.14606948318,28423.60747386799,28618.680534132312,28682.074014622885,28616.63019076607,28426.16834738348,28114.965973002865,27689.630475442664,27160.044543181008,26536.303988797987,25828.542320441513,25047.72071258269,24205.7766784245,23313.848109117407,22383.02547670807,21424.36073854474,20448.341588935473,19463.511202957,18477.89999964526,17499.44444779382,16535.591878605344,15591.212645372807,14670.314798775064,13777.082742852223,12915.776963182376,12088.679915993083,11296.59266927083,10540.539894137959,9821.764793767605,9141.098598846747,8497.605434976846,7890.327656632778,7318.640499026379,6782.234856197417,6280.10272376752,5810.342520113711,5371.354705593759,4961.849229972006,4580.831646202889,4226.897296181088,3898.132668071815,3592.8883498751916,3309.77814873028,3047.679090915103,2805.5367564804114,2581.781716897607,2374.984606062543,2183.9090764794614,2007.5051436766403,1844.9091862063983,1695.2986924488355,1557.5456848987035,1430.656261800058,1313.7589554482745,1206.1006275141638,1107.0464690439762,1016.0791505159726,932.5974908749654,855.8993843402014,785.3983555018293,720.5737365876532,660.9706674631321,606.20009563138,555.9387762331662,509.9103138483012,467.71550922930703,428.9959376406699,393.4448073692764,360.78862288909227,330.7871848611626,303.2335901336122,277.9542317416449,254.80879890754463,233.65415119987725,214.2732766414112,196.49887044401225,180.18311809599723,165.1952491953112,151.42153744952685,138.7653006758449,127.14690080109384,116.50374386173017,106.79028000383798,97.93035228623748,89.81019985530371,82.35939229892244,75.51600235488714,69.22649168840236,63.44571089208386,58.13689948595872,53.27168591746511,48.830087561452274
