Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,137.81487701597453,141.66492341308825,145.6103818766342,149.68208152286064,153.93823783823066,158.55795515042112,163.7048994521053,169.50993695109807,176.08924469429252,183.5547748897041,192.02125152532278,201.61070287701537,212.45497220088097,224.7002036656236,238.50620917542165,254.05010878164708,271.5286413772617,291.15833024348393,313.17733960056,337.84992426162387,365.46712099812123,396.3471149986804,430.8359649190415,469.31520027984584,512.202619722201,559.9521711562634,613.0467150500967,672.0106396088557,737.414625095347,809.8748421697169,890.0342623753422,978.5645267949956,1076.1851323482747,1183.664119003224,1301.7944302251483,1431.3536697076875,1573.1423974369854,1727.9911086465686,1896.7431584166925,2080.156592799979,2278.942036776663,2493.7904023145506,2725.361732171569,2974.1473182821683,3240.4801650771515,3524.6041489888003,3826.665337573477,4146.551452482262,4483.893129324679,4838.184042885368,5208.772659931046,5594.689918514311,5994.700359465418,6407.456366492162,6831.482660986876,7265.013106958869,7706.136444198168,8152.931208492861,8603.431451771205,9055.51560732163,9507.1042005491,9956.228451874973,10400.979842236016,10839.481389493252,11270.026634577582,11691.093374492006,12101.3011603558,12499.436511720007,12884.479297872735,13255.588354099473,13612.078713434703,13953.484456650902,14279.527275025996,14590.024373981243,14884.887959930573,15164.180382403261,15428.156997615664,15677.123862702225,15911.4253471157,16131.45964471575,16337.751504529857,16530.859481610936,16711.32894468827,16879.695780466252,17036.55784091562,17182.544130719085,17318.25142271493,17444.244839925726,17561.07889772656,17669.33681950173,17769.572788536752,17862.302621089388,17948.004375654018,18027.150523904,18100.21046294358,18167.618579697904,18229.775710008165,18287.049647580374,18339.79717029097,18388.3642241376,18433.069198788748,18474.204738405686,18512.037741642456,18546.815711045805,18578.782356699492,18608.16052689393,18635.15546029773,18659.955073924844,18682.72996313456,18703.638189131405,18722.833529117986,18740.454621800196,18756.62945327024,18771.47553909578,18785.0999243199,18797.59921637986,18809.06579494179,18819.58571521815,18829.236156264695,18838.088670676392,18846.20918458738,18853.657997670984,18860.489783139703,18866.754223649536,18872.500170978747,18877.770012447556,18882.60255608351,18887.033906993664,18891.09746736459,18894.823936462388,18898.241310632675,18901.374883300574,18904.24822943907,18906.883967194433,18909.301167268095,18911.517600480154,18913.54983019922,18915.41321234237,18917.121895375178,18918.688820311705,18920.125720714488,18921.443122694567,18922.651063610647,18923.75906309762,18924.775313610808,18925.707418714,18926.562395008936,18927.34667213531,18928.066092770758,18928.725912630864,18929.33080046918
B,198.62489763477438,204.17136379840647,209.84256944331057,215.67363511137467,221.73820387587904,228.27372340216868,235.4939960382068,243.56488664891302,252.62873425235088,262.818528321041,274.2673669315817,287.1144943200772,301.50842389183316,317.6128087980152,335.6051262127595,355.68098716645244,378.0568583900845,402.9696427013358,430.6783866327482,461.46911594254397,495.6554922663525,533.5782068309557,575.6051897734025,622.1396105620969,673.6206832834472,730.5223867933731,793.3438937803486,862.6230500303341,938.9412815496348,1022.922277729158,1115.2082981417846,1216.4619385640715,1327.386501989483,1448.7266144690225,1581.2402298041,1725.6531305313129,1882.7013684916565,2053.1383840894528,2237.716300804909,2437.0796663136075,2651.8089377797623,2882.450862883624,3129.5070705764856,3393.2927544108393,3673.9525873770053,3971.536716108775,4285.992618570493,4617.00857238828,4964.022649956976,5326.349131415587,5703.1713683187345,6093.3802739916555,6495.63262986098,6908.502716644916,7330.467911149408,7759.761530501345,8194.51353541323,8632.872133595425,9072.972233372311,9512.84149722926,9950.573237979952,10384.380990973868,10812.55521466434,11233.445299055913,11645.566137378008,12047.604635208862,12438.38692980803,12816.908043722175,13182.335163840715,13533.990756398258,13871.336086395813,14194.03955996067,14501.933302603558,14794.925733450367,15073.001118692671,15336.277586708653,15585.047259269826,15819.638950776109,16040.410346405579,16247.762917152992,16442.20855954896,16624.285313120035,16794.516176106292,16953.412503512598,17101.53872547048,17239.484618577826,17367.80924399585,17487.041637314476,17597.699714583916,17700.32554094396,17795.434017812433,17883.50473474992,17964.98251498059,18040.306238495323,18109.911244750103,18174.200837383767,18233.54759388779,18288.29382205249,18338.77138585968,18385.30201916506,18428.182218537684,18467.684843990824,18504.059118981997,18537.53638490709,18568.34435778849,18596.691635109484,18622.77054146827,18646.757387891546,18668.812471834503,18689.08446816843,18707.71810750291,18724.84416896524,18740.58348924774,18755.0471283044,18768.336369350873,18780.542749366356,18791.75386122962,18802.051513902737,18811.50922092181,18820.195175110013,18828.17224857755,18835.497992721666,18842.224638226675,18848.399699077414,18854.069995150494,18859.27632476622,18864.05606915056,18868.444013477892,18872.472346870974,18876.170662400924,18879.565957087256,18882.68263189787,18885.543462168214,18888.170438719564,18890.582167714874,18892.795984049295,18894.828040574463,18896.693308098525,18898.405575386125,18899.977449158403,18901.420354092996,18902.744532824057,18903.95982403073,18905.07565850386,18906.10011977339,18907.040707893306,18907.90434149492,18908.697357786856,18909.425512555103,18910.09398016292,18910.707353550926
C,416.77886194347144,428.3946774515154,440.1536442308394,452.0486553632187,464.15758076621245,476.83622803437436,490.4064809649879,505.1126474809791,521.15823283001,538.7272309776614,557.9981590151464,579.1528612987826,602.3806479756539,627.886759406127,655.8896261139745,686.6264673108474,720.3568789984342,757.3612205458174,797.9419619936192,842.4297734635007,891.1841904117606,944.5909096291858,1003.0611050717445,1067.0413271502123,1137.0144221146918,1213.4960448458844,1297.020577172637,1388.1582214360574,1487.5207047229333,1595.7591443624856,1713.531777511814,1841.5073141645444,1980.3894344731764,2130.917386577871,2293.831541669503,2469.82047124336,2659.573059668363,2863.7866330697852,3083.1458727261265,3318.2047321655264,3569.4399987387555,3837.28666708003,4122.125794465124,4424.135199877942,4743.312653537447,5079.560229949318,5432.676036072233,5802.195025606183,6187.405005892651,6587.47862099622,7001.466152416779,7428.136334137089,7866.04004046142,8313.659659883737,8769.394661796561,9231.42166070369,9697.832615853513,10166.748454003726,10636.289171884919,11104.489378617174,11569.45869970817,12029.429664952784,12482.719027900062,12927.716350739262,13362.975726440163,13787.219433852328,14199.310879636885,14598.288162815606,14983.356523777176,15353.870399408204,15709.31999948777,16049.405751472448,16373.987698083416,16682.997975700215,16976.440390580985,17254.45211920807,17517.34457893238,17765.463090916997,17999.180814967676,18218.91393749572,18425.188594836432,18618.556670297163,18799.55509548602,18968.709245894523,19126.597584661926,19273.82410457271,19410.962338566347,19538.556040247673,19657.138024583168,19767.26559616447,19869.469064095916,19964.243383075995,20052.048696724854,20133.339263422604,20208.566066709478,20278.147783172757,20342.47198261163,20401.895585622802,20456.764931651564,20507.416297458924,20554.160211506245,20597.282973266512,20637.04665322428,20673.694968252243,20707.46802414573,20738.586346421584,20767.253559881614,20793.656650005185,20817.965962949234,20840.339752963097,20860.93229169139,20879.883388706192,20897.322372807605,20913.36826158372,20928.12976141063,20941.70529939055,20954.189159794463,20965.66968180977,20976.22643348894,20985.93327920226,20994.858379637826,21003.06419180153,21010.607469017064,21017.539910929707,21023.912568602278,21029.77013412162,21035.15359609767,21040.10111097262,21044.648003020935,21048.826764349345,21052.66705489686,21056.19570243475,21059.437784912312,21062.41764872547,21065.155964600664,21067.671992595675,21069.983679921348,21072.107660941572,21074.05925717333,21075.852477286648,21077.500017104616,21079.013259603395,21080.40319727448,21081.680444293044,21082.854079165558,21083.93252639648,21084.923558898772,21085.834297993937,21086.671213411944,21087.440123291315,21088.146194179048
D,1775.0810196297184,1824.528032932134,1874.4527799123125,1924.7414521077312,1975.6602519062808,2028.6186382904525,2084.928050805518,2145.6232912952573,2211.6034654599544,2283.7125529232967,2362.791949766047,2449.71370824918,2545.3967592146437,2650.839090082463,2767.1094029090636,2895.3704811648295,3036.893693113428,3193.0562456661164,3365.3497567051754,3555.4066586767167,3765.0037549431954,3996.0574460129365,4250.623362649633,4530.9407335383285,4839.436832614822,5178.71771021607,5551.512734592964,5960.749432630044,6409.580147179802,6901.37412136878,7439.583755434734,8027.756414172757,8669.645197772292,9369.212088430391,10130.475354990172,10957.266717850709,11853.462903350002,12823.023482231927,13869.891709977612,14997.435216945572,16208.682763671133,17506.485429492845,18893.45680808148,20371.238627387418,21940.591364360942,23601.788266576626,25354.572266931416,27197.347163373877,29127.22921888766,31140.687816634716,33233.506255724926,35399.95055768477,37633.06615417945,39925.43682841161,42269.10892314586,44654.83921777688,47072.80520922267,49513.21644064173,51966.15594804469,54421.103204285755,56867.8168604658,59296.618894778265,61698.18018698328,64063.429518723984,66384.12032949601,68652.87449954158,70863.01931482209,73008.73973299855,75085.12667809211,77088.09964843992,79014.32070812891,80861.54727504468,82628.42739282276,84314.05489280552,85917.96709408211,87440.44077392633,88882.70970960656,90246.25010692635,91532.73272333354,92744.1001996633,93882.9281228571,94951.97089364019,95953.93196692973,96891.48193224969,97767.61096841985,98585.48006988755,99348.10303035208,100058.34840041304,100719.04352305522,101333.17482361017,101903.5942907563,102432.96810406088,102923.77965407251,103378.49303661264,103799.56924388165,104189.29564068999,104549.79126878055,104883.00942145949,105190.8524405174,105475.17594635933,105737.6944214573,105979.98884407332,106203.5066882593,106409.59572551567,106599.59028050574,106774.7172949552,106936.10951297084,107084.8069535879,107221.75691077007,107347.8403070672,107463.91988387877,107570.77800690831,107669.13814605026,107759.66584000656,107842.96869628642,107919.59657572363,107990.07754083993,108054.90828974369,108114.53598124087,108169.37554105399,108219.8096618221,108266.18880310074,108308.83119136204,108348.02662618515,108384.06280871872,108417.19194187706,108447.64513480624,108475.6374132075,108501.36771933723,108525.01891200684,108546.75776658292,108566.73497498714,108585.09158444777,108601.96553226198,108617.47380027767,108631.72530167364,108644.82145230549,108656.85617070587,108667.91587808421,108678.07949832702,108687.41845799761,108695.99668633635,108703.8763279596,108711.11788801604,108717.77280211973,108723.88876799574,108729.50976028759,108734.67603055686,108739.42410728356,108743.78679586586,108747.79317862018
E,185.92306565173524,191.11176167837937,196.40114423956595,201.81390530472922,207.41104736314887,213.40204491686524,219.97999694054886,227.29980652360027,235.4991090523186,244.71027536596634,255.06833805622608,266.7160894804125,279.8067957335917,294.5092025053712,311.00667426460956,329.5011579719045,350.2156584324637,373.39430477976805,399.30425489646393,428.2404005425239,460.52608254892743,496.51325626120195,536.5830422452275,581.1537214837667,630.6815714875319,685.6603653874862,746.6130935620351,814.1052245532184,888.7496691548004,971.2057577746549,1062.1581451483803,1162.3186470204944,1272.4463199615468,1393.3481350930806,1525.852969920962,1670.7682673147544,1828.920729257201,2001.1634550112099,2188.3577208301194,2391.269006541504,2610.6077904550402,2847.058656556139,3101.268667661439,3373.7042177966077,3664.6635398515973,3974.3494457241864,4302.860464866724,4650.026942796965,5015.414706455843,5398.449417306026,5798.408269987685,6214.246274388218,6644.650567430501,7088.196694196454,7543.332925846409,8008.217711025222,8480.867010189297,8959.2881608375,9441.445757003352,9925.152838179449,10408.266555998129,10888.755043425903,11364.648347865339,11834.011943189938,12295.082267816048,12746.279817783718,13186.16879082404,13613.483980026316,14027.154888912948,14426.291329788177,14810.161717381092,15178.259034982475,15530.267522613729,15865.97029554794,16185.248837240875,16488.13995204812,16774.880352014832,17045.761398271374,17301.116740519225,17541.338107122087,17766.950498224374,17978.517036801863,18176.59016502704,18361.715429377608,18534.505364781944,18695.60811633866,18845.640652799695,18985.18917439817,19114.83098792743,19235.176273600984,19346.80675651373,19450.265183793697,19546.05596021228,19634.679282692585,19716.63426720797,19792.383870445425,19862.356136549613,19926.944735381472,19986.532719240666,20041.4931493551,20092.170038199703,20138.8800530839,20181.912516151606,20221.536338957725,20258.017490599443,20291.599912817914,20322.508502353052,20350.949417173586,20377.11007647706,20401.16449165215,20423.282825818715,20443.618955167996,20462.31502030365,20479.501623829747,20495.297830350763,20509.811203413432,20523.144929871287,20535.395758133363,20546.650595545314,20556.99002991749,20566.48832952498,20575.213443107546,20583.22699986968,20590.585051638183,20597.34312021818,20603.54965986448,20609.249033477765,20614.48250346415,20619.28823173517,20623.701279707817,20627.75360830451,20631.474077953102,20634.88966243557,20638.026594737374,20640.90704971372,20643.551672305974,20645.979687069772,20648.20889817509,20650.255689406164,20652.135024161547,20653.86044545409,20655.44407591094,20656.897634971858,20658.232447433118,20659.458163361505,20660.583731039984,20661.61739962762,20662.566719159626,20663.438540547388,20664.239015578416,20664.973596916367
F,458.0598158883486,470.8323632352748,483.7949644053049,496.9617857993167,510.4386271650643,524.6533894321365,539.991080409065,556.7439309942988,575.1558222079993,595.4480815687881,617.8365833560762,642.5425311939335,669.797686876447,699.8547713579444,732.9844061255195,769.4822014404427,809.6732743530931,853.9106452283843,902.5773875593643,956.0943126760619,1014.9208686324815,1079.5527653027023,1150.521838795915,1228.408413294482,1313.8424772640603,1407.5005279366324,1510.0898107431012,1622.3692938524096,1745.1569056301673,1879.3272687924828,2025.7744907348288,2185.415894872467,2359.2224375654187,2548.2195466945223,2753.445520502233,2975.8858051707703,3216.536515964348,3476.414755219164,3756.531884464401,4057.7428259159174,4380.810793830277,4726.451211756603,5095.315712583066,5487.795285262862,5904.045509890409,6344.0933983282275,6807.826005714784,7294.774599640942,7804.129575950281,8334.913509932914,8885.97094466513,9455.74740607512,10042.370035626787,10643.851515468037,11258.07002951623,11882.56993595835,12514.751894267767,13152.035415042998,13791.81655049561,14431.342309963711,15067.943637456257,15699.109080848335,16322.427757622634,16935.56662811709,17536.41562348567,18123.097322281654,18693.924225529146,19247.440597829558,19782.428553456495,20297.885901045654,20793.004126495074,21267.26427323525,21720.377940771567,22152.167681306615,22562.5663912089,22951.6978158878,23319.9335368742,23667.702102329316,23995.477696715225,24303.80083674571,24593.372669434404,24864.936187590574,25119.21725468837,25356.92936480128,25578.865365989128,25785.85848603951,25978.701186882543,26158.14590098325,26324.931955351203,26479.836689061718,26623.600791544453,26756.915766152702,26880.424709301737,26994.764052756338,27100.567424475266,27198.423080510587,27288.87548998172,27372.425994016834,27449.56186754137,27520.757143294784,27586.449443951347,27647.042086535243,27702.904082420602,27754.37864875351,27801.80467028529,27845.493358311047,27885.731939371144,27922.784031311552,27956.889643283866,27988.27176081365,28017.14817273521,28043.716157225404,28068.15811676305,28090.641822242145,28111.3204129719,28130.332442715044,28147.81076100225,28163.879967054036,28178.652188800617,28192.231472912266,28204.713784799253,28216.187008611952,28226.730947240743,28236.41825837311,28245.320830987523,28253.501556462415,28261.018074948297,28267.92402409613,28274.269039057344,28280.09875248378,28285.454794527766,28290.374792842045,28294.89392772696,28299.046417738486,28302.86126786496,28306.365492844943,28309.584257177423,28312.540875121747,28315.256810697665,28317.75167768528,28320.04323962511,28322.14740981806,28324.079577792632,28325.85462675303,28327.48525737426,28328.983251278183,28330.35947449641,28331.623877470345,28332.785495051194,28333.852446499917,28334.831935487244
G,179.41337676042772,184.41797160577593,189.50678591579364,194.69246450356042,200.02409941598773,205.6845646959108,211.8405937397689,218.62259073857408,226.14328342134624,234.50851999955555,243.82445178667052,254.20212850848517,265.7599011757598,278.62790081074326,292.94713262295704,308.8728697443136,326.57676232336553,346.24671950581853,368.08849197574386,392.3294729757404,419.2192477358522,449.02971753332326,482.05574752835463,518.6214390289185,559.0807751451083,603.8174670985479,653.2390371754508,707.7872298195376,767.9419041435876,834.2203977168109,907.162482611866,987.3321010368209,1075.333089949722,1171.8097494037404,1277.4280817444128,1392.8437482738254,1518.733324759679,1655.8000739734423,1804.7604007100117,1966.2656753755953,2140.932810777797,2329.3668002224654,2532.151758555951,2749.74020091871,2982.461033582422,3230.574550543968,3494.2652391952543,3773.510672824995,4068.0808570799404,4377.632860573396,4701.703503229679,5039.565815188102,5390.267347138275,5752.752749640591,6125.850266404592,6508.133086779836,6898.036230848703,7293.967231616872,7694.277268208604,8097.163702975823,8500.837154588764,8903.581975402223,9303.713433389938,9699.548601175013,10089.534776206248,10472.26530585469,10846.441955985933,11210.891461848072,11564.604584996901,11906.72805953358,12236.54332997148,12553.512453929154,12857.264499326515,13147.522961342858,13424.10532933514,13686.96376168287,13936.222786201792,14172.064775421184,14394.716151432463,14604.459936682539,14801.700150959427,14986.880704372013,15160.441607953482,15322.822171731139,15474.525099692264,15616.089662409382,15748.031359330444,15870.84193465777,15985.00865007994,16091.05192615827,16189.469678433486,16280.727116634089,16365.257309248214,16443.491956209928,16515.864429213852,16582.777068282707,16644.602059993427,16701.68192118937,16754.351140680003,16802.93692234941,16847.741071267505,16889.041379760474,16927.091627410795,16962.12792427522,16994.384890186968,17024.077867492666,17051.405315409153,17076.549085534072,17099.674421845884,17120.93485728494,17140.481151386783,17158.449644973807,17174.96621696026,17190.14646334698,17204.09569722133,17216.90898254326,17228.677713007422,17239.487826990135,17249.41644944378,17258.535058374357,17266.909484841457,17274.599912958278,17281.660879891624,17288.141958765464,17294.09246316143,17299.55542973855,17304.570222047216,17309.173431640476,17313.398878074124,17317.277608906617,17320.837899699123,17324.105254015532,17327.103526137642,17329.856024792916,17332.382408509762,17334.700966656193,17336.828719728226,17338.781419349925,17340.573548273354,17342.21832037862,17343.727680673866,17345.11230529523,17346.382552387502,17347.54847169472,17348.61858748575,17349.600799613094,17350.502385992208,17351.330002601524,17352.089683482398,17352.786840739172,17353.426264539106
H,193.38539194177073,198.78254572425843,204.28504993760646,209.9152476308655,215.73173271562973,221.93922683534407,228.71769008219587,236.19984081458935,244.4929437494892,253.69158532046802,263.88622742216523,275.16859093975785,287.6342584364846,301.3878540640166,316.54141754521095,333.21779727275504,351.5528459226477,371.69441800578045,393.80326937303414,418.05661422052736,444.64849680955314,473.7883960919572,505.70117942267876,540.6326347121869,578.8499756614374,620.640274000972,666.303360287378,716.1612656506736,770.5614067337275,829.8755734289629,894.4834394913014,964.7744163770203,1041.1611891722603,1124.0800884505754,1213.9729498329868,1311.2584652865698,1416.3603979846491,1529.7122069651516,1651.7454536876164,1782.8242110023214,1923.2736211291342,2073.399411156431,2233.4809449734075,2403.6853678864195,2584.07866863686,2774.6726693620703,2975.4200730217626,3186.119803552969,3406.423236011705,3635.910136802266,3874.0841787984987,4120.275297064588,4373.674571277381,4633.4240920288,4898.608066729603,5168.163866128017,5440.965656768913,5715.896624517096,5991.829987632237,6267.5719795207515,6541.965631881869,6813.923861508192,7082.403477184186,7346.393834735266,7604.982482076319,7857.359677983721,8102.798500590375,8340.672457250108,8570.459536304805,8791.732509301817,9004.148701469356,9207.491063067848,9401.643305375144,9586.537234030253,9762.152477185291,9928.551309500603,10085.903537792457,10234.403206782416,10374.2634079532,10505.725365178623,10629.099725046795,10744.71456375466,10852.889624385185,10953.9384117631,11048.208402529151,11136.063942875544,11217.850975793106,11293.897403906798,11364.524889659471,11430.07108775803,11490.85724543136,11547.18289369115,11599.326188621386,11647.56207605469,11692.16388970628,11733.3850911322,11771.460023356023,11806.604198017429,11839.026866980186,11868.931297287028,11896.50495355658,11921.920457789773,11945.335589369837,11966.896948597663,11986.749115200744,12005.024681358536,12021.845943837105,12037.325067377784,12051.56408469723,12064.657708945388,12076.698320474035,12087.769483250757,12097.948426260535,12107.30614864261,12115.90741969051,12123.810798425537,12131.072384639025,12137.744688516555,12143.874920365202,12149.50687688603,12154.680941174101,12159.434082718482,12163.79985740223,12167.808799893353,12171.491068283452,12174.872988296487,12177.978680590486,12180.830588883577,12183.449479953988,12185.854443640063,12188.06289284024,12190.090563513075,12191.95215525636,12193.66191661056,12195.231909843813,12196.673370133454,12197.996763811136,12199.211788362849,12200.327372428921,12201.351675803993,12202.292089437062,12203.155235431439,12203.9474976069,12204.675024239892,12205.343070903511,12205.956512672896,12206.51984551697,12207.037186298427,12207.51227277374,12207.948463593153,12208.348738300698
I,253.24277516184264,260.31290467680384,267.5337825276122,274.94324449162036,282.62584820302436,290.86380853017386,299.90437272096347,309.9294376993447,321.0854229177095,333.50071639578266,347.29727182309097,362.5978617954222,379.52944978962313,398.2301620186515,418.84683923037454,441.5394598098259,466.4840469211903,493.871025486411,523.9061253682248,556.8151578539537,592.8444780078308,632.2585492810053,675.3396616043708,722.3954916756456,773.7597711749315,829.7897909330416,890.8565862331845,957.3580563537946,1029.7232199649848,1108.410853780174,1193.887748042978,1286.6320358131243,1387.1514044130035,1495.9835918637384,1613.6735725226706,1740.7379948846487,1877.7024957833912,2025.107875833447,2183.4957775832127,2353.3277311484803,2535.0220178739573,2728.9786187030404,2935.570567946472,3155.037664633072,3387.500526633606,3633.0181588194964,3891.5815707656625,4162.995020880697,4446.88254604266,4742.779376190923,5050.125744980696,5368.142622908586,5695.872321964689,6032.287573778399,6376.279826334572,6726.544478300122,7081.683585023669,7440.296622934568,7800.956354003789,8162.133229223713,8522.32939423943,8880.12357888005,9234.137549733308,9583.018377084834,9925.53098526975,10260.566986654747,10587.117655949492,10904.293604439647,11211.340946244394,11507.631360717454,11792.647379856578,12066.030486639684,12327.557184326524,12577.074038237623,12814.49732267465,13039.854045617089,13253.314483863542,13455.0884796387,13645.416701615613,13824.581977672617,13992.96371922532,14150.969583468865,14299.000172104494,14437.451756778128,14566.769771894305,14687.426317348963,14799.87144973298,14904.533416429502,15001.834547142611,15092.22186927474,15176.122174675877,15253.934128340321,15326.028731174261,15392.77433462541,15454.539052371007,15511.664712285423,15564.467685417341,15613.239280159887,15658.263261170334,15699.816413618417,15738.154215358663,15773.512027760997,15806.105095710716,15836.133685004996,15863.79612273219,15889.274545511964,15912.736970940545,15934.337522471982,15954.216429418153,15972.50400263182,15989.327843046207,16004.80348679467,16019.03770324521,16032.128641240375,16044.16582909723,16055.230202257511,16065.399466050341,16074.746609244514,16083.337252036214,16091.232257373664,16098.487730957098,16105.15502123877,16111.280719422957,16116.90722159083,16122.076584767876,16126.825582091646,16131.187890226447,16135.194834390686,16138.8753883569,16142.256174451726,16145.361463555922,16148.213175104349,16150.831809884017,16153.237360510415,16155.446743978822,16157.4757091096,16159.338920071354,16161.049956380935,16162.621312903433,16164.064399852194,16165.389542788795,16166.605982623063,16167.722674401328,16168.7482986677,16169.690242011206,16170.555353735932,16171.349947942737,16172.079803529256,16172.750164189918,16173.365738415914,16173.930699495228
J,124.79549923335946,128.2822473662331,131.85768911452223,135.5516820282396,139.41960139973318,143.62951258733366,148.33694987362685,153.6690353255208,159.74122902510354,166.6669832292685,174.5642239426013,183.5596123126696,193.791071267295,205.41204492205648,218.5913028905827,233.51674529746555,250.39773679382057,269.46590393952465,290.977743455872,315.2192416872889,342.5066883956422,373.1887077409071,407.6482830195984,446.310626125082,489.6440470101132,538.1620947285281,592.4200729116197,653.0278244134987,720.6548690349193,796.0306089442345,879.9338226666993,973.19560200748,1076.7191957372897,1191.480977406531,1318.5141519785368,1458.8760329570177,1613.6843811912572,1784.1256551762392,1971.4405431539897,2176.8357218088095,2401.5163781588853,2646.714271691416,2913.676524141162,3203.524089434708,3517.2526992509515,3855.797386986149,4220.021749392639,4610.528166005946,5027.638744298249,5471.511066499813,5942.124482424154,6439.0469399313715,6961.464298003088,7508.348106961297,8078.430409935398,8669.951929617942,9280.825904607527,9908.817644267336,10551.492169193947,11206.008127535872,11869.416990502377,12538.788716663337,13211.12716469493,13883.274407845973,14552.213595162675,15215.123908953145,15869.292626673192,16512.09998879259,17141.203115203065,17754.548335707594,18350.316005944514,18926.93071715809,19483.133098701448,20017.894105569187,20530.414259522862,21020.14101768854,21486.831934910428,21930.417850836497,22350.956698155962,22748.64899844293,23123.952161386063,23477.43960956197,23809.709346340096,24121.389338130368,24413.2571706396,24686.19325316002,24941.052241853933,25178.660779262147,25399.855699834305,25605.564293630057,25796.68396578318,25974.05612993944,26138.46736443793,26290.715209867285,26431.61619038542,26561.929648259058,26682.358168589373,26793.548609538477,26896.139880201015,26990.76561524144,27078.009976946556,27158.40977915107,27232.45448723756,27300.600381921395,27363.307802581403,27420.999581555243,27474.06452742715,27522.858014526115,27567.701982925864,27608.895958155674,27646.738039702966,27681.49742313148,27713.422036693388,27742.738930077598,27769.654274409753,27794.3534369992,27817.015903580053,27837.811900402136,27856.89350987633,27874.401357694856,27890.46461283131,27905.20098754064,27918.71673735917,27931.10818291585,27942.472552587686,27952.894552480746,27962.45135509645,27971.214543413822,27979.2501108895,27986.618461457747,27993.37440953045,27999.567179997095,28005.242920786208,28010.447454924546,28015.21910456841,28019.59343054659,28023.603450311126,28027.279637937256,28030.649924123463,28033.73969619146,28036.57179808616,28039.166530375744,28041.543859618276,28043.72346730051,28045.721771492907,28047.55395199385,28049.23395602783,28050.774498245435,28052.187060723314,28053.48189296426,28054.66801189714
