Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,0.6505320817246831,0.6603698858836085,0.6715055714953129,0.6845209263635195,0.7016281582300955,0.725873836916803,0.7593652259850756,0.8035540612468671,0.8595874643915492,0.9285039167518736,1.011321413554458,1.1091902843598858,1.2232832527982076,1.3550145435419307,1.5059765677897357,1.677888684211128,1.8727141074646063,2.0926929569514883,2.3403297091792465,2.618193090319206,2.9292963562109304,3.276991320791221,3.6648980386953003,4.096675398930254,4.576418525251729,5.108977474100477,5.699168047422528,6.35185409066592,7.07200274053115,7.8659023629191305,8.739794970185546,9.699173343817396,10.749513818503841,11.897024896597125,13.149541709348894,14.511930206064903,15.988324849987297,17.582982453729677,19.302790682132205,21.15080624888153,23.126205562919196,25.2280555339233,27.458255964352688,29.81534764929146,32.289434383471566,34.870150231384116,37.55102774507012,40.32216905894718,43.16207887280486,46.048776070056164,48.96704833998959,51.896615067113174,54.80642325910129,57.66641580562299,60.45676056928329,63.15032097288532,65.71464288976031,68.12123306268819,70.35191296398202,72.38256929952142,74.18993244225305,75.75717634555849,77.07277891851334,78.1263983326779,78.91088317364864,79.42439227200578,79.66502929753827,79.63871706869134,79.3552083404302,78.82602765487803,78.05760767127695,77.06293679444146,75.86404060752098,74.48298808701838,72.9350076633563,71.23184016139729,69.39623836478545,67.44994066012082,65.41238931705645,63.296841013543485,61.12094328764304,58.90261134239613,56.65927877156141,54.401706223982345,52.142151993619734,49.89283357148619,47.6652374718451,45.46863172232308,43.30973777050152,41.195999633424464,39.13324880486932,37.12724670137726,35.181323798673915,33.29896563590998,31.482547753715096,29.733585668445965,28.053546379898297,26.44263206046236,24.90155347330029,23.429812023761208,22.026324309879172,20.690006929687655,19.419543300132062,18.21357733379823,17.070770574447753,15.98892250871923,14.96581136740408,13.999215381291915,13.086946941588904,12.227162782814007,11.417789969633077,10.656507780290646,9.94099334693964,9.26892380173288,8.637978576576067,8.04629259374191,7.4919561194353905,6.972902050340438,6.487284625822703,6.0332580852483035,5.608976667983288,5.2125946133927314,4.842372358989187,4.497212317269949,4.1751210679189645,3.874746086886627,3.5948926800281864,3.334366153197996,3.091971812251849,2.8665149630446702,2.6568009114310396,2.4619137951645036,2.2809743021076554,2.1124707819804116,1.9557357874452668,1.8101318572985665,1.6750215303379763,1.5497673453595318,1.4337318411608275,1.3262775565385463,1.2267670302897993,1.134601041421599,1.0490460032127897,0.9695822222538817,0.8958828823795515,0.8276214277228713,0.7644713024158591,0.706105950590768,0.6521988163801673,0.6024233439165176,0.0
B,0.9375700222305633,0.9516776595918699,0.9674968222427616,0.9857852750869498,1.0095595456912099,1.0429529340308434,1.0887239754401554,1.148653551215479,1.2240444910720043,1.315995510946076,1.4255360101718297,1.5538343728516393,1.702042200916348,1.8716139693416598,2.064180782520672,2.281506321805778,2.525638521183181,2.7989150955263113,3.103943342905649,3.443397185131807,3.8204222648824833,4.238506840718524,4.701356303716496,5.21271057058032,5.776732375795612,6.398399108872384,7.0824677304600305,7.833675420794333,8.656843902175211,9.558153770288419,10.543609168331834,11.618093888640315,12.786452961018725,14.054226179976949,15.428678563220256,16.91342113532001,18.51112838774937,20.224588684638956,22.05940806851602,24.01680950215216,26.093622023126475,28.286586405383158,30.595650426790243,33.01712013786489,35.53847352465472,38.146779243396985,40.83365277771291,43.58724421007763,46.38444869293794,49.20187297874651,52.0235665954943,54.82877819019701,57.587255868835626,60.269997883183734,62.85825953395607,65.32687542838117,67.64689295546673,69.79320392130649,71.7500996307746,73.49747091245716,75.01685457304853,76.2953552540329,77.32433812117739,78.09749739034662,78.61172801766119,78.8679808637007,78.86656251320865,78.61564736871,78.12688344312134,77.41298044272617,76.48110680958119,75.34492378837724,74.02590480513898,72.54555722506613,70.91858311509533,69.15628015212597,67.28005062071657,65.31000923560065,63.26412903923141,61.15475407367307,58.99800947613134,56.81005241589246,54.606605153635385,52.39741968830005,50.19352926176939,48.00577440053571,45.84432545102789,43.717379879356336,41.63087760068175,39.59131944058249,37.60373949500138,35.67310965865648,33.8022493682171,31.994107461105617,30.250616796522138,28.57294321311908,26.962209532976953,25.418415937435622,23.942009593819254,22.532365321713453,21.188339645113643,19.90878908801368,18.69236306043879,17.53766986785193,16.443344392309058,15.407266381475878,14.427296847337265,13.501296801877382,12.62715933037384,11.803077046896957,11.027051903609884,10.296882796761713,9.610366948486163,8.96530158091666,8.359486040452126,7.791132498298696,7.2583987646002806,6.759327331796069,6.292171839816927,5.855185928592909,5.446623238055338,5.064737408134304,4.707879695754165,4.3749820650062965,4.064153587924277,3.7741137579675006,3.5037288208348625,3.2518650222246417,3.017388607835407,2.7991658233657035,2.5960629145137237,2.4072040004880244,2.231737074223474,2.068232463593652,1.916053608724412,1.7745919040065417,1.6432387438319633,1.5213855225925061,1.4084236346793637,1.303744474484316,1.2067394363992026,1.1168314720875594,1.0333150940883784,0.9556963877520175,0.8836613262079469,0.8168961185706408,0.7550869739538104,0.6979201014711763,0.6450817102370987,0.5962580093653534,0.0
C,1.9671869007014442,1.9950863981047706,2.0229716103417474,2.051166263461919,2.0839025756068064,2.127385801656086,2.1857876189764434,2.261780088829854,2.3572581257142073,2.473720452070829,2.612479569568583,2.7749420925531814,2.9623845824493897,3.176442204552778,3.4188598577879095,3.691468556267749,3.9964214238876687,4.33615196160965,4.7132716103310575,5.130448516602983,5.590864058749752,6.098028631867877,6.655492981016752,7.266826618980912,7.936022380452265,8.66799317919275,9.467095322027001,10.3375558086627,11.283677745026887,12.311248391823694,13.425681045737287,14.630839401117075,15.930527420039684,17.329315926283957,18.833613418200848,20.44556140313895,22.166223105498034,23.996841610451387,25.941761107500156,28.000540455507036,30.16817416161926,32.43963189547843,34.81348399550699,37.284518895409704,39.83891825302217,42.46255270642538,45.14619186292296,47.877203883330736,50.63255842145827,53.3890914294376,56.13105777030928,58.83825813269913,61.48222004547272,64.03576462385725,66.48129856584971,68.79560881182104,70.95261271631946,72.92975606450614,74.71286760860083,76.28435838478036,77.62850760986929,78.73447202416426,79.59501374798475,80.20565204275854,80.56494337304609,80.67483486446955,80.53643463172178,80.15849541545327,79.55297566898885,78.73263215665814,77.7047064515968,76.48274391910091,75.08747631377523,73.5396652890457,71.8535255922575,70.04001276793275,68.11963468737282,66.11160449755158,64.03311196607044,61.896025747454836,59.71575074443568,57.50770777411853,55.28690717407373,53.06271526411784,50.84568798152564,48.646206140148,46.47401940104311,44.33699992945483,42.24085032418756,40.191819847177236,38.1947749905841,36.25452248678413,34.37378878800366,32.555409615348395,30.801274055879418,29.11253910184467,27.490319690351548,25.934620149649582,24.445867610296535,23.023477005111207,21.66636230214249,20.373437469438887,19.14340201003687,17.974881379057475,16.866558405205016,15.816374518358426,14.822252342481276,13.882114501537306,12.993900170305876,12.155817394249596,11.365918208339165,10.622039535104372,9.922016068234326,9.263682501418112,8.644875485370138,8.06381407001769,7.518675219254335,7.007528902487962,6.528638730201225,6.080268312878058,5.660681261001005,5.26814118505393,4.901005833685706,4.558193917938584,4.237833614792363,3.9386425254861717,3.659479756963486,3.399204416168256,3.1566756100441427,2.9307524455350977,2.720294029584946,2.5244152526318517,2.3422578034057056,2.172389886843012,2.014163490355857,1.8669582719712183,1.7301538897158386,1.6031300016163743,1.4852662657004174,1.3759423399938027,1.2745378825241995,1.1804692630283524,1.0930240574020365,1.011694354397344,0.9361570097974605,0.8660891289010092,0.8011678170065786,0.7410701794136451,0.6854733214211528,0.6340543483279838,0.0
D,8.378141830021594,8.494469337240835,8.605524675679115,8.71107036087789,8.826765729170233,8.976713715728422,9.1780452067416,9.442733619896593,9.780127070921253,10.198277769098734,10.704643799383268,11.307067768894976,12.013017132144373,12.83124586874987,13.771038065634928,14.842063202142759,16.055244863733545,17.42276078430543,18.957660753885417,20.67325466868338,22.58510005300317,24.710300443182568,27.066543980216608,29.67164029672597,32.545425274864925,35.71171458848704,39.19273058607525,43.010445379593065,47.1872312556656,51.75205469324811,56.732737892108005,62.15133106786367,68.02968222619509,74.39303652657081,81.27478927953632,88.69059193920155,96.65160342079481,105.16963038001504,114.2699094374938,123.95681505879686,134.21427578852388,145.0258990487115,156.39050891223948,168.28973647293464,180.66476532250317,193.4549796663827,206.6207203413127,220.10604152470003,233.8037681750976,247.60541209340712,261.43585598320317,275.19770941626155,288.7501074318467,301.9576255343926,314.73054143075535,326.9495763168179,338.47735093541297,349.1936341729967,359.0207443381949,367.8602715193048,375.62039028805117,382.23496307121945,387.6581462664462,391.8538943844373,394.80052029139995,396.4962624068905,396.9374745021019,396.15677271522895,394.20305367906644,391.1314724537358,386.97288437777024,381.78845732427055,375.6776392666406,368.7400529387796,361.0447902997645,352.645504000644,343.64436096836334,334.1387707522565,324.21618819113485,313.9368566388712,303.38034269902005,292.6277190418707,281.75794687654917,270.8204340724476,259.87106041332237,248.96610710250346,238.15870445064076,227.49195813096733,216.99709792816992,206.7091143542936,196.65603822192412,186.8655752927105,177.35392846801457,168.1378050847543,159.22939679806242,150.6370041592784,142.36869170691176,134.42614743245892,126.81331339972826,119.52889813529886,112.56886647110599,105.92918323908178,99.6044870633439,93.58867031013531,87.87623093307542,82.45744131269007,77.32246285301497,72.46145695808147,67.86450386722794,63.52295045203509,59.42751905901443,55.567447516578795,51.93195333450031,48.51025402254902,45.29157597627702,42.26695653743794,39.42741376661213,36.76327135869007,34.2656782214921,31.925783262831523,29.73473539052881,27.683683512397046,25.764250931010114,23.970950111902912,22.294329487218175,20.727788597600714,19.265430130786047,17.901356774514223,16.629671216521025,15.444476144545552,14.339874246321745,13.31130300699812,12.354403567243159,11.461783756618944,10.630065074537658,9.856012030095185,9.136389132382416,8.467960890490655,7.847491813512243,7.271746410541052,6.737489190668153,6.241710617498354,5.780733703122804,5.351880979940089,4.953460917406076,4.58378336679326,4.241158179369815,3.9238952064073285,3.6303042991724075,3.358695308937056,0.0
E,0.8775901519591037,0.8905051432195814,0.9044163822231565,0.9198464735891501,0.9393485754762539,0.966529757389276,1.0039104798090426,1.0532426328919962,1.1159128122349573,1.193163647981659,1.2861965976528054,1.396340922777334,1.5249301962244177,1.6735531252439764,1.8439696843635471,2.038063340056542,2.257971440017138,2.5061123264060603,2.7851631974053053,3.097865513441641,3.447418699992897,3.8373640277904992,4.2714905623508415,4.753624602898692,5.288030268812913,5.879752038761401,6.533733292277064,7.254943461154929,8.04844956635744,8.920658009048179,9.877878019928666,10.925538498874687,12.069044252274814,13.31451575360353,14.669725686899236,16.139228069769636,17.726771507848156,19.436219463167053,21.274106076057993,23.24292653725099,25.341108794059434,27.566974086875636,29.921760782330885,32.40322038804007,35.00051610190716,37.70235363061195,40.50148303491071,43.38716578021584,46.33713756091662,49.32869436931388,52.34601840042867,55.368259317632024,58.36411806527974,61.3033377626287,64.16580385087481,66.92431671473311,69.5467129730883,72.00472388999125,74.28011638058105,76.34909290077057,78.18883993235978,79.78276673173158,81.11938680032429,82.18863090622776,82.98359357327328,83.50247107639805,83.7433694491404,83.71224554639406,83.41882120192582,82.87455119782071,82.08581776553045,81.06559829522024,79.83583593473979,78.41851675586446,76.8289062732328,75.07883474949386,73.1911315248706,71.18768690856149,69.08813172559223,66.90590330530324,64.65890358070286,62.36542081351983,60.043261266144,57.70348854900611,55.358674279361274,53.021491132329025,50.70389195917989,48.41555492007046,46.16348744818804,43.95554526401643,41.79799355003704,39.69702437977776,37.65625607970108,35.679439039164876,33.76927854413702,31.927599687761315,30.15617532483644,28.455381443798267,26.82610940322686,25.268052921267905,23.780292137764118,22.361907192558185,21.011698254803875,19.728339087186725,18.510601381559656,17.356324488044056,16.263323738534286,15.229414464924877,14.252410787352554,13.330435134122762,12.461435976725957,11.643050706382693,10.872912873024715,10.148656026583094,9.467915815532855,8.828752635494924,8.229211294652112,7.667174149070569,7.140719752506243,6.647926658715258,6.186873421454548,5.755638594479822,5.352407090099894,4.976011248762236,4.624391211243467,4.296123763211499,3.9899432188249033,3.7045838922424834,3.4387800976225584,3.1912661491240515,2.960776360905757,2.746336129725702,2.547013345706561,2.3612140630609733,2.1882210195320724,2.0273481696588496,1.8779094679809183,1.7392188690375656,1.6105903273677344,1.4913377975108852,1.3807752340063213,1.278260958194851,1.183009816821451,1.0944580103044288,1.0122500983037062,0.9360309268741723,0.865445342070015,0.8001381899461372,0.7397543165568541,0.6839385679567505,0.0
F,2.1620684984099188,2.193185556804493,2.225243548306083,2.258920883749898,2.299385033463782,2.354035846276532,2.4277868042863124,2.5237340546432216,2.6440417008472576,2.7904138703204024,2.964349730300555,3.167494745186679,3.4013646204527284,3.667939429158618,3.969376308615103,4.307971086751663,4.686439567093363,5.107876977832184,5.575671465240816,6.093295020637318,6.66488772273375,7.295033959386421,7.988492828369503,8.750060222582325,9.585106290128188,10.500151853120048,11.501223895639693,12.594262633055415,13.78532198319058,15.082354368306788,16.4929614876305,18.023049584456487,19.678465177360096,21.466048537003793,23.394977410990492,25.46933151721252,27.69190844613486,30.06570939109785,32.5976150651121,35.28856048470519,38.13369590023314,41.12809489211789,44.271235587684245,47.557743541839635,50.97085311754911,54.4933103438216,58.11390364313284,61.81687195508648,65.57210876906936,69.34917499577193,73.1271830731801,76.8790477610579,80.56563835828292,84.14941124427992,87.60578151096878,90.90198242851687,94.00040972452473,96.86830652455757,99.48481111456171,101.82347139271403,103.85986898290214,105.57669452784417,106.96214102814292,108.00739064216145,108.70770379952283,109.06367182591178,109.0751525307939,108.75223437932637,108.1095254863018,107.16316688968746,105.92223134004779,104.40430095845666,102.6373807529603,100.6495219713466,98.46004575137351,96.08388413192968,93.54936740139948,90.88331337038956,88.10974876223608,85.24520767744168,82.31140607272552,79.33030146515124,76.3232712567854,73.30364277533663,70.28648715300385,67.28682027620543,64.31877976024468,61.39380216424917,58.52016904286901,55.70706920477939,52.96175970301678,50.29141098314764,47.70015619722641,45.19228059035209,42.77077907971871,40.4375970174264,38.194618054074425,36.042080879407244,33.980833470729095,32.01028927665285,30.129134269131487,28.336054420116966,26.629408302808976,25.007412345819738,23.468395229209882,22.009589719522772,20.62820040721992,19.321431882762784,18.086494203021907,16.920967525599416,15.822226298961942,14.787296081397018,13.813198281743968,12.896954308842297,12.03558819355969,11.226646323960106,10.467640282022309,9.755908027459869,9.089039435334541,8.464624380708207,7.88025273864342,7.333514384201065,6.822130283516606,6.344611606996196,5.898370380977293,5.481621026590499,5.092773515268864,4.730237818447805,4.392423907559875,4.077741754040081,3.784601329321643,3.5117726345436067,3.2580723193552505,3.0215036921483476,2.8011623265718093,2.5961825466933983,2.4056986765801214,2.2288450402996998,2.0647559619190963,1.9125657655059316,1.7714087751270198,1.6404747288651331,1.518773728166206,1.4055940779753815,1.3004851666985677,1.2029967412437534,1.112678548517748,1.0290803354285687,0.9517518488835062,0.8802428357899408,0.0
G,0.8468507495341666,0.8591565825463092,0.8720861637875057,0.8860101751426394,0.9031484555796498,0.9266625670834794,0.9587126992264817,1.0007393237678104,1.0538282323388202,1.118909158433827,1.196854872883134,1.2886322680513083,1.3951900147641492,1.517693736576494,1.657435408111839,1.8158014508705096,1.99438791322868,2.195010391392145,2.419691427532218,2.670506022566024,2.9498924663936448,3.2605569885139123,3.605415833062383,3.987416427017961,4.4098563515965665,4.876639292015513,5.39163501742009,5.958750166246898,6.581975498042359,7.266362757875989,8.016928071756706,8.838100794450588,9.734298345160527,10.710541699096227,11.77314713862454,12.926124643106194,14.172925095045139,15.517115206219467,16.964373550833695,18.517402123721297,20.175924873865117,21.939590062281173,23.8103028379607,25.787344575026008,27.863459962106923,30.031027403364323,32.28542461189081,34.619299400823465,37.01615067566467,39.459057793233725,41.93621570408148,44.431709580553054,46.92081852504172,49.37949563332455,51.79154485263259,54.13469683866351,56.38189869681417,58.50914013956919,60.500669218136395,62.33539070950104,63.992367595676065,65.45597232294887,66.7152042419709,67.75924185123444,68.57960936136622,69.17264446117704,69.53511099623769,69.66964652606843,69.58199294100537,69.27983387713977,68.76742135019822,68.05407356794211,67.15698510778687,66.09339151950377,64.8755008223023,63.512853669273774,62.02419951797685,60.427912670709894,58.74053104064783,56.97330989206752,55.14157108804256,53.26128303554935,51.34799991552368,49.411364494900205,47.462394474425636,45.512485388365874,43.57243549436425,41.65100630377418,39.75450727460546,37.89019445995897,36.06399219990475,34.28175819835651,32.54696504103879,30.863191385890556,29.233202069854862,27.658979326196842,26.142456450628607,24.684229501465666,23.28535740669768,21.94587085841698,20.665239655968126,19.44293359869491,18.27813857331182,17.169862182437704,16.117260346342388,15.118608830823378,14.172160000407192,13.27616621962075,12.428849295583012,11.628677795556744,10.874002968657528,10.162840192873178,9.493199952215448,8.863092730694971,8.270530632575605,7.713868338292533,7.191481783353874,6.701580005592057,6.242512866651254,5.81263022817595,5.410281951810197,5.033817899197784,4.681678768189108,4.352870161403247,4.045639184314503,3.75875348902131,3.4911133396353757,3.2416190002666094,3.009170735026237,2.7926688080252178,2.59101348337433,2.403361381706769,2.2289193243940426,2.066303232431815,1.9148858714546915,1.7740672225118097,1.6432472666505809,1.5218259849193616,1.4092033583664356,1.3047793680404192,1.2079539949882288,1.1181734953274178,1.0347596524457365,0.9572138918501514,0.8852248869961474,0.8184815793885154,0.7566729105307453,0.699487821927461,0.6466152550821074,0.5977441514987547,0.0
H,0.9128267529394833,0.9264202792443808,0.9413673788697547,0.9582628090628522,0.9797594636190269,1.0094776840643356,1.0497048387905077,1.101761102081456,1.1664691597989616,1.244407018923705,1.336045915504725,1.441939601626164,1.5625749786744525,1.698690485590623,1.8511182341022645,2.020766854509579,2.2087633400642055,2.4164204541121372,2.645207019751257,2.8966349775312326,3.172537851723467,3.4749591819240453,3.806033049728344,4.16791206804582,4.563016669090951,4.994309842122251,5.464520550318856,5.976335058153008,6.5324934493812945,7.1366311808100455,7.792220679857236,8.501938830140865,9.268434720501107,10.094837600942768,10.985381765478188,11.941930867094378,12.965756744964349,14.058237957355276,15.222602264309137,16.459318373428058,17.766184612334346,19.140970198894642,20.583544216785416,22.091533404498346,23.657282210507965,25.27291249118098,26.9333969795154,28.63160612511171,30.35371003160089,32.08572273584604,33.81814057122493,35.5385649466962,37.228906094368085,38.871811348829794,40.456029708796166,41.966428269827425,43.3855212301767,44.69810525547152,45.89461581201269,46.96275135301834,47.89110573369331,48.67165069322262,49.29898498604849,49.76898741015129,50.079431834114544,50.23064316702953,50.22261996957825,50.060074119373226,49.749833485549786,49.299461632342556,48.713235354124,47.9993566171391,47.17090656338194,46.24098811024521,45.21861300942389,44.110724473006215,42.9305159791871,41.69046685263992,40.40174350453684,39.07200304675714,37.71131509470548,36.329843358781474,34.93747986661698,33.54035655446271,32.14542242140383,30.75958045005571,29.389320600008688,28.039877935225775,26.715031596872443,25.41897021886825,24.154976663079214,22.92629383617919,21.73476885323182,20.582325288687418,19.47027835596668,18.399456968431938,17.370661930068042,16.38394964166138,15.439660205315263,14.537467266002215,13.676710937524037,12.856731333682099,12.076724919032117,11.335837599036369,10.633255456611355,9.967669672587606,9.337758854578425,8.74220161019732,8.179686569118063,7.649081180042283,7.149147833562422,6.678501922696102,6.2357572886189265,5.819527772506237,5.42842848854473,5.061325126063754,4.717058972540298,4.394394665710052,4.092221241804261,3.8094277370550187,3.54490318769376,3.2975366299523228,3.0662783357000127,2.8504453885144097,2.6488401326080924,2.460643612989117,2.285128561542334,2.121567710152438,1.9692337907041344,1.8273995350821088,1.6953376751711284,1.5724860868275299,1.4583011144046993,1.3518674811729003,1.252774207418665,1.1606281488335186,1.0750361611086128,0.995605099935906,0.921941821006449,0.853653180012052,0.7903460326440044,0.7316500267202614,0.6771124486249722,0.6264121511200992,0.579345455850056,0.5357088422033289,0.49529878956871976,0.4579117773349636,0.42334428489067105,0.39139279162446267,0.0
I,1.1953761897858002,1.2132749085001928,1.2331525368728615,1.2558591047165515,1.284983928030119,1.3253981462417752,1.3801703215186056,1.4510591270396411,1.5391451804138465,1.6451678482989271,1.7697109937888105,1.913451884745494,2.0769598533515214,2.261127032234112,2.466941935189663,2.695472211496476,2.948061336887838,3.2262771600317928,3.5318398896942975,3.8665174159459834,4.2324844770971985,4.6321713775568885,5.068047212222808,5.542597034922023,6.058644615867589,6.619722919726941,7.228976853840541,7.889468514859834,8.604334264978514,9.37789045078495,10.214210079268284,11.116335002918612,12.087273349074016,13.130714251349662,14.251745908477751,15.452548280740825,16.734607292527294,18.099594666113713,19.55157323838091,21.091262875410322,22.716277191969652,24.42422251086207,26.215359194764705,28.087252276719536,30.031268117163346,32.03852272643847,34.10353234765523,36.21826554224421,38.36666983342412,40.5324789345955,42.704613079275745,44.86843039456774,47.0021943606795,49.0849610681803,51.10294244671503,53.037445555878826,54.86647506937898,56.570729787844,58.13780635124222,59.55151385752425,60.79637383574786,61.861172986448494,62.73818660046651,63.42072615742369,63.90429317876087,64.18791663362005,64.2705233713164,64.15658126479106,63.85319469328179,63.36870495321976,62.70781224372763,61.87991711207788,60.90082717509999,59.78638075748531,58.5476337395444,57.1931698634568,55.73949038498465,54.20246382197608,52.596337150346415,50.93085489458416,49.21903454265907,47.47423336087273,45.70945793570648,43.93277858901555,42.15337125531095,40.3805551333775,38.62313130224409,36.888220881954155,35.1809489623159,33.50712063436045,31.871395198787503,30.27837750136747,28.730740144555714,27.231245806907182,25.781929312422605,24.38417724182971,23.039336740922497,21.747687734661824,20.50989009285781,19.325740893519534,18.19458017387678,17.115747971160502,16.088364272807922,15.111427368177566,14.184037865798802,13.304594590244928,12.471477934721676,11.683068292434141,10.93773481555445,10.234061366558976,9.570523675650463,8.94535301533538,8.356777366896253,7.80302471161535,7.282324526556648,6.7932111138654285,6.334214475962421,5.903746201614877,5.500356611059537,5.122596024532848,4.769014762271815,4.438163144512515,4.128670327323747,3.8396463899941318,3.569541855075801,3.3172785249410146,3.081894872665706,2.8624293713249296,2.6579204939945287,2.467406713750555,2.289926503668257,2.1247380595535112,1.9711337544503689,1.8279057603402862,1.69450589826,1.5704095126464819,1.4550919479353603,1.3480285485632588,1.2486946589661838,1.1565656235803417,1.071116786842375,0.9918598766627253,0.918197866277068,0.8496973951647,0.786085433703993,0.7270891763694332,0.6724358176364417,0.6218525519798748,0.5750665738750447,0.5318050777967601,0.0
J,0.5890773032122542,0.5979990610301287,0.6081283172274996,0.620014218433204,0.6357129569844133,0.6580694949326285,0.6890948910999203,0.7302252456851932,0.7826392097799977,0.847438013020153,0.9257217449004446,1.0187326881776457,1.127757736601915,1.2543204966737695,1.40014731199886,1.5671098489607183,1.7573297704008763,1.973232919574595,2.2175711027169287,2.493173511021199,2.8033487540978372,3.1517919636770104,3.542628032190977,3.9800381019063926,4.468729083556034,5.0141737472389964,5.622166510116372,6.298684700596381,7.04986236615487,7.883299165528058,8.806818053862736,9.82810894670016,10.95488737467108,12.195852008186495,13.561435036717743,15.060140363771152,16.70008696785094,18.489636661198478,20.440012823190955,22.559386104326965,24.85284338024337,27.325382504221583,29.98485382380009,32.83609394207148,35.87579143508387,39.10007265678948,42.5083900260662,46.09648720259501,49.84676785644501,53.74067757578513,57.76549505317016,61.90194348467314,66.11530364843813,70.37106225942695,74.64521348875743,78.90246524473172,83.09603936142977,87.1832467361503,91.13495689698833,94.90897062442183,98.45964783595213,101.7509190259064,104.75673006995348,107.44526949632726,109.78684297189369,111.76304469835803,113.35935217076526,114.56656898695871,115.38029929266776,115.80240525081173,115.83421051036166,115.4824287482437,114.76898683021028,113.71591033869353,112.34074654166952,110.65783562900052,108.69659482227307,106.4884439340975,104.06208707886672,101.43673507702499,98.6403704164724,95.70408866286856,92.65821963011658,89.52142814863518,86.31535577132985,83.06411731391186,79.7908545161061,76.51441254041508,73.24809382081983,70.00830768585168,66.80920667306502,63.66479572183577,60.58356403821648,57.57415684867659,54.6442481288207,51.79989587217063,49.04704241232962,46.388304528927726,43.82728761866621,41.365719705742045,39.00408455118742,36.74286591603453,34.58176172696002,32.51971990325598,30.55636730625483,28.689238502465717,26.915808279226336,25.23355142387601,23.639717215516473,22.131906349408467,20.707697399810268,19.363661357056078,18.096351094693965,16.90231948627285,15.778121431719649,14.720827523397537,13.727734750748654,12.795686288489245,11.921638164649853,11.10254640726176,10.335367044355786,9.61705610396214,8.944735986138358,8.316625363005782,7.729570649237637,7.181251332337054,6.669579817535904,6.192468510064571,5.747829815153523,5.333576138035708,4.947619883939774,4.588380463643626,4.25443474303215,3.943151838201815,3.6533268144818924,3.3838072811763173,3.1334408475874573,2.9010751230184884,2.6855577167726397,2.485736238152442,2.300458296461456,2.128688271163237,1.9691519997210287,1.8208712426439375,1.6832486241592552,1.5556873517208816,1.4375906327817147,1.3283616747965028,1.2274036852181496,1.1341198715006275,0.0
