Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,123.55281694513803,125.6291212473252,128.0682780371418,263.4954247766673,280.0667927153909,305.15131147452064,336.9793859419111,374.7187450701373,418.0734958656518,467.0990558281932,522.0737830727938,583.3879633707156,651.6443450720674,727.3954040445325,811.3457809797169,904.2916788076618,1007.0098456899991,1120.3262100395273,1245.2145900417386,1382.6651794919328,1533.6117482427876,1698.9567944315868,1879.8068676468008,2077.2879215410467,2292.3806207767766,2525.6387962847866,2777.902879217958,3050.1063124716366,3343.0759505144533,3656.458758965028,3989.7996158191727,4343.037006590278,4716.101268514191,5107.547622178679,5513.9560684957205,5933.133227929754,6362.9722687394715,6800.584835934324,7238.843553254868,7672.351763178825,8096.760971716401,8507.355183702708,8894.802387810003,9251.087771799996,9571.533284524794,9851.339401128444,10081.981068097788,10256.778057262605,10374.278687762815,10433.108371732307,10429.187608822735,10361.700015817629,10234.757066845743,10052.327859842091,9816.10677014585,9531.552922614173,9206.691831867398,8848.693759300135,8462.552572559085,8055.82027944787,7636.348149189904,7210.421921382829,6782.818080608599,6358.857157893977,5943.377494463698,5539.802337435928,5150.84164613103,4778.522076017972,4424.3052839976235,4089.1599873926216,3773.9118553732987,3478.8731674278515,3203.216149969062,2946.1057722759324,2707.2136000927585,2486.4391272752155,2282.5195613025317,2094.170024545888,1920.313384006019,1760.575565767622,1613.948654519606,1479.2159380176195,1355.2047762661805,1241.4715649870052,1137.398860057689,1042.0587609129936,954.5631556154432,874.2453100371431,800.8209958565454,733.6629270595869,672.1548858330318,615.6867962751069,563.9425118122531,516.6570483878788,473.4015262385808,433.7820061138639,397.40921902281957,364.08304293130107,333.61780916712695,305.74488865430163,280.2211345736451,256.8034001059693,235.29937088797823,215.64229349980883,197.65079850017128,181.18092916038822,166.09115394062053,152.2399413010189,139.521782433785,127.89521424859353,117.24481672805439,107.49147576676839,98.55746201989712,90.36504614260474,82.83673232725181,75.93959781315345,69.62852067006742,63.841151257351015,58.53810442011843,53.679995003495065,49.22743785259928,45.1410478125527,41.38582949217408,37.95638299705868,34.809474206244715,31.92083268393128,29.27213551431157,26.845059781571763,24.621282569903627,22.582480963493055,20.710332046527924,18.99330536376641,17.42587217073003,15.984518031420976,14.66054565276906,13.445881861389807,12.332453483896444,11.312187346895854,10.37701027700578,9.518849100834188,8.729630644995666,8.006436697189116,7.346314907821977,6.740237159145664,6.184295140055497,5.674594193459285,5.207239662264982,4.778336889374515,4.38399121769757,4.020307990140083,0.0
B,162.1652779057747,164.46700304612307,166.93533726976625,341.4618184259864,359.9800556935006,388.5363601481978,424.9061474924123,467.9832047027621,517.3022355075287,572.8159421351231,634.7393246520247,703.4112876324784,779.4173785226346,863.26857215419,955.6383578811063,1057.2966974240135,1168.9713662211316,1291.4251341100996,1425.5630741093148,1572.3022398195665,1732.4621730646272,1906.8044971975248,2096.27856100184,2301.8501168584016,2524.2916909704336,2763.8761235890297,3021.15718758417,3296.7717719713946,3591.235578160765,3903.755196982153,4233.443761556611,4579.832089606682,4942.440783670174,5319.372296937605,5706.720790431853,6101.9739591865255,6502.734804423318,6905.861106185778,7304.135920669004,7692.287542252748,8066.239696745281,8421.593567554171,8749.791718021945,9043.807768801771,9300.011973310871,9514.692965679342,9680.91953254618,9793.6730123259,9852.785476081477,9858.158860636944,9807.277245967918,9700.538480509083,9542.52911181482,9337.647270050436,9088.106515023093,8799.22882794601,8478.297370600541,8131.782161567512,7764.132425425276,7381.7968149996705,6991.321117479439,6597.9234617164975,6205.553877836864,5818.47601929166,5440.501457829235,5074.334956446364,4722.171821535464,4385.523854311768,4065.417631887681,3762.5203667191995,3477.5488215062537,3210.677632009702,2961.098179962034,2727.9960392070075,2511.0815517201527,2310.310701428256,2124.543781114156,1952.6485458324596,1793.6817941314557,1647.337016414268,1512.7333875241427,1388.8028814234938,1274.5166334590124,1169.4946290620778,1073.1995421818958,984.8111786071481,903.544086060338,828.8092388695676,760.358783333035,697.6343259498813,640.0843408905919,587.1627768871623,538.5869758238655,494.12050751993314,453.37588929833845,415.9960626498741,381.62817403803257,350.0907002102644,321.21594025128,294.758254779586,270.49445956272405,248.2013703682307,227.70238063965135,208.93683907956338,191.7380046976432,175.97214056083476,161.50771363146248,148.21319087182863,135.990531867857,124.8020724084435,114.54060902073407,105.13171057973486,96.50222198953678,88.57898815421983,81.28907349273156,74.60181009712089,68.47578147767311,62.852130096508034,57.69328981853124,52.96169450863323,48.61977803171881,44.62997425268321,40.95894583016572,37.60236856635443,34.51958955968621,31.687222767760332,29.08752919881252,26.702769861070735,24.515205762773647,22.507097912152645,20.66070731744155,18.965068650281566,17.41578850810906,15.990206253467534,14.679757816140267,13.476489054739204,12.372445827860162,11.359673994101058,10.430219412064247,9.57612794035596,8.78944543756667,8.067795928010298,7.408918995002665,6.803594194727964,6.247930449597703,5.738051247783815,5.270080077467441,4.840140426819403,4.444355784022491,4.078849637250144,0.0
C,309.5841033327555,312.8777458356957,315.79765057962527,641.0149543097285,668.5242790097135,712.6199302272702,769.2750123192033,836.3588395923684,912.8286435824427,998.3475002992717,1093.0148878589373,1197.1216747490878,1311.363425148837,1436.2804045286787,1572.65388290613,1721.4107473913439,1883.367406415408,2059.35535233213,2250.4104627069273,2457.5791167267002,2681.684737165184,2923.4325736726323,3183.804223799526,3463.8021930182404,3764.0909939796447,4084.5406623006475,4425.492469611143,4787.410745586647,5170.582751530578,5573.388473981991,5994.186995635928,6432.027278416854,6885.946922678332,7353.095840948312,7828.018473713745,8307.40470552385,8788.15623542348,9266.246846802555,9732.579168296284,10180.848893918926,10606.449332740234,11004.388900263819,11364.690833118675,11679.517851701374,11945.348475303555,12158.56797223194,12311.7274541579,12399.798672651517,12423.508218602792,12383.637996544456,12278.012619418589,12107.848417186306,11879.07572637603,11597.350017467508,11265.648322908937,10890.429657741763,10480.225693970742,10042.599670403157,9582.758247193433,9108.063276740166,8625.88535624089,8142.113306316993,7661.252526984534,7188.0316002774625,6726.631394467235,6280.054935274467,5850.823894170459,5440.5520392279395,5050.283934908036,4680.700239125888,4332.706224556841,4006.461338220246,3700.954045037169,3415.166330945738,3148.783206068779,2901.8209591797277,2672.905148034194,2460.6942585579195,2264.078919536706,2082.7280637454933,1915.6026327088807,1761.4344291511195,1619.002502306943,1487.8692116356408,1367.4021305193473,1256.620137580961,1154.5834558593217,1060.58838758099,974.3420539322791,895.1718312582259,822.4106565393452,755.398061151933,693.7918197289914,637.3052188539657,585.46537494632,537.8354814673627,493.9838296963253,453.68702401967374,416.7386682762245,382.835672129554,351.7018537704699,323.06103138976255,296.6941134131871,272.5245104390041,250.34503625825448,229.98836261862976,211.28985427975388,194.0848760012605,178.25027072322797,163.73794707874526,150.41345611822027,138.18260513304372,126.95277777694055,116.63135770364133,107.12600337716597,98.39740348578972,90.39304419132102,83.0382363939771,76.28485994130396,70.08479468085628,64.38992046017552,59.15211712681504,54.32864233927026,49.913822945084476,45.85586022552337,42.124601431118606,38.69704859036288,35.550203731754024,32.66106888378796,30.006646074958425,27.563937333759398,25.318732568260444,23.265566546251335,21.37517234479961,19.636329891555235,18.038605918298416,16.571567156804562,15.224780338856092,13.987812196229399,12.850229460698785,11.801598864046355,10.838936802475814,9.95947122274633,9.151015380298603,8.408430387488934,7.726596738653512,7.100394928135216,6.524705450259248,5.994408799371627,5.5043854698048875,0.0
D,1448.1448967023016,1467.1268441567236,1486.490566587674,3033.1897911857973,3186.7014302227567,3425.6974047421127,3730.6226423255275,4091.5110883245384,4503.894600070462,4966.88273419404,5481.817660204602,6051.064500415623,6679.076742946663,7369.60988779031,8127.743376847171,8959.341586310367,9869.83649880897,10864.882897406464,11951.258945956102,13135.824053863675,14424.52342359547,15822.788474788586,17337.535247930977,18975.803552724065,20743.013284340275,22640.523440137596,24672.030205011302,26841.894344646793,29153.52399921036,31600.02578036439,34173.995259257805,36871.49643736573,39688.521204447265,42610.23067395395,45606.58181219917,48658.70309126505,51748.70770816805,54853.103409213596,57917.830495896604,60903.918792328135,63781.58023771491,66518.58876375206,69051.51290686142,71328.47473377227,73322.82202247118,75007.21830163941,76329.75805148142,77252.51300124821,77773.2455471059,77890.10739818389,77582.55908743647,76851.54910639011,75729.11643647245,74245.87293302323,72416.07037311877,70277.51590442123,67883.07326040245,65279.759709386715,62500.10571291725,59592.273181178374,56605.63664968015,53579.95223519776,50546.03379467417,47537.480301700256,44584.6937213522,41709.83651069774,38931.483756840564,36262.9548547693,33713.881443238395,31291.042125406006,29001.687943751298,26848.660519621706,24826.908902943433,22931.335523583402,21160.810448914588,19515.994809708565,17988.72540949637,16570.749469779137,15255.254308538679,14040.417944385632,12919.684853519477,11884.836211802327,10927.961589861035,10046.32775868364,9235.88409199491,8490.145131291983,7802.883891922072,7169.460441161966,6588.022732944671,6054.094909775996,5563.202198612337,5110.914587040262,4694.9786005771,4313.526680016647,3963.3726383188255,3641.5671228834053,3345.195683848571,3072.781797046431,2822.973993615365,2593.721200086689,2383.15095717296,2189.390805586553,2010.9640863943828,1847.3921770501875,1697.2768930363452,1559.4809256461194,1432.8854193288216,1316.371518533876,1209.109204753991,1110.8000295460365,1020.5337912763451,937.6690449645608,861.5751911491041,791.6216303684395,727.17967054563,667.9924393958245,613.7180356447899,563.8470004632479,518.0511816993273,476.0024272012098,437.3725848170293,401.833502394933,369.0946886007573,339.12931566750547,311.58791141471784,286.2639399973832,263.00027528694613,241.63979115495033,222.02536147286798,203.99986011219903,187.40616094447898,172.1493913127382,158.20021190080195,145.3581843797068,133.54630245608087,122.69305407144941,112.72692716743677,103.57640968551846,95.16998956731186,87.4361547543532,80.30339318823314,73.75462772605476,67.77482166891559,62.278200299557284,57.22953997377215,52.59375777696198,48.335770794534255,44.42049611188145,40.81285081439546,37.47775198749105,0.0
E,169.8126386999927,172.58365611725424,175.77631779568162,361.2088691927297,383.2352681522116,416.64139058089586,458.99790440426887,509.1323257844648,566.5913678800316,631.3911860179588,703.8440940001573,784.4060548290437,873.8132315454271,972.7258523809185,1081.996570443458,1202.5922215266878,1335.4436954311334,1481.535423615691,1642.0269075805145,1818.094923564784,2010.8283928152914,2221.265561094816,2450.679031129373,2700.362954429157,2971.4129204606725,3264.3760439886114,3580.1350297545937,3919.677667756382,4283.856063657875,4672.040956925857,5083.48071046015,5517.900607462063,5975.014658313477,6452.863218464428,6947.100249510299,7454.918860668686,7973.625423340731,8499.604403425332,9024.23359366204,9541.05210435287,10044.909003034474,10530.23163047186,10986.118501635614,11403.324119871972,11776.597682927018,12100.556898056013,12365.562273664702,12564.18469159567,12695.0575624143,12756.89869436454,12745.285305828449,12659.532509132856,12504.537832670268,12285.01173886472,12002.983229776832,11664.74501448158,11279.453627493418,10855.281513123096,10397.91435416831,9915.945442269336,9418.29657092477,8912.146361182466,8403.02010405526,7897.061376922109,7399.873671924846,6915.498145871405,6447.227496055868,5997.534816995929,5568.2472835515055,5160.634820112455,4775.875613121744,4414.489505477531,4075.6376561456796,3758.4727519163444,3462.7526403611246,3188.503830052211,2934.324908866869,2698.7770545874796,2480.6628773002967,2279.6226545743266,2094.5108041407684,1923.9057864221504,1766.4384825358368,1621.6177966393611,1488.7349326840908,1366.6789467864896,1254.3837324911165,1151.052971125614,1056.3626562873942,969.55172581997,889.863224439994,816.5477794914186,749.2232090671666,687.572617307883,631.0618675845602,579.1977933056141,531.4930968792022,487.70129211102994,447.5964216477546,410.83833079899364,377.11739714635445,346.1239982714239,317.61426125384514,291.5094419430193,267.5790339222598,245.63691693218118,225.50005075781365,206.98539518419517,189.95741213304666,174.36745730442607,160.0668088113833,146.95158987074785,134.919714822802,123.86909800780762,113.69796461559956,104.36492560108468,95.81431891306713,87.96386942572332,80.76101503022437,74.15319361774814,68.08784307947388,62.51240130657217,57.38035202083729,52.68724164392495,48.376743130533924,44.415986456532536,40.7800760024639,37.4441161488532,34.38321127624877,31.57246576517491,28.986983996176136,26.611678445821155,24.44149964512431,22.444592893620964,20.608876630390327,18.92314093289417,17.37617587859394,15.956771544954776,14.653718009445186,13.455805349521142,12.351823642652406,11.338895864504295,10.414392913962928,9.56500506817666,8.785244338100924,8.069644361309571,7.412738775380959,6.8090612178965415,6.253145326429845,5.739524738564384,0.0
F,352.6326551194104,356.81189623733644,360.8674683071654,734.5212688057404,769.0523811201356,823.56391691064,893.3623999036628,976.0216039536203,1070.415791317959,1176.265306302331,1293.8171210695084,1423.5580919099793,1566.4664537030799,1723.3519366643923,1895.3326236443343,2083.7113404679267,2289.682779193289,2514.488836680932,2759.6375443868806,3026.655440779785,3316.845953811814,3631.3945038256416,3971.8386312971347,4339.74466520655,4736.29976287641,5161.753252789116,5616.908606239463,6102.72395759113,6619.938319113265,7166.925546743142,7741.957461287637,8344.10906431961,8972.438924108272,9623.53165922459,10290.506265719769,10969.052491665268,11655.088258521318,12343.257500564052,13021.251256906533,13680.23036072155,14313.470312692676,14913.697654596208,15466.584586805695,15960.479162544152,16389.515394061444,16747.681311536497,17023.46116359862,17208.56889027633,17302.849097414753,17306.242496770406,17214.51147292654,17028.292758796117,16755.21600825555,16402.57770553313,15973.956154482234,15478.168354491489,14927.32839177541,14332.199252730767,13700.20287055608,13042.162751694543,12369.092765830916,11689.816184807005,11011.098720954744,10340.246784350642,9683.8182824314,9046.53565294839,8432.315202907335,7843.876521650195,7283.112913048975,6751.308018937927,6249.885175410173,5779.286124147164,5338.228997114266,4925.421860837928,4540.488829578103,4183.477192835074,3852.487211026127,3545.623285024388,3261.3152747927693,2999.102566090867,2757.4982705252028,2534.669108163131,2328.8500130352077,2139.4130745969333,1965.4467114356548,1805.5233993874144,1658.2744367616851,1522.676999971632,1398.3122124353602,1284.2008031700734,1179.3693596886735,1082.8541650185439,994.1604769758451,912.875956980389,838.3112309453963,769.8294708477295,706.8013550677056,648.9050702561465,595.8444078740399,547.1782964423398,502.5049152875013,461.42244373593974,423.6132476286524,388.97051354939447,357.19377622623904,328.0402376517284,301.2710556141601,276.6473879018052,253.99143727899317,233.2364840169554,214.18788554214086,196.70939805332543,180.66708827007585,165.92702291196443,152.3556710004697,139.89738850766577,128.47761209232704,117.98832629111841,108.36019237964831,99.52387163352002,91.41002532834125,83.94931473971882,77.08025585025335,70.7957430257972,65.02128053293156,59.71344703003548,54.83922888360772,50.36561246013474,46.2595841261077,42.48813024802317,39.01823719237112,35.829686504308455,32.91514611622665,30.232483906235316,27.765633291496187,25.499669591053703,23.41966812397709,21.510704209317396,19.757853166138162,18.146190313484226,16.660790970427186,15.297568860075685,14.05274181450713,12.90875509116104,11.858280663850067,10.894018683592748,10.008669301410507,9.19493266831428,8.445508935336093,7.753098253489895,0.0
G,148.33885247621046,150.45667082708889,152.73362749969795,312.47193033567333,329.5170709062918,355.79622581756166,389.2860859470299,428.9906625619158,474.5038457579606,525.8061204053065,583.122039805068,646.7955948807153,717.401938566547,795.4551885370139,881.6293925955213,976.6932787557022,1081.3892039389389,1196.5106857940734,1322.9963273794774,1461.7997779358334,1613.820137471421,1779.9330345629678,1961.2082547510213,2158.7337118430682,2373.465993156472,2605.9699296613753,2857.084256793439,3127.73690785335,3418.759042577475,3729.8997971762165,4060.818278969875,4411.54860104048,4782.118248200561,5171.286913487043,5575.98479504109,5994.274739049941,6424.301487427998,6863.476275361732,7305.234575621264,7744.575412314055,8177.444510978834,8599.429912344089,9001.668313869548,9376.424842317201,9719.013479902469,10024.61067556251,10284.643449410467,10492.138829997966,10645.040157273828,10741.339893760229,10776.219166359377,10747.948654106991,10659.661643902382,10514.361465596852,10312.777183246802,10059.502314282014,9761.895266824038,9426.527309033547,9057.915271665941,8663.44687886462,8251.027936463695,7827.044795900658,7396.445977267028,6965.019457979916,6538.164735345462,6119.798372844853,5713.089553711643,5320.6587017188685,4944.573048755318,4586.313683583653,4247.070182072321,3927.5785539043536,3627.3497581871475,3345.886499544459,3083.091559702444,2839.0349028420183,2612.6108656816114,2402.6213082943873,2208.066196872658,2028.6627687788234,1863.4289442377371,1711.1154130705208,1570.5189335587065,1441.2176736821787,1322.5935003417376,1213.653657327909,1113.4433027229034,1021.2523823005413,936.8024141787802,859.4105896231263,788.3937863967972,723.0758217626337,663.1182018350767,608.2429018711745,557.9674352744163,511.84600281667133,469.4382027398519,430.5261478053207,394.9113605334011,362.28664373711916,332.3723453396788,304.8888132642978,279.61713347604274,256.4916912281829,235.30517081415178,215.88986041895177,198.0808746238675,181.713328010177,166.6661240955128,152.8988825032687,140.27794750973683,128.71004615004063,118.10354611557705,108.36681509772994,99.40850523327622,91.19277734986095,83.6710975726314,76.76953961028973,70.44114277661771,64.63894638538483,59.315989750371536,54.42531218534838,49.92546511920239,45.81354905968088,42.039318882179955,38.57342549933367,35.39375269808386,32.47818426538058,29.804603988159716,27.35089565338383,25.094943047980898,23.023516403568383,21.13256541508691,19.393632725765684,17.79603700553993,16.32988432946952,14.985280772603826,13.752332410005039,12.621145316730907,11.581825567832617,10.62447923837049,9.746686028241633,8.94621652509339,8.211238389610422,7.536938669206961,6.91852381880765,6.351200293340526,5.830174547726177,5.350653036893103,4.907842215764848,0.0
H,138.99541455416534,140.41947399106368,141.6790807045653,287.43871527250417,299.59086707088585,319.1861471791139,344.41579761695425,374.32793920055633,408.4627765897082,446.6808251160754,489.04142172604094,535.6940233013601,586.9729974743434,643.1477450288477,704.6024003067673,771.790451910702,845.1225123235416,925.0257576036938,1012.0274709463945,1106.6616413406914,1209.3778573546635,1320.585229131482,1440.8253757360853,1570.6505444080465,1710.476669749696,1860.3847825951248,2020.6649861617368,2191.665057054067,2373.6553187318223,2566.067326206641,2768.3048005170845,2980.0655903634583,3201.0421377824982,3430.0509403452634,3664.6816084684615,3903.441325748024,4144.9198452198825,4387.252863343626,4626.097799442848,4858.338848707014,5081.608452009207,5293.341218767968,5488.432961790905,5662.71857188554,5814.091167223538,5940.389400726255,6037.455056373429,6102.273335102075,6134.752329360919,6134.83449270913,6100.947086000098,6033.273992518548,5934.542011357811,5807.360130466724,5652.9900387262705,5474.6008076379585,5276.5767197777595,5062.810236219661,4835.9665722326845,4599.962949955007,4358.796565938228,4115.654630573846,3872.9526827966765,3633.326326645779,3399.1428104902543,3172.0833437114093,2953.513744043642,2744.3955714548106,2545.394070494582,2356.9459045430754,2179.506583764143,2013.2075860563489,1857.570497260747,1712.113255477839,1576.6687194992687,1451.218421177632,1335.0702137994342,1227.531140375029,1128.02426809681,1036.367143540018,952.0188126367087,874.3186960294053,802.6305359985039,736.7225325361923,676.2642620373013,620.7459088677444,569.6789553464633,522.6978255058428,479.6511001154357,440.190983597636,403.97299719414866,370.6560978639579,340.0649517415703,312.0533228686782,286.37861940654045,262.8171244681241,241.1477676365333,221.25757876413172,203.04239059534103,186.34798878801956,171.0341500124676,156.96065093898392,144.01671102565695,132.16502911602686,121.30086423633335,111.33999332668627,102.19958183052461,93.79679519129532,86.07001259114963,78.99600456418345,72.50726281583033,66.55681101011484,61.098478545745486,56.08609482142942,51.47362832049679,47.24189229044683,43.36499276846633,39.80573751334872,36.54036980198405,33.545132911264375,30.796270118083363,28.27002469933256,25.94532851483811,23.819626483052403,21.86726886278943,20.073437667270525,18.42689354336037,16.916397137925088,15.530709097826637,14.258590069932254,13.088800701105797,12.014426846998376,11.032811392582332,10.12959079045762,9.299327917290185,8.536973763904719,7.837479321122245,7.1957955797659565,6.606873530656465,6.06566416461871,5.567118472472799,5.109782384816455,4.692286070732244,4.308740633045325,3.9566748965229976,3.633627056915266,3.337135309970307,3.0647378514384087,2.8139728770695456,2.582378582612513,0.0
I,195.98431110336452,198.24292633113737,200.4184440996283,407.6812507874911,426.4201826901434,456.06261985927404,493.9447517899316,538.6592971884314,589.5188809344991,646.3029033301815,709.0796872044837,778.0459829256009,853.667661576119,936.3116249200962,1026.5106042408006,1124.8988130139205,1232.044499128638,1348.5383300172725,1475.1232191700453,1612.5527981361945,1761.4562670939981,1922.4100710795037,2096.202514845712,2283.639030622079,2485.3377908601447,2701.4468385196706,2932.4545464186153,3178.9444427494764,3441.395273088274,3719.1287485537523,4011.4586046343566,4318.151291481702,4638.968147315017,4972.455274142336,5315.458559256032,5666.113570869209,6022.674174569813,6382.742682916547,6740.390779053666,7091.349436095743,7432.343783664228,7759.79793273257,8066.3613782826815,8345.886122318765,8595.026598909337,8810.331151088027,8985.245286784902,9114.716287671721,9197.864284767978,9233.841266645228,9219.4450829351,9154.038663521533,9040.860410635629,8883.00037441489,8681.589083844556,8440.782885692235,8166.79232803593,7865.146394709533,7539.64176638658,7196.217534903806,6841.104057025112,6479.318393102139,6114.739301719686,5751.767864352837,5394.451673953602,5045.721745003026,4707.980678526474,4383.090111747744,4072.459310771308,3777.081445343994,3497.8559117986933,3235.2326261361686,2988.6782158915835,2757.6530713155375,2542.025494534968,2341.844353945075,2156.140659891243,1983.903451634533,1824.292208603785,1677.0674435908193,1541.4160520283701,1416.3163818012702,1300.7846430599907,1194.4747113471406,1096.880322734784,1007.1957102049996,924.6468466055003,848.657015314626,778.9960349066107,715.1098529750049,656.4454350432583,602.4553161668837,552.8624553195459,507.4378162325807,465.7899829226087,427.55724676471795,392.38222544642184,360.08546967843336,330.5027642878881,303.3840943993422,278.50172548264436,255.62792300763726,234.58361628805875,215.31218557752106,197.64409681506328,181.44217002401064,166.57149835455732,152.8971749568946,140.31949552880934,128.8033166774938,118.23900294694732,108.54986738844326,99.66054735358775,91.495680193996,83.98013358126963,77.08357967021303,70.76519833853239,64.96418179314703,59.641680962593064,54.75884677540586,50.27683016011636,46.15678204525636,42.36433853184988,38.89638294623943,35.71130067889857,32.784770813764375,30.09838014555707,27.6337154689889,25.372363578783446,23.29591126965186,21.385945336321978,19.63133289503416,18.028402157301787,16.55356115606405,15.19787349251699,13.953049423058793,12.810799204122421,11.762833092105641,10.80086134343128,9.916594214507672,9.101741961752744,8.35418111815396,7.671959958785493,7.0452291040252,6.46993436971578,5.9420375839228186,5.457500574701317,5.0122851701083775,4.602353198202927,4.223666487044724,0.0
J,128.70907527533598,131.28472405198113,134.49651650813007,278.5619587408529,298.77362183785056,328.83198412376714,366.82269915035636,411.90042511950776,463.8333938173257,522.796272704126,589.2262741004762,663.7042670578045,747.066200196286,840.113577069612,943.8528235933027,1059.4119479613287,1187.9340190719686,1330.6728070592783,1489.091706434624,1664.6845596569633,1858.9789183974235,2073.546384999313,2310.256151085482,2571.0087288920818,2857.6642880793834,3171.7664385042135,3515.250252409697,3890.2000151518405,4298.619827101824,4741.480661865367,5219.651789353975,5734.490694853214,6287.356638139888,6878.158345781072,7504.60810109678,8165.562808716855,8859.956129489754,9585.718788214752,10335.385748017565,11102.939926796806,11883.231095040763,12670.51529190516,13451.983859681386,14215.457729257987,14952.256744270062,15653.338703200172,16302.656853858693,16885.405351654583,17393.720500179654,17819.659039314924,18149.487180734293,18373.985058004768,18492.491542768537,18504.196912025855,18404.06967274868,18194.802495475593,17885.501791793322,17484.21907288493,16995.791564719915,16432.395741839395,15808.602493300235,15136.344617161985,14425.075888834646,13687.878889230828,12937.760892207198,12184.385448627656,11435.504604042048,10699.116604478375,9982.357788126164,9290.628748470663,8627.319619878648,7995.854919368777,7397.219946770923,6832.379327220888,6302.018988439334,5806.598773873424,5345.018128572569,4915.545695300823,4516.6968234777405,4148.144501731592,3808.214596170599,3494.5420398094366,3204.846088539564,2938.3584369789805,2693.9166860272903,2469.500068344187,2263.1449193009184,2073.40346948776,1899.7649870784658,1740.8107882993777,1595.090248297422,1461.1679503807718,1338.3622302956546,1226.133727601218,1123.4530547347908,1029.3649970330143,942.9264655467098,863.7033192162683,791.3120849510244,725.0963747259407,664.4573699899365,608.796252191897,557.653942225955,510.9317201484861,468.1935183356193,429.0823240379884,393.2474586822598,360.3382436950889,330.10484534749776,302.4899479885346,277.21283260124625,254.07669594428967,232.88841097441934,213.45485064838823,195.58352985366307,179.21007367041113,164.24619104083055,150.5355397054825,137.980234246102,126.48238924438294,115.944119282059,106.26753894082252,97.36724151548682,89.2479354565935,81.80715526455707,74.98345529078206,68.73126557389158,63.005016152468684,57.75913706513231,52.94805835048224,48.526210047129794,44.46821210982068,40.771777604289824,37.377424191356056,34.26319547520794,31.40887303661647,28.794238456345596,26.399073315147874,24.203159193811715,22.186277673075452,20.328210333720634,18.62637987924718,17.078875316457257,15.659941552397484,14.359853931404402,13.168933115392562,12.07749976627386,11.07587454595577,10.154378116355616,9.303331139383062,0.0
