Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,33.4067043329684,33.892039174863044,34.422290961792,35.02239822111499,35.74196294241247,36.74050446784485,38.14689465597577,40.04665588562414,42.50333218665051,45.5704742869754,49.299187863309086,53.74277926208351,58.95862505390498,65.01256099300393,71.97706285295972,79.93402163956765,88.9764388036247,99.20739270668506,110.74053555355289,123.70325796436468,138.23706614324595,154.49575687929874,172.6444778115212,192.86602493785222,215.36145159174356,240.34779878074733,268.04713117056093,298.6993514425799,332.56673720825773,369.9326307883197,411.076229808884,456.27470089677263,505.8260889579523,560.0500868549015,619.2607820443936,683.7183922936699,753.6822308270886,829.4212976432552,911.1965954341558,999.1499793462237,1093.3609420689681,1193.8934423128248,1300.785282661573,1413.8962446487221,1532.9351060847087,1657.5703335522874,1787.4237076315455,1921.890562840399,2060.1579405708767,2201.381772067651,2344.6810144492206,2488.932005472385,2632.8445381511683,2775.16908191889,2914.676374765194,3049.9439285895596,3179.5376940153865,3302.1731307565597,3416.6614467920995,3521.7477308639463,3616.3378506303143,3699.5629070350055,3770.697103671261,3829.1029273614645,3874.3643220292965,3906.284727266381,3924.8184413653426,3930.096099806917,3922.4125711895003,3902.193724719623,3869.964928775849,3826.4389520916216,3772.4522527784884,3708.828378882051,3636.3772414723658,3555.983913543016,3468.6686567997504,3375.3903904452654,3277.0392789932775,3174.463546315972,3068.5726705497273,2960.2229960099503,2850.1694020503282,2739.0713794004087,2627.5973527658343,2516.386488934356,2405.985491477689,2296.852781299636,2189.39047310608,2083.996249804343,1981.0020377465307,1880.6726189713231,1783.206586019729,1688.7805044903412,1597.5506639081782,1509.6266011934692,1425.0767984154052,1343.9294311741633,1266.2006410005529,1191.8922129779312,1120.9808072681053,1053.4226541219296,989.1535538793063,928.0963805047518,870.1768897121132,815.3065537194487,763.3900685808462,714.3257471898547,668.0055192794846,624.3195547422673,583.1628212727924,544.4253552888102,507.9979763133931,473.77247983852214,441.6416373250886,411.4992178165292,383.243957380766,356.77767858479206,332.00351547305206,308.8280760691997,287.1614423760967,266.91717037581293,248.01229002962714,230.3674180033588,213.90775378461956,198.5618587458091,184.26138539425585,170.94117633320235,158.53926426180573,146.99687197513742,136.2584123641829,126.27148841584248,116.98650259076635,108.35723708912519,100.34138221472492,92.89862189159538,85.99057823672274,79.58081156004931,73.63482036447375,68.12004134585077,63.00584939299148,58.26355758766296,53.86694631999035,49.792897091949946,46.019529550916786,42.525987594558806,39.292440013967436,36.300080493657475,33.53112761156724,30.9688248390585,28.597440540916338
B,48.14722018495794,48.84437488782084,49.594243806728805,50.425083206725745,51.40042384841123,52.73307117322195,54.592010377730254,57.08469679643359,60.28616414168181,64.2555021781484,69.04630748465163,74.71306771711704,81.31363806136024,88.91520912353924,97.59155407613018,107.42650927143568,118.51607698860072,130.96664690716054,144.89531138335275,160.43343155585993,177.72697651841514,196.93363307222066,218.2213591097461,241.77535755244747,267.7987168468369,296.5090731071731,328.12508577725714,362.8809937755491,401.0316173853019,442.850627827449,488.60025090455395,538.5338886794748,592.9219009460824,652.0524069560254,716.199907572636,785.5714226112757,860.3666052044055,940.7893849455346,1027.0287057986618,1119.1386082366673,1217.102934692797,1320.886974035039,1430.4264814864653,1545.4708402203782,1665.6166257380223,1790.4263839625,1919.4224812315074,2051.908597908743,2186.9955460907795,2323.782324672403,2461.350408293097,2598.566239748749,2734.162871778674,2866.93785477565,2995.732809922128,3119.236553129488,3236.1570659280524,3345.361691524653,3445.826935242264,3536.49881121223,3616.487299391279,3685.113062502011,3741.83701380172,3786.221493853199,3818.025711391686,3837.1967324785296,3843.816815235164,3838.1360775149074,3820.5375938125385,3791.503597147156,3751.5937072512606,3701.5400663033265,3642.172380672125,3574.292342309083,3498.6730156230333,3416.149854000493,3327.677355421147,3234.1425323698127,3136.363259789902,3035.1136066170957,2931.217914293374,2825.4480134042005,2718.481800685386,2610.9087578197245,2503.3238134055405,2396.293347126143,2290.299991814412,2185.746585721954,2082.9847212719374,1982.3610657286329,1884.163257622973,1788.6189023458323,1695.8964220677558,1606.1444239656144,1519.493475656591,1436.0325438775012,1355.8140522946035,1278.8545489259996,1205.1600471202446,1134.724154645509,1067.518198002493,1003.4953609127512,942.5906843186989,884.7278444403316,829.8336319924906,777.8223104964335,728.602169511907,682.0758761836773,638.1404752415294,596.6916334424611,557.6298638705562,520.8514377386578,486.25340614593114,453.73377446506873,423.1915023422898,394.52652390473366,367.6435450360572,342.4504571710444,318.85639644131385,296.7736982054041,276.1178970487735,256.80772678379986,238.76512044978114,221.91533854642017,206.18815760240093,191.51655215519787,177.83633098141004,165.08624345919407,153.20797956826505,142.14616988989593,131.84838560691733,122.26513850371836,113.34959152352924,105.05827911719715,97.35133179889091,90.19071958538885,83.54020473633287,77.36534175422814,71.6334773844433,66.31375061521035,61.377092677624844,56.796227045645466,52.54629069364607,48.60545733971073,44.95296933964283,41.56902080386404,38.43475849148785,35.5322818103193,32.844642816855234,30.35584621628418,28.050849362486264
C,101.02833971663831,102.46930245907726,103.90929630708817,105.34167710140282,106.84323634787907,108.74702862923462,111.32033561384857,114.73143255386793,119.0940505329084,124.49265612344036,130.9985241468641,138.67950338476825,147.6036823361614,157.84852886719162,169.4963194493902,182.63918611869974,197.38227169320754,213.84047094362583,232.13834780797214,252.4153265735643,274.8260685355542,299.5351426811479,326.71466144213133,356.55398366193856,389.2605388685829,425.0541727465599,464.14835887208335,506.7701438533505,553.1665132067704,603.6018659490878,658.3181483769766,717.5401203205207,781.5077664541345,850.4771985582355,924.6822802854392,1004.2723102149706,1089.385925948571,1180.1647354552492,1276.7313066475806,1379.055229561783,1487.0311212315676,1600.537302887421,1719.42378139649,1843.3445525362936,1971.800112160956,2104.265776080823,2240.1849992496113,2378.7851800600374,2519.11105312532,2660.209828416425,2801.1246840163585,2940.6977018816283,3077.656333673519,3210.805112753102,3339.0046230233547,3460.9825849602576,3575.5008160787775,3681.483590766361,3777.969707646158,3863.98515346611,3938.7210431139024,4001.5719990798216,4052.0725045863537,4089.8670139305095,4114.787634896427,4126.8422626392685,4126.170131427926,4113.079636536351,4088.001708760411,4051.4554671919177,4004.030676287268,3946.490354747788,3879.687943813464,3804.4429850176625,3721.5405430574347,3631.826365185857,3536.2644121979442,3435.747640874266,3331.0985358145726,3223.094646351258,3112.562741678249,3000.2764909034236,2886.9156607026443,2773.0716118012692,2659.3408377925252,2546.291312833262,2434.4073780954013,2324.093651122152,2215.7034815007532,2109.585494375485,2006.0292926242587,1905.264172735474,1807.4599742681144,1712.76666531088,1621.3163945548217,1533.199298653029,1448.4684512824256,1367.1405362800215,1289.2216102995997,1214.7054561198402,1143.5630779837334,1075.7467875080617,1011.1902036834018,949.8152294021703,891.5471787275551,836.2985091493883,783.9753021305747,734.477620973208,687.6995108185704,643.5334639418395,601.8771547688287,562.6237560436346,525.6670269372057,490.90149415216104,458.2224519227902,427.5259839545046,398.7131450182211,371.6883710929776,346.357203045279,322.6283655531188,300.4137671059779,279.62850000482547,260.19084036211893,242.02241639756338,225.0497421308151,209.20255183847195,194.4134412140812,180.6180147364634,167.7548856697136,155.76567606320054,144.59501675156665,134.19054735472855,124.50268898380803,115.48552427940893,107.09679021343891,99.29613124155541,92.04505547025381,85.30693465686743,79.04700420956743,73.23236318736295,67.83197430010108,62.816663908466616,58.15985577970628,53.838242636787406,49.829582843102756,46.11263559064698,42.667162031444164,39.47392527754759,36.514690401040106,33.7722244340338,31.23029636867008
D,430.2845097264825,436.3969733777516,442.3812097967902,448.1416673282029,453.9610137180282,461.17939132766173,470.9089376476518,483.89367573852144,500.67881513416916,521.7057197972456,547.3714809021161,578.0653141785348,614.1824986772507,656.1584821959948,704.4533218171287,759.5719754487966,822.0765366808714,892.576537485608,971.7306203800749,1060.267909680708,1158.9901099031276,1268.7545099047582,1390.4651841101181,1525.1139173226306,1673.7839652188793,1837.62982433097,2017.8002508851441,2215.5214931201663,2432.125241940782,2669.03854899048,2927.614432653616,3209.1497665258726,3515.0271443688084,3846.7191150689423,4205.617201870218,4592.744956546116,5009.085374253411,5455.64300424393,5933.34129065513,6442.390604086853,6982.637830736563,7553.8381799045765,8155.597135167627,8786.55380650926,9444.564620642797,10127.31641107431,10832.29311493411,11555.85368015178,12293.371937691303,13040.15503840313,13791.411450486985,14541.239230131478,15283.043546134893,16010.531738609267,16717.60815740297,17397.37444214738,18043.00034884181,18648.433804257264,19208.149405817556,19716.440469481036,20168.414741738055,20560.24323411197,20888.80626366406,21151.492042759575,21346.710859969357,21473.861093095293,21533.057650014507,21525.294136453223,21452.294702147658,21316.34828725967,21120.188332241356,20867.476946076073,20562.43589094881,20209.19370995777,19811.78247532442,19374.59910024817,18902.706534637036,18400.855851937664,17873.46393820932,17324.744815834187,16759.218447540366,16181.151518142582,15594.31929678973,15002.035183060665,14407.663716071656,13814.43660739838,13225.132361324951,12642.095329010948,12067.394231680051,11503.087040138002,10950.9068996962,10412.248528545331,9888.173005424514,9379.633839773489,8887.49043145355,8412.36201733491,7954.654122618208,7514.562419816241,7092.222244596951,6687.70057452852,6300.930034498432,5931.731452462637,5579.813859445571,5244.81552374725,4926.39430976251,4624.13040960021,4337.562530914094,4066.1899740479375,3809.472632035568,3566.8578077298903,3337.8215417957863,3121.809784685347,2918.2679892736196,2726.6421870188237,2546.378987962369,2376.925717150285,2217.7565496405773,2068.36302249767,1928.2396497486225,1796.896770206305,1673.8605474693945,1558.6729699223756,1450.8918507355418,1350.0920590748246,1255.8761578204414,1167.8625174465124,1085.6842612052037,1008.9904601834668,937.44613330304,870.7322473204483,808.5457168270002,750.5994042487933,696.6213069588669,646.3599769515729,599.5831600284823,556.0688876089957,515.6052713268767,477.99050303025035,443.03285478160416,410.5506788577884,380.37240775001555,352.3365541638593,326.29619131053136,302.12272345719225,279.69303520927645,258.8894637305176,239.59980603184758,221.717318971396,205.14071925449076,189.77418343365764,175.52734790861987
E,45.06826126026037,45.71783070510078,46.40162396901809,47.13789204832739,47.98073652110297,49.119917992464906,50.71061193745811,52.857025678149725,55.63717875773808,59.116739027214294,63.35767554762492,68.4235686932144,74.3816924187862,81.30800544669586,89.28501934005138,98.40491202687251,108.77139158192746,120.49849345489929,133.7110770899905,148.54824428394284,165.1637334391116,183.7237836455539,204.40596886912613,227.405958114073,252.938165403424,281.2330450817532,312.5248884233622,347.0655985581864,385.12952411626213,427.0119450010108,473.00123838988566,523.38120616412,578.4555783306748,638.5488074921442,703.9764593247273,774.9935653302447,851.8514931284794,934.8091309990871,1024.1140890634458,1119.8852998792202,1222.1741149574236,1331.0138519203679,1446.4087040575075,1568.1759331596554,1695.975907612684,1829.4280116997315,1968.1040851490434,2111.3442067256315,2258.277905352275,2408.006463764583,2559.5968332338366,2711.8733273659273,2863.497249183479,3013.1757362092094,3159.6408514315126,3301.436072715168,3437.0992762113965,3565.321613294237,3684.8938186003643,3794.5469362134972,3893.176018032368,3979.9020914482944,4053.991785085105,4114.805135766062,4161.924060493067,4195.149556262703,4214.435632818139,4219.9166141563255,4211.891794187257,4190.792093828956,4157.1495875793735,4111.6889199612115,4055.260831974404,3988.7046190942006,3912.8474076912544,3828.5948643947077,3736.9930455882863,3639.0277748204226,3535.616961051338,3427.637752015458,3316.0329097857475,3201.693150312568,3085.4063518496364,2967.8637670903327,2849.7678763231634,2731.7934072108005,2614.5199976276267,2498.436224857891,2383.9729478504732,2271.5585491983734,2161.553302869887,2054.2468550550693,1949.8592285771124,1848.5879479044177,1750.6105042436052,1656.0545264375364,1565.003464533661,1477.4973918559638,1393.5638219484383,1313.2157373768205,1236.4385627044035,1163.1949640704065,1093.4248491899787,1027.0537206972308,964.0107961395662,904.2094163187943,847.5547379113905,793.944161200131,743.2673300740914,695.411475670608,650.2694286563424,607.7280481460872,567.6743533139866,529.9957406625664,494.57998402273614,461.31526096882305,430.0951438476252,400.8166096916889,373.3774594957038,347.6788574470752,323.62533092592196,301.12477050507783,280.08842995009184,260.43113287025307,242.0730584266937,224.93769504884327,208.9516145257768,194.04467001127404,180.1499960238206,167.20400844660713,155.1464045275291,143.92016287918804,133.47128965696788,123.74974810076777,114.70947940487267,106.3065129723733,98.49891858831558,91.2468064197001,84.51232701548247,78.25967130657317,72.45507060583765,67.06679660809606,62.065953426967155,57.42720958621311,53.12640416398908,49.14046793751912,45.44742459540295,42.026390737615756,38.857575875508466,35.92228243180752,33.20290574061493
F,111.03495622190536,112.6247005882513,114.24416625760027,115.90393892944637,117.70314145821598,120.03689721715068,123.21981694503621,127.44858864328506,132.85553004141235,139.53906152116832,147.58311375052938,157.06894053764734,168.0796164894572,180.7110901955931,195.06679690094035,211.26385231570077,229.43687551908207,249.7342646400094,272.31841131701543,297.3719092306156,325.09802828338906,355.71492453642423,389.4532262024233,426.5675053686276,467.33726667034114,512.0608394252569,561.0337188126792,614.5720504338088,673.0203026018213,736.7484149298325,806.1048480477692,881.4220984403914,963.0557766021182,1051.3857499343508,1146.7694483123341,1249.4641484355964,1359.7166208337387,1477.7800209491259,1603.8861261499576,1738.0747474618202,1880.288969622838,2030.4487807806083,2188.4354761577147,2353.8722333283067,2526.174275981292,2704.714287919456,2888.8135488079097,3077.4951159658663,3269.5221412622464,3463.644761547847,3658.591620959333,3852.7998287983573,4044.5274994033857,4232.119758791332,4413.980565915104,4588.306732674799,4753.320214748511,4907.455677658923,5049.293243185773,5177.371638241152,5290.4500570748405,5387.571437725171,5467.9687849406,5531.014042764698,5576.347944043444,5603.868711487713,5613.661796445182,5606.045425822912,5581.5240689942,5540.743004103926,5484.458342104203,5413.669198932399,5329.514919318156,5233.101743815479,5125.50196147126,5007.87929544752,4881.568460580819,4747.815296778005,4607.773176356911,4462.538064539991,4313.28140667142,4161.104622038483,4006.9788466281584,3851.752681207161,3696.2853936407496,3541.398953162772,3387.7971362326302,3236.0707844549333,3086.73865106153,2940.314787617669,2797.229185794396,2657.8251880137113,2522.360713148513,2391.0656638342434,2264.1450051428774,2141.742835319481,2023.949380429958,1910.801971618499,1802.3225963111659,1698.5155816189454,1599.3518176227954,1504.7746133665573,1414.6996968569574,1329.0254183379263,1247.6549527824652,1170.4723738360683,1097.351998308241,1028.1589077239446,962.7489483235963,900.9752920237615,842.6983593963165,787.7715616567838,736.0487425946359,687.3844442828408,641.6339070778649,598.6531021825377,558.3049262125359,520.4568291667772,484.9774921403557,451.7399242934985,420.62146285156376,391.50377310504143,364.2728484095543,338.8192713162842,315.040519867146,292.8383972301187,272.11865048846323,252.79121286668806,234.77020373055012,217.97392858705393,202.32487908445188,187.74973301224486,174.17905478528158,161.54853896821504,149.79894948426852,138.87371837320126,128.71888622086084,119.28310215918286,110.51762386619112,102.37631756599735,94.8156580288018,87.79472857089227,81.27626121027255,75.2275792750556,69.61748994354659,64.41620235783317,59.59532923809736,55.12788688261535,50.988295167757784,47.152377547989545,43.5973610558697
G,43.490294811352875,44.114751330591254,44.760053471271874,45.436200311336854,46.187916570020356,47.18253941533073,48.555262437207006,50.39397164500563,52.761515108208,55.708284004796056,59.28018369584732,63.523520062893866,68.48693667048705,74.22599080587985,80.80116344290734,88.28062440221738,96.74187282479286,106.27056759045911,116.96100572087488,128.91889163119936,142.26162363876898,157.11658485420406,173.62043984318422,191.92435569655186,212.1944911594572,234.6100721463924,259.3544126785431,286.62550037803,316.6397025915739,349.63070417919766,385.8291005725604,425.4643132412894,468.78327093021926,516.0510376363135,567.5289989345365,623.4362766296016,683.9926176021135,749.4269844276995,819.9634233897278,895.7322213150655,976.8155030538035,1063.2847945391304,1155.1924456109296,1252.4495151235596,1354.8470072077482,1462.1438662612209,1574.061633342936,1690.1382086800534,1809.7409884293827,1932.2077088124295,2056.8412598010113,2182.740338697725,2308.8585320311313,2434.1714157418382,2557.6596579383204,2678.1307415406063,2794.3665619947637,2905.258340034928,3009.762393790825,3106.760945823713,3195.256257709828,3274.430361181083,3343.5753936633137,3402.0410681771873,3449.3622636812747,3485.2630164399875,3509.594508751151,3522.3494205601514,3523.67134166528,3513.831026528477,3493.195270574516,3462.290090644671,3421.761539900295,3372.263264562129,3314.4558632044364,3249.072924611193,3176.972193366398,3098.97447878144,3015.8517163747338,2928.3487977746213,2837.274687940491,2743.400722255915,2647.4135137661447,2549.9202467423356,2451.5426891028255,2352.8834022034966,2254.463460958712,2156.7254889352466,2060.063244010611,1964.8716827032272,1871.4864844051099,1780.1805839086971,1691.1650735375072,1604.6320625000196,1520.7571821786705,1439.6709907873715,1361.4638139399044,1286.1864764381653,1213.878726021479,1144.5676327720935,1078.2546773973165,1014.9199790532879,954.5222953449833,897.0068074769292,842.3222107368451,790.4021686666433,741.1721702505789,694.5499241688028,650.4453587973602,608.7656773647229,569.4230499641541,532.3235571489149,497.37285482901274,464.4763782356613,433.53934192128236,404.46676537319684,377.1683219150482,351.55644165638114,327.54380083423115,305.04577946863463,283.9804613626295,264.2686341022544,245.83378905654968,228.60234477931067,212.5054924671021,197.47701496285177,183.45326000607471,170.3733707407176,158.17928571515898,146.81573888220893,136.2302595991091,126.37317262753301,117.19742284604183,108.65942329106005,100.71894329059572,93.33755915898635,86.47861671858674,80.10723129976864,74.19028774092106,68.69644038845003,63.59611309677877,58.86149922834751,54.46727724544361,50.39125041427515,46.612221975676384,43.10994744486105,39.86513573118961,36.85944913816923,34.07550336345382,31.49686749884402,29.108064030287093
H,46.87714962852018,47.55298634771225,48.26499273447698,49.03088211206437,49.90232258684187,51.06460418837183,52.66084782996825,54.77574733513024,57.46189151195718,60.75487663385928,64.68302080687623,69.27326414930667,74.55340991347556,80.55763770854732,87.3237197240819,94.89599745290404,103.3272407042309,112.67662784967908,123.00977061889438,134.40157350428908,146.93640684068802,160.7051748302501,175.80426731553214,192.34069818404242,210.43252598359572,230.20599297689554,251.78581178462025,275.3057586187502,300.91206875294597,328.7621637867738,359.0038422980331,391.7779281517243,427.2356413214199,465.5391033750135,506.840882230201,551.2500208890131,598.871672952765,649.8145774530328,704.1789517126713,761.9819935479999,823.1997298780977,887.7993965738874,955.73263107257,1026.8395036619825,1100.8703816043253,1177.5583683767181,1256.6154240281705,1337.6239733302177,1420.0532642033072,1503.3675911615694,1587.0225630708007,1670.3458654046283,1752.5860903431649,1833.0300259349779,1910.990211222693,1985.6865843935818,2056.3488191609586,2122.299887654728,2182.9260758496157,2237.592794554666,2285.761551837425,2327.0187271235677,2361.033300033486,2387.5328435174947,2406.363003106013,2417.4828846364417,2420.932866589188,2416.853778722195,2405.468243512683,2387.0607818245826,2361.964035360522,2330.615670337404,2293.514601109475,2251.1448100522907,2203.97497075595,2152.512981815009,2097.3408181999,2039.001119785022,1977.99543895662,1914.7996521777218,1849.9221602174375,1783.8402687739576,1716.9739706873734,1649.6893499521184,1582.3569111035863,1515.3305395077102,1448.912449090235,1383.355535313964,1318.8812227850124,1255.708714159538,1194.0206163778655,1133.9619965516129,1075.640915807371,1019.1533207794774,964.5842733644884,911.9926220948771,861.4140993059675,812.8617437584527,766.3420600146145,721.8539261918285,679.3819880996792,638.8992264663596,600.3669569386695,563.7391860470108,528.9720136387693,496.0134721074246,464.80760385659346,435.2946852915594,407.4112268192731,381.09273716837174,356.27784851602445,332.9023390806884,310.90232331897874,290.21436454986747,270.7754749546849,252.52312901756295,235.39780725039796,219.34198316265176,204.29878260005208,190.21327077471264,177.03245226513258,164.70527101619655,153.18261033917517,142.41739023978857,132.3654444860422,122.98454506734541,114.23420493001154,106.0757643275825,98.47239082082923,91.38907927775128,84.79265187357682,78.65175809076308,72.93671952911373,67.62002612823824,62.676391722593806,58.08168330725884,53.81289334268185,49.84813975468136,46.16666593444606,42.74884073853457,39.57615848887574,36.6312389727683,33.898248151086264,31.363297745792536,29.013154198443424,26.835184840286097,24.817358523838163,22.948245622887498,21.217018032492433,19.61344916898158,18.127913969953912
I,61.386743561157374,62.27413528773333,63.220924195210785,64.25728556245791,65.45656488258587,67.07251284599599,69.30013442460836,72.2538926932598,76.00383996469168,80.5963065226923,86.06713879608128,92.4497092882601,99.77786418965394,108.09342759967306,117.4422294037131,127.87808457171671,139.46534065943948,152.27591772497743,166.3891256818796,181.89573793041893,198.89822721097912,217.5063411148465,237.83556762295206,260.0145269107446,284.1855637787444,310.50057622243287,339.1077131969875,370.16639142954097,403.85195019751205,440.35392125535714,479.84846950558733,522.5029076196308,568.4989464042706,618.0333548819993,671.2917937441991,728.4063621852644,789.5071947759566,854.7320459524691,924.2110605576788,997.9740549594086,1076.003835722826,1158.2764650680674,1244.7526594185465,1335.2584529873466,1429.5125458642074,1527.214508140616,1628.0396474018003,1731.503519720673,1836.9810542231053,1943.8376879628613,2051.424255569226,2158.9271299278716,2265.426469145376,2370.0405033298557,2471.9099310397555,2570.0477514163777,2663.4663066173293,2751.2845041378773,2832.6903421339766,2906.8311128713185,2972.9662663213194,3030.5088361635603,3078.9707246531334,3117.927627276341,3147.1065498386724,3166.383811078514,3175.7404697042084,3175.2824489987606,3165.229307632274,3145.891236212506,3117.64816789507,3081.015832609505,3036.598581296411,2984.9926481324746,2926.785644821208,2862.6212227051515,2793.243831831507,2719.3558005566492,2641.611696619837,2560.6376869366813,2477.108265793757,2391.6616824041002,2304.8629344637006,2217.208231039597,2129.2029487411896,2041.3336502407856,1954.0186483919751,1867.6108061775335,1782.421755701108,1698.7624097245086,1616.8946483465656,1537.029103127288,1459.3258898255913,1383.9292036934098,1310.9692845306977,1240.539972255274,1172.7027490112666,1107.4873288857557,1044.9144694198376,984.9946521336467,927.7180311525581,873.0578900974447,820.9706420846785,771.402058865559,724.3009158209251,679.6042323723817,637.2428244745017,597.1416209282795,559.21966338113,523.3941387841987,489.5865240499697,457.7137671300071,427.69279997905886,399.440701173184,372.8746959097543,347.9121762583769,324.4745549060986,302.4857977671541,281.8703615224225,262.555119576164,244.46936205601875,227.5447958130083,211.71554442153484,196.91831996926987,183.09389687932307,170.18543264905585,158.1383241871578,146.90037536346136,136.42179700894246,126.65520691571996,117.55562983705565,109.08049748735485,101.18949334814893,93.84529287751059,87.0134736430008,80.6611577035809,74.7569786761153,69.27108173537127,64.17512361401901,59.44227260263171,55.047208549685486,50.96612286155927,47.17733681003084,43.66185108272976,40.40151709068857,37.37899985722803,34.577778989618125,31.982148679077902,29.57721770077562,27.3489094138287,25.2839617613036
J,30.250771435153418,30.690662124030506,31.17338894522243,31.723172511396104,32.38711849888519,33.314722573811665,34.62861583095785,36.41284049523538,38.73246922816061,41.64454344769098,45.20494151768576,49.47264704188211,54.5115681325565,60.39457541624026,67.20212678785262,75.02506011219722,83.96620317960154,94.13992025156386,105.67319352288743,118.70861409215834,133.40480817772604,149.9360569536156,168.4923776898585,189.28523851167165,212.54814561726775,238.53613593971704,267.51843799085566,299.7896396935944,335.67390495586073,375.52438930678846,419.70535505006006,468.5939843750458,522.6008843242491,582.170924987894,647.7619949617527,719.803557625759,798.7426744911904,885.0541856430269,979.225017439077,1081.6515447534148,1192.687454283026,1312.6872990888664,1441.9957344794661,1580.7916408506821,1729.1042199424433,1886.9184750509655,2054.167299279581,2230.5249806449615,2415.406804479244,2608.151884987664,2808.0142820246433,3013.900537999123,3224.4319858138892,3438.190241535307,3653.6909935312906,3869.0794070590364,4082.3507915402606,4291.588041371519,4494.888746698335,4690.09093403696,4875.1381465179,5048.222549824591,5207.652199439326,5351.704899073782,5478.960250885127,5588.344043687336,5678.983414140249,5750.172033095721,5801.527411492641,5832.979107424834,5844.681918457042,5837.028548911323,5810.694408901495,5766.475262816137,5705.285972352152,5628.2001714121025,5536.52948660723,5431.610859448999,5314.750121636847,5187.251125678323,5050.577853534959,4906.169271131235,4755.332083100253,4599.249972242462,4439.162072294028,4276.301154603002,4111.752457457037,3946.456316589535,3781.2680583173983,3617.0662758935473,3454.6167288350744,3294.557585653852,3137.401325777133,2983.628425578844,2833.6946043493117,2687.9595015022023,2546.695256534129,2410.0881244209013,2278.303094183052,2151.4815747542407,2029.7066480425337,1913.0114808769752,1801.379325007591,1694.7616689246377,1593.1193108928194,1496.3773243854978,1404.4391287760893,1317.18738176019,1234.483979355572,1156.1822324266534,1082.1461027245618,1012.2228070345371,946.2555708807416,884.0841095834655,825.544628259125,770.4698864771439,718.7015390868696,670.0855982081812,624.4658441614995,581.6899601853288,541.6095324362551,504.0800499889473,468.9609048361576,436.1160755614395,405.4194424446122,376.74826788503754,349.98399644942316,325.01302629108386,301.7267091499434,280.02135035253355,259.7982088119932,240.96349702807083,223.42833352489492,207.11069594055817,191.93434574370292,177.82637193835296,164.717143776444,152.54031075782368,141.23280263025137,130.73482938939836,120.98988127884789,111.94472879009473,103.551039748241,95.76663326302442,88.55101070196237,81.86545500521059,75.67303343155251,69.93859755839895,64.62878328178849,59.71201081638723,55.1584846954886
