FIP,County,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
13001,"Appling County, Georgia",846.6016185472294,870.2520804556793,894.0084451660161,917.7281755253522,941.3798071331304,965.1700097559849,989.2900542676956,1013.8737328481577,1039.0168133375857,1064.7940977473559,1091.2631220033304,1118.4753025639777,1146.4742221229953,1175.3003432307667,1204.994507758067,1235.5946365805103,1267.137919847103,1299.6631292740167,1333.2102814555335,1367.818183656142,1403.5261317320294,1440.3754034028793,1478.409268962088,1517.6727423484615,1558.209326774053,1600.0628774032332,1643.2799590637846,1687.9098665944907,1734.0046259388814,1781.6172954974977,1830.7964387944492,1881.5922326224427,1934.0585223699704,1988.2528220213119,2044.2363141565315,2102.070576823874,2161.808024434433,2223.5022912534696,2287.2116044773243,2352.9987842316496,2420.9312435714082,2491.0768104486815,2563.487165374727,2638.2129490918437,2715.309879691319,2794.8387334976587,2876.865345068576,2961.455336228302,3048.6495800464095,3138.484921275178,3231.0029944045527,3326.250116942744,3424.2772894162213,3525.131203287154,3628.8239812144047,3735.363606020399,3844.761596048129,3957.0328757531843,4072.1957531173994,4190.251372453621,4311.162415522391,4434.890901447878,4561.400645638536,4690.657259787117,4822.625514987064,4957.230979978707,5094.375098985632,5233.96076229298,5375.891747168111,5520.072717860602,5666.391399742402,5814.691775406436,5964.815963103825,6116.607709732418,6269.912385364103,6424.572528036778,6580.393614774729,6737.170004122069,6894.700785081165,7052.789174081947,7211.242170116301,7369.850082459377,7528.386733868522,7686.6338782801,7844.380618131236,8001.42340435982,8157.561126067208,8312.58138381227,8466.281873480222,8618.46995726604,8768.96227782723,8917.584758283821,9064.165208269571,9208.544744655752,9350.582440256036,9490.144197131356,9627.102742700254,9761.3376297389,9892.73563919484,10021.206760082696,10146.68718767731,10269.117445438289,10388.44086513385,10504.60358684082,10617.555130599105,10727.272329078456,10833.759705148117,10937.021993207742,11037.06380704747,11133.889639847936,11227.50466365535,11317.938805926946,11405.243842051457,11489.468847232023,11570.660082987342,11648.860997151674,11724.112954917759,11796.477589556554,11866.032501472906,11932.850390422163,11996.99964685241,12058.544351904466,12117.54450706979,12174.072090507681,12228.212812518257,12280.046970997917,12329.649896621737,12377.091952843472,12422.438535895555,12465.756447998612,12507.127415049628,12546.62896151546,12584.333702614987,12620.309433068804,12654.619127099233,12687.321186595533,12718.480649112413,12748.167474122456,12776.44644280111,12803.378118592807,12829.018847210988,12853.42075663807,12876.631888315802,12898.704710125307,12919.69520867416,12939.654887089593,12958.631844342843,12976.670775249146,12993.812970467738,13010.096316501855,13025.557801932348
13003,"Atkinson County, Georgia",7.8753638934626,8.103233293353698,8.373764380994185,8.714520472093028,9.14900417543117,9.711990733094066,10.43333537658469,11.336728823474639,12.442301653838207,13.76888798488856,15.334365678097521,17.157077653669685,19.25553567576626,21.64899445430683,24.3578439572177,27.403219326952783,30.8072939770351,34.59353688090959,38.78669548462198,43.41254931427393,48.49811535370526,54.07190767235353,60.16394162863383,66.8057881407068,74.03002031278493,81.87042466088538,90.36264525065742,99.54419186327931,109.45444100936966,120.13443136893456,131.62512611866777,143.96901032209337,157.21086718382148,171.39777804954838,186.5791224060555,202.80572151611153,220.12608480290004,238.58982109923875,258.2491884919324,279.1590943375015,301.377095262184,324.96182466185184,349.96547856008925,376.43966598865893,404.4386149877431,434.0191746862717,465.2408153019188,498.16312521605903,532.8329180144837,569.2938545475246,607.5915669054707,647.7736284268797,689.8895536985738,733.9858128263928,780.0877727818624,828.2164593192492,878.3936377793042,930.6417521311472,984.9839120473093,1041.4312829669198,1099.9685938228838,1160.5779978358132,1223.2411477651415,1287.9391959091236,1354.6511252958785,1423.3283969364554,1493.9039544687898,1566.310320926233,1640.4794136443202,1716.3425442607702,1793.818490736697,1872.794578264129,1953.1559560037201,2034.7887521759765,2117.580070640387,2201.414973016437,2286.152738070486,2371.6449072975815,2457.747221614941,2544.3192684172,2631.224243642282,2718.3147551184584,2805.4330710835743,2892.428439261416,2979.1567463886786,3065.4805182149635,3151.265466944223,3236.371219751423,3320.6661205563005,3404.0264328050266,3486.3360569602833,3567.486530501267,3647.3718363434123,3725.8968997960224,3802.9799032404517,3878.5439644642133,3952.51713384285,4024.83239433994,4095.4280082163873,4164.2588721203765,4231.297323018515,4296.518124436154,4359.897520462156,4421.413235748901,4481.044869783819,4538.789792513664,4594.662474937188,4648.676725606822,4700.845661743571,4751.181709237007,4799.6971197192215,4846.419030050245,4891.3870077536285,4934.638212886689,4976.207468266781,5016.12725947129,5054.428184118975,5091.15230771623,5126.350132919935,5160.068648743905,5192.351816294482,5223.24056877055,5252.7729476025215,5280.993334342694,5307.953086989538,5333.69999760638,5358.27870401205,5381.730689780881,5404.094284242713,5425.408212121997,5445.718837748697,5465.069743071384,5483.501614152814,5501.052292725008,5517.756776189251,5533.647353207907,5548.759574751702,5563.13114323139,5576.7968211495445,5589.789025708765,5602.137828811666,5613.870957060881,5625.013860992136,5635.594106055079,5645.640753233609,5655.1804368583635,5664.237989724645,5672.836443092427,5680.997026686363,5688.73916869577,5696.081725940383
13005,"Bacon County, Georgia",169.3203237094459,174.0601359993022,178.87261308465233,183.7648288615552,188.7595589541681,193.9380103719993,199.3720484367996,205.1147309318044,211.20720478997208,217.68473264152027,224.57783451593812,231.9161610662362,239.72780177760885,248.04088066992554,256.884708565259,266.2886435559001,276.28284413913946,286.8990173998947,298.17032007826793,310.1305305260579,322.81459888354186,336.2592239803398,350.50285949387853,365.585699303249,381.54828390405254,398.4321136127759,416.28084791353905,435.1403183370209,455.05852965594266,476.0849699202605,498.2674021652016,521.6549974002471,546.2996090792773,572.2557731005701,599.5807078068009,628.332532298695,658.5640283178385,690.3287469901203,723.6833557110857,758.687638157684,795.4044942882709,833.8972504726165,874.2180444047609,916.4175915256266,960.5497553143596,1006.6715416155123,1054.8430986390408,1105.1239403747445,1157.55454597375,1212.1710491396625,1269.0121678057694,1328.119141243155,1389.5357300606975,1453.3013497588813,1519.4272219591676,1587.919655526715,1658.786440347927,1732.0367552005034,1807.6811504655795,1885.7153420296238,1966.102761608301,2048.8049854917103,2133.78402385571,2221.002320761925,2310.42067727999,2401.9675865323416,2495.551199686043,2591.0805684559455,2688.465291549346,2787.6155146659876,2888.4278449561784,2990.764124552311,3094.4853260103373,3199.4546171344386,3305.5373567232446,3412.597610026841,3520.47162438867,3628.9886219083323,3737.983211037298,3847.294908776629,3956.7678695916775,4066.235340675368,4175.520738293515,4284.455583150492,4392.878801660358,4500.636725946863,4607.579403636433,4713.551582461723,4818.408251590716,4922.012785108909,5024.2366162725175,5124.959237508466,5224.062886505997,5321.443628025159,5417.012267181387,5510.684445704977,5602.380638780145,5692.02615504504,5779.551733747798,5864.908523092771,5948.067257588402,6029.000816877312,6107.683349560611,6184.090273197889,6258.198753700793,6330.006745483866,6399.5319480318385,6466.79102314678,6531.799675949609,6594.572654880095,6655.124363731185,6713.4866464015995,6769.705910021908,6823.825728774216,6875.8869448279,6925.927668339604,6973.98380702742,7020.104858190015,7064.350415050486,7106.7760006601475,7147.433627281267,7186.371796387076,7223.635659674869,7259.278006163311,7293.360123645859,7325.939153881845,7357.0685458306725,7386.798055651802,7415.173746704761,7442.242247293814,7468.059536580776,7492.678379049538,7516.1480994569265,7538.514643986055,7559.820580246316,7580.105260850304,7599.412085562493,7617.787232633211,7635.273358122753,7651.910286939418,7667.735012839513,7682.781698427353,7697.081759665764,7710.66927081174,7723.580273419831,7735.847859315646,7747.502909455715,7758.574093927515,7769.087871949449,7779.068491870862,7788.539537066592
13007,"Baker County, Georgia",338.6406474188918,348.09789747298174,357.5819520524932,367.02503712474567,376.40573050177983,385.7942722684761,395.256468805804,404.8371625573913,414.56698738341487,424.4682833115753,434.5563638961014,444.8433810242175,455.33771557578973,466.04562005149745,476.97245899730126,488.12154496484914,499.49491099430526,511.0941997832454,522.9205664353096,534.9737472344843,547.2526935234688,559.7562565202923,572.48319523452,585.4320591953622,598.5999756059064,611.9834683411757,625.5793237195678,639.3845972587347,653.3966133879527,667.6122543146082,682.0266143282474,696.6349302132357,711.4330080393507,726.4172231617808,741.584520221126,756.9314601079401,772.4525081029849,788.1424905110476,803.9970152826779,820.0124719999739,836.1860318765821,852.5148161719857,868.9934654674374,885.6169421498738,902.3810916290907,919.2826319643981,936.319153864618,953.4883728512839,970.7853131345728,988.2052015979083,1005.7441253579383,1023.3990043233591,1041.1675911949123,1059.04750711616,1077.0335477680635,1095.1208179802347,1113.3051112395901,1131.582890465049,1149.9512856977422,1168.406333413399,1186.9416573068702,1205.5513407912392,1224.2298981299007,1242.9722744365636,1261.7736387716345,1280.6267429603504,1299.5232898878228,1318.455283584635,1337.4149274746908,1356.3946243752146,1375.3858441522448,1394.3778071779489,1413.3598314252997,1432.3212973247737,1451.251647336298,1470.1401325888899,1488.974167361867,1507.740823313708,1526.4272916958223,1545.0208260938643,1563.5087245818513,1581.8774963334456,1600.1132310064104,1618.2023171464045,1636.1313101961273,1653.8869324953187,1671.455919194093,1688.8250534016138,1705.981845812634,1722.9140900572293,1739.6098396756165,1756.057408118154,1772.2452452007751,1788.1636242384102,1803.8039280630396,1819.1576363241877,1834.2163252563596,1848.9716676790415,1863.4155942743826,1877.542763817872,1891.349611566509,1904.8325640792455,1917.9880632739946,1930.81256642763,1943.302610081337,1955.457163403984,1967.277324545096,1978.764053980838,1989.9182582076996,2000.7407897424937,2011.2325183925452,2021.3963677925024,2031.2369690412731,2040.7587362555337,2049.9658903815753,2058.862459195302,2067.452336487785,2075.741079522122,2083.7355524406457,2091.4422691553564,2098.8674454724733,2106.016999092432,2112.896567692795,2119.512792702657,2125.8734845792405,2131.9860596460016,2137.857564987671,2143.494678450254,2148.9037086410335,2154.091110057476,2159.0646164470663,2163.831663827376,2168.399293910348,2172.774160975977,2176.962531872305,2180.970306269768,2184.8039622133047,2188.470454103976,2191.976305707242,2195.3276748070725,2198.5303532059484,2201.58976672486,2204.51098635979,2207.299478635067,2209.961068285693,2212.5011842328668,2214.9249374150613,2217.2371207880265,2219.4422093247836,2221.544360015629,2223.54765213502
13009,"Baldwin County, Georgia",1015.9219422566752,1044.3248439661809,1072.9732089056433,1101.7778226988898,1130.767824285699,1160.2831731245008,1190.6311228091618,1222.0333668235835,1254.656412185613,1288.6381821704606,1324.0934885394772,1361.131305149371,1399.85197482968,1440.3544709693383,1482.7417025730035,1527.1155013577961,1573.580063390553,1622.2454238622188,1673.2269900349104,1726.6419617548968,1782.6119412081102,1841.265328490589,1902.737342791195,1967.1698731386382,2034.7062232340509,2105.493834403461,2179.688724745874,2257.4555342690123,2338.9675292257325,2424.4041559400353,2513.9397024130885,2607.754754483178,2706.0408057795985,2809.000257722654,2916.8464195236543,3029.7973502335985,3148.053907835434,3271.821457283773,3401.3183207225857,3536.7757775329983,3678.4380643333025,3826.5529910011755,3981.330885894217,4142.97899569438,4311.717932306261,4487.781657761345,4671.4174842179855,4862.872643820221,5062.328317924779,5269.951722269988,5485.921120130316,5710.425607129681,5943.665111241436,6185.825408772532,6436.990824265612,6697.228273541694,6966.610553039552,7245.216006535225,7533.128460954653,7830.37693815151,8136.869905609583,8452.507509431027,8777.190029433305,9110.817879149192,9453.283752234582,9804.356115238925,10163.723134692105,10531.072985848947,10906.09254861821,11288.467407562603,11677.82767430852,12073.66484626177,12475.462207737908,12882.70719143998,13294.891362314742,13711.4969175759,14131.892310046333,14555.412662634453,14981.410178422697,15409.252411693233,15838.321221166021,16267.951186379885,16697.43196596824,17126.082223383484,17553.24771996505,17978.3013149394,18400.628281345096,18819.588196251534,19234.578296742035,19645.02909103458,20050.403129568018,20450.195005002082,20843.909721098687,21231.103300302322,21611.39025639622,21984.406250700686,22349.80807977634,22707.273675424123,23056.504073567907,23397.27884160901,23729.45664611843,24052.90698930603,24367.50634544897,24673.138160891678,24969.69470604832,25257.15127928668,25535.562802530963,25804.98182888676,26065.458605351072,26317.041072812324,26559.77726295055,26793.785324157696,27019.242418853482,27236.31553677897,27445.16176233905,27645.928274602353,27838.754433105125,28023.83417686054,28201.402306191434,28371.67803693875,28534.86712414309,28691.16186204471,28840.741719585032,28983.816809232234,29120.631352339777,29251.413367038807,29376.376392218877,29495.719487527982,29609.62723337252,29718.286578352378,29821.921636861152,29920.74386001539,30014.951074353114,30104.727723356296,30190.244867450874,30271.660831014477,30349.14992855687,30422.89742955046,30493.07460741432,30559.841469749386,30623.346758338426,30683.72794914606,30741.111586504852,30795.634636798688,30847.4417221233,30896.665724440787,30943.43071694917,30987.851964082474,31030.03592151065,31070.080236139656,31108.079831129602
13011,"Banks County, Georgia",7.8753638934626,8.109346051975391,8.418441202461551,8.852924384315571,9.455385891700471,10.28734011455394,11.402213028202917,12.843413662439268,14.6488214853216,16.854686196374647,19.496198957835855,22.60994208998487,26.23339430635619,30.40594687472897,35.16958701012225,40.56828275318735,46.64854080374245,53.459885702771444,61.05486065948678,69.48869124700954,78.81969937037519,89.10984117840798,100.42471727900073,112.83374709755276,126.40930780307552,141.22712871731227,157.3676015820248,174.91579825809202,193.96147321450496,214.59892694023495,236.92375870103027,261.0358905009203,287.04119566956473,315.05149886225286,345.1845760599026,377.56279672019537,412.30570878862466,449.5365913288189,489.38580439609245,531.9907890831545,577.4960675201121,626.050280496874,677.7906958941113,732.8547009615997,791.3869300323406,853.5392790715333,919.47090567657,989.3430240470803,1063.2907839696704,1141.4432234265423,1223.9350090191904,1310.9063966969159,1402.5032317568186,1498.8657876105608,1600.0869177225009,1706.2493332930478,1817.4378302941006,1933.7391644855384,2055.2420217471476,2182.0070896521975,2314.030811176921,2451.302205683711,2593.808335704991,2741.534306943222,2894.459188512452,3052.492536525316,3215.4948723348934,3383.3238388908394,3555.8339430146475,3732.8765553996504,3914.2693285012483,4099.745461198089,4289.02965188219,4481.8473439551835,4677.924717448897,4876.980774632536,5078.663201432537,5282.5954664631745,5488.410782456606,5695.751321194117,5904.2675801988125,6113.579197011008,6323.27370076188,6532.95640033473,6742.250148864167,6950.795343736107,7158.240154114844,7364.212164556072,7568.360840345895,7770.357590272469,7969.89502233304,8166.686943733954,8360.453069319827,8550.938283125137,8737.923045614452,8921.202258123458,9100.585255229938,9275.895804753793,9446.972537244175,9613.694220000134,9775.986278566244,9933.781702837614,10087.018037662983,10235.637382844707,10379.587367896438,10518.861200549058,10653.496704597768,10783.530390096874,10908.997088820071,11029.929954260448,11146.361788123178,11258.363715774258,11366.038819620542,11469.483853421634,11568.789400360474,11664.039873043339,11755.314671479095,11842.722422507895,11926.39293698541,12006.446778449934,12082.996570065592,12156.146994622375,12225.995143534505,12292.653968700652,12356.253581295243,12416.914790175544,12474.750264021071,12529.864531333607,12582.353980437174,12632.315775812278,12679.865771798448,12725.112513078064,12768.157205605317,12809.09384809401,12848.009232017539,12884.983279287353,12920.103747886533,12953.463257507296,12985.147044935246,13015.234517701532,13043.799254082847,13070.909003101435,13096.625854061685,13121.016864522904,13144.152358425868,13166.096672435066,13186.909752970954,13206.647156209969,13225.360048084503,13243.095204282923,13259.897899735584
13013,"Barrow County, Georgia",677.2812948377835,696.2484704490467,715.5483531865254,735.2387365971049,755.4360906299221,776.5019314056589,798.7575449116898,822.4454177041731,847.7595042615612,874.87168367728,903.9367625346318,935.1095018314602,968.5417147594645,1004.3894332853374,1042.8180025008603,1083.9974189881364,1128.105928780704,1175.3334151537845,1225.8810868042722,1279.9585046440893,1337.7863201098808,1399.5989601400884,1465.6446610836065,1536.1858055025273,1611.49401763416,1691.8527771020706,1777.5630554535314,1868.9433836909984,1966.329861252684,2070.0747152354993,2180.5322127069257,2298.0723376853475,2423.0874424443414,2555.992247512672,2697.223841674288,2847.235275431079,3006.4651868135657,3175.3658193843867,3354.4162550013207,3544.122413971433,3745.017055051089,3957.6474591257665,4182.514165517476,4420.118296456947,4670.98894716968,4935.68322342734,5214.786241547727,5508.890709783148,5818.4892816319925,6144.05331663508,6486.076937264271,6845.076830605682,7221.592248359632,7616.142646465314,8029.0716000992825,8460.688389431129,8911.312573903999,9381.27349426637,9870.910159949099,10380.459833362973,10909.926153770772,11459.288728880847,12028.522118550765,12617.595834787333,13226.459182111475,13854.80791311587,14502.161040099392,15168.027333777269,15851.90394186937,16553.276389100192,17271.505962478455,18005.64429322717,18754.709690497064,19517.71945935319,20293.689869449754,21081.607028251034,21880.190487156215,22688.064784033886,23503.88357020085,24326.326701646834,25154.097931335265,25985.77982294066,26819.82544827568,27654.745577379268,28489.108842299098,29321.54173709151,30150.692480318117,30975.12041101155,31793.45554060378,32604.40567170115,33406.753805576605,34199.35814216957,34981.09450008357,35750.91725955266,36507.908892213505,37251.20825944264,37980.0105851299,38693.567455678385,39391.18712886722,40072.31622583447,40736.57782044105,41383.62919438388,42013.14936979375,42624.83910923541,43218.424341229234,43793.801849388205,44351.04216946973,44890.21699764479,45411.39615442921,45914.64758468367,46400.04228395301,46867.801483010044,47318.276492669516,47751.79875401241,48168.67938689742,48569.20918996095,48953.66310221255,49322.43450432007,49676.00652406888,50014.82916428546,50339.32356084753,50649.88198268401,50946.86920919486,51230.716767634825,51501.930430273285,51760.981047812784,52008.308269397305,52244.32054261229,52469.39511348454,52683.91456941854,52888.34194510174,53083.11286210884,53268.63377342503,53445.28248989345,53613.40818021541,53773.33277188371,53925.412838496086,54070.02828935398,54207.52914983957,54338.24160934479,54462.46802127134,54580.48690303071,54692.55365389993,54798.94615543978,54899.958406159654,54995.859582620134,55086.90047588034,55173.31349149791,55255.31264952897,55333.09358452819,55406.84631954214
13015,"Bartow County, Georgia",5079.609711283377,5221.527519489705,5364.158992151773,5506.698677409267,5648.992389406557,5792.322965148576,5937.864651281866,6086.430686895121,6238.595846406694,6394.803947894648,6555.391553658768,6720.6583660723545,6890.856557376238,7066.220537670632,7246.989189834858,7433.384762902046,7625.626500836295,7823.945344474441,8028.581694217858,8239.769218822139,8457.745480830243,8682.761363716172,8915.081134870692,9154.98061434195,9402.72535901043,9658.582696794463,9922.83680893986,10195.78885614843,10477.756984783866,10769.06459776608,11070.003423276017,11380.873722377977,11701.997589352508,12033.718951696377,12376.403570122573,12730.41659644939,13096.058867534037,13473.635870503249,13863.479480907965,14265.947962680711,14681.425968135607,15110.29613442839,15552.829443689212,16009.28604873757,16479.954044981845,16965.149314274517,17465.21552491212,17980.488981591505,18511.13926225724,19057.30635615458,19619.15524448385,20196.87510433736,20790.6793086994,21400.747402498782,22027.035606435766,22669.47226924307,23328.00298180559,24002.58968799988,24693.210540435262,25399.73324076824,26121.7918152823,26859.016780338,27611.04735193799,28377.531445727025,29158.109970120502,29952.19515279795,30759.06716968612,31578.017528294353,32408.344838125537,33249.354810676065,34100.26169551234,34960.051154702,35827.709542531076,36702.238239056256,37582.65361807016,38467.963694429076,39356.999046827215,40248.55329350233,41141.45405578935,42034.55910870914,42926.754632288255,43816.86129133876,44703.65139516887,45585.949436953,46462.62473996854,47332.591457595896,48194.78777257042,49048.13880531769,49891.64382915512,50724.35271939372,51545.363789409195,52353.823790641894,53148.90134526824,53929.88661793973,54696.17047220807,55447.16979620158,56182.32748176865,56901.11242447772,57603.02709313668,58287.745978045394,58955.07941237656,59604.846115354194,60236.87049396767,60850.982642971736,61447.02226825503,62024.98741750392,62585.01825031455,63127.24459863022,63651.78928344678,64158.768114812694,64648.294480917764,65120.6103034704,65576.06233397212,66014.97721025559,66437.66293357825,66844.40886862233,67235.48957062869,67611.27864453496,67972.22313384079,68318.74164991517,68651.22849173454,68970.05364588261,69275.56393727871,69568.16191059792,69848.3123957128,70116.4509922111,70372.98710972046,70618.30396790833,70852.75859648181,71076.7124762668,71290.59545835362,71494.81472783977,71689.75247964138,71875.76635330234,72053.18943299416,72222.3314287135,72383.53160853668,72537.15023080111,72683.52171172372,72822.95939452195,72955.75554941395,73082.18137361847,73202.48760972616,73316.94448282283,73425.83723530243,73529.42907180535,73627.96636065435,73721.6786338543,73810.77858709246,73895.46207973821,73975.91984913498
13017,"Ben Hill County, Georgia",7.8753638934626,8.119860548452861,8.495017446608365,9.088908712198675,9.973800944442939,11.25048011826936,13.003101569771049,15.296198503695683,18.182421295671652,21.709271160443247,25.920173811852617,30.858725038068982,36.5678162035173,43.09133543685566,50.47535280802746,58.76689500008953,68.0147755413997,78.27035223347417,89.58744748410176,102.02151480933951,115.63021287244827,130.4741119418984,146.61670387466424,164.12448827198406,183.06526731989624,203.50877236198983,225.52838844981466,249.2011751339586,274.6078687594258,301.832128439847,330.9558221778467,362.0634070126116,395.2439132444947,430.5909444350151,468.2026774068563,508.1794111921603,550.6139049856243,595.6004105247891,643.2384872078615,693.6330021240213,746.894130053426,803.1332716977587,862.4444599284409,924.9193594302338,990.654912096673,1059.753335611465,1132.3221234484824,1208.4679556850328,1288.266176833683,1371.7843905187558,1459.0943102994536,1550.2716729359036,1645.396238389152,1744.5402638275987,1847.7276930989829,1954.9732081697769,2066.2934822512752,2181.7070318599817,2301.2341875490592,2424.86920092545,2552.54948689141,2684.2083621401007,2819.779282300438,2959.1958419370953,3102.388176195488,3249.229395355455,3399.556170354611,3553.2063817818835,3710.018579421916,3869.831982255071,4032.461886560306,4197.662473165474,4365.1865235754285,4534.791013260645,4706.237104292536,4879.284073200646,5053.643290543559,5229.014844428617,5405.1091679304445,5581.646201012257,5758.354916614533,5934.946629463573,6111.1177214268755,6286.579928679295,6461.058911789383,6634.294255719381,6806.033185717157,6976.01647339295,7144.0045131489715,7309.772749474336,7473.111088781803,7633.82389940778,7791.721255636374,7946.6402920115925,8098.4442873593325,8247.004360417563,8392.199464243646,8533.91638621434,8672.05107485798,8806.537224227985,8937.341696945365,9064.433940930307,9187.784789714588,9307.366462441583,9423.15343405824,9535.155964786414,9643.416874014567,9747.976119355313,9848.871307211608,9946.13769277674,10039.809233127067,10129.948490299888,10216.640969405464,10299.966682421655,10380.000523747894,10456.812270205166,10530.467458583253,10601.05311871675,10668.671548360162,10733.417849051488,10795.380993862445,10854.643827398466,10911.283326260591,10965.388076863223,11017.059246474424,11066.390953833237,11113.471154190447,11158.381639308576,11201.198037461894,11241.996459236858,11280.866925422168,11317.893975938412,11353.156596321107,11386.72831528439,11418.677204721005,11449.066132170796,11477.963821474386,11505.442723868837,11531.569704681646,11556.407177245299,11580.01310289729,11602.440990980102,11623.740026900763,11643.963162794915,11663.165933411634,11681.399300512161,11698.710826914765,11715.144676494738,11730.741614184379,11745.539005973029,11759.573072358355
13019,"Berrien County, Georgia",7.8753638934626,8.109833662458236,8.422003465078538,8.863954386178648,9.479787898351029,10.33312387349063,11.479212260488687,12.962936765122077,14.82344045915821,17.098144498640547,19.82332939709903,23.036655941895148,26.776649725110616,31.08374252703316,36.000972023946,41.57334449293977,47.84840425615341,54.87672222447442,62.71189545898288,71.41019508689726,81.03098674415766,91.63728142948443,103.29574593905052,116.07687924320855,130.05411187618114,145.30421154481854,161.90863178907543,179.95353015183454,199.52977071412357,220.73276912933312,243.65914398513831,268.4098407586704,295.09180329187853,323.8179737915292,354.707292829205,387.8832951659242,423.46650802384494,461.5811988933046,502.35880724064185,545.9379445546551,592.4643943466046,642.0880891595772,694.9472977355975,751.1804026432627,810.9332009352484,874.358919184091,941.6182134821833,1012.8738887805337,1088.2622844366092,1167.913611867456,1251.9639919636695,1340.5554174912454,1433.8357530915714,1531.947422251508,1634.9848285427813,1743.032285972881,1856.1765966304702,1974.506925999735,2098.1147729834834,2227.0635466560107,2361.351499859687,2500.9697078487497,2645.907746970191,2796.1536946637625,2951.6899696077585,3112.428404840705,3278.230958922265,3448.9570784756934,3624.4634640606882,3804.6040701733864,3989.1986610978697,4177.980334468197,4370.673575720148,4567.003867010037,4766.697678640692,4969.474276586256,5174.979023548907,5382.8318389665965,5592.662588990112,5804.110290070903,6016.822450483361,6230.413971134574,6444.46515579355,6658.574271734018,6872.357448869306,7085.448679752319,7297.489488343746,7508.098013519341,7716.913956454625,7923.599558466106,8127.838836844319,8329.337584853814,8527.806985869813,8722.98157393609,8914.6321343474,9102.544652546758,9286.520306266488,9466.375465528223,9641.941866041812,9813.089996736782,9979.73840847079,10141.813994336251,10299.24862261954,10451.979136801,10599.948313945353,10743.14502037618,10881.604191429167,11015.359833170289,11144.444380861927,11268.88869896289,11388.723432780134,11504.018746027637,11614.878166014296,11721.398864714296,11823.67172460815,11921.781338682684,12015.807209199389,12105.859321513466,12192.069958065102,12274.56191135016,12353.449796520712,12428.840051385012,12500.831300339607,12569.538868312153,12635.096224064204,12697.627229695114,12757.247323105843,12814.06351799895,12868.174403878606,12919.679500075448,12968.69809105308,13015.341916132738,13059.71509716905,13101.914276176138,13142.028615327625,13180.140151830423,13216.339270736806,13250.721596246762,13283.375067316352,13314.381561586188,13343.816895381402,13371.750823711678,13398.247218701637,13423.375267327441,13447.20769289158,13469.810973810136,13491.247017136773,13511.57315856275,13530.842162416939,13549.102221665777,13566.400008747609
