Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,415.15239925042835,432.6742047127735,448.16572980129723,462.3934073045008,534.4290000060839,597.9817036719874,657.7257937629254,716.6221715207121,776.5306627079569,838.7423808114645,904.0722859878363,973.1960139184991,1046.5831915092149,1124.631124043665,1207.7597923320482,1296.3097813386826,1390.6030900338806,1491.0006552682175,1597.8923258170207,1711.6236429539078,1832.5379906797793,1961.0198911046355,2097.495369566692,2242.431364041868,2396.2070719564886,2559.1619553188775,2731.7045120292933,2914.313472898398,3107.5379656145005,3311.9450025652795,3527.786450471237,3755.3085015346546,3994.8923770992315,4247.054327650078,4512.445632813711,4791.706329633149,5084.767512064241,5391.507452768355,5712.0607565048795,6046.8183637836,6396.427550864714,6761.545325602108,7141.502410736239,7535.387668662535,7942.733255707477,8363.516557082261,8798.160186882778,9247.140845806447,9708.762428438065,10180.908513787748,10662.165339523537,11151.822807967605,11649.874486096212,12156.213871717116,12667.542333979272,13180.453202814448,13692.567303590851,14202.526240128302,14709.990380559793,15213.531838524843,15708.191882503217,16189.897123985786,16655.936691558145,17104.962230900608,17536.698611334657,17947.598189080367,18332.583470117617,18688.246148192895,19012.81529783356,19306.157374347822,19567.62491367402,19792.889538048326,19978.94988132394,20124.511157377467,20229.98448622128,20296.89933453428,20323.591901147098,20308.374045578556,20251.123145098027,20153.180198073034,20017.29899579928,19844.856423053603,19635.86271643784,19391.500907347523,19113.88875172477,18806.078730058292,18471.353157261172,18111.19196432856,17727.75089187392,17323.5042043371,16901.185087336387,16463.78564766854,16013.594551778044,15552.914717641468,15084.717265702378,14611.492200841354,14135.247974986087,13657.511487111326,13179.357870700394,12702.608626113433,12230.04225016724,11763.727853959375,11304.909065767326,10854.00403104853,10410.660952055201,9975.823426105071,9551.553279837019,9139.09106298281,8738.928153818195,8350.806759162904,7973.792744856448,7608.225359575706,7255.336985297204,6915.692422366397,6589.260693370612,6275.415043139033,5972.992032298252,5681.953532865929,5402.984225272604,5136.246951128394,4881.485792997068,4638.026074396035,4404.7913054365235,4181.402863440331,3968.2317256339365,3765.2835194375393,3572.281128193338,3388.6646911655307,3213.5916035403247,3046.337393075907,2887.1001545805075,2735.871506337372,2592.454582602456,2456.470052679726,2327.3561209211525,2204.3828713742428,2087.285297557483,1976.1534734350375,1870.8982289858668,1771.3141949851706,1677.0798030043857,1587.757285411188,1502.7994412992457,1421.9885203459744,1345.3891865964783,1272.9362865654944,1204.4906004737459,1139.8388422479434,1078.6936595207803,1020.6936336309407,965.5234601256212
B,598.3360039888087,609.5083674464047,620.249767770321,630.8014082619592,717.182515978229,792.4340065227078,862.2622150797356,930.2840992344122,998.7648743468386,1069.2602391305122,1142.7334113720103,1219.9636792367767,1301.468719587535,1387.6682100275664,1479.0010018650573,1575.801362440372,1678.3732890346819,1787.0615798647111,1902.239135881801,2024.2183639829993,2153.3034834140435,2289.8405919762554,2434.218021114339,2586.8638657771044,2748.0989168052465,2918.1946163084417,3097.493434469535,3286.4101546263187,3485.4320417687563,3695.056773077211,3915.430155813433,4146.688173767746,4389.108255172987,4643.109272704505,4909.251543480152,5188.071989632673,5479.347130672542,5782.801276896027,6098.427358609483,6426.486929586867,6767.510167069749,7122.028267316379,7489.1953919950565,7867.939658932979,8257.647979561621,8658.167586288186,9069.806032495579,9492.923330153839,9925.702661934176,10365.958364027396,10812.216683148585,11263.715010644242,11720.401882492224,12182.133530318593,12645.693998334544,13107.836792598739,13566.322870379221,14019.91278665175,14468.364665257872,14910.413641844427,15341.554245571346,15758.168914258,16157.921839937275,16539.758968855574,16903.635569698657,17246.530386762053,17564.128729351007,17853.6344208985,18113.722531446998,18344.539377648405,18545.768560915534,18713.89093687585,18846.585274095374,18942.993043969527,19003.7177914724,19030.311172458107,19021.580642151304,18976.35760826535,18894.765751568044,18778.1256176111,18628.91131840064,18448.425890208113,18236.8877556024,17995.463025406927,17726.038776191614,17431.22305027291,17113.775341125758,16775.052988243388,16416.99600521364,16041.745282026997,15651.592176933607,15248.978516443294,14835.752181364282,14413.958755030806,13986.200530646072,13554.609164497111,13120.845310091154,12686.098618155576,12251.137202318978,11817.581999669801,11387.879100017883,10963.816517573225,10546.447356833563,10136.089812584394,9732.378273017026,9336.140483508241,8949.203778175635,8572.661268096519,8206.946270893483,7851.832310734431,7506.497728282184,7171.255887250381,6847.216495413385,6534.897661630822,6234.289267181115,5944.852965761487,5665.574422703254,5396.438125574538,5138.076790870755,4890.65767381677,4653.971848829774,4427.434209519265,4210.098539795315,4001.641086033853,3802.415289051575,3612.44578906788,3431.4991560823723,3259.083889874861,3094.4504200053766,2936.953606644908,2786.7872081428227,2643.9596564871144,2508.3045206738275,2379.485903228612,2256.9984402067157,2140.180410239763,2028.795820544528,1922.9393754834632,1822.5397764493855,1727.4158503814645,1637.276549765225,1551.7209526325473,1470.2445427363882,1392.6491321881429,1319.0036450421278,1249.2552109731591,1183.279651524551,1120.8814801081144,1061.7939020041563,1005.6788143614823,952.2414874590148
C,1255.5012074105691,1251.7694752987916,1251.7684148432147,1254.3466499000053,1401.07175742459,1526.2512655373068,1639.8945561254413,1748.3684972264873,1855.6627892102374,1964.4918088797815,2076.5096373547,2193.0153292390946,2314.8278003039113,2442.5723991374703,2576.88874051239,2718.2175439641633,2866.9301738247277,3023.458240363119,3188.2714616868197,3361.7198466996233,3544.127903559729,3735.884468385056,3937.4433478595556,4149.314130025353,4371.814407478083,4605.178488639076,4849.7503225798455,5105.985440015121,5374.4511654146645,5655.7125621066325,5949.78849889059,6256.690263194885,6576.64177308856,6910.07957728134,7257.65285512363,7619.955870068825,7996.481422991951,8386.673699061284,8790.364637248624,9207.77393393039,9639.509042887688,10086.166604919777,10546.441834271565,11018.779440997934,11502.258745961115,11996.594647725608,12502.137622558153,13019.306511838342,13545.651106752432,14078.324801570077,14615.424947408577,15155.98854462207,15699.992242801512,16247.297292276045,16793.894057731442,17335.82897199786,17870.425495614458,18396.272154628925,18913.219880769317,19419.850572157142,19910.847412779327,20382.03402832082,20830.79009582014,21256.05134366935,21657.97529140461,22033.161046778572,22376.758726413536,22685.712979427186,22958.687134387324,23196.063199311862,23397.667026083436,23559.650899603366,23679.578395261644,23756.66348197405,23791.76975957149,23786.819917925295,23740.6313779436,23652.09978225278,23521.5408285288,23350.574635783887,23142.076930539304,22897.615595707553,22617.63590836616,22303.60912864192,21957.750647684825,21583.01998766808,21182.50795523198,20757.878693838557,20311.479958779564,19845.81034996985,19363.462134989604,18867.121249084357,18358.800647732314,17840.97436733742,17316.744346502965,16788.594206520807,16258.38883723282,15727.374397030893,15196.265587543905,14667.03060918632,14142.596068212226,13625.060355342055,13115.633128290208,12614.635311765087,12121.563169758363,11637.404126493266,11164.344753661426,10703.68073322972,10255.923430226188,9820.799892740042,9397.33067435529,8985.903144753898,8587.85028677646,8203.7991961561,7833.750305099613,7477.077382287458,7132.589690316931,6800.2854614347,6480.932063165942,6174.742404010334,5881.481473927786,5600.466344338425,5330.584070045352,5071.461188936042,4823.5302069268055,4586.831042406038,4361.094403841807,4145.741789781844,3939.8854888535616,3742.7610650366,3554.6063292269664,3375.4378918528687,3205.0613051392097,3043.0774830678492,2888.882701377594,2741.6843065442667,2601.2000846276333,2467.547071530371,2340.6419741668487,2220.2676636346187,2106.0731752144225,1997.5737083701863,1894.158207076081,1795.5857306391229,1701.940853604481,1613.1603112833932,1529.0931493891105,1449.5007240369007,1374.056701744044,1302.3470594298394,1234.0106578437392
D,5347.239428133395,5446.093776879178,5539.885162680888,5630.068286994956,6391.5694957506585,7049.283794483818,7653.580132001087,8236.520563426999,8818.259200448998,9412.618423088805,10028.140271620572,10671.648541545665,11347.595783774528,12059.502614107016,12810.994088746234,13604.725845856572,14443.03835893145,15328.591747320586,16264.253682858844,17252.327556791035,18295.019778993556,19394.87086060447,20554.758229695515,21777.86180735247,23066.437706628265,24422.33296702685,25847.962632637285,27346.31985517715,28920.9771446976,30575.550709111885,32310.829021785004,34127.538765273544,36027.530011206916,38013.77622028729,40090.37424228957,42261.19252742656,44524.159612833115,46876.860703798324,49318.98250288657,51852.313233845125,54480.74264160421,57208.14095740884,60027.827511214186,62931.54189605179,65914.54682920351,68975.63710271216,72117.13958338136,75341.77153739399,78635.87645055614,81983.24124113054,85373.01124989554,88799.67618873873,92263.0701406565,95762.33051189121,99273.86844978422,102774.06258054113,106246.71664328934,109682.99644250749,113081.41462437688,116432.91348310583,119704.79089282776,122870.88508147842,125914.31819700335,128827.49630735778,131610.11453688878,134240.1277484031,136686.12852995165,138927.63470426155,140954.71733626464,142768.0007330982,144364.6551975232,145718.60920485307,146812.39429808792,147639.03121461545,148202.02531817483,148511.6629240457,148558.36720298228,148332.6902255632,147834.542515927,147072.50956036127,146063.5404191475,144816.16881164646,143331.07733864457,141615.91203759066,139683.6843411701,137552.77107730467,135242.77809637153,132763.18044776662,130127.77693230171,127352.0114900305,124452.60925362592,121447.5765483801,118350.67769059169,115177.14180889506,111946.40447367195,108674.5738265866,105374.42788423698,102055.41453815464,98723.97888041621,95392.7097830208,92080.4956308849,88801.39161623489,85563.993593508,82371.43807935265,79221.77811523012,76121.9365329487,73086.43588863424,70124.27632812147,67239.42769699887,64430.82954060869,61692.876998653875,59028.54733752785,56446.958940960685,53952.675117819876,51546.14657561559,49223.71142050065,46977.99578338249,44809.299635171235,42722.987926177,40720.78000284664,38801.41035178103,36960.62859973517,35191.31695806088,33491.20458567906,31863.375444651578,30308.304094356918,28824.382735531628,27407.92121027031,26053.14700202578,24755.088930165548,23515.4731492633,22334.553830518355,21211.153891008456,20142.707580069862,19125.26047929718,18153.574990561505,17225.838501737107,16342.935706129914,15504.396483118071,14708.837683291316,13953.963128450978,13236.563611609976,12552.568150176512,11900.405489619056,11280.712704348574,10693.12256766868,10136.667695606633,9609.780546913351,9110.293423063385,8635.438468254966,8182.803946246175
E,560.0731100486769,586.4812141764652,609.5094986082441,630.2741722402044,729.8166743187303,817.1583541052635,898.7170267997631,978.5652219982262,1059.2614993010711,1142.5740815825607,1229.6099920580966,1321.2745020170205,1418.1823544432004,1520.8411997966803,1629.7823374828374,1745.422029285918,1868.1450908330198,1998.383650884792,2136.6029655998223,2283.2035688010374,2438.5796375922973,2603.1742216519533,2777.4796273332367,2962.035156890765,3157.264107568637,3363.537388270224,3581.3080909217915,3811.1129376560457,4053.572476917713,4309.323548410015,4578.609307151812,4861.663420254441,5158.8822515653,5470.824861667848,5798.213007881588,6141.747365087675,6501.261569437943,6876.527364967628,7267.625946466407,7674.947963658709,8099.193521203743,8541.068059862093,8999.682955212622,9473.875489908136,9963.01435859705,10467.001669366899,10986.272943744287,11521.325233954922,12070.093768042148,12630.05219797916,13199.50548391602,13777.589865664891,14364.272862700038,14959.406471107974,15559.156919690406,16159.609026500551,16758.03978314413,17352.909694343216,17943.860399318943,18529.287092446524,19103.597412187086,19662.23393145784,20202.185645009908,20721.987969428337,21221.392751833886,21696.46492047287,22141.589639110498,22553.01847136683,22928.82427506081,23268.90120221026,23572.559519188413,23835.025150824164,24052.999367761746,24225.05398845884,24351.630616860584,24434.391188586465,24471.46883043804,24460.972203453675,24402.71895189571,24298.121815529128,24150.13302408161,23960.193793479724,23728.25176615689,23455.541103977568,23144.32193008175,22797.88032888492,22419.760410634568,22011.551666132706,21575.594089702532,21114.590843397767,20631.543342607245,20129.751256054973,19611.754529092617,19080.13799957095,18538.239592390193,17988.87731376067,17434.348768488453,16876.431159975236,16316.411684971848,15756.414292264053,15199.664685898999,14648.598201458055,14104.724191696721,13568.626026544636,13040.022781626672,12520.092588639807,12011.30769162262,11515.20721649566,11032.466280675088,10562.895993072683,10105.52608646254,9660.844708133334,9230.393246829059,8814.934021456731,8414.52357749107,8028.512686974504,7655.615050677839,7295.859195129864,6950.1415733460635,6618.735568959866,6301.40511100292,5997.4046739050755,5705.499406306595,5425.284948883364,5157.2710629113235,4901.523128011607,4657.75367152496,4425.322368511747,4203.236041751963,3990.639768132421,3787.817256118427,3594.8014537557633,3411.384636989966,3237.1256873062175,3071.350091729329,2913.167818026139,2762.2689341113332,2618.797059667294,2482.667889240678,2353.6449648699786,2231.3396760855358,2115.2112599095312,2004.5754208390981,1899.1679575885807,1799.0927577215848,1704.285746378638,1614.5837135012125,1529.7243138317294,1449.3460669135518,1372.9883570909922,1300.2499626088986
F,1379.855612715997,1386.7194123130353,1395.7595755285304,1406.3871545399365,1581.3347862153278,1731.7876564265734,1869.5414849132683,2002.0876377166628,2134.1186226682785,2268.8385108215543,2408.212339732911,2553.8023779572522,2706.616004826034,2867.4435041714587,3037.101414858586,3216.1804712538706,3405.198783187584,3604.7508919110887,3815.4812979722515,4037.9029217394145,4272.5069279831305,4519.863477165824,4780.6223682264545,5055.504142993427,5345.014512429061,5649.565789928318,5969.70251475686,6306.103764218101,6659.583436219239,7030.964631615609,7420.419434118531,7828.10724524281,8254.446309368428,8700.113713740542,9166.04538846945,9653.124472998074,10160.870401607648,10688.724662363338,11236.610911952326,11804.934981113624,12394.584874638122,13006.44462150907,13638.9776326766,14290.283609579285,14959.270276123038,15645.655451515033,16349.967050263625,17072.823478827704,17811.085868193153,18561.02525304597,19320.143589995423,20087.170699073075,20862.064263732802,21644.624316589307,22429.43300900818,23211.0641194654,23985.80114983663,24751.62295210432,25508.200235139593,26253.470114766264,26979.942749503713,27681.637303142157,28354.71388565081,28997.473553177922,29609.89985752825,30186.992601877126,30721.615482601817,31209.149711890008,31647.407742002808,32036.63326527479,32376.284743946206,32660.50698319686,32885.42821142201,33049.58187561437,33153.905588965026,33200.89125452108,33188.49199837193,33114.705886097996,32979.65933980302,32785.44856904151,32536.0682086885,32233.585923103365,31878.29849836807,31472.072516112363,31017.968530660823,30520.241069032876,29983.40127258597,29409.67794267482,28802.28310688868,28164.765919974343,27500.929258120395,26814.829718957237,26109.546153137577,25388.54415103565,24656.23200329539,23916.2277264659,23171.358451186286,22423.660422185658,21674.464654509768,20926.578315454783,20184.21882940582,19450.486525431494,18727.23545451311,18015.07338954465,17313.448612370772,16623.845380247672,15949.460643265691,15292.237895470815,14652.990508995195,14031.40173405718,13426.134918806969,12837.794443251049,12268.355645645775,11718.774995815756,11189.095344180298,10678.445921753384,10185.132119135595,9709.177144166262,9251.726529799158,8813.117839414359,8393.031833925404,7990.492471779252,7603.892998734635,7232.703516321745,6877.573594427924,6538.578286482512,6215.338174010932,5907.0193666346595,5612.333502071278,5330.1714955028165,5060.892990241134,4804.533453059059,4560.818115104921,4329.171371481815,4108.716781247599,3898.300122542407,3697.515640425237,3506.542765850571,3325.266771738084,3153.3764530867934,2990.3641269750683,2835.52563256062,2687.971456854696,2547.3546798039965,2413.8045886062646,2287.2335064680033,2167.4253797696865,2054.0357780657578,1946.5918940846284,1844.4925437286822,1747.2136615421464
G,540.4633769043594,552.2002479129945,563.2183974980215,573.8161274451861,653.620132016853,723.1249619703535,787.5965957824948,850.382261131713,913.587441794691,978.665502886774,1046.525369860764,1117.9068201980456,1193.309652057473,1273.1443193730047,1357.8395229401062,1447.7295311855703,1543.1230427508724,1644.367812081428,1751.8387615612264,1865.8599080839206,1986.752962714277,2114.879793058471,2250.6426584759092,2394.481560782757,2546.7510765438637,2707.770944877428,2877.9261248592493,3057.66784877458,3247.5137693192178,3447.9978243678484,3659.364157662525,3881.854302869707,4115.83602797165,4361.803335266394,4620.376461367764,4892.16653993957,5177.138330674233,5475.212665415363,5786.548069738253,6111.540766222076,6450.8246744498865,6805.045613446817,7173.644284921968,7555.846884173207,7951.287282866611,8360.00875045263,8782.463954166029,9219.15894424075,9668.625326214855,10129.01379308513,10599.11614656538,11078.366217509796,11566.839865912907,12064.523672243673,12568.485878023512,13075.683103782569,13584.00457113796,14092.26613025387,14600.208443027803,15106.567278471135,15606.796089886799,16097.133263846443,16575.056354234544,17039.282082248417,17489.500767498383,17922.331180631234,18332.889644222996,18717.823490686573,19075.290485162637,19404.958825519603,19705.988835206666,19973.96863502634,20205.69106986983,20399.572896291324,20555.654169917707,20675.039901584074,20755.699245436022,20795.485774727535,20793.81130201927,20751.557354205688,20671.026247074005,20553.16081624705,20397.42325173803,20204.49516910806,19976.093840409754,19714.97219418718,19424.190644522838,19104.846344341277,18758.686364405483,18387.930894144985,17995.216226831057,17583.594759576747,17155.455292297414,16712.885167661057,16258.683759798925,15795.333805095695,15325.000963271972,14849.533817384234,14370.437247022313,13889.521943547225,13409.615756245044,12932.956809595322,12461.01792266184,11994.506609092681,11533.411651580165,11078.855747206122,10633.091128284637,10197.589413894488,9773.058340364974,9359.441761275943,8955.990017093874,8563.20658067043,8182.544338155261,7814.762598342733,7459.9782798945125,7117.665911339557,6786.718967608035,6467.206574289927,6159.990979917463,5865.366590438086,5583.157078804489,5312.715384974609,5052.942076410952,4803.494026209148,4564.8690797027,4337.155533417572,4120.113360342593,3913.1742099294734,3715.4414080928063,3526.1438547130538,3345.5624711967303,3173.745811876475,3010.51813206969,2855.4861035912254,2708.038814753355,2567.364369094889,2433.188253135724,2305.655364387101,2184.6984683847986,2070.108764264594,1961.5358847622665,1858.4878962135963,1760.339311610794,1666.8540624896955,1578.1355851293927,1494.1310684243047,1414.6959329742012,1339.593831084209,1268.496646764802,1200.9844957318141,1136.6920101635505
H,582.5525602385042,576.7032960500431,573.4038773229261,571.9469069246694,635.6580417397145,690.0817423277923,739.6311559280306,787.1025585616924,834.2407914204135,882.2308505317221,931.7928221398104,983.4953674097351,1037.6994786511482,1094.6851624143292,1154.7427317733382,1218.0785226189792,1284.8722416624241,1355.332680939131,1429.6876498792985,1508.1164490173885,1590.7911743746718,1677.9134178682284,1769.7144772618165,1866.451619519095,1968.3045049723862,2075.4202819301177,2187.9943799393664,2306.2713253817838,2430.5448407624604,2561.112193595988,2698.0385071129226,2841.3856020612093,2991.308658858306,3148.056217591187,3311.9701780163323,3483.374443070085,3662.107624820603,3847.9816516256064,4040.9812395883273,4241.263894481892,4449.1599117493615,4664.999621412967,4888.251245325385,5118.252833096081,5354.631304342289,5597.30321158409,5846.474740244411,6102.385918956796,6363.934155192562,6629.8016571499975,6899.111109157771,7171.424753838778,7446.744392110125,7725.016509065723,8004.310849765755,8282.686062255829,8558.81547931295,8831.9821272542,9102.077483010034,9368.368554633162,9628.149757318404,9879.25453754829,10120.292173228261,10350.64777368668,10570.31667779339,10777.479094808868,10969.52080605934,11144.745819182492,11302.34797027525,11442.410923893767,11564.731697103589,11667.14388017632,11748.203438214121,11807.356665315692,11844.93980391642,11861.86572022763,11857.360600173608,11830.653220889395,11781.768148639703,11711.468585446142,11621.229863198587,11511.80549467068,11383.265510301204,11236.270388013907,11071.937509984638,10891.841162641367,10697.657364665785,10490.175978570669,10270.544846697903,10040.053255468652,9800.10100797432,9552.198423976584,9297.491006299382,9037.21198009298,8772.945453913562,8506.0017621185,8237.417237464608,7967.954211108146,7698.125365145315,7428.923266324487,7161.860090471234,6898.0535052598925,6638.172254252078,6382.436156896717,6130.6468170800545,5883.328606236076,5641.627799778209,5406.240314719644,5177.45174371997,4955.137355085203,4738.8019350016475,4528.652815039104,4325.397138300457,4129.3728378418,3940.5859488080405,3758.7106084329002,3583.1217052203674,3413.819156663574,3251.2115275201886,3095.414354500897,2946.3051473715464,2803.523388953146,2666.480025779502,2534.9779333449405,2409.248138831269,2289.313568918833,2175.033060813017,2066.1013622442383,1962.049131467961,1862.472647824852,1767.4999446413124,1677.1414665685556,1591.2961218496828,1509.7546973622334,1432.199858618187,1358.214483318114,1287.65187624952,1220.5756323546675,1156.9434803397899,1096.6428922482905,1039.4910834607426,985.2350126948907,933.5553848663047,884.3279803576414,837.5987628251996,793.3358849522019,751.4618430269215,711.8534769426811,674.3419701978523,638.712849895858,604.779230451115
I,762.8664479313746,767.569865669082,773.2293171555531,779.5607899825034,876.9073221673032,960.3884271045077,1036.5401417638864,1109.4967873004787,1181.8308159851276,1255.2830131594242,1330.9034151266906,1409.5171276478202,1491.6404765117554,1577.669307144632,1668.0151027720103,1762.9641390816957,1862.7626366327866,1967.700936040602,2078.0987074069817,2194.2023399350805,2316.246972224282,2444.5138722953616,2579.330815090777,2721.065642539651,2869.969169077083,3026.245885285653,3190.175281300723,3362.113051668587,3542.4912264015666,3731.74592941057,3929.9770766704933,4137.28666554339,4353.9163265784555,4580.247323512025,4816.800553267562,5064.070638328891,5321.86427844445,5589.960470256298,5868.387962887784,6157.425260342243,6457.600621503017,6769.444438887803,7092.27530180893,7425.238563705591,7767.887813353561,8120.185785549297,8482.504361109904,8855.264638081251,9237.003551725606,9625.95577884384,10020.970818416863,10421.511603324352,10827.654500344695,11239.395138446711,11654.076601225168,12069.007937046594,12482.354308834332,12893.130146660937,13301.197419027832,13705.523033319938,14102.235223533531,14488.200386029062,14861.375637262343,15220.80881378458,15566.403481728014,15895.432119508241,16203.964375521344,16489.380231257896,16750.33693024237,16986.76897803313,17198.181986321208,17381.15922417341,17533.31519434685,17653.583334864736,17742.21548050642,17800.321075161504,17826.480018727656,17819.23375958815,17778.34543730635,17704.720577823235,17600.367519961084,17466.20969848126,17302.077324425598,17108.734080799193,16887.699984043236,16641.251384034982,16371.864150903037,16080.582314539206,15768.990038081456,15438.962378058106,15092.618955435912,14732.323955620088,14359.900811858412,13977.157749527232,13586.459076347848,13189.822575011469,12788.919153268953,12385.072843930777,11979.273026054692,11573.041871056696,11168.713816725987,10768.072060696919,10372.23971430023,9981.679802563029,9596.238463190455,9216.79334880685,8845.163353421523,8482.498157270727,8129.3188246879745,7785.517804104029,7450.418527187117,7124.399899350827,6808.612974281973,6503.639698417037,6209.543140227734,5925.867490221015,5651.688300877302,5387.043114374352,5132.608168502407,4888.600804169484,4654.861517920981,4430.853961939674,4215.679769882783,4009.0517090772837,3811.3569900405523,3622.6540527352963,3442.739476559387,3271.1479803458565,3107.1524223629112,2950.1272072365896,2800.2888112275705,2657.6676074375446,2522.1151397289964,2393.3095063984156,2270.755360176284,2153.7971650847344,2042.2090722459861,1936.1008312138242,1835.412858337529,1739.97251238429,1649.494094539211,1563.5788484053066,1481.7213587010049,1403.7276767030924,1329.6762907252048,1259.520889336941,1193.1415853771277,1130.3449159538218,1070.8638424443056,1014.3577504950922,960.5299560642809
J,375.9329329617933,406.69830602513713,432.95218120416234,456.2486306334501,539.5779228236325,613.8591322068954,684.3690075955296,754.4563095362585,826.2363705977833,901.1953385484896,980.2915805769917,1064.3371240709437,1153.9205155318443,1249.5576266636758,1351.7974203397578,1461.1082857219972,1577.947850869094,1702.82436954703,1836.2848152759302,1978.8412514026709,2131.0188619460487,2293.395357062987,2466.6011525178374,2651.318956647842,2848.1664784883887,3057.7424769362465,3280.7274465346345,3517.8847239344705,3770.0606674250575,4038.1432639497843,4322.738631084018,4624.464272572001,4944.090150319957,5282.53868439608,5640.884753030534,6020.226389518894,6420.967353807544,6843.465561275032,7288.364282338316,7756.592147052985,8249.363145113277,8767.938604659197,9312.189994873914,9881.701881788218,10476.555555256897,11097.332085049224,11745.112320848904,12421.06760186573,13123.914030133617,13851.787817882265,14603.627872465378,15379.18103700517,16179.002090392307,17003.535630738686,17849.265985166763,18712.337100667344,19590.116966653935,20481.193116668976,21385.37044123415,22301.01794022915,23221.520464995192,24141.18057295171,25056.042694086,25963.89313095322,26863.88226347968,27750.32654498816,28614.721971065614,29450.852120415024,30254.82866323664,31025.091361227995,31759.172463199055,32448.177467631976,33084.950544154046,33665.155913907125,34187.2769950708,34651.66581150856,35052.780922742975,35384.356642169405,35643.193270782394,35829.05463450053,35944.5805882739,35989.77511817966,35961.024970349754,35857.354252141675,35680.351073703896,35434.16754797583,35123.94184012173,34749.9264001814,34313.42804708445,33817.481262687084,33266.74975292812,32667.526447828935,32024.983375778113,31341.737415983516,30621.93445508225,29870.021435674218,29090.74551458284,28289.15406285496,27470.223725949614,26636.8670169025,25794.09259663538,24946.51505741258,24097.7030173037,23250.179120183664,22405.453213013177,21566.09965753131,20736.67690805556,19920.607722085962,19119.91841276144,18335.238848859877,17565.912093023646,16813.3273185163,16080.76143346235,15370.186612327087,14682.264092313872,14016.344173364114,13370.582418368082,12745.386482365455,12142.829249741208,11563.81741465975,11008.238835199847,10474.96253335457,9961.876463215236,9468.423719471002,8995.862229928418,8544.57225023809,8114.199727483489,7703.656300180938,7311.119298279651,6935.021388616911,6576.102793672078,6234.600780595771,5910.242916275176,5602.261509392514,5309.393610425005,5029.917995439046,4763.306745391286,4509.973288338022,4269.851963428949,4042.552752104533,3827.361278096017,3623.2388074254145,3428.8403601590135,3243.6965444835137,3068.101119220843,2901.9920993798946,2745.0977210062088,2596.9364411819784,2456.8169380260438,2323.838110693901,2197.21906091472
