FIP,County,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
13001,"Appling County, Georgia",17728.426961839312,17707.67991688258,17686.839258975026,17666.012671733584,17645.271139239827,17624.660345460976,17604.20903359969,17583.935196897186,17563.848815089088,17543.954930752556,17524.255767058694,17504.750113176964,17485.435992839848,17466.311029787284,17447.37112914125,17428.61180246089,17410.028807113915,17391.618035847245,17373.37463627843,17355.293555817578,17337.36996003306,17319.59922194831,17301.976916488216,17284.498401892823,17267.15873744891,17249.953147467462,17232.87700391833,17215.92582643022,17199.09528229068,17182.38117556625,17165.779125170295,17149.284542250123,17132.892973375143,17116.60011444382,17100.40181068366,17084.29405665123,17068.27299623216,17052.33492252896,17036.476050505047,17020.69218727436,17004.9792337275,16989.333256228743,16973.75048661601,16958.227322200877,16942.760325768577,16927.346225578018,16911.98191536174,16896.664301720153,16881.389538411768,16866.154193365874,16850.95501334117,16835.788831434264,16820.652567079676,16805.543226049802,16790.457900454938,16775.39376874328,16760.348095700934,16745.317869294828,16730.298448053618,16715.288807894933,16700.288094677766,16685.29480866644,16670.306804530628,16655.321291345324,16640.334832590866,16625.343346152935,16610.34210432253,16595.32542299669,16580.293287881446,16565.250614026227,16550.19990181949,16535.141079562178,16520.07150346766,16504.98595766178,16489.87665418282,16474.733232981514,16459.55000609864,16444.337464312506,16429.103302587235,16413.851128055165,16398.580474143433,16383.286800573918,16367.961493363275,16352.591864822916,16337.168286880502,16321.704657201912,16306.209681439175,16290.687585292455,16275.138627034656,16259.559097511396,16243.941320141039,16228.273650914683,16212.548858404465,16196.780409490293,16180.97544800184,16165.137573950551,16149.267125622851,16133.361179580123,16117.413550658732,16101.414791969999,16085.360166107412,16069.261213475254,16053.124272758463,16036.95282878852,16020.747617761086,16004.506627235995,15988.225096137247,15971.89551475301,15955.512815449672,15939.08708442742,15922.625206345863,15906.131294346686,15889.606906523617,15873.051045922424,15856.460160540928,15839.828143328989,15823.148277438877,15806.428124162738,15789.676348641067,15772.89831539323,15756.096789973437,15739.271938970765,15722.421330009145,15705.539931747368,15688.620257375684,15671.664246630196,15654.68298747786,15637.683555630458,15620.670257248776,15603.644628942615,15586.605437770779,15569.548681241078,15552.467587310335,15535.35706773958,15518.22852413404,15501.0912769691,15483.951371207033,15466.811887980135,15449.672944590726,15432.531694511155,15415.382327383815,15398.216657994513,15381.040115439591,15363.865057429486,15346.69927281291,15329.54744032857,15312.411128605163,15295.28879616139,15278.175791405947,15261.064352637522,15243.955342152478
13003,"Atkinson County, Georgia",8374.715599645018,8373.210527601474,8371.654683765195,8370.026503666884,8368.311714075679,8366.501101332015,8364.588865247393,8362.57138648498,8360.446676911117,8358.213758551625,8355.872233008482,8353.422404046954,8350.864732641416,8348.199760574036,8345.428378154222,8342.55155366375,8339.570200978967,8336.485202110262,8333.297587276411,8330.008423696137,8326.618730506876,8323.129480980531,8319.541603474496,8315.856062735167,8312.073891765309,8308.196090146152,8304.22362240373,8300.157418008865,8295.998371377178,8291.747340137,8287.405201148502,8282.972951276457,8278.451560680534,8273.841950423688,8269.144992472176,8264.361509695538,8259.492275866616,8254.538015448452,8249.499375569561,8244.3773546767,8239.173057479094,8233.887481512123,8228.521517137337,8223.075947542438,8217.551448741297,8211.948589573942,8206.267831706567,8200.509436081513,8194.67390240945,8188.7630066947495,8182.778339109637,8176.721160407341,8170.592401922108,8164.392665569193,8158.122223844854,8151.781019826369,8145.368667172021,8138.884349164691,8132.328228503435,8125.70405801827,8119.015078570539,8112.26349079021,8105.450455075876,8098.576091594753,8091.639480282679,8084.638660844118,8077.570632752155,8070.432790235599,8063.23034508493,8055.969867169741,8048.655742210161,8041.290178585205,8033.873207332757,8026.402682149588,8018.8742793913425,8011.281498072538,8003.622624968406,7995.908214870086,7988.14496178483,7980.3368535135605,7972.485189237533,7964.588579518334,7956.642946297873,7948.641522898392,7940.579737489773,7932.468259467318,7924.313555550754,7916.11938749297,7907.887186213686,7899.6160517994485,7891.302753503644,7882.941729746487,7874.530062299682,7866.076749362749,7857.586807664905,7849.063277010457,7840.507392371829,7831.918583889588,7823.294476872425,7814.6308917971655,7805.926256741927,7797.187800730865,7788.419761755168,7779.624851059195,7770.80431245087,7761.957922301683,7753.083989546684,7744.179355684494,7735.242158781842,7726.278463162414,7717.292527192424,7708.287163636527,7699.263857071029,7690.222763883885,7681.162712274695,7672.081202254718,7662.975416650888,7653.849854288513,7644.709451621035,7635.557450580748,7626.395773520713,7617.225023214778,7608.044482857569,7598.852116064485,7589.644640222258,7580.423525721653,7571.19472187364,7561.962126008429,7552.728259458278,7543.494267557509,7534.259919642495,7525.02360905167,7515.782353125515,7506.534005345772,7497.284500610841,7488.0386504723,7478.799665013975,7469.569310501838,7460.347909384011,7451.1343402907605,7441.926038034503,7432.719281979147,7423.516951683942,7414.325169239594,7405.1478302743,7395.98734168777,7386.844621651248,7377.719099607498,7368.608716270805,7359.5099236269825,7350.423257197968
13005,"Bacon County, Georgia",11118.885392367863,11113.122556449305,11107.28185711463,11101.360044725792,11095.35510967255,11089.265960576982,11083.092174625914,11076.833787469972,11070.491183397404,11064.064973080958,11057.5559050558,11050.964876849806,11044.29282182016,11037.540686637201,11030.709482099895,11023.800227607086,11016.813910978228,11009.751491749654,11002.613947839955,10995.402258501888,10988.117365877064,10980.76017409836,10973.331549237655,10965.83234195991,10958.263434608234,10950.625682403723,10942.919900372211,10935.14686334429,10927.307305955297,10919.401919568221,10911.431386493914,10903.39649601236,10895.298006880921,10887.136622572853,10878.912991277288,10870.627705899245,10862.281304059617,10853.874267894254,10845.406997824606,10836.88021799811,10828.294745852596,10819.65129085114,10810.950454482072,10802.192730258972,10793.378503720682,10784.508052431285,10775.581545980132,10766.598953363437,10757.560455112922,10748.467463415594,10739.321208775411,10730.122600090144,10720.872224651373,10711.570348144489,10702.216914648701,10692.811546637025,10683.353544976295,10673.8417676312,10664.275910143597,10654.659376569503,10644.995079468588,10635.2848750592,10625.529563218402,10615.728887481933,10605.88153504424,10595.985136758449,10586.03626713639,10576.031752963543,10565.976382868204,10555.876773611515,10545.737214088625,10535.559653734317,10525.343702523009,10515.086630968752,10504.783370125226,10494.426511585758,10484.013597699666,10473.555576729095,10463.059553407842,10452.529579436252,10441.966671190203,10431.36880972107,10420.73094075575,10410.044974696651,10399.305220198665,10388.523227159,10377.706080420536,10366.857724504895,10355.979372018734,10345.069503653762,10334.123868186727,10323.135482479423,10312.100410076704,10301.028739281126,10289.926041832217,10278.795517199418,10267.638190086738,10256.452910432738,10245.236353410552,10233.983019427873,10222.6905170449,10211.367128749827,10200.0176239715,10188.644894979621,10177.250027134147,10165.832298885292,10154.389181773518,10142.916340429556,10131.411015454558,10119.880261694127,10108.329001012298,10096.760346911033,10085.17574632783,10073.574979635745,10061.956160643373,10050.31573659486,10038.649746490477,10026.96342776815,10015.262688197055,10003.551293483355,9991.831323529219,9980.103172432808,9968.365548488306,9956.615474185879,9944.848378693308,9933.065743849862,9921.274904556623,9909.480599074479,9897.685776490092,9885.891596715906,9874.09743049014,9862.300859376783,9850.49767576561,9838.684742986708,9826.86949373629,9815.058005932206,9803.25424731021,9791.460275880758,9779.676239928986,9767.900378014725,9756.12901897249,9744.356959765626,9732.587720278447,9720.829251124711,9709.086564673176,9697.362671923305,9685.658582505275,9673.973304679972,9662.303845339009,9650.6452100047,9638.997929527004
13007,"Baker County, Georgia",2746.7707847357256,2738.845535474635,2730.9092984080526,2723.0113999831797,2715.1848070457268,2707.4512675622022,2699.825047629576,2692.3156595004853,2684.929053956307,2677.6689513428596,2670.5377509667696,2663.5362561033585,2656.6648219954654,2649.923513475533,2643.3115217788845,2636.8277400343286,2630.4710623105993,2624.240344141029,2618.1339901334477,2612.1501497638324,2606.2870090119277,2600.542793678364,2594.9157689590415,2589.40405227615,2584.005344907553,2578.7173595210743,2573.5378965460786,2568.4648441734753,2563.496178355716,2558.629965197367,2553.8640688713817,2549.195818200735,2544.622628145136,2540.1420810579766,2535.751926686332,2531.4500821709603,2527.234632046302,2523.1038283978933,2519.055870150396,2515.0879618592217,2511.1972208209713,2507.381045055673,2503.6371133067837,2499.9633850411874,2496.3581004491957,2492.819780444549,2489.3472266644144,2485.939469770929,2482.594326772458,2479.3083822617446,2476.0786288018558,2472.902548889905,2469.7781149570533,2466.703789368504,2463.6785244235098,2460.7017623553666,2457.773435331416,2454.893749997642,2452.0600352649326,2449.268341281392,2446.5155325310698,2443.79920086891,2441.1176655207523,2438.4699730833295,2435.855897524271,2433.2759401820977,2430.7313297662286,2428.22202826503,2425.743069597116,2423.291807147746,2420.8662817985287,2418.4650864473424,2416.0873660083353,2413.7328174119266,2411.4016896048056,2409.0947835499314,2406.810987314382,2404.547175540935,2402.302413112981,2400.075842564668,2397.866675010467,2395.674190145171,2393.497736243897,2391.3367301620865,2389.190372070823,2387.057689956228,2384.9384934415184,2382.8324409570323,2380.738998427527,2378.6574392721805,2376.5868444045923,2374.5261022327836,2372.4742760708614,2370.4315972228496,2368.398178718212,2366.373884985254,2364.358340918403,2362.3509318782058,2360.350803691328,2358.3568626505557,2356.368364809607,2354.3858740739925,2352.4096247693874,2350.4396139531923,2348.475608667589,2346.5171459395447,2344.563532780813,2342.61384618793,2340.6673790642208,2338.7247669575095,2336.786399217488,2334.8524223527797,2332.9227580834668,2330.9971033410898,2329.0749302686504,2327.1554862206076,2325.2379700799956,2323.322888101653,2321.410860546862,2319.5022118684456,2317.597033639788,2315.69518455483,2313.79629042807,2311.899744194564,2310.0047191583058,2308.111262591906,2306.2202633077627,2304.332244624269,2302.4474808622235,2300.565997344835,2298.687570397717,2296.8117273488933,2294.937746528791,2293.065066815139,2291.194638039593,2289.3272143108443,2287.463255437113,2285.602955870282,2283.7462447059,2281.8927856831756,2280.041977184981,2278.1930060664736,2276.346299723575,2274.502903931876,2272.6634518623027,2270.8283003422985,2268.997529855826,2267.170944543365,2265.3480722019144,2263.528164284989,2261.7112457395915
13009,"Baldwin County, Georgia",44231.31235420717,44202.75620837962,44173.94733818653,44144.958478786764,44115.837325976296,44086.61435432386,44057.30854735787,44027.93162686759,43998.48990619259,43968.98638054502,43939.422163745745,43909.79606006353,43880.1063722155,43850.351139886014,43820.527254776105,43790.63135955573,43760.66025136068,43730.610801913965,43700.47940350081,43670.2623725788,43639.9561449941,43609.55726280776,43579.062368961866,43548.46794269894,43517.77046570507,43486.96653823406,43456.05279539831,43425.025907169045,43393.88257837611,43362.61952710136,43331.23339210078,43299.72121815861,43268.08010951082,43236.30713192102,43204.39931268034,43172.35364060748,43140.16706604871,43107.83649991722,43075.358529978854,43042.730941102214,43009.95207547952,42977.0200064152,42943.93253832587,42910.68720674034,42877.28127829964,42843.71175075697,42809.975352977766,42776.06801282489,42741.9860709875,42707.73172313081,42673.30656502345,42638.71089863338,42603.94373212789,42569.00277987367,42533.88446243673,42498.583906582455,42463.09494527558,42427.40935085193,42391.52163696971,42355.445073948904,42319.1909239168,42282.76542539851,42246.16979331704,42209.4002189933,42172.44787014605,42135.29889089193,42097.93440174544,42060.33654445291,42022.5262316015,41984.53424453084,41946.37992279964,41908.071070053,41869.60395402237,41830.96330652558,41792.12232346682,41753.04266483669,41713.71102442971,41674.180320690364,41634.4838715691,41594.64017031482,41554.65297566562,41514.51131184875,41474.18946858071,41433.647001067126,41392.85559563332,41351.87096892852,41310.725862219304,41269.438142473344,41228.01285745654,41186.44223573294,41144.70568666491,41102.76980041296,41060.61594532995,41018.29138218011,40975.821169906274,40933.21958258664,40890.49106812285,40847.63024824002,40804.62191848663,40761.4410482346,40718.07708930124,40674.56764648972,40630.933711475285,40587.18807612299,40543.335661492885,40499.37351784015,40455.29082461505,40411.06889046286,40366.69619154737,40322.20400447513,40277.613575956035,40232.93849050591,40188.18531594446,40143.35360339524,40098.435887285705,40053.417685347136,40008.28292729605,39963.05457893764,39917.75759139142,39872.40799082103,39827.01492711788,39781.5806739011,39736.100628517524,39690.56331204171,39644.95075868863,39599.27010996033,39553.551702717974,39507.81506365434,39462.07263710902,39416.32978506848,39370.58478716601,39324.82884068175,39279.046060542714,39233.22499513694,39187.39596593368,39141.583212895355,39095.80279896142,39050.06344041762,39004.366506895996,38958.706021374855,38913.06866017882,38867.4352386723,38821.820414975715,38776.25509430423,38730.758806688136,38685.34358935568,38640.01398673308,38594.767050444476,38549.59233931196,38504.4719193556,38459.40844292766
13011,"Banks County, Georgia",19219.715599645016,19217.168276572487,19214.525311323527,19211.74334619755,19208.793344907885,19205.65614678935,19202.319199804817,19198.774137526085,19195.015715796268,19191.040608425516,19186.846575235642,19182.43271666074,19177.798419466882,19172.94321504754,19167.86730827703,19162.571053499854,19157.05470591084,19151.318465852743,19145.362830184975,19139.188379285904,19132.79561419819,19126.18496106058,19119.35677281138,19112.311486404662,19105.049701858235,19097.57197416404,19089.878804897613,19081.9706422181,19073.847880868234,19065.510856641038,19056.959961694713,19048.195905093406,19039.219364171728,19030.030927641357,19020.63109559101,19011.020279486445,19001.198802170482,18991.16689723876,18980.924589151713,18970.472849965605,18959.81299316407,18948.946081081966,18937.872924905354,18926.59408467149,18915.10986926885,18903.420336437084,18891.525292767095,18879.42397623896,18867.116144974978,18854.60545420388,18841.89507741366,18828.98725754413,18815.883306986983,18802.58360758573,18789.08761063575,18775.39383688427,18761.49987653034,18747.4020027802,18733.099007026653,18718.601183459756,18703.91737383897,18689.053208935573,18674.011108532675,18658.790281425212,18643.386725419954,18627.79322733548,18611.99936300222,18595.995825148228,18579.797769165638,18563.425078968317,18546.89073733891,18530.200828278877,18513.3545370086,18496.34414996726,18479.155054812938,18461.76574042257,18444.17005899103,18426.400835231958,18408.4784861137,18390.414909294384,18372.21353966513,18353.869349350047,18335.368847706257,18316.690081323868,18297.81818240725,18278.78640760366,18259.614337753723,18240.31316626122,18220.88690228242,18201.332370726064,18181.639212253383,18161.789883278092,18141.775172167876,18121.62265794231,18101.347281351373,18080.958015909513,18060.458410203908,18039.846587894488,18019.115247713915,17998.25166346758,17977.251118123993,17956.135350471028,17934.916837682304,17913.603571303087,17892.199239893514,17870.703229028528,17849.110621297936,17827.412196306363,17805.60265337688,17783.699979489284,17761.716597388062,17739.660769320664,17717.536951766357,17695.345795436195,17673.08414527303,17650.745040451486,17628.320661883816,17605.82428689745,17583.270141800505,17560.66763158139,17538.022462283057,17515.336641003025,17492.60847589339,17469.832576160803,17447.00006244115,17424.115546702644,17401.195942667295,17378.252327574457,17355.292004435374,17332.318502033213,17309.331574923035,17286.327203431847,17263.29759365852,17240.237323727528,17217.16311522107,17194.088320549043,17171.021970110505,17147.969219545972,17124.93134973744,17101.905766808348,17078.886002123614,17055.862499528674,17032.843533115345,17009.845744009606,16986.87976841195,16963.952333612324,16941.0662579901,16918.220451014084,16895.409913242544,16872.62573632317,16849.869687236016
13013,"Barrow County, Georgia",80867.54156947145,80843.32907423153,80818.7349696311,80793.71010669522,80768.22041303292,80742.24215357081,80715.7584626722,80688.7567968751,80661.22783659695,80633.16423868004,80604.55977646707,80575.40963090808,80545.70929306012,80515.4544204493,80484.6414173812,80453.2668883121,80421.32736674737,80388.81935717148,80355.73974425491,80322.08561049569,80287.85398280733,80253.0418313998,80217.64606923588,80181.66371959796,80145.09228228498,80107.9292821697,80070.17216610073,80031.81830290241,79992.86498337494,79953.30938994487,79913.14883690087,79872.38181051648,79831.00678519765,79789.02200086313,79746.42546294446,79703.21494238601,79659.38797564479,79614.94186245854,79569.87319856547,79524.18190824962,79477.8691856202,79430.93540819579,79383.38013690432,79335.20211608299,79286.39927347843,79236.96872024657,79186.90675095262,79136.20768455969,79084.86756535842,79032.89638987473,78980.30251347595,78927.09103786145,78873.26381106264,78818.81942744294,78763.75322769782,78708.05729885475,78651.7204742733,78594.72684753692,78537.06897592975,78478.78143144223,78419.89369688106,78360.42366388308,78300.37763291546,78239.75031327558,78178.52482309105,78116.67268931972,78054.15384774964,77990.93187485253,77927.0590745961,77862.6062618649,77797.61895163525,77732.11731187408,77666.09616353881,77599.52498057742,77532.34788992853,77464.48367152117,77395.90722767255,77326.73733791945,77257.04782842094,77186.8808944861,77116.24730598152,77045.12640733118,76973.46611751647,76901.18293007626,76828.21956098903,76754.69765333418,76680.6885212185,76606.23218411449,76531.34181466533,76456.00373868486,76380.17743515757,76303.79553623863,76226.82179117431,76149.35765111563,76071.45752018882,75993.15343193758,75914.45707202112,75835.35977821417,75755.83254040703,75675.82600060545,75595.3208622731,75514.39727478223,75433.1007322452,75351.45986468368,75269.48712252553,75187.17877660507,75104.51491816273,75021.45945884529,74937.99107000542,74854.17619779834,74770.06046166335,74685.6738043534,74601.03182450833,74516.13577665493,74430.97257120672,74345.5147744642,74259.73172021988,74173.67242046157,74087.38965730919,74000.91801256906,73914.27808465715,73827.47648859942,73740.50585603142,73653.34483519853,73565.95888522775,73478.36451896689,73390.62505167547,73302.78176514035,73214.86161995535,73126.87725552123,73038.82699004548,72950.69482054257,72862.45042283382,72774.07246613891,72685.623859624,72597.15493155137,72508.69955531295,72420.27683961591,72331.8911284827,72243.53200125102,72155.17427257381,72066.78098706277,71978.38317958298,71890.0440976666,71801.80411538761,71713.68864555187,71625.70813969716,71537.85808809311,71450.1190197413,71362.45650237518,71274.87706954281
13015,"Bartow County, Georgia",101151.56177103588,101025.43897520471,100898.75093252384,100772.14797455168,100646.05821224894,100520.75648197194,100396.41492557939,100273.14049183071,100150.99155799008,100029.99660061028,99910.1670497277,99791.49361693938,99673.96247650038,99557.55749471654,99442.25227409227,99328.01817989908,99214.8282221887,99102.6563856986,98991.47231360569,98881.24462252959,98771.94340103358,98663.5401423905,98556.00770983573,98449.31779681097,98343.44054474295,98238.34724400059,98134.01018537935,98030.40266010122,97927.49895981487,97825.2743026901,97723.70293739533,97622.75825716075,97522.41456855841,97422.6471181261,97323.4320923674,97224.74661775175,97126.56876071426,97028.87752652094,96931.65140684774,96834.86724641685,96738.50278188482,96642.53663022225,96546.94828871397,96451.71813495875,96356.82742686963,96262.25830267358,96167.99378091186,96074.01665666503,95980.30574935563,95886.84495548057,95793.61893906117,95700.61229120826,95607.8095301222,95515.19510109274,95422.75337649908,95330.46865581001,95238.32516558362,95146.30481240795,95054.3822800847,94962.55971138373,94870.8392546951,94779.21743137877,94687.6851357646,94596.2276351524,94504.82456981184,94413.44995298253,94322.072170874,94230.65586359434,94139.21277069753,94047.78255036504,93956.387615933,93865.03236584889,93773.70318367177,93682.36843807211,93590.97848283188,93499.46565684442,93407.79821915842,93316.05352858646,93224.28410497743,93132.51634963586,93040.75066443926,92948.96145183824,92857.09711485641,92765.08005709044,92672.85340467717,92580.5098249978,92488.10456949877,92395.66559521541,92303.19704752545,92210.67926014906,92118.0687551488,92025.29824292958,91932.32776714503,91839.24076624875,91746.08031774325,91652.86908617882,91559.61108402,91466.29167164564,91372.87755734877,91279.31679733667,91185.58506044443,91091.75014841888,90997.84851087285,90903.90090730974,90809.91303103745,90715.87550916841,90621.76390261955,90527.53870611239,90433.17428019263,90338.72747762487,90244.23596637396,90149.72270773347,90055.19719697698,89960.65546335833,89866.0800701114,89771.44011445028,89676.701708324,89581.90636151796,89487.09942498174,89392.30908799495,89297.55033762578,89202.82495873087,89108.12153395543,89013.41544373312,88918.66961839794,88823.89550609447,88729.1492794805,88634.46628776951,88539.86828465718,88445.3634283211,88350.946281421,88256.59781109866,88162.2853889779,88067.98499399833,87973.75313004754,87879.63456586661,87785.65836782161,87691.83950271411,87598.17883778128,87504.66314069595,87411.2650795664,87317.94608451151,87224.73278679707,87131.68308475219,87038.83300970192,86946.20421421215,86853.80397208931,86761.62517838077,86669.64634937438,86577.83162259885,86486.18477327519
13017,"Ben Hill County, Georgia",17074.715599645016,17070.39856090945,17065.942170569586,17061.289339754156,17056.40322819446,17051.26117843256,17045.85020433459,17040.16354823853,17034.199095750097,17027.957593347805,17021.441405897196,17014.654814539077,17007.602455014392,17000.289083824584,16992.72030890561,16984.901822410066,16976.839015119604,16968.537042912198,16960.001324446504,16951.237207864826,16942.249772758132,16933.04383960145,16923.623973656617,16913.994722572003,16904.16058661754,16894.125846610903,16883.894605583373,16873.47078877986,16862.858143658905,16852.06024163987,16841.080578163834,16829.92263941088,16818.589773824315,16807.08517997864,16795.411906579575,16783.572852464036,16771.570766600158,16759.40824783268,16747.087705154674,16734.611864115148,16721.98351018051,16709.205241487765,16696.279468844503,16683.20841572893,16669.994118289826,16656.638425346584,16643.142998389198,16629.50917650631,16615.73847027844,16601.834023244548,16587.798715873087,16573.634972140942,16559.34475953345,16544.929589044383,16530.390515175954,16515.728135938803,16500.942592852036,16486.033352897994,16471.00072202382,16455.85050468061,16440.58784862652,16425.216363062278,16409.73811863118,16394.153647419105,16378.461942954516,16362.660460208446,16346.745115594504,16330.711876481042,16314.568250160326,16298.325288765707,16281.990452403857,16265.56755488519,16249.056763723876,16232.454600137806,16215.753939048625,16198.944009081715,16182.0214263764,16165.00398795847,16147.903981279145,16130.72871599219,16113.48054964518,16096.156887679464,16078.750183430213,16061.247938126386,16043.641473441157,16025.950219514838,16008.186599279841,15990.357829191486,15972.46657081079,15954.510930804492,15936.484460945057,15918.376158110652,15900.180065050617,15881.91358754141,15863.58666176689,15845.205247075806,15826.771653206755,15808.284540288205,15789.738918838482,15771.126149765772,15752.442806774023,15733.703331439812,15714.916250093134,15696.086946698399,15677.21778088789,15658.308087961794,15639.354178888188,15620.349340303037,15601.289510414506,15582.186996813454,15563.05046059498,15543.885558739445,15524.6951836262,15505.479463033598,15486.235760138976,15466.958673518664,15447.642138532316,15428.295331720808,15408.92838533886,15389.547897236127,15370.157706362517,15350.75889276818,15331.34977760352,15311.925923119195,15292.480286112823,15273.015773047839,15253.544674955388,15234.074991330299,15214.611841487325,15195.157464561158,15175.711219506426,15156.269585097683,15136.826159929424,15117.376301332528,15097.932302289379,15078.504090882838,15059.098244586976,15039.718321283268,15020.364859260586,15001.035377215205,14981.724374250804,14962.423934746894,14943.139973737972,14923.885167416176,14904.667530249188,14885.491969590887,14866.360285681363,14847.271171646911,14828.220213500037,14809.199890139449,14790.21120979845
13019,"Berrien County, Georgia",19599.715599645016,19597.08520088006,19594.35558304649,19591.48172955516,19588.43358100618,19585.19138661617,19581.742288036246,19578.077787177743,19574.19263531851,19570.083575642737,19565.748476492263,19561.18659182681,19556.397467907198,19551.380798477414,19546.136963403595,19540.666486627728,19534.96979037549,19529.0472420352,19522.899497803293,19516.527273749554,19509.931209666323,19503.111875590897,19496.069773785446,19488.80548470635,19481.319693772803,19473.613038257557,19465.686115524673,19457.539483029574,19449.173658319003,19440.589114687755,19431.786349298156,19422.766067787306,19413.52895469641,19404.075634090605,19394.40666955899,19384.522564214596,19374.4237606944,19364.11064070232,19353.583423086864,19342.842975595813,19331.890416140886,19320.726691621774,19309.352577926133,19297.768679929603,19285.975431495805,19273.973095476314,19261.761763710696,19249.341139295997,19236.71128464697,19223.874941387945,19210.83452796891,19197.591831836464,19184.14800943383,19170.503586200808,19156.65845657382,19142.61188398588,19128.362500866613,19113.908042146846,19099.247958230168,19084.3895934286,19069.339310943593,19054.10128569211,19038.67750430661,19023.06776513503,19007.269678240827,18991.278665402933,18975.08796011579,18958.691416902388,18942.099657105733,18925.327006239597,18908.382970834085,18891.272221214644,18873.994591501985,18856.545079612155,18838.913847256496,18821.08621994165,18803.05794852389,18784.85257175515,18766.485505208595,18747.965922071966,18729.296790597404,18710.47487410149,18691.49073096522,18672.328714634023,18652.978151955915,18633.46376017497,18613.801018174374,18593.999016646827,18574.06130116981,18553.98587220559,18533.7651851012,18513.386150088474,18492.841896885187,18472.15412446679,18451.335353393897,18430.393291882512,18409.331237908293,18388.148079206585,18366.838293272373,18345.39194736032,18323.805418504387,18302.096802078828,18280.27709796117,18258.35348623913,18236.329469475062,18214.204872705966,18191.975843443484,18169.63485167391,18147.177564762686,18124.61964744989,18101.97246470383,18079.24368707565,18056.437577981702,18033.55499370357,18010.593383388037,17987.5467890471,17964.408412063876,17941.19022505431,17917.90558256536,17894.563457701246,17871.169370956522,17847.725390216074,17824.230130755128,17800.678755239245,17777.06316305045,17753.387617410724,17729.668290746613,17705.91603307161,17682.138038903435,17658.337847264036,17634.51534167957,17610.666750180415,17586.784645301173,17562.863784801273,17538.92040815059,17514.96790283716,17491.015366634107,17467.068019539405,17443.127203775908,17419.19038379133,17395.251146258273,17371.29996940598,17347.344996326203,17323.40317218748,17299.485472574594,17275.598845118453,17251.746209496112,17227.926457430778,17204.134452691782,17180.361031094613,17156.608060707687
