Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,20.1860465116279,20.836578593352577,21.49694847923619,22.168454050731505,22.852786727233173,23.551820837333672,24.267465271114887,25.001561392899063,25.75584887863311,26.531930321427552,27.331250145218405,28.155125881606526,29.00472658849364,29.881079945672205,30.785111911275038,31.71764166599406,32.679396724063665,33.67102039128669,34.693095308987665,35.74612947308016,36.830591636825524,37.94691482645128,39.0954968021401,40.27671237784368,41.49088912122676,42.73833487452106,44.019351387466,45.33423431730856,46.68327322880328,48.06675077058431,49.4849294666799,50.93806328951857,52.42640532088164,53.95020642486477,55.50971524787804,57.10517821864585,58.73683954820709,60.40494117143545,62.10969506587884,63.851347968711146,65.63017224473064,67.44642445976339,69.30034538066319,71.19215997531168,73.1220774126181,75.09029106251981,77.09697849598145,79.14227736361477,81.22632642127932,83.34950557869111,85.51216218043307,87.71458083168453,89.95698339822137,92.23952900641582,94.56231404323668,96.92537215624915,99.32867425361488,101.77209829245683,104.25563203227573,106.78001131488152,109.34587666718483,111.95365212839613,114.6035452500256,117.29554709588308,120.02943224207823,122.80475877702065,125.6208683014193,128.47713769845726,131.3745025884019,134.31426490627948,137.29725266920752,140.32381697108343,143.39383198258386,146.50669495116534,149.66132620106362,152.85616913329434,156.09065581531345,159.3668504691678,162.68601359288905,166.0487980043181,169.45525246352565,172.9048216728126,176.39634627670964,179.9280628619777,183.49867203601286,187.11020489996304,190.76376718059623,194.4598529441065,198.19842610644767,201.9789204333336,205.80023954023787,209.6607568923944,213.55941420948147,217.4977692118866,221.47648505535568,225.49577294982794,229.55543016075228,233.65484000908776,237.79297187130277,241.96838117937594,246.18018335847808,250.42941831449474,254.71644922569254,259.04128792141273,263.4036079871181,267.80274476439314,272.23769535094385,276.70711860059754,281.2099437699588,285.746827442928,290.3180121561628,294.9234089880098,299.56262346392873,304.234955556492,308.9393996853849,313.6746447174064,318.43929629161806,323.23355155279205,328.05768649289087,332.91159375915174,337.7948655203385,342.7067934667426,347.6463688101824,352.61228228400364,357.60294027791616,362.6177796478505,367.65719993587936,372.7211410415395,377.80923472514894,382.92080460780636,388.05486617139195,393.21012675856656,398.38498557277245,403.57801740712574,408.7895464052926,414.0196373956977,419.26800378200176,424.53404231074035,429.81683307132334,435.115139496035,440.4274083600343,445.75183262274334,451.08803130410814,456.43630763317924,461.7964817716343,467.16805504527605,472.55020994403185,477.94181012195463,483.3414003972222,488.7472067521378,494.1583253145148
B,29.093023255813943,30.0305932780445,30.982270937636375,31.949767759879137,32.93529102555164,33.94124857707758,34.9700413524724,36.02391933107509,37.10493478148555,38.21489621338196,39.35534216147574,40.52759303087798,41.73272750915736,42.971596996377116,44.24489041808761,45.553132665763165,46.896715093077006,48.27590864771698,49.69090214528847,51.14177769225837,52.628577662546874,54.15131112101452,55.7099546002829,57.30446982704542,58.93475637441839,60.60070394662889,62.3022166924474,64.0392132051878,65.8116265227073,67.61940209729367,69.46246323517742,71.3407329654292,73.25415157180373,75.20267343073134,77.18626701131825,79.20491487534623,81.25861367727286,83.34737407543265,85.47117230290043,87.63003018890662,89.82401770655264,92.05319526488076,94.31761370887412,96.61731431945671,98.95232881349311,101.3226793437892,103.728378499091,106.16940319604211,108.64573776291007,111.1576316972811,113.70530398839367,116.28891053013263,118.90854412102922,121.56423446426102,124.25594816765205,126.98358874367274,129.74699660943975,132.54592150206565,135.38025379147464,138.25063633727177,141.15761240789809,144.1015072045586,147.08242786122213,150.10026344462128,153.15468495425262,156.2451453223768,159.3708794140179,162.53117713623277,165.7269127880596,168.95928359509,172.2290196542692,175.53638300783632,178.88116764332432,182.26269949356023,185.67983643666477,189.13096829605283,192.61547939032027,196.13532824960654,199.69165455053147,203.2850151552035,206.91538779361434,210.58217106363878,214.28418443103456,218.01966822944277,221.7873186649151,225.58903505975331,229.42580266796978,233.29802861884633,237.2056216384139,241.1479920494529,245.12405177149296,249.13221432081343,253.1714373704827,257.243145999314,261.3479079673787,265.4858722234877,269.6568052153257,273.86009088945144,278.0947306912973,282.35934356517,286.6530758181666,290.9768596707968,295.33099067982164,299.7154443579508,304.1298884987664,308.5736831767224,313.0458807471452,317.54522584623334,322.0707165252698,326.6229342307476,331.2020734672278,335.80803035817473,340.44042673219514,345.0986101230366,349.78165376958884,354.4883566158837,359.2174459511251,363.969094204992,368.74353721123657,373.5406673382864,378.36010996290696,383.20122347020117,388.06309925360944,392.94456171491,397.8441828277252,402.76146344804255,407.69676236630255,412.65002671429215,417.6209316823318,422.6088805192759,427.61300453251255,432.63216308796325,437.6649436100838,442.71009275429844,447.7679138160996,452.83847706888645,457.92154317723396,463.01659432349544,468.12283420780255,473.2391880480655,478.3643025799727,483.4966017275476,488.63577334509176,493.78211017948564,498.9354787646393,504.0954653617732,509.2613759594181,514.4322362734148,519.6067917469144,524.7835075503792,529.9616183699981
C,61.046511627906945,63.01369852860839,65.00878492671316,67.03175653705492,69.08252185958389,71.16093229290301,73.2667968834057,75.39989184887978,77.55996537172982,79.746744530149,81.9599405619216,84.1992526400177,86.46437595527384,88.75500490607668,91.07083663962788,93.41157602858448,95.77694201391463,98.16666889508771,100.58050772745354,103.01822372380835,105.47960582279154,107.9644674672875,110.47264657584552,113.00400216007311,115.55841082739879,118.13577089360348,120.73600276793152,123.35904895309018,126.00487404524972,128.6734630273505,131.3648054602333,134.07892170400567,136.81584730903467,139.57562694309638,142.35831439137658,145.16397255647013,147.99267345838135,150.844498181323,153.71951357876065,156.61783398926997,159.5396038599538,162.48495796350636,165.4540213982135,168.44690958795243,171.46372828219165,174.5045735559917,177.56953181000378,180.658659878131,183.77202225939632,186.90988898338708,190.0725038656374,193.26005925470912,196.4726960321919,199.71050361270298,202.97351994388748,206.26173150641827,209.57507331399594,212.91340277883523,216.27666635618667,219.66544584615755,223.0802440184276,226.52138125791572,229.9889955647796,233.4830425544159,237.00329545746018,240.54934511978746,244.12060000251097,247.71649671726203,251.33778960400625,254.98554966117234,258.66044659225145,262.36274599744115,266.0923093736459,269.8485941144764,273.6306535102501,277.4371367479915,281.26753546848175,285.12357502306384,289.0062962455831,292.9162267198977,296.85338386843165,300.8172749521752,304.80689707068433,308.8207371620814,312.8576793543468,316.9194292857061,321.00690127009847,325.1204962164529,329.2601711351248,333.4254391378959,337.61536943797404,341.8285873499938,346.0642014385246,350.32352021301176,354.6070932309825,358.9150953711802,363.24735904946834,367.6033742188307,371.98228836937017,376.38290652831085,380.80450621769353,385.24796707992925,389.71359988970715,394.20142830157135,398.71119987729224,403.2423860858681,407.7941823035231,412.3655078137088,416.9555099929409,421.56476023994196,426.1934832541427,430.8416356960404,435.5089278142791,440.1948234456495,444.89854001508934,449.6190485356836,454.35525584433253,459.1073697375605,463.87565659292363,468.66007378204654,473.4603383355598,478.27592694310005,483.10607595330896,487.9497813738353,492.80581196577356,497.67377299451164,502.5540451961267,507.44663891209785,512.3513188232557,517.2676039497819,522.1947676512099,527.1318376264232,532.0775959136582,537.030967609917,541.992284660488,546.9616715331649,551.9389719082808,556.923776636698,561.9154237398071,566.9129984095287,571.9153330083112,576.9210573530204,581.9299453697167,586.9423240912096,591.958133917164,596.9770592081228,601.998528285505,607.0217134316061,612.0455308895989,617.0686408635327,622.0904049002563
D,259.99999999999983,268.3781418300215,276.8726111672623,285.4781358429414,294.1876903883851,302.9936634096882,311.8886748612047,320.866144334551,329.9204679906209,339.04718369262366,348.243058980625,357.50585950248626,366.83441228925943,376.22853083095674,385.6887331151408,395.2162247325299,404.81273877671316,414.4804739316796,424.2219358826539,434.04005650133877,443.9378491374702,453.9183768362384,463.9847484035349,474.1400493031598,484.38762686318455,494.73078758570887,505.1726651045734,515.7162201853579,526.3642407253819,537.119348118783,547.9842112363535,558.961582718046,570.0540480271088,581.2640112926651,592.5936953097138,604.0451415391286,615.6202101076592,627.3205798883015,639.1479096236786,651.1040812166316,663.1908650371754,675.4098726833895,687.7625569814177,700.2502119854677,712.8739729778111,725.6348164687861,738.5335601967909,751.5707933371646,764.7472397869848,778.0645543983696,791.5241889055096,805.1272817455513,818.8746580585974,832.7668296877088,846.8039951789009,860.9860397811474,875.3125354463773,889.7826225853814,904.39602017114,919.1556711524353,934.064067719358,949.1227409046495,964.3322605837021,979.692235474559,995.2013131379139,1010.857179977113,1026.6565612381507,1042.5964010755579,1058.6805255309043,1074.9141833931446,1091.3005816467573,1107.840880472375,1124.5341932467827,1141.3775865429195,1158.3660801298774,1175.4926469729025,1192.7545956119877,1210.1604918542478,1227.7153379332235,1245.4215848235926,1263.2791482805212,1281.2854088396614,1299.435211817153,1317.720867309624,1336.136683347592,1354.6910110962915,1373.3882100941162,1392.2301067268852,1411.21634309484,1430.3443770126464,1449.609482009391,1469.004747328587,1488.525655739713,1508.1785340373444,1527.9659523069179,1547.8886442641626,1567.9456666235785,1588.134399098435,1608.4505444007686,1628.8881282413893,1649.4435003089613,1670.1208713133922,1690.9216582419817,1711.8458742183084,1732.8921826838873,1754.0578973981676,1775.338982438533,1796.7300522003027,1818.2268401840893,1839.8320548484012,1861.5467087056486,1883.3705033496185,1905.3019353532945,1927.3382962688602,1949.4756726276944,1971.7089459403785,1994.032684217688,2016.4478243781477,2038.9555952586206,2061.5557130961756,2084.246717044438,2107.0259691735882,2129.8896544703607,2152.8327808380473,2175.849243154765,2198.9370317909825,2222.097942068899,2245.331956246844,2268.6378511640496,2292.0131982406538,2315.4543634776974,2338.9565074571274,2362.513585341795,2386.1202519016665,2409.778063379455,2433.487564358017,2457.2479196336703,2481.0570510156213,2504.9116373259603,2528.8071143996644,2552.7376750845947,2576.6965159435576,2600.682450313465,2624.697015781906,2648.739850139519,2672.8093301200815,2696.902571400519,2721.0154286008997,2745.1424952844372,2769.2771039574923,2793.4160374693893
E,27.232558139534873,28.11014829149397,29.000653434713552,29.905069816936706,30.824693192056902,31.76096991021335,32.715391595200536,33.68942270172845,34.684475198645906,35.701881235597604,36.74287614256734,37.80861690298648,38.90016311103323,40.018479710324875,41.16446144569216,42.33892659671061,43.54262292719612,44.776231808114254,46.04038366664178,47.33565072868486,48.6625635869345,50.02161298992357,51.41325012501795,52.837896688594974,54.29593526281902,55.787721335039734,57.3135905599315,58.8738587594934,60.46882192304912,62.098756137932256,63.763919091043284,65.46455686321444,67.20090322884371,68.97317918899783,70.7815929714125,72.62634003049207,74.50760304730996,76.42555188872042,78.38033006689977,80.37211628200639,82.40110263178305,84.46746085868716,86.57134234989083,88.71287813728085,90.89217889745844,93.10933495173985,95.36441626615552,97.65745062727902,99.98847522214922,102.35776005686506,104.76554025958634,107.21198743477771,109.69720966320861,112.22125150195306,114.7840939843901,117.38565462020338,120.02578739538149,122.70425528939666,125.42094541243172,128.1764698837904,130.97134501172573,133.80587590677874,136.6801564817782,139.5940694518406,142.54728633437014,145.53926744905925,148.56926191788762,151.63656559014566,154.74200247359437,157.8867242091627,161.07142763639575,164.296353219254,167.56128504611323,170.86555082976466,174.2080219074147,177.58711324068537,181.00220302591111,184.45518721479104,187.94717371747254,191.4786974007901,195.04972363894095,198.65964831348495,202.30729781334455,205.99092903480528,209.7092447915435,213.46410074579825,217.25646354855928,221.08672817430912,224.9547958512085,228.86007406109718,232.80147653949325,236.77742327559395,240.78687178860753,244.83122773962174,248.9110532033742,253.02649303311517,257.17731068096623,261.3628881979196,265.58222623383847,269.8339440374572,274.11718537396894,278.43287834240573,282.7813201033896,287.16248682793844,291.57604593464634,296.0213560896833,300.4974672067953,305.0031204473044,309.5373099508853,314.10062026538094,318.69325203309586,323.31510491283876,327.9658015983572,332.6446878183366,337.350832336401,342.0830269511129,346.83999028465513,351.62189853840835,356.42899747761044,361.26118515736164,366.1180883010362,370.9990623002819,375.90319121501943,380.82928777344404,385.7759080738175,390.7425482752134,395.7295803162527,400.73695924550344,405.764361981536,410.8111873129217,415.87655589823464,420.95931026604995,426.0580148149454,431.17139458767167,436.2997639582161,441.4432041578981,446.60147832384337,451.77406300244695,456.9601481493737,462.1586371295581,467.36814671720424,472.58706399572577,477.81507061952436,483.0524746339296,488.2991462743225,493.5546656159121,498.81832257373514,504.0891169026561,509.3657581973672,514.6466658923896,519.9310535125753
F,67.09302325581392,69.25509175422383,71.44827731102833,73.67352085933442,75.93196303597183,78.22478763572751,80.553112695875,82.91791436223426,85.32000492668917,87.76001445078131,90.2383824139126,92.75539524572929,95.31118412251423,97.90573889142951,100.5389525082412,103.21062775544488,105.92050654212345,108.66828001292807,111.45361250491288,114.27612191419882,117.13543815930043,120.03120847312158,122.96309788686926,125.93079440377132,128.93396794724066,131.97231549588247,135.0455789379336,138.15354507126267,141.29604560336966,144.47295385558158,147.6841363426572,150.92948916365165,154.20894487681778,157.522465111897,160.87004057011973,164.25169102420494,167.66746531836046,171.1174412659293,174.6016668116349,178.12024225094623,181.67332856175642,185.26108302598445,188.88365922957527,192.54120706249944,196.23387271875336,199.9617986963596,203.7251237973658,207.52395312214293,211.3583833803949,215.22878921698174,219.13551737544847,223.0788515149976,227.05901221048902,231.07615695244,235.13038014702545,239.22171311607744,243.35012409708577,247.51548146411926,251.71774874507483,255.95772735118717,260.23612018992947,264.55339285141434,268.9097736083935,273.3052534162577,277.739585913037,282.21228741940075,286.72263693865716,291.26993842771503,295.85520931467113,300.47991164159555,305.14497659633605,309.85079945666496,314.59723959027895,319.3836204547995,324.2087295977724,329.0708186566679,333.9692422165505,338.9063224159574,343.8834912271167,348.90149181213303,353.96038254378175,359.05953700550833,364.19764399142844,369.37270750632814,374.5832579352602,379.83160570527485,385.1190147756394,390.44605520086304,395.812695486787,401.2183025905835,406.6616419207565,412.1408773371417,417.6548212449892,423.2052615541182,428.792967765048,434.4181980296214,440.08074244335813,445.7799230454542,451.5145938187824,457.283140689892,463.0845890198339,468.92014911522125,474.79026120204543,480.694970206617,486.6339406886478,492.60645684125205,498.61142249094553,504.6473610976462,510.71310562620727,516.80944405728,522.9366938980407,529.0948012522588,535.2833702722756,541.5016631590062,547.7486001619386,554.0227595791345,560.322628635943,566.6484902282807,573.0007148908821,579.3792437206996,585.7836821822866,592.2133001077973,598.6670316969866,605.1434755172114,611.6409126241836,618.158783626473,624.6976131358861,631.2574110025002,637.8378422061375,644.4382268563636,651.0575401924881,657.6944125835641,664.3471295283898,671.0141741254697,677.6959975551358,684.3927651036986,691.1042467444308,697.8298559786966,704.5686498359523,711.3193288737444,718.080237177711,724.8494328370716,731.6265794213847,738.41212245007,745.2059634443658,752.0076416567983,758.8163340711824,765.6308554026211,772.4496580975053,779.2708323335155,786.0934577074996
G,26.27906976744185,27.12592051697601,27.985077099522318,28.857163263309825,29.742973737718955,30.643378638296312,31.55925621776573,32.4914463424426,33.44073520934258,34.40783995629901,35.39339971525162,36.39799137717959,37.422120997483766,38.46622784447258,39.53070423911314,40.61589420957198,41.722101980722954,42.849595823068576,43.99861984511779,45.16938678130661,46.36209674611882,47.576939072012685,48.81409252117435,50.0737305839662,51.35600963338844,52.66108237564575,53.98910428258509,55.34023359169567,56.71463130610886,58.112460402272205,59.53387648017273,60.9790400658822,62.448115403894676,63.941268254374386,65.45866589315591,67.00047711174405,68.56687221731394,70.15802299151518,71.77408431262448,73.41524218685434,75.08170317421299,76.77366412608295,78.49131218522098,80.23482478575814,82.00436965319956,83.80010480442502,85.622178547688,87.47071270610815,89.34583408614769,91.24784214460674,93.17701408667462,95.1335835879569,97.11774079447562,99.12963232266893,101.16936125939144,103.23698716191406,105.33252605792401,107.4559285118822,109.60722272408097,111.78697519574094,113.99568556067042,116.23369930161228,118.50120775024392,120.79824808717719,123.1247033419584,125.4803023930686,127.86461996792312,130.2772521359383,132.71891384539794,135.19059840058733,137.69295662943503,140.22629411306602,142.79057118580226,145.3854029351621,148.01005920186057,150.66346457980953,153.34525392213484,156.05698280988923,158.7996371412578,161.57375633606367,164.37943591457486,167.21632749750432,170.0836388060099,172.9801336616947,175.90491401323357,178.85953623711663,181.84489105440898,184.86141482254206,187.90914879230797,190.98773910785994,194.09643680671192,197.23409781973893,200.39999932019822,203.595375455986,206.82080316002936,210.0765185898608,213.3624452069556,216.678193776732,220.0230623685505,223.3960363557149,226.7965218137317,230.225385647292,233.68299077002197,237.16943115505214,240.68454163895,244.2278979217201,247.79881656680405,251.39635500108037,255.01977515899193,258.6696660852745,262.34630870052547,266.04972656445955,269.77970541181696,273.5357931523625,277.3172998708856,281.1232978272012,284.9527925455228,288.80602457501243,292.6833091549849,296.5846609117729,300.50985634746036,304.4584338398818,308.4296936426231,312.4226978850209,316.43628309410406,320.47009208814893,324.5245416092747,328.59968800701216,332.6953385067816,336.81105120989326,340.9461350935466,345.0996500108304,349.27040669072335,353.4573513186189,357.66083722656964,361.8810239738576,366.11778242020006,370.37072183581245,374.6391899014097,378.922272708205,383.21879475791064,387.52736960070706,391.8477694958991,396.18034602750004,400.5250541645141,404.88157942550123,409.2493378785762,413.62747614140886,418.01487138122434,422.4101313148033,426.812590930673
H,28.325581395348827,29.2384081482883,30.16482842753268,31.10619580640244,32.064220024471155,33.04071147214008,34.037402853974854,35.05582489673879,36.097269033492964,37.16275424703992,38.253010549484266,39.368534702765274,40.50958135949207,41.67618251312442,42.86821430031149,44.08540422351893,45.32737237576336,46.59364638498632,47.88369810049793,49.19691472341634,50.53268382513219,51.89040110356939,53.26947120299122,54.669319410604835,56.089327459872045,57.52890313228939,58.98750909198667,60.46466288572681,61.959936942906,63.472955192760224,65.00333057229689,66.55069118448999,68.1147127308778,69.69511395693092,71.29165665205235,72.90414564957743,74.53242882677385,76.17639701171365,77.83591840424171,79.51088118294386,81.2012355829882,82.90694558347806,84.62798890745226,86.36435702188494,88.11605513768546,89.88310220969883,91.66553093670498,93.46337023015123,95.27662834771367,97.10544665720336,98.94996492004934,100.81030368333,102.68656427977321,104.57882882775613,106.48716023130541,108.41160218009716,110.35217914945686,112.30887825974818,114.28170522358133,116.27102363107059,118.27716286408861,120.30035636326859,122.34074162800432,124.3983602164501,126.47315774552092,128.56498389089256,130.6735923870011,132.79873377587637,134.9408600400366,137.1006471518544,139.27854375374406,141.474767328181,143.68930419770177,145.92190952490407,148.17210731244634,150.43919040304849,152.7229123293139,155.0243193872469,157.34409530004194,159.6826160652621,162.03995160190448,164.41586575040094,166.80981627261735,169.2209548518544,171.64866187350754,174.09400356597246,176.55759624304048,179.03974045574515,181.54046127613958,184.0595082972967,186.59635563330914,189.15020191928946,191.72053734972297,194.30821188840264,196.91361909256267,199.5369146668899,202.17803595079423,204.83670191840855,207.5124131785888,210.2044519749139,212.9123939065005,215.63683155401682,218.37800471932354,221.1359661682698,223.9105884823815,226.70156405886118,229.50840511058806,232.3304436661181,235.16715483861338,238.01893556048432,240.88596578163006,243.7682477003891,246.66561944689198,249.57775508306088,252.50416460260988,255.4441939310456,258.3971438085937,261.3631698076704,264.3424747939285,267.33505500595663,270.3407439233391,273.3592122666557,276.38996799748134,279.43235631838735,282.48556833551675,285.54935117567726,288.62397901044955,291.7094782523709,294.80570658148554,297.9123529453446,301.0289375590063,304.15481190503544,307.28915873350394,310.4312550033558,313.5813356436534,316.7395000595122,319.90565324879515,323.0795244850962,326.26066731774023,329.44845957178296,332.64210334801095,335.84065942262487,339.04397396890243,342.2522806465838,345.4655457987165,348.68355603806884,351.9059182471309,355.1320595781138,358.3612274529507,361.59248956329594,364.8254020906905
I,37.09302325581394,38.28839944559974,39.501674354099926,40.73482689097278,41.990365192842006,43.27095422633897,44.57915520383526,45.91724343655206,47.287152254453424,48.69042196122716,50.12817333900621,51.60118600402562,53.109881548937864,54.65434979754232,56.23444440856065,57.84979148882019,59.49984546449578,61.18391031711883,62.901194540492284,64.65077146940533,66.43169768585955,68.24302391424982,70.08379631660023,71.95307983934973,73.84986619364548,75.77317315544846,77.72208785079687,79.69576675580626,81.69343569666928,83.71438643887825,85.75790117770029,87.82326903265579,89.90984469048968,92.01704685023715,94.14435822322396,96.29132553306609,98.45755951567008,100.6427348120101,102.8465077606427,105.06854785128183,107.3086059005434,109.56646420968761,111.84193656461927,114.13486823588761,116.4451359786862,118.77264803285344,121.1173441228716,123.47917525501273,125.85805665013014,128.25403385589803,130.66716648679028,133.09751053066705,135.5451183487749,138.01003867574656,140.49231661960116,142.99199366174412,145.50910765696716,148.04366922764558,150.59565842389395,153.16541625254547,155.75326767461934,158.3594540839311,160.98413330709224,163.6273796035104,166.28918366538937,168.96945261772936,171.6680100183263,174.3846436268778,177.11979040606604,179.87420478679104,182.64840772945269,185.44267863547515,188.25705534730736,191.0913341484228,193.94506976331922,196.81757535751933,199.70861622191256,202.61935588177545,205.55062938745002,208.5029231191189,211.47637631282112,214.4707810604522,217.48558230976408,220.5198778643653,223.57301465520987,226.64625640996758,229.74039220549315,232.85584075298163,235.99269427307314,239.1507184958529,242.3293526608512,245.5277095170437,248.74524071384147,251.98301099372122,255.24155926988334,258.5211362782384,261.8217271989648,265.1430516565087,268.48456371958366,271.84545190117115,275.2252560986176,278.6247514688792,282.04429150830174,285.4839988242737,288.94377333722167,292.4232922806101,295.92201020094177,299.4391589577576,302.9741435324272,306.52750221943944,310.0995101871455,313.69022113415593,317.2994839392585,320.9269426614182,324.57203653977666,328.23399999365336,331.9120095458028,335.6062999182361,339.31716714496474,343.0446490473642,346.78857907568613,350.54858630905846,354.3240954554855,358.1143268518482,361.91830723356406,365.73575435236137,369.56704410699274,373.41224262884924,377.27120356350474,381.14356807071584,385.02876482442167,388.926010012744,392.8343073379875,396.7527767676203,400.68173586389986,404.6213324163979,408.57146940217604,412.53182830966034,416.50186913864115,420.48083040027313,424.46772911707535,428.4614039365052,432.46167671665506,436.4688540116582,440.4829062221853,444.5035773380425,448.5303849381717,452.5626201906509,456.5993478526933,460.6394062706488,464.68224518258285
J,18.279069767441854,18.868147070654103,19.466146131684233,20.074274448911737,20.694115671749074,21.327441188823464,21.976077137922715,22.641813226223398,23.326371443476646,24.031372652933943,24.75831612049363,25.50860417457802,26.283519883798725,27.084231468022555,27.91182423016659,28.76729378911069,29.6515556229333,30.5654507162321,31.509765028101796,32.485219137947716,33.492492978844865,34.532228394430255,35.60502952611826,36.71147481808866,37.85209996622558,39.02741762262231,40.23792809594148,41.48411935141495,42.766467010843826,44.085434250428506,45.441468526610834,46.83500482597325,48.26647338431326,49.736300150921714,51.24490678858294,52.79271067357455,54.380124895667684,56.00755821749394,57.675397656248556,59.38405903090266,61.13397662514166,62.92557301698795,64.75925907880077,66.63543397727635,68.55448517344765,70.51678842268488,72.52270777469471,74.57257387200642,76.66671750667994,78.80568500772256,80.98999735203301,83.2201233583529,85.4964796872662,87.81943084119969,90.18928916442272,92.60631484304736,95.07071590502828,97.58261604840608,100.14221454211193,102.7504299843332,105.40810097634755,108.11586655638382,110.87416619962175,113.68323981819219,116.54312776117706,119.45367081460947,122.41451020147335,125.42529042135152,128.48712725935832,131.6015839634981,134.76975691466765,137.99226864333198,141.26926782952404,144.60042930284476,147.98495404246307,151.421569177116,154.9099412633922,158.45242950370348,162.05067256660135,165.70566477718148,169.41775942177276,173.18666874793757,177.01146396447157,180.8905752414041,184.8229012698389,188.8108974929303,192.85612967517025,196.95948385117651,201.12124833442667,205.34111371725825,209.6181728708683,213.9509209453145,218.33847116750195,222.78291131169448,227.28538507826443,231.8465007231591,236.46637205692957,241.14461844473027,245.8803648063189,250.67224161605725,255.51952352528778,260.4238088310048,265.38593858806126,270.4063107657578,275.48489513986254,280.6212332926119,285.8144386127102,291.0631962953292,296.3665101756807,301.72557438111426,307.1411200196521,312.613437006687,318.1424045551996,323.72749117575813,329.36775467651836,335.0618421632246,340.8082747567738,346.6076732304913,352.4608446340378,358.3680684920923,364.3291949596635,370.34364482209054,376.410409495042,382.52805102451777,388.69472349539205,394.9099848767455,401.1748259260329,407.4896051257227,413.8542128242948,420.2680712362407,426.7301344420635,433.238888388278,439.79235088741075,446.38876866859755,453.02899897758454,459.71359367933724,466.4425464057876,473.21533971102957,480.0309450713193,486.88782288507423,493.78392247287405,500.71677661629224,507.6861138690385,514.6928407106651,521.7370980171374,528.8184806566219,535.9360374894854,543.088271368296,550.2731391378226,557.4880516350354,564.731867778701
