Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,446884.5702459373,446761.01742899214,446635.3883077448,446507.3200297077,446376.56103914196,446242.9355656549,446106.3176986184,445966.6125175168,445823.74811769684,445677.6664979261,445528.31730489584,445375.6600899588,445219.6563328936,445060.2684750457,444897.4641384495,444731.2121480736,444561.4807578211,444388.23798285605,444211.45436027506,444031.1014743248,443847.1505801376,443659.5726262509,443468.33825672674,443273.41890002356,443074.7884887994,442872.42109820625,442666.2905037231,442456.37018115644,442242.6333066401,442025.05257974996,441803.6013400344,441578.2593722652,441349.0065597007,441115.82165307394,440878.6822705934,440637.5648979423,440392.4448882789,440143.29644845566,439890.0892908294,439632.8123341942,439371.4623946066,439106.03170920315,438836.50793620036,438562.8741548946,438285.1088656624,438003.18598996015,437717.0748703241,437426.7327787045,437132.12549490226,436833.305190462,436530.314514066,436223.17648941366,435911.89451522107,435596.45236522146,435276.8141881649,434952.924507818,434624.70822296466,434292.06055369845,433954.9241280906,433613.5081055723,433267.9910943872,432918.47923333885,432565.00619179016,432207.533169664,431845.94889744243,431480.0696361675,431109.63917744055,430734.4208894857,430354.73564948986,429971.03139608784,429583.595005904,429192.55155934475,428797.8643405993,428399.3348376389,427996.6027422173,427589.1459498707,427176.79771013174,426760.3154667452,426340.1752861054,425916.6485553502,425489.80327308446,425059.5040493806,424625.412105778,424186.98527528346,423743.85008978564,423296.79316578025,422846.2802124918,422392.5728781716,421935.75731987413,421475.74420345656,421012.26870357926,420544.89050370525,420073.3721253275,419598.3783685015,419120.269134772,418639.2571114774,418155.42092953797,417668.70516345697,417178.9203313199,416685.7428947952,416189.0470145758,415689.36406249437,415186.9987563395,414682.1440064122,414174.88540580147,413665.20123038307,413152.96243882086,412637.9326725658,412119.9732576886,411599.5290729654,411076.9083534552,410552.31486374873,410025.8566956244,409497.5462680484,408967.30032717483,408434.9399463456,407900.2645709199,407363.60556554166,406825.3206940666,406285.6461310636,405744.72445878567,405202.604667169,404659.2421538334,404114.4987240821,403568.14790862834,403020.30514744035,402471.3994403203,401921.7122751331,401371.42922086,400820.6399275984,400269.3381265617,399717.4216300802,399164.6923315999,398611.01259345666,398056.80888348725,397502.42249258875,396948.08468128555,396393.92804498004,395839.9865139531,395286.1953533635,394732.3911632485,394178.33196625824,393624.2306702329,393070.51324167335,392517.4525918751,391965.22215159395,391413.89587104565,390863.4482199063,390313.7541873121,389764.5892818592,389216.00086013286
B,434702.1075779579,434539.9423000523,434375.47529700614,434208.5399597365,434039.01745324774,433866.8216175476,433691.88793083106,433514.1654358147,433333.6133102794,433150.1969446344,432963.885231889,432774.6515766381,432582.4703989683,432387.3166841422,432189.16793077585,431988.00240685977,431783.79823808966,431576.5335274762,431366.18781324464,431152.74162604817,430936.17539573665,430716.46942831477,430493.60389539285,430267.5593657887,430038.3190276906,429805.866405802,429570.1846829704,429331.25670018734,429089.06495658774,428843.5914097183,428594.8186194027,428342.7361681478,428087.3336912162,427828.59951185447,427566.5206412938,427301.08277875,427032.27031142265,426760.06630095316,426484.4495334459,426205.4186847562,425922.980171648,425637.1355930968,425347.88173028897,425055.21054662287,424759.1091877078,424459.559981364,424156.54043762374,423850.0163322685,423539.96379821486,423226.4422915126,422909.50152774894,422589.1718587257,422265.46427245904,421938.3703931792,421607.86248133087,421273.8934335727,420936.39678277826,420595.2780185528,420250.49398763827,419902.2503150838,419550.7222671021,419196.0163903587,418838.1705119717,418477.1537395118,418112.86646100256,417745.14034491975,417373.7383401927,416998.4461394801,416619.5755586953,416237.544849157,415852.6230480681,415464.92983846273,415074.43554920563,414680.9611549931,414284.1782763524,413883.6091796414,413479.1084412093,413071.3769271155,412660.8482120779,412247.7705726237,411832.20820689894,411414.04123467027,410992.965697323,410568.4935578625,410140.2911184052,409709.0727242374,409275.25551222113,408839.07399599126,408400.60624213016,407959.7738701675,407516.34205258056,407069.9195147938,406620.296867992,406168.0668172252,405713.5464447313,405256.9229595233,404798.26552632597,404337.5252655749,403874.53525341675,403409.0105217092,402940.84092731844,402470.49266918964,401998.2298905377,401524.2192740869,401048.5340268978,400571.15388036706,400091.96509022726,399610.76043654664,399127.4182678306,398642.32356193004,398155.7398636701,397667.84046017134,397178.71611488773,396688.3750676061,396196.74303444655,395703.6632078623,395208.9603378234,394712.9175139416,394215.83796324243,393717.92037780164,393219.28336747305,392719.96545988834,392219.9251004576,391719.04065236886,391217.1149637366,390714.2436663618,390210.7887567865,389706.985669356,389202.98822459613,388698.8686292129,388194.6174760927,387690.14374430245,387185.2747990892,386679.88953651965,386174.34627078706,385668.93012003804,385163.83279270935,384659.16228680837,384154.9428899125,383651.1151791695,383147.5360212975,382643.9956089814,382140.6699054042,381637.9155780444,381135.95947517763,380634.9440584999,380134.92740312754,379635.8831975967,379137.7007438641,378640.18495730695,378143.371458383
C,571753.7245340847,571444.1404307521,571131.2626849161,570815.4650343366,570496.986928532,570175.9757001381,569852.5173734728,569526.6593146981,569198.4202360854,568867.8013629129,568534.7940549452,568199.3777194257,567861.5292898511,567521.2244881926,567178.4333411743,566833.1248728773,566485.2691714012,566134.8369629811,565781.7968905435,565426.1177455304,565067.7692221553,564706.7218314561,564342.946862432,563976.4149484155,563607.0981631808,563234.9696876891,562860.0029596632,562482.1716735876,562101.4497807083,561717.8112189822,561331.22966194,560941.6854448882,560549.1595095539,560153.6319707884,559755.0821165659,559353.4884079853,558948.828479269,558541.0791226808,558130.2121232216,557716.2188605124,557299.0993710723,556878.8491216413,556455.4590091801,556028.9153608702,555599.1999341134,555166.289916533,554730.1579259722,554290.7640026171,553848.0761962972,553402.1532589428,552953.04411522,552500.7771970533,552045.3604436242,551586.7813013714,551125.0067239916,550659.9831724386,550191.6366149237,549719.8619111693,549244.6027731885,548766.0821460366,548284.4909787636,547799.9442014388,547312.480725149,546822.0634420004,546328.5792251171,545831.8389286421,545331.5773877368,544827.550663179,544320.0981529435,543809.6893450742,543296.6254746553,542781.0388648766,542262.8929270337,541741.9821605277,541217.9321528662,540690.1995796615,540158.6137507239,539623.9644884523,539086.7441669132,538547.2331964785,538005.5013840954,537461.407933287,536914.6014441528,536364.5199133672,535810.77700814,535254.1852693323,534695.2199017834,534134.1462840671,533571.04977091,533005.8356931921,532438.2293579464,531867.7760483593,531294.22992883,530718.2678680139,530140.2502821035,529560.3878394285,528978.755046682,528395.2902489211,527809.7956295668,527221.9372104029,526631.58251487,526039.2634882119,525445.2790263029,524849.8155650987,524252.95167493523,523654.6580605284,523054.7975609745,522453.12514974974,521849.4945307707,521244.3437006789,520637.9703078,520030.56789153576,519422.2348109515,518812.9742447759,518202.69419140066,517591.2074688812,516978.3056305498,516364.3087727718,515749.56002992013,515134.28197936807,514518.60486090375,513902.5665767307,513286.1126914677,512669.0964321485,512051.28395205573,511432.77894555073,510813.9924360158,510195.1895529354,509576.5412627738,508958.12436897436,508339.9215119601,507721.82116913353,507103.6176548768,506485.1646495302,505866.8692646995,505249.05470483744,504631.93625691085,504015.6324573917,503400.16509225697,502785.45919698884,502171.3430565751,501557.5678653334,500944.3306077134,500332.03830291075,499720.94798774784,499111.21889927174,498502.912474754,497895.9923516909,497290.32436780346,496685.6765610372,496082.08474706125
D,3.5583832020156444e6,3.556935057118942e6,3.555467930274785e6,3.553981439708198e6,3.5524752824875554e6,3.5509492117406945e6,3.5494030196759296e6,3.547836524453402e6,3.546249564293382e6,3.5446419906562185e6,3.543013663281344e6,3.5413644522556467e6,3.5396942311298694e6,3.5380028757008426e6,3.53629026877427e6,3.534556296698382e6,3.5328008461225135e6,3.531023803987138e6,3.52922506286259e6,3.5274045219448027e6,3.5255620801153276e6,3.5236976355791125e6,3.521811085741188e6,3.519902328980993e6,3.517971282570103e6,3.5160178664389662e6,3.514041997392874e6,3.512043589111968e6,3.5100225521512283e6,3.507978792452076e6,3.5059122199379974e6,3.5038227963565905e6,3.5017104831268103e6,3.499575231146893e6,3.497416980794361e6,3.495235661926016e6,3.493031193877951e6,3.4908034853690797e6,3.4885524146914426e6,3.4862780049057165e6,3.48398033365937e6,3.4816594426875715e6,3.479315337813187e6,3.476947988946777e6,3.474557330086602e6,3.472143259318619e6,3.4697056388164847e6,3.4672442459256756e6,3.4647589358620048e6,3.4622501599345994e6,3.4597182979061007e6,3.4571635893115513e6,3.4545861334584053e6,3.451985889426521e6,3.4493626760681653e6,3.4467161720080124e6,3.4440459156431444e6,3.4413512436807556e6,3.4386318657381563e6,3.4358892702104673e6,3.4331247257896787e6,3.43033900773068e6,3.427532397851255e6,3.4247046845320924e6,3.4218551627167757e6,3.4189826339117885e6,3.416085406186513e6,3.4131619509722814e6,3.4102145088210395e6,3.40724607788496e6,3.4042585869314955e6,3.401252894507864e6,3.398228788941045e6,3.395184988337783e6,3.3921191405845843e6,3.3890278233477212e6,3.385909992599442e6,3.3827706617371617e6,3.3796129292193456e6,3.376438566114928e6,3.373248024837524e6,3.3700404391454337e6,3.3668136241416433e6,3.36356407627382e6,3.360289395874691e6,3.3569946848345236e6,3.353682916695851e6,3.3503557567652785e6,3.347013749490666e6,3.3436563184611183e6,3.3402817664069897e6,3.3368872751998845e6,3.3334713282643263e6,3.3300381507240604e6,3.3265899933114583e6,3.32312817633634e6,3.3196531743848324e6,3.3161646163193695e6,3.312661285278693e6,3.3091411186778494e6,3.3056033052766602e6,3.3020511594237303e6,3.2984865478029633e6,3.294910639014528e6,3.2913239321119892e6,3.2877262566022994e6,3.2841167724458072e6,3.280493970056255e6,3.2768569520990085e6,3.2732084480298148e6,3.2695503177409912e6,3.265883774671869e6,3.262209441176273e6,3.258527348522523e6,3.2548369368934357e6,3.2511370553863207e6,3.2474264206338758e6,3.2437070311655235e6,3.2399810319510447e6,3.2362498190562213e6,3.2325142144448482e6,3.2287744659787305e6,3.225030247417687e6,3.2212806584195457e6,3.217524257217342e6,3.213761699317571e6,3.2099955548922536e6,3.206227488112935e6,3.2024585767993415e6,3.198689312419374e6,3.1949196000891128e6,3.1911487585728173e6,3.1873755202829195e6,3.183598986477313e6,3.1798217057939707e6,3.176045708248935e6,3.1722723510287283e6,3.1685023878480154e6,3.164735968949608e6,3.1609726411044584e6,3.1572113476116615e6,3.153450550765698e6,3.1496914923042436e6,3.1459367286532433e6,3.142187881182882e6,3.1384459602250303e6,3.13471136507324e6,3.1309838839827506e6,3.127262694170482e6,3.12354636181504e6,3.1198351266227923e6
E,563259.4835921574,563089.6709534574,562917.0872973402,562741.3109795444,562562.052684894,562379.1141238352,562192.3577243967,562001.6842440666,561807.0230459536,561608.3210464997,561405.5350772052,561198.6343846419,560987.5908927235,560772.3779117926,560552.9751955315,560329.3640946938,560101.52518737,559869.438665907,559633.0878362635,559392.4573734788,559147.5313493714,558898.2932417191,558644.7259361758,558386.8131891958,558124.5420360126,557857.8995080972,557586.8720000417,557311.4452695595,557031.6044374853,556747.3337782099,556458.6184270768,556165.4516210492,555867.8264452133,555565.7342852721,555259.1648275453,554948.1060589695,554632.5442670977,554312.4640240779,553987.8447217217,553658.689233732,553325.0094795532,552986.8115461327,552644.095687921,552296.8563268716,551945.0820524411,551588.7556215893,551227.8539587787,550862.3398207452,550492.1878945522,550117.4725568914,549738.2564914466,549354.5791421263,548966.4567130648,548573.8821686214,548176.8252333804,547775.2323921517,547369.0268899701,546958.0980644467,546542.3953063225,546122.1683771198,545697.6307318811,545268.9129847308,544836.062908875,544399.045436603,543957.7426592845,543511.9538273724,543061.3953504013,542605.8095577679,542145.5727234657,541681.1935759101,541213.0000077297,540741.138730482,540265.5752746527,539786.0939896561,539302.2980438344,538813.6094244588,538319.8512324027,537821.8748568114,537320.2103511275,536815.1616836877,536306.808205901,535795.0046522483,535279.3811402832,534759.343170631,534234.483656961,533705.6742637374,533173.426848229,532638.0296043654,532099.5788550774,531557.9790522975,531012.9427769599,530463.9907389998,529910.8660054298,529354.2955980513,528794.670247432,528232.2208168908,527667.0327583628,527099.046112399,526528.0555081676,525953.7101634527,525375.8740698424,524795.1216488553,524211.779616873,523626.05419035297,523038.035977248,522447.6999770068,521854.9055805736,521259.3965703887,520661.02215584717,520060.25842859223,519457.4325422696,518852.7596685243,518246.3525198082,517638.22134937975,517028.27395130426,516416.31566045363,515802.1287216363,515186.0642613873,514568.5000027247,513949.68370501936,513329.76330957795,512708.78693964274,512086.7029003913,511463.3596789372,510838.51161650254,510212.2774274504,509585.1093714915,508957.30235570495,508329.04915312416,507700.44040273683,507071.4646094844,506442.0081442636,505811.85524392413,505180.85430943675,504549.4541260333,503918.01334389125,503286.7733655214,502655.870414298,502025.33553445985,501395.09459110885,500764.9682702118,500134.6934231818,499504.49118142755,498874.8114996697,498245.94136363076,497618.0613082502,496991.24541768513,496365.4613253102,495740.5702137174,495116.3268147161,494492.7771489533
F,785026.7524879368,784674.1198328176,784317.3079365803,783956.4404682729,783591.5863992012,783222.7773741662,782850.0202471919,782473.3061940011,782092.614866165,781707.9188564173,781319.1866867206,780926.3822208822,780529.4682759345,780128.4071499512,779723.1590500002,779313.6838778642,778899.9420953927,778481.8945661864,778059.5015835667,777632.7238195485,777201.5225971758,776765.8598557806,776325.6981212889,775880.9997066826,775431.7288767847,774977.8509338206,774519.331428438,774056.136159708,773588.2311751256,773115.5824181299,772638.1554233232,772155.9244017074,771668.8643183778,771176.949018148,770680.1512255456,770178.4425448162,769671.793459921,769160.1733134268,768643.544210687,768121.8947771961,767595.2256614469,767063.5312544126,766526.7996895458,765985.01284278,765438.1463325286,764886.1695196859,764329.0455076261,763766.7199961069,763199.1490598612,762626.4139649232,762048.5825373635,761465.6944028619,760877.7609867059,760284.7655137932,759686.6630086299,759083.3802953308,758474.8159976194,757860.8257860414,757241.3319057191,756616.642338783,755987.0211221237,755352.6274391521,754713.5156197975,754069.6351405091,753420.8306242544,752766.8418405206,752107.3037053139,751441.8795321573,750771.0376475205,750095.4287104568,749415.4706505025,748731.3476443808,748043.0101160029,747350.1747364666,746652.3244240573,745948.7083442486,745239.0896761748,744524.5631693978,743805.8147849843,743083.2358682334,742356.9250204654,741626.6880990245,740892.0382172765,740152.1957446104,739406.6242350693,738656.454396521,737902.3517883358,737144.6892162026,736383.5879767009,735618.9178573004,734850.2971363608,734077.0925831319,733298.9618637338,732516.8528630893,731731.274145671,730942.524107549,730150.7098810736,729355.7473348747,728557.3610738611,727755.0844392229,726948.7329383373,726139.0567899588,725326.481037862,724511.271919233,723693.5432886141,722873.2566179025,722050.2209963525,721224.0931305718,720394.6685205798,719562.5690026658,718728.2205420225,717891.9013278586,717053.7543084893,716213.7871913372,715371.8724429318,714527.7472889078,713681.1184045448,712832.4432541903,711982.2149439125,711130.7549430066,710278.2527967736,709424.7661265186,708570.2206295541,707714.4100791963,706857.0038122473,705998.152487305,705138.4482666613,704278.2755007697,703417.8833468367,702557.3857688196,701696.7615374285,700835.8542301245,699974.3722311218,699112.1086849248,698249.6517558037,697387.4711251269,696525.8810458095,695665.0562780855,694805.0320895057,693945.7042549388,693086.8290565702,692228.0515524723,691369.658872582,690512.242924202,689656.1795476711,688801.7030813853,687948.9063617964,687097.7407234125,686248.0159987983,685399.4005185752,684551.9501737768
G,475664.3137994346,475515.97494695836,475365.51827613125,475212.7846486315,475057.6592437455,474900.05726882716,474739.9135515071,474577.1750129628,474411.79753494676,474243.7423627098,474072.9736357192,473899.45935626817,473723.16821373795,473544.0692062826,473362.1334093364,473177.3323915937,472989.6374624307,472799.0197891637,472605.45164206834,472408.9059481452,472209.35545919713,472006.77274114353,471801.13016615855,471592.4003434227,471380.55784549605,471165.57743628835,470947.43354990776,470726.10029065894,470501.5514330445,470273.76025043166,470042.7003398988,469808.35098861775,469570.6915004903,469329.7000621255,469085.3537428406,468837.62849465996,468586.49915231596,468331.93942120555,468073.91900567175,467812.42445961223,467547.4491382017,467278.9822476475,467007.0088451893,466731.50983909983,466452.4619886842,466169.8379042801,465883.606047258,465593.7241868283,465300.15760502557,465002.94719824445,464702.1253661546,464397.7071662434,464089.6903138147,463778.05518198916,463462.76480170497,463143.76486171666,462820.983708596,462494.3233496657,462163.7265471853,461829.37169338,461491.41028071387,461149.92970855464,460804.9532831737,460456.4402177465,460104.28563235217,459748.3205539736,459388.31191649754,459024.0421609716,458655.7862079626,458283.93617000256,457908.7405961375,457530.3036140933,457148.5849302767,456763.399829775,456374.4191763559,455981.1694124669,455583.4908894614,455182.051546717,454777.27287979174,454369.3915538791,453958.4605370882,453544.34910044476,453126.7428178904,452705.143566283,452279.2037781718,451849.6235231379,451416.81870573526,450981.0192555921,450542.29463590385,450100.55384343374,449655.54540851264,449206.8573950387,448754.2617241349,448298.35602194874,447839.46312379144,447377.76986704237,446913.339004306,446446.1092034119,445975.8950474146,445502.38703459315,445025.4571896039,444545.5872327283,444063.05218718544,443578.0224017639,443090.5676626874,442600.65719361533,442108.1596556421,441612.84314729786,441114.56617552775,440613.73513738293,440110.63204637956,439605.4399604318,439098.2511029185,438589.06686268345,438077.7977940349,437564.2636167455,437048.26290472585,436530.09889224585,436010.1052210445,435488.4994796851,434965.4090820798,434440.871267489,433914.833100522,433387.151471137,432857.5981441133,432326.27239730983,431793.5815173876,431259.7921134099,430725.07684133266,430189.51440400514,429653.089551169,429115.69307945913,428577.121832403,428037.23063464236,427496.4289341373,426955.0487521688,426413.3128579393,425871.34562127816,425329.17301264295,424786.7226031186,424243.82356441807,423700.22644210054,423156.13386509015,422611.96903635043,422068.0030989272,421524.40607073274,420981.24684454844,420438.4931880232,419896.01174367405,419353.56802888593,418811.20547695505
H,276286.8001838153,276147.8047692611,276007.38529527007,275865.70621456543,275722.8707740913,275578.9401696686,275433.9474515032,275287.9077401666,275140.8228584767,274992.68638703274,274843.4871010556,274693.20813742245,274541.8312653548,274389.33752852527,274235.7051609602,274080.91170572175,273924.9352097486,273767.75406958396,273609.3454695528,273449.6861764853,273288.7535843643,273126.5257212295,272962.9812360382,272798.0984463274,272631.85523749294,272464.23010558635,272295.20210139436,272124.75083044014,271952.85645298223,271779.49954623694,271604.65987463866,271428.31886865967,271250.45862150873,271071.0614118171,270890.1097036391,270707.58614645235,270523.473575157,270337.75500292546,270150.4107019407,269961.4274084706,269770.7959513824,269578.5058004307,269384.5450662575,269188.90050039167,268991.5574952498,268792.5000841355,268591.71094123967,268389.16740963585,268184.8471283528,267978.7674455301,267770.94221995986,267561.3769698755,267350.0688729514,267137.0067663033,266922.17114648793,266705.53416950314,266487.05965078797,266266.6974048369,266044.4122509524,265820.2980878245,265594.4359647492,265366.8729113,265137.6219373279,264906.6620329611,264673.93816860515,264439.361294943,264202.8083429351,263964.16184806806,263723.5675926155,263481.2425158509,263237.324990219,262991.8740113602,262744.86919811077,262496.21079250204,262245.71965976147,261993.13728831173,261738.37630975936,261481.80651494797,261223.66466562875,260964.08465089774,260703.09810076404,260440.63438614953,260176.52061888957,259910.48165173194,259642.32600890318,259372.44558264344,259101.0746202554,258828.3436021282,258554.29341411882,258278.87534755186,258001.95109922023,257723.29277138444,257442.7752516123,257160.7342269376,256877.35149473947,256592.73302858387,256306.91564120926,256019.8669845258,255731.4855496161,255441.6006667347,255150.14307495937,254857.38273118582,254563.4736605863,254268.51179050916,253972.53725124456,253675.53437602418,253377.4317010216,253078.10196535208,252777.46830804987,252475.75721630594,252173.12507741657,251869.67366813045,251565.4546928351,251260.46978355688,250954.67049996083,250647.95832935107,250340.22324972771,250031.633236642,249722.37136336617,249412.55691369573,249102.2598440002,248791.50078322232,248480.25103287862,248168.4325670594,247855.92081233216,247542.77068440983,247229.20382311227,246915.36454051215,246601.3461626078,246287.19102932332,245972.89049450852,245658.38492593906,245343.5637053161,245028.34791402103,244712.95891170303,244397.57465043772,244082.31413434577,243767.24336964753,243452.37536466256,243137.67012981029,242823.03467760948,242508.33371727387,242193.6756094585,241879.28588332812,241565.30806803104,241251.8315906783,240938.89177634398,240626.4698480657,240314.49292684323,240002.83403164014,239691.51456426457
I,421067.1907169009,420871.2064057976,420672.96347946645,420472.5450353669,420270.00685886294,420065.38705227606,419858.71265138773,419650.00390458584,419439.275868944,419226.5401205889,419011.8058204703,418795.07916308264,418576.36470739235,418355.6654801313,418132.9821550092,417908.31377800263,417681.6581115577,417453.01161549496,417222.3689167824,416989.7229648112,416755.0657395527,416518.3882817357,416279.6806944393,416038.9318770727,415796.12901348574,415551.25857624033,415304.3065415217,415055.25838913827,414804.09910252236,414550.81307473424,414295.3831801376,414037.7925405716,413778.02418458794,413516.06075438805,413251.8845058235,412985.4773083958,412716.82064525626,412445.89560554095,412172.6796036785,411897.155952043,411619.3119350639,411339.13311855344,411056.6033497059,410771.70475709817,410484.4177506892,410194.72102182027,409902.5915432153,409607.9993877143,409310.9124005382,409011.34678883536,408709.31474254373,408404.81836544507,408097.8496751647,407788.3906031716,407476.41299477854,407161.87860914174,406844.7391192614,406524.92759125284,406202.38734110555,405877.2341887421,405549.56895903766,405219.4481185551,404886.8837755453,404551.84367994696,404214.2512233871,403873.9854391803,403530.88100232946,403184.77345471055,402835.843118606,402484.38297759433,402130.5787217913,401774.5068797048,401416.1348182347,401055.32074267283,400691.8136967027,400325.2535623997,399955.50959272677,399583.0870803085,399208.31799237,398831.388257847,398452.33857400436,398071.0644064355,397687.31598906266,397300.6983241371,396910.9333873178,396518.57274459535,396123.9508214464,395727.25260714686,395328.5334503459,394927.71905906603,394524.6055007028,394118.859202025,393710.29444674886,393299.393650496,392886.419355114,392471.5233753776,392054.75636459154,391636.0678145905,391215.3060557392,390792.21825693233,390366.69957916375,389939.1427023202,389509.77200349246,389078.7263596524,388646.06249752163,388211.7549935716,387775.6962740238,387337.69661484996,386897.6404249433,386455.85976500885,386012.5844003715,385567.9634033225,385122.07181216276,384674.91063120327,384226.40683076513,383776.41334717895,383324.7660969606,382871.71270150103,382417.5240120571,381962.37643197074,381506.3732298159,381049.54453939886,380591.8473597576,380133.1655551626,379673.3139776257,379212.3739501212,378750.67482784134,378288.4313430241,377825.78251654474,377362.79165791586,376899.4463652873,376435.65852544596,375971.26431381615,375506.1471171581,375040.63688552805,374574.99918121484,374109.4119925759,373643.9745775143,373178.7074634787,372713.5524474636,372248.372596009,371782.96815720905,371317.50184108614,370852.3104197858,370387.6087814747,369923.5314957284,369460.13281353173,368997.3866672783,368535.1866707705,368073.34611922,367611.8987340654
J,796039.2306604917,795910.5215852165,795779.2368611643,795644.740344656,795506.5952568841,795364.5007572359,795218.2455882378,795067.6742116988,794912.6723156329,794753.1503384962,794589.0321688193,794420.2589383862,794246.7747092522,794068.524691227,793885.4625744942,793697.543414906,793504.7204850629,793306.9458832353,793104.1752351237,792896.3648667992,792683.4697376718,792465.4435069606,792242.2385502411,792013.8079108346,791780.1068590551,791541.0899018223,791296.7104991588,791046.9210641914,790791.6729631484,790530.9163490062,790264.6016177954,789992.6852979644,789715.1233562522,789431.8699493287,789142.8774237948,788848.0963161817,788547.4753529525,788240.9614352402,787928.4958054975,787610.0399911399,787285.5637046128,786955.0311443931,786618.400994985,786275.6264269247,785926.6550967768,785571.4291471362,785209.8852066279,784841.9453456518,784467.5385632007,784086.6936859643,783699.4284961665,783305.7378588802,782905.5937220277,782498.9451163783,782085.7181555517,781665.8160360162,781239.1190370879,780805.4705898928,780364.7576761851,779917.1975121029,779462.9724907005,779002.1765634783,778534.8152403831,778060.8055898068,777579.9762385878,777092.0673720093,776596.7307338023,776093.6275908082,775583.1002341871,775065.6883390581,774541.7249245348,774011.3336990846,773474.4290605269,772930.7160960342,772379.6905821322,771820.638984699,771253.2853335234,770678.5722748822,770097.1124306414,769509.2379768131,768915.0021805256,768314.1794000213,767706.265084658,767090.4757749083,766466.2477281399,765834.6105945229,765196.1930414087,764551.3322920458,763900.1113263685,763242.3588809991,762577.6494492467,761905.3032811071,761224.9242987547,760537.4309905281,759843.3274143108,759142.8948171888,758436.2099156184,757723.1448954246,757003.3674118017,756276.3405893133,755541.8197964735,754800.5744374038,754053.0493117938,753299.5104507477,752540.0516705618,751774.594572723,751002.8885439103,750224.510755993,749439.1877634829,748647.5907273714,747850.1962827962,747047.3061766429,746239.0605636908,745425.4380066128,744606.255475975,743781.1683502372,742949.7915213425,742112.6359641566,741270.2917668415,740423.1396357551,739571.3936372062,738715.1011974523,737854.1431027016,736988.2334991108,736116.9289019529,735240.3824287181,734359.3411239879,733474.2982567312,732585.5668591721,731693.2797267942,730797.3894183388,729897.6682558048,728993.7083244494,728085.2077889539,727172.9357843195,726257.5363407893,725339.4381000911,724418.874021765,723495.8813831648,722570.3017794564,721641.7811236202,720709.8079852652,719774.7631441598,718837.4946530948,717898.5503418493,716958.2699649611,716016.7852017265,715074.0196562017,714129.6888572015,713183.3002582997,712234.9376926938
