Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,12.917560058655152,13.105697045063105,13.31359324546737,13.552291529399605,13.827311246600797,14.140500708986718,14.491403631355958,14.87828561844183,15.298585335154208,15.749415381272138,16.22790618044954,16.73106632259519,17.256205073044868,17.800975547039005,18.3631010349338,18.94056518235083,19.53167854858464,20.13504361822983,20.749356969704813,21.373518210570644,22.006603365505235,22.647854446257462,23.296677013118497,23.95252515043459,24.61495640557125,25.283626929780695,25.95824584483736,26.638575243037906,27.324430187201187,28.01568026358005,28.71222750597733,29.41393046904596,30.120668846205454,30.832356122385246,31.548939574024793,32.27040026907349,32.99675306699074,33.728046990630475,34.46448985924127,35.20589781896388,35.95189812190066,36.70223602928165,37.4567748114645,38.21549574793449,38.97849812730449,39.74599924731513,40.518334414834456,41.29614663524554,42.079948024173476,42.86817962020679,43.65952256505314,44.453146095075766,45.24870754129351,46.04635232938069,46.846713979667314,47.650914107138895,48.46056242143656,49.27800731300661,50.104540362683615,50.93501799383549,51.76504659311167,52.59200617118739,53.41505036276371,54.235106426567384,55.05487524535105,55.87883132589315,56.71322279899785,57.56389912417528,58.42330059253016,59.28069843665266,60.12930489165858,60.966296490461154,61.79281406377116,62.61396274009692,63.4388119457442,64.28039540481632,65.14321933819109,66.00929907765632,66.86740544986098,67.71135900043905,68.5399990630577,69.35718375941727,70.17178999925119,70.99771348032618,71.84479758120352,72.69450616162787,73.53605626761563,74.36373062988073,75.1761849066217,75.97644768352176,76.77192047374878,77.5743777179553,78.39066293130469,79.2053496086575,80.01046920534333,80.80175376045806,81.57831391709144,82.342638922327,83.10059662724217,83.86143348690827,84.62954505841934,85.39294540788855,86.14524480324418,86.88290014446838,87.6051042303715,88.31378575859189,89.01360932559606,89.71197542667858,90.41389079063823,91.10968463585465,91.7930590516432,92.46039826551709,93.11055039535059,93.744827449379,94.36700532619864,94.98332381476686,95.60061833701828,96.21224071068161,96.81077288244936,97.39192343389487,97.95383196934102,98.49706911586037,99.02463652327509,99.54196686415696,100.05678870039,100.56810911268488,101.06677673383207,101.54741584308235,102.00716126472413,102.44565836808349,102.86506306752412,103.27004182244734,103.66777163729212,104.0639000286867,104.44939575458031,104.81733716938582,105.16369400662487,105.48703725524165,105.78853915960298,106.07197321949833,106.3437141901397,106.61221493193995,106.87401737597988,107.1199324353254,107.34477733585828,107.54601061306562,107.72373211203971,107.88068298747824,108.0222457036841,108.15644403456551,108.28406940486332
B,18.61735902462857,18.888072745198144,19.184964379034845,19.52230493614015,19.906720523870476,20.339703569812986,20.81949224153408,21.342533111679487,21.90415702671508,22.49931995032061,23.123117586658093,23.770589975464233,24.437347036637814,25.11963825111138,25.813928553410292,26.51716774279698,27.226892391993246,27.941165740488735,28.658245365953302,29.376759617816283,30.095636053570864,30.814082230128477,31.53158089237117,32.24767949080748,32.96212960738117,33.674840151088155,34.385779517412466,35.09497558832629,35.802515732289855,36.50854692255679,37.21325534088315,37.91682117355924,38.61943562592335,39.321304598863044,40.02264868881524,40.72370318776613,41.42471808325127,42.125958508713595,42.827877079661356,43.53050476307727,44.23363559796657,44.937180182732234,45.64116567517493,46.345735792493066,47.05115081128267,47.75778756753763,48.46613945664937,49.17701139980866,49.89103510234561,50.60666594982985,51.322610293277265,52.03808368979224,52.75281090256772,53.46702590088516,54.18147186011462,54.897401161714605,55.61657539323224,56.34149450492218,57.07339028889113,57.807074711053524,58.53815427792763,59.26402782563367,59.98388651989384,60.698713856032185,61.41128565897475,62.12617008324951,62.849727612986335,63.58777918863679,64.33261338495174,65.07372720092556,65.80450027321109,66.52220145551591,67.22798881860201,67.92690965028605,68.62790045543912,69.34378695598706,70.07887719560566,70.81558141463654,71.54317299459979,72.25576822042326,72.95229501466861,73.63649293753116,74.31691318684,75.00691859805802,75.71592390953157,76.42615116424896,77.1274679953986,77.81453394266057,78.48612551807908,79.14513620606257,79.79857646338372,80.45757371917941,81.12856546104345,81.79705252764452,82.455681103045,83.10053698630092,83.73083885337263,84.34893825712466,84.96031962732582,85.57360027064925,86.19285890942314,86.80701957642285,87.41027907107181,87.99944084198887,88.57381109299038,89.13519878309023,89.68791562649986,90.2387760926282,90.79237616376639,91.33989667801683,91.87568551672621,92.3965198900453,92.90140379575494,93.39156801926588,93.87047013361882,94.34379449948463,94.81775147197469,95.28634049941496,95.74294955693509,96.18378279616735,96.6072194353521,97.01381375933785,97.40629511958105,97.78956793414629,98.17058979428568,98.5484795504933,98.91510736006113,99.26573923957672,99.59787083938821,99.91122744360432,100.20776397009428,100.49166497048792,100.76934463017562,101.04584636960276,101.31317076769665,101.5652294259549,101.79849348885381,102.01173390435193,102.20602142389001,102.384726602391,102.55351979826003,102.71990757564153,102.88084996803337,103.02825341278896,103.15756970462009,103.26658194982593,103.3554045662931,103.42648328349574,103.48459514249534,103.53684849594086,103.58396175393135
C,39.06520179028777,39.62260967769457,40.18077487021487,40.73778618841581,41.29232782128993,41.84344517965808,42.39039338807187,42.93256230542698,43.46946794154888,44.00073568844346,44.52609309059066,45.04537981384454,45.55853309476206,46.065589466184775,46.56667428086617,47.06198455037614,47.55178729990464,48.03641371829228,48.516229735028624,48.991642213672925,49.46307553909526,49.930968990901654,50.39577620036899,50.8579406383761,51.317906620689016,51.77611115503597,52.232972787959355,52.688891604815765,53.14424922977591,53.599413465093726,54.054755431913605,54.51054338520933,54.96702301527062,55.42443915260356,55.88303576793065,56.34305597219073,56.80474201653912,57.26833562278359,57.73419644141607,58.20233754759966,58.67259013325111,59.144870509275705,59.61918010556734,60.09560547100847,60.5743182734701,61.055575299811856,61.53971845588182,62.027338119047876,62.51893041933979,63.0132419676932,63.509212055564575,64.0061829773321,64.50390003029571,65.00251151467707,65.50256873361954,66.00502599318826,66.51124060237007,67.0231927856442,67.54203048131423,68.06342837606331,68.5836826385239,69.10058899970282,69.61344275298126,70.12303875411473,70.63167142123314,71.14313473484079,71.66272223781635,72.19540519317991,72.73481220502379,73.27184686529098,73.80075870072699,74.3191647807393,74.82804971739765,75.33176566543382,75.8380323222417,76.35793692787733,76.89530354373825,77.43487945561372,77.96718490987519,78.48701562663744,78.99341640011205,79.48968109860726,79.98335266452803,80.48622311437595,81.00663066269806,81.52889725182891,82.04399143112266,82.54714729991973,83.03727395685635,83.51695549986435,83.99245102617121,84.47369463230024,84.96644815333812,85.45777795675103,85.9410943590295,86.41289220306959,86.87247809969698,87.32197042766718,87.76629933366542,88.21320673230674,88.66636534191262,89.11584168459555,89.55642628487874,89.98525422901933,90.40171205342384,90.80743774464801,91.20632073939692,91.60450192452493,92.00612640309366,92.40326744228997,92.79084566856727,93.1659691730891,93.52775136452458,93.87731096904817,94.21777203033982,94.55426390958496,94.89238983724442,95.22675288059665,95.55139943567887,95.86291407643466,96.15984282191619,96.4426931362844,96.71393392880898,96.97799555386834,97.24116005302233,97.502643464889,97.75510870537107,97.99427879453052,98.21789259155838,98.42570479477457,98.61948594162793,98.80302240869624,98.98211641168623,99.16133583421666,99.33344864970373,99.49292790779131,99.6365678582591,99.76325022833556,99.87394422269797,99.97170652347225,100.06168129023318,100.15068080382694,100.23595598834108,100.31013248805267,100.36905184741599,100.41068251906461,100.43511986381144,100.44458615064863,100.44343055674778,100.43812916745969,100.42932286487536
D,166.38055467253992,168.73891813693487,171.02141675795846,173.17598419709947,175.1805512502161,177.0332992891134,178.7452851277443,180.33455622527978,181.82333666604268,183.2349749048465,184.5918132828068,185.9159527834284,187.22670240442653,188.54029063233492,189.87163441387287,191.2332847442869,192.63505714785293,194.0843154537208,195.58737727187247,197.14867589467377,198.77134322356613,200.4573131053503,202.20734887998276,204.0220172712173,205.90043135957535,207.84100886327843,209.84213855311359,211.90218025243388,214.01946483715804,216.19234078979557,218.41899090430178,220.69612668169327,223.0205757498649,225.38958903466127,227.8008407598766,230.25242844725454,232.7428729164886,235.27111923616087,237.83635326676847,240.43528469344943,243.06415879603068,245.71997642031144,248.40049397806345,251.10422344703065,253.83043237092917,256.57914385944804,259.35113658824787,262.14863835268807,264.9724782645761,267.8145333591535,270.66796742189115,273.5282560265618,276.3931865352397,279.2628580983008,282.1396816544229,285.0283799305854,287.9359874420693,290.8728313431837,293.84364850897776,296.82532791201163,299.79829159089695,302.7508142203021,305.6790231109517,308.5868982096267,311.48627209916475,314.3968299984598,317.346109762462,320.3593728991134,323.40286799095344,326.4305551727785,329.41338740841024,332.33934468315675,335.2134340038117,338.0576893986556,340.91117191745474,343.8299696314617,346.8329904071466,349.8432884332355,352.81384901145884,355.7189044734091,358.55379781512465,361.3349826970904,364.1000234442372,366.9075950459428,369.7990839588342,372.696595314669,375.5556936489253,378.35299675983526,381.0832194357456,383.75917345511743,386.4117675865259,389.0900075886611,391.8222940211357,394.5449897082846,397.22584261648524,399.8477349083242,402.4073354134673,404.9150996286593,407.3952697177238,409.8858745115636,412.4049658188859,414.9038866687084,417.3571841065635,419.7508830047489,422.0820288515221,424.3586877511016,426.5999464236664,428.8359122053555,431.08691998519885,433.31420107999736,435.4929226772487,437.6089588137468,439.6579986708125,441.64554657429267,443.58692199456084,445.50725954651705,447.4340169554962,449.34080896206524,451.1984872261185,452.9903306286893,454.7092271073089,456.3576736560067,457.9477763253103,459.5012502222457,461.0488825330188,462.5868652718631,464.0792355318366,465.5050076145522,466.8530850782399,468.12226073774764,469.321216664541,470.46852418670335,471.59264388893575,472.71599607065184,473.8031065825211,474.8268083892268,475.7713350444843,476.6311769997878,477.4110816044095,478.12605310540056,478.8013526475903,479.4704407475397,480.11982851037305,480.713234303678,481.23017023281756,481.66061598800314,482.0050188442947,482.2742936616005,482.4898228846772,482.6834565431301,482.8583272757884
E,17.42680049387694,17.678381054242138,17.945268049574743,18.235721536083553,18.5540681285719,18.90203244666049,19.279708979768397,19.686273975415308,20.120286370642713,20.580025977339666,21.063723951876774,21.5694657169912,22.095478354578816,22.64015920449819,23.201899600670696,23.779220427412145,24.370820665997872,24.97555840389611,25.592331412403524,26.220140378811,26.858097292212932,27.505420921548023,28.161435873117828,28.825511093780083,29.497048241944103,30.175517251767765,30.860446658712185,31.55142359954172,32.24809381232395,32.950164357716595,33.65736618294745,34.369337174115664,35.085749215793584,35.806331186013956,36.530868956269984,37.259205391515174,37.991240350163515,38.72693101736901,39.46637380140076,40.20923208418662,40.95500453121377,41.70332569050379,42.45396599261274,43.206831750631046,43.96196516018353,44.71954429942952,45.47988312906263,46.24360765873092,47.01114581600342,47.780887621377296,48.551479410030815,49.32206392126641,50.092280298510815,50.86226408931488,51.63264724535375,52.40455812242678,53.1796214804575,53.960185201660565,54.74742133082897,55.53628256117683,56.32248583065322,57.103484809246034,57.878469898982004,58.64836823392669,59.41584368018452,60.18529683589885,60.96286503125173,61.754208644855794,62.55189346256529,63.34565955275173,64.1290356850418,64.89935093471115,65.65773468268435,66.409116615535,67.1622267254856,67.92959531040766,68.71548705835116,69.5027159966863,70.28071727273378,71.0436976859852,71.7906054742787,72.52513031379902,73.2557033190775,73.995497042992,74.75381841629093,75.51317369431064,76.26352068021293,76.99956470479066,77.72009775786063,78.42799848826373,79.13023220386494,79.83785087155334,80.55726981552712,81.2741088918322,81.98103142231952,82.67413330842723,83.35263998746892,84.01890643263384,84.6784171529867,85.33978619346776,86.00710952287204,86.66932778730728,87.32061509846741,87.95776342615133,88.58007930138986,89.18938381644583,89.79001262481414,90.38881594122165,90.99042676163286,91.58599083371939,92.16979996034051,92.73859806381925,93.29137893567794,93.82938623663834,94.35611349662143,94.87730411474777,95.39923900235426,95.91587006559882,96.42048524283463,96.90922375373165,97.38043484473414,97.83467778906063,98.27472188670394,98.70554646443111,99.13421769090591,99.55985830831806,99.97418425791032,100.37235008996072,100.75178870828958,101.11221137025956,101.45560768677576,101.7862456222855,102.1106714947785,102.43404283496717,102.74818580635532,103.04683579598625,103.32635468750364,103.5854677008042,103.82526339203761,104.04919365360664,104.26307371416692,104.47460792108329,104.68068490394367,104.87295159626953,105.04669340753894,105.19960474194116,105.33178899837665,105.44575857045703,105.54643484650515,105.64114820955493,105.73062466261104
F,42.93451701523056,43.5499761693613,44.18069148352211,44.83287869128779,45.50879214933733,46.20798187308732,46.92826589885776,47.66654342007608,48.41920518965216,49.18257237895607,49.95320592127756,50.72780048532636,51.503548615416136,52.2781835087607,53.049708206382064,53.81653595893224,54.57753990435427,55.33200617696251,56.0794025675821,56.8195056645123,57.55229274241292,58.27792420843343,58.99673943590698,59.709100773379504,60.415560683705564,61.116757615708856,61.8133184067418,62.50585828268548,63.194980857949595,63.88128133115202,64.5654009800721,65.247980962622,65.92962166257804,66.61088676212918,67.29230324187692,67.97436138083538,68.6575147564313,69.34218075260534,70.02898400829667,70.71820134849368,71.40983165535677,72.1039531593489,72.80072343923588,73.5003794220862,74.20323738327103,74.90969294646443,75.62022108364296,76.33560920598342,77.05665183680435,77.78185519701871,78.50994338245273,79.24014096289214,79.97217298208213,80.70626495772716,81.44314288149123,82.18403321899766,82.93066290982927,83.68556894051495,84.45038246174771,85.21951088743077,85.98813260182308,86.75337691256229,87.51432405066461,88.27200517052499,89.02940234991686,89.79144858999246,90.56502781528252,91.35669246068719,92.15819905889151,92.95747579062933,93.74687660927253,94.52322077690576,95.28779286432642,96.04634275104473,96.80908562528364,97.59070198397887,98.39632852449839,99.20570230295,100.0060770339663,100.7904421295876,101.55748823152094,102.31160721114024,103.06289216948625,103.82713743726663,104.61554014432669,105.40706439239706,106.18946796223055,106.95626997399027,107.70596482590864,108.44202219428738,109.1728870334975,109.91197957597942,110.66710167331115,111.42072820607636,112.16384566666103,112.8916438873703,113.60314902742637,114.30122357296871,114.99256633705373,115.68771245965515,116.39167282205437,117.0908728815703,117.77812779839323,118.44947341892896,119.10404005187887,119.74405246823969,120.37482990130327,121.00478604665709,121.639612474757,122.26840236042659,122.88410423681171,123.48269036619611,124.06290847024843,124.6262817300223,125.17710878595626,125.72246373787385,126.27008628718617,126.8125114782296,127.34143785138538,127.85208442941841,128.34240228049683,128.8130745181924,129.26751630148001,129.71187483473813,130.1548773930664,130.59544117067225,131.02330775043256,131.43246487212141,131.81972363008853,132.18471847325938,132.5299072051352,132.86057098379274,133.18481432188455,133.50902731413927,133.82307606937263,134.1191677573596,134.39277167352842,134.64229442102163,134.86907991069617,135.07740936112327,135.27450129858835,135.46992363407932,135.65981523411753,135.83376507148387,135.98588189686407,136.1132787809731,136.2160731145552,136.29738660838402,136.3633452932625,136.4230795200228,136.47747909879567
G,16.81663924686674,17.05843458265546,17.309982401168806,17.576125085214432,17.859216321764997,18.159945684501754,18.47795212535622,18.81229449079113,19.161664524363616,19.524621643569947,19.89975536712536,20.285621345844202,20.68093993465792,21.084617673395897,21.495613879880022,21.91302761265352,22.336130486294135,22.764348796026454,23.197160643020656,23.634148352927195,24.074983718385933,24.519422629614983,24.96730381582404,25.418487023086282,25.872875898837496,26.330419860361467,26.79109158544493,27.25488701237754,27.721825339951856,28.191950948181862,28.665321733304747,29.14194053205885,29.621816676524343,30.10497880998623,30.591474886934353,31.081372173063393,31.574757245272888,32.071736254194526,32.57251967990594,33.07702635238778,33.58503791309636,34.09641849461017,34.61111472062995,35.12915570597867,35.650653056601435,36.17580086956568,36.70487573306091,37.238370600091706,37.77667671079007,38.31871200383851,38.86356523382594,39.41067183318446,39.959813912189375,40.511120258959245,41.06506633945582,41.6224742974841,42.1845129546923,42.752881147504844,43.328546043276596,43.90784193699435,44.48763590379931,45.066067983352916,45.64255117983684,46.21777146195298,46.79368776292337,47.373531980490384,47.961808976916515,48.5627795804149,49.17106786113155,49.77889213944871,50.381332728257355,50.976354016602855,51.56480446968498,52.15041662885783,52.739807111629915,53.34247661166411,53.961790902016844,54.584672369938154,55.20284967870799,55.81177804827427,56.41061717699065,57.0022312416164,57.59318889731653,58.19376327766171,58.81127281443041,59.43207587849116,60.0481289291235,60.655167032157514,61.25219883369016,61.841506560085186,62.4286460179732,63.0224465942517,63.62807771344188,64.23401292160455,64.83422502681661,65.42548884638867,66.0071426047923,66.58108793366006,67.15178987178547,67.72627686512308,68.30792606266807,68.88765254062112,69.46055389412618,70.02391441792096,70.57712200645572,71.1216681538934,71.66114795410961,72.2012601006926,72.74588729352467,73.28760681473098,73.82151326943873,74.34478798898992,74.8565338560642,75.35777530467867,75.85145832018804,76.3424504392846,76.83609820445116,77.32725140533954,77.81004771561312,78.28107797232595,78.73885933382672,79.183835279759,79.6183756110611,80.04677644996606,80.47515497687415,80.90277455726947,81.32231839349807,81.72942956834264,82.12177630913601,82.499051987761,82.86297512065063,83.21728936878792,83.56776353770599,83.91896859775248,84.26362088350226,84.59600485069232,84.91277178021129,85.21271262816778,85.49675802589013,85.76797827992664,86.03158337204549,86.29449991931313,86.5539286160595,86.8021899834395,87.03488457804896,87.24983122173691,87.44706700160569,87.62884727001087,87.79964564456117,87.9661540081187,88.12898069673639
H,18.12625363069352,18.388949527926602,18.672557366442593,18.98787646573838,19.339187795556853,19.72634883951118,20.146395271859454,20.594847970482995,21.066354755693652,21.55538147890131,22.056696599997288,22.565201324707136,23.076504527173356,23.586988828069394,24.093397938531268,24.59306624516421,25.083998895543516,25.564802861677315,26.034347067911206,26.49195698885538,26.937262719874397,27.370173450165762,27.790871119314495,28.199579440557372,28.596835019622652,28.983320066837905,29.35971132062289,29.72668004748956,30.084892042042036,30.435005515502024,30.777736952880794,31.113957699332257,31.444493733765153,31.77009715072841,32.09144616041108,32.40914508864236,32.72372437689164,33.03564090510391,33.34549952526426,33.65387577228142,33.96116323823733,34.26774288517617,34.57398304510438,34.880239419990595,35.18685508176569,35.494160472322875,35.80247340351743,36.11221937557196,36.42397443463659,36.73735500648701,37.052023930597045,37.36781729323551,37.68474442746639,38.002987913148665,38.322903576936405,38.64502049227876,38.97004097941992,39.2989949537403,39.63274724440779,39.969083300182874,40.30605810844385,40.6425233262242,40.978127280212725,41.31331496675337,41.64932805184536,41.988204871143196,42.33278042995653,42.68586455512575,43.04416524612222,43.40246445846313,43.75744617238145,44.107727082252545,44.453856596594164,44.7983168380664,45.14552264347169,45.50182156375489,45.86953715666222,46.23986575746464,46.607085610615144,46.96804119768512,47.322128985269565,47.67129742498707,48.020046953479735,48.37542999241326,48.74248286944797,49.11180144683464,49.47777602554632,49.83741974404242,50.190023900745,50.53715795403874,50.88266952227095,51.232684383751675,51.59078560639393,51.948941103997356,52.30293908969566,52.6505205231996,52.991213313891,53.326332320822885,53.65897935271921,53.994043167975185,54.3338636293563,54.672103541544985,55.00535272621968,55.33172095361835,55.65077987057722,55.963563000530854,56.27256574351208,56.58174537615196,56.89379002135076,57.203540068979386,57.507609895041085,57.80405669884494,58.09226490513072,58.372946164069,58.648139351260994,58.92121056773873,59.19585172415343,59.468498500554546,59.73513456632818,59.99343329002082,60.24238835465802,60.4823137577444,60.71484381126358,60.94293314167825,61.17078394225473,61.397881598676975,61.61923884353481,61.831908110509985,62.034318702443166,62.22627679133383,62.40896541834031,62.58494449377976,62.758150797128266,62.931696158217306,63.100634798499115,63.261125110248145,63.41092548951637,63.549237930604406,63.676708026061526,63.795424966685644,63.908921541523256,64.02188692728123,64.1324294441668,64.23540307441641,64.32787910077339,64.408415173779,64.47705531177239,64.53532990089056,64.58625569506852,64.63433581603904,64.6799966851519
I,23.73676070686057,24.081377687880817,24.45648449229379,24.8780342007993,25.35246976644241,25.87977927463391,26.455824866270998,27.074232447253127,27.727313282937864,28.407060206212446,29.105846474357627,29.81618260669631,30.531551669715565,31.246507759301096,31.956089175484696,32.65615867797702,33.343530324568974,34.01587454943379,34.67123618084213,35.30830566413201,35.926231573805865,36.5245864943184,37.103358124332615,37.662617189632144,38.202883510061916,38.72491162436914,39.229482978906894,39.717405927634076,40.189515732115396,40.64666726828247,41.0897860947822,41.52007347060424,41.938692611892456,42.34671385818629,42.74511467242073,43.13477964092634,43.51650047342923,43.8909762971269,44.2590564217375,44.621683755633455,44.979630783976134,45.33361787244699,45.68431326724753,46.032333095099375,46.378241363244186,46.72254995944378,47.065718651979964,47.40827949334074,47.75104793551195,48.09403399620659,48.43724051697042,48.780778353644784,49.12486637636671,49.46983146956882,49.81610853197939,50.1642404766223,50.51487823081712,50.8689781834957,51.227755514364155,51.589332126735044,51.951992864351915,52.31476126424147,52.67739955671363,53.040408665361475,53.405028207061314,53.77323649197266,54.14775052353819,54.53154312585459,54.92180521177296,55.31304167377971,55.70175193662125,56.08649473179981,56.46788809757337,56.848609378955736,57.23339522771646,57.62904160238093,58.03830761568027,58.45177474383175,58.86290277939346,59.268084886352305,59.666633988077336,60.060782767319864,60.45568366621333,60.859408886273414,61.27780363558261,61.700155821331535,62.11981520804297,62.5332210325628,62.93952166809407,63.34057462419697,63.74094654678885,64.14791321814418,64.5657686291906,64.98495721518235,65.40035158574894,65.80919017185198,66.21088337029558,66.60701354372628,67.00133502063315,67.39977409534764,67.80518253635373,68.20983611818508,68.60951583777018,69.00187274704489,69.38635812167108,69.7642234610368,70.13852048825618,70.51410115016951,70.89426607062273,71.27264119865566,71.64500060568956,72.00890725889927,72.36357192907168,72.70985319060584,73.0502574215129,73.38893880341612,73.73045991368653,74.07037946245367,74.40366506725245,74.72738644768329,75.0402610352398,75.3426539733088,75.63657811717039,75.92569403399783,76.21521948057548,76.5044944443264,76.78726141851045,77.05980400028717,77.3201293870379,77.56796837636567,77.80477536609533,78.03372835427338,78.25972893916818,78.48664862030658,78.70827303249688,78.91976201781429,79.11828055753466,79.30280342927998,79.47411520701836,79.634810261064,79.78929275807731,79.94341670438118,80.09478824393825,80.23693390535382,80.3661597522406,80.48063555381161,80.58039478488024,80.66733462586026,80.74521596276581,80.81966338721139,80.89119190252178
J,11.697237564634733,11.867681289744604,12.056460904342156,12.273969925900422,12.52562598282427,12.813557378230845,13.13783658844557,13.497387172695623,13.890369896880111,14.3146153326566,14.767918786481983,15.247916572547098,15.752451575382686,16.27960909807577,16.827489405302664,17.394377547533516,17.978801482493605,18.579505632599677,19.195296101414996,19.825127704723553,20.468097395722758,21.123437046734956,21.79051180320882,22.46873549374158,23.157594946473655,23.856662854080746,24.56557030803209,25.284006798590504,26.01172021481229,26.74851785480815,27.494235493832978,28.248669225486427,29.01164573283673,29.78303412384321,30.562745931356336,31.350735113117686,32.14699805175999,32.95157385047443,33.76463266705581,34.58600843302644,35.41538942790749,36.252571254707945,37.09745683992478,37.95005643354273,38.81048760903439,39.67897526336035,40.55585161696886,41.44172989881754,42.337134041074926,43.2407315410499,44.15140284423575,45.06846536373333,45.99167348025113,46.921218542105116,47.85772886521889,48.802269733123566,49.75634339695791,50.72215816545672,51.701177432638985,52.68865067480831,53.68048797296137,54.674278628508624,55.669291163274124,56.666473319495594,57.66845205982453,58.67953356732615,59.70570324547921,60.75284849775981,61.81409194552282,62.878693263007634,63.93985769158455,64.99479339466035,66.0447114576783,67.09482588811814,68.1543536154961,69.2365144913649,70.3463516340708,71.46569426634906,72.58250989702101,73.69019164164146,74.78752965301929,75.87871112121744,76.97332027355301,78.08633837459733,79.22862089365034,80.38043116245744,81.52957713881999,82.66955961916952,83.7988673208949,84.92097688234246,86.04435286281573,87.18244774257589,88.34329889803601,89.50939058377722,90.67115901326754,91.82346509049383,92.96524323076136,94.09950136069406,95.2333209182342,96.37785685264264,97.5386199953272,98.7011620689353,99.85734673102151,101.00264739545685,102.13602001297271,103.25990307116075,104.380217594473,105.50636714422161,106.6448799243281,107.78349084174125,108.9137143350348,110.03063810710363,111.13266325423236,112.22150426609545,113.30218902575717,114.3830588096715,115.47335112926123,116.5643184364939,117.6454709778822,118.71061193810937,119.75700261853817,120.78536243721075,121.79986892884882,122.80815774485352,123.82114146751263,124.83768495140254,125.84437670585665,126.83298016441985,127.79903924841423,128.74187836693937,129.66460241687204,130.5740967828665,131.4810273373543,132.39396519227796,133.2993251005288,134.18594484149324,135.0472061445305,135.8806369564932,136.68791144172735,137.4748499820724,138.2514191768613,139.03093785285253,139.80814360649475,140.56775507898203,141.30078916072287,142.00271535287465,142.6734557673439,143.31738512678578,143.94333076460447,144.564572624953,145.1821622924929
