Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,20.489144274313247,20.78634212979994,21.108697716324638,21.470106691715383,21.87761998137994,22.333749037037943,22.83816104987953,23.388942666641928,23.983149024983902,24.617415202231786,25.288374950883558,25.99248781796658,26.726555196733507,27.48777208579593,28.273396111640817,29.080982262449844,29.908464293658163,30.75411380244163,31.61630512614493,32.493644282817456,33.384945653647456,34.2892201812734,35.205672699456024,36.13356930142378,37.07228447816378,38.021310248287264,38.98020928353507,39.94861490877764,40.92623110201498,41.91283561016649,42.908247373646745,43.91219667933851,44.92444486283847,45.94480783361495,46.97315607500791,48.009414644228876,49.0535631723611,50.10563638755046,51.16588977388228,52.23399982466031,53.3093780142989,54.391610947169575,55.48046035760115,56.57586310987957,57.67793119824795,58.786951746906745,59.903387010013354,61.02814797440834,62.161947579068226,63.302496683282044,64.44785775182208,65.59680388787908,66.74881883306227,67.9040969673993,69.0635433093363,70.2287735157379,71.40211388188713,72.58696684421905,73.78520587186819,74.98933923191335,76.19296558102272,77.39226472399616,78.58599761376531,79.7755063513933,80.96471418607504,82.16012551513722,83.37082588403796,84.60532764545701,85.85263202870163,87.09711028241375,88.32887294511664,89.54380453582998,90.74356355406982,91.93558247984866,93.13306777367534,94.35499987655515,95.60794585846274,96.86570958508075,98.11192449103032,99.33758337873935,100.54099340698932,101.72777609091509,102.91086730200507,104.1105172681012,105.34107262765554,106.57552004657572,107.79813871550184,109.00059269119771,110.18092164086467,111.34354084214182,112.49924118310572,113.66518916227062,114.85136330517781,116.03527257590491,117.20529659275826,118.3552114401778,119.48372031752278,120.59445353907157,121.69596853402174,122.80174984649015,123.9182084223521,125.02786500411985,126.12140020055458,127.19364653756963,128.2434269914507,129.273554988856,130.29083440681632,131.3060595727349,132.32653368323508,133.33815160972213,134.33172671569494,135.30198480214463,136.24724581695907,137.16942385492297,138.0740271577178,138.97015811392205,139.8677881599018,140.75721985702344,141.6276311133011,142.4727610249354,143.28989538297114,144.07986667329737,144.8470540766473,145.59938346859838,146.34813029844287,147.0918467820513,147.8171803707473,148.51628644070038,149.18498375209708,149.82275444914075,150.43274406005176,151.02176149706727,151.60027905644154,152.1765378731874,152.73735932463845,153.27264043809052,153.77649808407287,154.24684576298338,154.6853936050886,155.09764837052361,155.49291344929213,155.88352546037623,156.26443799012355,156.6222361745867,156.94935222395327,157.24207450133127,157.50054752274983,157.72877195715856,157.93460462642807,158.12975850534946,158.31538741177803
B,29.529861160329347,29.956302142622693,30.409279427693967,30.9027782705856,31.443461816669743,32.033087697876724,32.67030936642044,33.35206476466989,34.07420953439195,34.83221373602354,35.62164466253406,36.4379798569493,37.277196684788635,38.13583718372268,39.010612402029324,39.89865985357949,40.7976415904382,41.705690428274835,42.62110347408149,43.542500649803955,44.46877568145533,45.39907968538505,46.332817171645296,47.26945790048295,48.2086264015992,49.15009145701215,50.09369095790562,51.0393319046291,51.98699040669781,52.93671447180193,53.88858968572135,54.84261204267722,55.798798352481626,56.757208041303045,57.7179431516665,58.6811483424534,59.64701088890167,60.61576126081143,61.58786305059684,62.563148820901425,63.54114975765054,64.52157656886301,65.50431948465122,66.4894482572209,67.47721216087132,68.46803999199533,69.46254006907903,70.4617681974751,71.46650232281694,72.4744665253189,73.48375118997858,74.49317352109078,75.50227754224758,76.51133409633832,77.52134084554959,78.53402227136523,79.55182967456639,80.57826648625247,81.6150440199779,82.65476972821854,83.69118018755246,84.7205567861548,85.74172572379791,86.75605801185144,87.76746947328208,88.78242074265394,89.80991726612804,90.85820862882294,91.91634597801735,92.9693980145386,94.00794871753075,95.02810763325877,96.03150987510857,97.02531612358709,98.02221262632223,99.04041119806283,100.08603389009146,101.13408706021822,102.1693129285293,103.1833403992685,104.17464070170492,105.14852739013293,106.11715634387225,107.09952576726789,108.10902386707744,109.12037118435495,110.11914781089114,111.09775190912195,112.0544406147478,112.99333003673347,113.92439525730812,114.86347033196526,115.81971782848942,116.77250385445646,117.71135632666252,118.6307007237917,119.52942376831045,120.4108734264674,121.28285890829326,122.15765066760119,123.04105830563347,123.91730911643788,124.77813451005318,125.61897962981335,126.43885547062584,127.24033887897154,128.02957255290485,128.8162650420536,129.60696556132044,130.38910868098097,131.15463670415656,131.89895466533122,132.62064191543422,133.32145212183968,134.00631326836694,134.68332765528038,135.3613482040425,136.031822032555,136.68531830987976,137.31642155737595,137.9228186169306,138.50529865095882,139.06775314240355,139.61717589473577,140.16348927074992,140.70543816333503,141.23142236085027,141.73468351566265,142.21164536609638,142.6619137364326,143.0882765369097,143.49670376372288,143.89634749902473,144.29440532539428,144.679459635886,145.04281339725938,145.37942426973603,145.6875342625516,145.96866973395598,146.22764139121304,146.472544290601,146.7140961272993,146.94795660445166,147.16256038819822,147.3514045230871,147.5113176078937,147.64245979562054,147.74832279349735,147.83572986298114,147.91483581975604,147.98666360627962
C,61.96313792635055,62.846692781382664,63.72852143687331,64.60389091298701,65.46993695498436,66.32499020291891,67.16810916069713,67.99878404930185,68.81684078415617,69.62232415738055,70.41542360195129,71.19651237326222,71.96604821418164,72.72456743743912,73.47271974836747,74.21120821633248,74.94077409848123,75.66219493564347,76.37627827960152,77.08384965708598,77.78572472407123,78.48270748732902,79.17559006764873,79.86514005545683,80.55209758334334,81.23717060685944,81.92103039779616,82.6043115441843,83.2876119502945,83.97150069226143,84.65654783666487,85.34314831639973,86.03165956850268,86.72243832106281,87.41584059322179,88.11222169517362,88.81193622816494,89.51533858560356,90.22295922911609,90.9347918456522,91.65055371078375,92.37009359638216,93.09339177061833,93.82055999796273,94.55184153918528,95.28761115135552,96.02837508784242,96.77502373669338,97.5283071224921,98.28627666912845,99.04728077842677,99.81028957495862,100.57489490604316,101.34131034174682,102.11037117488357,102.88353442101474,103.66287881844916,104.45144910295886,105.25103087086109,106.05491909811859,106.85736600404559,107.65494673320165,108.44655935539153,109.23342486566538,110.01908718431865,110.8094131568921,111.61259255417173,112.4363316951671,113.27076553295674,114.10176137449272,114.92038094846642,115.72291581199983,116.5108873506458,117.29104677838791,118.07537513764028,118.88108329924803,119.71411462431075,120.55077435804611,121.37631496328432,122.18263737879778,122.96825009289117,123.73826914340103,124.5044181176961,125.28502815267731,126.09306290626228,126.90413965351615,127.70420103226053,128.48582608403757,129.24731246543337,129.99267644807819,130.73165291864626,131.47969537885578,132.24576660250895,133.00973741442573,133.76134660320648,134.49513412433112,135.210016780917,135.9092882237189,136.60061895112904,137.29605630917703,138.00131440933848,138.7009275643993,139.386781978619,140.054414078804,140.7028656002276,141.33468358662984,141.9559203902179,142.57613367166564,143.20177431474286,143.82049870955555,144.42439531292746,145.00895858112108,145.57280542397126,146.1176752048854,146.64842974084334,147.17305330239756,147.70026818004206,148.2216690676787,148.7279831212001,149.21388974120953,149.67712268832457,150.1184700831776,150.54177440641567,150.95393249870037,151.36472465761827,151.7729285598328,152.16711710769982,152.5406282016572,152.8899389544202,153.2146656909817,153.5175639486121,153.80452847685942,154.0845932375492,154.36487019601827,154.6340959658324,154.88366202877106,155.10857469022216,155.30709113598203,155.48071943225582,155.6342185256572,155.7755982432084,155.91546624405038,156.04954047080216,156.16633558517128,156.2593743758344,156.32549200198255,156.36483599332146,156.38086625007105,156.3803550429658,156.37338701325461,156.36095941055305
D,263.90395505394247,267.6580552408166,271.3597930388318,274.9656831311034,278.4578504314089,281.8357123021744,285.1096713602593,288.2960605805322,291.41471057803295,294.4863180212755,297.5306090545317,300.56698893906247,303.6123558798817,306.6808563722854,309.78540357079316,312.9367839821759,316.1433649130283,319.4113486843984,322.7459673595608,326.1507221004306,329.62799137187653,333.179127983303,336.80448538394825,340.50427238360953,344.2772038146623,348.12138193011646,352.03496680290255,356.0161763258718,360.06328621179614,364.1746902130911,368.348630153251,372.5814341392995,376.8695871819974,381.2101330240693,385.6006741402048,390.039371737057,394.5249457532444,399.0566769246526,403.6344962835006,408.25436159819935,412.9111839497656,417.6010555589925,422.3212497864497,427.0702211324827,431.8476052372133,436.6542188805403,441.49205998213745,446.3655577837671,451.27701246966353,456.2132001202847,461.16301267563,466.1192514536867,471.07862715043024,476.0417598398237,481.01317897381847,486.00132338235363,491.0185412733562,496.08277739480593,501.2024624631314,506.33834534845835,511.45718248376676,516.539139909384,521.5777932729851,526.5801278295925,531.5665384415765,536.5708295786553,541.640215317894,546.8180176456663,552.046654275257,557.247480740648,562.3709063271476,567.3964543725364,572.3327622670689,577.2175814534721,582.1177774269464,587.1293297351652,592.2846398300366,597.4521512742542,602.5514686390106,607.5385427440293,612.4054375357365,617.1803300872608,621.9275105984335,626.7473823957882,631.710775141472,636.6844481883197,641.5923796791604,646.3945706567781,651.0819885820808,655.6765673341015,660.2312072099974,664.8297749250507,669.5208806315961,674.1956344073267,678.7988401060016,683.3012030128654,687.6970242885844,692.0042009692471,696.2642259663631,700.5421880668642,704.8689877212196,709.1613463365114,713.3756917063727,717.4880993071971,721.4935098774116,725.4057294174743,729.2574291898765,733.1001457191419,736.9686892079371,740.7966923784276,744.5416356364742,748.1793301426067,751.7023916435038,755.1202404719929,758.4591015470508,761.7620043738028,765.0759571374159,768.3557847753117,771.5515718872498,774.6346810463633,777.592929153877,780.4305874391073,783.1683814594621,785.843491100442,788.5086311970673,791.1572809264849,793.7278506225606,796.1843949538165,798.5079050955403,800.6963087297868,802.764470045377,804.7441897378986,806.6842050097059,808.6229104946907,810.4995499452282,812.2675868378175,813.9000112250336,815.387381412695,816.737823959863,817.9770336788422,819.1482736351797,820.3088513042961,821.4356619238989,822.4665542291069,823.3664280200534,824.1181140417436,824.7223739840543,825.197900481734,825.581317114403,825.9271784065531,826.2408463970311
E,27.641460766383425,28.039449650858643,28.45635591944335,28.90217051224382,29.38234254500317,29.89933508309379,30.453749442269615,31.04512776110547,31.672278173102963,32.33364487388819,33.027558017715414,33.752122960480655,34.505536078382185,35.28611449523614,36.09211170935011,36.92187284982152,37.77388965089242,38.64678431500363,39.5391946509722,40.44983301422819,41.37752017821844,42.32118283558582,43.27985330384313,44.252620522353716,45.23856887252975,46.23685464645758,47.24671693842375,48.267477644914884,49.29854146461773,50.339401060528715,51.38957791909647,52.44841992918768,53.515328666951305,54.5898008787005,55.67142848091265,56.75989856022931,57.8549933734563,58.95659082743736,60.06476620264529,61.17892561369383,62.29823990531371,63.42209142778444,64.55007403693415,65.68199309413956,66.81786546632603,67.95791952596771,69.10259515108717,70.25280657807357,71.40915396983802,72.56916772727233,73.73077046006259,74.89263779573776,76.05419837966978,77.21563387507354,78.37787896300692,79.54262134237072,80.71230172990869,81.89045634503495,83.07884163665797,84.26981070331139,85.45687414658912,86.63617023016272,87.80646487978144,88.96915168327223,90.12825189053962,91.29041441356597,92.46491582641119,93.66031262842472,94.86535596093644,96.06452188114775,97.24801783071662,98.4118002537771,99.55757459693947,100.6927953092902,101.83066584239185,102.99013865028337,104.1776640835113,105.36724367050651,106.54289352201056,107.69584862691157,108.82451715338493,109.9344804488937,111.03849304018834,112.15648263330692,113.3025293292693,114.45016802457408,115.58420556756845,116.69663155765208,117.7856186148592,118.85552237985861,119.91688151395347,120.98641769908164,122.07383774875314,123.15738547405721,124.22596076711656,125.27365715761854,126.29930333215913,127.30646313424324,128.3034355642845,129.30325477960542,130.3121189265602,131.3132951165924,132.29796876186109,133.26128638051117,134.20219930616742,135.1234636879347,136.0316404903979,136.93709549362183,137.84683963137235,138.74747576614118,139.6303667434578,140.49058591048006,141.32661109919997,142.14032462644388,142.93701329387244,143.72536838798072,144.51489464753416,145.29644053675494,146.0598487999049,146.7992768966377,147.51222678518346,148.19954492234885,148.86542226351708,149.51739426264777,150.16615447296041,150.81037593681862,151.43752118247647,152.0402561488204,152.6146951481163,153.16040086600964,153.68038436152509,154.181105067067,154.6724707884191,155.16228782330424,155.6381845067304,156.09067690224603,156.51425691510966,156.90699408666592,157.27053559434583,157.61010625166693,157.93450850823265,158.25540468823294,158.5680852107206,158.85990281015333,159.1237179591245,159.35603864574622,159.55702037364946,159.7304661619839,159.8838265454181,160.02819957413936,160.1646832116093
F,68.10043920667479,69.07472441889,70.06347477407817,71.07106023815857,72.09884600475436,73.14613222018019,74.21089168235638,75.29040518091172,76.38159228076836,77.48136209840452,78.5868617020111,79.69539337269964,80.80470358684538,81.91301730968902,83.01881496735288,84.12093882758842,85.21862936662228,86.31148484806106,87.39926504863206,88.4819965884793,89.55987150133456,90.63323173624498,91.70256573248788,92.7683785299036,93.83132279530044,94.89211243062327,95.95144265909929,97.00999002523801,98.06841239483097,99.12735650838277,100.18752109540593,101.2495067719425,102.31386824270899,103.3811407097378,104.45183987237733,105.52646192729169,106.60548356846118,107.68936271585602,108.7788464503292,109.87406661173287,110.97476093692592,112.08082095007273,113.19229196264313,114.3093730734124,115.43241716846133,116.56193092117628,117.69857479224876,118.84351818753012,119.99786085355419,121.15909235212047,122.32507271818021,123.49447379565066,124.66677923741507,125.84228450532255,127.02209687018842,128.20813541179382,129.4031310188859,130.61110561882393,131.83455020832906,133.06453620828253,134.29338190862208,135.51650698176047,136.73243248258552,137.9427808484597,139.15227589922077,140.3687428371813,141.60310824712872,142.86573172422098,144.14348389933323,145.417288336002,146.6750664719845,147.91179498729218,149.1295058041904,150.33728608719852,151.55127824309005,152.79467992089258,154.07557983709998,155.36197692583985,156.63379574578448,157.87999836009394,159.09852968652507,160.29631749743226,161.48927241976682,162.7022879350773,163.95300545558266,165.20828346577426,166.44886591090713,167.66456462733495,168.85301930153088,170.01969747008832,171.17789451972052,172.34873368726065,173.5444938309821,174.73760820438986,175.9139136621221,177.0658559071526,178.19191169919827,179.29658885471923,180.39042624691857,181.48999380574256,182.60317386194123,183.7086324681497,184.79508643327506,185.8563134727942,186.89095368874493,187.90250956972662,188.8993459908994,189.894690213985,190.89749053924308,191.89061374279063,192.8629886251823,193.80829397018982,194.72456828144362,195.61420978243333,196.48397641650726,197.344985846873,198.2094006798944,199.06549820785318,199.90024510739568,200.70613765442067,201.47996269053994,202.22279762307815,202.94001042507284,203.64125963527482,204.34025564370597,205.03530071616836,205.71028892038458,206.3557834747368,206.9667808571857,207.54271080527104,208.0874363161111,208.60925364640315,209.12089231242305,209.63238918380466,210.12783439684839,210.59499576556442,211.02676290846352,211.42063711381832,211.77873133966378,212.10777021379704,212.41909003377728,212.7277156295046,213.02758667915455,213.30236039312445,213.5427903675772,213.74434671223295,213.90721605036822,214.03630151881634,214.14122276796735,214.2363159617681,214.32298013066026
G,26.67365556448614,27.056316747935796,27.450071070103064,27.86007522612242,28.288943581574227,28.73759809748346,29.20589635290907,29.693105120157202,30.19810951368655,30.719645141178507,31.256457959135194,31.807238780485733,32.370820256933015,32.946197559495616,33.53239805761432,34.12856957612906,34.734013913528344,35.348170749391144,35.97051926559933,36.60062551152768,37.23813847429874,37.88278573078798,38.53437253063515,39.192726656802854,39.85769496918197,40.529166041330264,41.20705838554023,41.891320452839075,42.581930632988616,43.27890111472865,43.98225821809106,44.69191545850539,45.40779800350859,46.12986810100199,46.85812507925135,47.59260534688681,48.333382392902905,49.080567165504505,49.8344180053177,50.59473682036915,51.36112857222099,52.133328986439395,52.91120455259451,53.69475252426051,54.48410091901546,55.27950851844162,56.081364868124965,56.89039130588277,57.70714255621173,58.52993903875789,59.35736523833083,60.188535745326,61.02309525572488,61.861218571094845,62.70361059858926,63.55150635094747,64.40667094649474,65.27167911274209,66.14799211172316,67.03001007810491,67.91294612694263,68.79395469966188,69.67213156405884,70.54851381429998,71.42607987092227,72.30974948083313,73.20638371731037,74.12247467860176,75.04982343115219,75.97655673942639,76.89516662848732,77.80254434558407,78.6999803601516,79.59316436381083,80.49218527036867,81.41153121581803,82.35633611624678,83.30665082557314,84.24985285263725,85.17900585540463,86.09282598295941,86.99568187550426,87.89759466436041,88.81423797196763,89.75677836949944,90.70440094672057,91.64482861264315,92.57155106009083,93.48305438685281,94.38282109568367,95.27933009430352,96.18605669539795,97.11089105350187,98.03624040699302,98.95290308642346,99.85595492117157,100.74438513571285,101.62109634962007,102.49290457756324,103.37053922930959,104.2591562769289,105.14488595232869,106.02024211017302,106.88107755458721,107.72645719883647,108.55865806532557,109.38316928559895,110.20869210034083,111.04115537422159,111.8692246829726,112.68540773603273,113.48539913449923,114.26782821597024,115.03425905454498,115.78919046082366,116.54005598190754,117.29502104303636,118.04622007030731,118.78469757710836,119.50524503674565,120.20559657681082,120.8864289791813,121.55136168002004,122.20695676977573,122.86255822777512,123.51704123066528,124.15922689081634,124.78245723310094,125.38316858423491,125.96089157277707,126.51825112912951,127.0609664855373,127.59785117608872,128.135889145487,128.66395094260858,129.1733007926345,129.65881989009029,130.11865944724886,130.55424069413084,130.9702548785043,131.3746632658851,131.77805073312732,132.17613941082342,132.55719057571676,132.91447806311137,133.24466655192893,133.54781156470838,133.82735946760604,134.09014747039575,134.34640362646869,134.59705657183258
H,28.750895997826653,29.164036819785647,29.592435368034383,30.043005646325987,30.518213702068277,31.017492656614266,31.53833667437655,32.07721450689988,32.63003018745513,33.1926152808268,33.761075241794096,34.331671835393315,34.90122918511461,35.46718064271792,36.027269072821,36.57970274909464,37.12320637747951,37.656967915629394,38.18038680562184,38.693220873206805,39.19545092669217,39.68726017806335,40.16902929926697,40.64116403079049,41.10431902844431,41.55924778929492,42.006681048916185,42.44732678138925,42.881870199302554,43.310974304942484,43.735357796370124,44.15583913616374,44.5731850777438,44.9880945648618,45.40119873160027,45.813060902372705,46.2241765919237,46.63497387250291,47.04604203492108,47.45786923533291,47.87073824780527,48.28493923005547,48.700769723451316,49.118534653010876,49.53854632740274,49.96112443894593,50.386596063609794,50.81545176773508,51.248329258172625,51.68454497756277,52.123501609024125,52.56485942900957,53.00853630730639,53.45470770703611,53.90380668465466,54.356523889952285,54.81380756605356,55.277077160392956,55.7474815674289,56.221825619588074,56.697308719439036,57.17226439105086,57.64616027999307,58.11959815333561,58.59431389964897,59.07317752900412,59.56019317297245,60.05931808406569,60.565851596332685,61.07240329167878,61.574274069286936,62.069497944977975,62.558842051210604,63.04580663708146,63.53662506832498,64.04026382731355,64.55999312972968,65.08336580291784,65.60230620329807,66.11235978012836,66.61267287274485,67.10599271056184,67.59866741307171,68.10064598984508,68.61903102713418,69.14055278105839,69.6573033395957,70.16507286255978,70.66286287544148,71.15288626940874,71.6405673013067,72.13454159365769,72.6398595362235,73.14520005724906,73.6446303553944,74.13496902439643,74.61555225631169,75.08823384151634,75.55738516870625,76.02989522489682,76.50906119856005,76.98595618861792,77.4557786641058,77.91586783838265,78.36562183018525,78.80649766362792,79.24201126820256,79.67773747877885,80.11746317909741,80.5539226251312,80.98234983457536,81.40001048997328,81.80603908398116,82.20143891936787,82.589082109015,82.97370957591683,83.3605208028877,83.74449757636,84.11998644649265,84.48371301149908,84.83426161173104,85.17207532967844,85.49945598996952,85.82056415937069,86.14131671563948,86.4609895572917,86.77256271347831,87.07188799766978,87.3567553104875,87.62689263970374,87.88396606024158,88.13157973417503,88.37527591072894,88.61943537227619,88.85709681995935,89.08285396665865,89.29355251346276,89.4880699487136,89.6673155480063,89.83423037418922,89.99378727736381,90.15258662400834,90.30796611167486,90.45268377325755,90.58261846367942,90.69574083043462,90.79211331358844,90.87389014577721,90.94531735220825,91.01273275066015,91.07673689541464
I,37.64998285429681,38.19275759985251,38.76443970291699,39.37925136165861,40.04274531488696,40.75457674801393,41.510623848383794,42.304722242839766,43.129518934437044,43.97739354841541,44.841105782420506,45.71357442382393,46.58864940159365,47.461204024532876,48.32659090456714,49.18095375215084,50.02134399133849,50.84563130019035,51.652053125194435,52.439468729339545,53.20717489726009,53.954873399142926,54.68266250936391,55.39072388182055,56.07967679431288,56.7503639998381,57.40365175028682,58.04042979644314,58.66161138798451,59.26812680101959,59.86098011270225,60.44143859026222,61.01072874013052,61.56998474233464,62.12024845049851,62.66246939184251,63.197504767183524,63.726119790482066,64.24924897866656,64.76788061078392,65.2828073710628,65.79477928339017,66.30450371131131,66.81264535802987,67.31982626640772,67.82662581896514,68.33358073788064,68.84135415929525,69.350935862795,69.86212872098122,70.37475677982431,70.88882999732837,71.40454424353126,71.92228130050452,72.44260886235352,72.96628053521728,73.49423583726863,74.02788480110412,74.56892117939728,75.1144117859574,75.66169862862084,76.20924888394964,76.75665489723153,77.30463418247987,77.85502942243376,78.41080846855797,78.97606434104293,79.55522546718905,80.14396357632677,80.73405224904437,81.32025011033573,81.90039193228112,82.47538863404708,83.04922728188643,83.62897108913833,84.22475941622828,84.84066810533395,85.46263610491401,86.08095989479622,86.69028772695819,87.28959907022379,87.8822046102631,88.47574624959246,89.0821971075744,89.7102180470173,90.34391483125515,90.97345082470943,91.59356177769045,92.20299004110608,92.80448456646164,93.40480090586003,94.01470121200163,94.64053386383029,95.26816873915621,95.89003561938524,96.50205882719803,97.10337021365208,97.69630915818206,98.28642256859956,98.88246488109314,99.48864819565979,100.09356826340615,100.69100138890705,101.277483707745,101.85220800055862,102.41702369304262,102.97643685594782,103.53761020508122,104.10541634983568,104.67045104127179,105.22648223433539,105.76991704344871,106.2995934497369,106.81678030102799,107.32517731185291,107.83091506344547,108.34072640710161,108.84806108277043,109.34549811525805,109.82871736515278,110.2958290049522,110.74737351906303,111.18632170380134,111.61807466739226,112.05033030051533,112.48211653224266,112.90420575498183,113.31111856062657,113.69991752824316,114.07020722407,114.42413420151787,114.76638700116978,115.10419615078108,115.44327278671652,115.77445319713,116.09060091387407,116.38753649128881,116.66374937990035,116.92039792642112,117.16130937374956,117.39297986097044,117.62404356421405,117.85097121229899,118.06421798772041,118.25833807804794,118.43063384405747,118.58115581973118,118.7127027122576,118.83082140203155,118.94380694265408,119.05241996884638
J,18.553533870518677,18.822980834285893,19.116928040880282,19.449202585495676,19.827191769863763,20.254042261634496,20.730259183750462,21.254864367295323,21.8258779312702,22.440861490884647,23.09728651939232,23.79237528972372,24.523560477309868,25.28852861584992,26.084941581447097,26.91065490716014,27.763791227621674,28.642710542833633,29.54582942834096,30.471723178875074,31.41913403165201,32.386963829540406,33.37427246691343,34.38018608140441,35.40389732981521,36.4447042380873,37.5019898949958,38.57522245214944,39.663955123990505,40.767828530633864,41.88652096865699,43.01962452310677,44.1667805941346,45.327703247852604,46.50217921633367,47.69006789761142,48.89130135568021,50.105884746403945,51.334010631151415,52.57535165920299,53.82937274640759,55.09570658734076,56.374153655304674,57.66468220232815,58.96742825916645,60.28269563530172,61.610955918942366,62.95310812060184,64.30990402443699,65.67929816141601,67.059571206224,68.44966685253863,69.84919181302993,71.25841581936054,72.67827162218545,74.11035499115229,75.55692471490111,77.02130941965287,78.50571027619048,80.002930010141,81.50677206820464,83.01358118925612,84.5222434043444,86.03418603669289,87.55337770169932,89.0863283069358,90.64208905214885,92.2295650991054,93.8383494423863,95.45218644110844,97.06079146427678,98.65993785639732,100.25145693747736,101.84323800302538,103.44922832405103,105.08943314706524,106.77148637226652,108.46788962844866,110.16043029628895,111.83910835141435,113.502093143981,115.15572339867451,116.81450721470976,118.50112206583128,120.23200149722862,121.97727298158388,123.71848078096441,125.4457873110596,127.15690630691968,128.85710282295588,130.55919323294032,132.283545230006,134.04232915221047,135.8090297928346,137.56916904125904,139.3149680547889,141.04481564958758,142.76326830067669,144.48105014193595,146.21505296610357,147.97362322462192,149.73488711469432,151.4865269480583,153.22169092093145,154.93880050359334,156.64155044038634,158.33890874971507,160.04511672404672,161.77006199693656,163.4951748695417,165.20760781480368,166.89992431427035,168.56970538815,170.21954959531072,171.85707303328098,173.4949093382495,175.14704954340226,176.80024953598922,178.43862499667358,180.0527928290338,181.63860722867872,183.19715968324792,184.73477897241136,186.26303116786966,187.79844527196914,189.339305271858,190.8652995133563,192.3639530062335,193.82851727058818,195.2579703368479,196.65701674576917,198.03608754843754,199.41134030626756,200.7957606388613,202.16877178595357,203.51346278933445,204.81980690281193,206.08405935045658,207.30875732660118,208.50271999584143,209.68104849303506,210.86392322546413,212.04337452301664,213.1962458731805,214.30892276637434,215.37453882035933,216.39297578023894,217.37086351845858,218.32158003480637,219.26525145641241,220.20347047625555
