Region,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25
A,3417.907929762768,3513.626716846099,3611.0301866593722,3710.4204298190443,3811.6241472822603,3913.121596579303,4013.591248908313,4112.1617062784535,4208.289022927747,4301.622641903421,4391.979764888564,4479.260717063733,4563.430924455975,4644.519454234239,4722.566593024494,4797.627597960858,4869.789281153552,4939.139000049956,5005.75868869003,5069.732509672227,5131.157009660106,5190.124652522178,5246.722583392826,5301.032628672299,5353.135890303031,5403.117924745222,5451.059774632467,5497.038922696791,5541.1292989175545,5583.401280521458,5623.922201171564,5662.760832573078,5699.98373036997,5735.654571850784,5769.834508213011,5802.582164563077,5833.953639916357,5864.002507197167,5892.779813238771,5920.335365128625,5946.719602747724,5971.981009953639,5996.165995082867,6019.31889113631,6041.481955779284,6062.695371341519,6082.997244817149,6102.423607864721,6121.008416807199,6138.782476227103,6155.775474515958,6172.0259499690455,6187.570679630538,6202.443615274496,6216.675883404874,6230.295785255527,6243.328796790201,6255.797568702534,6267.721926416062,6279.118870084212,6290.0025745903085,6300.383943562048,6310.229963178132,6319.574139440696,6328.489516988882,6337.035685421107,6345.258779295061,6353.191478127706,6360.853006395291,6368.249133533327,6375.372173936609,6382.200986959206,6388.700976914458,6394.824093074985,6400.508829672683,6405.604799126149,6410.208590435952,6414.590964413783,6418.950014492368,6423.411035371456,6428.0265230178275,6432.776174665285,6437.566888814661,6442.232765233814,6446.53510495763,6450.162410288021,6452.817228266488,6454.852637322511,6456.7841730209075,6458.965494254586,6461.594574751724,6464.713703075783,6468.2094826254815,6471.812831634828,6475.098983173091,6477.487485144823,6478.705351876357,6479.601575307222,6480.6018317152675,6481.960687310802,6483.781109881769,6486.014468793735,6488.460534989898,6490.767480991082,6492.431880895747,6493.194915583504,6493.749492025332,6494.386207089604,6495.271140062524,6496.467035328376,6497.933302369521,6499.526015766384,6500.997915197472,6501.998405439359,6502.452740461455,6502.797869521999,6503.213355712739,6503.807617198663,6504.619171247995,6505.616634232186,6506.6987216259095,6507.69424800707,6508.362127056799,6508.617325952183,6508.765726002515,6508.960644036573,6509.2981732024755,6509.819072474273,6510.508766651936,6511.297346361369,6512.059568054389,6512.61485400874,6512.83157026621,6513.039355193532,6513.270223218064,6513.50346575003,6513.7501845419365,6514.014952083121,6514.293147465476,6514.5709563834425,6514.8253711340185,6515.050291336113,6515.268364314579,6515.480319376847,6515.685781645719,6515.883463626354,6516.071341238618,6516.250372991641,6516.42158813916,6516.585192559025,6516.741341751838
B,4926.040115360855,5063.897651028153,5203.670965454778,5345.438324248098,5488.764292621219,5631.545491239188,5771.997351601067,5908.963602151225,6041.745419750376,6169.914965420142,6293.278217487939,6411.756500030555,6525.360485730593,6634.187682973317,6738.348491082876,6837.971180821877,6933.225339197576,7024.278081586398,7111.285413267183,7194.403253955238,7273.802123444891,7349.643881028581,7422.080081255722,7491.251973932698,7557.297465739321,7620.35846650747,7680.56815662375,7738.05296492638,7792.932580041979,7845.319950385579,7895.322164832626,7943.047299273672,7988.597857670696,8032.0712666414265,8073.560610603168,8113.154631772813,8150.937730166838,8186.989963601294,8221.387047691835,8254.20255778189,8285.509344718246,8315.376304793295,8343.86924176358,8371.0508673229,8396.980801102289,8421.715570670043,8445.308611531706,8467.810267130053,8489.267788845133,8509.724271647296,8529.221221497588,8547.808792024236,8565.534705048165,8582.443159649249,8598.574832166325,8613.96687619718,8628.652922598558,8642.663079486168,8656.023932234664,8668.758543477661,8680.886453107725,8692.423198368464,8703.33692398796,8713.668062271014,8723.499434722395,8732.898996014937,8741.919833989543,8750.600169655174,8758.963357188872,8767.017883935734,8774.757370408928,8782.160570289692,8789.191370427323,8795.798790839197,8801.916984710746,8807.392228498871,8812.333193526712,8817.025863249797,8821.679770489183,8826.427864468365,8831.326510813255,8836.355491552204,8841.418005115982,8846.340666337792,8850.873506453265,8854.689973100454,8857.483257470061,8859.635944895737,8861.675581365687,8863.962295452155,8866.697856543155,8869.925674842443,8873.530801369565,8877.239927959805,8880.621387264222,8883.085152749636,8884.358782145982,8885.308962594854,8886.358547733538,8887.75988607744,8889.615077390305,8891.875972684215,8894.344174219597,8896.67103550522,8898.357661298183,8899.149964721699,8899.736407573133,8900.399956320265,8901.301969078777,8902.50343216402,8903.964960091029,8905.546795574515,8907.00880952886,8908.010501068127,8908.481177168102,8908.845438342916,8909.274940514135,8909.873331489518,8910.677471043036,8911.657430914887,8912.71649481148,8913.691158405441,8914.351129335619,8914.616470578216,8914.779795091772,8914.985627607726,8915.324538152974,8915.834968520148,8916.503232267603,8917.263514719407,8917.997872965356,8918.536235860976,8918.754592651148,8918.963351199354,8919.192846167969,8919.423753874447,8919.666431129135,8919.925156032097,8920.195643217914,8920.465043855667,8920.71194564896,8920.930693140363,8921.142420614018,8921.347841869147,8921.546643941947,8921.737665604287,8921.919060760443,8922.091750962438,8922.256722751596,8922.41419684256,8922.5643455218
C,10336.415110169663,10625.515872971013,10917.73719922831,11212.601619336678,11508.844582270865,11802.184723704726,12089.07125170869,12367.238380984576,12635.35768951359,12892.659118535437,13138.852316143859,13373.884153120154,13597.88382524241,13811.156499185643,14014.030533236559,14206.866858555666,14390.107274936465,14564.1835113748,14729.49863431825,14886.450012220494,15035.460669086457,15176.930564383942,15311.232825420984,15438.713747345872,15559.7080359643,15674.554923750997,15783.57107552867,15887.055202920392,15985.288089376578,16078.53259017499,16167.035807629103,16251.045218926078,16330.792467176867,16406.49618179722,16478.363911908298,16546.592126336698,16611.366213614445,16672.860481978987,16731.238159373206,16786.657671189674,16839.27381388205,16889.230273086323,16936.663719425367,16981.703810099683,17024.473188887427,17065.087486144374,17103.655318803918,17140.278290377137,17175.050990952685,17208.059599602755,17239.387754879666,17269.13138694209,17297.381257711466,17324.22134363862,17349.728835703776,17373.974139416543,17397.020874815917,17418.925876470294,17439.739193477446,17459.50408946455,17478.25704258816,17496.02696149488,17512.76544589048,17528.545014601208,17543.507287096243,17557.76866435659,17571.42032887508,17584.528244656376,17597.133157216955,17609.250593585137,17620.870862301064,17631.959053416704,17642.455038495867,17652.27347061417,17661.30378435908,17669.313868505265,17676.491850992512,17683.28755067992,17690.0307180317,17696.9308412761,17704.077146405398,17711.43859717592,17718.863895108003,17726.081479486023,17732.6995273584,17738.20595353758,17742.132437776738,17745.10703141108,17747.919695230994,17751.104667156364,17754.961171586656,17759.553419400938,17764.710607957863,17770.026921095698,17774.86152913229,17778.338588865074,17780.064952125722,17781.333511793688,17782.747649130786,17784.66592600872,17787.23310373954,17790.38014307561,17793.82420420965,17797.068646774696,17799.403029844125,17800.470440388777,17801.253928274506,17802.145015227496,17803.366026430955,17805.00083238172,17806.994848890216,17809.1550370805,17811.149903390222,17812.50949957064,17813.139837729374,17813.62681440326,17814.201534845975,17815.003476302805,17816.082194542163,17817.39732385563,17818.818577057926,17820.125745486956,17821.00869900375,17821.362099403184,17821.58047936587,17821.85466422476,17822.30417740361,17822.979739050137,17823.86326603602,17824.867871956943,17825.83786713254,17826.54875860642,17826.836771352242,17827.111327219336,17827.412710884208,17827.715680525413,17828.033671226287,17828.372223284157,17828.725746275555,17829.07751905618,17829.399689760925,17829.68490807544,17829.96067614675,17830.22794242008,17830.486324830246,17830.734342962984,17830.969629575386,17831.1934004546,17831.40695589843,17831.610603559297,17831.804586926344
D,44023.284164455945,45255.40941291746,46505.22250854087,47773.711402250265,49056.9896906385,50335.987539719266,51594.459234705195,52821.80747597624,54011.55721058627,55159.68979005699,56264.30917030933,57324.581900481,58340.50283420222,59312.86953746474,60242.6188652334,61130.86916697226,61979.12711491008,62788.89254571868,63561.57906317802,64298.61021503463,65001.55079384384,65671.8950613764,66311.04839878737,66920.32730661634,67501.01977745527,68054.45421690415,68581.88307670702,69084.49559214721,69563.41787595411,70019.71291830305,70454.3883214895,70868.46008617118,71262.89676178254,71638.61788104456,71996.49994269156,72337.37641147127,72662.03771814474,72971.23125948643,73265.66139828422,73546.01427088527,73812.97109466918,74067.1722650823,74309.22819334765,74539.71931197922,74759.1960747819,74968.17895685164,75167.15845457526,75356.59508563056,75536.91938898632,75708.52452307296,75871.79483243504,76027.18186658194,76175.11394724855,76315.987756741,76450.16833793694,76577.98909428525,76699.7517898062,76815.72654909149,76926.15185730404,77031.23456017829,77131.14986401988,77226.03731046879,77315.63906403628,77400.30896897781,77480.75603585747,77557.56270092474,77631.18482611438,77701.95169904636,77770.06603302607,77835.60396704411,77898.51506577637,77958.62231958407,78015.6221445137,78069.08438229705,78118.45230035119,78162.46735133271,78202.06113800523,78239.60826780171,78276.84906032747,78314.88846919489,78354.19608202344,78394.60612043971,78435.31744007736,78474.89353057719,78511.26251558709,78541.71715276201,78563.739044263,78580.55606628046,78596.4694543082,78614.40561694257,78636.00402896151,78661.61723132459,78690.3108311729,78719.86350182915,78746.7669827976,78766.22607976418,78776.05211027848,78783.30346184093,78791.36212084365,78802.24293517857,78816.76038690089,78834.52859222889,78853.96130154406,78872.27189939101,78885.47340447757,78891.54758418316,78896.00310487559,78901.07265021987,78908.02700038538,78917.3460039877,78928.71857808866,78941.04270819628,78952.42544826478,78960.18292069463,78963.76761334218,78966.52582900645,78969.79467738156,78974.38130302484,78980.5725635918,78988.1350298362,78996.31498560993,79003.83842786316,79008.91106664413,79010.916758559,79012.13657566362,79013.68538234127,79016.26162720857,79020.16168651356,79025.27986413571,79031.10839158595,79036.73742800667,79040.85506017171,79042.50441891122,79044.07882800604,79045.81295035264,79047.55847809151,79049.39451284493,79051.35366714915,79053.40303282606,79055.44418098296,79057.3131620127,79058.96665693408,79060.56642649484,79062.11795131717,79063.61887135431,79065.0603521392,79066.42833215097,79067.72988082038,79068.97256673087,79070.15810978794,79071.28785715754
E,4611.025559622352,4740.182502817875,4871.741509151243,5006.192132232843,5143.331284047964,5281.072936994439,5417.590071320028,5551.6681004254715,5682.538749952289,5809.698477380683,5932.873842521066,6051.9068699453055,6166.730625328457,6277.367057794854,6383.8559609284175,6486.259914210859,6584.68643565773,6679.245799237455,6770.042850712942,6857.187105630541,6940.80633189993,7021.024028349808,7097.957470382989,7171.717709976391,7242.415501138976,7310.168439725554,7375.088723545149,7437.283936894748,7496.857059348735,7553.906465758867,7608.526552214051,7660.813717525135,7710.8620314960335,7758.7615971632185,7804.59891971618,7848.456906497418,7890.414867002443,7930.548512879774,7968.929957930944,8005.62968960821,8040.719286798912,8074.267462194095,8106.3399376687275,8136.999444575984,8166.3057237472185,8194.31552549199,8221.082609598045,8246.657745331318,8271.08871143595,8294.419056227822,8316.691326831156,8337.958907034441,8358.272656707773,8377.679616850779,8396.223009592579,8413.942238191821,8430.872887036647,8447.046721644725,8462.491688663229,8477.231915868846,8491.28771216777,8504.675005753179,8517.35439905355,8529.370904557354,8540.819276028535,8551.777071304914,8562.30465229822,8572.445184994072,8582.22463945197,8591.651789805317,8600.718214261406,8609.398295101422,8617.649218680444,8625.410975427436,8632.60635984526,8639.050140296638,8644.866977334157,8650.395933023772,8655.885285671562,8661.492368531664,8667.283569806272,8673.23433264563,8679.229155148045,8685.061590359865,8690.434246275507,8694.95878583743,8698.26782824577,8700.810174999648,8703.219804460286,8705.930425452749,8709.184956776795,8713.035527206861,8717.343475492084,8721.779350356272,8725.822910497931,8728.763124590248,8730.269716206927,8731.38566672845,8732.624358120554,8734.292366082886,8736.513706212554,8739.229834004167,8742.199644849783,8744.999474038937,8747.023096758652,8747.96103586367,8748.649273783585,8749.43310773106,8750.50953529753,8751.952985820117,8753.715320381629,8755.625831810554,8757.39124468108,8758.595715313073,8759.152447929224,8759.579876400967,8760.088227486027,8760.804426747736,8761.773585760415,8762.959002109379,8764.242159390933,8765.422727212375,8766.218561192003,8766.531482182067,8766.719856280959,8766.961052886403,8767.36621959319,8767.982515880303,8768.793113110933,8769.71719453248,8770.60995527654,8771.262602358926,8771.522891745883,8771.771863412961,8772.04671313766,8772.323678748067,8772.615472486472,8772.927335767487,8773.253985602403,8773.57961459919,8773.877890962498,8774.141848965035,8774.397448535992,8774.64555239971,8774.885761757447,8775.11663566878,8775.335891926019,8775.544651422997,8775.74411551685,8775.934544686272,8776.116140485223
F,11360.212416319799,11678.018859741187,11999.632113598724,12324.793523477167,12652.255681177794,12977.254068465878,13295.802062536977,13605.33978895643,13904.347508193916,14191.923939464576,14467.700065289206,14731.570026425643,14983.630890569084,15224.17610208749,15453.526463562492,15672.04086193625,15880.169771560466,16078.35477534518,16267.008254675658,16446.53870358634,16617.385085303235,16779.963088556593,16934.661029701427,17081.839852717523,17221.849648140796,17355.04724560486,17481.7664275352,17602.322716787214,17717.01340358233,17826.11754550807,17929.898233301094,18028.61976724992,18122.530822802044,18211.866659428233,18296.85107986252,18377.696430102194,18454.6035994078,18527.76202030315,18597.349668575327,18663.539403779614,18726.501130602497,18786.393624493117,18843.368099827818,18897.568211433285,18949.13005458656,18998.182165015038,19044.845518896447,19089.233532858878,19131.45206398077,19171.597512765973,19209.76327631859,19246.059002465394,19280.588627325906,19313.448291111235,19344.7263381241,19374.503316758815,19402.851979501294,19429.837282929053,19455.516387711217,19479.938658608502,19503.14566447324,19525.170213679135,19545.950033806883,19565.57039891404,19584.201713638566,19601.983828522207,19619.02604001051,19635.407090452827,19651.175168102323,19666.347907115935,19680.9123875544,19694.825135382285,19708.012122467928,19720.368766583466,19731.759931404864,19741.89042109108,19750.98620494255,19759.60866584943,19768.169153365856,19776.928734007586,19785.99819125205,19795.338025538316,19804.758454267117,19813.919411800824,19822.330549463462,19829.35123554072,19834.389220915775,19838.21564371308,19841.836610667677,19845.935083153847,19850.89354201765,19856.79398757693,19863.417939621315,19870.24643741223,19876.460039682865,19880.938824638215,19883.174097476207,19884.81530894195,19886.646450364184,19889.13418752708,19892.467020320913,19896.555282742065,19901.03114289301,19905.248602982327,19908.283499324705,19909.668814215936,19910.6816271642,19911.837337301033,19913.429104034723,19915.56755877254,19918.18080492075,19921.01441788463,19923.63144506844,19925.412405875435,19926.2313251189,19926.860448503616,19927.607618731603,19928.65864446051,19930.079536759564,19931.816509109605,19933.69597740303,19935.424559943844,19936.589077447632,19937.047808043808,19937.326006248477,19937.68007339067,19938.270631769425,19939.16583031732,19940.341344600532,19941.680376818804,19942.973655805446,19943.91943702737,19944.297631381927,19944.658667009,19945.0565168681,19945.45707417578,19945.878518797785,19946.328342597313,19946.79897369509,19947.26777646935,19947.697051555835,19948.076834836527,19948.44431397404,19948.80074586824,19949.145584711256,19949.476796107338,19949.791143897102,19950.0902510187,19950.375855332622,19950.64834995562,19950.908042417443
G,4449.580599806367,4574.121088430666,4700.480379210642,4828.786761949542,4958.671495469432,5088.212783493231,5215.771706956432,5340.281038269218,5461.090095165825,5577.79537061172,5690.206916608911,5798.240775146637,5901.895413622149,6001.249381630545,6096.394182675399,6187.43874063461,6274.530531827045,6357.815756547379,6437.431456331903,6513.5153844437555,6586.219258616952,6655.687545233388,6722.055822622777,6785.450781062653,6845.996401080995,6903.820708202715,6959.044164224969,7011.781208092542,7062.140265748806,7110.2237501357085,7156.128837538372,7199.953695432234,7241.791773936443,7281.731913575289,7319.858967561955,7356.25380179852,7390.993294875956,7424.150338074125,7455.79383536179,7485.990851232557,7514.807972981763,7542.308115738017,7568.5513546185075,7593.594925190086,7617.49322346927,7640.2978059222405,7662.057389464839,7682.817851462574,7702.622229730622,7721.509796939617,7739.518544541589,7756.694187630301,7773.080207520797,7788.716883377175,7803.6412922125555,7817.887308889125,7831.4856061180935,7844.463654459731,7856.845722323331,7868.652875967248,7879.902979498871,7890.610252088995,7900.745128678671,7910.344443738373,7919.484135528998,7928.2264926362905,7936.620153970842,7944.7001087680865,7952.487696588302,7959.990607316618,7967.202881163001,7974.104908662266,7980.663430674077,7986.831538382939,7992.548673298201,7997.670589827132,8002.296494116262,8006.69258834318,8011.053871838084,8015.504015585705,8020.095362225334,8024.8089260508095,8029.554393010519,8034.170120707405,8038.4231383989545,8042.009146997208,8044.640290367864,8046.668649498357,8048.59129451811,8050.748291184795,8053.330151696059,8056.377834689526,8059.7827452428,8063.286734873466,8066.482101539079,8068.811589637181,8070.015489582818,8070.91081679689,8071.901883617885,8073.230270592589,8074.993756466482,8077.146318183751,8079.498130887276,8081.715567918642,8083.321200818132,8084.070488300426,8084.621373003267,8085.247705091141,8086.105886381471,8087.255051948672,8088.657070124164,8090.176542496353,8091.580803910645,8092.539922469437,8092.984115958471,8093.3247553855845,8093.7301423615745,8094.301913439599,8095.076214261857,8096.023699559584,8097.049533153055,8097.993387951584,8098.62944595352,8098.878310166282,8099.026647904069,8099.217781124555,8099.541547332098,8100.036073543663,8100.687776288821,8101.431361609735,8102.149825061183,8102.674451710535,8102.882256165279,8103.081285913697,8103.301497856083,8103.523580006057,8103.757920252559,8104.008809345414,8104.271953440908,8104.534474101777,8104.774908297205,8104.98757745895,8105.193642928247,8105.39380139063,8105.587717388013,8105.774202174723,8105.951378115999,8106.120152072544,8106.281496116168,8106.43561261782,8106.582656167824
H,4796.096611118723,4930.203109823184,5065.56729375131,5201.842313888516,5338.387333393409,5473.261659655111,5604.875770210334,5732.2284021162095,5854.746703769677,5972.112040325288,6084.223555166176,6191.08661321734,6292.787457380601,6389.490432929949,6481.367627691911,6568.603301435968,6651.416499148348,6730.019301554032,6804.608318947857,6875.375586411822,6942.523271160068,7006.241388475675,7066.706346485325,7124.080946159294,7178.521774908899,7230.186541887113,7279.22161800358,7325.764732451011,7369.9449852894395,7411.882847446235,7451.691242902499,7489.483130197423,7525.363265813429,7559.430358561547,7591.778090553392,7622.495117201133,7651.6650672175165,7679.366542615848,7705.67311871001,7730.656024702637,7754.384392782101,7776.922316108252,7798.330777095841,7818.66764811864,7837.98769150943,7856.342559560007,7873.780794521191,7890.347828602808,7906.085983973699,7921.03371667709,7935.227890045332,7948.711404253051,7961.524888057441,7973.705893753258,7985.288897172817,7996.305297685985,8006.783418200189,8016.74850516041,8026.222728549188,8035.225181886619,8043.771882230359,8051.875406132971,8059.512468656462,8066.715865628477,8073.550509338172,8080.069660698195,8086.3149292446515,8092.316273137135,8098.091999158716,8103.648762715933,8108.981567838813,8114.073767180847,8118.897062019015,8123.411502253762,8127.565486409016,8131.250775656981,8134.554106868949,8137.683957612797,8140.793086282094,8143.978441894469,8147.2811640916025,8150.686583139224,8154.1242199271255,8157.467785969148,8160.535183403184,8163.0885049911885,8164.909499712915,8166.288082348594,8167.592762822575,8169.072993135094,8170.86844057839,8173.008987736708,8175.414732486298,8177.895987995419,8180.153282724333,8181.777360425306,8182.583399823218,8183.174673478793,8183.835246211773,8184.734046993739,8185.939269897306,8187.4183740961125,8189.038083864824,8190.564388579132,8191.66254271576,8192.163677218121,8192.530475160702,8192.948889104071,8193.524628073317,8194.297571292369,8195.24176818398,8196.265438369735,8197.210971670049,8197.854928104167,8198.151960223848,8198.38058860943,8198.65168464182,8199.032166876836,8199.545808285462,8200.173236253868,8200.85193258339,8201.476233490544,8201.897329607023,8202.064160516258,8202.165895633636,8202.294909751121,8202.509072370593,8202.83293794987,8203.257745902718,8203.741420598839,8204.208571363875,8204.550492479406,8204.687898189548,8204.819099672324,8204.963535379611,8205.108910972063,8205.261789168022,8205.424876465702,8205.595444923725,8205.765332161134,8205.92094135738,8206.058679979154,8206.19196411498,8206.321248245504,8206.446335933744,8206.566493135779,8206.680551761987,8206.789097988434,8206.892759325987,8206.991677719705,8207.085964197242
I,6280.602705036423,6456.303020604642,6634.097823415188,6813.838548813526,6994.834625694996,7174.457943270997,7350.51002273728,7521.579336790504,7686.827917913064,7845.758630259152,7998.167644526838,8143.995956027189,8283.29620003912,8416.229158711154,8542.970508837268,8663.716810127073,8778.715169893763,8888.207813152834,8992.420900385821,9091.578564258672,9185.921953603865,9275.6795385484,9361.064875766644,9442.27660848032,9519.507599198054,9592.954709205718,9662.802272681216,9729.224699541994,9792.38649029285,9852.442236025956,9909.537841107434,9963.819976271068,10015.427065245896,10064.490163100052,10111.133988862308,10155.476925522069,10197.631020029388,10237.701983294948,10275.78919019008,10311.989060367525,10346.39680175654,10379.101718509084,10410.18878346316,10439.738638905843,10467.827596573281,10494.527637650688,10519.90641277235,10544.027242021628,10566.949114930947,10588.725553424902,10609.40866306864,10629.060682912066,10647.740533660688,10665.502552154807,10682.396491369545,10698.467520414824,10713.756224535373,10728.298605110725,10742.126079655223,10755.265481818016,10767.739061383063,10779.563934899954,10790.703440041701,10801.206485363167,10811.170570439319,10820.675535861077,10829.783563235345,10838.539175184978,10846.969235348806,10855.08294838162,10862.871859954179,10870.309856753205,10877.35316648139,10883.940357857391,10889.99234061583,10895.345709237312,10900.132047192943,10904.665622581617,10909.176612447605,10913.8109676261,10918.630412743229,10923.612446216046,10928.650340252543,10933.553140851636,10938.045667803179,10941.768514687945,10944.393342070714,10946.360471013337,10948.221857433145,10950.350499547421,10952.955131147799,10956.08022160031,10959.605975845345,10963.248334397678,10966.558973346462,10968.925304355223,10970.07197926804,10970.902374541194,10971.838448697232,10973.130891701263,10974.880791142261,10977.039632233056,10979.409297810344,10981.642068334662,10983.240621890423,10983.954570127178,10984.471364418474,10985.065869686146,10985.894204246857,10987.015204372305,10988.390424289217,10989.884136179362,10991.26333017953,10992.197714381553,10992.620516585348,10992.943314103286,10993.329428833424,10993.877416181382,10994.622260038428,10995.535372781476,10996.524595273073,10997.434196861412,10998.044875380327,10998.281494063027,10998.42279263545,10998.60464468311,10998.91215886132,10999.381434917388,10999.999563690631,11000.704627112362,11001.38569820589,11001.88284108653,11002.079397894644,11002.267079472069,11002.474476476109,11002.683498604303,11002.903781450055,11003.13929200813,11003.386008281865,11003.631919283169,11003.85702503253,11004.056034468904,11004.248663373468,11004.43557202485,11004.616464061513,11004.790253069708,11004.955214841277,11005.112204678775,11005.262138979306,11005.405220516297,11005.541606867055
J,3095.0180101308015,3181.798513837651,3270.6570533398185,3362.2503038593395,3456.6166216515803,3552.2809396215034,3647.91148732257,3742.6060297750682,3835.7747159875007,3927.0118057530026,4016.0726758340415,4102.793597688026,4187.0754177325025,4268.882554628783,4348.193904489154,4425.006620540956,4499.351419886218,4571.263570964011,4640.777523609657,4707.933729731334,4772.787598790972,4835.394124705572,4895.806584963363,4954.076540623802,5010.2574998352975,5064.409577702381,5116.5912913871125,5166.859702072124,5215.270420086651,5261.877604906526,5306.734242269379,5349.895547282508,5391.4171992501915,5431.353205114441,5469.755955640915,5506.676225418932,5542.163172861462,5576.2643402051335,5609.025653510232,5640.492202435664,5670.710982134447,5699.728222054191,5727.588347779602,5754.333981004423,5780.0059395314265,5804.643237272426,5828.283084248266,5850.960886588826,5872.710246533037,5893.561711071661,5913.544887956896,5932.699807272516,5951.064809230966,5968.675323224987,5985.563867827614,6001.76005079218,6017.290569052309,6032.179208721925,6046.446845095241,6060.11144264677,6073.188055031314,6085.688311464895,6097.573159106363,6108.879006111676,6119.687825749704,6130.066431842082,6140.06647876321,6149.724461440255,6159.061715353152,6168.0844165346025,6176.783581570076,6185.1350675978065,6193.099572308796,6200.622633946809,6207.6346313083895,6213.953172160571,6219.685148185751,6225.151473409202,6230.5868598747165,6236.1396551915705,6241.871842534534,6247.759040643861,6253.690503825307,6259.4691219501065,6264.811420454988,6269.347560342172,6272.717673383719,6275.326259968132,6277.804857282009,6280.589250412419,6283.923426943389,6287.85957695593,6292.258093028004,6296.787570234565,6300.92480614752,6303.954800835752,6305.534042802609,6306.704063528349,6308.004631823661,6309.759488448462,6312.099770876525,6314.964013295489,6318.098146606846,6321.055498425955,6323.196793082035,6324.189364018912,6324.910760731364,6325.739125411434,6326.89130823013,6328.449358385044,6330.36052410036,6332.437252626829,6334.357190241798,6335.6631822491945,6336.254090033779,6336.699701890819,6337.24001795643,6338.020015417183,6339.091247475091,6340.411843347618,6341.846508267676,6343.16652348362,6344.049746259256,6344.379599610357,6344.564166418018,6344.813138972531,6345.258024538509,6345.954620367431,6346.883013697643,6347.947581754351,6348.976991749623,6349.7242008824005,6350.009242819897,6350.283544522052,6350.590542592648,6350.901511142726,6351.232019878325,6351.588500767839,6351.96453485876,6352.340852277678,6352.685332230282,6352.989449166981,6353.284808361934,6353.572398495538,6353.851654585526,6354.12072548137,6354.376721801447,6354.620953390904,6354.854828012864,6355.078595178537,6355.292435282803
