Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,451342.4286424333,451196.7550827873,451034.68405870936,450854.09508737293,450652.722266778,450428.0980313308,450177.515216979,449897.98018893297,449586.1869512927,449238.47442177497,448850.7854096464,448418.6461520001,447937.10932375304,447400.69773297396,446803.3799059529,446138.5482296896,445398.92914449144,444576.50119112607,443662.4865393195,442647.32203550485,441520.6599363554,440271.16881607025,438886.5072369043,437353.31451003975,435657.40908664954,433783.6703806381,431715.79516356287,429436.29389710154,426926.6931984456,424168.25917216425,421141.5475344946,417826.2168715835,414201.04204299266,410245.040487623,405938.6147773379,401262.59195420344,396198.16598120274,390727.25392814446,384835.93395405007,378514.01293051883,371753.9539149735,364550.9337099673,356905.8016102286,348827.9676379733,340331.82454017526,331436.47537695715,322167.43432512943,312561.2642638353,302660.0549960704,292509.87247790355,282161.8152679896,271675.5937337954,261112.9963194885,250535.35275356428,240004.49682432876,229584.50960831647,219335.3076731975,209310.86663220014,199560.76498123223,190130.51839818765,181057.45831126615,172370.43742223125,164092.25267365572,156239.32044817007,148820.62364595427,141838.2209466212,135289.7147728047,129168.02292803276,123462.0338641388,118157.11656531235,113236.61151218512,108681.94074729868,104473.7198816898,100591.89983759253,97016.10612889461,93725.74097219616,90701.08073582812,87923.39449334012,85374.53476873355,83036.70739066857,80893.37430384223,78929.34167154595,77130.46997310594,75483.05601843097,73974.49349732383,72593.3600901165,71329.31072379269,70172.4097061955,69113.4830251433,68144.24261001876,67257.26384072627,66445.61697431974,65702.77348611174,65022.82753092955,64400.47039054811,63830.9362469351,63309.67493031009,62832.51553536806,62395.68215123095,61995.78389511977,61629.76332311188,61294.69523518162,60987.91800685624,60707.0124458449,60449.79713454559,60214.319148244154,59998.72418525438,59801.30590588211,59620.512307079276,59454.93088417787,59303.288630889816,59164.43967685283,59037.28419031325,58920.82896831984,58814.165489323444,58716.46227947892,58626.96491264517,58544.99601038518,58469.92553100497,58401.15917614723,58338.16996470552,58280.47033896069,58227.6120627301,58179.18622136766,58134.82322176378,58094.18871220881,58056.95738809925,58022.846979271264,57991.59900699148,57962.97334473126,57936.74821816664,57912.72020517833,57890.704235851714,57870.53359247689,57852.0504306163,57835.1098895249,57819.58736357614,57805.36625218236,57792.33793554532,57780.401774656144,57769.4651112953,57759.44326803266,57750.259548227375,57741.84483224171,57734.13260814165,57727.06422685534,57720.58637550802,57714.64966776459,57709.208643829676,57704.22177044757,57699.65144090228
B,441134.82186121616,441088.4540445323,441034.76182702964,440971.3393736245,440895.9526551561,440806.3699222302,440700.2691544427,440575.13128840225,440428.2040217187,440256.4405731161,440056.434386748,439824.41071862273,439556.15454058937,439246.9462103925,438891.5400891508,438484.130908122,438018.25207567815,437486.7022163995,436881.535518143,436193.9936324132,435414.4771570234,434532.36905282695,433536.0097020004,432412.666187371,431148.60067746846,429728.9758007348,428137.6427020665,426357.13729519735,424368.7913894211,422153.2245635659,419690.0378105389,416957.65189099364,413933.31783234567,410594.00422721426,406917.3605751539,402881.04086567904,398462.66558831825,393640.1412908907,388394.72035055276,382710.8101940631,376575.1999442197,369977.12131840084,362911.0894613431,355379.79756619286,347391.1122685045,338957.8883386345,330099.6906536323,320847.57339115423,311239.00002362934,301316.4370896019,291128.4422730327,280733.4787608661,270193.45494491345,259571.16019347904,248931.20565809187,238341.84493304137,227868.18044397043,217570.18064414387,207504.1411847093,197722.89560612928,188271.08347691945,179184.69676779836,170493.5082803521,162220.5518949456,154380.6481846446,146980.89772661685,140023.3593425044,133504.6707620196,127416.57890319574,121746.51476159955,116479.39697983488,111597.65994986336,107082.40333913664,102913.56920610326,99070.54082795314,95532.21107024787,92278.16082713475,89288.80130966565,86545.03658633887,84028.06622568528,81720.32974480907,79605.63005047847,77668.84218612664,75895.27868700091,74271.39792388731,72784.91483087273,71424.68755299061,70180.00205758399,69040.95514349792,67998.60012347168,67044.9232083731,66172.44035583545,65374.09336715344,64643.5002809493,63974.92911027826,63363.23789528543,62803.51074323164,62291.24080775873,61822.35211161576,61393.18870060414,61000.45712892526,60641.0003985987,60311.94647889254,60010.68776885987,59734.875976319396,59482.411752490785,59251.298365311006,59039.69671844756,58845.93585518821,58668.49671181879,58506.01211762294,58357.252943321975,58221.036080247235,58096.29272869898,57982.046224798716,57877.4036340689,57781.555751432985,57693.77710121538,57613.39244694894,57539.76258090244,57472.32141731869,57410.545631431065,57353.954546205845,57302.11013234223,57254.61700827232,57211.11785534703,57171.263348185006,57134.75031210403,57101.30145400857,57070.65935702419,57042.58648049759,57016.865159996596,56993.29760731012,56971.70591044829,56951.921219870346,56933.7877565201,56917.171837085654,56901.94845558751,56888.00125624719,56875.222533487366,56863.513231931734,56852.78294640513,56842.94992193341,56833.94055389906,56825.683177905965,56818.11478467553,56811.178302242595,56804.82088625397,56798.99391996841,56793.65301425659,56788.758007601195
C,585222.124856462,584895.5025852178,584533.9576926983,584134.2661130814,583692.7366231371,583205.2244213358,582667.1211225472,582073.3364374164,581418.2702070179,580695.7695803482,579899.0908094909,579020.867935763,578053.0539697176,576986.8497294274,575812.673333696,574520.1658530011,573098.0905871533,571534.2176895521,569815.3170954677,567927.208803367,565854.8252013929,563581.9366988653,561091.1188625722,558363.7931502505,555380.7601248104,552122.0368201998,548566.5207683565,544691.9861929619,540475.5596344213,535895.1623347843,530928.6978699743,525553.8042491705,519747.8781791002,513490.05564886576,506763.0650879354,499551.4408710544,491841.42453025654,483621.4833043958,474887.37962467194,465641.03550233494,455888.4846707411,445639.93116604845,434913.4607478424,423738.3288506911,412149.1894771776,400185.5219361365,387893.4912807124,375330.7966254207,362559.1200765989,349641.9348145471,336645.6491439383,323643.1209435439,310706.07281275454,297902.3210593385,285297.01045532734,272954.59062563704,260932.52391044446,249279.83738322274,238039.12777600752,227247.30163420428,216932.28213731613,207113.03975881473,197802.22927200768,189006.18734736592,180724.5726779012,172950.93795591456,165674.90955185262,158882.20725786063,152555.58644823526,146675.2594677675,141219.8535901301,136166.72190410286,131493.13221511754,127176.3580497974,123193.54386058697,119521.90285148173,116139.87059549191,113027.1985048323,110164.35938432172,107532.22857881174,105113.0956935238,102890.71567205044,100849.98022481216,98976.2328180373,97255.97982107612,95676.96810794421,94228.0723198358,92898.59331825058,91678.63001653049,90559.2060849223,89532.24623587361,88590.19648620217,87725.9293403771,86932.9727235735,86205.48359197183,85538.19219712217,84926.06607974404,84364.47881094308,83849.2261054286,83376.51556907588,82942.91330770218,82545.13602636027,82180.18658939982,81845.33159892556,81538.09656182512,81256.25614586739,80997.69816413402,80760.47520836505,80542.81031657154,80343.08130416041,80159.82076393423,79991.70285301856,79837.4568810083,79695.93174469282,79566.07171753322,79446.90824870669,79337.55996310632,79237.23266134127,79145.18686397253,79060.72525028422,78983.22672009723,78912.11571145405,78846.86208909456,78786.9811444563,78732.03359567428,78681.62100140235,78635.35627077824,78592.90174662616,78553.94756646524,78518.20555090481,78485.40920364443,78455.31371147382,78427.69594427287,78402.3544550117,78379.09839703534,78357.75203188618,78338.1634285019,78320.19033814898,78303.700166271,78288.56997248864,78274.68647059966,78261.94602857897,78250.25466857849,78239.5275501604,78229.68255263609,78220.64709442729,78212.35517919177,78204.74561775301,78197.76202810013,78191.3528353882,78185.47127193784
D,3.6148259153655176e6,3.6132434418068803e6,3.6114876543670692e6,3.6095399921573014e6,3.607379940473008e6,3.604984853527255e6,3.60232977006107e6,3.599387176130826e6,3.5961268135187402e6,3.592515384300748e6,3.5885162842830657e6,3.5840894203834683e6,3.5791908215763574e6,3.5737722277438003e6,3.567780907564696e6,3.5611595677801846e6,3.553845745443893e6,3.545771184870639e6,3.536861785762084e6,3.527037624904472e6,3.516213153872224e6,3.5042957198396614e6,3.4911853770160293e6,3.4767749785062107e6,3.460952479003325e6,3.4436000975076514e6,3.4245924913731907e6,3.403796732442788e6,3.3810744826065428e6,3.3562889687540643e6,3.3293010104263728e6,3.29996764324496e6,3.268142240622088e6,3.2336845473120925e6,3.196470392001795e6,3.156382878410738e6,3.1133118877772503e6,3.067156905923284e6,3.0178545236606644e6,2.9653734170174743e6,2.909704291718872e6,2.8508602601512917e6,2.7888984417087026e6,2.7239399991753604e6,2.6561400556620597e6,2.585684993235877e6,2.5128040912906006e6,2.4378005356655307e6,2.3610093836656795e6,2.2827856002655276e6,2.2035113718729285e6,2.123619761202285e6,2.043549077160829e6,1.9637257726235958e6,1.8845717382132318e6,1.8065169120028415e6,1.7299575172336241e6,1.655245395490413e6,1.582699448768529e6,1.5126089657294883e6,1.4452083124238246e6,1.380675753090301e6,1.3191495703199366e6,1.2607263502153852e6,1.205455305248898e6,1.1533416418664174e6,1.1043615481034892e6,1.0584610298984398e6,1.0155607184181883e6,975558.968908609,938340.0938581505,903775.6336237796,871732.060261853,842071.6138996748,814653.381910551,789334.2783688972,765976.9755186009,744450.6762283511,724627.9380324713,706382.9309826809,689598.2210552922,674165.3903168987,659982.9744472988,646952.0418300197,634981.1191477497,623986.908963571,613893.5326211313,604627.754242647,596121.6045772185,588313.3999155997,581147.5867096222,574572.0796046497,568537.5903546887,562999.3473430015,557916.9325990514,553253.8847783316,548975.2807437987,545048.9721111374,541445.7582907788,538139.3156355363,535105.8114871514,532322.3818981278,529768.1401644439,527424.0515708894,525272.8993023164,523299.21367718786,521488.27018858644,519826.4650737392,518301.39488175884,516901.7463020059,515617.2961640895,514438.8147033162,513357.4208016505,512365.0585412514,511454.34586933284,510618.5161211971,509851.41802023526,509147.5156779269,508501.6481318663,507908.92458600877,507364.9924848943,506865.8213834705,506407.7021368107,505987.24690011423,505601.38912870537,505247.349632475,504922.4118541243,504624.2034627207,504350.5499767812,504099.43061249505,503868.9782837238,503657.4796020014,503463.37487653334,503285.2581141982,503121.7930542879,502971.74059074273,502834.03199404664,502707.6674359845,502591.71578165324,502485.3145894627,502387.67011113494,502298.05729170435,502215.81976951775,502140.36559047183,502071.11346773314,502007.55128430284,501949.21531501244,501895.67579883116,501846.5369388662,501801.4369023632,501760.0478207051
E,569261.20815967,569052.5034446615,568821.1265820438,568564.7618580841,568280.7890546641,567966.2682572547,567617.9191962123,567232.0930614257,566804.7458357592,566331.3957618591,565807.0868330818,565226.3565246655,564583.1742821555,563870.8817180396,563082.1618403747,562209.0060911536,561242.6163322749,560173.3110065841,558990.5150332559,557682.7194358764,556237.4812485455,554641.1993635959,552879.0843235326,550935.1461926994,548792.4108510889,546432.7917455079,543836.8171796661,540983.6261541387,537851.1967405695,534417.1633470403,530658.3225573871,526550.42682372,522068.19989529706,517186.623525539,511882.24807336024,506132.1243292888,499913.74296421563,493205.4438023969,485990.3615755292,478255.95665386843,469992.81084490335,461194.69472742075,451861.97522473044,442004.9596087155,431639.8207868569,420788.2909376835,409479.63255457336,397756.0287610126,385666.26088615006,373263.93445288844,360608.7186631907,347770.5687364339,334822.18823862105,321836.0974597455,308885.7686055325,296047.7254847587,283394.02887653286,270990.1800164319,258896.9055742457,247170.5333128317,235858.01036675193,224996.51007820986,214616.21045467927,204739.81911693417,195381.16383093063,186545.76125728374,178233.6799889709,170439.1883533749,163151.43929563268,156355.07582560045,150032.02103291356,144161.57779435933,138721.7464339983,133689.40364701013,129040.77836766587,124751.56320720573,120798.28417476121,117158.452621261,113810.11129459433,110731.57410730839,107902.56365337528,105304.3434581057,102919.37380644045,100730.56288042493,98722.11204320358,96879.64939575318,95190.09836749415,93640.84545463705,92220.19566050419,90917.55324411424,89723.39476402242,88628.80013050462,87625.33278629278,86705.34309428607,85861.93990633271,85088.92045328495,84380.34259706107,83730.7431051737,83135.16904911041,82589.16533047883,82088.70662509587,81629.92836147126,81209.30518670598,80823.62985694387,80470.0072497258,80145.8419547597,79848.66206533239,79576.18509679478,79326.33336797878,79097.21481568179,78887.12299466676,78694.52022414446,78517.92477835715,78355.99420292675,78207.50005166205,78071.31776343448,77946.42666217814,77831.90995688984,77726.91314004191,77630.62543759155,77542.32689885564,77461.35146601775,77387.08683458471,77318.97445338668,77256.50952457704,77199.23519984899,77146.70394496631,77098.52572875218,77054.34350462953,77013.82570045903,76976.66621853899,76942.58443560541,76911.32520283204,76882.65884583018,76856.36695122981,76832.2468604298,76810.12427369264,76789.83621284562,76771.23098620272,76754.16818856451,76738.51870121821,76724.1646919377,76710.99961498339,76698.92748775682,76687.85382023972,76677.69554144466,76668.37755155373,76659.83029104464,76651.98974069054,76644.79742156022,76638.200395018
F,799839.3553276189,799642.3652795464,799420.5663903846,799169.0089894643,798882.8576219097,798557.1402991835,798186.6049754262,797765.5526855106,797287.7741424177,796746.4458619083,796134.0206679499,795442.2093367458,794661.8601062227,793782.8422953137,792794.008987201,791683.1622003941,790436.8804828429,789040.3800726532,787477.5007123422,785730.6505230776,783780.8005509926,781607.1593549842,779187.1297589301,776496.295904625,773508.7582275649,770196.9645823602,766531.3246688428,762480.2042103438,758010.2982957683,753087.9170439407,747678.2860458827,741745.268646205,735251.391109871,728159.8843692074,720436.7481162151,712049.160824471,702965.4072035911,693155.5121972419,682597.3529006972,671275.8957166258,659181.3038565018,646309.038421822,632664.9509493698,618270.2203992828,603154.9000622097,587357.3883226903,570927.231992068,553932.7687267887,536451.3787442762,518566.6741588046,500370.2001710425,481967.14028428425,463465.1677841646,444970.11176514794,426587.5810797448,408425.80264767125,390585.09797144716,373155.04019092605,356217.14568855707,339845.55316652625,324100.5383828123,309028.14373468416,294664.24500878603,281034.1275078582,268150.99640214205,256016.83469937317,244626.34041950825,233966.63070580387,224018.41803077896,214756.8146926807,206153.57230844477,198177.3433923771,190795.55394300018,183974.62032805983,177680.33524876507,171878.078219672,166534.68884021603,161618.65710942962,157099.3848191998,152946.77570954614,149132.81108856242,145631.69450465997,142419.3581272632,139472.40816668796,136769.2715399692,134290.35367441978,132017.85773211598,129934.64871902695,128024.8642011453,126274.1408285677,124669.57675189919,123199.10213664484,121851.3194638875,120615.8964366718,119483.52502279899,118445.82819104835,117494.79408741213,116623.06216282984,115823.95762962027,115091.47459358639,114420.18627012013,113804.89251437005,113240.85172949507,112723.74842339822,112249.68520346757,111815.1664538157,111416.86832625957,111051.72539018019,110716.9460654626,110409.98693283246,110128.55273385593,109870.57431083775,109634.06246547947,109417.21642245167,109218.38752674738,109036.06579787674,108868.87992986714,108715.59729126304,108575.06986790801,108446.21162298547,108328.05773580355,108219.7152197516,108120.3627389828,108029.25060841402,107945.70079372592,107869.09937290021,107798.84717434892,107734.42241387334,107675.34709868154,107621.1771347345,107571.50232674627,107525.94637818387,107484.16689126735,107445.85536696967,107410.71901577925,107378.48736900142,107348.92748579236,107321.82144656156,107296.96630740739,107274.17410011718,107253.2718321672,107234.10148672276,107216.52002263803,107200.398499364,107185.61116631607,107172.04724569841,107159.60632068342,107148.19535665926,107137.72870122975,107128.12808421455,107119.32261764912
G,481474.88184129674,481439.05985372583,481397.81515614194,481349.47716344066,481292.47234397166,481225.20797146077,481146.00806170504,481053.03885637835,480944.28211939783,480817.48934588674,480670.1340694019,480499.4015989291,480302.13148832583,480074.767296837,479813.3371979991,479513.4194725834,479170.0561043006,478777.69061898976,478330.15888312535,477820.6138434471,477241.4855264073,476584.32365300297,475839.7751452096,474997.5414921036,474046.36012195365,472973.89740363386,471766.55198915786,470409.45106455195,468886.4558307446,467180.37779164506,465272.71548790624,463143.479908395,460771.1983832679,458133.3633093755,455206.98988296866,451968.11043991183,448391.7120009506,444451.9409068396,440124.0885997596,435384.56677256397,430210.44754417543,424579.50762259756,418472.4513433088,411875.31733257615,404777.7790154564,397173.12204222975,389059.9342471083,380446.8492624744,371349.23615209386,361788.45634057646,351793.2066734103,341404.3792301536,330669.8744460568,319642.6051489752,308381.70609034173,296955.47479602223,285434.2219936627,273888.0559289556,262388.2482017912,251007.45956552413,239812.88450463253,228865.20744636754,218220.7281364979,207929.88104319794,198033.51618634394,188563.13987762603,179543.90982170482,170993.23561219155,162920.17294548854,155326.17433840648,148208.04545227444,141557.35595693582,135361.39556120802,129603.51413249121,124265.09401498693,119325.33803283877,114762.70675250045,110555.1756782346,106680.43963724811,103115.94156761261,99839.94308833689,96831.87247708418,94072.08870647632,91541.25440015137,89221.26359944243,87095.51680954135,85148.78393271165,83366.28957783521,81734.25411000727,80240.1849918698,78872.85058905529,77621.70060457545,76476.70867025026,75428.8017373286,74469.83614938849,73592.50605675501,72789.77192346448,72055.15889835321,71382.82436126361,70767.54264820526,70204.61287888957,69689.4852737486,69218.01526409524,68786.45177550224,68391.42951113239,68029.95205464822,67699.14523375029,67396.34718425067,67119.14754658371,66865.36306381726,66633.03758165304,66420.41898361871,66225.7990910485,66047.63028663569,65884.50343288273,65735.13476660744,65598.36589894287,65473.16381533733,65358.563546118094,65253.63733759415,65157.56711753119,65069.59883570626,64989.04227901889,64915.27107149095,64847.722674266755,64785.8905778151,64729.269502880976,64677.42029305005,64629.94314747497,64586.468001721376,64546.65452776789,64510.19213400604,64476.799965240374,64446.2269026883,64418.232171554715,64392.58884629868,64369.10406632096,64347.59801429579,64327.90387042094,64309.86781241774,64293.349015531145,64278.219652529675,64264.36489370544,64251.68180766567,64240.06542261015,64229.42452301074,64219.67766828335,64210.74960444221,64202.57126409983,64195.079766467104,64188.2184173532
H,282549.7467053652,282495.9903488519,282434.76166220265,282364.1370336783,282282.3123371172,282187.48513717204,282077.7899048623,281951.22319352964,281805.61886952753,281638.60693487065,281447.56762865453,281229.63040164515,280981.62832919805,280700.0527017932,280381.041499975,280020.3720521883,279613.3946812723,279154.98243790044,278639.5262704643,278060.9178968849,277412.5438423783,276687.16656769183,275876.90915638546,274973.24963042856,273967.1309800799,272848.893916316,271608.1388403069,270233.72375568893,268713.8854696903,267036.66407820344,265189.6572944476,263159.9206826923,260933.97600832515,258498.4939833288,255840.98907363485,252949.28236960174,249811.4755681781,246416.16844228635,242754.55372435684,238820.18146172853,234608.33228610447,230116.05344651334,225343.95534361692,220297.98058646693,214987.22560594694,209423.7713633719,203623.7066063321,197609.93811622978,191408.80792358756,185049.1273549213,178562.8123184607,171987.0512497642,165360.30449501314,158720.73785665657,152106.81500415388,145558.38135127266,139112.73199497318,132803.51926021703,126661.71510402007,120715.84001913955,114989.40534339687,109500.72728936865,104264.42796350348,99291.22912753905,94587.25694503068,90154.3504281876,85991.59229168134,82095.14176088267,78458.59954516137,75073.32461613898,71929.38150100432,69015.5842091965,66320.16354943314,63830.85881850838,61535.16869558679,59420.40010312647,57474.345402928346,55685.35856659653,54042.12396451168,52533.51964702736,51149.176226493226,49879.54000733403,48715.697257380736,47648.99246598354,46671.4449551058,45775.81102171432,44955.51724200028,44204.23924568896,43516.12652008863,42885.88821162211,42308.77927717892,41780.36423977929,41296.45613641638,40853.264733908916,40447.381434294555,40075.74410698541,39735.42318137309,39423.72966624233,39138.22896302876,38876.73453998623,38637.27402039743,38417.95562870912,38217.056291910114,38033.01011883998,37864.405393823814,37709.97842947269,37568.52661435327,37438.941102724304,37320.21356982991,37211.42662472314,37111.75381026593,37020.45132540583,36936.80289253368,36860.16064535421,36789.93219821011,36725.575641340445,36666.59954088073,36612.56293886287,36563.05515017458,36517.68703137004,36476.11356678633,36438.01570364763,36403.10028395765,36371.100044499624,36341.77361683631,36314.90273709585,36290.27382691183,36267.70119671517,36247.01495344686,36228.057365276014,36210.682861599795,36194.75803304344,36180.1616314603,36166.78456993176,36154.523224322016,36143.28172877703,36132.977741495655,36123.53427631481,36114.87968604312,36106.947662460974,36099.67723632055,36093.01277734571,36086.903994232096,36081.305606545226,36076.17324551778,36071.46791856343,36067.15435742973,36063.199907736,36059.57452897336,36056.25079450471,36053.203891564735
I,429264.7441031686,429138.7051106057,428997.0487652114,428836.82124275615,428655.1501187631,428449.10388046957,428215.6122356917,427951.3730975704,427652.8196812734,427316.06667451875,426936.8494515293,426510.5234527158,426032.0056141092,425495.70892229,424895.52724029694,424224.8440016472,423476.4406082713,422642.4183827881,421714.193253855,420682.5112378226,419537.46233658167,418268.2912326465,416863.3748760106,415310.23267753265,413595.7908865685,411706.258105704,409626.8994370117,407342.03356736887,404835.26952752576,402090.27439689566,399090.2870397948,395817.94510590355,392255.2981175195,388384.9091205172,384190.92464677227,379658.0612012693,374771.5407235092,369517.4097390271,363885.6453325851,357869.62534210563,351465.01947867865,344669.8341320661,337486.97204582416,329926.66572730336,322003.1564833595,313734.41910762014,305143.6359263876,296263.16703675414,287129.73573068564,277783.09499727195,268266.9950927687,258632.40579494333,248931.97292142443,239217.92508943254,229542.99281912355,219962.12066613455,210526.98307044787,201284.5047132971,192278.22844899737,183548.655476088,175129.56650150596,167047.7374071782,159324.9674017499,151977.7058926524,145015.95821845002,138443.6917163423,132260.915215033,126463.38840790254,121043.0857767493,115988.6412203272,111286.67506443788,106921.84988848807,102877.82917936612,99137.41219534616,95682.91392603403,92496.23756805688,89559.88696739564,86857.08097257222,84371.43130852054,82086.75464594577,79987.91097528274,78060.90578073998,76292.63690146821,74670.34156142735,73182.22239003755,71817.5482592078,70566.55658498565,69419.83420255882,68368.6556994269,67405.118010595,66522.12035072866,65713.01415729974,64971.51351300678,64291.92086066473,63669.10565670906,63098.45197327847,62575.53903812399,62096.30401927024,61657.06494046376,61254.511338248434,60885.65343879296,60547.62148155127,60237.79874521203,59953.805406789295,59693.49406120114,59454.94046793875,59236.31232457189,59035.91847989804,58852.220012571306,58683.81588577149,58529.442947204225,58387.96339798378,58258.28107699803,58139.40340976066,58030.42233388178,57930.5067536696,57838.902540130366,57754.93253096835,57677.9657346037,57607.40378897499,57542.71563584472,57483.41002804399,57429.0354259439,57379.17999745546,57333.47161802958,57291.57359153089,57253.15628598479,57217.932693824616,57185.640117679715,57156.0346138807,57128.89099245948,57104.00281714921,57081.182405384345,57060.26082830061,57041.077528156726,57023.48376568405,57007.35167325553,56992.56168342398,56979.00250317524,56966.571113928214,56955.172771534875,56944.72100628025,56935.13762288241,56926.35218622817,56918.29558880684,56910.9070657033,56904.1316474964,56897.918423506126,56892.220541793635,56886.99520916128,56882.2036911526
J,800080.8771188175,800032.3904060728,799976.1914285306,799909.7189467147,799830.5913239913,799736.4234164685,799624.7264570398,799492.7918074052,799337.6508904875,799156.006412117,798944.1591921274,798697.9964142605,798412.906591712,798083.7038075433,797704.6005055158,797269.1610670019,796770.1722587714,796199.55139122,795548.33300273,794806.5610053389,793963.2264976276,793006.0331477566,791921.3641663825,790694.2178673889,789308.1693915137,787745.201164155,785985.4090861345,784006.9969449115,781786.2629759673,779297.8654960957,776514.4184240289,773406.2208966636,769941.2610581953,766085.769479426,761804.9382846579,757062.151921833,751818.8761255816,746034.9213243634,739671.0520973324,732688.919151895,725050.3596891135,716717.4504879072,707655.5248477604,697836.4737218908,687236.4622514432,675835.8984086093,663621.8668912451,650594.9774261523,636765.0514758361,622150.223904588,606779.0806682213,590698.3928216401,573966.2226061132,556649.3610947734,538825.5318250929,520589.00370668905,502040.2813873474,483282.97826036124,464426.3765799462,445586.63486163266,426875.47285976476,408398.3810168375,390258.00885739434,372551.4393881905,355362.51735219767,338761.9245178176,322811.71322489064,307561.88622564304,293047.7270845847,279290.9214863468,266304.69936171244,254091.92995126967,242645.6524559485,231949.7206704718,221983.2563049513,212719.85103340005,204129.60012411542,196179.58439838095,188835.10891126486,182060.10492723598,175818.6446636103,170075.77954060663,164797.39356321015,159949.49193370354,155499.7313720235,151418.0981231687,147676.70325435422,144248.31198232845,141107.29911871188,138230.3159873904,135596.25604165703,133185.19707253837,130978.09422731357,128957.67798584995,127108.43403687497,125416.42498098698,123868.15257885428,122451.16325046807,121154.23095838662,119967.32945764762,118881.44405177505,117887.79131814567,116978.35850136128,116145.9090897718,115383.96775036743,114686.7850811147,114048.81163372632,113464.8851749457,112930.34256226475,112440.97171867812,111993.01163268312,111583.10321703267,111207.93854718315,110864.51284033117,110550.097761183,110262.21473272245,109998.63493621068,109757.37931118632,109536.59353597705,109334.47168163811,109149.42642127728,108979.99815880209,108824.8546381649,108682.79094336298,108552.72949843838,108433.70302266855,108324.72974372338,108224.9548325645,108133.60300473489,108049.9583892447,107973.36452857178,107903.22437866112,107839.0003089253,107780.21410224416,107726.40301495744,107677.1224778747,107631.99751669617,107590.67940383012,107552.8455588337,107518.1995484129,107486.4710864228,107457.41603386724,107430.81639889911,107406.47752994428,107384.19217304609,107363.7820079593,107345.08986866238,107327.97078677971,107312.2919915812,107297.93290998248,107284.78516654515
