Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,11.562978405702946,12.850711862263974,14.321731458712144,16.020394344853198,17.982697973410755,20.240283237960767,22.82280957473943,25.760657187779998,29.085871394790875,32.83350462213859,37.04326840766283,41.75917477542251,47.030675254807136,52.914234108465344,59.47343967840188,66.77810538145305,74.90632292963848,83.94606476752485,93.99529129564974,105.16112172773936,117.5593129211484,131.3191731707421,146.58411974821425,163.51189785867263,182.26800430047248,203.0299383120734,225.9951365441903,251.38108936246525,279.42176167810857,310.34828085009735,344.407130398303,381.8697759370085,423.0325679354338,468.1940418988649,517.625541974842,571.6147868578548,630.4728472934889,694.5273417522989,764.040508283701,839.2282063764355,920.3130458698605,1007.5247854332194,1101.0226365179374,1200.8088689505742,1306.8510586539742,1419.0973575129628,1537.4169104353805,1661.421374609159,1790.6349228693139,1924.5464930259382,2062.55210374387,2203.738984632028,2347.102543051765,2491.6333760380753,2636.2400411323133,2779.5541905101727,2920.210232950027,3056.922967218166,3188.367663815222,3313.091248988634,3429.7881247960067,3537.3276032155527,3634.604489686778,3720.5888062254294,3794.482413467512,3855.702416129534,3903.7672234145402,3938.3869016028157,3959.4787836845285,3967.142436320958,3961.626379647925,3943.362084285285,3912.883821545209,3870.8200091142717,3817.9263330214444,3755.1000809611915,3683.232586798397,3603.196161567346,3515.911458961592,3422.3961436673553,3323.608560356553,3220.4292022053255,3113.6994557541357,3004.3084078749753,2893.072773461168,2780.71115864866,2667.8586995047517,2555.1595400889337,2443.2004973455637,2332.4802851417826,2223.4122652555025,2116.3771095991488,2011.7292969431535,1909.7564846509592,1810.6823348762898,1714.6746965779894,1621.892088622183,1532.454194454171,1446.43985880167,1363.8886615915185,1284.808759531195,1209.2043582428225,1137.0542476591609,1068.3171678577887,1002.9325862078804,940.8220847613973,881.9070294423718,826.0989864025667,773.3011421105713,723.4108192940213,676.3194769396046,631.9142877075568,590.0873211193109,550.726779563565,513.7210189494253,478.9596196945671,446.33338672523473,415.7343494762443,387.058290891952,360.20503053596804,335.07544479761015,311.57403410476275,289.6089320323849,269.0919053025127,249.9383537842563,232.06738798588594,215.4024262599998,199.87026982695556,185.40098915533832,171.9279967476868,159.38804714049252,147.721236904201,136.87100464321028,126.78413099587286,117.4100615940958,108.70183849899988,100.61598004322545,93.11110109897237,86.14791085841742,79.68921283371384,73.69990485699172,68.14697908035798,62.999521975896236,58.228770228032396,53.80890119905226,49.715789528688106,45.92647476575419,42.41928306279074,39.17382717606384,36.1710064655655,33.39300689501362
B,0.9069002671139567,1.0195455031640137,1.2086118636085976,1.522689228154931,1.998534825300177,2.6669595571822327,3.555829269586363,4.693452343647877,6.109383921399692,7.835801001381925,9.909222263166251,12.37000153086317,15.263612563729996,18.64192975334093,22.563326192160236,27.092503354586864,32.30231687185101,38.274868718334474,45.101639404128434,52.88390629347038,61.7328483534962,71.7730021726813,83.14270502454515,95.99471162587719,110.49324870833196,126.81675050284873,145.16372663679576,165.75286005633347,188.8215150463676,214.61289416512636,243.38850385856114,275.43584444439637,311.0683748499631,350.6092924929933,394.3675892574928,442.6716166743086,495.87498563675945,554.3510661473774,618.4243509403673,688.3830794703448,764.5236893563086,847.1512193515686,936.5096650875848,1032.7005873617811,1135.7895352733397,1245.8196887141498,1362.7556888705305,1486.3111130037876,1616.103685390207,1751.704450759713,1892.581470417092,2037.883080518206,2186.646388504161,2337.8841303858144,2490.507099359436,2643.120121640494,2794.3064315000197,2942.710334830648,3086.912567330421,3225.330013207401,3356.5143694094595,3479.18504337381,3592.0660485318963,3693.936390796178,3783.8162731551247,3860.9511699366426,3924.6772173520503,3974.52760224995,4010.268645357842,4031.8714523358276,4039.4584286763275,4033.3549246020452,4014.017268105913,3982.0219187800144,3938.0829656393903,3883.0777325655417,3817.895821958501,3743.424325131994,3660.611414077418,3570.5185004417526,3474.156081842066,3372.460936571395,3266.3360878076332,3156.743929994949,3044.575583294897,2930.6201760364497,2815.580584293026,2700.1745804235666,2585.0615086800635,2470.805649415316,2357.8790746506356,2246.720203923769,2137.741440514329,2031.2815725436203,1927.6084166663313,1826.9280212783779,1729.43751740988,1635.2912465718914,1544.5972575989902,1457.4190296356828,1373.7844273639819,1293.717448570467,1217.2131996794592,1144.2433385182658,1074.7569459337346,1008.6821277390547,945.9466284774148,886.4667729744482,830.148545951315,776.8904436570433,726.5834738685338,679.1130136910267,634.3697698258352,592.239437005251,552.6071560019611,515.3587576670204,480.3807629298538,447.5603827982576,416.78863075744107,387.9607878724688,360.9726761379976,335.7237440164398,312.1170775292499,290.0594002569281,269.46107333901546,250.2362269083124,232.30373133473327,215.58578061532185,200.0079330765829,185.49924929684855,171.99229210627735,159.42312658685574,147.7313200723961,136.8599421485392,126.75493085805354,117.36608698459972,108.64682989557089,100.55280572719695,93.0418852108199,86.07416367289377,79.61196103498459,73.61982181377064,68.06451512104215,62.91510220885452,58.143881608412016,53.724933826258685,49.63356107193868,45.846441290527544,42.34162816263206,39.09855110439038,36.0980152674719
C,27.207008013418697,30.21971266777653,33.572290205066004,37.304925704326614,41.45766441665277,46.07157168078153,51.18973406145951,56.85847098951023,63.1280248405035,70.05347738585606,77.69587429690397,86.12214282143168,95.40595042650175,105.62933787153015,116.8830083131627,129.2647419384998,142.88161466364332,157.85247082942493,174.30804404132613,192.3885681002176,212.24194680626957,234.03141166028104,257.93636593093623,284.1520150590784,312.8760901867507,344.31560897862323,378.6990004562091,416.27626539259296,457.31120511103796,502.04816180414474,550.7414663750286,603.6692367965537,661.1331396433989,723.4205285594022,790.760936421949,863.3918172938022,941.567998815753,1025.5514877503995,1115.4941134509709,1211.4703467808804,1313.552169330136,1421.8094504987023,1536.2088699403148,1656.5093986148454,1782.4291069636733,1913.6654518447854,2049.824670276547,2190.2186244874642,2334.0820081142747,2480.636740269503,2629.0279551378935,2778.0987536790594,2926.642360384935,3073.4957402582127,3217.458332643574,3357.1089641528315,3491.0896580474364,3618.174423863857,3737.1535312073665,3846.7668891798144,3945.937369570378,4033.785949023374,4109.50733180964,4172.418458669508,4222.054639278416,4258.151311947198,4280.571612513827,4289.364101795012,4284.737984668107,4267.04486754945,4236.786074801517,4194.611914915647,4141.226009457894,4077.3807933057997,4003.9416190191996,3921.8806967631094,3832.133060368436,3735.5864938795776,3633.1571057898323,3525.8344191219594,3414.533964735996,3300.0852606791937,3183.269475591341,3064.8994484154473,2945.712713433688,2826.3521274156637,2707.3792075735914,2589.356806165727,2472.7913445780896,2358.1086071064815,2245.6563505650365,2135.7504728699096,2028.680777091095,1924.677504195604,1823.9142005699423,1726.5148271526782,1632.5939750707123,1542.231873839368,1455.473346835724,1372.3292022699106,1292.7830206930553,1216.8149434214736,1144.3833844752182,1075.429845514375,1009.8795914584093,947.6428545801061,888.6302300529208,832.7444601578211,779.8816096976695,729.9332407749379,682.7864127917119,638.325064106453,596.4381723024146,557.0120886525413,519.9338589315416,485.09214848290526,452.37724221890136,421.6810446205818,392.89935697294254,365.932314332431,340.68151002233543,317.0521533365927,294.95307751471915,274.2967397418125,254.99922114854942,236.98030271023,220.16416643002447,204.4785248076501,189.85428915698418,176.22562279675793,163.52994105055606,151.70791124681756,140.7034527188343,130.46373680475318,120.93862924839668,112.08169143914799,103.84984650436549,96.20205763221864,89.09932606466845,82.50469109746723,76.38323008015892,70.70205841607901,65.43032956235447,60.53930261780439,56.00328824288994,51.79822839018205,47.90117485605834,44.29044616343269,40.945627561755046,37.84757102701151,34.97839526172435
D,125.15223686172601,138.9773117704933,154.19168074297716,170.8681980700318,189.12995463874987,209.1399950644435,231.0960794677842,255.225274073364,281.7832669459581,311.0539658381999,343.34837323384517,379.00721111325277,418.4026768824179,461.94118763296376,510.0661193315614,563.2564260093623,622.032838895247,686.9677283745905,758.6859942165833,837.860577070377,925.2048024830804,1021.5037594709094,1127.618192458657,1244.4845425429285,1373.0652402259916,1514.3753546848372,1669.5338472847347,1839.764293122519,2026.365762074766,2230.577587838616,2453.7003732290677,2697.155779742216,2962.4856474861417,3251.1957836628026,3564.5684213611617,3903.9420799969116,4270.753455763406,4666.493730246895,5092.197783205299,5548.57814992929,6036.352459453958,6556.245351880694,7108.5329356483135,7692.559411296768,8307.47474406309,8952.324997575164,9625.722017492642,10324.880614732103,11046.601026615535,11787.56242913327,12544.014756137813,13310.670324768531,14081.884569924148,14852.105277303166,15615.472973395792,16364.874989989781,17093.352268006907,17794.460590696825,18461.681869385982,19088.0356215778,19667.34837959628,20194.359993134978,20664.04354128549,21071.84977895106,21414.3496727207,21689.15052590974,21894.430170074014,22029.31422153167,22093.872636005133,22089.012184213647,22016.40463432264,21878.58350064282,21678.517619087077,21419.57674732078,21105.76483942952,20741.754260937756,20332.148918947503,19881.424419550163,19394.283387830736,18875.901220683954,18331.143317809416,17764.479797967368,17180.18011839544,16582.75006812175,15976.333255567804,15364.583204544426,14750.736284107612,14138.07643638718,13529.603896732475,12927.876160975818,12335.021466178177,11753.005244476964,11183.666619875728,10628.505398052108,10088.694546861485,9565.12204882444,9058.632467721094,8569.874104411489,8099.282300670314,7647.087227619229,7213.3550170997505,6798.135181606069,6401.345511699801,6022.795386174655,5662.189729421,5319.136477049976,4993.243866781598,4684.069663634284,4391.123706428276,4113.880936462934,3851.781397516752,3604.239157055895,3370.6962046475414,3150.5728763769653,2943.2870541026246,2748.259996965437,2564.9163413887886,2392.684101078542,2231.010635277304,2079.3665477946606,1937.2252952305441,1804.0778648967157,1679.432829974052,1562.81634951256,1453.7721684313622,1351.862483487563,1256.6748818382266,1167.8136373856075,1084.8993920235553,1007.5700029032881,935.4805424333881,868.3032982798077,805.7277733658618,747.4606858722386,693.223801700995,642.7593639147509,595.8271550331432,552.1981056725309,511.65428554286683,473.98890344769694,439.0063072841608,406.5219840429928,376.3625598085201,348.3662367403666,322.38882927686853,298.29490206737916,275.95499456274445,255.2466860276479,236.05459554060974,218.27038199398777,201.79274409397684
E,16.777654941608194,18.629316046915534,20.65852649635947,22.870240382367708,25.27979876844505,27.910825062971966,30.79396023048255,33.965531242566705,37.4671959740061,41.345656677411384,45.65215896242786,50.44310166703003,55.780314723003855,61.73120824234549,68.36933307573028,75.77485075854003,84.03539286769039,93.24749904389482,103.5168069072064,114.95839416126509,127.69605516049006,141.86685477668016,157.62174867944682,175.12600990534833,194.5538624427348,216.0921957693396,239.94806595659057,266.348811696156,295.53907661509027,327.7632441645459,363.28203797139196,402.3816570788057,445.3736942786972,492.57405713991466,544.2748340788893,600.785206623037,662.4381429632123,729.5838790391738,802.5108599058276,881.4629499081238,966.6904167384346,1058.45032038805,1156.930151155529,1262.1617539601664,1374.1401296065856,1492.838335668143,1618.1480617059726,1749.7004521038634,1887.0336383035901,2029.6445763446163,2176.9308686552713,2327.9713349618314,2481.7431366876526,2637.209732946344,2793.2422857390256,2948.4185689721066,3101.30818925975,3250.5529640655204,3394.743599177394,3532.325168492623,3661.885708933747,3782.186265764315,3892.0043771903133,3990.1847688735165,4075.811096717108,4148.189710137164,4206.725991476835,4251.0231935004895,4280.908333492606,4296.405566446741,4297.694030385315,4285.150747018216,4259.27369137328,4220.671984173233,4170.092773208254,4108.441805727261,4036.6308121882275,3955.563304792654,3866.2016498111943,3769.619629125,3666.837026271263,3558.797960130455,3446.411332092327,3330.6445284284946,3212.3928010778254,3092.4490356740193,2971.5194982214784,2850.3251806562694,2729.5286188541168,2609.697157813615,2491.3057985362657,2374.795880887053,2260.583053624586,2149.0090813298143,2040.344364351322,1934.7971901248063,1832.5672053658805,1733.8112331683867,1638.6391950258326,1547.1158198213207,1459.2697365905824,1375.1260340037197,1294.6806336441214,1217.9053611456739,1144.7488198760548,1075.1380357889577,1008.9998464195244,946.2496365451032,886.7919432343698,830.5233330991721,777.3324022945371,727.1017281876246,679.7195866808144,635.0690907554672,593.0325101130909,553.4925548331961,516.3323753732977,481.4355625689168,448.6895881203111,417.9865398563469,389.2188308747566,362.28244752691745,337.07696142911857,313.5055294625628,291.4748937733633,270.8955629522066,251.6832040286212,233.7568050243285,217.03872308565764,201.45487112947015,186.9347178431595,173.41128768465197,160.8211608824055,149.1044734354114,138.20441878836968,128.06833107714428,118.64717876450649,109.8942271699375,101.76503652685211,94.21746198259858,87.21165359845881,80.71005634964841,74.67741012531656,69.08083487603733,63.891008795912086,59.0804182805896,54.6227853542829,50.49327272771234,46.668483798105285,43.12646264919636,39.84669405122723
F,11.109528272145969,12.351477462473952,13.795248953147027,15.504608791320967,17.533909327408182,19.934164197448112,22.756036164495722,26.053246147002618,29.88332310542401,34.309041952103904,39.40020432341071,45.23321519247904,51.89262222114545,59.47265576165129,68.07754349911127,77.82122047114929,88.82974197145302,101.24321120238966,115.21599134743029,130.9167260639113,148.52769338444605,168.25102356520838,190.30948923656265,214.94708431203327,242.42129411406012,273.00810759982676,307.0125154316021,344.76867251162804,386.63542848251694,432.9701917635668,484.15255979852225,540.5974689014274,602.7550601916797,671.0787918475182,745.982938600138,827.9025924917028,917.3033962910374,1014.6716788906127,1120.3956164044191,1234.7908030782535,1358.1758465357325,1490.8728974597946,1633.0943397887584,1784.8158288356792,1945.9539313202326,2116.38841257074,2295.875873863258,2483.789949539288,2679.37083458204,2881.802740555716,3090.1307977859933,3302.9499426312946,3518.7234886396877,3735.911255927049,3952.8584589662096,4167.518409873107,4377.858275886039,4581.970759671436,4777.902489402835,4963.5315863578035,5136.958539405983,5296.543661903494,5440.697052991367,5567.950952969968,5677.173334163885,5767.543687576851,5838.397965879782,5889.352112817534,5920.315992279092,5931.45882105732,5923.170316744941,5896.102123503124,5851.048789928933,5788.936129850895,5710.875883270099,5618.182271717787,5512.158523760028,5394.078525676213,5265.285917594089,5127.264580795728,4981.412342938677,4829.014840563809,4671.301503789776,4509.571374577787,4345.019472398568,4178.699387202533,4011.5443969654248,3844.5015731215226,3678.4357497806527,3514.0839983425276,3352.059554667747,3192.9285077931263,3037.2198063388605,2885.3648253169936,2737.7011804972512,2594.484715502685,2455.9581954639534,2322.3077556313533,2193.658940849133,2070.078969908617,1951.588382223087,1838.2023528106831,1729.89841679016,1626.6236886435133,1528.2959980357887,1434.8059795908011,1346.0440254383443,1261.8859719677844,1182.194460805476,1106.822650618285,1035.6142171135969,968.405796325622,905.0415056879358,845.3593721275079,789.1970274421016,736.3933331767853,686.7883806239357,640.2234908232385,596.5453923000028,555.6070066883317,517.2622996349642,481.37029523064734,447.79509070683014,416.40585643566567,387.0768359300073,359.6875343711431,334.12420110958914,310.27784194766565,288.04412404360727,267.3235606578099,248.02151115282965,230.04818099338414,213.3186217463509,197.75273108076988,183.2744739999468,169.8133317901966,157.30377105467673,145.6833525355262,134.8927282684051,124.87564158249475,115.57892710049754,106.95251073863746,98.94940970665947,91.52583739687049,84.64266374553674,78.26321859906547,72.3525138478533,66.87748992645777,61.80701581359711,57.111889032150415,52.76483564915754
G,1.1336253338924458,1.2654174516762788,1.4447569188240055,1.69768301444453,2.044349777291776,2.50209867617606,3.087037947046008,3.815832459393254,4.706154647986538,5.77745689212347,7.0519094041739105,8.554196782344876,10.312288178647185,12.35818020554442,14.728000469495301,17.462065737299124,20.606015692567315,24.211499095145562,28.33626811998406,33.04472821984288,38.4082551066295,44.50728916478396,51.43161198750944,59.28088551196688,68.16397935146921,78.2007445900826,89.52539954379884,102.28658995242878,116.64742361506272,132.78044358783478,150.8742774807813,171.1381002110582,193.80165949858701,219.10904039486465,247.30760583935876,278.6657290184376,313.47630553394333,352.05434055593656,394.70381833348256,441.7234305307003,493.43075205688547,550.1626233966704,612.2376418385578,679.9095034822922,753.4234050597452,833.0236598050827,918.9190024747838,1011.173815266527,1109.7927531680439,1214.747669385612,1325.9382379030349,1443.0367694248343,1565.6111922136076,1693.1775447761422,1825.1410637551705,1960.626920794857,2098.675400812034,2238.3028705449074,2378.4002838423066,2517.623554203981,2654.650978610342,2788.219315156504,2916.970482764781,3039.4780639697697,3154.473934217492,3260.8424109552625,3357.455798839542,3443.302512960836,3517.604463840639,3579.7880219354174,3629.363003690487,3666.0356738357027,3689.7165354043873,3700.504211157815,3698.620405121249,3684.4832796997694,3658.610915918798,3621.6049406468137,3574.166391865275,3517.1477498347435,3451.4190523444795,3377.831609742676,3297.2473557117705,3210.630147437994,3118.911207144675,3022.9417753561356,2923.508504535911,2821.443765186454,2717.5425943722994,2612.5046609992432,2506.936406707927,2401.421126403427,2296.531463262365,2192.7569216904963,2090.5037503933636,1990.106694637239,1891.9005024156834,1796.172299530206,1703.1485997350117,1612.9971789044132,1525.8394952282506,1441.7974212279953,1360.9550442097577,1283.361390800457,1209.0315231837476,1137.9488904745192,1070.097135872145,1005.4439348544979,943.9385046707988,885.5154009889206,830.094517895395,777.5840754668993,727.8993199667984,680.9456975658375,636.6239230092411,594.8318498659701,555.4644705287236,518.4139162139412,483.5753656610138,450.8487847004459,420.1312669294766,391.3222915503503,364.32374349470604,339.03991342358165,315.37749772740966,293.2460631550534,272.5613808447868,253.2410645891896,235.20553628661978,218.37856171201372,202.68725051688511,188.06205622932575,174.4367762540045,161.7485518721691,149.93783161365326,138.9494374571338,128.73144778212995,119.2342841564934,110.41071041532825,102.21583266099094,94.60709926309036,87.544300858488,80.98957035129759,74.90750413632912,69.26680157330824,64.0379124867853,59.19249079374913,54.70370952827246,50.54626084151191,46.69635600170806,43.13172539418534
H,2.0405256010064026,2.276406889128685,2.5905719916526158,3.023987045118684,3.6074704777360767,4.366459596169219,5.323475953205319,6.500898919459399,7.921629984067728,9.610182509451024,11.594086475276438,13.90337616120916,16.571522017246874,19.636456535652577,23.140569794675642,27.130272312467625,31.65735010717612,36.77976528204113,42.56172440947867,49.07349295588902,56.391273488297195,64.59978410808408,73.79256158388763,84.07219134975657,95.54713972752651,108.33390492207326,122.56134408461128,138.37073984140494,155.91402093843598,175.34308749551838,196.819632314383,220.52063394994468,246.63830707545932,275.36711870034225,306.8862187141782,341.3844539536691,379.06448743072906,420.1387580825735,464.78024088311867,513.1328907729105,565.3434317728984,621.5616138588923,681.89274442072,746.3438428434706,814.8982372686671,887.5250517232246,964.142434847806,1044.5061519908556,1128.3148924243303,1215.243232532039,1304.9056922552577,1396.720921309359,1490.0477744594273,1584.2406589085965,1678.600840587692,1772.2524806702202,1864.3198304452785,1953.9769426377998,2040.3711804555219,2122.5654286408785,2199.7148138019734,2271.084607900652,2335.9537253347694,2393.6456788266905,2443.631353885107,2485.5186117163844,2518.9769406767846,2543.796621156671,2559.902165411691,2567.336051772426,2566.2339672274074,2556.849467280268,2539.505729354244,2514.5897115993607,2482.569764305267,2444.007152536774,2399.4632331176317,2349.4909358935756,2294.6761287725335,2235.6692917168466,2173.085784738859,2107.4931946136403,2039.4359383470683,1969.4916472010423,1898.1930865195857,1826.01056124087,1753.3614038623436,1680.6706496181362,1608.32745243839,1536.6637991822768,1465.9562512984912,1396.4608880675096,1328.4179272801136,1262.0236731965995,1197.4321516745472,1134.7605907828424,1074.12091873397,1015.5996769098547,959.2559618621415,905.122451668127,853.2107436713568,803.5303381887965,756.0737151286636,710.8195134246406,667.7330488067429,626.7672709800465,587.8751373587892,551.0030302766014,516.0912756911658,483.0758342536598,451.88830130875954,422.4570252875574,394.71376992597976,368.58748192748635,344.0068535017288,320.9010636705441,299.1997782679548,278.83314994017087,259.7337304061772,241.83683615383282,225.0781789245658,209.39569566282162,194.7295552329108,181.0221584190106,168.21813792516292,156.26444592929545,145.11103897947334,134.70995892817893,125.01530039078489,115.9832973513389,107.572323162563,99.74289054585411,92.4576515912836,85.68139775759789,79.38071729875627,73.5246423830043,68.08440628124788,63.03260394319051,58.34319073833457,53.991482455981036,49.954155305229705,46.20924591497918,42.736151333926806,39.51567665997897,36.53069741142723,33.7651676937915,31.203775550631473,28.832055586913967,26.636388969012874,24.604003424709273,22.722973243191287
I,7.255202136911652,8.071125736597528,9.044265966285225,10.23288728488162,11.681968600711404,13.42936292616417,15.509066466713696,17.954901239823247,20.801453797563806,24.08554827241419,27.84818443057012,32.13377390743371,36.991326094509986,42.47598248151486,48.64898013199309,55.57650486939567,63.33163608113473,71.99571146486718,81.6583963165908,92.4164677662325,104.3730972571874,117.64229781344582,132.34940663700377,148.63103770929337,166.62792165543686,186.48888459398046,208.37811187736347,232.47524847901485,258.97130519583095,288.0494264312387,319.90241449986036,354.7414099659261,392.79577673202596,434.29107093017956,479.4222038039455,528.3941445482739,581.4281337391342,638.7555309822425,700.5447330817448,766.9203353676336,838.0112022658318,913.9508297569853,994.8113697559972,1080.5325205599077,1171.0290600273363,1266.2042699252852,1365.9008994172011,1469.7570540005104,1577.3497768902162,1688.2382542609434,1801.9168862088402,1917.6445540732839,2034.6197346715749,2152.047898503307,2269.079525875814,2384.6586707680344,2497.7389047415018,2607.3404432131156,2712.4566698151593,2811.9858991800847,2904.938677971084,2990.4573061867545,3067.702304584986,3135.8891171516984,3194.4064357280927,3242.803854349402,3280.7056974179814,3307.8798262914966,3324.2521513683714,3329.887851876036,3324.9653594343135,3309.8043298839143,3284.8072786273497,3250.4527847265763,3207.31929231902,3156.0987439909677,3097.4832734420424,3032.1549487508573,2960.8368819657226,2884.332749405333,2803.4037843069177,2718.753120891698,2631.056114967687,2541.0304324224608,2449.3390788056054,2356.5681682662807,2263.238682580497,2169.8821116555564,2076.986081061991,1984.9671624483515,1894.1730064096744,1804.9261327137183,1717.5299201395976,1632.2327677770186,1549.2299932091773,1468.6707374765097,1390.6978722896388,1315.4225123652245,1242.9209944768131,1173.236153719289,1106.3841095138223,1042.3785640081787,981.2116712028435,922.8578192353825,867.2742823859297,814.4024477578843,764.1837686993036,716.5513543003576,671.4304045644948,628.7403549779159,588.3948765095812,550.3033283836464,514.379483364205,480.5334301438612,448.6747722952485,418.713582976025,390.5604049288738,364.1262504815057,339.3251499459125,316.07469946836517,294.29286252239376,273.9003664576296,254.82071138552254,236.9801701793429,220.30778847417895,204.73551458917282,190.1992097218297,176.63731897190095,163.99086903079663,152.20359942725162,141.22196252732516,130.99512353440159,121.47496048918934,112.61606426972236,104.37534696436934,96.71286546449032,89.59145148083599,82.97568244119766,76.83187998483564,71.12810996247887,65.8341824363252,60.921651680041364,56.36381617876291,52.13578170891089,48.215335628981286,44.58164350946176,41.21481291114954,38.096044289612365,35.2076309951885,32.5329592729868,30.056508262886574
J,0.9069002671139567,1.0166141766638466,1.187212010307945,1.456316835849348,1.852976059345254,2.402174273818623,3.1271095396526283,4.051772279278989,5.201553574644858,6.604324290614389,8.291755895748267,10.299007108473733,12.665816480691445,15.437521020567605,18.66519886403276,22.40579403376513,26.72370664195875,31.691728702345547,37.39117824909597,43.912756758949946,51.357071571187845,59.837508569169195,69.48061431349029,80.42688741151542,92.830201723563,106.86029486028649,122.70737112776004,140.58218448939314,160.71637875008443,183.3564548556603,208.77269630186092,237.26525963204676,269.16422594271955,304.8222496261838,344.6006250744055,388.8930137350018,438.13028491290635,492.77758354820844,553.2922654855787,620.1315958799946,693.7853994909141,774.7766782469741,863.613046594425,960.7251528522996,1066.5419457205294,1181.5012334390242,1306.0033182262018,1440.263963505922,1584.4269049103934,1738.6003511202446,1902.8020856093758,2076.7416347160793,2259.984872344371,2452.024946930966,2652.1962304298977,2859.423766324785,3072.4918300799236,3290.1281438676233,3510.849750255686,3732.7840005097723,3954.0430744382647,4172.777504383643,4386.933440437952,4594.274050369733,4792.745171240937,4980.470059811829,5155.468061980183,5315.860365749491,5460.10613691255,5586.958732510476,5695.223294815287,5783.975265122036,5852.648491084883,5901.007271830193,5928.972932243596,5936.775525771918,5924.874907385402,5893.93632139442,5844.803474819191,5778.577964853875,5696.457775884726,5599.669989934928,5489.501932228685,5367.438546091475,5234.958609334057,5093.443476419449,4944.199736795116,4788.639112777476,4628.142797545084,4463.944586723934,4297.133084016139,4128.774620761843,3959.9412251316103,3791.56455613243,3624.431458906167,3459.205654872574,3296.565358565734,3137.1106473481414,2981.3285404729,2829.5960290965763,2682.204438959654,2539.4547838977096,2401.578722691,2268.737720770465,2141.025053935625,2018.4705981837822,1901.1077127841452,1788.9405153312625,1681.933417242839,1580.0183395273207,1483.094712783907,1391.0358903715178,1303.7307508807075,1221.0472530730522,1142.8404119978977,1068.9561345132456,999.2312192857553,933.4933567907503,871.574838796443,813.3177404401625,758.5551009500302,707.1222172244604,658.8566891663098,613.5984196828833,571.1896146859282,531.4760468201246,494.31633290084704,459.57038156064044,427.101853704242,396.7795991084746,368.4776564222455,342.07525316654795,317.456805734459,294.5119193911432,273.1363930632169,253.2342743352503,234.71430642332805,217.4891482559514,201.4753750647343,186.59347838440368,172.7678660527996,159.92686221087538,148.0027073026971,136.93186175997275,126.65906150401258,117.13172942828128,108.29910056295938,100.1130517559799,92.52810167302866,85.50141079754438,78.99278143071832
