FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",18833.954458180327,18830.466933971147,18826.5495482746,18822.122283488803,18817.10531931066,18811.415159298846,18804.962376560554,18797.64895675382,18789.367204717106,18779.997912807947,18769.408494007443,18757.452439928795,18743.96700021385,18728.771023624988,18711.66412096616,18692.42553200621,18670.810574920266,18646.54784836265,18619.338885994002,18588.85593905911,18554.740942846558,18516.59871165247,18473.99600607305,18426.460417582155,18373.482872295343,18314.513357956326,18248.952772094402,18176.15278138797,18095.419214415408,18006.028230227766,17907.213966332187,17798.162050503244,17678.009922250225,17545.875536774853,17400.88881264674,17242.16676671414,17068.811638957177,16879.921599457408,16674.693571844782,16452.41760521245,16212.451095191644,15954.220890237482,15677.32434554406,15381.634483279477,15067.203238730512,14734.256771904207,14383.281867862148,14015.15285215957,13630.981476086226,13232.146509837534,12820.392529235154,12397.701232509557,11966.226698640257,11528.376772769585,11086.74342322505,10643.932778220216,10202.569935985717,9765.318904702743,9334.68064265149,8912.948232875537,8502.270705409417,8104.551956872711,7721.360897099105,7353.977070124996,7003.428759526743,6670.424967755001,6355.361029214461,6058.410560026742,5779.526587026658,5518.453041856805,5274.749899373183,5047.862333544044,4837.12609713402,4641.808363270485,4461.116036471381,4294.225804075694,4140.291609518578,3998.486274431979,3868.0048705178892,3748.0519978670336,3637.8502089025164,3536.671989170305,3443.8415005945863,3358.7120362109813,3280.662045920137,3209.121054281897,3143.570673510846,3083.528618771174,3028.5313610975463,2978.156158924926,2932.0214474915433,2889.7822635154494,2851.1071964120797,2815.6914167218933,2783.259627786131,2753.5656731228737,2726.381875553212,2701.4913284720024,2678.6976722694635,2657.8237923384827,2638.7116880528183,2621.2137297808536,2605.1904187598143,2590.5155260631836,2577.074832413108,2564.7661281804067,2553.4963625853115,2543.1756724438565,2533.722989806049,2525.0643978805847,2517.133061996209,2509.86922960172,2503.217708136612,2497.1254941540874,2491.5451687138234,2486.433234897223,2481.750107653816,2477.460113801256,2473.53135298835,2469.932860235532,2466.636528045167,2463.616943778862,2460.850686334427,2458.3163261458703,2455.9944251833995,2453.8675369534244,2451.9195851137647,2450.134837277138,2448.4998022647333,2447.0019924819576,2445.6298480883775,2444.372736997723,2443.220954877888,2442.1657251509228,2441.199187158636,2440.3136109420325,2439.5021010261958,2438.7586074705237,2438.077487277962,2437.45350439501,2436.881829711713,2436.358041061671,2435.8781232220326,2435.4384679134964,2435.0358206952146,2434.666873673728,2434.328778054447,2434.018964013647,2433.735062158559,2433.474903527376,2433.236519589252
13003,"Atkinson County, Georgia",8384.979724532337,8382.081272042291,8378.853298971011,8375.25193200013,8371.230324195176,8366.737438169097,8361.7172551449,8356.107819032952,8349.84073127011,8342.840321898806,8335.0228616639,8326.296180745805,8316.55860798849,8305.697932956937,8293.590966278698,8280.1031825487,8265.087163441509,8248.381130240037,8229.808807957515,8209.179167199716,8186.286688094213,8160.907957470388,8132.801222240704,8101.706491746081,8067.35022267834,8029.443554962269,7987.67825905041,7941.726680284906,7891.246554822683,7835.8964843554395,7775.327687657719,7709.181139524035,7637.087861181719,7558.692210765606,7473.674604694614,7381.7328227097805,7282.581184034101,7175.957299860393,7061.687309909155,6939.675508656478,6809.882245231271,6672.324901641095,6527.1295413889575,6374.579523978969,6215.044936709706,6048.976322873457,5876.941878847096,5699.670008584203,5517.962365799649,5332.699713360602,5144.872498935154,4955.510260122152,4765.649065296688,4576.35975189489,4388.712513397241,4203.711129694091,4022.2976826953136,3845.361623874541,3673.6786349981903,3507.9002978412154,3348.5858006725693,3196.1792217516436,3050.9934167755896,2913.230637451796,2783.0013619417746,2660.318247726641,2545.102558231752,2437.211889736148,2336.445637303956,2242.5576294223224,2155.26306940369,2074.2515158076994,1999.193591409553,1929.757214604785,1865.6086480803772,1806.4108247688118,1751.8299985524504,1701.549513468989,1655.270022142893,1612.6993079751517,1573.5557209032254,1537.5787837599676,1504.5291849105267,1474.1793426796512,1446.3118141020695,1420.7277198660827,1397.2467610204394,1375.701571567578,1355.9318180876655,1337.7912665422045,1321.147659902942,1305.8812166367873,1291.8772117981302,1279.0300837184507,1267.2441434177367,1256.4334393437916,1246.5184141171553,1237.4235548463691,1229.0802575891635,1221.4263511280308,1214.4060558446577,1207.9672949513788,1202.0610472613475,1196.6427677966842,1191.6719591392455,1187.1121714306262,1182.930125255621,1179.0939271692782,1175.5747059954588,1172.3460290872863,1169.3838804079412,1166.666660530661,1164.1744086446529,1161.8881169711617,1159.7907000049731,1157.8664299363502,1156.1009334244934,1154.4811915975408,1152.9954960060381,1151.6325756932372,1150.382220445316,1149.2351535710554,1148.1827992361693,1147.2172824633112,1146.3314291320678,1145.5187659789615,1144.7733239298486,1144.0893387144358,1143.4618309339114,1142.886178108928,1142.3580898656471,1141.873607935737,1141.4291061563758,1141.0212904702487,1140.6471950623122,1140.3039347106594,1139.9889467592345,1139.6999651792946,1139.4348715755116,1139.1916951859714,1138.9686128821738,1138.763949169034,1138.5761761848803,1138.4039137014558,1138.2459137300878,1138.1009421614594,1137.9679207093577,1137.8458689715255,1137.733881366341,1137.6311271328184,1137.5368503306079
13005,"Bacon County, Georgia",11339.972579152856,11337.012618200377,11333.713440059499,11330.028348754571,11325.908099322161,11321.299468736679,11316.144341100658,11310.378591169463,11303.931518466212,11296.724901639369,11288.672068958735,11279.677495073622,11269.635535837295,11258.42918380444,11245.929551705623,11231.99533214042,11216.470751229894,11199.18381575603,11179.946123098412,11158.551921095634,11134.777700992969,11108.377992229409,11079.084806136434,11046.607192262642,11010.633806250778,10970.83023150296,10926.83404893899,10878.254757640527,10824.676651919948,10765.670367756946,10700.784753154,10629.543078388931,10551.443260078722,10465.977216723475,10372.651353265588,10270.97010526937,10160.43484006433,10040.550610380558,9910.891190034423,9771.094052189135,9620.842708366758,9459.867953122422,9288.009067219098,9105.27654753847,8911.788603516878,8707.767378567089,8493.589800952212,8269.85952959523,8037.313325473831,7796.836762893014,7549.519594295602,7296.576042224153,7039.3054062216415,6779.138236878862,6517.593736225119,6256.181090686401,5996.402870052357,5739.766795882475,5487.672892306152,5241.3892596618225,5002.090951475107,4770.805625111184,4548.36632924837,4335.438847655897,4132.544934717517,3940.028248786688,3758.0587750365253,3586.684054727498,3425.8310728040174,3275.3151635794525,3134.853818603354,3004.102795406507,2882.660472486857,2770.0917571152463,2665.9322810140716,2569.7018465278275,2480.909900206688,2399.0792193897873,2323.7475587382987,2254.4585983567586,2190.766956863094,2132.2565002549936,2078.541169743738,2029.251585868156,1984.0327388651708,1942.5588183495875,1904.533715959961,1869.6818387092653,1837.7382062316715,1808.461025489226,1781.6318731852668,1757.0530983205767,1734.5347627521094,1713.9020475709378,1694.996908461424,1677.6778522135978,1661.813916098528,1647.2803304141225,1633.9640312362858,1621.7629194034382,1610.5857864913246,1600.3473823954855,1590.9671604446953,1582.3721605722928,1574.4962935105868,1567.2803407908502,1560.6703435424317,1554.614236157584,1549.0650032622034,1543.9797389765242,1539.3196077939142,1535.0498445808769,1531.1383250605184,1527.5542295340258,1524.2699541660165,1521.2601600657772,1518.5017675165968,1515.9739559757627,1513.6580848125755,1511.5360800462217,1509.5915320647543,1507.8095898506072,1506.1765583545764,1504.679898495826,1503.308227161885,1502.051317208648,1500.8997417761457,1499.844290655626,1498.8770526428864,1497.9907013681393,1497.1784517636945,1496.4340600639634,1495.7518238054583,1495.1265818267905,1494.5537074427593,1494.0286566234988,1493.5473752356872,1493.1063014130605,1492.702111822536,1492.3317216642095,1491.9922846713566,1491.6811931104323,1491.3960777810707,1491.1348080160867,1490.895461095261,1490.6760875196535,1490.4750053247033,1490.290695804224,1490.1217582549891,1489.966909976732,1489.8249862721486
13007,"Baker County, Georgia",3188.814931044361,3147.7833152964604,3103.932667018252,3057.825796801144,3009.8433043546675,2960.258302199568,2909.2747757957995,2857.064803102013,2803.7777208919415,2749.551893002069,2694.5258785709266,2638.8346874471767,2582.6151801858714,2526.005096440912,2469.1412319668607,2412.164405804202,2355.215956907686,2298.429403895198,2241.9306568357115,2185.84673938118,2130.3044978555067,2075.4177220210267,2021.2863710662996,1967.9995877728534,1915.6475978350109,1864.3094404119067,1814.0485338705762,1764.9127148239363,1716.9404677251666,1670.1686736720694,1624.6210098695215,1580.3087388282074,1537.2308597590195,1495.3816894678894,1454.7518071353898,1415.3234596508607,1377.0715121734754,1339.964454917874,1303.9716007932896,1269.060035384195,1235.1939549804733,1202.3349504599414,1170.445877219619,1139.4934015951585,1109.4446230117967,1080.267216380979,1051.9316711260853,1024.4142601185767,997.6932285491966,971.7497927586467,946.5701235073496,922.1432348848747,898.4599763700934,875.5150010932783,853.3059012301413,831.8309136001187,811.0894148384233,791.0825786739055,771.8109278227857,753.2739517649604,735.4711469788883,718.4007068609016,702.058691694829,686.4394633591263,671.5356258339597,657.3375462703337,643.8334881383199,631.0097733951434,618.8505967947563,607.3387369706903,596.4556909224648,586.1810483448095,576.4930850180182,567.3699541966291,558.7896240433242,550.7286870742365,543.1631828234302,536.069904092681,529.4263679914308,523.2095857170772,517.3964744351555,511.9650954354568,506.89465651080457,502.1645950597134,497.75448770531784,493.64511998176766,489.8185231466341,486.25744673052293,482.94481376170677,479.8646177876082,477.0019769142584,474.3429915416477,471.87401207273564,469.58214855106064,467.455445182779,465.48286995443095,463.6539713495224,461.95863430060405,460.3874730600005,458.93180888710134,457.58366569955047,456.3354711863895,455.1799828169977,454.11050115181206,453.12083448516296,452.20529884527434,451.3586126392037,450.5756736304367,449.85177754372756,449.1825643914772,448.564015977237,447.9924558957095,447.4644462134339,446.9766901163652,446.5261726360502,446.11009329840124,445.7258657089338,445.37111755276663,445.0436841554407,444.7414775210757,444.46257503522054,444.2052099524808,443.96773859891806,443.7486403720501,443.5465177408501,443.36009624574723,443.1881914440248,443.02965418645067,442.8834702847952,442.74869404895543,442.6244442441307,442.50990409082164,442.40432126483125,442.30700789726416,442.2173398390104,442.1347074005116,442.05855788397673,441.98839700953033,441.9237618730144,441.86422094598873,441.80937407573043,441.7588524852347,441.7123187732141,441.66946691409896,441.6300183023793,441.5936910604863,441.56023816548935,441.5294348054456,441.50107259499697,441.47495957536984,441.45092021437495
13009,"Baldwin County, Georgia",45558.0,45552.38316761388,45545.84650300711,45538.07430036115,45528.77925662379,45517.680258370725,45504.49035643748,45488.90297712111,45470.58758567497,45449.18246505158,45424.286627616864,45395.45986257876,45362.214881916596,45324.009839018036,45280.24649460118,45230.26833891825,45173.34965736144,45108.68776651281,45035.40216802338,44952.530154402346,44859.025090020084,44753.73805984835,44635.41541496615,44502.69705985085,44354.130123443676,44188.15924705148,44003.10507970682,43797.1639311674,43568.42460695262,43314.93059720418,43034.644745185884,42725.43367597918,42385.06907314693,42011.33168660198,41602.11883215519,41155.3659179396,40669.042926733455,40141.188749529305,39570.23984405336,38954.998781322756,38294.54284254208,37588.2300797625,36835.98631877293,36038.589569173455,35197.336482741375,34314.018251371075,33391.139179705344,32432.1979122809,31441.228385831713,30422.846448816148,29382.450163301703,28325.826796624773,27258.967136977524,26188.2311395633,25120.13646329486,24060.94636909294,23016.683652486896,21993.16848608708,20995.60390367871,20028.495706683487,19095.82578292639,18200.882291191367,17346.12906298584,16533.328002276354,15763.649348736208,15037.607746688784,14355.096892293544,13715.576635574604,13118.102878374786,12561.397304390513,12043.895204060631,11563.848740771318,11119.36303865002,10708.496496889846,10329.270268195443,9979.677460373696,9657.719048051415,9361.489960452724,9089.181775906687,8839.027824844432,8609.323893890607,8398.493035990701,8205.086177176996,8027.726167512066,7865.098345088774,7716.001596546288,7579.348637484894,7454.131669261767,7339.386430957813,7234.234962965225,7137.884819674224,7049.61987609727,6968.754952178472,6894.6607158974275,6826.767823129614,6764.5660849260885,6707.584046472998,6655.374640307087,6607.532480111737,6563.6908973715135,6523.521691246409,6486.7188033138145,6452.994394910322,6422.0873710964015,6393.7607550051425,6367.801687842247,6344.0161458872335,6322.218210030953,6302.239889339445,6283.927577892032,6267.141922524036,6251.757822826784,6237.659793694173,6224.737894862446,6212.893490591395,6202.0358699663675,6192.0822276378085,6182.95766382126,6174.594924674098,6166.929268009084,6159.902148543001,6153.460442534873,6147.555072741863,6142.141008419274,6137.177265320559,6132.626905697308,6128.455897750667,6124.6314002685995,6121.125118473451,6117.910797534703,6114.964078078714,6112.262496188709,6109.785483404784,6107.514366723909,6105.432346545239,6103.523094634275,6101.772155684962,6100.166764467549,6098.694987939573,6097.34572524586,6096.108707718519,6094.97449887695,6093.934494427836,6092.980922265155,6092.106760685732,6091.305110591689,6090.569938173479,6089.895753637834,6089.277487867218,6088.710492419816,6088.190539529547
13011,"Banks County, Georgia",19229.953500626933,19226.20726179627,19221.98585928673,19217.191994885347,19211.72987962821,19205.50009236873,19198.396623893732,19190.30342872774,19181.093049059193,19170.624328263602,19158.74009280188,19145.26650821013,19130.010262106098,19112.75602671542,19093.265476788936,19071.275850803835,19046.495904435484,19018.60274246971,18987.241420282575,18952.022397810448,18912.520687887776,18868.2683073559,18818.753217309993,18763.41827948917,18701.665535652675,18632.852201896432,18556.281593177766,18471.202969068676,18376.817377919913,18272.30117359182,18156.791998853194,18029.381978283753,17889.118207288993,17735.043419177702,17566.239121020077,17381.794589104582,17180.805271555007,16962.386838531787,16725.80974507134,16470.488807860642,16195.947586527152,15901.82096899457,15587.976879450556,15254.638936299363,14902.252210048911,14531.474273886028,14143.270280877176,13739.039744313372,13320.424636905027,12889.331853354295,12448.024221979074,11998.953814612301,11544.682402988981,11087.95476922351,10631.60734175218,10178.385581013219,9730.948558208805,9291.884093838144,8863.520115122827,8447.886975606441,8046.791518519387,7661.73766246668,7293.863865531168,6943.996895637187,6612.700223416146,6300.241476572443,6006.607044340057,5731.5879028323325,5474.792218381361,5235.674664930557,5013.558400047693,4807.684719681936,4617.227748821078,4441.338447588679,4279.149259171055,4129.781306258242,3992.3590509246787,3866.0479914312514,3750.056030917806,3643.6104359379306,3545.9666710954316,3456.436422366345,3374.38791655099,3299.221605020026,3230.3659837003693,3167.2995797128992,3109.5510470444992,3056.6841556336476,3008.2820799632063,2963.965828286538,2923.3938241167557,2886.2578914351025,2852.2634801038657,2821.140417575742,2792.6445951619185,2766.5576015938495,2742.6778513745994,2720.814365556888,2700.7941820852293,2682.4610384080797,2665.6752631553413,2650.3067242833486,2636.233145097957,2623.3437279971954,2611.5380060577654,2600.725843035032,2590.8251642064183,2581.757361941745,2573.4514922716653,2565.842732383174,2558.872323631246,2552.487571538844,2546.639868084424,2541.2829678873595,2536.3754283030325,2531.879156182722,2527.75939963724,2523.98474803693,2520.527021989516,2517.3591041968098,2514.456506692923,2511.7970251072084,2509.3601536110505,2507.127084917874,2505.0807102831395,2503.2056195043456,2501.487622977993,2499.9130416309004,2498.470108512938,2497.147907400424,2495.936311990854,2494.825985902902,2493.8083826764173,2492.8757457724287,2492.02109941863,2491.237670510713,2490.519476607416,2489.861238036686,2489.2580193387203,2488.705229265965,2488.1986207831155,2487.7342910671155,2487.308681507158,2486.918577704684,2486.561077085167,2486.233340555604,2485.932883157399,2485.6574428401887,2485.4049313779014,2485.1734343687626,2484.96121123529
13013,"Barrow County, Georgia",81747.25564212562,81694.13519346225,81635.95064233565,81572.69430689984,81504.19386199671,81430.15842502088,81350.19960472693,81263.85416422642,81170.58544327584,81069.78619156877,80960.78541013584,80842.83761424077,80715.12074685474,80576.73404857144,80426.69217452772,80263.91795129415,80087.2354781372,79895.35763544308,79686.88468973617,79460.29956351437,79213.97039719074,78946.12077469978,78654.82560254115,78338.01033074247,77993.48418569047,77618.92190183091,77211.82649952294,76769.52874012706,76289.21920832091,75768.06111538567,75203.11849380279,74591.32713083882,73929.49656300701,73214.48031598686,72443.34797889544,71613.23300002716,70721.32265461369,69764.91083889357,68741.91084379525,67650.78575006976,66490.38041793795,65259.92964537722,63959.49977905705,62590.420323830534,61154.74785556749,59655.22481480006,58095.62467458696,56481.19752454173,54817.96072792455,53112.78511436771,51373.72888182933,49609.45605548628,47828.95879516681,46041.848085681704,44258.053262119036,42487.19173935588,40738.602582696214,39021.42625914853,37343.94381939509,35713.44738842406,34136.50954942267,32618.692537094437,31164.314798210336,29776.6328056598,28457.996701256463,27209.710115327107,26032.074199883613,24924.676988131923,23886.42354382107,22915.62966005015,22010.09864660988,21167.29002638739,20384.371491790993,19658.380613917554,18986.242431305327,18364.795109139697,17790.846900180808,17261.32575117263,16773.28531799659,16323.820760361888,15910.10512706966,15529.505789166134,15179.587052296141,14858.018447936236,14562.560413447929,14291.157498647908,14041.940283691805,13813.1671530035,13603.162875986223,13410.396606020362,13233.48221880365,13071.16236830099,12922.228926623364,12785.568325155607,12660.171006669027,12545.13003416977,12439.604759695478,12342.794981757914,12253.973643190237,12172.482136863542,12097.729858198307,12029.164605020484,11966.265228326058,11908.558335350603,11855.61383582895,11807.044941995204,11762.498466794155,11721.634772376758,11684.146390063168,11649.752022606264,11618.196305744728,11589.249808203027,11562.700376474899,11538.345240858718,11516.0022207802,11495.503732499588,11476.696753748432,11459.442823729525,11443.617555248384,11429.100824112149,11415.78358249841,11403.56684945584,11392.359186554919,11382.076697887946,11372.643030069037,11363.989372234113,11356.05225332276,11348.770047174368,11342.089573488054,11335.961500997108,11330.340073991827,11325.183112319537,11320.452011384565,11316.111742148269,11312.130807973179,11308.478432193355,11305.12719587987,11302.052903795831,11299.232950738011,11296.64632153685,11294.27359105645,11292.09692419457,11290.100075882656,11288.268391085803,11286.588623054411,11285.047536395943,11283.633617421203,11282.33642226744,11281.146306343417,11280.054424329408,11279.052730177205
13015,"Bartow County, Georgia",107778.74485500672,107714.07788361757,107642.52188899086,107563.48101105115,107476.25788972175,107380.06076905779,107274.00361731989,107157.10525804631,107028.28425757015,106886.35152459332,106730.00460192759,106557.82045880392,106368.24515955537,106159.58188731132,105929.98502165015,105677.45974029096,105399.84547080302,105094.79560483858,104759.77624775226,104392.07568435463,103988.81783493719,103546.91493225245,103063.06174952636,102533.74447711966,101955.34502895713,101324.1155560044,100636.11934203579,99887.23016448566,99073.22698874383,98190.07731501648,97233.7865212167,96200.35407632252,95085.77827357336,93886.44141556139,92599.46922577947,91222.3841664907,89753.08652079242,88189.95204107964,86532.79263956049,84782.62484444807,82941.26145903536,81011.32136102159,78996.90683614601,76904.1909949726,74740.2970532784,72513.18069221242,70232.08739636088,67907.98147926207,65552.33117137481,63177.15312915475,60795.331496424296,58419.71292079233,56062.702389033104,53736.618735449636,51453.28719251937,49223.330716196804,47056.27186829166,44960.68896230407,42943.64949047236,41010.64527030609,39166.00571896846,37412.734607022154,35752.428463188306,34185.517975708564,32711.491905005212,31328.921032633996,30035.546882091174,28828.539172995952,27704.574130551904,26660.008194366026,25690.939626883395,24793.28002008583,23962.849849709422,23195.55952451604,22487.4106944544,21834.413566446932,21232.678470753915,20678.55950149813,20168.6518985913,19699.653420091105,19268.403305063555,18871.993491417543,18507.765420906857,18173.20018091827,17865.89997649202,17583.675461162693,17324.544153719053,17086.668803983423,16868.294102896536,16667.81946644524,16483.796195584036,16314.911617320671,16159.91165084796,16017.64281670313,15887.057894815154,15767.214450660087,15657.240387516998,15556.310181642499,15463.67279067745,15378.64622618714,15300.617128864229,15229.013414057388,15163.29798884486,15102.98194862146,15047.619897222245,14996.809946922505,14950.184807133122,14907.394060621471,14868.120109369085,14832.071647417639,14798.983432978268,14768.616288431544,14740.749214305302,14715.172798443957,14691.698452643648,14670.152293980009,14650.375111376257,14632.222365603193,14615.563736636395,14600.274353674715,14586.241320860965,14573.361837172048,14561.540730280629,14550.69045655513,14540.731101059744,14531.590377554427,14523.201626942546,14515.500979701392,14508.433103892978,14501.946558647362,14495.993535039457,14490.529856089055,14485.514976760822,14480.911983964292,14476.687556722596,14472.80948770962,14469.24928818686,14465.981672366353,14462.982971762513,14460.231135192133,14457.705728774386,14455.387935930821,14453.260557385385,14451.308011164387,14449.516194528338,14447.87142113686,14446.361627993447,14444.97579471273,14443.703733375267,14442.536088527533,14441.464337181935
13017,"Ben Hill County, Georgia",17085.0,17080.342050628846,17074.961778232897,17068.634533218577,17061.1601370512,17052.3480971302,17042.009783640413,17029.949470848293,17015.962028733047,16999.82911940927,16981.31420555402,16960.164330383242,16936.106843447145,16908.845038713105,16878.058169614622,16843.404659915865,16804.51692800019,16760.997505323565,16712.41903773196,16658.329036486397,16598.251657588076,16531.678558953783,16458.068069415614,16376.847553427953,16287.43338465123,16189.224339016604,16081.591772435133,15963.879542742554,15835.420628206828,15695.583745517957,15543.746332155095,15379.287874209236,15201.590673990326,15010.101531073477,14804.38745476415,14584.079309269006,14348.868875281256,14098.524060843765,13833.038791042754,13552.595706353337,13257.501242328848,12948.187100259574,12625.315876800754,12289.873252237776,11942.99205613758,11585.933564002482,11220.160061209914,10847.404040436659,10469.477252277231,10088.278441117018,9705.846407976276,9324.217407131446,8945.361068246599,8571.239210095897,8203.742159536638,7844.574158401741,7495.270023868225,7157.221839910733,6831.584260174036,6519.2629601957915,6220.9825085157345,5937.257364778945,5668.37492684139,5414.435218779989,5175.388076606301,4951.031935900585,4741.0273426501935,4544.941805869971,4362.260991917233,4192.4138525356475,4034.783287873071,3888.7216594062556,3753.5638921801956,3628.6556110547713,3513.353908429931,3407.017542290469,3309.019816447786,3218.7716556961027,3135.721450813262,3059.3340945833233,2989.0967733925213,2924.53706125576,2865.2225766099386,2810.743430995678,2760.7090739017126,2714.762780925865,2672.5815091752447,2633.865778417883,2598.3291281313727,2565.710360718685,2535.773196461376,2508.3036268293354,2483.0968884276735,2459.9645907985637,2438.735842901179,2419.257011781049,2401.385885669072,2384.9875964530565,2369.9395292718727,2356.130461600127,2343.460491347663,2331.8363595144856,2321.1703446829893,2311.382668658188,2302.4007333989,2294.159121017752,2286.5980664310905,2279.6603747954186,2273.294237481886,2267.452183113968,2262.091039108547,2257.171931675912,2252.658929754253,2248.5178716361806,2244.718024244111,2241.2310772910855,2238.0311376160334,2235.094729183778,2232.400715824571,2229.928781065059,2227.660528973887,2225.579230781027,2223.669412740965,2221.9168561326996,2220.3085972597437,2218.8329274501207,2217.479048359646,2216.2365576738453,2215.0964582103625,2214.050393455028,2213.0906037444897,2212.2099262662223,2211.4017950585194,2210.660241010499,2209.9798850476973,2209.3555042857747,2208.7824629504717,2208.2566563130554,2207.7742458603484,2207.33165929473,2206.925590534133,2206.5529997120466,2206.211113177516,2205.8974234951406,2205.609662661946,2205.34559608336,2205.103267501664,2204.880896440296,2204.676837986418,2204.4895827909136,2204.317757068388
13019,"Berrien County, Georgia",19609.952581762565,19604.87905065785,19599.118284254197,19592.503632688644,19584.87762821147,19576.082174327807,19565.953202728007,19554.31449344977,19540.975711776628,19525.729122708126,19508.345830485436,19488.57595462683,19466.145163273286,19440.750960794438,19412.061930453736,19379.718119427573,19343.32603590814,19302.454606552994,19256.634918302057,19205.361082774263,19148.09111598577,19084.237712169986,19013.167147710614,18934.200250830298,18846.627519181297,18749.70422368548,18642.640063140396,18524.59904000301,18394.71447241784,18252.13445456698,18095.99887052423,17925.432568846383,17739.546209024058,17537.50311227803,17318.583246666,17082.130114381594,16827.548673263493,16554.323664032847,16262.198074995182,15951.140227393078,15621.278022333585,15272.901260662667,14906.594514986067,14523.358787765386,14124.409298227749,13711.155283207707,13285.291080825446,12848.888493228156,12404.16210092862,11953.477570065788,11499.417742445288,11044.596922564573,10591.577126518447,10142.935794259794,9701.177503009223,9268.58041687601,8847.212932981642,8438.961460012175,8045.402750635582,7667.786766315573,7307.121808134705,6964.135717339408,6639.253298963854,6332.6484435416605,6044.293575254095,5773.959528011431,5521.233677741342,5285.580190353798,5066.35593302583,4862.843904782779,4674.2673406896465,4499.81138822457,4338.640171567835,4189.932754593295,4052.8841478922186,3926.693542883365,3810.580574915189,3703.813687781383,3605.709892657361,3515.6085950067345,3432.8787492969877,3356.940537331507,3287.2648322803957,3223.3514863469477,3164.725394934998,3110.953608379437,3061.6450219740072,3016.438008656585,2974.987603688619,2936.9799185338843,2902.1315459983953,2870.186361015686,2840.899872846298,2814.0476103606525,2789.426235118857,2766.8532438292523,2746.1600142789,2727.186980682735,2709.789267345587,2693.835598918309,2679.208215062478,2665.79736110218,2653.500007992448,2642.2225478254013,2631.8798617114808,2622.395319779449,2613.698996588766,2605.724103801375,2598.410216671948,2591.7019948212433,2585.5491368387034,2579.906380282449,2574.7319328663402,2569.9861437678896,2565.63337547837,2561.640808168278,2557.9784330752695,2554.61905250415,2551.538190867567,2548.712360104528,2546.1203373107737,2543.7428286733502,2541.5619890767034,2539.5614221026826,2537.726180030536,2536.0427638369133,2534.498732484998,2533.0821372721357,2531.7826537370843,2530.590691663245,2529.497344877386,2528.4943912496497,2527.5742926935436,2526.7301951659488,2525.9559210051048,2525.245487496623,2524.5936008991353,2523.995572463246,2523.4470164697877,2522.943850229818,2522.4822940846184,2522.0588714057003,2521.670408594797,2521.3140350838707,2520.987155106001,2520.6872306771384,2520.412034579573,2520.159536970854,2519.927862694219,2519.7152912786005,2519.5202569386247
