Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,388.97141065125163,432.10589144003086,480.2456646967646,534.161752380645,594.5843822487844,662.2623428469409,737.9900294060221,822.6414458387989,917.1752172663452,1022.6486638899406,1140.2422808447009,1271.2448510322702,1417.0683697368252,1579.2870426662614,1759.6448328957329,1959.9843436815167,2182.303923112217,2428.839741736661,2702.069843128041,3004.5987405838123,3339.045624059694,3708.3376742085793,4115.74305718854,4564.851202070879,5058.945575083445,5601.258216278412,6195.500214670703,6845.868769794989,7556.706450308513,8330.90391664228,9171.252574632337,10081.126845261962,11064.476895492415,12124.129681249608,13259.644600030897,14470.660355615579,15757.4269803975,17120.370439644223,18554.692951815767,20052.17430827134,21605.258313648163,23207.110926435776,24847.142185650988,26506.668404509932,28167.636256661583,29813.771649820046,31426.41275277421,32979.86820640305,34450.825053985136,35817.13601893329,37053.04743361662,38135.44049172307,39046.88627774273,39769.79981751119,40287.903403497934,40592.41405314472,40679.736978645655,40546.88230243053,40197.712327249035,39643.59792318652,38896.49843546093,37971.2114154528,36888.01248081578,35669.22104081256,34335.70803345924,32910.086745934525,31416.35678231201,29875.939800218788,28308.64140052596,26733.16540374061,25166.450805016568,23622.736115565458,22114.619343999675,20652.040907838043,19242.28884376317,17891.593629428076,16605.24252934191,15385.971745509027,14234.027688694843,13149.800080793691,12133.812342084679,11184.805668440385,10299.772576679774,9476.074613196157,8712.036934870928,8004.945030597822,7350.997750514663,6746.479578729866,6189.113497895989,5676.161968420684,5204.29804678784,4769.894997869774,4370.606878783596,4004.2611509650005,3668.364962746253,3360.1220050231987,3077.0843969041703,2817.6762737301597,2580.2054579969354,2362.828849632004,2163.558774960162,1980.7817844691344,1813.4324714864028,1660.372431850609,1520.3902942171972,1392.20172005841,1274.6052580605274,1166.8940555060497,1068.3753454320945,978.3197101456096,895.963659316672,820.5096299784921,751.2621546442176,687.832495629282,629.8161153816093,576.7924256178096,528.3251724842154,483.9624365568818,443.2428342001573,405.8671023211579,371.6377425682796,340.3356482496845,311.7344382307288,285.6004569339616,261.6927743391267,239.7631859831601,219.59008596305847,201.0812706195253,184.1356582921181,168.6455716400995,154.4993973897395,141.58158633431623,129.77265333411518,118.94917731643001,108.98439520487716,99.80521253038867,91.38311839003362,83.67579654225023,76.63756419752184,70.21937201837687,64.36880411938878,59.03007806717607,54.14404488040231,49.64818902977636,45.48466825237629,41.662021132342076,38.16417589634554,34.96465805102078,32.03775688723785,29.358525480102763,26.902780688957588
B,30.507561619706014,64.89641267545352,98.20657435366466,132.79999541679297,170.36675186945246,212.22898126920194,259.48731886829484,313.185848008064,374.34113816082777,443.99766532442305,523.3050127858158,613.4773575755759,715.8386411934478,831.8753836210835,963.233918883402,1111.672049754465,1279.126297031443,1467.7613326897301,1679.9733927298237,1918.3345947286477,2185.532483646035,2484.5571246904697,2818.7229118947043,3191.6682095859355,3606.958264237183,4068.2307541441833,4579.567275751301,5145.498704936771,5770.786985760393,6459.235132325553,7214.627189715011,8041.257997316059,8943.929189976345,9926.635004045029,10990.716064623195,12137.504623176164,13368.774159041546,14686.37996914246,16087.600812596596,17566.459689771174,19117.270454463825,20734.696403523638,22409.712128542713,24125.41851254359,25864.940968923795,27612.518321551957,29349.574937463603,31050.2519661927,32690.267057113335,34245.828626488365,35688.93411901284,36993.597456159296,38138.927641013426,39103.42916844109,39866.562812928045,40415.19138957814,40741.376770427436,40837.782261307664,40704.40396728725,40349.38336402005,39781.8401419265,39014.33513166618,38065.9092159615,36958.38849279725,35712.448714996295,34351.322187270496,32900.4771118905,31382.89742397557,29820.082467300053,28232.903231601522,26640.789881539033,25060.059900387518,23505.322722897134,21988.605976043236,20519.280229241092,19105.17567723243,17753.01298061092,16466.81541533342,15247.939392322052,14097.640738429904,13017.178620539114,12005.853373372733,11061.023714972936,10180.32016120584,9362.323296380742,8604.441869101915,7902.853306210473,7253.768155356511,6654.918727267341,6103.505720501631,5596.050421873791,5128.713051754483,4699.042153434508,4304.763909587008,3943.2310625931887,3611.441166638705,3306.7644259980057,3027.536052682743,2771.9520999705214,2538.028928244498,2323.6103442809563,2126.9527260916466,1946.9249525382727,1782.307751407066,1631.7930749215752,1493.984099742661,1367.572221975352,1251.8058445340146,1145.9457347559646,1049.2071157461646,960.7625888056315,879.7421334314397,805.388686948656,737.2921848539477,675.0219607337576,618.1267141705171,566.1349510725511,518.554983674081,474.8820563193584,434.7951625593119,398.0876628710189,364.5267205713994,333.86991918107276,305.8652624243568,280.2511742292696,256.75649872752695,235.13949348188746,215.30567200006175,197.14902496890022,180.5553630738211,165.40539485236513,151.57472669419656,138.933862841102,127.34820538699152,116.67874001872401,106.84756057831709,97.82690616812434,89.57268772224488,82.0367324810131,75.16678399099887,68.90650210500716,63.19546298207852,57.9691590874886,53.15899919274876,48.7014672569311,44.60841548998136,40.86346689794117,37.43826589899235,34.3052029483939,31.437414538482113,28.808783198670632
C,915.2268485911804,1002.3902155158058,1101.2273418476484,1212.0175562442985,1335.3917604447918,1472.2406468535992,1623.6720465525605,1790.9711739802271,1975.5945674641991,2179.163146406375,2403.466658958969,2650.4525800124425,2922.222738832261,3221.091062159832,3549.5990585209743,3910.359261854276,4306.13814272356,4740.015399973461,5215.388850573618,5735.703786325693,6304.216571518347,6924.5544638789315,7600.775984597322,8337.306513704458,9137.686747002712,10005.085461391453,10943.269968301138,11956.618223048352,13049.43574589003,14223.09312730498,15478.547997526339,16817.509497701583,18242.42202128529,19753.521810990613,21345.539764268095,23013.36522993066,24752.88106139932,26560.264528814838,28423.800833781297,30327.238394373147,32255.982183878914,34197.163774918576,36133.35431298579,38037.21725957112,39883.82867369328,41652.18167782017,43319.77804549591,44856.884705579556,46238.79852312409,47444.10592496661,48448.95890655588,49234.20495110802,49788.811269844744,50102.63829303668,50167.775514279754,49984.941721126015,49560.53273346473,48901.36719332543,48020.677337848654,46938.4855998618,45674.40424016748,44249.78385439328,42689.82702777968,41020.39474992841,39265.189951094086,37448.214329006776,35593.31314392609,33721.46293234538,31851.7374489541,30001.117680263025,28184.06540998565,26413.029738998048,24698.8372683354,23049.1989904128,21468.875424572856,19962.445716216047,18533.757458256863,17183.99553798232,15911.809487983239,14716.465270882485,13597.61289420822,12553.12285668564,11579.150298719635,10672.421250631422,9830.785177399586,9051.07240879935,8329.055794282121,7660.665398439573,7043.356430710142,6474.136751837214,5949.440463956749,5465.422428962302,5019.557388819375,4609.5050038631725,4232.610796497995,3885.9234292443466,3566.8523372336444,3273.693528061094,3004.629997683786,2757.696676918843,2530.7868276331296,2322.1759644585486,2130.6985407919788,1955.1183185925463,1794.1276869826806,1646.3476622481066,1510.4860898070435,1385.7579568499561,1271.3963403735515,1166.598704838962,1070.5294974404305,982.3201481053113,901.2087316138878,826.752429342878,758.495072427028,695.9650614965899,638.6757579675224,586.1254840414915,537.803940566523,493.37127144258085,452.5972606950543,415.2303131843639,381.0118050067294,349.67608349416753,320.9504672144947,294.55524597132376,270.2395499158917,247.89174998479598,227.39268594691637,208.61642430274483,191.43303421887458,175.708587528001,161.3051587289209,148.08082498653306,135.89030391039813,124.64694665090425,114.3144348515631,104.84197716447758,96.17505862011296,88.25544062729725,81.02116097322084,74.4065338234367,68.34214972186031,62.75487559076991,57.57699185805967,52.81635151699684,48.45295620785232,44.45502140642679,40.7916605690106,37.432885132384,34.34960451381696
D,4210.04350351943,4681.985413176769,5203.206552602462,5779.263423998156,6416.215692182912,7120.6708529690195,7899.828495894465,8761.554967449094,9714.420708192296,10767.768317894865,11931.842906775631,13217.717980382833,14637.358775491562,16203.934957243939,17931.89262920672,19836.273063847446,21933.146112326594,24240.344846667384,26777.495757891265,29564.850250888918,32622.177393632803,35971.401326062805,39636.893786443456,43645.22676689958,48019.25119559592,52780.445607362024,57953.67432310579,63567.24893670327,69649.69178242472,76215.45297037857,83277.22498184483,90851.87754599024,98960.38351746008,107612.93471924055,116791.37725978415,126478.18782308392,136660.89112051722,147328.41301698444,158427.3084207279,169878.3277516803,181609.6020658849,193557.062189436,205629.69068033207,217678.14240824195,229562.69191611386,241161.82207871357,252341.17352175238,262919.7499319809,272739.9860536323,281658.12115595513,289509.9291923885,296154.05090041185,301493.0477344262,305430.79690408154,307881.63454823295,308811.5691311182,308221.29026664596,306114.30204112426,302537.4417334242,297584.4812541592,291350.3425475384,283945.9309370799,275514.16110426874,266208.34923485044,256171.53566345226,245555.39669026763,234517.6688877827,223199.6634588409,211732.45064535463,200238.09871006757,188825.8813335089,177589.88288434327,166613.88285729053,155963.02560257824,145684.23724870247,135819.84495746408,126406.43069910226,117462.87080323717,108990.89359491521,100994.20584234399,93477.84887305263,86434.31687268605,79843.83034951518,73689.32983296864,67960.5475022508,62639.715409968616,57701.22898998407,53119.950410522695,48880.807537276516,44965.27920276273,41350.46017587676,38011.12987305089,34931.086890532264,32095.24826052277,29486.0823224565,27083.72797303137,24870.721761320518,22835.847894758925,20966.962105272472,19250.72648245668,17672.65601359527,16220.944056628206,14887.788933468539,13664.8045968309,12543.01162928229,11512.837243242058,10565.283414367712,9695.040912673578,8896.892813274782,8165.31822617172,7494.5114320588,6878.381882324479,6311.595463177616,5791.160350949128,5313.9591942911175,4876.737085039732,4476.1044797068125,4108.537199479883,3770.4247090846434,3459.413755065636,3173.9509508562433,2912.309260766867,2672.697416809778,2453.2599186991097,2252.0770338508682,2067.1647973829145,1896.7457032903976,1740.077442083104,1596.3491263694966,1464.693496848282,1344.2080157612975,1233.954866893519,1132.9609555730547,1040.2179086711506,954.6869091079246,875.7660733376882,803.2235491307943,736.7143996239338,675.8637309614434,620.2666922953068,569.4884757851527,523.0643165982559,480.4994929095372,441.2693259015651,404.8874644445258,371.4301547141043,340.7638187047615,312.6657166836057,286.9187764706489,263.3115934388071,241.6384305139009
E,564.3898899645612,624.6066250417657,691.6036058333169,765.93547322617,848.304044284569,939.5384154789292,1040.587185334856,1152.5138807558335,1276.4994766072602,1413.848701300026,1566.0010240450524,1734.5291894704815,1921.149308092756,2127.7581201919775,2356.445587418419,2609.4253805076905,2889.0905984673154,3198.1058551920987,3539.4122150353146,3916.104477887041,4331.305087141553,4788.487944696971,5291.515376544416,5844.617569151281,6451.693997808161,7116.5908623946425,7843.693786836692,8637.935764955193,9504.416475691753,10446.59773655395,11467.816561435247,12572.055971304711,13763.936957231035,15046.794685122122,16420.225861332845,17883.88264994399,19438.0794214025,21083.29811706994,22814.02427922701,24620.77733442286,26494.78500427006,28428.051265786242,30408.23107825652,32413.625074607437,34423.18909596429,36417.861432402264,38375.7636915059,40266.83817752696,42063.672698217466,43740.10811110952,45265.6884097168,46612.88534479123,47760.646239806425,48687.596796269485,49373.73854199132,49807.68564468086,49983.99935251695,49897.855296710986,49552.43212962123,48959.717003219026,48132.44638379488,47086.81143578097,45845.643269241045,44434.394222978,42877.02474680835,41199.8471438127,39431.12805193875,37596.31860565669,35719.17325930552,33822.41068740853,31926.896358118494,30050.356505614513,28208.664888715506,26414.64738612351,24678.060486295228,23007.321838900858,21409.710221622303,19889.421847133992,18447.62985573104,17085.588868861534,15804.656199822584,14603.95560118171,13480.406836094713,12431.303354650925,11455.066662865356,10548.770437533787,9708.074053050916,8928.681801676206,8208.052101381301,7543.020952063383,6929.631616182673,6363.501923701228,5841.843230239694,5362.061775938332,4921.121186601049,4515.56350323562,4142.3530382198005,3799.5660407959576,3485.109925748132,3196.6754841240563,2931.7452026104957,2688.2767945892547,2464.940172732566,2260.2983035291863,2072.8057969652336,1900.8089065241834,1742.754029139258,1597.7424744940538,1464.8892762804253,1343.2535149696312,1231.8417434593696,1129.6079870737794,1035.6390269784572,949.4352823149112,870.4727008950651,798.2016140845503,732.0472586606697,671.409776812399,615.6727868397172,564.4410667089509,517.458489624777,474.4371932647306,435.0772866011017,399.06684990093424,366.0819347260288,335.786563932939,307.8803974491358,282.2437705503353,258.7436145571244,237.23662002552896,217.57297544490217,199.59636723792514,183.14397976060616,168.04649530228147,154.12894188217257,141.2921942081818,129.50040744395815,118.6975914919145,108.82246709471072,99.80846583525391,91.58373013669818,84.07111326244478,77.18817931614207,70.84720324168573,64.96687167228961,59.56210486449814,54.611730154485066,50.07921980399455,45.92894468241204,42.12617426676417,38.63707664171889
F,373.71762984139866,465.75742021208447,559.4833929879236,658.8967960046641,767.0164777174073,886.3261637768528,1018.9947520559748,1167.1258844343909,1332.8054490934242,1518.1883535061625,1725.62365912305,1957.5855633690533,2216.741105648037,2506.053147944644,2828.778366678378,3188.332011500792,3588.4171252219276,4033.1506451193213,4527.069038683143,5074.937919931069,5681.576198020678,6352.320452287909,7093.076485864445,7910.289429063834,8809.900372338818,9797.737289185457,10880.390880035442,12065.226384290574,13359.807252391558,14769.134720033671,16297.912797657458,17951.717023825917,19736.982136520022,21658.04674603074,23713.371935840703,25901.354721394917,28221.259082015265,30672.457797759052,33245.00823834002,35922.83377995668,38690.90652527423,41535.351992439,44435.721851424074,47357.60597674453,50267.899073499604,53136.81449900802,55930.77405400768,58604.625437167204,61117.883034450824,63432.67845611316,65505.72361429017,67298.89409508239,68784.38825354705,69934.74468083333,70725.21044568291,71143.96705120761,71188.12154448873,70855.90863729866,70156.83917583505,69112.67250258711,67745.88298637063,66083.30202180968,64160.26354424377,62015.0252283849,59683.251241255166,57203.00030002995,54614.10188728222,51952.08688562017,49249.76905561059,46537.82919183534,43843.806964720934,41191.08237948893,38600.360878641535,36087.80743092105,33665.110041972584,31342.52882071062,29128.83442332525,27028.507736867938,25041.86260036782,23169.593571820053,21412.682583983573,19769.106194967484,18233.89863208548,16802.74518061816,15472.970777242872,14240.128469737527,13097.919728903416,12040.180344936753,11063.173393372492,10162.362500015772,9332.190483550165,8566.571755487113,7861.585452299029,7213.592609790021,6618.390627855012,6071.2417593122755,5567.9902292765,5105.966417690815,4682.291029520258,4293.813691637574,3937.123895001421,3609.4482305431256,3308.956907823368,3033.687914598011,2781.5457536892573,2550.3014429856507,2337.864533227978,2143.0054594197054,1964.517394946707,1801.1254831886458,1651.4913116027715,1514.2129117239315,1388.0651630279415,1272.3638540976433,1166.3960498343063,1069.4183060515434,980.657346320274,899.3100619687265,824.55457589822,755.8573678167501,692.8672217426001,635.1934825802232,582.4313532566508,534.1618947214895,489.95202594692563,449.3545239277197,411.96938460625705,377.630946221695,346.15760229831545,317.35521592076503,291.0219182714575,266.94810863057467,244.916454376066,224.70189098364867,206.0727098992254,188.8953841847813,173.11880300089018,158.66640505142257,145.4550790545201,133.3951637425963,122.39044786233593,112.3381701746954,103.12901945490248,94.64713449245681,86.7851924733845,79.56023938399338,72.94298982131504,66.88449798431651,61.33711282626829,56.25447805474426,51.591532131621854
G,38.134452024632516,61.47773774330792,84.48825728355142,108.71446559380666,135.27827697151324,165.0756358500144,198.87232236740567,237.4123840683278,281.4370064426474,331.72190180807416,389.1287040654355,454.5800072515185,529.0922950824904,613.8126777501202,710.018819538134,819.0928935136952,942.5721423321855,1082.1849757546436,1239.8539578138968,1417.6717468298411,1617.873788299089,1842.9675408636422,2095.7477982927444,2379.303373622288,2696.796556593338,3051.56696188049,3447.374866152494,3888.4048557682363,4379.152540158437,4923.716541136587,5526.388098999734,6191.998890724128,6925.919784191619,7733.2661416642795,8617.685956833755,9583.05307972674,10633.771665401771,11774.544742270538,13007.205027130829,14331.412894932158,15747.076826894983,17254.3992130928,18850.86788858599,20527.734173918907,22275.675345272633,24085.623921197177,25945.464803639275,27835.882080854,29737.276811939228,31628.768199418508,33483.543004652594,35274.24409784755,36975.776843532316,38559.880798643055,39996.55824312229,41260.83045889678,42330.88691508387,43183.6311014929,43802.87975867198,44180.74912877281,44310.45422877298,44189.818712366636,43825.94396560797,43231.13799328475,42417.9845499074,41405.213914172775,40217.72371225593,38879.301397336196,37413.733637813086,35847.27991518868,34207.26390648745,32516.940465505682,30798.30788844412,29072.083112344408,27357.183175724313,25668.9349643674,24021.086428913502,22424.465963082497,20886.8199230013,19414.504306498417,18013.204219835257,16685.91530549679,15432.845977618705,14253.850855218196,13149.517518308186,12118.587586350206,11157.816127562099,10263.630083734826,9434.269301469432,8667.035677675236,7958.035819373623,7302.641460842318,6698.098324995883,6141.814581654689,5630.506457997251,5160.222809454959,4727.479801339922,4330.234271655262,3966.160320646646,3632.5745832683447,3326.4477642442366,3045.3600292895276,2787.851724246239,2552.281024767322,2336.8194539876945,2139.451882524236,1958.2745018289106,1792.2906865444547,1640.502039484996,1501.8104490883456,1375.022987976254,1258.8519129544109,1152.1830455191475,1054.4801593110324,965.1570211982269,883.579485816683,809.0662579506773,740.88889253281,678.284342134483,620.7993268335613,568.1676998329908,520.0702355637286,476.16479690583304,436.0863351884631,399.44689018988055,365.8355901374459,334.88765552445267,306.49028486619187,280.503753509391,256.7710826356861,235.123570410234,215.380791981713,197.35059948232194,180.82912202778152,165.60198781802367,151.55976284787315,138.67632479444438,126.8946476047991,116.1494863094447,106.36737702233411,97.46663694086567,89.35736434588344,81.94143860167684,75.11252015598113,68.7718829429129,62.94989384074566,57.62718998605635,52.76309589766357,48.31763982300352,44.251553738130184,40.526273347715176
H,68.64201364433853,101.14062520306611,133.099698557793,166.33690557873084,202.1638296986006,241.60625337100993,285.5120626517162,334.67320188510996,389.84777756614955,451.80066864742963,521.3628960126252,599.39679910213,686.8269742373323,784.6850680312369,894.1058370493798,1016.2715272095444,1152.4672227017395,1304.1263274811763,1472.832025873096,1660.2458360742498,1868.0524336805083,2098.123637664686,2352.5358514323416,2633.5586580195377,2943.298964921937,3283.841859066885,3657.5489195367873,4067.062188332337,4515.108805112261,5003.568757296911,5534.245358198661,6109.261045870895,6731.053332187594,7401.374510467019,8119.998371110021,8886.693640390444,9701.54217737364,10564.68079929558,11473.060951888025,12421.504128827874,13405.172930657856,14419.608293950732,15458.036229924252,16508.728181918184,17560.309339886,18602.468534227333,19623.434625590187,20607.173488065404,21539.121271304768,22405.463714216075,23190.215720059965,23879.048698208037,24461.168151563583,24925.715923869917,25262.650386633763,25466.551853432393,25535.195819368633,25466.698138269974,25263.38269103438,24932.192669104894,24480.395584198803,23916.987738796426,23254.36436555376,22506.19040668004,21685.217810372145,20805.32741783271,19881.323817935314,18926.42854380632,17952.886051928053,16972.342866830797,15995.424446427398,15031.06132593374,14087.191167150442,13170.165189762778,12284.736892890474,11434.951806399726,10624.272413737794,9854.59115128403,9126.261045032443,8439.688690873378,7795.35188982281,7192.606432403647,6629.7013897537345,6105.096177257708,5617.845797353885,5166.336422764057,4748.25155350999,4361.314215280973,4004.154430351444,3675.098872703104,3372.084264356815,3092.8433479187615,2835.925655668825,2599.9871023682485,2383.467309594875,2184.6002663579484,2001.8392079201078,1834.201819735356,1680.6246648667407,1539.9393857203531,1410.8768771491054,1292.4094238691787,1183.8676241421845,1084.5303569550967,993.624339472247,910.3241270353252,833.8558940284702,763.7725348856937,699.6342431903985,640.9743738982216,587.3011550212727,538.0976876281364,492.913517962462,451.50267634878037,413.6072022983983,378.95695231723266,347.26985870327246,318.2519295465791,291.6014581052994,267.12547759110663,244.6990131298594,224.18165189845388,205.4273001552495,188.28418324006748,172.59484557419268,158.19615066037122,144.94246711290234,132.776006170055,121.63237260937034,111.44227895006051,102.13336879985606,93.63021685500597,85.85432890027765,78.72414180895703,72.15543312788384,66.10063238844265,60.54260994632555,55.454513149554394,50.806977704523874,46.56812767600156,42.70357548712786,39.17642191941602,35.94725611275221,32.97415556539549,30.218285187132718,27.686876106920145,25.36989693373947,23.249974987855826,21.310174004232167,19.533994132529223,17.905371937105567
I,244.0604929576481,301.85281288588584,360.73615186145855,423.07948552459345,490.65772952384,564.912470565431,647.081010464909,738.3437751813335,839.8512529549855,952.7733523076114,1078.3766238836429,1217.973962662129,1372.9606217330634,1544.8849998870492,1735.4446428143783,1946.372691235928,2179.526944667811,2436.9819360025253,2721.0306639689175,3034.024806143213,3378.2612697833147,3756.304813509669,4171.021126447616,4625.542944710629,5122.581838249245,5664.726027690351,6254.987918115559,6896.810962429894,7593.697410923525,8347.59941251772,9160.336074982033,10034.262986519476,10972.263940621218,11976.075149058992,13044.303604613611,14175.698829689123,15369.652705336266,16625.787522577404,17938.963143283057,19301.096006172953,20704.939887561617,22144.135329647484,23609.163074980468,25083.549240537322,26551.71293838229,27999.975435250002,29412.837285455193,30768.8160585975,32048.740268864338,33234.60014824242,34305.27573404364,35241.875673611,36030.36073268911,36656.3210518204,37106.17534983417,37372.525524910074,37452.129566021555,37341.92370211658,37044.51427780434,36568.77246809188,35923.93248692619,35121.645839024095,34178.35755789264,33112.387696387486,31940.961940487592,30683.066299275975,29359.16751369689,27987.72050754671,26585.992454470528,25170.55918934282,23756.69853197442,22357.407938055025,20984.35548591305,19647.001765913523,18352.57677310793,17107.31097930834,15916.601871965446,14783.575023456495,13709.124405129236,12694.190789576907,11739.787233028548,10845.267563429152,10008.345780923932,9227.006407481711,8500.06955405421,7825.350426546112,7199.608532770298,6619.634233820169,6083.524233751477,5588.910996877622,5132.834949031943,4712.018619969091,4324.374103520674,3967.9595799875433,3640.5031606016846,3339.4185718549447,3062.43548731984,2808.11450709546,2574.8907288165615,2361.038159074592,2164.6759285658904,1984.2785931272467,1818.8525162453866,1667.3246799618391,1528.5417931286372,1401.27029140831,1284.3518120647634,1177.1163325374284,1078.9041191343676,989.0141595590421,906.7067215144189,831.2033527029696,761.8247285325532,698.1991338458718,639.9366590838681,586.6286266078665,537.8479795685994,493.1492819062057,452.07507996571013,414.33211340079276,379.73010007319726,348.0553258339473,319.08533357978234,292.58892325315645,268.32615184224,246.04833338091743,225.53326084328663,206.69220437409038,189.42647674429688,173.6299229749204,159.19168701363404,145.99621173477024,133.92323893932,122.8478093549337,112.64088693235357,103.22931283421269,94.58641743555611,86.67072615987188,79.43693248595366,72.83589794790096,66.81465213511893,61.316392692318495,56.28048531951629,51.64246377203483,47.3425930882045,43.39160103505388,39.77382380054935,36.46238206082778,33.431076426353094,30.654387441916285,28.10747558663545
J,30.507561619706014,66.77680961426832,101.89766829227318,138.38468368748954,178.04010990939506,222.27912608562428,272.28609275572404,329.1913165293742,394.1021196507687,468.1632986945172,552.6411017210868,648.8809061316011,758.359323661219,882.7436856501996,1023.889985941733,1183.799159339202,1364.6977974096606,1569.0923234216987,1799.7729187169018,2059.7750260513944,2352.346419324513,2681.1364609976795,3050.2178454030973,3464.0955792736277,3927.4026418189787,4445.057974589457,5022.609130171748,5666.237362189975,6382.605279250766,7177.898893859342,8058.654776935753,9032.24265685717,10106.86407221128,11290.483872831945,12589.19474693848,14009.547570736742,15558.97253020767,17245.46847692787,19073.298048452165,21043.928722893186,23159.36136176662,25422.195664478906,27831.489339166994,30377.802223181276,33050.978334531435,35841.30283549042,38734.80215081172,41707.187471141,44733.45076977154,47786.361322591954,50829.3997784433,53824.28153750281,56734.981835375955,59519.35683013793,62130.84126391129,64528.56772728994,66674.49386696647,68526.18629442465,70049.97023669019,71223.3092785739,72023.56270179889,72434.1576907543,72453.03720978317,72086.425629699,71340.93250558375,70234.79742360108,68798.44356978413,67061.87117462458,65056.72576123686,62822.06636257124,60401.839910536924,57833.783609065926,55155.05957127081,52403.60256396527,49616.809288922836,46824.90198127963,44055.76099328343,41333.57356705044,38678.315422254724,36106.30838925922,33632.102171972176,31265.740063044,29012.42132489857,26875.852953579895,24860.34297594384,22966.67795219236,21191.77461260547,19531.463016153728,17984.411677491094,16547.340166499627,15214.4558099006,13978.303491773702,12834.730196881617,11779.769011098875,10807.933191953927,9912.257623853473,9086.54702083334,8327.397331370286,7630.755305254164,6991.74319473715,6404.6823052136215,5865.067988592284,5370.342020739253,4917.5195671069,4503.169956904536,4123.416683098394,3774.5704494486185,3454.8372333574825,3162.394453349088,2895.1751795729792,2650.8784406899435,2426.969223872017,2221.261824107367,2032.80437438313,1860.519426226265,1703.2081720895062,1559.5520995282395,1428.112991200506,1307.360680523014,1196.4334138633976,1094.8677360523893,1002.0735225592923,917.401429520607,840.1428937400275,769.5301326884478,704.736144503952,645.0287923635854,590.2279677772477,540.0854473001253,494.3105001139287,452.5823270795555,414.55006073709353,379.8327653058188,348.01943668419653,318.6717522704401,291.58239680523207,266.72433428325905,243.9985516111457,223.2860426972392,204.44780845160918,187.32485678604772,171.73820261406934,157.48886785091102,144.35788141353277,132.14151669703367,120.92164567700945,110.66812711176594,101.30246689785524,92.74684283688384,84.92410463551268,77.75777390545733
