Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,388.97141065125163,399.4459816263646,416.53950130121126,438.60162856338064,464.64831376233616,494.1047172882008,526.6762838785598,562.2157530934206,600.7118829062979,642.2081817234041,686.8037122504353,734.6474653275059,785.9010179058022,840.7490437428244,899.4058908158694,962.0982794938849,1029.0670704775816,1100.5771696610434,1176.8997820552395,1258.3029742666383,1345.084365335591,1437.5715539602404,1536.1227826402724,1641.124366769845,1752.8770463163085,1871.6985283771483,1997.9662595330244,2132.1174258477704,2274.648952868399,2426.10413478672,2586.8069971927794,2757.0221960590707,2937.1331416478515,3127.6426502391464,3329.1729441307607,3542.4647406528024,3768.008363372741,4005.7965119349606,4255.9870391344575,4518.970192935422,4795.368616471245,5086.037348044509,5391.823230593391,5712.392803952149,6047.250304626005,6396.305375592567,6759.874054804936,7138.678775191709,7533.743198381607,7944.555724689501,8369.493390531234,8807.520467422202,9258.237332996603,9721.880471007436,10199.263385428016,10689.411304657724,11189.237380118368,11696.43765770541,12209.622989025607,12728.319031396986,13252.840691115318,13780.89439350013,14307.914563092945,14830.50701367596,15346.51268425968,15855.007639082889,16355.673847067766,16844.09799378858,17315.15539273639,17765.32269827293,18192.630192361263,18596.657120236847,18975.73099931613,19324.49922486703,19639.085234863363,19917.37172660641,20159.000656724937,20364.525268407804,20530.701943009895,20654.525791378204,20734.774627991486,20771.93603735418,20768.04075682831,20722.954504266527,20635.44470674231,20505.7848889023,20335.587004823286,20127.8010279103,19884.87306440385,19607.45208582197,19297.21686093529,18956.56886468446,18588.6322781802,18196.879924410197,17783.326233351945,17350.50361267027,16901.10036690702,16437.829896430983,15963.43069743785,15480.173053214397,14990.39869866744,14497.168140369127,14002.925081257494,13509.477468287416,13017.997492430659,12529.22911297725,12045.313003533598,11568.663238352274,11100.898641918226,10642.849536918928,10194.55774424442,9755.783465196748,9328.117138185959,8912.998824374334,8511.132218400506,8122.5023055823685,7746.375361917025,7382.137168799108,7030.882370516245,6693.227655253415,6369.245555298207,6058.470092875351,5759.897532246694,5472.941769619919,5198.178843954676,4935.768220513715,4685.489094493853,4446.74039102599,4218.541134676603,4000.270794502646,3792.2125408817515,3594.337321075272,3406.365321717433,3227.7659688153312,3057.75792774894,2895.615978805132,2741.435254097099,2595.164775703899,2456.584356747426,2325.3125195523935,2200.806495646323,2082.381777514501,1969.7976462671108,1863.0829599106585,1762.1143271311955,1666.6670197097517,1576.4149725223263,1490.9307835399045,1409.7203082939495,1332.7575801647172,1259.931181006895
B,30.507561619706014,54.4256382056557,76.95099324496671,99.14720103870181,121.77527436390962,145.39548938606904,170.4272809863236,197.21079301184778,226.01986779226604,257.10409762607674,290.69270445850157,326.99848439419657,366.2435109619408,408.6553467294419,454.45600580535324,503.88131800589355,557.1853178434608,614.6408445411192,676.5171472238683,743.0897716550177,814.6606262078342,891.5581584573395,974.1377230744188,1062.7760819943226,1157.8014372105145,1259.561684180077,1368.4504781961166,1484.9072343877615,1609.417127720167,1742.5079530102432,1884.5656597310735,2035.935250109701,2197.052279294996,2368.443379192644,2550.72625846516,2744.611860908307,2950.647062876699,3168.989249937998,3399.922349165691,3643.913954149334,3901.615324994558,4173.861388323057,4461.4968249156,4764.419490976257,5082.364586786532,5415.401253279844,5763.933898326987,6128.70219673614,6510.699317064456,6909.635081159191,7324.213871771673,7753.633155793615,8197.635806263028,8656.510102364233,9131.040664231636,9620.442808160298,10121.980203326217,10633.588082145312,11154.014020112838,11682.817935803398,12220.261379708969,12764.210981636825,13310.345405705464,13855.397103655061,14397.233723694364,14934.85811050062,15467.825496964062,15991.778928890362,16501.58394883088,16993.62298110288,17465.75815765602,17917.32697144547,18346.443555201433,18747.536778105583,19116.438566755758,19450.721182441142,19749.69722114227,20013.584801569523,20238.761065654755,20421.76386046315,20560.962610559858,20656.49183647545,20710.083662139143,20721.244908749344,20688.255763599165,20610.999169786282,20490.81785541172,20330.513914013518,20132.391652528993,19896.74241828205,19624.974564064378,19319.369911076556,18983.083748928013,18619.73235923274,18231.24229597972,17820.011629182518,17388.73196382004,16940.255702186485,16477.596043891368,16003.31178169672,15519.742059939083,15030.002001452305,14536.676765089505,14041.800954524944,13546.85861825405,13052.925136556696,12562.196873720788,12077.236813490505,11599.84181262095,11131.027009273095,10671.025823013752,10219.7687771499,9778.968370092618,9350.223283172909,8934.37153860398,8531.505215259418,8140.970448673099,7762.218173213729,7396.456192654731,7044.409248238963,6706.222600447687,6381.467626766624,6069.142601221473,5768.674802483657,5480.723281065547,5205.507456133304,4942.834472378212,4692.099200016664,4452.284627424724,4222.754364512185,4003.8457205217214,3795.5605882538403,3597.6255821903865,3409.4920384945303,3230.3360150107774,3059.3911848137122,2896.783531493665,2742.481552029936,2596.2665088495173,2457.740959518124,2326.328756740173,2201.296440983671,2082.3958588120013,1969.6762395247897,1863.0186785827716,1762.1912157257368,1666.8488349725167,1576.533464621002,1490.7122353764235,1409.369187385833,1332.3932755450335
C,915.2268485911804,929.2285400576181,959.2478576447551,1000.6081865338814,1050.4669214238695,1107.102257542814,1169.5535668888926,1237.2505799058993,1309.9809740643589,1387.6630248335478,1470.3476601687419,1558.2032599926372,1651.4093716987743,1750.1858924316903,1854.8152283014679,1965.5892218399847,2082.8118199743144,2206.8223680985784,2337.964234545887,2476.556164288303,2622.9597248318323,2777.5802340079313,2940.8680232040497,3113.310124174356,3295.2061760110605,3486.8701560654836,3688.7134114458117,3901.2446590170916,4125.069985401243,4360.855719247853,4608.82993477957,4869.100849292135,5141.975149031122,5427.959070807587,5727.758401998074,6042.271133814742,6371.896016324332,6716.175774782533,7074.93062881469,7448.363676343588,7837.060893589445,8241.99113506991,8664.062529149023,9102.22247459062,9555.221321399807,10022.45408657998,10503.960819910451,11000.42660394642,11512.998985966431,12040.405315119544,12579.837140016161,13129.403275049532,13688.174603583799,14256.184077954005,14834.332031810278,15420.913772676367,16011.459174678974,16602.688423603508,17192.62577641734,17780.59956126979,18367.06057568151,18948.996810796463,19520.713272754787,20078.13927240371,20618.838069485882,21142.006872639304,21647.65809692071,22130.852587030724,22586.093140571887,23009.8432331783,23400.44241682283,23758.100376095234,24081.588136901883,24365.71936722391,24607.079674906585,24804.17122162912,24957.412722904643,25068.195627251316,25133.924278694834,25152.42934664635,25123.302489703485,25047.8016889825,24928.677149390147,24766.500879444822,24560.943018386497,24313.04416227726,24024.98561330492,23700.088974598788,23341.136673603978,22949.470142765473,22527.333669973497,22077.43605075168,21602.950588257114,21107.204163675407,20592.484454486956,20061.723254735287,19517.766681310462,18963.244098434698,18400.568117662424,17831.64849783108,17259.06476172118,16686.068342823564,16115.100747189206,15547.776580173148,14984.883546434541,14426.723475882256,13875.627143394056,13334.07810442964,12803.641946559761,12285.01190962602,11778.00888574085,11282.18075517397,10799.181698072494,10330.456359269192,9876.665401840903,9437.708903788094,9012.726358034783,8601.007627989951,8203.68724842539,7821.380070185299,7454.131877218207,7101.425627687939,6762.182252346975,6435.771329705069,6122.790710286618,5823.398462354353,5537.354095969962,5264.01856299409,5002.354644816883,4751.705337050387,4512.36704271802,4284.307545286962,4067.2289288837424,3860.567578294232,3663.4941789636505,3475.2376800086067,3295.896910114936,3125.4178169125767,2963.564426032863,2809.9271436689246,2663.92275657567,2524.8152339592907,2392.3423350595585,2266.5346195878637,2147.258499147414,2034.2691748683465,1927.210637407713,1825.615666949504,1728.9436386564378,1637.1648094062261,1550.1549642268399
D,4210.04350351943,4327.336148883974,4513.336166061334,4748.710944477315,5022.016589344124,5326.576623434955,5658.931686717424,6017.232917757445,6401.129455975039,6810.790592874391,7246.931221718772,7710.757371845395,8203.517379628327,8726.63521786287,9281.807352028023,9870.784395274568,10495.388930542318,11157.620881498142,11859.507753723103,12602.985223087919,13390.211865309611,14223.573425349696,15105.688951551276,16039.382096930121,17026.617634275066,18069.454879500743,19170.44480685029,20332.630048895364,21559.54489653617,22855.06451484378,24220.98502917711,25658.523194608686,27169.900216976388,28758.347348184412,30428.10588620335,32184.402160845002,34030.08531333642,35963.69183553209,37985.166007112035,40096.41168270837,42301.29229190519,44605.630839238635,47015.0283979677,49525.098266173714,52130.32663521058,54828.54532988308,57620.93597205173,60512.02998063278,63508.78958814308,66605.61003836457,69788.53412386568,73048.3909260329,76381.08522205993,79787.59748494788,83273.49418145734,86830.4161260816,90434.61851260996,94068.60974985697,97721.90895025221,101391.04592984042,105078.5878418386,108767.89116801551,112426.66742750834,116031.42541661406,119567.69005066983,123030.00236405285,126417.34447775886,129700.04756599298,132844.3395421639,135827.61494344767,138638.01737405077,141274.40610061376,143727.03685984924,145961.79498883325,147954.71742282138,149693.40477437925,151177.02133338264,152410.6232785152,153374.35826413493,154050.27577180267,154431.71614612406,154522.78971982948,154337.2960622235,153875.09078967402,153129.37052907638,152102.68092418186,150805.71965629797,149257.3338482375,147473.11575120653,145457.92911222292,143223.03677196446,140783.91804037278,138160.26869665406,135373.73597445674,132437.58158342584,129368.74745842675,126184.83935240068,122903.29159043063,119541.36706974101,116113.34235661186,112635.26774518668,109127.90387840617,105607.70505750671,102086.69932769275,98572.48847813673,95069.83178350363,91593.88398895501,88161.53422681452,84784.19176979599,81467.88557094346,78213.26426363122,75019.11061739801,71896.96572519018,68857.34966187064,65905.68763828058,63042.43240448788,60263.06424978654,57563.88320741766,54953.0889838589,52435.57954992578,50012.403868922214,47680.80052722711,45434.202948902064,43268.934062856424,41189.54221668994,39197.628315545706,37292.03401728989,35468.84173251167,33721.37723737653,32045.49993073494,30443.58773674651,28915.76623174335,27460.29275325273,26073.55639999712,24750.078031894187,23484.7493416723,22278.484609678086,21131.142580986318,20041.29130411288,19006.265072636037,18022.164425196348,17084.001478687984,16190.091494694047,15340.8079451101,14535.363000996662,13772.173051011794,13048.858701411087,12362.24477604776,11708.627558847138,11087.906029830212,10499.304956889302
E,564.3898899645612,577.8405338095341,600.7057347247194,630.2931606651376,665.0066258556186,703.9169075381891,746.546510714839,792.6469890025695,842.1815829210133,895.1890178402213,951.7862835009095,1012.1612801738111,1076.5091735324884,1145.0509527518425,1218.0493236819204,1295.7765833487492,1378.516132557904,1466.5763258533264,1560.2774309300933,1659.9343490713286,1765.8931397913898,1878.53153958371,1998.2597381847118,2125.5210075783616,2260.665751798684,2404.0620570192204,2556.14366680093,2717.4099820921933,2888.426061228817,3069.8090759931038,3261.9356968426546,3465.1163121665004,3679.7927626780697,3906.539073114316,4146.061452235741,4399.197495637901,4666.509453633055,4948.007886849556,5243.886604217921,5554.597572622914,5880.850916903558,6223.6149198531075,6583.849697841138,6961.207259533155,7355.1598985466635,7765.630761444028,8192.994956680921,8638.079554606344,9102.046856907418,9584.356396769788,10083.235663182886,10597.564779753608,11126.930692934106,11671.627172021794,12232.589229084737,12808.766914981587,13396.763923825423,13994.051645849167,14599.115775826944,15211.45631307408,15831.448238027637,16456.563509531596,17081.734830435995,17703.18939037671,18318.521316451122,18926.691673218134,19527.32839701078,20115.473796774862,20685.344394699885,21232.930640751256,21755.94511513703,22253.817355765907,22724.557771902448,23161.994556439015,23561.584356256644,23920.750844342103,24238.88471978786,24516.390218246866,24749.335155526802,24934.00351895442,25068.7076008146,25153.708667552663,25191.028677032533,25180.199999345183,25119.428749147133,25008.67548905664,24849.48218865303,24644.971758424508,24397.70487016879,24108.08232961109,23777.72806596845,23409.1896528648,23005.938308330995,22571.922802760106,22109.311388656613,21620.84082384786,21109.53180270353,20578.5405613365,20031.15887760276,19470.16997939382,18898.266797668257,18319.018105923235,17735.35871864669,17149.56672944854,16563.263511060697,15977.603506849407,15395.1643386374,14818.92514594617,14250.970052380877,13692.478365577641,13143.724577203564,12604.64243301495,12077.264922275666,11563.489933229226,11064.331762980879,10579.938759515851,10109.593321699247,9652.702809247992,9210.727375214068,8784.564648161435,8374.432824543052,7979.877170620194,7599.770929804928,7233.486976827341,6881.844659427973,6545.146695507086,6223.206187266477,5915.346621209479,5620.40232890096,5337.653084768541,5067.531823360636,4810.073631133198,4564.982061635641,4331.629135510835,4109.055340495115,3896.366302493957,3693.73396334437,3501.1431737406665,3318.350365732286,3144.8936435227624,2980.0927834697213,2823.074976096305,2673.5516727344393,2531.5969733339925,2397.079746016405,2269.7287190257493,2149.132480728728,2034.739479614686,1925.9050337428698,1822.6182144568643,1724.7497549128525
F,373.71762984139866,421.4939865145382,472.1042208350279,525.6510200468366,582.4054086874821,642.7047547673889,706.9185416604436,775.4117475224215,848.557931189659,926.7248847381463,1010.284001226368,1099.6125758733792,1195.097982229877,1297.142945684782,1406.1561297232913,1522.5648051610008,1646.8233436297603,1779.4218824852528,1920.8402529082036,2071.5539289537546,2232.088170375001,2403.0186101911404,2584.972209745299,2778.6138790739174,2984.4648715113053,3203.075271963187,3435.09090738151,3681.253346764449,3942.399901156413,4219.444170121771,4512.92996859008,4823.293448566396,5151.165411136392,5497.372433925198,5862.936871097436,6249.0764848535155,6656.583142794749,7085.383844995531,7535.678959629253,8008.0597127858255,8503.508188471698,9023.397328609832,9569.079582969942,10139.868028143805,10734.784840864528,11353.544301230097,11996.554569057827,12664.91768388434,13360.24721868838,14081.505214494095,14825.750323454315,15591.051179392547,16376.568482839486,17182.555001033026,18010.252981362915,18857.839060343424,19719.9234768692,20592.469343479108,21473.00613962725,22360.62971168299,23255.7868308201,24154.519254556344,25049.10993272592,25933.842746816346,26805.093475861348,27661.329796440852,28502.051118135238,29319.959598050307,30106.659667440246,30856.426325027358,31566.118847411803,32235.1729541284,32860.96791664327,33434.90439656263,33950.831580916034,34405.46307504114,34798.376902583805,35130.6290458967,35397.127558542605,35593.207669307434,35717.05551260285,35769.58536415597,35754.170759982946,35670.704483444824,35517.35544067948,35294.67513994826,35005.31537475007,34654.027570008955,34244.75077804009,33778.61781793383,33258.38802435491,32687.93471633228,32072.245197259228,31416.83558576861,30724.979907441884,30000.812211251054,29248.684922010387,28472.96025608067,27678.010221369237,26867.460402665583,26045.176244743307,25216.184605398656,24384.494762578295,23553.068250401713,22723.818859161354,21897.966992010584,21079.103674170827,20271.264317739195,19477.17409760329,18698.263074292332,17934.66619397717,17186.05930646116,16455.15508991044,15744.426826408999,15055.125199313848,14387.307088059919,13739.835568159908,13111.768575981674,12505.012945750277,11920.685504480152,11358.9855060106,10819.20390641351,10299.724614392055,9799.625236784603,9319.945725543053,8861.02454407804,8422.547976536605,8003.550127802228,7602.413546594553,7218.126735567939,6851.223908878702,6501.706320285575,6169.137629828143,5852.643903826836,5550.913614882932,5262.72617654882,4988.280128883851,4727.524427543466,4480.108153366467,4245.394018648512,4022.45836714209,3810.125259768595,3607.9932292674825,3416.139180249801,3234.3701939386056,3062.3103167386253,2899.400560236258,2744.898901199585,2597.9420991760962,2458.5014314711952,2326.3934087618877
G,38.134452024632516,53.396793382461446,68.17620476235945,83.0737635515521,98.52798064640875,114.87030767646573,132.35794282338244,151.20761884293722,171.6028045225774,193.71695961229474,217.71574566633277,243.75931545250845,272.016802953067,302.66436495063675,335.8790387966255,371.8501377232915,410.7819534866427,452.89444763300384,498.4102499286008,547.5608514747003,600.5993764785641,657.8006981568514,719.4616775846376,785.8988643611812,857.4063758128749,934.2982408842597,1016.924756457554,1105.6724873526534,1200.964266327136,1303.2585669588464,1412.9381392302587,1530.3714374763051,1655.99473257701,1790.3124460697006,1933.897150149021,2087.3916281528027,2251.354483244666,2426.1124610099205,2612.0869471574497,2809.8311754462993,3020.030227685671,3243.5010337349227,3481.088765029442,3733.0480392724508,3999.5339312457836,4280.937431426951,4577.8865148520235,4891.246141115645,5222.068441503571,5570.576125521842,5936.292074052294,6319.0821173483455,6719.197420027587,7137.274481071819,7574.30394279885,8030.197395349764,8503.402965058971,8992.823770471417,9497.943701368691,10018.82741876902,10556.043916787457,11108.350254608946,11672.659021624006,12246.622963690448,12828.734623305952,13418.326339608035,14015.121378807198,14615.520634045275,15214.988393825804,15810.177510374642,16398.91762658374,16980.211881923293,17551.900163285856,18108.12509495255,18644.0941040143,19156.572740462158,19643.884677187332,20105.140700721116,20535.41194481964,20929.532383034613,21284.236717285716,21598.120008574595,21871.47279630866,22102.079678199032,22285.877692892653,22420.729296240843,22506.400396415243,22544.559918878655,22536.38680971016,22480.057568276563,22375.212068946545,22223.05856633168,22026.3736952865,21788.927812393722,21511.745131479278,21196.05659788397,20844.113000775033,20459.054778285965,20044.912017516563,19605.38912932908,19142.48667135883,18659.270592071032,18158.809028783868,17644.14445401958,17118.293675504436,16584.0188005679,16043.663606708085,15500.479387920335,14957.162299793456,14415.713196414978,13877.437630371187,13343.239749183938,12815.486347522718,12296.673593172918,11788.4189061028,11291.457159551,10805.640680026441,10330.84083785105,9868.944125520862,9421.34207176725,8988.641747059173,8570.670851839142,8166.4786460090945,7775.605877957703,7399.236649251339,7037.980176243457,6691.838001457344,6360.203993586117,6041.8648792098165,5736.1084438772095,5443.621021936867,5164.610449912914,4898.856170234509,4645.709231235859,4404.092287156213,4172.993960199506,3952.739403243582,3743.423241760584,3544.8395043092664,3356.49396035515,3177.604120270511,3007.132218708011,2844.785398702209,2690.7389456276333,2544.89963750324,2406.987668467541,2276.5366487785927,2152.893604814021,2035.2801895583723,1923.7397294801403,1818.1591132265164
H,68.64201364433853,89.03698296091308,108.93007876502492,128.9028252222903,149.40005196907572,170.7658971610835,193.2700258548599,217.1343800688673,242.54281480750515,269.66151916396706,298.64289925774,329.62803463477536,362.7617482401488,398.19135881793636,436.05854623798444,476.51238815675083,519.7133268135759,565.8345218430348,615.0415645539949,667.499324058965,723.3912678652903,782.9196447925725,846.3057714151333,913.7824721793335,985.5331650475346,1061.7530670214255,1142.6712740189516,1228.5507608743144,1319.688381337974,1416.4074520426527,1518.9058545445057,1627.3469866707658,1741.961865784708,1863.0495039984244,1990.976908172832,2126.178990462792,2268.947489944253,2419.281307227932,2577.274040105513,2743.1540388528124,2917.2844062297804,3100.162997480495,3292.2837305815046,3493.445552315504,3703.3465135482866,3921.9233577245286,4149.3521776943435,4386.048415713292,4632.605347273986,4888.708184120549,5153.3772664014905,5425.9813832329755,5706.26792739982,5994.36289535549,6290.735967262222,6594.795167704575,6904.687870059506,7219.028623021616,7536.979465851196,7858.2499283742445,8183.022394833467,8509.926567516446,8836.234210769631,9159.917741937987,9479.68955994665,9795.002045300938,10105.672241091794,10409.069354126194,10702.131055433614,10982.75287625086,11249.760230256776,11502.905637611888,11741.191318188783,11961.398061004898,12161.184188986465,12339.262414129711,12495.399837500894,12629.90895790115,12740.798908965498,12826.20022669827,12885.320048485952,12918.399364455508,12926.612797397845,12909.811144642912,12867.141549842227,12798.673278688742,12705.304069296935,12588.75988528584,12450.460873554362,12290.6776856416,12110.317419824409,11910.763333244868,11693.874841910327,11461.752743497014,11215.549159698077,10956.704639966361,10686.801461252553,10407.485673036312,10120.467097326264,9827.18223696419,9529.007393448994,9227.77038134933,8924.96680229752,8621.74818228319,8318.921971653255,8017.049265257593,7717.4217398954215,7421.538976311002,7130.437955516058,6844.6878221356765,6564.389884408304,6289.468470499596,6020.931072764011,5759.717790089501,5506.314526387736,5260.762061175813,5022.656049576209,4791.657898005162,4568.488412930001,4353.5805766396315,4147.01990457289,3948.54779971167,3757.5620196878517,3573.7191128474083,3397.420043271615,3228.801966983813,3067.752807505081,2913.911255854241,2766.667007038009,2625.6396523026406,2491.039751699106,2362.8751263867166,2240.9856100640354,2125.0430489688797,2014.5513018783138,1909.048705181675,1808.6176868244625,1713.2453386680565,1622.8034699535585,1537.0537724235733,1455.6478203222025,1378.1401628120357,1304.382612724536,1234.410427125184,1168.155152707211,1105.4779943267647,1046.1698150029047,989.9511359176124,936.4958426083666,885.7977250949615,837.7911442586803
I,244.0604929576481,273.5426345407159,304.9520906778163,338.23330757178513,373.4720459826382,410.81507263055806,450.4409524379696,492.5295051000228,537.2693988679628,584.8451012344236,635.4427102687441,689.2505165265067,746.4608437839158,807.2736481576665,871.8885673228256,940.5139037688343,1013.3729323934513,1090.709963353341,1172.7549285045552,1259.7281829933834,1351.880649116478,1449.4942474078177,1552.8824647421316,1662.3753962671926,1778.198695297495,1900.594433102271,2029.8648229261912,2166.372219989368,2310.539121487358,2462.827044046033,2623.4542445208203,2792.5776864866384,2970.4738136737105,3157.53916312611,3354.290365201764,3561.3608605038216,3779.1101796397647,4007.406673207607,4246.28556510578,4496.0117304369605,4757.07969550807,5030.213637830272,5316.117453885172,5614.349425132492,5924.340348148777,6245.911129949525,6579.273301493947,6925.02901768497,7284.066608249328,7655.829577252757,8038.782278819799,8431.945595299489,8834.933266984526,9247.95189211129,9671.745017364789,10105.436672573482,10546.314777747326,10992.392303458972,11442.506810181261,11896.320448287242,12354.20667238643,12814.251651667235,13272.612577053713,13726.48179280252,14174.127090992173,14614.891711523025,15048.646340355263,15471.742735848355,15879.950596688008,16270.397976395016,16641.526447264805,16993.087092518206,17323.75027381103,17629.050652007958,17905.757941095675,18152.105829157674,18367.791978374233,18553.261505512397,18705.71773138618,18822.53399570506,18902.572446182367,18946.122918353452,18954.76314004978,18928.218658818787,18865.240732092432,18765.861194386227,18631.25993478203,18463.76455358424,18265.279544914083,18036.132747996213,17777.54481861913,17491.401254682198,17180.252396195665,16846.98781635799,16493.205863197923,16120.93257797978,15732.390928112502,15329.891260737671,14915.831302729497,14492.230210317637,14061.074345204492,13624.998309976503,13186.157590332092,12746.211790385081,12306.324632664735,11867.310901189452,11431.072360437758,10999.805639141652,10575.037753063758,10157.620491493613,9747.730417247698,9345.29162290032,8951.800416834805,8568.651795029,8196.582610375968,7835.684882379635,7485.405797154715,7145.287440587808,6816.403936918773,6499.410062659813,6194.455464736944,5901.18952109577,5618.76201757014,5346.696159485247,5085.592202366005,4835.6660420802455,4596.770259036454,4368.394118183758,4149.663912144048,3940.038106985594,3739.8320689940347,3549.065564886072,3367.5129151045626,3194.702993818528,3029.9192289231464,2872.4940910955975,2722.5510610915853,2580.074477474193,2444.879967172343,2316.621950955644,2194.793643434376,2078.746131575439,1968.2634157605348,1863.3972310900158,1764.0476693633018,1670.011654714303,1580.9829436114126,1496.5521248575212,1416.2413017760555,1340.0403452212017,1267.8519781698642
J,30.507561619706014,55.825611386645356,79.64600463682778,103.11124514230937,127.03867385281774,152.0312259277045,178.54200588082105,206.94085253558615,237.52790754624237,270.5790884690499,306.35011127554077,345.08086742074596,387.0232377209468,432.43704005276317,481.57870710951863,534.7224053517034,592.1647169646561,654.2248313983506,721.223334015503,793.4938930546654,871.4023667271352,955.3469634256237,1045.758549791693,1143.0952961866128,1247.784425935084,1360.283811045577,1481.1044886156849,1610.8106608321232,1750.0196949707358,1899.4003539552853,2059.518787427171,2230.9263425835966,2414.272558357608,2610.305618669211,2819.8723524253796,3043.920918473103,3283.288212022429,3538.5007973687566,3810.2229770334707,4099.307555341509,4406.795838421372,4733.917634205107,5081.94981663884,5451.372280462109,5842.54075700662,6256.145514962477,6693.212821938701,7155.104944463221,7643.4526392367425,8158.768149705678,8700.61821388335,9269.054039720315,9864.670045654611,10488.603860611802,11142.494194365345,11826.518503525842,12538.843186305066,13278.271014871005,14044.419100557505,14837.718893864305,15659.312142120532,16507.84139443129,17379.347069319785,18270.8926105182,19180.71371359503,20108.218325955026,21053.362019469263,22011.3663507984,22976.013395243033,23942.74211855578,24908.638712307857,25872.43208439963,26831.129840294783,27776.154080770106,28700.346497078295,29598.774888705615,30468.733163371882,31308.61007954906,32110.514494118925,32865.88532691981,33568.99440907284,34216.90050594766,34809.20448086922,35341.4448538964,35805.78463992067,36197.416156039486,36514.62594797565,36758.79415214013,36930.497862811906,37024.82778702203,37039.24408694255,36974.11218165784,36832.702747164745,36620.21729808893,36336.72848478493,35982.16736056359,35558.755047959654,35070.835772997416,34524.876865190745,33927.09348969117,33279.42810357761,32585.583188983797,31850.056015141232,31078.09355469882,30275.692483722894,29448.76479975541,28600.469847636414,27735.959796948435,26860.01828368361,25976.698677047654,25089.324079459842,24200.560599774188,23314.482182079824,22435.77009893722,21567.786309999356,20712.537352344603,19870.674340476595,19042.728396562066,18232.30778833891,17442.393499265072,16674.58618039802,15929.111521749826,15204.821689168739,14501.309437700209,13821.07711342301,13165.649101119068,12535.388897480148,11929.499111107854,11346.022402609331,10783.873142934623,10244.617004437323,9728.932964307285,9236.636569134365,8766.67993490841,8317.151747019265,7886.238081374065,7474.758467339459,7083.099622388011,6711.021938301235,6357.6827387677295,6021.636279383156,5700.900264247399,5394.996123738949,5104.421319561339,4829.114938344639,4568.615319804714,4322.06005674321,4088.18599504759,3865.4581251188224,3654.064021013622,3453.855248615523
