Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,7.091855889150128,7.874724542525417,8.733092188394393,9.667281423628705,10.67906647631079,11.77078693673872,12.945132874489195,14.204908410356161,15.553250743241215,16.993600757379138,18.52984480159615,20.166365373694152,21.90816739110065,23.76092372519254,25.730861596750746,27.824923639070697,30.05085579578466,32.41723160371174,34.93308591562047,37.608032613810565,40.452610290228165,43.478285528123536,46.697457465559985,50.12330331822699,53.76876642157153,57.64765148617181,61.77499883723424,66.16708441459342,70.84141977271236,75.8166530830119,81.10999789241461,86.73880805242237,92.7223735306136,99.08192716551875,105.84064466662066,113.02364289256442,120.65434552642321,128.75192593933792,137.33799287783197,146.43728047980383,156.0776482745269,166.29008118264943,177.10620664795317,188.54611309535193,200.62869466201818,213.37748601095478,226.8206725698039,240.99109053084706,255.92509843348165,271.6427755374557,288.15194968922003,305.4661482312173,323.60511395809715,342.59480511671705,362.46674368096535,383.23146922985376,404.87366229988294,427.384124646808,450.76130043626677,475.01127624378034,500.1463533086022,526.1450263182372,552.9534063588754,580.5259180887587,608.826280733588,637.8275080865238,667.5043917984572,697.774237199854,728.5358881848547,759.7006051892985,791.191661792046,822.9442909975086,854.8700683240996,886.8211610591077,918.6600352415079,950.2654434196845,981.5324246514331,1012.3613468551714,1042.5926548666444,1072.0616625048451,1100.625498864245,1128.1624008678282,1154.5695215607952,1179.7113279736066,1203.4339864577248,1225.6087089629975,1246.1305078316263,1264.9181900411543,1281.8880679165654,1296.9366833497202,1309.9853549542167,1320.976763179622,1329.8749503114707,1336.6594415396373,1341.3005315821076,1343.7924843508122,1344.1440003594962,1342.3759366880872,1338.5213069826939,1332.6165196170568,1324.7182630523448,1314.9105821383628,1303.2745579012583,1289.8879167141752,1274.825030297251,1258.1611321775633,1240.010680552068,1220.5017736960338,1199.7504585331078,1177.8607059964693,1154.9244110288323,1131.0312882273472,1106.3110433706897,1080.891441888877,1054.8841577526819,1028.3850731072139,1001.4742782719119,974.2329514437491,946.7745480201678,919.1991682456899,891.5919636985293,864.0232510411893,836.5485280355572,809.2280877577292,782.1406882036351,755.351642336049,728.9141626516297,702.8693611809201,677.2462576941746,652.0772436081793,627.4076564889563,603.2719365691589,579.6959010595424,556.6967441489654,534.2830370043894,512.4612749088764,491.2505865037868,470.6632157365771,450.7057113194927,431.3791155477503,412.6789642995364,394.59572403391644,377.12687046960065,360.2720804142862,344.02641687920726,328.3818372710871,313.32719339213696,298.84823144005907,284.92826235113074,271.5585574238194,258.7278691879426
B,0.5562239913058925,0.6226498195226459,0.7215546950456493,0.8714015437359403,1.0847301424424247,1.3703699957001139,1.7346970274621978,2.182927726026026,2.719360291395293,3.3482404834793886,4.073826360205292,4.900466961276643,5.833104712266762,6.877188986949887,8.038492750548572,9.323462612319235,10.739281351732812,12.293841864347547,13.99548877095512,15.853222159911223,17.876884233911944,20.077160422155313,22.46558276190474,25.054489043536094,27.856439400956763,30.884878205661632,34.15437469537395,37.68062297404528,41.48044201185568,45.571814661777815,49.972233296266886,54.699593650198196,59.77350207168066,65.21528111978047,71.04796956452142,77.296358558104,83.98463179110713,91.13402360552084,98.76790351835997,106.9123623022262,115.59621198530822,124.85098585138144,134.7092172562814,145.19465947322453,156.33003108262858,168.14210696472924,180.6617328362921,193.92382525061242,207.9665045245843,222.81461818350832,238.48216213137184,254.988065071044,272.3567475406143,290.6181219133932,309.80704921746565,329.94005892952134,351.0098686153554,373.0143864918051,395.95832324674075,419.85319203906613,444.7160367868763,470.5326048257829,497.2573808102582,524.8520482187739,553.2866448720674,582.5395629331405,612.5904987315847,643.3634716004419,674.7631534772806,706.7055541565924,739.1177256991555,771.9377118732594,805.0797512545662,838.3975808139119,871.7538000140269,905.0265196375364,938.1093617869603,970.90053373864,1003.2360038014634,1034.9442706310263,1065.8753986167724,1095.9003913413605,1124.9089714553734,1152.7556020180502,1179.272636710055,1204.317903606803,1227.7738942768121,1249.5477579174349,1269.5430868048936,1287.6386434092724,1303.7386233005998,1317.7705971497203,1329.6855107282943,1339.4512067242392,1347.022056214581,1352.3754909099055,1355.5061231000116,1356.4234690060625,1355.1519487805858,1351.720075898666,1346.1726574242364,1338.5839985907287,1329.0279391032884,1317.577432973368,1304.3045485187283,1289.2835644906916,1272.6248564374855,1254.4556967623714,1234.8927107909678,1214.041431905056,1191.9963015425787,1168.8501383779646,1144.7366042323665,1119.7891482531536,1094.1250737088094,1067.8457757454516,1041.036741386825,1013.7848779996324,986.2114772377693,958.4246197232978,930.5167202488107,902.5646409966162,874.6297082587137,846.7785170209736,819.0979709384233,791.6608537399409,764.5269303405285,737.7429468413108,711.3426393311062,685.3634846790646,659.857363225983,634.8644112034948,610.4153016843187,586.5312445822609,563.223986652214,540.5030028337679,518.3918053372954,496.90640199978,476.0564430682813,455.8454267052443,436.27069898849726,417.3239383435303,399.0046009066369,381.31464582084726,364.25084257325216,347.80642298336244,331.97108120310696,316.730973716836,302.06947253443167,287.9788460191801,274.44847990074766
C,16.686719739176773,18.5216667107141,20.49690816235002,22.58795348859347,24.783113620444063,27.07815339961863,29.473795870600565,31.973125036115583,34.58158366105797,37.30548028877863,40.152141773111424,43.12988445765923,46.24743518672868,49.514176480386595,52.940228830095116,56.53624584734112,60.31350900540833,64.28409486394065,68.46044294297023,72.85527013222263,77.48223916179734,82.35596677549869,87.49203367543139,92.90680324450923,98.61546579695526,104.63396318913568,110.97971111568974,117.67159910952958,124.72999054184052,132.17638667330692,140.02889809481752,148.30516586433006,157.0252681847385,166.21173028259483,175.88952440810996,186.08599964966604,196.82444663661818,208.1207457832216,219.9938155499673,232.46658257811785,245.5659816897075,259.3229558875425,273.7682062487237,288.9139502698248,304.77043786522563,321.35386257594587,338.6863644027082,356.7960298059381,375.71510518655356,395.4514897643395,415.996617247235,437.34937412159826,459.51654935411926,482.5128343918202,506.3598794001567,531.0507992419986,556.5467587867364,582.8173333237331,609.8418371432035,637.6093235362143,666.1167212196373,695.3198802810208,725.1389341082494,755.5053422175706,786.3623921680555,817.6651995615978,849.3718862998963,881.3780934268538,913.5636263031478,945.8237059648823,978.0682555474208,1010.2218378071476,1042.1858854077796,1073.8058125761145,1104.9412326850193,1135.47000541854,1165.2882367719044,1194.2993090466439,1222.3530636651305,1249.3000914485367,1275.0130109298905,1299.3855545223614,1322.3304896621703,1343.734350469835,1363.4739707254378,1381.4494908557344,1397.582193043516,1411.814495982104,1424.0886093390927,1434.3374052386077,1442.5160202314805,1448.5961477573626,1452.5660381447253,1454.426093129147,1454.175765124738,1451.8385672006953,1447.4469720074112,1441.0402968397432,1432.6647036370093,1422.3685231583981,1410.226485283353,1396.3357969836516,1380.7869241267492,1363.6632740329203,1345.0411954752597,1324.9958309271274,1303.6455557402874,1281.117268117269,1257.5242248838315,1232.9666687826968,1207.5318284735467,1181.3041447486287,1154.4064300743503,1126.9577294125602,1099.0615106293935,1070.8060312880466,1042.264338648774,1013.5102795886531,984.6474677810628,955.7665867021873,926.9444524833118,898.2441242423744,869.714918924798,841.4105268234538,813.401563120921,785.7462478829443,758.491713912636,731.6740067504751,705.3180921799664,679.4520635511694,654.116068375201,629.3403109444714,605.1470761038493,581.5507292506638,558.5577163347027,536.172613209742,514.411888504263,493.28578270383775,472.7992420735719,452.9520911134591,433.73903255837973,415.1500547629805,397.1818087194683,379.833253158368,363.0990247442912,346.9708033311421,331.4373119621159,316.4843168697017,302.0952782873676,288.26143405856766,274.971599652672
D,76.75891080021316,85.18745121716552,94.19790027278253,103.63806378940393,113.43485892341681,123.5639680522374,134.03422999767866,144.87147354868938,156.11693082638274,167.81718144022346,180.02421629190138,192.7949867718505,206.1865476833678,220.25752590981855,235.0696701560659,250.6854927112797,267.168378774759,284.5838171722012,302.99899434075456,322.48152720004185,343.10237183935806,364.9358660218832,388.05979045320066,412.5559724455555,438.5016906393859,465.9774072679015,495.07029306916456,525.8742272860898,558.4897976664457,593.0232735115541,629.5677117888594,668.2148444427735,709.0678171793129,752.2412354114917,797.8611642593257,846.0649211647894,896.9742045669475,950.6796269949871,1007.2861473976966,1066.917445097939,1129.7159197926499,1195.8426915528369,1265.4596305523862,1338.6491421518513,1415.4854573919974,1496.0705603425681,1580.534217558215,1669.0339780784993,1761.7474234541417,1858.7452010180884,1960.0234852550002,2065.6129811214796,2175.5813021173017,2290.0329702854106,2409.1052074838453,2532.8060514484146,2660.9945926868177,2793.5681268125704,2930.4691386737136,3071.685302352815,3217.240897712221,3366.966721319985,3520.5195910095704,3677.607255896339,3837.9917802911696,4001.489543700448,4167.929093023703,4336.831174124748,4507.629562676446,4679.828661484922,4853.000497639541,5026.784423540118,5200.699077510565,5373.967256524243,5545.87299231506,5715.786665986701,5883.165008012646,6047.495058932339,6207.97093381087,6363.772175167748,6514.187946749409,6658.612928938944,6796.5364530712295,6927.293212542513,7050.139529406795,7164.453632569323,7269.727721044859,7365.56793622261,7451.57103346487,7527.249713758199,7592.236011112251,7646.261564453747,7689.157617626481,7720.828106242282,7741.143304344842,7750.092695755286,7747.7319293627725,7734.171891152946,7709.578704207921,7674.135466500848,7628.13696957567,7572.011007788271,7506.1684819075945,7431.001545085095,7346.883602854748,7254.19229997273,7153.511468928722,7045.492931486034,6930.727937200391,6809.747584946258,6683.022822916824,6551.0150883878405,6414.393745564109,6273.821166129913,6129.878684873111,5983.0680983167385,5833.811664718976,5682.538925307414,5529.8504692453325,5376.280763012313,5222.28714190096,5068.2503827851515,4914.474786477374,4761.291139349337,4609.131986488035,4458.3604814522405,4309.275372821851,4162.1110041979055,4017.037357550073,3874.243349385385,3733.9913147656684,3596.4855402047183,3461.8827393511842,3330.292052988579,3201.7750490352687,3076.3819344665494,2954.235057450828,2835.4196435558965,2719.9881990589574,2607.9615292794433,2499.3287385790068,2394.0497033586466,2292.1245183684014,2193.5674469820983,2098.365730163262,2006.4877374272746,1917.8829668413653,1832.4820450246264,1750.2007495006235,1671.0023438315097,1594.8345344668548
E,10.290143839159011,11.41879556377634,12.6189306963343,13.866205916240418,15.149153381093923,16.464531668817116,17.81478495144984,19.205422412793514,20.644612311840692,22.14148474501533,23.706059883928695,25.349152477624948,27.081475781283704,28.91387684745923,30.857684156480023,32.924240592839126,35.12488229913618,37.47116251316531,39.97499059431171,42.648374835046255,45.50380765990034,48.55427206186977,51.81325215637009,55.29501247430096,59.01348479059123,62.9832019701945,67.21981329999929,71.74008448882897,76.56189766744205,81.70421582776974,87.18472453176307,93.02124911391034,99.23349916986332,105.84307546968412,112.87346995784594,120.35007083769423,128.2968170242659,136.73373264985156,145.68322500126405,155.1707450383082,165.22478739378113,175.87689037347178,187.15933599503992,199.09360012641412,211.7000531815668,225.00357497028764,239.03356567106835,253.82394583110266,269.4120926512997,285.819936845909,303.05763294911117,321.1408549929824,340.09131342369403,359.93675510151303,380.7103396789679,402.425036731703,425.0687028866705,448.63508121811776,473.1253159221046,498.54795231650303,524.9175538022819,552.2157078599728,580.3921347887197,609.4044973247331,639.2194022785832,669.812400535198,701.1606224658277,733.1843404128085,765.7850506188915,798.8761276188956,832.382449340869,866.240344530523,900.3622445882571,934.6004619329001,968.8167536858716,1002.8885575770299,1036.7089919446767,1070.1758954877841,1103.1255466912282,1135.3874579835833,1166.8125157902289,1197.272316897448,1226.6569659047007,1254.8219577675077,1281.6015643257683,1306.8550843337448,1330.4659228706407,1352.3415855767716,1372.3861518880376,1390.4799155004225,1406.528133555586,1420.4588074909634,1432.222683039765,1441.786970261404,1449.1063248879434,1454.158370838026,1456.9374573734392,1457.4524230542488,1455.7265957387995,1451.7874107999376,1445.6794440978967,1437.4765525390899,1427.2520305924677,1415.0781977149745,1401.026398351549,1385.1702535471563,1367.620433584313,1348.504631223866,1327.9399322098375,1306.0324108776356,1282.8771301540585,1258.5677274369796,1233.2395686461332,1207.0281471013996,1180.0527865478866,1152.416878293791,1124.2078812103885,1095.5149126823337,1066.4625353443648,1037.1621933793083,1007.7094442807714,978.1840725830691,948.6501068251138,919.1771387995702,889.8560802988973,860.7635147602249,831.9626193033428,803.5031647306997,775.4215245690428,747.7580465025362,720.5684008595119,693.8961533342283,667.7749507820805,642.2285212196,617.2706738244563,592.9128505255111,569.1814700819273,546.0951705624075,523.6657907171272,501.89858311966043,480.79221416697567,460.3392784075453,440.54068599801536,421.4001807948766,402.9159017848893,385.0820974342754,367.8891256887164,351.32345397335735,335.368482545248,320.01730836805143,305.2598312495787
F,6.813743893497183,7.568700890297263,8.41110566196643,9.352294687266095,10.402474301484672,11.5710865497868,12.867122880473882,14.299439368395497,15.876903672381644,17.608652942027646,19.5041623470129,21.57329852578939,23.826532886087367,26.27494770107495,28.930144821610806,31.80447043154807,34.911091833727234,38.264067034782826,41.878013411970194,45.76823763131932,49.9511854937889,54.44444665479662,59.266763674587786,64.43803425584339,69.97790176902615,75.90715572713191,82.2483046106072,89.02557586734899,96.26491591270509,103.99392608051318,112.23832987514307,121.02401733246103,130.3796034728987,140.33643841593087,150.9286073800758,162.19294498746726,174.16397025449774,186.86997723291694,200.34264456021623,214.61805644585206,229.73670267124587,245.74347858978385,262.68413635766905,280.5874524764447,299.4801382154851,319.39548340422084,340.3733732879616,362.4602885278955,385.7076501014717,410.14266500306377,435.77415935577216,462.6190677339789,490.7032034695183,520.0612586516767,550.7358383290384,582.7382941465792,616.0417298090041,650.6280664885113,686.4902476374904,723.6322389885243,762.0669196320652,801.7573904529555,842.6195726200652,884.5815861673681,927.585102021261,971.5853420005616,1016.5400990571754,1062.3238898872412,1108.7851669322768,1155.7905812455215,1203.2243519716842,1250.988187870259,1298.949969454959,1346.8932390896637,1394.616940790491,1441.943600615715,1488.7193266657587,1534.798149685797,1579.9495998419566,1623.93689041371,1666.5543702719497,1707.6264749055965,1747.0046228753804,1784.4946253619237,1819.8773986052263,1852.9692459551225,1883.6199633064502,1911.7128310347166,1937.1279377909586,1959.71834427564,1979.3719431027087,1996.0065229506936,2009.5697685627044,2020.0311177282833,2027.3477070134063,2031.5104006651554,2032.5303573960698,2030.435860010325,2025.2723154037396,2017.0901323598248,2005.9688041032132,1992.0264421696902,1975.3772611925258,1956.1310333173008,1934.3930882019165,1910.27025590014,1883.9252784177643,1855.5408165751462,1825.282791197122,1793.300325187868,1759.7257435308952,1724.6885743873179,1688.375948492345,1650.9730112336656,1612.642107740554,1573.5231903682804,1533.7338186981046,1493.39338085495,1452.668561671002,1411.7073434585577,1370.636121360907,1329.559863956248,1288.5621362977713,1247.7337049618702,1207.1931277493172,1167.0395513803062,1127.3542908112267,1088.2008292346652,1049.6248301092753,1011.6770877000084,974.4282468211604,937.9328911748385,902.232609955027,867.3559978475888,833.318655030265,800.1330701248578,767.831187631775,736.4347243703644,705.9565968381577,676.4012018295037,647.7644164355659,620.0342672255018,593.2096078988975,567.2929484042272,542.2795824199632,518.1598330350657,494.91905274898215,472.53762347165025,450.9920206781043,430.27130913569994,410.3604799214199
G,0.6952799891323657,0.774465539978963,0.873934443280829,1.0027342244096762,1.1672250930436563,1.3721015190901311,1.6209781213244032,1.9169932548078636,2.2629284579392563,2.66161684126034,3.1159792411683136,3.6290678666486875,4.204308976649673,4.845467601469852,5.556567036665277,6.342066619370588,7.206896395805565,8.156450675040313,9.196473687970842,10.333172060321571,11.57332141943316,12.924267127050797,14.39392638583594,15.990800199368985,17.723701161137445,19.602099218240657,21.636253955480747,23.837214595362603,26.216819998094003,28.787758201169723,31.562813354321865,34.5552905561536,37.77970105063494,41.25176536480894,44.988413308791884,49.007815791292195,53.3283637669803,57.96743129731193,62.94397080611351,68.27883095033286,73.99475662003914,80.11638893842289,86.66951181720673,93.67615272934621,101.15837487860483,109.14105233164709,117.65188012519133,126.72137426600972,136.38246526205862,146.66202510029862,157.58169077574925,169.1665273110038,181.4453903461296,194.4509261386686,208.2192971186994,222.77748780658146,238.13940354178862,254.32242920394359,271.3485218571399,289.24421074994194,308.03989022069527,327.74802047749625,348.3616140913336,369.8779355361462,392.2994478193462,415.6338124818186,439.8895160536255,465.03824363251755,491.036499746723,517.8471120696877,545.4391728160989,573.7880076702536,602.8508585295364,632.5368912438685,662.7577810671754,693.4340427835975,724.4950307074898,755.8707630095529,787.4362526174077,819.0521778499794,850.5930801428179,881.94713716566,913.014427797048,943.657850256364,973.7072927695858,1003.0112645357451,1031.438052849392,1058.875718611982,1085.2037802571886,1110.2596884573982,1133.9001082985312,1156.005985543812,1176.4825466337734,1195.2521371657037,1212.2065272162301,1227.2473764948727,1240.3007975288472,1251.3159086738658,1260.2648341141391,1267.125406799494,1271.866584629184,1274.4878629925659,1275.0010377039034,1273.4297795259884,1269.8096341701369,1264.1844866818806,1256.608068198045,1247.1633976944072,1235.9335226387232,1222.9990361185662,1208.4380768413253,1192.3308257178858,1174.7923492740886,1155.9477562963696,1135.910412846992,1114.781763210109,1092.6513298917614,1069.611933338255,1045.794419714331,1021.3213631967051,996.2999444290676,970.8220283588307,944.9641805114446,918.8100087131344,892.4697119046853,866.0394336856405,839.6003973515668,813.218905894055,786.9463520473336,760.8394084676312,734.9747398725025,709.4153893514514,684.2123448673854,659.4045392566153,635.0188502288554,611.0794159249677,587.6297368925311,564.7040673845363,542.3278568104832,520.5180036564644,499.28285548516294,478.62286585492467,458.5491784201127,439.07680567344914,420.2133022521094,401.9608774109094,384.3163950223041,367.27137357639043,350.8130727033183,334.94133733691035,319.6515609431864
H,1.2515039804382582,1.393328174674309,1.567862627453024,1.7885489917573703,2.0645689283862896,2.4023424955032135,2.8064213582997963,3.2804050997550656,3.827147715606723,4.4493864534947205,5.149806121140655,5.931098825171938,6.796345720892773,7.748955473120898,8.79250975528415,9.931032251303332,11.169042273200445,12.511532336296622,13.963727754239036,15.531241383573924,17.22023561337677,19.037423369911338,20.99007042432318,23.085913962119044,25.332651081718886,27.73851047661286,30.312444533169344,33.06412933063494,36.00396464113458,39.143046970240775,42.49177809706362,46.06067344794411,49.86136773099895,53.906618900225695,58.210308155502986,62.78744821454766,67.65219711627178,72.81628296541886,78.29283184460056,84.09677843888889,90.24486603581605,96.75564652537457,103.64808998786707,110.93447543231227,118.62630185626536,126.73777840961144,135.28583171746564,144.29010588017343,153.77231147531674,163.74457846689407,174.21166902749817,185.18169383315453,196.66643888560537,208.68136551230984,221.2452271830561,234.36429570224792,248.0293100344711,262.23463947514995,276.97922926688597,292.26660059945704,308.1040009335702,324.47844935146037,341.357463586457,358.7135633082985,376.52488857249875,394.77519982034664,413.4493691553769,432.49768393006525,451.8592345661188,471.4806254313924,491.3157418519783,511.3257179130165,531.4574230182152,551.6216192343527,571.735195107875,591.7248810179562,611.5272491765005,631.0820663150517,650.2923504598288,669.0575602197955,687.2903311318156,704.9160613415364,721.8715787137182,738.0732663553574,753.4253348005882,767.8471698334479,781.272699895612,793.650392601017,804.9268157712191,815.0348064049774,823.9221644843378,831.5500954459048,837.8932101808437,842.935796778381,846.6548919742305,849.0413091403772,850.0954406422806,849.825906196468,848.2495528705371,845.385421446997,841.2629316352849,835.9285963276682,829.4281386564039,821.8062477574671,813.1065787705514,803.3737938135334,792.6746668473276,781.0855875112419,768.6763304072535,755.5098556613905,741.6423089237311,727.1287578552227,712.0487875326397,696.4817517127176,680.4973062114683,664.155556502718,647.5070577181036,630.6032247867771,613.5161932708096,596.3102274722145,579.0402160182523,561.7517397245723,544.4810816162446,527.2677551899773,510.16366701671274,493.2122964117242,476.44930275369353,459.9025254847115,443.59198941303174,427.5400534170402,411.7779737346358,396.32995852634303,381.2144881504425,366.44431516297055,352.0264643177195,337.96662187594535,324.27917426044763,310.9740045210422,298.05710488232523,285.5307011379766,273.3932526507584,261.6397499957398,250.27002360010593,239.285549762638,228.684605363389,218.46326577678343,208.6154048716162,199.1326950110542,190.00507981881157,181.22810149663036,172.79549428051766
I,4.449791930447139,4.944317054913566,5.503720190404888,6.140314522454963,6.863266331226068,7.679512215208609,8.594435213503022,9.612550757247018,10.73776835929619,11.973914815146214,13.324841987992588,14.794491990752682,16.387275553301297,18.108035842580353,19.961853836913548,21.954352247134786,24.09178232783766,26.381026131589557,28.829175214160152,31.443707056029762,34.232834105856334,37.205506756491936,40.37141784527786,43.74082212164704,47.32347415338421,51.129765171351224,55.17110611328073,59.45992762377616,64.00968005431183,68.83467303209197,73.94744109860389,79.36041347955806,85.08766146196831,91.1449045808128,97.5495106190343,104.32046926073915,111.47466304760621,119.02468744875398,126.98521532219299,135.3736135900753,144.2099432386944,153.51695931848516,163.31762501580414,173.62391625734335,184.44676421435503,195.80112020857322,207.7059604217548,220.18428589568003,233.26205423255857,246.95048511599316,261.2504660073336,276.16791292907374,291.71412462319324,307.9057825511589,324.7643693596358,342.29350566789014,360.4758791330541,379.2997293421495,398.75990272602144,418.857852559338,439.60043781489225,460.96730096616307,482.91314586125986,505.3999972162307,528.3977747930915,551.8842933998246,575.8392439069856,600.1978389517027,624.8821556159546,649.8244103549123,674.9665679467566,700.2602988080298,725.6394436276105,750.9933022813609,776.2195467030492,801.2283417440551,825.9423451733692,850.2883672756711,874.1481158595628,897.3996191579782,919.9370596469751,941.6702130848694,962.5228061273242,982.3937127098093,1001.1675041601865,1018.7470910050349,1035.0528160903348,1050.0224503477066,1063.5914533919902,1075.6792246771292,1086.223238082163,1095.1769312950594,1102.5097058127121,1108.2024894506621,1112.2281322862452,1114.5765666151701,1115.2491016158203,1114.2567767402745,1111.620361714306,1107.363301440057,1101.5229480811936,1094.1576896540344,1085.324672403653,1075.0795036579882,1063.4762518278455,1050.5701999197106,1036.4452387036222,1021.1971232528117,1004.9132434005983,987.6724362030835,969.5449859391517,950.5999295204542,930.9375060404013,910.6576948501395,889.8483202552045,868.5852427986645,846.9323592611162,824.9547597136029,802.7438634205993,780.3812283627917,757.936608491834,735.4680393350586,713.0218506381988,690.6485164530415,668.4143101850236,646.3748725325527,624.5759349087359,603.0533194413816,581.8329456837538,560.9437083480325,540.4258620235872,520.31071633388,500.62227287281337,481.37722520473153,462.58495886442006,444.25314033226783,426.4005399266411,409.0401926641064,392.1801360594532,375.8235680185405,359.96884683829546,344.60987142195444,329.74671313046736,315.3815563944215,301.5124670080101,288.1346606047037,275.24050265724884,262.81950847767047,250.85895107493758,239.35328291415553,228.29461376070435
J,0.5562239913058925,0.6215539997748067,0.713594124279373,0.8468995905819594,1.031544306898836,1.274837102330286,1.5822837261661566,1.9585789309730146,2.407781539189128,2.9339751868309905,3.5413146116506065,4.234090579574942,5.0171111602006375,5.895640103111204,6.875273616803827,7.962213801561239,9.163317321411387,10.486082177736476,11.938488105688135,13.529167829056904,15.267551420536932,17.163867213431942,19.229144670815856,21.47523647311364,23.91446676483033,26.56009878417875,29.426513067189003,32.52920744770844,35.8847970574018,39.51110498963218,43.4261926023991,47.64892014377152,52.19986247862223,57.1013133356311,62.37728530728544,68.0535559761789,74.15637961604092,80.71085538107869,87.7443600257879,95.28697349249806,103.37147891137256,112.03336260040858,121.309867132955,131.23361881781736,141.83757622726813,153.1587278998845,165.23810644136404,178.12078852452504,191.85537835356757,206.48298246666388,222.038204084909,238.56063686900006,256.09536273176707,274.6929518381734,294.4091097407202,315.28802885987545,337.3570447192708,360.64867787969433,385.20214308413017,411.0633492577597,438.2839732553773,466.8924358634684,496.8914567258055,528.2900071638642,561.1046641316168,595.3596102155299,631.0807557426616,668.2443635987842,706.8058101842911,746.7293797547327,787.9882304358748,830.5643526117386,874.4148087209177,919.4284226634996,965.4965798023333,1012.5225945257818,1060.4217102477253,1109.109495089906,1158.42031561836,1208.1644107291525,1258.1704335159495,1308.2852281309083,1358.371344888501,1408.2328037479638,1457.6169701585916,1506.2960789254169,1554.0698664504037,1600.7655646180074,1646.1937339581882,1690.0877583032873,1732.2054894461485,1772.3415636891973,1810.3274018444395,1846.0198787209044,1879.2145440806494,1909.709085819486,1937.3427762754097,1961.9950245194068,1983.5853763554549,2002.0425306415116,2017.2567631678155,2029.1619582997757,2037.7215943486956,2042.9281364812,2044.80303671924,2043.3849985609195,2038.6996201457516,2030.8265740025593,2019.856239233881,2005.8841022987992,1989.0107570129371,1969.3429543244947,1947.0317655412014,1922.2545360422448,1895.175952460542,1865.9473036261131,1834.7064805660723,1801.5980474931562,1766.8281208250423,1730.596851404474,1693.0814856471466,1654.4364350283356,1614.7932995124459,1574.2965012692391,1533.139755813351,1491.4960263444225,1449.513107087945,1407.3136232952595,1364.9950480401599,1322.66522465652,1280.4712749337148,1238.5373707258968,1196.9656658732333,1155.8362962019098,1115.2073795241276,1075.1324273013201,1035.7033293361633,996.9958055818719,959.0685068722836,921.9634690015328,885.7061127240452,850.3065193400423,815.7961817343355,782.2154128413495,749.5896900093514,717.9335178812157,687.2504283944209,657.5329807810564,628.7649997365874,600.9562431629794,574.1071872728971
