FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",10.871849514433428,12.074821749436785,13.40225417577122,14.861515647606197,16.462058817546996,18.214877555555063,20.132285755649388,22.227687135703558,24.51562504764869,27.01168442866238,29.732553007219526,32.69608685784022,35.92132725900324,39.428577193196084,43.23946879003028,47.37708847973696,51.866042114147554,56.73255829673931,62.004462156539454,67.71130925783122,73.88473865483488,80.55847706696633,87.76834747378032,95.55255923078981,103.951083632242,113.00648862847426,122.76434908369635,133.27324677599046,144.58477039731156,156.7537599519776,169.8370121419379,183.89413643611087,198.98906703767855,215.19007036107192,232.56974503197188,251.2050937565542,271.17593433993375,292.5628039371467,315.4516855427505,339.9346001621724,366.10960681170934,394.0808025185278,423.95702750482894,455.84399796461474,489.85070921039744,526.0938290800315,564.6977125046975,605.7944015089021,649.5213901476488,696.1895862297479,746.5637096199616,801.4893181394989,861.6849239833371,927.7531314734425,1000.294728669207,1079.9154129583226,1167.2254293912642,1262.8399813893727,1367.3898789890043,1481.5056567791376,1605.8246534505092,1740.982084142885,1887.58532322366,2046.2219074930813,2217.446574933825,2401.7407912940616,2599.5263504345835,2811.1592688555415,3036.865342339776,3276.7570905362754,3530.8461233931575,3798.977939332502,4080.8249951277758,4375.9378139019855,4683.70691417522,5003.305162805364,5333.78289540553,5674.075249183644,6022.923613577578,6378.955670293693,6740.754211020532,7106.812683175122,7475.529135190873,7845.329209944099,8214.67197520335,8581.997809337892,8945.807907801407,9304.716994258644,9657.434881857425,10002.752775930112,10339.599619683182,10667.044198672802,10984.278886525135,11290.642081186945,11585.616219893085,11868.789857799231,12139.858068262003,12398.655216433739,12645.149127608021,12879.371531986028,13101.412731482895,13311.453490682175,13509.783003160719,13696.714796303284,13872.575846397598,14037.727485035139,14192.610572354417,14337.670328716064,14473.339595594352,14600.043546292047,14718.244673887411,14828.412496088415,14930.991120491643,15026.399112133931,15115.046824083958,15197.36145178567,15273.746422553559,15344.577871435167,15410.204788618059,15470.9674677295,15527.205346054392,15579.233827146496,15627.344696878485,15671.806123441951,15712.87099874531,15750.791070334215,15785.798754386326,15818.108849124781,15847.918598906652,15875.407845999936,15900.749815505802,15924.110378818617,15945.641428696834,15965.483245545858,15983.764497418086,16000.602240012868,16016.105112489426,16030.379851438905,16043.522373333522,16055.621520731478,16066.759297647706,16077.010869553871,16086.444563378374,16095.122867149621,16103.107659971038,16110.453736118667,16117.21155479399,16123.427943261639,16129.146096849392,16134.405578948206,16139.24232101218
13003,"Atkinson County, Georgia",10.871849514433428,12.072376254405617,13.383932279698552,14.803237833140765,16.33111322379897,17.97111484009701,19.728855377237338,21.611299175329897,23.626721890380047,25.78428895951755,28.094081951616367,30.56710544860487,33.2151060774774,36.05065617144043,39.08723755056819,42.339192692431375,45.82175116637413,49.55111107111555,53.54441654000781,57.81975510607198,62.39638590137362,67.29474266474877,72.53643910986726,78.14439348681177,84.14227177114545,90.55506850670085,97.40938523910368,104.73343051577247,112.5570198859191,120.91160852681581,129.8290561254941,139.34238215150205,149.48678623960214,160.29965252288557,171.82054963277344,184.09123438283376,197.15387525488416,211.049747559042,225.82262004269793,241.51911065777287,258.18868656071805,275.8836641125148,294.65786571407966,314.5605328537635,335.64153334069755,357.9540444187553,381.55455512084757,406.502866268922,432.8604694735146,460.7829626994797,490.6807059202644,523.0003143341463,558.1070891068724,596.2916031503421,637.8328310431361,683.0020541244717,732.0622424224586,785.2676907435837,842.8698453495853,905.1079959236199,972.2134074002485,1044.404490262605,1121.8732360102852,1204.7907356226185,1293.3010903026238,1387.5023271206592,1487.4559509659696,1593.1851167252494,1704.6465352993055,1821.742783207378,1944.3302533831807,2072.193003927881,2205.044915611769,2342.5554743445605,2484.3357891525484,2629.9201406885877,2778.8083830462083,2930.469819323653,3084.316987201516,3239.738865688823,3396.1260462734995,3552.8560973826225,3709.295255897108,3864.8374736298583,4018.9055638386317,4170.937965787444,4320.412141840473,4466.855625521626,4609.840893487931,4748.987476683293,4883.969496485112,5014.511246490074,5140.38384681078,5261.421306855225,5377.507908879013,5488.560273716431,5594.5281621186905,5695.414691562321,5791.267966604974,5882.153158028773,5968.151436865963,6049.373602000369,6125.965709737387,6198.078384537467,6265.863335565679,6329.481290173471,6389.118204802213,6444.958602183654,6497.180365270215,6545.956441448224,6591.470574358649,6633.906812516381,6673.438931601158,6710.230439489946,6744.440545235278,6776.2326486761585,6805.760839720186,6833.168905102739,6858.590379236667,6882.154812518236,6903.99040616451,6924.216427640389,6942.943426579855,6960.273234785981,6976.301801987059,6991.12397441381,7004.827463359344,7017.493506338342,7029.19688914284,7040.005998147791,7049.9865151796785,7059.201166176379,7067.707553317575,7075.558988451643,7082.804493095644,7089.488798435325,7095.653459720566,7101.339118749039,7106.582438584742,7111.417442536529,7115.875596719554,7119.985810055272,7123.774434271428,7127.265620632404,7130.4831856960245,7133.448316682723,7136.180567657608,7138.698111096758,7141.017737887223,7143.154857327016,7145.123497125116
13005,"Bacon County, Georgia",10.871849514433428,12.072588411015747,13.385528009501746,14.808329433481445,16.342579775650854,17.992489074010393,19.76424295825021,21.665331487989473,23.704513905749383,25.891419545841096,28.236576550498516,30.75142599130865,33.44815437331517,36.33977882205585,39.440240834114796,42.76437310496755,46.3279283327148,50.14766388488029,54.24135211901305,58.627801515794786,63.3270844506245,68.36054019192565,73.75078065754553,79.52187364900307,85.69887835011174,92.30839634897922,99.3788486186846,106.94047551727857,115.02533678778363,123.66743025145281,132.90173350812648,142.76482995536654,153.29590188953875,164.53673518548086,176.53171929650318,189.32788116703796,202.9736508951115,217.51754323138363,233.01129961922567,249.5102614300856,267.07336996348835,285.7631664470353,305.6448347070676,326.78090426405834,349.2356426941109,373.07784236786085,398.38082806368976,425.2224569677241,453.68364700589143,483.9543710213762,516.5115506162382,551.8800346822658,590.5011057008646,632.7398558757225,678.9570492649199,729.5136082853855,784.7703811957618,845.0883816312405,910.8355707366601,982.376877530411,1060.078777427591,1144.3037893800006,1235.3946821744894,1333.6797688438144,1439.4651172263655,1553.0102033889843,1674.5368438491828,1804.2257625598086,1942.178327555756,2088.4277344091984,2242.946918344639,2405.6103554053125,2576.1911225865347,2754.39198789919,2939.8233945530797,3131.970800789638,3330.2512567989806,3534.0178746801666,3742.515126990383,3954.92589540247,4170.411066640991,4388.0843149078855,4607.009619440121,4826.270631215923,5044.97378977946,5262.21985517595,5477.14835656193,5688.9659136672635,5896.936085567174,6100.373439175285,6298.6727756601795,6491.309072097709,6677.828847009357,6857.865278832071,7031.134060702065,7197.410553065723,7356.530192505432,7508.409668270295,7653.041985386369,7790.455688335321,7920.712021822552,8043.923903110084,8160.266123153138,8269.926716507072,8373.100790511799,8470.002697604375,8560.89214531445,8646.03085563569,8725.673070941071,8800.068275081147,8869.487100859636,8934.203916365313,8994.478269571098,9050.554819859626,9102.673299270773,9151.082918948447,9196.019070159551,9237.70131166163,9276.333454362364,9312.114166486237,9345.241504892683,9375.899590263189,9404.258841501549,9430.475975733822,9454.698812578961,9477.074436678231,9497.738717723096,9516.81728301773,9534.425554323097,9550.66883547647,9565.648549574486,9579.461836114862,9592.197701124063,9603.938377568638,9614.759325355228,9624.72923133057,9633.911865734246,9642.369883041216,9650.15963726428,9657.333341306407,9663.939203358072,9670.021426897269,9675.620210689493,9680.772334022278,9685.514226969715,9689.8781788894,9693.893932966103,9697.58909689242,9700.989142868793,9704.117407603495,9706.995092312645
13007,"Baker County, Georgia",260.9243883464023,289.6093020252632,320.2575794102287,352.23745635643485,385.12732753049437,418.64159595430084,452.5898574084165,486.8353270796104,521.2875932693049,555.8757268792341,590.5464140958403,625.2613752433151,659.98301763187,694.6771343121382,729.3173754535924,763.8767096507231,798.3263614645018,832.6375564505529,866.785357541915,900.7444190720178,934.489233395148,967.994159190763,1001.2334491118409,1034.1833365886607,1066.8216491655994,1099.1267314192878,1131.0780366360727,1162.6561268120172,1193.8426726529005,1224.620431442187,1254.9748060898257,1284.8932786766536,1314.3643250802274,1343.377410232395,1371.9229881192969,1399.9925491228544,1427.5805447573573,1454.6848223632942,1481.3039376603585,1507.4369567896883,1533.083456313871,1558.2435232169387,1582.9189374959901,1607.1159258092925,1630.8413540186878,1654.1022481377597,1676.9058060103673,1699.2593973106495,1721.171003090058,1742.6915432802584,1763.966439934835,1785.136245392987,1806.2964787737708,1827.5051828223618,1848.8055828127085,1870.2314287113165,1891.808530656123,1913.5567422919216,1935.4935817840676,1957.633160606544,1979.9886971028263,2002.5721254578832,2025.3928873582886,2048.4595717387283,2071.779350276056,2095.3565914839496,2119.1939930197136,2143.292424169826,2167.648908064727,2192.257605569136,2217.1101954179558,2242.1941038406794,2267.492610923916,2292.9860651413096,2318.650911707771,2344.458652430247,2370.377757844691,2396.3736875880945,2422.407594170982,2448.4378772236005,2474.4211512697757,2500.3117075351383,2526.0618803116886,2551.6237411245766,2576.9492172008404,2601.9901164342173,2626.699374747149,2651.0315928063,2674.943124063862,2698.3930380421725,2721.343425842159,2743.7592447047737,2765.6084738589134,2786.8640206174264,2807.502711641027,2827.504272730162,2846.8514365253304,2865.532121004028,2883.5387914094053,2900.8664052663717,2917.512397151385,2933.4779360500597,2948.7685817722218,2963.3916055613936,2977.3556801311934,2990.6715809307743,3003.3537982972534,3015.4179296969355,3026.880041191372,3037.75681340797,3048.0671494653725,3057.831099233582,3067.068425768776,3075.798580892591,3084.041324305127,3091.817801903738,3099.1487271565993,3106.054060232301,3112.5530126257845,3118.6647994435107,3124.4091258820276,3129.8048675641858,3134.869967404557,3139.6214356094288,3144.0757328030227,3148.249591895704,3152.158957230893,3155.8188759457794,3159.2435001600043,3162.4460941553034,3165.4396442398215,3168.236966792514,3170.850087269466,3173.290293281684,3175.568134595099,3177.693423130564,3179.675442332662,3181.5235003242383,3183.246266063913,3184.8518626381924,3186.347879867186,3187.7413743046122,3189.0388692377974,3190.2464423786873,3191.3702449380016,3192.41591783747,3193.3887114779245,3194.2935399934404,3195.134981251343,3195.917276852197,3196.644332129814
13009,"Baldwin County, Georgia",0.0,0.024405551709741017,0.18246979417209735,0.5788755176089982,1.2967061416059056,2.40566183477882,3.9667700902022456,6.037247334668556,8.671504956103405,11.924482198521341,15.852009108770256,20.51128946988699,25.962938302122176,32.270805149750494,39.50147671777221,47.72589067680679,57.01969403060387,67.46330595479398,79.1411677576228,92.14276395336258,106.56373388335714,122.50588101635276,140.07719241613975,159.392202288526,180.57008723400034,203.7374029048599,229.0291864720321,256.58895662507484,286.56871357217744,319.1294364687321,354.4364801357906,392.66243647140504,433.9916991822779,478.62048509810757,526.7568341715914,578.6207536060468,634.4379469978535,694.4332320717,758.8455364071923,827.9296646716691,901.9562986201996,981.2119970955824,1065.9941003896647,1156.5839784089424,1253.268841924412,1356.355010082349,1466.1679407898428,1583.0522307147983,1707.3641782393524,1839.9361577338955,1982.8723054947848,2138.4845940886007,2308.7060340934117,2495.120385079411,2699.2794984379984,2922.720312343328,3166.961270971989,3433.499819542492,3723.8403805451185,4039.446175775889,4381.757951605458,4752.16779161898,5151.945583105733,5582.263815971669,6044.16285159565,6538.443441729822,7065.711703764246,7626.36631508181,8220.436784048963,8847.642968864657,9507.435224983625,10198.840563510828,10920.465566946934,11670.638485349127,12447.325568188318,13248.015049624599,14069.961510308458,14910.208277287291,15765.426019132332,16632.10923619416,17506.730931259146,18385.652270395105,19265.128087375797,20141.555475918034,21011.48274898526,21871.520500461338,22718.493126063444,23549.518545393632,24361.97423151102,25153.499148679894,25922.05795028877,26665.921077526105,27383.64032461165,28074.13355534074,28736.62446469122,29370.539301203884,29975.510754978997,30551.48721522502,31098.68986050929,31617.448552326085,32108.194252844663,32571.537405907795,33008.30159054966,33419.34117773964,33805.52011144277,34167.75850532336,34507.12820285847,34824.694406881084,35121.4842527977,35398.49688798853,35656.796495715025,35897.44984137502,36121.4634512353,36329.78363470407,36523.33179804767,36703.0543607557,36869.843013941674,37024.52900233605,37167.88342558125,37300.65414290457,37423.580960947525,37537.35136197026,37642.60192639433,37739.918332802765,37829.851950124255,37912.94750176622,37989.70804067293,38060.59908645584,38126.048755575845,38186.44806626436,38242.17231827194,38293.57937684931,38340.99749764751,38384.7302764288,38425.05664906648,38462.230891545,38496.48900792259,38528.06148546736,38557.15585004453,38583.96459411253,38608.665654683464,38631.42241332301,38652.38369615048,38671.68577930054,38689.462774234984,38705.83375862732,38720.9085885658,38734.789325699465,38747.57023723821,38759.33779595268,38770.17068017436
13011,"Banks County, Georgia",10.871849514433428,12.075940425694444,13.410632049819755,14.88816039086712,16.52193610440393,18.326389059958107,20.31696375679203,22.510113394377328,24.923392652694524,27.575512740422198,30.486418989875748,33.67738166936214,37.17110693501808,40.99180898212979,45.16525925012966,49.718992317312185,54.68239078680979,60.086800958328595,65.96546567615646,72.35370645139312,79.28935721727046,86.81276930736823,94.96682175654684,103.79724525984436,113.35181213035979,123.68137351797017,134.8403616898812,146.88679003062694,159.88225304207057,173.89219073150252,188.98412223784894,205.22873883328882,222.70179850624461,241.4841351333703,261.66165847955267,283.32542824881426,306.56932852833035,331.4873474475209,358.1796479659771,386.753305537091,417.3223081080559,450.0075561198651,484.93494990024294,522.224751221235,562.0001705588932,604.3928809395645,649.5430329910344,697.599254942528,748.7156619019986,803.2439722115395,862.0613045670675,926.1338599347298,996.2748185635411,1073.1564791684355,1157.4415993106475,1249.790336458005,1350.85881419682,1461.2981224873934,1581.7658572491603,1712.9059354009655,1855.3562698835165,2009.737633232783,2176.6222277898046,2356.543736646672,2549.982244149525,2757.3175166538663,2978.847458738602,3214.782230388934,3465.173279185464,3729.937892335667,4008.8760922065862,4301.602540258247,4607.54640111021,4926.012956767816,5256.146342531177,5596.876993889441,5947.029213225559,6305.331045630219,6670.341622879116,7040.53835010182,7414.386377419608,7790.297827153492,8166.633497137887,8541.815467571272,8914.33125764228,9282.692674193162,9645.504597877207,10001.501918471542,10349.533800579668,10688.563006886272,11017.696443175524,11336.176808575108,11643.371088206273,11938.806612882328,12222.145831176545,12493.140687039353,12751.634242882174,12997.60768200445,13231.161849909582,13452.444982173507,13661.649237234711,13859.0449697998,14044.99532964407,14219.876247315195,14384.067118995392,14537.971233558557,14682.057451013758,14816.790970162589,14942.619722835447,15059.978791083608,15169.33091344838,15271.139222759906,15365.840188548813,15453.843649796268,15535.548161216186,15611.362491419331,15681.671290089032,15746.83278539644,15807.178915171216,15863.031247333105,15914.70738072753,15962.502154978525,16006.688365616665,16047.516764079037,16085.223170260655,16120.040194642599,16152.1824035181,16181.848241018146,16209.220085514862,16234.464380094962,16257.740705916503,16279.200944987413,16298.984307752704,16317.21949589937,16334.024702356397,16349.507611294768,16363.768090929567,16376.90347948306,16389.001299775922,16400.142716820617,16410.402741407357,16419.850230104046,16428.547885256306,16436.55308725852,16443.922162245886,16450.705059905707,16456.94785699939,16462.693355099876,16467.981080591628,16472.84728467065,16477.324943344473
13013,"Barrow County, Georgia",260.9243883464023,289.6659651035845,320.68229692550807,353.5862389652083,388.1479145733688,424.23778573308834,461.7968984735974,500.8060885752636,541.2825557676972,583.2604360410344,626.7906595100274,671.9398995633707,718.7807228023381,767.3941657676221,817.8731737317588,870.3170699129964,924.8312467887396,981.5288247739741,1040.5326216580809,1101.972499632792,1165.987287441557,1232.7248206583083,1302.3420057745798,1375.007109241264,1450.8943731181982,1530.1885286803488,1613.087635437165,1699.803081132582,1790.5595817450203,1885.595656012878,1985.1536169300507,2089.486002250225,2198.8643901320056,2313.579437483292,2433.9408799612884,2560.2776180689093,2692.9242337547926,2832.2108265992965,2978.4906928691016,3132.1432906309524,3293.5742397516465,3463.2153218980434,3641.514722054365,3828.890538235698,4025.7711730537276,4232.617331489603,4449.922054141685,4678.210717225543,4918.028626214495,5170.766588418656,5440.060762735668,5729.8714218033,6043.455641174466,6383.43249973722,6752.341219496442,7152.681834649016,7586.914453598887,8057.462242043007,8566.76616261353,9117.209015596176,9711.153393773371,10350.901210665317,11038.578251256495,11776.178353094147,12565.508467498446,13408.0176294661,14304.868975273088,15256.918341540702,16264.452363231443,17327.27875105164,18444.78659885294,19615.69250000405,20838.035335247976,22109.395556421954,23426.753155346163,24786.28710700489,26183.758829582748,27614.5437353504,29073.355890542443,30554.56055726764,32052.425319313043,33560.96736922352,35073.95380476424,36585.32335510384,38089.203990793765,39579.75703049922,41051.44240131148,42499.17213119634,43918.25370110911,45304.382097414236,46653.78143886209,47963.187790052274,49229.80488455413,50451.43296990249,51626.399559798556,52753.399553108684,53831.500371171394,54860.31011356824,55839.92333590358,56770.6492744938,57652.99688501936,58487.80458594229,59276.303455610156,60019.80186224077,60719.64707445576,61377.304950184116,61994.528505776994,62573.07868902285,63114.66505006079,63620.96325478894,64093.78117257147,64534.94746153853,64946.19357167628,65329.153367556515,65685.42675025792,66016.67198774517,66324.4569213855,66610.24600199623,66875.40082925596,67121.24805285182,67349.10891733487,67560.21353668321,67755.70219834396,67936.62536323335,68103.97461523503,68258.735742028,68401.8209809416,68534.07492077448,68656.27473751327,68769.13076231423,68873.32715198444,68969.51972910512,69058.31044369194,69140.25606726913,69215.86819286959,69285.61323503476,69349.92468498804,69409.22854235461,69463.90898267335,69514.32226319778,69560.79761652385,69603.63725058995,69643.1163486768,69679.48701771616,69712.99916716327,69743.8749215066,69772.31907481872,69798.52184231911,69822.65886037408,69844.89118649682,69865.36529934741
13015,"Bartow County, Georgia",260.9243883464023,289.71535650793606,321.05149142435795,354.75683848401604,390.7678386418081,429.0926263858262,469.7905496485911,512.950928647537,558.6914752734797,607.1453224468868,658.4614312944925,712.8042149171289,770.3475587769799,831.2768671783191,895.7910750651539,964.1000249575806,1036.4247900814457,1112.9993553410268,1194.070013594761,1279.894221601352,1370.744880701542,1466.9103967457816,1568.694771193462,1676.418925016635,1790.4091946268152,1911.0084101483192,2038.5809725851516,2173.512853821003,2316.211596619254,2467.105437226744,2626.6184218333615,2795.18616667925,2973.27361765808,3161.3751174121926,3360.014405332604,3569.7442643891004,3791.110467396394,4024.632111803302,4270.860796406562,4530.386195150197,4803.83605712551,5091.8762065710835,5395.184942674121,5714.348227425487,6049.953352639978,6402.630952570702,6773.054984687849,7161.942729678686,7570.028048244231,7999.385924678007,8455.792836571773,8945.469691674065,9473.372653421102,10043.29798653152,10658.791998315433,11323.215321016565,12039.734746719263,12811.318985846397,13640.827032208037,14530.874734919858,15483.902786082412,16502.111404208837,17587.275612260823,18740.83804887834,19963.831992419113,21256.63398771955,22619.118067883937,24050.640716302954,25549.688571118655,27114.071624733606,28741.042069554253,30426.97856603921,32167.446693912985,33957.543545621425,35791.73506295321,37663.661879674604,39566.66945981975,41493.857171873795,43437.79234396733,45390.90790049401,47345.78256647622,49294.98288391143,51231.103332038765,53147.16545630786,55036.62349155496,56893.249548278414,58711.36037956178,60485.89044188091,62212.34397707002,63886.86181850154,65506.226759109035,67067.78240422391,68569.41090163136,70009.76263034908,71388.04183547448,72703.77882621935,73956.84293684663,75147.72116817365,76277.38668129413,77346.96599207638,78357.73197184913,79311.27076301651,80209.54066007456,81054.52266025895,81848.18365516629,82592.56871163138,83289.98414890107,83942.69858704624,84552.88922725587,85122.66123265766,85654.22283084213,86149.7692032221,86611.37024908373,87040.97101312508,87440.45755191775,87811.7492413442,88156.65379771018,88476.85821286657,88773.9293174171,89049.38215578902,89304.70808898086,89541.29488708146,89760.42987552048,89963.29993506844,90151.02233424109,90324.69606219855,90485.33783228976,90633.89027733046,90771.222193148,90898.1291118734,91015.37338723418,91123.68108320676,91223.71981593187,91316.10816676624,91401.41568228268,91480.16287426995,91552.83338654277,91619.89829139657,91681.78317478439,91738.88341014886,91791.56507103231,91840.16493107661,91884.99046402327,91926.32374662136,91964.44170018722,91999.59116935827,92032.00028394492,92061.88123728153,92089.43028622658,92114.8277511625,92138.23801599584
13017,"Ben Hill County, Georgia",0.0,0.020185113273111174,0.15075984317276164,0.4774866030898255,1.067226913502243,1.9745599076417713,3.245630932123751,4.9221122695634625,7.0420362654153426,9.642500386754717,12.75993570938196,16.43041110642528,20.69126789337311,25.580899744271015,31.138181480771905,37.40366616170021,44.41983561731089,52.23105159955441,60.88265403131688,70.42163064458798,80.89736015289996,92.36161751132788,104.86858145712368,118.47451469200921,133.23605068025708,149.21228538583483,166.46544412678583,185.0608815752288,205.06708175735878,226.5553897279145,249.59577235395773,274.25960941398256,300.6225298222917,328.7644215724485,358.7694317372784,390.72589277793253,424.7201833842568,460.83360276992977,499.1521516734424,539.7674297397668,582.776635520356,628.2825664731444,676.3893598774521,727.1852398220618,780.7580664822873,837.2022020263325,896.6185064903586,959.1143377784853,1024.7992064343407,1093.9984577468326,1167.6351330920972,1246.7025516096505,1331.988465881736,1424.0920776177516,1523.5705888349985,1630.9497430498618,1746.7226195471094,1871.3491473271065,2005.2705766113145,2148.8882555334894,2302.5750211471136,2466.664969965987,2641.4242458979406,2827.066520925458,3023.7409975340074,3231.4931680687723,3450.2902178641207,3680.0188770156974,3920.4292273852366,4171.16604309565,4431.788107982898,4701.717437158796,4980.248816628658,5266.605195188036,5559.911192238945,5859.161036214412,6163.303563656316,6471.249877937103,6781.825914374456,7093.836013958877,7406.108093999484,7717.467136950963,8026.740401695431,8332.82258853772,8634.676616083745,8931.313241860591,9221.828392756925,9505.416003762344,9781.359729160344,10049.042049053978,10307.947310944739,10557.649355862795,10797.807383886451,11028.201471270055,11248.700209079669,11459.22465169202,11659.750293686893,11850.35059538262,12031.177029911625,12202.405997968855,12364.23755862387,12516.922096107832,12660.770083906744,12796.095891540215,12923.211798295913,13042.442874614395,13154.156669805201,13258.714930591868,13356.4648367858,13447.742141933892,13532.899622325349,13612.288269577444,13686.23900152303,13755.062726189297,13819.061058760071,13878.541374943983,13933.793169214912,13985.086549085918,14032.672326679229,14076.793158618982,14117.688139666023,14155.579721719625,14190.674208816996,14223.161757133317,14253.221397109754,14281.02941125866,14306.74886228234,14330.530898762443,14352.514794722953,14372.828042771132,14391.592880272232,14408.925794234117,14424.933866269377,14439.716292475625,14453.3643834355,14465.96156421669,14477.585351161499,14488.311314039333,14498.207707321544,14507.337927567394,14515.760661287128,14523.529884941956,14530.69486494408,14537.300791364622,14543.39207118197,14549.008274938335,14554.185963724787,14558.959139292538,14563.35924405296,14567.415161077573,14571.15321409804
13019,"Berrien County, Georgia",10.871849514433428,12.081683905780077,13.453554238357766,15.024229953045786,16.82643643494708,18.890597164336754,21.245911434043997,23.921463441801173,26.94652627479146,30.351367000570498,34.1673822892885,38.42725665886981,43.16551560235994,48.41852462238183,54.224355824502936,60.6233070789506,67.65805047227136,75.37373170873057,83.81757952885441,93.03923570447444,103.09141498577243,114.02991176004556,125.91361228908349,138.80462498324613,152.766741961986,167.86718829761503,184.17734551345427,201.7727515838335,220.7331009340921,241.14226140462588,263.084616715634,286.64729672908595,311.92303915672613,339.01020130133134,368.01276005671195,399.040307330895,432.2027203680913,467.60641178274795,505.3640549779366,545.5955861259539,588.4282041683213,633.9963708157851,682.4378121294524,733.8757191397173,788.4339093549366,846.244470067689,907.4477631292337,972.1924249495112,1040.630676368321,1113.1535229130902,1190.8091978925731,1274.7356587910824,1365.8559075843016,1464.8941643093622,1572.537992332885,1689.4476844429282,1816.253844500491,1953.555333853501,2101.9339662480206,2261.928988258352,2434.048216384001,2618.755185896543,2816.432978381136,3027.4005566252094,3251.8974466086547,3490.0346075548346,3741.823310060287,4007.171868582059,4285.815422230803,4577.353102104261,4881.271466695249,5196.881233875631,5523.328636159379,5859.664756089384,6204.812880019471,6557.528624443312,6916.5077658037035,7280.396499769604,7647.732550370228,8017.026285001982,8386.81863825073,8755.64801167092,9122.05741915366,9484.677127647117,9842.225654931195,10193.484074890936,10537.342727768339,10872.816761614498,11199.035455180676,11515.253388647603,11820.852969391679,12115.32822417072,12398.279533653604,12669.457468704079,12928.72128701269,13175.99354467481,13411.26257162177,13634.636312383149,13846.31664882519,14046.53393283787,14235.545514901878,14413.668377449716,14581.290436167677,14738.802408032065,14886.590672518332,15025.055327101774,15154.645720410343,15275.802493829618,15388.947408488557,15494.487134747018,15592.84713164465,15684.449197937089,15769.69025754819,15848.942477421242,15922.56597521271,15990.926396906969,16054.367423719157,16113.20927403244,16167.748812390975,16218.272600688944,16265.062088484812,16308.378765954418,16348.464893196104,16385.543500230717,16419.824219100417,16451.512835912556,16480.799404137397,16507.85997130995,16532.856625803808,16555.937604954677,16577.244771704965,16596.91291333534,16615.065827362847,16631.818146916878,16647.275340739172,16661.533713183824,16674.682652422176,16686.809023262773,16697.991157395463,16708.301798564207,16717.80827343865,16726.572491614108,16734.650945611553,16742.09541785233,16748.956604372826,16755.27961946075,16761.10614660197,16766.47494730393,16771.421861095703,16775.97980552797,16780.17877617303
