Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,2.124999999999997,2.3607038114936962,2.622386830847439,2.912665655769498,3.234283294120325,3.590100226589892,3.9830804921687393,4.416280402635141,4.892848972873534,5.416026701062322,5.989156475532701,6.615707873993392,7.299285054057374,8.043648447922147,8.852747683434881,9.730750277803875,10.682055354910247,11.71131545209648,12.823476989180914,14.023802991598297,15.317916631172045,16.71180182824703,18.21180401155238,19.82469820039501,21.557741080184556,23.41867478124956,25.415743763076918,27.557694814311827,29.85377705275791,32.31379544601026,34.948321284323065,37.768598127313936,40.78649933318785,44.01452816533539,47.46581779233299,51.15413974162292,55.09424029105328,59.30198049989535,63.79393863340057,68.5873804022389,73.7002589624988,79.1512149156872,84.95975096881806,91.14710621342611,97.73550381290733,104.7477190728509,112.20707858607591,120.13746023263131,128.56350239182828,137.51127415556977,147.02689715919303,157.16824685011625,168.00810532807253,179.63363032289,192.13799394117092,205.61984434293126,220.18318143413617,235.9368803446456,252.99334216112362,271.4688675262378,291.48170222445236,313.1517237275427,336.60039416749885,361.9477266964357,389.3115015704605,418.80757448583336,450.54482119337,484.62378934341393,521.1379439509236,560.1681134059713,601.7789166791654,646.0209503858185,692.9277775194815,742.5093450714068,794.7539563672378,849.6306744583328,907.0819014640979,967.0232132735166,1029.3497602675136,1093.9329591436215,1160.618659524659,1229.2326666663632,1299.583871092395,1371.4637951339912,1444.6487446423114,1518.9059139065341,1593.9947264360787,1669.670810294811,1745.6886518032218,1821.802966752284,1897.773806403691,1973.3708872388856,2048.3744557456525,2122.5717911291404,2195.763518560606,2267.769163178732,2338.4267370976327,2407.5858730532273,2475.111136984864,2540.8867393510673,2604.8161963817624,2666.8176819137852,2726.82280520471,2784.7796251566406,2840.652431860858,2894.4191557764116,2946.067344294467,2995.5967755415427,3043.0181982329727,3088.352709682206,3131.628037390475,3172.8794855860287,3212.148553714268,3249.482703599956,3284.933870357765,3318.557234468959,3350.4112234244744,3380.5562604286783,3409.0547481008525,3435.969916584231,3461.365930901382,3485.307067683573,3507.8570380086735,3529.0789874011543,3549.0351518309635,3567.7868116388063,3585.3941472099023,3601.915502878996,3617.4073816860746,3631.924442376613,3645.5194702279214,3658.2436736475315,3670.1462734073175,3681.2743500069982,3691.672843674134,3701.384554364128,3710.4502717836076,3718.909112863421,3726.798221888028,3734.15289711572,3741.0065995473196,3747.3909529261846,3753.3357437381983,3758.8690205561725,3764.017583205784,3768.806436844564,3773.2592027702512,3777.3981952374224,3781.244421457497,3784.817581598735,3788.1360687862375
B,0.1666666666666664,0.18520033025414342,0.20637546879500157,0.23173288524420155,0.26338016491958954,0.30380207482152743,0.35576299547844115,0.42220770207933395,0.5062602282190536,0.611169849106362,0.7403240732599687,0.8972668486837535,1.0856826442999488,1.3094219133654728,1.5725347199922044,1.8792848655935368,2.2341624682177557,2.64190640745223,3.107539031594603,3.636386063489524,4.2341240481629745,4.906781002990467,5.660737367975672,6.502795091160871,7.440203616373342,8.480693200752192,9.632503592733052,10.90438403204805,12.305593249725884,13.845955018303503,15.536016894040483,17.386996796119323,19.410788419906137,21.61996154493602,24.027762034913163,26.648120294252656,29.495928631962794,32.587156751348594,35.93858124145136,39.56776822515512,43.49307335918662,47.73364183411529,52.309548048235754,57.242536373815874,62.555433235735975,68.27178362596283,74.41585025816816,81.01261356772908,88.08795156126604,95.66916680332848,103.80258953318237,112.5459117936153,121.97127813425786,132.16495986106918,143.21960488377488,155.23387916549058,168.31240982388678,182.5654096769562,198.10747750986746,215.05797204436396,233.53921312342828,253.67618305753447,275.5964723448201,299.4273543709197,325.29498774852743,353.3246764961224,383.635817754462,416.34051127238314,451.5446837419752,489.342390666867,529.8120924777918,573.018712354446,619.0103804295015,667.8114284629681,719.4242431426537,773.8315775708727,830.9883875343444,890.8214546179225,953.235956389738,1018.1115776236794,1085.3001074006772,1154.6312561919224,1225.915924547547,1298.944991067659,1373.4914967281788,1449.3175046398696,1526.175148214549,1603.810445579674,1681.9663596382763,1760.3847862940825,1838.8115599656503,1917.0010073760527,1994.7171895857641,2071.7307051320936,2147.825174378898,2222.8033469696834,2296.486711326238,2368.7087220633107,2439.318176806299,2508.1845257919654,2575.1976097969864,2640.2627917584978,2703.2996350432504,2764.2454287622704,2823.0550292860075,2879.698062590203,2934.1545373397944,2986.417854072981,3036.493536650557,3084.3985506240574,3130.157183863716,3173.8021467148865,3215.373170543019,3254.916757471634,3292.484514080039,3328.1317545629418,3361.917595233628,3393.903594957715,3424.153736809638,3452.7331146544952,3479.7080357593577,3505.1451573832596,3529.1107362567545,3551.670628581921,3572.8898852846564,3592.8326681513427,3611.5621237204564,3629.1395515069808,3645.6243979682135,3661.074252533606,3675.5447786791765,3689.0900545963746,3701.762111148635,3713.610746491672,3724.6835260734706,3735.025782634292,3744.6807459324714,3753.6899010601946,3762.0926798442915,3769.926563536618,3777.227091112605,3784.0278592712575,3790.360522435155,3796.2548980206843,3801.7394907085586,3806.8409120384035,3811.5843034652257,3815.9934170148,3820.0906152836687,3823.8968714391403,3827.4317692192926
C,4.999999999999992,5.5545229111567,6.169223013359419,6.8481719580409575,7.594912939526705,8.412775396177851,9.305024214266053,10.27501685526913,11.326213625403742,12.462276777083012,13.687074230134249,15.004701290555515,16.41953178330248,17.936219058850106,19.55970969027805,21.295287034073638,23.148578918740828,25.125564169236586,27.232616022568823,29.476532524999563,31.864541431844835,34.40430027197417,37.103896553474215,39.97190833510418,43.01752244660419,46.25046249044858,49.680973781426374,53.31982334664134,57.1782999255121,61.268269194949134,65.6025003867751,70.19447343118203,75.0582381071017,80.20841377259487,85.6601893648516,91.42933009510519,97.53263323169804,103.9881418164547,110.81444700202574,118.03062620888791,125.65624312534413,133.71134770752357,142.21671103717674,151.19501988868487,160.66975101744998,170.66452680120997,181.20311374962805,192.30942250429246,204.00778937139108,216.32394364020578,229.30741368540356,243.02118377891702,257.545201288122,272.97531408573354,289.41287771451863,306.9637456009371,325.7379591225158,345.8489786849853,367.41188865798836,390.54376704036287,415.36127116200964,441.9802731648281,470.5158188952509,501.078761278211,533.7750010192401,568.7059186982025,605.9632579466893,645.62787455053,687.7713010577002,732.4504954059962,779.7046167074367,829.5575211985062,882.0152716329015,937.0604900761274,994.6545491806144,1054.7401118783614,1117.235210694787,1182.0334638375975,1249.0099871920497,1318.0191340585438,1388.893632062752,1461.4493960307414,1535.4883371895921,1610.7990183157044,1687.1586444013244,1764.3378404422492,1842.1023779659,1920.2171456759604,1998.4481733887997,2076.5632157942273,2154.3368027173556,2231.5540957461094,2308.011336733408,2383.512198210761,2457.873701956268,2530.930997971219,2602.536957058587,2672.5555865945894,2740.8651162694396,2807.3620726867034,2871.9609094747143,2934.5897607597126,2995.1893048342836,3053.715374277801,3110.1387330607618,3164.442733850663,3216.6196570431016,3266.6730297624185,3314.6164790886337,3360.473166620491,3404.272387415528,3446.0504116166276,3485.849244850031,3523.716417657725,3559.703605739573,3593.865464060239,3626.259661295307,3656.9457421033467,3685.985111803985,3713.4399355432006,3739.3732108417876,3763.8480468315347,3786.927038397921,3808.6722661801136,3829.14494944738,3848.4053565778086,3866.512719332546,3883.5245383483043,3899.4965780384437,3914.482863082529,3928.5356039674552,3941.7054806096075,3954.0412780158053,3965.5897306127376,3976.3955222469554,3986.501286184876,3995.9477115747745,4004.7738320082794,4013.0167878593247,4020.711924037078,4027.8927970087148,4034.5911747994237,4040.8370369923978,4046.6586647296726,4052.0830834776184,4057.1355759098105,4061.8400610975955,4066.21916441048,4070.294217516135,4074.085258380393,4077.611031267251
D,22.999999999999968,25.550642026756556,28.376019681229717,31.49036889207879,34.90388897122021,38.62507562591387,42.66192809379583,47.023196383167914,51.718497386407066,56.75908585353854,62.15783852127491,67.9292814941797,74.08996381785319,80.65833887962073,87.65466538586307,95.10121946308163,103.02228669744879,111.44409500346832,120.39490383733856,129.90519155323898,140.0075113577082,150.73648892701613,162.12882222151745,174.22348482789036,187.06228029232892,200.6894938991367,215.15178974396716,230.4982107338237,246.78017858706016,264.05178029785066,282.3711356687466,301.7995585892666,322.40106302929934,344.2423626233042,367.39287067031324,391.924739312451,417.914811546324,445.4454206431837,474.6016891304955,505.4713075395871,538.1445344056481,572.7141962677299,609.2766834998185,647.9368823343907,688.803622360432,731.9871237541021,777.5989920633467,825.752218207899,876.5623441638166,930.1512414394043,986.7482520639732,1046.6443200104068,1110.2080171236812,1177.8813672908955,1250.1337602275994,1327.458064205619,1410.369570615735,1499.4030329535658,1595.105141000292,1698.0363790987165,1808.7609250746498,1927.8451861494464,2055.8577167509857,2193.3546131836856,2340.8760775678547,2498.948113521624,2668.059411207652,2848.655441123163,3041.144710287225,3245.8740245353133,3463.112933530721,3693.0640290800225,3935.849956867245,4191.48510024479,4459.884567959529,4740.874842287061,5034.162140093455,5339.331950809252,5655.8766186501825,5983.181363116056,6320.516707385968,6667.062048568846,7021.919203248463,7384.110720779955,7752.589133469366,8126.26334630566,8504.004867825895,8884.665052245453,9267.086906677145,9650.111627326605,10032.601434686116,10413.458755110212,10791.63072882122,11166.094430157562,11535.885478724464,11900.12369230213,12258.011379412208,12608.803909948187,12951.824453609897,13286.486882084195,13612.294621286224,13928.81984757997,14235.6976422001,14532.641678164837,14819.443676390478,15095.961305356886,15362.098925140299,15617.821074112346,15863.147292896554,16098.149121528488,16322.931663439756,16537.638540519336,16742.446224778774,16937.56296030525,17123.221125923716,17299.670575383374,17467.179564954167,17626.028788097596,17776.511289330556,17918.92613067405,18053.578627913255,18180.776809425275,18300.827993147825,18414.03878657927,18520.712965140323,18621.150672767748,18715.648240380335,18804.494220195542,18887.969355684247,18966.34655585689,19039.890124246387,19108.8574350073,19173.49684981623,19234.04669910172,19290.73528204425,19343.780866576242,19393.392129467087,19439.769588824074,19483.104536986553,19523.579193639016,19561.366729997204,19596.63126880804,19629.527884349693,19660.20305164833,19688.79691946461,19715.440866303074,19740.259269252998,19763.36984524696,19784.883651060805,19804.905083313664,19823.531878467966
E,3.0833333333333286,3.4252670284282165,3.8040297294575907,4.221534089217718,4.679172949683596,5.178150240204476,5.719657760638257,6.305057253775775,6.935902201818641,7.614052441095711,8.34167416500408,9.121244558190613,9.955610207549276,10.847969856582752,11.801858665166845,12.821184845119014,13.910230108601935,15.07364122480148,16.31644207991846,17.644070900602777,19.062368081980026,20.577575920211437,22.196338908591912,23.925749422594404,25.773420930387072,27.747464305836214,29.85648635403845,32.1095898113208,34.51637334524073,37.086993056981015,39.83236820830834,42.76407116314563,45.8942962830858,49.23586013455124,52.802201488794005,56.607390910607215,60.66645608985304,64.99549591874082,69.61132870840457,74.53146891454871,79.77412713744792,85.35821012194727,91.30348414882957,97.63138353017342,104.36432292374495,111.52530615850287,119.13792551378467,127.22636171930628,135.81557755718615,144.9318833236705,154.6219706499189,164.94452911776017,175.97341702226134,187.7971357138424,200.51039258250987,214.21359829978263,229.01277002559561,245.01910249433064,262.34767278078465,281.117837603849,301.4514040277151,323.4723527070894,347.30681435865637,373.0801955426966,400.91642926545217,430.9382489351285,463.26231328419397,497.9978805986786,535.247918367085,575.1036255140382,617.6408734444415,662.9221847709123,710.9936004828209,761.8779787619537,815.5767532378673,872.0721105029032,931.3191553884914,993.2455310717023,1057.757653142451,1124.7369494299833,1194.0375124813795,1265.4916377931793,1338.9129456663668,1414.0951446624454,1490.8141089229275,1568.834506436541,1647.9108020559454,1727.7908809249006,1808.2190487232183,1888.9380594937857,1969.693961580024,2050.240517495289,2130.3405099640613,2209.762762769645,2288.2884922094127,2365.7173673916695,2441.8671487893025,2516.567272534154,2589.6621308958943,2661.0164731015448,2730.5151980601954,2798.0586237654306,2863.5611627326534,2926.955027781738,2988.1901325230897,3047.2313124858433,3104.053914009182,3158.646941984231,3211.0118860844113,3261.162032500417,3309.118247560785,3354.910135647904,3398.5747432084518,3440.1563115179297,3479.704541865335,3517.2730994581534,3552.919817414526,3586.7053333573494,3618.6930700187995,3648.947818380938,3677.5358079436273,3704.5238858152024,3729.9787408871953,3753.966903834328,3776.554283978892,3797.806016469041,3817.786395253818,3836.5579842876064,3854.181610877965,3870.7163603382496,3886.219431466111,3900.746509693824,3914.351287810545,3927.085245051624,3938.9976470986144,3950.135546079268,3960.543889047811,3970.265856508445,3979.342595953646,3987.8132700308934,3995.715062735686,4003.08317941155,4009.9508467500327,4016.349415397428,4022.308878765883,4027.8573099432215,4033.0212622697145,4037.8258471561057,4042.2947340836126,4046.450150603924,4050.312882339203
F,2.0416666666666634,2.26813651837565,2.5196892878116643,2.799129756937154,3.1095561620185674,3.4543576159217024,3.8372156824856627,4.262106933104412,4.733311623245435,5.255421661817459,5.833350524299411,6.472349196859099,7.178018855852192,7.9563226125297,8.813606263626555,9.75662448169102,10.792549878174945,11.928985556455517,13.17400562167294,14.536189117054397,16.024644347783234,17.649009185398707,19.41945187026054,21.34675219866413,23.442381992244695,25.71849662473283,28.187948919100748,30.864289147562157,33.76176503157249,36.895398490544274,40.28126760145858,43.93637165290197,47.878580402068934,52.126634275380695,56.70014436848571,61.61960255517706,66.90682104381264,72.58513092247156,78.6788423796322,85.21320224998937,92.21439401445454,99.70953780015556,107.72690951406537,116.29712017239464,125.45211158871783,135.22453840119329,145.64776648528849,156.75587295377974,168.58392945123973,181.168853134623,194.57605444647388,208.8876201371243,224.20674842723923,240.65694450161783,258.3700951301928,277.48567115323556,298.1505289628992,320.51821025878934,344.74702352667714,371.0005412623727,399.44487635773044,430.24824026930264,463.58085078360233,499.6107666082873,538.5028091777648,580.418951505673,625.5114396866779,673.9209583555394,725.7782873840536,781.1967700967141,840.267479766992,903.0621400830468,969.6290218716009,1039.9840493428655,1114.1134172074348,1191.976766009339,1273.4971143392333,1358.5605913255583,1447.0249836655596,1538.7151866247757,1633.420619741111,1730.902631377137,1830.8987145079177,1933.1216950449148,2037.2625995688338,2142.999031376636,2249.9969225113296,2357.9157793030417,2466.412393080227,2575.142960839374,2683.769947158136,2791.96797769223,2899.4252221853803,3005.8389090703827,3110.9239514496985,3214.420733996311,3316.09458411472,3415.7267387413826,3513.118821031607,3608.09964768462,3700.5248506929406,3790.2705456288477,3877.231600467132,3961.326179553456,4042.495531575715,4120.700360981154,4195.915112171676,4268.1318758028265,4337.358756317304,4403.618983485972,4466.945516577899,4527.382472139205,4584.983331585724,4639.810616851256,4691.933687260428,4741.426862992538,4788.369589941585,4832.844666846943,4874.9382207729395,4914.737933110461,4952.333147217164,4987.813766999992,5021.269264368629,5052.788679235499,5082.4600521569755,5110.370264120294,5136.60491486806,5161.247202951538,5184.377917457796,5206.07543186377,5226.415558629618,5245.472013743024,5263.315810502895,5280.014994298419,5295.634642609065,5310.236865004589,5323.880957219896,5336.623850947637,5348.519747157735,5359.620217447663,5369.974213471336,5379.628066939116,5388.6254896178025,5397.007709499786,5404.814152407368,5412.081696342685,5418.845216861655,5425.137691191001,5430.9901982282445,5436.431918541712,5441.490134370532
G,0.208333333333333,0.23146342103155904,0.2574210880226265,0.28708430112732547,0.3216047859920125,0.3623215057436012,0.4107164716230883,0.468370058570861,0.5369620192378853,0.6182485355312759,0.7140701476399038,0.8263634156652587,0.9571564814444098,1.1085833973921193,1.282902927977436,1.4825110861358017,1.7099493298133384,1.9679184399809548,2.259297699495875,2.587160501159343,2.954806652207643,3.3657627983614113,3.823783130542449,4.3328959010665695,4.897411318859719,5.521955586828191,6.211494584566299,6.971333868356375,7.807118671168792,8.724876715330105,9.731100372719109,10.832728324826466,12.037180093857296,13.352356404534174,14.786639184097188,16.34890084907834,18.048679732195872,19.89620742328122,21.902342920954517,24.07857786383901,26.43703653056101,28.99047583974988,31.75238476080399,34.73736555670456,37.96085896669978,41.43903702404557,45.1888034468913,49.22779363828003,53.57446841460787,58.248338018964866,63.28173929126425,68.71495314584809,74.59836140335918,80.99246610051128,87.96299260600591,95.58093522722066,103.92269324109733,113.07009389739028,123.10988364804066,134.13414965041352,146.23958442945315,159.5274567389581,174.10378543211885,190.0778482772097,207.56178946958045,226.67084704935849,247.52030384348484,270.22457679363794,294.89775000456405,321.6495773736252,350.58272693812125,381.7936996779646,415.3699063770479,451.3837670142523,489.8933551533272,530.9433805792461,574.5570306194354,620.7347845880322,669.4589316960537,720.6884943651838,774.3550630106703,830.3674155754034,888.6139865716486,948.9582605541074,1011.2400984323777,1075.2833510162402,1140.8949305923688,1207.8659903004036,1275.975767512994,1344.9959842810642,1414.693147870065,1484.832272850025,1555.1797029552579,1625.502962227241,1695.5754509702642,1765.1830495477718,1834.1240360304582,1902.205858047478,1969.2473914987131,2035.0855586492894,2099.575651514843,2162.5872790241533,2224.0029698270782,2283.723371831763,2341.6675573636962,2397.7701610141708,2451.9766042496262,2504.2473104086293,2554.5569814143496,2602.893832416517,2649.254677175715,2693.6465358842497,2736.08576611694,2776.597812803294,2815.2150997547374,2851.9751083794335,2886.9210731559397,2920.1005182943654,2951.5652336628,2981.369440379305,3009.569802998178,3036.2247006511325,3061.3933167001824,3085.135638737645,3107.511808589997,3128.581800614074,3148.405495708485,3167.0415622912824,3184.547447469521,3200.979367918017,3216.391983331216,3230.8388945234465,3244.3720393114863,3257.0413593982184,3268.894800372632,3279.978311709823,3290.3359150394836,3300.0100477364513,3309.041339373546,3317.4684998205685,3325.3283204307377,3332.6556740406927,3339.48351497049,3345.842981355376,3351.7639456279753,3357.274440362691,3362.4009878266434,3367.1686733764386,3371.6011454581644,3375.720615607393,3379.547858449181
H,0.37499999999999944,0.41663039671965196,0.4633017176505887,0.5164830451386786,0.5780804294448474,0.6502873374758642,0.7355042376653799,0.8362570120274329,0.9551922051186592,1.0950305445578978,1.2585749334082055,1.4487228948330677,1.668449697628294,1.9208275325911026,2.2090518845142317,2.5364469728254018,2.9064738244772843,3.322746270321816,3.7890584728913588,4.309393970587966,4.88795533976714,5.529164628138342,6.237663892221184,7.018359250202545,7.8764467728195875,8.817421104252556,9.847089189788651,10.971570275822023,12.197295909853791,13.53104226438955,14.980051776977303,16.551983193541677,18.254891648285096,20.097228749545014,22.08784257979408,24.235982205676642,26.55149315263759,29.0449090297731,31.72721543344602,34.60983134398574,37.704609125688165,41.02383452681567,44.58032714716865,48.38797167539715,52.46127034403381,56.81507107623626,61.4645668303583,66.42529559994982,71.71326828833955,77.34535530761684,83.35136179480743,89.76868813736807,96.64435745588825,104.03467674721672,111.99985242680549,120.60365395094118,129.9133389444018,139.99935718694724,150.934498839119,162.79413784652553,175.65501417446404,189.59504302017035,204.69329308672653,221.02809366212622,238.67654620208626,257.71472008209605,278.214479867759,300.24263448544446,323.86170988361096,349.1264302403411,376.08144342218986,404.7626724408267,435.19536288780455,467.38983626486714,501.34269156441127,537.0382871273216,574.4438403071764,613.5092478948328,654.1711455960702,696.3506144821229,739.9518045988605,784.8654866619842,830.9710593647096,878.1359227129551,926.2168229524802,975.0639818940965,1024.521792270686,1074.4311934221623,1124.6315111429235,1174.961609699079,1225.2630073353355,1275.3826657543111,1325.1737253355288,1374.4934867413676,1423.2074235549528,1471.192925006993,1518.3390533900445,1564.542341905401,1609.7088785673723,1653.757585302229,1696.6200547339556,1738.237540018184,1778.5601262657087,1817.5489305625867,1855.176008883614,1891.4226203911767,1926.2764938521161,1959.7337147765575,1991.79795161856,2022.4800308869346,2051.795357012526,2079.764605210667,2106.412871491366,2131.769517775566,2155.867121856846,2178.7405869045306,2200.427225699048,2220.9659162319235,2240.397090086525,2258.761893293701,2276.102241878379,2292.460299202908,2307.878005213944,2322.397076442455,2336.058741405527,2348.9036715277316,2360.971920021772,2372.302394752469,2382.932854357875,2392.8999054929823,2402.238942990772,2410.984367553586,2419.169299651038,2426.825457652319,2433.9831578262,2440.6713143410284,2446.917515556553,2452.748241190225,2458.1886815209805,2463.262792714825,2467.9933015970482,2472.4017056522266,2476.508273024219,2480.332107595305,2483.8914737834853,2487.2034393228387,2490.2841369157786,2493.14881407295,2495.8118331132273,2498.286671163723,2500.58592015978
I,1.3333333333333313,1.4812594021793262,1.6459151621254209,1.8298885181083846,2.0362336861229604,2.2683237382388244,2.529765308165561,2.8243129829229443,3.1558610556076045,3.528394158831029,3.9459958789943803,4.412865937229486,4.9333013356341535,5.511720063146955,6.152697120507879,6.860971226058306,7.641454020148781,8.499249153569846,9.439695937403675,10.468377998446242,11.591151008098679,12.814143131764318,14.143755492184235,15.586717047747578,17.15014676591741,18.841529038901818,20.668717350347457,22.639934275339503,24.763771480401754,27.049229662507063,29.505928345520843,32.14399700007181,34.97399978465768,38.00693545132083,41.25423734564852,44.72777921222837,48.44018519568083,52.404970541574116,56.63611058170392,61.14800443472544,65.95547500615332,71.07376898836162,76.5187230824028,82.30757220083674,88.45821262409461,94.98879530174624,101.9177251025298,109.26366081435194,117.04570676675911,125.28405702413302,134.01616676640646,143.28943703749997,153.1638465867846,163.71135060815794,175.00852737709562,187.1360105795332,200.17834859006476,214.22356604709992,229.36198293103146,245.6865460125211,263.2912161945072,282.27074551643153,302.7206991204629,324.73506549795417,348.4056969850471,373.8226220859094,401.0701785722304,430.22601750564104,461.3621619410188,494.54078810326394,529.8115452639267,567.2132787298858,606.771746252321,648.4946329689185,692.3730380875751,738.3832705482539,786.481121063823,836.6016874152908,888.6641699393997,942.5692073517495,998.1973070559393,1055.4130102362383,1114.0672568815912,1173.9967107214663,1235.0253480961146,1296.969299436438,1359.6377278178527,1422.8356715605023,1486.3662251913443,1550.031893099937,1613.6383706121055,1676.9978874003875,1739.9301037483945,1802.2596837035069,1863.8211698194539,1924.4635236051454,1984.0498372855218,2042.4522999885246,2099.554718270471,2155.2565525925165,2209.4727339788096,2262.130025615975,2313.166004739477,2362.5318159242,2410.1920772227377,2456.1227597513316,2500.3078280060695,2542.741597762639,2583.4278203851236,2622.3791592247558,2659.6139899483946,2695.1572685492883,2729.0395239976906,2761.2966692341797,2791.9686874569275,2821.0985031384075,2848.7321219688656,2874.917591886074,2899.7049884179887,2923.1453465816085,2945.290717566172,2966.1935398468677,2985.906051248756,3004.4802889467737,3021.9677432716717,3038.419248498024,3053.8849278681273,3068.413524495182,3082.0523963710625,3094.8475124862343,3106.843352590826,3118.083186930517,3128.6087175219845,3138.459915478405,3147.675021009454,3156.290543421307,3164.34134783011,3171.860916345955,3178.881139835876,3185.432367093922,3191.5434099924482,3197.2415434821096,3202.552505591866,3207.500576962122,3212.108980661008,3216.399446675492,3220.3925273946534,3224.1076582276023,3227.5631576034752,3230.776226971441,3233.762950800694
J,0.1666666666666664,0.18518631290325763,0.20616802101266613,0.23075823778296967,0.2605121184452798,0.2972658215468161,0.3430725419177872,0.4001374901112521,0.47081961118224747,0.5575977833129295,0.6630815395314286,0.7900258841083748,0.9413240056433513,1.120026228465099,1.3293648390104431,1.5727699470443832,1.8538801544879957,2.1765608698571257,2.5449302613190343,2.9633813590369473,3.436625002113149,3.9696903985856045,4.567926129933677,5.237065786240825,5.9832381441261395,6.813016589885576,7.733453028281745,8.7520778825439,9.876900094367983,11.116470339799747,12.47999261713866,13.97730139732258,15.618919407829331,17.416058195458795,19.380618126333093,21.52520284367713,23.863368617012302,26.409648482954598,29.179492132181593,32.18927851275905,35.456315830140866,38.998841547169086,42.83616883760122,46.98919915394482,51.48006468318969,56.33202094468702,61.569447697588096,67.21784894084436,73.30397972495285,79.85613725475818,86.92103110983504,94.55687404274984,102.83651114287716,111.8475416029318,121.6854127169112,132.45360598126044,144.26391339214987,157.2366046771868,171.49983968066547,187.19038198092545,204.4527952506661,223.43951674803395,244.31128581352903,267.2353184586998,292.3848949425642,319.93983820442185,350.0825281091238,382.99671726308543,418.86838047240025,457.8802074485517,500.20775542863527,546.0206851196472,595.4784615496337,648.7216681370667,705.8726531370613,767.0366509744833,832.2889482246471,901.6726763358353,975.2050034428026,1052.8683284766514,1134.6026617229209,1220.312134363499,1309.8683366788619,1403.100468865496,1499.796733514599,1599.7167839760143,1702.588545035725,1808.1076403614572,1915.9439427703342,2025.7506001426616,2137.1649307030166,2249.8132089457363,2363.316539386913,2477.2936647027054,2591.3663464630054,2705.169925851022,2818.3535312415397,2930.5788701921124,3041.5223787550767,3150.8869593512472,3258.4031319150017,3363.823568233312,3466.920632977336,3567.4965356107405,3665.3843665371146,3760.4434362479046,3852.551063053775,3941.610752542791,4027.551730706761,4110.327600282156,4189.907339819316,4266.278518079431,4339.446609376535,4409.434592330926,4476.2789290735245,4540.025708344881,4600.7326257386185,4658.466491690533,4713.303184573272,4765.323942977704,4814.615243356165,4861.26787177504,4905.375240897168,4947.033389981854,4986.339584929143,5023.391441882868,5058.287387704929,5091.124475320399,5121.998365581767,5151.003305573966,5178.23124054752,5203.772825990069,5227.716315888262,5250.146834201607,5271.146374862449,5290.793801775979,5309.164882256228,5326.332813663794,5342.36799412638,5357.337596330637,5371.305560910661,5384.332596448021,5396.476179471716,5407.790720263464,5418.328496985408,5428.138723345417,5437.2680051298985,5445.760454244708,5453.657688715138,5460.998832685929,5467.820516421257
