Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,554.4643252361049,615.6754427077487,682.4636888406768,754.5977862211852,832.0724885241283,915.0333256889469,1003.7381444381905,1098.5173974947816,1199.770721787338,1307.9427755206755,1423.5240181553536,1547.0507099286247,1679.094174243244,1820.2653657380251,1971.2197663659847,2132.654492029754,2305.309666336665,2489.9732749244054,2687.480411426646,2898.713391265672,3124.6151206750637,3366.189273351043,3624.500602549191,3900.683119409571,4195.910462963326,4511.4286641016115,4848.5719640938605,5208.762814587782,5593.51187760937,6004.421333073059,6443.123437211639,6911.3205985296,7410.840530816302,7943.636494626411,8511.787297279945,9117.498155357234,9763.01742522216,10450.56743471047,11182.521654575445,11961.42421273257,12789.989894259541,13671.104141396238,14607.760598891202,15602.754374812563,16658.941448422225,17779.38525843151,18967.35696024714,20226.335425971334,21559.924006292276,22976.637480038735,24498.210445025437,26148.469848240467,27947.23500038166,29910.635655500137,32054.404210499637,34394.06040021078,36944.87296855707,39721.8309542394,42739.9383600654,46013.6997741787,49557.32755714805,53384.4651310758,57507.40432482381,61937.366471513866,66684.13903501886,71754.93887536817,77154.92008468002,82887.04880631327,88950.40512305236,95340.85254674006,102051.48452456914,109071.02615888038,116383.91025171435,123971.80625585478,131812.76377807886,139880.05083752616,148144.7384297748,156575.94348720607,165139.20289021288,173798.52726947633,182517.98377161636,191260.78531842504,199989.38838184788,208667.9575435826,217262.44013428653,225739.7155493965,234069.06358308648,242222.86272972007,250176.2542073989,257907.23668006112,265397.1387198238,272630.3382673138,279594.04155568057,286279.22327544866,292679.8543458985,298791.7970259713,304612.8523795868,310143.9555138694,315388.65000134864,320351.4152153367,325037.6029887637,329454.2419194944,333610.344605401,337515.11320317094,341177.73969219,344607.8695472191,347816.52691776305,350814.5806989426,353612.45974926295,356220.25164063816,358648.59267842065,360908.0692222727,363008.64401679114,364959.6583824751,366770.1670775251,368449.40023426013,370006.030537711,371448.13128594944,372783.179260922,374018.39790736116,375160.8910192233,376217.2505543352,377193.5759048855,378095.4738974252,378928.21113212546,379696.9610489292,380406.49357107916,381061.2215402927,381665.2019451671,382222.13872678956,382735.5754758893,383208.87471588823,383645.1194626032,384047.16126520874,384417.6202062361,384758.8849015738,385073.1696494862,385362.62388240994,385629.18031195196,385874.6321857196,386100.63767654425,386308.71988248115,386500.2668268092,386676.5489324486,386838.8073782403,386988.1432123302,387125.5728825337,387252.04095911415,387368.420134782,387475.5112246947,387574.04316645773
B,43.487398057733714,48.43790726348383,54.64700661458745,62.74629652868124,73.26150209709705,86.65780472451054,103.36557161930585,123.80699022416653,148.40156448206127,177.58453960270597,211.8091488418773,251.54998969004117,297.3146311761285,349.6433157428071,409.1072509302238,476.31897379238274,551.9349131046329,636.6569598548916,731.2290500384483,836.4444566559566,953.1555028700897,1082.273657044666,1224.7697456967667,1381.6806167802915,1554.0933879661457,1743.1684963754317,1950.1502655531606,2176.3669054682523,2423.2305125135445,2692.2441690489336,2984.9663952672954,3303.03320497348,3648.1997706276575,4022.340632180605,4427.449697073733,4865.642323544193,5339.109955911638,5850.057380879624,6400.835916819249,6993.960291784826,7632.108643513856,8318.122519427048,9054.967793701775,9845.501207150446,10692.654677308432,11599.561443404511,12569.556467702321,13606.176435500358,14713.092967160626,15898.39286800259,17181.88323888615,18585.473798521496,20127.767448438615,21824.311180372526,23690.535783989304,25741.895121251284,27993.828055771133,30461.728136903595,33161.19491370459,36107.56896551534,39316.097832483494,42801.67653109055,46578.11453279199,50658.358556494895,55054.1381986937,59774.8675727011,64828.06520522251,70219.21216662166,75950.07765437526,82019.2816056617,88422.68570380485,95151.78073305136,102193.66885381438,109532.50869267614,117148.6297803239,125017.27569585756,133111.1415957312,141400.60616987833,149851.9978891389,158429.65777720223,167097.59132718475,175818.49490304178,184553.78574032013,193266.29336830223,201920.3606099491,210480.8487517097,218914.78495537813,227192.26013203608,235286.0496492284,243171.57384583956,250827.656096203,258236.33768906593,265382.59653200186,272255.1729559496,278846.0040959369,285149.15460671386,291160.8530076209,296880.5747521306,302310.6203830566,307454.4169046452,312316.43347244244,316902.9822575869,321222.56117489375,325283.97140795854,329096.09728406195,332668.385622152,336011.8234176695,339137.31050501956,342055.3393734502,344776.0989598319,347310.42518987216,349669.1601005839,351862.5177537354,353900.08509796974,355791.1820467087,357545.36435547174,359171.6199548081,360678.31614817376,362073.20269272063,363363.78450327175,364557.47009862936,365661.1341393397,366681.135005697,367623.31479774404,368493.1654497472,369296.1011833942,370037.11358674,370720.817857958,371351.45412817923,371932.8905062254,372468.8340796087,372962.8103194767,373418.0493072594,373837.5366394519,374224.01342761423,374579.9762983709,374907.73981074605,375209.558033308,375487.45633236115,375743.3126925418,375978.86245736555,376195.6983292273,376395.27036940143,376578.9051415749,376747.90341909544,376903.41794477956,377046.5119854982,377178.17313939036,377299.3133358632,377410.76883559173,377513.30023051956
C,1304.6219417320115,1448.588514035373,1605.345114339799,1774.0631168099992,1954.4677368928556,2146.639023710114,2350.911426835949,2567.769861283766,2797.841495459353,3041.8323626142937,3300.529099698906,3574.796991203554,3865.551042960539,4173.766028430279,4500.485952672684,4846.812194063183,5213.905470377232,5602.99461784514,6015.372081621569,6452.389172918604,6915.4798441327575,7406.1610129496785,7926.03304174993,8476.786189955366,9060.13976923494,9677.902721933351,10332.000729255156,11024.476211264759,11757.488326886421,12533.308152979349,13354.18911695395,14222.451581735522,15140.575896948429,16111.202747899642,17137.133155578784,18221.326711653266,19366.71582214317,20576.10518485871,21852.47959490612,23199.03297535315,24619.16837722912,26116.49797952482,27694.712092762977,29357.038530190337,31106.726079729564,32947.263923833154,34882.38157026491,36916.048852100015,39052.33732213021,41302.44259591557,43697.14406852715,46269.67311234299,49046.672365892344,52048.74076332293,55295.25748210973,58804.71419695063,62594.671175098876,66681.7335169925,71082.01476306345,75810.4256613761,80881.02541937307,86306.66802215518,92098.00285727179,98263.95165490787,104811.28339346575,111743.25776789208,119060.42488421038,126760.52982503771,134836.56456884838,143277.77779777563,152070.3032880341,161195.3989410709,170629.73438822088,180347.26638003494,190318.32553487757,200508.49660359038,210881.5557251646,221399.74412350997,232022.13769255346,242706.8760458106,253412.76268164587,264098.3618158792,274722.20198092214,285245.0995530883,295630.2007757946,305842.28569383523,315849.1026952427,325621.8467919969,335134.8729055857,344366.01847807557,353296.7278419946,361911.6270101327,370198.3766629055,378148.90878806624,385758.2954511454,393023.4867082191,399943.37917668483,406520.3275945705,412759.4401047462,418666.72074230533,424249.02432836674,429514.9807805204,434475.32693581533,439140.9466569216,443522.66193141346,447631.74810235563,451480.9580708361,455082.8450668377,458449.458631098,461592.4531419112,464524.06889226066,467256.47989796463,469801.163121182,472168.90077567217,474370.1495066022,476415.556944796,478315.14875009103,480078.2779786604,481713.6282401694,483229.59642130183,484634.4490147837,485935.8755020622,487141.00630149385,488256.412768344,489288.27942091663,490242.68985090044,491125.26973445655,491941.23325297475,492695.38445632276,493392.1204596157,494035.6545573554,494629.99815921887,495178.8383076062,495685.59038770926,496153.3981275128,496585.13359779335,496983.46471018554,497350.98943869106,497690.0534786973,498002.835611361,498291.3527784524,498557.46008235426,498802.8507860622,499029.0778391734,499237.66524125985,499429.9706469638,499607.2485731549,499770.66575601225,499921.3011510244,500060.14593298914,500188.1034960138
D,6001.260931967252,6663.895320485789,7387.481027274134,8169.832075693613,9010.926113582535,9912.119795753273,10875.768211014507,11904.829713379959,13002.85265778051,14173.74305961949,15421.783462979385,16751.63513855566,18168.242706596746,19676.878527850557,21283.17902766833,22993.117850325274,24813.021149121138,26749.606328088823,28809.955639876847,31001.512449985654,33332.19829707903,35810.4144071953,38445.04406449473,41245.491134976015,44221.40018060407,47382.95125589815,50740.99160461445,54307.03565974621,58093.26504352374,62112.525865771204,66377.72196214745,70902.20510886994,75700.2475002842,80787.04364616508,86178.7103717169,91892.28439617966,97944.86459934834,104353.06110349817,111134.54902843757,118308.22485873244,125894.20644370624,133913.83299743978,142389.04375978385,151339.65974510496,160785.76889695038,170748.89927415425,181252.01963720683,192319.5394482542,203976.59771021997,216288.98187247018,229432.6369604804,243598.5711995138,258942.0821199382,275585.76477865194,293646.8127004809,313238.84611183807,334471.71312131017,357451.42457778304,382282.75437982974,409065.31300857104,437895.42717688496,468864.1228350575,502051.4275625035,537528.8049777243,575356.6037133435,615576.0394019914,658213.2771696497,703278.6640790903,750754.8977401354,800602.2009064392,852761.6285765339,907144.0395682903,963630.9497076174,1.0220852437481513e6,1.082345260086653e6,1.1442170053460454e6,1.207491775360713e6,1.271947728282793e6,1.3373388934551284e6,1.4034090004073316e6,1.4699019551879657e6,1.5365557545993878e6,1.6031032110984947e6,1.6692883129156346e6,1.7348667353821797e6,1.799600383994979e6,1.8632672537179987e6,1.9256661502688867e6,1.986614588798693e6,2.0459497385671195e6,2.103531693613205e6,2.1592416927764225e6,2.212980732835611e6,2.2646763529654345e6,2.3142774050719393e6,2.361746561842576e6,2.4070606523475265e6,2.450219167464214e6,2.491240778828983e6,2.5301515691182325e6,2.566984577255422e6,2.6017855424335934e6,2.634615304958316e6,2.6655368019353114e6,2.6946135835520327e6,2.721913165184787e6,2.7475139024179783e6,2.7714936680997075e6,2.7939276188207455e6,2.8148889159293445e6,2.834455408743071e6,2.8527051732520754e6,2.869711978684493e6,2.8855452869419595e6,2.9002727915048595e6,2.9139640436260407e6,2.926684675195169e6,2.938495958684865e6,2.9494548287569964e6,2.9596165578200757e6,2.96903589154993e6,2.9777637838879446e6,2.985847480615508e6,2.99333051935401e6,3.000253943151834e6,3.0066583556978595e6,3.0125813251297013e6,3.018057655214674e6,3.0231193947420395e6,3.0277958599157073e6,3.032115221870928e6,3.0361044066519216e6,3.0397881487209327e6,3.043189344309558e6,3.046329051418743e6,3.0492264898187844e6,3.051899520974002e6,3.0543656291901334e6,3.0566405962633425e6,3.0587390693976847e6,3.060674596602539e6,3.062459626692604e6,3.064105509287895e6,3.0656226493492513e6,3.067021318567276e6,3.068310659922896e6,3.0694991124040317e6,3.070594519576071e6,3.0716041295818714e6,3.072534595141756e6,3.0733919735535174e6
E,804.5168640680736,893.3339587747696,990.2432405098789,1094.8887728010118,1207.2163351612867,1327.364013058656,1455.6093340516118,1592.3144156447638,1737.9245979738844,1892.9364637545627,2057.9009024677443,2233.4239454742105,2420.153881346759,2618.7877226297073,2830.076941155024,3054.824105797433,3293.8851006906652,3548.174390188207,3818.6635366058463,4106.381489713616,4412.42957467393,4737.981687899527,5084.284621329391,5452.665892575404,5844.501948479021,6261.254280928228,6704.486272689928,7175.863197409955,7677.152219613075,8210.226362359748,8776.996743480548,9379.456284660224,10019.740961675257,10700.130074475544,11423.046247184446,12191.056488975102,13006.78036758129,13872.81187457718,14791.91714120025,15767.056373331616,16801.383851496037,17898.247930861882,19061.12161787965,20293.260403407225,21597.991623680464,22978.87857218728,24439.720793401353,25984.554082782102,27617.557584136724,29348.897577834123,31204.72595622486,33213.65294017253,35399.39696410816,37781.198734517995,40377.800523573285,43207.69364097423,46289.08955853364,49639.90949438812,53278.15265831919,57221.31504356532,61486.64203608232,66090.81596073064,71049.07243556643,76375.51883861602,82082.71787151265,88180.39287510561,94675.98105361282,101574.47968650595,108876.48957507277,116578.93224182019,124675.53070838205,133154.94046416695,142000.77120980204,151193.28842410404,160708.38983684184,170516.18291058618,180583.91501668462,190876.23432578813,201353.2170708505,211972.72759641128,222692.28133552318,233467.94349936917,244254.38181092424,255007.8875692204,265686.4868878478,276248.8523779165,286656.1571682505,296873.06830223155,306867.33604787546,316609.8051668889,326075.24061349453,335242.1084992662,344092.27685490233,352612.02997498185,360791.3808801131,368622.837195798,376101.44675988227,383226.1077477158,389999.0724417551,396423.96004329016,402505.66197122994,408251.2929388272,413670.6106294627,418773.7870859221,423571.1470878391,428073.73680470826,432294.4982798776,436246.3247432284,439941.66868945793,443392.6652463029,446612.27844662254,449613.5323536522,452408.7272686446,455009.4392970473,457426.9563789537,459672.89930803055,461758.2279026239,463693.165479641,465487.2025665594,467149.5552438293,468689.3571906659,470115.1015572553,471434.6560249013,472655.26280602464,473783.7455929473,474826.8578512614,475790.8410794883,476681.472610019,477504.0672177885,478263.48092268093,478964.37948172993,479611.21942058264,480208.09001391876,480758.77385639906,481266.7468626643,481735.1782673354,482167.0111409822,482565.12542708666,482932.1161884808,483270.39055251586,483582.1736816332,483869.5087733657,484134.2570603362,484378.12336023035,484602.78944642295,484809.7495576404,485000.3820923532,485175.9676511842,485337.68903690734,485486.6312544494,485623.78151088895
F,532.720626207238,591.7867632320567,657.6077933959929,731.0455666200168,812.9407184790916,904.1259206323741,1005.4393898805102,1117.7386116626171,1241.9091441207784,1378.8773808595352,1529.6158668167607,1695.14851417583,1876.562466169832,2075.010407212916,2291.709285852985,2527.9541570160363,2785.1231287687515,3064.6816307778813,3368.173423884758,3697.230701005666,4053.5957056822576,4439.120962325509,4855.769704459793,5305.624512917181,5790.843310383447,6313.713153480001,6876.673613007828,7482.316773947468,8133.387235459052,8832.788470568617,9583.48193583075,10388.549619294803,11251.285047903215,12175.193692693856,13163.992968800063,14221.613923296498,15352.061029812474,16559.288337603495,17847.49934483656,19221.180537046,20685.10138713346,22244.31435536791,23904.04600219446,25669.162157568888,27544.61348603939,29535.68800177887,31648.011502407277,33887.54756899166,36260.452093098276,38781.6306043761,41489.53196211663,44426.209728518894,47626.45276773027,51118.36161792739,54929.20491465467,59085.75440695574,63614.21910165592,68540.19876833571,73889.21023265351,79685.79610315611,85953.89088604276,92716.34717630065,99993.60322009904,107804.17748797106,116164.05669159598,125084.78610454367,134574.3526106213,144636.98270727127,155270.30752807134,166466.52038482288,178213.1394728997,190490.35078219106,203271.164594324,216523.97898023546,230211.1558170576,244287.1085130486,258702.59279860498,273405.10425412544,288336.1887290376,303434.8357097812,318640.079115731,333889.49522754975,349119.3665320953,364268.7394070238,379279.5497719476,394095.2353659948,408663.16708322434,422935.81761873316,436870.22085875465,450428.1469587635,463576.9159044365,476288.95581286657,488541.44444984547,500317.8955526241,511606.9047046916,522400.328589137,532693.3637817367,542486.5544963494,551784.9458122037,560595.2710509934,568925.8421602279,576787.9107698126,584196.2170685038,591165.9217248001,597712.2589734441,603851.3279910368,609601.69698144,614981.7536392235,620009.1955831842,624701.1999555384,629075.9760140403,633151.7254169513,636945.6123363373,640473.7650758302,643751.8634761679,646795.9650767827,649621.1914557372,652241.6390761659,654670.3843021553,656920.0947771965,659003.2793765389,660931.5631042848,662715.7129479852,664365.6378786375,665890.6634587725,667299.9881873231,668602.1081809667,669804.8883110832,670915.5643680824,671940.7481209182,672886.781112298,673759.70550404,674565.0659829087,675307.992558188,675993.2005616805,676624.990647709,677207.3547729555,677744.1870201329,678238.9955010752,678695.0353027517,679115.3164405974,679502.6038585113,679859.4174288567,680188.0653005798,680490.8163122124,680769.6864297667,681026.5362666498,681263.0948625075,681480.9596832236,681681.5966209207,681866.3399939599
G,54.35924757216714,60.45375259530161,67.60786165009605,76.20580684753993,86.57880005866282,99.0301043438826,113.84937147370171,131.3275189651905,151.76004537162115,175.4575422592868,202.74726045021018,233.9755270025974,269.5146819715958,309.7633454022633,355.1460831069775,406.12027044313203,463.17792789472804,526.8472329845285,597.6913712225771,676.313963235936,763.3663428826711,859.5476321411636,965.6049146160955,1082.3400789642665,1210.6005283043928,1351.2955797417726,1505.4044227358197,1673.9761191000603,1858.129603002142,2059.0613385184033,2278.0273592973354,2516.3565050561333,2775.4804008826095,3056.933620610056,3362.3536868172573,3693.4834282294482,4052.1543869736483,4440.243467731728,4859.762368755337,5312.870203568326,5801.873500966741,6329.226205018826,6897.513778769291,7509.3156725493955,8167.3140571780905,8874.385589321002,9633.601846185447,10448.22932552043,11321.688253409005,12261.188660657523,13283.670268291433,14408.073469081035,15650.889459770735,17026.384353963298,18549.08543299274,20233.919792614728,22096.21935139483,24151.750166894013,26416.95049644406,28908.608750771404,31644.0219040087,34640.80730545022,37916.34615656744,41487.940452412935,45372.514644987554,49585.6749416148,54141.95738064657,59054.658522969985,64334.2612406246,69988.7112353714,76023.64191630442,82440.69742440376,89237.1899324966,96407.21693563595,103940.62253524494,111821.34204207434,120029.63694037023,128542.2251601009,137330.0533051475,146360.25124066914,155597.93336636914,165004.93703954841,174539.48504409788,184159.68430339787,193823.72298534846,203488.24967638732,213110.73525257406,222651.2504123076,232071.92465461674,241336.2868594743,250411.37816054688,259268.06767847206,267880.51366552606,276226.436280884,284287.6218980427,292049.10985376604,299499.1732321018,306629.839868834,313437.03985086945,319918.8225854009,326075.1693728045,331908.7757171748,337425.60579021263,342632.55677076755,347537.1302828408,352147.9960957263,356476.2695747687,360533.3725606293,364330.51143010554,367878.808800179,371190.6012093549,374278.56188014173,377154.71190798434,379830.41275684204,382316.8727282685,384625.89353597676,386768.64665415435,388755.5522360746,390596.28341836727,392300.31473696575,393877.161764703,395335.66766326944,396684.0085124055,397929.69330990274,399079.813602961,400141.47187080997,401121.2246148272,402025.1253449326,402858.72646642226,403627.0837989487,404335.08091703284,404987.4101456276,405588.3629214577,406141.8980824201,406651.6418675853,407120.8879171954,407552.6929824842,407950.0750274146,408315.7421290249,408652.1998330451,408961.7581198946,409246.53140468197,409508.4385372053,409749.2327094021,409970.6591480042,410174.2600646974,410361.4536290919,410533.5548199799,410691.77542533557,410837.22404231597,410970.9060772596
H,97.84664562990085,108.76942563850191,121.33821007594115,136.03066878618424,153.2571656495732,173.38782595088307,196.76886601328727,223.73941666652343,254.63579846610838,289.80352996809654,329.5991680256851,374.39255909570215,424.5748068834308,480.55811482094646,542.7741145055514,611.6810244987322,687.7655502836982,771.5439274355286,863.5580139402583,964.3800838719845,1074.620264848176,1194.92661042134,1325.9852418464957,1468.523081923271,1623.2934208831841,1791.0945799804745,1972.7777789774073,2169.2471361442717,2381.45966825939,2610.427767785481,2857.185848712017,3122.8114315453117,3408.4561433146064,3715.34585711624,4044.78069211368,4398.135728801132,4776.815399290963,5182.211046839374,5615.802691783139,6079.1706119593255,6573.99534270529,7102.057676858669,7665.203217255056,8265.162570662442,8903.700351439738,9582.702538877083,10304.176653484723,11070.251756993002,11883.129249646518,12748.04437246303,13678.37383839302,14688.785776847766,15791.486290497824,16996.41493824392,18313.269814746825,19751.62104673008,21320.88846585818,23030.326146334977,24889.203977665762,26906.497684419795,29091.01503256795,31451.229369600896,33994.808974156214,36728.78630932885,39659.339128993684,42791.10472145863,46127.48414788964,49670.56582647484,53420.09588148836,57373.87642109727,61528.03289382248,65876.0366543847,70408.7376646247,75115.28603199517,79982.60136920735,84994.64159854257,90133.96976861372,95381.89775614529,100717.46154475004,106118.6707317434,111563.48582504764,117029.2411784365,122492.67887101106,127931.50355967671,133324.43276584003,138650.63283876193,143890.6591594734,149026.93658398662,154043.54234194453,158926.22156746243,163662.76220824954,168242.85484875322,172657.94060751045,176901.7504351128,180969.90328609836,184859.24702102772,188567.88386579292,192095.8668430562,195444.9177420672,198617.39765151087,201616.26141107338,204445.55069759773,207110.59928563444,209616.9019685262,211969.98466157634,214175.6952381615,216240.79463740968,218171.97924780776,219975.69139826245,221658.18202551443,223226.0837610374,224686.02657243647,226044.2580573783,227306.64408887073,228478.88571951815,229566.82286585998,230575.9508172622,231511.38837126733,232377.8796880064,233180.01919460454,233922.34210921195,234609.05974040745,235244.06974792428,235830.95614265022,236373.0898263731,236873.7943616826,237336.13654872333,237762.95367496184,238156.85431265214,238520.22016573724,238855.3345302379,239164.37056444894,239449.32095360488,239712.02852436816,239954.18624482903,240177.3372245055,240382.91292719336,240572.3082628916,240746.77824749963,240907.48702612027,241055.51076101742,241191.8376316149,241317.36783449812,241432.92543906067,241539.3192299594,241637.2669221659,241727.43075956547,241810.42602508818,241886.82104070898,241957.1371674478,242021.84880536914
I,347.8991844618697,386.45760795711584,429.34324580671904,477.0526059053947,530.0803134060227,588.9215480403525,654.0770581551062,726.0582004280692,805.3913817845946,892.6234587850925,988.3244309080574,1093.0898074454144,1207.5463772086277,1332.3534329305967,1468.2014099907792,1615.8191583691687,1775.9767345225268,1949.4879668690978,2137.203016583163,2340.013484078262,2558.8662005576653,2794.7633754643944,3048.762839237239,3321.9803240969322,3615.5585716969326,3930.7030989978016,4268.696750236334,4630.899696925554,5018.749437854735,5433.76060339222,5877.456041777072,6351.412430822145,6857.314710831343,7396.956303162747,7972.2391102286465,8585.173424964398,9237.782042428782,9932.037009088377,10670.038572400153,11454.03342948493,12286.414727127367,13169.72206177596,14106.572736454262,15099.353551002896,16150.491384544339,17262.590446656937,18438.432391591014,19680.97631826889,20993.277922104702,22383.069416929568,23870.730261275094,25478.480346430813,27224.553427244784,29123.529765861662,31189.47686971472,33436.15146999079,35876.97659201088,38525.0345175235,41393.36494410207,44494.50837101916,47840.72323959934,51443.74815870654,55314.123793706356,59461.47205295852,63894.186553817024,68618.45321729878,73638.7202815566,78957.59530488224,84574.37364857428,90485.63007512227,96685.60534641973,103164.80750135484,109910.06227759496,116905.81548311893,124133.36801357858,131569.83119248974,139190.32313036826,146968.1602275729,154873.39727704358,162874.57700835998,170940.09462710287,179037.38387022307,187132.96128414018,195194.6228207748,203191.51930108672,211093.36941154947,218871.80278698515,226501.06165946095,233957.7024873294,241220.62733516312,248271.6479890458,255095.30599205964,261678.65907219972,268012.0592636653,274088.6035523373,279903.20477493823,285452.62747880904,290736.4860202542,295756.85731328797,300516.79730400763,305020.27333286946,309272.8768518721,313282.131802229,317055.8412254975,320601.89487849374,323928.69277799304,327046.01543988,329963.5846316559,332690.7770955898,335236.7162299981,337611.11952382245,339823.7303935038,341883.74475786544,343799.811138116,345580.3525773397,347234.02258521505,348768.9768495754,350192.8203052903,351512.6098803661,352735.19149288867,353867.3393739036,354915.3504289207,355885.0567845054,356781.8257882782,357610.7117268437,358376.7093393353,359084.43276140187,359738.1527251432,360341.7977469785,360898.9569171666,361413.0757870522,361887.44106854696,362325.0682912229,362728.74690357345,363101.04027301364,363444.28568587976,363760.6529599631,364052.26182226697,364321.0215906727,364568.70348127215,364796.944985937,365007.2498723189,365200.9881838494,365379.4146979065,365543.7646667285,365695.13531335734,365834.5390001629,365962.9163445234,366081.1362188249,366189.99575046176,366290.2203218364
J,43.487398057733714,48.44970683149858,54.734982766512836,63.02488879310045,73.88499061060104,87.81448292188114,105.27446187188595,126.7172080605726,152.59235256188435,183.36722788719842,219.52948081243582,261.59101943906927,310.10094233142695,365.6453701050549,428.8459660802231,500.37170553260546,580.9417913124925,671.3274561267339,772.3494362703663,884.8868853689348,1009.8879194053101,1148.3697192583886,1301.4187708488816,1470.2001955878845,1655.9451771570139,1859.9748165889803,2083.7113117503313,2328.6779573414474,2596.4991448965548,2888.911604935282,3207.7404150139487,3554.9178687531858,3932.5260291707586,4342.796962128177,4788.1127363307205,5271.0089479322805,5794.155034502302,6360.294304444918,6972.3693934222365,7633.540227962522,8347.18402546018,9116.895294175756,9946.466927689795,10839.70640992939,11800.583902187176,12833.361855285846,13942.595661584095,15133.133654976617,16410.061972799456,17784.086481590133,19280.22813231092,20926.519192177693,22747.478619670994,24764.45828157059,26999.319302841734,29474.657344674335,32213.834619132253,35241.06151790706,38581.77309361977,42262.20834529042,46309.675876962414,50752.31224135237,55618.34107251532,60936.32291886554,66734.75297165869,73040.749099663,79880.4094213313,87278.56916770652,95256.51815998276,103832.33768532577,113021.19174476608,122832.77945655682,133270.6687462438,144333.82553023807,156014.92774702766,168297.5859412789,181159.47209962914,194572.4052976522,208498.52461435957,222893.02285472123,237706.85350752837,252884.49242737106,268362.9577973766,284077.53864724765,299962.11995719187,315946.0449288792,331958.15879088826,347930.25413095264,363796.11374616815,379489.7236624703,394949.89628839114,410121.3715732421,424953.7635332307,439401.1211136364,453424.1411841446,466989.5151167176,480069.8217499262,492643.40458532673,504695.45794986683,516215.55723342765,527197.2572819107,537639.109254147,547545.7866993721,556924.2417021028,565783.0876726063,574133.49158218,581991.4189977691,589373.9129460686,596298.0367718412,602781.0983468388,608843.0130694697,614504.7278904526,619786.2470289415,624706.6053522682,629284.8160526784,633541.3357464874,637495.6454439248,641165.9540717254,644569.2065268466,647722.1535334039,650641.856376793,653344.198822689,655843.8676845046,658154.3528233898,660288.444779634,662259.1183277088,664078.3704885492,665757.2684591771,667305.9532273319,668733.6485509257,670049.3220182004,671261.6658341492,672378.6217323153,673407.5061022901,674355.0099897134,675227.1990962728,676029.7095565028,676768.1703563794,677447.6307459655,678072.7550610965,678647.8365361171,679176.7973038786,679663.188395741,680110.2520627258,680521.2577675391,680899.0902791742,681246.3963539287,681565.6271496937,681859.0382259544,682128.6895437901,682376.445465874
