Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,451342.4286424333,451233.5630093487,451114.5887365657,450985.7247435498,450846.84821519675,450697.61324174405,450537.5085918233,450365.9170484973,450182.1177004319,449985.3202434528,449774.66200337623,449549.2070943716,449307.95960629114,449049.856456128,448773.7617494795,448478.46864022175,448162.69620970415,447825.0825338657,447464.1899698172,447078.5041868663,446666.4120974367,446226.2015784338,445756.0610426111,445254.07269416715,444718.2635508236,444146.5515804603,443536.7217678911,442886.4261148657,442193.1836400681,441454.38328726264,440667.3988943539,439829.51763776434,438937.8562539366,437989.36071528704,436980.8062302055,435908.79920843884,434769.9559392235,433561.00323907135,432278.4967138947,430918.79437334643,429478.05663082,427952.2463034492,426337.2670528271,424629.5176455659,422825.42075914866,420921.21937674674,418912.97702748573,416796.57778644445,414567.87491317315,411433.37312384957,408094.6096141628,404504.9535646362,400628.9915611682,396441.62902471144,391920.8170034134,387047.3428361239,381805.03548966313,376181.01577493525,370165.22860778053,363751.6271505149,356937.8626260574,349725.8466836961,342123.21116736135,334142.51424238173,325801.704040516,317125.68617972074,308144.567030892,298893.461531036,289414.24987389566,279753.1039805946,269959.02004573675,260085.00224981506,250186.3261626866,240317.3630539869,230532.01537646234,220883.74095550663,211421.71336957067,202190.34939033887,193230.54562696343,184577.5314278707,176259.60471822062,168299.3832097988,160714.20254917184,153515.10305775353,146707.20696543442,140291.42585807655,134264.3628414721,128618.72464408076,123344.01175246344,118427.43536517647,113854.35458968871,109608.88986984556,105674.25398710674,102032.84353534842,98666.87112807811,95559.12236007757,92692.93165391471,90051.6674925806,87619.09505194779,85380.05185398266,83320.45502360498,81426.83069627978,79686.15428625964,78086.44500050058,76616.79934357417,75267.12101386969,74027.6140674313,72889.31166852648,71844.0843028843,70884.58052779944,70003.7617637917,69195.09041140153,68452.64012941853,67771.08481148703,67145.52904397208,66571.27742590885,66044.06395355612,65560.02258317125,65115.68574568651,64707.824423061094,64333.38007800755,63989.5747202483,63673.885695809586,63384.04568702137,63117.97689134018,62873.6848437835,62649.36329377496,62443.361258640376,62254.18245273622,62080.48414387723,61920.99995108482,61774.54491783198,61640.04400655055,61516.51093253796,61403.04816395726,61298.846921837074,61203.165748572785,61115.28825105469,61034.57683818057,60960.44296002165,60892.34545931217,60829.79057144943,60772.33192449378,60719.564335616094,60671.09165876215,60626.56511684033,60585.664121697744,60548.09181038941,60513.575045178135,60481.864413534604,60452.73422813731
B,441134.82186121616,441100.2444541818,441061.280505633,441017.07424719207,440966.8460764272,440909.8557240829,440845.3785112369,440772.680855102,440691.0123512508,440599.58719869895,440497.58008844353,440384.12130317447,440258.28310221934,440119.07871925173,439965.46405157726,439796.32384925213,439610.4675242731,439406.62597247696,439183.4584297748,438939.54293867794,438673.3591997622,438383.28839384706,438067.6128512311,437724.5088626513,437352.0794277476,436948.3136574258,436511.06896229624,436038.0710526737,435526.91393857787,434975.0562969986,434379.90019907284,433738.74497055874,433048.71993986424,432306.7841431622,431509.7263243912,430654.1649057821,429736.6721949574,428753.8692566693,427702.2016299967,426577.9157826722,425377.059111081,424095.47994026187,422728.93306383485,421273.5364027756,419725.4033534913,418080.4637085144,416334.46366346115,414482.9658170309,412521.47660647635,409745.9349219431,406770.5706802826,403550.8466185765,400052.07322723005,396248.7027955799,392117.6211936485,387638.0347198553,382791.7002232964,377563.21557577705,371939.6470506051,365911.68984116975,359473.4823958583,352623.1911503187,345364.4986786845,337705.98073340766,329661.62661669473,321252.48633766104,312505.12585377466,303451.50241351954,294130.8363969729,284587.29845705134,274868.60892054025,265027.29865511396,255119.031343152,245199.38917658443,235324.2975433793,225550.04458912683,215929.2066463062,206510.0963122421,197337.94862905052,188452.516866907,179886.59267141117,171667.23901518463,163816.10002034195,156348.11117477083,149271.8469165393,142591.32315591653,136305.7817856431,130410.0167565399,124895.13871107303,119749.63751357797,114959.74905695046,110510.08114481166,106384.02257446648,102563.97455488754,99031.94706765215,95770.36623361369,92762.05862243248,89989.8373395938,87436.85130891125,85087.2992898683,82926.45205751254,80940.18821326854,79114.83264685862,77437.78833932486,75897.57794505938,74483.56337120404,73185.41573215005,71993.67582778714,70899.76891582613,69895.94196193028,68974.7681106287,68129.34763673152,67353.43008577335,66641.40284770151,65988.1089860543,65388.59798729693,64838.37497959598,64333.37056620483,63869.93922745122,63444.686330840865,63054.39356975822,62696.140450978986,62367.27777471722,62065.42763462539,61788.41205911696,61534.136981300806,61300.70747853197,61086.39319744447,60889.62773951951,60709.007426888034,60543.20741589175,60390.98647775715,60251.21966314617,60122.875810394886,60005.0175455134,59896.801282186025,59797.45399899501,59706.22676722938,59622.45364491116,59545.52038369929,59474.86265955016,59409.96607271757,59350.36614775282,59295.6415924292,59245.379051542084,59199.214971251386,59156.815487980755,59117.87162046446,59082.09926974727,59049.23921918459,59019.0571344423
C,585222.124856462,584977.9652637237,584712.1623670401,584426.0198519585,584119.9341647397,583793.7272267711,583446.8125132297,583078.3658060251,582687.3373927685,582272.5546060745,581832.7181549043,581366.4055869145,580872.1166015423,580348.2571339039,579793.126155435,579204.934511356,578581.8015048194,577921.7421541597,577222.6780170709,576482.4461176782,575698.762767015,574869.2230735746,573991.3003126878,573062.3449241277,572079.6830147295,571040.5236630966,569941.9197700105,568780.7680584318,567553.8090734998,566257.6473766175,564888.973249183,563444.4220886809,561920.4405302492,560313.2860168947,558619.0267994929,556833.5493955059,554952.9048097847,552973.4435797674,550891.3494856916,548702.6023543228,546402.9780589528,543988.0485194018,541453.428686766,538795.67329249,536011.4648666272,533097.3175932114,530049.578227478,526864.426095863,523538.09926831117,518900.3581784858,514006.5358125192,508796.3508381867,503226.3515800182,497268.33684378455,490899.29498212563,484100.858711712,476859.44498993055,469166.3849330726,461017.080231504,452412.3702583804,443357.80990625045,433864.2250001742,423949.23740949994,413635.9346579224,402953.2469961133,391937.4937518716,380629.9724778777,369076.61372733803,357329.7317984095,345445.0226002697,333479.85551382496,321494.529445629,309550.35085398966,297706.283746252,286019.5193864904,274545.62348756666,263334.7545941367,252431.2973786886,241875.3377183713,231700.68074657163,221933.76957623957,212595.03431003576,203699.3923028536,195255.4484386665,187265.91507855913,179729.25209656925,172639.66596733284,165987.63060969353,159760.52292692845,153943.37752606004,148519.47032109392,143470.97601433579,138779.23998476542,134424.6713786888,130387.5415210967,126648.80071549486,123190.04210694617,119992.80310105595,117039.00925284663,114311.74856545456,111795.26857708649,109474.43552178095,107334.55468061598,105362.05958534364,103544.55113439902,101870.49531681792,100328.65473638895,98908.6990381742,97601.22201393948,96397.67554867963,95289.84611859765,94270.07272888698,93331.38348751605,92467.48390716611,91672.56451810354,90941.0369171239,90267.80358293586,89648.22859343262,89078.13593036107,88553.6247166598,88070.98889072615,87626.8508855028,87218.13436573218,86842.0642279563,86496.08910819136,86177.75450715785,85884.82946357022,85615.27012043602,85367.21906213454,85139.00394959936,84929.04431192216,84735.85614497114,84558.0893295117,84394.50301339943,84243.96561158013,84105.45480608974,83978.03109553592,83860.78425624357,83752.90068872493,83653.62844074114,83562.27520470646,83478.20831768833,83400.85476140752,83329.69320316344,83264.21205483563,83203.95894667335,83148.51760630107,83097.5022208514,83050.55743696493,83007.35836079021,82967.61055798385
D,3.6148259153655176e6,3.61364315493006e6,3.61235326191224e6,3.610961011286947e6,3.609467078552836e6,3.6078695309892823e6,3.606164562035986e6,3.6043472506438135e6,3.6024116019748677e6,3.6003509999040165e6,3.5981581815812592e6,3.595825243628515e6,3.5933438372825207e6,3.590705091150083e6,3.587899545297587e6,3.584917224088569e6,3.581747616093006e6,3.5783796107526394e6,3.574801542468007e6,3.5710012204950964e6,3.5669657482611444e6,3.562681520948432e6,3.5581342220891817e6,3.553308793892736e6,3.5481899103909866e6,3.542761520697677e6,3.53700664910541e6,3.5309073950856403e6,3.5244449332886795e6,3.5175995833791466e6,3.510351880122631e6,3.502681907455002e6,3.4945686031676587e6,3.4859897564728595e6,3.4769220080037205e6,3.467340879286731e6,3.4572224423649553e6,3.4465440783246653e6,3.4352820874874922e6,3.423411485275724e6,3.4109060022123065e6,3.3977380839208397e6,3.383880118242491e6,3.369309055312861e6,3.3540023122077356e6,3.3379361770442696e6,3.321085812642406e6,3.303425256524862e6,3.2849286120198625e6,3.259058862487888e6,3.2316655577562083e6,3.2023934790471136e6,3.1709796255437345e6,3.13724489583649e6,3.101036704119823e6,3.0622262584030307e6,3.0207095554280356e6,2.976408446210157e6,2.9292662137762443e6,2.879255778871872e6,2.826376406358227e6,2.7706573747371216e6,2.712167716880722e6,2.651009724118767e6,2.587321883851577e6,2.521289277494222e6,2.4531308576399623e6,2.383098013151373e6,2.31148655415304e6,2.238619774078626e6,2.164838574471952e6,2.0905099444289212e6,2.0160156374329703e6,1.9417311100080416e6,1.8680289019811167e6,1.7952794338572824e6,1.723825428078396e6,1.653978886440551e6,1.5860296675353982e6,1.5202308344080653e6,1.456789976062168e6,1.395877334861738e6,1.337628010744184e6,1.2821344742441603e6,1.2294488711715313e6,1.179593888256831e6,1.1325616239372601e6,1.088316022590564e6,1.0467974160066867e6,1.0079283178931968e6,971616.4464667559,937758.9174060506,906244.5832862932,876954.4382964869,849766.385267949,824560.8163900041,801220.4577311622,779626.8135971361,759662.8851017157,741218.4531753391,724190.1949182523,708478.3516781089,693985.6002602438,680621.8061434049,668304.3572827464,656956.1780273314,646501.957216623,636872.3315689568,628004.082283781,619839.6896959378,612323.7668858301,605404.5709134756,599035.0087293836,593172.5620808859,587777.9598007132,582813.3414036082,578244.1675099203,574039.040027387,570169.6904293956,566609.6899590284,563333.8793554734,560319.3374757343,557545.2011808238,554992.6653357646,552644.4389137479,550483.8442217667,548495.7258739274,546666.2090070376,544982.6946812194,543433.850337042,542008.9517770191,540697.9079144318,539491.5441449204,538381.4341809283,537359.9000517024,536420.0121032934,535555.4024192177,534759.8800180309,534027.913041054,533354.392115974,532734.616409326,532164.2936264942,531639.5400117113,531156.8238388018,530712.6645315767,530303.9860963692,529927.9603601729,529581.9673718722,529263.5954022418,528970.6409439482,528701.1087115479
E,569261.20815967,569105.2128414112,568935.1920497596,568751.8490919305,568555.3192869986,568345.3720522126,568121.511459987,567883.0799858669,567629.2649166508,567359.1603785492,567071.7640950487,566765.9777635691,566440.634062219,566094.4856875776,565726.1946016211,565334.3417374376,564917.4243041654,564473.8466495959,564001.922081415,563499.875765125,562965.8207839889,562397.7578126476,561793.5746097747,561151.0359354229,560467.8404020707,559741.5627219155,558969.6266121314,558149.3047948696,557277.7189972585,556351.8422639179,555368.625588316,554324.9202130636,553217.384070139,552042.4814132155,550796.4828176593,549475.4672075331,548075.5187814028,546592.8402237832,545023.4391598648,543363.0985443457,541607.3766614324,539751.6071248384,537791.051934315,535721.5167961249,533538.8281740932,531238.6057755214,528816.2628006181,526267.0059424974,523586.0004265105,519819.78953301435,515812.5472670772,511508.70222380565,506865.9114246997,501853.9588978789,496446.1202356921,490618.862279546,484352.0543827558,477629.22336061375,470436.9792089079,462766.3688668582,454612.52968628105,445975.34757184837,436861.15426279756,427281.88874355797,417255.67340187414,406808.68250301684,395973.2676206163,384787.79480507114,373298.79263134464,361558.2531473652,349622.01621706976,337551.2499447341,325410.5494807883,313264.28019222966,301177.1070682825,289214.07680679584,277435.999916254,265898.84448011743,254655.13731088978,243751.2272220419,233225.60448094798,223110.29947443187,213431.2135596573,204206.61517207226,195447.52223882073,187159.70134619778,179343.38638899548,171993.62882889152,165101.15185173138,158653.50601083512,152635.49920650027,147029.91536354844,141817.9802332432,136979.57788607368,132493.98682254963,128340.84367644716,124500.12447507547,120951.64221446753,117675.47569384122,114652.85705974723,111866.20169068014,109298.55821673802,106933.41756121936,104755.51024289447,102750.86426847015,100906.46829598912,99209.63070997148,97648.68303530377,96213.01143046179,94892.98058076341,93679.3255601259,92563.40620665114,91537.37395445144,90594.15879061463,89727.2430621692,88930.34908701656,88197.7608486976,87524.29187498523,86905.28324484291,86336.38499497598,85813.45987747333,85332.74532842214,84890.82234497857,84484.61548536793,84111.3013155006,83768.15726689035,83452.71379192802,83162.71304512773,82896.10810651176,82651.06138646473,82425.83487060742,82218.79461592282,82028.45741698718,81853.4625595454,81692.5718205107,81544.669467965,81408.73143709917,81283.76204611214,81168.87352805297,81063.24662059659,80966.12825581446,80876.83156017453,80794.73585454127,80719.27744615242,80649.90073879441,80586.11581027429,80527.47261027533,80473.55449168854,80423.97821061262,80378.39392635404,80336.48520142693
F,799839.3553276189,799692.2373451088,799529.9864711285,799351.7836899466,799156.5926748785,798943.231789891,798710.400894238,798456.7093535555,798180.6677666947,797880.6990762684,797555.130762845,797202.1891950119,796819.9966903267,796406.5644625161,795959.7910080716,795477.4499331027,794957.1828822908,794396.4910997323,793792.7505369635,793143.202575971,792444.9179898822,791694.7965320568,790889.5662951977,790025.7769417382,789099.8822201864,788108.1508688981,787046.6289825487,785911.1400121325,784697.2847649638,783400.4474844448,782015.9918840379,780539.1431412785,778964.8489675939,777287.7790758533,775502.3251803676,773602.6047068737,771582.7716113427,769437.1916294066,767159.9635692256,764744.8748300705,762185.4014023255,759474.7078674854,756605.8894148931,753572.93375114,750369.9066010084,746990.6041289434,743428.5534119838,739677.0124397639,735729.2263979458,730181.3309640276,724277.2689347715,717936.2120313387,711097.2030664918,703717.5328405617,695760.0218455496,687192.5892722515,677988.5739799796,668127.1118809194,657592.2673721376,646375.012195073,634472.6264000525,621889.6171891773,608640.1134475886,594746.4656264982,580239.9882181627,565163.5112204641,549568.4083130582,533514.2620288552,517071.7422680656,500318.50761471584,483336.7867151124,466215.3543013216,449046.7041531153,431921.85519469564,414931.1043849778,398164.123653589,381703.67100088997,365624.8258010018,349997.0464102016,334880.6124450347,320324.5194315265,306368.50360222784,293043.643511565,280370.6038258521,268360.2269080583,257016.27649564715,246335.21425176703,236306.82829272765,226915.36043422105,218140.9828586044,209960.51449534766,202348.43382085016,195277.44322253668,188718.61108316827,182642.46140774226,177020.27555583493,171824.0547419887,167025.6805413499,162597.5380451992,158513.71417536997,154750.01973176512,151283.20064427756,148090.66898939296,145151.5713567857,142446.85795287788,139958.81883106075,137670.20709264226,135565.18405157333,133629.350914266,131849.64563316776,130213.52391710371,128709.29856637865,127326.35391844892,126055.12764908113,124886.8085412529,123812.92125325408,122825.74956917943,121918.29039064504,121084.2510771807,120317.75950178775,119613.23780826182,118965.61232037138,118370.27082480952,117823.06257119396,117320.17729940468,116857.94702831167,116433.04431850724,116042.42569464722,115683.33061163985,115353.27934289601,115049.92860047409,114771.07859681774,114514.73168673366,114279.05439814377,114062.3774320851,113863.19566271,113680.12760276985,113511.83325021845,113357.11764946661,113214.87758182698,113084.09850111985,112963.8545336732,112853.30847832284,112751.6997676895,112658.28102062769,112572.39300892406,112493.42981345273,112420.83030215804,112354.07813005417,112292.70173922567,112236.27435882694
G,481474.88184129674,481448.16037898115,481418.1813085016,481384.385152464,481346.2459645723,481303.2506616364,481254.8853146132,481200.6209081772,481139.9082074146,481072.16647143685,480996.7804523532,480913.0966001451,480820.41416535684,480717.98384501174,480605.0078472499,480480.6297491275,480343.93125156773,480193.929185719,480029.5786241641,479849.7648504036,479653.28971743514,479438.87150203704,479205.14461606916,478950.65032441507,478673.85756708396,478373.13225900626,478046.72309291374,477692.7615393401,477309.26184661937,476894.11306113924,476445.12377168733,475959.9924628005,475436.2561551857,474871.29015357845,474262.30804674333,473606.3599242641,472900.39464101277,472141.32971715153,471325.89349729125,470450.606182536,469511.7798304824,468505.51835522027,467427.7747436189,466274.6409405057,465042.1170636561,463725.97506959597,462321.7584922119,460824.78244275186,459230.21877137496,456960.1976924862,454509.9707515582,451838.68880315166,448912.92724689614,445706.14090450824,442192.8612903037,438348.5992721245,434150.01540161844,429575.14465942857,424603.1040926166,419215.0927070468,413394.38708994875,407126.9347424955,400402.8369705108,393216.1681856281,385565.6675412736,377456.6477723587,368900.2177501727,359913.44347126025,350521.80229838355,340757.65990162175,330659.26290523424,320272.58882026,309650.2222906075,298848.22357484,287926.73297397705,276950.3443448129,265983.20110571495,255088.19178535457,244328.13678088924,233762.2185201155,223443.48239335426,213419.94862300204,203734.42752725305,194421.65944292228,185508.4416950371,177015.73306840373,168957.6538861927,161341.1955984047,154167.30625323122,147432.58760444866,141129.17099197986,135245.33606719496,129766.33513987045,124675.34425857078,119953.83972418771,115582.67321140735,111542.10668875194,107811.99272597044,104372.03699636916,101202.7648503738,98285.63592260433,95602.62789401691,93136.0658078359,90869.51032641351,88787.8552421223,86876.9855954584,85123.1069011763,83513.52136666383,82036.69333929638,80682.16486314732,79439.86890644125,78300.41914734624,77255.31758887523,76296.9411215362,75418.27810318512,74612.56036548878,73873.64661367102,73195.9895986567,72574.63378465569,72004.95705178368,71482.55494292728,71003.43887966259,70564.00138837365,70161.01610025244,69791.52979838534,69452.68227107471,69141.89016572955,68856.80119111185,68595.29321258845,68355.4724061697,68135.54495194429,67933.82104812405,67748.77384858369,67579.00763850097,67423.25783435682,67280.39098393527,67149.36948342579,67029.17788983756,66918.91575935463,66817.75461368453,66724.93533098533,66639.76814586548,66561.6326493839,66489.96746710455,66424.21499537825,66363.88653661344,66308.5347016911,66257.74623208618,66211.14199986773,66168.37700769879,66129.14038883644
H,282549.7467053652,282509.6242680629,282464.98149499495,282415.2864635057,282360.0161256336,282298.65100909915,282230.66822372325,282155.5342782313,282072.6998803265,281981.5927922085,281881.6147366429,281772.1386346291,281652.5015314148,281522.0033999315,281379.90873296047,281225.43830493116,281057.766149661,280876.01727247157,280679.2749489001,280466.5751583579,280236.8933964637,279989.14453698916,279722.18262424925,279434.79965279857,279125.7534402106,278793.7352696484,278437.3570500159,278055.1513159582,277645.5712278611,277206.99257018015,276737.7802014335,276236.2466280848,275700.604179723,275128.96482600307,274519.340176645,273869.6426011812,273177.7894795123,272441.7632192844,271659.4471524774,270828.6100903864,269946.9063236223,269011.875622111,268021.024476258,266972.1539195996,265863.0833236351,264691.52955397224,263455.10710015666,262151.32807567215,260777.6902598295,258844.8693961081,256785.17939051864,254569.8832675833,252177.13899882842,249591.44522437078,246799.16061596246,243788.36626808805,240548.9855244056,237072.92825108915,233353.79760769173,229387.60387241142,225172.5759265901,220709.50188161014,216002.6118217481,211059.10925854254,205889.4576889699,200508.33897979662,194933.61791769738,189186.2368883263,183291.3065502736,177276.64078971275,171171.8832721039,165009.25711178602,158822.5400723676,152645.13831782906,146510.36307554893,140451.4708289153,134499.28223354957,128681.88115723932,123025.37499055432,117552.52114140347,112281.89594597058,107228.65289374092,102404.7400912738,97818.18082955808,93473.28917611449,89371.73433170923,85512.42671591784,81891.72334445632,78503.87009320149,75341.60563532727,72396.38684886608,69658.75861899697,67118.58523535743,64765.15758582536,62587.557586494215,60575.13656680819,58717.50450072049,57004.26161118843,55425.209566934405,53970.78316798092,52632.06215648267,51400.48800021617,50267.7640359866,49226.240897525946,48268.94202437418,47389.39366091375,46581.30253939512,45838.89867044539,45156.94591906681,44530.70394136727,43955.62645117736,43427.48451234363,42942.44341737248,42497.0558810638,42088.150761215256,41712.68032437851,41367.87448038256,41051.22322727201,40760.47567352727,40493.53373020331,40248.40600545427,40023.28389246806,39816.525665373774,39626.65647924165,39452.32427231626,39292.22773542828,39145.18826663803,39010.12909417392,38886.074898572275,38772.151047573076,38667.53139228297,38571.44100612342,38483.17714373411,38402.09542596189,38327.60983986086,38259.19273869229,38196.360311929384,38138.64327736204,38085.62395487831,38036.9170102473,37992.168353818284,37951.05514052085,37913.285769864844,37878.59562559707,37846.72469110188,37817.44407543741,37790.543556315126,37765.82855631807,37743.12014290079,37722.255028389445,37703.085569981704
I,429264.7441031686,429170.60380990326,429066.9212926418,428953.28129803843,428829.1217381875,428693.78811385913,428546.55502049346,428386.6483005047,428213.2407514581,428025.46190082876,427822.39364569983,427603.06795668916,427366.4662421699,427111.51533149125,426837.0882652119,426541.9975764377,426224.9908890864,425884.74608355266,425519.884839354,425128.96759333933,424710.47001153557,424262.78272645094,423784.210997768,423272.97638806165,422727.2712156738,422145.1990702114,421524.75209207606,420863.81097246474,420160.14495336905,419411.42095304804,418615.3281968706,417769.49586568814,416871.41202820936,415918.42336512386,414907.7351691018,413836.41462442186,412701.5816397858,411500.4942617903,410230.2707914965,408887.8659427459,407470.0708421609,405973.5130291446,404394.7950897836,402731.0233580305,400979.3388260268,399136.72994641913,397200.03300062945,395165.9320988554,393031.09646031045,390038.9425233028,386863.41875088686,383462.0663410168,379803.05983508966,375864.2660918672,371626.47236551956,367073.0990013089,362190.33176498784,356967.2722437808,351395.44352698134,345469.79649538995,339188.36795983184,332552.7517119328,325569.33813879825,318248.6001165785,310605.4978083357,302660.84496965166,294439.83449124516,285971.9003576752,277292.3139514508,268440.1424527586,259457.04040338547,250388.3772037385,241281.84050427246,232184.7404973563,223144.4344307881,214208.4298323782,205420.99869274203,196822.74940087774,188451.70103968485,180341.28413523696,172519.12018544323,165008.0656645954,157826.4680604734,150987.0716237164,144497.30349553976,138360.74688828416,132576.94056409405,127141.64510992377,122047.47094103726,117284.72309565358,112841.72705759903,108705.36210250674,104861.4011344043,101294.65913313688,97989.54265702418,94930.76226675836,92103.31766345077,89492.11282580678,87082.27506848071,84859.80973170316,82811.62061180944,80925.0979643862,79187.97556434615,77588.91729937514,76117.55862496128,74764.25604228987,73519.61139292685,72374.99004496609,71322.5419225721,70355.14508871344,69465.95626094585,68648.59788930393,67897.27874005697,67206.78408877742,66572.30900198816,65989.22875961525,65453.33401194313,64960.80617813731,64508.2159782025,64092.362981772996,63710.20546874669,63358.977815188045,63036.16719757637,62739.513592805684,62466.94279725953,62216.45637387573,61986.24214098665,61774.64331310364,61580.157930261994,61401.43769174772,61237.208019958554,61086.27176226037,60947.542311258716,60820.022765164314,60702.80592779287,60595.07430856513,60496.07773159338,60405.08775291401,60321.45511604973,60244.5806163349,60173.91341357247,60108.95103203395,60049.239360459316,59994.366009590056,59943.92522427344,59897.55932434176,59854.93968854044,59815.762064305716,59779.74656776459,59746.637683734996,59716.204265725624
J,800080.8771188175,800044.7215295169,800003.949416741,799957.6418735246,799904.9620121062,799845.1138864172,799777.3163585328,799700.7759665721,799614.678354074,799518.1675513141,799410.3413512332,799290.2454606792,799156.8580352409,799009.088188586,798845.7770727044,798665.6813526179,798467.4681804797,798249.711122921,798010.8956978861,797749.4064773192,797463.5067920837,797151.3385208943,796810.9216786113,796440.1413943473,796036.7771336926,795598.4571063017,795122.637764076,794606.603801166,794047.4681539693,793442.1597466627,792787.4845961817,792080.0825839218,791316.3534687012,790492.4565206616,789604.3105212684,788647.5907346958,787617.8091105882,786510.4116790454,785320.5545288445,784043.0762937114,782672.4981523197,781203.0238282906,779628.6127796004,777943.3714912948,776141.2371177633,774215.7813737178,772160.210058377,769967.3630554662,767629.8296856656,764299.0845002902,760699.910133526,756770.971964713,752461.5089062974,747730.5039435923,742538.0521212277,736845.1600070675,730613.9388903055,723807.8510018283,716391.2239986908,708330.6368458497,699594.8858477204,690155.8312378591,679990.5331660059,669081.0784793482,657415.6487176312,644991.4396623337,631813.8159773336,617896.6910926603,603266.5443391539,587960.6607876396,572025.91360094,555522.1018846958,538520.9093797829,521101.50347635313,503351.8478447241,485370.0332082853,467256.68372788886,449113.7463179246,431046.81799617124,413159.04447613016,395546.5980837065,378300.35212516604,361505.26234544173,345234.2848134215,329548.254646971,314499.1716639771,300127.5227673763,286460.78710386605,273515.2629129824,261299.13546735857,249811.30966585994,239042.06449683453,228974.76497764,219588.21349594113,210856.69066201008,202751.7196481378,195242.20584401526,188295.7764460862,181878.91490334505,175958.66894537155,170502.97388652305,165480.2480860662,160859.1529186132,156610.23429749985,152706.164457229,149121.195710976,145830.03584225115,142809.26604356014,140037.53886690715,137495.4274098898,135164.16105169783,133026.17424626852,131065.55511056316,129268.02496340066,127620.43133671323,126110.02555382765,124725.23656359757,123455.62544855595,122291.88086713043,121225.30478365587,120247.57392811275,119351.15968905138,118529.26638646735,117775.83127180143,117085.30601230798,116452.284491087,115871.8889139808,115339.6870597447,114851.69048708827,114404.35081068604,113994.29631885722,113618.33476777485,113273.5879929177,112957.4305682095,112667.4898060186,112401.64575715827,112157.95878133728,111934.51324004536,111729.6132517924,111541.70154811698,111369.35424465917,111211.28084116043,111066.32422146361,110933.43920545404,110811.57554979336,110699.81488445189,110597.31860071249,110503.3132393659,110417.09049071072,110338.00719455331,110265.48534020787
