Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,0.23570381149369918,0.2616830193537429,0.29027882492205936,0.32161763835082663,0.3558169324695667,0.3929802655788475,0.4331999104664022,0.47656857023839116,0.5231777281887896,0.5731297744703795,0.6265513984606906,0.6835771800639819,0.7443633938647723,0.8090992355127347,0.8780025943689914,0.951305077106374,1.029260097186234,1.1121615370844358,1.2003260024173825,1.2941136395737454,1.393885197074981,1.5000021833053556,1.612894188842629,1.733042879789545,1.8609337010650058,1.9970689818273553,2.1419510512349094,2.2960822384460857,2.4600183932523496,2.634525838312806,2.8202768429908684,3.0179012058739123,3.22802883214755,3.4512896269975863,3.688321949289939,3.940100549430359,4.2077402088420675,4.491958133505219,4.793441768838331,5.112878560259906,5.450955953188392,5.808536053130863,6.187355244608045,6.588397599481205,7.0122152599435825,7.459359513225019,7.930381646555417,8.426042159196948,8.947771763741478,9.515623003623265,10.14134969092324,10.839858477956266,11.625524994817452,12.504363618280939,13.481850401760356,14.563337091204906,15.753698910509437,17.05646181647801,18.47552536511411,20.012834698214633,21.670021503090283,23.448670439956153,25.347332528936853,27.363774874024823,29.496072915372867,31.737246707536755,34.07896815004382,36.514154607509596,39.030169455047705,41.610803273194186,44.242033706653146,46.906827133662944,49.581567551925225,52.244611295831106,54.87671809109506,57.451227005764906,59.94131180941868,62.326546993997276,64.58319887610762,66.68570038103773,68.6140071417042,70.35120442603159,71.87992404159652,73.18494950831982,74.25716926422278,75.08881252954488,75.67608385873203,76.01784150841084,76.11431494906236,75.97083965140706,75.59708083519419,75.00356850676704,74.19733538348767,73.19172743146584,72.00564461812627,70.65757391890085,69.15913595559427,67.52526393163659,65.77560236620366,63.92945703069472,62.001485532023054,60.005123290924686,57.956819951930825,55.87280670421741,53.76672391555305,51.64818851805586,49.529431247075806,47.42142269142991,45.33451144923304,43.27532770826909,41.25144819555397,39.26906812823869,37.33414988568877,35.451166757808856,33.62336411119368,31.85398895551587,30.14503700420373,28.49848767217441,26.91516848337848,25.396014317150453,23.94113678219088,22.549970325100947,21.221949392480283,19.956164429809505,18.75165980784253,17.607335571096407,16.52135566909395,15.491878807078724,14.517060690538534,13.595027851307922,12.724203419610113,11.902599759786167,11.128076599680478,10.398493667135451,9.71171068999455,9.065717419479341,8.458841079813546,7.889109024606661,7.354675227691802,6.853702431600363,6.384353378864099,5.944790812014177,5.533276817973731,5.148562649611318,4.788853638780832,4.452765925687096,4.138992467171459,3.8462262200747537,3.5731601412380285,3.318487187502263,0.0
B,0.018533663587476986,0.021175138540858167,0.02535741644919999,0.031647279675387954,0.04042190990193792,0.05196092065691383,0.06644470660089272,0.08405252613971968,0.10490962088730837,0.12915422415360667,0.15694277542378476,0.18841579561619518,0.22373926906552408,0.2631128066267316,0.30675014560133224,0.3548776026242189,0.4077439392344745,0.4656326241423733,0.5288470318949212,0.5977379846734494,0.672656954827493,0.7539563649852044,0.8420577231851997,0.9374085252124712,1.040489584378851,1.1518103919808582,1.2718804393149992,1.4012092176778332,1.5403617685776172,1.6900618757369825,1.8509799020788396,2.0237916237868148,2.209173125029879,2.4078004899771526,2.6203582593394863,2.847808337710138,3.0912281193858013,3.351424490102765,3.6291869837037565,3.925305134031502,4.24056847492867,4.575906214120462,4.932988325580124,5.312896861920116,5.716350390226818,6.144066632205352,6.596763309560893,7.075337993536984,7.581215242062433,8.133422729853903,8.743322260432926,9.425366340642546,10.193681726811363,11.054645022705685,12.014274281715718,13.07853065839616,14.252999853069385,15.542067832911318,16.950494534496492,18.481241079064354,20.136969934106126,21.920289287285666,23.830882026099584,25.86763337760779,28.0296887475949,30.31114125833963,32.70469351792111,35.20417246959194,37.797706924891926,40.469701810924775,43.20661987665431,45.99166807505535,48.801048033466834,51.61281467968536,54.40733442821909,57.15680996347178,59.833067083578044,62.41450177181546,64.87562123394147,67.18852977699781,69.33114879124496,71.28466835562494,73.02906652011214,74.54650566051973,75.82600791169052,76.85764357467943,77.63529736512508,78.15591405860214,78.4184266558061,78.4267736715683,78.18944741040217,77.7161822097113,77.01351554632987,76.09446924680394,74.97817259078509,73.68336435655483,72.22201073707286,70.60945474298867,68.86634898566594,67.01308400502131,65.0651819615116,63.03684328475155,60.94579371902078,58.80960052373719,56.643033304195384,54.45647474959111,52.26331673318701,50.07568257757544,47.905013973500836,45.75863323965838,43.64496285117066,41.57102382813294,39.54358692861427,37.56775660840496,35.64724048290315,33.78584067068642,31.985999724087566,30.250141851922265,28.57937784485772,26.974921104862524,25.437121623900968,23.965578873494927,22.559892325166455,21.219256702735123,19.94278286668644,18.729455569114368,17.577427786523955,16.484846461233182,15.4498545653922,14.47052614557041,13.545275917197445,12.67205655226122,11.848635343036811,11.07277958179856,10.342256560821937,9.654963298179505,9.009155127722478,8.40277878409683,7.833883692326943,7.30052757598715,6.800768158652531,6.332663163897236,5.894375585529675,5.484592687874464,5.101421329844347,4.7433914268222015,4.409113549574453,4.097198268868705,3.8062561554720498,3.5348977801519235,0.0
C,0.5545229111567072,0.6147001022027189,0.6789489446815389,0.7467409814857495,0.8178624566511429,0.8922488180882052,0.9699926410030747,1.0511967701346128,1.1360631516792692,1.2247974530512367,1.3176270604212676,1.414830492746969,1.5166872755476208,1.6234906314279491,1.7355773437955841,1.853291884667191,1.9769852504957575,2.1070518533322424,2.2439165024307313,2.3880089068452777,2.5397588401293385,2.6995962815000367,2.8680117816299595,3.0456141115000164,3.2329400438443834,3.430511290977798,3.6388495652149704,3.8584765788707585,4.089969269437044,4.33423119182596,4.5919730444069184,4.8637646759196675,5.150175665493182,5.451775592256734,5.769140730253583,6.103303136592855,6.455508584756678,6.826305185571031,7.216179206862151,7.625616916456238,8.055104582179448,8.505363329653132,8.978308851508146,9.474731128765102,9.994775783760012,10.53858694841803,11.106308754664443,11.69836686709869,12.316154268814616,12.983470045197759,13.713770093513528,14.524017509204878,15.430112797611613,16.437563628785032,17.550867886418516,18.774213521578705,20.11101956246954,21.56290997300304,23.13187838237447,24.817504121646817,26.61900200281839,28.535545730422776,30.56294238296021,32.69623974102904,34.93091767896237,37.257339248486886,39.66461660384062,42.14342650717012,44.67919434829612,47.254121301440534,49.85290449106934,52.457750434395535,55.04521844322563,57.59405910448717,60.08556269774692,62.49509881642566,64.79825314281065,66.9765233544522,69.00914686649405,70.87449800420805,72.5557639679895,74.03894115885083,75.31068112611216,76.35962608562012,77.17919604092464,77.76453752365087,78.11476771006024,78.23102771283948,78.11504240542777,77.77358692312814,77.21729302875386,76.4572409872985,75.50086147735344,74.36150374550687,73.0572960149506,71.60595908736799,70.0186295360024,68.30952967485027,66.49695641726413,64.59883678801074,62.628851284997836,60.599544074571284,58.52606944351739,56.42335878296064,54.304000789901636,52.176923192438096,50.0533727193173,47.943449326214854,45.856687531858,43.79922079503694,41.7780242010994,39.79883323340285,37.8671728076943,35.98718808184744,34.16185832066677,32.39419723506829,30.686080808039,29.03936970063856,27.454823739215314,25.933275298587027,24.47483598974724,23.078991566386026,21.74522778219349,20.472683267265648,19.260407130429375,18.10736275473717,17.011819015757464,15.972039690139814,14.986285044085333,14.052740884925564,13.169876642152472,12.335797406198889,11.548452596931908,10.805791634217156,10.105763937921482,9.446425389898204,8.826120433504935,8.24295585104539,7.6951361777527625,7.18087297163717,6.698377790708209,6.245862192975018,5.821627737274778,5.4244187479447925,5.0524924321927625,4.704485187785231,4.3791033128844274,4.075053105654797,3.791040864258042,3.525772886858406,0.0
D,2.5506420267565937,2.825377654473159,3.114349210849076,3.4135200791414126,3.721186654693674,4.03685246788195,4.361268289372082,4.695301003239153,5.040588467131472,5.398752667736366,5.771442972904797,6.160682323673485,6.568375061767567,6.996326506242314,7.446554077218568,7.921067234367163,8.421808306019512,8.950808833870255,9.510287715900438,10.102319804469218,10.72897756930792,11.392333294501295,12.094662606372935,12.838795464438576,13.627213606807754,14.462295844830459,15.346420989856522,16.281967853236484,17.271601710790492,18.319355370896027,19.428422920519957,20.601504440032663,21.841299594004923,23.15050804700903,24.531868642137756,25.990072233873057,27.530609096859642,29.156268487311788,30.869618409091522,32.67322686606101,34.569661862081894,36.562487232088564,38.66019883457228,40.866740026041256,43.18350139367003,45.611868309244834,48.15322614455224,50.81012595591755,53.58889727558767,56.597010624568775,59.89606794643378,63.5636971132744,67.67335016721405,72.25239293670401,77.32430397801949,82.91150641011635,89.03346233783071,95.70210804672598,102.93123809842422,110.72454597593355,119.08426107479663,128.01253060153954,137.49689643269977,147.5214643841693,158.07203595376853,169.11129768602873,180.59602991551097,192.48926916406165,204.7293142480887,217.23890899540788,229.95109554930133,242.78592778722182,255.63514337754572,268.39946771473876,280.99027432753184,293.2872978063947,305.1698107157974,316.5446678409302,327.3047444658734,337.3353442699116,346.5453411828785,354.85715467961586,362.1915175314933,368.4784126894099,373.67421283629324,377.7415215202378,380.6601844195557,382.4218544316914,383.02472064945954,382.48980735951204,380.85732042409654,378.17197371100497,374.4637013363436,369.7910485669046,364.23821357766576,357.88768711007776,350.79253053597756,343.0205436617115,334.6624284742967,325.80773920202984,316.5252262937443,306.87779462013333,296.944035964737,286.8019982256407,276.5176289664068,266.13761978341375,255.72214897204626,245.32621878421003,235.0018286319294,224.7825419112706,214.70687707957902,204.80768425943825,195.11673552647588,185.65816561846606,176.44944945966031,167.50898957078863,158.84922314343214,150.48250123296359,142.41484134348792,134.65249723920786,127.19818151201689,120.05118372255187,113.21079343144531,106.67417856105374,100.43770762742216,94.49756761258729,88.84597981521011,83.47513548869752,78.37720017265181,73.54356838949276,68.96731076091217,64.63941480893081,60.54984928549183,56.68858294253188,53.04558453199351,49.61126289084247,46.377459356984524,43.33494816247885,40.47465665246952,37.78753635818347,35.26453881083679,32.89661554165123,30.675167298636993,28.59386781627956,26.643946838462085,24.818402949927858,23.11057599396051,21.51380581384403,20.02143225286073,18.626795154301472,0.0
E,0.3419336950948874,0.3787627010293747,0.4175043597601262,0.4576388604658784,0.49897729052088113,0.5415075204337809,0.585399493137518,0.6308449480428657,0.6781502392770679,0.7276217239083717,0.7795703931865287,0.8343656493586685,0.8923596490334759,0.9538888085840945,1.0193261799521653,1.0890452634829224,1.1634111161995453,1.242800855116977,1.327628820684325,1.4182971813772445,1.515207838231415,1.6187629883804726,1.7294105140024822,1.8476715077926744,1.9740433754491318,2.1090220482022426,2.2531034572823567,2.4067835339199273,2.5706197117402856,2.7453751513273206,2.9317029548372973,3.130225119940178,3.3415638514654353,3.5663413542427427,3.8051894218132416,4.059065179245807,4.329039828887775,4.615832789663768,4.920140206144133,5.242658222899218,5.584082984499329,5.945274026882316,6.327899381343874,6.73293939357148,7.1609832347579445,7.6126193552817885,8.088436205521623,8.589215837879857,9.116305766484334,9.690087326248413,10.322558467841272,11.02888790450121,11.823718691581057,12.713256868667461,13.703205717272711,14.799171725813,16.00633246873504,17.32857028645401,18.770164823064356,20.333566423866117,22.020948679374243,23.834461651566997,25.773381184040154,27.836233722755658,30.0218196696764,32.324064349065296,34.73556731448468,37.250037768406415,39.85570714695328,42.53724793040312,45.281311326470906,48.07141571190859,50.88437827913286,53.69877447591338,56.49535726503602,59.247044885588295,61.926375683210836,64.51212207074863,66.97929628753256,69.30056305139598,71.45412531179973,73.42130787318789,75.18219899607818,76.71896426048225,78.02039751361352,79.07629561940436,79.88007886895525,80.42816779831793,80.71901077056754,80.755902086238,80.54655591526506,80.09999246877254,79.42225280558407,78.5257294397667,77.4288751822573,76.14978139763276,74.70012374485134,73.09485836174028,71.35434220565075,69.49872495865058,67.54342570523487,65.5025389672228,63.393865049084255,61.2351047413521,59.04117996275363,56.82260152333911,54.5930279750481,52.364944100181084,50.15014641600571,47.956215060368294,45.791888087118664,43.66460756054825,41.5815683094775,39.54823034740543,37.568557592817925,35.64671795637227,33.785515942824084,31.987736661450075,30.25474836213789,28.587989562689206,26.988077871575797,25.454855071992498,23.98816294713361,22.587380144563653,21.251732490148928,19.980378784776192,18.771589033788675,17.62362659035862,16.534749460284676,15.503071127861588,14.527078227713659,13.604778116719853,12.733957241079402,11.912402046990557,11.137898980653528,10.408342968543419,9.72196746063373,9.076739445201593,8.470674077246741,7.90179270479309,7.368116675863779,6.867667338482607,6.398568647395106,5.959463368454818,5.5484311773385135,5.1639523264931135,4.80458488639145,4.468886927506555,4.155416520311461,3.8627317352800836,0.0
F,0.22646985170898687,0.25155276943601385,0.27944046912548987,0.3104264050814125,0.34480145390313605,0.38285806656396,0.4248912506187485,0.4712046901410237,0.5221100385720241,0.5779288624819533,0.6389986725596862,0.7056696589930933,0.7783037566775093,0.8572836510968578,0.9430182180644616,1.0359253964839243,1.136435678280571,1.245020065217427,1.362183495381455,1.4884552307288368,1.624364837615475,1.7704426848618304,1.9273003284035954,2.0956297935805597,2.27611463248814,2.469452294367909,2.676340228461418,2.897475884010326,3.133633458971785,3.3858691109143035,3.6551040514434034,3.942208749166946,4.248053873311772,4.573510093105002,4.919458186691367,5.287218488635591,5.678309878658919,6.093711457160609,6.53435987035719,7.001191764465173,7.495143785701007,8.017371713909792,8.57021065832927,9.154991416323195,9.772426812475489,10.423228084095149,11.10810646849131,11.828056497459968,12.58492368338324,13.407201311850901,14.311565690650436,15.319128290114921,16.45019607437861,17.71315062857496,19.11557602304271,20.664857809663708,22.36768129589011,24.22881326788781,26.253517735695514,28.444335095357733,30.803363911572305,33.33261051429961,36.02991582468497,38.892042569477496,41.91614232790841,45.09248818100473,48.40951866886147,51.857329028514116,55.418482712660634,59.07070967027783,62.794660316054745,66.56688178855417,70.35502747126455,74.12936786456942,77.86334880190408,81.52034832989447,85.06347698632504,88.46439234000094,91.69020295921607,94.70543311633534,97.48201163602612,99.99608313078058,102.22298053699708,104.14090452391918,105.73643180780195,106.9978911346937,107.91885679171214,108.49661377718584,108.73056775914696,108.62698631876115,108.1980305340945,107.45724449315031,106.41368688500283,105.08504237931493,103.496782546613,101.67385011840788,99.63215462666322,97.39208229022483,94.98082665301257,92.4252030083209,89.7456949359078,86.96105483828364,84.09457908632436,81.16935202225872,78.20482940543762,75.2147511905232,72.21676363115053,69.22688051447672,66.26022716866946,63.32653309192619,60.43695556130572,57.60085944651978,54.82728526553138,52.1230704091724,49.49317573211062,46.942726949046566,44.47507690535775,42.09355392599692,39.799712337520674,37.595214106703835,35.480619782828015,33.45549736863618,31.519414866870594,29.671372921475513,27.91021196331885,26.234650747767127,24.642288083477837,23.13071450625739,21.697514405974577,20.340126765847447,19.056455113406344,17.84379675987084,16.699183795523485,15.61964831064684,14.602222395523913,13.644092215306419,12.742893727741341,11.895896210097712,11.100470289927648,10.353996023674004,9.653853467779966,8.997422678686531,8.382219881982499,7.806442907582944,7.267543935317081,6.763520518970063,6.292474329344979,5.852507037243406,5.441720313467547,5.058215828820503,0.0
G,0.023130087698226047,0.02595766699106743,0.02966321310469896,0.03452048486468703,0.040716719751588804,0.04839496587948698,0.057653586947772825,0.06859196066702433,0.08128651629339058,0.09582161210862777,0.11229326802535508,0.130793065779151,0.15142691594770963,0.17431953058531666,0.19960815815836558,0.2274382436775367,0.25796911016761626,0.2913792595149205,0.3278628016634675,0.36764615104830023,0.4109561461537679,0.4580203321810383,0.5091127705241207,0.5645154177931492,0.6245442679684707,0.6895389977381088,0.7598392837900746,0.835784802812418,0.9177580441613129,1.0062236573890053,1.1016279521073535,1.2044517690308338,1.3151763106768788,1.4342827795630126,1.5622616649811518,1.6997788831175336,1.8475276910853458,2.0061354976733017,2.176234942884492,2.3584586667219973,2.5534393091888754,2.761908921054107,2.9849807959005688,3.2234934099952293,3.478178057345767,3.749766422845737,4.038990191388739,4.346674776327831,4.673869604356999,5.033401272299393,5.433213854583836,5.883408257511088,6.394104697152108,6.970526505494614,7.617942621214775,8.34175801387666,9.147400656292929,10.039789750650405,11.024266002372837,12.105434779039655,13.28787230950497,14.576328693160706,15.97406284509088,17.48394119237076,19.10905757977797,20.849456794126386,22.704272950153094,24.67317321092614,26.751827369061196,28.933149564495928,31.21097273984342,33.576206699083286,36.013860637204424,38.50958813907484,41.050025425918946,43.613650040189434,46.177753968596484,48.72414710802161,51.229562669130466,53.666568645486116,56.012352564733,58.24657099624547,60.34427398245874,62.28183787827037,64.04325258386231,65.61157957612866,66.97105970803504,68.10977721259036,69.02021676807007,69.69716358900082,70.1391249799598,70.34743010523292,70.3232592719832,70.07248874302327,69.60759857750732,68.94098648268667,68.0818220170197,67.04153345123522,65.83816715057617,64.4900928655534,63.01162750931045,61.4156908029246,59.72040200468488,57.944185531933876,56.102603650473824,54.2064432354557,52.270706159003154,50.3096710057203,48.33685100216732,46.360844759198436,44.39185870853425,42.439230232690576,40.51204668635424,38.617286951443,36.760008624695956,34.94596477650575,33.17944513842644,31.464715368434533,29.804206716505426,28.200362618872965,26.654897652954023,25.168616049050236,23.74232203746252,22.376169852351378,21.06999202407782,19.823695094410713,18.636066582797046,17.505885178239048,16.431920448495912,15.412615413198818,14.446911192230951,13.533144788039731,12.669320086731904,11.853440974413607,11.083511337191444,10.357603329659842,9.674132696967966,9.031291637094393,8.427160447022292,7.859820610169478,7.327353609955485,6.827840929797243,6.3594663848865665,5.920964272598943,5.510494734715202,5.12654746395246,4.767685549794988,4.432472081725746,4.119470149228942,3.8272428417878475,0.0
H,0.04163039671965255,0.046671320930936656,0.05318132748809001,0.061597384306168866,0.07220690803101654,0.08521690018951586,0.10075277436205304,0.11893519309122619,0.1398383394392384,0.16354438885030825,0.19014796142486212,0.2197268027952263,0.25237783496280836,0.28822435192312956,0.32739508831116987,0.3700268516518824,0.41627244584453127,0.4663122025695432,0.5203354976966064,0.578561369179174,0.6412092883712028,0.7084992640828413,0.7806953579813646,0.8580875226170402,0.9409743314329677,1.0296680855360971,1.124481086033369,1.225725634031769,1.3337463545357606,1.449009512587752,1.5719314165643727,1.7029084547434166,1.8423371012599257,1.9906138302490664,2.148139625882556,2.315510946960951,2.493415877135507,2.6823064036729205,2.8826159105397204,3.094777781702422,3.319225401127516,3.5564926203529685,3.8076445282284963,4.073298668636661,4.3538007322024646,4.64949575412203,4.960728769591525,5.287972688389741,5.632087019277279,6.006006487190598,6.417326342560613,6.875669318520182,7.390319291328481,7.965175679588786,8.603801524135674,9.309684993460625,10.086018242545462,10.93514165217173,11.859639007406551,12.860876327938481,13.94002884570634,15.098250066556162,16.334800575399704,17.648452539960005,19.038173880009907,20.499759785662818,22.028154617685498,23.619075398166505,25.264720356730187,26.955013181848702,28.681229018636902,30.43269044697783,32.19447337706267,33.95285529954404,35.69559556291036,37.40555317985482,39.06540758765638,40.66189770123746,42.17946888605244,43.60119011673773,44.91368206312347,46.10557270272586,47.16486334824518,48.080900239525114,48.84715894161634,49.457810376589926,49.90940115147613,50.200317720761205,50.33009855615516,50.301397636256645,50.11965841897573,49.79105958121767,49.31976140583847,48.71393681358545,47.98550145203999,47.146128383051675,46.203288515356114,45.16653666197207,44.04870673485656,42.86246943172653,41.617485284228245,40.32258624752437,38.98880429687885,37.62707832102687,36.24661150756283,34.85387346093914,33.457220924442076,32.06423684200211,30.682079268374423,29.315326125591184,27.969248198141315,26.648266280698554,25.35664628420006,24.097604081280785,22.87346504768356,21.686638794518515,20.53869053287455,19.431173854602363,18.36480320717557,17.340348584678328,16.358057324528385,15.417706011036035,14.519071228510798,13.66166496307223,12.844930122204648,12.068248494039882,11.330474730697853,10.630459605405777,9.967051135107205,9.339037497790482,8.745424562813666,8.184932097451316,7.656158001281414,7.15770017388093,6.688156514828099,6.246201215524572,5.830725633672329,5.440440330755482,5.074111193844351,4.730508882223577,4.408404055178255,4.1065673719924645,3.823834571085289,3.5593661881808125,3.3119655393539693,3.080697592939472,2.864677157170212,2.6630190402783365,2.4748380504961887,2.2992489960565443,0.0
I,0.147926068845995,0.16465575994609458,0.1839733559829636,0.20634516801457603,0.2320900521158637,0.2614415699267371,0.29454767475738297,0.3315480726846606,0.3725331032234243,0.41760172016335106,0.46687005823510563,0.5204353984046679,0.5784187275128002,0.6409770573609248,0.708274105550427,0.7804827940904759,0.8577951334210661,0.940446783833828,1.0286820610425669,1.122773009652437,1.2229921236656383,1.3296123604199181,1.4429615555633417,1.563429718169831,1.69138227298441,1.827188311445639,1.971216924992044,2.12383720506225,2.285458182105313,2.4566986830137783,2.6380686545509713,2.8300027845858637,3.0329356666631453,3.2473018943276992,3.4735418665798514,3.7124059834524576,3.9647853458932802,4.2311400401298105,4.511893853021521,4.807470571427878,5.1182939822083044,5.444954094041176,5.788849118433955,6.150640423257857,6.53058267765162,6.928929800783575,7.34593571182212,7.782045952407184,8.238350257373927,8.732109742273424,9.273270271093494,9.874409549284646,10.547504021373332,11.297176768937689,12.127483202437576,13.042338010531559,14.045217457035191,15.138416883931512,16.32456308148963,17.6046701819861,18.97952932192438,20.449953604031315,22.014366377491292,23.67063148709294,25.416925100862287,27.247556486321017,29.15583893341065,31.136144435377876,33.17862616224496,35.2707571606629,37.4017334659591,39.558467522435166,41.72288671659751,43.878405118656474,46.01023246067874,48.0978505155692,50.120566351467794,52.06248252410893,53.90503741234987,55.62809970418969,57.215703180299,58.65424664535289,59.929453839875094,61.02863737464835,61.94395134032335,62.66842838141492,63.19794374264931,63.530553630841986,63.66566790859272,63.606477512168546,63.359516788282214,62.93221634800703,62.32957995511237,61.56148611594689,60.642353785691576,59.58631368037651,58.40246270300234,57.10241828194679,55.70183432204519,54.216181386292924,52.657291637165834,51.03597912350182,49.36581118472314,47.66026129853772,45.930682528593636,44.185068254737786,42.43376975656949,40.68622262248481,38.95133883963197,37.234830723639256,35.543278600893856,33.88225544840141,32.25714523648961,30.672018222747873,29.12981568147997,27.63361883045826,26.185469917208724,24.78739653191402,23.440358163620104,22.14537098456399,20.902822280694856,19.71251140188828,18.574237698017917,17.487454324897868,16.45150522635204,15.465679370103864,14.528596627054636,13.638871875880458,12.795116115171659,11.99584010459176,11.239834339690752,10.525530591467401,9.85119795642083,9.215105531049552,8.615522411852517,8.050804408802879,7.519568515845317,7.020223489920794,6.551227258046548,6.111042898525872,5.698133489661307,5.310962109756002,4.948071370256661,4.608403698885788,4.2904660144837,3.9930807191616666,3.7151308329484927,3.455499375873401,3.2130693679653257,2.9867238292534917,0.0
J,0.018519646236591195,0.02098170810940853,0.024590216770303562,0.029753880662310106,0.03675370310153629,0.04580672037097118,0.05706494819346476,0.07068212107099534,0.08677817213068209,0.10548375621849918,0.12694434457694617,0.1512981215349764,0.178702222821748,0.20933861054534397,0.24340510803394017,0.2811102074436121,0.32268071536913046,0.36836939146190806,0.41845109771791317,0.47324364307620176,0.5330653964724557,0.5982357313480728,0.6691396563071477,0.746172357885314,0.8297784457594367,0.9204364383961691,1.0186248542621548,1.1248222118240845,1.2395702454317639,1.3635222773389093,1.4973087801839233,1.6416180105067475,1.7971387876294693,1.9645599308742936,2.1445847173440393,2.338165773335173,2.5462798659422914,2.769843649226999,3.0097863805774545,3.267037317381823,3.5425257170282163,3.8373272904321434,4.153030316343581,4.490865529244869,4.851956261497336,5.237426752901085,5.648401243256272,6.086130784108464,6.552157529805339,7.064893855076873,7.635842932914785,8.279637100127324,9.011030460054629,9.8378711139794,10.76819326434927,11.810307410889408,12.972691285036866,14.263235003478684,15.690542300260045,17.262413269740694,18.986721497367757,20.871769065495116,22.92403264517077,25.14957648386438,27.554943261857687,30.142689904701914,32.91418915396166,35.871663209314754,39.01182697615151,42.3275479800836,45.812929691011874,49.457776429986474,53.24320658743305,57.15098499999463,61.16399783742196,65.2522972501639,69.38372811118806,73.53232710696754,77.66332503384866,81.7343332462695,85.70947264057787,89.55620231536324,93.23213218663375,96.69626464910314,99.92005046141526,102.87176105971058,105.51909532573245,107.83630240887722,109.80665737232678,111.41433056035527,112.64827824271993,113.50333044117619,113.97712531579266,114.07268176029969,113.80357938801657,113.18360539051831,112.225338950573,110.94350856296384,109.36458059616989,107.5161725637554,105.42043631831022,103.09706474402358,100.57590263340511,97.8878309263742,95.05906971078976,92.10762680587054,89.05968948901543,85.94097816397007,82.7758695753952,79.57973953715901,76.371178260116,73.1680912971034,69.98798295439121,66.84433674259871,63.74677927135771,60.706917393736646,57.73386595191395,54.83669288273983,52.02075840443075,49.29130037846225,46.65262841887374,44.107369122127906,41.65814908468638,39.306194947287665,37.051856953726826,34.89594582206056,32.83708761546942,30.87389026136905,29.004939992199184,27.227934973554394,25.541585442547177,23.943489898195015,22.4305183133449,20.99954066084093,19.64742691353019,18.371080480248967,17.167931407565685,16.035180462586137,14.969602204255464,13.967964580027608,13.027035537357209,12.143583023696898,11.314540791746774,10.537776721944489,9.810226360008292,9.129281784482387,8.49244911480933,7.897234470431118,7.341143970789883,6.8216837353281825,0.0
