Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,108.86563308460495,118.97427278297198,128.86399301600125,138.87652835292852,149.23497345275223,160.10464992078107,171.5915433259555,183.7993480653862,196.797456979142,210.65824007661172,225.45490900462391,241.24748808041466,258.1031501631378,276.09470664849744,295.29310925780135,315.77243051751634,337.6136758384463,360.892564048474,385.68578295103293,412.0920894294387,440.2105190030545,470.1405358226292,501.98834844401074,535.8091433434043,571.7119703634255,609.8298125691092,650.2956530254734,693.2424747975988,738.8003528054563,786.9843929087265,837.8812565895132,891.6613838277708,948.4955386496424,1008.5544850813916,1072.007021766798,1138.8432692152471,1208.9527001521492,1282.5065251766596,1359.7023405482664,1440.7377425264758,1525.8103273708011,1614.9792506220954,1707.7494072611853,1804.0968864172924,1904.2013824018554,2008.2423492610815,2116.399241041191,2228.702873271327,3134.5017893236027,3338.7635096867384,3589.656049526613,3875.9620034679624,4187.362536456772,4520.812021298087,4873.4741672894625,5242.3073464607505,5624.019714727985,6015.7871671546745,6413.601457265565,6813.764524457537,7212.015942361314,7602.63551633479,7980.696924979617,8340.810201865745,8676.017860795215,8981.119148828675,9251.105499856067,9479.21165714035,9661.14589330101,9794.08393485787,9874.017795921744,9898.676087128402,9868.96310869975,9785.347677524514,9648.274420955713,9462.027585935972,9231.36397923179,8959.803763375441,8653.014199092744,8317.926709650044,7960.221508421857,7585.1806606269465,7199.099491418338,6807.896092319068,6415.78110735788,6027.063016604478,5645.638197391312,5274.712891617326,4916.576387286968,4573.080775487777,4245.464719843138,3934.6358827388303,3641.410451758311,3365.972407270322,3107.748768000515,2866.1907061628617,2641.264161334107,2432.5724406328322,2239.0431979651253,2059.596830377667,1893.6243273252144,1740.676410020126,1599.7092857590878,1469.645656926416,1349.6783297044701,1239.5069464383594,1138.3023989048293,1045.2273656421908,959.5037750848699,880.8187640077242,808.6713523901802,742.4502819829813,681.5553179315143,625.5557675149514,574.2516180632224,527.2134723527304,484.04137038487215,444.3368374847429,407.86132262541344,374.4443450535486,343.80535775923795,315.68902443872014,289.84000878821485,266.0687956811943,244.29204755668138,224.32155000853695,206.00203513458263,189.17880590416007,173.6983088589918,159.484192792403,146.4550332528421,134.50091128143097,123.53307401258473,113.4627685806995,104.20124212019172,95.68117326429063,87.87749751809636,80.71141287411544,74.13387815892125,68.09750070947572,62.55488786273415,57.45864695565598,52.7675888776846,48.47267685394101,44.526541921831296,40.900995142578864,37.57231130833972,34.51676521127402,31.71063164353376,29.130185397284265,0.0
B,34.57740703437105,38.963948548784856,44.20625844096594,50.228170764778156,56.990352344348366,64.47721284599254,72.69765613487812,81.66850385117152,91.42515255190153,102.00711025531996,113.45878526921115,125.838200955032,139.2043829676271,153.6146676744754,169.140202325195,185.85632497897484,203.84155179607092,223.16754270230604,243.91549109680136,266.18373891566205,290.0708059152156,315.67554261588,343.1039885799247,372.42943490369316,403.76577032178534,437.24469512956136,472.99790962244344,511.15711409587016,551.8576415792996,595.1560979258245,641.1552285139974,690.0250306945427,741.9357967020042,797.0578187711196,855.5614186089989,917.4927108247198,982.802938288115,1051.6676266724924,1124.285847324622,1200.8566715911907,1281.579170818964,1366.5468764271309,1455.3966610591403,1548.1330492844143,1644.9396449769133,1746.0000450532864,1851.4978464302792,1961.489210554593,2775.5416845330874,2975.364241660577,3219.7240617060193,3498.7733913465004,3803.3704316502044,4131.081601931385,4479.586473793155,4846.334496558908,5228.484647519366,5623.568525171947,6027.957209435394,6438.2074453114665,6850.291245539536,7258.692471634157,7658.517945276955,8044.35411671287,8409.14027903372,8747.360483886392,9053.623440255073,9320.666016546678,9543.537939921524,9718.68953651112,9841.310265426286,9908.26731196195,9919.642166567546,9875.09163320511,9774.252954252563,9620.837942820526,9419.110334064135,9172.14768319155,8885.43176214353,8565.924195495874,8219.353656226463,7851.138994842718,7467.9888455711425,7076.264258231502,6680.523760622796,6285.541370273415,5895.765029103217,5514.878045466873,5145.501197495051,4789.88845662751,4449.667912138794,4126.058570345161,3820.048019578957,3532.0274872354216,3261.5808340384324,3008.3076111811906,2772.2212828386796,2552.986030682554,2349.5520190429625,2160.8472323557717,1986.263844243978,1825.3555664099463,1677.0443075337362,1540.210394265494,1414.0145738553376,1298.1476390539747,1191.73990436291,1093.9069119610213,1003.8269538958366,921.173851301588,845.4204738971832,775.9175509581812,712.0272380718393,653.293861647197,599.5109987573783,550.2230077009499,505.0044133911451,463.43133875360655,425.2528966103597,390.2927610826448,358.25311877923207,328.8626762617519,301.85014009184096,277.0155755084318,254.27507781615566,233.42950276883954,214.31428108750694,196.76545792495077,180.6203126314698,165.80001099629374,152.2209381345982,139.76681461097138,128.34385275130086,117.85826488147374,108.21626332737414,99.3472831910096,91.22723176563261,83.7731223182219,76.93326121187165,70.65772414914434,64.89658683258332,59.59992496474294,54.7245553236296,50.262540887111896,46.16408029070176,42.39948327062052,38.94386751630928,35.77235071718387,32.86005056269245,30.1820847422632,0.0
C,244.15959273817157,265.8028966837825,286.1425150816041,306.08568721874224,326.20693796872297,346.91471354136024,368.4467072046193,391.0284132565506,414.7827866940137,439.83645117021786,466.3125679897148,494.28898537208113,523.8594676385686,555.1309784688033,588.1916440790155,623.133006536657,660.059350659789,699.0641370887081,740.2318993926892,783.6833506631957,829.5396934403933,877.9227608868839,928.9553885600759,982.6619093980586,1039.159351632967,1098.6038930860777,1161.1517115786783,1226.9589849320794,1296.1616968823266,1368.6741274343203,1444.5511605023037,1523.9815584316964,1607.154513354321,1694.2592174019821,1785.477403986876,1880.644585721215,1979.4612300173544,2082.094094075717,2188.747131368974,2299.624295369861,2414.9295395510026,2534.6198326359226,2657.755394275925,2784.208425862822,2914.147273415714,3047.7393657334783,3185.15213161499,3326.326827551755,4637.741089825406,4893.822365966668,5210.18497433249,5569.999258168513,5958.014736233591,6369.041861658902,6798.436270413729,7241.4137217814,7693.060056857989,8149.304701568504,8604.709973123607,9054.560352129933,9493.584906076343,9914.987590674298,10313.302751577477,10682.687661809088,11015.753244241843,11307.521273993723,11553.358750539606,11746.881928928671,11884.7091981398,11965.167086444735,11985.326068195885,11944.178591639315,11844.067107737676,11686.764359761646,11473.89589892374,11210.868893429933,10903.457215448088,10555.95966031736,10174.65697179962,9766.911170332096,9338.735266203808,8895.642007182132,8443.943864187117,7989.5333601073635,7536.662981989897,7089.586129236429,6652.035357639286,6227.10768276507,5817.1454008683895,5423.907204966134,5048.49430675815,4691.736029570352,4354.568606076616,4037.1298575921114,3738.7408056018276,3458.758608548681,3197.2390058902483,2953.793848209323,2727.2606873920554,2516.4799883680816,2320.833055305533,2139.880841164953,1972.4950952723616,1817.508450944616,1674.055817581095,1541.8405804289664,1419.9556982147492,1307.4770242347206,1203.546465259847,1107.8294300820135,1019.773389710643,938.6892413709404,863.8995803499315,794.9193890625596,731.5276009796772,673.2333341880202,619.5749895032293,570.0926630715671,524.511213701259,482.6358259336636,444.1380052233304,408.71651977062373,376.07013777588634,345.97511976492217,318.3346010335042,292.9250435876578,269.5593431342007,248.05105830149265,228.21511253515837,209.9596376771961,193.1881669510301,177.76681545944444,163.586316112261,150.53740181930024,138.51080549039045,127.42371055380826,117.24683929235526,107.88356751862345,99.27224798380288,91.35323603469719,84.06688701811026,77.35355628082989,71.16155824408511,65.48114832778388,60.25310816230905,55.44134037226745,51.01538544966188,46.944783886478774,43.199076174712445,39.74780280635869,0.0
D,1182.7604354580972,1289.8930178188803,1392.2506252939183,1493.9327341103585,1597.5475635535672,1704.9689532967573,1817.311392172615,1935.6486689448193,2060.602070851584,2192.8183227571326,2332.937952745086,2481.4063459946915,2638.7461324360797,2805.545852496538,2982.3212090179854,3169.6079955629316,3368.0053403664906,3578.0682846329414,3800.3219729108523,4035.472233951481,4284.227312712974,4547.298859249922,4825.428196446053,5118.883501749429,5428.389693308498,5754.8715922672145,6099.254019769924,6462.461796961286,6845.349909532406,7247.703256515785,7669.972667628934,8113.304287343366,8578.846694799704,9067.748469138283,9581.128716989764,10118.43692177561,10678.364040290151,11261.990837173053,11870.602211768011,12505.483063417887,13167.918291466774,13857.96567834773,14571.062929630218,15306.743105126392,16066.135163464674,16850.364401864183,17660.556117544744,18496.644504999167,25869.74953197352,27393.304731680542,29272.078709094938,31413.853503378436,33734.72970724476,36208.19171666691,38810.44571679265,41516.70297499523,44301.1092178786,47142.23243391258,50010.434904371825,52879.37251364519,55719.03162110577,58489.657856399055,61157.99276195544,63687.84026719015,66032.60635735546,68158.41985425877,70032.84448858954,71611.45899833314,72866.78007441403,73781.19960667432,74328.63004303034,74494.30699595077,74284.52742492888,73702.20802692462,72749.46812383429,71454.00577888676,69846.54163784494,67949.21890515288,65798.83312733272,63440.8583458977,60912.64120042977,58249.32411755373,55493.53650002386,52685.603072629194,49854.98291470028,47032.26431957072,44245.60134669592,41518.606583877525,38869.09811348986,36311.871426441045,33857.529060705085,31514.334119757452,29290.144989806387,27188.053028537986,25205.568877944774,23340.35865884187,21593.64413402621,19963.928495420318,18444.43192637656,17028.258257086825,15711.843240143588,14492.751417865064,13363.794116838697,12317.448860658722,11348.179255414738,10454.2208107084,9629.625647666186,8868.249285175983,8164.392587843026,7515.922810107768,6919.195972354458,6369.562184092133,5862.446648497691,5394.602280172675,4964.6183971049695,4569.173893687918,4205.1274825332175,3869.349597991368,3560.0004703672876,3275.810603554925,3014.541879739175,2774.1362949105087,2552.5358450592676,2348.226422016662,2160.5946919810813,1988.1183478394137,1829.5168668897622,1683.5143258182761,1548.844344177272,1424.898560023013,1311.0438625872232,1206.36376951145,1110.1099639921686,1021.5341292258237,939.8879484090194,864.6096840755906,795.522401186903,731.9669769768446,673.52092508005,619.7757066479488,570.3227828318069,524.7536147829302,482.716172909427,444.1593072252173,408.6784352074336,376.0257361962492,345.9929883008306,318.37196963026213,292.95445829368157,269.53223240018633,0.0
E,155.9953182586985,170.0207916518077,183.34295782899164,196.52980493191512,209.94723478597825,223.86059222556298,238.43147412009682,253.815069216192,270.10453810156287,287.3962835006233,305.78633147952735,325.34370135017275,346.14837464126333,368.29108595642424,391.85286418362546,416.91743327210247,443.577654569518,471.92456818104915,502.04631628974255,534.0549811362968,568.0629713411772,604.183202873035,642.5386743518291,683.195533352107,726.2776801552258,771.9361097841166,820.3218172617508,871.585797611092,925.8767333407166,983.2166756017813,1043.705375252519,1107.536142924455,1174.902656923572,1245.9985955561156,1321.0156101262237,1399.9484261303282,1482.678557619651,1569.4010639184205,1660.3406155189155,1755.7218829133772,1855.7695365940272,1960.5551905234936,2069.5351381902146,2182.6886220316615,2300.222398571629,2422.342974903441,2549.256858120495,2681.00551598698,3766.2108934962184,4007.2422659371864,4303.845043271465,4642.790799105944,5011.9525268207835,5407.8386621868485,5827.257956146008,6266.807896790271,6722.83102214196,7192.244151705855,7670.610342049733,8153.839180577204,8637.182114432633,9114.193309050785,9579.2655192397,10026.215341683843,10446.990898857282,10835.414882400579,11185.47281554501,11489.002173726522,11740.539483979512,11936.23693029544,12070.766272335677,12140.700463945714,12146.269288558691,12087.173123947145,11963.030261486685,11778.076890541812,11537.15543613661,11243.707169227648,10903.9100888479,10525.622741093877,10115.305006516075,9679.085914774621,9224.598387585058,8759.092933251533,8287.820892622913,7816.31495720231,7349.757560103968,6892.476977160142,6447.645840896223,6018.006804334887,5605.583842951823,5211.9351303052445,4838.402347169528,4485.591063524032,4153.143146102486,3840.719201371683,3548.4822606079215,3276.1665206263374,3022.618634093966,2786.6553690670953,2567.6434739421434,2365.1406555186295,2177.907318324922,2004.6459744243061,1844.395972481033,1696.8375860176284,1560.9476746677265,1435.6716048419707,1320.0308496983876,1213.6550206375082,1115.9193534747478,1026.0322521997168,943.2151638367818,866.9157284454448,796.8939751526387,732.5882383189459,673.4689737123799,619.0086301423452,568.8982498669164,522.9251175026283,480.7145490511994,441.9229834435642,406.2068596106532,373.3141698673286,343.1440486102423,315.4434749623389,290.0007468002594,266.60493861600264,245.04672004702707,225.22651585729847,207.0402546846247,190.33719893562346,174.99485744180657,160.89073903466894,147.90235254573076,135.93803086581855,124.9693909870138,114.88851805917824,105.62690745637921,97.11836478213077,89.29669563992137,82.09570563325603,75.45840838886421,69.37670735799078,63.78492852012609,58.64319999896625,53.91811858679745,49.5762810759082,45.58428425858476,41.90872492712461,0.0
F,147.11798251021867,162.25087398007702,178.2027811819197,195.19101506822358,213.36088498753952,232.83089565291073,253.6915406826182,276.0415868607588,299.9686904263908,325.5683134231409,352.94156783322853,382.1925046851943,413.432227810535,446.77345444448326,482.34107496895433,520.2670508118998,560.691782558258,603.7405627690088,649.5479609924864,698.284586088956,750.121457825439,805.2302368589205,863.7893534594443,925.8947215518479,991.731351288334,1061.521886349517,1135.4889704161087,1213.855247168848,1296.8372805187262,1384.455600407071,1476.848742759274,1574.294173684486,1677.0698917406887,1785.4538954858704,1899.7204734939355,2019.833095530889,2145.57998193602,2277.228060181203,2415.0887391547867,2559.473427745046,2710.6935348402767,2868.8184525923707,3032.9556637529154,3203.0271501315947,3379.3024720652606,3562.050716959461,3751.540972219792,3947.7860418180735,5547.895433918337,5904.062029255918,6341.056903433,6839.008964847025,7379.6702259296635,7957.510995012557,8567.432573298065,9204.015292271666,9861.462099060169,10534.844508781915,11217.255177064519,11902.385795020611,12583.009210875272,13249.50374158846,13893.64782109049,14506.477408335402,15076.47699769873,15595.102907405748,16054.146284203194,16442.519760789608,16753.2346533497,16981.720899603446,17121.432413790782,17168.650148206332,17124.848958419683,16990.750809717814,16766.9807313888,16460.45265269901,16078.845199888112,15627.779390800268,15116.433965166874,14556.093013508234,13956.015829298656,13324.860090662825,12673.039685712898,12010.37691779376,11343.950412411174,10681.062243880142,10028.38595903938,9391.467858506612,8774.377575616629,8180.4683632567285,7612.080674497571,7070.990598313464,6558.832139368413,6076.149675425994,5622.185851907302,5196.220813846248,4798.37420063879,4428.142496150707,4083.8238698292357,3763.6944436048248,3466.8190874875736,3192.5316548846354,2939.097632607221,2704.7134039078182,2488.039121817181,2288.611738418435,2105.023041068924,1935.8331373073224,1779.7052810982486,1636.1217160640376,1504.2253507250678,1382.9446479297476,1271.2262693677449,1168.3191078282562,1073.8872879987982,987.1716840746709,907.4591785343731,834.0393134643626,766.4915753929439,704.5216935259143,647.6254878904617,595.3414955618957,547.2082536155308,502.8852717892863,462.23027109301745,424.90270980441227,390.61862386003696,359.0950830073844,330.0512687437905,303.35074242195515,278.850003656332,256.3469100840632,235.6772885899261,216.67696605867073,199.18176937508198,183.06805994014937,168.29435255141033,154.71560075183623,142.24006763963456,130.77908070712863,120.2439674466058,110.54605535039289,101.60871063335475,93.41874706179594,85.8880117036395,78.96319547131027,72.59951129473123,66.7521721038314,61.37639082852124,56.42738039874091,0.0
G,26.72146231553819,29.979070479499825,33.79615603767931,38.13918789161883,42.99530293598514,48.36534702321396,54.264406436029844,60.71270076241788,67.74173597791707,75.38601908353724,83.68385220824831,92.68243478810334,102.43032034516301,112.97599776174096,124.37809812246257,136.6984975597047,150.00206584884944,164.35056155486797,179.81377376047112,196.47513296845784,214.4182153981249,233.72688596786693,254.49429165406048,276.792757331203,300.725308077732,326.4091660924032,353.9615535737872,383.4996927206283,415.14878548011177,448.989289451888,485.13130888678484,523.7363076148586,564.9660016072635,608.9821068350922,655.948122479307,705.9652832512413,759.0649238612914,815.4362198602554,875.2873147552916,938.8263520535817,1006.2614752622367,1077.7436116013023,1153.1338031131404,1232.5238768496076,1316.1419940601813,1404.2165773839733,1496.9760494600773,1594.5636713769816,2270.0210788886548,2450.226940928053,2671.2819484065817,2925.7615562554756,3206.7863423879016,3513.27961420457,3844.262018179206,4198.583870505914,4574.870742190001,4972.040566811961,5388.011385569814,5820.7056170979395,6267.452347453369,6724.097771984662,7186.668784882661,7650.500644354522,8109.019768914918,8556.430022186012,8986.774278912431,9391.641172876649,9764.142396761832,10098.39699638756,10386.67408497419,10622.366529652472,10801.998715767508,10921.49060086297,10976.388629164103,10967.143239097988,10895.009320360374,10760.055004465348,10565.918260773748,10318.736126761234,10023.533770352218,9685.521095748933,9312.768084330806,8913.217747885243,8492.708626633355,8058.079182210991,7616.45828778801,7173.889345173494,6734.718648782558,6303.416612468794,5883.834924784914,5479.000927324489,5090.990881299677,4721.5045343830625,4371.166512780359,4040.5665226553883,3730.1139627815187,3439.9557296012617,3169.2721459953636,2917.1289277694896,2683.0080285874387,2466.562086180983,2266.5554814223933,2081.655084291209,1910.869646663919,1753.8786942820568,1609.585534512491,1476.828027367474,1354.528476149038,1242.2959567060868,1139.4497590950039,1045.1015584710156,958.3764673390283,878.6630183510596,805.7177376963593,738.9137518177677,677.6570150143177,621.3558140010133,569.6767328719925,522.402108856412,479.1160632646833,439.43749128892136,402.98528812123254,369.4863018670913,338.8475273106463,310.7921053451391,285.0889746177179,261.50797852338314,239.8208064187578,219.92745422541313,201.7239038202255,185.04719954036779,169.7662100827211,155.74980414415762,142.866850421546,131.02150050948674,120.19159358822837,110.262130482942,101.16114567008349,92.819282699198,85.16718511985056,78.13549648157944,71.66518227936386,65.75247172630101,60.328458764799535,55.351834922348395,50.78846960490968,46.604232218452694,42.764992168936594,39.236618862334964,0.0
H,40.12243730224003,44.64277306796498,49.69503148922581,55.27033787221103,61.36511653437293,67.98278537586907,75.13394549196653,82.83439790477274,91.10708811805864,99.97805556552936,109.4761020139141,119.63710321421962,130.4981314833321,142.09466697100254,154.47042802928712,167.67215527023603,181.74887718945155,196.74232357149316,212.6997905421378,229.681761894165,247.74885947449195,266.96191273992685,287.3829714507188,309.0462125880027,332.01817056223524,356.37821963245653,382.20573405771427,409.5800880970414,438.5786576809381,469.21236874659326,501.53357334875466,535.6424483617739,571.6393537200381,609.6246493579647,649.6975754639137,691.8531216688568,736.0262602278924,782.3160668070565,830.8370620909418,881.7037667641281,935.0307015112052,990.8511458530145,1048.8705566584454,1109.0705959644379,1171.553769662898,1236.422453815635,1303.7790244844696,1373.6378158426005,1932.8208637214427,2059.690005589445,2215.296122935385,2392.7442687548746,2585.693774457616,2792.2846084082935,3010.794347874424,3239.380743682453,3476.0572733164768,3719.130643397395,3966.1937352802997,4215.027945821311,4463.074044980038,4706.890059861961,4943.5025632055995,5169.651569572667,5381.118709173271,5574.721062099229,5747.3810293711,5894.930338052717,6014.665760560812,6104.757517608837,6162.626160317883,6186.717039418382,6177.4017545386,6134.775242280124,6058.892246633582,5952.188595365775,5817.401076310269,5656.506166684981,5472.853849150848,5270.625195432892,5053.243052229652,4823.912802467129,4586.559261715717,4344.8916534435975,4101.554844405238,3859.307615791396,3620.7033714615222,3387.853251254831,3162.264457874227,2945.2187864612,2737.6282298690885,2540.17338363954,2353.4276495320864,2177.599999331149,2012.4210196860138,1857.6320660876934,1713.2428895320693,1579.05204425402,1454.4263989534948,1338.7210114982443,1231.5741562665048,1132.7239642295697,1041.5231384606602,957.2988731517553,879.5483634604165,808.0911215186461,742.4038689497208,681.9527513785879,626.241977699541,575.0774901899038,528.1419388337247,485.0410949711688,445.3875363086698,408.90511984853964,375.4704368367504,344.8058439959385,316.6512531105734,290.7475537447276,266.94194332396967,245.1277247490363,225.12211298620292,206.75822709429178,189.86918613212384,174.3322069253837,160.09653688798713,147.03946879024377,135.0591724641039,124.05419560165788,113.92385099920648,104.61965529010261,96.09038615953949,88.26386238931185,81.08171777221278,74.48558610103414,68.41710116857072,62.83242676290695,57.717034567359605,53.01932248371306,48.70694463101712,44.74865642900945,41.11321329742988,37.76937065601381,34.690144267766456,31.870934495192635,29.280615664476464,26.900519122282795,24.714999997062712,22.708413417268012,20.865114511345283,19.169458407750746,0.0
I,94.14029326530061,103.68251726141258,113.63999460345073,124.1595598508828,135.33362432839533,147.23309336562588,159.90671998879444,173.40754904659497,187.77885062929266,203.06825512893175,219.32568901070064,236.6017145193039,254.95091067860162,274.4270662793375,295.0906887742277,317.00668735140107,340.2448055337147,364.8612441985211,390.9172460147554,418.49758180379206,447.6872850845923,478.57172868299745,511.23460970629674,545.7051723877944,582.0721454624613,620.4469781353002,660.9411196113294,703.6660190956545,748.7240003211168,796.0927561773142,845.8323311824904,898.0838374787811,952.9886630855309,1010.6881960220838,1071.3205446798502,1134.8329846361673,1201.0873779954322,1270.2234702938065,1342.404848750599,1417.7951005850182,1496.5578130163333,1578.7179393609906,1663.771731753082,1751.6845320037182,1842.6088796077042,1936.6969457896175,2034.1009017741385,2134.8356385449606,2992.1539370074956,3175.5237724159915,3401.3524098700414,3659.006505927155,3938.793743222467,4237.793726347625,4553.373364210655,4882.767236321045,5223.059521207067,5571.828716799454,5925.647031591378,6281.428535558138,6635.616247899098,6983.413573134434,7320.738022219763,7643.102308242801,7944.652838684041,8221.010478406535,8467.93413356994,8679.5864062244,8852.171498692212,8983.102049373165,9068.663199646959,9106.536699466022,9097.100006916171,9040.306066568186,8936.00459840989,8787.431139636192,8598.249291864284,8371.048361192916,8110.41690444788,7822.163949793741,7511.054520847844,7181.597604121991,6839.396436757019,6489.768128176602,6136.5566072556,5783.806324190119,5435.29545417026,5094.174168886519,4762.747845383675,4442.996038054567,4136.364955092276,3843.9609681024594,3566.742001267417,3305.1164761126797,3058.7803902658197,2827.4446033076047,2611.2048376439866,2409.8377573260714,2222.4653367775486,2048.189119893725,1886.5226474232406,1737.1224000400473,1599.0582649710057,1471.3586744138681,1353.3025826714036,1244.6446493630228,1144.6213479607406,1052.4481223940047,967.3968338586526,889.1888277675783,817.358371641941,751.3191492469701,690.4946512795265,634.4750867892702,583.0802423729139,535.894747672116,492.5278338058186,452.5901999348106,415.8529964295021,382.1575130263145,351.22765355863555,322.81061761168917,296.6536047706791,272.570795546147,250.48642338380026,230.21423288908343,211.59882788300743,194.48538284163487,178.72023851428781,164.2296717891567,150.93625769820682,138.72945100163724,127.51954609440475,117.21683737144862,107.73161922773329,98.99657697175445,90.9899786793532,83.63263686429585,76.87449971483167,70.66720276242259,64.96238153853659,59.711671574625626,54.873350869257514,50.44078531662588,46.36589993166536,42.61963580131502,39.17762423473941,36.01549654111554,33.10888402960058,30.433418009375387,0.0
J,36.15558930064617,40.77211277557194,46.30754321664938,52.67986141828635,59.84812568897394,67.79752788458302,76.54039196057488,86.09761249798419,96.51080276012271,107.82620008105778,120.09589055383378,133.38742543846217,147.76984665446196,163.31111588199815,180.09572008622968,198.21317213812517,217.7570575590711,238.81542503450385,261.4892205670999,285.8996852353923,312.1682711894872,340.4168422830734,370.7802842639105,403.36426065458727,438.3200273911277,475.8193422255815,516.0339629100978,559.135647196783,605.3084073065081,654.6751504811219,707.4020122596728,763.7291152205538,823.8969480396913,888.1459993929781,956.7197865730466,1029.7816241074072,1107.397431542895,1189.8571502007653,1277.4782351330646,1370.5781413918462,1469.4743240290093,1574.4110486900936,1685.2412883056709,1802.134373531665,1925.4557440454257,2055.571315340644,2192.847002910909,2337.5333698006752,3330.7451853753037,3599.174366764307,3928.938168812897,4309.46305841567,4731.00496270521,5192.45182236451,5692.8921141603,6231.221116761759,6806.08788847736,7416.627003137484,8060.587152840931,8735.750998129492,9439.05460986115,10165.298071853264,10909.454686657838,11665.429761716767,12424.209055297573,13177.623685000137,13917.124884673263,14630.146753506402,15305.883551514355,15934.747186699493,16503.8117162442,17001.19250491299,17419.405903429673,17749.655631629237,17981.814636438652,18113.349480396428,18142.93740996427,18066.928321753436,17887.77352004101,17612.44639242365,17246.24595854049,16795.089779724265,16270.977532020373,15686.030166450402,15049.082982993901,14371.648896600733,13666.735663510273,12945.524190883709,12216.12744562371,11487.825801498684,10769.245169025373,10067.299519194574,9386.55148169886,8731.52283393107,8104.9710138722685,7509.513804122576,6946.4293979290605,6416.861542741138,5920.245957973465,5455.69505884854,5022.7258004568475,4621.095167452963,4248.918621113397,3904.069840270843,3584.9687462529796,3291.159868724893,3020.7697986909475,2771.7271766530594,2542.111457017306,2331.2663581919587,2137.98680542931,1960.6191357053979,1797.5301471625012,1647.5936266874537,1510.4057828855316,1384.788990230077,1269.611115041627,1163.7445814255439,1066.576083474531,977.7308555431367,896.4142390613629,821.8933025840249,753.4351146659121,690.5252594934691,633.0215212209731,580.3955771061882,532.201854236126,487.9965726564039,447.3396764022399,410.0544918288235,375.96155108237616,344.7467748571081,316.1574247082291,289.94076219089817,265.8440488603262,243.68697582097678,223.44554129193145,204.89998825297207,187.9117036754054,172.34730345780878,158.07340349875435,144.95661969681004,132.88501600959876,121.86365566064403,111.76066534147839,102.4962837393983,94.00536134658286,86.22274865520046,79.08329615741751,72.5218543454176,0.0
