EpiState,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
S,1.0664440449271444e7,1.0661861500217212e7,1.0659103562059004e7,1.06562183173846e7,1.0653239229066025e7,1.0650188095059589e7,1.0647078700736945e7,1.0643920260486556e7,1.0640718148930946e7,1.0637476162211599e7,1.0634196365704851e7,1.0630879790407984e7,1.0627527319750415e7,1.0624139177748404e7,1.0620715126670713e7,1.0617254993861655e7,1.0613758641186895e7,1.0610225602402115e7,1.0606655301890114e7,1.060304722337797e7,1.0599400903427722e7,1.0595715899426043e7,1.0591991590575153e7,1.058822733858663e7,1.058442253599135e7,1.0580576600306919e7,1.0576688974037735e7,1.0572759121904997e7,1.0568786438377216e7,1.0564770256068636e7,1.0560709929698393e7,1.0556604833537929e7,1.0552454361411072e7,1.0548257926693974e7,1.0544014962315127e7,1.0539724911080306e7,1.0535387124272773e7,1.0531000947490279e7,1.0526565749623897e7,1.0522080914362894e7,1.0517545840194762e7,1.0512959940405188e7,1.0508322643078074e7,1.0503633391095527e7,1.0498891605536792e7,1.0494096600048559e7,1.0489247841020584e7,1.0484344801648987e7,1.0479386940880049e7,1.0474373703410212e7,1.0469304519686108e7,1.0464178805904523e7,1.0458995964012414e7,1.0453755381706925e7,1.044845618400352e7,1.0443097804900639e7,1.0437680287181305e7,1.0432203510046607e7,1.042666718128058e7,1.0421070837250257e7,1.0415413842905588e7,1.0409695391779501e7,1.0403914505987898e7,1.0398070036229631e7,1.0392160121744761e7,1.0386184532681325e7,1.0380145415625382e7,1.037404413361684e7,1.0367881207009362e7,1.0361656313470379e7,1.0355368287981084e7,1.034901512283642e7,1.0342593967645094e7,1.0336101129320854e7,1.032953319954968e7,1.0322894866752155e7,1.0316192088731963e7,1.0309428366617847e7,1.0302604744863607e7,1.0295719811248114e7,1.0288769696875323e7,1.028174807617425e7,1.0274646166898968e7,1.0267460298606833e7,1.026020210696239e7,1.0252879988376683e7,1.0245498490243867e7,1.0238058319995912e7,1.0230556345102664e7,1.022298559307178e7,1.021533525144877e7,1.0207596245186506e7,1.0199782266269132e7,1.019190242899872e7,1.0183961416127251e7,1.0175960298748182e7,1.0167896536296515e7,1.0159763976548748e7,1.0151552855622903e7,1.0143257529027417e7,1.0134890632510165e7,1.012645834745031e7,1.0117963872939724e7,1.0109407705186274e7,1.0100787637513857e7,1.0092098760362402e7,1.0083333463562656e7,1.0074490976286527e7,1.0065580435180072e7,1.0056606226908205e7,1.0047570700791862e7,1.0038474168808015e7,1.0029314905589666e7,1.0020089148425858e7,1.0010791136156747e7,1.0001421297571039e7,9.991986896815527e6,9.98249194294568e6,9.972938716269352e6,9.963327768346753e6,9.953657921990486e6,9.9439262712655e6,9.934128181489127e6,9.924262621043382e6,9.914336633428527e6,9.904354622398682e6,9.894319325456535e6,9.884231816405999e6,9.874091505352188e6,9.863896138701394e6,9.853641799161175e6,9.843325226519879e6,9.832952824958112e6,9.822530094236556e6,9.812060579330476e6,9.801546095885577e6,9.790986730218e6,9.780380839314304e6,9.769725050831495e6,9.75901474667804e6,9.748253630204925e6,9.737448794400342e6,9.726604770151637e6,9.71572425519894e6,9.704808114135182e6,9.693855378406065e6,9.6828632463101e6,9.671827082998587e6,9.660749572972357e6,9.64963880058629e6,9.638495465058435e6
E,14460.58420774065,13547.668279110929,12993.885887724467,12674.462282477782,12508.2901846033,12442.204476310859,12442.234089692047,12485.333649699713,12557.652408106578,12649.083978315008,12753.65095498574,12867.832026400098,12988.41366188963,13113.739952565813,13243.24157110863,13376.153829204084,13511.591180855621,13649.438319702129,13789.82253490017,13932.698932689584,14077.866091592377,14225.045019962512,14374.377543883407,14526.036626068846,14680.101636296002,14836.57239275014,14995.369162024663,15156.339511970267,15319.497363527744,15485.01923425377,15653.019755106448,15823.555104050101,15996.623006055228,16172.162733098528,16350.055104162931,16530.147426772808,16712.535521776663,16897.35985468956,17084.700299801876,17274.595073622393,17467.040734878206,17661.992184514736,17859.362665695713,18059.02376380328,18260.897403665982,18465.230918931622,18671.96190684012,18881.007154563824,19092.31112857101,19305.845974625874,19521.611517788533,19739.635262415024,19959.972392157288,20182.705769963184,20408.56466957686,20637.70703379084,20868.893781811563,21101.25896423872,21334.328270320882,21568.01902795545,21802.640203688672,22038.892402715643,22277.867868880327,22521.05048467549,22771.672590645892,23029.393895231868,23288.25916644252,23544.14250347405,23794.88922112217,24040.315849782102,24282.210135448528,24524.33103971567,24772.40873977722,25034.144650944516,25316.865750989076,25608.961598716636,25895.62951889446,26167.897335646216,26422.623372451948,26662.496452148072,26896.03589692742,27137.591528339177,27407.343667288937,27713.610506833884,28028.472746112384,28331.460864420118,28611.331002292143,28866.044146674954,29102.766130926604,29337.86763481652,29596.924184525702,29901.457812785095,30218.738036929462,30526.79845229822,30814.33900703466,31078.785816752254,31326.291164534643,31571.733500935687,31838.717443979403,32141.040116783945,32448.616937329003,32746.82138574377,33028.27501379522,33292.179151416996,33544.31490670932,33797.04316593902,34069.29912097079,34363.59974158734,34658.548834499044,34944.232230834474,35215.73236168478,35473.12825810371,35721.49555110751,35970.90647167517,36236.33592048543,36517.845043593064,36798.93082091767,37071.012765705294,37329.77650730105,37575.173791149326,37811.42247879346,38047.00654787611,38294.676092138936,38558.50003581827,38822.92157723868,39078.826434241826,39321.22871928485,39549.26475874639,39766.193092926645,39979.394476047324,40200.37187625162,40439.09760908963,40681.99687484019,40917.69420868561,41139.65537194101,41345.6407758459,41537.70548156408,41722.19920018373,41909.76629271736,42114.16463971271,42328.836020809154,42538.88874314341,42735.75534709558,42915.42760593826,43078.45652583667,43229.95234584862,43379.584537924464,43541.58180690719,43712.21053709194,43874.48514650326,44029.6300421633
Ia,9467.298180652413,10298.026326916686,10883.657875935825,11309.46849146364,11631.025938232691,11884.87180637248,12094.457239237357,12275.77539845265,12438.523773972416,12589.83409189858,12733.998325913892,12873.611877018118,13011.054861841649,13147.62618936728,13283.863904348385,13420.435951739495,13558.089340824994,13697.028571402961,13837.278922094487,13978.980909706435,14122.37992893912,14267.771483068476,14415.147869842891,14564.46739916225,14715.750787068315,14869.071895780038,15024.55773369355,15182.383883715262,15342.603107128956,15505.132947341066,15669.930736553917,15836.995121100956,16006.36606144684,16178.124832187377,16352.394022049564,16529.32009993881,16708.858391774764,16890.904500123987,17075.39820320796,17262.313003063562,17451.656125543104,17643.468520314294,17837.824860860255,18034.833544479527,18234.57245904701,18436.854848742434,18641.66266001881,18849.00201828199,19058.87257647331,19271.267515069612,19486.1735420832,19703.570893061842,19923.433331088836,20145.7281467829,20369.98170999146,20595.99316651198,20824.471820835963,21055.901036753774,21290.52593963724,21528.353416439604,21769.15211569559,22012.452447521344,22257.54658361447,22503.48845725397,22748.12858773983,22991.5096885723,23237.439479808665,23488.53872673847,23746.144953734063,24010.31244425058,24279.81224082596,24552.13214508094,24823.47671771906,25088.767262120964,25342.975385884325,25593.59752346059,25850.42557261942,26119.36178878607,26402.41878504139,26697.71953212179,26999.497358419325,27298.09594998158,27579.96935051178,27839.362660117753,28094.800551783257,28360.004819209407,28642.468248493475,28943.468104800133,29258.066132361375,29575.108554476617,29877.226073512622,30149.748203618372,30414.601655826697,30686.588531125544,30973.277415806544,31276.301681589874,31591.35948562417,31908.213770486625,32210.692264182937,32489.259162180933,32764.216903229957,33045.42664974917,33337.798580332696,33641.744146367295,33953.17607203235,34263.508354299905,34559.659988577005,34839.73753149676,35118.21835205299,35401.76169352557,35693.595659796236,35993.517215348715,36297.8921852685,36599.65525524312,36888.37417009236,37163.823602229626,37437.17952973697,37714.199049351955,37997.69825840855,38287.552254836985,38580.695137163784,38871.1200045119,39149.87895660051,39413.98281451185,39673.98720153642,39936.03733061222,40203.42181334691,40476.57689525821,40753.08645577385,41027.6820082317,41292.242699879556,41539.693107193816,41779.24306203468,42018.63119569306,42262.23859046165,42511.46366461046,42764.72217238686,43017.447204015436,43262.089185698205,43488.93254801045,43702.345122909275,43912.5415136672,44125.3500776677,44343.42085003288,44566.22554362341,44790.05754903868,45008.03193461659,45210.08544643383,45398.67921226457,45585.52103314402,45769.62653628858
Is,3850.5877175700566,4188.806444174233,4427.88141222722,4602.323008615842,4734.599095384137,4839.472466849444,4926.408707865397,5001.8605216436645,5069.736793272648,5132.913795080354,5193.122460830681,5251.410470946234,5308.741125105003,5365.641954688036,5422.334192825143,5479.092179433044,5536.222603939774,5593.813069955257,5651.878878756371,5710.481697885877,5769.725341096929,5829.733770275404,5890.508202389662,5952.035088462982,6014.32610004943,6077.4144718379675,6141.355001652462,6206.222258674937,6272.041130695206,6338.779111469128,6406.419706648065,6474.963759948098,6544.429453150054,6614.85230609949,6686.285176706692,6758.791188266444,6832.3538755218,6906.928850985128,6982.49037960528,7059.027545251607,7136.544250713958,7215.059217702688,7294.605986848661,7375.232917703243,7456.977103565759,7539.762965385342,7623.57669027212,7708.416120090871,7794.278784831867,7881.161902610834,7969.062379668978,8057.976810372972,8147.901477214963,8238.832350812567,8330.588271940052,8423.079831534615,8516.577582631402,8611.26597246147,8707.238443864311,8804.497435287933,8902.954380788811,9002.42971003189,9102.652848290607,9203.26221644687,9303.408410964692,9403.086491296759,9503.802274593274,9606.592640587833,9711.986704958494,9820.0058193278,9930.163571262761,10041.465784274851,10152.410517820028,10260.988060437103,10365.16872949283,10467.92462398,10573.182584269238,10683.309680158603,10799.113210873562,10919.840705067018,11043.179920819284,11165.25884563809,11280.645696458609,11387.006986230152,11491.77438238617,11600.491121300965,11716.184457541936,11839.37098297572,11968.056626768162,12097.736655384324,12221.395672588533,12333.10097806886,12441.700285011817,12553.195159137722,12670.657045042986,12794.749192967418,12923.726658794189,13053.436304049816,13177.316795904231,13291.494245979571,13404.204118597554,13519.458603065637,13639.256033419004,13763.763987231809,13891.319285617166,14018.427993227153,14139.766932146442,14254.561150486528,14368.703411716207,14484.90935244392,14604.495347180648,14727.37850833986,14852.076686237551,14975.708469092202,15094.019329341432,15206.91389308249,15318.95110146729,15432.482310291465,15548.657605889377,15667.425805134095,15787.53445543744,15906.529834749937,16020.756951560861,16128.992548020951,16235.548086757624,16342.936333780714,16452.501919519567,16564.423066382882,16677.711588758655,16790.21289301427,16898.605977496365,16999.99645416575,17098.149114886786,17196.230522717124,17296.033505069125,17398.130228896967,17501.872200696664,17605.390266506005,17705.59461190467,17798.508819330364,17885.918883683462,17972.006140485344,18059.156988133225,18148.45642471151,18239.68804799191,18331.33405543333,18420.575244181957,18503.291011071204,18580.48898317457,18656.96292622663,18732.309653752505
R,20613.026679365787,22880.268007953044,25308.925397305382,27854.19021804841,30486.79871797397,33187.46632215153,35943.79533521078,38747.332672518154,41592.96641444093,44476.97064367593,47397.15055981214,50352.2418944665,53341.12967729606,56363.30343673224,59418.688146521796,62507.17037092628,65628.62406761223,68783.23817661783,71971.32469053697,75193.1568231301,78448.97396413342,81739.00980509087,85063.67976517453,88423.4400807049,91818.72791317086,95249.96564626136,98717.56088586577,102221.90856927374,105763.48024536684,109342.84028040098,112960.54076870167,116617.11733843431,120313.08915160432,124048.95890405687,127825.21282547715,131642.32941505456,135500.8975947421,139401.55513453184,143344.9168487461,147331.5781004958,151362.11480168108,155437.08341299093,159557.0209439034,163722.44495268553,167933.88676107166,172192.02986205943,176497.48805183973,180850.8550572602,185252.71901167848,189703.66245496186,194204.26233348783,198755.09000014354,203356.71121432638,208009.68614194315,212714.7984631322,217472.73213411038,222283.7115054233,227148.0593397393,232066.20303078086,237038.67460332476,242066.11071320216,247149.25264729845,252288.94632355368,257486.14229096143,262742.4131707933,268058.28275471786,273432.33489621995,278863.7355023754,284352.28236298455,289898.4051505723,295503.1654203878,301168.25661040517,306896.0040413229,312689.3649255514,318551.3458428689,324478.58220082667,330466.4508844609,336512.3051203181,342615.47447645536,348777.26486244076,355000.95852935273,361291.8140697802,367657.0664178231,374100.00416632654,380611.43162606505,387184.52125849,393815.64999172476,400504.39249625284,407253.521184917,414069.00621291995,420960.01547782443,427934.3209452955,434980.766644069,442091.8015648891,449263.6110802906,456495.4505918224,463789.6455300476,471151.5913545434,478589.7535539022,486109.1386613474,493699.20806658955,501354.8077614909,509073.34905700176,516854.5741404879,524700.5560757312,532615.6988029289,540606.7351973284,548674.5436563073,556811.4154615625,565013.6945902302,573279.5026177788,581608.7387180078,590003.0796630506,598465.97982337,607002.6376034976,615612.887541436,624290.5507943622,633032.2603055636,641836.1732095643,650701.9708321284,659630.858690255,668625.5664921845,677690.348137393,686826.3087653028,696027.3985424815,705289.8537148143,714611.3942471213,723991.2216042152,733430.0187509047,742929.9501519919,752494.661772273,762127.2299006649,771822.1201756676,781574.5336513674,791381.4231028459,801241.2964706308,811154.2168606966,821121.8025444637,831147.2269588002,841234.7881606353,851381.3244473772,861580.5402029781,871828.4369718467,882122.6811826706,892462.6041484119,902849.202066312,913285.1360178884,923774.7319689364,934315.6564497829,944900.6538393112,955529.1780179308
Ihsub,263.650171878993,292.42344814420284,322.2600913907989,351.9880844563854,380.921223972459,408.6768942016123,435.07583955410263,460.0469265744405,483.6090286438331,505.8085345778228,526.7253765536515,546.4549739157297,565.0841498866142,582.7068315039413,599.4194238606375,615.3073067992493,630.4460874944855,644.9127231406221,658.779573568066,672.1113656921715,684.9655357658442,697.3933981694466,709.4463097384565,721.1707614000085,732.6088763690796,743.7987182074263,754.774290823587,765.5656650463662,776.2022918356084,786.7120395408684,797.1199652696101,807.4487788851407,817.7188430066091,827.948173009009,838.152437023176,848.3452790694813,858.5419969352301,868.7572363621724,879.0038944358524,889.293377852003,899.6356029165488,910.0389955456069,920.5104912654832,931.0555352126767,941.6791574558063,952.3905386240468,963.1960864338447,974.1011146203227,985.1103116878943,996.2277409102691,1007.4568403304476,1018.8004227607252,1030.26067578269,1041.8391617472223,1053.5443682439247,1065.3824760495795,1077.345083953288,1089.4265994961843,1101.6244372421145,1113.9390187776353,1126.3737727120156,1138.9351346772344,1151.632547327983,1164.4784603416638,1177.5060209979265,1190.717316120501,1204.0513529901614,1217.4656010284743,1230.9376318715722,1244.4651193701532,1258.0658395894811,1271.7776708093868,1285.6585935242679,1299.7866907601356,1314.2453691114492,1328.9130331456063,1343.624435173603,1358.2788351041772,1372.8400004438051,1387.3362062966992,1401.8602353648148,1416.5693779478443,1431.6854319432193,1447.3044119713613,1463.1145955605798,1478.8784695314216,1494.4645390730232,1509.8471166530362,1525.1063220176256,1540.428082191469,1556.1041314777601,1572.381161761658,1588.8824963796687,1605.3482798059008,1621.6429604576592,1637.7335201088326,1653.6894738898939,1669.6828702878959,1685.9882911464779,1702.7662208079412,1719.6607164415495,1736.494382126723,1753.1760446219203,1769.692990730084,1786.1109672986418,1802.5741812195022,1819.3052347167254,1836.3319800045062,1853.3954793461687,1870.3725445019172,1887.20025731932,1903.8759697333078,1920.4573037661753,1937.06215152758,1953.8675517630825,1970.8714871235927,1987.8705400480662,2004.756159910607,2021.4717770199984,2038.0128026197044,2054.426628887868,2070.812628937312,2087.322156815539,2104.001479304901,2120.656680469499,2137.171313736131,2153.4797122171067,2169.5669142245974,2185.468663270625,2201.271408067072,2217.1123025256747,2233.1100927798884,2249.0938782864164,2264.918076761926,2280.4970250287824,2295.798366957083,2310.843053464653,2325.7053425170425,2340.5127991275344,2355.4317582549484,2370.3773021101647,2385.1591601180626,2399.66545093577,2413.8413794804464,2427.6892369292877,2441.268400719525,2454.6953345484203,2468.1435883732775,2481.5619978319123,2494.733528715675,2507.669009808305
Ihcrit,166.22055473302237,184.36435789263822,203.19639993270866,221.98874637704154,240.31390739004115,257.9315926052218,274.72676659326373,290.650807971672,305.71063671855063,319.9302529329831,333.3546400268385,346.03871964924946,358.0326548742126,369.391493913127,380.1722722896866,390.4257926365298,400.19737920332494,409.5335510736717,418.47840208213694,427.07164343939473,435.34880010807274,443.3418706493112,451.08301239254814,458.60175187611446,465.92496423405294,473.0770330775096,480.0798504947331,486.95288553927855,493.7152179542519,500.385331004906,506.97995131477535,513.5142240265395,520.0017128020221,526.4543998221924,532.8826857871641,539.295611123785,545.70353612385,552.1166439460087,558.543896203528,564.9931835147569,571.4713255031297,577.9840707971608,584.5360970304492,591.131010841678,597.7720601800962,604.4655635860641,611.2164243245454,618.0286942848396,624.9058537297766,631.8508112957211,638.8659039925676,645.9528972037451,653.1129846862142,660.3467885704677,667.6592022127533,675.0548812809399,682.529800499063,690.0813430790199,697.7084209340954,705.4114746789584,713.1924736296645,721.0549158036558,729.0038279197598,737.0457653981894,745.2002586174298,753.47007727438,761.8193596761367,770.2230639699957,778.667984588095,787.1527522474132,795.68783394977,804.2955329818269,813.0099889150861,821.8771778154868,830.9486491791904,840.1522940740954,849.3874139147812,858.5925941899415,867.7457044623822,876.8638983690248,886.0036136209029,895.260572003165,904.7697793750721,914.590983493684,924.5340699206694,934.4521534001974,944.2638675203029,953.9532408104319,963.5696967414417,973.228053725603,983.1085251165972,993.3638326007616,1003.7615132980374,1014.1398086863775,1024.4141797946952,1034.5639692622333,1044.632401338565,1054.7265818835942,1065.0174983675568,1075.6052819339075,1086.2681843864232,1096.8951117507227,1107.4289134234984,1117.8615635516294,1128.2341610321819,1138.6369295124102,1149.2091769684382,1159.9684662679238,1170.752548009386,1181.4839772926305,1192.1231734299656,1202.6684199462027,1213.1558645786588,1223.6595192771504,1234.2905558671666,1245.0477945859366,1255.80331982373,1266.4887184140184,1277.068316038173,1287.5391772254625,1297.9311053530555,1308.306642646022,1318.76107017733,1329.323574836732,1339.8719648597275,1350.3327193041434,1360.6643602832207,1370.8574061558656,1380.9343715266473,1390.9497672458003,1400.9901004092196,1411.1303047204,1421.2625491342856,1431.2948148577339,1441.172931387538,1450.8764150199117,1460.4184688504938,1469.845982774347,1479.2395334859561,1488.704207281738,1498.1863825130088,1507.5657145776274,1516.771389818971,1525.7687095604379,1534.5590901054459,1543.1800627374305,1551.7052737198496,1560.2444842961777,1568.765291302145,1577.1303584517223,1585.346508418068
D,78.99999999999991,87.75970198530126,97.44765986621111,108.07856734621943,119.63864980587124,132.0981653050479,145.41806828779283,159.55631997071657,174.46879728399526,190.11327530602324,206.44876041302572,223.43641300743093,241.04090207861958,259.22917621220535,277.97060171976096,297.23749099478266,317.00493655912226,337.2499693787105,357.9518913306594,379.09203287538844,400.6536940282448,422.62201012712825,444.98350481560146,467.7264890770017,490.8405148485563,514.3163185527964,538.1458210975574,562.3221041658663,586.839049661548,611.6917707378775,636.8762014055229,662.388919013657,688.2271442499559,714.3887411406031,740.872217050286,767.6766828558557,794.8015937401398,822.2470724680895,850.0136374902133,878.1021366906757,906.5137473872988,935.2499763315609,964.3126597085993,993.7039631372074,1023.4263016105652,1053.4820374993678,1083.8739430697774,1114.6049752942943,1145.678236366111,1177.0969736991135,1208.8645799278809,1240.9845929076846,1273.4606957144902,1306.2967166449516,1339.496094770037,1373.0623594686153,1407.0000269262378,1441.3134810131905,1476.0069600219194,1511.0845566670248,1546.5502180852684,1582.40774583557,1618.6607958990064,1655.3128786788093,1692.3659988636973,1729.8238788487051,1767.6946282746762,1805.9851283733144,1844.7009147640738,1883.8461774541634,1923.4237608385413,1963.4351636999236,2003.8805392087747,2044.7586948976223,2086.0675061847764,2127.818757027209,2170.0276420871446,2212.704811335718,2255.856370052975,2299.4838788278653,2343.584353558249,2388.150265450893,2433.1695410214775,2478.6384615800694,2524.581849168636,2571.019720350022,2617.9644328776394,2665.4206993063613,2713.3855869925396,2761.848518093994,2810.7912695700097,2860.198662751324,2910.0998827401995,2960.5159887202094,3011.4589677127565,3062.9332627040053,3114.935772644881,3167.4558524510703,3220.4753130030235,3273.9840669352297,3328.0093466484223,3382.5654391463954,3437.6602010697943,3493.2956173300936,3549.467801109585,3606.166993861384,3663.377570021747,3721.0979707115466,3779.347516127512,3838.135486351658,3897.466574333662,3957.3408858908483,4017.753939708207,4078.696667338373,4140.155495597695,4202.12985029549,4264.633861503435,4327.67452846884,4391.25483981418,4455.37377353708,4520.026297010317,4585.203366981826,4650.891929574692,4717.086522206148,4783.799301515641,4851.036538217412,4918.8005550771395,4987.089732402376,5055.898508042551,5125.217377388976,5195.032893374826,5265.332794890975,5336.126170423389,5407.420076747937,5479.216926175086,5551.514975844957,5624.308327727313,5697.586928621558,5771.336570156756,5845.539972121742,5920.198419060976,5995.3209080745655,6070.910406250191,6146.965432049187,6223.480055306495,6300.443897230713,6377.842130404061,6455.655478782401,6533.8813395815,6612.529364743105,6691.591956592648
Htot,429.87072661201546,476.7878060368411,525.4564913235074,573.976830833427,621.2351313625002,666.6084868068342,709.8026061473664,750.6977345461124,789.3196653623836,825.7387875108059,860.0800165804903,892.4936935649793,923.1168047608268,952.0983254170685,979.5916961503241,1005.7330994357791,1030.6434666978105,1054.446274214294,1077.2579756502028,1099.1830091315662,1120.3143358739167,1140.7352688187584,1160.5293221310046,1179.7725132761232,1198.5338406031324,1216.8757512849356,1234.8541413183204,1252.5185505856448,1269.9175097898606,1287.0973705457743,1304.0999165843857,1320.96300291168,1337.7205558086314,1354.4025728312015,1371.035122810339,1387.6408901932662,1404.2455330590797,1420.8738803081815,1437.5477906393799,1454.2865613667595,1471.1069284196783,1488.0230663427676,1505.046588295933,1522.186546054355,1539.4512176359026,1556.8561022101103,1574.4125107583907,1592.1298089051622,1610.016165417671,1628.0785522059894,1646.322744323015,1664.7533199644706,1683.373660468904,1702.1859503176895,1721.2035704566779,1740.437357330519,1759.874884452351,1779.5079425752044,1799.3328581762098,1819.3504934565933,1839.5662463416797,1859.9900504808907,1880.636375247743,1901.5242257398534,1922.7062796153568,1944.1873933948816,1965.870712666299,1987.6886649984704,2009.6056164596669,2031.6178716175664,2053.7536735392514,2076.073203791215,2098.6685824393544,2121.663868575622,2145.19401829064,2169.065327219701,2193.0118490883847,2216.871429294118,2240.585704906187,2264.2001046657233,2287.863848985718,2311.8299499510085,2336.4552113182926,2361.895395465045,2387.648665481249,2413.330622931619,2438.728406593326,2463.8003574634686,2488.676018759067,2513.6561359170714,2539.212656594357,2565.7449943624197,2592.6440096777064,2619.488088492278,2646.0571402523537,2672.297489371066,2698.321875228458,2724.4094521714906,2751.0057895140344,2778.371502741849,2805.9289008279734,2833.389493877445,2860.6049580454182,2887.5545542817135,2914.345128330823,2941.211110731913,2968.5144116851634,2996.30044627243,3024.148027355555,3051.856521794547,3079.3234307492844,3106.54438967951,3133.6131683448334,3160.7216708047304,3188.158107630248,3215.9192817095286,3243.6738598717952,3271.244878324625,3298.5400930581714,3325.5519798451664,3352.3577342409244,3379.119271583335,3406.0832269928687,3433.325054141633,3460.5286453292274,3487.504033040274,3514.144072500328,3540.4243203804617,3566.4030347972725,3592.221175312873,3618.102402934894,3644.240397500289,3670.356427420703,3696.212891619659,3721.6699564163196,3746.674781976993,3771.2615223151474,3795.5513252913893,3819.75233261349,3844.135965536687,3868.5636846231737,3892.7248746956907,3916.4368407547404,3939.6100890408843,3962.248327034734,3984.448463456956,4006.4006082682704,4028.388072669456,4050.327289134056,4071.8638871673984,4093.0155182263734
Dperday,8.759701985301396,9.687957880909842,10.630907480008311,11.560082459651824,12.459515499176636,13.319902982744894,14.138251682923768,14.912477313278703,15.644478022027977,16.335485107002437,16.987652594405283,17.60448907118864,18.188274133585786,18.741425507555654,19.2668892750216,19.76744556433949,20.245032819588424,20.701921951948858,21.140141544729012,21.56166115285641,21.968316098883445,22.36149468847325,22.74298426140006,23.114025771554722,23.475803704240096,23.829502544760793,24.176283068309143,24.51694549568131,24.852721076329775,25.18443066764563,25.51271760813366,25.83822523629933,26.161596890647306,26.483475909683133,26.80446580556928,27.12491088428394,27.445478727949865,27.766565022123835,28.0884992004623,28.411610696623228,28.73622894426216,29.062683377038226,29.391303428607966,29.722338473357947,30.05573588880243,30.39190557040962,30.731032224517087,31.07326107181659,31.418737333002472,31.76760622876761,32.12001297980338,32.47610280680517,32.83602093046247,33.199378125084955,33.56626469857827,33.937667457622496,34.313454086953016,34.69347900872861,35.077596645105636,35.46566141824395,35.85752775030112,36.25305006343623,36.65208277980315,37.05312018488793,37.45787998500764,37.870749425971326,38.29050009863783,38.71578639075964,39.14526269008936,39.57758338437833,40.01140286138194,40.44537550885086,40.87815568884794,41.30881128715508,41.7512508424319,42.208885059935284,42.67716924857427,43.15155871725606,43.627508774889456,44.10047473038421,44.56591189264469,45.01927557058462,45.468920558592046,45.94338758856584,46.43787118138729,46.944712527615735,47.45626642872334,47.96488768617829,48.46293110145256,48.94275147601729,49.40739318131322,49.90121998887576,50.4161059800103,50.94297899254688,51.474294991249025,52.002509940875896,52.52007980618883,53.01946055195404,53.50875393220508,54.025279713193136,54.55609249797222,55.09476192339944,55.63541626029932,56.1721837794911,56.69919275179985,57.210576160362315,57.72040068979996,58.24954541596572,58.78797022414745,59.33108798200289,59.87431155718598,60.41305381735722,60.942727630167504,61.45882825932211,61.9743546977946,62.504011207943975,63.040666965407354,63.58031134534023,64.11893372289866,64.65252347323533,65.17706997150817,65.68856259286932,66.19459263145446,66.71277930949412,67.23723670177192,67.76401685972684,68.28917732523597,68.80877564017536,69.31886934642401,69.81551598585128,70.29990151614751,70.79337553241456,71.29390632454617,71.79684942715001,72.29804966987035,72.79335188235623,73.27860089424614,73.74964153519782,74.20340196498464,74.65844693923661,75.12248901358736,75.58949817562787,76.05502579899179,76.51462325731174,76.96384192421874,77.39823317334672,77.81334837833788,78.225860799102,78.6480251616048,79.06259184954301,0.0
