Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,72.31790636835808,77.61280701886676,81.62402756268398,84.81822025888391,87.49177273241185,89.84743942675561,91.99910180333723,94.04323180339122,96.01786483824765,97.96591665423432,99.91266570080666,101.86068428912711,103.82615507981404,105.82015088296112,107.84052275349075,109.88601480414127,111.96457359464205,114.07832512095081,116.22566875679536,118.40522146207354,120.61646074846658,122.86332331119581,125.14531621946969,127.46181776910282,129.81241967640142,132.1967136577441,134.61439430987764,137.06698858151674,139.55369689029067,142.07398089068852,144.62790877158602,147.21554872194758,149.83696893063143,152.492237586633,155.18172208311137,157.90592057119738,160.66075594006224,163.44629457728468,166.26332989539435,169.11265530693095,171.99506422440186,174.91135006038155,177.86230622736366,180.8502107102015,183.8728437902098,186.91546380058446,189.980044148939,193.07001784984686,196.18881791788885,199.3398773676812,202.5266292137636,205.75250647077644,209.0209421532286,212.34637082497602,215.69146991162825,219.01638425062936,222.33543102290503,225.66340475531456,229.0150999747209,232.40531120801631,235.84883298205466,239.36045982372696,242.95498625985488,246.6697482494768,250.37302034834818,253.92388384467336,257.37616672899264,260.7870151199281,264.21357513616204,267.71299289627166,271.3424145189325,275.15898612282274,279.2198541233904,283.47420063963045,287.41094971708117,290.98130639938006,294.33513471743504,297.6222987022535,300.9926623847276,304.59608979588245,308.58244496660586,313.10159192792435,317.8230409248963,321.8342997261956,325.360109325204,328.62210917521395,331.8413220216388,335.2387706098317,339.03547768514045,343.45246599299537,348.38463023183976,352.51967659370007,356.14265373869705,359.5030048919234,362.80127485446974,366.2380084275053,370.0137504120895,374.32904560945224,378.9515153618279,382.8674235530257,386.4439751542167,389.84341490129293,393.2122009120367,396.6967913042122,400.44364419559497,404.59909288710116,408.789255444421,412.4805843575615,415.933435580377,419.256213984802,422.5573244427617,425.94517182617847,429.52816100695793,433.4126021743522,437.2665167791323,440.72903449469527,443.9749484119419,447.0949244592264,450.17962856485735,453.3197266571847,456.6058846645292,460.12876851518786,463.69752363198415,466.89005771922257,469.8470123118806,472.65469947743645,475.3992954589198,478.16697649931655,481.0439188416716,484.11629872894423,487.3490831988008,490.2411861257842,492.8430886904704,495.25522637927065,497.56610956149063,499.8642486063834,502.23815388318417,504.7763357612595,507.54228070591637,510.1081417099748,512.3048276632495,514.2636704738014,516.0773299009162,517.8384657038648,519.639737641909,521.5738054743508,523.7333289604799,525.7488380348226,527.3475864710839,528.9024441642863,0.0
B,22.91968267890047,25.116811767648073,27.297113747924186,29.50047910626097,31.7431952187153,34.03203197112521,36.36481409454052,38.740912108906514,41.15533525384319,43.60563895242251,46.089201219383085,48.60319010827675,51.146277102054114,53.716916925506894,56.314356090908746,58.93810566219622,61.58756416136373,64.2619535512348,66.96142266991308,69.68619496270094,72.43644206523686,75.2115936524101,78.01129277736459,80.83581575724827,83.68545626796515,86.56050798543754,89.46128273927104,92.38773196645923,95.33851061224038,98.31373047063335,101.31382616568169,104.33923232148084,107.3903835620373,110.4677145114672,113.57184608642012,116.70225708017949,119.85477978921722,123.02986318049136,126.22859711261276,129.45207144420124,132.7013760338882,135.97760074032078,139.28183542206023,142.61646540539846,145.97826550038099,149.35265787793196,152.74192644925574,156.14975661713095,159.57983378435404,163.03584335375808,166.52147072807577,170.0404013101379,173.59632050274604,177.20291397911353,180.82232571928955,184.4162143339496,187.99887073892887,191.58504189626876,195.1894747680384,198.82691631631417,202.51211350308097,206.2598132904651,210.0847626404443,214.02214981089242,217.94216122589626,221.7102336055351,225.37870877957175,229.00307685712846,232.63882794734366,236.34145215927674,240.1664396021199,244.16928038494666,248.40546488116217,252.82326656270902,256.9301704856081,260.68189512231163,264.22249096233656,267.69600849514904,271.2464982102847,275.0180105972265,279.15459614545796,283.80030534450884,288.63666572827435,292.78821209918726,296.4723942031237,299.9014782421234,303.2871343960551,306.84103284471644,310.7748437679991,315.30023734575536,320.31655191898994,324.56739456459934,328.32609871669524,331.83141913402574,335.2752638870196,338.8495410460922,342.74615868165415,347.15702486414466,351.85994338329067,355.8851002763971,359.5836596217606,363.1109322302077,366.60713120483706,370.2124696487897,374.0671606651865,378.31129797430845,382.58724572652443,386.384212739158,389.95125775550525,393.39225855805364,396.81109292933,400.31163865187,403.99777350814577,407.9713705964332,411.91463749737875,415.4816736105885,418.839817344445,422.07604217289884,425.27732156987213,428.530629009274,431.92293796506726,435.5412219111298,439.2026562405764,442.50230935440425,445.57484772627583,448.50316520595175,451.37002557991445,454.2581926345962,457.25043015652193,460.42950193212596,463.76190379190086,466.7665498164282,469.49147772434014,472.0332286328169,474.4769226608031,476.90767992736073,479.4106205513714,482.07086465192526,484.94950750561657,487.63541758763836,489.9653986064652,492.06570569777466,494.02559479553156,495.93432183370703,497.88114274618215,499.955313466956,502.24608993003903,504.3975520673308,506.1469514454948,507.85347235313907,0.0
C,162.2359046548902,173.66128096485352,181.86678279627347,187.9873510121655,192.7494251071846,196.65248284178153,199.98061772239203,202.97358588971713,205.72863095435991,208.3535463006117,210.91245256733976,213.4132111022276,215.89662567581797,218.39096218803843,220.8912232267162,223.39448496973046,225.92077256967968,228.47575831745291,231.05535943503162,233.6559942064564,236.27624022664054,238.92620147282446,241.60492541957353,244.31070598939323,247.04235156955406,249.7986705474566,252.57870176568258,255.3861830412775,258.2204172015644,261.08007317252645,263.96499151980106,266.87501280896345,269.809977605526,272.7697264751463,275.7546188783516,278.76626996174525,281.7990424410294,284.85278289961104,287.92844106611983,291.02696666912516,294.14930943725017,297.2964190991346,300.4692453833745,303.6707514054044,306.89839976946325,310.1328426024031,313.3766081091147,316.6341591465299,319.90995857156827,323.2084692411818,326.5341540122769,329.89147574177866,333.28489728659656,336.7321765382974,340.18565712802695,343.5958233239811,346.9808068229769,350.3593303901263,353.75011679053216,357.17188878927516,360.64336915150284,364.18328064227444,367.8103460266442,371.5680460476283,375.2916641065426,378.81335523992584,382.1990404959105,385.5185538279251,388.84172918943545,392.23840053387084,395.77840181465103,399.53156698525265,403.56773026736323,407.81503703810347,411.66233776253614,415.06216563504347,418.19222155630234,421.230206427095,424.35382114815764,427.74076662022514,431.5687437440148,436.01545342029044,440.6807279192933,444.4943943771734,447.73600295925974,450.6620170719075,453.52813874992466,456.5900700280471,460.1035129410624,464.32416952371614,469.1276777216176,472.9968387072379,476.27503222595544,479.24733415064475,482.14124029897516,485.1842464883438,488.60384853635435,492.62754226062157,496.9897535325729,500.54387873997155,503.71299400141686,506.67871905536003,509.60458657351285,512.6541292275234,515.9908796890496,519.778230209176,523.5972560733015,526.8573054240098,529.8515388519218,532.6993515936678,535.520138885885,538.4332959652186,541.5582180683276,545.0119757870449,548.4280476984579,551.4139928347437,554.163774136004,556.7759839549623,559.3492146444156,561.982058557097,564.7731080457862,567.8209554632559,570.9174133055053,573.6074407063387,576.0460814231667,578.3261079005745,580.5401434769103,582.7808114904145,585.1407352794577,587.7125381822678,590.4582176168855,592.8412146092887,594.9190383153233,596.7988869370306,598.5749802065018,600.3415378558622,602.1927796171017,604.222925222493,606.4994783506687,608.5674644787873,610.2501310145052,611.6872533003379,612.9767903429431,614.2167011489992,615.5049447251614,616.9394800780753,618.6182662145364,620.151752284087,621.2524455602819,622.3138784913388,0.0
D,785.7824537882625,842.1255725468445,883.5087586110658,915.2486927773207,940.7348288763546,962.2919981244713,981.2329229034249,998.6688644196402,1015.0424555899813,1030.8504209766184,1046.386642559763,1061.6827931216594,1076.926825323903,1092.2480726049466,1107.6223291233377,1123.0355927596602,1138.580593388152,1154.2824650369867,1170.1232187035562,1186.0873996624218,1202.1696250494638,1218.416040707545,1234.820936204006,1251.3780140747226,1268.083518341587,1284.9336930268478,1301.925898889479,1319.0774939060916,1336.380793067362,1353.8308109656027,1371.4291190262543,1389.1772886750423,1407.076891337626,1425.1294984399892,1443.3391323326741,1461.7096138896773,1480.2065162731942,1498.8315302804644,1517.5925010289989,1536.49727363676,1555.5536932211735,1574.769604900243,1594.1528537911522,1613.7217395346138,1633.4539784507979,1653.236951404609,1673.0878526884048,1693.0348334696296,1713.1060449164652,1733.329638196879,1753.7337644783192,1774.3465749291822,1795.1962207170714,1816.3838197745245,1837.623369562415,1858.6299924569985,1879.5112650237675,1900.3781461869858,1921.3415948707902,1942.5125699995097,1964.0020304972445,1985.92093528869,2008.3802432971502,2031.631953952714,2054.706943786338,2076.628957976801,2097.7843209132575,2118.5820654148765,2139.4312243002046,2160.740830388215,2182.9199164974502,2206.3775154468262,2231.5226616834275,2257.941433768292,2282.0502053543005,2303.564029063554,2323.526257114259,2342.980241725148,2362.9693351139867,2384.5368894996245,2408.7262570996286,2436.580790133366,2465.765422953028,2489.9817553101466,2510.850408146703,2529.8866830012166,2548.601460012213,2568.5056193183777,2591.1100410582394,2617.9256053705644,2648.2239732921835,2673.041922117052,2694.380021366315,2713.9297674149134,2733.044631724808,2753.078085758419,2775.3836009773713,2801.314648844644,2829.2968503730513,2852.5038284047396,2873.4370796294897,2893.1827599852336,2912.719870790812,2933.0274133649964,2955.084389026131,2979.868961319424,3004.878164335408,3026.5658022814036,3046.680681754224,3065.941546691637,3085.067141031219,3104.7762087110127,3125.787493668389,3148.8057950982634,3171.6281469963847,3191.881094757743,3210.7284654298346,3228.766884250163,3246.59297645573,3264.803367283712,3283.994681971546,3304.7635457562737,3325.8526645171432,3344.4989633846153,3361.6347309687276,3377.8242951329094,3393.631085652061,3409.6185323013606,3426.3500648557447,3444.3891130901466,3463.5060418287735,3480.431974154428,3495.505903837911,3509.382318867046,3522.6373346922715,3535.8470667638594,3549.587630531986,3564.435141447159,3580.802819237645,3595.908695981932,3608.6581821812183,3619.9057945819804,3630.253491876597,3640.3032327574438,3650.656975916703,3661.916680047121,3674.68430384107,3686.5614140422126,3695.7778071249672,3704.7547033572932,0.0
E,103.64209867672116,111.02719612107546,116.40685689698887,120.49500614631313,123.74875019901833,126.48262733271645,128.8756323336463,131.07905266576734,133.15430873785556,135.16957628322268,137.16548490068078,139.1470802889396,141.14025953703765,143.1630081920357,145.21220587172934,147.28603859113207,149.3972452960819,151.54946611884907,153.7401277959974,155.96697257243352,158.22912252117771,160.53301003027013,162.87798849962576,165.2629971146937,167.68730716004245,170.15018992013086,172.6510700269448,175.19236776502908,177.77338128795475,180.39325604466956,183.0519583703226,185.7494546000181,188.4857110688598,191.26069411192088,194.0747375472796,196.92876426136422,199.81835885385453,202.74348329550776,205.70492666132293,208.70347802625827,211.73992646532713,214.81506105354242,217.92967086586214,221.0861667771419,224.28240066106707,227.5026368235948,230.74892301950024,234.024874720674,237.3341073989351,240.68023652608474,244.06687757400857,247.4976460145133,250.97615731941562,254.51788561332205,258.0832598075227,261.62968389028265,265.1723959378753,268.72714490672683,272.3096797532945,275.9357494339206,279.62110290502665,283.3814891230717,287.2326570443985,291.2150402205659,295.1882477574436,299.0005053306894,302.7095059066834,306.376524727983,310.0628370371287,313.82971807661863,317.73844308899925,321.85028731684156,326.2265263418168,330.81495370299876,335.06514321830616,338.9221914191371,342.54794358690435,346.1042450030087,349.75294094876995,353.6558767056522,357.974897554977,362.8718487781631,367.9921514804669,372.3481418881389,376.17930223436053,379.7265249468978,383.2300442060964,386.9300941924413,391.06690908626524,395.88072306801985,401.258175467589,405.77352921478155,409.73316401439047,413.40908484131614,417.02042951986084,420.78633587423917,424.925941728712,429.6583849075646,434.73051208586264,439.0346518898233,442.97039724259173,446.7156507735798,450.4311184260804,454.2775061434104,458.4155198688693,463.00572891489094,467.63865036585753,471.72841537249485,475.5601135300609,479.25307684096765,482.9266373075917,486.7001269323721,490.69287771768904,495.0219213146329,499.3224532150732,503.19682107335564,506.8371064509065,510.34337050215197,513.8156743815605,517.3540792435334,521.058646242578,525.0294365330917,529.056299022435,532.6731435893819,536.0346597077449,539.2363479891824,542.3735596199753,545.5416457864716,548.8359576750129,552.351846471837,556.0508438599713,559.3785944099739,562.3898154100511,565.1958796059952,567.8950400362002,570.5855497390681,573.3656617529185,576.3336291162262,579.5600247395637,582.5704919475893,585.1755214205882,587.5208247566195,589.7097026111679,591.8454556396857,594.0313844976554,596.3707898405291,598.9669723238426,601.4076121131712,603.388374174853,605.3252402781908,0.0
F,97.66327132281049,105.46395109308833,112.00178655472212,117.76919750796242,123.06566048296645,128.08957294861648,132.94335821401899,137.71562951779333,142.43400418752185,147.13457220862063,151.83678440922836,156.53851450187062,161.2527664981469,165.98750716012523,170.73951294718336,175.50681602279644,180.29601636479708,185.10797760099388,189.94150039994554,194.79570875903676,199.6704557654706,204.5687436057724,209.4897891905954,214.4335597350124,219.40024427234323,224.3900318359705,229.4032157897999,234.44121342848825,239.5021355062055,244.58587779075629,249.6931833028192,254.824795063044,259.9814560922689,265.1639094111032,270.37328209033024,275.60950167648457,280.86572239167685,286.1426844872583,291.44227128296825,296.7663660983916,302.116852253301,307.49561306738485,312.9045318603296,318.34753806747926,323.81962703794954,329.297827137175,334.7858829245596,340.2897575510034,345.8154141673731,351.36881592446775,356.95592597318955,362.5827074643993,368.25512354886064,373.99380372926043,379.73978200632644,385.4349772193226,391.10150905190176,396.7621857081846,402.4398153921326,408.15720630784426,413.9371666593473,419.80250465073334,425.77602848596405,431.9100173819795,438.0056086724808,443.8611429374755,449.5560993688713,455.17465397532544,460.8009827656267,466.5192617485253,472.41366693285113,478.56837432723967,485.0675603299792,491.8318505348848,498.11680766613745,503.8568419555986,509.26961666707496,514.5727950643015,519.9840404110995,525.7210159712372,532.0013850084165,539.0428107865079,546.3663096375847,552.6479489806953,558.2135907396614,563.3851472207974,568.483636889304,573.8300782103897,579.7454896492958,586.5508896711715,594.0951833500951,600.4743021872471,606.0968918464065,611.3265407832384,616.4562800891865,621.7791408555921,627.588154173831,634.1763511352921,641.2063241172214,647.1973631659878,652.6816604116138,657.8978740242952,663.0617390878173,668.3889906860398,674.0953639028501,680.3964111432504,686.7441997796318,692.3514365639601,697.5995051213386,702.6494286233665,707.6622302415459,712.7989331474415,718.2205605124889,724.0850471381185,729.9020168221631,735.1339095155455,740.0389865647338,744.7529766234449,749.411608345227,754.1506103836115,759.1057113922486,764.4126400246656,769.7877910947233,774.5989811516658,779.054782636485,783.2853220604994,787.4205245048732,791.5903150509245,795.9246187798839,800.5533607728981,805.4248134224823,809.7850068976844,813.706946166698,817.3427339629337,820.8267307408207,824.2932969548715,827.8767930594215,831.7115795091684,835.8943129969222,839.7781039173133,843.1028465202804,846.0676507454514,848.8141846105818,851.4841161332414,854.2191133310941,857.1608442218254,860.4509768231795,863.52488527789,865.9659479847204,868.3441946803653,0.0
G,17.717897799453453,19.357711597113138,20.940993650252892,22.51209473558461,24.09375973146595,25.69897726677982,27.331525838335693,28.995385219129645,30.689399553672843,32.41415744214672,34.16938012932371,35.953684221383014,37.76716991293944,39.60959538430387,41.4806039547276,43.3800302276494,45.30805798603325,47.264538039003355,49.249661732829736,51.26367015359128,53.3068071724,55.37914081292229,57.4807123736291,59.61182082932967,61.77277819169112,63.96389647232181,66.18549931530129,68.43784041320117,70.72055037501747,73.0338600544857,75.37815626506094,77.75382582035348,80.16125553383321,82.60083221912762,85.07306097426167,87.5780749465427,90.11391789418681,92.68097263438875,95.27997434212725,97.91165819235604,100.57675936003997,103.27601302015029,106.01015434769144,108.78077462129121,111.58678662849096,114.41985019241943,117.28137040280967,120.17360019810508,123.09879251672479,126.05920029708628,129.05707647763947,132.09467399681554,135.17424579306464,138.3054547572733,141.4661030718607,144.63104923435563,147.80936483049018,151.01042812769825,154.243617393451,157.5183108951928,160.84388690039376,164.2297236765125,167.6851994909546,171.23777943497007,174.8048412181589,178.28849554739259,181.72456261464748,185.15122021861438,188.60664615815,192.129018231941,195.7565142388069,199.5273119774551,203.47958957569858,207.59384536583192,211.51381727169007,215.1906118603302,218.73137779418533,222.24326373566694,225.83341834717922,229.6089902911937,233.67712823009253,238.1449808262849,242.79210443776475,246.94950497212292,250.75526190993367,254.37850185825005,257.9879641924882,261.75238828813417,265.8405135206224,270.4210792654928,275.42041850153674,279.83905311644213,283.8667186528117,287.7009497451086,291.5041474534466,295.4387128380709,299.66704695901024,304.35155087650776,309.31024671946204,313.7189305095277,317.8591863913177,321.868245254428,325.8710298423304,329.9924628984088,334.3574671661787,339.09086229426225,343.88034753389695,348.2617177807379,352.4502266638663,356.54277480120874,360.636262810704,364.8275913102509,369.21366091776054,373.8895644158955,378.56439744256056,382.90545342944415,387.064503415929,391.1262273602758,395.17530522079795,399.29641695575646,403.5742425234208,408.0934618821221,412.6805576884054,416.93366129659574,420.97696825916154,424.8945681378157,428.77042939395903,432.6885204888528,436.73280988400336,440.987266040594,445.4205135992218,449.54258076134397,453.3897729481032,457.06281185193956,460.6515878801341,464.24599144002093,467.935912938843,471.8112427839351,475.9372487680012,479.8833571071999,483.4618307150161,486.80556174129754,490.0125380754616,493.1807476069723,496.40817822523707,499.792817819683,503.4326542798064,506.9337225071062,510.0054541136012,513.0444516146151,0.0
H,26.618726658967944,28.91885988020374,31.005862676184393,32.97583185524542,34.88259952069558,36.75946312702871,38.620304901811664,40.47783872411617,42.33322439330112,44.19036922186211,46.05064701588543,47.91211645861517,49.775991920534636,51.64265547735289,53.51128286136964,55.3813900483604,57.25376731109424,59.12829106846681,61.004998336741835,62.88401286970151,64.76552593306002,66.64992227003972,68.53724897708986,70.42777004735518,72.32177682089468,74.21956063781232,76.12142486053199,78.02773246777849,79.93836364060343,81.85353499598597,83.7735817403252,85.69883908004573,87.6296422215745,89.56632637131776,91.50931832162019,93.45890546473402,95.41383238432326,97.37438635829722,99.34110348697374,101.31451987069761,103.29517160979123,105.28359480459017,107.28032555543695,109.28643142985806,111.30126345195026,113.31962423535657,115.3424135430867,117.37106067355995,119.4069949251325,121.45164559623441,123.50644198524827,125.5728133905842,127.65218911061203,129.75011856582375,131.85310817261,133.94652156102626,136.03572774504255,138.12627271683982,140.22370246863284,142.33356299259725,144.4614002809414,146.6127603258662,148.79318911952743,151.01828695949536,153.23933193808193,155.4000398848819,157.52119100972527,159.62491317275334,161.73333423411054,163.86858205392207,166.05278449234515,168.3080694094973,170.6565648565529,173.08693484179582,175.3923893470373,177.5444873738976,179.60535144480343,181.63710408218247,183.7018678084562,185.86176514605222,188.1789186173756,190.7154507448866,193.34389742747237,195.67562785204586,197.79004980681162,199.78555260927442,201.7603024949458,203.8124656993245,206.0402084579124,208.5416970062131,211.27403325759315,213.65561977798006,215.7969136859096,217.8128481704162,219.79790868852632,221.84658069722553,224.05334965353046,226.51270101446727,229.118480860124,231.39142556528458,233.49616391619776,235.51227590274476,237.51215794282933,239.5682064543114,241.75281785510447,244.13832852008687,246.54326509306975,248.69977131947223,250.7332665570894,252.69950054730822,254.65422303146516,256.65318375094387,258.7521324470664,261.00577034404085,263.24615929322624,265.2838176911627,267.2067313590943,269.0630959982497,270.90110730986964,272.7689609951917,274.7148527554348,276.78697829185205,278.88592083821396,280.7851304814673,282.55674028229083,284.24792013284286,285.90576996451756,287.57738970874846,289.30987929696255,291.15033866053705,293.08064997932274,294.8271807257007,296.41352820386794,297.89548812797483,299.3226025774775,300.7444136318196,302.21046337044544,303.7702938728294,305.45969760895133,307.04099028833144,308.41533669548295,309.65606909160834,310.81616329135,311.9485951093574,313.1063403602553,314.342374858676,315.7096744193158,316.9966860844599,318.04737181301124,319.07520760850696,0.0
I,62.501443558563864,67.43206194692789,71.51085677730131,75.06133635697816,78.28042341032682,81.29859277069087,84.18335700572749,86.99302251760702,89.74594771919445,92.46598057555892,95.1660898600606,97.84511972452657,100.51183485707301,103.17175857597564,105.82306245271857,108.4647319612003,111.1014619354525,113.73427116193179,116.36267975483207,118.98640873345124,121.6056372465388,124.22288570739775,126.838370979926,129.45232792416266,132.06510843648744,134.67706441314735,137.28859204740382,139.90100894683965,142.51478109237746,145.1301876996245,147.74772520462017,150.36789004346818,152.99117865226447,155.61808746704082,158.2492462527504,160.88572796861885,163.52676121081873,166.17272589077658,168.82426372425238,171.48201642697222,174.14662571462026,176.81873330295315,179.49898090767485,182.18859127622312,184.8877994526672,187.59204702534575,190.30220570410083,193.0196574799071,195.74578434380084,198.48196828684638,201.22959130000572,203.9900353743383,206.76468250085208,209.55972044493848,212.36316015013585,215.15998601815923,217.9554451418195,220.75497103943636,223.56399722944636,226.38795723025265,229.23228456025709,232.10241273788066,235.00377528148854,237.95593751187988,240.91068323691206,243.8021713542724,246.65291221753074,249.4870405410492,252.32869103915192,255.2019984262005,258.1310974165335,261.1401227245208,264.25320939249,267.4708773549044,270.5526789533568,273.45249406436614,276.2447001066072,279.0036744987022,281.80379465935414,284.71943800720305,287.8249819608885,291.19480393910635,294.68715437937965,297.8241768119243,300.68501661396874,303.39511701764866,306.0796917404542,308.8639544997834,311.87311901311307,315.23239899791946,318.890392033751,322.10598319974275,325.00558999355627,327.7395691158028,330.4333244559838,333.21225990356334,336.2017793480112,339.5272866788648,343.05010304802994,346.1326666014569,348.98768204940575,351.72296892288006,354.43698592121694,357.2281917436162,360.1950450893544,363.43592384148445,366.70562721196495,369.6374244126123,372.4001812515713,375.0708751234034,377.72648342264597,380.44398354383884,383.30035288149685,386.37113144742045,389.42532928530153,392.19955103916095,394.8145733652607,397.3375694318401,399.83571240725314,402.37617545981743,405.0261317577852,407.8527544695102,410.71788505404527,413.3049003068552,415.713657870459,418.0102650724464,420.2607322708026,422.5310698235709,424.8872880887623,427.3953974243143,430.030110752583,432.4076730938668,434.5605011160615,436.56696113674,438.4966918219517,440.4193318379787,442.4045198508387,444.52189452682023,446.82177204315474,448.96993326693087,450.82708828256125,452.4963391202193,454.0522359253688,455.5693288435279,457.1221680202549,458.785303601028,460.6332857314567,462.36822640074064,463.7704235964269,465.1404162445092,0.0
J,23.964496598223832,26.274956985882227,28.5778618765612,30.91285691240364,33.29583126485886,35.7332211129243,38.222601531595956,40.76323358558989,43.350146041144285,45.98098480814326,48.65330941897048,51.36456479780952,54.1137022251678,56.89951274092675,59.72162313504816,62.57991935711357,65.47421249986382,68.40422531161698,71.37051331384032,74.37369764867299,77.41433056329424,80.49242003323684,83.60834283527129,86.76275969892686,89.95632702232933,93.18970120347558,96.46354144380246,99.77831720328425,103.13412091579733,106.53154297496928,109.97126564889004,113.4539712053562,116.98034191236502,120.55106003780395,124.16693718296767,127.82861861957656,131.53461243899972,135.28557516275794,139.08251111810773,142.92642463216487,146.81832003208274,150.75920164499144,154.75007379813565,158.79291170213457,162.88742247140885,167.02526454477697,171.20809550385877,175.43847562673443,179.71896519149186,184.0521244762465,188.44051375902006,192.88669331800781,197.39322343118226,201.9715189111082,206.5988624336851,211.24739599698864,215.92715907615275,220.64853814494154,225.4219196771794,230.25769014681134,235.16623602764753,240.15794379351428,245.24319991830725,250.45632517055878,255.70719537929835,260.8789304816431,266.01285722723856,271.15316902652773,276.3440592899442,281.6297214278932,287.05434885076863,292.6621349689826,298.49727370213327,304.5515400873088,310.3986375827717,315.9660727913134,321.38469551033745,326.7853555374711,332.29890267028225,338.0561867062339,344.18805744295094,350.82536467796126,357.7142857620005,364.022671266409,369.8975869359781,375.55571666343906,381.21332298619564,387.08666844157426,393.39201556695286,400.34562689975746,407.85943516533393,414.65548609811935,420.95072043915104,427.00501077469164,433.03529312139165,439.2585034958504,445.8915779146495,453.1514523945235,460.8012284853038,467.7376835322915,474.321910809139,480.7428392123254,487.173418898514,493.7866000241272,500.7553327458088,508.25242791752464,515.8525890463205,522.9051799123527,529.7014847823034,536.3800513983298,543.0794275025264,549.9381608370836,557.0947991440836,564.6853742821643,572.3007433900325,579.4561429126165,586.3640039026117,593.1491018589385,599.9362122804274,606.8501106657567,614.0155725138679,621.5573733235477,629.2255997571409,636.4218887290479,643.321754460479,650.052721119338,656.7421407806911,663.5173655196055,670.5057474111843,677.8346385304327,685.4598778484778,692.6388069568031,699.4128824096779,705.9378923892389,712.3540869449214,718.8017161261789,725.4210299824157,732.3522785631582,739.6982936693704,746.7939533650626,753.3294580560976,759.51143592993,765.4971418370404,771.4438306278641,777.5087571528512,783.8491762624254,790.6223428071711,797.1941979550786,803.0975866658349,808.9705025488466,0.0
