FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",7.626890404926503,7.47282237061032,7.472432749018864,7.570553042600077,7.732426500236498,7.935922486318951,8.16739570629808,8.417746889785112,8.68178828136155,8.955702490207981,9.237343234355007,9.525510803900568,9.819014922761623,10.1172883454263,10.420170839345673,10.727391460924085,11.038613769487611,11.353811812895943,11.673027468042301,11.99624145510612,12.323384212097409,12.654368903420034,12.989258224433748,13.328094341870946,13.670899796611623,14.017685967817545,14.368453072932239,14.72319450891241,15.081969284145393,15.444797741130017,15.811682939322177,16.182637814158632,16.557685177057024,16.936857715415886,17.320197992614624,17.707772174093613,18.099675007019524,18.495819845761364,18.896130989985924,19.300577224183144,19.70917181766613,20.121972524571177,20.539081583857712,20.960645719308385,21.3867798573021,21.81726613618428,22.252071652148373,22.691214770588367,23.134730707833217,29.33339111153895,34.73830190859643,39.78799833757764,45.085521837610585,50.718733198855396,56.801787852075606,63.44690620496714,70.74328799125007,78.8024536928569,87.71635618419755,97.5691413909797,108.45990140752237,120.49455859202253,133.7762392017626,148.41815399389392,164.54682733976514,182.29934002431412,201.8042273664674,223.1934385905384,246.61291170815923,272.2230500238861,300.17742774950517,330.5922240890328,363.59483941114394,399.3306593729546,437.9537295948626,479.53096783298827,524.0791374573755,571.6288078523479,622.2250497796416,675.8401773157391,732.2555397560035,791.2410082385604,852.5852001441243,916.0469180481815,981.0874610469219,1047.0816985232461,1113.450430279775,1179.6346582453443,1244.7816058964618,1307.9004101687665,1368.1285548688218,1424.7150088915866,1476.6891920382734,1523.0122652583018,1562.8998162127514,1595.7957695588157,1621.020667890548,1637.9822529270496,1646.4379968176095,1646.425119312703,1637.898980174024,1621.009553969981,1596.229135806385,1564.2104758527012,1525.5126082783197,1480.8569716932423,1431.146529105551,1377.2864409671342,1320.0783359742622,1260.362398678771,1199.0032231809744,1136.7695117028895,1074.3348446234556,1012.3156972538314,951.2512255208959,891.5794334323409,833.6875957614159,777.9138259258182,724.4778081587685,673.4827503078458,625.0249222938514,579.2178013979093,536.0887729952233,495.58055213169854,457.6088161982509,422.1525920129348,389.1484859379969,358.4740706341397,329.966577152534,303.5388413484203,279.1045797287288,256.5440817654089,235.70682867456574,216.46708505710313,198.74632607826152,182.44986154263717,167.46493616246102,153.66589135573466,140.97082398114523,129.3150700219359,118.62367528569233,108.81266801635617,99.79271914636955,91.50626301254235,83.90817069260235,76.94784535322219,70.56997831420594,64.71464366495084,59.337912797505695,54.40818891942217,49.888348264315894
13003,"Atkinson County, Georgia",7.626890404926503,7.214974053074061,6.9874845731264,6.881499038082977,6.856132849362712,6.884555077031643,6.9495862307834475,7.039505839313557,7.147224413438056,7.267508977386866,7.397208420566947,7.534409471621896,7.677345411978289,7.8250431343378315,7.977078695102704,8.132934588139214,8.292041325446528,8.454221076957985,8.619406115153401,8.78745637798261,8.95816977185891,9.131325176771183,9.306897190205397,9.484833789110073,9.665060548346451,9.847491821433037,10.032030740545604,10.218574633849126,10.407101359246933,10.59753477391431,10.789780797703093,10.983762666846374,11.179420933958498,11.37671346803507,11.575615454452944,11.776130294709102,11.978264865953781,12.181844759216375,12.386715440920836,12.592773336472272,12.799965830256982,13.008291265642416,13.217798944977233,13.428589129591241,13.640727841775744,13.853916908392911,14.068071930472113,14.283163123291963,14.499176353333945,18.24910847361959,21.485587492939953,24.47503190253074,27.5753225263979,30.839538654088525,34.33334637821285,38.11900182053752,42.243488970045924,46.76578813757296,51.73172345323048,57.18081113877957,63.15993490590762,69.71839463849702,76.90154892724732,84.75867904620644,93.34500636422932,102.71979382063857,112.93394174038919,124.03760948243567,136.086494435022,149.142035413606,163.25812210923536,178.4639555958838,194.7925419952185,212.28451062386122,230.9825883920053,250.8783586092907,271.93561598716946,294.12516670885384,317.4251095411922,341.7751810703944,367.02041950123083,393.00525114620984,419.58847670893425,446.61958282118826,473.81401206620853,500.8598205998231,527.4795874865464,553.4184406786443,578.3052703441477,601.7280404242453,623.3494121195854,642.8986876858374,660.0299558430061,674.3881275942377,685.737370740763,693.9484820239978,698.8517372657811,700.3196488125036,698.3618116991485,693.0951345234351,684.6014095112856,673.0294450305772,658.6347314954553,641.726719081795,622.5733307152725,601.4871693393889,578.8273139467711,554.9418339475391,530.1401191665678,504.7312887971429,479.0170721193811,453.2610942710109,427.7001800370177,402.54215937213377,377.95701724527663,354.0755318877579,331.0252525784833,308.9140737006168,287.80287858599746,267.7066187348458,248.64606322550122,230.65343277497743,213.7279160738464,197.83785341518947,182.94369878969493,169.03207794389516,156.07434759076125,144.020634654359,132.80689311367718,122.39818215478411,112.76014154870852,103.84642979426731,95.59972356663762,87.97211755021831,80.93313388361445,74.4464916983456,68.46944451715694,62.95466081475277,57.870842726409585,53.193019592869504,48.89252296865518,44.937451517096335,41.29400165129373,37.93998722085075,34.85781281346576,32.02791902201659,29.42905437985915,27.03831005298889,24.83867713143542,22.81769825188279,20.960920641741573
13005,"Bacon County, Georgia",7.626890404926503,7.241913902070844,7.037984729433477,6.952855340518766,6.946197291241611,6.99161821512439,7.0722777278370055,7.176712943686988,7.298030177636156,7.431149414433013,7.573038792445913,7.721881657173972,7.875997874154274,8.034489679780805,8.197001214356769,8.363082690671128,8.532231382070888,8.7043340335356,8.879392451426785,9.05733388249298,9.238020475491908,9.421290187225583,9.607182878821918,9.795731520112733,9.986937530985282,10.180780028748968,10.377215828135373,10.576183763522446,10.777703516707067,10.981805659957768,11.18849692350752,11.397778730178793,11.609647195383538,11.824093127123193,12.0411020259887,12.260661871510793,12.482811045378725,12.70754729384658,12.93486048058345,13.164744605185176,13.397197803174342,13.632222346000294,13.86982464103912,14.110015231593668,14.352804760892557,14.598181761117443,14.84613805542249,15.096669854565945,15.349776401416944,19.37539345738514,22.866623148748214,26.109671218520287,29.493582050870305,33.07617658871686,36.930755672924015,41.12831910823671,45.72436690626784,50.788305185471586,56.376365225180514,62.53918162751003,69.33653921236893,76.83209517272986,85.08711898749024,94.16877952584184,104.15221966466535,115.11873063685678,127.14343273877125,140.30302972172302,154.68243074974163,170.3750290602268,187.46918408584423,206.0292663680208,226.12610477830822,247.84118887556951,271.26082123960265,296.4167815299859,323.30982164635395,351.94913676407515,382.3527745773486,414.4941836274351,448.2309272598712,483.4146912774182,519.9096347194156,557.5629942465861,596.0442441197929,634.9736389588694,674.0017983821496,712.7942498734011,750.8443247616077,787.5672885430405,822.4586589702703,855.0840278227984,884.8827070306371,911.2577038289874,933.7650017593469,952.097764499047,965.8784377376028,974.7820769059065,978.6882284021495,977.6394431438395,971.629562729783,960.7642386037177,945.3333042026638,925.7284338264635,902.2856836563856,875.4321093288372,845.6955730483799,813.6028757989764,779.6213504590112,744.2376985197866,707.9492679763516,671.1976319248811,634.371832635453,597.8261203613881,561.8678121863827,526.7452899737544,492.6816595266371,459.87118947504786,428.43848939323317,398.43973471178566,369.92919159364953,342.97236013830167,317.5842232204664,293.730479659277,271.36149732875424,250.46508970527893,231.00432588179692,212.90788958462798,196.08100757651795,180.47312422875197,166.0341415992075,152.69445117904002,140.3664678702391,128.97702663711038,118.48041577739905,108.82145776952409,99.93440976702092,91.74597162897778,84.20830417069766,77.28358100110574,70.92794865790914,65.09226832615815,59.724250668403904,54.79011736768243,50.26333932771094,46.114182764907554,42.31014927386081,38.81603115697799,35.605966502035024,32.66129861141875,29.960136216411573
13007,"Baker County, Georgia",183.0453697182361,160.7104515168272,144.23997579268791,131.7992420825946,122.14266719078402,114.41840413896657,108.05298435629982,102.64378730198047,97.92901941818862,93.7150852366847,89.87656634085033,86.33142261430676,83.0098044375346,79.86888386673776,76.8864392616664,74.03985206376267,71.30642167911932,68.67695956498714,66.14920190815893,63.71796769800341,61.375073792225905,59.11051346703142,56.923239738810366,54.815775460384934,52.7879710116313,50.83700168160796,48.95736766855561,47.141000309861816,45.38418982209765,43.69167158183945,42.06646119375443,40.50888771186435,39.01659363954548,37.58453492952862,36.20498098389905,34.86823271963788,33.57463673084264,32.33125561586568,31.14235490970734,30.009349033808306,28.930801296049573,27.902423890752473,26.917077898678617,25.964773287029935,25.037623591564227,24.148740962096895,23.2987987904609,22.485878683535205,21.707765413346365,25.09210636286278,27.609854496086697,29.56353883262934,31.27513299864177,32.83043935921981,34.301821046298215,35.742156654752854,37.18275060600241,38.65908183862455,40.18992152978861,41.78397896675046,43.45287391848393,45.20685124245719,47.05088909064192,48.99089923064632,51.03506185386711,53.19227912328304,55.46607442362738,57.86036257754434,60.38083361546617,63.03487356068607,65.82753210403197,68.7584429362384,71.82905919066603,75.043455148928,78.40696988873276,81.91505654088743,85.55956839316352,89.33545255542701,93.24074491938252,97.26787357401028,101.39461080632489,105.60084839325063,109.87094059169948,114.18946978820296,118.52040113831144,122.82496916669848,127.07093846850083,131.2304764931002,135.25718673019765,139.0978573674668,142.70948241479346,146.05775392002874,149.09394707929897,151.76497538626938,154.03238256205432,155.8702288266279,157.24247592352287,158.1162288292309,158.4761224065947,158.3200300266925,157.63912115042308,156.4341986997434,154.72197550418784,152.52789978153282,149.8738848063783,146.79128676692542,143.321318329629,139.50714343019544,135.3906232640431,131.01713018405061,126.43434660545515,121.68765555929514,116.82210789507515,111.88030075026532,106.90067302178743,101.91705899318738,96.96482223457835,92.07677007983125,87.27754810792244,82.58382290899377,78.01344500656674,73.58618337018501,69.31481155518028,65.20533297578385,61.26136443243736,57.49105394489078,53.898431110896155,50.48196687517256,47.23607781599805,44.160592944210684,41.2546514769236,38.51371386821475,35.929768312129774,33.49620095926371,31.20998279994177,29.06599212378176,27.056793859272844,25.173126852565865,23.409391354127678,21.761288568193173,20.22308036463661,18.78769680315694,17.447115060812294,16.1963260470079,15.03145391083999,13.94778073961728,12.939814759884152,12.001301469099767,11.127654272278994,10.315566350285373,9.560942994627727
13009,"Baldwin County, Georgia",0.0,2.460252964211094,4.618933581476895,6.54624082149112,8.299108451694474,9.922107941879846,11.44939915641765,12.906643920295043,14.312779097836485,15.681944368317408,17.024262847879516,18.346926880101158,19.65559586500921,20.954172798406326,22.245054795397955,23.530353804064355,24.81195655836383,26.09088916941793,27.367627709283592,28.642749503588828,29.916952008529098,31.19097143370832,32.46499569304377,33.739076687141036,35.01336989056031,36.28812499526822,37.56368591063786,38.84048747294414,40.11878938431403,41.39848659071194,42.67953474061048,43.96199673727252,45.2460427387512,46.53195015788992,47.82010366232234,49.1110281661834,50.4050651887633,51.70165478230843,53.000361756302,54.3010082064484,55.603673514673304,56.908694349123486,58.216664664167034,59.5284357003932,60.84466283241149,62.16404656900488,63.48641164871486,64.81187063326595,66.14061713981721,83.96478411024671,99.50202342415976,114.00502522012178,129.19218817673516,145.30842484875052,162.67089215109138,181.58873355787944,202.30283001049722,225.1155696072424,250.27039968959713,277.98476301079904,308.5151849684452,342.13376717633815,379.09807386197986,419.6888290623811,464.21961224356124,513.0280957816581,566.4162571082212,624.686352316944,688.1725585139629,757.2421768906297,832.2295826272338,913.3469300607433,1000.8286255187795,1094.9510130714716,1196.0042398844714,1304.014753455292,1418.860955491868,1540.4556279942349,1668.7475868352356,1803.478328698902,1943.8718042332246,2089.135624127036,2238.5424359377453,2391.300892909498,2545.866310777518,2700.5176610200174,2853.7005664283242,3003.961424596563,3149.1713048201577,3286.9409955921574,3415.275571269598,3532.5307109923956,3636.6153148091803,3725.365926831579,3797.2891912124164,3851.49306485582,3886.8528334003076,3902.488925011566,3898.326042952471,3874.9238636390573,3832.652862353365,3772.289842970119,3695.258417080119,3603.3185784022357,3497.996025470059,3381.095400225966,3254.71563306252,3120.901078570645,2981.464636886091,2838.228500034066,2692.984147334954,2547.2976064683144,2402.563652124782,2260.012005396784,2120.6572895276477,1985.2841846766005,1854.6395927325245,1729.3556115817566,1609.7936676829052,1496.0504665466501,1388.2479315700657,1286.5690282237415,1191.0073704551444,1101.3787174833515,1017.4521563370754,939.1454890359349,866.2892241087401,798.5925333077076,735.6836369065126,677.3575135517082,623.4130019881901,573.5811063273364,527.5307183745672,484.98511549763856,445.7675496821255,409.6687627145711,376.44325723981655,345.81999872204534,317.6196211948454,291.6990652684548,267.89467202456456,246.02484109245717,225.89756675142172,207.38688668379285,190.392969789461,174.8051120365805,160.50328637160163,147.35833779217674,135.27447448804446,124.18164860722797,113.99870531354038
13011,"Banks County, Georgia",7.626890404926503,7.586036677103411,7.685625735951821,7.874091850404844,8.119483393109375,8.401795787843536,8.70896231002076,9.033041233539375,9.369668848374603,9.715630695101519,10.069193814640462,10.42943697480251,10.795387046478178,11.166613464961664,11.543022825361845,11.924404592432333,12.310478947355692,12.701233524415445,13.096693832609608,13.496834459695135,13.901591310951018,14.310891617671682,14.724776063134152,15.143240152245788,15.566273503342535,15.993869410112485,16.426024841595897,16.862746028920654,17.304097666510355,17.750013529564168,18.20041701954075,18.655270188165108,19.11457373742859,19.578367019588907,20.04672803717011,20.519796717852937,20.997694376488568,21.480112632478246,21.966790544832175,22.457585328604896,22.952472354895296,23.451545150846552,23.955015399646232,24.463212940526223,24.976377515227767,25.49385250276127,26.01550239976145,26.54132707214593,27.071366623425458,34.34519708889201,40.688692085811404,46.61521807612263,52.830513689205844,59.43618842645483,66.56429258379627,74.34420876166,82.87784196829931,92.29274469120877,102.69285922585048,114.172077756317,126.84091744115065,140.81695522064973,156.2125216845519,173.1502427365158,191.76704044104991,212.21059242828966,234.61472854677157,259.1141152013465,285.85751327682857,315.0083166445446,346.71704305340785,381.08329466317787,418.2165047074861,458.2442807495647,501.30056612189844,547.4074954355355,596.5234207622674,648.6208372725772,703.6871291456464,761.6200179772303,822.0923275951525,884.7675666090184,949.3352507871725,1015.4550107581985,1082.45613489613,1149.5873715538942,1216.166915022637,1281.5538024488287,1344.8086834981905,1404.8749804058587,1460.8669893231154,1512.0510562701982,1557.4967565539905,1596.2416573885769,1627.6196317356728,1651.231033145887,1666.576277856581,1673.2662510807538,1671.2701740269383,1660.8408587267863,1642.1491992034373,1615.5468802094608,1581.6731947630014,1541.3166960509402,1495.1598789117136,1444.007170874592,1388.791843124709,1330.4201779127354,1269.6918668658216,1207.4083988292948,1144.3555062732903,1081.2164604680806,1018.5956534374861,957.0236569114686,896.9354493436671,838.6639177868633,782.5237478409335,728.7792161126482,677.5767076956953,628.9473181477831,582.933368783841,539.6042080821355,498.94774562888466,460.8755960703321,425.28002329650224,392.1183621630389,361.3110729808248,332.72719552737465,306.20174509193686,281.64221129953256,258.9583381499793,238.0314546369133,218.71694395630888,200.89402015238323,184.48499783746254,169.39874101282348,155.52910878390605,142.75950188470912,131.01256672793693,120.22656573125349,110.33127533144581,101.24912250623511,92.89836556834987,85.22530038100061,78.18734203850411,71.73745494798614,65.82481148207086,60.3948736823492,55.40718644611536,50.83216048604401,46.635620528016965
13013,"Barrow County, Georgia",183.0453697182361,165.96391862855512,154.15707924169368,145.89330598419178,140.01838370098048,135.75711828097155,132.59975970345312,130.1937733190177,128.31845398055526,126.811492750653,125.57232529529472,124.53845375929906,123.65478320702064,122.89020457835872,122.23096639392989,121.6615210778136,121.16538903399368,120.73792814250726,120.3786044402098,120.08464781340196,119.8512504851232,119.67283415445121,119.55014781640598,119.48380884872347,119.47341363965526,119.51781800199797,119.61513717309346,119.76287350902655,119.96092433735458,120.20965304715243,120.50870964188518,120.8575528401684,121.25545007576802,121.7014774976005,122.19451996973265,122.73347640177228,123.31861895926998,123.94928977957161,124.62463956043713,125.34393164629034,126.10654202821891,126.9119593439742,127.75978487797144,128.64973256128965,129.58144493436313,130.55374017854126,131.56588625045694,132.61733945116168,133.70766429172863,166.47969788364247,194.45850839398489,220.02784061486818,246.32983027414332,273.86912822677965,303.2452832805659,335.0186682025219,369.6134626678965,407.5575414026876,449.26423195316596,495.0937675588624,545.4736070194805,600.8555254813635,661.6654577566301,728.369932950547,801.4925378325215,881.5987595525906,969.1989817034867,1064.8110291530124,1169.0095079056669,1282.4276290562357,1405.6539960810167,1539.0931800605779,1683.1933395235976,1838.4772309380392,2005.4982793359004,2184.4036636581895,2375.113685034738,2577.6099843141965,2791.9382598112506,3017.820497294965,3254.1516526272517,3499.7949728452436,3753.71236028852,4014.7549261090244,4280.533165311132,4548.3381740131,4815.698681788553,5080.272312439815,5338.550616594602,5586.526689004901,5820.782728415307,6038.417995270406,6235.704852041558,6408.711036252087,6554.570539970033,6671.372011834287,6756.750840119298,6808.717543263058,6826.649833175228,6811.010670683843,6761.943549061613,6680.326154992221,6568.2218773768045,6428.341537816332,6263.036240682877,6075.226729118824,5868.449556743509,5646.218237740969,5411.677030624905,5168.064136477302,4918.646749943114,4666.329023051969,4413.708043990816,4163.12838809742,3916.596186738468,3675.7244231622985,3442.012953689077,3216.7629146495933,3000.798561609607,2794.476610376856,2598.1660339060254,2412.322924248762,2237.057757100043,2072.1490823862086,1917.2754253779478,1772.3701525470133,1637.198342251273,1511.2927196553987,1394.0273636590343,1285.0731439725234,1184.1020240119026,1090.6532210649434,1004.1435782656594,924.0854136502151,850.1743373781063,782.0409517951076,719.2434266186781,661.2877682681087,607.8506956234729,558.6759080966955,513.4655816612459,471.8853305794681,433.57866546615935,398.3141586677888,365.90951924476354,336.160248544415,308.84257901622385,283.71385311761753,260.5950988645785,239.35648404496877,219.84586848842434
13015,"Bartow County, Georgia",183.0453697182361,171.02408965038833,163.64273003512446,159.30615726212653,156.97281767617773,155.95663866346177,155.8167021112645,156.25222755973516,157.08084635702045,158.1687272502232,159.4356656015083,160.83356166975207,162.31856514327288,163.86728871498767,165.47062445092445,167.11715449718614,168.79416044736362,170.49900825215522,172.23198825582253,173.99146450828815,175.77412376485168,177.5760713235407,179.3984927619601,181.24201402134034,183.10656141943525,184.99163454637605,186.8963062646715,188.81934489716662,190.76145025715653,192.72258824203436,194.70220207600667,196.6999157933868,198.7155342385951,200.74904306615872,202.80060874071165,204.87081536819653,206.96069296202518,209.06807355880795,211.1910217755937,213.32842324084814,215.47998459445446,217.6462334877126,219.82851858333999,222.0290095554711,224.24926721162907,226.48470522849306,228.73431826778523,230.99803372116523,233.27605861176116,291.09693789254146,340.4564045684181,385.513556459616,431.73197251176003,479.9593056088195,531.195947544537,586.3625668840077,646.1306213964433,711.3424488672067,782.6266629925506,860.5025122377726,945.5908875701214,1038.5382584737583,1139.9162137518308,1250.3438507935318,1370.5193129035836,1501.189332874604,1642.955853321358,1796.3962407437791,1962.1579598655012,2140.961165570688,2333.396576603238,2539.676159948911,2760.0587964096508,2994.9064210445,3244.6019297841162,3508.7769352659966,3786.6691379016106,4077.624612007186,4381.101338386741,4696.024183599981,5020.021854094964,5350.758915466481,5686.1429497202835,6023.99945171026,6360.3961877659785,6691.125256162371,7012.53381579853,7321.362547282942,7612.921841292293,7882.114561400509,8124.93132677927,8338.33985141875,8518.44532841045,8661.345586413225,8764.720980749786,8827.661232995184,8848.785662589318,8827.264483511499,8763.932627700087,8660.908549351247,8519.839837228968,8343.122526232402,8134.324436969801,7897.557823584985,7636.384803897539,7354.790065915956,7057.1697543433775,6747.706296943641,6430.11300430388,6108.003517815135,5784.796385433133,5463.437519018385,5146.602559263841,4836.573522881831,4535.126277298292,4243.5609064073415,3963.2334678994234,3695.2596724351733,3440.183079421706,3197.9900321946843,2968.7887670223085,2752.8559436336263,2550.0757684509013,2359.976273527172,2182.009275983219,2015.9532047315465,1861.4134097852148,1717.753977602291,1584.1811276596043,1460.2509083656178,1345.5300381537363,1239.4506371330706,1141.3221228650057,1050.567275278594,966.8126696314788,889.620350749646,818.4805632651031,752.8333273185916,692.3044091648859,636.5932056954749,585.3581965997648,538.2223256557982,494.7881589389624,454.7917176465647,418.02210001710205,384.2468532685454,353.2150802602251,324.65783338080433,298.37389138712604,274.21430240028604,252.00799364630242
13017,"Ben Hill County, Georgia",0.0,2.041802850835182,3.824476415010735,5.40130902559858,6.8169971997674885,8.107352551473161,9.300383597418454,10.417386888592006,11.474368559392412,12.483348258068848,13.453075378057935,14.389871902798568,15.298699138615186,16.183069041919936,17.04524337794297,17.88720004419109,18.710690334641846,19.516776517403088,20.306077657953875,21.07927234282563,21.83711401783798,22.580360791840985,23.30936615037997,24.024449249758604,24.725976078850703,25.414345278339756,26.08998814071898,26.75335926163594,27.404761353091974,28.04453957648286,28.673068708527396,29.29070019226724,29.897762137066945,30.494559318613927,31.08137317891849,31.65844314277817,32.2260071850274,32.7846070831273,33.33473682708561,33.87678908686615,34.41105521238894,34.937725233530045,35.45688786012175,35.96853048195241,36.47272916193094,36.97034696358976,37.46172291050105,37.94706757200558,38.42655244589771,48.14882533052282,56.47195691108689,64.08689554554317,71.90463098526666,80.06191742241059,88.72152613934988,98.03313841443837,108.10461389739963,119.07223796565195,131.03617665601817,144.07781605704605,158.2950385270336,173.78943556776176,190.64924661821487,208.96994199399734,228.85954703712991,250.4334742426265,273.78189037283596,298.9901285162764,326.15460414751044,355.3832245347469,386.76162462501304,420.3122920816201,456.0654574485496,494.0683834668056,534.3718158011072,576.9034335274109,621.5276378562392,668.1279437239039,716.6075414773478,766.7846107260253,818.2696270318903,870.6820882135274,923.6840721228898,976.9277876114218,1029.7859799784167,1081.5912953959778,1131.7698571352564,1179.8152043269129,1224.9948474175717,1266.5141080200724,1303.7553324006012,1336.2599278773669,1363.431699976541,1384.6728463804786,1399.6380742010404,1408.2065674402147,1410.1786741595367,1405.439029109714,1394.1355028610462,1376.617941423633,1353.1553096688697,1324.1323904301476,1290.1191381389128,1251.7698034010562,1209.6459839225163,1164.3757325040199,1116.6530881963563,1067.1366198666924,1016.4072358693653,965.031257585074,913.5457480485569,862.4119338165923,812.0462214885155,762.8041518109455,714.9627795334461,668.7241272117715,624.2972548375258,581.8542791096116,541.4775798845443,503.1621100421839,466.9216046841859,432.79680524077276,400.76681493305176,370.75448351475444,342.67075132080595,316.4789005386213,292.11495985430537,269.4766751655436,248.43679757075768,228.92411370093612,210.86934257141644,194.18177776692585,178.75117663234576,164.48551984255624,151.3255144949186,139.2015737486263,128.03262923549994,117.72958700937875,108.23313569359661,99.49577500319153,91.4634353566503,84.07633789092284,77.2714248117851,71.0070179296425,65.24992311875303,59.96346850207201,55.10800292863944,50.64095910418616,46.53060058205775,42.75354192055907,39.28282790365907
13019,"Berrien County, Georgia",7.626890404926503,8.167629196556597,8.776400046331974,9.417591235611189,10.072294247757963,10.730746837423386,11.388735979614491,12.044195408697291,12.697074479000875,13.347343678383716,13.995516404210575,14.642232264430199,15.287717378358568,15.932332454387074,16.576428282749625,17.220172186422474,17.863609328617073,18.506859372504806,19.149963942321037,19.792935265127355,20.435771806841107,21.078468435857907,21.721025011510555,22.363391906470873,23.005528799296094,23.647410071176914,24.289024805937522,24.930380080419408,25.571507768394596,26.21232301184007,26.852739457986736,27.492705007586615,28.132201814912918,28.771246287759944,29.409889087443176,30.048227067828503,30.686323265681878,31.32396712250162,31.96098012423355,32.59725783711126,33.2327699076561,33.86756006267719,34.501746109271416,35.13551993482345,35.76902919028316,36.40190709014948,37.03406650550777,37.66549078157069,38.29618038587763,48.318176907774685,56.98409294575454,65.00180513246251,73.32516763452645,82.09240629017418,91.47588896698497,101.63905248263103,112.70429045623678,124.82567125347802,138.12155795989452,152.69258984945193,168.65822929095657,186.14352510865228,205.26058380623618,226.1304858986825,248.8890639517959,273.681431937209,300.62564140001166,329.8342952070747,361.43296319945716,395.56073637174194,432.3311604070949,471.78315004432966,513.9636023999478,558.9383634870856,606.7762541615555,657.3980061136425,710.6456644807719,766.3811564714305,824.4870145772221,884.7402982849363,946.6631636132742,1009.7847256293919,1073.681918274638,1137.916180044076,1201.7070017942383,1264.2231807110022,1324.746136317869,1382.638573131336,1436.990659135371,1486.8206595005256,1531.3665390916028,1570.0644344257325,1602.1914196087494,1627.0311747178948,1644.180813090487,1653.5167710079284,1654.8280122231276,1648.0114995353067,1633.2847624877963,1611.1112001267459,1581.8578340141407,1546.0290243869567,1504.3461218008588,1457.6261972270684,1406.570893432101,1351.9534233450229,1294.6160037496618,1235.3513482188632,1174.8555551940517,1113.7995854379049,1052.8113250035012,992.4249546908926,933.1212293751462,875.3048613178834,819.2835410558487,765.2747666738295,713.508124840265,664.1689319681464,617.3365395760278,572.9871672350669,531.1220079124496,491.7758189018479,454.91190517220616,420.4291317894831,388.21403740388996,358.2153652835576,330.3512404555683,304.49663856081526,280.4987555491417,258.2703744229086,237.7271427117888,218.7608951899493,201.24184706073777,185.06169556294736,170.1498963349903,156.42462650958782,143.79147999553678,132.14738323257654,121.4233350108142,111.56392006896607,102.50656399140954,94.18251571214188,86.51958024735711,79.46978887862683,72.99482579355325,67.05261764521563,61.59789797000057,56.582277635440576,51.96958049725441,47.733047172910304,43.84201730900934
