Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,254.65833713780222,276.95338759859777,292.59733689688034,303.95326885541056,312.58227020509077,319.523560275321,325.452366041355,330.8304496426842,335.9396350474219,340.9832521137428,346.080784929305,351.3004211012836,356.70082892000283,362.3085846672867,368.1273789295991,374.16410558290204,380.4277232319736,386.91206866695126,393.6061733265229,400.50305709149313,407.59948398086465,414.89416927864977,422.37793611347126,430.0427260848913,437.88248234312243,445.89273667364876,454.0706094972266,462.4145591593133,470.91952158619966,479.5818885977457,488.3994706607444,497.3701258377671,506.4917597871641,515.7623257630646,525.1798246153764,534.741744796384,544.4439884755233,554.288757854822,564.2780498206878,574.4124156951159,584.690961235691,595.1113466355856,605.6697865235615,616.3610499639686,627.1810053679969,638.1365280102242,649.2281186110537,660.4544859431968,671.813703208397,696.3859906715821,745.7130506884058,814.723308420561,896.1362929263977,990.2970639158723,1097.355111490439,1217.6768863822492,1352.161866259799,1501.5846914138317,1667.220596301724,1850.6908892408283,2053.6318206796304,2277.815984639782,2525.333942164433,2798.3727473660033,3099.1570556849288,3429.987504087077,3793.5672107637274,4192.758534113386,4630.339167293026,5108.983963145513,5631.547224673607,6201.537991063994,6822.051017131588,7495.61306708458,8224.272243723368,9010.91149360163,9858.421716195979,10768.313816470014,11740.684561389873,12775.286415830633,13873.06656214175,15032.920792660167,16251.08336304067,17521.787354810658,18840.9230409559,20202.76191742902,21597.920078927084,23013.782808068667,24439.339763469776,25863.232834192047,27270.412078231104,28642.527994172822,29963.8053823246,31219.730351831757,32393.28482303222,33465.59515955225,34422.57372980974,35252.64832119499,35943.433817755045,36482.98168582315,36866.028152406354,37089.71976283822,37151.582819537936,37051.47536771056,36795.17128968748,36389.683939516384,35842.641374002575,35164.174463313306,34367.227713119544,33464.92620319771,32470.604185358912,31398.59111411374,30262.905776595588,29077.16345636786,27854.903994491397,26609.52281266685,25351.880047035593,24091.492128488815,22838.091693767827,21601.574260823843,20389.349267605616,19206.193775327047,18056.977493432147,16946.617583888426,15879.019794629101,14855.471093547954,13877.114523166365,12945.387966488448,12061.692992431792,11225.349258490642,10435.20993638042,9690.460936862493,8990.580108168248,8334.376555644685,7719.673995943813,7144.580242178673,6607.544685945084,6107.26751991986,5641.716580955597,5208.656231050374,4806.160880706178,4432.59333903937,4086.5385450691765,3766.1560608457385,3469.549528192455,3195.062968192536,2941.264936967454,2706.9468557387727,2490.760648561941,2291.281191342399,2107.3085177885177
B,19.973202912768805,22.927931330538332,27.327811083818478,32.82614701326033,39.15923835234749,46.130064389172134,53.593871306886335,61.44430723924839,69.60570148547919,78.02157986911415,86.65241200633038,95.47050445933779,104.45326160281596,113.58528728854344,122.85716144367925,132.26019001366694,141.786311369851,151.43117202172684,161.192522429321,171.06774025689913,181.05379531156478,191.14756840041943,201.34826640719066,211.65581226006418,222.0697488173518,232.58926802848862,243.21321093403384,253.94004933575928,264.76875109992966,275.7006689677244,286.73695074963325,297.8780482013392,309.12371702371956,320.47301686284476,331.9243113099794,343.47498658384717,355.12331602785105,366.87397353729665,378.73074843061863,390.6955517495711,402.7684162592282,414.9474964479834,427.22906852755045,439.60753043296296,452.0786185293414,464.65184881693995,477.32861095340786,490.1081368948094,502.98897102788214,526.474767608551,570.0926920739173,629.9828167015135,700.3346604422187,781.6772493843234,874.3329141791532,978.7781357277172,1095.926467046976,1226.598224841805,1372.0343798373706,1533.7738318390182,1713.388811923687,1912.5857954923158,2133.3549322197464,2377.7954038178923,2648.0685563001007,2946.4285101750334,3275.4954615567294,3638.060048952097,4036.8766743120154,4474.647048498651,4954.258535189442,5479.205027976216,6052.656912675852,6677.326001595382,7355.537948277704,8090.381626463321,8884.993013237581,9741.301448155507,10659.996740814246,11641.461410929429,12687.181327947772,13796.768862265342,14967.388317377709,16194.33971901249,17474.39524556104,18802.770951369923,20171.17209461568,21568.175302409967,22983.706066025054,24407.20593389486,25824.39842504871,27217.646761119307,28571.515223388342,29871.532829273223,31100.531944718638,32239.26441327551,33272.86954809375,34188.733200791685,34973.21256755816,35612.87412456101,36100.8144242056,36432.482187750655,36603.60673415279,36612.21674181193,36462.51229065472,36160.03726989836,35710.97573321464,35124.235204136814,34412.010575617045,33586.787232096896,32661.314713528704,31649.6278863911,30565.907376284584,29423.967648517228,28237.537385966516,27020.313945339534,25783.806557199037,24538.171717444086,23293.739432568345,22060.965217616962,20847.91712934355,19660.022803875072,18502.744573391905,17381.567443814507,16300.936423101562,15262.585241728759,14268.063762018422,13319.204186851308,12417.779695738504,11563.374441523767,10755.051178910984,9992.20298116925,9274.5120995283,8600.938094196337,7969.372773968917,7377.992681882486,6825.3241899916475,6310.147148449923,5830.445335011038,5383.967703562426,4968.78492571222,4583.267200491422,4226.013329701398,3895.1540061069695,3588.7476874190265,3305.104829295188,3042.771376428739,2800.526954115006,2576.9925186899136,2370.6989051996184,2180.4151213061855
C,599.1960873830641,651.5190058054175,687.9397759214437,714.0110320276041,733.3724728868448,748.4296288104774,760.73361220057,771.3427184945986,780.8993372626451,789.871611075023,798.5375404101006,807.0604445829538,815.5864795159566,824.1892530625744,832.8912728418288,841.7231346658754,850.7203205219201,859.8830047635264,869.2006151185761,878.6704238811824,888.2968074249999,898.0873148354071,908.0311601745142,918.1191308725856,928.3455281528201,938.707259947447,949.2038408977287,959.8369377861936,970.600835345275,981.4906803857515,992.504087972655,1003.6388984766123,1014.8931775738452,1026.2652162461698,1037.753530780998,1049.35591274525,1061.0662976350309,1072.8873789649217,1084.8218371954501,1096.870441743474,1109.0320509821847,1121.3036122411029,1133.6801618060829,1146.1548249193095,1158.7221205677192,1171.3908717783872,1184.1616404871556,1197.0326143486395,1210.001104876686,1245.3559802072966,1322.201049036396,1431.4332285472126,1560.5673482054744,1709.6143991463925,1878.3511363797104,2066.9547774828507,2276.4759509787827,2507.722958217739,2762.2999373718208,3042.3387358511195,3349.932695614221,3687.336114826931,4057.2542448914046,4462.467516771991,4905.733601072962,5389.852651582013,5918.174260112536,6494.195896663948,7121.196915263619,7802.214802595068,8540.47752418128,9340.064251253072,10204.37109497754,11135.895065321587,12136.379656062623,13208.69026875646,14355.615287306773,15578.010776304729,16874.760794818303,18244.30776239925,19686.674572439453,21199.215924030163,22775.85884598287,24408.01369668078,26089.41518455642,27811.873171070263,29562.77568896993,31325.65266382452,33086.390298828555,34830.73623229131,36540.19507419075,38192.534758291826,39769.072023362576,41252.96572862614,42624.632643191406,43862.544464678715,44951.15823598679,45878.0512693826,46629.983596091515,47194.3670444203,47566.429367314915,47744.15955476112,47726.02990903909,47513.19906243429,47113.4103756439,46535.772047602935,45790.12517517859,44889.06809111483,43848.137962235305,42683.09192539607,41409.98686083393,40045.90498594812,38607.31331645162,37110.28037833215,35570.89233329502,34005.0767003917,32425.577503867262,30843.616290530364,29270.76259709245,27718.86629968996,26196.775659153845,24710.19710552524,23265.006696906905,21867.177014430144,20521.487858179236,19229.570935878986,17992.90105477655,16813.3238084735,15692.652834129414,14630.173706421048,13624.600375271924,12675.051663945238,11781.001893123876,10941.101921214362,10152.777348397842,9413.794743853368,8722.335577953734,8076.884166656493,7475.004546932001,6913.990046698939,6391.512576041743,5905.597024146022,5454.53852291831,5036.08533027912,4647.898681754923,4287.93728697724,3954.438510413232,3645.9162274978007,3360.6956721922093,3096.994856133966,2853.3141854409537
D,2756.3020019620944,3001.650275857359,3181.372799160393,3318.7606385766717,3428.833665146265,3521.366848444507,3602.551812180807,3676.5780532410804,3745.9356196601184,3812.456297996055,3877.2204716924925,3940.8681976922735,4004.003456131717,4066.946820000394,4129.825675419949,4192.80760098269,4256.083463080503,4319.702489382808,4383.677428393622,4448.047050968789,4512.87188679646,4578.218990077888,4644.085299057053,4710.476193256458,4777.404645553955,4844.887294523562,4912.944444435469,4981.598424572217,5050.845155888014,5120.692177079428,5191.152735282705,5262.235855042495,5333.9463383118655,5406.284764452278,5479.247490233607,5552.822678761433,5626.991470761047,5701.790217385654,5777.250278086343,5853.387904168173,5930.204238790187,6007.6853169654005,6085.802065560809,6164.510303297384,6243.776180840204,6323.674823423595,6404.217132837111,6485.396646996862,6567.201147671244,6772.5027128939855,7207.434776164822,7822.506604156538,8549.044074649066,9387.953307266545,10338.715823305443,11402.982413208943,12587.27712599094,13896.847764547842,15341.425967311727,16933.757059766653,18686.503386944787,20613.36856612294,22730.651307532746,25055.273169420343,27604.26804703574,30395.13706187877,33448.586639886125,36786.40573770811,40429.527233196975,44397.895922573734,48712.79243118558,53400.49771819461,58483.92046469074,63981.409815529594,69907.50872009425,76283.26522450762,83129.70417639946,90457.30710826385,98265.7686622906,106552.35809601264,115323.57337394371,124570.59459612353,134264.7517945333,144362.56932472248,154833.49530277465,165635.10356280475,176697.83321651063,187928.17409742996,199244.90843297905,210564.24824098154,221774.57754110213,232739.3628849367,243340.83385794162,253469.78559653822,262997.256628349,271779.3485055595,279706.51654825604,286686.48857069144,292619.6119972075,297408.2101552803,301003.3509134091,303373.3676430992,304488.9374454985,304337.8887916781,302952.95690398844,300376.90599359444,296657.78591171256,291863.7418856922,286086.5030247947,279420.59335222834,271963.34755207,263821.6898225752,255103.0853581377,245913.07803830362,236357.51983048752,226542.52754583405,216557.07887742188,206480.44019776722,196393.86240013567,186380.19128174116,176503.88140723744,166809.079980818,157340.51893599587,148143.3361204926,139254.68947182185,130690.47372049297,122465.15278803858,114595.43052578918,107097.54435857001,99970.26985020976,93208.0827200868,86808.00372631202,80769.27643692674,75085.21925769365,69740.31822387496,64721.22527099141,60017.320649869165,55619.9307089909,51513.714948636734,47681.20083481594,44107.46022680836,40779.94050176834,37687.88015454311,34816.48699657714,32150.193068135974,29675.467177098846,27380.688054537262,25256.128918974016,23290.6094555497,21472.09507280515,19790.515818882686
E,369.50425388622284,402.3916411196348,426.4675361334809,444.83812364186224,459.4985550647475,471.74328767065106,482.3904731757672,491.99530739101857,500.8895388547531,509.32120175714397,517.4408596612587,525.3425007660712,533.117048422228,540.818436408072,548.475489988897,556.1221511554065,563.7950176682197,571.5113989027552,579.2834370390535,587.1257157322137,595.0546331063371,603.0865203869603,611.2280029855162,619.4858149778314,627.8670232150328,636.3785564235085,645.0272052049041,653.8194662816477,662.7584239678808,671.8469703209163,681.0882940326363,690.4850851212748,700.0395349314182,709.7533361340057,719.6276827263283,729.6627472574892,739.8567287959163,750.2134033609256,760.7361159900074,771.4266232559438,782.2850932668096,793.3101056659723,804.4986516320921,815.846133879122,827.3489009388544,839.0141433727366,850.8426160862814,862.8331796458863,874.9839501903472,903.8998252204439,964.0676993503871,1048.9187408352568,1149.1965261459175,1265.1810079618879,1396.9382703308459,1544.8244076770438,1709.8685395578063,1892.9410596971452,2095.5393865566584,2319.5910745404276,2567.037892139724,2839.9911017767713,3140.9417100997216,3472.502050876966,3837.338793331456,4238.220499130714,4678.3932176254,5161.298867187791,5690.309538991194,6268.707923826179,6900.005950117398,7588.475173607425,8337.959769098472,9151.706215864097,10032.461789862513,10983.944654958972,12009.924209532604,13112.660153922337,14292.863188595999,15550.882536767313,16888.46052591205,18305.033030373626,19797.02415739399,21358.57777676376,22985.7090670896,24672.540625192312,26408.893357761335,28180.759596857617,29975.831853869404,31781.219358784623,33579.44828911027,35348.901525479356,37070.64694818173,38726.88050798343,40296.410602043725,41755.4143970417,43085.35812446097,44270.3485628013,45293.12963881748,46136.60441642915,46791.58854657505,47251.71471421979,47510.91969727066,47565.93450251745,47421.08748944076,47082.407939601006,46556.76836344972,45854.48097146714,44990.06365215359,43978.513181231174,42835.263498780296,41577.49142159847,40222.76407756533,38788.30535899299,37291.32600008592,35749.117287967994,34176.41909143255,32586.35413469608,30992.306061916104,29407.86066086042,27843.6877123086,26307.167053007146,24805.72313691654,23346.82036928016,21936.61544196451,20577.794641942397,19272.791653336615,18024.3925519563,16835.29639805718,15705.350180550111,14633.690143107171,13619.863064699794,12663.774220979127,11764.359637772477,10919.113354255594,10125.881623734113,9382.954816177393,8688.939920701074,8041.358672625323,7437.387825921158,6874.618541322153,6351.028642666202,5864.887540327063,5413.8116674108605,4995.294660264126,4607.160781940535,4247.544007229295,3914.885530453942,3607.39319129874,3323.137933778365,3060.508568114841
F,244.67173568141783,268.5397693253915,289.9793090322678,310.11447174308154,329.58398757003937,348.7486412608885,367.7941411703164,386.82863895996434,405.89069567855984,425.0084718999213,444.18717485556584,463.42287274573124,482.7205483872351,502.07823957754647,521.491568873206,540.9609783036394,560.490058555537,580.0787373738369,599.7284628215904,619.4415371216995,639.2206582453343,659.0684459944014,678.9866911105689,698.9789234272478,719.0481835252042,739.1967949868491,759.4263643962402,779.7376793360625,800.1309067249374,820.6104676594005,841.1805689320169,861.8439614166508,882.6019400684655,903.4543439239228,924.3995561007839,945.4339629815513,966.5553608782634,987.7735147496662,1009.0965211511548,1030.5289291762695,1052.071740456698,1073.7224091622716,1095.4748420009703,1117.3193982189193,1139.2488472085763,1161.28146378883,1183.4205399737416,1205.6654225438524,1228.0142337418881,1274.5813134711614,1366.6208323865442,1494.7678869563345,1645.6009776161768,1819.7082419751052,2017.3148459290921,2239.036965659453,2486.4597452765292,2760.926007781762,3064.686091875285,3400.611257186024,3771.585157610902,4180.727973146182,4631.71686041137,5128.389848521844,5674.641759074688,6274.493604608321,6932.665199229985,7654.142633776082,8443.756874462948,9306.153066078892,10246.282613624491,11270.217555624928,12383.309806255473,13589.927439810132,14893.61150935672,16299.33870653396,17812.094488862997,19434.50312728107,21166.770189610066,23008.522284326125,24961.438557180474,27023.703799752795,29188.969187243274,31447.479618331996,33792.328633574936,36213.85198697907,38696.13560935901,41217.736770132055,43759.932251887716,46303.36184328764,48822.26475633872,51285.14396400611,53664.78841043107,55935.99355484981,58069.0736222161,60030.96812570784,61796.61905932213,63345.07950586443,64653.80372677298,65700.80241160958,66475.46156892685,66971.23910503305,67182.16993922772,67106.28084966823,66751.97314842099,66129.90553261586,65251.8816901116,64134.247671215606,62798.63281038274,61267.16914143265,59562.50256069324,57709.321972864396,55732.2297750173,53655.26265188363,51502.420311958886,49297.63594733766,47060.76149472685,44809.35895534406,42561.39423366411,40335.147483028144,38144.649275093136,35999.302376284824,33908.64192594245,31882.285313766715,29928.045355929007,28048.985221405033,26247.86819424626,24527.969728812936,22892.475017253684,21340.71937584024,19871.122841883738,18482.688215933136,17174.928390940342,15946.078018762577,14792.475066750014,13710.95478364901,12698.96660740077,11754.40353425091,10873.736145571425,10053.003954646822,9288.812738221399,8578.296095464844,7918.989166592538,7307.580868167344,6740.617623166335,6215.092870254615,5728.418475168638,5278.42146089799,4862.634663451864,4478.421783385515,4123.572324809022
G,24.966503640961008,27.95143953217542,31.588804255367926,35.76067596280628,40.36771680547629,45.330714749790516,50.58812638793973,56.09366153680611,61.812800345112294,67.71981084941088,73.79609290322755,80.02832170195506,86.40595290350502,92.92159645858631,99.57062547027145,106.34897748161413,113.2530520417969,120.28091012939815,127.43167976782432,134.70441631734724,142.09807414229363,149.61164123010164,157.24518280785045,164.99914861821753,172.87386678348062,180.86955422766812,188.98631667655962,197.2241349544859,205.5831758230569,214.06478016362678,222.67023420545434,231.40050957828845,240.25626331236853,249.23783783842404,258.34526098767515,267.57807162511966,276.9360688212138,286.42246771457553,296.04006413523945,305.79068140733585,315.67517034909207,325.693409272831,335.84430398497284,346.1257877860342,356.5364800888668,367.0821297086448,377.76430610528143,388.5834226467716,399.5394919398381,419.11733798802226,455.1067958211841,504.4700580650581,562.5334882227826,629.8355897240037,706.7375642779991,793.7273420165757,891.6611163744244,1001.3361385246372,1123.9109866476042,1260.8090790311571,1413.5109372524814,1583.6413962661152,1773.0803023045983,1983.8466555361006,2218.0681213457387,2478.00661852442,2766.266299130744,3085.660070189508,3439.071866197233,3829.4447453601456,4259.961306011601,4734.374355877935,5256.32139884082,5829.224028943759,6456.335254875819,7141.631860762349,7889.288181711331,8702.65428581281,9584.225283349882,10536.341982232234,11562.42634268235,12664.399192874896,13842.14647914252,15093.963286576365,16419.41614910837,17816.6226537728,19280.27656625429,20801.95039229123,22374.09108510568,23988.257185464692,25631.709392691533,27287.701993096012,28940.797646307994,30575.61230789782,32172.880114089105,33710.042628732255,35168.01889750322,36529.10589155158,37773.39166174488,38880.13476384084,39835.23159012628,40626.78906153017,41242.65133917803,41672.9702499543,41915.749146203874,41970.834077514795,41838.84093431342,41524.322484517834,41037.48822693904,40389.377500677765,39591.61266433528,38658.54446406742,37606.69798797017,36452.430323984874,35212.04278449644,33902.367720554335,32539.314719955346,31137.28187121862,29710.73637618849,28274.182496356436,26839.865265690172,25416.99358788612,24014.58409183735,22641.59188954241,21305.66332502425,20010.90548669147,18761.036500489492,17560.04739091731,16411.759715351905,15316.967499414199,14275.603846372334,13287.968587321719,12354.67907688627,11475.25922455473,10647.605715417854,9869.942423665263,9140.931624589935,8459.536297701443,7823.493197135608,7230.115360004647,6677.13968504325,6162.698786833695,5685.217028846509,5242.373029682177,4831.683162967723,4451.008908735687,4098.534653290596,3772.7649468979143,3471.929978732396,3194.0942806221365,2937.6592265326244
H,44.93970655372982,49.86599657444346,55.23041003287809,60.999509769272876,67.11594871899175,73.5193026568251,80.15290803853773,86.97023671010265,93.93179564329559,101.0073144693505,108.17271946267583,115.40932487208615,122.70273383871525,130.0417289781374,137.41824042988563,144.8255343779933,152.25792818074464,159.71145972396388,167.18371795975546,174.67244606080584,182.17546060733744,189.69075051451887,197.21755206127477,204.75582530302117,212.30543846784923,219.86615483257495,227.43763272273978,235.01940788157648,242.61128689611988,250.21460977697222,257.8306819087406,265.46044160616026,273.10446011409533,280.76294160753804,288.43572319160967,296.1221664507485,303.82231383317105,311.5392989958162,319.27580938050613,327.03363578791846,334.8136723775874,342.6159166679025,350.4394695361095,358.2825352183106,366.1439002463536,374.028712860867,381.9384589000688,389.87365136748156,397.83450274187743,413.747333084037,444.6362763810896,487.454905247514,537.7972086212822,595.8939964893891,661.849435404848,735.8933618059167,818.5756578875778,910.367810605518,1012.0426952562325,1124.580769375574,1248.9701297360355,1386.280626045014,1537.770964272256,1704.7580082156555,1888.582257064283,2090.6307878537664,2312.529611076129,2556.0003514443615,2822.7180906051967,3114.3008075008584,3432.475292699894,3779.3558218711923,4156.81905988328,4566.414216609919,5009.415255791865,5487.591591294658,6002.725060015571,6555.795413822262,7146.960118021972,7776.179892674859,8444.12945618533,9150.2822145893,9892.548069233906,10667.658596389494,11473.326253382482,12306.30502157512,13161.166578933819,14030.54817327693,14908.0147719526,15786.895104192117,16658.256507967584,17511.134057563024,18336.035055579207,19124.15090387069,19865.06675010374,20547.14752235751,21161.555779816463,21700.89351194609,22157.166207186714,22522.546080064923,22793.241164524363,22966.899138234414,23041.339298694103,23015.781116419657,22893.169519834908,22677.23701175522,22372.08694755174,21983.441241966277,21518.944962889058,20986.39356837043,20393.72777346353,19749.624106425712,19062.767217177294,18341.61126941912,17594.561818533515,16829.990140132446,16054.863693295296,15275.32139934567,14497.62348418868,13728.120985567693,12971.679994683846,12231.539275173838,11510.97403006554,10813.283813832366,10141.133995634125,9495.526118947573,8877.357342318499,8287.706038012922,7727.6210839822,7196.808717872755,6694.660161784041,6220.774182554989,5774.931595747227,5356.471780044891,4964.080075766723,4596.619341781042,4253.169709170694,3932.9692117569753,3634.7670796898296,3357.1690458103412,3098.9798060093135,2859.189324609215,2636.92911154079,2431.0425127885624,2240.328488360059,2063.7416433577628,1900.3820654682668,1749.494207856233,1610.2245278331116,1481.6638178513863,1363.0499740226805
I,159.7856233021504,175.10922841368568,188.42003177974996,200.57608656979824,212.0875635965039,223.25823696498796,234.25772490801018,245.19006885110826,256.1018319455676,267.02489960810453,277.9694067701402,288.93486677623446,299.9245230942843,310.9345705099374,321.95761213311016,332.98961522373304,344.0289416617661,355.0707447455836,366.1107961339166,377.1463396841167,388.1758386784409,399.19848562795204,410.212362290336,421.21690429813435,432.21194733028426,443.19755773087917,454.1740325091689,465.1418174656384,476.10074787301073,487.0527218349574,497.99994952443876,508.9442416432293,519.8870094219183,530.829264619909,541.7716195254194,552.7141364047602,563.657555155904,574.6064059417104,585.5647395306447,596.5355607822364,607.5208286470797,618.5214561668338,629.5373104742226,640.5672127930353,651.6106049205812,662.6741277628565,673.7603678307385,684.8708180922924,696.0066312033925,720.5745038192117,770.2782688087326,839.8202833197743,921.7231827986541,1016.2029518312443,1123.2942843893034,1243.2569187898687,1376.884601246848,1524.8328530593012,1688.2532293096183,1868.6338553850828,2067.460915777347,2286.3421993889233,2527.1837457567785,2791.969910777064,3082.7057462318135,3401.4564514813064,3750.661049586602,4132.89395553809,4550.639983851163,5006.278704652947,5502.35360284763,6042.00282007961,6627.98408726559,7262.535994593035,7947.464383722555,8685.348422258896,9478.782406954893,10329.135634840899,11236.52304005156,12200.781290810224,13222.85388805301,14301.881805949466,15434.661086435131,16616.234154653826,17843.17590185399,19110.647730290653,20410.558833736883,21731.941849748786,23065.27045692306,24400.687554784978,25724.953741196172,27021.79189189262,28277.133301369002,29477.904312637427,30608.591201506453,31651.818236517014,32594.328966745394,33424.93805908592,34131.51499318714,34702.12327070634,35130.76632821036,35413.54548298355,35546.80414694815,35528.95679701507,35363.95483861997,35056.955451143236,34613.71415441518,34042.44515679275,33354.29697278665,32560.71715785283,31673.44269698345,30705.38526338078,29669.559414753974,28578.698076167377,27445.517630015544,26282.742049747667,25101.051481817864,23909.916001956146,22719.011684791036,21538.174800291938,20375.026554081327,19234.736852520302,18122.53046038895,17043.671120916784,16002.45952903026,15000.650447310076,14039.828544563905,13121.847644635338,12248.507843347354,11419.534041309465,10634.14905939109,9891.884634671513,9192.542735371371,8535.230508000259,7918.023402700028,7339.261118619898,6797.611908355396,6291.980290335419,5820.496403596519,5381.052271042256,4971.844002959679,4591.351194817931,4238.268486620278,3910.828604348516,3607.1840076949607,3325.7278797201407,3065.078724010854,2824.0785889325216,2601.4078691974078,2395.6534790366545,2205.632184867024
J,19.973202912768805,23.127590375644164,28.051615397664655,34.30805147941285,41.56653107734171,49.58155193379686,58.173880709802816,67.21265205530338,76.60580039686087,86.28539947222592,96.20492715372686,106.33277976700307,116.64380258640976,127.12189973954865,137.75843909821157,148.54568670055755,159.4766900441004,170.54903972948514,181.7628351457706,193.11767684757027,204.61262774559685,216.24664540719328,228.02142586608224,239.93918445951306,252.0017475068758,264.2106195890654,276.5669835484822,289.07171733154223,301.72650442346924,314.5344668931963,327.4984922435757,340.62107332352787,353.9043083280415,367.34990079817265,380.959159621046,394.7328523902308,408.67231383503986,422.78241254004917,437.0675298064945,451.53102086717433,466.1752148864497,481.0014149602444,496.0098981160458,511.1999153129037,526.5714053154783,542.1317004118362,557.8838631300699,573.829753678804,589.9708070969883,618.8285507588953,671.8960893687047,744.6906251317321,830.3184615921231,929.5763742512886,1043.0021146517315,1171.3230818009547,1315.8133774615467,1477.6644804700475,1658.6055995442641,1860.762278713235,2086.352670378293,2337.8184950046075,2617.9818587697932,2929.887376385664,3276.761139078556,3662.049392437732,4089.7149148805165,4564.054413387218,5089.51696752487,5670.6884529277995,6312.549261488763,7020.938737068633,7801.619447297994,8660.140089541253,9601.901597495846,10633.414241603698,11761.578662423091,12992.257074666571,14330.229464330236,15780.17030463693,17348.44082980648,19039.391473616513,20854.585716856236,22793.41045219496,24857.20767433194,27045.317364205286,29352.085958682877,31767.27899492288,34281.903760474386,36885.57072109379,39561.13909061213,42285.10730949767,45035.53135361218,47790.03793865077,50519.46432445855,53188.71048493655,55767.19169676651,58225.508603684415,60529.583134222914,62642.842267170774,64538.376730200376,66191.93466935257,67577.80870564278,68673.2056625804,69468.15913915183,69955.4919023184,70128.8760129013,69988.72967501884,69546.23902182847,68814.28216351195,67806.81036221542,66543.44480903725,65049.729178900576,63351.28446596265,61473.707808050756,59444.202926234575,57290.82321524645,55039.43791425007,52715.90377057142,50346.04969945974,47953.00745184453,45555.26940873013,43170.746585111025,40817.189026310894,38510.20936834572,36259.294387304624,34073.08715733024,31960.623843394365,29930.562445094936,27986.034244627826,26128.414849759945,24359.663339917413,22682.243147870584,21096.489172963957,19599.51718548585,18188.971992992192,16863.267417777304,15621.323335561732,14459.603353188473,13373.640159308814,12359.736804677044,11414.918758826898,10536.730449121214,9721.17715366071,8963.867440776754,8261.056788518412,7609.607388993838,7006.982614418956,6450.047678467106,5935.294627952722,5459.862603655916
