Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,103.5759354409667,113.03809142541905,120.42487984712581,126.4947587347398,131.72388357408784,136.41435717927845,140.75204028869064,144.86140666680808,148.81432002578316,152.6652471577367,156.44680583300567,160.17951013223242,163.88456508839616,167.5750373900708,171.25875111087777,174.94503729823955,178.64400821051288,182.36137629287947,186.10191044113887,189.8707520197661,193.67322512921905,197.51443431406818,201.39736188016994,205.32500336851894,209.30022037498773,213.3256301876057,217.4036057865592,221.53624386443596,225.7248915635068,229.97104756386736,234.27614605262693,238.64134302095556,243.0675162640841,247.5552653813045,252.1049117759695,256.71630916926136,261.3888368178737,266.1243516302195,270.92444234931065,275.78995769381373,280.7210063580504,285.7169570119968,290.77643830128466,295.8973388472001,301.0780035072223,306.32189017466055,311.62941495495494,317.00011890209737,322.4332120356298,334.2029646750501,357.84369910581444,390.92111491325693,429.94256834240053,475.07143628101153,526.3774899554392,584.0345477238677,648.4718201754213,720.0582943928187,799.4026518939738,887.2791093867343,984.4683731054721,1091.8157003418792,1210.318596819609,1341.0196208165,1484.9778337017008,1643.287228378078,1817.2342846777105,2008.1803159984456,2217.4431813908927,2446.2884977427466,2696.066008540617,2968.4388230706563,3264.866913479006,3586.5328788567394,3934.3853389037436,4309.772717467271,4714.0437749317825,5147.87982012899,5611.27840475233,6104.07019528858,6626.657785571755,7178.457988988084,7757.610085131131,8361.294520150432,8987.49069106915,9633.407162760446,10294.511158865174,10964.732977592605,11638.784638334793,12311.22728862215,12974.878853670538,13621.002461442542,14242.113773045503,14831.353971914807,15380.696248780998,15881.255307459996,16326.447463326538,16710.904001348543,17028.887458816538,17274.884162742095,17446.55872696375,17542.719445816525,17562.357555877854,17505.566921362686,17375.220397993548,17174.764378336713,16907.928200093444,16579.60467680853,16195.979598878232,15763.310805602572,15287.945711215085,14776.677805627742,14236.118234326785,13672.6811695615,13092.742461851352,12502.599128523809,11907.324709378374,11311.356824680042,10719.23706921406,10135.585487125401,9563.840889800065,9006.199426763862,8464.90511698711,7942.226360791717,7439.9564505773105,6958.659555382546,6498.8353915629,6061.124431965526,5646.152333960281,5253.5706063508915,4882.815357423036,4533.480612661764,4205.299073671564,3897.692471596011,3609.624341387984,3340.1928085479603,3088.6570892103746,2854.3950587614563,2636.4442958157933,2433.7492575738547,2245.400141346442,2070.6226854730235,1908.7472459652531,1758.9070585961663,1620.2105706698107,1491.8788990385315,1373.2383861597013,1263.7198232416185,1162.6898699445899,1069.479991854104,983.5269297968484
B,8.123602779683663,9.509108116734655,11.779007727680353,14.70453115458615,18.11197287653181,21.871817678180502,25.889346884430477,30.09556421778044,34.442137575568225,38.89384508725167,43.42699223414375,48.02594331941578,52.67864504894209,57.377860138612164,62.12032628033372,66.90317024456755,71.72380861075189,76.58195707451401,81.47862387361955,86.41433331434581,91.38908907680057,96.40261294936508,101.456061048932,106.55084706031442,111.68797215791058,116.86805360203773,122.09132473893263,127.35764282155375,132.66728441379834,138.02161326983543,143.4217398469609,148.86835978604626,154.36175391153884,159.90178823146138,165.48791393741254,171.1190437734219,176.79460153308762,182.51710543810165,188.28859340466883,194.11015148136954,199.9819138491602,205.90306282137266,211.87182884371518,217.88549049427144,223.941981783096,230.04610833446003,236.1986068914408,242.3991323812175,248.646992673637,260.1140291352151,281.48241635384085,310.8442069041704,345.3368813337626,385.211573427584,430.6190134282766,481.7861482173731,539.1543578136246,603.1182970561621,674.2785222318606,753.3809516028933,841.1862216359648,938.5190245445166,1046.3424359193414,1165.6703791557866,1297.544083277413,1443.0471757808896,1603.4413218410816,1780.0684307516935,1974.2472166418524,2187.26504268006,2420.4963829415397,2675.610809612975,2954.111470508488,3257.268150306077,3586.153748211394,3942.213112442859,4326.907641426412,4741.099050399882,5185.03345327725,5658.803911399152,6163.040671409218,6697.455602301814,7260.563260288852,7849.969711790395,8464.007988923906,9100.261412068152,9754.620492062148,10421.47099908431,11095.879747463747,11772.705835426197,12445.042325705765,13104.391477219157,13743.362055657944,14355.070093066111,14931.374312745133,15463.174142125159,15943.521172681261,16366.57823743881,16726.04433860024,17015.746817056508,17232.649882577978,17374.843989905658,17440.55933770387,17429.12121754609,17342.762240207558,17184.334711676365,16956.984002240915,16665.119525097216,16314.653784432836,15911.616579722215,15462.149217725513,14972.964878409643,14450.78740398721,13902.156993564968,13333.569628333653,12751.489507752272,12161.297548011795,11567.7300657608,10975.609487250636,10389.820948364004,9814.102871998643,9250.939398384755,8702.838158586239,8172.320934987955,7661.419292629847,7170.888239902607,6701.401112055663,6253.767914511075,5828.7743528848605,5426.180038623025,5045.504570562965,4686.425762158144,4348.760126579116,4031.988341669966,3735.094900463014,3457.200257381741,3197.5907421967872,2955.673461026767,2730.4859081437153,2520.9586091562737,2326.173887698411,2145.3553613264053,1977.8348209153205,1822.7274716671945,1679.116692215859,1546.204279355104,1423.3026657309126,1309.8340787664495,1205.1480509621085,1108.5531366223827,1019.4694286392166
C,243.7080833905099,265.2603502394653,280.7762208578449,292.3705137926396,301.4097182598514,308.7850978729004,315.06306387279557,320.62813500254776,325.7106713074673,330.4810315771809,335.04131285948546,339.4534965076667,343.7760891793196,348.0417154164851,352.2652224784516,356.46489406458124,360.6609329613374,364.8604035707096,369.0667098652532,373.2854489739132,377.52403753567074,381.7903639210688,386.08560979649627,390.4111736057365,394.76913507285906,399.16193353797,403.5923679572131,408.063470744612,412.5757935627431,417.12969259965746,421.7260178936882,426.36552077926484,431.04885388691264,435.77657114325336,440.5491277710051,445.3665353288091,450.227262366211,455.1328871573939,460.08489615586086,465.0839915272698,470.13009114943407,475.222328612322,480.3590532180573,485.537829980919,490.75671344453843,496.0192324883344,501.32569909001126,506.675469097388,512.0675191453944,526.9193058524684,559.2976459117406,605.3524057839252,659.8078293945409,722.6641740174972,793.8237608767781,873.35862188131,961.709808326361,1059.2160231447324,1166.552053107406,1284.6154756594663,1414.2874342762318,1556.516877337212,1712.4429843360308,1883.2364601419154,2070.058180901522,2274.086767144243,2496.732545285758,2739.4680010311145,3003.673444596609,3290.627007125711,3601.6870500604064,3938.570712773716,4302.707011891566,4695.145766201988,5116.619025676574,5568.331845703664,6051.456753380766,6566.351784346356,7112.5437702393565,7689.373583236752,8296.848371981441,8933.8510143361,9597.820129566038,10285.134105614732,10993.15139084528,11718.419829956973,12455.624714862268,13197.826375862123,13939.0788970474,14673.378878072555,15392.93631543612,16088.38798491486,16751.866956813454,17376.283457854188,17953.393701635214,18474.1356630948,18931.969606463404,19321.67087974873,19637.67130268486,19874.677896782392,20030.689750904956,20104.86879802216,20096.580557968948,20006.321686161573,19837.36069119393,19593.54009821072,19279.010591132457,18899.082855406064,18460.303111690748,17969.3094445795,17432.86561731378,16858.16582023102,16252.143177518532,15621.562622929448,14973.196341687884,14313.749099709345,13648.583619983536,12982.421424058659,12320.13066707272,11666.69763099725,11025.844227299202,10399.96941725176,9791.543832755031,9203.078864744393,8636.58379292782,8092.74277283042,7572.174113909308,7075.652347453067,6603.9386915983805,6156.730436254323,5733.484500159647,5333.828332364611,4957.539121982257,4604.047638904152,4272.269220369578,3961.262805949394,3670.26202045222,3398.6280204616837,3145.3348478124826,2909.242773781427,2689.371430922208,2484.889032799373,2295.0775627064413,2118.9890076626552,1955.6388389468352,1804.1677232305005,1663.8336002044966,1534.010780761196,1413.9942802235823,1303.0340599093802,1200.4989106781231
D,1121.0571835963456,1219.7716243005054,1290.0705775421573,1341.9657870673266,1381.9838072681293,1414.4155776585367,1442.010770162793,1466.6391660234488,1489.4262902259659,1511.1934256558097,1532.425118270494,1553.40468924525,1574.3895911809473,1595.5094151846797,1616.8047708795518,1638.3319793440367,1660.1567876414874,1682.2825372993066,1704.6949520520284,1727.3931493732325,1750.3881141076254,1773.6957113094413,1797.3002789538318,1821.1903020704685,1845.3595240737989,1869.8052206078444,1894.5281995462074,1919.5319810729145,1944.8076382029726,1970.351320018857,1996.1629595733464,2022.241586300444,2048.585326015377,2075.1914009145967,2102.0561295757793,2129.173235459799,2156.5327424952725,2184.1463261964573,2212.024232044311,2240.1712071608813,2268.586500309308,2297.2638618938213,2326.1915439597406,2355.35230019348,2384.7328332642705,2414.3604441563257,2444.2386757611075,2474.36465705444,2504.733411185561,2582.0749536144986,2746.704825423217,2979.760762167914,3255.1178713467552,3573.073807075624,3933.393843180301,4336.672194725472,4785.354973717568,5281.401803225195,5828.4743100047845,6431.376778972984,7094.878199021345,7824.139213302884,8625.302479898068,9504.74201827536,10468.868971613716,11524.266652912635,12678.72998273144,13940.458258577137,15317.319929276953,16816.80274270269,18446.895549255492,20217.474943200086,22137.13430482615,24212.734422678794,26449.689850031617,28855.87341626606,31439.143273738115,34203.367099111616,37148.330422930085,40272.9030837392,43579.441121092874,47064.51691262284,50717.210212520324,54521.01659646758,58464.32318759558,62531.047463757546,66694.88720690555,70920.52433332353,75177.30429235961,79433.62959368121,83647.44434774842,87767.33327610487,91748.98980794304,95551.36911146066,99126.0203094055,102418.9028847577,105388.9450733957,108001.60174817404,110219.57449628129,112006.33158728163,113343.68809234895,114219.95500478595,114624.33157793185,114552.46671131982,114016.86545094204,113033.78912645049,111621.48014078962,109805.71069194985,107621.06797614884,105103.17569002166,102288.70597890718,99217.90418279971,95931.16825626064,92468.16817804684,88868.68969414158,85172.60524718858,81413.30329211563,77620.52008587305,73824.74288896807,70057.0628689811,66341.64349112872,62695.01088160657,59133.91772245456,55675.27263347186,52332.98629943681,49112.981606399146,46020.64812956292,43062.220061511485,40243.759268881266,37564.77118865716,35023.15025297492,32617.74908805033,30348.257338438765,28212.142069197635,26203.557159080337,24317.471569487636,22549.880072947082,20897.509591983096,19354.58629535083,17914.537993562855,16571.748595512894,15321.494630131408,14159.725901436239,13080.880715070973,12079.107464099527,11149.319568895271,10287.147824930602,9488.934611068875,8750.477656446836,8067.254788534197,7435.481525057002
E,150.28665142414775,163.34144629793548,172.30466692436735,178.61752857280246,183.2353042416095,186.79578353375567,189.71469181972174,192.27673464182396,194.65629858061774,196.97906173208628,199.31901975056994,201.7184136465169,204.21332506285992,206.82001737020153,209.54055457508105,212.37890841107455,215.34029179959182,218.42059847423974,221.61271882488325,224.91203788985183,228.31629342246046,231.82446361680138,235.4306455949357,239.12964180864674,242.9175259347113,246.7913876053978,250.7493324084661,254.79032926780195,258.9112036590273,263.1096030745198,267.3840701658554,271.7332230157753,276.1557551381855,280.65043547815674,285.2161084119246,289.8513955040703,294.55403892034127,299.325041718035,304.1653396948406,309.0751536356117,314.05398931236675,319.10063748428826,324.21317389772355,329.3889592861845,334.6259131924085,339.92747364837174,345.2938999857148,350.7245679022679,356.218548299553,368.623662695535,393.9452470083065,429.499363663468,471.47225806395056,520.0086031718984,575.1585434718718,637.0890094889204,706.2450734426293,783.0065535016513,868.0134638455937,962.0849268472164,1066.0474258368474,1180.7989912930454,1307.3974536965616,1446.952543226777,1600.597769029993,1769.5100624461445,1955.0678894819407,2158.7332794358804,2381.9385485261228,2626.077867472668,2892.641990958433,3183.444340021968,3500.115489031742,3844.030513697701,4216.350650392583,4618.648640927084,5052.517513610643,5518.904761438617,6018.095526979368,6550.218342350702,7115.992825744783,7715.15327387815,8346.14802952449,9006.451653127966,9694.334552659,10407.260437423414,11140.861852974997,11889.142238797791,12646.833191924963,13408.424163749203,14166.463499375906,14911.746273634784,15636.223750509913,16332.34347366899,16991.130347189675,17602.508703436688,18158.67178596944,18652.95461468903,19078.130552124963,19427.057359873856,19695.965973409213,19882.290882586192,19983.601655023944,19998.65650481037,19929.426778041176,19778.59635842105,19549.19959890627,19245.713587302915,18874.36849263545,18441.582175489006,17953.945189665457,17418.76294251397,16843.472222490003,16235.353172095969,15601.672294968252,14949.716017407809,14285.664538333118,13615.008102067864,12943.345206426213,12276.357471534728,11618.484439343316,10972.773596426534,10342.293443018509,9730.129641141699,9138.816646847668,8569.430836151998,8022.945256708233,7500.482892784839,7003.132136276309,6530.788024540236,6083.051755189212,5659.698778374697,5260.656843631508,4885.450964274558,4533.007585978547,4202.402627709579,3892.8992720574383,3603.894765377156,3334.336600020257,3083.031527894305,2848.9603637894584,2631.2662653402826,2429.2151651549048,2241.8035395683532,2067.979042496943,1906.8276273793085,1757.5647418170083,1619.534295814875,1491.9848540823054,1374.1093908856255,1265.2333594024724
F,99.51413405112487,109.18151426647961,117.79875620251221,125.84840013025928,133.61169494740807,141.25243202256434,148.85905228740927,156.48462589012968,164.15083567327179,171.8726158280232,179.65356033129888,187.492063702949,195.38924489696834,203.3426166870682,211.34804891501608,219.4033531769645,227.50767469834855,235.6584750313546,243.85370301989843,252.0919659453697,260.3723671443953,268.69425019541825,277.05649134092926,285.45882650353667,293.90102899745847,302.3828053013519,310.90379505831436,319.4635108725123,328.0610698956424,336.6975416729204,345.3740702447282,354.091260057454,362.84917596349203,371.6473432212429,380.4847474951135,389.3595936084828,398.2706532695,407.2218465986761,416.2164293771493,425.25618042997087,434.34140162610606,443.4709178784328,452.64207714374317,461.8507504227423,471.0938384737599,480.3789893297763,489.7075590248204,499.0792530192206,508.4932708604448,527.9604017929612,566.3128000208529,619.6697965439195,682.4606064608138,754.9376338615174,837.200803879477,929.5115651761893,1032.5337801804944,1146.830756743525,1273.3429891319834,1413.2692114312952,1567.813690942147,1738.2793012253596,1926.2010637507728,2133.1812303559363,2360.845902621952,2610.8738537634304,2885.23528055801,3186.011615247867,3515.219376481965,3874.7973128598733,4266.811754939891,4693.796986246441,5157.986001774228,5661.200268362506,6204.915181283794,6791.2053747530545,7422.148577037231,8098.835000794105,8821.343290911569,9589.50935263641,10404.026018534885,11264.125166227554,12167.143451337992,13108.99360258472,14086.778478064422,15096.448779875464,16131.344713063894,17182.49750461842,18242.076511621133,19301.987632200966,20351.466906872214,21377.358267875043,22368.301168185797,23313.779250450327,24201.4112141976,25017.413064952223,25751.349809246483,26394.509780038064,26937.51963301949,27371.243966138805,27691.300174677468,27895.007437950895,27979.927377611803,27945.28817568674,27794.643451845448,27532.48522647595,27163.780443004598,26695.38549498853,26136.35030895033,25495.929080532824,24783.585935313462,24009.62894545702,23184.318179526115,22317.673930072437,21419.69840930523,20500.361266886503,19567.920938634477,18629.679097105316,17693.10528626229,16765.799440643408,15853.58655821874,14960.361812228286,14090.076439250586,13246.716178890305,12433.515028612856,11651.729813740236,10902.49357233926,10187.153281955223,9507.019094350704,8861.800205055184,8250.826458914753,7673.670949475204,7130.119735110253,6619.42830192092,6140.0650320413415,5690.705852812638,5270.282628020455,4877.912247602531,4512.121551705344,4171.259344759178,3853.910163218224,3558.878251709176,3285.135118100908,3031.3016236226404,2795.9402338082205,2577.7993102873133,2375.801203833996,2189.0408982020067,2016.491803251053,1857.0575569738303,1709.8187085500724
G,10.15450347460458,11.422438860267404,13.041819758746726,14.936945886792024,17.04566297853322,19.319227900100735,21.720439920347573,24.22179385538817,26.803395641726187,29.450925381500365,32.154648105414125,34.908179326531716,37.70689565928823,40.54813152208372,43.430903779427325,46.35448680986271,49.31833413666454,52.32281373062308,55.36886613334295,58.45722859282784,61.58841090133512,64.76279518137514,67.98135041571031,71.24514045532172,74.55504779682711,77.9117857189434,81.31589828248697,84.76776454883596,88.26793432469879,91.81737161580422,95.41692898864011,99.06729029628349,102.76897067840069,106.52231656124725,110.32750565766808,114.18448229918222,118.09332200636221,122.05546537346555,126.0721578965656,130.14423182673957,134.27210617006867,138.4557866876376,142.69486589553537,146.98852306485475,151.33621512987256,155.74036114858657,160.20163361056552,164.72021867693323,169.29613083561992,177.5135758540434,192.65904902760752,213.4459134827036,237.89931037886996,266.2425379554931,298.6247246051122,335.2487695822017,376.4728857641428,422.6301535590928,474.20585780645393,531.7966875762511,596.0229127988989,667.565126632935,747.2110537822883,835.8063342203636,934.2415698275414,1043.4631208705405,1164.5609431578416,1298.7119797385833,1447.1218103919352,1611.0196254777777,1791.734393333691,1990.8342424457712,2209.8369638853687,2450.167542054359,2713.1782232508585,3000.524807663569,3313.9444244535644,3654.8252978915093,4024.193870207488,4423.010492210711,4852.688688108746,5314.009673116853,5806.89835952818,6330.610671237937,6884.937093145847,7469.060204180995,8080.727537911881,8716.379086479412,9372.825730807459,10046.51021090977,10732.080661393633,11422.513338673776,12111.34151416931,12792.130198096818,13456.830491647208,14096.026700488306,14701.769841912515,15266.698065925391,15782.536852831257,16240.675513239094,16635.284819940287,16961.464301363503,17214.209389102645,17389.482913236767,17486.52131391285,17505.327807252856,17446.226209367043,17311.177028549704,17104.485864936327,16830.79903666252,16495.002416510695,16103.108811419717,15662.019145844562,15178.560410710776,14659.534613055841,14111.959080746816,13542.449659120704,12956.989552770594,12361.591444967262,11762.28389586026,11164.146884307025,10570.992288068615,9986.553784607931,9414.540087225618,8858.114482334651,8318.966878719099,7798.626673218173,7298.737797545936,6820.874552280612,6365.352759533435,5932.131768577739,5521.324295875409,5133.175897479841,4767.478603045128,4423.349677600883,4100.043110000068,3796.995610342949,3513.7694212434512,3249.4184734382056,3002.82169966576,2773.0344412196023,2559.276716124549,2360.8900700215568,2176.907202103949,2006.2941119214915,1848.1602579031364,1701.7493180144088,1566.4380528958477,1441.4898335645933,1326.0996555552933,1219.602403488596
H,18.278106254288243,20.44247447541207,23.043820587272812,25.990277268301114,29.198664973192447,32.59960406843694,36.13732782921536,39.769376491486064,43.46358936723934,47.19649496816698,50.95141807383467,54.716890701226745,58.48464758634644,62.24946275286817,66.00882600653837,69.76087316954735,73.50420504647714,77.23883520950125,80.96581116003112,84.68592317871763,88.39964832003922,92.10729396951386,95.81011268420555,99.50959395257568,103.20694442646959,106.90309960459234,110.59872383250874,114.29422068676747,117.99032313289106,121.68838887976632,125.38959680148528,129.0948807628435,132.80492961934044,136.5201872171792,140.24085239326655,143.96684334317123,147.69847105119808,151.43743292403644,155.1851718852957,158.94268377381454,162.71051734366043,166.48877426412972,170.27710911974762,174.07472941026853,177.88111100721778,181.6987936278985,185.52853511447861,189.37061597558062,193.22516475674857,200.94001146574067,215.92439697181527,236.69893291339318,261.12463742989377,289.31296820121975,321.3140145731129,357.2389164868673,397.3541510754475,441.88810449851877,491.21541254804544,545.8114181580843,606.15507891043,672.7649180564403,746.251104111402,827.2518629172096,916.4166745684506,1014.4174141981875,1122.0418723478997,1240.1240409509178,1369.4749158618838,1510.8773597812265,1665.1667847347958,1833.3666367433766,2016.3843847733365,2214.9678282200007,2429.730515242796,2661.5264485815287,2911.215192135224,3179.2660986112965,3465.7485085885155,3770.6359662467466,4094.248542354811,4436.322741642917,4795.835748424505,5171.19271452868,5561.2755911035565,5964.501696598411,6378.230338904426,6798.883281664539,7223.334438986858,7648.345283782875,8069.58318823401,8481.732727248405,8880.196016801137,9260.710553014687,9618.238940578194,9947.156123435007,10243.196887194574,10502.796807384157,10722.105375706795,10897.355642581746,11026.73701978087,11109.136681285849,11143.525555823055,11129.552480250777,11068.666966938594,10962.697788483734,10813.651895476827,10624.316480924677,10398.403605490808,10139.695686776098,9852.043626475222,9539.650290445634,9206.716440691063,8857.329915137085,8495.554250345851,8125.434362292814,7750.331426035902,7373.205266058226,6997.074506230972,6625.001762183893,6259.329907071885,5901.614543534962,5553.42952491061,5216.360751895644,4891.687724817406,4579.886433179437,4281.382992282094,3996.6914346312237,3726.311937680331,3470.096903700584,3227.747296634757,2999.0646280322685,2783.938628180018,2582.0464394043174,2392.7502574911173,2215.498245393834,2049.8436296616937,1895.4160690869703,1751.6099081101163,1617.7507035421845,1493.2601249014276,1377.6493327149467,1270.4979046735816,1171.2468167277887,1079.315930567707,994.2002239467718,915.4648809771447,842.744754272895,775.6276725131825,713.6747979229867,656.5182288943506
I,64.98882223746931,71.42912660732995,77.38384384189135,83.09739507219334,88.69604993657457,94.24190496678824,99.75869757035548,105.25618309927037,110.73100877629369,116.1809293725124,121.60089183842678,126.9858275669632,132.33437567692312,137.64477370660973,142.91584063327892,148.1479206685977,153.34237605834298,158.50022322948388,163.6232943297143,168.7135115263402,173.77274470051972,178.80276342698562,183.8054820168489,188.78324382344456,193.7381622417406,198.6720768683281,203.58655350142135,208.48288094781293,213.36244015549545,218.22734279491,223.0795614420362,227.92077770917214,232.75238224493418,237.5754747342573,242.39086389839494,247.19903832838645,252.0009320283673,256.7988911884041,261.5949874083402,266.39082778940315,271.18755493420554,275.98584694674446,280.7859174324021,285.58751549794505,290.3906232907288,295.1982153373968,300.0115604831542,304.831461946084,309.65857245709674,320.43542766801943,342.3389246292917,373.01202150169127,409.1387327860626,450.8035668545915,498.01245402066155,550.871559964062,609.722958118628,674.8467099027107,746.7414902864172,826.0538174578795,913.4278098175497,1009.5596972809144,1115.2763335493105,1231.4369568887641,1358.9074390220615,1498.5778100161615,1651.5013888474302,1818.7885086812753,2001.5065465945568,2200.6730496843657,2417.3751530490285,2652.9593082443225,2908.6005233320357,3185.241173307425,3483.6296105982533,3804.8523871752386,4149.999171775495,4519.618906445861,4913.707107227794,5332.136946853444,5775.2652208716645,6242.66042640173,6732.866913683259,7243.66527436377,7773.511143452017,8320.24943398942,8880.317537205265,9448.910110995965,10021.863567437991,10594.885329609802,11162.232638320958,11716.863242785592,12252.71506363586,12764.17862622818,13244.610533306291,13686.584258214043,14084.475524863727,14433.571463724125,14728.767610428724,14965.05858365582,15140.00515444685,15252.073599208416,15299.838769882113,15282.766413802852,15202.68515359234,15061.932005611816,14863.095757177005,14609.804692207992,14306.914610139414,13959.398635321746,13572.346688488513,13151.331461327678,12701.9366787456,12229.619460202395,11739.82763875868,11238.002478973325,10728.682014190805,10215.882983975143,9703.712400035934,9196.347529776442,8697.006641260039,8207.85481802945,7731.084540989782,7268.906792889612,6823.120935662003,6394.439350182595,5983.504602544103,5591.076282233269,5217.89302641535,4863.810290760042,4528.47245723308,4211.65735312123,3913.2596504824905,3632.880079233558,3369.682959158007,3122.946552436122,2892.0900605305087,2676.6343946168927,2475.7731187020686,2288.6003826931365,2114.340331426491,1952.3382742291271,1802.031640880306,1662.6630728301375,1533.4423234038743,1413.6817534488703,1302.7897495710386,1200.269972716541,1105.5583510676693,1018.0518298507077,937.2450894659048
J,8.123602779683663,9.421433248448292,11.462277893201517,14.059578057293345,17.071757991607384,20.39334263255336,23.947248780206472,27.67734697538866,31.544321893824783,35.519492507798724,39.58353918313961,43.72368845693484,47.93006874393326,52.19674270312109,56.521017308230306,60.90056040544578,65.33333105054021,69.81919528166434,74.35907625975433,78.95358677234933,83.60300584551885,88.30747512548768,93.06829066933881,97.8869100090734,102.76455091471793,107.70222230913411,112.7007242680198,117.76066040170512,122.88300346414225,128.0692600441004,133.32078701159233,138.6387553526917,144.02415016953324,149.47777068031252,155.00023021928627,160.59189933186997,166.25338568396447,171.98672269054418,177.7937309300104,183.67580166259918,189.63389683038207,195.66854905726555,201.77986164899178,207.967508593138,214.23144471952665,220.5746828938302,226.99846169397824,233.50351894884818,240.09041388541817,251.8586925501783,273.49205117862954,303.16718901228865,338.07690304062316,378.54899960557145,424.8053249558658,477.14490211096967,536.0897074472654,602.1283043238116,675.968666069053,758.4806308558833,850.572133623857,953.2425283189816,1067.646924223204,1195.0314422991146,1336.7163439336355,1494.1117927061114,1668.8395200611537,1862.657895955699,2077.3868753351744,2314.9015327658713,2577.2379304770698,2866.784627373347,3185.89654342547,3536.8383458787875,3921.81158619113,4343.472535869806,4804.635758533859,5307.684645370584,5854.553336143412,6447.129314729671,7087.991560491432,7778.887183052141,8520.411754075216,9312.261344297573,10154.934291884107,11048.102655481754,11989.383374988722,12974.508878200388,13999.72478734477,15060.70629202715,16150.36361955567,17259.00371928867,18377.587462102885,19496.917036584484,20605.032624310643,21687.56345942542,22732.01908908669,23726.425515899504,24656.924274969075,25508.667234667468,26270.793074625093,26933.55313949574,27486.627416868578,27920.908217645894,28232.53559753298,28418.791534981574,28477.309046937426,28408.467775890942,28217.00945608459,27908.35072910506,27488.334869664042,26965.086863799555,26349.088564342328,25650.836123936166,24880.805696864463,24050.1049112231,23170.127052573527,22251.36003070913,21304.28458384815,20339.36719841097,19365.9464790595,18391.45731880668,17423.101743171057,16468.015920993465,15532.462898390197,14620.215837351683,13734.70917442421,12879.539114915455,12058.150485559805,11271.751131497342,10520.843706262938,9806.169954912863,9128.67839738971,8488.460425945494,7884.312840618956,7315.249225034055,6780.595860999446,6279.885652277077,5811.665013573786,5374.109550652782,4965.707085415641,4585.238085514442,4231.693772765519,3903.4490963512003,3598.7226322364104,3315.994257325673,3053.988817000906,2811.673906257924,2587.7789785428354,2380.8853416129546,2189.834966755134
