Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,11.562978405702946,12.829472313039048,14.166527371731766,15.538191540018488,16.922790076484226,18.30700015535737,19.682913365877493,21.04525284103685,22.3911487220163,23.718446292446536,25.02605628814823,26.313535662494637,27.580562198917384,28.82735034987953,30.05448003139671,31.262650857864315,32.45271149276307,33.625791924132386,34.783159063975944,35.926139667930805,37.0561236229657,38.17455244036053,39.28291567651226,40.3827683795316,41.475622967635694,42.56294169886459,43.64613667108114,44.72656920832592,45.805562357421955,46.88443481430687,47.9644386277491,49.04674717175084,50.13245514554802,51.222578573610306,52.31805480564114,53.419770251882234,54.5286775172372,55.64545123698025,56.770708361606296,57.905059993036815,59.049111384619906,60.2034619411302,61.368705218769044,62.54542892516432,63.734137967488905,64.93496036720356,66.1481851003193,67.37412464085507,68.61307987616293,69.96498701628555,71.59207315861123,73.67482423316555,76.46734822135213,80.01672702486357,84.38676074919869,89.64657158689597,95.86229650884901,103.11618525939883,111.4894023741389,121.06736524448651,131.94966399461094,144.24702578422765,158.07752911695397,173.57316502726957,190.8814567604346,210.16450032395076,231.59150053299123,255.34471163370904,281.6248474989801,310.65133586970836,342.6532765531517,377.85648926750264,416.5055350899521,458.86677711874796,505.22381365399383,555.8334751418959,610.9419400827453,670.8113592499161,735.7199747599404,805.9184106015942,881.5719073190058,962.835075886524,1049.8635418739416,1142.7881336006249,1241.5748065877297,1346.112230350271,1456.2668979786918,1571.8686825402274,1692.5345873770607,1817.725064341413,1946.8717318887445,2079.3674491489583,2214.3703851781866,2350.8639770843456,2487.8396130118485,2624.2836475764807,2758.9713193629204,2890.5923578207767,3017.929765961971,3139.826595759231,3255.0007301088563,3362.2456030071244,3460.5338374282283,3548.95266869853,3626.604041703513,3692.7797951709736,3746.981190623022,3788.8451949658165,3818.1438545147485,3834.8325234155955,3839.0338155808113,3830.9953579006733,3811.1425526512917,3780.0007068166187,3738.163828668865,3686.29050176885,3625.200625084797,3555.771469633633,3478.8381912968953,3395.196119471356,3305.716024878837,3211.3272426616104,3112.88124668586,3011.1531657480373,2906.888511308941,2800.863594517602,2693.7794457000064,2586.2458201279087,2478.7968527636667,2371.9788332388525,2266.281963520416,2162.1191567257897,2059.8286938875126,1959.7183506260822,1862.074892013957,1767.127992218614,1675.052622343428,1585.9736478930722,1500.0075993759501,1417.241679180258,1337.728239571647,1261.4871632632683,1188.5092132865639,1118.7818257866065,1052.274360087891,988.9390312082913,928.7126593389141,871.5167244517353,817.2694237173382,765.886372741946,717.2736905874913
B,0.9069002671139567,1.0120330827942572,1.1531056474325128,1.3473415252776342,1.6047292379883182,1.9301539876288711,2.3248632014546717,2.787867756243646,3.3164752159912188,3.907330516572503,4.556479363195999,5.259739486042671,6.01321364775049,6.813035066857473,7.655430687230359,8.537055702689667,9.454974535837447,10.406372932916724,11.388680798522937,12.399644871606297,13.43732043036618,14.500026623476954,15.586147407906775,16.69430658285851,17.823288091018583,18.972021533458726,20.13958216963608,21.325186714131487,22.528100613033544,23.74768301367499,24.983380528732965,26.23470543817269,27.501235689247444,28.782614896498597,30.078552341755593,31.388834696785167,32.713286921477064,34.05155349249202,35.40332411663684,36.76836846191709,38.146536157537255,39.53775679390055,40.94203992260913,42.35947505646395,43.79011462926393,45.233520577707516,46.68955668229199,48.158168857529525,49.639331593620334,51.21848107484301,53.03287741897628,55.23827248755019,58.05772012727641,61.536328911008184,65.73566509643277,70.7234879006395,76.56618920403625,83.34488175070499,91.14090934113992,100.04050736343004,110.14322811518218,121.55948793388595,134.40750509215255,148.8191003912222,164.94112650081715,182.93477546938834,202.96946293640383,225.2279657805992,249.91144776477307,277.2397292001505,307.44355292349553,340.75287261617706,377.416925561096,417.707069853529,461.912730716004,510.30142914679305,563.1330992559388,620.6847851232575,683.2507815631905,751.1020791487668,824.4317531069439,903.4244393427132,988.2673228525533,1079.1256395213286,1176.0088163518872,1278.8521883543265,1387.5692603364575,1502.0377192801725,1621.9278270681075,1746.7543105773836,1875.999314247364,2009.1026058416824,2145.2672525312446,2283.5151119187767,2422.8666505639962,2562.3280924844585,2700.6830710235317,2836.6152928283427,2968.8902693400246,3096.322033204101,3217.5810334535854,3331.399701069753,3436.683700820823,3532.4451578659314,3617.693579947446,3691.6266283699547,3753.6558911882967,3803.3267035286917,3840.3121509800444,3864.479204814662,3875.8752414890846,3874.6772736805583,3861.2422068248966,3836.041500340733,3799.6307355540293,3752.640273031693,3695.8666447318,3630.176695400455,3556.4043348747423,3475.352640751352,3387.906229861579,3295.0168794786887,3197.562494539984,3096.346830470353,2992.1471292176707,2885.777983125948,2777.9785900497895,2669.3946405671527,2560.5947429449707,2452.1634261029485,2344.6283669739646,2238.4362181113406,2133.9553380915554,2031.5230581019991,1931.4561851298704,1834.0108741433407,1739.3848515397392,1647.7223789816244,1559.1596848426836,1473.8020477212276,1391.7169768685476,1312.9367288768822,1237.4619590828297,1165.2900626326532,1096.3989561819135,1030.7475641828123,968.2776944169925,908.9140988399345,852.5778963680127,799.1872242843581,748.6494049250182
C,27.207008013418697,30.178393526241585,33.27085469076943,36.37073171099021,39.41103524039625,42.35359058401531,45.17941347717891,47.87956451156873,50.453605436142134,52.90367943114402,55.23520510187933,57.45521035819639,59.57013648658642,61.58731909968667,63.51451004199714,65.35869361836316,67.12620631639487,68.8236586082401,70.4573650496103,72.03310448116005,73.55615185656761,75.03136270468407,76.46358373850863,77.85726359703878,79.21651208763478,80.54512397023129,81.84657895733754,83.12405263970642,84.38061968632275,85.61905528684275,86.84189009178704,88.05147559061868,89.24998411174316,90.4394088225084,91.6215637292048,92.79811981345138,93.97074307922958,95.14065811230579,96.30897994426523,97.47678495060622,98.64511085073995,99.8149567079907,100.98728292959579,102.16301126670548,103.34293615707037,104.52738619692042,105.71685201252697,106.91183388378886,108.11280152354527,109.45800286132264,111.17502434780027,113.51136209667347,116.8083480275539,121.12176362118706,126.52617944049659,133.10010235791177,140.9151841336017,150.06305038214776,160.63100072678358,172.70911215731368,186.40396119153118,201.83405372460942,219.1243095845573,238.41442782642525,259.86094796145704,283.63563970291784,309.9148357583706,338.88728727798673,370.76041456208833,405.76051351061733,444.1206836772121,486.06523693418154,531.836019489674,581.6959426857934,635.9232924404682,694.7592546674647,758.4282235189443,827.1684025736575,901.231869357087,980.834824066669,1066.0944467833328,1157.1141294617123,1253.9963514965252,1356.8146067945831,1465.4633550922538,1579.756455227468,1699.4870028873484,1824.4120850395602,1954.0698406401473,2087.843221111284,2225.093603001307,2365.1504065160498,2507.1128048254295,2649.915543584953,2792.5121086330146,2933.861122720343,3072.7229723992455,3207.7868462537026,3337.8424737293212,3461.7470669423687,3578.2479389565997,3686.175268228624,3784.5371719057516,3872.458434499911,3949.0888867628637,4013.7646360228628,4066.0237373730242,4105.539074321027,4132.120974672488,4145.755606549705,4146.588559261612,4134.888777066469,4111.102247821576,4075.770144534164,4029.498149033327,3972.9546426380634,3906.9706773040107,3832.433053481169,3750.186333145505,3661.0351787004347,3565.8610047883644,3465.605334896148,3361.13256690673,3253.231605791311,3142.6627725186377,3030.219541173727,2916.620656327466,2802.4934354078123,2688.38959786527,2574.8748715474453,2462.459361345107,2351.574629118463,2242.5763295306965,2135.789670970693,2031.5198479124847,1930.0132756468488,1831.4596512671017,1735.996741385573,1643.7544789565127,1554.832943690163,1469.2953253736405,1387.1703181146738,1308.4556807937204,1233.1461513406914,1161.2176640666962,1092.6273450733904,1027.3153097220722,965.2047240749223,906.2153520313807,850.2641054698697,797.2570122306059
D,125.15223686172601,138.80394234056973,152.9261147680334,166.94252923659712,180.51993824720483,193.4780654846612,205.73930839099611,217.28085962318923,228.1248983744161,238.30682147534887,247.87790027504732,256.8959677772812,265.4129310332599,273.4828206897772,281.15953354424227,288.4899102565106,295.514448846977,302.2732678946318,308.8028937485617,315.13526807037994,321.29798190914,327.31503754327053,333.2098832998402,339.0021848668687,344.7095094933012,350.3475913779774,355.9303316696322,361.4698971118072,366.97804982388493,372.4637454831706,377.93472533062595,383.3982702461677,388.8612007486668,394.32987699594844,399.8101987847927,405.30768146928057,410.82689509040506,416.37009841690787,421.93945414293853,427.5373142521817,433.1662200178584,438.82890200272453,444.5282800590724,450.26746332872955,456.0489982530993,461.8719666553247,467.7371556315352,473.6456903332285,479.59869107949567,486.22494470692425,494.55766699351364,505.7259805006942,521.293901915549,541.5244593623934,566.7705338578229,597.406442013125,633.7782396392164,676.3254815928431,725.4712483596305,781.6550238058857,845.3950796208098,917.268051969088,997.8856482188174,1087.932575875205,1188.1757308520223,1299.457629044097,1422.6517316816853,1558.6975519482266,1708.628919069965,1873.5750824527697,2054.7099887113914,2253.1841208544283,2470.2419242718856,2707.237788401567,2965.611513423208,3246.6571359885206,3551.6113301237046,3881.7916258089313,4238.596880803473,4623.282821377758,5036.671674598161,5479.536432989877,5952.659748277288,6456.703279266489,6991.50583472602,7556.528710916957,8151.13000339126,8774.49144703339,9424.739171344618,10099.227269633247,10795.163664284806,11509.558720373609,12238.247464528788,12976.183659642944,13718.328295217967,14459.582565914527,15193.75885563084,15914.192999229925,16614.622174800752,17289.020529788653,17930.66874010046,18533.152965578363,19090.89627727159,19598.83920374974,20051.921730878727,20446.002700257362,20777.98449782021,21045.434761296212,21246.565192830923,21380.552329562477,21447.474510187523,21448.073720526663,21384.009247402908,21257.535549754168,21071.354234515788,20828.568552104774,20533.150468856926,20189.458137427126,19801.715541605176,19374.022919828563,18910.923453522944,18417.33729830654,17897.83376919668,17356.626020659824,16797.813531903306,16225.719784083502,15644.295506872919,15057.017194979224,14466.972592779415,13877.352617439325,13291.06458148623,12710.591151747378,12138.004063223478,11575.217998331207,11024.051975266391,10485.999249788414,9962.235741422606,9453.647133527771,8961.081641248658,8485.223224146903,8026.543792590198,7585.316258681695,7161.635047478235,6755.579051700867,6367.119590507895,5996.115544739121,5642.323422016988,5305.397723923158,4984.971819107616,4680.660197273071,4392.009396342777
E,16.777654941608194,18.60692367838878,20.49488948048448,22.361797088469945,24.162150589574395,25.8722334870913,27.482999462344363,28.993299154799274,30.408363585831644,31.735252006489738,32.98315389176787,34.16202753545549,35.280757960098065,36.34831870317628,37.37347455629366,38.36374380081248,39.32550523415853,40.26493506282003,41.18753888225636,42.098023791327826,43.00033615457884,43.89779469392912,44.793602370627056,45.69029825803936,46.59008931288791,47.49489831641152,48.40636387436594,49.32585794008845,50.25471187506407,51.19377789245888,52.14373433608978,53.10522296343547,54.07884894563676,55.06518086749633,56.064750727478945,57.07806049890244,58.105439942507005,59.146877220174396,60.202375727066354,61.271993680516736,62.35584412003149,63.45409490728855,64.566968726138,65.69474308260197,66.83762298073205,67.99524545825666,69.16754860045415,70.35454146656453,71.55624620101138,72.87462674909447,74.47579968355859,76.5440896841128,79.33835751628075,82.90586287906802,87.31060008189117,92.62174981841511,98.9052750507396,106.24348349575556,114.71743921348497,124.41245684615524,135.4282178589061,147.87563743974255,161.87334415089632,177.55410847473695,195.0663904403491,214.57345002769299,236.24654113231517,260.2706967452213,286.84980463014386,316.2068594834244,348.57587555324795,384.1900609766576,423.30240124661805,466.1885377263292,513.1426335653817,564.436936073253,620.3366179570519,681.1247471407809,747.1024214476577,818.548040088248,895.6628605542459,978.6407732538498,1067.6792741502268,1162.954867923418,1264.4892775820033,1372.2310887604735,1486.1075153442848,1606.010266271886,1731.6234482105342,1862.4749515838057,1998.0579970384422,2137.8210925954736,2280.9723099721095,2426.5336525776374,2573.5196661166506,2720.924327856325,2867.5103527350007,3011.9310990719778,3152.9136420703726,3289.225358487104,3419.478159400381,3542.337160999799,3656.636165304284,3761.3100534252026,3855.2812922168605,3937.660036567463,4007.773860700562,4065.084618505403,4109.1800837575975,4139.851153414514,4157.080151378592,4160.9856541436675,4151.872342979132,4130.172619461721,4096.416548998332,4051.2193805961024,3995.372195655208,3929.7490059088664,3855.1992138720716,3772.549629313021,3682.7173673458865,3586.697267759552,3485.4136323492044,3379.7184884272765,3270.4409132818037,3158.4557417294245,3044.5617832916823,2929.461065562906,2813.7762969829732,2698.1510657000845,2583.1709534235233,2469.3351670496345,2357.0593576628257,2246.7272179943675,2138.702640512526,2033.2835739510597,1930.7038999212455,1831.1389179901416,1734.7562211772467,1641.6900591782783,1552.032234184574,1465.834780870407,1383.114080074616,1303.8832994050404,1228.1339488260312,1155.8353548651341,1086.9367078606401,1021.3671338576228,959.0515363079192,899.911125745816,843.853910228662
F,11.109528272145969,12.328695708971187,13.628073819735429,14.981915073141675,16.375542836676523,17.800629691367636,19.252849865924844,20.72964977019122,22.23005072435627,23.75328714898742,25.2990811537301,26.86731999258369,28.457632853343856,30.069756388078105,31.703439768147295,33.358272536564776,35.03372532097857,36.72932804890127,38.444549593701524,40.178826309853505,41.93157439396776,43.7022098136465,45.49018255875852,47.294880998604405,49.11573102256359,50.95220572222493,52.80382539138696,54.67016154986159,56.550833696777346,58.445324317450954,60.35314736913241,62.273895951157755,64.20724230494909,66.1529378140146,68.11081300394848,70.08078766254003,72.06271169659993,74.05610091722413,76.0605467783857,78.07576598354095,80.1016004856295,82.1380174870742,84.18510943978131,86.24309404514034,88.31212412310087,90.39154932720841,92.48120179933177,94.58104072767111,96.69106544220803,98.95808470922579,101.6208095053748,104.94504235010606,109.30518347935654,114.7706659971563,121.4354235843467,129.4010664954374,138.7645274626492,149.64606478695373,162.16394671021155,176.44224980752287,192.6253288974091,210.87328821823465,231.35663833030293,254.2655674046465,279.8122061121389,308.2292445376004,339.75946316411273,374.6641342496988,413.2304751936631,455.7719917428622,502.61594710917814,554.0855618064934,610.5304342390575,672.3307573441789,739.8910212229591,813.579488058041,893.7505355733673,980.7812746694204,1075.0717089691,1176.9847075539913,1286.766871049845,1404.6510957583614,1530.87251304342,1665.6329552977024,1808.908536597956,1960.5695128875486,2120.4554232064543,2288.355046173007,2463.7629985340373,2645.956141828311,2834.1677401434185,3027.5734619837112,3225.0188651461503,3425.100017073772,3626.4142089941543,3827.5416837060143,4026.7568238569597,4222.200250626382,4412.128591324816,4594.868316302913,4768.552835347889,4931.405344169992,5081.889692215684,5218.6194089850505,5340.211042068578,5445.542980758844,5533.7894971973865,5604.3130563708555,5656.658602420733,5690.6401744713785,5706.321877589189,5703.95102509891,5684.029758361,5647.220360812528,5594.302839160367,5526.163388020128,5443.9256150524125,5348.813154928435,5242.005061755957,5124.638802147387,4997.969571633757,4863.350172297726,4722.031071322195,4575.159974752391,4423.849072658999,4269.26626083629,4112.474134681506,3954.4036566744458,3795.8774679390067,3637.742701959723,3480.7669182167883,3325.602251046485,3172.789233044102,3022.8246793920707,2876.177349714114,2733.228741212834,2594.2758963846295,2459.538580871682,2329.225525806006,2203.5011283904773,2082.4743981693387,1966.2025178900763,1854.6961921061575,1747.9616027124378,1645.9765630818076,1548.6903549876788,1456.026421334674,1367.88245832868,1284.1507349462809,1204.718890819273,1129.4578636964732
G,1.1336253338924458,1.2605516138636355,1.408876642933164,1.5846671545674431,1.7914700245631634,2.030964827639833,2.303471407655517,2.6084362447618474,2.9446603089796892,3.3106792952210995,3.7048097984712136,4.125294303321519,4.570504158668583,5.038846762532814,5.528785737742913,6.038977792005043,6.568265646780807,7.115557036593256,7.679873065636126,8.260375911038752,8.856365221684895,9.467257638588228,10.092500291367184,10.731650640756783,11.384332945930947,12.050231298031653,12.729089620168997,13.420709616800531,14.124911825922904,14.841566491505846,15.57057848936058,16.311874785045184,17.065404433864643,17.831138580870803,18.60907046086242,19.39922137145635,20.201638832614165,21.01629805685972,21.843187958274875,22.682326127192937,23.53375883019872,24.39756101012845,25.273836286069887,26.16271695336225,27.06431996631027,27.978575700769017,28.90552651208913,29.845245654385902,30.797817212499076,31.81806562394012,32.993479484361664,34.42432644895993,36.255378100838975,38.517411102506486,41.25266666822516,44.50816023514559,48.33081448331885,52.77773457107381,57.90711046184677,63.78139860829632,70.47276637956384,78.06165086961889,86.63536089918253,96.29187157230369,107.14070573615639,119.3027466583827,132.90766949981034,148.0971988726371,165.02833413371633,183.87358600163657,204.8177215304765,228.05164181881432,253.78450296106942,282.24550896646264,313.6819827800448,348.33780844057753,386.46132029877907,428.32071304628784,474.2042284867786,524.396470349258,579.1441042805119,638.6980915169897,703.3208417484916,773.2702370585453,848.7104458784629,929.7612285298627,1016.5313498275333,1109.1083875807142,1207.4332988334688,1311.328658864425,1420.581233478869,1534.9339017342422,1653.9304421682968,1776.9447490450584,1903.314046233096,2032.3280621771373,2163.048271579022,2294.3955832079414,2425.306543004248,2554.7055582707762,2681.320324258387,2803.866908344371,2921.1696977728207,3032.0989066443585,3135.4441596975935,3230.134268059175,3315.2852223353843,3390.109366269896,3453.8874867740315,3506.1020054424657,3546.4383619986993,3574.7078200295323,3590.877069835277,3595.07337780009,3587.5642241566247,3568.7262819070343,3539.0963753292463,3499.3306088275012,3450.1035229228214,3392.1089359040966,3326.1381168910275,3253.080299109452,3173.785031143154,3089.053306914113,2999.680751730124,2906.526945499077,2810.390121275412,2711.98167002593,2611.943331446518,2510.949115928346,2409.6231852139526,2308.5048067510565,2208.050922244325,2108.6904981244697,2010.8382561117894,1914.8411188659827,1820.97909415337,1729.4711864780443,1640.531124425542,1554.3388359690903,1471.0281323331483,1390.6894432516428,1313.3743471741357,1239.1317856165892,1167.987278170481,1099.9410550829023,1034.970237885607,973.0289211360762,914.0661560013436,858.0262669919776,804.8377682936934
H,2.0405256010064026,2.2683249324503327,2.531106190022429,2.8373130521984256,3.191630062652283,3.595860776380431,4.04968008592594,4.5513571002179125,5.098141046053916,5.686848344421145,6.313960210771093,6.975858918594517,7.669159187210406,8.390568330348435,9.136915149366994,9.905381760042811,10.693494017338548,11.498917679100305,12.319533950809781,13.153492301561824,13.999205074697052,14.855311790627159,15.720523283151632,16.593757800984136,17.47406998443073,18.360638989574362,19.252768488274928,20.14988257582708,21.051446298152555,21.957025505154917,22.86626097889348,23.778844004783288,24.694516371595096,25.613070371455354,26.53434879984622,27.458249015150308,28.38469757556675,29.313559703861756,30.244730350916516,31.17814767329093,32.113793033223686,33.05169099863218,33.99190934311261,34.93455904593988,35.87974054245412,36.82733385771945,37.777358836597315,38.72987392374018,39.68495160319895,40.70466864621238,41.88975540703007,43.35265143260176,45.25206498703411,47.61786739453296,50.49048739240651,53.913759094427455,57.92966772602873,62.59015246522534,67.94644406540296,74.05237378909085,80.9704872653159,88.77015507277285,97.52532522813618,107.31849505441662,118.241682389778,130.3958590072375,143.88654385893875,158.82739279637718,175.34343945668624,193.57125134194206,213.65362237619192,235.73191314661966,259.9592157405363,286.5021876381608,315.53836723809326,347.23011470180705,381.7341979769966,419.21774229641346,459.858310639636,503.81792221847354,551.2084759625685,602.1364103400622,656.7097110466481,715.0224133266273,777.070243327749,842.8028096500701,912.1566793083366,985.0465815213104,1061.2579177273662,1140.479863877885,1222.3824230538064,1306.6102670373382,1392.661438612304,1479.9223472026188,1567.779641632894,1655.6121290269107,1742.6610312750925,1828.1063168730652,1911.1793521773109,1991.1421537449473,2067.16789306629,2138.4684570604622,2204.363416577611,2264.238530159898,2317.477823309964,2363.5821848828955,2402.1854582996343,2433.004576818266,2455.8357666286183,2470.596035763227,2477.3148789068655,2476.1026094969143,2467.1817639511014,2450.8467090625104,2427.4447216782105,2397.3700477071798,2361.121170346963,2319.241115087994,2272.252745452177,2220.6600734682693,2165.018635912928,2105.92676555355,2043.9368610323625,1979.5551035169087,1913.2714080691467,1845.599890557297,1777.0075296421742,1707.9025803110867,1638.6449482764726,1569.6051099669962,1501.1179952316,1433.4673966261937,1366.887683397104,1301.5938327952986,1237.7882120862869,1175.6347631330011,1115.2603379361763,1056.7578613634878,1000.2153825557831,945.7014278858393,893.2604149343315,842.9142404485729,794.6646183759588,748.5113111181955,704.4417147611659,662.4309924454059,622.443264417511,584.4316475413636,548.3469676475269,514.1381374473045,481.7470257026288
I,7.255202136911652,8.053816534052586,8.917407156242422,9.837002500384825,10.806810797292208,11.822260518419649,12.87931518688067,13.973833370759912,15.10181331486168,16.259138520546287,17.44183099285535,18.646075361290627,19.86827762033797,21.105138606850563,22.353607471032518,23.61098696545853,24.87494217939549,26.143386489205344,27.41448042809664,28.68666491352146,29.958659951656696,31.229431025846388,32.49804503381387,33.76378497900946,35.02606929302979,36.28444016676717,37.538563550409684,38.788224900619966,40.03324613930472,41.27354489452413,42.50910568978538,43.73995446592613,44.96615858111455,46.187826810849195,47.40510934795916,48.61820230282895,49.827321427628,51.03260446764759,52.23421049946896,53.43233466739004,54.627208183425495,55.81909832730667,57.00830844648167,58.19517795611533,59.380027929254986,60.56294830814171,61.74416228707036,62.92392416919035,64.10249452548709,65.37138546073356,66.88021129518721,68.79367137287085,71.34139817903315,74.56368977468233,78.51469824593127,83.2522665986906,88.83049466767473,95.31730463195736,102.77854287156464,111.28275652122267,120.91023697352796,131.7501132136831,143.89686373016198,157.45602155464402,172.54557417820143,189.29501411480095,207.83859929560998,228.3206336284473,250.8999158167465,275.74992274268686,303.0510367411807,332.97996941469705,365.7280540510618,401.50374588092853,440.5288539228736,483.00274458745173,529.1160393730136,579.0722598117619,633.0879161579005,691.3577088334754,754.0091436081512,821.1626339174063,892.940803186199,969.4481526185097,1050.6612558324719,1136.498317167579,1226.8624650178067,1321.6303305818233,1420.513895679026,1523.1046673920682,1628.9725532278865,1737.6578417925646,1848.5167971505743,1960.7675391421817,2073.630910206751,2186.3199465996013,2297.8764600861323,2407.267646189428,2513.5258079838786,2615.722182000515,2712.8182706540274,2803.8245566241458,2887.885205312498,2964.2267916234505,3032.074953026267,3090.8007431260967,3139.940274864615,3179.1337719693975,3208.1216851807017,3226.7954108396316,3235.1870121017137,3233.430840874551,3221.803417275613,3200.6721958965186,3170.471968440742,3131.697746741413,3084.977835944711,3030.9979831786322,2970.41982154724,2903.8825262928003,2832.0919230087247,2755.8096732125996,2675.7403920610564,2592.5311593629735,2506.809458086689,2419.234997095598,2330.4082940706016,2240.8555744275495,2151.041993220444,2061.4470934479973,1972.5056442639823,1884.587053870695,1797.9975306340643,1713.018723990166,1629.9166800214398,1548.9079491831458,1470.1611417290655,1393.801018171436,1319.9462779399018,1248.6905426143126,1180.0959464774353,1114.195159030288,1050.9944361104056,990.4975784818529,932.6923029101223,877.5500817189792,825.0276750189973,775.0671834082616,727.6076638384354,682.5855653121484,639.927808906026
J,0.9069002671139567,1.010572303198835,1.142545712264241,1.315090548822327,1.535446584978712,1.8072950289650065,2.1317732445012476,2.50844457464437,2.935668595246997,3.411321894484906,3.9328427510071515,4.497489694164621,5.102697273710849,5.7459019299635665,6.424588919677481,7.136525216034451,7.879747174048307,8.652366494158503,9.4526563746539,10.279104568763275,11.130408002616868,12.005443102504493,12.90313463759102,13.82257407043667,14.762966649178537,15.723621761431751,16.703952934289546,17.703474604207845,18.721739182226276,19.758384651006885,20.813115317867712,21.885682659353577,22.97588532123614,24.083569118513843,25.208627035411965,26.351003200129174,27.510674271678358,28.687566232477362,29.88163452019494,31.09287633889877,32.32133065905556,33.5670782175309,34.83024151758947,36.11098482889489,37.40946678405753,38.725654111222745,40.05963968261721,41.41155534638078,42.78155037319198,44.24693606700058,45.930927070623824,47.975018314277804,50.58382884375088,53.801310827535715,57.68784196418444,62.31076633147982,67.73753523374492,74.05018238797706,81.33256601338857,89.67492704595959,99.18158571053041,109.96895944177112,122.1638109090177,135.90864314593125,151.3629316846244,168.7029648119986,188.11878648006973,209.8188217428627,234.0344401300981,261.0203172680557,291.0506417538955,324.41124701451037,361.4164141920724,402.4113876944085,447.770029840867,497.8668541163009,553.0877716533098,613.8516334088714,680.6105540335624,753.8186070474997,833.8851754345893,921.233151372985,1016.309109858941,1119.5614705576654,1231.3169599818975,1351.8478207767923,1481.4186828057823,1620.272072980994,1768.4488721398507,1925.824769843796,2092.226290868366,2267.4186508482053,2450.87472965288,2641.810420452985,2839.3757311150857,3042.6376600812837,3250.299818892796,3460.8241362454346,3672.6649523039296,3884.225446689684,4093.5576389588928,4298.645693492146,4497.600567638291,4688.559884238153,4869.465168870471,5038.435123527754,5193.858012844425,5334.2363001534995,5458.118315638155,5564.371265766977,5652.197363773952,5720.98700794924,5770.341831221765,5800.157295460886,5810.602095642839,5802.047198900548,5775.103617745965,5730.618356526811,5669.520444182727,5592.8208558591805,5501.698148242413,5397.518580184942,5281.621920159008,5155.29747845191,5019.847898292176,4876.708481907759,4727.231695380068,4572.637109495442,4414.040023757089,4252.627536451345,4089.515229406571,3925.67645001742,3761.946216852051,3599.1185321684934,3437.9735146631547,3279.17273555577,3123.258742325931,2970.6659192223337,2821.8249840615063,2677.1092840674564,2536.8069620276074,2401.12565141453,2270.201039239019,2144.166700126183,2023.1140299286712,1907.0855477815844,1796.0788289270472,1690.0466675121006,1588.93282315438,1492.6719144510078,1401.1666378362002
