FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",18833.954458180327,18833.09330871296,18832.183682067967,18831.252168051204,18830.316544952344,18829.388689224237,18828.476259409472,18827.584369216776,18826.715991092013,18825.873063143004,18825.05654782613,18824.266725537662,18823.503714011167,18822.76725914623,18822.05681467345,18821.371850883756,18820.71184121948,18820.076078572223,18819.46381365731,18818.874342584906,18818.307005079954,18817.7611376883,18817.23600205452,18816.730893606582,18816.245137655613,18815.778089189964,18815.329132875177,18814.897656759425,18814.483027516388,18814.084640224577,18813.7019118086,18813.334281012332,18812.981208398938,18812.64217635086,18812.316688853247,18812.004252995568,18811.704370694257,18811.416562185208,18811.140366709205,18810.87534251198,18810.62106684414,18810.377135961233,18810.143165123696,18809.918788596897,18809.70366042633,18809.497463702683,18809.299822410037,18809.11035561592,18808.928706748593,18808.754543597053,18808.587558311054,18808.427467401096,18808.274011738413,18808.126956555,18807.986091443585,18807.851230357654,18807.72222747426,18807.599265157056,18807.481933561947,18807.36963811002,18807.26188403785,18807.15827639749,18807.058520056522,18806.962419697975,18806.869879820402,18806.78090473784,18806.695598579805,18806.61416529132,18806.536908632905,18806.464240678968,18806.397946604084,18806.337014476987,18806.278906700696,18806.221732374845,18806.164247295594,18806.10585395569,18806.046601544454,18805.987185947753,18805.92894974804,18805.873882224318,18805.824619352177,18805.784331746654,18805.74817642205,18805.712263584872,18805.677339538448,18805.643443977184,18805.610284734277,18805.57781649398,18805.54624079159,18805.516006013448,18805.487628288916,18805.46053069423,18805.434521161977,18805.409571395452,18805.38567179767,18805.362833793817,18805.341054966368,18805.320244317387,18805.300318196023,18805.281213853203,18805.262889441638,18805.245324015836,18805.228517532098,18805.212490848506,18805.197284794842,18805.18287767226,18805.16915458559,18805.1560209261,18805.14340594669,18805.131262761908,18805.119568347935,18805.108323542594,18805.097553045358,18805.08730541733,18805.077653081255,18805.068771187296,18805.060640713404,18805.052968666732,18805.045525661004,18805.038149585846,18805.03074560686,18805.023286165564,18805.015810979414,18805.008427041827,18805.001308622126,18804.9946972656,18804.98890179346,18804.98416004044,18804.97964630726,18804.97519324344,18804.97091175203,18804.966818457033,18804.96282515476,18804.9588862114,18804.95499880131,18804.951202907007,18804.947581319153,18804.9442579359,18804.941183369137,18804.938237857303,18804.935396316872,18804.932646248853,18804.929987738815,18804.927433456847,18804.925008657607,18804.92273460193,18804.92056506263,18804.918488557912,18804.91650143479,18804.914601484918,18804.91278794451
13003,"Atkinson County, Georgia",8384.979724532337,8384.263054085875,8383.50774360844,8382.737141238154,8381.966819666504,8381.207097225393,8380.464518391685,8379.743325018848,8379.04583323568,8378.373417510204,8377.726576852852,8377.105204120393,8376.509056829958,8375.937575494301,8375.389954910814,8374.86542880612,8374.363258906584,8373.882565316228,8373.422451254792,8372.982085030331,8372.560698528987,8372.157540986675,8371.77181042388,8371.402754758512,8371.0496642884,8370.711871479036,8370.388750963528,8370.079690015544,8369.784070020349,8369.501312965745,8369.230866910148,8368.972205947719,8368.724830208383,8368.488265857815,8368.262064679084,8368.04578214667,8367.838985137765,8367.641263572581,8367.45222503908,8367.27149479296,8367.09871575765,8366.933548524323,8366.775671351887,8366.624780166992,8366.480589007033,8366.342834066003,8366.211220082789,8366.08545299496,8365.96525715888,8365.850375349726,8365.74056876147,8365.635617006892,8365.535318117567,8365.439488543881,8365.347963155016,8365.260595238962,8365.177267050181,8365.098080986574,8365.022746705063,8364.950852210952,8364.882053140136,8364.8160727591,8364.75270196491,8364.691799285227,8364.633290878297,8364.577170532957,8364.523499668629,8364.472407335323,8364.424090213643,8364.378818078872,8364.337737550126,8364.300168400823,8364.264448688482,8364.229338889309,8364.19402189821,8364.158103028787,8364.121610013333,8364.084993002843,8364.04912456701,8364.015299694212,8363.985235791533,8363.960999674544,8363.93943608074,8363.918005993628,8363.89718689628,8363.87700488743,8363.857273903011,8363.837964909146,8363.819205902157,8363.801281908569,8363.784520994539,8363.768555435234,8363.753262283577,8363.738622759995,8363.724629931476,8363.711290201378,8363.698601443737,8363.686505498696,8363.67494889761,8363.663891472672,8363.653306356917,8363.643179984207,8363.633512089247,8363.624315707573,8363.615616541461,8363.607399450693,8363.599592298136,8363.592136563408,8363.584988423005,8363.578118750285,8363.57151311549,8363.565171785729,8363.559109724985,8363.553356594111,8363.547956750837,8363.543013550037,8363.538512253761,8363.53427860226,8363.530176159546,8363.526108433973,8363.522018878233,8363.517890889365,8363.513747808733,8363.509652922055,8363.505709459378,8363.502060595098,8363.498889447943,8363.496337217603,8363.493915134693,8363.49152367032,8363.489227083357,8363.48703521124,8363.484897402244,8363.482787478477,8363.48070387324,8363.47866963101,8363.476732407456,8363.474963487748,8363.473334257578,8363.471776060342,8363.470274816424,8363.468823483689,8363.467422057478,8363.466077570607,8363.464804093366,8363.463613467615,8363.462479828033,8363.461396735045,8363.460362111833,8363.459374675233,8363.458433935724
13005,"Bacon County, Georgia",11339.972579152856,11339.24080797735,11338.469413576842,11337.68212642361,11336.894782249417,11336.11788585253,11335.358114336961,11334.619810986494,11333.905365607472,11333.216212789903,11332.552897634843,11331.915348175378,11331.303352422276,11330.716373633668,11330.153622602405,11329.61434614218,11329.097816041342,11328.603157289665,11328.12947462487,11327.675936315904,11327.241772674002,11326.826229608798,11326.428498511443,11326.04781930099,11325.68347406177,11325.334786833319,11325.001123610353,11324.6818627742,11324.37637435341,11324.084068235617,11323.804381096626,11323.536776366536,11323.280744229765,11323.035801625023,11322.801491837641,11322.577361652984,11322.362966256369,11322.157884094004,11321.961712343204,11321.77406691239,11321.594582441116,11321.422912300037,11321.25872859093,11321.101722146685,11320.951603061894,11320.808105493445,11320.670923643229,11320.539751360115,11320.414302826699,11320.294312559308,11320.179535408002,11320.069746556575,11319.964741522545,11319.864336157178,11319.76836664545,11319.676689506085,11319.589193785805,11319.506021336523,11319.426857205664,11319.351244960324,11319.2788058563,11319.209238838066,11319.14232053881,11319.077905280385,11319.015925073354,11318.95638961697,11318.899386299174,11318.845080196592,11318.793714074556,11318.745614648002,11318.702110296503,11318.662425527435,11318.624659059811,11318.587395293009,11318.54970430677,11318.511141861203,11318.471749396791,11318.432054034374,11318.39306857517,11318.356291500757,11318.323706973077,11318.297700836449,11318.274650364998,11318.251640718418,11318.229226916714,11318.207444976728,11318.186086832406,11318.165124585317,11318.144710504666,11318.125177027274,11318.10690577458,11318.089478566426,11318.072758241658,11318.056727162018,11318.041381133382,11318.02673112825,11318.012778128295,11317.999458328572,11317.986713167309,11317.974499260356,11317.962788401175,11317.95156756084,11317.940838888038,11317.930619709083,11317.920941808214,11317.911790106471,11317.90308331547,11317.894755558329,11317.886757890476,11317.879058299672,11317.871641706002,11317.864509961884,11317.857681852052,11317.851193093577,11317.845096335845,11317.83951399072,11317.834431227968,11317.829645208756,11317.824997305412,11317.820375606256,11317.81571491559,11317.81099675371,11317.80624935689,11317.801547677402,11317.7970133835,11317.792814859426,11317.789167205405,11317.786236314956,11317.78345000453,11317.780692404252,11317.778039991836,11317.775504787733,11317.77302716371,11317.770576493756,11317.768151316764,11317.76577933654,11317.763517421803,11317.761450444228,11317.759544938413,11317.75771969738,11317.755958138585,11317.754252121167,11317.752601945896,11317.751016355209,11317.749512533192,11317.748104969945,11317.746762818024,11317.745478560264,11317.744249920526,11317.743075574965,11317.741955152016
13007,"Baker County, Georgia",3188.814931044361,3178.577899964256,3167.9004233039445,3157.174059580307,3146.655626746471,3136.509192909883,3126.8319008500334,3117.679128248836,3109.0722938274835,3101.015840478899,3093.499181821511,3086.501755094634,3080.0013671083466,3073.9713689462756,3068.3818597062673,3063.204923437458,3058.4144955744973,3053.9831600784046,3049.8842717663147,3046.0935927806486,3042.5892745091337,3039.350842338521,3036.357623401905,3033.5907496432023,3031.0329353408083,3028.6684723726266,3026.4832302160653,3024.4638020333878,3022.59709407257,3020.8714199515193,3019.2759381306014,3017.8006508185886,3016.4364039726543,3015.174887298375,3014.008614077167,3012.9300692882825,3011.932432710596,3011.0096369216767,3010.156008345428,3009.3662672520927,3008.6355277582516,3007.9592978268224,3007.3334792670594,3006.7543677345548,3006.218649483751,3005.72312068182,3005.2645543522985,3004.8399741593557,3004.446644624669,3004.082071127423,3003.743999904311,3003.430418049534,3003.1395535148004,3002.8698751093266,3002.620092499837,3002.3891562105637,3002.1763113599386,3001.981838322488,3001.803538907074,3001.6386338481043,3001.484825000222,3001.340295338304,3001.203708957466,3001.0742110730607,3000.951428020673,3000.835467256126,3000.72691735548,3000.6268480150297,3000.5368100513056,3000.4588463125788,3000.3959279056457,3000.3437930083082,3000.296076136876,3000.248030840621,3000.1965297017787,3000.1400643355487,3000.07874539009,3000.0143025465277,2999.950084518949,2999.8910590544037,2999.8438129329047,2999.8162823173334,2999.7970329423683,2999.776533205759,2999.7561316764018,2999.7360464801177,2999.7159525180614,2999.695874691127,2999.676187899951,2999.6576170449093,2999.6409743076233,2999.6254511753846,2999.6107874281797,2999.5969583201004,2999.5839625688277,2999.5718269428016,2999.5605655446157,2999.5500574081866,2999.540190864414,2999.530885533152,2999.522092323215,2999.5137934323784,2999.5060023473725,2999.4987638438893,2999.4921512463607,2999.4861058959127,2999.4804903821505,2999.4752194419593,2999.4702295818206,2999.4654790778113,2999.460947975602,2999.4566380904585,2999.4525730072432,2999.4487980804115,2999.445380434015,2999.4424126787417,2999.4398317262417,2999.4374701400184,2999.43519724286,2999.4329202528843,2999.4305842835465,2999.4281723436316,2999.425705337259,2999.4232420638805,2999.4208792182803,2999.418751390578,2999.417031066224,2999.415853095937,2999.414768406794,2999.413681468079,2999.41263989394,2999.411652826898,2999.410686830702,2999.409725008603,2999.4087670989616,2999.407829475254,2999.406945146062,2999.4061630719716,2999.4054631763893,2999.4047999547874,2999.404165503819,2999.4035557809975,2999.402970604689,2999.4024136541198,2999.4018924693723,2999.4014133890605,2999.4009621790588,2999.400535219766,2999.4001312384376,2999.3997493576708,2999.3993890954134
13009,"Baldwin County, Georgia",45558.0,45556.62090602579,45555.15017166368,45553.62022792489,45552.05308731072,45550.46418398282,45548.86441363833,45547.26215532941,45545.663572034144,45544.073854329814,45542.49716639387,45540.93690444268,45539.39619956334,45537.87764675195,45536.38339115361,45534.91538272122,45533.475352178386,45532.06466269119,45530.68444980977,45529.33567978175,45528.019146752915,45526.73546177551,45525.48501966716,45524.26807765105,45523.084784031096,45521.93517821343,45520.81919070637,45519.73667034895,45518.68733174313,45517.670785525166,45516.68660651771,45515.73433379816,45514.813470698704,45513.9234848063,45513.063809804444,45512.23387982194,45511.43298887716,45510.66039172608,45509.91535770966,45509.19717075368,45508.5051293689,45507.83854665096,45507.196750280345,45506.57908252255,45505.984902930315,45505.41363026092,45504.864460862605,45504.336545633785,45503.82908842169,45503.34134602251,45502.87262818135,45502.422297592224,45501.989769898035,45501.57451369066,45501.17605051083,45500.793954848225,45500.427895736444,45500.078388769885,45499.74438064123,45499.42432852752,45499.116947911476,45498.821212581526,45498.536354631804,45498.261864462096,45497.99749077794,45497.74324059052,45497.499379216744,45497.26643027919,45497.04517570617,45496.836678670785,45496.64572880907,45496.46966027928,45496.301692300614,45496.136768351105,45495.971556167606,45495.80444774578,45495.63555934015,45495.46673146404,45495.3015288896,45495.145240647806,45495.004880028464,45494.88888559979,45494.78431644915,45494.680782489224,45494.580267104015,45494.48286106497,45494.3877665081,45494.29484739521,45494.204629513944,45494.118300477836,45494.0372298687,45493.95985938927,45493.885662353925,45493.8145511224,45493.746488416546,45493.68149353079,45493.619549187824,45493.56040174877,45493.503817575605,45493.449619261744,45493.397685632044,45493.347951742835,45493.30040888187,45493.25510456838,45493.212140033014,45493.17144873058,45493.13271677231,45493.09568533669,45493.06015934219,45493.026007447166,45492.99316204985,45492.96161928843,45492.931439040985,45492.90274492551,45492.8757242999,45492.85083266224,45492.82801079329,45492.80648230091,45492.78563852545,45492.76504812665,45492.74445708374,45492.72378869537,45492.703143579645,45492.682799674105,45492.663212235755,45492.64501384104,45492.62901438586,45492.61583731,45492.60330758845,45492.59098163268,45492.57914661917,45492.56784388684,45492.556841440106,45492.546018285626,45492.535365053576,45492.524983997595,45492.51508899487,45492.50600110872,45492.49758957613,45492.4895410537,45492.48178917749,45492.47430011899,45492.46707258517,45492.46013781834,45492.45355959638,45492.44739146575,45492.44151296189,45492.435893317284,45492.430521988375,45492.425392184494,45492.420500868044
13011,"Banks County, Georgia",19229.953500626933,19229.0289245633,19228.051481053095,19227.04911735798,19226.040532494713,19225.03825408997,19224.050408984534,19223.08248222271,19222.137730962102,19221.218342955486,19220.325491284195,19219.45963759499,19218.621070860383,19217.809686487522,19217.02506954131,19216.266811922917,19215.53449768874,19214.82751445509,19214.14519717134,19213.4869163699,19212.852076202784,19212.240067806182,19211.65019813858,19211.081800193762,19210.534229739238,19210.00686511205,19209.49910721875,19209.01035537276,19208.539982038328,19208.08738193361,19207.651968242422,19207.233172591044,19206.83044504823,19206.44325412517,19206.07108665483,19205.713432453518,19205.36977121902,19205.039598102816,19204.722426550725,19204.417788302908,19204.12523339386,19203.844330152424,19203.574665201788,19203.315843459462,19203.06748891548,19202.82925397906,19202.600731410872,19202.38150907076,19202.171199330794,19201.96943907528,19201.775889700766,19201.590237116037,19201.41219174211,19201.24148851225,19201.077886871954,19200.92117077895,19200.771164372167,19200.628016749248,19200.491293411716,19200.360378057685,19200.234753517925,19200.114001755894,19199.997803867704,19199.885940082164,19199.77828976073,19199.674831397544,19199.575642619417,19199.480900185834,19199.390879988947,19199.305965676893,19199.227942308164,19199.155789083376,19199.086939054723,19199.019475309742,19198.952130971313,19198.884289197667,19198.815983182365,19198.747896154342,19198.681361377843,19198.61836215248,19198.56153181319,19198.51404106346,19198.47100513766,19198.428503217096,19198.387280373743,19198.34736331671,19198.30844180952,19198.270457957697,19198.233606208694,19198.198333351986,19198.16515587116,19198.133476279032,19198.10309018411,19198.07396064773,19198.04607023382,19198.019423348076,19197.99401039347,19197.969731815738,19197.946495860597,19197.924232348036,19197.902892672308,19197.882449801917,19197.86289827962,19197.844254222437,19197.826554399773,19197.809772774108,19197.793787142764,19197.77849574023,19197.763821614113,19197.74971262519,19197.736141447353,19197.723105567602,19197.71062728611,19197.698753716148,19197.687556784145,19197.677216703512,19197.667712558377,19197.658736215213,19197.650045990893,19197.641470508584,19197.632908697768,19197.62432979419,19197.615773339916,19197.607349183283,19197.59923747893,19197.591688687793,19197.585023577085,19197.57948883397,19197.57422068921,19197.56904315779,19197.564071217424,19197.559320986875,19197.554698643966,19197.550155119567,19197.545686347672,19197.54133326538,19197.537181812924,19197.53336114853,19197.529818572082,19197.526427460838,19197.523160623216,19197.52000415669,19197.51695744779,19197.514033172098,19197.51125729422,19197.508651605443,19197.506166843046,19197.503790371076,19197.5015178263,19197.499346393448,19197.49727480523
13013,"Barrow County, Georgia",81747.25564212562,81734.0867769495,81720.26771401796,81706.27026524831,81692.4078692875,81678.88539860003,81665.82912848644,81653.31652228296,81641.38459227189,81630.05017462667,81619.31175519612,81609.15529329561,81599.56422489199,81590.51586375415,81581.98288763159,81573.93955385208,81566.36151107016,81559.22209370439,81552.49495129591,81546.15590022877,81540.18289647196,81534.55493280943,81529.25044258797,81524.24955107196,81519.5338113501,81515.08619907545,81510.8911124655,81506.93355371013,81503.19882325712,81499.67358175326,81496.34528053472,81493.20216055123,81490.23325236625,81487.42837615692,81484.77812473298,81482.27318111502,81479.90498793301,81477.66571311069,81475.54793103886,81473.54462257533,81471.64917504496,81469.85538223975,81468.15744441858,81466.54996830749,81465.0279663396,81463.58672165952,81462.22158798746,81460.92816220714,81459.7023107889,81458.54016978935,81457.43814485159,81456.39291120511,81455.40141366588,81454.4608666363,81453.56875410516,81452.72282964768,81451.92120457972,81451.16388929063,81450.44756071517,81449.76793243381,81449.12135835396,81448.50483271001,81447.91599006337,81447.35310530233,81446.81509364222,81446.30151062529,81445.81255212081,81445.34905432505,81444.91249376115,81444.50502613271,81444.13475618266,81443.79545581069,81443.47387774842,81443.160089058,81442.84747113191,81442.53271969309,81442.21584479489,81441.9001708211,81441.5923364859,81441.30229483393,81441.04331324027,81440.83140649475,81440.64201964682,81440.45524816844,81440.27452162276,81440.09997084558,81439.93017513814,81439.76485517714,81439.60487301473,81439.45223207831,81439.30924964616,81439.17319110107,81439.04309774537,81438.91876994666,81438.80009720809,81438.68706916914,81438.57961818081,81438.4772717229,81438.37959391075,81438.28624835792,81438.19699817653,81438.11170597696,81438.03033386814,81437.95294345729,81437.87969089243,81437.81042696754,81437.74460259946,81437.68177493403,81437.62160659158,81437.5638656668,81437.5084257287,81437.4552658207,81437.40447046063,81437.35622964069,81437.31083882743,81437.2690123892,81437.23062900112,81437.19443872845,81437.15946034671,81437.12499635368,81437.09063296922,81437.0562401355,81437.02197151685,81436.98826449984,81436.95584019323,81436.92570342797,81436.8991427572,81436.8771497637,81436.85624867227,81436.83572667015,81436.81603639733,81436.79724036159,81436.77896726651,81436.76102221146,81436.74338767781,81436.72622352913,81436.70986701107,81436.69482570868,81436.68089016275,81436.6675608925,81436.65473055537,81436.64234368458,81436.63039668908,81436.61893785349,81436.60806733821,81436.59786912524,81436.58815037696,81436.57886105587,81436.56998339252,81436.56150567705,81436.55342225899
13015,"Bartow County, Georgia",107778.74485500672,107762.73863605803,107745.89763296195,107728.76324537226,107711.69621479254,107694.93455147566,107678.62784585053,107662.87135742434,107647.71504655134,107633.18651162334,107619.2927207454,107606.02640381319,107593.37714557888,107581.32721758804,107569.85325700187,107558.93304414513,107548.54526659535,107538.66549934009,107529.26913980416,107520.33339763235,107511.83726215213,107503.76037918996,107496.08138175389,107488.78031547995,107481.8384448131,107475.23824782883,107468.96341623327,107462.99809838142,107457.32647222982,107451.93387439294,107446.80638528409,107441.93082819492,107437.29476929556,107432.8865176344,107428.69511187509,107424.70970030938,107420.91991375576,107417.31605040419,107413.88886890464,107410.62958836697,107407.52988836096,107404.58190891633,107401.77825052271,107399.1119741297,107396.57660436806,107394.16602092769,107391.87377915454,107389.69362926247,107387.61970554019,107385.64652635118,107383.76899413373,107381.98239540092,107380.28240074063,107378.66506481556,107377.12682636312,107375.66450819558,107374.27547082867,107372.96028826002,107371.71363231687,107370.5284532259,107369.39878133504,107368.31972711337,107367.28748115119,107366.29931416002,107365.35357697259,107364.44970054277,107363.5881959457,107362.77065437769,107361.99974715633,107361.27929770503,107360.6243240381,107360.02412521292,107359.45501730886,107358.89926026641,107358.34505788711,107357.78655783358,107357.22385162953,107356.66297465964,107356.11590616991,107355.60056926716,107355.14083091942,107354.76548252135,107354.43036949266,107354.09975479686,107353.77988711625,107353.47101832103,107353.17057916382,107352.87807405982,107352.59508108678,107352.32525198498,107352.07280794738,107351.83278704368,107351.6034553508,107351.384456961,107351.17559611991,107350.97685723283,107350.78812090965,107350.60853412452,107350.4373095942,107350.27383971686,107350.11769657227,107349.96863192153,107349.82657720726,107349.69164355361,107349.56411261347,107349.4437082181,107349.32943927296,107349.22050983305,107349.1163128076,107349.01642996025,107348.92063190875,107348.82887812526,107348.7413169362,107348.65828552213,107348.58030991812,107348.50863060345,107348.44300278164,107348.38123680545,107348.32161316043,107348.26290819127,107348.20439410157,107348.14583895412,107348.08750667059,107348.03015703177,107347.9750456774,107347.92392410639,107347.87903967653,107347.84212302414,107347.80711230607,107347.77275817595,107347.73983418562,107347.70844733866,107347.67796367769,107347.64804974354,107347.618674259,107347.59010812883,107347.56292443966,107347.53798642676,107347.51493347865,107347.49291520285,107347.47175056014,107347.45134498159,107347.4316903684,107347.412865092,107347.39503399399,107347.37833509172,107347.36244575187,107347.34728118463,107347.33281025471,107347.31901184165,107347.30587483999
13017,"Ben Hill County, Georgia",17085.0,17083.854949200413,17082.636228030045,17081.372561337525,17080.08346376611,17078.782560249634,17077.479375101982,17076.18110488198,17074.892910333492,17073.619021182523,17072.362707948647,17071.126524121086,17069.9127683373,17068.72325041611,17067.55936989055,17066.422363609112,17065.31328752951,17064.23287513717,17063.18166641657,17062.160076878794,17061.168395781635,17060.206771778387,17059.275167141703,17058.373443112287,17057.50139143232,17056.65873436332,17055.84512468613,17055.060162078058,17054.303331514584,17053.57404624459,17052.871709869676,17052.19571639956,17051.54545025209,17050.920286253262,17050.31959102105,17049.74273614737,17049.188969844974,17048.657522092533,17048.147651068575,17047.658643151466,17047.189812919434,17046.740503150555,17046.310084822748,17045.897957113786,17045.503549960456,17045.12635192356,17044.7656198866,17044.420572450403,17044.090488772243,17043.77470856584,17043.47263210135,17043.18372020538,17042.90749426096,17042.643536207568,17042.39148854114,17042.15105431403,17041.922038048375,17041.705061892797,17041.49915114862,17041.302849226577,17041.114963196676,17040.9345637882,17040.760985389683,17040.593826048946,17040.432947473062,17040.278475028386,17040.130797740534,17039.990568294394,17039.85870303412,17039.73640132084,17039.627883244866,17039.53055319719,17039.438319113273,17039.346653434906,17039.252593110246,17039.15473959377,17039.053258846314,17038.94988133506,17038.847902033514,17038.752180421558,17038.66914048538,17038.606501211983,17038.552689225296,17038.498347704382,17038.445206568398,17038.393421464603,17038.342404646395,17038.292104241962,17038.24300425427,17038.19612456108,17038.152629025673,17038.111284596605,17038.07169522269,17038.03382044296,17037.99765812901,17037.963249886772,17037.93060915752,17037.89955571838,17037.869924164224,17037.841593878824,17037.814489034838,17037.788578593827,17037.763876306246,17037.74044071144,17037.71837260978,17037.69762221683,17037.677960495705,17037.65921035226,17037.641240808094,17037.623967000545,17037.607350182672,17037.591397723303,17037.576163106973,17037.561745933963,17037.54829192031,17037.536105672632,17037.525126415298,17037.514846847167,17037.504870578763,17037.494917954053,17037.484826050364,17037.47454867848,17037.464156382557,17037.453836440174,17037.443892862317,17037.434746393385,17037.426934511164,17037.42087304,17037.415141635014,17037.409450118463,17037.403980176405,17037.398762161534,17037.3936583631,17037.388598473182,17037.38357996736,17037.378668104742,17037.373995927937,17037.369761540056,17037.365886314663,17037.362182665176,17037.358614030316,17037.35516242743,17037.351828452516,17037.3486312802,17037.34560866377,17037.342792427753,17037.34011465303,17037.33755877184,17037.335119682546,17037.332794307647,17037.330581593746
13019,"Berrien County, Georgia",19609.952581762565,19608.701922756707,19607.37703048495,19606.01373673763,19604.636104745696,19603.260427893634,19601.897491911906,19600.55482051382,19599.237164056703,19597.947958332665,19596.689367922278,19595.462652882998,19594.268830707424,19593.108390458645,19591.98139672889,19590.887871558323,19589.827774479105,19588.800776168566,19587.806436656843,19586.844311479814,19585.91394921035,19585.0148416313,19584.146340236926,19583.30778926142,19582.498532036097,19581.717910795844,19580.965266679075,19580.239921112,19579.541131672668,19578.868153583986,19578.220255361895,19577.596718809964,19576.996839019354,19576.41992436884,19575.865296893997,19575.33228264681,19574.820154784644,19574.328193649544,19573.85570552677,19573.402022644772,19572.966503175187,19572.548531232856,19572.147516875804,19571.76289610526,19571.394132801848,19571.0407470588,19570.70210728439,19570.37755686572,19570.066485082993,19569.768327109534,19569.482564011752,19569.208722749176,19568.946376174423,19568.695143033212,19568.454687964386,19568.22472149988,19568.005033636033,19567.79610093504,19567.597136044744,19567.406956934723,19567.22459024637,19567.049271292886,19566.88044405928,19566.71776120235,19566.561084050707,19566.410482604773,19566.26623553677,19566.128830190708,19565.998962582424,19565.877554909606,19565.768341346517,19565.66922856693,19565.574975400654,19565.48168466959,19565.386803187765,19565.28912176131,19565.188775188486,19565.087242259644,19564.987345757254,19564.893252455902,19564.810473122285,19564.74562981384,19564.688698283695,19564.63161663406,19564.57593432659,19564.52176326805,19564.46853885642,19564.41619416066,19564.365159920733,19564.316364547594,19564.27087187641,19564.22753325847,19564.185976716704,19564.146160247063,19564.108078441564,19564.071767277263,19564.037235153355,19564.004311465193,19563.97283977334,19563.942705259622,19563.91383472706,19563.886196599917,19563.85980092369,19563.83469936509,19563.81098316674,19563.788612471653,19563.76736763894,19563.74707238165,19563.727596308712,19563.70885492489,19563.690809630818,19563.673467722998,19563.656882393778,19563.641152731365,19563.62642371983,19563.61302134418,19563.600901132064,19563.58952564059,19563.57847487112,19563.567452802206,19563.556287389638,19563.544930566404,19563.533458242702,19563.52207030596,19563.51109062081,19563.5009670291,19563.49227134988,19563.485445165206,19563.4789733329,19563.472548709036,19563.46637162945,19563.4604747839,19563.454704574575,19563.44898253056,19563.443305730427,19563.437746802232,19563.432453923553,19563.427647800185,19563.42324172092,19563.419026245458,19563.414959756392,19563.411021997163,19563.4072140721,19563.403558446375,19563.40009894605,19563.396872558733,19563.393801470662,19563.39086694379,19563.388063460337,19563.385387859977,19563.382839339876
