Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,554.4643252361049,615.2521753394561,679.309305037392,744.6404068798403,809.9111956888177,874.2366043952273,937.055416496365,998.005584903145,1056.891284751837,1113.598932881639,1168.090872802284,1220.3819746051427,1270.4989471786457,1318.4956350044736,1364.4469105303117,1408.4237667837015,1450.4941838431794,1490.7379677013678,1529.2359861625032,1566.062841247404,1601.286988764904,1634.9749188547655,1667.1973409553132,1698.0202004033604,1727.5054315415593,1755.7109770742497,1782.6907880674619,1808.4976309682536,1833.184617034524,1856.800991562697,1879.393684954478,1901.007316143665,1921.6841925961467,1941.4643103099008,1960.3853962259307,1978.4849542752854,1995.799164536188,2012.3621128245475,2028.2064190584933,2043.3632372583793,2057.862255546781,2071.7316961484967,2084.9983153905478,2097.687403702175,2109.8227558035437,2121.4264605075655,2132.52265510715,2143.135224412975,2153.286615588803,2162.997838151487,2172.288463970963,2181.1766272702534,2189.6790246254686,2197.8109149658035,2205.5861195735406,2213.0170220840478,2220.1138455700616,2226.871743120899,2233.3131297528744,2239.4686764544867,2245.364256233761,2251.0209441182465,2256.455017155018,2261.6779544106785,2266.696436971354,2271.5123479426993,2276.122772449891,2280.519997637634,2284.6915126701588,2288.6196387009823,2292.227654169783,2295.564207215008,2298.744455868472,2301.8545440529697,2304.951601582277,2308.063744161148,2311.1900733853167,2314.3006767414995,2317.3366276073907,2320.2099852516635,2322.8037948339756,2324.9770953398415,2326.947087047951,2328.8886848203265,2330.7698077199198,2332.5894235664955,2334.361073977626,2336.0874389252103,2337.760336735476,2339.360724088977,2340.866559730195,2342.303774161809,2343.6813849874525,2345.0011959636267,2346.264165721427,2347.470305847715,2348.6202104731565,2349.7183379375397,2350.7688040778544,2351.774787601655,2352.738530087065,2353.66133598277,2354.5435726080277,2355.3846701526586,2356.1831635230146,2356.940346796309,2357.6615552982244,2358.3512041229933,2359.012656007464,2359.6482213311037,2360.2591581159954,2360.8456720268396,2361.406916370955,2361.940992098276,2362.4449478013566,2362.911355496175,2363.3412437439733,2363.747550992423,2364.140438089976,2364.527128729897,2364.9119094502626,2365.2961296339618,2365.678201508698,2366.053600146986,2366.4148634661556,2366.751592228346,2367.0504500405123,2367.301186721993,2367.53987847756,2367.773915392705,2367.998558696577,2368.2131752831156,2368.421698105795,2368.626199977224,2368.826883181076,2369.0220794720826,2369.208250076037,2369.3800598481866,2369.5397265848533,2369.6925353438564,2369.839639813269,2369.9816415410237,2370.1185899349193,2370.249982262614,2370.3747636516314,2370.4920512231015,2370.6039075546773,2370.710875522601,2370.813154159189,2370.910877517432,2371.004114670994
B,43.487398057733714,48.304741983071146,53.646636849341874,59.54979956198988,66.03523739176707,73.106565871692,80.75201346276938,88.94649735658659,97.65518022293244,106.83639530959368,116.44378049901862,126.42827351748981,136.74083572497995,147.3325562287469,158.15500239657857,169.16263710138506,180.31297228088653,191.56524573490404,202.88108577032614,214.22557340519748,225.56726243287397,236.87747197851715,248.1292831262396,259.29860448803555,270.36383755914596,281.3058729984999,292.1080906287141,302.75544514882705,313.2345718561047,323.53443084644215,333.64529273364576,343.5587372029438,353.2676530109859,362.76623798584274,372.0499632413568,381.1144734889491,389.9575701899331,398.57830069293135,406.97612097513723,415.15089564231477,423.1028979287987,430.83280969749467,438.34172143987894,445.63113227599786,452.7029104396683,459.5582687223449,466.20107781608044,472.6362017331718,478.8682584324965,484.90161981951263,490.740411746259,496.3885140113549,501.8495603600006,507.12693848397635,512.2237900216436,517.1430105579444,521.8868018466736,526.4482157903855,530.8365377365819,535.0664445822854,539.150103636233,543.0971726188769,546.9147996623842,550.6076233106368,554.1777725192316,557.6248666554806,560.9460154984104,564.1358192387626,567.1863684789937,570.0869659089366,572.7803652058965,575.2938037188748,577.7042278134535,580.068983566579,582.4258167665643,584.7928729130862,587.168697217188,589.5322346012781,591.8428296991299,594.0402268558823,596.0445701280398,597.7598293795307,599.3347844863489,600.8881056950465,602.3959736860709,603.8577233001283,605.2835278563255,606.6753421019714,608.026902212578,609.3237257918588,610.549051296613,611.7223174400668,612.8501542600726,613.9337421415671,614.973624469376,615.9696333427939,616.922082666119,617.834228015085,618.7090730354422,619.5489226280458,620.3553829488568,621.1293614089412,621.8710666744711,622.5800086667233,623.2550246368958,623.8968902744546,624.5096982794897,625.0969416901969,625.6612658141514,626.2044682283091,626.7274987790048,627.2304595819539,627.7126050222512,628.172341754372,628.6072287021706,629.0108683780801,629.3838257510337,629.7370326691756,630.0790688593462,630.4160218075984,630.7514867591977,631.0865667186227,631.4198724495648,631.7475224749275,632.0631430768275,632.3578682965945,632.6203399347703,632.8418360327411,633.0530642856955,633.2602760812216,633.459345831021,633.649720233878,633.8348196759111,634.0164427708195,634.1947573150803,634.3683002879498,634.5339778514622,634.687129892175,634.82967492611,634.9662220934564,635.0977826433971,635.2248795602593,635.3475475635138,635.4653331077747,635.5772943827997,635.6826425749261,635.7831980882315,635.879436053192,635.9715271153513,636.0595843651831,636.1436633380919
C,1304.6219417320115,1447.632447688043,1598.2279443712416,1751.6330991255925,1904.6515921589225,2055.1622964360213,2201.8204182178692,2343.7602629803,2480.5160440529944,2611.821328499095,2737.593507354049,2857.877548249077,2972.748494146459,3082.3476996894196,3186.8680137599163,3286.4937819838556,3381.4027832411903,3471.80156180206,3557.899567182049,3639.891111031921,3717.9556218182356,3792.2675230754376,3863.011238682179,3930.3594668891114,3994.4745679410385,4055.50860877459,4113.603363018214,4168.897016900772,4221.528294793153,4271.626113793241,4319.312995664467,4364.705074814997,4407.912098297733,4449.037425810309,4488.178144049128,4525.430603568823,4560.887501829306,4594.635780194791,4626.758310847376,4657.333896787031,4686.437271831609,4714.139100616838,4740.505978596325,4765.60043204155,4789.480884977942,4812.202640863554,4833.824517213603,4854.403705255415,4873.993881020309,4892.645205343589,4910.404323864554,4927.314367026492,4943.414950076679,4958.742173066383,4973.328620850863,4987.203363089371,5000.390557725003,5012.885349906676,5024.7370767571,5036.010730894789,5046.761394839318,5057.03424101132,5066.864531732488,5076.277619225572,5085.288945614379,5093.904042923778,5102.118533079693,5109.918127909112,5117.278629140076,5124.165276426805,5130.442231310765,5136.2079441362575,5141.678502824967,5147.015863932218,5152.327852646972,5157.668162791833,5163.036356823036,5168.377865830461,5173.583989537626,5178.491896301679,5182.884623113418,5186.50035561314,5189.741325510875,5192.933221555285,5196.019580282799,5198.998398376424,5201.893290011076,5204.7090330248475,5207.431568919007,5210.028002857993,5212.460262215514,5214.7736534453325,5216.98416665028,5219.095271403816,5221.108975014285,5223.025640722437,5224.84656510178,5226.5796994830225,5228.232391066312,5229.810348060479,5231.317639683041,5232.756696160204,5234.128308726853,5235.431629626566,5236.664255533464,5237.828851584086,5238.934558608961,5239.988734895816,5240.997020860553,5241.963339047236,5242.889894128113,5243.777172903594,5244.623944302262,5245.427259380877,5246.182451324362,5246.87837810015,5247.5173623182445,5248.119342371868,5248.699991921027,5249.270486868229,5249.8375053584905,5250.403227779327,5250.965336760761,5251.5170171753225,5252.046956138037,5252.539343006447,5252.973869380589,5253.33490732699,5253.677458920821,5254.012903209999,5254.334281629102,5254.64067405366,5254.937873380281,5255.228947210806,5255.514222593916,5255.791286025145,5256.0549834468775,5256.297529309207,5256.522228174239,5256.736821778078,5256.942983949616,5257.141603468938,5257.33278406731,5257.515844427185,5257.689318182208,5257.851980771578,5258.00678149246,5258.1545128174885,5258.295479904361,5258.4298961285,5258.557883083041
D,6001.260931967252,6659.238087606863,7352.798718374163,8060.466010578444,8767.842548091088,9465.333181844708,10146.803448136523,10808.245480386187,11447.431773190938,12063.019616785385,12654.48743922545,13221.886795927958,13765.410932492581,14285.557878104568,14783.06386221327,15258.63983225446,15712.980372128572,16146.917667797388,16561.30665352281,16956.946097407832,17334.579742501257,17694.93782296635,18038.801217032018,18366.90692939805,18679.952085493944,18978.59411494176,19263.450751556113,19535.126770787447,19794.233715820217,20041.345380683048,20277.00890212065,20501.74478973741,20716.046925997336,20920.382566224078,21115.192770103557,21300.91512172492,21477.975838392547,21646.777341596247,21807.703732967053,21961.120794277238,22107.375987440304,22246.798454510983,22379.699017685263,22506.37017930031,22627.085968012445,22742.107202484724,22851.713399391545,22956.17685127515,23055.753455105732,23150.682712281447,23241.187728628396,23327.47521440063,23409.735484280176,23488.142457376984,23562.85365722899,23634.010211802062,23701.73002382064,23765.988861678918,23827.025487791096,23885.155459311605,23940.646532978655,23993.718665114182,24044.544011623886,24093.24692799721,24139.903969307354,24184.543890211262,24227.14764494962,24267.6483873469,24305.93147081128,24341.83110250924,24374.65564854227,24404.884612816968,24433.59997145331,24461.61268505092,24489.46269868902,24517.418941926506,24545.479328801874,24573.370757833254,24600.549112018427,24626.19925883478,24649.235050239346,24668.34588211431,24685.551983050365,24702.485963949548,24718.860410854068,24734.666706892123,24750.02724244956,24764.96748143002,24779.415961254963,24793.204292863666,24806.137354180126,24818.44834423708,24830.21962977838,24841.469173616875,24852.20737256494,24862.43613526281,24872.162273031052,24881.426805071897,24890.267629885384,24898.714222155064,24906.787632747946,24914.500488714544,24921.856993288857,24928.85292588837,24935.476052381302,24941.739674806053,24947.69124555689,24953.36935662841,24958.803575546688,24964.014445369292,24969.013484685256,24973.80318761509,24978.3770238108,24982.71943845585,24986.805852265203,24990.57631145154,24994.042057470477,24997.309793237848,25000.463390183086,25003.5626198773,25006.64315403333,25009.7165645057,25012.770323290657,25015.76780252616,25018.648274491843,25021.326911609085,25023.694786440952,25025.668117880978,25027.542020905046,25029.377393827068,25031.136495949268,25032.81435304011,25034.442423043263,25036.037353389438,25037.60089815718,25039.11991807287,25040.566380510736,25041.89795139844,25043.132513419107,25044.31215316079,25045.446010133892,25046.53891637121,25047.591396427968,25048.59966738176,25049.55563883261,25050.452550425085,25051.306560603218,25052.12198890653,25052.900478321277,25053.643166641712,25054.35068647009
E,804.5168640680736,892.7191924042264,985.6660564506997,1080.4596622753306,1175.1576519084697,1268.4664689939727,1359.560436125824,1447.9018335277142,1533.1939270505475,1615.2600401307254,1694.0347694380077,1769.5303605378201,1841.7783166968404,1910.8513279742017,1976.854232256988,2039.8882544054727,2100.0521757568617,2157.4631573708593,2212.2411976946914,2264.498335248244,2314.33879580438,2361.864626667321,2407.184462731036,2450.40068042478,2491.6099034783138,2530.9030277088855,2568.365221021225,2604.079631327688,2638.130102856241,2670.5950776940085,2701.5491694015645,2731.063167213087,2759.2040360363535,2786.034916452737,2811.615190656516,2836.0038261585537,2859.257951373913,2881.431271726254,2902.574968868209,2922.737700681374,2941.9656012763176,2960.302280992579,2977.788826398662,2994.4638002920415,3010.3632292204015,3025.5215735341108,3039.975417495607,3053.760205409137,3066.909240404252,3079.4536844358013,3091.422558283938,3102.842741554113,3113.7389726770793,3124.1338489088926,3134.0478263309074,3143.499219849778,3152.503306942224,3161.056637961889,3169.1900724301704,3176.944552163597,3184.354788308661,3191.449261341822,3198.2502210695006,3204.773686628083,3211.029446483921,3217.021058433328,3222.7458496025847,3228.1949164479356,3233.353124755585,3238.198660839009,3242.63877653599,3246.7360468955562,3250.633798556956,3254.4393978250114,3258.224250670122,3262.023802728263,3265.8375393009874,3269.628985355422,3273.325705524273,3276.81930410582,3279.9654250639205,3282.589939943416,3284.9613403830326,3287.296303151623,3289.5560691399037,3291.739486627802,3293.8630644244845,3295.930192332787,3297.9311411492117,3299.8430626639274,3301.6394865794623,3303.3518829463433,3304.9913038065647,3306.5600850126243,3308.0595368020827,3309.489819984351,3310.8517777063103,3312.150899829337,3313.3922562489283,3314.5797790979755,3315.7162627467633,3316.8033638029706,3317.841601111672,3318.8303557553345,3319.767923999217,3320.6559935880214,3321.5010102607803,3322.3082651520467,3323.081800865015,3323.824411471516,3324.5376425120235,3325.221790995647,3325.875905400139,3326.497785671886,3327.083983225921,3327.6259117098502,3328.12493404307,3328.5961548693294,3329.0514413216065,3329.4992395107233,3329.9445745253347,3330.3890504319425,3330.830850274884,3331.2647360763367,3331.6820488363205,3332.0707085326926,3332.415214121152,3332.703649026948,3332.97798347164,3333.246840440898,3333.5047628545376,3333.751027587231,3333.990175952497,3334.224605850891,3334.4545597948504,3334.6781249086944,3334.8912329286245,3335.0877457141123,3335.2702309917777,3335.4447802373666,3335.612722268879,3335.774753753651,3335.9309392083424,3336.080710998944,3336.2228693407774,3336.356410657705,3336.4837001045494,3336.6053639643615,3336.721635113756,3336.8326720400833,3336.9385588414175
F,532.720626207238,591.2094650627495,653.2963519463597,717.3903300730893,782.4168879402903,847.6404279398139,912.564875263025,976.8349862156366,1040.215986753415,1102.529980398784,1163.6547694376716,1223.5082651945677,1282.020128607913,1339.1443977185831,1394.854901190623,1449.1292069605818,1501.9495389741776,1553.3121432420512,1603.2195924329517,1651.6764595220668,1698.6894310271578,1744.2691505336343,1788.4333669163389,1831.2015237966316,1872.5942956645624,1912.6335945447088,1951.3425699961692,1988.745956422242,2024.87194057809,2059.7498455707614,2093.4089915064806,2125.8786950372505,2157.188269360852,2187.3670242208445,2216.4442367164224,2244.449061605649,2271.413528320594,2297.3698166265685,2322.349181117135,2346.381951214111,2369.4975311675644,2391.7244000558208,2413.090111785456,2433.621295091297,2453.3435812485313,2472.280621479064,2490.4619372622346,2507.917940884725,2524.677242925601,2540.766652256316,2556.211176040705,2571.034019734992,2585.256587087787,2598.89848014008,2611.977499225253,2624.5096429690702,2636.5078559073677,2647.959352419693,2658.898328793147,2669.3735933775924,2679.426069828636,2689.088797107631,2698.3869294816645,2707.3377365235733,2715.950603111935,2724.2270294310692,2732.1606309710387,2739.7371385276465,2746.9343982024407,2753.7216842368803,2759.9566946285827,2765.721004359072,2771.2194248077044,2776.6049292489415,2781.9786528523478,2787.3898926826,2792.8361076994765,2798.262918757864,2803.5641086077535,2808.5816218942446,2813.1055651575452,2816.883186272914,2820.3038059995874,2823.680159332285,2826.9533638355365,2830.121280179939,2833.2083992942826,2836.219335903196,2839.1388285271387,2841.9317394824075,2844.557449098753,2847.0631422134093,2849.4650387898173,2851.7661699777664,2853.9680373935794,2856.0704275342273,2858.074209503631,2859.9873198051514,2861.81708024683,2863.569112936387,2865.2473402812197,2866.8539849884073,2868.3895700647067,2869.8529188165558,2871.241230582865,2872.5567296770037,2873.8090452079655,2875.006143064754,2876.154069166282,2877.2569494613845,2878.316989928806,2879.334476577209,2880.307775445172,2881.2333326011862,2882.1056741436587,2882.9112715050724,2883.6520314722584,2884.3513762462876,2885.027689952829,2885.694030943712,2886.358131796928,2887.0223993166255,2887.6839145331214,2888.3344327028844,2888.960383308552,2889.5428700589196,2890.057670888943,2890.4861550391474,2890.893670750254,2891.2936013444464,2891.6773958855188,2892.0438786505824,2892.4000747171435,2892.7496748741705,2893.093016975002,2893.427085937342,2893.7455137432644,2894.0387126328424,2894.3106544747016,2894.570788536929,2894.8211487665026,2895.0627909196282,2895.295792561745,2895.5192530675263,2895.7312936208746,2895.930340738506,2896.120041661748,2896.301350159466,2896.474611759711,2896.6400580838917,2896.797806846773
G,54.35924757216714,60.34984387928192,66.82830565339644,73.71962015827194,80.9715496085046,88.54323475641371,96.40027954619156,104.5099104999918,112.8415263569484,121.36436396385493,130.04848285354274,138.86482861124338,147.78489502714964,156.78153259020422,165.82886369028955,174.90252989402887,183.97982749364922,193.03963479010775,202.06229275211786,211.0298928322524,219.92629509602577,228.73691066871328,237.4484004607292,246.04888287203497,254.5277781816128,262.87580729306234,271.0849917345998,279.14825091158036,287.0595301637637,294.8139836335855,302.40745775753686,309.8364905839091,317.09831177279324,324.1908425960804,331.11267672810794,337.86252336223794,344.44032795858146,350.8467000721496,357.0824475488989,363.1485765257308,369.0462914304915,374.77699498197296,380.34228818991176,385.74397035498913,390.9840113524768,396.0638403296858,400.98670072982657,405.7564895287125,410.37688677473835,414.85135558887924,419.18314216469224,423.37527576831474,427.430568738466,431.35161648644555,435.14079749613444,438.800273323995,442.3316356605816,445.7292045562156,448.99998746297666,452.1552329104783,455.2042199543516,458.1542581762448,461.0106876838243,463.77687911077345,466.4542336167934,469.0421828876028,471.53818913493774,473.93774509655185,476.234374036216,478.41940842855007,480.4471024450389,482.33861411806976,484.1546211166328,485.940279127165,487.7252218535496,489.5235610171165,491.3338863566417,493.13926562834814,494.907244605905,496.589847080428,498.1235748604793,499.43212460900463,500.6333093232713,501.82098160054807,502.9759182936168,504.0974487373207,505.19358464408117,506.26574188794035,507.30874050456094,508.31080469122656,509.2583310834295,510.1667798129961,511.0413285274927,511.8827814570393,512.6914331918813,513.4670092966468,514.2096333051461,514.9218046936537,515.6058243272331,516.2634350008557,516.895821439399,517.5036102976474,518.0868701602922,518.6451115419313,519.1773066491055,519.6839584613423,520.16830197214,520.6331130526477,521.0804757096785,521.5117820857081,521.9277324588758,522.3283352429833,522.7129069874958,523.0800723775416,523.427764233912,523.7505480697586,524.048740249452,524.3314293311919,524.6057382879422,524.8767055213573,525.1472848617823,525.4183455682537,525.6886723284981,525.9549652589336,526.2118399046691,526.4518272395037,526.6653736659276,526.8451413294654,527.0168483036376,527.1856898038739,527.3481309747814,527.5036775863075,527.6552180686447,527.8042592381731,527.9509185965319,528.0939243306199,528.230615312595,528.3569959989071,528.4746720356316,528.5875583079393,528.6965078079676,528.8019515018796,528.903898329864,529.0019352061353,529.0952270189331,529.1830721777328,529.2670308501412,529.3474986957627,529.4246077886334,529.4984405082944,529.5690295397949
H,97.84664562990085,108.61402747016096,120.17474161673354,132.33199693029565,144.95033254123518,157.93032379013417,171.1961833942648,184.68350398052365,198.3386105865915,212.11161966070165,225.95756672518067,239.83547791208855,253.70612956872878,267.53384309835224,281.28606239734484,294.93261322875475,308.44592024635233,321.8014790632465,334.97719241525544,347.95341029648483,360.7129570729656,373.2409399089575,385.5245630868252,397.55302508725345,409.31722617838415,420.8097669478586,432.0249483028166,442.958231612224,453.60658903592565,463.9685772614391,474.0435107026649,483.83146049549646,493.3332544978205,502.5504772895166,511.4854425704742,520.1404718513868,528.5196485843121,536.6278147276795,544.4698643227839,552.050743493786,559.3754504477115,566.4490354744524,573.2766009467659,579.8633013202743,586.2143066883228,592.3340189246526,598.2294556738584,603.9083723643507,609.3780429895073,614.6452601076705,619.7163348421496,624.5970968812197,629.292894478122,633.8085944510636,638.1485821832181,642.316761622725,646.3160855332303,650.1399344338065,653.7991758094637,657.3102520272317,660.6867881055498,663.9395917142664,667.0766531746385,670.1031454593339,673.0214241924289,675.831027649409,678.5286767571694,681.1082750940147,683.5609088896583,685.8745865509517,687.9948129691182,689.9508354503195,691.8186041834541,693.6547071575874,695.4963701619513,697.3614567859428,699.2484684191257,701.1365442512302,702.9854612721515,704.7356342719523,706.3081158408606,707.6079575244377,708.7805577902218,709.9425846155922,711.0715789659936,712.1664317432476,713.2360607866826,714.281924792055,715.2980233115476,716.2708967537718,717.1850380854149,718.0579640656209,718.8955606613949,719.698766904345,720.4679584395592,721.2028773485547,721.9036801441434,722.573190846168,723.2140108973333,723.8281105028345,724.4168286303571,724.9808730100773,725.5203201346606,726.034615259264,726.5226009044644,726.9850148098795,727.4253769153717,727.846586180544,728.2508260281778,728.6395643442305,729.0135534778361,729.3728302413072,729.7167159101315,730.0438162229749,730.3520213816802,730.6362354765726,730.8971410868007,731.1434253926784,731.3818989547096,731.6173888222486,731.852738533498,732.0888081155123,732.3244740841935,732.5566294442942,732.7801836894168,732.9880628020128,733.1712092533836,733.3226502936792,733.4667120834822,733.6083614721822,733.7443997538276,733.8743677416792,734.0008519783108,734.1252028722665,734.2475277761832,734.3666909867903,734.4803137449097,734.5848236772202,734.6816820077579,734.7743806341277,734.8636600165239,734.9498995393868,735.0331175114053,735.1129711655143,735.1887566588971,735.2598836094736,735.3276923390873,735.3925278188465,735.4545106246209,735.5137197009542,735.5701923610654
I,347.8991844618697,386.0908795195769,426.60496741072416,468.38312724548246,510.71140092872116,553.1025513831835,595.2298420624387,636.8612795693124,677.845681301567,718.0701286325605,757.4589539915436,795.9631969472437,833.5414725157772,870.1683888062458,905.8315064697122,940.5204321638384,974.2274275686597,1006.9538418913264,1038.704929560241,1069.4869048651285,1099.3070189608197,1128.174893476651,1156.1047300389105,1183.111585168662,1209.2111447279003,1234.4197290063064,1258.7542927212462,1282.2327487909351,1304.8751896335261,1326.702276839273,1347.734588623684,1367.9926196752488,1387.4967811554402,1406.2674006987145,1424.3247021418852,1441.688724441181,1458.3813847097854,1474.4246516078776,1489.8398095525927,1504.6474587180176,1518.8675150351944,1532.5192101921182,1545.6210916337395,1558.1910225619595,1570.2461249945222,1581.8018951731524,1592.8781997658098,1603.4956415365073,1613.6734961818236,1623.429712330903,1632.780911545458,1641.7423883197653,1650.328110080669,1658.5507171875788,1666.4215229324718,1673.9505135398904,1681.145441242556,1687.9955321650637,1694.5243514601043,1700.766068551488,1706.7491109960833,1712.4961644838163,1718.0241728376718,1723.3443380136914,1728.4621201009763,1733.3772373216846,1738.0836660310338,1742.5696407172977,1746.8176540018094,1750.8039889290214,1754.430038722978,1757.7539985207866,1760.9181521008504,1764.0285861666064,1767.1551903465224,1770.3316571940995,1773.555482187871,1776.7879637314018,1779.9542031532897,1782.9431047071646,1785.6073755716893,1787.7697809624183,1789.7005482067832,1791.6173078151921,1793.4794406205383,1795.2846467318413,1797.0486513581657,1798.773898871212,1800.449552805314,1802.0514958574413,1803.551981271659,1804.982192463675,1806.3526049700529,1807.6648820673797,1808.9196907876417,1810.1165743722422,1811.2557879678855,1812.3423325300132,1813.3808135315116,1814.3747099970994,1815.3263745033255,1816.2370331785712,1817.106785703049,1817.934605308802,1818.7183940140317,1819.4595530302329,1820.1642319437442,1820.8374007634561,1821.4828007208055,1822.102944269775,1822.6991150868928,1823.2713680712336,1823.8185293444176,1824.3381962506114,1824.8267373565266,1825.27570035947,1825.6864546532906,1826.073457354637,1826.4480394944844,1826.8182324400586,1827.188767894839,1827.561077898556,1827.9332948271926,1828.3002513929837,1828.653480644416,1828.981215966228,1829.268391079411,1829.5033947973855,1829.7265992102148,1829.946267398171,1830.1571587023054,1830.3585027438392,1830.554497850578,1830.7473308933752,1830.9371660019224,1831.12214456475,1831.298385229229,1831.4600645380965,1831.6095635421143,1831.7525508576077,1831.8902111881134,1832.0231503904974,1832.151395474954,1832.2743946050077,1832.3910170975128,1832.5003141306415,1832.6044316060695,1832.7039197966099,1832.7989698482484,1832.8897067880705,1832.9761895242661
J,43.487398057733714,48.30865812549629,53.67547807849546,59.63939114716481,66.23071685072979,73.4581724829415,81.31188283393148,89.76646004300413,98.78505897395779,108.32309291479895,118.33056839439962,128.75437794612722,139.541501700936,150.63899873036152,161.99440811560805,173.55850073832806,185.2854301496047,197.1311870056429,209.05438114854292,221.0174013777905,232.98643397993587,244.93065887655686,256.82113812551955,268.6320116589312,280.3400971538672,291.9248857475923,303.36854203755996,314.6548957838574,325.76958535715966,336.7007598578077,347.43794677182274,357.97205036530806,368.2953516844487,378.40150855551065,388.2855169506074,397.9425444312593,407.3701119435037,416.567067240072,425.53267168587337,434.2666002579946,442.7689415457002,451.0401977504321,459.08128468581066,466.8935317776321,474.4786360624463,481.8374902578553,488.9740930548072,495.89358189744644,502.60078186771585,509.10020568535657,515.3960537079087,521.4922139307098,527.3922619868969,533.0994611474047,538.6167623209672,543.9468040541158,549.0913469077645,554.0405523152237,558.8049932992603,563.4020650777677,567.8460228809084,572.1479819511147,576.3159175430885,580.3546649238012,584.2659193724937,588.0482361806767,591.6970306521299,595.2045781029033,598.5600138613154,601.7489827487466,604.6985289563904,607.4421226916809,610.0758587554478,612.6711672730909,615.2748136945803,617.9088987944568,620.5708586718321,623.2334647503877,625.8448237783762,628.3283778286203,630.5829042985137,632.4868315444857,634.2269793585236,635.9522497252019,637.6320567180268,639.2650460140119,640.8635543140858,642.4295616248043,643.9546912583482,645.4202098325251,646.8045241914325,648.131751772789,649.4098581282232,650.6399429869517,651.8223147809963,652.956396559247,654.0422365924265,655.083622418754,656.0840357548985,657.0460866070947,657.9715132711417,658.8611823324036,659.7150886658089,660.5323554358501,661.3112661307736,662.0525407100054,662.7611469266682,663.4413186811098,664.0962172569156,664.7279313209074,665.337476923144,665.9247974969215,666.4887638587729,667.0271742084682,667.5367541290142,668.0090709658276,668.4446124861939,668.8573491262233,669.2582205325891,669.6549529695677,670.0520593190363,670.4508390804757,670.8493783709677,671.2425499251958,671.622013095447,671.9762138516091,672.2903847811725,672.5531748492986,672.8042003269704,673.0514463527255,673.2894514904951,673.5174268820276,673.7397813409415,673.9588032705134,674.1746488347754,674.3853419585164,674.5867743272797,674.7727897059631,674.9458351313043,675.1119025477163,675.2722824236525,675.4276190162677,675.5779103714164,675.7225083236546,675.8601184962389,675.9896518620982,676.1134870047634,676.2322181444425,676.3460359960852,676.4550556244226,676.5593164439684
