EpiState,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
S,1.0664440449271444e7,1.066315495185405e7,1.0661802913068803e7,1.0660427667771945e7,1.065905803910973e7,1.0657713005698713e7,1.0656404467470758e7,1.0655139981875334e7,1.0653923494628072e7,1.0652757172168331e7,1.0651641542602105e7,1.0650576006365169e7,1.0649559717315856e7,1.0648591252103679e7,1.064766874322459e7,1.0646790416514907e7,1.0645954572483612e7,1.0645159265981602e7,1.0644402538032835e7,1.064368257541404e7,1.0642997708167896e7,1.0642346320131572e7,1.0641726711739378e7,1.064113729486706e7,1.0640576580086248e7,1.0640043176260063e7,1.0639535790543152e7,1.063905316703397e7,1.063859404565906e7,1.063815725708621e7,1.0637741692955023e7,1.0637346305805054e7,1.0636970109075874e7,1.063661217710699e7,1.0636271644064946e7,1.0635947649921931e7,1.0635639363830965e7,1.063534600831194e7,1.0635066844366983e7,1.0634801171480421e7,1.0634548327618835e7,1.0634307689231003e7,1.0634078671247957e7,1.063386072708293e7,1.0633653347183548e7,1.0633455988809885e7,1.0633268139800329e7,1.06330893395479e7,1.0632919150322665e7,1.0632263911215477e7,1.063160393125681e7,1.063091134970199e7,1.0630167810648244e7,1.0629358111092899e7,1.06284703325279e7,1.0627492597365355e7,1.0626412604937559e7,1.0625218848145133e7,1.0623898395515988e7,1.0622436847783042e7,1.062081898108728e7,1.0619028135601502e7,1.0617045562710641e7,1.061485041356308e7,1.061241975657676e7,1.0609728736371137e7,1.060674963820088e7,1.0603451455944197e7,1.059979989116249e7,1.0595757348232754e7,1.0591282094780678e7,1.0586328873167325e7,1.0580847436826818e7,1.0574781495248437e7,1.0568068713976586e7,1.056064071461084e7,1.0552422963211877e7,1.0543332216166656e7,1.053327980085576e7,1.0522167413815795e7,1.05098851833311e7,1.049631166943375e7,1.0481313863903563e7,1.0464747016948575e7,1.0446451250758143e7,1.0426260988133095e7,1.0403994570433447e7,1.0379449685892377e7,1.0352403369616242e7,1.032261200358456e7,1.0289811140757551e7,1.0253722095717315e7,1.0214065654162766e7,1.0170537791991707e7,1.0122805216545068e7,1.0070505366606928e7,1.001324641240451e7,9.950621428227589e6,9.882254908076748e6,9.807760733362734e6,9.726730235027403e6,9.638732281369263e6,9.543313278043455e6,9.440045213261882e6,9.32859819123e6,9.20865879882087e6,9.07992801729582e6,8.942121223460559e6,8.794989676337993e6,8.638474473639961e6,8.47262612513368e6,8.297557952157623e6,8.113448634583287e6,7.920569376304669e6,7.719453004589017e6,7.510773339835245e6,7.29527624256678e6,7.073781059818274e6,6.847252692549545e6,6.616870979699353e6,6.383841717827467e6,6.149370666888871e6,5.914683090445871e6,5.681109952808088e6,5.449941263934484e6,5.222357978781908e6,4.999443250396583e6,4.782251403371589e6,4.5717176145618195e6,4.368607562575668e6,4.1735305116355526e6,3.9870030150343697e6,3.809399963164943e6,3.640944668113383e6,3.481724550056977e6,3.331743283527988e6,3.190902950014395e6,3.0590185651489673e6,2.9358288404418044e6,2.8210269618668845e6,2.7142588774032197e6,2.6151486077272487e6,2.52330053877006e6,2.4383094658478326e6,2.3597511447839453e6,2.287213755156183e6,2.220305539357088e6,2.158652362898884e6,2.1018760901094535e6,2.0496178757727866e6,2.001544244288094e6
E,14460.58420774065,12401.047011770384,10854.982962933002,9670.775519408686,8743.175332637771,7998.604328806435,7386.444996981769,6870.400988172618,6426.188403844926,6035.723302544634,5686.6649768653315,5370.778467057546,5081.114095029363,4813.042267840761,4563.813612181136,4330.810993255268,4111.598126873063,3904.9253728455105,3709.9756946883485,3525.808198139331,3351.363251990087,3185.730352858421,3028.594261138096,2879.583587351879,2738.264070927748,2604.139677926218,2476.652601040356,2355.3492943945057,2240.0519827285734,2130.529802109969,2026.5288012238736,1927.7721029361733,1833.9599042934703,1744.76947652308,1659.8566971791743,1578.9792737773744,1502.0351337550096,1428.905209682985,1359.4513161697942,1293.5161498615198,1230.9232894418326,1171.4771956319914,1114.963211190841,1061.1475609148224,1009.7826768161776,960.8605320488683,914.355720452377,870.1416130950288,828.0963858200456,1224.7632916377488,1537.8756125693533,1811.326557751308,2069.574097772099,2329.7916654328315,2601.500644311404,2892.662642782821,3210.467838124903,3558.798764975973,3942.2693784155745,4366.177063648772,4835.055857174882,5353.518119389111,5927.093951979632,6562.23256108945,7265.909201402745,8044.928476535289,8907.08333169774,9861.261984650997,10917.446410438146,12086.715168636818,13381.449855811266,14814.064818407649,16398.262673025245,18149.810898747513,20086.541837142126,22228.35269226095,24597.2976191,27218.343908442414,30113.651116626683,33308.003063710705,36830.8697120974,40716.40716653409,45003.45767411368,49735.75231500245,54961.87003191807,60715.526873822564,67034.66027128487,73968.37810810638,81576.95872132118,89931.85090119585,99115.88233678757,109203.01732329148,120226.08429897287,132231.47781546917,145288.4129935871,159488.92552330357,174947.87166376316,191778.56252818648,209992.17069667706,229591.86922650773,250615.55552021472,273135.8463658964,297260.077937212,323053.8638795537,350398.2212634937,379183.13233569235,409341.97775521915,440851.53541808215,473699.14265202166,507620.20418436074,542268.307156252,577357.9464430525,612663.3193390205,647970.6065239612,682775.2503766936,716527.7646875862,748784.009422115,779203.2892789424,807386.6705135686,832722.4493670198,854730.7624879174,873099.8128433651,887624.5704501203,897942.3816103787,903796.5467861916,905132.881408165,902059.8097512552,894601.9714319757,882864.4890030985,867119.449355689,847766.6989440151,825132.3346597718,799586.594540022,771582.2080989443,741618.5358905848,710112.7832166951,677482.1593778322,644144.634368979,610500.0555940014,576881.0132195615,543597.0864232776,510911.013213272,479035.26596196543,448135.93610265997,418388.9198024134,389919.82963415433,362789.2320931495,337002.3244108769,312603.80520297895,289614.7988548186,268016.46175668907
Ia,9467.298180652413,10199.400814077868,10527.424184935935,10584.005576652995,10460.608544038618,10220.5873200104,9906.92671152894,9549.932433064705,9169.276555051889,8779.180466251248,8388.816535911239,8003.765421980658,7628.53685780694,7265.640547054574,6915.9759037764825,6580.394876147385,6259.657361776131,5953.526874442004,5661.444219419349,5383.021617787306,5118.037831983685,4866.194644429057,4626.716927608905,4398.93383609533,4182.277683532766,3976.282926500249,3780.5861645114355,3594.7707660481124,3418.2197483513246,3250.4082353935582,3090.864410828283,2939.1693596316845,2794.9570681026644,2657.9144238628446,2527.779445568938,2404.219715976782,2286.820779905618,2175.212874322873,2069.0628730383255,1968.074286704095,1871.987262814651,1780.5785857068086,1693.6616765597312,1611.086593394933,1532.7353512058353,1458.2985644813923,1387.4977231017783,1320.15756446765,1256.1129403694536,1233.0727074608403,1271.2994392516375,1350.6726911676149,1461.1026410172517,1596.4243610223766,1754.6059849252194,1934.7088821564794,2136.5113224914403,2361.8266904654365,2612.5141320592666,2890.5290268817093,3198.6955766765013,3540.350845990205,3919.0048447227073,4338.343966845008,4802.501156772645,5316.490030670358,5885.746898331284,6516.218889136953,7214.365372332048,7987.157750661395,8842.246404208254,9788.648694470907,10836.399620271555,11996.389695273623,13280.364947981763,14700.92692174183,16271.50658379432,18006.734426890256,19925.355494276148,22047.82928657652,24395.544241021467,26990.817731446285,29856.896068292255,33017.86360130956,36499.584405931964,40340.527413789176,44581.58124574974,49262.56560567771,54422.231280432716,60098.26013986994,66327.09417699644,73154.41784437119,80654.10925721319,88896.58619926577,97943.20726642008,107846.27186671598,118649.02022034,130395.78888386604,143184.93223568232,157117.4812466847,172267.29760469604,188680.99693492337,206377.94879995767,225383.440358035,245802.69050341522,267711.2269197085,291127.0844166054,316010.8051623411,342280.391353913,369940.97534267424,398994.84515807044,429353.5106658139,460837.35968830594,493201.7661198198,526304.5763338292,559977.1388766355,593943.6349919424,627822.1776617774,661230.8657242386,693899.5167838775,725485.8813273718,755561.0306143258,783654.3055913707,809455.4212797944,832663.7412373857,852934.6373473192,869908.2188742389,883396.5480168244,893275.2454382692,899414.2432668891,901703.2475987399,900192.2305379476,894990.8949463624,886218.2231544288,874023.5927122319,858664.5264185425,840423.5329348895,819587.9112992911,796460.5575178545,771379.0548855747,744668.805884011,716653.7513989703,687658.8025000195,658000.0155727643,627925.2645117799,597675.9377587788,567501.3455785435,537649.9901758722,508283.8967806333,479542.01559496415,451561.19878912385
Is,3850.5877175700566,4148.522485330654,4282.37639929575,4306.001723538559,4256.52300152908,4159.649556619156,4032.8211778795694,3888.3334659567136,3734.1673701058107,3576.0945365234093,3417.839261415384,3261.669605580114,3109.4205589353564,2962.1160566422927,2820.127028476367,2683.8052647458862,2553.465146452764,2429.0164992564755,2310.238024451601,2196.97749002378,2089.1497287207985,1986.637932635137,1889.131397673769,1796.3612455297548,1708.1001037073233,1624.1616940258289,1544.4008326197527,1468.650607633784,1396.662244029303,1328.2238149368893,1263.144883312789,1201.256438207929,1142.410894767918,1086.482094233047,1033.3645951991512,982.9243594713327,934.9929889108131,889.4200205369345,846.070012590829,804.8225445354153,765.5722170554008,728.2286520572786,692.7164926693328,658.9754032416353,626.9581339639769,596.538149919978,567.601573826715,540.0771452507682,513.8977081279885,504.49849282935156,520.174418637985,552.6911297360467,597.9199927974983,653.3386745844957,718.1164560704449,791.8699718507555,874.5092129761795,966.7771621350325,1069.4355189415242,1183.2853886094858,1309.4835354687655,1449.3967216935234,1604.4625566838856,1776.1909032148387,1966.2743907359904,2176.7664156039646,2409.893645956888,2668.091801802128,2954.0062351197957,3270.4918402924072,3620.6809114845896,4008.267196198533,4437.361555143408,4912.424357570969,5438.26548127558,6020.044312594174,6663.258933970352,7373.897185568124,8159.639554152829,9028.867934692651,9990.340895587438,11053.19367866853,12226.938199199109,13521.425541316661,14947.232360236154,16520.122019926148,18256.844914437428,20173.699818598165,22286.53388801396,24610.7426590678,27161.199651104514,29956.57276977944,33027.12519430356,36401.67752158209,40105.30199386655,44159.322498755006,48581.31456919138,53389.28773511228,58623.461129301875,64325.12745625698,70524.37637356568,77240.06297884365,84479.80780973406,92253.65025776619,100604.4684006688,109562.90306340187,119135.94863262745,129306.95315328322,140041.77439575622,151342.07513172302,163208.3278138651,175603.7694990089,188454.26684912934,201659.04835489066,215159.46932396828,228886.08625793265,242725.65189862417,256521.57169109196,270117.4107506556,283402.70156026585,296237.6638520173,308447.2487399795,319839.54854345263,330288.5438109387,339672.3668619789,347851.35542514775,354679.7994492658,360082.4270500848,364010.0084643154,366411.0558088208,367242.2122423246,366525.4675052424,364307.063632104,360636.96326440055,355577.43913321604,349234.5579975572,341724.3419881903,333164.6572356329,323679.59307929996,313406.9849483226,302479.4597302269,291028.99382909754,279187.9017335151,267084.6413696906,254819.64274852583,242490.69340927893,230198.81881732354,218044.70778613866,206093.6698887373,194401.6371218664,183023.71468919262
R,20613.026679365787,22872.65859748203,25252.477987539194,27677.250487928246,30096.57430188113,32476.94869373188,34797.076187354636,37043.19110065603,39207.82093696776,41286.6370461406,43278.21390435201,45183.147020861354,47002.522048672836,48738.48405995706,50394.004642300315,51971.93673803597,53475.043996825225,54906.556013234185,56269.7618904355,57567.71938364998,58803.25847180058,59979.13529278067,61098.2754564158,62163.4268557167,63177.17320834847,64141.934730834015,65059.96813855397,65933.47275135331,66764.66947246209,67555.62811285384,68308.31260220335,69024.58110899503,69706.18604052227,70354.77404288785,70971.88786779961,71559.06357019418,72117.79464889396,72649.48117190771,73155.45402059391,73636.9748896603,74095.23628716417,74531.36153451233,74946.40476646098,75341.3509311158,75717.1185447678,76074.69319310041,76415.00538120081,76738.89003097962,77047.14101368927,77343.60713734066,77641.21557685878,77951.88739742873,78283.53367668767,78642.72979755963,79034.66207868859,79464.4969962431,79937.57865918653,80458.91790526801,81034.13061092266,81669.45838473395,82371.49837335112,83147.46422215419,84005.46865992846,84954.52869439695,86004.56336443665,87166.32493476626,88451.80589410971,89874.43642618015,91449.0848695002,93192.05999204145,95121.50035804667,97257.07430064314,99620.66082982713,102236.84345580479,105132.91018899168,108338.85354001324,111887.42524805921,115815.38289553204,120161.87968852506,124970.54976154544,130290.46189374958,136176.11950894218,142687.4606755783,149889.95393292364,157856.65616821867,166663.42698230298,176394.38027822814,187144.34089537183,199018.84460943815,212134.13813245783,226617.38250365027,242605.6548783116,260238.11903549675,279669.67015212897,301073.92445483536,324643.2192199499,350588.6127735072,379135.97801359836,410506.4337718787,444935.7091975877,482684.98372668936,524040.9120508564,569315.6241174677,618829.1784549147,672877.1215418054,731771.1422583363,795845.5701299568,865457.3750315047,940976.834028709,1.0227165120530312e6,1.110966714481413e6,1.206021743045385e6,1.308179055510131e6,1.4177236724543225e6,1.5348301661183878e6,1.659616514674684e6,1.792174495049915e6,1.9325686120970068e6,2.0807788112110228e6,2.236631364819579e6,2.399896940172562e6,2.570300245747263e6,2.7474994471608996e6,2.9309845381943923e6,3.1201680953640854e6,3.3144300099980407e6,3.513106282747913e6,3.715407097940153e6,3.920491875472535e6,4.1275279252599715e6,4.335681295907548e6,4.5440601288423e6,4.751784080016737e6,4.958025271091074e6,5.161999357195164e6,5.36293482658695e6,5.560123530530127e6,5.752933595697076e6,5.940802791920922e6,6.123230793487738e6,6.299801655747875e6,6.470168384471927e6,6.634050777393408e6,6.791235434926997e6,6.94161073279524e6,7.085111592462858e6,7.221707008240217e6,7.351404824606522e6,7.474296517589566e6,7.590510232232104e6,7.7001924300257545e6
Ihsub,263.650171878993,292.2344066696424,320.8943120938612,347.8200334854873,371.9748394764209,392.8264301230135,410.1905710238381,424.07600540256993,434.6473393976759,442.12310126398785,446.77167239950614,448.8864863684209,448.73912430003475,446.60145154042306,442.74087994815324,437.39476975028106,430.7729557714626,423.07787261030364,414.49294365237057,405.1793171599475,395.27635571453067,384.9082778179332,374.1902645580848,363.2205126831258,352.0858075175803,340.86156489596146,329.6118311627713,318.39430419738966,307.2581849491588,296.2417636098684,285.3790293463162,274.69967896441324,264.22911690918374,253.98845526476666,243.99461835913496,234.2631107634047,224.80170053319216,215.61451166831154,206.70472244018706,198.07456539185253,189.72532733795222,181.65734936473993,173.87002683007915,166.3618093634446,159.13016814105487,152.16996028189277,145.4751367420672,139.03982948391572,132.8577790806982,127.0001690550539,121.74686805748347,117.32969175010165,113.85658067154382,111.39529893952513,109.97058427594175,109.6058891284374,110.32862342604136,112.1525504250142,115.10552941922799,119.22905971317023,124.5685296731046,131.17948358559826,139.1333977786153,148.51768395781062,159.43353644493627,171.99216943186136,186.32374846589022,202.57901775141264,220.92929405473933,241.56649969663798,264.70761234721874,290.58649727867817,319.4656406728625,351.6440263366251,387.4571357018279,427.27694782533905,471.5128826639637,520.6272180224329,575.0938214481473,635.4429379543493,702.279709816541,776.2841765724726,858.2112750221669,948.8926885947754,1049.2560642303065,1160.1888285055697,1282.6798696508092,1417.8752487421352,1567.078199701525,1731.7491292968214,1913.5085079557045,2114.0310934538206,2334.821345413125,2577.60411483272,2844.3968601156407,3137.509647068851,3459.5451489032075,3813.242589675139,4200.802711027611,4624.530569325865,5087.145612398866,5591.781881855354,6141.9880130838155,6741.1734372652045,7391.5558493573535,8095.51408403087,8855.82679765897,9675.672459691645,10558.364893984113,11505.20462607638,12516.646319843447,13593.34717250686,14736.154984982682,15945.677655156172,17219.38283210253,18553.435204607104,19943.992486256087,21387.18938401746,22877.4721527531,24405.534165106812,25961.780246265243,27536.788891939523,29120.667980813036,30699.862273027593,32260.222806153382,33788.547168072226,35272.18019400499,36696.21183725119,38045.89152124731,39308.36618706047,40472.29755388892,41525.739370350995,42458.19494658863,43261.58375344207,43929.842501805746,44457.675920958056,44841.88926923047,45081.39995599235,45176.950669716905,45130.76117857647,44947.012593990614,44630.94133902518,44188.75378924113,43627.683680131806,42957.13759647821,42186.58814549453,41325.12576999072,40381.649136747605,39366.62407102524,38290.35737638451,37162.45478726533
Ihcrit,166.22055473302237,184.24345509422358,202.3229556893822,219.32338396269955,234.59342426863114,247.7975550375989,258.8181294857024,267.65825820427335,274.4187285239913,279.2342387722683,282.2709366749875,283.7109293326329,283.72299359132325,282.4764049392708,280.13793431986574,276.8558570796264,272.76151658185944,267.9818194310515,262.6319784308966,256.81340854868995,250.61402729323314,244.11234762126796,237.3813120180012,230.48332140909974,223.47360528904812,216.40024738835754,209.30418567356594,202.22232479048276,195.18632282381705,188.2210284002766,181.34850612033662,174.58804187779398,167.95614285976683,161.4665375466951,155.1302430478696,148.9574266434553,142.9534714090362,137.1214087838294,131.46361612966186,125.98181673097062,120.67707979480247,115.54982045081412,110.59979975127219,105.82612467105372,101.2272326033815,96.80011119835692,92.5411481407184,88.44672906452995,84.51297628279319,80.7851632280013,77.44102836155392,74.6277399328478,72.41378137163292,70.8420856074086,69.92823545159466,69.68697205431295,70.13552794293662,71.28244920654916,73.14521289048744,75.74993969514267,79.12519677203392,83.30597406063981,88.33735310902313,94.27450920902193,101.18133861733703,109.12805959525289,118.1968831046365,128.4830400500053,140.09477736891264,153.1533789326433,167.79597662122526,184.17035045377747,202.44237287563095,222.80100320941605,245.45828765506275,270.6493592898005,298.6330355091648,329.701549326869,364.15434756203746,402.32652014855137,444.60054271822855,491.4062766008153,543.2209688240013,600.57042294721,664.0410707279084,734.1935823310117,811.6527745755435,897.1429240569458,991.4877671470799,1095.6104999942268,1210.5356011808249,1337.3215135765918,1476.9183384561086,1630.4155947447161,1799.0879613703094,1984.3952772633454,2187.9825413568165,2411.5808520311202,2656.5792975118256,2924.4326780080214,3216.857966655662,3535.8344354482656,3883.6036552369123,4262.318391680886,4673.375448629807,5118.273303825559,5598.763356326542,6116.849921036995,6674.622677085172,7272.895285131886,7911.945312314189,8592.178760589242,9314.122518984417,10078.15177292563,10882.653296565632,11725.18955463067,12603.320094167811,13514.591416517378,14455.48278168958,15420.099681155134,16402.36791597431,17396.32645543301,18395.719630893076,19391.977126994643,20376.157030277198,21339.92029330886,22275.277950145326,23172.818606007066,24023.23583919762,24818.426113020945,25551.246496291504,26214.17277428446,26800.599523904348,27305.44893395379,27724.91853975913,28055.692723590484,28295.782975555387,28444.532973469948,28502.43745121556,28470.923993569068,28352.65715073653,28150.964064103737,27869.780590194416,27513.689612102604,27088.643994878625,26600.63462230723,26055.40748568851,25458.584126110334,24816.774136381544,24136.4839419409,23423.77509885596
D,78.99999999999991,87.75815891223486,97.4249120949004,107.97228646380773,119.32822982265189,131.3972003436049,144.07153837345518,157.24265659436747,170.8028214223766,184.65192355431427,198.69689366661234,212.85248704037565,227.04378919681747,241.20389173421114,255.27355779389683,269.2017694671839,282.94519549209826,296.4663499632134,309.7339994694475,322.7219540386394,335.40894798521794,347.7778036727008,359.81542459769537,371.51255754240304,382.86221782050757,393.8596817535657,404.50248667100544,414.7897009990558,424.7231689816299,434.306939869116,443.54559532923747,452.4442477136599,461.00854005799,469.24464608177624,477.15925128788706,484.75940462765203,492.0542290107052,499.05327453809446,505.7658554407439,512.201050079456,518.3677009449103,524.274414657664,529.9295619681509,535.3412777566824,540.5174923377466,545.4674624691404,550.2002995926598,554.724323140909,559.0476573476221,563.1786063586063,567.1325828411365,570.9318736281971,574.6053648252376,578.1838073411806,581.700271763028,585.1880638204053,588.6806616812892,592.2131157761509,595.8208847481953,599.5401370624559,603.408626991349,607.4658150130256,611.7533085400383,616.3149015939996,621.1972182163887,626.4503256433965,632.1281808436554,638.2896796180162,644.9986620793934,652.3239203726774,660.3408841904643,669.1317586105563,678.7872647511784,689.4080980068237,701.104928048256,713.9983988225065,728.219268409105,743.913432946626,761.2419050323997,780.3834629608541,801.536457296302,824.9188108729356,850.768018794835,879.3413327124736,910.9259239798695,945.8429496156158,984.4469960161698,1027.1282904563639,1074.3127010894068,1126.4617369468815,1184.0732481592122,1247.7056432860197,1317.9851507614853,1395.593393655459,1481.26870812239,1575.8061434013368,1680.0574618159462,1794.9479533278638,1921.5288645554308,2060.933046279072,2214.364951760353,2383.1007663006426,2568.488407241097,2771.978742289161,2995.1925460134853,3239.825997519957,3507.6283991711575,3800.402176885046,4120.010443923954,4468.476520428773,4847.905407949916,5260.369039405751,5707.903309546504,6192.51759764112,6716.313912820377,7281.347692065439,7889.470273588178,8542.325435757837,9241.41109991601,9988.170707029209,10783.702953811126,11628.69660220937,12523.466979966794,13468.139679772157,14462.422762828828,15505.486361424117,16595.997419980504,17732.338529502133,18912.456482904494,20133.7882162687,21393.306405024843,22687.72805912027,24013.42601272597,25366.450373759384,26742.580753647013,28137.470391103147,29546.629693166167,30965.52010397607,32389.590108574143,33814.32320315868,35235.261850048235,36648.16073974039,38048.99604498399,39433.949671206174,40799.330550123945,42141.78559433132,43458.3394413847,44746.37364223657,46003.43900461083,47227.41588852236,48416.53734841106
Htot,429.87072661201546,476.477861763866,523.2172677832434,567.1434174481869,606.5682637450518,640.6239851606123,669.0087005095405,691.7342636068435,709.066067921667,721.3573400362561,729.0426090744936,732.5974157010535,732.4621178913577,729.0778564796939,722.8788142680188,714.2506268299074,703.5344723533221,691.0596920413553,677.1249220832675,661.9927257086376,645.8903830077637,629.0206254392012,611.571576576086,593.7038340922253,575.5594128066285,557.2618122843188,538.9160168363372,520.6166289878722,502.44450777297584,484.4627920101451,466.7275354666529,449.2877208422072,432.18525976895063,415.45499281146175,399.12486140700463,383.22053740686005,367.7551719422284,352.7359204521409,338.16833856984886,324.0563821228232,310.4024071327547,297.207169815554,284.46982658135147,272.18793403449826,260.3574007444364,248.97007148024966,238.01628488278567,227.48655854844566,217.37075536349147,207.78533228305514,199.18789641903743,191.95743168294948,186.27036204317676,182.2373845469337,179.8988197275365,179.29286118275036,180.46415136897795,183.43499963156341,188.25074230971538,194.97899940831286,203.69372644513857,214.48545764623807,227.47075088763845,242.79219316683256,260.61487506227326,281.12022902711414,304.52063157052675,331.06205780141806,361.0240714236518,394.71987862928137,432.5035889684441,474.75684773245564,521.9080135484935,574.4450295460412,632.9154233568906,697.9263071151396,770.1459181731284,850.3287673493018,939.2481690101847,1037.769458102901,1146.8802525347699,1267.6904531732878,1401.432243846168,1549.4631115419852,1713.297134958215,1894.3824108365816,2094.332644226353,2315.0181727990794,2558.5659668486046,2827.3596292910474,3124.0441091365296,3451.3526070304133,3811.7396838692334,4208.019709577437,4643.48482148595,5121.904924332196,5647.527690260024,6224.823441706259,6857.382008539437,7548.963247333888,8304.003579054528,9127.61631730362,10025.591668320729,11003.49182894609,12064.931297987156,13213.787387856431,14454.590153985515,15792.52238072864,17232.987571069283,18778.099911208265,20428.591632157633,22185.525933096094,24050.27750396711,26023.829428081808,28102.03612866815,30278.62475923778,32547.312580423888,34901.78080053485,37332.95493444269,39825.633846261924,42364.14816223956,44933.11534737253,47516.38761170613,50091.83940002224,52636.37983643059,55128.46746138108,57547.458144150296,59869.030443258285,62069.127360444916,64126.79230008142,66023.54405018043,67739.91214463545,69258.79447049298,70567.03268739584,71654.76104156485,72513.36864454854,73137.67224478583,73525.93292946229,73679.38812093243,73601.68517214552,73299.66974472714,72781.9054031289,72058.53437943554,71141.37329223436,70045.78159135683,68787.22276780177,67380.53325567923,65840.23326285792,64183.39820740678,62426.84131832541,60586.22988612128
Dperday,8.758158912234956,9.666753182665563,10.54737436890735,11.35594335884417,12.068970520953032,12.674338029850233,13.171118220912303,13.560164828009194,13.849102131937585,14.044970112298097,14.155593373763264,14.191302156441816,14.160102537393762,14.069666059685652,13.928211673287135,13.743426024914298,13.521154471115292,13.267649506233921,12.987954569191988,12.686993946578525,12.368855687482823,12.037620924994464,11.697132944707755,11.349660278104652,10.99746393305801,10.642804917439715,10.287214328050174,9.933467982574347,9.583770887486066,9.23865546012148,8.898652384422359,8.564292344330159,8.236106023786126,7.914605206110962,7.600153339764819,7.294824383053326,6.9990455273890975,6.712580902649593,6.435194638712185,6.166650865454256,5.906713712753388,5.655147310486928,5.411715788531717,5.17621458106438,4.949970131393691,4.7328371235193725,4.524023548249067,4.323334206713395,4.130949010983879,3.953976482530253,3.799290787060568,3.67349119704043,3.578442515943139,3.516464421847437,3.4877920573771433,3.4925978608841532,3.532454094861632,3.6077689720443353,3.7192523142604816,3.868489928893423,4.0571880216764535,4.287493527012886,4.56159305396102,4.882316622389416,5.253107427007567,5.677855200258687,6.1614987743608305,6.708982461377372,7.325258293284218,8.016963817786557,8.79087442009225,9.65550614062209,10.620833255645364,11.696830041431843,12.893470774250728,14.22086958659851,15.694164537521054,17.328472085773555,19.14155792845461,21.152994335447897,23.38235357663367,25.849207921899193,28.57331391763856,31.584591267395975,34.91702563574642,38.60404640055405,42.68129444019404,47.184410633042475,52.1490358574751,57.6115112123308,63.632395126807566,70.27950747546564,77.60824289397323,85.67531446693141,94.5374352789468,104.25131841460919,114.89049151191777,126.58091122756672,139.40418172364178,153.43190548128192,168.73581454028843,185.38764094045447,203.49033504806405,223.2138037243242,244.63345150647186,267.8024016511995,292.7737777138887,319.60826703890916,348.4660765048192,379.42888752114203,412.4636314558351,447.5342701407525,484.6142880946172,523.7963151792568,565.0337792450619,608.1225815227376,652.8551621696606,699.0856641581709,746.7596071131968,795.5322467819217,844.9936483982431,894.7703777574246,944.6726998053607,994.2830830566749,1043.0635985952813,1090.5110585563928,1136.341109521629,1180.1179534023638,1221.331733364195,1259.518188756143,1294.4216540954335,1325.6979536057,1353.0243610334198,1376.1303798876186,1394.8896374561339,1409.1593020630298,1418.890410809893,1424.070004598078,1424.7330945845385,1420.9386468895518,1412.8988896921612,1400.8353052435964,1384.9536262221807,1365.380878917785,1342.455044207378,1316.5538470533581,1288.0342008518662,1257.065362374262,1223.976883911545,1189.1214598887054,0.0
