Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,4.471122516552817,4.956888477120468,5.449228709932628,5.920719383675267,6.355305418434185,6.74422114432325,7.083704697540539,7.372731158446475,7.612552274446644,7.805243605307887,7.953690956728052,8.061252392700206,8.131119882993575,8.166629260111122,8.17117525976433,8.147869241991971,8.099569963848923,8.029121466301936,7.939191770983549,7.832212619447757,7.7103845159915405,7.575740591580191,7.430222918471083,7.275581771673812,7.113410809527993,6.945147428636773,6.77207276386684,6.595361057898371,6.416089040727944,6.23519646649485,6.053533144159954,5.871859009783163,5.690844126523437,5.511068684638792,5.333024877019402,5.15718829448283,4.983941070976607,4.813590760489897,4.646408024160084,4.4826266302727875,4.322443454261858,4.166018478709368,4.013474793345624,3.8648985950491817,3.7203400644748346,3.5798569302367946,3.443482472453198,3.311216854989578,3.1830446438897666,3.0611509908150247,2.9536694984692486,2.867460309220737,2.805916396407176,2.771354691657139,2.7649197140798734,2.7877597368514104,2.841170094605499,2.9260984020941723,3.0439305524618074,3.196476759976135,3.3857082042913307,3.613943740651415,3.8840208798196567,4.199296358360083,4.563602289070611,4.98115353118883,5.456815089676272,5.9961783310878305,6.60556096316889,7.2920082958736,8.063479072006128,8.928573355103492,9.896940485554552,10.979568734056606,12.18878530161543,13.53825631954522,15.04302250613511,16.72012418132649,18.587113545670164,20.663657364695233,22.972219812385315,25.53806247117814,28.389244331966342,31.556693923990743,35.075079292765295,38.977681994554345,43.30161078200272,48.08991595627898,53.39158936707552,59.26156441260855,65.76084251403319,72.95276372085573,80.89407641250578,89.64983973973602,99.29627013612613,109.92074131808346,121.62178428484106,134.50315944018794,148.64744715455595,164.14064808700084,181.08449750190854,199.59647696990808,219.80981436787056,241.85157946992456,265.8006916292686,291.7412416942137,319.7719931806341,350.0063819334522,382.5619770779409,417.4747796340715,454.7456664940409,494.3822132740539,536.3982217655565,580.7967808177079,627.4557796066431,676.2012717505349,726.8596051807883,779.2568259642638,833.1542493290942,888.1691267075332,943.9118894138144,1000.004789733911,1056.057211083688,1111.545143112016,1165.9309501834377,1218.722060141745,1269.4556301608582,1317.5950830164072,1362.621855943221,1404.0964943513013,1441.644064348544,1474.8792115776357,1503.4791550478872,1527.2117278924984,1545.9209844010438,1559.4877618984283,1567.8706958674738,1571.0988008563854,1569.2619723734242,1562.5065470174338,1551.0452565582082,1535.1176396117216,1514.9871982468992,1490.9514314476246,1463.3805933374533,1432.6373512197592,1399.0614094486973,1362.9769923883205,1324.761156764362,1284.7781609952995,1243.3619582260287
B,0.35067627580806415,0.3900017169550512,0.43621860945006513,0.4911589006069006,0.5555069893492995,0.6290486346826577,0.710912775769841,0.7998116047813605,0.8941877657402046,0.9924131859689868,1.0928465525888307,1.193901754308567,1.2941724389151563,1.392387652313194,1.4874078118214697,1.5783010822761185,1.6643347940413458,1.7448918427157079,1.8194981175729397,1.887819121657779,1.949657403341155,2.004910733649132,2.0535490846188376,2.095640900776258,2.1313008613036155,2.1606895716166723,2.1840135633647315,2.2014902705983594,2.2133908330682663,2.2200399384533225,2.2217523600839097,2.2188328842545264,2.2115763102237835,2.2002674502144113,2.185180746920692,2.16658826244565,2.144814918626434,2.120180734666836,2.0929823214185292,2.063492881381063,2.031962208701868,1.9986166891762482,1.96365930024739,1.9272696110063614,1.8896055417067001,1.8508898802722604,1.811332001620165,1.7710954203329625,1.730331623536474,1.6909026904921096,1.659306096733777,1.6411585098333703,1.6394505348631772,1.6564109363792836,1.6934130917302894,1.751872234758343,1.8333486027699342,1.939168724914268,2.0710287754587915,2.2309811654383864,2.4212448866899003,2.6443568010063467,2.903307587312734,3.2015425231164905,3.5429441553479286,3.931774147256607,4.372888569518174,4.871823761518242,5.434796458157928,6.068705025336199,6.781321532396306,7.581051594603564,8.477309926355565,9.480797084177983,10.60349946672462,11.858689314777347,13.260958743723249,14.826846667180634,16.5734795490225,18.52004764797322,20.688445466250936,23.10327174956718,25.791829487127615,28.784195105130706,32.11414446760759,35.81441007350643,39.92149130899559,44.47764286449631,49.530874734682726,55.134952218481885,61.34952631856421,68.23693605157587,75.85375035865064,84.26467992773354,93.54529680825547,103.7820344111341,115.07218750877172,127.51854514879076,141.20476998650685,156.21820226760337,172.66167087419095,190.65350844378358,210.32755136929785,231.81267250872537,255.19293085340195,280.55788042174476,308.011824375905,337.6738147147435,369.6676422104825,404.03988327607306,440.8037356242562,479.9792914278653,521.5931165540685,565.6618547462336,612.0808755454236,660.6945502404051,711.3468352885112,763.8807047903729,818.074669383998,873.5634199213908,929.9722511610969,986.9354918763144,1044.0719439567915,1100.8633115303319,1156.7728076803983,1211.3046694356226,1263.9888180821313,1314.2748054539404,1361.6243411956993,1405.575838167315,1445.7296487149679,1481.6690396421236,1513.0366749695183,1539.5673776831438,1561.073071502887,1577.398427780052,1588.4672186701862,1594.278611394031,1594.8967982783743,1590.4417344947933,1581.1034324291647,1567.1045636326521,1548.697397089691,1526.1698945226142,1499.8866542680194,1470.2087809805234,1437.477711377781,1402.022572010513,1364.2276783516695,1324.467079855946,1283.0857899328882
C,10.520288274241922,11.661331725070491,12.807796375897915,13.888943933574133,14.864081284381124,15.712052960702879,16.4251716398921,17.003197916017708,17.451942754312377,17.779330096669938,17.995263157538226,18.1106742466233,18.135730673343392,18.080685554428037,17.9556834194263,17.769787003887334,17.53107217801024,17.247373715153795,16.925839217848587,16.572799961408442,16.193788899587815,15.793778307234257,15.377402286492769,14.94866301593594,14.511124379522004,14.067913452841852,13.621720503119079,13.174978147239973,12.729792016100046,12.28785343155308,11.850671892838236,11.419575383092045,10.995710369348425,10.580041802538693,10.173357442474812,9.776389496209662,9.389564955233618,9.013156077247215,8.647388345053118,8.292440466556119,7.948444374763143,7.615485227783224,7.29360140882754,6.982784526209419,6.682978294998391,6.394024167581534,6.11572557503387,5.847885700685021,5.590287599087829,5.345987593905481,5.126868839386707,4.942767559026497,4.79826738907877,4.696239955309629,4.637725478910337,4.623699943203301,4.655297206501981,4.733062810224016,4.858127638637426,5.032188233222937,5.257092179417858,5.53510117636263,5.869133036125365,6.262761693106614,6.720122987033821,7.245752332729432,7.844957351540211,8.523880407420995,9.289498319864624,10.149623703509034,11.113081080614577,12.18935823362487,13.389085768868874,14.7243591669856,16.20873878292412,17.857249845943503,19.686421034309674,21.71488762316594,23.961638492460953,26.44788155405147,29.197809913631154,32.23860187073009,35.60042091871573,39.31649099344554,43.4237694554855,47.95717331532245,52.955538310949386,58.463929879820355,64.53364315885044,71.22220298441586,78.59346755140557,86.71277513212917,95.6376328054366,105.43406847738251,116.17956985496349,127.96308444611874,140.88501955972797,155.0503772343952,170.54022113174875,187.43894529865224,205.84676699996749,225.8797278945565,247.66969403527995,271.34098902361524,296.9670740272865,324.6266422770436,354.4129781390741,386.4339567338009,420.80120669747225,457.5429635966466,496.65242343079836,538.1298526147657,581.9820546283551,628.2053305967264,676.6714435186115,727.2018361035264,779.6190545873861,833.7461084457107,889.3425251668307,946.0270830916584,1003.4125136206093,1061.1232368135697,1118.771022328637,1175.837192496975,1231.7895192725318,1286.138541054601,1338.4226252211229,1388.1073427771964,1434.6744763342708,1477.6813412602362,1516.7467416589138,1551.4782093505105,1581.5431542552571,1606.6971749202303,1626.7701929060051,1641.6277574223725,1651.2120128725355,1655.53584404392,1654.6735453158635,1648.7558018187585,1637.9805631189997,1622.5752433694647,1602.7938778700163,1578.9259091517524,1551.3355690986402,1520.3823373409334,1486.4054387016517,1449.731215883728,1410.7406680062486,1369.804291941658,1327.2638787850583
D,48.39332606151285,53.6378656799987,58.88528935106354,63.796825146781075,68.17945223798193,71.93551711334023,75.03319167512034,77.47716883986436,79.30145263945275,80.55001218510304,81.2759098057478,81.53656934047626,81.38482459380789,80.87314351510727,80.05277493740337,78.96889104201207,77.66109165601743,76.16731945976593,74.52165141647646,72.75379141262842,70.88917188631251,68.9502824251721,66.95776540619707,64.92894349725115,62.87904290341738,60.82120205426071,58.76647160382801,56.724782303922176,54.70432210428526,52.71119632595223,50.7508312694279,48.82797597638545,46.946702229666556,45.11040455328141,43.32181715355463,41.58332814040098,39.8957342208272,38.25924185011756,36.673970371464584,35.13995201596912,33.6571319026403,32.2253680383955,30.84443131806041,29.514005524369146,28.23367201813506,27.0021586394939,25.818076803951584,24.68027356994437,23.587544061697415,22.552605624744952,21.62567326834716,20.84840002713902,20.240235890818433,19.813458240691585,19.572648679237915,19.522177643580093,19.66713977106759,20.010192929916823,20.5565327879634,21.313806912036135,22.29037025920015,23.496410739791088,24.944978385433078,26.65198561385386,28.635823096406302,30.916699095435092,33.51823241015669,36.467737215661124,39.7962219559447,43.53839516177964,47.733458101743,52.42369444553815,57.65653414123609,63.4859385331958,69.97240036206458,77.18294376477775,85.1912917799957,94.08064318054677,103.93640692882013,114.85406644540451,126.94245186609083,140.3237400418699,155.1334545389367,171.52079467312296,189.65213475563772,209.68690441710496,231.8025696684591,256.20450405706595,283.12598866672283,312.8282121176588,345.60078557126985,381.7430687538858,421.5242797837465,465.25262238340764,513.2880870786295,566.0424511983805,623.9792788748275,687.586148675796,757.2549611221274,833.3958717664528,916.4920030907523,1007.0994774135219,1105.8474168897683,1213.3395165173574,1329.9678748362865,1456.1524280255896,1592.3827169338595,1739.2178855307852,1897.2397626361308,2066.672936734635,2247.5917059775275,2440.1042236703943,2644.350299947869,2860.4253403631524,3087.869494041091,3325.992126824865,3574.0988936153053,3831.4888402271044,4097.161896002507,4369.458197550227,4646.66586837984,4927.101560984574,5208.997851958991,5489.947015054667,5767.438681631573,6039.128235597205,6302.767329784221,6555.718427477951,6795.376374422072,7019.469427591132,7225.992932706488,7412.844391758894,7578.180031865792,7720.579540692503,7838.9773583939905,7932.451193023531,8000.449367904056,8042.7887784618615,8059.605761281146,8051.302201193552,8018.624949620953,7962.503363942014,7884.034546110151,7784.49891765945,7665.560133538642,7528.891642164854,7376.098397771102,7208.7507062037175,7028.69650772723,6837.755182282264,6637.622678644164
E,6.487511102449185,7.190577859439698,7.894009162910412,8.552405086276224,9.13994826779203,9.643642270365639,10.0593377779475,10.387790651589997,10.633683612916993,10.803020351771163,10.903004133815381,10.941400481601045,10.925329052593396,10.861835448102061,10.757780564878775,10.619186387306533,10.451305676542619,10.259157487030805,10.047229583380336,9.819416170188942,9.579032112739938,9.328996994550108,9.071981372926265,8.810208085911814,8.54562653809607,8.279913917349202,8.014475194822241,7.750574659567775,7.489241670668095,7.231228917538008,6.977208634324954,6.727772843296206,6.483433354838866,6.244621767459901,6.011691427884121,5.784943997241946,5.56446964814981,5.350288306410695,5.142412764589798,4.940848682014539,4.745594584774563,4.55664186572172,4.373974784470092,4.197570467395995,4.02739656706914,3.8632961714482437,3.7050981998543593,3.5526693326237817,3.40586991587423,3.266795817673317,3.1435683853250467,3.0430130820203694,2.9684442295448714,2.922082273690324,2.904958029166962,2.9181036926592174,2.9626982261546972,3.0395652669872533,3.1499680341027254,3.295594754919914,3.478289966928029,3.7002417799441556,3.96415195651126,4.273236314430746,4.631176615279305,5.042027458818724,5.510482691907033,6.041943747892985,6.642519585430747,7.3190278511165126,8.079166942422141,8.93127370597449,9.884708372548108,10.950122421539298,12.139458580966151,13.465950827468513,14.944157406618992,16.59055768929574,18.422219206079124,20.45826152728263,22.720482996533008,25.233360730769835,28.02405062024632,31.122453735533966,34.56208465875302,38.375504846882436,42.59901447769834,47.27457292762889,52.4497987717543,58.17796978380677,64.51814586439157,71.53207891314261,79.2762155754568,87.81505871358941,97.22376267655775,107.58813330014206,119.00462790688343,131.57526578512156,145.38432453000487,160.5201196303804,177.0862503669515,195.20161429333223,215.00040723604627,236.61280146805825,260.1272702124577,285.6382951318359,313.2551944141966,343.102122484961,375.3085554089205,409.9313744622865,446.9963450836572,486.53628665850874,528.5906697720229,573.1898045402794,620.2476575616328,669.6286643690646,721.1956386045698,774.809200171535,830.2658543664861,887.2200235768698,945.3133600435375,1004.1923600370155,1063.4843084107272,1122.6768107168766,1181.2332721443877,1238.6519972620645,1294.4511733604763,1348.0624838478423,1398.922896198795,1446.5416834195917,1490.4858646157838,1530.2989928316292,1565.579995214128,1596.020444642574,1621.3892220136313,1641.48445074119,1656.184605630222,1665.4488391509256,1669.3059463857078,1667.8408286835486,1661.2129575932622,1649.6215780118905,1633.3024509954403,1612.5300597132118,1587.6608839599571,1559.0533665204875,1527.0509152929058,1491.989133278063,1454.2625294952873,1414.2590347721805,1372.3396600976916
F,4.295784378648785,4.762742417818115,5.237292486868868,5.693959186456591,6.11787601649089,6.5009642816200905,6.839788978447079,7.1334320818680155,7.383058033043302,7.590550729479135,7.758501666171359,7.889898309343416,7.98752702186564,8.054272173320264,8.093045674722386,8.106473981213927,8.096931483133744,8.066775714479695,8.018196618266645,7.953176959417376,7.8734982957319275,7.780807852503379,7.6766809638510685,7.562529436357421,7.439652440997932,7.309236924268331,7.172357608184587,7.030017718677137,6.883135998041165,6.732523039713678,6.578931626598324,6.423056799142892,6.26553585533931,6.106948350723657,5.947816726914164,5.788625342472946,5.6297897224371205,5.471679531950885,5.314634055758893,5.158962198206254,5.004942483238531,4.852823054401736,4.702821674842343,4.555125727307293,4.409892725365832,4.267275455876469,4.127402956828339,3.9903762622146512,3.8562787673649472,3.7282280521117355,3.6175428803230396,3.5338406751595075,3.4819953211610213,3.4654280820495273,3.48596373808971,3.5454378971147125,3.645888156248141,3.7888733476364553,3.976547741167557,4.211638298618492,4.497087720845567,4.836309862496996,5.2334195937999075,5.69323341689744,6.2212124128642445,6.823338699150201,7.506474955176052,8.278469850082748,9.148158031755052,10.125361819484777,11.221140977971475,12.447428852414134,13.817579970506564,15.346758710108853,17.05193929924745,18.951905816115087,21.067299328102788,23.421445792690733,26.038397138663733,28.94505335939143,32.17206523276595,35.753834321201424,39.72851297163499,44.13809833790639,49.02956701556842,54.448215790599164,60.44448559069041,67.07672020552128,74.41116628675827,82.52197334805528,91.49135576883276,101.40476326380312,112.33945448519638,124.3837921055382,137.64091369252426,152.22873170902096,168.27993351306299,185.93437704685147,205.30532085918327,226.5111445084627,249.69115692328467,275.00561127216895,302.63570496355976,332.755649087525,365.47906929838365,400.9272761286362,439.2414935307657,480.5828584478109,525.118920627292,572.9137473758855,623.987191477143,678.3684557571213,736.0954899602098,797.1929698878832,861.5236156497904,928.882234963692,999.0624308830922,1071.8557976482957,1146.9669715489138,1223.9080821990142,1302.1769908308115,1381.2813474266793,1460.7058404259637,1539.7500724085087,1617.686158752216,1693.837785800492,1767.5598761335923,1838.0971607302347,1904.7075711986163,1966.749400399855,2023.661780244393,2074.858863579516,2119.832970107014,2158.2003336564467,2189.6810132422224,2214.038728875221,2231.1447252692988,2240.974549885361,2243.593969443386,2239.145439669846,2227.8688185632864,2210.0520266248864,2186.0268461989253,2156.175811696732,2120.9887824796183,2080.9541515638707,2036.5365719206936,1988.1868913317342,1936.4334874284727,1881.7932441950095,1824.7451991016992
G,0.4383453447600802,0.4865388931013426,0.5383387548239389,0.5929097381041344,0.6495880618956217,0.7077451537515035,0.7667579574987229,0.8259795764200808,0.8847781370170511,0.9425384589754187,0.9986874247590499,1.0527045702455498,1.1041397996959266,1.1526122924198952,1.1978036575931537,1.2394719410313033,1.2774496886277358,1.3116206858451123,1.3419226420970833,1.3683423205843916,1.390914702166726,1.4097080506047726,1.4248179804266974,1.4363733525930409,1.4445150940249236,1.4493960809202275,1.4511811387536024,1.4500342186131405,1.446137910461151,1.4396911633011438,1.4308836983458013,1.419895980733748,1.4068992195295507,1.3920553677237206,1.3755170491792195,1.3574348492401216,1.3379780005575856,1.3173095952840008,1.2955802872354725,1.2729282918918219,1.2494793863965887,1.225346909557027,1.2006317618441074,1.1754224053925204,1.1497957023525345,1.1238581236240113,1.0977087200136109,1.0714241059306353,1.0450746291259903,1.019750038289804,0.9993020062038547,0.9870714688678031,0.984845857816059,0.9939715760775835,1.0152972721424123,1.0497080841990811,1.0981871671145078,1.1615920641782413,1.2410152860447456,1.3377770818427024,1.453315396228037,1.5892796640551463,1.7476152030487218,1.9305638526669129,2.1406577609684656,2.3806919853312136,2.6538603441527178,2.963813614267145,3.3146596399273784,3.7109641243901503,4.157881364420234,4.66103189212958,5.226742438588505,5.862220079247974,6.575552233939644,7.375706666875824,8.272553260645406,9.277317332014732,10.401831890210058,11.659413482805771,13.065254752299376,14.636424436111252,16.391867366585142,18.352449293621778,20.541754684433847,22.983436734710345,25.703980013133965,28.733908261331052,32.10778439387168,35.86421049826961,40.045936034871275,44.69877471109577,49.8665067034124,55.59902231393583,61.95406681909831,68.99724046964997,76.80199849065768,85.44713151438923,95.00297730984639,105.5440879680759,117.15698924104368,129.94020252096348,144.00424484029674,159.46012513281596,176.39497048241404,194.90221988980335,215.08815832516376,237.07191658757617,260.9792557268117,286.8900504991784,314.86459948924494,344.9701819741354,377.280877285766,411.8661952564368,448.7127096118512,487.769647044535,528.9831849311838,572.296051027999,617.5995199229542,664.6697294810563,713.264714631297,763.1379500189609,814.0189973376033,865.5119120286931,917.1860614816637,968.6264977810454,1019.421660081111,1069.0688627578654,1117.0515249822706,1162.903990130481,1206.199155128885,1246.4702236925164,1283.2854617872315,1316.292801843393,1345.205413020541,1369.7479675402037,1389.7143822365294,1404.979406634467,1415.4870402304146,1421.2250581353546,1422.2531501075784,1418.6812662005436,1410.6663080869382,1398.4020063290145,1382.160719473807,1362.2288764600198,1338.8907206902943,1312.433811166386,1283.2007667084338,1251.5364476109087,1217.7676083288093
H,0.7890216205681444,0.8756722350601163,0.9683026478947765,1.0650765261644066,1.164612377788686,1.2656946674780578,1.3671916645368272,1.4679741717443422,1.566975813572067,1.6631760072524664,1.7556431666363732,1.843547855990002,1.9261842879057238,2.002972146199958,2.073442885573396,2.1372585532755224,2.194208568663089,2.2441719097146167,2.2871191816866068,2.323102251504523,2.3522527952311805,2.374756640320054,2.390844717355874,2.400801640431905,2.4049281365471162,2.4035408420337347,2.3969723025572454,2.385548966811108,2.3696268046412676,2.349586439732131,2.325788038851451,2.2985712624377417,2.2682552646002874,2.2351386931191337,2.19949961492761,2.1616110189224607,2.121776276593092,2.0802848565510623,2.0374020588725514,1.9933690150983643,1.948402688233931,1.9026958727493044,1.8564171945791617,1.8097111111228106,1.7626994852588111,1.7155590648096526,1.6684525120823646,1.621500436073334,1.5748117471167569,1.529850399412677,1.49175048468581,1.464892275564845,1.451536093951798,1.4532963066575109,1.4710750280337979,1.5057800398290153,1.5584095695453104,1.6297482355905715,1.7208473200716665,1.8330144008443054,1.967655222801533,2.1263887918141546,2.311150895888456,2.5241944330613104,2.7680658389861454,3.0455509846293154,3.359837206821909,3.7145639233810157,4.1138226458766125,4.562157770682149,5.064684132374177,5.626918784269141,6.255034374278902,6.956040135838139,7.737781887904368,8.608942034957916,9.579061492611894,10.658926659014725,11.859662448944968,13.193716529144314,14.675278543417807,16.320280112633625,18.146394834723566,20.173082163393822,22.422125001519603,24.91453769501716,27.67373423251486,30.726812219818726,34.10455287991246,37.8414210529575,41.97564245210474,46.54699282083292,51.59145154550265,57.15019095683778,63.271295803510974,70.00976325214394,77.42750288730628,85.58982723607575,94.5496844768574,104.36240776746571,115.09316867555893,126.81698514309336,139.61872148632293,153.58005755395826,168.754261444214,185.19819393226777,202.97814188942885,222.16981808600823,242.8520278808693,265.0548711217228,288.78751358928315,314.06362226680227,340.9010966465644,369.311683072881,399.23052982258827,430.5605723976109,463.2043857866224,497.063819113248,531.999704744454,567.7814047638988,604.1717878245217,640.9388535667948,677.8401387546165,714.5451966754831,750.7108187671131,786.0190611943151,820.1675017087497,852.8013126598087,883.5723041493757,912.1807620167243,938.366027691852,961.8554345415138,982.4137398344569,999.8649483057483,1014.0825870931637,1024.9605594169523,1032.443725352507,1036.5261866094827,1037.2444976863308,1034.6709783537372,1028.9236143309233,1020.1424126995072,1008.4873992429648,994.1419004373411,977.3392678800858,958.3113626042705,937.278017265491,914.4517507830238,890.0810791310777,864.4084124164493,837.6577517546493
I,2.805410206464513,3.111076431024833,3.4253991041624974,3.7339915424369923,4.02813740505256,4.302636423377931,4.554673170689124,4.7826953397918635,4.98625913877297,5.1653438562357685,5.320386925526854,5.452141018166842,5.561400636644896,5.64914691825004,5.716495587726261,5.764557582228827,5.794450276720632,5.807371045689964,5.804524756900554,5.787086551145734,5.756202809790869,5.7129959148503255,5.658590219632584,5.594073895230361,5.520479264442626,5.438782770415118,5.34990497664033,5.254711271365071,5.154050458835629,5.0487324962222795,4.939505831944751,4.827057390088118,4.712012570402807,4.594935248304592,4.476328477288547,4.3566797009661595,4.236465191405621,4.116114059235264,3.9960136160389568,3.8765093743561003,3.7579050476816316,3.6404625504660197,3.524401998115267,3.409901706990926,3.297100242853513,3.186197354095814,3.077366930363313,2.9707239016300053,2.866364058886956,2.7664968568925326,2.6790503003363133,2.6107020719044987,2.5647740104486196,2.5435270915485217,2.548069762105679,2.5794882691358563,2.6389838314849956,2.7273937266498867,2.845944546536626,2.9962371881914285,3.179989623031036,3.399210960775311,3.65635952668111,3.954343087966784,4.296470009492123,4.686352979583651,5.1281539788894275,5.626643976236804,6.187202846897086,6.81582041721857,7.519242262378278,8.304719366429659,9.180360337824006,10.155376419920223,11.240081490984846,12.445892064192002,13.785356403033088,15.272632489381888,16.922212899080534,18.75029623254346,20.775357277070533,23.01814700684671,25.501692582942738,28.25135447747098,31.295414241835754,34.66084514320541,38.37768468716546,42.480756397058556,47.00966981398453,52.008820496800375,57.52747809193781,63.61645827671036,70.32113462104168,77.69354914211465,85.79464510962833,94.69426704579845,104.47116072535584,115.20808016853972,126.97072055479538,139.8277191370921,153.8602491734875,169.1620254655061,185.83930435813878,203.9936065514898,223.68895112821613,244.99392720968785,267.98907011666694,292.7668610986672,319.423522499473,347.99239388829636,378.48023722191095,410.8997739833756,445.26931455712145,481.5995136397004,519.8041109551262,559.7568740178489,601.3317827321562,644.4025446765112,688.7917649413405,734.2082370438634,780.35351585277,826.9361845922716,873.652285578682,920.0889670002757,965.8182639338866,1010.4436694037784,1053.5880148985332,1094.8096715551296,1133.6755332498542,1169.8120804032742,1202.8937996089128,1232.580769686262,1258.5793136159812,1280.6685903219318,1298.6887576066056,1312.505699847736,1322.0483832631294,1327.306716074529,1328.323288160701,1325.1856666700382,1318.038398420637,1307.053791195989,1292.4294475049026,1274.392569771868,1253.2332900495055,1229.2404576338026,1202.6885357375754,1173.8434793146141,1143.0167699630358,1110.5128522728407,1076.6136452899743
J,0.35067627580806415,0.3896366015026958,0.4335920795842868,0.4831994530835237,0.5385862083337518,0.5994286157778193,0.6650645076098187,0.7346052666866892,0.8070249827789086,0.8812626611021412,0.9562609071816889,1.0310052285441595,1.1045942568103306,1.1762174193595376,1.2451512274316276,1.310804036470217,1.372711345600023,1.430485774756812,1.4838321333103692,1.5325453199982386,1.5765088114966617,1.6156685535603323,1.6500184525514008,1.6796160957088455,1.704549926770372,1.7249390530904045,1.7409332456400795,1.7526901148906386,1.7604023328008738,1.7642976455430663,1.7645978271118712,1.7615186321987548,1.755269796191999,1.7460550351767017,1.734071724745703,1.7195136195430716,1.7026105880887101,1.6835901231091537,1.6626637642270854,1.6400270979613332,1.615859757726872,1.5903254238348232,1.5635718234924514,1.5357307308031751,1.5069191715449486,1.4772985289714822,1.4470205582684124,1.4162052972812047,1.3849642796558699,1.3548273027812427,1.3311673723003137,1.318657675128051,1.3198173622695661,1.3365597342750624,1.3701117328141978,1.4217557304093127,1.4929145112670872,1.5848411214066462,1.6991201663010718,1.837657746454455,2.002530290141312,2.1961165511408156,2.421216122628908,2.681050394603603,2.979256317067403,3.31985152933714,3.7074263234226703,4.147228605559863,4.645164067820364,5.207797323224632,5.842542070919819,6.557496665050689,7.361787916663728,8.26581969278993,9.281272916444848,10.421105566628547,11.69958380536855,13.132949087694996,14.738396175873902,16.53530331581686,18.54578743571866,20.79470414605691,23.309647739592776,26.12101535135974,29.2632265886653,32.771105081325295,36.68370679303335,41.046018639459355,45.90895848824969,51.32937515902706,57.37021292148192,64.09938224897125,71.58267377961349,79.89505667441834,89.12316579619944,99.36530170957533,110.73143068096722,123.34003661246125,137.29948826170641,152.72523792980581,169.75097414261643,188.52865879433585,209.22852714750104,232.02365962815412,257.05610950931487,284.4788752042891,314.4655736990899,347.2104403850351,382.91972987719765,421.73781372446865,463.7835023390789,509.188423420569,558.0968469979791,610.6492795768357,666.8683391017985,726.7233581947457,790.1802850315289,857.2011255197509,927.6717402543387,1001.3041404222898,1077.7793970700566,1156.7676310179718,1237.8980378630934,1320.5990741268884,1404.2348666432238,1488.1829190220749,1571.8148416485665,1654.3428572120051,1734.9392143855127,1812.8431915337326,1887.3415700321632,1957.6359577459693,2022.9661662544415,2082.692937774151,2136.2742035357037,2183.166398725306,2222.930099859793,2255.2627373240084,2279.978392860487,2296.9503526519893,2306.1705439877082,2307.729258479225,2301.809468760287,2288.654600592262,2268.6389619793144,2242.1763201975555,2209.692968584384,2171.635037393503,2128.539261047057,2080.9580682596925,2029.4239128643405
