Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,7.091855889150128,7.862000449895526,8.640749734630218,9.383485790691978,10.064230102783856,10.669006852103655,11.192089177198453,11.632276096621665,11.992102673686103,12.275438659671323,12.487447458313055,12.634021239595393,12.72071363081739,12.753254622601037,12.73741764823714,12.678445627401256,12.581104345577364,12.450095887078136,12.289790405448198,12.104134254661833,11.896659242092067,11.670601126003534,11.429028206802752,11.174671090748856,10.910001041403707,10.637230672828597,10.358313949584312,10.075036345856025,9.789010539022597,9.5016158168274,9.21409674155906,8.927563291194964,8.64299085940125,8.36122025553284,8.082960595147089,7.8088905898029894,7.539525506009448,7.275268184685525,7.016471422065633,6.763437969699545,6.516420534452387,6.275621778504632,6.04119431935211,5.813240729806036,5.591814275930983,5.376955794367396,5.168671317206109,4.966930122867941,4.771679986046412,4.586121836848063,4.422246892652166,4.29015884432711,4.194834816391842,4.139658128695943,4.126277026256418,4.156343610549725,4.231726061513817,4.353777071675405,4.524495634430618,4.746506514508932,5.022670088736976,5.3563577612246025,5.751704215122284,6.213608223005337,6.747666665927624,7.360036859026392,8.057830996979863,8.84922673947586,9.743467170512151,10.750862641142508,11.88306175630492,13.152652542658693,14.573760482208426,16.16247225234365,17.9368357258389,19.916859970853622,22.12456740966296,24.584907157014126,27.32357746616983,30.36937252923157,33.75518176177388,37.51798980284382,41.69887651496204,46.34312243253257,51.501478559642294,57.22267042553035,63.561026795258236,70.57957182375036,78.35002505579413,86.95280142604,96.47719592010606,107.01592761985675,118.65209334153143,131.48095639314,145.61410675023956,161.17946105593526,178.32126262087758,197.19141829066132,217.91091228319306,240.6057658304352,265.425031971623,292.54081262864145,322.1482586060238,354.4335704226656,389.5126537972441,427.509029344165,468.5677171403091,512.8552362305935,560.5442050403876,611.6881158779247,666.2891864862298,724.3594613995613,785.9201211498009,850.9767147407886,919.3517809645912,990.7920461257407,1065.0445772172454,1141.8559082656207,1220.877785370068,1301.5510679074243,1383.3063678697033,1465.591292025728,1547.8343170083158,1629.268334258809,1709.1058451078554,1786.62489982331,1861.146662871011,1931.8838422120702,1998.075027131676,2059.0743737070006,2114.3302533228853,2163.2753183309783,2205.433604216502,2240.461942455549,2268.128854592187,2288.256508844858,2300.7811506593944,2305.7425201601627,2303.2698871425855,2293.575240248587,2276.968165941823,2253.798021737921,2224.44975600925,2189.3583326176613,2149.0656781795074,2104.1029714728998,2054.968056419344,2002.136396901905,1946.161107515248,1887.5767911538587,1826.873783946904
B,0.5562239913058925,0.6182954905003684,0.6897168719943088,0.7724144325712277,0.867010190246899,0.973074101381388,1.0893997763656655,1.2142782290085463,1.3456827371303095,1.4815034486885919,1.6196228244802562,1.7579999328013047,1.894822609538297,2.0284556691096234,2.15743497130997,2.2805622659322315,2.39689490889463,2.5056415824976597,2.6061954697833474,2.6981302630802615,2.7811969966813512,2.8552709697010257,2.920322171452837,2.976448145688397,3.023807671452155,3.0626203718437046,3.0931667140177845,3.1157424688944317,3.130713163826707,3.138514245128604,3.139569175278609,3.134289338870643,3.1230740426140606,3.106310515333652,3.0843733347705213,3.057631811648826,3.0265250244640023,2.9914866433834226,2.952919441463478,2.911195294649576,2.866655181776144,2.8196091845666253,2.7703364876334806,2.719085378478194,2.6660755471385937,2.6116111017457597,2.5559780335070883,2.499401792532057,2.44209152000212,2.386679750998901,2.342365092975746,2.3171027240009314,2.315131338148745,2.339613659919119,2.3925033897329206,2.4758154754065105,2.5917719602392677,2.7422658200462844,2.929715296127099,3.157044839152861,3.427417006854618,3.744447029285496,4.112395478275387,4.536169385171542,5.021298244842285,5.573852475416794,6.200748749366656,6.909872359673713,7.710077403594443,8.611188537461445,9.624274503599807,10.761309830271735,12.03570794400909,13.462713911272095,15.059404438449363,16.84468787185786,18.839352508835383,21.066961012346347,23.55193108875188,26.32162497015891,29.407257073746845,32.84389400176707,36.67045454154397,40.92980789776512,45.67010424547875,50.93807521857136,56.7858341022251,63.27369224242705,70.47015904596961,78.45194198045017,87.3041334220703,97.11574737287164,107.96774502516053,119.95271187664581,133.17871595620247,147.7693078238725,163.86352057086233,181.6083221860627,201.1238376626699,222.53555375926948,245.99108198107388,271.6601808715913,299.73475601262544,330.3999351887412,363.77762537538257,399.9977187117255,439.21125074519847,481.5903999995421,527.3142939482494,576.4527231131842,629.0282024157839,685.0731134320538,744.6291104988757,807.7237864175871,874.212160744272,943.8764220627583,1016.4977774849448,1091.855641983469,1169.6370579893176,1249.3232019162847,1330.3808804335872,1412.2888047125239,1494.5025134619532,1576.2803019111725,1656.8525798584164,1735.5072352865993,1811.567715543901,1884.2408259787742,1952.7493177293425,2016.4251247554266,2074.688223664547,2126.9327362302456,2172.6372216867326,2211.4126793681376,2242.980861016482,2267.109786669049,2283.6812838928604,2292.6864765733458,2294.210747995611,2288.419522612034,2275.579634476508,2256.0061399450724,2230.057882360301,2198.1454375086355,2160.7902866094855,2118.5098781671304,2071.7942590545854,2021.116603307411,1967.0298626595697,1910.072875271227,1850.743166488399
C,16.686719739176773,18.496466806165085,20.314215844890427,22.02740053243366,23.571311160840906,24.912373344909476,26.038478215929292,26.949391071586522,27.654514561362394,28.16661110408994,28.50158423779593,28.676961964443347,28.709032791115803,28.614203126538182,28.408689720593905,28.10696581842898,27.721913344633098,27.26601806073869,26.75065791078672,26.185899779496317,25.580528496933773,24.942429652703883,24.27894480050393,23.596402163154444,22.900431692871305,22.19596747382991,21.487247722165264,20.778102817044555,20.0718383853037,19.371097813910232,18.678239257023364,17.99533613109282,17.324177114858824,16.666266149352186,16.02282925071574,15.395002554880074,14.783433135691372,14.18852504130172,13.610611111489883,13.0499529776613,12.50674106284809,11.981094581709025,11.473061540529564,10.982618737221884,10.509669755498837,10.053947278645733,9.615125061144335,9.192881989891166,8.786866086718863,8.40185393445421,8.056450489716434,7.766050839767287,7.537819448592141,7.376236540008321,7.282911607697556,7.259352315726787,7.30731267314402,7.427623788577304,7.622032665040457,7.893171383925685,8.243907033593915,8.677753532361148,9.199250473896193,9.813963122417213,10.528334163340611,11.349428889362471,12.285518482925115,13.3461768601057,14.542280215143741,15.886009107678705,17.391122267547168,19.07241178043691,20.946451709472683,23.03210029753229,25.350499967246634,27.925077320999648,30.781603273198147,33.94913149534677,37.457262399996544,41.339054429975185,45.632219074277494,50.37912086806478,55.6267773926662,61.42697651397233,67.83731936333027,74.91221499086512,82.71217739082385,91.30742855153795,100.77789845542343,111.21322507898098,122.71291527624936,135.3787619743939,149.30033763083026,164.5804900120053,181.33992064691984,199.71718482712959,219.8686916067419,241.957993857505,266.11131258061215,292.4600575044572,321.1602851019125,352.39270020187877,386.3626559892833,423.2637382747346,463.210281584782,506.3247770451917,552.752444404605,602.6612314401008,656.2249322452901,713.4874530097101,774.4381462139684,839.0773908699583,907.4157608099866,979.4474871476314,1054.9728804400693,1133.7139208478864,1215.3943205366943,1299.7385255025263,1386.3721368833799,1474.7016128142473,1564.1239866065137,1654.054466419091,1743.8885352845891,1832.8185339373565,1920.0156545366153,2004.7176052734737,2086.205353908644,2163.6464478435933,2236.2335891727334,2303.2770129879814,2364.1826249887076,2418.3386962525465,2465.226665900766,2504.4652775332875,2535.788991271478,2558.9876977339536,2573.9705655826815,2580.756988700697,2579.462051466513,2570.288663510122,2553.544550278309,2529.583440496219,2498.8006360041095,2461.6466376022395,2418.6885135151024,2370.4860351910615,2317.567523437607,2260.4413277020158,2199.7009918610715,2135.9237824647275,2069.6423100955826
D,76.75891080021316,85.0796774935555,93.41621056772712,101.23803850416158,108.24214055463914,114.27405173392151,119.2817950968122,123.27018495636219,126.28975981609638,128.4066934727845,129.70153291152795,130.26187056894253,130.16848382930044,129.50189172485858,128.34098969551775,126.7555367687672,124.80692725894698,122.5541770918689,120.05049688000271,117.34246460958674,114.47017910316796,111.46926059835724,108.37254086155575,105.20779286996894,101.99953167228168,98.76902736133204,95.53430507411191,92.31160615802081,89.11451797508182,85.95342372364215,82.83757974480979,79.77511815215175,76.7730468316939,73.83724944192134,70.97251280495809,68.18309862276884,65.47083631977941,62.83658208016463,60.28100104143916,57.804567294457286,55.407563883413076,53.09008280584021,50.85202501261211,48.69310040794219,46.612807546088085,44.609439066396284,42.68107840173981,40.82608597519581,39.04271944781114,37.352638149842235,35.84056339645403,34.57686352740716,33.594589185339075,32.91475752594698,32.54546254130076,32.49445527617319,32.77071302323937,33.37912664237429,34.328864260711434,35.6332258975693,37.30671804912907,39.36695083364083,41.83637195967105,44.742267426828384,48.11612518811955,51.99253204395735,56.411857917327424,61.42075070245873,67.0721344865645,73.42521947596587,80.54686207952962,88.50917982165464,97.39305525961122,107.29049392313942,118.30462431444943,130.54969790822113,144.15137432313017,159.25147342755196,175.99565592104727,194.54676939575262,215.09041014126348,237.83492314463112,263.01140209036913,290.8742499829511,321.7072189714796,355.7824617229536,393.4029317760722,434.91916846811716,480.7292969349534,531.2790281110285,587.0625443788874,648.5910059953628,716.324656672529,790.7902939704561,872.603076032515,962.4665215853842,1061.1725099390328,1169.554217375543,1288.282731940367,1418.060540968517,1559.7147622161847,1714.1972031482553,1882.584360938302,2065.910094222596,2264.848718049783,2480.122345592664,2712.5721366860475,2963.158295200408,3232.880168106587,3522.1289678478943,3831.039958605931,4159.806242883507,4508.675029250109,4877.8178955093335,5266.459210823645,5673.4290410664,6097.5503582785805,6537.634097619907,6991.979645210639,7457.758271417152,7932.050574950068,8411.9840517265,8894.540697804427,9375.605751760739,9850.886247775667,10316.37030274619,10768.208355689001,11201.882185808714,11612.926046786122,11997.442985274914,12351.991398822707,12672.959411666392,12957.17612997409,13202.19545169067,13406.17831922771,13567.529060953877,13685.28647013181,13759.121952387572,13789.255150794343,13776.359753740564,13721.701151081217,13626.859590369557,13493.704843130372,13324.421143910178,13121.849941040304,12888.851411060912,12628.170248584396,12342.493482432455,12034.98406075147,11708.757339225864,11366.718300547069
E,10.290143839159011,11.405188671417992,12.520176937747594,13.562702262990404,14.49162349506393,15.286282915978996,15.94016084402248,16.454581089013264,16.837140544457522,17.097544303900175,17.247407124975886,17.299232984632926,17.264481161880354,17.154480221677204,16.980252364830175,16.751465382030496,16.476544353916218,16.16353158463008,15.819610556995498,15.451007227617668,15.063012898053225,14.660281020875091,14.247062045537325,13.826884835633745,13.402838945535889,12.977576585577244,12.553312622053252,12.132037166813621,11.715361515263087,11.304451783731196,10.900347133270298,10.5039601637955,10.11607691408469,9.737356861778538,9.368336076528733,9.009468645896353,8.660867219693221,8.3225332348669,7.99445906100745,7.676628000347419,7.369014287761854,7.071583090768285,6.78429050952673,6.507083576839739,6.239896365083779,5.98245855035206,5.734478558723626,5.495729303219036,5.265974775368202,5.048390370835494,4.85534426126414,4.697220298684561,4.579041125477366,4.504155816130142,4.474095155172035,4.490390027607938,4.554793847800342,4.6685161230626555,4.833435832060634,5.05207939337703,5.327209657529386,5.66211126344075,6.060849951979178,6.528273156661292,7.069935426850952,7.691955678981415,8.4014232989668,9.206500479403372,10.116422115902854,11.141497561706801,12.293369927249268,13.584650086685137,15.0294995647072,16.644035183634553,18.44632906341263,20.45640862161315,22.69630648525213,25.190963100278637,27.966213476062343,31.051000107588166,34.478320244218814,38.2852258896942,42.512823802132615,47.20637585356868,52.41661404383778,58.19284609269462,64.59004296351124,71.67174030632198,79.51003845782354,88.18560244137504,97.7878480507635,108.41028854010388,120.13846156099689,133.07010601914297,147.31908303490385,163.01537594330367,180.305090294026,199.342781228505,220.25629188312155,243.17962549986493,268.26993475948143,295.70754384255815,325.6959484295219,358.4326616510554,394.05234207353936,432.6988129216471,474.5384029021059,519.7599457696178,568.5604120193345,621.0272311321877,677.2009068326074,737.1326598473316,800.8838200349029,868.5019203186275,939.8586545565583,1014.7507912946857,1092.9725287497163,1174.3146280301141,1258.4707058303077,1344.9191812123029,1433.11877585402,1522.535131422648,1612.6043913854428,1702.5506850797028,1791.5608614159069,1878.8740256625392,1963.7588066383225,2045.3520401491635,2122.7978302453157,2195.349395991478,2262.34702215202,2323.0947174553544,2376.9799701653346,2423.5307253779456,2462.3921070185183,2493.2531578594567,2515.9248205783656,2530.340873891479,2536.541135162422,2534.650470503001,2524.9072358265594,2507.6108312898914,2483.1167437155455,2451.8394578762545,2414.318286317554,2371.0961037482425,2322.6934988343473,2269.619715662172,2212.4736522319636,2151.8446299929246,2088.2814000105777
F,6.813743893497183,7.554610568434449,8.308567847027692,9.03583879761993,9.713107911457021,10.327558388153813,10.873550766834356,11.349328595574255,11.75636885250563,12.097281040966465,12.375801606722677,12.596317380862638,12.762953550671773,12.880032118776992,12.95195719429703,12.982737616669803,12.97603629338464,12.93551748429543,12.86461549833093,12.766467020354177,12.643919578101103,12.499624958062673,12.336134190372427,12.155758896585336,11.960634293375032,11.752719745595208,11.53379876627961,11.305536192610026,11.069473404996444,10.826987903378038,10.579355956154867,10.327752690015561,10.073252089937368,9.81682699918613,9.55935033329684,9.30163998655571,9.044411530860451,8.788300066726109,8.533885902974362,8.28169455673351,8.032196753438482,7.7858084268308305,7.542890718958731,7.303749980177026,7.0686390533061685,6.837820646141965,6.611517140662889,6.389895466161954,6.173092621456727,5.966052662563887,5.786714839539056,5.650307637334729,5.564531911236962,5.534776225897686,5.563891098768844,5.654738592150285,5.8104963276530714,6.033577938779165,6.32733662868849,6.696029486615993,7.144250046714908,7.6773324753228644,8.301715680747186,9.024944258423293,9.85557615109737,10.802985398670682,11.877931186469601,13.092721862768286,14.461214904913872,15.998819570326187,17.722887117981813,19.65213876912943,21.807526302321055,24.212841532438084,26.894716310691337,29.882622524621,33.20894601002858,36.91028262216614,41.02436315736411,45.59338495030359,50.66542812032192,56.29445557141185,62.5403129922232,69.46887620191869,77.15382363949836,85.66619111807239,95.0850796656518,105.50198147091737,117.02077988322007,129.75774941258078,143.84180894371463,159.40693272820317,176.57424879360832,195.48229380392158,216.2927645843288,239.19051812121123,264.38357156214164,292.0911732348552,322.4908753501608,355.76827320577496,392.1417660153388,431.8625799617913,475.2147681973678,522.47144240257,573.8108186972013,629.4231870212463,689.5300561509138,754.3841530252294,824.2482744732337,899.2231658680698,979.3403732584569,1064.6461162339765,1155.2003413580283,1251.0422275225121,1351.957330709715,1457.6248680958552,1567.7221375891029,1681.9232556404002,1799.7660859802031,1920.4869312686008,2043.2996028077941,2167.4330602761856,2292.08010917035,2416.143426703401,2538.482353457853,2658.0366976679957,2773.794888846053,2884.5723945266873,2989.204994578905,3086.685422650031,3176.1327968946875,3256.6267602868515,3327.3691755161663,3387.756025740341,3437.3459399233066,3475.76577266597,3502.810899789633,3518.4404096996577,3522.755011358425,3515.9756219374117,3498.476047633571,3470.7058528251987,3433.183768754324,3386.508270215776,3331.44635922196,3268.7631141919087,3199.186743428694,3123.424143731813,3042.3039641254963,2956.637113771121,2867.175363559122
G,0.6952799891323657,0.7715921144445423,0.8529507610937191,0.9376182634322788,1.0243541640202352,1.1121375844843953,1.200072315348273,1.287292786004298,1.3730032821613405,1.456444445522,1.536926168643258,1.6138336790216505,1.6866351608424714,1.7548887857684845,1.8182326610363304,1.8763954795505093,1.9291951991878178,1.976515830489068,2.018307077860235,2.054578146510314,2.0853968972084367,2.11087269825348,2.13114981438474,2.1464128309679475,2.1568616870035062,2.1627115397207115,2.1641927645777517,2.1615350445052943,2.1549909557674827,2.1448331718718467,2.1313229781207794,2.114710236732077,2.0952333868389457,2.0731194444899956,2.0485838449846643,2.021837109728331,1.9931138756331954,1.962641485264309,1.9306307870894999,1.897276135479372,1.8627553907073051,1.827229918949454,1.7908445922847496,1.7537277886949023,1.7159924758191136,1.6777894158327433,1.6392590857972558,1.6005123006680837,1.561651136614398,1.5243153672738143,1.494310151714181,1.4766753537746136,1.4741117633412837,1.488658722587974,1.521607910660296,1.5743082630342657,1.648258452133466,1.744769960932424,1.865510524243112,2.012493159862817,2.1879108572349195,2.3942783436376684,2.6345595441316236,2.9121685616687905,3.230961036875345,3.5951935665455186,4.009729106513903,4.480125915491183,5.012637725575919,5.614214947462276,6.2927041477805,7.056663104186683,7.9157254492143325,8.880865549252302,9.96439850454483,11.179980149191483,12.542640180167929,14.069473819981305,15.778508397406785,17.69003302107777,19.827195176843937,22.216000727770876,24.88531391414087,27.86692557369933,31.19677407170547,34.910925756254926,39.04976713011749,43.659840354164906,48.793843247370965,54.51062928681143,60.875373034229725,67.95795307496589,75.8252049262507,84.55328670064635,94.23033404215074,104.95646012619875,116.84375565965966,130.01248316994202,144.5701599828856,160.63077120913394,178.32657975305258,197.80816011507818,219.24439839171777,242.80503828633047,268.6236387792229,296.8434478026945,327.62735834442054,361.15790823518967,397.6278307785501,437.16017104885043,479.84826040765,525.7961327624652,575.1182521531958,627.9221933634408,684.1892418590788,743.8437566087522,806.8053870365353,872.9884627136905,942.2287610134066,1014.1862793406721,1088.4931227703205,1164.7741425468057,1242.6173912709169,1321.4189074613057,1400.5212640665072,1479.2905146063074,1557.0974163889687,1633.1729023481723,1706.7260520237853,1777.0433595619072,1843.4698376684023,1905.2891940709196,1961.8382881811772,2012.5757045822538,2057.0596709746187,2094.865562361973,2125.6745904437958,2149.291905440762,2165.62883249709,2174.6634974461163,2176.4842390689773,2171.256811939607,2159.219313335139,2140.66630888146,2116.0128865285164,2085.6961208470025,2050.150169665926,2009.8146582321679,1965.213583447764,1916.8746908482865,1865.2982596674974
H,1.2515039804382582,1.3886306635751753,1.533612888925496,1.6825324008629796,1.832728893949997,1.9821941887718397,2.1293292238549113,2.272703275341341,2.411098005679378,2.5433957283567405,2.6686311405727663,2.785986797552141,2.894779418165989,2.9944825689070704,3.0847058662901885,3.16519733963956,3.2358420038937012,3.2966323981872145,3.3476610581467816,3.389106180082733,3.421230323875094,3.4443541406352383,3.458849145758871,3.4651420907309833,3.4636737055069475,3.4548984831544667,3.4392846798535768,3.41729002493893,3.389403022495753,3.3561360875552486,3.317974411764379,3.275375907920548,3.228771209971608,3.178563673015859,3.125129258024791,3.0688339348187093,3.0100773799025986,2.9492407293965357,2.8866739091077602,2.8226956345306853,2.7575934108468902,2.69162353292512,2.6250110853212894,2.5579499422784884,2.4906047105912448,2.423206312967783,2.3559668579905835,2.2890453827455346,2.2225853612991484,2.1586384793990456,2.1044233778224335,2.0660994126266594,2.0468432560087773,2.0489236967603395,2.0736081093215337,2.1221727798730132,2.196022131567442,2.2962607599945555,2.4243693359976737,2.5821899576065834,2.771703691820624,2.995192609663858,3.255385455649868,3.5554581084875285,3.8990005306547455,4.289940756218229,4.732772984342466,5.232628999096667,5.7952781884387194,6.427128659679674,7.135393096970111,7.927851816682258,8.813209843981403,9.801352064636133,10.90334322501836,12.13142793210332,13.499061567737506,15.02145622074067,16.714302518496726,18.5951567826266,20.684032000432417,23.003397824897075,25.578180574685064,28.435825103978644,31.607053733927398,35.121508198276736,39.01221494052258,43.31739514290759,48.08046472642126,53.35003435079987,59.1800184215394,65.62652135252164,72.74030054449122,80.57943734405134,89.21176129640203,98.7148501453406,109.1760298332602,120.68742884646787,133.32375435559933,147.16308111753398,162.29735921049993,178.83242528559416,196.8880025667817,216.57933265614395,237.98161395236045,261.17511594009386,286.2534027651409,313.32333295657986,342.4961307442038,373.81436190611345,407.2910825931519,442.94569460750023,480.80356648851927,520.8813898129359,563.0878544714327,607.286222207018,653.3392293950658,701.1085716590754,750.398088745604,800.8826139965686,852.2277880749461,904.1064480980576,956.1766378088188,1007.9722794394477,1059.0092451458413,1108.8389889019115,1157.034807368259,1203.0960322289275,1246.5313020846318,1286.9175936952197,1323.886937565114,1357.054380051649,1386.087723596241,1410.7383449563274,1430.8274766759341,1446.2050690877065,1456.7929607268818,1462.582491849142,1463.6249237455188,1460.0219722777438,1451.939805053395,1439.5757118355953,1423.1552782294607,1402.9369831035528,1379.249911481173,1352.421091955178,1322.7606263790315,1290.5683387299541,1256.194857455736,1219.9822290148586,1182.2465513695786
I,4.449791930447139,4.9341199104242985,5.429567150894141,5.911711627963536,6.365996240180708,6.784073571081742,7.161827273342166,7.497409865128525,7.79091145269752,8.043133287558401,8.255615169921812,8.430367295964823,8.56935774480323,8.67477551123038,8.748950599191598,8.794088156646678,8.812292820798762,8.80573742029906,8.776530232562566,8.726661174096593,8.658005132809496,8.572354386081072,8.471470874940515,8.35701059711156,8.23052494198883,8.093460828910327,7.947160707157449,7.792881109438824,7.63182614569407,7.465114866382299,7.293780423713984,7.118770085704601,6.940945236174632,6.761081374749576,6.579869136688664,6.397969540138652,6.216003191558175,6.034524265735612,5.854033419226472,5.674977790353405,5.497750999206205,5.322693147641795,5.150090819284241,4.980177079524767,4.813133743284305,4.649203031369074,4.488592239561335,4.33143894663238,4.1778553117302515,4.031024968450183,3.9024378604843655,3.8017746211032777,3.733847555929362,3.7019334523599077,3.7076397594417174,3.7525453109423985,3.8383992046931645,3.9664255964302555,4.138417239218258,4.356713595107549,4.623827902532847,4.942700292372021,5.316927483639103,5.750763124948779,6.249047582089132,6.817068992138279,7.460919581112373,8.18758347160109,9.004936569954715,9.921748095464443,10.94789485488285,12.093997478194355,13.371934672792603,14.795201372234587,16.378908736240678,18.13978415069458,20.096213853636286,22.268946347916508,24.679232968847145,27.350829418505867,30.31082915942136,33.589663414572854,37.22110116739109,41.24233289247001,45.69484404547443,50.6182383276375,56.05662137810762,62.06111924838172,68.68987840230542,76.00806571607285,84.08799888077843,93.00431820749048,102.82375196123505,113.62282132879936,125.49111309793133,138.53127965734024,152.85903899669444,168.59604109643692,185.839065140947,204.6892417498094,225.26612107451533,247.70768142976175,272.17032929345055,298.8036243189051,327.7022798979018,358.96775262609606,392.7190700348525,429.0928301962598,468.231176966879,510.18411724620603,554.9626893902328,602.5866753819589,653.0840593192879,706.4715874582151,762.6237203759104,821.3561369798279,882.4847076706426,945.8247831725486,1011.1165117135545,1077.9326085281407,1145.8349037501857,1214.3953170625334,1283.1670932675174,1351.54305225821,1418.8934527961626,1484.6345612363407,1548.210830798096,1608.9715300409357,1666.2781505214302,1719.5797223089103,1768.3957732340307,1812.2243291313316,1850.6313238267128,1883.2899526437,1909.963226658288,1930.4518612827906,1944.6494831406199,1952.5396435264815,1954.18362510769,1949.7088973821283,1939.326962205645,1923.2904469094317,1901.8894659028613,1875.4577874967272,1844.4219597087335,1809.2068329826216,1770.2162461153166,1727.8416690632118,1682.5416671191374,1634.7645650457227,1584.925607279885
J,0.5562239913058925,0.6179314368687111,0.6870979567179607,0.76447793325062,0.8501378284384239,0.9435380766178989,1.0436802320525058,1.1492531037813474,1.2587598340911668,1.3706562447798738,1.483407568516244,1.59554367559081,1.7057570960761075,1.8128731198523638,1.9158440955241665,2.0138127222539386,2.106105598049436,2.1921622844563746,2.2715561608803685,2.343991578913912,2.4093017383328044,2.467411209101462,2.518314913370139,2.562100467370062,2.5989010637395427,2.628895194774745,2.652306652429689,2.669371212951166,2.680375771160812,2.685658551913033,2.685549506913531,2.680370246165405,2.6704340379691556,2.656045808922684,2.6375016367061614,2.6150912148504784,2.5891575103819178,2.5600405218798334,2.5280567332294646,2.4934991136219415,2.4566371175542816,2.4177166848293914,2.3769602405560644,2.3345666951489887,2.290713211648274,2.24564187741127,2.199580397221243,2.152709690048755,2.10519794907403,2.059369218928305,2.023389082423008,2.004359128349472,2.006106746756303,2.0315381173711042,2.0825158552691,2.16098642992427,2.269109302947499,2.4087854437819614,2.582419175654519,2.792902828566934,3.04338688116548,3.337480447240119,3.6794312144654016,4.074126889733414,4.527085533901617,5.0444024609566425,5.633041670666293,6.300964557394514,7.057130169034243,7.911496926660195,8.87531070456373,9.96085587134035,11.181976457254223,12.554452817678031,14.096001633093021,15.82627590908893,17.76691211918476,19.942541027719486,22.379241235926916,25.106402087291045,28.15756441487914,31.570420541341235,35.386814278911245,39.65283804918203,44.42068125080656,49.74315883054999,55.67950391484054,62.297938296176895,69.6756724331285,77.89890545033532,87.06307423999053,97.2711568021371,108.62296267394487,121.23221870839093,135.2303315328999,150.76638754934473,168.00715293404397,187.13232493512575,208.30639374959136,231.70463559751127,257.5299773988397,286.01305306238913,317.41220348582897,351.99018327419094,389.9630013285661,431.5633433244278,477.055201352547,526.7338736667697,580.9129745674065,639.8127736832686,703.6150654837205,772.5211754274764,846.7516970530743,926.5216797572153,1011.868033018049,1102.7471476655764,1199.1103014290834,1300.9028133471963,1407.9547129342773,1519.8327633711276,1636.0565658058028,1756.1287559845007,1879.4895757655204,2005.2745950375433,2132.5211430710433,2260.2859659916035,2387.616021808419,2513.3155630427564,2636.127034264777,2754.893548664791,2868.529300965333,2975.8179695637705,3075.6000781111984,3166.8991667114105,3248.8857691269436,3320.7270629094082,3381.747891772667,3431.481272976302,3469.6376726967187,3496.0169433343294,3510.5993417375635,3513.515659757039,3505.038580587659,3485.532856283705,3455.56243007111,3415.7523640338504,3366.747908165591,3309.2255091611737,3243.999526800121,3171.909072113267,3093.7636334302515
