Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,252.58361018355652,279.97088900195837,309.6180180748345,342.14960698813593,378.1819670135537,418.3287878837081,463.2121739523497,513.4744182200905,569.7901307742516,632.8802775258064,703.520304684459,782.5534942174612,870.9064788144045,969.588902072785,1079.693199385444,1202.4412533338152,1339.1898185386697,1491.3946082324335,1660.6085585099634,1848.5360447556582,2057.148349268485,2288.524704839182,2544.8220649281266,2828.2688333296423,3141.4380473818774,3487.276230229294,3868.6733827425096,4288.4411738819745,4749.347334589556,5254.879281562426,5808.821096063955,6414.455863064868,7074.549105102701,7791.623236904195,8569.507722281345,9411.556345034054,10319.689401519958,11294.406397810597,12336.4164506265,13447.567594809814,14627.346106290504,15872.463971069441,17177.710162143758,18539.829922060675,19953.55326310014,21409.595702676354,22895.149367896156,24399.17885416488,25910.047530935804,27411.918419329777,28885.15743243097,30312.633419355512,31678.461441668653,32963.80329231213,34147.47601174787,35213.171941707355,36147.4559605752,36935.8889528553,37564.20519944593,38025.40402591341,38315.52533824512,38431.003482426364,38370.5271775321,38139.74493332769,37745.99748565434,37197.266768746646,36504.04865226645,35680.56191511343,34741.27454052835,33700.79861121034,32574.773168819505,31378.886403047745,30128.160990783694,28837.46831202459,27521.427886041973,26192.36265770779,24860.952575743715,23537.836901571107,22233.521099836948,20955.791749875418,19710.00304632655,18501.513078092044,17335.735712416452,16216.577244025208,15145.27136189707,14123.059738241178,13151.44921391572,12231.67296228432,11362.701761047028,10543.26257737048,9772.438748911936,9049.61810767803,8373.24534090843,7740.893755257502,7150.492119547755,6600.3368271091695,6088.94761231849,5614.00766092173,5173.101932125138,4764.149284283438,4385.3845719996425,4035.2716664884992,3711.7968880049198,3412.935638122859,3136.92074923305,2882.224477713532,2647.5578492199465,2431.574716288719,2232.7117011573473,2049.5969456107687,1881.0186161154015,1725.924903819149,1583.4240245513824,1452.615380770526,1332.4621471570003,1222.0668206181117,1120.6274863622934,1027.4378048754513,941.8870119209594,863.458384353572,791.579955618499,725.6507724854011,665.1586389358722,609.6421734599561,558.6908090561476,511.94479323139143,469.09518800108185,429.87733876309215,393.96177691138155,361.04332633840465,330.86093833839243,303.17827517279284,277.78371007026965,254.490327226704,233.13592180519285,213.5829999360497,195.71109258722316,179.35419527888808,164.36852107883828,150.63022632642713,138.02785622086884,126.46234482123867,115.84701504647272,106.10757867536833,97.18213634658338,89.02117755863706,81.58049959545254,74.76693227676903,68.51944306808213,62.79175967160411,57.54164503266449
B,18.436759867412885,22.944351759654754,31.88713604351164,44.622969433025744,60.91498040449437,80.7851084275427,104.44688525637812,132.23342748288064,164.5881683928307,202.0542783488656,245.24340073771612,294.8652143697707,351.72671001447,416.7188406908214,490.8229958877312,575.1539017276313,670.954127605025,779.5835156325021,902.5190245616868,1041.3943537019695,1198.0703807325149,1374.555880584623,1572.9932942822718,1795.6532200110237,2045.108661952641,2324.273091813192,2636.1243052368036,2983.689894448888,3370.058954580964,3798.914989254878,4274.270430265453,4799.860120964734,5379.12757790628,6015.391926266754,6713.0624973646945,7476.248716572683,8307.936707723005,9209.99295546498,10184.415137028753,11234.18095256195,12360.175128080213,13560.792641460483,14832.620770411642,16173.791790468611,17580.44574467821,19044.795566629553,20555.547686305308,22102.6613658945,23675.181826227672,25257.748118619435,26830.94851074745,28377.269410799396,29879.96284053573,31318.928900529827,32671.293391659718,33918.580929244694,35044.88031318623,36032.94369080521,36865.38419697099,37532.127245346186,38026.21304601728,38340.982772461844,38472.08683635301,38422.82686087116,38198.48413113472,37805.068956861556,37251.5022804753,36551.36421753823,35718.710145079545,34767.826250639766,33714.424748880796,32575.03831886098,31365.608258412627,30101.898644725054,28799.52584317726,27472.25118503171,26132.13832250525,24791.149688939193,23461.07032118566,22150.997264898997,20867.464976752646,19616.94227889504,18405.908770784685,17239.233523591614,16118.890416940309,15046.804270983519,14025.145503284175,13055.752782358784,12137.966566499035,11270.809305211395,10453.664122612217,9686.219004401284,8967.091138481292,8293.891417397403,7664.600600367969,7077.587637657003,6531.449129077691,6023.820094944855,5552.198479175948,5114.4424200614585,4708.751090137553,4333.566836104564,3986.7744649139486,3666.2278328901507,3370.062357173758,3096.6753291217697,2844.725175133349,2612.7947328838336,2399.205506405714,2202.4886584666015,2021.351744295528,1854.6787115829477,1701.5299004807207,1560.9488938612747,1431.814224927562,1313.1581704674445,1204.118831670745,1103.9401193420865,1011.9717539008873,927.6675119555521,850.4135609334742,779.5569404414275,714.5437015559392,654.8762576385215,600.113384335671,549.8702195788693,503.8182635845814,461.67787519812646,423.092160948193,387.7289528729912,355.3055934708367,325.56686461630744,298.2849875602442,273.25962292975044,250.31787072819168,229.3142703351959,210.1219355689881,192.55993652736885,176.47142907433582,161.72202200676577,148.19114129874154,135.77203010155174,124.37174874369084,113.91117473085943,104.32500274596356,95.56174464911554,87.57550671297416,80.26299063315575,73.55780911700933,67.41037304979044,61.77543919214156
C,606.5693996378839,671.8927643440893,741.7602665639062,817.5113883694544,900.3268304815107,991.3111288381141,1091.5404326521166,1202.112008766438,1324.164548962359,1458.9028368491802,1607.6171663388648,1771.6960851399513,1952.65336631282,2152.1135807741753,2371.8053862241327,2613.6535108865796,2879.77537770509,3172.3809374515968,3493.767856284925,3846.42632214748,4233.26980018419,4657.263733057705,5121.355263447479,5628.460461798584,6182.006404182257,6785.950487336346,7443.895350532044,8159.044501066524,8934.285353149826,9773.63751316087,10681.377420139625,11660.57955893636,12713.08789055284,13840.091883830013,15044.81636964355,16329.381505419991,17693.27919975333,19133.411154139005,20647.01282282841,22232.96862122159,23886.504341185344,25598.649656449485,27357.715197641188,29155.345169207558,30980.649790486397,32817.67875796418,34646.203107892936,36449.5366102473,38211.186170773326,39910.28510905445,41522.206574118456,43027.06731120435,44407.88429545741,45645.29072098825,46718.34167863503,47613.2196031372,48320.317752338306,48829.66377068404,49132.259224935304,49227.472765496714,49117.956521922606,48806.99501776537,48300.30735111047,47609.952642578784,46749.24776411317,45732.06094005675,44574.23968824811,43293.77867972285,41908.51993861754,40436.35543871929,38895.525400718725,37302.67384662526,35673.602770542035,34024.07881828955,32369.42685609624,30721.384143299605,29089.94219090041,27485.22456115415,25917.34056135224,24393.159354257787,22916.95060155696,21493.151002551887,20126.37708372008,18819.668703262847,17573.296228392275,16387.65032543548,15263.483628811837,14201.334354483612,13199.441355471867,12255.87099261863,11369.11058543077,10538.01322396211,9760.506713665816,9033.675561479486,8355.003956111144,7722.3835815014845,7133.965403612352,6587.074873251254,6078.964166632474,5607.245745692157,5169.873545024471,4765.053919658918,4390.522010172546,4044.015979590311,3723.5493116703497,3427.3922919642514,3154.0713357443537,2902.064332883929,2669.6331542625753,2455.2439646375437,2257.5353445561327,2075.318290355698,1907.576214163631,1753.28908413341,1611.2981205031438,1480.5933402744981,1360.2690971674435,1249.5240681262019,1147.661253319242,1054.0863564870672,968.1492233612099,889.169387476049,816.5625115775233,749.8008605645383,688.4133014889643,631.9853035556378,580.1589381223603,532.6257966691321,489.0077097258174,448.95223074841954,412.1559805773356,378.34384287133,347.26896410753494,318.7127535814503,292.4848834069427,268.4232885162465,246.38556675987377,226.17792939475964,207.63036939404398,190.59579984802966,174.9417478373694,160.55035443306568,147.31837469647073,135.15717767928686,123.99274642356568,113.76567796170909,104.4227410847057,95.85216447634566,87.98039849528878,80.75147051468825,74.11420266592924
D,2758.1392761649677,3064.9536312359905,3408.7751919644893,3792.2388815611985,4218.638398533642,4691.884171107105,5216.494845967162,5797.5824612765455,6440.875230002954,7152.756880779244,7940.237187860669,8811.062725425852,9773.80922385128,10837.76232536633,12012.904686152913,13310.396490075162,14742.535275565719,16322.315848945169,18063.40991007351,19980.685716335975,22091.324752097385,24413.103073177488,26964.06689398338,29762.46066002913,32829.37181567529,36188.92246387774,39863.918598730554,43875.629047786795,48244.149343471836,52995.70701958556,58158.39663148351,63754.60910507415,69800.87806843269,76310.6816159348,83308.63447645084,90814.0009819295,98832.3149768901,107355.54663416503,116377.37045320224,125900.76418979798,135908.28008274836,146358.81807973923,157195.45642552956,168378.9914795352,179854.6680332213,191536.78109375757,203312.96762624022,215088.5928652346,226767.3169109664,238223.22980413167,249304.28128514875,259882.4995745545,269843.3648935536,279053.4446429704,287365.19777620933,294671.18846427003,300887.3330369976,305924.1770706755,309695.51879944484,312168.06754314114,313329.9055385081,313172.5115201116,311703.41554535925,308976.31158592453,305055.66142438626,300010.5954574485,293926.549542905,286910.8181247016,279072.0645606796,270520.4549444619,261372.11076423668,251739.74390745605,241731.67077428367,231456.11311101497,221019.64887862586,210509.81236099862,200002.75140928914,189575.12961089422,179303.3230687684,169243.3205560893,159433.46933004522,149912.6523520296,140720.56422293224,131885.94280249078,123417.88920898108,115325.76805208303,107621.06526294578,100313.36070158007,93395.41754032242,86858.19804354377,80695.34630121791,74902.80060877137,69469.39633491509,64377.31133836735,59611.36016606985,55159.102465189215,51009.74981735143,47146.05342609067,43549.89015554016,40205.64822665264,37100.097093609445,34221.71914547861,31555.20945943285,29085.056575226106,26797.716253121653,24681.479504081435,22726.46752149087,20922.30076920402,19256.77146192039,17719.135977509206,16299.903971062373,14990.838374894489,13784.955398542745,12675.165452810199,11653.19432630341,10711.851740242802,9844.715306343307,9046.130423990215,8311.210280239151,7635.823338076487,7015.354866642965,6444.884110856142,5920.206817433343,5437.539113607343,4993.517507126359,4585.19888625405,4210.060519769512,3865.9446867891747,3550.1164908332803,3260.0051452959256,2993.411115818634,2748.3463944034697,2523.034499413038,2315.9104755704866,2125.620893959498,1951.0238520242988,1791.1210854392286,1644.491783630174,1509.8857740532553,1386.2280575935986,1272.5541248098732,1168.0099559342893,1071.8520208725965,983.4472792040897,902.2731801815997,827.9176627315035,760.0119055118985,697.7150520485001,640.4863696251962,587.9216230306569,539.6512844742599
E,377.95357728196416,419.8733346136667,466.6234531570134,518.531227306965,575.9841307379874,639.4464608803233,709.4667222028754,786.6845753161435,871.8332130188486,965.7445985638927,1069.3488670808852,1183.684548403108,1309.912212364964,1449.3012243479375,1603.2288236809316,1773.2393023633147,1961.0438322682721,2168.472027557825,2397.4699498197615,2650.1685559400294,2929.018501938313,3236.5979536489517,3575.5770715482586,3948.7104013108074,4359.1611644495915,4810.5344273308065,5306.364029765111,5850.08655346926,6445.080814872879,7095.574301594883,7806.139940827479,8580.741238652921,9422.71233580899,10335.082655640455,11322.423838438093,12388.721865005162,13536.230674629187,14765.487245037555,16077.255978275583,17473.638101106073,18953.893456080197,20513.94783275463,22147.409708951756,23850.206426421588,25615.845721173053,27433.028418392954,29286.23458521508,31162.056344140634,33046.36537227064,34919.99941993589,36759.24283494439,38543.36054606679,40253.08624929402,41865.57464030949,43355.12762691222,44701.83091573024,45889.14005791605,46899.23441438251,47714.429428382,48325.677422065026,48727.521452162866,48914.94161675392,48885.595942330096,48645.515848040086,48202.81127537663,47566.41231717885,46748.3491104726,45765.29415105469,44634.34175251649,43372.865063194746,41999.62048303658,40533.650788176485,38993.31167469611,37396.86507518441,35762.37999926875,34105.31412205355,32439.195414123315,30777.549283446082,29133.788377391473,27518.067496442964,25937.567107221854,24399.479236805753,22911.077518754668,21477.774028517964,20101.621999692507,18784.666560714468,17529.277033759343,16337.465748056475,15208.34190274762,14140.667243623377,13133.640632217872,12186.832278238753,11298.568716086178,10466.003686241402,9686.729160466892,8958.796586297998,8280.528278928048,7649.115111999538,7061.582805597899,6515.3817739796705,6008.364919464451,5538.672065963599,5103.778507437293,4701.115688726354,4328.448792180316,3983.8539887328757,3665.71756200639,3372.3332698029317,3101.6739335589164,2851.960781149399,2621.626967914574,2409.31757665979,2213.8896176555186,2034.1781277990128,1868.811355741626,1716.6013620391966,1576.4893880396376,1447.5458381680119,1328.9702799265274,1220.0893015171227,1120.1446888712965,1028.3244517855167,943.9375945866647,866.3633038173662,795.0509482359942,729.5200788166662,669.3604287492454,614.2225126277875,563.6578889361556,517.2453986432345,474.6260407791303,435.47580582156627,399.50567569588236,366.4616237750357,336.1246148795993,308.3106052777631,282.85912522655906,259.53832472701816,238.14497659543423,218.5048855157391,200.461976111184,183.87829294433917,168.63400051709428,154.62738327065853,141.77484558555983,130.01091178164586,119.27709435396845,109.43661805496795,100.40226353151805,92.10927204454795,84.49849462421471
F,258.1146381437804,290.8885552071986,334.0116042204864,386.5486410976714,448.26256540208936,519.3819367874794,600.4913173432376,692.4129463276865,796.1891793868704,913.0637464357421,1044.4252866694644,1191.8597482220296,1357.1516494634097,1542.2466663114435,1749.2592470823884,1980.574972065125,2238.830340869412,2526.8544210608707,2847.6666218709615,3204.573112933383,3601.355889786579,4042.0030612275305,4530.659084925912,5071.609401551775,5669.738977778704,6330.592036304675,7059.605821470861,7862.0708354684275,8743.177087181466,9709.34974262442,10767.508516195765,11923.59530971766,13182.542425748235,14548.745104667993,16028.859326741442,17628.55121851348,19350.71954779554,21195.519028573857,23163.330301943435,25256.43598598201,27472.650839175658,29804.573270800105,32241.166265328913,34774.841054770484,37394.28691837382,40080.937291641945,42809.88193737237,45559.55144915744,48307.48979851837,51024.022717829386,53673.00689959496,56223.225324201674,58646.161815152234,60908.572294712176,62973.58350637357,64813.47626687995,66406.01906949867,67727.6378041355,68755.47030528814,69479.51442935425,69895.1303072314,69998.5329626314,69789.92221320537,69281.14002779705,68486.79520998512,67422.61249766014,66108.42754238915,64569.82047249518,62832.68952454373,60923.19262937775,58869.008385282345,56697.30468456051,54434.09815704806,52105.234492882664,49736.097203754616,47347.707072406156,44958.28592802667,42586.07397077445,40249.15082163427,37960.78786323735,35730.05516922273,33566.09424362363,31478.192195721444,29473.03552703695,27552.687758062486,25719.25765812412,23975.337759071026,22323.064389270217,20760.647934024935,19285.883943053657,17897.195142779692,16593.541003478793,15372.237956628216,14229.074792127905,13160.459758190182,12163.443269757494,11235.46520636494,10372.48945235566,9570.29536786248,8825.246487575609,8134.259761441579,7494.652163406304,6902.886244537803,6355.392048656446,5849.053131791934,5381.175542915472,4949.486664761626,4551.606444529938,4184.753223949918,3846.4825725909823,3534.6354461242818,3247.338186322701,2983.002521060832,2740.0202528744294,2516.5262583324325,2310.902836875297,2121.705024322616,1947.6605695690087,1787.6699345841123,1640.803499569603,1506.0269799131559,1382.2445996497656,1268.5213362089855,1164.015460834918,1067.9785385862156,979.7554283360788,898.7842827722566,824.584385343216,756.5507662518909,694.1183238610437,636.8037367030081,584.1699277092134,535.8260642101841,491.4275579355404,450.67606501399683,413.3194859733639,379.1373058333915,347.8194734705003,319.0949268677485,292.73049885471397,268.5167775273732,246.2681062481005,225.8225836456673,207.04206361524356,189.81215531839612,174.0422231830903,159.65124906075195,146.45949965781537,134.3507178528895,123.23760585525166,113.04041990832371
G,22.124111840895463,26.224776339957216,33.426314921071416,43.330767491450594,55.81901661795072,70.95051693257547,88.91830683415095,110.00095191688268,134.5576042987645,163.02247890761774,195.88504688156402,233.7114772278933,277.1463073811802,326.90597445400226,383.7844266061283,448.6841249898412,522.6163047234223,606.6989975715711,702.157414868852,810.3562368365191,932.846815573953,1071.3290660703628,1227.6455352534451,1403.7808183248262,1601.9837388130638,1824.7976766358772,2074.9054539737785,2355.121544157545,2668.4038459941985,3018.214646050169,3408.3649127412195,3842.639283052543,4324.787776242932,4858.633888159588,5448.919873767083,6100.386633071989,6817.206572167481,7602.981901519491,8461.584405352894,9397.847613246495,10415.261486340318,11515.651871350445,12699.618386977862,13969.073990534107,15324.449610699761,16762.943308361522,18278.799604556993,19867.009885986878,21521.454649345502,23231.490982550247,24982.180737585793,26759.268396608582,28548.061213304092,30329.25342707981,32079.382526478894,33777.51839867743,35403.59095700293,36934.40999333056,38344.8669111668,39616.01467362141,40731.12647723801,41672.604795174986,42424.39440283139,42979.300567622624,43332.53000104245,43479.905477696455,43421.134602855695,43163.86269203943,42717.14149637161,42090.636956934264,41297.1334588053,40353.93504086372,39278.40800991231,38087.8412217657,36800.121618085206,35433.963790354705,34006.54850026743,32534.848020576184,31035.646358525155,29523.69844910322,28010.920475097886,26508.917270288686,25029.182613018882,23581.306474342986,22171.084237953924,20804.004969032976,19485.73420778428,18221.361966551875,17012.35554359187,15859.474258316703,14763.860517325153,13726.965337636848,12748.503804860182,11826.446963531516,10959.200679330841,10145.662739551739,9384.974100045496,8674.610879633161,8011.674112415914,7393.763107959729,6818.950597401965,6285.623506073561,5791.141839354487,5332.703185073768,4907.919316408662,4514.7878817509645,4151.6911807905635,3816.821461716996,3507.8395762626023,3222.7166687694044,2959.694096149938,2717.2834278872574,2494.2664460349106,2289.3573539183535,2100.926999534724,1927.5830105061475,1768.099519061546,1621.4171368945783,1486.6429551636397,1363.047473556657,1249.7573859146366,1145.7957929506783,1050.346340747832,962.6829901551466,882.1700167876681,808.2620110264419,740.5038780185081,678.5173763805274,621.7702291313778,569.756551035516,522.0532710116696,478.2819602879027,438.10883240161456,401.24474319954055,367.4451908377511,336.5103157816521,308.26869361528105,282.44184325420696,258.78687386699505,237.09923562596794,217.19738168661243,198.92276818757946,182.13985425068415,166.73610198090594,152.6219764663881,139.7309457784384,128.00405830110523,117.27189487918024,107.43214980231033,98.41230399737115,90.14628403782346
H,31.342491774601907,36.945004694036555,46.55775392866584,59.60057653290818,75.83268612912697,95.23072233003832,117.93101586772181,144.16733956750895,174.26102269162877,208.6096796954782,247.65799918654943,291.92190300678425,341.9855125417108,398.48456938863535,462.11079596713813,533.6494482251851,613.9685038336935,704.0018482194364,804.7488498565917,917.3075816605259,1042.9325808022543,1182.9531807774065,1338.759103229132,1511.7961944537983,1703.7110525132375,1916.3702004072238,2151.625025611353,2411.299657049645,2697.204918222368,3011.558876867309,3356.7583860791538,3734.9149926292166,4147.844853622451,4597.21317378895,5085.431220651424,5614.619943796238,6186.0312659482715,6800.054193732829,7457.158421096136,8158.459426009577,8903.615202932175,9690.571482003457,10516.066539845708,11377.962777890341,12272.861911955606,13194.884580570077,14135.96713706599,15089.086593211774,16046.838055677394,16999.23540272803,17933.95657118051,18840.21799855904,19708.027931757646,20525.591020008455,21279.68052900463,21960.106475802455,22558.48461609483,23065.811645209127,23473.19231597171,23776.24931845331,23972.490546892346,24059.643212135525,24036.813891029167,23907.442536427672,23676.005724871095,23347.348074302525,22927.867816046837,22426.31857784229,21851.60387312359,21212.699831796468,20519.237138698438,19780.95189601534,19007.172266649693,18207.124444206645,17389.889613287924,16563.19812241316,15733.767438897312,14908.28865886591,14093.3720384141,13293.97030810394,12513.527627600572,11755.489418484694,11023.338637761492,10319.623019527427,9645.212410780265,9000.97896519314,8387.962956266674,7807.032939508106,7257.621448885341,6738.999652351277,6250.664163417196,5792.304218788163,5363.002645654368,4961.275544930251,4585.863394710134,4235.740231938297,3910.020641364212,3607.2725478536995,3325.992869928702,3064.8915363394362,2822.880213325924,2599.015732020499,2392.037764322353,2200.6722337576566,2023.810252273936,1860.4966579388513,1709.9295874692382,1571.265821520955,1443.5132223139863,1325.802369436117,1217.3671957871268,1117.5449875787924,1025.776384334878,941.4934328405626,864.0333122510282,792.8230225174763,727.3516992952547,667.1706053804645,611.8931307099605,561.1937727218224,514.7081424434141,472.0491409207795,432.88765609994795,396.9278536764897,363.9071770955151,333.59634755167457,305.7993639891583,280.3491073936996,257.0332370640099,235.6536763457437,216.04156709348877,198.044398733579,181.5260082640949,166.36658025486363,152.46264684745822,139.72708775519828,128.08388424070478,117.42484933514217,107.65569011436239,98.69552288644941,90.47180441609,82.92033192457366,75.98524308979252,69.61901604624165,63.78246938501871,58.44476215382411,53.578380030260874,49.12072781289512,45.03166751993338,41.281268680771724,37.84221592999397
I,147.49407893930308,166.4202897435249,191.59243185784374,222.41028804640806,258.6983825187301,300.55920189274036,348.30353436518686,402.3747274462622,463.33700567126846,531.8624436303179,608.6928645713127,694.6733354369771,790.75085829815,897.944954354659,1017.3513803368229,1150.209972838633,1297.8849335672126,1461.8182192270333,1643.527991806447,1844.6730522598705,2067.1687330065542,2313.0037288157037,2584.207467883636,2882.8442454299966,3211.300944010126,3572.3041214693203,3968.465285371184,4402.258139682294,4876.059229413687,5392.931087249804,5956.170863536972,6568.511301851765,7232.10465449217,7948.819104842273,8721.770867697296,9553.559974810003,10445.362263886163,11396.945389052236,12408.302828370237,13480.519134740736,14612.47950456561,15800.500421596571,17039.165007322335,18325.03158329078,19652.908255906645,21014.03897794755,22396.56833712119,23790.503018972402,25185.49342804871,26567.511167380064,27919.221765664748,29225.746577687412,30473.43796226297,31645.998718545554,32725.030898960475,33696.50907130664,34548.876702898386,35269.548350516445,35845.96365955848,36271.878131740435,36543.5887851856,36657.61787482794,36612.37312003032,36412.360853048194,36063.56041307526,35572.50892353898,34947.99537732079,34202.23591582228,33347.75647711859,32397.284571854587,31364.584683494686,30263.68536057866,29108.120729125425,27911.360465420254,26686.748276577193,25445.744927792188,24198.38792535801,22954.715817216056,21724.688418936115,20515.866499847056,19333.60091452358,18183.25060573466,17070.237443056165,15998.599487366171,14969.865678147171,13985.557820847387,13047.441428196258,12157.015977248477,11313.60575923195,10516.273305946335,9764.409859586585,9057.686093336213,8394.839399943816,7773.726292319149,7192.532943863525,6649.791342597121,6144.237520617953,5673.75788709825,5236.11557947914,4829.393273315032,4451.9764632281785,4102.466597556441,3778.966776112059,3479.5484001126288,3202.533694473107,2946.4785340355993,2710.171785234865,2492.3333091024633,2291.4437430680337,2106.1704964820774,1935.339824342878,1777.9368272964991,1633.1054516367747,1499.9735218454048,1377.5154898275136,1264.8438039958892,1161.1674125275013,1065.791750076099,978.1187377722052,897.6451837189752,823.8050487789551,755.9933735574136,693.6955896228221,636.4493268808501,583.8444135743651,535.5228762834329,491.1789399253155,450.5520534737218,413.308739711208,379.1365626370449,347.76922217777616,318.96630094627636,292.51326424175,268.2214600497329,245.9281190420901,225.4963545770176,206.8067523976347,189.68772009475913,173.98927612165596,159.58282947998367,146.35309822482307,134.1981094646774,123.02919936147202,112.77101313055513,103.36150504069667,94.75193841408932,86.89879550343467,79.70179727814022,73.09677728335181,67.03596498661383,61.47573820021357
J,25.81146381437804,31.50310639573935,42.344336262644234,57.59163265847462,76.96559751095519,100.48518934893937,128.3915386938966,161.06628217134906,199.0210647667086,242.8858049374959,293.37338571489494,351.3138178392948,417.65457253451405,493.4467446011354,579.8539764963895,678.2014285816383,789.9726681695236,916.8055810082168,1060.4931032567417,1223.0336351764586,1406.6981516301232,1613.975387495397,1847.5640973432655,2110.3738210955753,2405.703557951283,2737.28241063414,3109.0576736240364,3525.1844968158343,3990.046747419663,4508.769649848249,5087.002608289164,5730.4118494853265,6444.669529104612,7235.613472850528,8110.427487037529,9076.3799005857,10140.054636839266,11307.349270063736,12584.651533084336,13979.81811982698,15498.992003898427,17146.1603942436,18923.754694550455,20836.22565867561,22886.13245673979,25071.6419035439,27386.901147673645,29827.248950368474,32386.576915582664,35052.24891443973,37805.38629892811,40627.9522609727,43501.05441766097,46398.44550920868,49287.12052520109,52137.08321307473,54918.69006129037,57596.29130739944,60129.996511938996,62488.003424934774,64640.53855110696,66554.90280849689,68199.31828809183,69555.06424992983,70606.35668419344,71337.35786157659,71737.88190211437,71811.4835296282,71564.13750735007,71002.62782715718,70139.50339488359,68997.69336328367,67600.97515404395,65973.08925625539,64139.50863868959,62130.624403869595,59975.28657586466,57702.02546615257,55339.2252075634,52913.9117093182,50449.27353872826,47967.83830112353,45491.91764478202,43041.10657641911,40628.841838946326,38267.817532759735,35970.91942365268,33749.9835468401,31610.383423370455,29555.9360914294,27591.037455516995,25720.536379253565,23945.92140036113,22265.117663815956,20676.746670769175,19180.279776943866,17775.556436901905,16458.977545727572,15226.005774487894,14073.018645700997,12997.268209034311,11996.558699609712,11066.467840395264,10202.098478881559,9399.350230299913,8654.868028553039,7966.039600867313,7329.782515563743,6741.782874623423,6198.3241384944895,5696.227442070218,5232.851594689042,4806.093080134517,4413.656830060133,4052.435146163003,3719.790796720195,3413.4248722183406,3131.376732136475,2872.0240049460294,2634.075917996244,2415.8963687112223,2215.5763027321755,2031.5390173561998,1862.3940689329138,1706.9372728644494,1564.1507036054559,1433.2026946630954,1313.4180064249774,1203.7592689570474,1103.222692729439,1010.9803089341692,926.2974432786549,848.5327159857071,777.138041793535,711.6586299557423,651.7329842413302,597.0564278929814,547.0717356211205,501.28943892652717,459.3029565083156,420.75478745912176,385.336511265104,352.7887878059419,322.90135735483886,295.51304057851837,270.5117385372277,247.79879150315415,227.01636023756674,207.9587946488958,190.486896766037,174.47399753737358
