Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,2.107692307692303,2.3415306662803306,2.601834039807176,2.892767702641369,3.219347012113469,3.5872806789761946,4.002915021151706,4.473185013939739,5.0056472390635705,5.6085487911017475,6.290846283377426,7.062332621491483,7.933770811348102,8.916982657895643,10.024919699706432,11.271907753569781,12.673814409597439,14.248218084101051,16.014425354526807,17.993823716185116,20.210140096733856,22.68969180481494,25.46146446634201,28.557205120808085,32.01215371226349,35.865253543854166,40.159298805190886,44.94095669517002,50.26099134123846,56.175623662404796,62.74629728815062,70.03946986177246,78.12662158912053,87.08478579494462,96.99856325305836,107.95840406244045,120.05987126090866,133.40363929991213,148.097093917224,164.2553948304834,181.99681952889085,201.44213479660473,222.7149201857581,245.94512188474778,271.26270263490926,298.79316083071717,328.65754628276545,360.97656038530613,395.86537153000324,433.4239298128874,473.7366956077166,516.8782675455814,562.9086395281685,611.8611365951865,663.7424240656911,718.5413723320733,776.2229900666364,836.719021169355,899.9298552245267,965.7360424624516,1033.9911262802295,1104.5188275136436,1177.1177652527222,1251.5711162581354,1327.6428735372876,1405.080413222759,1483.6204040548469,1562.9925819695266,1642.9235579899032,1723.1406438884126,1803.3753374776268,1883.3618315456433,1962.8456234180496,2041.5880653641714,2119.36592401353,2195.966509470224,2271.19409114222,2344.8755603429718,2416.8600338334454,2487.0111789446423,2555.2095939673513,2621.3572296165003,2685.3770675691844,2747.2080976896746,2806.803011232446,2864.131087977945,2919.177484972491,2971.941396445901,3022.431112301708,3070.6663641534315,3116.67660717317,3160.5007597482545,3202.183833956291,3241.777147305177,3279.337012677822,3314.9240597728594,3348.60277942381,3380.439523018054,3410.503184988633,3438.86339589865,3465.5903330339293,3490.754501051357,3514.425880183663,3536.674405299669,3557.568577793418,3577.1753146110514,3595.559946929871,3612.785995405081,3628.9155549140482,3644.0087367239857,3658.123274221714,3671.314522913667,3683.635460425894,3695.1368584465645,3705.867587981929,3715.8742834165446,3725.2013064757166,3733.890746233671,3741.982419113556,3749.5138757316413,3756.5209468134403,3763.037514160809,3769.0954871960867,3774.7250646136754,3779.954734380033,3784.8112737336814,3789.319749185196,3793.503573107768,3797.385178028114,3800.9851265478887,3804.3226688577097,3807.4159962864564,3810.282241301263,3812.9374775075225,3815.3967196488848,3817.6739236072585,3819.782083556209,3821.733627961808,3823.5394795385773,3825.2098617146044,3826.7544565698863,3828.182404836322,3829.502305897717,3830.722217789784,3831.8496572001395,3832.891599468306,3833.854448360139,3834.7438596403626,3835.565235943187,3836.323666901246,3837.0238804407663
B,0.15384615384615355,0.17097460964621497,0.1908071459413476,0.21538436055949967,0.24760271317223573,0.2910325827682751,0.3498592181631552,0.42882977436309333,0.5332893713408857,0.6692454792309976,0.8433891330519968,1.0632089167013357,1.3371115186853588,1.6745185512587386,2.0859328848829417,2.583143002438573,3.1794018551838885,3.8896133232495775,4.730350057920872,5.720180323111741,6.879893892657462,8.232846970469446,9.805055231303166,11.625294979517232,13.725766503361125,16.142339832344476,18.914912078041883,22.08744054789595,25.708175332952372,29.83087189697708,34.51477364402161,39.82472321866407,45.8311787022139,52.61073197046291,60.2478911129441,68.83392695722974,78.46644233881986,89.24937183013199,101.29439053037348,114.72197073111816,129.6574886290569,146.23069326008172,164.57591007405247,184.8352003314705,207.15259684646526,231.6698185288625,258.5261917087745,287.8621802157136,319.8144125932645,354.50582802372776,392.0452809485777,432.53260770366046,476.05378911042794,522.6680057720894,572.4074519291535,625.2859972336452,681.2926546598925,740.380788422758,802.4699264185326,867.457803186454,935.2121642866368,1005.566781589563,1078.3265016420933,1153.2780005055693,1230.1847320720503,1308.7890792868834,1388.819148183086,1469.993477188101,1552.0241428346403,1634.6207133889804,1717.4947242088867,1800.3587234116367,1882.9350386146446,1964.9607895776546,2046.1877857325678,2126.3782140003514,2205.311114176794,2282.7890301484395,2358.637649673804,2432.697950093447,2504.828716379413,2574.9118198899346,2642.851976335592,2708.5713323385417,2772.0069130767856,2833.114171302756,2891.8663308085634,2948.252342209157,3002.2713235884976,3053.9353680932,3103.2677928516673,3150.3028482357813,3195.0818614777836,3237.653484348475,3278.072389551821,3316.3985236904155,3352.6965783017517,3387.0336242391086,3419.4799590597268,3450.1071130841538,3478.9876338504314,3506.19482344907,3531.8016779004056,3555.881486265903,3578.506254613164,3599.746529694206,3619.6713972581524,3638.3481667444385,3655.842801704863,3672.219300116846,3687.539214307714,3701.861650954701,3715.2432710849557,3727.7384396545567,3739.399575037102,3750.2767745659025,3760.4177255087247,3769.8677050716865,3778.6695803992593,3786.8638156144007,3794.4890454688966,3801.5818618662393,3808.176755042294,3814.3063751708464,3820.0015323635985,3825.291196670169,3830.2024980780993,3834.7607874703262,3838.990371854671,3842.9135615080786,3846.551248840012,3849.923178873074,3853.047949243008,3855.943010198701,3858.624664602179,3861.1080679286106,3863.4073346458763,3865.5359786453146,3867.5058845428484,3869.328176513137,3871.0133901073036,3872.571472252945,3874.011781254122,3875.343086791363,3876.5735699216666,3877.7108230784984,3878.7618177207078,3879.7327169405407,3880.629407648324,3881.457435530883,3882.2219527704774
C,5.061538461538451,5.622989975751586,6.246688243627516,6.939729604646167,7.710010714474635,8.566224737644676,9.517888449397661,10.575383459441088,11.75001907690559,13.054139703933627,14.501191798336079,16.10585047676347,17.884190964050504,19.853802002900313,22.033857944060827,24.445405747505568,27.111559420847275,30.057651476970456,33.311249771532346,36.902568030412,40.86480617922492,45.23428165396981,50.05048815137664,55.35618409244608,61.198298370218865,67.62809557009597,74.70099497264478,82.47657686731068,91.01879803747782,100.39768300487852,110.68868089703123,121.97184526880186,134.33182846955498,147.85840472338234,162.64899212872203,178.8056769524992,196.43374600169386,215.64167116803975,236.54298377586935,259.257393107978,283.903992614218,310.60030933952925,339.4627868721937,370.6112192625736,404.1605729329526,440.21550171848196,478.87054450306096,520.2156636867355,564.3301728792105,611.2725664075615,661.0805133862071,713.778280579589,769.3718570906002,827.8382054132102,889.1257754169457,953.164585788101,1019.8608720003616,1089.0906187959954,1160.7018474233291,1234.5255355390077,1310.3705486437227,1388.02355104869,1467.2531350814322,1547.8173331316227,1629.4628013786566,1711.9284087538035,1794.9493157191428,1878.258873616962,1961.594101180925,2044.6992911131777,2127.3275169279887,2209.2380810508425,2290.2050235850356,2370.0208034421357,2448.4952307150684,2525.4495001340933,2600.722606068318,2674.1752805919946,2745.6895344050045,2815.161265875337,2882.502373917413,2947.643813191452,3010.535149356124,3071.140149459989,3129.4348001506114,3185.409209347771,3239.066831415504,3290.4229242013334,3339.5004651285376,3386.3318388221974,3430.957204940056,3473.4242802833596,3513.7856050460005,3552.0986819280133,3588.4247103081466,3622.8280075005964,3655.3756420273758,3686.1358501834393,3715.1785301398877,3742.573708099476,3768.3913827012825,3792.70135231031,3815.5725631182663,3837.0734706047992,3857.270903574782,3876.229943106961,3894.0139215827226,3910.684269918948,3926.300831387997,3940.921416649539,3954.6015042318263,3967.3942405316902,3979.3504398145446,3990.5187555852417,4000.9459213707105,4010.676494605072,4019.7528699984714,4028.2152795478814,4036.1017925370993,4043.448321903119,4050.2891158048774,4056.656520154634,4062.5810109995714,4068.091448871126,4073.215078784987,4077.977530241099,4082.402817223662,4086.5133895583676,4090.3307311129192,4093.8745457484993,4097.163299898458,4100.21445696839,4103.044477336133,4105.668818351773,4108.1019343376365,4110.3572765882955,4112.447382067177,4114.384224728489,4116.178356797501,4117.839666697771,4119.377524936207,4120.800784103063,4122.117778871939,4123.33632599978,4124.463724326877,4125.506754776868,4126.471650973355,4127.363926495481,4128.188852461128,4128.951398828471,4129.65618710361
D,23.015384615384562,25.56815125606544,28.40120147212914,31.5408031037425,35.0146326191739,38.8528560967276,43.0888564893922,47.76006479824986,52.90840266196081,58.580891742966,64.83027798721223,71.7153241663643,79.30158315061033,87.66206822082849,96.87748283305837,107.03715076172705,118.24005366968446,130.595484991072,144.22311696879729,159.254653211339,175.83529644924434,194.1245593439367,214.29653899928957,236.54033340489943,261.06390923278013,288.0949587880765,317.8806620446601,350.68774433262456,386.80348660821676,426.54295385760463,470.2467666680714,518.278403273551,571.024198747471,628.8957570893843,692.34070755511,761.83116783677,837.8582226625945,920.9318754037616,1011.5892042286928,1110.399424693891,1217.9361957566393,1334.773780534044,1461.488998831724,1598.6801283316206,1746.9322453702405,1906.7936341242664,2078.7763678230203,2263.3792334107297,2461.061043462661,2672.194399148718,2897.065140003654,3135.9030454765175,3388.859197613119,3655.9534806204883,3937.0758817304045,4232.030205017913,4540.507544751577,4862.050007598592,5196.0603080136525,5541.8529189556975,5898.625981426649,6265.4545348285355,6641.310649626654,7025.102711251313,7415.664950912349,7811.771296682821,8212.158469390355,8615.539502005236,9020.625044114142,9426.140408403868,9830.837823053613,10233.48771598814,10632.918693100819,11028.036922380052,11417.823179837033,11801.308780718071,12177.605468196618,12545.92915336596,12905.598039927387,13255.997964260729,13596.592919403454,13926.94420166992,14246.708876362749,14555.617448895839,14853.463380239513,15140.115870362431,15415.516723705105,15679.672109828378,15932.630223561993,16174.491826051595,16405.402729020432,16625.552619094135,16835.159581621156,17034.47091765746,17223.757529384366,17403.310879286477,17573.440848990645,17734.466137934145,17886.717578177308,18030.530013322936,18166.241425066128,18294.19185322042,18414.718972949046,18528.1605547203,18634.84808178205,18735.10603074875,18829.25186453907,18917.59466185966,19000.43682487873,19078.071678332857,19150.781505801755,19218.837549708252,19282.500011318316,19342.018616756566,19397.634001616858,19449.576323749192,19498.064914796814,19543.30828020986,19585.50409924535,19624.839254463215,19661.492201766774,19695.632046624138,19727.418439706078,19757.002698905384,19784.527809336912,19810.12842333755,19833.93086046623,19856.053369951984,19876.609264660023,19895.702817419147,19913.431852214457,19929.88891968214,19945.161297109473,19959.330988434816,19972.474724247633,19984.66396178846,19995.965358068945,20006.44271541553,20016.152412588497,20025.14730345011,20033.477483649654,20041.190290623384,20048.330303594576,20054.9393435735,20061.05647335743,20066.717997530628,20071.957317304015,20076.804100971265,20081.286692005146,20085.431810168604,20089.264315770528
E,3.1538461538461466,3.503656528578879,3.8918692920077147,4.322084524230608,4.798128335724617,5.324234421402726,5.905172023758092,6.546392661044652,7.25411139889348,8.035416840612296,8.898385695893033,9.852134128998543,10.906958325339247,12.074465098081777,13.367616142995782,14.800887217875765,16.390476026986086,18.154448230796127,20.11275174743991,22.28752747670115,24.703366299577592,27.387564260824252,30.370193927042298,33.68419818288455,37.36609724877526,41.45620021118237,45.998795303046364,51.04217416130928,56.63885592367269,62.84689384842649,69.72969002817547,77.35586819947468,85.79928416129181,95.13954046995005,105.46390593726318,116.86575200649892,129.44389426820723,143.30259014335257,158.55304485924142,175.31444689401863,193.70953640173727,213.8640016232664,235.90675405445117,259.9733005643037,286.1995997067273,314.7176599752405,345.65552480970007,379.1411327756134,415.297222830176,454.23169314717313,496.03729265548657,540.796980844238,588.5791791415538,639.425577073802,693.3510726782246,750.3523994157338,810.4019631012129,873.438090370745,939.3668580709583,1008.0735540253421,1079.4152480705911,1153.2175603222704,1229.2794012899142,1307.3828677042425,1387.2890637143853,1468.740426800372,1551.4668986882261,1635.1900613220048,1719.626612420533,1804.4921739991255,1889.5052085522998,1974.3858360883141,2058.86446158268,2142.6864961208935,2225.6121272992077,2307.4118586211107,2387.8729102813622,2466.805419766288,2544.0420796223916,2619.4305138144036,2692.8357019535115,2764.144964718884,2833.267713767353,2900.1302634926756,2964.6733677306265,3026.855600692379,3086.652726030303,3144.0557366765947,3199.065503811113,3251.695468842333,3301.9699793204404,3349.9240092979935,3395.59942518336,3439.045208035911,3480.3162296733376,3519.4725367882806,3556.578833742126,3591.7021482696364,3624.9126695392197,3656.281836160033,3685.88212713147,3713.786799665876,3740.0688063490206,3764.801402935942,3788.0566222423486,3809.905100648137,3830.4160763539935,3849.6570464430406,3867.694176319742,3884.5917187852606,3900.411532689534,3915.2130829312673,3929.0534404579375,3941.987401966231,3954.067825628616,3965.345287493751,3975.867975492505,3985.681689439079,3994.8298410310167,4003.353460458179,4011.291736741911,4018.681824547233,4025.5587894650535,4031.955853102555,4037.9043930831913,4043.4339430466944,4048.572192649068,4053.345047007305,4057.777343952359,4061.8919274434375,4065.710214173091,4069.252457459095,4072.5377472444457,4075.5840100973664,4078.4080092113054,4081.025344404931,4083.4505585589977,4085.697579789633,4087.778693247752,4089.7054081396805,4091.4886294344246,4093.138657863672,4094.6651899217977,4096.077317865851,4097.383529715568,4098.591709253369,4099.709103834564,4100.7421400012545,4101.696956669923,4102.579339078656,4103.39466655198
F,2.153846153846149,2.3928140992227096,2.6589480352202126,2.9568125547738955,3.292069474078966,3.671373610975671,4.102373400762597,4.593726782366783,5.155179168523608,5.797683537378387,6.53347746461432,7.376225637809214,8.341208546765344,9.445482239629946,10.70796514821595,12.149722096186489,13.794235110679061,15.66764928252877,17.798796282918463,20.21966139680772,22.965736287561633,26.07642643443939,29.595166127505006,33.56955156390857,38.05233035766658,43.101709501464626,48.78165044365948,55.16190459536638,62.31831621415994,70.33463820268994,79.30226823493247,89.32002100653578,100.49414092681396,112.9389752875918,126.77966701267819,142.14981082441528,159.19039369997643,178.04978273151696,198.88573901005154,221.86686455450484,247.1659264166249,274.9589154105059,305.4253826710132,338.7531898344239,375.1294848469569,414.73417253635824,457.73990318137834,504.31766599183277,554.629433817461,608.8143754793663,666.9884737626788,729.2524931039869,795.6853137702436,866.3271860701758,941.1798111291187,1020.2189198324079,1103.385922645184,1190.5753387024988,1281.6375521962455,1376.394809396863,1474.6316724516469,1576.0917275601835,1680.4840725322936,1787.496377249163,1896.790390510987,2008.005810210727,2120.7681532629185,2234.693665874335,2349.3951377753733,2464.4872327728112,2579.590970552672,2694.3314749116034,2808.3501209280985,2921.3107502389257,3032.8989656156004,3142.81518642627,3250.7836900662924,3356.5603047285554,3459.9318549994714,3560.7055590534023,3658.7123160468846,3753.8127966975444,3845.896997718797,3934.877333326662,4020.685426858378,4103.27613231266,4182.62657350062,4258.733599598302,4331.606913009311,4401.272342609401,4467.769512307769,4531.151479443078,4591.480005800406,4648.8258307344695,4703.2669125307375,4754.887490517935,4803.777437141183,4850.0293780758275,4893.739682395789,4935.005958779949,4973.926789119282,5010.6014077376085,5045.128415855881,5077.6064981882155,5108.132470349454,5136.801062186422,5163.704915737733,5188.934207878688,5212.5771803444395,5234.719379451998,5255.443072598601,5274.8272482617185,5292.9476159990545,5309.87680380119,5325.6847848528805,5340.4384286225895,5354.201410954141,5367.034214073333,5378.994126587949,5390.1352526029295,5400.509244692209,5410.1650140329475,5419.148688623599,5427.503958789109,5435.272077180916,5442.491858776942,5449.199680881605,5455.429561881291,5461.214103002133,5466.58325463614,5471.56508718079,5476.1861431330335,5480.471437089281,5484.444455745415,5488.127157896784,5491.539974438209,5494.701947286905,5497.631299731421,5500.344093587715,5502.855374782403,5505.1793985699505,5507.329629532675,5509.31874158075,5511.158617952203,5512.860351212909,5514.434243256603,5515.88976246473,5517.235296431337,5518.478858104618,5519.627998962625,5520.689739683323
G,0.18461538461538426,0.20512653271670664,0.22832897686587034,0.2554282942371879,0.288092989962807,0.32836262894526225,0.3786205145622455,0.44157073518601425,0.5202613971372996,0.6181257053226176,0.7389992103111639,0.8871864097139297,1.0675366781037339,1.2855062379806808,1.5471989941248179,1.8594903528193458,2.2301438151162474,2.667930948984743,3.182643000896796,3.7852985339555825,4.4882833439799885,5.305594763939688,6.252905496394324,7.347634704595789,8.60937063678291,10.060047351091608,11.72425989735362,13.629290557403287,15.805283133336191,18.286018149110628,21.109016273568752,24.31582003405635,27.95201049057827,32.067627169398136,36.7182819555003,41.96486461188912,47.873591851139516,54.5160245617392,61.97014462391214,70.32109509596549,79.65971060704143,90.08237476757101,101.69126253828064,114.59637987516454,128.91278068972207,144.758580589229,162.25490661320694,181.52793228497586,202.7061411891818,225.91460801721016,251.2746519455612,278.90624114544954,308.92479347578086,341.43196159774726,376.5151094365108,414.25166832316467,454.7039454849951,497.9090550608568,543.8794389504349,592.6104975749989,644.0724936905601,698.2038492260558,754.914551162373,814.0953323071533,875.6094880215119,939.2915752538468,1004.9541414735019,1072.3940719235427,1141.3901945976197,1211.7052627600133,1283.092721293614,1355.299052035037,1428.0679961118485,1501.1448556891644,1574.2783378366153,1647.2218078241576,1719.736152638484,1791.5980309966167,1862.599941766109,1932.5459916612638,2001.2535455031552,2068.5605535613495,2134.32595085831,2198.425032298058,2260.746745888396,2321.199340875141,2379.7104873298877,2436.2251196809266,2490.699088665198,2543.103329990311,2593.4230114781058,2641.6572139656187,2687.814066147319,2731.9110595569073,2773.974667452656,2814.0395961163986,2852.1480639389165,2888.346282521982,2922.685979637918,2955.222381337876,2986.0139474420384,3015.121960043859,3042.6085913366032,3068.538027147601,3092.97458414679,3115.982463794439,3137.6257490828525,3157.967624891732,3177.070854348894,3194.997167746993,3211.806481018712,3227.5568957367627,3242.3046991138854,3256.104267859577,3269.0085049890663,3281.0684680882423,3292.332984198902,3302.848649791452,3312.659830764911,3321.8086671497513,3330.335525818487,3338.2789935831756,3345.6756515429825,3352.5602080000644,3358.9654984595754,3364.9224856296632,3370.4602594214707,3375.6060971149386,3380.38623851002,3384.8249828727944,3388.9451450996457,3392.7683084347286,3396.314824469976,3399.6038131450955,3402.653162747572,3405.479529912663,3408.098458403215,3410.52491371131,3412.772141001717,3414.8525484883635,3416.7778923835745,3418.5592768980714,3420.2071542409703,3421.7313246197873,3423.140936240432,3424.444485307213,3425.6497860863155,3426.7638113305406,3427.793211938951,3428.74425057044,3429.6227519833674
H,0.26153846153846105,0.29060485427280536,0.3235980256093096,0.36247551358184626,0.40994658741802004,0.46929787903807846,0.5443278737097527,0.6392838858482484,0.7588816091468266,0.9083441574392586,1.0934038484339086,1.3203904048245998,1.5963102711342807,1.9289059701389828,2.326703348739062,2.7991599283474837,3.356774771836155,4.011210377657738,4.775304366554193,5.663287954751541,6.690938270911831,7.875778660471109,9.23713552555354,10.796199598434054,12.576465313247414,14.603876694140144,16.906988924759425,19.51698585643204,22.46781904905658,25.79701525916135,29.545590122065278,33.757989637761085,38.482097005802224,43.769545378360775,49.67692341787957,56.26480273602485,63.59731155314064,71.74213099286858,80.77141935086429,90.76248840015913,101.79492136561772,113.9501705619291,127.311713457229,141.96721298037846,158.00452606997183,175.50879791619238,194.562447264389,215.24767886537308,237.64317767274136,261.81778827923046,287.8303165756892,315.7330910387028,345.5688937992721,377.36302840058835,411.1233014262104,446.8457632793036,484.5107285640611,524.076512986065,565.4806613003927,608.647496837455,653.4833403022461,699.8745204030794,747.6904712496992,796.7901553985582,847.0194236518922,898.2125859460467,950.1963680731088,1002.7925289463735,1055.8201466313685,1109.0980843822852,1162.4474342632168,1215.690691978056,1268.6572833268174,1321.1865681547927,1373.1276471872989,1424.3363949476432,1474.6795613381819,1524.0386413479664,1572.3096334789843,1619.3981057027843,1665.2207359500326,1709.7083908171035,1752.8059472851864,1794.4689772234344,1834.6621872023052,1873.3614846706466,1910.5535510678765,1946.2346022165582,1980.407022156421,2013.081025077066,2044.2735683947983,2074.0081765072855,2102.312611002156,2129.2190131874495,2154.763098694944,2178.9837040682773,2201.9224670344865,2223.622395344356,2244.128375727957,2263.4859680627587,2281.7412751001984,2298.940783411694,2315.1307180429494,2330.357407013835,2344.6663333545007,2358.102028669107,2370.7080721158436,2382.5268976623383,2393.6000512606283,2403.9678258881813,2413.668973458297,2422.740704820101,2431.2186897585475,2439.1371472179353,2446.5290529017375,2453.425922323252,2459.85776129303,2465.8530659214307,2471.438822618625,2476.6405124235475,2481.482460676304,2485.9877018719894,2490.1779547924625,2494.073785555844,2497.6946076165236,2501.05868176516,2504.183116128675,2507.083903744495,2509.7763727907627,2512.2745981215216,2514.591766249671,2516.740343018951,2518.7320736039387,2520.5779825100512,2522.2883735735436,2523.8728299615095,2525.340280172432,2526.6992688465216,2527.957318291402,2529.1214725990794,2530.198404645725,2531.1944160916755,2532.115437381434,2532.9670277436667,2533.7543751912085,2534.482296521055,2535.155216636398,2535.7770482684227,2536.3515305734895,2536.8821872249655,2537.372293011582
I,1.230769230769228,1.367361902022575,1.5199841866349098,1.6923587060814107,1.8892833501186077,2.1163995960765893,2.380103686743747,2.6874609343617015,3.046231005882946,3.4649206922063973,3.952783365004999,4.519941485910626,5.17749333020994,5.937584202694283,6.813468218225253,7.819719915146476,8.97236496341294,10.289019200964834,11.788902549615536,13.493128123029358,15.42492172887367,17.60979404312882,20.07559789066658,22.852596689113653,25.974069656314587,29.476466504230075,33.39942135725281,37.78576456245558,42.68168556382216,48.13787222537898,54.20921269016499,60.95442233837914,68.4360449313053,76.72085281104195,85.88157740547777,95.99517728995804,107.14201771422897,119.4058659223537,132.8752515163033,147.64433853642413,163.80864670867106,181.4644660413606,200.70919716141987,221.6444842718689,244.3707356467442,268.9833914618157,295.57301292574806,324.2290301298512,355.035443230074,388.06322125450123,423.3701784455423,461.0059008256786,501.0079725484866,543.3928931032742,588.1561948070267,635.279564615972,684.7261823472547,736.4338500685865,790.3164927024834,846.27289658702,904.1813466333566,963.8976203807915,1025.2585000961744,1088.0889809457974,1152.199495552067,1217.387803158195,1283.4434161490913,1350.1504868047123,1417.2906360158136,1484.6457985274021,1552.0009607815714,1619.143108833872,1685.867771098549,1751.9825068347304,1817.3066628335273,1881.6678144282116,1944.906636941876,2006.8814722484162,2067.4680433634135,2126.553607730892,2184.038767640647,2239.8411680617137,2293.8952925133076,2346.148508655809,2396.559182006965,2445.099193037874,2491.753444264044,2536.518367878884,2579.397852839962,2620.405272744715,2659.5622066780243,2696.8982261762667,2732.44805357745,2766.2517296304545,2798.353674897542,2828.8021440044913,2857.6488323716417,2884.9471019877783,2910.7526198998685,2935.121904318138,2958.11216564067,2979.781107844542,3000.186109029685,3019.3846847153336,3037.433332708444,3054.3874016826294,3070.3010898749726,3085.2271901720524,3099.217401317288,3112.3218922607516,3124.5889415772926,3136.0649374665363,3146.794377752884,3156.819968090869,3166.182875576927,3174.9224714646816,3183.0762603131593,3190.679879988598,3197.7671016644454,3204.3698350157038,3210.518549335302,3216.242115840677,3221.5677758404795,3226.521335689716,3231.127166789753,3235.408205588313,3239.38595357948,3243.080523469188,3246.5111936085914,3249.6956868763664,3252.650617251588,3255.3916955395216,3257.9337293716244,3260.290623205544,3262.4753783251235,3264.500092840394,3266.376044015843,3268.114028363025,3269.7235661507093,3271.2135760439933,3272.5925082342724,3273.8683444392386,3275.048597902883,3276.1403133954905,3277.1500672136463,3278.08396718023,3278.9476274916988,3279.7460241624135,3280.4839107279904,3281.1657668641906,3281.7957576162653
J,0.21538461538461498,0.23932107909876663,0.26648529065121496,0.298484530714942,0.33756587963180684,0.3864972394843599,0.44853537322186304,0.5274003675091592,0.6273103525088349,0.7530403004182002,0.9099495968452321,1.104072013877068,1.3422213182270635,1.632079532616569,1.9822526949550565,2.402439439739965,2.9035962113472125,3.4981041325058886,4.199785181373905,5.024191520805822,5.9888016339341394,7.113367538384286,8.420004775164191,9.933293942368605,11.680875161946378,13.69370210694906,16.00650616375075,18.65783454936641,21.69030326346623,25.151691933023713,29.095123129727437,33.57951787640873,38.66962090374053,44.43662394628405,50.959739188400924,58.32592784681436,66.63007356464671,75.97501392702185,86.47314992003898,98.24753651519754,111.43019856475209,126.16200650271324,142.59310178559272,160.88588020204992,181.2115051949323,203.74749379460235,228.6776924111299,256.19529550224,286.4993405693088,319.7872329319788,356.2542948672285,396.09713906740603,439.5093478179454,486.6687140534467,537.7364328739837,592.8628593638656,652.1799442367649,715.7861755602344,783.7469616984197,856.1048986442802,932.867005583156,1013.9931456020737,1099.4003963232437,1188.9764330020746,1282.5646736935585,1379.96009539413,1480.919245504991,1585.1711371023548,1692.4091571384454,1802.2923961938009,1914.4574275441455,2028.524770241429,2144.100987550471,2260.784229816491,2378.168762078604,2495.8519818848604,2613.4352535390026,2730.537543292462,2846.7959557768727,2961.863114455159,3075.4085167101457,3187.131728958031,3296.763673998155,3404.0604408420263,3508.79873107141,3610.786865163597,3709.86587940232,3805.9060318289976,3898.795841255795,3988.4501441742946,4074.809900477874,4157.841656396381,4237.528541982391,4313.870773500666,4386.886299143233,4456.609628268507,4523.090427467669,4586.386330918141,4646.566290137959,4703.7074159775875,4757.894496053715,4809.219132943811,4857.775417778007,4903.662486655443,4946.981193428917,4987.833625956034,5026.323098758813,5062.552250945351,5096.623835564872,5128.639872703703,5158.700016822618,5186.901556756835,5213.339415716029,5238.10565763644,5261.29026701083,5282.980648641298,5303.260647113331,5322.210546711205,5339.907071417998,5356.423389684704,5371.82968461503,5386.193378684186,5399.578628842609,5412.046396874193,5423.6544493962865,5434.4573578596855,5444.5064985486515,5453.850150873952,5462.534806375288,5470.603731284536,5478.09761885902,5485.05499043401,5491.512195422707,5497.503411316249,5503.060643683717,5508.213726172123,5512.990532269425,5517.4179563103235,5521.519880603412,5525.3186928293835,5528.835611227787,5532.0906845970285,5535.102792294367,5537.889644235921,5540.467780896661,5542.8525733104225,5545.0581709598255,5547.097231301935,5548.98183357902,5550.723355014653,5552.332383415373
