Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,4.434710708354503,4.929164316404076,5.496953373821631,6.157179111939316,6.925029310998239,7.8135810329900535,8.834872039437757,10.001095955040467,11.32505220784847,12.820674532734367,14.503803919914047,16.39203881309413,18.50512814200895,20.865710588599573,23.49937249924401,26.434263547537302,29.701798402369246,33.33746087253852,37.380840394804316,41.87544618941737,46.86806160609622,52.41089756617813,58.56200020437724,65.38537418329938,72.94882745948136,81.32392340776809,90.59031331370883,100.835964606542,112.15659020617677,124.647613079394,138.40787498707903,153.54642898071378,170.18266412669269,188.4416219410462,208.4350578213905,230.27705398092723,254.09120902895643,280.01021126387985,308.15070123827775,338.5976300040592,371.4360258661051,406.7537173404662,444.62769869805146,485.06397797176726,528.0400268026682,573.5251735841173,621.4737090745102,671.7457246857819,724.133621422056,778.4157251584346,834.3520041580941,891.5978630131212,949.7260695231032,1008.3086984088931,1066.9127470883645,1125.0087835204263,1182.0190233843846,1237.4028998134745,1290.6453028944104,1341.1706126206243,1388.42710063905,1431.9423643017685,1471.298547281197,1506.0768110461654,1535.9401702871737,1560.6480805469787,1580.0258261873278,1593.952641542731,1602.3930017975022,1605.3891743745928,1603.0415425567926,1595.5266084380742,1583.0731991349862,1565.9412391693718,1544.4217843205392,1518.8683167970137,1489.6641207672337,1457.1789895649288,1421.770579026178,1383.8283989704034,1343.7587084386792,1301.9343328121943,1258.6933970015812,1214.3674858559343,1169.2977785485214,1123.788789462398,1078.1050174516859,1032.4813457312976,987.1570196543728,942.3424981929289,898.2142042257299,854.9157293035452,812.580751466611,771.330579790066,731.261277775927,692.4450252111587,654.933073792252,618.7736678353324,584.0008409589741,550.6339488972211,518.6783930781993,488.12737119909116,458.9730572205132,431.1993624560728,404.7831820832931,379.6950988510781,355.8993973452376,333.35889757219724,312.0355050182214,291.88751119445703,272.87174097455454,254.9435525946676,238.05683765345162,222.1662745517312,207.2276178625795,193.19581596031276,180.02670621829014,167.67701524241022,156.1043588711106,145.26725694641604,135.12626430462427,125.64315400543467,116.78065492783077,108.50300703780262,100.77596138834701,93.56678011946714,86.84423645817276,80.57861156239973,74.74173608064407,69.30701766477372,64.24913284262419,59.543983246714205,55.16869561424561,51.10162178710348,47.3223387118559,43.81164843975419,40.55149444465746,37.5247520830499,34.71608312700174,32.11099778921944,29.695698687098826,27.4570808427251,25.382731682872837,23.460931039006013,21.68065114727792,20.03155664853127,18.50410322727358,17.09019827891622,15.781851534097008,14.57142862792158,13.451807581160384
B,0.3237015115587228,0.3644986225219358,0.43573208448467127,0.5570906170483024,0.7435444423268561,1.007721145881843,1.3611249814413637,1.8154768145267173,2.3830789145162705,3.0772969521407947,3.913300821037673,4.907875996509532,6.079872948703214,7.450778207736499,9.044768834359722,10.888652782801731,13.012523766006668,15.450317835830685,18.239849832589844,21.42307017207041,25.04588572077903,29.15967057580431,33.82159123504096,39.09480116110308,45.04764327098534,51.75358169629152,59.29439365791125,67.76035778658198,77.25008171575651,87.86533854494289,99.71333307392271,112.91206791867491,127.59046163837561,143.88501005782675,161.92474340541256,181.84300917539923,203.78353899959805,227.90010306574803,254.33511734090254,283.2048955825892,314.62647625540916,348.72005690400704,385.5965137700354,425.30111311130975,467.85054060994355,513.2514767176585,561.4939922369692,612.4742933676841,666.0175956900509,721.929634192802,779.9924748465875,839.877362131616,901.1638067058256,963.4226492573204,1026.2118113276917,1088.980818071577,1151.1185388717884,1212.0446713796946,1271.197731698002,1327.9416688736442,1381.656458309331,1431.8014513187154,1477.8885466165175,1519.4182692141894,1555.9753132258352,1587.24850183666,1612.9956112565646,1633.0259236455545,1647.2439681031783,1655.6440741709644,1658.2856035888985,1655.3078842233003,1646.9135098748498,1633.3469197335835,1614.892304731257,1591.9013863965054,1564.7646998810767,1533.8644462964646,1499.575559290712,1462.3100029974369,1422.5023294037815,1380.5544576733773,1336.8337663387988,1291.7030597162995,1245.5386220864107,1198.6784276628207,1151.4178452423093,1104.0210438807337,1056.758817181132,1009.8712551628192,963.5610577457535,917.9948592533373,873.3290539473281,829.7071210032882,787.2442907747969,746.0289447503342,706.125975427512,667.5973609446663,630.4892187487168,594.8308251740208,560.635418871595,527.9022163533577,496.6294154720648,466.8057653314084,438.4117124407838,411.42019612667053,385.79666509308805,361.5047429704846,338.50696602952206,316.7614408456357,296.22428793302555,276.849641744657,258.58965067225853,241.39717014614396,225.22617693494172,210.02944206481686,195.7605061478515,182.37367965833607,169.82404293276926,158.06746461788643,147.06202839790106,136.76704857612637,127.14271597175089,118.1507841726365,109.75456953531847,101.91895118500533,94.6103710155788,87.79683828035219,81.44808752771308,75.53548447151114,70.03171778460083,64.91078160416583,60.14797553171897,55.719904633102374,51.6044794384872,47.78091594237384,44.22965109261526,40.93216197498832,37.871837466460306,35.032972278772974,32.40060460662408,29.960516127667397,27.699232002512687,25.604020874725798,23.662894870828506,21.86460960029867,20.198778052746736,18.65663845053023,17.229509871337314,15.909086630647572,14.68761872116793
C,10.649779730281985,11.829196383644394,13.142400164359653,14.60558135745597,16.234631971164355,18.045668204858863,20.055466962551943,22.281990161583106,24.7446852780805,27.464842271533637,30.466087049843736,33.774359573618966,37.41817597306106,41.429356068698645,45.843147513527924,50.697626389146706,56.03432307786062,61.89941497592812,68.34377701660304,75.42232880133257,83.19254741543332,91.7177259182406,101.06757932141133,111.31827733386183,122.54795045534476,134.83648643458764,148.27203677656743,162.95133205095578,178.9783486162588,196.45043292341674,215.46450711886024,236.1267586893724,258.5527837032052,282.8598526264605,309.13867684108106,337.4770270336536,367.96940496718105,400.71640919397737,435.78974999672243,473.21310014102664,513.0059564406481,555.1870920026458,599.757517729798,646.6274958835843,695.6737372765896,746.7654887463146,799.7566751589168,854.3977978176465,910.3728053429654,967.3622322453385,1025.0385985109046,1082.9777569315916,1140.6896983742536,1197.7038777991788,1253.56428773932,1307.7426558040484,1359.690780297978,1408.9164011765329,1454.9712005576412,1497.3777031131294,1535.7029638666809,1569.5970934538273,1598.7721863297834,1622.9635603794802,1641.9861404781163,1655.7372801398585,1664.175760273806,1667.3213320750494,1665.2600174073216,1658.1325857977017,1646.125559822266,1629.495676951029,1608.5315715616432,1583.5330428250595,1554.8153000166428,1522.7480046987282,1487.7146069903856,1450.075876985533,1410.1718009653512,1368.3657928863302,1325.0286041602767,1280.4959292349588,1235.0681853217598,1189.0360368274612,1142.6940698916028,1096.30250547555,1050.085146494991,1004.2383392240095,958.9597942394557,914.4212305319853,870.7648271098899,828.1042566709007,786.5438377949876,746.1765778734915,707.0740993814347,669.2878749117367,632.8516826516233,597.7964490830153,564.1411433815513,531.892606405246,501.04615979276366,471.5870582224271,443.4997754025094,416.76207639877435,391.3460959241628,367.21892340709877,344.342614855066,322.67823415701673,302.18637152228183,282.82485054898035,264.55049892017263,247.31914840386045,231.08563485298538,215.80571067709226,201.4363620661283,187.9341338631032,175.25651649238705,163.36194615503527,152.20980482878815,141.76043286030153,131.9761297784332,122.82051548927383,114.25818765743651,106.25517069850727,98.77891577904488,91.79830081658102,85.28363047961999,79.20663492942542,73.5405688917046,68.2602394732233,63.341639719208175,58.761903604825385,54.49930603518065,50.533262845319186,46.84433080022565,43.41420759482422,40.2256617364753,37.26241456313643,34.509870893588236,31.954221903294897,29.582305387133037,27.38160575939169,25.340254053772277,23.447027923388692,21.69135164076716,20.063296097846383,18.55368058301215,17.154763910081204,15.858871828257854,14.658655542552218,13.547252361000652
D,48.425746129184944,53.771720456038416,59.63734138531404,66.03854419551831,73.01500078457326,80.62456230691615,88.94028730857343,98.04737797892916,108.04248097127078,119.03326278055536,131.13732612641232,144.48340937285806,159.21181157993894,175.47516240461977,193.43939560791617,213.28380472181885,235.2022026216857,259.4073458732229,286.1312196849305,315.6244457793878,348.1507215148374,383.9993230869823,423.4877550089347,466.9621943147384,514.7817298533878,567.3172127027234,624.9773477855503,688.2100220084715,757.4976101067865,833.3035751721978,916.0961974329226,1006.3881819629967,1104.7372964427307,1211.7160624367764,1327.7975184190664,1453.4500655291702,1589.1778660575515,1735.5182757147636,1892.8972858080967,2061.546990479603,2241.687310648617,2433.5407032615412,2637.2591955034945,2852.6091379725262,3079.2099009352432,3316.644294458015,3564.4236915036295,3821.5952204633154,4086.8939203238706,4359.016637222261,4636.60091321176,4917.816980562424,5200.493702779376,5482.50521417111,5761.748578901093,6035.731158120147,6301.803984033848,6557.530395301482,6800.630892086603,7028.618150395063,7239.159573430619,7430.29123735558,7600.313716935342,7747.577198286233,7870.801285283676,7969.116541383607,8041.947762934318,8088.985844274954,8110.276310492681,8106.178082220146,8077.297569377863,8024.586564910809,7949.203596904651,7852.418516654181,7735.62116445105,7600.483821350595,7448.794223169278,7282.267527905967,7102.5535247772605,6911.442084242986,6710.792644625849,6502.310865223944,6287.544044896454,6068.008387165552,5845.2628575252475,5620.701085068742,5395.536276522648,5170.848012026045,4947.736789965936,4727.173851890804,4509.975792281697,4296.809968938017,4088.29944697738,3885.0129491970442,3687.4031188702606,3495.812222615249,3310.485828429044,3131.657138321772,2959.494580397797,2794.0972187156503,2635.4979912225526,2483.6720157415284,2338.590782638191,2200.1875130995213,2068.3609809835257,1942.9787383038433,1823.8771844064393,1710.8855690908993,1603.8298377941464,1502.5176170426116,1406.7481479640467,1316.31228628753,1230.9925023434564,1150.5747178925633,1074.8507949934365,1003.607625903706,936.6353466320561,873.7273381266792,814.6802262752718,759.2939672948992,707.3786988225469,658.7506343461835,613.2297147533492,570.6426307506574,530.8228228637925,493.61048143751105,458.8525466356408,426.40277341991924,396.1232457909091,367.88341459762364,341.5584495250919,317.0292754460875,294.18257242112855,272.9107756984778,253.11207571414155,234.69041809187118,217.55519595390516,201.62103884069418,186.81110130030427,173.05253824019658,160.27584405649975,148.4148526340099,137.4067373461905,127.19201105517274,117.71452611175484,108.92147435540281,100.7639697558223,93.2010344162815,86.1918331318545,79.69717346629348,73.6804245457216
E,6.635880986953817,7.368408452894502,8.172023952733477,9.04926647553771,10.006561893903715,11.053467781087244,12.202216633569176,13.467245723397712,14.86505719610835,16.41414972868524,18.13483192545139,20.049444744145177,22.182497322615298,24.560757577660326,27.21343340355717,30.17239869390638,33.4724383207064,37.15193266673914,41.252911142809054,45.8212846580777,50.90624892723042,56.562192317030124,62.849130254309074,69.83286341794836,77.58329001047618,86.17429457879044,95.68775885221282,106.21378224306088,117.85022106100425,130.69549416911423,144.85184044800974,160.43163876996545,177.5575291350618,196.3581085159769,216.95018521683545,239.45316946854098,263.9958488575109,290.71598514633007,319.73638917409033,351.1496710190138,385.04829165391897,421.52716189716415,460.6704564161319,502.4931692128526,546.9816268785078,594.1131237689121,643.849178297369,696.0578310815843,750.5388816111041,807.0761964073108,865.4334820079976,925.2688243038616,986.1555670764276,1047.6633343390051,1109.353699185413,1170.688719404171,1231.0782210896698,1289.9658078130649,1346.8171854412972,1401.033027258812,1452.0341199764046,1499.3186680060514,1542.437320300162,1580.9356063952853,1614.4402368881247,1642.675728449659,1665.4327999840018,1682.5545930690664,1693.9728404530351,1699.7016294818714,1699.8161078330452,1694.4691089688013,1683.8710332434307,1668.2690305517676,1647.9460670964515,1623.2505858533873,1594.5660896115887,1562.266363595873,1526.7166625132472,1488.3176022596115,1447.4907512062787,1404.6256795991844,1360.0782911834315,1314.199851947539,1267.354484756529,1219.8693370694714,1172.0304952680349,1124.0939710724235,1076.3222743658487,1028.9483996233823,982.1692515599349,936.1469184902942,891.0336868252748,846.9695750623875,804.0672073547773,762.4131161475103,722.0710091867933,683.1019285633753,645.5516047502338,609.4492405960893,574.8082805371188,541.6283922459115,509.90838083774526,479.6378706059181,450.79819846569615,423.3631832908991,397.29914236158993,372.5705829860288,349.14107141749275,326.9696946435887,306.0134326741219,286.2271585410958,267.5636382987104,249.9763110648038,233.41982801355087,217.84753372615492,203.21342625441383,189.47215740157375,176.5790327223284,164.49003143792447,153.16338303092783,142.55857499998132,132.63587207828988,123.35703504557048,114.68532072805243,106.58548199847716,99.023767776098,91.96793688024226,85.38756902505577,79.25384572229248,73.53922084843501,68.2174313904884,63.263497445980136,58.65372222296007,54.36569204000045,50.37827632619583,46.671554864395475,43.226733412567164,40.02691283544919,37.05608598647515,34.298986832282736,31.74109045271375,29.368613040814058,27.168511902833675,25.128485458226603,23.23697323965104,21.483282085247545,19.858446305327057,18.353539436267173,16.96000038466856,15.669832708101534
F,4.531821161822119,5.0378160737153745,5.622854162618826,6.310648019518814,7.12179273462857,8.075940391536301,9.19286928798498,10.493671069696498,12.00104973970021,13.739771677053483,15.737345370441085,18.023893652047356,20.632653885944944,23.600606282663716,26.96860597273976,30.781320300033347,35.08797842621789,39.943295445720906,45.40753287893501,51.54668010958819,58.43173278387071,66.14128128164013,74.7620667682278,84.38919877360497,95.12378127035427,107.07265745394687,120.35392397125591,135.09723534200077,151.44312399511034,169.53255165116113,189.51132354579636,211.5390162252598,235.78914810272224,262.44279457503364,291.66247202469424,323.6127990654365,358.47018533893225,396.42223172318694,437.6325373517314,482.21835471194703,530.2943110161278,581.9761396895087,637.3615602289603,696.4456667965931,759.1803279715498,825.5028898547951,895.3266071245476,968.4301706671193,1044.4953881115753,1123.183198659698,1204.1278413876541,1286.8176227630524,1370.626884292237,1454.931153306416,1539.1011644524974,1622.3775223087832,1703.938796358399,1783.019210898912,1858.8923679352263,1930.7548707823648,1997.8418632293442,2059.5006804002996,2115.1572621484265,2164.2429526987303,2206.3039300815785,2241.018852937643,2268.158597505361,2287.5724843238995,2299.22588634983,2303.1889847832385,2299.611939942588,2288.751512401532,2270.9345897469184,2246.5287881384093,2215.943406415425,2179.674930979745,2138.259668392992,2092.2146062322013,2042.0393928146761,1988.2778378828675,1931.4967782748188,1872.216870728569,1810.910935173931,1748.0428813803092,1684.0902202419707,1619.4799214803083,1554.5837018280217,1489.7324036017983,1425.263279013478,1361.4738812529447,1298.6144308981873,1236.889479930432,1176.489941966485,1117.5898518601525,1060.3278541700504,1004.809010215063,951.108953720208,899.2993251233773,849.4319132647554,801.5375779801918,755.6272484151616,711.6944188082718,669.7312791481091,629.7183419647522,591.625867405216,555.4148474713813,521.0370266095111,488.44197089557645,457.57805578006787,428.3882530900899,400.8131513644975,374.790955853895,350.2574885206344,327.14959183933297,305.40572369282205,284.9629503925224,265.7593956988418,247.73424116771113,230.82772615058366,214.98117146389268,200.1388412089915,186.2467339685997,173.25203458915894,161.10397471830177,149.75383280485102,139.15493409882006,129.26265065141263,120.03441071544033,111.42998120211661,103.41131432365816,95.94209136048434,88.98770448908172,82.51525678200373,76.49356220787105,70.89314563137128,65.686242813259,60.84669745477477,56.34979594667992,52.17334343007819,48.29633222277315,44.69873544926524,41.36150704075164,38.266581735126344,35.396875076980265,32.73628341760098,30.26968391497297,27.983092956213888,25.864741518501763,23.90294322399346,22.086502217541074,20.404963560348058
G,0.38844181387046733,0.434024187632692,0.49815777587785104,0.5914168497786192,0.7219683050695088,0.8968226449108958,1.1224832329990069,1.4056624595949552,1.7534875576305877,2.1737759939152763,2.675442091554562,3.2684190766440286,3.9639302929951823,4.77481925824863,5.715592360601515,6.802442824037192,8.053657309752618,9.489950524367423,11.134488969672704,13.013139041684092,15.15449363127992,17.59075203905019,20.357912708709605,23.495919026502072,27.048605223035562,31.063818854098447,35.5951797709082,40.702189294744066,46.450312600138645,52.90915222723204,60.15365028604949,68.26702007404799,77.34082081796205,87.47378802457528,98.76524019095355,111.32091416349203,125.25634907257455,140.6967508235413,157.7670583709572,176.58437642477287,197.27176551427928,219.95967537290818,244.7793899107411,271.8325330741423,301.2095736722546,332.9997269179738,367.2869419330245,404.10303107672803,443.4375832465559,485.2659677030738,529.546270172151,576.1597113773191,624.9165683337511,675.6060821970509,727.9929653616449,781.7447245848841,836.4571919224302,891.7199793428001,947.1077044161309,1002.0995650662878,1056.1476219812612,1108.736553126348,1159.361958522986,1207.4623558460005,1252.5181482303906,1294.0847172937795,1331.7568860400106,1365.1343692543462,1393.9018831773153,1417.8378659843372,1436.7799372298887,1450.6163472248847,1459.3169011177893,1462.9242634408338,1461.5420516638005,1455.3301695746445,1444.51390610854,1429.3431175532382,1410.0911290830209,1387.0767902833775,1360.663222838122,1331.2037646328774,1299.0373256684995,1264.512666060139,1228.0091807186586,1189.8795500028232,1150.4417362759689,1109.99035313797,1068.8382943335223,1027.2734886665442,985.5461399266612,943.8700696085983,902.4532560730709,861.4955097305063,821.1648140463757,781.5980570902221,742.9052192250718,705.1964922264558,668.5647392290062,633.0811015315323,598.7958640119173,565.7411597468065,533.9493820564874,503.44120975477784,474.22505533655567,446.29802480577484,419.6459409237684,394.2517001891636,370.0970427077696,347.15630986692105,325.3995098394536,304.7923175837042,285.29607484350925,266.8721349275453,249.48302926526233,233.08811384145403,217.64637546440233,203.11643219103226,189.4565333269115,176.62459424448448,164.58099932060057,153.2869890502138,142.70374036433896,132.7936004508938,123.52008675469943,114.84788697747983,106.7428590778621,99.1720908179724,92.10484838537889,85.51163598099976,79.36401691304184,73.63479613755258,68.29802025842022,63.32897752737359,58.70419784398216,54.4014527556561,50.39971029659836,46.67926124449903,43.22224209686119,40.01166771033807,37.03130976200318,34.26569674935027,31.700113990293357,29.32060362316677,27.113964606725016,25.06775272014294,23.170440561883062,21.41252164282331,19.784413765193896,18.276883447221685,16.88129829266141
H,0.5502925696498288,0.6155677968123604,0.7107993776445866,0.8534062064503573,1.0563968998252753,1.3304308766434423,1.6848896178672017,2.12904980118382,2.6724027315896732,3.325054568548446,4.098368636826697,5.0047554330266015,6.058001645858351,7.2737438146772275,8.669481337722209,10.2643950118053,12.079839223425513,14.139748084866882,16.470656368049294,19.10171878097153,22.064466964692688,25.393935533179082,29.12888569091489,33.311903527029784,37.988444939423566,43.20676354795748,49.02026939488145,55.48765970276793,62.67266200899215,70.63968078966546,79.45566768362357,89.19400590044408,99.93458692605206,111.76113752853854,124.74999044755414,138.97898697439373,154.53176392667197,171.49749883766518,189.9556092730732,209.96577180256702,231.58713971459653,254.88002915604287,279.89743528908156,306.64714637226103,335.11788043433745,365.2921374205414,397.14186391305117,430.5780555751536,465.46713427911834,501.6653468260781,539.0160783800218,577.2943695642305,616.2206175179743,655.5138330116122,694.8888771249206,733.9969201292943,772.4564182225283,809.9093260373107,846.0134472717256,880.3855926211615,912.6569653997213,942.5101725797223,969.6628405173999,993.8300752705636,1014.7800673572951,1032.344476126692,1046.397817520298,1056.8484653458363,1063.6614469656017,1066.8541580016276,1066.4826208269874,1062.652172349988,1055.504115596073,1045.2021974758488,1031.9320889962812,1015.9205270338744,997.4156072556286,976.6581877151809,953.8826731728527,929.3452342071628,903.3145017059952,876.0380234290507,847.7412574929133,818.6461314822277,788.9820971960661,758.9547426018352,728.7433083724878,698.5076707779726,668.4114568966036,638.5993912720734,609.193338636327,580.293113698837,551.9922259304261,524.3762894670228,497.5137261663875,471.45662332941316,446.2427813624421,421.90827895421836,398.4795946958597,375.9729810394364,354.3949524119462,333.7435166976842,314.0161517346873,295.2046521530311,277.2957767846099,260.27173170899397,244.11018039487124,228.78773261489815,214.2804362152822,200.56166333165015,187.60359025648205,175.37719743911092,163.85226948572225,152.99907142749746,142.78864392027,133.19131012978175,124.1778768050847,115.71963444897433,107.78835731798948,100.35631505916682,93.39718777908476,86.8854708092122,80.79620528628831,75.10540131614039,69.79003797368392,64.82806330292257,60.198394316948,55.8809219183372,51.85665116232381,48.107620284653166,44.61668524091446,41.36751279767783,38.34458053249452,35.53317683389679,32.919400901397935,30.490162745492263,28.23313408277927,26.136670321155716,24.190324353863417,22.384210251094032,20.708904723446622,19.155447121927683,17.71533943795114,16.38054630333837,15.143494990318136,13.997075411526659,12.934716336724277,11.950903505694804,11.040155599373655,10.197220278466913,9.417194585426861
I,2.589612092469783,2.8818535674658734,3.235596211195909,3.675477362993199,4.220321822101234,4.885802944532114,5.685862796127698,6.63427132013014,7.745075862780998,9.033143601293744,10.515044846585049,12.208745368177548,14.134005842030856,16.31308319875997,18.770741644413366,21.533787931333016,24.63172880067949,28.097447841997628,31.967232529313534,36.28047640997581,41.078974692837534,46.40884520738645,52.32088247103431,58.87062390199861,66.11598822147687,74.11716207951784,82.94054963938369,92.65897268478068,103.35099647221287,115.09288531558457,127.96221897864316,142.0440668113893,157.4310909025933,174.2189938554207,192.4889045760766,212.32209651120593,233.8064437733993,257.0360348548011,282.0887425205336,309.013004744961,337.856610394374,368.6691255053,401.49033077993954,436.2996454292206,473.0538277517496,511.70481685715777,552.1940413862187,594.3878169395055,638.1010120312317,683.141538324702,729.3068002085458,776.3146174226127,823.8223851019849,871.4915044514581,918.9835791090977,965.8884565324158,1011.7622738007143,1056.191936540807,1098.7856637881061,1139.106706556875,1176.7373209233897,1211.3196673669795,1242.5370018221652,1270.0714661987217,1293.6664312630355,1313.1374965562145,1328.3496171454217,1339.2079267785762,1345.6822545367143,1347.8019520702412,1345.6409539100664,1339.3313903862604,1329.0466518581063,1314.9855863561438,1297.3722512074091,1276.4797714793149,1252.6062066348604,1226.040810414954,1197.0650037808753,1165.9863595301047,1133.1275461535633,1098.786138604455,1063.2334200694886,1026.7366472942042,989.5724809929254,951.9890808184725,914.2030411788041,876.4077992144364,838.8016206620347,801.5601441066342,764.831407817564,728.7368248994459,693.3903213613787,658.8964659376247,625.3389353034022,592.7815150623896,561.2705998599456,530.8506186352319,501.5543638686771,473.4020684554432,446.401994628166,420.5519501319735,395.84916846023475,372.2839415815911,349.8403020390315,328.49661153707643,308.2255735130314,288.9985841323678,270.7863950625765,253.55640163616079,237.27445474656355,221.90486084816752,207.41038195629372,193.75435597061747,180.90110773197134,168.81402032473557,157.45702736213593,146.79461320034272,136.79181293847026,127.41422748547521,118.62921800299543,110.4051549737992,102.71104489629312,95.5170725348681,88.79460091989958,82.51617134774719,76.655503380755,71.18750432618477,66.0884943271185,61.33605642725821,56.908771978318256,52.78622367261603,48.94899554307207,45.37867296321005,42.05784264715663,38.97009264964162,36.09995488354797,33.43283245019217,30.955605196597702,28.655848242119987,26.521713687322176,24.541930613975154,22.70580508505752,21.00322014475565,19.42463581846357,17.961089112783114,16.604290574346347,15.347281639352861,14.183140408122672,13.105230789210658,12.10735501609271
J,0.4531821161822119,0.5068948495605244,0.5851194393066725,0.7023928557019753,0.8700835171137258,1.0981056475684579,1.3957885345844234,1.7728353304983335,2.2395823302457165,2.8073586580517147,3.489022450886668,4.298855422152138,5.252936649043179,6.369576275470649,7.669379110473328,9.175307401345849,10.913240461525758,12.9124370283171,15.205569317358384,17.82910233822753,20.823364081254965,24.23376892752721,28.11108813549962,32.51166028655537,37.497430050759505,43.136179931545044,49.503946192172386,56.685169971436345,64.77286606466345,73.86646843767628,84.07350421687593,95.51360170179761,108.31859555448783,122.63118861805312,138.59666149938332,156.37068649625348,176.1239779154732,198.0421359032434,222.31308961193042,249.11731494033623,278.64635218071857,311.10482562514267,346.70196190200164,385.6114661953177,427.99601976025883,474.02079715781355,523.8480880058302,577.5738652510289,635.2402937356243,696.8734908205921,762.4792004713844,831.958870977886,905.1154381055691,981.7211694096799,1061.5122676933954,1144.0815185529282,1228.9102644338998,1315.4602124065025,1403.1598684121923,1491.2792264741065,1579.0265172612922,1665.638054768525,1750.3447944446957,1832.2577822146723,1910.5248374259158,1984.3883380402146,2053.128066435185,2115.9910531984215,2172.342914350535,2221.691807301375,2263.627795229432,2297.7863464520074,2323.939298855889,2341.9942887932743,2351.9678168003506,2353.9472181552746,2348.141602312276,2334.828593596713,2314.3504822219143,2287.1249775330134,2253.6587029213256,2214.466193669321,2170.059891708543,2120.981351296196,2067.8383314697185,2011.2090792982958,1951.6253083766085,1889.5900199289365,1825.6487202132782,1760.3142807275362,1694.0386321089848,1627.2149053582275,1560.2325046042668,1493.4745959397378,1427.2688020350977,1361.8873506495042,1297.5549379817398,1234.5016625349203,1172.928596624754,1112.9955302437668,1054.8224207068286,998.4947445692576,944.1012033135003,891.7092963817834,841.3615844570664,793.0774510290615,746.8531496948228,702.6793475235875,660.5457195364318,620.4261877407345,582.2846713004309,546.0750865360135,511.7413469245278,479.22691574434174,448.47800766665523,419.43318877974633,392.0290389124929,366.2001525419662,341.8791387934288,318.9967023748066,297.48832749804535,277.29083618632075,258.3397669254321,240.57213767573407,223.9264458721374,208.3426684241084,193.76226171566884,180.1283422283565,167.3885139458646,155.49209338945738,144.38981400034527,134.03440386936492,124.38058573697896,115.38507699327616,107.00658967797119,99.20583048040479,91.9454914925576,85.19102298073095,78.91092930048009,73.07512787896938,67.65480763689872,62.622428988503394,57.951723841554156,53.6176955973573,49.596619150754364,45.86604089012256,42.405130221360615,39.19714570561943,36.22492746210804,33.471830391408545,30.922275957013852
