Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,0.2338383585880278,0.26030337352684535,0.29093366283419264,0.3265793094721002,0.36793366686272566,0.4156343421755116,0.47026999278803305,0.5324622251238317,0.6029015520381765,0.6822974922756789,0.7714863381140553,0.8714381898566202,0.9832118465475392,1.107937041810791,1.2469880538633475,1.4019066560276572,1.574403674503612,1.766207270425757,1.9793983616583084,2.216316380548738,2.479551708081085,2.771772661527074,3.095740654466073,3.454948591455408,3.853099831590675,4.294045261336726,4.781657889979128,5.320034646068438,5.914632321166336,6.570673625745833,7.293172573621827,8.087151727348065,8.958164205824083,9.913777458113767,10.959840809382086,12.101467198468196,13.343768039003468,14.693454617311874,16.15830091325942,17.74142469840744,19.445315267713863,21.2727853891534,23.230201698989653,25.317580750161504,27.530458195807938,29.864385452048236,32.319014102540685,34.888811144697186,37.55855828288411,40.31276579482927,43.1415719378647,46.03037198258703,48.95249706701809,51.881287470504624,54.79894826638213,57.681617734563126,60.49603110271858,63.21083405517172,65.80618723792485,68.25508381777804,70.52770123341392,72.5989377390787,74.45335100541293,76.0717572791525,77.4375396854714,78.53999083208768,79.37217791467985,79.93097602037687,80.21708589850917,80.23469358921409,79.98649406801691,79.48379187240575,78.74244194612197,77.77785864935838,76.60058545669402,75.22758167199629,73.68146920075192,71.98447349047348,70.15114511119685,68.19841502270974,66.14763564914833,64.01983795268441,61.83103012049012,59.59491354277066,57.32807674549889,55.04639699454664,52.76391147340965,50.4897158558072,48.23525185172366,46.01024301973878,43.82415257508393,41.68307420803691,39.59331334888617,37.5598653726446,35.58704709503778,33.67871965095008,31.836743594243583,30.06366197057981,28.360210910017297,26.726937135279126,25.164168017427276,23.671379132306274,22.248525116005634,20.8941724937494,19.606736817633262,18.384632318819417,17.226048475209666,16.12955950896812,15.093181809936816,14.114537497728072,13.19124869195359,12.320937512226518,11.501398020670724,10.730729535364691,10.006695434615752,9.327023059171765,8.689439757954203,8.09167287988524,7.531456618085531,7.0070710817988395,6.5165673473681105,6.0579730352780725,5.629577417588589,5.229669766358311,4.85653935364752,4.508475451515072,4.1838239225716425,3.881604920346181,3.5999485197744097,3.337542309821829,3.0933274287467087,2.8662450148063816,2.655236206259264,2.4592421413623016,2.2772039583739616,2.108159948949842,1.9515444055991775,1.8058515767690224,1.6703821760280544,1.544594855281728,1.4279482664354535,1.319901061395409,1.219911892066594,1.1274394103551264,1.0419422681665529,0.9628488918329935,0.8894112802237036,0.8213763028243966,0.7584309580589492,0.7002135395203888,0.0
B,0.01712845580006144,0.019832536295132652,0.02457721461815208,0.03221835261273602,0.043429869596039374,0.058826635394880096,0.07897055619993805,0.10445959697779254,0.13595610789011187,0.17414365382099922,0.2198197836493389,0.2739026019840229,0.33740703257337973,0.4114143336242032,0.4972101175556308,0.596258852745316,0.7102114680656891,0.8407367346712944,0.9898302651908703,1.1597135695457197,1.3529530778119845,1.57220826083372,1.8202397482140653,2.1004715238438942,2.4165733289833513,2.772572245697408,3.1725284698540657,3.6207347850564173,4.122696564024714,4.683901747044525,5.309949574642456,6.006455483549829,6.779553268249007,7.637159142481201,8.586035844285632,9.632515381590135,10.782929491312132,12.04501870024147,13.427580200744705,14.935517897938716,16.57320463102481,18.345216813970783,20.259290257418005,22.31739651499476,24.51722168239725,26.856373179911955,29.33598850693913,31.952232377550857,34.69141543046325,37.53945292485003,40.487326755082705,43.52118140676741,46.61421666166147,49.739446157064066,52.878545304491695,56.006657426247536,59.08813376286535,62.08913799577479,64.98787676792122,67.75436110018282,70.35461730292616,72.75972005253035,74.95149886347588,76.90673156648121,78.60434721483308,80.03006889620275,81.17432900501501,82.03066564653902,82.59657055434018,82.87401081990626,82.86399920274997,82.57631520300775,82.02575096301015,81.22699615491328,80.19042826778376,78.9329001764423,77.4779159716457,75.84861952536458,74.06030041964311,72.13076628596536,70.08310351052148,67.94015644565818,65.71935600294906,63.435580738244404,61.10725822597048,58.75215950580665,56.386011400594235,54.01898137934041,51.664044504702154,49.33242475846782,47.03505538411391,44.77901324200266,42.57162287069078,40.4189052033463,38.326134138594156,36.29805461133663,34.337045937357125,32.446334820617615,30.627154024426847,28.880520766278227,27.207189598638113,25.60685445133561,24.079808365497378,22.62476834726053,21.240275081042803,19.92486756394628,18.676769486285377,17.494634960425593,16.376498411982965,15.319914190867111,14.322436646987457,13.381620130254666,12.495168569602036,11.66113538254421,10.877199528800437,10.140950942822212,9.449979562961895,8.801875327573141,8.194235215141326,7.625229854495797,7.092816397342214,6.594893176055323,6.129620128552196,5.695157192751635,5.289664306571483,4.911301407929951,4.558289392226892,4.229584384344982,3.923189653407786,3.637687331933066,3.3719300330614845,3.124770369934387,2.8950609556926383,2.6816544034781855,2.4834033264314694,2.2992667172660775,2.1286439994382995,1.9699058975338732,1.8222919702878524,1.685213594167498,1.5580821456410532,1.4403090011764808,1.331305537241215,1.230483130303721,1.1372531568313704,1.0509946422096916,0.9708992198330844,0.8966907077836479,0.8280278825584881,0.7645172395944488,0.0
C,0.561451514213136,0.6236982678759304,0.6930413610186492,0.7702811098284689,0.8562140231700396,0.9516637117529876,1.0574950100434266,1.1746356174645023,1.3041206270280365,1.44705209440245,1.604658678427393,1.7783404872870339,1.9696110388498078,2.1800559411605134,2.411547803444744,2.6661536733417077,2.9460920561231805,3.253598294561883,3.5913182588796584,3.9622381488129195,4.369475474744899,4.816206497406824,5.305695941069443,5.84211427777278,6.429797199877096,7.072899402548805,7.775581894665934,8.542221170167117,9.378884967400705,10.290997892152706,11.283164371770622,12.359983200753131,13.526576253827374,14.79058740533966,16.156684823777155,17.62806904919467,19.20792516634591,20.901312607829578,22.71440933210864,24.646599506240022,26.696316725311284,28.86247753266443,31.14843239037996,33.549353670378935,36.05492878552938,38.655042784578974,41.3451191836745,44.114509192475076,46.94239352835106,49.80794697864553,52.6977671933819,55.59357651101125,58.46634832260995,61.28757000373546,64.03881037115538,66.69628621226043,69.22974679563407,71.61122862733357,73.82368811567846,75.84501310471515,77.6530024049672,79.22958403274248,80.56419805019031,81.64546824703388,82.46560737514677,83.02090696533969,83.30955789781892,83.33522756396279,83.10518993225274,82.62822581481088,81.91056412285396,80.96694253419346,79.81577985710058,78.47442727293164,76.95426941902511,75.27310593422489,73.45267452367663,71.51425381301031,69.47173147033183,67.34110804207631,65.14143927403869,62.8913361646721,60.60500010386525,58.29465069062228,55.97440919715931,53.65762206773259,51.35609278582991,49.077540927204446,46.83137369365966,44.625366117858555,42.46707534330379,40.36132476264049,38.3130768820127,36.32602838013317,34.40329719245052,32.547634526779376,30.760208156063655,29.042679956448296,27.395177959588164,25.81767460180647,24.309969609027394,22.87121080795633,21.50090748653351,20.197432969982085,18.959039532179226,17.783978475761582,16.670348336225132,15.616561469048735,14.620585261542557,13.68008758228694,12.792736299863922,11.956199282854604,11.168315770697095,10.427165785468961,9.730573234361469,9.076375393399552,8.46240954940969,7.886512989217614,7.346529366020408,6.840793901757937,6.367404349756969,5.924490844937203,5.510437871553974,5.123629913860937,4.762451456112569,4.4252869825630725,4.110572334705235,3.817341554551975,3.543814635580044,3.288754149958514,3.051157069931522,2.830020367743863,2.624341015639692,2.4331159858632745,2.255342250659005,2.0901054788817546,1.9368426613136718,1.7941320690107445,1.661309900269472,1.537858238436337,1.423259166856028,1.3169947688756625,1.218547127840894,1.1273983270971777,1.0430304499907976,0.9648961964871967,0.8922755221254395,0.8249259656471534,0.7625463673436358,0.7047882751386934,0.0
D,2.552766640680877,2.8330502160637017,3.1396016316133584,3.4738295154314005,3.8382234775536945,4.236000392664601,4.671208308857659,5.148337863710951,5.672489081005201,6.249386244246211,6.885046179152068,7.586258984246038,8.360485070218163,9.215414612229884,10.159667928668686,11.202902907957407,12.355431321387538,13.627631977725253,15.031536242541748,16.58064323790533,18.289262894692396,20.171979655352853,22.243794405609865,24.52357582788069,27.03104955529633,29.7857032565836,32.807082287964555,36.11574227559205,39.73946724938789,43.70381281046686,48.03163660547961,52.74579547392,57.871558341913335,63.44495046572579,69.49046028165989,76.02705482582446,83.07365274116712,90.65732882493128,98.81022046519828,107.5367710627484,116.8375847774044,126.71521829768008,137.19112949989653,148.2521170386202,159.86138875402557,171.98273369875398,184.60286558770946,197.6818100519315,211.13335568605615,224.87074085493697,238.83790547286276,252.95615213660136,267.09428300737005,281.1224011099157,294.9543232875091,308.4773397336638,321.542462847015,334.010300415059,345.792610942047,356.77306247094987,366.8285534018872,375.8561147981189,383.79206162465925,390.5622396610357,396.10634577047097,400.3871727075352,403.3810326148807,405.0855421089062,405.5153642897251,404.6974146497476,402.64989293452413,399.43097711268,395.118229279232,389.78625745698275,383.48560088103807,376.2966874785478,368.3236851693384,359.66888656142834,350.3999243333428,340.5949551427239,330.351282266467,319.76467469282824,308.9085725330886,297.8459313436762,286.65249012291804,275.4008533426724,264.1553861232737,252.9581137336143,241.86160248960115,230.9109029688411,220.1498900737009,209.60696252701743,199.31133603631278,189.2866117268999,179.55334990210875,170.12996970416958,161.02528894350093,152.2514402431642,143.8124351456253,135.71141174319567,127.9504281542896,120.52711972862545,113.44158177125166,106.68752706175391,100.25794896669792,94.14583379031971,88.34279732058953,82.84216301907152,77.63485345412826,72.70982746889668,68.0560439064976,63.662461610065364,59.518605438251605,55.61538486028961,51.94232213233267,48.488591047624894,45.24336541304536,42.195819035488086,39.33515521786317,36.65294730356192,34.139844857365624,31.786393081935127,29.584259199308875,27.525110431530013,25.600614000638355,23.80243712867771,22.12250948575541,20.55589470803631,19.093552759123757,17.72903479530923,16.45706746768205,15.272377427332318,14.169691325346712,13.143735812815654,12.189237540829083,11.301396280487861,10.477357346580412,9.709697172965155,8.994890861617867,8.330180199540546,7.712806973730988,7.140012971192135,6.609039978924367,6.117129783927409,5.661524173200965,5.2393197733829435,4.846783667253656,4.482591033880751,4.145118163455529,3.832505601929196,0.0
E,0.3498103747327327,0.38821276342883576,0.43021523222289265,0.47604381149400865,0.5261060856781096,0.5809376023553662,0.6412206372865589,0.7077187378488293,0.7813054417188161,0.8629688552807367,0.9537484331055098,1.0548241963407021,1.1675067727425328,1.2931510449140047,1.433271074879985,1.589588809110319,1.7639722038100425,1.9583035166437757,2.174775729261249,2.4158388228764336,2.6841979612466575,2.982629666218054,3.3140042558422578,3.6818990658907,4.090102962407111,4.5425950918639915,5.043378858262924,5.596681762363417,6.208037924753786,6.8827961797490005,7.626178171299192,8.443415961817129,9.340256308658264,10.324365467313118,11.401846069235727,12.57814226170833,13.85869587514533,15.250454715888871,16.761402034777166,18.395089507718666,20.154465221529104,22.042752431184805,24.06654650985252,26.22629914242358,28.518060268513217,30.937864834459546,33.48560796591332,36.15609005456266,38.934470316997064,41.80559950831347,44.759688188751404,47.78219829731583,50.84639793224811,53.92549560442261,57.00132673750919,60.049563685479285,63.036127269531974,65.92876770021329,68.70669595438376,71.34169404524904,73.80231225167935,76.06184096764376,78.1034664143285,79.90619601014272,81.4513630859866,82.72647188785423,83.72316263377846,84.43655109852874,84.86556157859205,85.01303455317435,84.88062753601466,84.47862549436573,83.82203453821268,82.92563117831521,81.79973132190283,80.4610516602511,78.9325094849262,77.23665985610332,75.38843419201234,73.40518813910761,71.30926276537252,69.12274904846923,66.8625497253227,64.54310423795076,62.182232961752916,59.797125337922566,57.403010646292415,55.00976713451841,52.629965031219896,50.274510478107175,47.954029977553546,45.67541588536636,43.44578285255153,41.27102163742584,39.15630711494276,37.10629695384568,35.12331452751041,33.21052126958369,31.36916662081352,29.600290971436515,27.90467253440631,26.282006683145028,24.73259658692122,23.255219306405788,21.84847840578807,20.510975705856847,19.240970089048474,18.037129876700092,16.8975424655186,15.819813904273339,14.80155024173382,13.840357526669994,12.933961508293814,12.080423662384316,11.277461865135834,10.522687998753328,9.81371394657474,9.148151591937301,8.523619427162075,7.938276283732083,7.390087805322753,6.876964917820658,6.397063637500511,5.948539980636385,5.529549963502653,5.138249602373966,4.772854358236855,4.432296945054206,4.114583491078703,3.818286729653673,3.542243286003154,3.285289785350848,3.04626285292116,2.8239991139383793,2.6173351936260003,2.4252141540662744,2.247021230635961,2.0811134581194395,1.9267148919280477,1.783221294743789,1.6500284292485237,1.5265320581244608,1.4121279440534504,1.306211849717985,1.2081795377997258,1.1173945811958896,1.0330361666907732,0.9548166686678932,0.8823824087325174,0.8153274733240768,0.0
F,0.23896794537656119,0.26613393599750235,0.2978645195536824,0.3352569193050712,0.37930413689670456,0.43099978978692716,0.4913533816041851,0.5614523861568248,0.6425043688547785,0.7357939272359346,0.8427481731948921,0.9649829089561315,1.1042736928646035,1.262482908586001,1.4417569479705397,1.6445130144925717,1.8734141718497088,2.1311470003896957,2.4208651138892545,2.7460748907539108,3.110690146877759,3.5187396930656125,3.974385436403559,4.48277879375801,5.049379143798058,5.67994094219486,6.380254151706902,7.15641161879356,8.016321988529981,8.967630032242552,10.0177527716033,11.174119920278155,12.444834360777866,13.840691725086376,15.370143811737071,17.04058287556117,18.85938903154051,20.835956278534596,22.98112554445326,25.299061862120134,27.792988993880986,30.46646726050733,33.32780716341061,36.37629501253315,39.60468768940124,43.00573064502015,46.57776281045444,50.311767825628195,54.18494166190523,58.17409828331254,62.26401934130827,66.4328206662566,70.64187229993219,74.85262505894279,79.03910870328934,83.16700281277615,87.1894160573146,91.06221349374675,94.75725720061742,98.23686305478375,101.46005510853664,104.39234497211044,107.01230471686941,109.29401326182364,111.21541969974037,112.76234305219135,113.92551261141618,114.70147190103859,115.0920949974379,115.10373777986082,114.74050435893149,114.01864601649494,112.96062931082811,111.58821537667315,109.91622081067037,107.96850364002242,105.77661466226253,103.37155027091652,100.7737040539312,98.00675699348145,95.10048065065969,92.08420102125324,88.98033560786469,85.80809353171558,82.5907054542814,79.35044118796102,76.10702609768252,72.87331341100963,69.6654296000887,66.4971696983688,63.38196713530882,60.32852635732784,57.34582493406335,54.441081796269074,51.62057798719612,48.88994662324813,46.251940934645525,43.71030431996051,41.26627638415988,38.92083033933333,36.67461861832682,34.527008118272555,32.47808233233535,30.525972161236737,28.668591836969057,26.9038535513112,25.229292140954165,23.64297246575247,22.142199107558366,20.72369314660267,19.384175663117453,18.120367737335027,16.92918780213685,15.80798105168982,14.753643769708649,13.762982331550992,12.832803119193409,11.959912514614874,11.141126014981163,10.373992089279762,9.655769340737564,8.983674590650851,8.355270165510593,7.768118391806097,7.219781596026713,6.707822104662839,6.229880999686081,5.78454112084284,5.369151634007697,4.981832544651072,4.621055952241704,4.285293956246581,3.973018656133607,3.6827021513708056,3.4128165414256006,3.161972848695905,2.9293524445147336,2.712793856294733,2.5112811946878266,2.3240237875467713,2.1502309627245793,1.9891120480758195,1.8398763714518258,1.7017332607071147,1.5738920436947175,1.4555192081254842,1.345533966605464,1.243561673282552,1.149140858006228,1.0617407206997809,0.0
G,0.020511148101322468,0.02320244414916371,0.02709931737131755,0.03266469572561904,0.04026963898245522,0.05025788561698335,0.06295022062376873,0.07869066195128525,0.09786430818531808,0.12087350498854627,0.14818719940276595,0.18035026838980406,0.21796955987694697,0.26169275614413706,0.31229135869452807,0.3706534622969014,0.4377871338684956,0.5147120519120535,0.6026555330587862,0.7029848100244059,0.8173114199596997,0.9473107324546349,1.0947292082014661,1.2617359321871204,1.4506767143086996,1.664212546262013,1.9050306600496667,2.175992575932905,2.480735015774436,2.8229981244581213,3.2068037604875976,3.6361904565219247,4.115616678819862,4.650654786102171,5.246582656388817,5.908727239250396,6.6424327105996825,7.454120062172944,8.350950472053363,9.338615511075934,10.422664160529576,11.608887770709625,12.905117336883908,14.316400814557499,15.845799899506972,17.496326023977904,19.27302567176893,21.17820890420595,23.208466828028342,25.360043928351033,27.631589199888303,30.0185523303314,32.50716812196641,35.083147838763615,37.73655888665377,40.452277161830494,43.205109575861634,45.970383889577974,48.731058624564135,51.46199611556115,54.13135553549557,56.71070193631723,59.18078114478043,61.5141557143586,63.68208723233487,65.66256621965518,67.43993045004075,68.9961226740767,70.31506816239418,71.38745853360022,72.20633074142306,72.7689440768117,73.07685957731594,73.13348214745075,72.94346998754261,72.51434481432636,71.86187835813264,71.00191076949213,69.94604989515497,68.70755384189131,67.30700805819438,65.7653972969605,64.0990814397477,62.321713590338774,60.45259498674427,58.51114645474661,56.51463235103908,54.473968984270776,52.4042413251141,50.31968148779424,48.23420248751347,46.15685218170014,44.096993409588165,42.06360789574818,40.06492866374292,38.10846782251803,36.19821858306575,34.339697115935344,32.53640169995785,30.7915661041634,29.108012601819592,27.486631292744576,25.92943581099777,24.436556999189534,23.007879647648565,21.643285288413473,20.341875808879525,19.10322945716154,17.926313398098948,16.80931327171934,15.75041471805109,14.74780337712251,13.79956874569122,12.904237129489493,12.059963099176018,11.264516110659235,10.515665592550269,9.811180973459594,9.148836384839726,8.52685866873562,7.9434677646891085,7.39665795980628,6.884556457082104,6.405290459511345,5.956987170088122,5.537773791807827,5.14583769346703,4.78014139508104,4.438744362775393,4.120162226850872,3.8231633350827803,3.5465160352473535,3.288988675119793,3.04934960247608,2.8263671650919626,2.618928490550868,2.4264553080957025,2.2472272904071677,2.0804074866464366,1.925343895210932,1.7813845144962555,1.647877342899517,1.524170378816619,1.4096116206453546,1.303549066780603,1.205300779102702,1.1140252442242018,1.0294006084109864,0.9510386314893581,0.8785014129272571,0.0
H,0.029066392734344394,0.03299317133650424,0.03887748797253668,0.04747107383617378,0.05935129162005847,0.07502999467167418,0.09495601213849565,0.11959772329857826,0.1494625482924319,0.18505969099465022,0.22698655639069112,0.2759198663096811,0.332595699004702,0.397797378600079,0.4724565796084218,0.557614843488672,0.6544356058215829,0.7640939888964543,0.887983588197349,1.0276503161602892,1.184840389559278,1.3613568650824337,1.559064072880513,1.7802657148133612,2.027411380892729,2.3031122306192797,2.6099969316726166,2.950833192624538,3.329196210104768,3.748574862903936,4.212399515695802,4.724107368041137,5.287448372558545,5.907378039518807,6.587879318145273,7.332508817115783,8.144819439727945,9.029288357995718,9.991069049294854,11.03243296545859,12.155249196311333,13.361542895299909,14.655499523149485,16.03731308959333,17.5042718462206,19.053649348196643,20.685231600984054,22.39549880736823,24.17461060648911,26.012528296458825,27.902774463013643,29.83580276056918,31.794134601316223,33.760273025622176,35.722461853093044,37.66496528475753,39.565784422004015,41.40414831432762,43.16683553706237,44.835843464791076,46.39118010083308,47.81595084662013,49.09968414885883,50.229268253334055,51.1931622941546,51.98378212706204,52.59616087326472,53.027617684994794,53.27793775091659,53.349349880931705,53.24325771483948,52.966591348761305,52.52928482797511,51.94107903250637,51.20874776034457,50.3431663905384,49.35908000978459,48.27099213101807,47.08847222379982,45.82263024724838,44.48765486707063,43.097556468082985,41.663029938247824,40.193209978870875,38.69929746834164,37.19206639722973,35.681051148681846,34.17241993986282,32.67400292064481,31.192543317732696,29.73460811248671,28.304434494870915,26.906402185292905,25.54408550749469,24.220605373333598,22.938762966208568,21.69992830986951,20.505980383601802,19.35759233480137,18.255307037439987,17.199508311495617,16.189934631254737,15.226688970886416,14.308926340665673,13.435695314605882,12.606043446736384,11.818825546495331,11.073153598289156,10.367774627553409,9.701147570115696,9.071731361804071,8.477984938446731,7.918457459387947,7.391905683801928,6.8968694215142055,6.431838969777643,5.995304628401279,5.585756697194203,5.20168980492257,4.841948252756308,4.505241195685992,4.1902529204720524,3.895830763381501,3.620822060680737,3.364074148636325,3.124434363515022,2.900787615819837,2.692469046267675,2.498225330758439,2.317168128149564,2.1485767692798703,1.991730584988064,1.845908906112587,1.7103910634922046,1.5844563879654887,1.4674502109232022,1.3589886740893524,1.258049444880212,1.1641543076771423,1.0769320466456276,0.9960114459508618,0.9210212897583167,0.8515903622332792,0.7873474475412761,0.7279213298474568,0.672920115342019,0.6218316320247113,0.5744823050670185,0.5306566514760925,0.4901057866163319,0.0
I,0.13659267125334695,0.15262228461233462,0.17237451944650128,0.19692464403719698,0.22711624595798166,0.2637040906671575,0.30735724761795397,0.35877007152124535,0.41868968632345044,0.4878626727986024,0.5671581209056259,0.6575518442993158,0.7600908724843429,0.8758840155309686,1.0062516969212232,1.1526450482664639,1.3166542375518944,1.4998833486507028,1.7042255734138214,1.9317936058443124,2.184872314255146,2.4658038475377624,2.7769987984470754,3.121472967200937,3.5023968479154837,3.9229548530227376,4.386343205202764,4.895921001366581,5.45618666155682,6.0713404647860205,6.745209648214149,7.481622592926151,8.284807879736654,9.16072459443583,10.113599884480244,11.146840424270955,12.26384820812472,13.469385593949616,14.769087020120834,16.16430817224689,17.655819332689532,19.24473112005929,20.935287110449018,22.72625137487535,24.612655815071484,26.589621463932364,28.656017204103108,30.80641310022279,33.02777802442732,35.30695719104101,37.63572238013631,40.002071722807976,42.38492055478763,44.76330170375252,47.12336980894528,49.44661773128275,51.70766772133163,53.882642633897134,55.95640388453653,57.90845004633656,59.716273747434784,61.360879715383135,62.83048084962283,64.11051460626967,65.18830760612795,66.05561299089639,66.70707065562094,67.1401492111012,67.35516251158842,67.35516225416951,67.14214805230058,66.72466226467702,66.11473573618122,65.32415599879675,64.36115159468478,63.238822513664076,61.97483530654026,60.586571114997426,59.0855643674783,57.4851599097551,55.80240042106679,54.05412445159367,52.25321614250168,50.410673351155594,48.54001103090923,46.65425122617003,44.76492361483994,42.87948496107818,41.00741990475334,39.15693393330939,37.336019498241754,35.5498274011836,33.80367605300446,32.10194526708741,30.44846910694913,28.8466883671502,27.298269616136558,25.80551791209029,24.36928441827051,22.99026132253084,21.668942203872735,20.405001185143387,19.19857568564798,18.04864799311024,16.954068974185528,15.913688192342942,14.926100297080229,13.990211145235236,13.104490943463652,12.267049316541176,11.475995889243624,10.729440286347577,10.025590337985532,9.362907486058003,8.73959588775441,8.153788848477438,7.6036196754380745,7.087221675847932,6.602733351258371,6.148714319597833,5.723566505375614,5.325659999802361,4.953559849236731,4.605831100036708,4.28103879856044,3.977747991166372,3.6945698897083683,3.4306701394032117,3.1844932677751,2.9549303752215623,2.7410782879332496,2.5420338321025326,2.356893833920666,2.1847551195792727,2.024714515270127,1.8759511754492881,1.7379843471823375,1.6095377876838952,1.490009893283962,1.3789321902789073,1.275836204966732,1.1802534636441373,1.0917154926076678,1.0097538181555392,0.9338999665839722,0.8636603114685311,0.7983966707144371,0.7378865655774507,0.681856136199399,0.6299907520751022,0.0
J,0.023936463714151698,0.027164211552448376,0.03199924006372702,0.03908134891686489,0.048931359852553,0.062038133737503186,0.07886499428729613,0.0999099849996758,0.12572994790936537,0.1569092964270317,0.19412241703183591,0.2381493043499959,0.2898582143895052,0.3501731623384875,0.42018674478490825,0.5011567716072473,0.5945079211586763,0.701681048868016,0.8244063394319165,0.9646101131283181,1.1245659044501477,1.3066372367799028,1.5132891672044178,1.747581219577773,2.01282694500268,2.312804056801691,2.6513283856156615,3.032468714099822,3.46138866955748,3.9434311967037265,4.484394746681292,5.090103027331793,5.7670030425435455,6.5231152421168614,7.36618865841343,8.304145717832341,9.344940362375155,10.498135993017128,11.774386595158566,13.182662049554553,14.731807937961127,16.43109528287949,18.2927784164572,20.32562499288236,22.535988599670077,24.930198616527544,27.517603091110143,30.304045067068763,33.28789236267002,36.467061935249724,39.84284420017755,43.41220875053939,47.15936623550119,51.067718820537074,55.12642648988185,59.3170848728993,63.60623132346941,67.9607861381856,72.35793694586039,76.76210693887555,81.12614001891794,85.40725072117016,89.57603667883076,93.58824069148334,97.39542170057206,100.95915011086099,104.25189159736405,107.23802003609055,109.88323905535567,112.165031350344,114.06734269728359,115.57621730904214,116.68324226601972,117.38453226211287,117.68321980625615,117.58327165414289,117.10228975346051,116.25841248440956,115.06715867828606,113.5454022549873,111.7232122478848,109.63194504012364,107.29676684387184,104.73829022938413,101.9881340921868,99.07901423872225,96.04015242667852,92.88980942679662,89.65430291849997,86.35975630357952,83.03175591850646,79.68688558601109,76.3422315182732,73.01552564256862,69.72332912527268,66.48079919916228,63.29590345047197,60.179959219818365,57.14112583962862,54.187080076128055,51.324636890095825,48.556284834195296,45.887068877435865,43.31870677347585,40.85243252711471,38.48947280278175,36.22915218653566,34.071584619521346,32.01603713883137,30.06014411891377,28.20153993421752,26.437858959193612,24.766241920410703,23.184609374389815,21.690381630470007,20.279998472032606,18.949899597874353,17.6965247067926,16.516318266704463,15.406294930326702,14.36369406915586,13.385250158423514,12.467768031584626,11.60805252209181,10.802908463400717,10.049140688965089,9.343652325301143,8.684655501336078,8.068924909246718,7.493887574485432,6.957371574989693,6.457204988696456,5.991215893543224,5.557232367466815,5.153082488405541,4.776806097303183,4.427424040898341,4.101924293088311,3.7988122259713153,3.5169183984035697,3.255073369240331,3.012107697338421,2.786851941553881,2.578136660742283,2.3847924137602883,2.205597649402769,2.039060342110131,1.8846022770837678,1.741521435634041,1.6090284007209492,0.0
