Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,2.107692307692303,2.3415306662803306,2.601834039807176,2.892767702641369,3.219347012113469,3.5872806789761946,4.002915021151706,4.473185013939739,5.0056472390635705,5.6085487911017475,6.290846283377426,7.062332621491483,7.933770811348102,8.916982657895643,10.024919699706432,11.271907753569781,12.673814409597439,14.248218084101051,16.014425354526807,17.993823716185116,20.210140096733856,22.68969180481494,25.46146446634201,28.557205120808085,32.01215371226349,35.865253543854166,40.159298805190886,44.94095669517002,50.26099134123846,56.175623662404796,62.74629728815062,70.03946986177246,78.12662158912053,87.08478579494462,96.99856325305836,107.95840406244045,120.05987126090866,133.40363929991213,148.097093917224,164.2553948304834,181.99681952889085,201.44213479660473,222.7149201857581,245.94512188474778,271.26270263490926,298.79316083071717,328.65821529306186,360.9787736596895,395.8666173827412,433.42181725851736,473.73521302837776,516.880452238744,562.9100357562857,611.8593335069501,663.7418775178921,718.5429958196411,776.2226934196889,836.7168133224843,899.9297992728215,965.7367898240841,1033.9906877225176,1104.5175107730074,1177.1171779890853,1251.5708373301106,1327.6422657824096,1405.079640463996,1483.6196005983657,1562.9918451431026,1642.9229891185441,1723.1403016433337,1803.374740139868,1883.3605111460538,1962.844422791843,2041.588033278138,2119.3663538649816,2195.9656588190983,2271.1923862824087,2344.8750044584845,2416.86083017766,2487.0112415824865,2555.208507729747,2621.3563143670226,2685.377488373836,2747.2083080559623,2806.8023319438817,2864.1299650400874,2919.1774481213806,2971.9414581140313,3022.4308690621738,3070.6655660251654,3116.6761028891196,3160.5004402186273,3202.183625805281,3241.7767940875965,3279.3363936941623,3314.9236047365125,3348.602219272616,3380.439214975321,3410.5029496455277,3438.863021343429,3465.5898196785083,3490.7537508311984,3514.425418037105,3536.6742545947436,3557.5684728257297,3577.175005464699,3595.559201664738,3612.7852291648574,3628.915134558395,3644.008678642611,3658.1233364186905,3671.314308524441,3683.6348134029304,3695.136069333346,3705.8669554512,3715.8739951420644,3725.201356041565,3733.8908500353878,3741.982234612953,3749.5134736924774,3756.52035901981,3763.0368093474435,3769.0948734338526,3774.7247300434933,3779.9546879468044,3784.8112522333518,3789.3197993658378,3793.503744614218,3797.3850755018157,3800.9845648007936,3804.3217705321617,3807.4150359657756,3810.2814896203326,3812.937045263377,3815.3966899153293,3817.6745025433393,3819.783063456003,3821.7342739897995,3823.539382023006,3825.2089819757057,3826.7530148097817,3828.1807680289203,3829.5008756786124,3830.7213182153105,3831.8493767694254,3832.891714076759,3833.854598694278,3834.7439203302547,3835.56518984427,3836.323539247211,3837.023721701272
B,0.15384615384615355,0.17097460964621497,0.1908071459413476,0.21538436055949967,0.24760271317223573,0.2910325827682751,0.3498592181631552,0.42882977436309333,0.5332893713408857,0.6692454792309976,0.8433891330519968,1.0632089167013357,1.3371115186853588,1.6745185512587386,2.0859328848829417,2.583143002438573,3.1794018551838885,3.8896133232495775,4.730350057920872,5.720180323111741,6.879893892657462,8.232846970469446,9.805055231303166,11.625294979517232,13.725766503361125,16.142339832344476,18.914912078041883,22.08744054789595,25.708175332952372,29.83087189697708,34.51477364402161,39.82472321866407,45.8311787022139,52.61073197046291,60.2478911129441,68.83392695722974,78.46644233881986,89.24937183013199,101.29439053037348,114.72197073111816,129.6574886290569,146.23069326008172,164.57591007405247,184.8352003314705,207.15259684646526,231.6698185288625,258.5268563518341,287.8643550626245,319.8155978645202,354.50369178378435,392.04385273761375,432.5349341213946,476.0552237101489,522.6661310101963,572.4069658513355,625.2878322520396,681.2923240370902,740.3784221799204,802.469980187016,867.4587325216362,935.2116909407189,1005.5653307601802,1078.3259502285118,1153.2777702614446,1230.1840604569036,1308.788205600453,1388.8183121678069,1469.9927489541187,1552.0235454355345,1634.6202693075525,1717.4940328839564,1800.3573184344918,1882.9337953014312,1964.9606976721536,2046.1881997178414,2126.377240365374,2205.309254731714,2282.788427723451,2358.6385371002193,2432.6980015141157,2504.827492399152,2574.910817774144,2642.852501003023,2708.5715987006006,2772.0061413370195,2833.1129143550334,2891.866346745922,2948.252481910729,3002.271067974908,3053.9344616274457,3103.2672561839554,3150.302570179775,3195.0816816650536,3237.653092927518,3278.071688134175,3316.398060171824,3352.69601858936,3387.03332408523,3419.479703528678,3450.1066915118245,3478.987096189168,3506.1940340528918,3531.801205656328,3555.8813412146465,3578.5061411997112,3599.746202410062,3619.6705917286317,3638.3473433554145,3655.8423701403635,3672.2192648029463,3687.539299932134,3701.861428926863,3715.2425555187924,3727.7375684001527,3739.3988997398,3750.2764966020945,3760.417820946899,3769.867849629579,3778.6693840948046,3786.863348613267,3794.488376908747,3801.58109377283,3808.176118045415,3814.3060626147167,3820.0015344172725,3825.2912054341737,3830.2025458240923,3834.7609384596344,3838.9902263436816,3842.912938024996,3846.550287598225,3849.9221747038973,3853.0471845284237,3855.942587804101,3858.6246560713616,3861.1086928856494,3863.4083794693142,3865.536659164781,3867.50576516014,3869.3272204891487,3871.011838031227,3872.5697205114643,3874.0102605006123,3875.342140297702,3876.5732882019406,3877.710963150396,3878.7619926704,3879.732792298767,3880.62936558178,3881.457304075204,3882.2217873442746
C,5.061538461538451,5.622989975751586,6.246688243627516,6.939729604646167,7.710010714474635,8.566224737644676,9.517888449397661,10.575383459441088,11.75001907690559,13.054139703933627,14.501191798336079,16.10585047676347,17.884190964050504,19.853802002900313,22.033857944060827,24.445405747505568,27.111559420847275,30.057651476970456,33.311249771532346,36.902568030412,40.86480617922492,45.23428165396981,50.05048815137664,55.35618409244608,61.198298370218865,67.62809557009597,74.70099497264478,82.47657686731068,91.01879803747782,100.39768300487852,110.68868089703123,121.97184526880186,134.33182846955498,147.85840472338234,162.64899212872203,178.8056769524992,196.43374600169386,215.64167116803975,236.54298377586935,259.257393107978,283.903992614218,310.60030933952925,339.4627868721937,370.6112192625736,404.1605729329526,440.21550171848196,478.87128269038897,520.2181672148212,564.3316893581988,611.2703604867518,661.0787769800379,713.780274214017,769.3732726565848,827.8364569605756,889.1250255266182,953.1657661681156,1019.8606347222138,1089.088663367313,1160.7015035703794,1234.5258591752106,1310.37015790624,1388.022485781558,1467.2524371808279,1547.8169252946652,1629.462311747966,1711.927835618928,1794.94856658125,1878.258106446519,1961.5935831271977,2044.6991545411852,2127.3271019723516,2209.236915218751,2290.2038986516436,2370.020889516595,2448.4956972300265,2525.4488619406193,2600.7211650195695,2674.1748076233926,2745.690187699562,2815.1613429625354,2882.5015016564153,2947.643035275418,3010.535418130473,3071.140274402559,3129.4342501038645,3185.408280326922,3239.0667286808384,3290.4228858949273,3339.500236026365,3386.3311826552645,3430.956751542839,3473.423927988028,3513.785370759584,3552.09837230225,3588.424191353137,3622.8275823179697,3655.3751111723077,3686.1355452765474,3715.17831200553,3742.5733833277345,3768.3909209734443,3792.7006839673113,3815.5721330629694,3837.073309593591,3857.27079438739,3876.2296637710733,3894.0132798826103,3910.6836008114374,3926.3004372445475,3940.9213252462932,3954.6015262583896,3967.394044422812,3979.3498999313874,3990.5180868809693,4000.945353458733,4010.676195912564,4019.7528585510568,4028.215333743522,4036.1016377588767,4043.4480160313374,4050.2886361060214,4056.6558954951474,4062.5804245514882,4068.091086468362,4073.214977279644,4077.977486085525,4082.4028925239954,4086.513605525896,4090.33068739362,4093.874051451318,4097.162462044906,4100.213534542061,4103.0437353322195,4105.668381826584,4108.101903310657,4110.357841879053,4112.448330630879,4114.384855943833,4116.178280894165,4117.838845256689,4119.376165504767,4120.799234810325,4122.11642304384,4123.335476617022,4124.463467560399,4125.506875066795,4126.471803278527,4127.363991627841,4128.188814836906,4128.951282917824,4129.65604117262
D,23.015384615384562,25.56815125606544,28.40120147212914,31.5408031037425,35.0146326191739,38.8528560967276,43.0888564893922,47.76006479824986,52.90840266196081,58.580891742966,64.83027798721223,71.7153241663643,79.30158315061033,87.66206822082849,96.87748283305837,107.03715076172705,118.24005366968446,130.595484991072,144.22311696879729,159.254653211339,175.83529644924434,194.1245593439367,214.29653899928957,236.54033340489943,261.06390923278013,288.0949587880765,317.8806620446601,350.68774433262456,386.80348660821676,426.54295385760463,470.2467666680714,518.278403273551,571.024198747471,628.8957570893843,692.34070755511,761.83116783677,837.8582226625945,920.9318754037616,1011.5892042286928,1110.399424693891,1217.9361957566393,1334.773780534044,1461.488998831724,1598.6801283316206,1746.9322453702405,1906.7936341242664,2078.7796541394173,2263.390258616262,2461.0675163523315,2672.184360662891,2897.057623798644,3135.9126359615234,3388.865662472123,3655.945293860841,3937.0728713630697,4232.03658741289,4540.506310213684,4862.040500419969,5196.059414713201,5541.855388898671,5898.624105311227,6265.449123193313,6641.307778764996,7025.1012083419955,7415.662476134947,7811.768239045169,8212.154962658762,8615.536129197228,9020.622605529124,9426.139307155065,9830.83546896565,10233.481972553429,10632.91337895128,11028.037052628904,11417.825280444004,11801.305196740797,12177.598041816138,12545.926783409877,12905.601613104047,13255.998282591438,13596.58815877744,13926.940188139126,14246.710783752453,14555.618396967131,14853.460342655057,15140.11086728152,15415.516639378351,15679.672479037677,15932.62914117464,16174.48819850909,16405.40051595627,16625.551357519078,16835.158757065627,17034.469299021224,17223.754673539508,17403.308957173274,17573.43852544276,17734.46486682557,17886.716484099547,18030.528252652268,18166.239231547504,18294.188645957995,18414.71702622664,18528.159898345453,18634.84754183524,18735.10468007963,18829.248617967183,18917.59131793962,19000.435025383988,19078.071452716475,19150.78177938245,19218.83664439416,19282.49714513505,19342.015076966753,19397.63119541936,19449.575097060257,19498.06521949414,19543.308841363018,19585.503352930336,19624.83743804919,19661.4894859675,19695.628813996842,19727.41567997057,19757.001282243855,19784.527759693632,19810.128495155222,19833.93121301763,19856.05419931133,19876.608749667743,19895.70014357251,19913.427644365394,19929.884499240346,19945.157939245502,19959.32917928313,19972.474805508693,19984.666887521216,19995.970131719092,20006.44581155207,20016.151890101595,20025.14302008082,20033.470543834614,20041.18249333953,20048.32359020385,20054.93524518922,20061.055373850464,20066.718780193918,20071.958228440406,20076.804537371914,20081.286580331638,20085.431285223935,20089.263634514366
E,3.1538461538461466,3.503656528578879,3.8918692920077147,4.322084524230608,4.798128335724617,5.324234421402726,5.905172023758092,6.546392661044652,7.25411139889348,8.035416840612296,8.898385695893033,9.852134128998543,10.906958325339247,12.074465098081777,13.367616142995782,14.800887217875765,16.390476026986086,18.154448230796127,20.11275174743991,22.28752747670115,24.703366299577592,27.387564260824252,30.370193927042298,33.68419818288455,37.36609724877526,41.45620021118237,45.998795303046364,51.04217416130928,56.63885592367269,62.84689384842649,69.72969002817547,77.35586819947468,85.79928416129181,95.13954046995005,105.46390593726318,116.86575200649892,129.44389426820723,143.30259014335257,158.55304485924142,175.31444689401863,193.70953640173727,213.8640016232664,235.90675405445117,259.9733005643037,286.1995997067273,314.7176599752405,345.65618510473246,379.14330869868104,415.2984344400793,454.2296006995457,496.0358487132443,540.7991795485361,588.5805653151051,639.4237795241124,693.3505592002927,750.3540710966091,810.4016605083154,873.4358714052393,939.3668521671297,1008.0743634240588,1079.4148111493273,1153.2162263659661,1229.2788527242965,1307.3826266718124,1387.2884527544961,1468.73963820402,1551.4661099991938,1635.189357463626,1719.6260568314465,1804.4918056280044,1889.50458858907,1974.384508236234,2058.863276763506,2142.686451788882,2225.6125594282566,2307.410959369151,2387.8711537608406,2466.8048642576987,2544.0429449970993,2619.4305797714196,2692.8345496483025,2764.1440220577865,2833.268228481857,2900.1305288115122,2964.672638625823,3026.8544082439016,3086.652758064892,3144.0558877264884,3199.065267885975,3251.694603575904,3301.9694780725254,3349.923767993911,3395.59927132563,3439.044836428437,3480.3155563179207,3519.472112432596,3556.578324516996,3591.7018789060367,3624.9124265222467,3656.2814295422445,3685.881630404866,3713.78606718653,3740.0683736430706,3764.8012712492373,3788.0565108617498,3809.904796678061,3830.415321653579,3849.656273953804,3867.69377751103,3884.591693084407,3900.4116182599355,3915.212881665531,3929.052765026698,3941.986573014988,3954.067186979416,3965.345032570588,3975.8680797407073,3985.681842743569,3994.82966741748,4003.353017524439,4011.29109261299,4018.68108485057,4025.5581817666734,4031.955566252859,4037.9044165627474,4043.433975065307,4048.5722586922216,4053.3452047985247,4057.7772035206735,4061.89131617543,4065.709275259869,4069.2514844513717,4072.5370186076275,4075.583623766632,4078.4080307008353,4081.02598779844,4083.4516107292707,4085.698260897353,4087.778572992691,4089.7044549912753,4091.48708815508,4093.1369270320606,4094.6636994561595,4096.076406447172,4097.383282636145,4098.591880014731,4099.709304205132,4100.742236089209,4101.696931808489,4102.5792227641605,4103.394515617071
F,2.153846153846149,2.3928140992227096,2.6589480352202126,2.9568125547738955,3.292069474078966,3.671373610975671,4.102373400762597,4.593726782366783,5.155179168523608,5.797683537378387,6.53347746461432,7.376225637809214,8.341208546765344,9.445482239629946,10.70796514821595,12.149722096186489,13.794235110679061,15.66764928252877,17.798796282918463,20.21966139680772,22.965736287561633,26.07642643443939,29.595166127505006,33.56955156390857,38.05233035766658,43.101709501464626,48.78165044365948,55.16190459536638,62.31831621415994,70.33463820268994,79.30226823493247,89.32002100653578,100.49414092681396,112.9389752875918,126.77966701267819,142.14981082441528,159.19039369997643,178.04978273151696,198.88573901005154,221.86686455450484,247.1659264166249,274.9589154105059,305.4253826710132,338.7531898344239,375.1294848469569,414.73417253635824,457.74085375691345,504.3208156876369,554.6312226813181,608.8114141180473,666.9863692594864,729.2555351372956,795.6872872557576,866.3246846540528,941.1790124792398,1020.2211106437629,1103.385531433952,1190.5723058630838,1281.6374063172054,1376.395759576313,1474.631072581944,1576.0899417356388,1680.4832204456873,1787.4959548861832,1896.7895671421877,2008.0047743585492,2120.767039587694,2234.692627605755,2349.394355590228,2464.486802589148,2579.59017502655,2694.3296607071675,2808.3484631703277,2921.3107345102476,3032.8995798563797,3142.814032962239,3250.7813552446596,3356.559550620011,3459.93296089363,3560.705650287311,3658.71082482918,3753.8115433198573,3845.8975909335904,3934.8776302542733,4020.6844865701332,4103.274581929007,4182.626541055091,4258.733707287739,4331.6065800675715,4401.271229383826,4467.768824519132,4531.1510716704315,4591.479740478966,4648.82533770158,4703.266042955565,4754.886883479181,4803.77669782628,4850.028974226124,4893.739352504516,4935.005427974918,4973.926099011423,5010.600398846114,5045.127801645952,5077.6062967180615,5108.132315483927,5136.800641794256,5163.703901284546,5188.933165884897,5212.576618409173,5234.719310061587,5255.443160436708,5274.826961901798,5292.946724978136,5309.875712222676,5325.6839205587385,5340.438049268181,5354.201499991377,5367.034376727232,5378.993883245077,5390.134687245315,5400.508414939828,5410.164032620708,5419.147850559734,5427.503523008387,5435.272048197827,5442.491859920639,5449.199763899567,5455.429793802242,5461.213942436582,5466.582455134843,5471.563829753619,5476.184816673835,5480.4704188007545,5484.443891563981,5488.127152514981,5491.540813767227,5494.703339792241,5497.632207296312,5500.343941408132,5502.854115678813,5505.177352081872,5507.327321013244,5509.316741291274,5511.157379997303,5512.859993801229,5514.434442433149,5515.890004835062,5517.235404377284,5518.4788088584355,5519.627830505446,5520.689525973549
G,0.18461538461538426,0.20512653271670664,0.22832897686587034,0.2554282942371879,0.288092989962807,0.32836262894526225,0.3786205145622455,0.44157073518601425,0.5202613971372996,0.6181257053226176,0.7389992103111639,0.8871864097139297,1.0675366781037339,1.2855062379806808,1.5471989941248179,1.8594903528193458,2.2301438151162474,2.667930948984743,3.182643000896796,3.7852985339555825,4.4882833439799885,5.305594763939688,6.252905496394324,7.347634704595789,8.60937063678291,10.060047351091608,11.72425989735362,13.629290557403287,15.805283133336191,18.286018149110628,21.109016273568752,24.31582003405635,27.95201049057827,32.067627169398136,36.7182819555003,41.96486461188912,47.873591851139516,54.5160245617392,61.97014462391214,70.32109509596549,79.65971060704143,90.08237476757101,101.69126253828064,114.59637987516454,128.91278068972207,144.758580589229,162.25528154030644,181.52912291299754,202.70671205622224,225.9132834563063,251.27391204465044,278.9078342914328,308.9256242906411,341.430687631346,376.51500350393485,414.2532371752455,454.70359412512033,497.90732106427265,543.8799089761953,592.6116387533592,644.072116468032,698.2026652272649,754.9145318865208,814.0954906008068,875.6089374181536,939.290774646737,1004.9537026731686,1072.3938782346847,1141.3898482198447,1211.704586571702,1283.0919755704494,1355.298079100186,1428.0673071171336,1501.144508464679,1574.278415935908,1647.2207040913033,1719.7345143422476,1791.597524780226,1862.600845511035,1932.5459170557185,2001.252177343246,2068.559598608964,2134.326815677652,2198.4254733835687,2260.7458027620814,2321.197942761035,2379.710842006644,2436.2256906132798,2490.698877290202,2543.1022099473166,2593.4225743004895,2641.6574046467663,2687.8141866479314,2731.9106137902636,2773.9737967021483,2814.039368180883,2852.147873318272,2888.3462189992474,2922.685710768251,2955.2218632576314,2986.01358281639,3015.1214058567866,3042.608341563053,3068.537988375393,3092.9744522474516,3115.982208204551,3137.625037684539,3157.9669173975385,3177.0705983334,3194.9972897618536,3211.8066592325154,3227.556759404607,3242.303962056516,3256.103361821284,3269.007926368172,3281.0684035412046,3292.3333213591673,3302.848988015609,3312.659689433418,3321.8080632760234,3330.3347094122905,3338.2782216500955,3345.67518904439,3352.5601958971956,3358.965821757603,3364.92270831811,3370.4603077070715,3375.606086651924,3380.3859176787046,3384.8242774540736,3388.944246785317,3392.767510620339,3396.314358047671,3399.6036822964656,3402.653329632248,3405.4801988227114,3408.0994737155306,3410.5255268761853,3412.7719490696927,3414.8515492606075,3416.776354613023,3418.5576104905704,3420.205780456417,3421.730546346782,3423.1408091120747,3424.444754444076,3425.6500665248373,3426.763971729455,3427.7932386260736,3428.7441779758806,3429.6226427331135
H,0.26153846153846105,0.29060485427280536,0.3235980256093096,0.36247551358184626,0.40994658741802004,0.46929787903807846,0.5443278737097527,0.6392838858482484,0.7588816091468266,0.9083441574392586,1.0934038484339086,1.3203904048245998,1.5963102711342807,1.9289059701389828,2.326703348739062,2.7991599283474837,3.356774771836155,4.011210377657738,4.775304366554193,5.663287954751541,6.690938270911831,7.875778660471109,9.23713552555354,10.796199598434054,12.576465313247414,14.603876694140144,16.906988924759425,19.51698585643204,22.46781904905658,25.79701525916135,29.545590122065278,33.757989637761085,38.482097005802224,43.769545378360775,49.67692341787957,56.26480273602485,63.59731155314064,71.74213099286858,80.77141935086429,90.76248840015913,101.79492136561772,113.9501705619291,127.311713457229,141.96721298037846,158.00452606997183,175.50879791619238,194.5628808618214,215.24911083820774,237.64398146320053,261.8164203371417,287.82936408619884,315.73452811753026,345.56980848977196,377.36185277124787,411.1229553129022,446.8468434710277,484.5105331733594,524.075062006568,565.4806418293616,608.6480073894039,653.4830521655024,699.8736510158831,747.6901030486598,796.7899881252595,847.0190249639422,898.212075767737,950.1958543306899,1002.7920674257978,1055.8197844376302,1109.0978509465751,1162.4470408708034,1215.6898412034172,1268.6565191987586,1321.1865434975568,1373.1279278733732,1424.3358312361895,1474.6784459010294,1524.0382874923444,1572.3101802901776,1619.3981528880074,1665.2200131503596,1709.7077940621634,1752.806263354853,1794.4691411109873,1834.661732856982,1873.3607355301433,1910.5535615919605,1946.234684398258,1980.4068724553206,2013.0804857864532,2044.2732489935274,2074.0080081956007,2102.312503426446,2129.2187808064737,2154.762680175023,2178.9834282693264,2201.9221317798874,2223.6222161166893,2244.128223356615,2263.48571644098,2281.7409557928263,2298.940312002075,2315.1304355104926,2330.357319789464,2344.666265457872,2358.1018354676967,2370.70759335254,2382.526405673846,2393.5997915614007,2403.967803028949,2413.669024974193,2422.740575779864,2431.2182671271316,2439.1366278519927,2446.528645773253,2453.4257509328877,2459.8578155960486,2465.8531542510614,2471.4387124811656,2476.6402437486836,2481.4820655723775,2485.9872374207202,2490.1775625518553,2494.073588013598,2497.6946046434314,2501.0586907704123,2504.183160231056,2507.084016625283,2509.776298964914,2512.2742213359397,2514.591172898516,2516.7397178869683,2518.731595609785,2520.5777204496258,2522.288376802207,2523.8732347101213,2525.340948208137,2526.699706735473,2527.9572523505803,2529.1208797311456,2530.1974361740877,2531.193321595561,2532.114488530955,2532.9664420507434,2533.754209923562,2534.482397346503,2535.1553381695776,2535.777105799529,2536.351513199828,2536.8821128906834,2537.372196949034
I,1.230769230769228,1.367361902022575,1.5199841866349098,1.6923587060814107,1.8892833501186077,2.1163995960765893,2.380103686743747,2.6874609343617015,3.046231005882946,3.4649206922063973,3.952783365004999,4.519941485910626,5.17749333020994,5.937584202694283,6.813468218225253,7.819719915146476,8.97236496341294,10.289019200964834,11.788902549615536,13.493128123029358,15.42492172887367,17.60979404312882,20.07559789066658,22.852596689113653,25.974069656314587,29.476466504230075,33.39942135725281,37.78576456245558,42.68168556382216,48.13787222537898,54.20921269016499,60.95442233837914,68.4360449313053,76.72085281104195,85.88157740547777,95.99517728995804,107.14201771422897,119.4058659223537,132.8752515163033,147.64433853642413,163.80864670867106,181.4644660413606,200.70919716141987,221.6444842718689,244.3707356467442,268.9833914618157,295.5735504453117,324.23082557928507,355.0364801783754,388.06154643633306,423.3689594645571,461.0075481946276,501.00904662558344,543.3914921159753,588.1557339309779,635.2807442528842,684.725945802728,736.4321808493057,790.3164325726062,846.2734371130379,904.1810140657465,963.8966412565969,1025.2580707450209,1088.0887825394102,1152.1990500032057,1217.3872350947343,1283.4428312484267,1350.1499555442251,1417.2902252129138,1484.6455472901748,1552.0005139716038,1619.1421188090776,1685.8668800650485,1751.9824899405644,1817.3070004274919,1881.667148205835,1944.9053175312993,2006.8810567293951,2067.468697604987,2126.553660338379,2184.0378995779106,2239.8404548462527,2293.8956780452204,2346.148706761613,2396.5586298212997,2445.0982886141505,2491.7534659795747,2536.518478417227,2579.3976723034466,2620.404615416156,2659.561825098876,2696.898039845568,2732.447934209931,2766.2514462774607,2798.3531629541517,2828.8018208215917,2857.648443338103,2884.9468950366418,2910.752434015183,2935.1215952753555,2958.111788015503,2979.780549941691,3000.1857773921456,3019.3845822479484,3037.4332476902377,3054.387171106034,3070.3005171635805,3085.226601504003,3099.217093977604,3112.3218690549415,3124.589005826834,3136.064785427066,3146.7938678227565,3156.8193390892297,3166.1823854110276,3174.922270195032,3183.0763340704607,3190.6799948888697,3197.7669729360155,3204.369507427312,3210.518065166645,3216.2415494873067,3221.567302431549,3226.521104750587,3231.1271759046012,3235.4082275330443,3239.3860129408627,3243.080661414566,3246.511099500465,3249.695221644468,3252.6498901920713,3255.3909353883646,3257.9331553780307,3260.290316205345,3262.475394295782,3264.500598868486,3266.3768712513383,3268.114567833858,3269.7234814311355,3271.2128412838347,3272.591313058193,3273.8669988460183,3275.047437164694,3276.1396028718827,3277.1498746427233,3278.0841009812816,3278.947785213046,3279.746101404453,3280.4838943628893,3281.1656796366915,3281.7956435151445
J,0.21538461538461498,0.23932107909876663,0.26648529065121496,0.298484530714942,0.33756587963180684,0.3864972394843599,0.44853537322186304,0.5274003675091592,0.6273103525088349,0.7530403004182002,0.9099495968452321,1.104072013877068,1.3422213182270635,1.632079532616569,1.9822526949550565,2.402439439739965,2.9035962113472125,3.4981041325058886,4.199785181373905,5.024191520805822,5.9888016339341394,7.113367538384286,8.420004775164191,9.933293942368605,11.680875161946378,13.69370210694906,16.00650616375075,18.65783454936641,21.69030326346623,25.151691933023713,29.095123129727437,33.57951787640873,38.66962090374053,44.43662394628405,50.959739188400924,58.32592784681436,66.63007356464671,75.97501392702185,86.47314992003898,98.24753651519754,111.43019856475209,126.16200650271324,142.59310178559272,160.88588020204992,181.2115051949323,203.74749379460235,228.67818797024563,256.1968698662357,286.5000869540264,319.78543593107173,356.25332328072403,396.0993411604255,439.5104485729493,486.666929700208,537.7363585491523,592.8651344032577,652.1793620837218,715.7837067056024,783.7478329594893,856.1066962601581,932.8664010900507,1013.9913963887466,1099.400624400504,1188.976837999257,1282.5638290933243,1379.9588538375804,1480.9188204457512,1585.1711899110069,1692.408746552229,1802.2910933678918,1914.456196927251,2028.5236598327383,2144.1003907639843,2260.7833628969374,2378.168435810264,2495.8501131961134,2613.432940539292,2730.5367662832446,2846.797201874335,2961.862718401753,3075.406139321868,3187.130185832282,3296.765240473266,3404.0611516648623,3508.7968947717586,3610.7843649339884,3709.866688745523,3805.907288069272,3898.7953791625987,3988.447932758619,4074.8091800831216,4157.84241638731,4237.52895517266,4313.86980769719,4386.88451784417,4456.609445212364,4523.090494636452,4586.386390688057,4646.565659715153,4703.706289777414,4757.894036727167,4809.218474853508,4857.7751898068655,4903.662397324669,4946.980783475968,4987.833194429401,5026.322024063723,5062.551193377538,5096.623530451191,5128.640112917697,5158.700267962749,5186.901354200765,5213.338164142619,5238.104103017407,5261.289359812693,5282.980676112468,5303.2613460971515,5322.211216543588,5339.906857528205,5356.422228805686,5371.828144088421,5386.19203753406,5399.577963811188,5412.046598099339,5423.655236088971,5434.45789903468,5444.506563515884,5453.849956610557,5462.534060800778,5470.602412695596,5478.096103031041,5485.0537766701145,5491.511632602791,5497.503423946026,5503.061074473056,5508.2148996453125,5512.992220841768,5517.418910027864,5521.519441017569,5525.3168894733935,5528.8329329063645,5532.087850676036,5535.100523990507,5537.888436136469,5540.467698743126,5542.853156961015,5545.058744055626,5547.097569524849,5548.981919098984,5550.723254740733,5552.332214645208
