Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,0.2338383585880278,0.26030337352684535,0.29093366283419264,0.3265793094721002,0.36793366686272566,0.4156343421755116,0.47026999278803305,0.5324622251238317,0.6029015520381765,0.6822974922756789,0.7714863381140553,0.8714381898566202,0.9832118465475392,1.107937041810791,1.2469880538633475,1.4019066560276572,1.574403674503612,1.766207270425757,1.9793983616583084,2.216316380548738,2.479551708081085,2.771772661527074,3.095740654466073,3.454948591455408,3.853099831590675,4.294045261336726,4.781657889979128,5.320034646068438,5.914632321166336,6.570673625745833,7.293172573621827,8.087151727348065,8.958164205824083,9.913777458113767,10.959840809382086,12.101467198468196,13.343768039003468,14.693454617311874,16.15830091325942,17.74142469840744,19.445315267713863,21.2727853891534,23.230201698989653,25.317580750161504,27.530458195807938,29.86505446234462,32.320558366627665,34.88784372305169,37.555199875776125,40.31339576986049,43.14523921036629,46.02958351754159,48.94929775066434,51.88254401094209,54.80111830174888,57.679697600047945,60.494119902795276,63.212985950337355,65.80699055126246,68.25389789843359,70.52682305048974,72.59966721607782,74.4536593410255,76.07142845229893,77.43737468158595,78.53996013436999,79.37224454473692,79.93114397544164,80.21731252478943,80.23443849653447,79.9857710061855,79.48391164578936,78.74361048629531,77.77832058684358,76.59930495411646,75.22672746331074,73.68261817607556,71.98582571917537,70.15041140482651,68.19726614726038,66.14780663727647,64.0211740068126,61.83081968212634,59.59402388791949,57.32763309620577,55.047483081293194,52.76400999265052,50.48941094814265,48.23469696299158,46.01053686395437,43.82433732950754,41.68318558665336,39.59316828231573,37.55959960656541,35.5872110423508,33.67861453610362,31.836995702705067,30.0637346702066,28.360071697901088,26.726798335080005,25.163931152689592,23.671667205906218,22.24883655763855,20.894218230986414,19.606532638968687,18.384196200039426,17.226027500119393,16.129905393537623,15.093544084216319,14.11465777607941,13.190972105750257,12.320504878489494,11.501255930414954,10.730886117854244,10.007039690864346,9.327360899501457,8.689493993822419,8.091384577565123,7.53123907952399,7.006885327332926,6.516450327633825,6.058064086409084,5.62985660964064,5.229957903311059,4.85656428654714,4.508547132485698,4.183945248381147,3.881330887597114,3.599489298977941,3.337205731368697,3.093265433613437,2.866453654557253,2.6555556430442677,2.45964465195279,2.2778126280093827,2.1085609126641103,1.9512105337959587,1.8051080332067841,1.6695999526993144,1.544032834076046,1.4277532191391322,1.320107649691593,1.2204425366980312,1.1280585541149386,1.0423373073337083,0.9628846175189922,0.8893216359769829,0.8212695140156037,0.7583494029406976,0.7001824540601364,0.0
B,0.01712845580006144,0.019832536295132652,0.02457721461815208,0.03221835261273602,0.043429869596039374,0.058826635394880096,0.07897055619993805,0.10445959697779254,0.13595610789011187,0.17414365382099922,0.2198197836493389,0.2739026019840229,0.33740703257337973,0.4114143336242032,0.4972101175556308,0.596258852745316,0.7102114680656891,0.8407367346712944,0.9898302651908703,1.1597135695457197,1.3529530778119845,1.57220826083372,1.8202397482140653,2.1004715238438942,2.4165733289833513,2.772572245697408,3.1725284698540657,3.6207347850564173,4.122696564024714,4.683901747044525,5.309949574642456,6.006455483549829,6.779553268249007,7.637159142481201,8.586035844285632,9.632515381590135,10.782929491312132,12.04501870024147,13.427580200744705,14.935517897938716,16.57320463102481,18.345216813970783,20.259290257418005,22.31739651499476,24.51722168239725,26.85703782297161,29.337498710790396,31.951242801895752,34.68809391926407,37.540160953829506,40.49108138378075,43.520289588754295,46.6109073000474,49.74083484113931,52.880866400704,56.00449178505056,59.086098142830316,62.09155800709555,64.98875233462019,67.7529584190827,70.35363981946139,72.76061946833148,74.95182003293311,76.90629019545881,78.60414514354936,80.03010656735341,81.17443678631234,82.03079648141576,82.59672387201793,82.87376357640407,82.86328555053514,82.5764768669394,82.02690237072211,81.2275020456881,80.18904064753218,78.93201436634071,77.47917299173685,75.85010937676813,74.05946441389655,72.12949088503628,70.0833253749921,67.94168322887901,65.719097697577,63.43454263641987,61.106773018012966,58.75343239088889,56.386135164807136,54.01858606417884,51.663393652537266,49.33279455651054,47.03531399582015,44.77911148527712,42.57141126246495,40.41859520665701,38.32637203764861,36.2979584175365,34.33730549586986,32.44637944344775,30.62698798314708,28.88040467734285,27.206937863724452,25.60717160343593,24.08013555831771,22.624799985065128,21.24006121035038,19.92438931857072,18.676751626781925,17.495026784950074,16.37689466258201,15.320035129187323,14.322128994730098,13.381126591929622,12.495012881359719,11.661331339647424,10.877596862294839,10.141324344804989,9.450028682679156,8.80153446522603,8.193964518461827,7.625028295480569,7.092716864082533,6.595024272584279,6.129944569302927,5.695471802554808,5.289671016901653,4.911340389918789,4.558392635542175,4.2292878840466415,3.9227116813145617,3.6373495732287937,3.371887105672167,3.1250098245271944,2.8954032756770793,2.682068267260491,2.4840368142878,2.299686583664699,2.128279695466822,1.969105995359335,1.8214553290081583,1.6846175420787604,1.5578824802371347,1.44053998914825,1.3318797970897083,1.2311479042384792,1.1376749484548563,1.0510295200050463,0.9707996283658769,0.8965732830132611,0.8279384934229495,0.7644832690718718,0.0
C,0.561451514213136,0.6236982678759304,0.6930413610186492,0.7702811098284689,0.8562140231700396,0.9516637117529876,1.0574950100434266,1.1746356174645023,1.3041206270280365,1.44705209440245,1.604658678427393,1.7783404872870339,1.9696110388498078,2.1800559411605134,2.411547803444744,2.6661536733417077,2.9460920561231805,3.253598294561883,3.5913182588796584,3.9622381488129195,4.369475474744899,4.816206497406824,5.305695941069443,5.84211427777278,6.429797199877096,7.072899402548805,7.775581894665934,8.542221170167117,9.378884967400705,10.290997892152706,11.283164371770622,12.359983200753131,13.526576253827374,14.79058740533966,16.156684823777155,17.62806904919467,19.20792516634591,20.901312607829578,22.71440933210864,24.646599506240022,26.696316725311284,28.86247753266443,31.14843239037996,33.549353670378935,36.05492878552938,38.655780971906985,41.34688452443214,44.113522143377764,46.93867112855275,49.80841649328612,52.70149723397917,55.592998442568046,58.463184303990786,61.288568566042386,64.04074064149745,66.69486855409835,69.22802864509934,71.6128402030662,73.82435560483111,75.84429873102962,77.65232787531798,79.22995139926972,80.56448811383736,81.64538645330086,82.46552387096179,83.02073096232209,83.30953986526931,83.33547668067828,83.10557141398758,82.62794743116609,81.90981324640009,80.96698343289208,79.81699086495203,78.47480771343093,76.9531647105924,75.27230307895074,73.4536426038229,71.51538007616959,69.47115526297371,67.34015869387976,65.14153361900215,62.892382855055004,60.604856272086316,58.29397570130503,55.97403022305792,53.65844835391698,51.35615721408796,49.077350131438514,46.83094662889832,44.62556888757551,42.467176445188755,40.36144277155572,38.31300154266651,36.32581905088652,34.40339096483313,32.54752885433743,30.760434104240403,29.042766728982148,27.39507132220457,25.81753764571012,24.309762993866315,22.871449095658566,21.501176530621606,20.197484793799376,18.9588693836833,17.783616111537206,16.670320928826577,15.61683643310997,14.620888001746248,13.680201012096441,12.792518164421764,11.955855508575562,11.168186949582317,10.42726657776367,9.730842453830181,9.076662638493668,8.46247519246537,7.886304015354407,7.3463782724601465,6.840620074683848,6.367259389126777,5.92452905634005,5.510661916874775,5.123890811281572,4.76250880588124,4.4254064384699126,4.1107130019009785,3.8170818677230467,3.543364057698509,3.2884105935882,3.0510724971547694,2.8302007901594632,2.62464649436446,2.433521484071433,2.255938568396621,2.090488751826782,1.9365253129531348,1.7934249503331092,1.660564362522694,1.5373202480786872,1.4230693055573842,1.3171882335151954,1.219053573182252,1.1279909433772664,1.0434075063961137,0.9649282117318954,0.8921883493128833,0.8248232090656922,0.7624680809176545,0.704758254795633,0.0
D,2.552766640680877,2.8330502160637017,3.1396016316133584,3.4738295154314005,3.8382234775536945,4.236000392664601,4.671208308857659,5.148337863710951,5.672489081005201,6.249386244246211,6.885046179152068,7.586258984246038,8.360485070218163,9.215414612229884,10.159667928668686,11.202902907957407,12.355431321387538,13.627631977725253,15.031536242541748,16.58064323790533,18.289262894692396,20.171979655352853,22.243794405609865,24.52357582788069,27.03104955529633,29.7857032565836,32.807082287964555,36.11574227559205,39.73946724938789,43.70381281046686,48.03163660547961,52.74579547392,57.871558341913335,63.44495046572579,69.49046028165989,76.02705482582446,83.07365274116712,90.65732882493128,98.81022046519828,107.5367710627484,116.8375847774044,126.71521829768008,137.19112949989653,148.2521170386202,159.86138875402557,171.98602001515127,184.6106044768446,197.67725773606892,211.11684431055988,224.87326313575213,238.85501216287994,252.95302651060015,267.0796313887176,281.1275775022292,294.9637160498201,308.4697228007933,321.5341902062861,334.01891429322995,345.79597418547166,356.7687164125557,366.8250178820865,375.85865557168256,383.7934295770002,390.5612677929507,396.10576291022227,400.386723613593,403.381166538466,405.0864763318972,405.5167016259399,404.69616181058393,402.64650358777965,399.43140639784883,395.12367367762903,389.78822781509473,383.4799162967955,376.2928450753405,368.3287415937395,359.6748296941713,350.3966694873912,340.5898761860017,330.3520293616862,319.7705956133265,308.9076132146771,297.8419456879251,286.6505246264652,275.40577209683073,264.1558396593256,252.9566621369624,241.85905733444997,230.91231744717672,220.1508415628084,209.607399546552,199.3105419556001,189.28537451827995,179.5542836337681,170.12956826948667,161.0263413828069,152.25161727397594,143.81176855272489,135.71097889523674,127.94941441049046,120.52838026864302,113.44287211881316,106.68764348978446,100.2571382443867,94.14393788755447,88.34269997244354,82.84370744436565,77.636427332487,72.71032666597175,68.05486501171126,63.66050074088985,59.517931831706925,55.61611845260679,51.94390164089523,48.49012243388286,45.24362186887681,42.19451156732106,39.33408511885345,36.65204791831247,34.13932802933911,31.78686597373031,29.58560227327953,27.526477449780437,25.600735461588204,23.8027178624118,22.12298629369414,20.554550356420858,19.091393904761375,17.727500792883816,16.456854874957152,15.273440005150276,14.171240037631737,13.145626225559024,12.192082012523791,11.303244197877133,10.475679832976175,9.706078549525456,8.991129979227455,8.327523753791557,7.711949504919726,7.141096864318001,6.611654985369851,6.120128661244813,5.663406343455749,5.23944824648252,4.846308931509926,4.482042959721802,4.14470489230109,3.832349290432893,0.0
E,0.3498103747327327,0.38821276342883576,0.43021523222289265,0.47604381149400865,0.5261060856781096,0.5809376023553662,0.6412206372865589,0.7077187378488293,0.7813054417188161,0.8629688552807367,0.9537484331055098,1.0548241963407021,1.1675067727425328,1.2931510449140047,1.433271074879985,1.589588809110319,1.7639722038100425,1.9583035166437757,2.174775729261249,2.4158388228764336,2.6841979612466575,2.982629666218054,3.3140042558422578,3.6818990658907,4.090102962407111,4.5425950918639915,5.043378858262924,5.596681762363417,6.208037924753786,6.8827961797490005,7.626178171299192,8.443415961817129,9.340256308658264,10.324365467313118,11.401846069235727,12.57814226170833,13.85869587514533,15.250454715888871,16.761402034777166,18.395089507718666,20.154465221529104,22.042752431184805,24.06654650985252,26.22629914242358,28.518060268513217,30.938525129491907,33.4871235939486,36.15512574139829,38.93116625946642,41.80624801369859,44.76333083529172,47.781385766569144,50.84321420900721,53.926779676180246,57.00351189631653,60.04758941170618,63.03421089692389,65.93098076189034,68.70751125692911,71.34044772526859,73.80141521663889,76.06262635833023,78.10377394751616,79.90582608268349,81.4511854495241,82.72647179517381,83.72324746443195,84.43669936782042,84.86574879655768,85.0127829610661,84.87991964716402,84.47876852727148,83.82317502537643,82.92610763937424,81.79839994089501,80.46019439168938,78.93371049685777,77.23808073940114,75.38763477432009,73.40396987688256,71.30947240948468,69.12420642407018,66.86230032965551,64.54210981431001,62.1817696180792,59.79834982099062,57.4031296615959,55.00938015948672,52.62933568992873,50.27487449662128,47.95428992138555,45.675503331719504,43.4455651028076,41.27071988948272,39.15655611467532,37.106212084400084,35.12355438904101,33.210547616209986,31.36900301999762,29.600200862620657,27.904436781664824,26.282306456540528,24.732897606166524,23.255239612513034,21.848285816310387,20.510524975518543,19.24095230022448,18.037503557226003,16.897915573376338,15.819925175529939,14.801263405595396,13.839883361166903,12.933807988289807,12.080613964427421,11.277845591172955,10.523047170119657,9.81376300286139,9.147824673909664,8.523350106959736,7.938075088551775,7.389992237579235,6.877096916103828,6.397384486186076,5.948850309887565,5.529558502560142,5.138283626914014,4.7729461063033245,4.431998722148248,4.114112654757502,3.8179590844394506,3.5422091915024474,3.2855341562550384,3.046605159005017,2.8244069342027687,2.6179570976043034,2.4256229308315156,2.2466501680815725,2.08031209533827,1.925881998584614,1.782633163804564,1.6498388769811207,1.52677242409833,1.4127069910125871,1.3068761889735387,1.2085973785858954,1.1174241904000608,1.0329318840777773,0.9546957192808132,0.8822909556708127,0.8152928529096226,0.0
F,0.23896794537656119,0.26613393599750235,0.2978645195536824,0.3352569193050712,0.37930413689670456,0.43099978978692716,0.4913533816041851,0.5614523861568248,0.6425043688547785,0.7357939272359346,0.8427481731948921,0.9649829089561315,1.1042736928646035,1.262482908586001,1.4417569479705397,1.6445130144925717,1.8734141718497088,2.1311470003896957,2.4208651138892545,2.7460748907539108,3.110690146877759,3.5187396930656125,3.974385436403559,4.48277879375801,5.049379143798058,5.67994094219486,6.380254151706902,7.15641161879356,8.016321988529981,8.967630032242552,10.0177527716033,11.174119920278155,12.444834360777866,13.840691725086376,15.370143811737071,17.04058287556117,18.85938903154051,20.835956278534596,22.98112554445326,25.299061862120134,27.792988993880986,30.46646726050733,33.32780716341061,36.37629501253315,39.60468768940124,43.0066812205551,46.57996193072358,50.31040699368128,54.18019143672912,58.17495514143909,62.26916587780913,66.43175211846217,70.63739739829497,74.85432782518716,79.04209816452328,83.16442079018883,87.18677442913197,91.06510045412162,94.7583532591075,98.23531300563117,101.45886915369445,104.39327871004836,107.0127344404959,109.29361225600442,111.21520721636163,112.76226522914509,113.9255880180609,114.7017279844729,115.0924469989193,115.10337243740275,114.73948568061746,114.01880246316,112.96227133991977,111.58884534613216,109.91445310585979,107.96732228242014,105.77819537535156,103.3734102736197,100.77268939368032,98.00517454186931,95.10071849067756,92.08604761373229,88.98003932068326,85.80685631585949,82.59009535887422,79.35195912608417,76.10716623264682,72.87287277983258,69.66464931625539,66.49759513530677,63.38224715129826,60.328668808535724,57.34559722261341,54.440705253984966,51.620840523615875,48.889814347098394,46.25227639984459,43.710378278393044,41.26607547040121,38.92067103650378,36.67429983469177,34.52740279983853,32.47849507211017,30.526018765864915,28.66832631032863,26.903259490289503,25.229264600351975,23.643452524274956,22.142691652413234,20.72385037512186,19.383801465089842,18.119763076340174,16.928987244537982,15.808208336063704,14.754128709441625,13.763450723196797,12.832876735853235,11.959506517846872,11.140804000238143,10.373727694512656,9.655617680879027,8.983817939028077,8.355672448651264,7.768525189439728,7.2198117228134295,6.707903978928167,6.23002990267377,5.784148634340094,5.36851269826117,4.981374618774995,4.6209869202160245,4.285602126921283,3.973472763225734,3.6832609510006122,3.4136612522452365,3.1625260250151848,2.928867504069463,2.7117341118206184,2.510174270679798,2.3232364030601103,2.149968931372444,1.9894202780297714,1.84063870602854,1.702613803927082,1.574448631917824,1.4555624019137305,1.3453995422224543,1.2434044811519078,1.1490216470099428,1.061695468104414,0.0
G,0.020511148101322468,0.02320244414916371,0.02709931737131755,0.03266469572561904,0.04026963898245522,0.05025788561698335,0.06295022062376873,0.07869066195128525,0.09786430818531808,0.12087350498854627,0.14818719940276595,0.18035026838980406,0.21796955987694697,0.26169275614413706,0.31229135869452807,0.3706534622969014,0.4377871338684956,0.5147120519120535,0.6026555330587862,0.7029848100244059,0.8173114199596997,0.9473107324546349,1.0947292082014661,1.2617359321871204,1.4506767143086996,1.664212546262013,1.9050306600496667,2.175992575932905,2.480735015774436,2.8229981244581213,3.2068037604875976,3.6361904565219247,4.115616678819862,4.650654786102171,5.246582656388817,5.908727239250396,6.6424327105996825,7.454120062172944,8.350950472053363,9.338615511075934,10.422664160529576,11.608887770709625,12.905117336883908,14.316400814557499,15.845799899506972,17.49670095107741,19.273841372691127,21.17758914322468,23.206571400084094,25.360628588344113,27.63392224678229,30.01778999920836,32.50506334070498,35.08431587258877,37.73823367131065,40.45035694987487,43.20372693915232,45.972587911922616,48.731729777163906,51.46047771467285,54.130548759232916,56.71186665925578,59.180958714285936,61.51344681734696,63.681837228583404,65.66292802643146,67.44017556151617,68.99596998516003,70.31473835185744,71.3873889987473,72.20610352973668,72.76922801694779,73.07720134754513,73.13390747122902,72.94228815539532,72.51381025094405,71.8630104379783,71.00332073080916,69.94507154468353,68.70626028752748,67.30742126571778,65.76721706868788,64.09865770591713,62.32032937851233,60.452139998953236,58.5128992456097,56.51484860663577,54.47318667692201,52.40333265711472,50.32036435317321,48.2348303462767,46.15678200116477,44.096427142332416,42.063182911884525,40.06557147873515,38.108505137388725,36.19834568097589,34.33949176900302,32.53615248937998,30.79171955875968,29.107823040395754,27.486935706265374,25.929646812341314,24.43646387205831,23.007755957099928,21.642829479988,20.34187971299944,19.103680935861224,17.92669142845426,16.809369470661263,15.750100172091644,14.74720265190871,13.79939976476817,12.904564546888357,12.060477173031797,11.26491781796258,10.515666656442503,9.810701417809145,9.14837384260492,8.526646136266669,7.943512237805848,7.396967394294612,6.885006852804464,6.405625860408153,5.956886560506538,5.537599388962298,5.145778944852372,4.779831026780393,4.438359775369515,4.119969331242768,3.823263835022322,3.5468474273322137,3.2893242487945606,3.049647335781639,2.8268691904635843,2.6192748928194316,2.4260531606548112,2.246422193507344,2.0796001909146837,1.9248053524155984,1.7812558775470464,1.6481699658474205,1.5247658903638022,1.410262765293599,1.3039453320013263,1.2053120807608535,1.113905204617981,1.0292668966183511,0.9509393498078708,0.8784647572323615,0.0
H,0.029066392734344394,0.03299317133650424,0.03887748797253668,0.04747107383617378,0.05935129162005847,0.07502999467167418,0.09495601213849565,0.11959772329857826,0.1494625482924319,0.18505969099465022,0.22698655639069112,0.2759198663096811,0.332595699004702,0.397797378600079,0.4724565796084218,0.557614843488672,0.6544356058215829,0.7640939888964543,0.887983588197349,1.0276503161602892,1.184840389559278,1.3613568650824337,1.559064072880513,1.7802657148133612,2.027411380892729,2.3031122306192797,2.6099969316726166,2.950833192624538,3.329196210104768,3.748574862903936,4.212399515695802,4.724107368041137,5.287448372558545,5.907378039518807,6.587879318145273,7.332508817115783,8.144819439727945,9.029288357995718,9.991069049294854,11.03243296545859,12.155249196311333,13.361542895299909,14.655499523149485,16.03731308959333,17.5042718462206,19.05408294562898,20.686229976386368,22.394870624992755,24.172438873941193,26.012943749057193,27.90516403133136,29.835280372241666,31.792044281475988,33.7611025416543,35.72388815812538,37.66368970233181,39.5645288332086,41.4055798227936,43.16736556004233,44.83504477609848,46.39059885038083,47.81645203277645,49.09988507659976,50.22903683868272,51.193050803794804,51.983778562953006,52.596213095107906,53.027717011832365,53.27806650894486,53.34918992422822,53.24280033261392,52.96667799534124,52.53002429879875,51.94138437581611,51.207903362816026,50.34261466483997,49.359841591314826,48.271892797833196,47.087972597829925,45.82186026235242,44.48778091180358,43.09846929268924,41.66287775613436,40.192591745995365,38.69900267316115,37.19282606181715,35.68112280629736,34.17218805706309,32.673613331131605,31.192763207074723,29.734759202072837,28.30449523084561,26.906277380028058,25.54389936854887,24.22074809430408,22.938703510561297,21.700084336801243,20.506007239925562,19.357493084365604,18.255239351845926,17.199356209249338,16.190123508416626,15.226884278972008,14.308945668408384,13.435570009823872,12.605757884843088,11.818812321306488,11.073385887554968,10.36801146754751,9.701221945244182,9.071550805670597,8.477691347268093,7.918360724861751,7.392017921259519,6.897105159634989,6.432064663161664,5.995338655012565,5.585558230103619,5.201531267518475,4.84182182369333,4.505171848342365,4.190325131135461,3.8960254617425654,3.6210166298337207,3.364086126981034,3.1244694606432817,2.900856394226499,2.6922823396315985,2.497922371025822,2.3169515625766337,2.1485449884512584,1.9918777228171063,1.8461248398414587,1.7106563525811118,1.5848579079138072,1.4677134980159867,1.3587585273357354,1.2575456151072713,1.1636273805646997,1.076556442942374,0.9958854214739687,0.921166935393903,0.8519535197887049,0.7877678728180114,0.7281874229419308,0.672940823074979,0.6217676299500215,0.5744074002991977,0.5305996908552112,0.4900840583506096,0.0
I,0.13659267125334695,0.15262228461233462,0.17237451944650128,0.19692464403719698,0.22711624595798166,0.2637040906671575,0.30735724761795397,0.35877007152124535,0.41868968632345044,0.4878626727986024,0.5671581209056259,0.6575518442993158,0.7600908724843429,0.8758840155309686,1.0062516969212232,1.1526450482664639,1.3166542375518944,1.4998833486507028,1.7042255734138214,1.9317936058443124,2.184872314255146,2.4658038475377624,2.7769987984470754,3.121472967200937,3.5023968479154837,3.9229548530227376,4.386343205202764,4.895921001366581,5.45618666155682,6.0713404647860205,6.745209648214149,7.481622592926151,8.284807879736654,9.16072459443583,10.113599884480244,11.146840424270955,12.26384820812472,13.469385593949616,14.769087020120834,16.16430817224689,17.655819332689532,19.24473112005929,20.935287110449018,22.72625137487535,24.612655815071484,26.590158983495964,28.657275133973403,30.805654599090317,33.025066257957675,35.30741302822406,37.63858873007048,40.001498430955856,42.38244549039189,44.76424181500248,47.12501032190633,49.4452015498438,51.7062350465777,53.88425172330055,55.95700454043169,57.907576952708524,59.715627190850505,61.36142948842385,62.8307117943892,64.11026746379571,65.18818509152848,66.05559615369242,66.70712429579856,67.14026966868863,67.35532207726095,67.35496668142936,67.14160483747337,66.724761255971,66.1156098755158,65.32451048692771,64.36014777834305,63.23816932546387,61.975739198096264,60.587640875592186,59.084962733391734,57.48423923953131,55.802555268341976,54.055223198968065,52.25302871639284,50.40992305968673,48.539658792850474,46.655177365424095,44.76501243765227,42.87919388622032,41.006943112708925,39.15720968271995,37.336214746691255,35.5498943643639,33.803512067529454,32.1017166766908,30.448657867440076,28.846622516511257,27.298451698538884,25.805538978541513,24.369161260172607,22.99019274014733,21.668761926187813,20.405227450454838,19.198804855802823,18.048665442289206,16.953923415796428,15.913346057546335,14.926084340422461,13.990492473600524,13.104775077337932,12.267136771893123,11.475779600231403,10.729082395690757,10.025471266472842,9.36304632179834,8.739884784004017,8.154063875428623,7.603660818409227,7.086978047145665,6.602534491295939,6.148557739333855,5.723484320661496,5.32575294424184,4.953802319038421,4.60607115401481,4.281051628442416,3.977785407818356,3.694648473702946,3.430438085900102,3.18412214400266,2.9546685476028145,2.7410451962931814,2.5422199896661795,2.3571608273139706,2.185078090437252,2.0252045727041907,1.8762723828526071,1.7376965825196007,1.6089135972776554,1.489359852699428,1.3784717743579695,1.275685787825591,1.1804383186755774,1.0921657071880682,1.0102717708405773,0.9342263385585587,0.8636842317643345,0.798316191407024,0.737792958436541,0.6817852738020085,0.6299638784528779,0.0
J,0.023936463714151698,0.027164211552448376,0.03199924006372702,0.03908134891686489,0.048931359852553,0.062038133737503186,0.07886499428729613,0.0999099849996758,0.12572994790936537,0.1569092964270317,0.19412241703183591,0.2381493043499959,0.2898582143895052,0.3501731623384875,0.42018674478490825,0.5011567716072473,0.5945079211586763,0.701681048868016,0.8244063394319165,0.9646101131283181,1.1245659044501477,1.3066372367799028,1.5132891672044178,1.747581219577773,2.01282694500268,2.312804056801691,2.6513283856156615,3.032468714099822,3.46138866955748,3.9434311967037265,4.484394746681292,5.090103027331793,5.7670030425435455,6.5231152421168614,7.36618865841343,8.304145717832341,9.344940362375155,10.498135993017128,11.774386595158566,13.182662049554553,14.731807937961127,16.43109528287949,18.2927784164572,20.32562499288236,22.535988599670077,24.930694175643257,27.51868189599008,30.30321708779068,33.285348977045395,36.46788734965227,39.84601787970148,43.411107412523755,47.15648112725874,51.06942884894428,55.128775854105406,59.31422768046408,63.604344621880706,67.9641262538868,72.35886330066883,76.75970482989253,81.1249952986958,85.40922801175745,89.57621359875313,93.5869910940676,97.3950247442557,100.95996660817059,104.25236946525597,107.23755664122213,109.88234681566253,112.16510355935979,114.0674629054871,115.57673093124545,116.682972132954,117.38507291332608,117.68167738584935,117.58282734317852,117.10382574395233,116.2604355910908,115.06551652741787,113.5434209201159,111.72404651041329,109.6350546409835,107.29591119159676,104.7357431068972,101.98747016222961,99.08232381153505,96.04059932374777,92.88809109332664,89.65255359602052,86.36124732450324,83.03323630418703,79.68653878535093,76.34085252452998,73.01471014698026,69.72492736819508,66.48104942408578,63.295896051606036,60.17926902709614,57.14063006225934,54.187746949753624,51.32443812634192,48.556714953357385,45.88720751780232,43.31838615130053,40.85241095343345,38.488829634319686,36.229169313816485,34.07233707365354,32.01658246650589,30.06015504505141,28.201086238015666,26.436809941854126,24.765938874788198,23.18525679528643,21.691316299775018,20.280669984683,18.949870446436737,17.695640984617135,16.515371277481325,15.405915282733917,14.363893445637792,13.385926277130146,12.468634288149417,11.608637989632626,10.802662945709422,10.048664481203893,9.343393094673498,8.684104190220312,8.068351894818596,7.493690335444644,6.9576736390725555,6.457855932677489,5.991791343235041,5.557650527030027,5.153825172257252,4.777321196454015,4.426689186094859,4.10053098970826,3.797448455823755,3.5160434329695027,3.254917769674706,3.0126733144681572,2.7879121459613243,2.5792626066571196,2.385458217890153,2.205587094610378,2.038825469223281,1.8843495741345284,1.7413356417499701,1.6089599044751024,0.0
