Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,144.87953562796793,161.2068384452324,179.65997880993075,200.38110544500023,223.56968213220705,249.46380644088015,278.34885420640205,310.5369912352511,346.3815552017111,386.27918402173987,430.64695519168833,479.9545148268596,534.7341561658636,595.5398234839467,662.9507702013123,737.6213801029196,820.3048529753389,911.7605183913561,1012.7845599725823,1124.1415783927137,1246.8057721034938,1381.7973989368288,1530.1466686033227,1692.7209331531692,1870.3699290022294,2064.2672839129864,2275.6039995538804,2505.4734474542443,2754.173621789556,3022.2161924353168,3310.4653046903713,3619.787601642338,3950.4170558667747,4300.695798499424,4669.929122669959,5057.647361229698,5463.314724689654,5883.668770304753,6313.942348456723,6751.276881059442,7192.827354346484,7634.44567687194,8066.856078341314,8484.131158713906,8881.541230232779,9253.54965301194,9589.908494810432,9884.788992338585,10132.90548220171,10327.00743035047,10463.414506441244,10540.231133972193,10553.926338223602,10503.790106213364,10392.40164013677,10221.882214326206,9995.182418098408,9718.979182444198,9399.74186712203,9042.761731882529,8655.830193253016,8247.032174310794,7822.665566113202,7389.155860077485,6953.157031868159,6520.302080331705,6094.690574256956,5680.2369210536035,5280.276159170862,4897.092209123977,4532.56626268287,4187.524479271884,3862.472791322358,3557.668815906855,3273.3721746726264,3008.858890216962,2763.114258932502,2535.3747318325695,2325.311079672226,2131.7577251237153,1953.384188747823,1789.0786202160361,1638.3776854277905,1500.2311227427083,1373.4705913566518,1257.023494619265,1150.4469484256647,1052.9952241450721,963.790063964706,881.9752920591276,807.0601022282889,738.6354684744925,676.0832429411018,618.80924306151,566.2794557934037,518.2795324292135,474.42582364995303,434.3259607782204,397.5956892470002,363.9081572957157,333.13248166295386,305.00301162192704,279.2787986139498,255.72256851161842,234.1076577854301,214.33903554694953,196.2668176482115,179.7380860120975,164.6137811483462,150.75484356671015,138.03464513421912,126.40859304064963,115.7703225073032,106.03546816520247,97.12746085747884,88.96973142726627,81.48571071769312,74.6262227112723,68.35923997473107,62.61600275726181,57.35732364997031,52.54430084646786,48.138032540359006,44.09961692525479,40.3927121302719,37.00884140781886,33.907149688071954,31.061902648765994,28.455041480217147,26.068507372742417,23.88424151665616,21.884185102269015,20.05027931990638,18.37089352998339,16.838251070707955,15.429483010895481,14.136243955268583,12.950696722607915,11.865004131686334,10.871329001281993,9.961834150169224,9.128682397126568,8.364057531514845,7.664752123792766,7.02516962583492,6.438467964106522,5.900763623095855,5.4081730872987634,4.956812841202705,4.542799369300752,0.0
B,46.09232466799051,53.40007832288734,63.120896671596824,75.08156634526256,89.27867140846979,105.80256332675242,124.84948944559096,146.65513084707277,171.51191637406384,199.782018820473,231.83643885342724,268.1123412692067,309.11877069495074,355.3839694317604,407.4716046810844,466.0362591415011,531.8217265128341,605.5780652873475,688.1257114131485,780.2965093302913,883.106705942449,997.6155753234806,1124.9030833774295,1266.0135215368182,1421.9873200114919,1594.137996062411,1783.7959260904631,1992.239419593748,2220.223336481862,2468.619100271686,2738.5827807493492,3031.2743040430523,3347.3502176258144,3685.921204687251,4046.7547345662506,4429.772349200323,4834.834966116122,5259.354702092907,5699.274063599856,6151.982920595382,6614.850504467992,7083.98061517172,7550.482859232685,8008.28782538226,8452.288396592176,8876.570488494755,9270.383718298956,9627.025244959617,9940.216758299131,10201.563193645488,10406.104080545272,10550.636383426017,10630.262254766989,10642.948832562754,10590.135685695284,10472.866950996013,10293.168994967124,10057.243486968724,9771.178544284563,9440.012081067205,9071.738059115743,8674.842090711581,8256.00007217011,7822.218686123394,7380.991803133969,6938.718288355508,6500.119946995255,6069.8947712943245,5652.1694186029945,5249.813104238598,4865.195560063709,4499.634557317119,4154.100693317131,3829.1450695483304,3525.246714136565,3241.8699009821894,2978.1396363102717,2733.3899294274242,2507.3428688997346,2298.8508035156965,2106.5589735687254,1929.3330571925046,1766.705707663648,1617.5796811189787,1480.7135954184585,1354.9676469147792,1239.8775403019854,1134.6487808280062,1038.3323441850473,950.0024088362003,869.1332090242923,795.2897857034686,727.8001473174938,666.0169610120495,609.3594672265556,557.602818129569,510.33246464432455,467.11993396288125,427.54559201503383,391.2538681672397,358.1096813556458,327.8252312393312,300.13737201822966,274.78700398752585,251.52689087299743,230.25831437896105,210.82119981052165,193.048702436678,176.78917260480407,161.8909606623022,148.21636356422084,135.72089115979827,124.29036837269435,113.83284213625952,104.26495525468727,95.50335053217785,87.46467077292941,80.09647438025466,73.36683301787792,67.20096563943083,61.5562758427771,56.39048508296435,51.66131481503241,47.32648649403902,43.34659990358307,39.71417377585658,36.38556389029931,33.332689900766155,30.53594681686225,27.975729648192868,25.632433404367745,23.486453094991404,21.51818372966835,19.715352646332732,18.070703954763474,16.55931984304614,15.172112093609897,13.900560491456929,12.736144821584759,11.670344869005845,10.694640418720596,9.800511255728253,8.979463119846216,8.228747898374124,7.542560749118422,6.913120908807528,6.336238399729979,5.807723244163071,5.32338546438956,4.879035082692525,0.0
C,329.5387984400252,364.70709591507375,403.0771963556026,445.126733554368,491.3155702612181,542.1109483936958,597.9966970071139,659.4833342516049,727.1233033316491,801.5071799906127,883.2576986669771,973.050013723252,1071.6372261867646,1179.80020755412,1298.3205269765733,1428.0540522734848,1569.995405516182,1725.1458257558756,1894.4773636490752,2078.834597856986,2279.353313083295,2497.228043781177,2733.638573808627,2989.277688646767,3264.7608014114653,3561.1674786740796,3879.5972920419736,4220.913898979879,4584.345228342422,4969.549815583783,5376.711874018108,5806.013582277645,6256.528381669137,6724.139498846058,7206.589572469509,7702.027373656723,8208.5083524468,8720.108231740245,9229.010895523146,9730.88164307838,10221.491611810807,10695.01543866687,11139.358862613995,11547.8309207504,11915.834823920512,12237.857498096246,12503.417977533763,12708.189933645812,12848.819491569095,12920.128763068795,12921.363255810673,12853.869365223358,12717.182002816142,12513.845122783092,12249.595079906894,11929.395110163206,11558.663215779348,11145.876521684748,10699.03233877027,10224.461740400284,9730.29201589575,9224.546647748637,8713.377828477984,8202.70705681379,7698.210531469922,7204.640616715239,6725.454355191137,6263.586136245509,5821.333265874858,5400.288727856113,5001.827453227879,4626.0972157951155,4272.94005942806,3942.261615892285,3634.1250999106237,3347.472750179597,3080.9992682185675,2833.7600900047396,2605.391294566012,2394.587610081502,2199.9126265812465,2020.175425440453,1854.899231618817,1702.9790182966447,1563.199442844783,1434.4457250601838,1316.2595880529689,1207.8651969454402,1108.3518736948865,1016.8320228498321,932.7919121068558,855.7998472163125,785.209193199971,720.3978549811709,660.8051800922238,606.1966339091667,556.164184605613,510.2908472060752,468.1679262494719,429.4457762023089,393.97605170043073,361.4721181123711,331.673209076917,304.32234676768184,279.173629307392,256.1182566486183,234.99036613959075,215.62188317192062,197.85927863948643,181.5490234361861,166.5508075532139,152.8113060024603,140.2118258289424,128.6577882672533,118.0629450887804,108.34104806493045,99.4058489670964,91.20089224017869,83.68828704416426,76.79058306133417,70.46270333325634,64.65988219940927,59.33735399924794,54.45035307224656,49.95697984844166,45.84658650976887,42.07240586489104,38.60458497768704,35.42185807792872,32.5029593953808,29.826623159815412,27.37158360100453,25.11657494871214,23.047817304223244,21.15629784485452,19.415334173746942,17.81488431441487,16.34549353412156,14.997707100137958,13.76207027973517,12.629128340181438,11.589426548746658,10.633536878985424,9.757941008952557,8.95606221700129,8.219446852313709,7.543356634098217,6.923053281568471,6.353798513931508,5.830854050404497,0.0
D,1583.216441902965,1756.58215756137,1948.4946201562657,2160.909621671105,2395.958666892935,2655.9556260460135,2943.451718212761,3261.189555499341,3612.2004131468916,3999.7913943463377,4427.453197817835,4899.032882008212,5418.8314192899325,5991.312276764042,6621.060681904745,7313.1436575422285,8073.376798291025,8907.617214173393,9821.787606862348,10821.322814772833,11913.216305133396,13104.794381513811,14403.372779687172,15814.232164425764,17342.303893127842,18994.997288795275,20779.84069198581,22703.293901947054,24764.00910124164,26962.62823106471,29302.580066736205,31787.294601500154,34414.58382368546,37165.839782290306,40031.493196466894,43003.99550233232,46075.28289024867,49215.62494840986,52384.27912931888,55557.857963975126,58713.353888896745,61818.360129243105,64803.54239046447,67627.6988340112,70260.17283623733,72664.6852779937,74773.2478977751,76551.87492531598,77971.25611572871,78989.43857627531,79589.99585153419,79768.98428235174,79510.86068685014,78818.81324174628,77717.16112241607,76226.16048739987,74370.3316328125,72196.93597727887,69751.19656755097,67069.456653698,64203.07080151165,61204.5229214703,58114.741512654946,54975.05972057397,51827.52548881615,48707.92291752573,45642.9925430043,42657.60897338166,39772.78620022502,37003.559186968065,34362.918684403245,31856.204901587713,29486.63335905624,27256.47622159304,25168.44061820432,23217.87018830216,21398.151951006323,19704.593985506468,18135.776579202688,16684.004470625747,15340.381160717992,14097.557775850126,12952.808333798619,11899.036893093284,10928.19419108686,10032.907071777605,9210.295022170498,8455.21643181787,7761.4509107717495,7122.929725714821,6536.219535251035,5998.4696087154625,5505.200996325599,5052.087069721416,4635.241265054222,4253.138133622939,3902.9718021766303,3581.816246421526,3286.8030526480775,3015.493098082924,2766.930356121667,2539.1223708926327,2330.22940539268,2138.4386161310895,1962.018042256268,1800.251587857537,1652.0046625322334,1516.0881121942066,1391.415637062329,1276.900937355631,1171.5549874476483,1075.0412512181717,986.5374870187788,905.3724688360826,830.9346633514184,762.6125372461612,699.7945572015442,642.0909063497863,589.261796694806,540.7583883252856,496.260427963707,455.4499328155901,418.0089200865074,383.61940698203233,351.98468671685146,323.04598543936066,296.47878416007876,272.06953236568376,249.66685664735382,229.1193835962727,210.27573980354566,192.9845518604003,177.09444635790067,162.51082815135896,149.1813169630248,136.91504211939235,125.64009511413894,115.28890670049697,105.79390763183466,97.08752866136172,89.10220054238567,81.77035402821832,75.02464107965369,68.84702716299631,63.193210076588855,57.99946609429992,53.23221716310678,48.85788523004055,44.842892241987784,41.15366014602256,0.0
E,212.14225369142787,235.11842644359092,260.3900272346799,288.2742254327103,319.0985853202285,353.20876875863655,390.976311836905,432.7986482243548,479.1145197197267,530.399152847416,587.1604415304248,649.9632501776425,719.438035873008,796.2422042761498,881.0708077924443,974.6995073713992,1078.0164296243684,1191.9169203914016,1317.3438071622636,1455.2057453133723,1606.6459299237217,1772.8600794416873,1955.0555483634744,2154.2598604310056,2371.4764152922908,2608.069850298865,2865.424337105277,3144.8122227516533,3446.600030268885,3771.384810966164,4120.153762645298,4493.89666940454,4892.87636151848,5315.184792918347,5759.993913415277,6226.722474498143,6714.713142841974,7220.176351671762,7737.582989756755,8263.572668030725,8794.797710025225,9326.413017297149,9847.674243267078,10351.660119765338,10832.818110596707,11284.664760237822,11695.269900192267,12057.7609863645,12365.871577824975,12611.034160153176,12788.75522436752,12896.58726428887,12930.142132607525,12888.257908038395,12773.577922072547,12588.199089164851,12335.174460447586,12021.951844573554,11655.760329081451,11242.499460688623,10791.109435987324,10310.942911406933,9809.327559854199,9293.850745320015,8772.488698691861,8252.04666602462,7737.579166598145,7234.009240169367,6745.610517785062,6275.398409803764,5825.920632096459,5398.482496645043,4994.006958738568,4613.070702303096,4256.240860901859,3922.8703274651693,3611.9425796970977,3322.717454394265,3054.9513908444187,2807.35569713106,2578.410179689304,2366.8530565481005,2172.2043732283732,1993.2359023639037,1828.5459397615673,1676.8498216968098,1537.6445090671202,1410.0352420714792,1292.9366674948326,1185.2897102629277,1086.4985374078726,996.0712246796922,913.229186559856,837.2203588813549,767.3702044109594,703.4208168277218,644.8887256158258,591.2685026987986,542.0648395891785,496.85794538330487,455.48950844976434,417.61821308236813,382.92869700888673,351.11031155149476,321.86655883126656,295.07918245068396,270.5566005954588,248.09630171711274,227.51364920458772,208.62400644684868,191.25964669267276,175.36674095831643,160.8067481005266,147.46629003509113,135.2423008045489,124.03171445142873,113.73146501826832,104.27675954526319,95.62912355449765,87.69608254856712,80.42412781194638,73.76014076799562,67.65100284007467,62.04359545154057,56.88842944207393,52.17679680073685,47.85468595394438,43.88648958315238,40.24715256749242,36.9116197860981,33.854836118102796,31.05174644264008,28.477295638847153,26.116019273771954,23.95971735759096,21.97665770332594,20.155020484885796,18.483716055697087,16.95165476918436,15.547746978778164,14.26090303789266,13.080033299962238,11.994085413440004,11.000321998988213,10.091538653119486,9.257190199058712,8.491805327483434,7.7899127290819905,7.14604109454163,6.554719114539495,0.0
F,203.01912081023613,228.3910542924582,258.6999501008114,293.84948126124425,333.98666438764155,379.3998294275435,430.5388813372034,487.92085368255346,552.1585599166589,623.9792518673619,704.1302932995351,793.467421505665,892.974835844088,1003.6708107837079,1126.6124405502492,1263.0033099640132,1414.2149677164464,1581.629054569456,1766.69285770649,1970.8081266421163,2195.7177235399513,2443.2398435180294,2715.20695679217,3013.169054689146,3338.621211246226,3693.569567120312,4080.0477368653465,4499.90445636567,4953.554816288218,5441.724344301689,5965.679564388615,6526.688951382677,7124.8627861271,7756.889908255898,8421.091817162742,9116.132111937835,9840.556626721718,10588.05784107812,11349.660296386468,12119.805783589578,12892.96254611448,13661.370255526273,14408.459021476458,15123.720156909307,15798.882942329405,16424.332323617113,16982.740979606308,17464.60965542616,17861.548888241014,18162.080419916394,18361.00148375241,18456.1948255618,18442.90383842732,18321.147248985217,18096.3522451406,17773.118290689494,17357.299986379916,16860.63456244335,16294.419256635234,15667.834223441863,14993.898724298531,14285.963598948603,13554.417725108831,12809.733364097023,12062.58607000574,11322.021457006495,10594.68007188621,9886.776812825394,9203.557267608352,8548.682828336692,7925.2351121667,7334.47580559668,6777.142776081779,6253.679960789717,5764.5970150510475,5308.689415945127,4884.279534628433,4490.1408858089835,4125.817368126575,3789.3944799191436,3478.680259058087,3191.853669741895,2928.196955061837,2685.9757132330333,2463.2438856102945,2258.216932371736,2070.1780725013264,1897.8857541032085,1739.8581061537384,1594.6499761552946,1461.438568565738,1339.5398338947896,1227.8987432853155,1125.4985191515248,1031.425609860632,945.3179599583594,866.5178289971868,794.3452731955615,728.1340447162664,667.317599839566,611.6721520469384,560.7361423666161,514.0866821786564,471.307187133398,431.9997013951363,395.99907553180077,363.04384225765534,332.8629374280782,305.2092481242187,279.8356614272375,256.5172185154536,235.17663130785772,215.62620173295235,197.71449197648718,181.3037750513953,166.25632397060255,152.43441174702463,139.7501015665642,128.1482096722138,117.50511781558234,107.74943494098488,98.8102832904604,90.61678510604304,83.09806262978739,76.18796139440997,69.87264046769684,64.07898871094055,58.75970091682176,53.88140414284503,49.41072544648121,45.31429188522087,41.558730516540194,38.11066839792899,34.94904084163251,32.061326402402855,29.405366987551858,26.965485740701794,24.726957587404343,22.675057453241976,20.795060263782034,19.07224094459127,17.491874421242755,16.039280906463887,14.709832866783799,13.493585522254506,12.377000428847879,11.352775879912102,10.413610168788551,9.552201588828666,8.761248433363264,0.0
G,35.27995402557002,40.690862900463316,47.80273161992858,56.51270707726454,66.8367825743803,78.85712687503514,92.73123677757434,108.64591083572464,126.83121429145476,147.56877992500586,171.15055889453708,197.9222681091878,228.286261243052,262.662028918621,301.5053957787874,345.35070200754507,394.80782597480953,450.4924253684809,513.0957019379528,583.3376906361631,662.1032002571983,750.3157195616592,848.92531235064,958.9281000118771,1081.353832260379,1217.482878396435,1368.612070976245,1536.0402696134288,1720.8561140191619,1924.2630100894703,2147.7463626657404,2392.79843723659,2660.6575191099646,2951.6776178012606,3266.6596291739556,3606.5738926795625,3972.351172024187,4363.308010008751,4777.704659636633,5214.661387140733,5673.278140437833,6151.634306660568,6643.806397443081,7145.47272098285,7652.742518995786,8160.962974907157,8660.593201356283,9144.758289887775,9606.385131377012,10035.700307043337,10425.003173194522,10767.852080605962,11055.35457862514,11280.672151130555,11440.257808081895,11529.933815390117,11546.391559013067,11491.496646315125,11367.270096886767,11175.039016621731,10920.867240928068,10612.211948230846,10255.00641116208,9856.7401540842,9426.951521874076,8974.055071147652,8504.62778848043,8026.445895939167,7547.035865993614,7071.897276268853,6605.7317494423,6152.589726082923,5716.128530392528,5298.65894494528,4902.057380340204,4527.198000157151,4174.385891579747,3843.8102649974,3535.6843030783157,3249.2812304478134,2983.409610244116,2737.0608119535605,2509.8847194480845,2300.7100233231486,2108.0476095718823,1930.529603406272,1767.6523954020863,1618.4421728603434,1481.6260775159685,1355.956944399161,1240.7609544564896,1135.5007085860375,1039.2323983526733,951.0349400379671,870.0884138783803,796.1290122233193,728.5843407560022,666.828796126956,610.2491871986995,558.3343837043992,510.9357279170544,467.64419199462316,428.07024718432893,391.83044593372836,358.56055556063336,328.145054112056,300.3679900844072,274.98102832325594,251.75856998557973,230.4750162283738,210.9278219610511,193.0753355184798,176.75796365024252,161.83817563011195,148.191759753892,135.69450431737067,124.22219761633399,113.7030825926176,104.10661716542627,95.32143273214544,87.28401951832856,79.93138186828087,73.20052412627705,67.02845063661906,61.3570104039625,56.18499687830347,51.451567575621006,47.114102148657544,43.14339096228319,39.51022438138151,36.185392770821004,33.1396864954945,30.34389592026424,27.781751411200187,25.449073278449266,23.308104495126436,21.345139889907493,19.547415235118283,17.902166303075443,16.396628866105022,15.018038696520868,13.753631566643055,12.590699074026144,11.529086153104174,10.561587490852375,9.674715986155636,8.862376783314549,8.118475026626474,7.436915860388858,6.811604428893549,0.0
H,48.75075384633709,55.79523346536416,64.80222753277661,75.63125294801614,88.26704793855203,102.76356524242993,119.2528724474675,137.89502662582453,158.8890773328984,182.4850534828896,208.93381691143634,238.52803444230113,271.61190904021856,308.5403942385351,349.67737475065536,395.445390997232,446.3280081784954,502.81230145471574,565.4090732160025,634.6192032652261,711.0683560988538,795.4089742470694,888.300010564938,990.3170378598644,1102.026083504147,1224.174062281534,1357.5177699583126,1502.757017625287,1660.1338898572255,1829.9961954324804,2012.879738531392,2209.321424835686,2419.475992238335,2642.3607809778673,2877.523457505942,3124.6250150445076,3383.285843247184,3651.4621486035676,3926.169125863967,4205.538649474316,4487.705076217104,4770.008263004664,5046.643715257782,5313.836708801129,5568.548738126887,5807.250306655106,6023.5478674566675,6213.761869740604,6374.564760908973,6501.432736536445,6592.063626253903,6645.264512675239,6658.839331945335,6632.336935915589,6567.3438654036445,6465.156779824668,6327.574201749285,6158.711681216895,5962.553446338027,5742.336723963458,5502.874655606442,5249.1748885274355,4985.12914239043,4714.729553964862,4442.148430977401,4170.923177069203,3903.630548482338,3642.7748954147464,3390.514472759317,3148.3344370084633,2917.462000850435,2698.4955326599184,2491.8358716194534,2297.6984878662497,2116.290559237604,1947.2169719864253,1789.895681676541,1643.8869793975111,1509.0080478091454,1384.5573254839721,1269.7204018711461,1163.816348974779,1066.5668998695526,977.3215227585955,895.3473051324831,819.9714917345043,750.9213583660478,687.7293834307479,629.8366475426803,576.6979214534834,528.0038412257808,483.4987263030707,442.78589425915754,405.48296102289913,371.24682899079653,339.9447882319705,311.33154400503173,285.1527262407848,261.15915436509,239.13962820470604,219.01390175509167,200.61068297155416,183.772795747695,168.34545384823426,154.1809415536249,141.22021813379837,129.3676051740715,118.52292174415,108.59500353637321,99.49268624309137,91.13317554763834,83.48974693542321,76.49378521407925,70.0897198264543,64.22712156291618,58.85556121383049,53.924609569566854,49.40254980451235,45.270227074989755,41.482372793677925,38.01304896418949,34.83650941771966,31.927007985463675,29.258798498617438,26.80789048922137,24.5698640623064,22.518293186164975,20.636010230333895,18.910991516209528,17.33121336518871,15.884652098665946,14.559284038034797,13.343085504691942,12.228575107254521,11.211535907955202,10.276718264006426,9.418504532511236,8.631626123052186,7.9108144452086435,7.250800908561153,6.6463169226895715,6.092093897174394,5.582880198426722,5.11719292366471,4.691532653064044,4.300981750947983,3.9429467867020946,3.614834329710156,3.314050949360393,3.0380032150343936,0.0
I,122.04994153788209,137.3381278355377,155.61672765274653,176.7857137686697,200.89173312008577,228.06507692565313,258.5316569155177,292.55391309064066,330.4449962730918,372.58449773499194,419.3532910542108,471.1846949673785,528.5854681588594,592.0771613262314,662.1763479540989,739.4760952096564,824.6639205746276,918.4318875917538,1021.4720664368621,1134.4272197084265,1258.1398278796776,1393.4920982061808,1541.3663564534752,1702.4208358930764,1877.2959621545208,2066.934383360456,2272.293228348933,2494.216399638538,2732.6998976705368,2987.9852910696127,3260.6501772883835,3551.2731524096703,3859.8187727558334,4184.43908761686,4524.299244081015,4878.803064245485,5247.295765652159,5626.662827353148,6012.502199511821,6402.320710402447,6793.661839905008,7182.94193157967,7562.14704256615,7926.374837348701,8271.860871766014,8594.137063447964,8884.657538887404,9138.782106010598,9352.313196965992,9519.303207731462,9636.78463339779,9703.288649968423,9715.782663264737,9673.540403581377,9578.589058034428,9432.470341706792,9237.35265591159,8998.617093030538,8721.465478376915,8410.082210743081,8070.929940131049,7710.789367579356,7334.960721848111,6948.973864112583,6558.692021225545,6169.121889936404,5783.990252915183,5406.963660722205,5041.2421300637025,4689.082515797803,4352.393994845838,4032.1800384146086,3729.1612412106974,3443.7796933748477,3176.463691005201,2926.7452368156205,2693.8775562095593,2477.3112756309188,2276.857439805236,2091.553906679991,1920.2618764562912,1762.0339099214866,1616.503324213701,1482.746493244923,1359.7089891471542,1246.4239133216192,1142.5092642876289,1047.290625322825,959.9512298555467,879.6940107488067,806.0696007056346,738.7067909269647,677.0202677945009,620.4447934835505,568.4733719861453,520.9117199278755,477.3965867042368,437.54889153238776,400.9971764954361,367.42664846654355,336.71845349501837,308.6167665199448,282.88566898832414,259.29278730249166,237.61634717779808,217.76788308554634,199.60396655498334,182.97343793630884,167.7385681136877,153.76162797130286,140.91751325422106,129.16597310884086,118.40351500921321,108.54576682227818,99.5160767593337,91.23779303167225,83.63426385059314,76.65727480286566,70.27795805491954,64.4275100480526,59.06626599935734,54.154851730908106,49.653893064771076,45.52401582301526,41.72853131428044,38.2608050463972,35.080609161816064,32.16160429568176,29.485289019539362,27.03316190493563,24.78672152342256,22.727466446543403,20.83689524585359,19.103534944187327,17.52107766523667,16.066064229933488,14.729805323950899,13.5041496016235,12.380945717271132,11.35204232523234,10.40928807982798,9.544531635393668,8.749648218134936,8.022425372357166,7.357485079549374,6.747174596277816,6.187474116256176,5.674363833191649,5.203823940799531,4.7718346327865575,0.0
J,52.04714386475496,60.131331994507946,70.80065729224384,83.88148343869977,99.38139160879143,117.40847441027927,138.18518099498,161.9775005849931,189.11528280236712,220.00617492868525,255.0704551409027,294.80680020411467,339.79868531125896,390.6539663077374,448.02944036825886,512.6989200931464,585.5481514622303,667.4712734192209,759.4705194011957,862.5922504277322,978.1296760998929,1107.432949100191,1251.892177375456,1412.9738363444196,1592.2073396383942,1791.4981262756344,2012.7761994387595,2257.9857641794874,2528.819050578488,2827.158847166329,3155.3229787995724,3515.6404034670136,3910.1297022156295,4339.662602641365,4805.783522528611,5310.323083768684,5855.061412764111,6439.657286554277,7062.371447634162,7722.712366469793,8420.182850846093,9152.893437159984,9913.470797579746,10696.670880226797,11497.825235631815,12311.167295312654,13123.813147936175,13926.400935971862,14709.042940137326,15457.586446752755,16160.225418473954,16806.738060265085,17382.570919237576,17875.42032191712,18277.431018923246,18579.21172608867,18771.916474767982,18854.496025664495,18826.012639971283,18683.933654213535,18433.8518257023,18083.97120158438,17640.205759381173,17111.875637183548,16512.99833768679,15856.081578984511,15151.004168029103,14411.287932365301,13650.737465199281,12879.683334969539,12107.181525388494,11342.463532087897,10594.284340621532,9868.34272335843,9169.327685111532,8500.817744758613,7865.355474783981,7264.746692766121,6700.192471310835,6171.637848928127,5677.983796027743,5218.2592404767,4792.243754552983,4398.365454810899,4034.3054688856355,3697.9244567579512,3388.481929621382,3104.398399676967,2843.4226263162,2603.3374067294853,2382.9726716856053,2181.423781479165,1996.935741335357,1827.7739148320516,1672.4001149793169,1530.3807379887837,1400.656127524216,1282.0156223246636,1173.2711174057772,1073.4421578559165,982.3024734625058,899.0743135487269,822.9922571604834,753.3027428830486,689.2921065729989,630.7745998910652,577.3555842777637,528.5441229248103,483.8939127774638,442.9586507810392,405.34088131734256,370.99357433709247,339.61651505052384,310.9362188472818,284.70619902181727,260.6799688686002,238.61104168208604,218.36655750514637,199.91187847389907,183.026311539648,167.583571253207,153.4584511300024,140.52574468543202,128.66024543493282,117.74723139590607,107.79983681749599,98.70399431209921,90.37372691008605,82.75086055861324,75.77722120484798,69.39463479594858,63.5449272790797,58.16992460140395,53.24044206712355,48.7590100136012,44.64959908374783,40.88456539834124,37.438285809011035,34.285137167399355,31.399496325138543,28.755740133866766,26.32824544521918,24.09152995009245,22.05202352420862,20.197824087184316,18.498725476981363,16.942768127811163,15.51799247386559,14.212438949351892,13.014147988465865,0.0
