Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,11.468812130824215,12.746150375731416,14.205808399287692,15.892163903574186,17.84122135721417,20.084619980984453,22.652024540983525,25.573800092515054,28.882031637076764,32.61173403214873,36.802608416362474,41.498730786626325,46.749474672145446,52.611244305527585,59.14763701718873,66.4285608081409,74.53189598977954,83.54548297038428,93.56721500396576,104.70460413779908,117.07315086009132,130.8016804633772,146.0333612009993,162.92600697623274,181.64670775129298,202.37170920918413,225.2971564561775,250.63965942103314,278.6348669027229,309.51753076156297,343.53072430990005,380.9426485802347,422.04693988666946,467.1510705549281,516.5295313427074,570.462480113464,629.2535023715361,693.2285569706758,762.673917869029,837.7976427620831,918.808025003175,1005.9203116576919,1099.3230867353714,1199.0300357108522,1304.9846941712108,1417.1107222531261,1535.2825606651438,1659.1463083462168,1788.2576227477166,1922.08562775233,2059.8993928096606,2200.858980688932,2344.0708053551307,2488.4521542466287,2632.7877048418213,2775.8478698378353,2916.3188630648306,3052.7771509962204,3183.87478655588,3308.3163894962954,3424.752051123006,3531.961307463869,3628.893277110726,3714.5711253807845,3788.1584539788214,3849.04267205997,3896.791951842699,3931.1177014379673,3951.9327415991534,3959.335995566165,3953.5755457679174,3935.08808828739,3904.421992196846,3862.213455826782,3809.198147415672,3746.2664637547896,3674.324777745881,3594.2603322393015,3506.981027770664,3413.4935473284677,3314.7606724978477,3211.6682838461884,3105.05425124836,2995.798740843576,2884.71729413921,2772.529078238271,2659.8698051624247,2547.378489345318,2435.6389671989596,2325.1478570923655,2216.3172050818343,2109.5265985876854,2005.1279043014179,1903.4066479618127,1804.5846581245453,1708.8291312036035,1616.2978096434422,1527.1088287878802,1441.3397900849834,1359.0290402223377,1280.184394953669,1204.8097079174404,1132.8831019204358,1064.362817270976,999.1878236214498,937.2794073320816,878.5590520258297,822.9381067055701,770.319723384361,720.6012068786985,673.6740148085114,629.4253479973729,587.7474706624541,548.5287533900319,511.65771756797693,477.02413141687725,444.5190099900362,414.0346151734741,385.4667941094691,358.7157781113073,333.68269077410093,310.27226161793345,288.3928516358074,267.95645329364584,248.8786905302905,231.07886455618024,214.48057532389458,199.01094348291176,184.6003115016517,171.18233043113878,158.69395990500152,147.07546813947275,136.2704319333901,126.22573666819528,116.89109366423457,108.21940431623679,100.16749054740441,92.69426561318198,85.76068405127205,79.32974168163526,73.3664756064899,67.83796421031269,62.71332715983783,57.96372894565482,53.56323285794819,49.48806753338734,45.715395738540856,42.22365644061645,38.992564807460724,36.00311220755932,33.2375662100368
B,0.8371395715930084,0.9416179125803402,1.119343213650696,1.4173258788232506,1.871448076107015,2.5121202860424194,3.3671756867962443,4.465051625420376,5.835650370749201,7.511483792673171,9.529431116867965,11.93029656961508,14.759888855516424,18.070380349609987,21.920444154356584,26.3751347404231,31.507459017819087,37.39972129988956,44.14361236128394,51.84085211107425,60.602765578993214,70.55393412874592,81.83298428293207,94.59306195894588,108.99994506412915,125.23188899687278,143.4873362445649,163.9853719411347,186.96532243108555,212.67436904152163,241.37301131871357,273.3480224949972,308.91273556961346,348.39902809280204,392.12111069975447,440.40392117594934,493.59777468582695,552.0775318998249,616.1910294534614,686.2234690134937,762.4621166925311,845.2021828117878,934.7166625864616,1031.1202913909246,1134.458844374755,1244.753948631548,1361.975239896485,1485.8682053910068,1616.079583589274,1752.1595466659078,1893.4469100502342,2039.1550620994199,2188.425775870942,2340.1908374792765,2493.2248105967833,2646.2657585950533,2797.9419136053834,2946.741176707984,3091.2088448203203,3229.923826686036,3361.3806620257,3484.191919935485,3597.1362959922208,3699.0506712212605,3788.9053992942795,3865.908739356595,3929.4582468455733,3979.0906764380748,4014.5647188648118,4035.851253868463,4043.0840604846458,4036.5984397156653,4016.86774084027,3984.4795844251685,3940.136707657908,3884.7147442281635,3819.1240556504144,3744.2709796978615,3661.0955778258212,3570.652284082277,3473.9605397629393,3371.966286610449,3265.5718999759797,3155.7329811523587,3043.3419417447476,2929.190646674262,2813.984306618898,2698.4366047735584,2583.2048456529915,2468.851985126775,2355.8493787542216,2244.6348385238507,2135.618260438764,2029.1362860165632,1925.4547948422157,1824.7791142553692,1727.3054620697442,1633.1862533138772,1542.5278897849573,1455.392163546382,1371.806230365815,1291.7933546845172,1215.3474817566475,1142.4392833946958,1073.016845589886,1007.0075027654287,944.3387150953697,884.9261213189166,828.6752310397326,775.4840915857455,725.2432880091412,677.8378168494726,633.1582120841624,591.0899757104936,551.5180659850621,514.3281712826554,479.4067100962518,446.6408310370222,415.9212899243933,387.14354610078647,360.2034182065153,335.0003443268945,311.43741309511114,289.42136369222567,268.86258584717035,249.67519887101454,231.7780651481425,215.09356551519346,199.54738107015922,185.0686688041973,171.59006160163042,159.04766823994694,147.38107338980092,136.53333761501173,126.45054013332579,117.082242854421,108.38210097007595,100.30599105516679,92.81196143546526,85.86023218763935,79.41319513925228,73.43541386876366,67.89362370552828,62.756735951376534,57.996849919712055,53.58840293497325,49.50678003262559,45.72873370909317,42.232383921758625,38.99721808896321,36.00409109000671
C,27.541891905409976,30.59153206755296,33.98451551834416,37.76093514629383,41.96079079809189,46.62510344936046,51.79690176548561,57.52242193136477,63.85182813159409,70.84007594688306,78.5480956063415,87.04276588046015,96.39756059405927,106.69436108251814,118.02378454305396,130.48368535826606,144.18071871760017,159.2333958238735,175.77221480057062,193.93800131000273,213.87807342525062,235.75460019455195,259.74616099314005,286.04782796606946,314.8596113497677,346.3859293599252,380.8523134975876,418.50621787777465,459.6135879285762,504.4232091821684,553.1826524454972,606.1631389094637,663.6599070471732,725.9723520215709,793.3315773759493,865.9610275618148,944.101294081079,1028.0084885163842,1117.8645368554967,1213.728143434226,1315.647285200454,1423.6680615896469,1537.7910482132786,1657.7843896748755,1783.3304323038096,1914.0925694649852,2049.680614127684,2189.4446788269443,2332.652506338796,2478.4992148391702,2625.990164933113,2774.0529389473922,2921.6011523846964,3067.3978415218653,3210.1262669367393,3348.5106405361857,3481.2499628453834,3607.0030701012433,3724.554058546886,3832.789339827466,3930.6096564467566,4017.0789824447124,4091.4473282094236,4153.0789875076625,4201.500502377788,4236.4399813610335,4257.795334939868,4265.622263500779,4260.142015253033,4241.714713933975,4210.827863900727,4168.138107472121,4114.366430073452,4050.2740668906636,3976.6959776676104,3894.5934717310856,3804.9107118726242,3708.545821074217,3606.3954575355174,3499.431742603411,3388.5670626544484,3274.629454592288,3158.39048658675,3040.6483002894934,2922.132951295444,2803.482068081196,2685.252579574818,2567.99762027011,2452.216206624017,2338.328136861813,2226.676492139814,2117.5729281439035,2011.3019112185386,1908.0892827835246,1808.1049231244242,1711.4705607118158,1618.298525695588,1528.6664553012308,1442.617158328934,1360.1597358042877,1281.277067898727,1205.948634220361,1134.1321281600835,1065.7686312901133,1000.7831405421961,939.0859344558066,880.5880310008533,825.192396041807,772.7955427645607,723.2895450414454,676.562037431223,632.4975972542787,590.9859673589463,551.9142843488189,515.1703800526983,480.64372008377,448.22540383960364,417.808164502154,389.2884593716905,362.5673725008322,337.5473119180384,314.13426137992127,292.2378025372304,271.7711149348537,252.65097601181677,234.79780541626565,218.13637500104045,202.5951257077511,188.1056396361416,174.60269721300378,162.02427719217687,150.31155665454762,139.40891100805084,129.26391398766864,119.82693737497344,111.05166926600424,102.89558131231824,95.3181643157085,88.28088275088159,81.74717476545796,75.6824521799712,70.05410048786901,64.83147885551217,59.98592421679559,55.491734417342684,51.32536763519525,47.46412158384869,43.88654348063046,40.57243004669983,37.50282750704806,34.66003159049823
D,125.23607991031407,139.0702440462266,154.29410172404963,170.98013079711865,189.2511445719995,209.2699835948369,231.23419920372808,255.37071822135934,281.93493152421195,311.2105600630732,343.5083474497434,379.16867704388585,418.5632233532614,462.09800799349915,510.2158168753807,563.3956458667699,622.1565805156437,687.0696918849918,758.7587758115037,837.8985006534306,925.1998367662061,1021.4435232793169,1127.4870783429305,1244.2660161085755,1372.7519818026656,1513.9497218365168,1668.9668127868715,1839.017215977341,2025.4088465317525,2229.401066081323,2452.2679151922653,2695.4042901851253,2960.327663612502,3248.5970272058453,3561.506547953398,3900.339558800012,4266.477101015569,4661.391033000352,5086.2555148913125,5541.724339312957,6028.4191557276845,6546.969063225825,7097.813927109302,7680.3539277663585,8293.591559336955,8936.429026498216,9607.50634165963,10304.228039518684,11023.563098143948,11762.078472670462,12515.36071960659,13278.52488656489,14046.512540725062,14813.408287756576,15572.758112685158,16318.163483332888,17042.939788646647,17740.0140934081,18402.796216068888,19025.06401226958,19600.47654467091,20123.405437867823,20589.094266023712,20993.242461000274,21332.294658211234,21603.759175288655,21806.023487357073,21938.22830177557,22000.45171002197,21993.61306136465,21919.34785393319,21780.212034911885,21579.245557490012,21319.854519752767,21005.914859924804,20642.049959978536,20232.922204102088,19783.068281830518,19297.108156891245,18780.143086551147,18237.042136993365,17672.285738341187,17090.110161732064,16494.960174605945,15890.95845522764,15281.748089957595,14670.556681414926,14060.630857450877,13454.945398936492,12856.03839286984,12266.024122159528,11686.855949065324,11120.353693698655,10568.001366848197,10030.958779003806,9510.107770358827,9006.286539057088,8520.13350556687,8052.076296087138,7602.338051144528,7170.983074484938,6758.059289114036,6363.481433342122,5987.056956947541,5628.4891303843315,5287.3855677674355,4963.356558340576,4655.96023567484,4364.707822158305,4089.075767212664,3828.5057472932035,3582.4136443941,3350.244182290386,3131.4203797403893,2925.3627442823445,2731.495225946193,2549.245217253575,2378.043553217841,2217.3392595698497,2066.6067068073767,1925.32218867472,1792.9793556147931,1669.0893691295012,1553.1809017797484,1444.8001371854289,1343.511296866924,1248.9038231942072,1160.5849466419459,1078.177785151065,1001.3224429208151,929.6760104087696,862.9125643308269,800.7231676612116,742.8158696324725,688.9140971766608,638.7601756772992,592.1162244841904,548.7553885682164,508.46162900284344,471.0297229641232,436.26526373068987,403.9846606837647,374.01513930715026,346.19476731097075,320.3786781703152,296.43412094639456,274.2326053806846,253.65260838478926,234.5795740404403,216.90591359949727,200.53100548394738
E,17.16136121765667,19.055266843032037,21.130265856977665,23.39095761558954,25.852534060453635,28.53858228662683,31.47977453100174,34.71251137261211,38.27852007823913,42.22462881491727,46.6022064181947,51.46776192859184,56.88325650521975,62.9162810612446,69.64052376225135,77.13637429725945,85.49149928616264,94.80256802165165,105.17538853705987,116.72550240220737,129.57666305307828,143.86564853349003,159.74336060164515,177.37522140730292,196.93689924779355,218.61403077920147,242.61233830314265,269.158185494147,298.4974095454848,330.87717578981216,366.5542098417928,405.8107161975317,448.9546827819617,496.3090402652076,548.1670098348555,604.8283539065186,666.6164242878694,733.8771481350075,806.9188728193669,885.9740682533513,971.274912240599,1063.0598247042617,1161.5403312911587,1266.7542334034058,1378.6674478712453,1497.2233379744198,1622.3134137399072,1753.597915417296,1890.6419485459755,2032.9188518917574,2179.6950175958286,2330.120335888878,2483.2836327916625,2638.0746316972845,2793.239844303813,2947.50262795128,3099.491301560762,3247.711592982363,3390.737555529637,3527.188075728798,3655.6150429195845,3774.695462279925,3883.2749497353348,3980.267177082191,4064.7244063320336,4135.930246015989,4193.354554401283,4236.611065923639,4265.526816452293,4280.129587840657,4280.606006704881,4267.3414962591205,4240.84909647962,4201.745599254196,4150.758727922326,4088.7852063212767,4016.749891662859,3935.568373003231,3846.186441027042,3749.6617938619197,3647.014473658487,3539.189839907828,3427.0885947238658,3311.663440951301,3193.803632226569,3074.2983589456794,2953.8505392597062,2833.171412468393,2712.9163324325464,2593.6469262504847,2475.8338085502755,2359.914355247764,2246.2986256876134,2135.323701465273,2027.256032980404,1922.301633696448,1820.6578183627412,1722.4783734481334,1627.8707765879867,1536.8975781428148,1449.5864671601475,1365.9616480638783,1286.0179084537365,1209.7262594564875,1137.0346205946466,1067.8696927338365,1002.158517296771,939.8163524016577,880.7478737513659,824.8498485809014,772.0111356574015,722.1146443420449,675.0491812771244,630.6984045076522,588.9451322522984,549.6726500369665,512.7647106947909,478.1055343661402,445.58297832270534,415.089971004173,386.51956951996624,359.768368873321,334.73653549697866,311.32780725318815,289.44949343370365,269.01258486963104,249.9332019301869,232.131007659539,215.5289283111082,200.05339617195312,185.63434956276956,172.20523283789095,159.70299638528843,148.06809662657054,137.24413176947914,127.17849719779828,117.82268133871551,109.13044358124233,101.05776944878241,93.56287059913205,86.6061848244795,80.15037605140564,74.16033434088337,68.60318103419534,63.44949534378718,58.672325222701815,54.24561347298562,50.144727290479,46.34645826481622,42.82902237942566,39.57206001152947
F,11.719954002302117,13.02926070774481,14.546784583073812,16.336248090097193,18.452127209245788,20.9456123004699,23.867600338634272,27.27201259508774,31.216673804512652,35.76457661587741,40.98579156203752,46.95708643911019,53.763253554862295,61.4988417406404,70.26847488934628,80.18658244516921,91.37940249970382,103.98737704772857,118.16530417474863,134.08272438503462,151.92205453243858,171.88527481198477,194.19535081113125,219.0967848709775,246.8494193856119,277.7277807635862,312.03529974044096,350.1050945499186,392.298196646398,438.97650977916555,490.51422916565895,547.3208634229808,609.8416729870005,678.5411681442375,753.8357261450349,836.1469250221978,925.9265077133972,1023.6548348219595,1129.75018685207,1244.5112840104327,1368.2299616199452,1501.200775263751,1643.671797137153,1795.6269730048755,1956.9391316965946,2127.4438608183227,2306.8967824747847,2494.7130935155806,2690.170514515373,2892.4166279489746,3100.305324306568,3312.533047767974,3527.7207271824304,3744.219856705713,3960.198156507218,4173.8120835321915,4383.107867983825,4585.988407107727,4780.477651829394,4964.687861299383,5136.6706270679315,5294.674906193557,5437.201122101569,5562.86956603602,5670.512187878646,5759.282244340648,5828.595202498068,5878.0812504909845,5907.6568632573935,5917.50003643187,5908.00353474745,5879.832464727123,5833.806435002121,5770.865128881203,5692.090370462225,5598.7857252545155,5492.274174607346,5373.848670155812,5244.830645578941,5106.683421425018,4960.806223871503,4808.4875241221225,4650.946642533488,4489.464061607302,4325.227603234051,4159.28662123497,3992.5705534687245,3826.0141654653817,3660.4733345731947,3496.678002102652,3335.235932343514,3176.7082481640514,3021.6168217342906,2870.38709274878,2723.351625695184,2580.7633265236323,2442.8619196286913,2309.8296104369215,2181.7887541758496,2058.8036874358572,1940.8936260813093,1828.0724752588224,1720.3161989439475,1617.5707411667756,1519.752916366083,1426.75278986064,1338.4608492752589,1254.7526118881997,1175.490740966948,1100.528496311294,1029.7097342533275,962.8713611491805,899.8580203555142,840.5082816010223,784.6603275224446,732.1536088927455,682.8288446211092,636.5280217529448,593.0982460065418,552.3933801178557,514.2680891300508,478.58205587022917,445.2000219951245,413.99178799110445,384.83221317416826,357.60132937559655,332.18587990534706,308.4776292944237,286.3728919267923,265.77276607992985,246.5831339248243,228.71466152597458,212.08279884139154,196.60777972259635,182.21405914929193,168.83109920940424,156.39398096395425,144.84085371302822,134.1128699543643,124.15418538335322,114.91195889303692,106.33635257411028,98.38053171491934,91.00067120957048,84.15748844734392,77.81499036994057,71.9384441228466,66.4950256532477,61.45381971002889,56.78581984377472,52.463928406769064
G,1.00456748591161,1.122053583317728,1.2854215530359558,1.5205730804855164,1.8476675046329634,2.2841703659153842,2.8464253664616614,3.5513892603994983,4.417124251563096,5.463465869472868,6.713006809137005,8.190915292665679,9.925607802327182,11.949553193201925,14.29938569719798,17.015991300211546,20.145514105548955,23.740195934818757,27.858437001647825,32.56544024364365,37.933282225230315,44.04312416868563,50.98569952838667,58.86168360765667,67.78158468299216,77.8660569789629,89.25032205019794,102.08444373957903,116.53354507063274,132.77327215775472,150.99280874585722,171.40224219134603,194.2327518541864,219.73370107256503,248.15614273835084,279.76744927334755,314.85981905681507,353.74993812015833,396.7540869582076,444.1691349319594,496.3071574008555,553.499042435397,616.0780221085937,684.3030166496042,758.4050746402563,838.6122526174496,925.1322650195663,1018.0430704937091,1117.3625522361303,1223.0446358554125,1334.8973456417395,1452.6259288978335,1575.8635813674996,1704.0647427293188,1836.525509977653,1972.461668928182,2110.944900694429,2250.8606354084454,2391.060439003845,2530.3411228500922,2667.327165800418,2800.651424483838,2929.009890427617,3051.0484522974552,3165.4378868211693,3271.020340062728,3366.760647429307,3451.662697687674,3524.928535487045,3585.9824166161857,3634.3896785738275,3669.873452295791,3692.3544432539493,3701.9407888562077,3698.8758363243596,3683.5853101566126,3656.609983435012,3618.5673441963854,3570.1611396138815,3512.2423264213835,3445.6925938342615,3371.372771114785,3290.1450098875985,3202.965221047811,3110.764779828441,3014.396104126305,2914.6460143667596,2812.3393293185195,2708.265225983976,2603.118493064937,2497.5015487847704,2391.9936789288536,2287.1606637866635,2183.4857639794636,2081.369693910483,1981.1435781100872,1883.138219950105,1787.6353144635214,1694.8566474314032,1604.9656194378606,1518.0809845375434,1434.3218771900024,1353.7690601619304,1276.468733954436,1202.4333998526638,1131.64453099489,1064.0845442522473,999.7193507222229,938.4968502374654,880.35046312244,825.199130193421,772.950297869295,723.5187105209549,676.8093998203055,632.7227563531,591.1564288529464,552.005324201308,515.1616074275033,480.5201023091141,447.98117097768466,417.442075200614,388.80246813663007,361.9644501613452,336.83256886725746,313.3138190637493,291.31792529607225,270.7607819245082,251.56058473532357,233.63812778795312,216.9175219776617,201.32619503554346,186.7948915285224,173.25767285935268,160.65191726661777,148.9182511502188,138.00155983064803,127.8504179647461,118.41570021195749,109.65055614993044,101.51041027451714,93.95296199977314,86.93818565795824,80.42833049953553,74.3879277831993,68.78545774068091,63.5920506836969,58.77957140002087,54.32138950811972,50.19237945715343,46.36892052697521,42.828896828131334
H,1.4231372717081143,1.5908779679797642,1.8304172269514705,2.182807217610878,2.6788941915049667,3.3441473725739996,4.201157653848782,5.272374551267566,6.580843699595085,8.151138797430912,10.010857917459585,12.190136845250432,14.722427710355557,17.64560684405135,21.00201305394094,24.83803980155676,29.205297598897197,34.1615904406473,39.77096729571439,46.10378680009279,53.236127531301335,61.25250016308813,70.2463897920701,80.32049422020415,91.58442961157512,104.15455453016817,118.15965760507437,133.74127310074988,151.05306292012762,170.25032976645605,191.49452297665968,214.962600285799,240.84721276405915,269.35026380960556,300.6558487187769,334.95170623668673,372.43954917187966,413.33445018991625,457.8279640867961,506.06407000555413,558.1854823605821,614.3377136334218,674.6486241427459,739.1371009803233,807.776048434353,880.5233605065929,957.3037139062797,1037.8970158100262,1122.0234529987003,1209.346091545177,1299.398986977804,1391.6446585286692,1485.509197374716,1580.2962108202194,1675.222384230407,1769.493194632098,1862.2580649790225,1952.5933781841536,2039.6219823133445,2122.4983575472816,2200.3385852725783,2272.3397210131034,2337.806371011339,2396.0876625565306,2446.6204521033565,2488.9856884920946,2522.880076986947,2548.089539676696,2564.5307970521867,2572.2428958788187,2571.361319404686,2562.1424792606294,2544.9185994486834,2520.0828105692403,2488.0940173268923,2449.5124119383863,2404.912597561439,2354.8607064252046,2299.938925786864,2240.795602825802,2178.053839679889,2112.289255908721,2044.0484639946028,1973.9080147579325,1902.40440534022,1830.0123393256379,1757.1531519030766,1684.252185282527,1611.700033864522,1539.8302583301997,1468.921069613107,1399.2301877398604,1330.9982907449378,1264.422097057926,1199.655908451998,1136.8177298337494,1076.020133820393,1017.3495383011661,960.8648963549597,906.5985374169726,854.5621518602213,804.7653009019173,757.2001421087253,711.8449934542078,668.6647445678599,627.6119600298939,588.6394939048593,551.6933227499699,516.713440696612,483.63545204753257,452.39057127683395,422.9067581151997,395.1155196550693,368.9455018618087,344.32509089504674,321.1831773490239,299.4491562525918,279.052927069215,259.92667016947695,242.0055995461373,225.22521192200065,209.5232316505366,194.83962965576438,181.1166234322543,168.29867704512623,156.33255385835108,145.16802339111754,134.75707609241226,125.0537233573835,116.0141080161654,107.59650433387762,99.76131801062557,92.4710861815008,85.69047741658026,79.38603837342575,73.52654523431863,68.08328151960214,63.02889298303222,58.337358380349094,53.98398946927737,49.9454310095258,46.199660762787694,42.72598949274037,39.505063862443755,36.51955927626472,33.75361509922731,31.191921469952767,28.820013206012952,26.624269803930247,24.591915439177615,22.711018966178543
I,6.697116572744068,7.451106373532385,8.354704862010044,9.465143488455858,10.82684704810579,12.477484852487782,14.45117103525686,16.781981412363926,19.504948474482656,22.657283673256636,26.28036984644143,30.41907569557385,35.12268976133799,40.4465291390754,46.45199111605474,53.20551886796406,60.78013777086134,69.25710944937782,78.72600191348026,89.28403085612993,101.03432908473147,114.09065372603527,128.57826696176534,144.63410661615893,162.4010485000971,182.0276256947783,203.67772653496954,227.53108751574655,253.78165468765835,282.61791680926234,314.23175607089445,348.833600861228,386.6526799712474,427.9258805274016,472.85456286195034,521.640634152685,574.5024019709415,631.6736267533997,693.3484521351952,759.648878433831,830.6954245662884,906.613090554006,987.502913031021,1073.3174891352846,1163.9535748143448,1259.2959407777435,1359.1932083605602,1463.311753538004,1571.2528658592375,1682.5567505847325,1796.6127448172585,1912.733700558491,2030.200443412976,2148.1540374302717,2265.6411385109195,2381.705318144086,2495.3315808672332,2605.426070357706,2710.95606388698,2810.931417927343,2904.321416262131,2990.193659967248,3067.743640328958,3136.2217176801523,3194.9831391486887,3243.551893511939,3281.5883124280194,3308.8601261803697,3325.289013950936,3330.9401778816637,3325.9938658916085,3310.7757984454256,3285.7013846921786,3251.2579044446493,3208.0121715820146,3156.654528884496,3097.89245435042,3032.422991410782,2960.9630421777706,2884.3114327783105,2803.236575963538,2718.449135564103,2630.624731498253,2540.4768770765477,2448.670473026057,2355.794575566284,2262.3727923820575,2168.9345168682776,2075.966798245418,1983.8860794305065,1893.040250581257,1803.7521414391445,1716.3240107333568,1631.0033169630997,1547.9845071297198,1467.416691057625,1389.4425735651612,1314.1722701947208,1241.681258326439,1172.011418567376,1105.1786079879034,1041.1962535135121,980.0558477763602,921.7312079631072,866.1789913981613,813.3401030162901,763.155890385159,715.5590211651034,670.474389185289,627.8211245238983,587.512593508126,549.4578668200043,513.5705935662629,479.76071174233215,447.93767390157825,418.0114267212079,389.89241100226695,363.4915616696426,338.72266700885353,315.50343294504046,293.7517902973686,273.3884277287267,254.33681669592602,236.52321144970102,219.87664903470838,204.32902794290646,189.81615379089806,176.27659766751543,163.65145496907442,151.8845149324223,140.9222606349374,130.71386899452963,121.21121076964025,112.36885055924186,104.14375667873288,96.49578688548934,89.3879471910237,82.78498202527814,76.6533391967987,70.96116989273568,65.678328678843,60.77637349947898,56.228565677605545,52.009873741149875,48.09788653707274,44.47207309267704,41.11259799863859,38.00071295620911,35.11875677721602,32.4501553840626,29.97942180972783
J,1.1719954002302118,1.310634331529619,1.5112269477303897,1.810327802036484,2.2365618188784793,2.814927888421272,3.568978431793294,4.523223563650365,5.703779251589354,7.1392684069501255,8.862164597710048,10.908527909971632,13.318944156919205,16.139612302262687,19.42250530099099,23.225530869265167,27.61393726812188,32.66147734146288,38.450494360539764,45.07287757750363,52.6302364548473,61.236981938305654,71.02100801554502,82.12422102532392,94.70263232146259,108.92694206645095,124.98862319257921,143.1003018261211,163.49618009723207,186.42660544746806,212.16229035033194,241.00440070270946,273.28482044222096,309.3627805560439,349.60399739971115,394.4003453572548,444.181556924709,499.41482972219194,560.5732410974613,628.1111596893677,702.510831773398,784.2874606958262,873.9678800026062,971.9896780794486,1078.7628165632514,1194.7036193374881,1320.211369404057,1455.5205110389256,1600.7936768107447,1756.1153872522202,1921.3774584467612,2096.3343639686623,2280.6440902874165,2473.713734863022,2674.7205269668443,2882.7166226187064,3096.5313658483574,3314.6982556595835,3535.6684199910383,3757.77586940191,3979.0464836857604,4197.462367767061,4411.045151761524,4617.668822204394,4815.168501661137,5001.587032562391,5175.097662822552,5333.842960951248,5476.23295771901,5601.007463584058,5707.0871755011585,5793.572891235252,5859.903343865363,5905.854085990753,5931.41076159852,5936.826338257659,5922.598453117189,5889.415871960956,5838.142812229181,5769.8907331271175,5685.884040859614,5587.3702045150185,5475.643869557876,5352.183356941542,5218.472620018807,5075.8984430053515,4925.769960468442,4769.488375708967,4608.425911514413,4443.808462367879,4276.71763029753,4108.212417653124,3939.351487796151,3771.0538362029674,3604.0949164998015,3439.130537979797,3276.830164603458,3117.781690066517,2962.4613485266404,2811.23619145568,2664.3909836669272,2522.2199560624026,2384.946557543627,2252.7251917156605,2125.642798324095,2003.7242764729522,1886.999486150005,1775.4678443116368,1669.0900842527806,1567.7949642075012,1471.4792673489853,1380.0141788883293,1293.2868613340922,1211.163822328019,1133.498914035409,1060.1372140180679,990.9150252343069,925.6598760389453,864.2029673942567,806.3869030513375,752.0448835852549,701.0124210810003,653.1274640926702,608.230397643466,566.1640432256922,526.7744233207949,489.92021444875496,455.4625970403787,423.2659858170574,393.19995526905706,365.13923965551766,338.9637330044538,314.55848911275564,291.813721546187,270.6253658269175,250.89783774653148,232.54095849393065,215.4683443987858,199.5974056861162,184.84934647629098,171.1491647850269,158.42565252339074,146.61139549779728,135.6427904208784,125.46401521295519,116.02408158349118,107.27269901399887,99.1621921062133,91.64750058209171,84.6861792838142,78.23839817378291
