EpiState,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
S,1.0617207605849948e7,1.0613346671986667e7,1.060915072369524e7,1.0604642461555341e7,1.0599829968926126e7,1.0594712096101662e7,1.0589281134258837e7,1.0583525586953485e7,1.0577430388277601e7,1.057097844147659e7,1.0564150730506962e7,1.0556926219584148e7,1.05492825635771e7,1.0541195965525301e7,1.053264087506703e7,1.0523590269012105e7,1.0514015552118184e7,1.050388643240259e7,1.0493170893101048e7,1.048183560957537e7,1.046984516910638e7,1.0457162017945815e7,1.0443746461316347e7,1.0429556539091442e7,1.041454933350938e7,1.0398680354294743e7,1.038190227383683e7,1.0364164919179523e7,1.0345415272021294e7,1.032559747055687e7,1.030465516729691e7,1.0282532250357665e7,1.0259169275431186e7,1.0234503227864506e7,1.0208467522659624e7,1.0180992004473496e7,1.0152004811511585e7,1.0121439511745395e7,1.0089228431416359e7,1.0055299844900642e7,1.0019577974498652e7,9.981982990435082e6,9.942431484041769e6,9.900848496261083e6,9.857167981198348e6,9.811320712642228e6,9.763233793035472e6,9.71283065347489e6,9.660031053711364e6,9.604761317877531e6,9.546973101805435e6,9.48661947204894e6,9.423651477062538e6,9.358018148698062e6,9.289666502204668e6,9.21854993984523e6,9.144661836451784e6,9.068004735059248e6,8.988581220584579e6,8.906394140766876e6,8.821446606167423e6,8.733753331922371e6,8.643380703537034e6,8.550406048656425e6,8.454907626923647e6,8.356964875904034e6,8.256658422331832e6,8.154094040939214e6,8.049428618647677e6,7.9428212481344845e6,7.834429658263671e6,7.724410214086064e6,7.61292094599996e6,7.500163320862086e6,7.386361115757763e6,7.271730112034154e6,7.156478567395512e6,7.040807218534537e6,6.924929009816216e6,6.809089616337126e6,6.693523072978354e6,6.578448701894453e6,6.464071112513458e6,6.350585729506114e6,6.238208661456685e6,6.127146724120197e6,6.017587014035571e6,5.909697469018515e6,5.8036275227708295e6,5.699527817341835e6,5.597543278775965e6,5.497798562748017e6,5.400399886021699e6,5.3054350264496105e6,5.212978459556779e6,5.123101162916103e6,5.035854934381189e6,4.951278539306447e6,4.869398111264562e6,4.790227152046504e6,4.713771456535883e6,4.6400236123999525e6,4.568960550570578e6,4.500555308008741e6,4.434777111853189e6,4.371591379420447e6,4.310958671547595e6,4.252823160659231e6,4.197120645454249e6,4.143788357348398e6,4.0927650599981397e6,4.0439910493006413e6,3.997405661614556e6,3.9529336360561247e6,3.9104976304698875e6,3.8700247173687625e6,3.8314463217914295e6,3.79469822130231e6,3.759716591239074e6,3.7264252185346372e6,3.694750695756496e6,3.664624595972716e6,3.63598332361185e6,3.6087681144629545e6,3.5829210607629e6,3.5583759790512277e6,3.5350703870222047e6,3.5129463077023895e6,3.4919502147511328e6,3.472033032460594e6,3.453147742240794e6,3.435241138873938e6,3.418263023482418e6,3.402166936980389e6,3.386910012697459e6,3.372452976378678e6,3.3587596872710176e6,3.3457906650309144e6,3.3335066935449913e6,3.32187169946796e6,3.3108523239670545e6,3.3004179227220207e6,3.2905405659251222e6,3.281193715997806e6,3.2723477230095994e6,3.2639750230517164e6,3.2560501048280667e6,3.24854939430764e6,3.241451254724494e6,3.2347359865777716e6,3.2283849050828824e6
E,14460.630608937197,14684.582938079291,15154.818001855916,15797.098119258337,16566.484360148334,17435.879397241868,18390.30234485841,19420.909715756745,20524.460010298284,21699.905754245003,22948.065676955746,24271.72251454642,25673.93136331747,27158.24684851736,28729.244938454147,30391.705750788446,32150.700737336167,34011.809445034814,35980.979318105004,38063.497770619266,40265.3740195922,42593.435236852536,45055.326549042926,47659.59993669173,50412.553905464905,53319.5855086884,56387.721953723274,59625.635503025565,63043.64347414625,66653.6969244641,70463.99548192423,74477.35297113335,78699.23360753643,83138.2851517919,87806.338909772,92718.40973256288,97889.22890058601,103317.39833941725,109000.40379541533,114941.72855608692,121150.85435216653,127643.26135761553,134439.69234372707,141542.4876094252,148932.7413419825,156599.86256122575,164543.4027184346,172773.0556963413,181308.6578091312,190161.13801768702,199292.35223534302,208668.16021687674,218269.7314190103,228093.54305144507,238151.38007686043,248454.34799595716,258943.81464846208,269557.07808872056,280252.8624773423,291011.0263554457,301832.5626446563,312716.63897820585,323576.2747285426,334326.4567900522,344909.8327035409,355296.28210152395,365482.892137353,375441.3686575233,385060.5757362104,394253.9767910841,402967.63208879065,411180.1987449504,418895.56105161307,426043.83768884395,432528.4023488776,438289.7486967896,443303.6770584309,447581.2870144204,451117.70738161827,453838.9513204181,455701.40626178024,456694.72831946786,456841.8422900464,456183.67716848565,454697.57987513964,452368.6191075881,449209.3758326148,445258.15490700153,440577.18412877637,435197.9235295092,429135.2888357058,422423.51116980135,415110.8184090213,407259.43518538005,398932.26980604127,390164.984854293,381007.7966951548,371512.36160684,361730.7920668098,351715.656751773,341508.9487567905,331158.0477169126,320724.42437752924,310256.77934194583,299790.8492733216,289349.40689467144,278946.2768208019,268625.32853612193,258437.0882530882,248415.88655329266,238580.22000990418,228932.7511876679,219468.78760739454,210220.55893978063,201220.8430773226,192486.8862906228,184020.74826010098,175809.30207599353,167836.95477504784,160127.06873232973,152696.330874285,145549.3150079585,138678.97881946937,132066.66387401076,125694.73513058863,119576.35102438202,113718.47936674893,108119.41058420127,102768.93046350467,97648.3201516782,92737.8653872083,88043.5439987156,83568.19841602781,79308.486809372,75255.32725146509,71393.89771751338,67705.0400088229,64185.81385163379,60838.76006946342,57661.472059578766,54647.74986801874,51787.60018959413,49067.2363678876,46473.129453600355,44006.65376653512,41667.53399491525,39452.72899904107,37356.75534816423,35371.687320487676,33487.15690316586,31693.368269788436
Ia,9467.276191916524,10395.510220907943,11239.305344026634,12045.281580240695,12843.30923737291,13653.141201120152,14487.723827175465,15356.68912595595,16266.657088382919,17223.249449742,18231.288905859285,19294.744077159747,20417.754790044637,21604.504397822555,22858.913892507382,24185.150584039045,25587.590143473262,27070.689636849092,28639.078911540586,30298.181784369128,32053.40807393901,33910.0971414237,35873.5178905657,37948.810121473995,40142.863446367366,42463.50133847319,44917.95788111488,47512.86877224846,50254.271324462476,53147.587593695986,56200.69347400141,59424.94798375603,62830.28900181214,66424.89773066061,70215.19869643082,74205.85974889115,78401.55675036131,82816.28094873564,87464.45429750974,92356.40247993928,97498.35420423592,102892.44120356668,108537.04224481802,114439.93093859787,120620.5849809632,127091.93643269832,133859.07567905865,140919.25142977134,148261.87071903472,155878.99429082763,163789.19096578477,172006.01679890408,180530.35404417483,189350.41197795715,198441.72689898175,207776.28858295176,217363.54050439602,227211.68374156093,237311.16362773685,247634.80337703638,258137.8040843926,268771.5450422142,279535.4130969483,290423.6991933062,301409.21697126224,312443.5457117843,323457.04582929483,334392.2030018004,345241.23146754596,355979.24630298564,366559.2538954174,376912.15194298205,386951.61067377764,396640.04562309146,405959.85138863506,414872.44210554165,423319.4984610281,431222.9727191744,438520.25838402356,445202.5240863528,451248.1000125944,456620.43522180815,461268.0976456819,465135.3464847399,468220.22209311073,470525.7373427186,472044.6402568545,472760.58780016814,472649.3721567016,471717.3834072393,469992.5437903395,467496.08067990676,464245.6396328903,460255.28438928357,455544.64108943194,450158.04852317023,444133.3004982912,437509.23136691103,430326.37277198845,422626.9536473222,414462.39301151317,405878.38937089196,396908.4426122505,387593.9738540651,377984.4669523761,368137.4685007901,358115.1434194555,347950.6140190624,337666.9968866109,327296.5303271546,316880.2533237742,306468.0055375782,296111.45750258665,285826.5373975047,275623.6380765292,265522.21574763744,255550.54421604815,245745.71488421946,236143.0609681123,226740.85263105712,217539.18205831328,208545.7212326129,199775.32891470086,191250.05064333498,182988.4989545176,174980.18784503147,167217.68233998894,159699.59599271163,152430.45229824146,145420.68469333986,138680.23128328222,132195.41377581045,125954.14845028296,119949.2414091182,114178.02331096452,108642.34937069999,103347.38766146573,98283.69770373961,93436.61251258948,88795.81855598025,84354.40869602594,80108.88218898982,76059.14468528389,72204.93669860119,68532.88634979505,65031.258323079186,61691.06831495608,58505.800445218585,55471.40725695001,52586.30971652443,49848.69689655598
Is,3850.578774199503,4228.594054270623,4573.034788491579,4902.636572415305,5229.385236347718,5561.1979451135,5903.259270082722,6259.429404567042,6632.364201013402,7024.3250368950785,7437.257576343162,7872.769872574035,8332.541570500878,8818.271752819444,9331.559559269734,9874.105565512049,10447.693272191518,11054.137325320113,11695.327481519795,12373.482253281276,13090.811210439912,13849.491618286329,14651.668437566363,15499.433402342855,16395.603885023895,17343.37904504295,18345.71336630444,19405.312986610537,20524.635697661113,21705.885303795185,22952.280419584185,24268.468596365743,25658.512494998933,27125.752779687213,28672.80811797844,30301.57518076494,32013.957966072423,33815.68480970941,35712.657817811785,37709.100581987404,39807.55789330235,42008.895742280496,44312.442873579705,46721.38316897165,49243.694484122185,51884.67376828831,54646.40733204122,57527.77084726646,60524.42934716387,63633.1356963038,66861.50056879752,70215.08265590329,73694.25088123693,77294.1847379663,81004.87428881106,84814.8559969226,88728.00454860629,92747.68952031856,96870.00673091102,101083.83277944374,105370.82504518433,109711.07252330327,114104.33007641241,118548.26977722315,123031.76215251427,127534.97549861752,132029.38222564515,136491.42067739498,140917.91328722285,145298.67887602118,149614.4748167244,153836.99703430908,157930.88067121856,161880.7460941831,165679.41320335836,169311.1052183408,172751.95903678733,175970.02729454826,178939.69887086406,181657.41923694254,184114.37666669235,186295.66379711527,188180.27762830674,189745.45456417868,190990.48518610816,191916.69969170247,192521.22404949946,192797.46146051443,192735.59511487337,192338.34915729362,191617.25937520416,190581.11583207888,189237.2417215762,187591.49336753946,185652.00467148653,183437.0062748659,180962.0280061009,178243.0256652602,175296.65038337003,172140.24862241314,168794.91953706986,165279.37062292203,161607.30125447223,157795.6553140827,153864.67912424443,149837.92144757783,145740.81539917845,141586.85359914726,137385.43567052673,133149.69511640648,128896.36417307002,124645.77380999437,120418.99711833907,116222.47055242286,112060.37329376407,107940.58883191984,103874.6036191106,99877.5070702194,95963.66669914917,92132.30445688606,88383.39552730764,84720.0099106573,81148.15146175706,77676.75789000741,74313.36510250323,71053.64036023169,67894.50319215775,64835.34000205486,61877.94741222152,59026.532263481036,56285.100336592994,53648.0382087814,51110.3894901767,48669.19010161625,46323.31917590021,44073.4990577914,41921.80188236675,39864.35638719725,37895.17157145451,36010.02906374531,34206.096576063814,32481.927903791806,30837.462925698317,29272.575385474167,27781.812374396497,26360.390530044686,25004.644743199104,23711.913137022053,22480.537067057692,21309.861121232243,20199.13710276832
R,20613.03740499422,22887.784957975928,25364.963648913388,28031.49656266336,30882.740770908593,33919.398544773816,37145.99549833829,40569.266228234104,44198.05346127399,48042.39782812484,52113.47882566806,56423.69130450359,60986.21307357915,65815.095952593,70925.46301199577,76333.34397593212,82055.74080288311,88110.71087908486,94517.40149636992,101295.79954317214,108467.25210952466,116054.50154037555,124081.68543558753,132574.44976486187,141559.18661839364,151063.4353427845,161116.72822014318,171750.5960221603,182998.56801010796,194896.20391380467,207479.85542338426,220786.1563210479,234854.36096176016,249726.51426313585,265447.45170543913,282064.7993315853,299628.1303914398,318184.76633509254,337783.76529808925,358477.9009311246,380323.6626870389,403381.25582081516,427714.38895554154,453383.7029188699,480445.9460382225,508961.8245143342,538996.4668082673,570619.4236414131,603904.6679954903,638924.8922463781,675739.872748276,714410.9955978565,755004.0195819178,797589.0754979111,842240.666153936,889032.6280510838,938016.8701398552,989242.0981974431,1.0427603475222643e6,1.098626869870405e6,1.156900133455608e6,1.2176343479280758e6,1.2808520237087896e6,1.346570098868534e6,1.4148069372686918e6,1.4855821752063797e6,1.5589167132779094e6,1.6348151983753447e6,1.7132455353194159e6,1.7941727906724303e6,1.8775616659961506e6,1.963376497851791e6,2.051578837214645e6,2.1420933742780956e6,2.234821872577189e6,2.3296661456617154e6,2.4265276558930622e6,2.5253075122506134e6,2.625889316689055e6,2.7281187724012523e6,2.831840587841466e6,2.9369013975892947e6,3.0431497623496745e6,3.1504312684461256e6,3.2585598637347952e6,3.3673439825708144e6,3.476598143193801e6,3.5861425465020686e6,3.695802526448215e6,3.805390328751162e6,3.9147102946674386e6,4.0235765473971134e6,4.1318121709046005e6,4.239249209918674e6,4.345724225772617e6,4.451069916537378e6,4.555132174237959e6,4.657766664980533e6,4.758838507134953e6,4.858222271334747e6,4.955797787834706e6,5.051460187871155e6,5.145122655879174e6,5.2367039117112635e6,5.326128125888639e6,5.413324919601201e6,5.49823115512342e6,5.580809915593597e6,5.661039646331698e6,5.738900951549347e6,5.814376586247216e6,5.887451456215037e6,5.958116247405704e6,6.026388590365043e6,6.092295316567632e6,6.155861985449186e6,6.217112942574007e6,6.276071319635012e6,6.332764839012008e6,6.387245831894856e6,6.439568133390055e6,6.489782418704849e6,6.537936396747682e6,6.584074810128189e6,6.6282453886150345e6,6.670513572714388e6,6.710943255720312e6,6.749594314522799e6,6.786522682108177e6,6.821780347559097e6,6.855419050324239e6,6.88750367523243e6,6.91809718991955e6,6.947258380979489e6,6.975042058550414e6,7.001499056314775e6,7.02667695135362e6,7.050630639627702e6,7.073416588111882e6,7.0950871490697535e6,7.115691128563449e6,7.135273786453635e6,7.153876836399516e6,7.17154062541438e6,7.18831181666872e6,7.2042344554148475e6,7.21934954516504e6,7.233695226823042e6,7.247306778684073e6,7.260216616434816e6,7.272455917873447e6
Ihsub,263.65044382760584,292.6102182097592,323.61634519422245,356.1671806099914,390.0090317712672,425.0377853457413,461.2506254391975,498.69473265812906,537.4641286858591,577.670634363833,619.4418527991713,662.923046954053,708.2630764203082,755.6169382225618,805.1509728498727,857.036638675226,911.452095419165,968.5844039984562,1028.6286973623576,1091.7792777298698,1158.243957338486,1228.2450315965082,1302.0192790830397,1379.8190015929913,1461.8845793595524,1548.4577107531125,1639.8046515737851,1736.2163523411275,1838.0084582941386,1945.5211817939557,2059.0726523626176,2178.9461231786436,2305.460222145908,2438.9735737551464,2579.8847990839595,2728.6325157968104,2885.664670415404,3051.3004622626463,3225.861323585133,3409.7324178827657,3603.3626474946814,3807.264653599224,4022.008177659847,4248.007917244669,4485.4955427823215,4734.780471340986,4996.265880599151,5270.448708845603,5557.919654979418,5859.187679585134,6174.30275124944,6503.3356577812,6846.481582192399,7204.060084920166,7576.51510382674,7964.263143364762,8367.019872404187,8784.408204665055,9216.206232521985,9662.344630009655,10122.906652822712,10597.901813447039,11086.3972132379,11587.373153179215,12099.997766721679,12623.623180326187,13157.785277646799,13701.659759800968,14253.401452484759,14811.284535863713,15373.813015753502,15939.720723619874,16507.89449702999,17076.277102732063,17642.331008939032,18203.82208210056,18758.810592163554,19305.651137546727,19842.419227495047,20366.248055289547,20874.545417661775,21365.08037388416,21835.983245770014,22285.570840384666,22711.36894702087,23110.99097569638,23482.460318277164,23824.19299940513,24134.976003738793,24413.304104131203,24657.58482637395,24866.629976855347,25039.597443762515,25175.9911970814,25275.48591692524,25337.6279361729,25362.396472164455,25349.977842751974,25300.75133129062,25215.289186638667,25094.193171034476,24938.45228806345,24749.490692021456,24528.671706117355,24277.294529079034,23996.594235153647,23687.809010280394,23352.85706739534,22993.907589460297,22612.92738580519,22211.683423561477,21791.742827662023,21354.609768557068,20902.466307216768,20437.534353281568,19961.758112343574,19476.8083130645,18984.08220717564,18484.918336520368,17981.289046548027,17475.000271137425,16967.588771954215,16460.330435845404,15954.240274839402,15450.291642138936,14949.910638094869,14454.331759337334,13964.566847166667,13481.408199507307,13005.4285709078,12537.115124954847,12077.318675768018,11626.746736706193,11185.93803618285,10755.271103599318,10334.964269344775,9925.101775112751,9525.992377661325,9137.958343647144,8761.19031718861,8395.773561012913,8041.68795645606,7698.808003462859,7366.977040995259,7046.25173492518,6736.610287445476,6437.962550850677,6150.156729955478,5872.979382094733,5606.1554171234975,5349.398678267539
Ihcrit,166.22072618540426,184.4843856293516,204.0678628783831,224.67341953084517,246.1503120911591,268.43550233600746,291.5251000103652,315.4440101118825,340.24460692193543,365.98985775900996,392.75245813387,420.615976539623,449.6670588928295,479.9970111998433,511.7044239742416,544.8918508182976,579.6670499386073,616.144266899718,654.442972700367,694.6825278069356,736.9914153358641,781.5078453386823,828.379754802006,877.765098491271,929.8140588390961,984.678114526321,1042.5244763603873,1103.5361694213475,1167.9120330618634,1235.8665815100358,1307.600168903932,1383.2912915892912,1463.1409177490953,1547.3753732790283,1636.2463417874735,1730.0308645955183,1829.0118328427461,1933.3908833167675,2043.3712620290528,2159.1965108536797,2281.15047222835,2409.557289154372,2544.7772072650623,2687.0727401779945,2836.591223759766,2993.529149845722,3158.142232184434,3330.7454064376934,3511.712830180516,3701.367301115461,3899.742516186606,4106.885428298648,4322.921531567113,4548.054850120565,4782.567938100603,5026.726238113592,5280.353559606655,5543.21521239608,5815.174452985449,6096.190853036681,6386.320299369997,6685.572313078329,6993.361932424537,7309.049188141631,7632.112646863614,7962.146996953929,8298.862899886408,8641.743686299766,8989.62763325156,9341.428034338964,9696.203259832764,10053.156756677314,10411.58853441374,10770.201618553676,11127.394523234276,11481.757338587968,11832.066151308378,12177.282997261815,12516.19306097351,12846.984112039372,13168.017115885272,13477.881564201189,13775.395474941191,14059.494688566083,14328.612868751059,14581.238095824036,14816.118130605062,15032.249466854757,15228.863592152537,15405.005840376523,15559.664485343648,15692.08407153643,15801.728779502762,15888.282425855889,15951.536965015488,15991.200767396629,16007.255992734008,15999.816716023568,15969.119973947572,15915.525764874557,15839.412575084742,15741.401772547211,15622.390728379041,15483.239090819001,15324.766694548925,15147.75356069369,14952.98201816796,14741.66275703909,14515.166156183263,14274.73505662425,14021.4861569624,13756.410013374632,13480.457435195553,13195.007824601813,12901.466269208937,12601.062219432744,12294.852131749893,11983.719468697804,11668.510573754475,11350.472991337618,11030.749117465299,10710.310982130697,10389.965495111837,10070.354445971634,9752.09329209411,9436.084213473636,9123.108141232116,8813.805061124447,8508.675983449955,8208.082943052488,7912.333824421074,7621.9668180232065,7337.429397869491,7059.062208639213,6787.1045032921,6521.694143068325,6262.884130973956,6010.869650926593,5765.8544299562245,5527.958900191083,5297.236821630487,5073.675282144831,4857.194697475597,4647.695792056172,4445.21431416008,4249.736340276321,4061.204722946109,3879.523334569433,3704.557067405031,3536.13183357043,3374.066559223136
D,78.99999999999986,87.76123826039235,97.47031339712314,108.18500993554956,119.95212523362214,132.81352240763727,146.80907525868102,161.9798292330664,178.3682258221941,196.0199622831168,214.98419727638378,235.31362357660402,257.06549014202864,280.30157352275023,305.0881339198419,331.4966221321914,359.6037805713214,389.491640222064,421.24802135394617,454.9672676523414,490.75010745178093,528.7036403096154,568.9413370060129,611.583583104901,656.7599971722813,704.6086449868354,755.2756139476554,808.9150146670752,865.6889809706721,925.76794406685,989.3350829277765,1056.586355264844,1127.7273628099308,1202.9732631812924,1282.548769883564,1366.6881523077584,1455.6379766961688,1549.6664760722022,1649.0547892002676,1754.0936214853702,1865.0832448806816,1982.3334978875173,2106.1641556399577,2236.918445627934,2374.965189820286,2520.6804600389487,2674.4463139445875,2836.6507950365844,3007.6879326530584,3187.96689057181,3377.9364089262917,3578.0515954384177,3788.763897360078,4010.521101618756,4243.767334817518,4488.950146373217,4746.560274883151,5017.0919756457915,5301.018371660866,5598.791367746916,5910.84165054125,6237.589479307291,6579.4957066116185,6937.004373137478,7310.5135667599525,7700.37540037973,8106.896020430737,8530.364902622705,8971.096456192616,9429.34665279362,9905.298663659707,10399.06285960567,10910.681357342453,11440.196732415892,11987.619192003782,12552.86686277009,13135.765411706665,13736.048051898526,14353.396569755298,14987.484450579295,15637.89370556679,16304.111239774875,16985.52885212145,17681.45830140709,18391.205838391565,19114.008095458645,19849.024182776633,20595.33784547218,21351.95978471259,22117.887868453192,22892.08524363101,23673.46812469181,24460.917086947396,25253.27706657558,26049.37622170166,26848.052190619906,27648.11371640691,28448.38251523364,29247.69507307881,30044.902645728875,30838.888577919264,31628.53795755478,32412.743885592863,33190.46097296219,33960.705684602755,34722.55633946599,35475.14666110024,36217.607768406335,36949.113658183735,37668.916662971424,38376.34666737048,39070.8111080444,39751.78154766765,40418.73255730689,41071.19789237462,41708.78598009572,42331.1790944902,42938.13335637333,43529.45839633314,44104.96171234859,44664.51300493956,45208.03941712002,45735.52451358166,46247.008280694,46742.566500223125,47222.27415316976,47686.25245801782,48134.65928755432,48567.688783767924,48985.571357848836,49388.561478508185,49776.904416534926,50150.87410696987,50510.763475192616,50856.883406904664,51189.56274812956,51509.14591662186,51815.965370224716,52110.36141601637,52392.682565601346,52663.28194674372,52922.51730336715,53170.750995554845,53408.344217086844,53635.641781868995,53852.99205767637,54060.74067590039,54259.22987438649,54448.798497434116,54629.78199579669,54802.50953706777
Htot,429.87117001301004,477.0946038391108,527.6842080726055,580.8406001408365,636.1593438624265,693.4732876817486,752.7757254495627,814.1387427700116,877.7087356077947,943.6604921228427,1012.1943109330416,1083.5390234936763,1157.9301353131375,1235.6139494224049,1316.8553968241145,1401.928489493524,1491.1191453577721,1584.7286708981744,1683.071670062725,1786.4618055368055,1895.2353726743502,2009.7528769351904,2130.3990338850463,2257.584100084262,2391.6986381986485,2533.135825279434,2682.329127934172,2839.752521762475,3005.9204913560025,3181.3877633039915,3366.67282126655,3562.2374147679348,3768.601139895003,3986.3489470341756,4216.131140871431,4458.663380392328,4714.67650325815,4984.691345579413,5269.232585614187,5568.928928736446,5884.513119723031,6216.821942753597,6566.785384924908,6935.0806574226635,7322.086766542086,7728.30962118671,8154.408112783587,8601.194115283297,9069.632485159935,9560.554980700595,10074.045267436044,10610.22108607985,11169.40311375951,11752.114935040736,12359.083041927348,12990.989381478355,13647.37343201084,14327.62341706113,15031.380685507429,15758.535483046337,16509.226952192705,17283.474126525365,18079.759145662447,18896.422341320853,19732.11041358529,20585.770177280116,21456.648177533196,22343.403446100747,23243.02908573632,24152.712570202675,25070.016275586262,25992.877480297186,26919.48303144372,27846.47872128574,28769.725532173317,29685.57942068852,30590.876743471938,31482.934134808555,32358.61228846855,33213.232167328926,34042.56253354704,34842.961938085355,35611.37872071121,36345.065528950734,37039.98181577192,37692.229071520414,38298.57844888223,38856.442466259876,39363.839595891324,39818.30994450772,40217.24931171759,40558.71404839178,40841.32622326529,41064.27362293728,41227.02288194072,41328.828703569525,41369.652464898456,41349.794558775546,41269.87130523818,41130.81495151322,40933.60574611922,40679.85406061066,40371.88142040051,40011.91079693635,39602.06122362795,39144.34779584733,38640.79102844836,38094.51982443443,37509.073745643575,36887.66244242945,36233.169580523885,35548.15284103666,34835.06720375262,34097.474131818584,33339.0006224905,32562.820331776315,31771.6604448144,30967.80167587344,30153.428910274844,29331.762037885637,28505.749388602733,27677.89975408492,26850.29593095724,26024.594720811037,25202.384934233043,24385.994851568503,23577.439900569454,22778.371908291112,21990.08418295726,21213.51151396029,20449.44894937592,19699.285493791227,18964.176134575686,18245.000244822062,17542.375606891415,16856.658412413108,16187.98590608671,15536.862028587913,14903.81277360337,14289.149217379692,13693.0103826434,13115.363238600887,12556.002700938458,12014.672833051427,11491.466049085262,10986.346627721798,10499.167273796786,10029.680064524911,9577.536449499767,9142.287250693924,8723.465237490678
Dperday,8.7612382603925,9.709075136730831,10.714696538426422,11.767115298072575,12.861397174015119,13.99555285104373,15.17075397438537,16.388396589127737,17.651736460922685,18.964234993267002,20.329426300220206,21.751866565424624,23.236083380721734,24.78656039709159,26.408488212349457,28.107158439129957,29.887859650742648,31.7563811318822,33.719246298395134,35.78283979943951,37.95353285783463,40.23769669639742,42.64224609888826,45.176414067380044,47.84864781455418,50.666968960819844,53.63940071942004,56.77396630359689,60.07896309617767,63.567138860926775,67.25127233706718,71.14100754508658,75.24590037136237,79.5755067022711,84.13938242419428,88.94982438841043,94.02849937603337,99.38831312806572,105.0388322851029,110.98962339531069,117.25025300683629,123.83065775244003,130.7542899879765,138.04674419235144,145.71527021866348,153.7658539056374,162.20448109199853,171.03713761647293,180.27895791875227,189.96951835448152,200.11518651212663,210.7123019216597,221.75720425867792,233.24623319876062,245.1828115557002,257.6101285099329,270.53170076264206,283.92639601507506,297.77299608604864,312.0502827943343,326.7478287660419,341.9062273043276,357.50866652585995,373.50919362247527,389.8618336197763,406.52062005100714,423.46888219196757,440.73155356991015,458.2501966010024,475.95201086608455,493.76419594596945,511.61849773678176,529.5153750734448,547.4224595878844,565.2476707663071,582.8985489365797,600.2826401918561,617.3485178567696,634.0878808239994,650.4092549874943,666.2175342080855,681.4176123465762,695.929449285637,709.7475369844751,722.8022570670761,735.0160873179947,746.3136626955419,756.6219392404157,765.9280837406063,774.1973751778121,781.3828810608001,787.4489622555865,792.3599796281846,796.0991551260809,798.6759689182511,800.061525787,800.268798826733,799.3125578451619,797.2075726500663,793.985932190398,789.6493796355032,784.2059280380963,777.7170873693112,770.2447116405765,761.8506548632437,752.5903216342522,742.4611073060672,731.5058897774225,719.8030047876694,707.4300043990664,694.4644406739108,680.970439623263,666.951009639232,652.465335067738,637.5880877211029,622.3931143944793,606.9542618831175,591.3250399598161,575.5033160154533,559.5512925909703,543.5264121804477,527.4850964616472,511.4837671123432,495.55821952911384,479.70765294664795,463.9783048480571,448.4068295365073,433.02949621359136,417.8825740809213,402.99012065936057,388.3429380267181,373.9696904349502,359.88936822274644,346.1199317120607,332.6793412248784,319.5831684923053,306.8194536028732,294.3960457916487,282.3211495849633,270.5993811423693,259.23535662342886,248.23369218769662,237.59322153199332,227.2975647821655,217.35027580737096,207.74861822401505,198.48919848609626,189.56862304762763,180.98349836258419,172.72754127108013,0.0
