FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",18824.477041061335,18822.85884196555,18821.05362863288,18819.036040143594,18816.781423232558,18814.265280512238,18811.462826116527,18808.348513767207,18804.895807867088,18801.076781834545,18796.861946192243,18792.22013825429,18787.118133499836,18781.52056060216,18775.38993819354,18768.68629688733,18761.366955374244,18753.386432824278,18744.696504370826,18735.24621432558,18724.98103528524,18713.84282180074,18701.769810377275,18688.696335156088,18674.553659504298,18659.269410006014,18642.76624270692,18624.961833620127,18605.76887872617,18585.094946813144,18562.84381574229,18538.916768662715,18513.20873519746,18485.60796456751,18455.996025591823,18424.24780668732,18390.2326018826,18353.82139615521,18314.88059820449,18273.268388383676,18228.834718011614,18181.42130937277,18130.862040370033,18076.99533119836,18019.666622349996,17958.71389560652,17893.966777358488,17825.24653860544,17752.366094955945,17675.142123234607,17593.420049405027,17507.045123410477,17415.85713225505,17319.690401515163,17218.373795339616,17111.742211424167,16999.685266933753,16882.106799362147,16758.911047118778,16630.002919601196,16495.287997195126,16354.690140624358,16208.217273732025,16055.900745796087,15897.778469233963,15733.895271914109,15564.302915451433,15389.101720046481,15208.491582955043,15022.68739786146,14831.911285864126,14636.3925954755,14436.373433982524,14232.190335661508,14024.239904985767,13812.915632148502,13598.608035051006,13381.704663927589,13162.630262890916,12941.896562285512,12720.004852637365,12497.435010157795,12274.645496743471,12052.085164957427,11830.264409489237,11609.687689105238,11390.819891871437,11174.087123576704,10959.878168672392,10748.594341518421,10540.638671335122,10336.367222665991,10136.090919794815,9940.07554674566,9748.555800003287,9561.77170750981,9379.92026632221,9203.1609173724,9031.616424546322,8865.372874683935,8704.497192429963,8549.038697059423,8399.005386356894,8254.388319060952,8115.161839466277,7981.283577423658,7852.695133714488,7729.313550670972,7611.029876262424,7497.732697542939,7389.309765692012,7285.647996014507,7186.629719461786,7092.1072339361035,7001.924264273233,6915.9323597739485,6833.990974883494,6755.96746919159,6681.729011174099,6611.114984402983,6543.969146880666,6480.145830110615,6419.509663404404,6361.935573881707,6307.299905942897,6255.45938681342,6206.278410459977,6159.631470321151,6115.4030420716435,6073.487583622269,6033.783958747452,5996.175995681244,5960.554047882074,5926.817003159253,5894.871946853371,5864.634161836292,5836.026039579725,5808.961638274256,5783.355212597301,5759.12823168625,5736.208380640214,5714.52956052003,5694.031888348254,5674.65852792352,5656.344861320249,5639.030988020857,5622.661701074232,5607.186211945981,5592.558150518427,5578.735565090616,5565.67870752093
13003,"Atkinson County, Georgia",8375.477041061331,8374.234333045792,8372.855816011446,8371.32818377259,8369.637428273003,8367.768933416222,8365.707427096164,8363.4369354212,8360.940674866188,8358.200962217801,8355.199137103466,8351.915506881964,8348.329212076222,8344.41817894686,8340.159135951455,8335.527466281954,8330.497096156247,8325.040443006592,8319.1284956508,8312.730917319832,8305.81555541729,8298.34841344392,8290.2936509976,8281.613478762969,8272.268964690491,8262.219661371937,8251.422766705828,8239.833118402774,8227.403193985478,8214.083082524952,8199.82201123282,8184.569095066192,8168.270751216844,8150.870510623934,8132.309017973995,8112.524031700933,8091.451733854611,8069.032245738456,8045.2047677251585,8019.90535634776,7993.066924075947,7964.61923931606,7934.489290706351,7902.610785369539,7868.924839002597,7833.370386908534,7795.883769566596,7756.398732632273,7714.8464269372835,7671.163744188328,7625.308840489258,7577.241767598219,7526.921632135304,7474.306596786575,7419.3538803040465,7362.0267038980855,7302.322249048519,7240.246260891379,7175.805380860391,7109.007326677685,7039.860892353806,6968.385348283042,6894.643841045331,6818.7094241110735,6740.656502580499,6660.561033523623,6578.500535173612,6494.573850942294,6408.9225991299445,6321.690238625328,6233.018935257015,6143.049561793405,6051.924174544143,5959.820128855072,5866.932352070294,5773.4482183666505,5679.5479187983065,5585.404463463196,5491.199683606228,5397.14035090015,5303.422199643955,5210.227600290744,5117.72555944774,5026.076201779982,4935.454333163692,4846.025321464752,4757.93756729819,4671.322992577918,4586.297574684733,4502.9767972083955,4421.469547945957,4341.868060191736,4264.249657714275,4188.676754756326,4115.200824963501,4043.8690145449973,3974.7127677305098,3907.753825188955,3843.0045569339186,3780.4679623236552,3720.1410510845035,3662.0091180292134,3606.0456072680636,3552.2218674921032,3500.5072168443107,3450.868942919597,3403.2711493022266,3357.66377997604,3313.9910894707837,3272.1992611165065,3232.236336076281,3194.0522133462014,3157.5964594523166,3122.8069388550566,3089.620479260372,3057.977747331695,3027.8231721669977,2999.104945298793,2971.77179838028,2945.762791795031,2921.0195208043024,2897.487621689721,2875.1166457768613,2853.860059435249,2833.6721072930254,2814.50070921723,2796.2968091939497,2779.0148979431983,2762.612968894531,2747.052518187037,2732.2966921221455,2718.3039495458647,2705.035143802021,2692.454031382232,2680.5271566010465,2669.223851595945,2658.5158847419043,2648.372517840592,2638.763270363248,2629.660086321041,2621.037002578695,2612.87014885449,2605.1377477202664,2597.8191087431683,2590.8912082649404,2584.3326371112516,2578.1235647526646,2572.245651312664,2566.6820475676614,2561.417394946994,2556.4371253621985
13005,"Bacon County, Georgia",11330.477041061331,11329.247108638145,11327.883102985725,11326.372197214498,11324.700831218921,11322.85480919115,11320.819253522808,11318.578554690897,11316.11626078455,11313.414975081025,11310.456270971597,11307.2206240182,11303.687254750937,11299.834071742835,11295.63766967869,11291.073143882299,11286.113960111634,11280.731897025282,11274.897077117374,11268.578006322066,11261.741050543731,11254.350406092222,11246.368099682873,11237.753825773776,11228.465509716376,11218.458943878624,11207.686958809754,11196.09941744119,11183.643215086551,11170.262200340721,11155.898106289467,11140.491315986836,11123.97846616978,11106.292249944941,11087.361416788632,11067.110772546845,11045.461931269734,11022.337920838805,10997.659204334146,10971.341443413536,10943.295497917046,10913.427425867041,10881.638733864826,10847.83421692521,10811.923416954975,10773.811621616433,10733.399324843944,10690.58222684394,10645.25123409492,10597.300017847418,10546.640479391079,10493.184738509119,10436.841891627599,10377.518012770097,10315.116153557701,10249.543417807214,10180.740818018348,10108.65822236917,10033.245866431183,9954.454520214127,9872.235488165988,9786.551316992056,9697.415628306286,9604.856010393889,9508.903766519998,9409.594129943205,9306.966274971337,9201.088337182637,9092.087720959917,8980.100105875084,8865.264832534198,8747.724902577465,8627.630284424406,8505.186360956292,8380.633029586581,8254.207385160642,8126.143848778468,7996.674170578292,7866.05114101226,7734.577364603699,7602.548182332036,7470.2455245672145,7337.937911069701,7205.8873887834825,7074.390718460565,6943.739954731441,6814.203609308428,6686.027148211573,6559.433847764237,6434.653461341777,6311.91543347727,6191.421852523516,6073.348727047695,5957.845985831381,5845.045485509148,5735.0809967008545,5628.061075461765,5524.073085268868,5423.183715244464,5325.438980156146,5230.873871373922,5139.51192515182,5051.353067461226,4966.38811322124,4884.598894612755,4805.958261078461,4730.430178842921,4657.96301739343,4588.490637591172,4521.946006496339,4458.2620087561445,4397.371446604819,4339.204656446711,4283.6740983785885,4230.6875917299,4180.157707113915,4132.001790535365,4086.141963390425,4042.5003080311712,4000.9826287263368,3961.4974540237513,3923.959516789453,3888.289586755538,3854.4144705201516,3822.261820341532,3791.747907745861,3762.793520575296,3735.3253178281093,3709.2757605959314,3684.583112063752,3661.1882041187923,3639.023187407153,3618.0240233732925,3598.1316224749216,3579.2916482842606,3561.454517488042,3544.5747707496143,3528.6021567222224,3513.4865632708265,3499.182060838178,3485.6463244334464,3472.8406336322205,3460.729872576509,3449.280701804716,3438.4553119206107,3428.2186328257003,3418.5383191830624,3409.38459167946,3400.7302370253387,3392.55060795483,3384.822344574004
13007,"Baker County, Georgia",2570.007668986577,2540.755199012206,2509.8341256442545,2477.916200283481,2445.44991940552,2412.741187853089,2379.997308457701,2347.369875473152,2314.96321644258,2282.85897005847,2251.1203911664775,2219.7930772651844,2188.917702975972,2158.5293697993175,2128.6531373840853,2099.3107651268588,2070.522028248455,2042.304253650655,2014.6692779254913,1987.625819784077,1961.1808705205192,1935.3396639259972,1910.1056762887652,1885.4802282457154,1861.4607149587932,1838.0425957778657,1815.2203723816112,1792.9875902404258,1771.3368386164213,1750.2596791143778,1729.7447931732706,1709.7783661458534,1690.34647203022,1671.435188339032,1653.0305960995177,1635.1187798534709,1617.684480368693,1600.7092933753115,1584.175045182802,1568.0640554282486,1552.3591366993078,1537.0435945342065,1522.101032536046,1507.5127997891777,1493.2600288868935,1479.3246394651028,1465.6891010146605,1452.3364328813655,1439.250204265962,1426.413736652288,1413.8101364658196,1401.423495828971,1389.238379667961,1377.2398254402638,1365.413343134609,1353.7449045138503,1342.2215261467861,1330.831210088287,1319.562389423055,1308.4039174835714,1297.345067850097,1286.3758742634154,1275.4885300868416,1264.6761026281108,1253.9320488100404,1243.2502197830029,1232.6248613944645,1222.0515995839564,1211.528494964915,1201.054062428037,1190.627137591055,1180.2468767987352,1169.9128946886742,1159.627071457843,1149.3925853704445,1139.2127252442597,1129.0909268943665,1119.0307732576225,1109.0368511785157,1099.1155340736736,1089.2731594068537,1079.5159618348455,1069.8500732074717,1060.281744965312,1050.8184580433572,1041.467670559497,1032.236478246738,1023.1316405426887,1014.1596039867743,1005.3271211004951,996.640825740101,988.10681641992,979.7307436881399,971.5178101268089,963.4729025756001,955.600536654407,947.904434024977,940.3879339280026,933.0540089769679,925.9052651581486,918.9439712202906,912.1712027329338,905.5872563263384,899.1923329799679,892.9865412314307,886.9698971764825,881.1421582725587,875.5014801680832,870.045507966806,864.7719708457078,859.6786445150078,854.7633512181633,850.0237354593828,845.4561437745207,841.0566787696339,836.8216302608365,832.7474657198261,828.8308302738843,825.068247261396,821.4551531449051,817.9870563805779,814.659704262554,811.4690716389842,808.4113609120316,805.4827123166539,802.6785200465906,799.9943413472304,797.425983389076,794.9694994803615,792.6211890670502,790.377422459194,788.2340147316436,786.1869286260645,784.2323663807286,782.3667597075324,780.5867697919957,778.8892530862408,777.2707591551248,775.7277990547668,774.2571097149126,772.8556265441563,771.5204834299407,770.2490127385564,769.0386401331598,767.8865079407631,766.7899031114521,765.746281504294,764.7532593683343,763.8086133425969,762.9102804560833,762.0562754280402
13009,"Baldwin County, Georgia",45548.47704106133,45543.71414017347,45538.35809080448,45532.301067641536,45525.44562312248,45517.70048448821,45508.97770807071,45499.18967750233,45488.24806989367,45476.06162622311,45462.53543128161,45447.570634402,45431.062632245426,45412.90085903041,45392.96929452451,45371.14501624315,45347.29743946552,45321.288106082815,45292.971325415914,45262.19428152891,45228.79442086795,45192.59931596958,45153.42666546066,45111.083746256736,45065.371023375104,45016.08012963852,44962.98978060208,44905.86574780509,44844.46085877078,44778.51474922185,44707.76035521282,44631.927833923066,44550.73196087848,44463.8711619605,44371.027513406036,44271.866741807535,44166.04376494675,44053.229059045734,43933.08589574229,43805.259021116726,43669.374654203995,43525.04048699363,43371.84733495557,43209.41463371304,43037.395645468656,42855.42972458495,42663.13997631967,42460.13325682576,42246.00017315133,42020.35653259265,41782.92297050135,41533.428255032355,41271.59413477464,40997.13534451648,40709.759605245505,40409.20357733103,40095.37969730274,39768.246272528544,39427.766909102065,39073.91142029519,38706.655826557966,38326.032701962446,37932.31259805295,37525.82426212417,37106.908045653414,36675.91695805764,36233.21671651947,35779.29465752066,35314.88188419608,34840.72792076214,34357.58238785257,33866.19500251844,33367.329369231375,32861.9563811449,32351.15770358369,31835.980420524924,31317.438613729464,30796.5133746858,30274.244208650147,29751.825376109722,29230.395436005256,28711.021071026556,28194.697087612523,27682.37231882743,27175.089289038464,26673.842355614903,26179.528249336352,25692.948690508372,25214.813521503616,24745.833724982695,24286.687233896388,23837.952896434865,23400.119745973592,22973.58700107338,22558.688501394212,22155.737328615494,21764.9534852753,21386.496171049366,21020.46574346978,20666.903717924877,20325.815228623564,19997.14076044618,19680.748482569816,19376.49106009641,19084.2060507061,18803.715904657263,18534.822293332614,18277.248219203477,18030.680945200413,17794.817050038157,17569.362502760527,17354.032662740392,17148.540090497365,16952.530194977604,16765.641399037737,16587.533870959476,16417.88913944512,16256.41009361752,16102.802528703522,15956.716515970373,15817.816555196054,15685.790459858248,15560.348639702945,15441.224100744446,15328.154360991253,15220.84054924642,15119.001317207116,15022.375828661148,14930.723505434744,14843.824027392555,14761.466650337785,14683.413759222542,14609.44166169532,14539.343407183,14472.928119367154,14410.020996184057,14350.461287217466,14294.073944182908,14240.685560806403,14190.13665859804,14142.279761244474,14096.979394608908,14054.112086731117,14013.560618415886,13975.194563270035,13938.892811478578,13904.543251198469,13872.042262708894,13841.294718411278,13812.213982829304,13784.717958521001
13011,"Banks County, Georgia",19220.477041061335,19218.56287070144,19216.422795262974,19214.023057421095,19211.33153464903,19208.31680719978,19204.94746610238,19201.191385750408,19197.01540997925,19192.384770092798,19187.262856502,19181.61108538316,19175.388377154963,19168.55105826387,19161.052932494207,19152.84481031664,19143.874239073724,19134.085401998607,19123.419223449222,19111.81341428796,19099.20147156552,19085.51262354411,19070.67182969746,19054.59946614867,19037.212521293906,19018.423928505967,18998.140920873102,18976.265019680093,18952.692034408235,18927.31191504096,18900.01089236369,18870.67318933303,18839.17606811732,18805.389426270845,18769.175796733856,18730.390347832534,18688.882752535297,18644.5073579537,18597.11459267924,18546.54634670986,18492.635970721432,18435.20827606782,18374.08014141141,18309.078138954712,18240.041234764034,18166.80169256572,18089.1840444134,18007.00509068798,17920.07390009765,17828.208438027974,17731.268407955482,17629.116384986366,17521.611382664156,17408.608855204024,17289.96069749283,17165.530184195686,17035.25386262065,16899.08816466894,16756.992156402604,16608.927905656332,16454.860482037464,16294.779508385878,16128.777947879282,15956.975842922557,15779.499890935473,15596.483885485353,15408.0687377554,15214.450272744276,15015.93449517374,14812.838435433665,14605.481554599784,14394.18574443371,14179.281429601991,13961.194578047962,13740.404733796791,13517.378254797946,13292.568801448737,13066.417341842516,12839.393555787623,12612.041048120054,12384.88009812368,12158.399239516028,11933.055260448331,11709.285084900825,11487.571015087777,11268.374911292742,11052.113549088866,10839.159750510542,10629.84384394165,10424.497781817638,10223.439857217856,10026.941858607195,9835.23309784131,9648.500410166653,9466.899957282414,9290.58019401284,9119.646379128595,8954.174635448608,8794.212866807778,8639.780758056972,8490.881157563943,8347.489224697976,8209.54630298758,8076.985937757933,7949.734065158006,7827.709012160555,7710.819300320648,7598.939592608844,7491.927889549184,7389.646173540283,7291.960615393456,7198.7415743327265,7109.858256597861,7025.150232747608,6944.454009482049,6867.616034736628,6794.49253959873,6724.949538307665,6658.854573683187,6596.050528104349,6536.386978478897,6479.724127655962,6425.932482785514,6374.892855318366,6326.488258890735,6280.585674542764,6237.0601095601105,6195.795836822954,6156.686280225578,6119.634014676373,6084.545998441112,6051.317386596276,6019.849674283894,5990.051843437205,5961.840062479789,5935.137686325569,5909.874357993553,5885.973474049746,5863.359281136319,5841.962203181246,5821.7179738158065,5802.567636374579,5784.45754389545,5767.336829315877,5751.1488931924705,5735.841285960073,5721.365500633763,5707.676748548183,5694.733959357554,5682.499781035656,5670.938865359506
13013,"Barrow County, Georgia",81133.00766898657,81093.29196012985,81050.40157728632,81004.82903385653,80956.8541482277,80906.62069791202,80854.17598791415,80799.51295740277,80742.5745518782,80683.27880888048,80621.52167269589,80557.17546016505,80490.10288794727,80420.15547337689,80347.16688012013,80270.96026714856,80191.3490392788,80108.13553951135,80021.10703654174,79930.04034230669,79834.69848402377,79734.83034422231,79630.17066074336,79520.4377257266,79405.33899568477,79284.57045048384,79157.80816133435,79024.70822443784,78884.90676098675,78738.01950016158,78583.65322870646,78421.4123399013,78250.87664719237,78071.59969431176,77883.10875527741,77684.90483439302,77476.47223143332,77257.3217294491,77026.95146635381,76784.82832136856,76530.38791276181,76263.03459784946,75982.14413885096,75687.13630640552,75377.48133573153,75052.62312361799,74711.975536417,74354.92241004379,73980.8175499767,73589.04927935773,73179.16363274804,72750.71247629206,72303.22975064465,71836.23147995658,71349.21577187428,70841.71854441824,70313.5406546346,69764.54666209657,69194.60238710397,68603.57632686417,67991.33965549222,67357.84496822173,66703.40966491363,66028.43782429796,65333.34923555256,64618.58106729039,63884.58794716802,63132.014947655836,62361.89304900733,61575.287240256126,60773.26883485651,59956.915470683656,59127.333324298976,58285.97008099485,57434.464796768356,56574.415604188056,55707.38226761606,54834.88620226924,53958.559624718575,53080.308884243874,52201.969339588984,51325.27654205741,50451.86623551237,49583.31662942468,48721.38309516334,47867.76339983925,47024.00649515348,46191.516410358694,45371.55733666974,44565.41045003321,43774.321483804146,42999.37547607181,42241.509397378475,41501.5121507193,40780.06631672505,40077.83156274199,39395.31360679202,38732.90893282513,38090.907951705274,37469.49500121042,36868.79029255999,36288.81075223409,35729.44328311627,35190.53841986791,34671.91101792152,34173.3402534808,33694.56223711626,33235.18336712261,32794.73838446601,32372.7695850158,31968.82808290776,31582.47381054404,31213.25604147837,30860.60578900942,30523.934622411092,30202.687068554296,29896.34016670614,29604.403468529938,29326.3876980177,29061.70321309157,28809.78098253592,28570.090311066902,28342.137664673257,28125.466670616323,27919.626548351527,27724.099462807488,27538.396042634664,27362.062027222106,27194.67783399903,27035.858558434807,26885.23496186057,26742.387891751914,26606.921520471573,26478.46938934717,26356.693242186204,26241.283025276043,26131.953244274646,26028.391493113148,25930.287086458084,25837.35414903148,25749.328236743222,25665.966336691017,25587.04686716042,25512.359167392788,25441.66762617165,25374.75306809118,25311.41259465447,25251.458669967044,25194.719120736863,25141.03713627431,25090.263914050887
13015,"Bartow County, Georgia",107166.00766898657,107117.6642162307,107065.05019833343,107008.44815324366,106947.95529928825,106883.55161997335,106815.13344887525,106742.54935594782,106665.60234224713,106584.07041769447,106497.70804296815,106406.24444987679,106309.39414360766,106206.8551145834,106098.30406767588,105983.40142053098,105861.79076309675,105733.09732915595,105596.92686708362,105452.8715390231,105300.5018954473,105139.36628077152,104968.99083335327,104788.8777792329,104598.52240669519,104397.40725771466,104184.98646977943,103960.68567372841,103723.90199375116,103474.00423579609,103210.36571160021,102932.37493880038,102639.38936563648,102330.73232696937,102005.69304428053,101663.52662567236,101303.48115727455,100924.89464642921,100527.10484750873,100109.41336680362,99671.08566080521,99211.35103620557,98729.40938467828,98224.59409999657,97696.37216105551,97144.18692789473,96567.45274273651,95965.55492998597,95337.84979623085,94683.79757573488,94003.19578280066,93295.8697192111,92561.63216840752,91800.28341585574,91011.61124904585,90195.49369610187,89352.2985793509,88482.49880758916,87586.56533407215,86664.96997673626,85718.18541819899,84746.8149679431,83752.03600487323,82735.12222506266,81697.33415177088,80639.9220676224,79564.12613985466,78471.43214504156,77363.82402563197,76243.26054001006,75111.64375998519,73970.81907079177,72822.60641621891,71669.20930035149,70512.98042513206,69356.14150428306,68200.7910835546,67048.90456849306,65902.52095911057,64763.906090606484,63635.16100443423,62518.21140873301,61414.80767832788,60326.57493537629,59255.255613470435,58202.451559466936,57169.57318103395,56157.84608748654,55168.3167950128,54202.00217921774,53259.81196753049,52342.48435697733,51450.61066655278,50584.63533721955,49744.89124833446,48931.631151918475,48144.94172058478,47384.82913275269,46651.22265279798,45943.97463105273,45262.8795194319,44607.57530423517,43977.5902259986,43372.452628448846,42791.69155842719,42234.83676588967,41701.39841738352,41190.703673373544,40702.03805216428,40234.72378103216,39788.11541749555,39361.59984931486,38954.56790488892,38566.27815187223,38195.98899219725,37843.00674594157,37506.68426312021,37186.42092368549,36881.625716720024,36591.60379362174,36315.693533728845,36053.27934018833,35803.79012124857,35566.69929025931,35341.49062777769,35127.582736358796,34924.429207875335,34731.522487963535,34548.39338277088,34374.61105895618,34209.76347962416,34053.391242089834,33905.0618463852,33764.374055402695,33630.95665518698,33504.46845493496,33384.59463010842,33270.99565340456,33163.33613738633,33061.30659418057,32964.61991215053,32873.01135589584,32786.238566252534,32704.071224521547,32626.256112690222,32552.557510297014,32482.756520691855,32416.650159452434,32354.051354384184,32294.78894552031,32238.700555084102
13017,"Ben Hill County, Georgia",17075.47704106133,17071.404867642606,17066.85450228077,17061.758217693474,17056.05473554121,17049.687571195245,17042.60359709024,17034.751516097534,17026.081162380695,17016.542252519153,17006.083930012584,16994.654707074653,16982.20132539786,16968.668656632824,16954.000327487258,16938.13786493637,16921.02018260081,16902.58348785126,16882.76225257295,16861.48954492902,16838.69521442495,16814.305801983803,16788.244539946176,16760.431517105277,16730.78715006865,16699.230182314033,16665.67525296559,16630.032884810833,16592.209484300645,16552.107472114727,16509.631319209508,16464.68861029821,16417.182444446073,16367.010988030499,16314.067474741076,16258.240205579557,16199.417188837799,16137.501793986328,16072.39771154311,16004.003303735997,15932.211604357939,15856.910318767008,15777.98290660114,15695.334609733089,15608.892159577328,15518.578616649933,15424.312522755466,15326.007900986991,15223.574255726053,15116.937419022293,15006.076233741147,14890.973582607763,14771.609879091628,14647.963070571723,14520.008638336541,14387.735612932476,14251.209092129031,14110.509930669956,13965.71767452991,13816.91099458411,13664.167686608327,13507.584960627528,13347.34902609199,13183.660299558624,13016.716048225042,12846.710844882109,12673.836587598782,12498.322838513659,12320.477084557615,12140.602337150733,11958.99208974634,11775.930317831031,11591.696452012711,11406.630878995295,11221.098294581026,11035.442840918717,10849.989313949989,10665.043167835995,10480.920753691807,10297.976792871485,10116.540746957651,9936.914724538972,9759.373481210172,9584.172629040646,9411.589509000216,9241.880886545718,9075.273242771786,8911.963809989666,8752.121514053124,8595.912730229751,8443.489538955162,8294.97638615514,8150.473762744561,8010.058204627394,7873.7885511238,7741.713951040985,7613.857271390478,7490.227399859119,7370.819824318022,7255.616632822558,7144.590813205984,7037.692896617118,6934.854909695138,6836.007718225262,6741.081130865065,6650.003899144506,6562.701001775116,6479.07031433286,6399.001688470557,6322.389993657271,6249.134677860605,6179.139767546708,6112.309592823647,6048.52740923771,5987.675603880779,5929.644010852714,5874.329731211631,5821.637132973901,5771.471923399244,5723.722565566215,5678.282479237717,5635.052505958111,5593.940672399342,5554.86219036094,5517.7337973078265,5482.4610116566055,5448.954895407191,5417.132904164396,5386.918807028951,5358.2426865975085,5331.03762381497,5305.228371801676,5280.744006963044,5257.518812367525,5235.492070836098,5214.60806494226,5194.815449239501,5176.0584227970185,5158.281662103493,5141.434191986949,5125.468793628342,5110.342004561549,5096.014118673389,5082.4473881027425,5069.599900559665,5057.432639946708,5045.909432973094,5034.996792131181,5024.66391569645,5014.8826877275205,5005.626419321294
13019,"Berrien County, Georgia",19600.477041061335,19597.735862854206,19594.661327190202,19591.19774871746,19587.294127343273,19582.902206375522,19577.975139035814,19572.466070073566,19566.327654273784,19559.5109925175,19551.965297183255,19543.637794089173,19534.472833390646,19524.411797392604,19513.39343317831,19501.35314552994,19488.222606618398,19473.929646861678,19458.398743638558,19441.551213862484,19423.30376122318,19403.568400173986,19382.252455931884,19359.258416323835,19334.486397105553,19307.832866401302,19279.18839843619,19248.437659963685,19215.45941026564,19180.12647499623,19142.310328026928,19101.882945544396,19058.709735662753,19012.649047176605,18963.552169561022,18911.263332971546,18855.623560119613,18796.486105758035,18733.7028328631,18667.11820493761,18596.569285499412,18521.885738081382,18442.890859409676,18359.428160416508,18271.363101420127,18178.556600088745,18080.863928297837,17978.134712130086,17870.212931875463,17756.959888714075,17638.29679322782,17514.151214927566,17384.44925675204,17249.11555839172,17108.073296288854,16961.26296705747,16808.717772591845,16650.4940776271,16486.650370549258,16317.247747632811,16142.34991304073,15962.048045515787,15776.548506571964,15586.08151106211,15390.87820482817,15191.171194676079,14987.194572381695,14779.234922535241,14567.684882817248,14352.93662362454,14135.37400651556,13915.372584210374,13693.305924158238,13469.630844243664,13244.8405797677,13019.40325596308,12793.76307773595,12568.340335314744,12343.571031644022,12119.94385518214,11897.914121429678,11677.899881983327,11460.281924535888,11245.414741354509,11033.681504505234,10825.436899114737,10620.993259934485,10420.621926450167,10224.554530313802,10033.018271962574,9846.220115452914,9664.328527316902,9487.478486944423,9315.771486583144,9149.284217338127,8988.080356923898,8832.18782145596,8681.615418354535,8536.353640420055,8396.374665833162,8261.638417829658,8132.075984310656,8007.5942326232935,7888.09867375197,7773.493601406626,7663.682092022767,7558.562550798295,7457.9991769931585,7361.846499918003,7269.965955794134,7182.225323963413,7098.498726888268,7018.661168925024,6942.561580974111,6870.048551217185,6800.980536992183,6735.225623442236,6672.661523515655,6613.16811123055,6556.604267654984,6502.8356607088845,6451.737539184028,6403.194429359765,6357.10013500302,6313.350705135997,6271.828796515318,6232.4242983540325,6195.0351704117475,6159.567341789114,6125.934710927815,6094.055080957878,6063.836400371018,6035.192166022235,6008.042325258823,5982.313018408092,5957.936578777358,5934.85077058334,5912.988151172274,5892.2820747085225,5872.671207869161,5854.0987941069,5836.512653650095,5819.865183502738,5804.111205445416,5789.200697660186,5775.087202855024,5761.727679919653,5749.082313920257,5737.114516099456,5725.790923876324,5715.0799216589885
