Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,549.9486123630392,610.662788169028,676.9180579738559,748.492361371557,825.3862817556857,907.7488985015665,995.8404585216265,1089.9925986323092,1190.605356562432,1298.1243564915248,1413.0391839359113,1535.8861017488575,1667.2368633945964,1807.701381731294,1957.934658477298,2118.6333109738293,2290.5374886810923,2474.433826939038,2671.1591489425696,2881.5938852511517,3106.6791058499257,3347.417683014362,3604.8742913102556,3880.1828100989314,4174.524658040501,4489.138719187901,4825.353943601619,5184.589586480602,5568.355208162239,5978.253738710597,6415.946198396109,6883.1229521356845,7381.59589280258,7913.3060276050755,8480.323478086484,9084.84748012517,9729.182692451137,10415.574532383285,11146.357988723488,11924.043735409807,12751.318148112932,13631.043304236007,14566.249995282915,15559.882505174333,16614.74374234757,17733.826912340523,18920.338480917133,20177.698174067395,21509.538978007386,22919.472859178786,24410.580026133914,25986.022426556494,27649.175123427518,29403.626270630855,31253.17711295313,33201.62176160577,35251.787329082654,37406.34946779134,39668.14125261577,42040.148699224985,44525.51076407275,47127.1753441929,49846.604448760125,52684.97001730342,55643.49664938192,58723.45490061643,61926.16090270225,65252.13718493356,68700.09289460919,72268.55854861421,75956.01867912085,79760.91183358827,83681.51277586374,87714.24592980507,91854.34626926435,96097.02321528981,100437.44512514601,104870.7391853618,109391.13589006336,113990.92923972773,118662.34805292392,123397.71842291561,128189.46371766125,133029.85822690962,137909.58348455146,142819.0579070383,147749.03436010794,152690.58039926723,157635.05019131716,162573.17119691602,167495.3353307287,172392.46906156896,177255.98593735526,182077.78658511082,186850.03514960303,191564.79035552894,196214.84303375272,200793.48725726167,205294.50303363637,209712.1563050509,214041.00494638487,218276.4799575586,222414.93529867733,226452.97463028657,230387.44698669162,234215.44677595704,237934.42002408006,241543.2007119108,245041.34088230634,248428.45647121198,251704.234813886,254868.43464490015,257921.0767983296,260863.49463776458,263697.4099650704,266424.4501386088,269046.1530217523,271563.9669828848,273979.53384929395,276295.6286525105,278515.04571919073,280640.4077600256,282674.1759633691,284618.6499952383,286476.24410397443,288250.1427624814,289943.4232863862,291558.9654444994,293099.45501671487,294567.38379400957,295965.21381502005,297295.95577674825,298562.50676548283,299767.56964413595,300913.66259480955,302003.11911879474,303038.1191013659,304021.13507471693,304954.6795120984,305841.080510493,306682.50837712386,307480.9756294541,308238.336995187,308956.3796624187,309637.13331500266,310282.5040363845,310894.2671013513,311474.07465584937,312023.45571698487,312543.81617302325,313036.5025879968
B,40.14223447905396,44.72648777881704,50.55223540155071,58.264839468753124,68.39905232077761,81.42591605719133,97.77908887153724,117.88290079110489,142.15784700459224,171.03912600160692,204.98068659377978,244.4565465109613,289.97370501892465,342.07289208401767,401.3255364437775,468.3436664707644,543.7839856144185,628.3489592679605,722.7852412962138,827.8858711165055,944.5035030588449,1073.5510716728647,1216.0017917278137,1372.8947684148861,1545.3246522373856,1734.4500967141466,1941.515542434565,2167.851379022095,2414.873945134251,2684.0892636842905,2977.079959769118,3295.4789967852603,3641.0360299500667,4015.6235853961925,4421.237060171601,4859.99472223959,5334.130945873932,5845.878413335425,6397.567073284562,6991.6952532569385,7630.929677387802,8318.105466411955,9056.222676965415,9848.265392483308,10697.135979962073,11605.921942217481,12577.918022965165,13616.626206820627,14725.755719299232,15909.041341823071,17169.81172695248,18511.48441413615,19937.68750425419,21452.259644574537,23059.250028752787,24762.733004175265,26565.96978505344,28472.09359793233,30484.393635281907,32606.311748333384,34841.442447078865,37193.22574887976,39663.760774263195,42254.86760281338,44968.41301388641,47806.304836729054,50770.49160442734,53862.17831227433,57080.835170159626,60425.73057243657,63896.06755939633,67490.98381726765,71209.43886767165,75048.56757235517,79004.28209487411,83072.4261270009,87248.76391050698,91528.98013419761,95907.8258791076,100378.02886062767,104932.18119806553,109562.92373880175,114262.94605828963,119024.73473861426,123839.04578658452,128696.25887069106,133587.04881888852,138502.36783420472,143433.41650336998,148370.64894385124,153304.01386041622,158223.97368643776,163121.47369815919,167987.94201469485,172815.03995041695,177594.1419816907,182317.30542406236,186977.12717291323,191566.72661455767,196079.745626243,200510.09642572093,204852.4197475313,209102.31386600112,213255.68495920976,217308.74247510207,221257.99913148818,225100.35193161483,228833.98890107876,232457.89509746412,235971.17303043566,239373.03753212214,242662.8157571166,245840.12696278264,248905.92830884884,251861.628580142,254708.5674347183,257448.0182758162,260081.18825185645,262609.5053792217,265035.5955439615,267362.1407469639,269591.65984887356,271726.5183635581,273768.92845810764,275721.23836403224,277586.63372899225,279368.2081905126,281068.85536234156,282691.2724581161,284237.96029136144,285711.3991014973,287114.6751852239,288450.76799908286,289722.4547654201,290932.32048817864,292082.757952899,293176.00138186535,294214.6137405095,295201.21442044503,296138.2279358667,297027.911930693,297872.35717856715,298673.48758285615,299433.1592700604,300153.5036956283,300836.52407100523,301484.0838086402,302097.91486349073,302679.61773302173,303230.66145720624,303752.45465154893
C,1320.6795143608754,1466.4128405923384,1625.0668330379387,1795.7817249665793,1978.2626964594604,2172.5765254223807,2379.0502810143694,2598.163095798951,2830.5385636276555,3076.8823136884143,3337.9771785413227,3614.688398712183,3907.931766272851,4218.679263804631,4547.974208167968,4896.917254955978,5266.668735132321,5658.454099320631,6073.568673939479,6513.359765458346,6979.256553632998,7472.772231133997,7995.5040035466745,8549.141951939726,9135.417192105255,9756.122559770069,10413.169775563942,11108.589835029532,11844.533008622358,12623.270885788823,13447.105473455087,14318.328155620417,15239.38298524439,16212.878577608439,17241.588110315828,18328.449323291745,19476.497520396333,20688.55981282998,21967.541997287834,23316.564703279928,24738.963410278342,26238.28844771699,27818.2879749368,29482.42376857339,31233.830488177493,33075.860422303274,35012.11208520217,37046.43021682285,39182.905782811256,41425.46585057021,43777.078222279495,46240.76620890759,48819.78168914106,51517.605055667365,54337.94521517455,57284.39334473839,60359.00596771152,63563.58874444139,66900.1076549912,70370.68051477034,73977.57697453411,77722.73115098232,81606.00370321491,85626.89457240347,89784.96555907784,94079.8297527963,98511.15101530745,103077.56696930598,107775.50292865874,112601.25259252261,117551.10798822163,122621.35947124705,127808.15306815716,133105.54610810013,138506.39988508998,144003.66104660704,149590.33046774566,155259.46312372579,161003.23616593427,166811.9598092888,172676.0489246942,178586.13465661305,184533.06442306604,190507.65027203184,196499.31980060143,202497.47518276155,208491.95103696332,214472.9883135826,220431.2068712959,226356.81999434961,232240.03856625615,238071.6695434566,243843.03205717955,249545.95741344136,255172.61258769987,260715.42261556553,266167.66944750125,271523.09239282645,276775.87007258396,281920.62041954056,286952.31672521995,291867.14669816796,296662.21073221,301334.77512363304,305882.2681921383,310302.2802808409,314592.72503202443,318753.20218761323,322783.9584177218,326685.2272751704,330457.2604400819,334100.32771988196,337614.94284509524,341003.02818823967,344266.8481551351,347408.5344712103,350430.0946628065,353333.4120571775,356120.5508297593,358794.74786816654,361359.226454662,363817.01595449715,366170.9631336091,368423.7321586199,370578.09339313087,372637.60339017515,374605.6941328556,376485.5853239129,378280.2881583998,379992.60532368196,381625.3010976938,383181.7014218843,384665.0094425294,386078.2219417303,387424.139211079,388705.3650516583,389924.3389794888,391083.8014307716,392186.5339474554,393235.1223091724,394231.98363770905,395179.366397006,396079.3503931579,396933.9415307443,397745.4010338558,398515.86046764307,399247.31014508015,399941.6070826085,400600.47500013787,401225.5043210454,401818.22117023147
D,6005.278278066472,6668.353473129823,7392.413713767757,8175.265816379742,9016.882153176686,9918.614183926271,10882.816470319916,11912.443151784779,13011.03810438832,14182.511657953213,15431.135082113167,16761.56919584032,18178.761575270626,19687.97408215069,21294.840033908986,23005.327653042652,24825.760803975754,26762.843113715346,28823.672417551737,31015.673495791765,33346.74718865934,35825.280432183354,38460.146258197434,41260.750591681324,44236.799081191966,47398.40028063515,50756.34253037773,54322.09586724565,58107.812024523766,62126.3414978883,66390.83674482671,70914.5226610026,75711.5089317743,80796.85244378593,86186.55728496752,91897.57474453525,97947.51622681467,104353.14549717923,111131.7682134085,118301.94612710598,125883.49719361095,133897.49557199737,142366.19450061716,151310.6546824145,160750.44090092025,170706.43140069296,181200.9828380971,192257.93028130278,203902.58721028583,216159.67793990773,229049.1673439103,242591.47997290292,256808.46755278204,271723.40873216226,287361.00908237504,303745.5887290113,320893.5068000328,338819.88008274743,357540.86441479693,377073.6127615313,397436.2752160065,418645.34690719476,440706.028085686,463621.4933109545,487395.30179917114,512031.34184828826,537533.8279675281,563901.1955967984,591119.1031873954,619172.2208583816,648045.0433709016,677721.8901281798,708186.072989125,739408.3109105293,771351.6614910879,803979.2690039192,837254.2110970682,871139.498043802,905592.3420275071,940557.5958171815,975980.0318972599,1.0118052252837509e6,1.0479795535242341e6,1.0844485938566916e6,1.1211480226414392e6,1.1580122332646947e6,1.1949778448007416e6,1.2319835590424167e6,1.2689699826121666e6,1.3058740297467709e6,1.342630981104461e6,1.3791795522059049e6,1.4154615262301636e6,1.4514217540146962e6,1.4870068272486809e6,1.522163260014348e6,1.556842402155086e6,1.5909987299545908e6,1.6245897361988414e6,1.6575759301760977e6,1.689919807524783e6,1.7215901250378378e6,1.7525616096103594e6,1.782810525222225e6,1.8123146461375013e6,1.8410532569044358e6,1.8690079407313953e6,1.8961699601146933e6,1.922535301612321e6,1.9481003509795843e6,1.972861979586359e6,1.9968175444170965e6,2.0199662072314539e6,2.0423161704097956e6,2.06387833390814e6,2.0846630164600199e6,2.1046799912633286e6,2.123938485980328e6,2.1424491247734814e6,2.160230443193583e6,2.177301235051689e6,2.193679184465505e6,2.2093809340516026e6,2.224422084925418e6,2.238819115164729e6,2.252594022047971e6,2.265768179874863e6,2.278361637102649e6,2.2903931404562043e6,2.301880134928034e6,2.312839926112059e6,2.323293848357661e6,2.333262547440068e6,2.342765323682673e6,2.351820197555711e6,2.3604439096762557e6,2.3686521443879753e6,2.376462795494631e6,2.383894174048865e6,2.3909632835202864e6,2.397686000312593e6,2.4040770737635707e6,2.4101501261451e6,2.415918322520518e6,2.4213967233485454e6,2.426599546006869e6,2.4315400475036884e6,2.436230579845241e6,2.440682590035809e6,2.4449066200777097e6,2.448912803913603e6
E,822.9158068206057,913.7579183078852,1012.8445597514075,1119.7862318335356,1234.5074933651183,1357.1328712286227,1487.9323220004208,1627.2627422002793,1775.566778112171,1933.3406196332023,2101.133448162281,2279.5520160013434,2469.2458776753047,2670.9115232817135,2885.3014256988317,3113.2188634508266,3355.5208264444614,3613.1212962039667,3886.9950293088855,4178.169940164146,4487.746143011316,4816.89725059772,5166.87037417642,5538.993662768109,5934.651984321405,6355.298764313285,6802.491193258216,7277.890480902346,7783.261856223479,8320.4780551392,8891.4803659088,9498.245887354216,10142.890281649587,10827.676272262275,11555.013643952878,12327.459242775256,13147.690779867393,14018.32212891864,14942.069659996783,15921.84907555616,16960.775429249337,18062.163125926887,19229.51807781721,20466.25147526397,21775.618626879077,23161.091023545174,24626.382078493698,26175.44712730489,27812.483427907817,29541.667497383372,31366.58437277923,33290.91535457575,35318.58458530913,37453.75902206112,39700.84843645883,42064.259062703466,44547.32232405782,47153.207639309476,49885.26621694987,52747.02600640086,55742.191698014176,58874.260431506635,62145.07797449969,65556.17338382761,69109.13922215719,72805.62402997223,76647.3318995155,80635.08387368175,84767.67831892279,89043.71294792678,93461.73094953652,98020.22098874894,102717.48484334855,107549.74170822429,112511.86243956942,117598.67086608839,122804.92605939879,128125.3222136327,133553.52023642068,139080.95597480406,144698.9521258017,150398.90465393377,156172.28279122128,162010.34835658112,167902.48631615078,173837.71110871623,179805.37153442492,185795.12925700127,191796.9269089305,197799.9176288413,203792.75735266943,209764.66943895863,215705.40223476713,221605.22907566762,227454.68419356813,233244.05580030667,238964.40443072596,244607.37008578744,250165.15330842225,255630.5151835315,260996.5252797112,266257.13849165203,271407.36944947037,276442.5577835705,281358.3631113047,286150.76503697195,290816.1668446678,295352.4904817024,299758.5418716554,304033.248588051,308175.6596178744,312184.9453615726,316060.6082025234,319803.6930349666,323415.75800920324,326898.2846116298,330252.6815491477,333480.2847491641,336582.6881369158,339562.87144424935,342423.88651293167,345168.60376682377,347799.7234696576,350319.7757250365,352731.4545849785,355038.434144311,357244.2925692374,359352.38204180944,361365.83289896563,363287.5536325317,365120.4353627282,366868.08715093916,368534.00428578485,370121.4497343175,371633.4656190223,373072.8732178184,374442.31241245184,375744.8180140628,376983.5030726887,378161.25376408594,379280.76118360925,380344.5213462132,381354.8351864514,382313.9266334227,383224.35651881294,384088.53960059286,384908.7244954696,385687.00345688727,386425.3123750264,387125.4307768044,387789.068821635
F,561.9912827067551,624.2816141687713,693.5824950485568,770.7125243979611,856.4863029572193,951.7212633580474,1057.2477341782946,1173.919249988238,1302.6208513335941,1444.2795267446788,1599.8701479182155,1770.419353540938,1957.0169756320304,2160.8190756582167,2383.046795913716,2624.997618060829,2888.0527261219418,3173.6800175865706,3483.431020061643,3818.938383775346,4181.9448212726975,4574.304722061993,4997.984152614782,5455.070343524363,5947.735737491237,6478.258492360499,7049.072210098687,7662.766284469197,8322.085901032264,9029.937430711172,9789.331126949995,10603.329413044255,11475.199627079184,12408.426794227322,13406.713626748495,14473.980523989881,15614.325810205406,16831.74001118964,18130.35638254814,19514.599207900534,20989.183827980596,22559.11664063604,24229.682679485533,26005.996980541455,27892.906048208457,29895.563245486243,32019.468329966745,34270.467453834164,36654.75316386492,39178.449595527854,41846.71819025921,44664.83232333756,47638.40217254243,50773.37467358557,54076.033520110424,57552.61251428957,61207.62652118482,65045.30153844551,69070.10278860483,73286.7265841622,77700.10032758255,82314.78836949241,87132.77745675136,92155.54739950525,97384.64937439482,102821.69410938851,108468.35123252585,114324.92736401354,120388.671161271,126656.54185049412,133125.424154228,139792.12829136688,146653.19268535412,153702.08767006392,160930.3506666356,168329.49992638762,175891.00505931958,183606.2868554138,191465.3140524979,199454.9402503159,207561.95263728022,215773.31887380304,224076.18709229567,232457.48665660908,240901.62174088036,249392.62384558382,257915.07814709796,266454.0898641613,274995.239262501,283523.1400279199,292021.9294738805,300476.60978459124,308872.9640952731,317197.5564921592,325437.3842166771,333579.3424955948,341611.5192364351,349522.8010022799,357302.8453143417,364942.0806519642,372431.4180767835,379763.23859940964,386931.40891070425,393930.19122774043,400754.23646420654,407398.5842304052,413858.84398927266,420132.93161071936,426219.9296968533,432119.02515677904,437829.52506437514,443350.8566582961,448682.88268292084,453827.6398148571,458787.81559741485,463565.9516142212,468164.4516876323,472585.5818787348,476831.93829886353,480908.01197429217,484818.3453853035,488567.206665837,492158.60610186355,495596.2961313855,498884.2319040111,502027.6783249129,505031.739688771,507901.1974568042,510640.51609772065,513253.8430877196,515745.2861726536,518119.900951706,520382.5685693829,522537.84690414043,524589.9863918526,526542.9300258118,528400.3663623388,530166.4988702515,531845.6187278677,533441.7059983864,534958.4734131971,536399.3663718809,537767.5629422102,539066.1308323301,540298.5741357461,541468.1935132429,542578.0643739902,543631.0499951843,544629.8015220476,545576.7579678284,546474.2605754952
G,48.17068137486475,53.58684885832589,60.02700739212666,67.89858825961744,77.54887751317249,89.29260166090218,103.42748303703416,120.25084624564303,140.0630656055649,163.17873669741874,189.9293228699028,220.66440453038683,255.75975350856137,295.6180937964606,340.6679428460923,391.3703403997513,448.2217808604334,511.7551826709523,582.5400429528813,661.1844463693823,748.3449307935359,844.7270013154947,951.0851302424752,1068.2279016006785,1197.013832289014,1338.3570773831573,1493.2435806005333,1662.7312011515928,1847.9497137398075,2050.1042438084933,2270.474045145664,2510.3937933720217,2771.299914523518,3054.7352395828916,3362.3490044796595,3695.8968500901397,4057.2442062899654,4448.29705766853,4871.062415062742,5327.699732302384,5820.520921400955,6351.990352555572,6924.724421772993,7541.394672287762,8204.674695478567,8917.421121668334,9682.691490570642,10503.744251289732,11384.038762320492,12327.130962022498,13336.390042626572,14415.318399750182,15567.647015042643,16797.33545217279,18108.571856828865,19505.65474712065,20992.420924284015,22572.694776963,24250.50693288757,26030.092824243733,27915.892687673237,29912.33425385136,32022.949068982412,34251.12136540399,36600.35066079414,39074.2482854495,41676.53712372862,44410.43330368402,47277.79657151092,50280.33399560504,53419.7254800339,56697.62376453654,60115.55798119264,63673.462905781016,67370.10189290687,71204.10584017962,75173.97017648672,79278.05477128054,83513.7542962511,87876.28569526054,92360.52340067866,96961.2261126165,101673.03679892597,106490.21777087229,111404.85474578419,116408.2246493871,121491.69214385907,126646.69882275676,131864.73213168085,137136.03728380174,142449.60420175522,147794.75559790168,153161.18964187225,158538.97996056822,163918.23049333965,169287.88988377366,174637.2415933459,179956.19137687935,185235.25332956595,190465.54988696732,195638.30990010838,200744.69420701134,205776.87301907947,210727.56585458523,215590.035959629,220358.09030813898,225026.03024196505,229588.86562724086,234042.74330005178,238384.18523347648,242610.02075959562,246717.38656949243,250703.84112524745,254568.35468154485,258310.66939304696,261930.59270146996,265427.9888256629,268802.7787616085,272055.2426074032,275187.1855019426,278200.6758899372,281097.6691768619,283880.01546083775,286549.45953263255,289108.0007721643,291558.8492015019,293905.2152304672,296150.09813971474,298296.2899680444,300346.3755124001,302302.97350745334,304169.64040748595,305949.8702192013,307646.9099093375,309263.77195654233,310803.2343513728,312267.8893046077,313660.8711433337,314985.4707810436,316244.723062675,317441.4425935011,318578.223739132,319657.4406255134,320681.39878845256,321652.87567417684,322574.4934711446,323448.6803456049,324277.68268281047,325063.56508701755,325808.2103814856,326513.4342192078
H,68.24179861439173,75.90840710852792,84.9896114762525,96.02722277001436,109.47275147591427,125.72264998839546,145.13882921742135,168.07042044719458,194.85857881118991,225.85105198867055,261.4055347540436,301.89048070477514,347.69538027657563,399.2312409991174,456.9274437832207,521.2392687819422,592.6510479570031,671.6768338119397,758.8577560840004,854.7630689619581,960.0001850991983,1075.2151652010887,1201.0927180249723,1338.3591729403845,1487.7711433703896,1650.1231991090247,1826.2640405663674,2017.096610054323,2223.578091786622,2446.7219117950867,2687.5807204449493,2947.228915937706,3226.813163885819,3527.5567155826084,3850.759408002249,4197.797663799791,4570.113312069921,4969.120333179722,5396.286015490073,5853.181290099817,6341.480741427153,6862.962607209562,7419.505086668591,8012.941176620269,8645.0214758969,9317.607918630356,10032.687881560412,10792.374184034714,11598.9050880088,12454.507756433002,13361.094382613112,14320.622421959573,15335.174371169087,16406.95775465088,17538.305124526658,18731.543626857463,19988.42178402281,21310.593151096804,22699.803459409068,24157.8880404253,25686.771825746986,27288.263942057845,28963.280166121127,30712.55859206678,32536.86845801876,34437.006205140664,36413.795251000156,38467.58208884961,40597.619264946734,42803.05089603432,45082.994841818814,47436.54270497035,49862.688877421824,52359.310414206506,54923.561966834925,57552.58322082648,60243.49013200876,62993.37486199801,65798.78542167983,68655.08515723297,71557.59227448738,74501.68155295744,77482.78434584173,80496.23757783679,83536.38830410328,86597.40446041657,89673.65105369322,92759.67847539933,95850.20524738169,98939.54346696379,102021.75983687663,105091.2382259738,108142.65489205929,111170.97848188733,114171.32778228735,117138.7036938742,120068.53058692993,122956.54404267226,125798.78051353357,128591.57732316111,131331.43812249982,134015.3429731383,136640.83478810923,139205.6231487673,141707.5816144064,144144.74772225932,146515.37851268897,148818.53260941058,151053.72762328517,153220.53682307384,155318.5893392871,157347.5701641853,159307.33133957046,161198.5280024878,163022.07513093186,164778.83937515662,166469.64120338755,168095.25490182205,169656.58224157256,171155.24116978556,172592.8780343273,173971.03837551456,175291.17290451832,176554.6375033644,177762.86746238993,178917.79971359426,180021.3144992224,181075.17092538087,182081.0091469472,183040.3503675705,183954.70273935082,184825.93958737704,185655.87027181496,186446.18213449145,187198.4465156454,187914.11875392793,188594.55850728854,189241.3248404126,189856.01241417817,190440.09819728014,190994.9582171663,191521.86756003785,192022.00037084904,192496.49006235108,192946.63883302573,193373.67214239604,193778.7304643335,194162.8743233704,194527.0842946994,194872.26100417378,195199.26883358735
I,321.13787583243163,356.7555216703254,396.50581041488385,440.95386958580934,490.638685769513,546.0837626123798,607.8066624986561,676.3289206219374,752.1813040677658,835.9122286507016,928.0913912402937,1029.3114631440171,1140.1961413780327,1261.401618748714,1393.6143285311955,1537.5581258705006,1693.9987621334433,1863.7455468486216,2047.647341373187,2246.590162531947,2461.515355126846,2693.4205830939895,2943.3598295036263,3212.4475063792634,3501.8317326532824,3812.709300674,4146.356041625798,4504.127024648476,4887.456556837247,5297.8603093922375,5736.892223716671,6206.11868823112,6707.210764762786,7241.951345898991,7812.235154987167,8420.068746134899,9067.540495780213,9756.651757503147,10489.472572618859,11268.224246476067,12095.27936211398,12973.161780262162,13904.53853815178,14891.957238059316,15937.806205450066,17044.636601466624,18215.182506121186,19452.360918295533,20759.271755741083,22138.967255643853,23593.972966223515,25126.881334975376,26740.468737782292,28437.695452442524,30221.705658669583,32095.62132447266,34061.66430613359,36121.92401761906,38278.63223614347,40534.15861561137,42891.01068661703,45351.52443661668,47916.71989275387,50587.38259870488,53364.35972941545,56248.55384671294,59240.922561013474,62341.74463605433,65549.75108950003,68863.54756320601,72281.7215636243,75802.84246180327,79425.3594049146,83146.15591500458,86961.12978827971,90866.17296166498,94857.15563398533,98929.92617334973,103079.57982894746,107299.57839930597,111583.33031896698,115924.32072283924,120316.11144619845,124752.13111021076,129224.44073670797,133724.8560058787,138245.4542192132,142778.5574780737,147316.70898449596,151851.88710726536,156375.7311630659,160880.30764868192,165358.07516663813,169801.88442519994,174204.78543882628,178559.67272733958,182860.02331126702,187099.73971465073,191273.13582876752,195374.9369121293,199400.09965690091,203344.26259698183,207203.85055498232,210975.52140598962,214656.16237183168,218242.89002107637,221733.1312523557,225125.46257445935,228419.11272645518,231613.39245918024,234707.69585023387,237701.50030397822,240594.52601198776,243387.6477734334,246082.1175404084,248679.12385947912,251179.79497872308,253585.1988477296,255896.59191810922,258116.26523510704,260246.5579264498,262289.6692129466,264247.6669222396,266122.48748880427,267916.18656056374,269631.54930450633,271271.284934854,272837.9310322991,274333.85666314594,275761.2623793108,277122.3332353334,278419.78765372495,279656.2558523603,280834.19291081635,281955.8873979805,283023.4613720508,284038.8998534567,285004.4803994539,285922.5360766101,286795.2296588481,287624.57759000827,288412.44998384867,289160.57062404463,289870.60485794354,290544.46677029727,291183.9600824691,291790.764395752,292366.4425000933,292912.4403740954,293430.087185015,293920.6596596757
J,56.19912827067554,62.56623342833107,70.39198896035474,80.3577981966392,93.03146935731796,108.91571430204874,128.47560253998458,152.16782232895048,180.4467219962202,213.78386285349688,252.67251616009906,297.6294126239369,349.2086198572452,408.00255513286027,474.6392936348439,549.7935785990704,634.1914257045199,728.611383058622,833.883912019408,950.8949370931679,1080.6003609461693,1224.0267919578102,1382.271544220612,1556.5097760742835,1747.9884905855974,1958.0355831947907,2188.082864006187,2439.6662364032104,2714.4256970483766,3014.110308093252,3340.5775092568847,3695.7671918041065,4081.7677955256163,4500.822964089502,4955.3315450412365,5447.847589803698,5981.086785540426,6557.8322209558755,7181.019031010561,7853.8073943603,8579.582555340838,9361.954823967717,10204.759504527112,11111.929786235874,12087.422889742886,13135.472938422678,14260.6166407377,15467.69329023829,16761.844765562706,18148.37890458499,19632.386027789646,21219.17728254644,22914.420907698615,24724.14223025041,26654.723665366848,28712.747923532603,30904.22406359949,33235.19743697826,35712.059817586705,38341.54783062995,41130.74295260008,44086.77801120905,47215.624426424525,50523.11536468539,54015.32114742342,57698.544857090004,61579.321986500756,65663.56315576423,69955.34743304818,74458.60309757382,79177.29345129225,84115.41681888419,89276.86943864464,94663.32563136125,100274.79841845675,106111.14177778664,112172.04934964883,118457.0543051768,124964.29230510718,131688.61938375814,138624.325394697,145765.48762059922,153105.97077324815,160639.01713508953,168354.36543584097,176240.29514996771,184285.08911351854,192477.02042323796,200804.30424484148,209252.93708024244,217806.44168295915,226448.65276693561,235163.83551219912,243936.68556485948,252751.741052858,261590.97845046988,270436.4341006062,279271.07099380007,288078.7626570913,296844.2931540279,305552.391587608,314186.6894983908,322732.18807314,331174.91116238566,339501.89690819744,347701.19774418505,355761.6467672427,363672.2377152592,371423.8934109952,379008.3756806166,386418.11602950003,393646.2156422316,400686.50092913554,407534.7626041235,414188.2827668977,420644.62423562474,426901.6024257294,432957.2853498955,438810.4153162805,444462.267093406,449914.80151903,455169.902564569,460229.3838557664,465094.9886726924,469768.98207418283,474255.86637932743,478560.30948685633,482686.6714070817,486639.0096382672,490421.0791666292,494036.7669550928,497491.7975900825,500791.9010447645,503942.39110583905,506948.18598601746,509813.80832402105,512543.4774920249,515142.52922173927,517616.7047851746,519971.2866496954,522211.15829953353,524340.8042357877,526364.3099764244,528285.6653434595,530109.8733448813,531841.6829891122,533485.4762932628,535045.2918629113,536524.8248921046,537927.4271633564,539256.3479640937
