Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,450043.3546254024,449935.0829351086,449816.7469860505,449688.5552598444,449550.3783989775,449401.8665685808,449242.50574089546,449071.67740073067,448888.6602373041,448692.66257095174,448482.8228901907,448258.20520826173,448017.81292722165,447760.58425081696,447485.38353771565,447191.0047126827,446876.1668584823,446539.5098879824,446179.59250589705,445794.9031334879,445383.8316330691,444944.6674566001,444475.599645686,443974.70848026406,443440.0081855958,442869.42793801316,442260.7615937183,441611.66734319105,440919.6677111886,440182.14722872735,439396.43079573434,438559.8251102697,437669.47313507507,436722.3432048316,435715.22902615956,434644.74967761914,433507.4148639471,432299.918785416,431018.878769316,429660.7105518407,428221.6282631568,426697.6444274044,425084.58849767107,423378.60887132323,421576.220844487,419673.7830019004,417667.47241167584,415553.2846253008,413327.03367763717,410984.8024633144,408523.8021902589,405941.3206151743,403234.55912151036,400400.63278253714,397436.57036134467,394339.7021492979,391109.2420668066,387744.88448321616,384246.3670586762,380613.480560931,376846.0688653198,372944.5707104674,368911.9716447595,364751.8672092799,360467.96059308277,356064.07396343845,351544.1490006633,346913.41651211237,342179.7061215755,337351.0208358604,332435.3391903819,327440.61524916266,322374.92636953015,317248.5414601302,312072.8782550872,306858.9465086779,301617.36517547636,296358.3625390627,291092.7516599132,285832.9420415101,280590.7009360845,275376.9881007693,270201.95579759934,265075.2256812298,260007.35965993456,255008.35316753222,250087.14004596282,245251.62172204297,240508.7008914964,235865.26073218882,231327.78462561432,226901.70905530587,222591.53181096487,218400.81198846106,214332.4255079053,210389.00535871007,206572.21135726577,202883.105052987,199322.17091153516,195889.31631481822,192584.09162168115,189405.36463345186,186351.2899704138,183419.9101128679,180609.15947209,177916.86439033126,175340.67505305022,172877.41993049553,170523.61209362542,168275.9002017942,166131.06428503376,164086.01574405338,162137.66580520844,160282.25740315445,158516.00086800757,156835.34885515552,155236.99126438453,153717.85523987917,152274.91585899267,150904.60740624607,149603.53291670725,148368.5392874052,147196.70964733092,146085.36335743734,145031.8759011004,144033.2804050483,143086.7961996251,142189.8491896039,141340.0692515148,140535.2902336448,139773.44617356564,139052.2225717123,138369.4489432436,137723.11904465142,137111.38423446583,136532.5534732548,135985.0740152022,135467.26394913608,134977.4653886716,134514.15470624994,134075.9234796426,133661.47849195145,133269.6417316087,132899.29679105632,132549.20995697385,132218.23874779372,131905.325572832,131609.49293197627,131329.84341568593,131065.55970499197,130815.86884058679
B,441039.7704106133,441005.39942162967,440966.6530486762,440922.6690667219,440872.6632869857,440815.8919306229,440751.6277594406,440679.1347826542,440597.6605078569,440506.41754802264,440404.57794409496,440291.27034509415,440165.56525881274,440026.4730694023,439872.9467029196,439703.8691509233,439518.04704742326,439314.2084773748,439091.00564961066,438847.01484655926,438580.71348839416,438290.4789002223,437974.5883120856,437631.2113686101,437258.4358993082,436854.2528028803,436416.51869689015,435942.95565404533,435431.15120219695,434878.55460815446,434282.5224998861,433640.3589589487,432949.2030847891,432206.01965837716,431407.5991422048,430550.55768028693,429631.37722947024,428646.63620158343,427592.81671408727,426466.19785992714,425262.85568974295,423978.66321187036,422609.30388768786,421150.6723651788,419598.9422599794,417950.1267755642,416200.05421020056,414344.36795694905,412378.5265036628,410298.18618156796,408099.96480601275,405780.5452304223,403336.52380892495,400764.4104470515,398060.6286017365,395221.86281314545,392246.50486172317,389133.41346863145,385881.5087546693,382489.7807039413,378957.2891638577,375283.66885219235,371470.9811482195,367521.92820615415,363439.3707251972,359226.33822438045,354886.02954683395,350422.9383917303,345844.15971493104,341157.0533124623,336369.03955270536,331487.59937639785,326520.41835135384,321477.4432061631,316369.89313577954,311208.6802091319,306004.4205736217,300767.43457919406,295508.7269640601,290241.059583417,284976.648242316,279726.96235486626,274502.72494423477,269314.1942223189,264172.7117604225,259089.14254149486,254073.28849272954,249133.91519880763,244278.78649940266,239515.7121591225,234852.18789517172,230294.61173029584,225848.3786807225,221517.88075616292,217306.78730193488,213218.59563028248,209255.78603925783,205420.15018708652,201712.81276207368,198134.23148260385,194684.46868926843,191362.94439633802,188168.28240210324,185098.92152290267,182153.12006205958,179328.95580988226,176624.27587956665,174036.14099963504,171561.22084215964,169196.2781768576,166938.1742850996,164783.86895990965,162730.29597615375,160773.6988736309,158910.25103252172,157136.35940577922,155448.6608451219,153844.02210103377,152319.34703843985,150870.96579168396,149495.36665553384,148189.28702872392,146949.7058867533,145773.8437818859,144658.97381786254,143601.99713629702,142600.00345501758,141650.29906351824,140750.40414258017,139898.0527642714,139091.08188134915,138327.05514674805,137603.68490177882,136918.8579541586,136270.6285658158,135657.2184528904,135076.99590768016,134528.18498452965,134009.03059108753,133517.92123275582,133053.36874927528,132614.00831472513,132198.5984375236,131805.9623668847,131434.7913649064,131083.87336616262,130752.0876155967,130438.39946023274,130141.86034917543,129861.60783361022,129596.82606285947
C,582118.9465091783,581872.604081906,581604.4617573255,581315.86184277,581007.2259810413,580678.3933814148,580328.7874437972,579957.5925954276,579563.7653282194,579146.1345773744,578703.4085049897,578234.1665440771,577736.9090844906,577210.048397767,576651.8865499896,576060.6378367977,575434.4246480487,574771.2695181437,574069.091587387,573325.736346358,572538.9302921923,571706.2776997221,570825.2606214773,569893.2304198804,568907.4983527877,567865.3012063407,566763.7176442854,565599.667669853,564369.9126257577,563071.0561601461,561699.7157460713,560252.576315432,558726.1462028419,557116.741131664,555420.4842140097,553633.3059507397,551751.0844201293,549770.1494871841,547686.8117753272,545497.1743966475,543197.1329423763,540782.3754828875,538248.4174686451,535591.4506177546,532808.3475423014,529895.8393428904,526850.4867791876,523668.68026992003,520346.6398928758,516881.1138262769,513270.6131200206,509513.78862486116,505609.21702190634,501555.4009290056,497350.7689007511,492994.2218370084,488487.2695797419,483831.99680478196,479030.4908647926,474084.85668638034,468997.21677009563,463770.4105857197,458410.4031893544,452923.7232755589,447316.8659807937,441596.30853212957,435768.51092376886,429841.3126230382,423825.3422746571,417731.15231012146,411569.0361179783,405349.02804382605,399081.07478568895,392777.30571596534,386450.75841596443,380113.79362753767,373778.1341038608,367454.86476117134,361155.47450077516,354892.7967084033,348678.78456363664,342524.430461531,336439.7660126168,330434.14440969087,324517.63158476667,318699.53579252877,312988.080956284,307390.44271508255,301912.781017947,296561.11092449457,291340.8730166819,286256.51837842143,281311.6428563285,276508.98705972073,271850.64657959976,267338.2962058399,262972.65965935343,258753.9765784314,254682.0230084137,250756.11140168915,246975.2182775707,243337.4651865887,239840.33280544815,236481.2812764744,233257.7537330552,230167.17629964097,227206.85106291715,224373.07694385832,221661.90135294964,219069.56659018376,216592.4885803753,214227.25687316156,211970.47855808123,209818.02280612214,207765.75148880863,205809.79296115733,203946.53467293456,202172.62316865576,200484.7578944593,198879.0561707154,197351.82007948062,195899.60990305914,194519.23567508455,193207.7571805194,191962.29234930815,190779.5930029597,189656.60731459575,188590.50176362428,187578.65836927237,186618.6746905858,185708.25385791462,184844.83286423405,184025.99989523122,183249.51859102465,182513.3210725331,181815.5079414753,181154.32772990002,180527.89014536538,179934.32824775495,179371.92022272813,178839.0695328595,178334.30491763828,177856.28039346903,177403.71728160526,176975.20849635455,176569.44501581986,176185.2117776867,175821.38255794317,175476.91997087942,175150.8754690883,174842.34950466483
D,3.6016266534277527e6,3.60044333631143e6,3.599152852586348e6,3.59775999054464e6,3.5962654361434407e6,3.5946672675254936e6,3.592961680583771e6,3.591143763958564e6,3.589207533128152e6,3.587146365865442e6,3.5849530231582453e6,3.5826196044350876e6,3.58013775773971e6,3.5774986342486446e6,3.5746927833992583e6,3.57171024095575e6,3.568540503048871e6,3.5651724869897924e6,3.561594507692327e6,3.557794407586873e6,3.5537593290763237e6,3.5494756986239757e6,3.544929226753527e6,3.5401048520097816e6,3.534987157921026e6,3.5295602129048235e6,3.5238071468228507e6,3.517710148159466e6,3.5112504640217135e6,3.5044083944974383e6,3.497164080819242e6,3.4894978188723065e6,3.4813888184304554e6,3.472815116741457e6,3.4637535785270315e6,3.4541798959828443e6,3.444069239880447e6,3.4333988053290993e6,3.422145478791671e6,3.4102848357955725e6,3.397791140852331e6,3.3846373474575887e6,3.3707952680584327e6,3.3562398731407155e6,3.340949452927694e6,3.324901324656727e6,3.3080716611037273e6,3.290435490583165e6,3.2719666969480608e6,3.252641669944894e6,3.232445940821467e6,3.211365676950858e6,3.1893864889745014e6,3.166493431341944e6,3.142671002310839e6,3.117906108673026e6,3.092199835395102e6,3.0655565449033114e6,3.0379807035919814e6,3.0094769607886667e6,2.9800501487541604e6,2.9497092231058883e6,2.918481069419486e6,2.8863962778272354e6,2.853485710757401e6,2.819780589347052e6,2.785312497315118e6,2.7501215496298615e6,2.7142650460787863e6,2.6778007585827084e6,2.6407857592099323e6,2.6032764201762546e6,2.56532943354047e6,2.5270156907366677e6,2.488412976381661e6,2.4495959817839884e6,2.4106364855842288e6,2.371603354643984e6,2.3325690093266615e6,2.293615811761856e6,2.254821706217395e6,2.2162593734392175e6,2.1779962306513777e6,2.140096218214193e6,2.1026291052208724e6,2.0656608827552078e6,2.0292508747942296e6,1.9934519372469126e6,1.9583106683394744e6,1.9238734209250512e6,1.890183792607697e6,1.857278806624002e6,1.8251896223515645e6,1.793941535308991e6,1.7635555042361058e6,1.7340504943865817e6,1.7054391492119618e6,1.677730298337503e6,1.6509290896954953e6,1.6250369895252537e6,1.6000530205727285e6,1.5759711615593364e6,1.5527806299560468e6,1.5304698599379857e6,1.5090265278896445e6,1.488437552404882e6,1.4686885714937102e6,1.4497591640978402e6,1.431626641808802e6,1.4142691358673135e6,1.3976655443648132e6,1.3817955322434627e6,1.3666386069634815e6,1.3521693938450636e6,1.3383621104261442e6,1.325192533317848e6,1.3126379634636284e6,1.3006772261392656e6,1.2892893451049181e6,1.2784493625495497e6,1.2681333573587753e6,1.258319044956061e6,1.2489857251000104e6,1.2401142818843676e6,1.2316859051879449e6,1.2236792048058647e6,1.216074021193438e6,1.2088516328385188e6,1.2019947382650592e6,1.1954874560331088e6,1.1893145734666258e6,1.183458979509364e6,1.1779045385257863e6,1.1726362949202294e6,1.1676404263189966e6,1.162904243570352e6,1.158416048522325e6,1.1541631352222424e6,1.1501329092240871e6,1.1463137636085837e6,1.1426949447290946e6,1.1392665522116176e6,1.1360195389547886e6,1.1329453046808506e6,1.1300343141832808e6,1.1272776923519464e6,1.12466720929269e6,1.1221952447614095e6,1.119854788164062e6,1.1176394385566618e6,1.1155431217808593e6
E,567328.793417573,567170.2263697688,566997.4414180806,566811.1846895571,566611.6187186622,566398.5306259613,566171.4344084123,565929.6799366097,565672.458815008,565398.8659631105,565107.9029893547,564798.4714535677,564469.4029789222,564119.4527357576,563747.2828251548,563351.4744596372,562930.5246050017,562482.8403683286,562006.7318626405,561500.4277449829,560962.0452031437,560389.5878125895,559780.9455364654,559133.8839689817,558446.0899893187,557715.15401525,556938.5133711337,556113.4518862016,555237.0998945608,554306.4313952785,553318.3498452273,552269.7360054122,551157.2856295103,549977.4971871744,548726.6718640322,547400.9135616862,545996.2009042772,544508.7148521061,542934.547841666,541269.5640462067,539509.3993586617,537649.46139165,535684.9500226262,533611.415677759,531424.8131294512,529120.9170036243,526695.2938843762,524143.30231398204,521460.0927928947,518641.10838869703,515683.0399631822,512582.65543829807,509336.61814981716,505941.4869173746,502393.71604446834,498690.08674136916,494829.46555819135,490811.2450233485,486634.85938581394,482299.7955681626,477805.59316657076,473152.44891615544,468343.3927539906,463382.1364545126,458272.5196258162,453018.5224250686,447624.26616021834,442095.3257837726,436440.204621664,430667.6329017366,424786.35046508635,418805.10676606063,412732.8276951353,406580.9578557351,400362.30448736553,394089.2837954474,387773.9401294136,381427.9461268655,375063.7121486078,368695.5674905221,362337.2030149338,356001.4702634547,349700.3814569829,343445.4240470371,337249.2687716587,331124.04113595135,325080.7020781723,319129.07906735,313277.9041325047,307535.9529439495,301911.63474516023,296412.16008402355,291043.6492654151,285811.1323511993,280718.84945847874,275770.8112198183,270969.8974081733,266318.23602395074,261817.22707287903,257467.54256600712,253269.4081402655,249222.27185011585,245324.68695439905,241575.0030684648,237971.3710494044,234511.74299605138,231193.80630518898,228014.29356291128,224969.48480103113,222055.76228563616,219269.61314195325,216607.62935434806,214066.36034053421,211641.52845308886,209328.76014692086,207123.9418788963,205023.2156711093,203022.97911088192,201119.65969635104,199308.9955024666,197586.8953754233,195949.55088865446,194393.42762487385,192915.26517607563,191511.8549723491,190179.53622374855,188914.86013651674,187714.62849357893,186575.89054735305,185495.94301974963,184472.19844128567,183501.73494599166,182581.79998614866,181709.84652465867,180883.5248378322,180100.68251538867,179359.33948082,178657.33723678975,177992.53560292855,177362.96593295285,176766.807471522,176202.38735423822,175668.18060764603,175162.73892359113,174684.44906596295,174231.81224742078,173803.44090380124,173398.0524453179,173014.46925656134,172651.6186964993,172308.48389546896
F,798528.7857485869,798377.158332181,798210.0438855698,798026.6861150876,797826.0872270106,797607.0892016742,797368.4048826803,797108.6517079807,796826.3436796465,796519.9046669971,796187.6625542461,795827.8422060705,795438.5641553344,795017.8384214961,794563.5603836881,794073.5028054147,793545.3055790417,792976.4700375702,792364.3628137755,791706.2277324112,790999.1386804024,790239.9967922585,789425.5304500745,788552.2838050601,787616.6895889365,786615.0351067368,785543.3818843167,784397.5651316086,783173.1937426252,781865.6467273802,780470.2088941492,778982.1433233742,777396.4480824658,775707.8380882444,773910.745106942,771999.3177541993,769967.5367627514,767809.7263050628,765520.1065180915,763092.581159351,760520.7375825266,757797.846737479,754916.8959351707,751871.4665629279,748655.8148807273,745263.9676712368,741689.6804865143,737926.4376480097,733967.4522465616,729806.4476822269,725439.1369692212,720861.3990758404,716069.0011518433,711057.5986389864,705822.7352710229,700360.5061191801,694670.2460839946,688752.1146585207,682606.3527736111,676233.2997260481,669633.3931785446,662808.0800430814,655763.0721900448,648505.0673654081,641040.91235307,633377.622222196,625522.3812229122,617484.4792113005,609277.4360520847,600914.9906320409,592410.7872179685,583778.3754566896,575031.4538930664,566187.2398421151,557264.7335722453,548282.220935413,539257.3074653606,530206.9185905061,521148.88221716334,512103.5330615783,503090.1329775885,494126.6309051639,485229.66287040553,476414.99645573326,467699.86950081424,459100.5882567947,450631.77148172254,442306.3986259174,434135.86307109817,426131.50862637704,418304.0159642781,410662.4063459162,403214.21659356926,395965.4990906793,388921.2172336088,382085.8977508815,375462.50376576127,369053.04175622156,362858.5948941074,356879.32304513536,351114.79543422296,345563.4172119984,340222.4296485809,335088.88106984395,330159.6332842711,325431.3615829561,320900.4375861103,316561.83237211243,312409.9773012808,308439.50835864904,304645.2572157071,301022.25123040105,297565.49529652996,294268.8547896931,291126.11278047966,288131.43700786965,285279.3717523284,282564.83783580584,279982.81719933305,277527.36203537614,275192.78463662043,272973.7949424804,270865.4880360308,268863.3441440057,266962.9251848074,265159.1941373594,263447.4143478518,261823.1936814329,260282.4802129132,258821.56222676593,257436.89090673273,256124.47787736834,254880.57053497393,253701.69547354782,252584.64733238568,251526.48879607947,250524.51721074505,249575.79777612642,248677.4269259962,247826.7325727586,247021.24208576462,246258.68229131217,245536.9794726458,244854.16490898703,244208.05578627676,243596.62474754069,243017.9937231037,242470.4255968987,241952.3242064677,241462.23434296073,240998.7769932576
G,481360.7244927359,481334.40998119407,481304.8481731624,481271.45830237947,481233.69881649304,481191.04458634934,481142.9721946585,481088.94426958205,481028.40427830967,480960.7647174151,480885.4031057822,480801.65943116625,480708.8261180025,480606.1462213438,480492.81410428183,480367.9660609815,480230.6753156591,480079.9500722787,479914.7335117324,479733.90264112,479536.2501078235,479320.4832042773,479085.2238679674,478829.00094773626,478550.2635103365,478247.36982841574,477918.55816223857,477561.9465407831,477175.53276174143,476757.1900447069,476304.68528262764,475815.7094811105,475287.7950303995,474718.3081686351,474104.44898185454,473443.2514039909,472731.59714466496,471966.3607625263,471144.285478929,470261.9014683054,469315.5258396795,468301.2626366689,467215.0092982772,466052.6987185489,464810.3633485557,463483.82637404045,462068.6798585239,460560.28474330466,458953.77084745973,457244.2855762556,455427.528415224,453499.1441110955,451454.6016510796,449289.19429147517,446998.03955767123,444576.32805869606,442020.39453699294,439326.8514545692,436492.28145650704,433513.24301487114,430386.270428709,427108.2738591284,423678.0527578869,420094.9493048098,416358.4673990797,412468.28059723903,408424.232544946,404227.32671601116,399880.9788521997,395389.04675266554,390755.64680049615,385985.1539627123,381082.3373512112,376054.3963090023,370910.1803799484,365658.6232246858,360308.7431805493,354869.6433731144,349351.53389379726,343767.0837492395,338128.9105766322,332449.265582685,326740.03354362457,321013.0356083631,315281.9486560105,309560.54223152844,303861.6786287168,298197.32809443923,292578.60601805896,287017.130266421,281524.80795716465,276112.3424203965,270789.24470989296,265563.8336031008,260443.6254428878,255436.4523806987,250549.0336277849,245786.9851210672,241154.841269877,236656.05495595562,232293.53338818887,228069.84109249705,223986.3450828022,220043.82433163424,216242.47606778648,212581.91577631587,209061.23435400386,205678.98519876355,202432.8950371702,199320.52237135477,196339.3194701112,193486.63236889572,190759.6246316768,188154.6540174396,185667.76831061076,183295.18268890653,181033.28513167563,178878.63641989845,176827.761135881,174876.41002139178,173020.41300448994,171255.87266187137,169579.15765859396,167986.90274807718,166475.76691448162,165041.8491245427,163681.4437733993,162391.11976875423,161167.71743530652,160008.3485147514,158910.24032842545,157870.1879402496,156885.16071919177,155952.3650169043,155069.2348922961,154233.43211153217,153442.81535342618,152695.0017410539,151987.6078307803,151318.4523727907,150685.5284705858,150087.00358098198,149521.2195141111,148986.60208601225,148481.3516574883,148003.80022931052,147552.41198607173,147125.7754813099,146722.60363750806,146341.73374609396,145982.0641300133
H,282388.10969804256,282351.73273183504,282311.1073716552,282265.6340484927,282214.746683364,282157.89838175254,282094.5497678237,282024.1566899707,281946.1644540672,281859.9976987161,281765.0563525133,281660.7138057398,281546.3075843327,281421.13783636445,281284.46985128266,281135.52604538336,280973.4812339084,280797.4611306077,280606.54631948407,280399.7738052191,280176.1197405535,279934.4985025163,279673.76269242563,279392.69980245986,279090.05668996123,278764.52586625674,278414.7186319492,278039.16490315576,277636.3132115072,277204.5293070738,276742.139858356,276247.4565647156,275718.6941251742,275153.96405050345,274551.2746632256,273908.5310976131,273223.5718410244,272494.3391891054,271718.7307529309,270894.5266598701,270019.3895443253,269090.86454773194,268106.38993639254,267063.58993059944,265960.3077509375,264794.2976969226,263563.210021479,262264.59093093977,260895.8825850462,259454.68833515144,257939.2846362761,256347.99951090323,254679.11374651233,252930.86093214466,251101.42745840334,249189.18246030068,247193.6208384591,245114.53002473078,242951.72596979345,240705.05887566204,238374.41319568886,235960.0304326328,233463.6768066641,230887.48766879234,228233.66386989437,225504.47844724174,222702.27694380423,219830.1785655662,216892.86680936572,213895.13462423428,210841.76397607801,207737.52584767767,204587.26931061296,201397.17339993385,198174.12581900897,194924.78006345243,191655.5652485847,188372.68618691526,185082.7176079045,181793.23403605525,178511.4430107472,175244.0792874159,171997.404837553,168777.3782085478,165590.5708120145,162443.24345046346,159341.02191243012,156288.9139993312,153291.33008725476,150352.69762628977,147477.24375951622,144668.55578554812,141929.64088775747,139262.92613427495,136670.42056447009,134154.0238548381,131715.04373483325,129354.39755759866,127072.62505179865,124869.88832161837,122746.12430190964,120700.88324164209,118733.2562373679,116842.23625094973,115026.72069602959,113285.51143802902,111617.28222117305,110020.23114889997,108492.33061585322,107031.61393342695,105636.17733261827,104304.17996402737,103033.76840934326,101822.67414883932,100668.58707263233,99569.33801294818,98522.89648656188,97527.37069479731,96580.89113394354,95681.24022201575,94826.29406101414,94014.078587032,93242.76505036629,92510.67001551809,91816.14075892512,91157.2962088007,90532.3677179606,89939.7175104774,89377.83706861774,88845.34713284232,88340.92994269417,87863.09838211224,87410.45420021076,86981.70526473124,86575.66131536927,86191.23396377439,85827.42387012586,85483.141309047,85157.30726699182,84848.93060061533,84557.09576057944,84280.96279155264,84019.76733221026,83772.78427545396,83539.20504218823,83318.27980687155,83109.31512981725,82911.67075097757,82724.75958994369,82548.04774594557,82381.02963975121
I,428507.16328490654,428416.0084912407,428315.5216643677,428205.23062945646,428084.53725873795,427952.76451780554,427809.17368574557,427652.98280481645,427483.36158598715,427299.43802699115,427100.2948108339,426884.96606240585,426652.43528716575,426401.63201096974,426131.4318399626,425840.6511374256,425528.0404445958,425192.2813011047,424831.99241033033,424445.7380138047,424031.99771855545,423589.1647505033,423115.5459544618,422609.3578381488,422068.7771458591,421491.9148746021,420876.76825711445,420221.22046540515,419523.04061075585,418779.8831288281,417989.3776758315,417149.1621128018,416256.7391439313,415309.4664061084,414304.55646891706,413239.0768346372,412110.0217029786,410914.60029643984,409649.9708602197,408313.124151243,406900.8834276892,405409.90444899164,403836.6941770491,402178.09575242543,400431.31424630125,398593.42132838233,396661.3340143738,394631.81466598046,392501.4709909065,390267.1728664738,387926.82592595846,385478.3936132697,382919.7527929754,380248.69381029205,377462.9204910849,374560.3965743004,371540.73912021983,368403.9517684578,365150.0430081085,361779.0351675744,358290.9644145665,354686.35400566825,350967.89652567735,347138.75966685824,343202.16343351256,339161.3903046824,335019.78570461017,330781.7680724015,326453.93809976004,322043.01324274944,317555.67194586335,312998.55364202475,308378.38668378955,303703.76482865267,298984.2581717581,294229.10914735054,289447.2505001443,284647.3053960074,279838.4262555014,275031.17525199056,270235.61715889827,265461.17974580347,260716.65377844067,256010.4290671805,251351.76990899205,246749.52667639486,242211.68478737536,237745.38849252224,233356.9691955694,229052.79138549394,224838.94617271711,220720.63893082849,216702.2710478661,212787.43992631653,208979.1612335912,205280.2800338809,201692.80476612534,198218.19156787812,194857.3619485591,191610.702789454,188478.2740928054,185459.55661151413,182553.3698990579,179758.3882965431,177073.1445633687,174496.02987722616,172025.24384081998,169658.27422820762,167392.27613392024,165224.48635345785,163152.22503617988,161172.8956853054,159283.8744742028,157481.92213423754,155763.7317813585,154126.1945417894,152566.39618281595,151081.61711278604,149669.1631621565,148325.82688921096,147048.531664597,145834.41448104428,144680.81939743,143585.29753877822,142545.44065808892,141558.5043348731,140621.90462848413,139733.24603919452,138890.31917337852,138091.10074351216,137333.65509414885,136615.79814591474,135935.4736414377,135290.7793054735,134679.96069447082,134101.4111965714,133553.6533767441,133035.07751343914,132544.08869838386,132079.2202113234,131639.11576275027,131222.52949390415,130828.32597677203,130455.42719734988,130102.6331647932,129768.82965757835,129452.98526210288,129154.14670717198,128871.43886399831,128604.06474620217,128351.26908117392
J,799947.678574859,799908.8614124809,799865.1967142189,799815.7858123526,799759.8014262021,799696.450619077,799624.9509653412,799544.5051352261,799454.292694154,799353.4510973863,799241.069454283,799116.1848915116,798977.7665896077,798824.7131773882,798655.8544656516,798469.9368721424,798265.6157764865,798041.452742889,797795.9162092473,797527.3792979266,797234.0926624774,796914.1830248282,796565.6531752854,796186.3709088569,795774.0879690145,795326.4226798647,794840.8174820569,794314.5386172202,793744.6761279646,793128.1373739224,792461.6703526564,791741.9058347701,790965.2381703758,790127.8143725969,789225.5341175664,788254.0497444294,787208.7816251296,786085.1164085912,784878.2327460457,783582.9836281132,782193.8963569247,780705.1725461234,779110.6959098149,777404.3538649051,775580.1294231284,773631.6662141405,771552.2358638643,769334.7379944897,766971.7002244751,764455.6097678455,761779.6436946036,758936.8340042658,755919.890729826,752721.201973224,749332.8339053462,745746.8683321291,741956.8736259905,737956.7192886892,733740.1386149536,729300.7360022456,724631.9869507604,719727.7946114131,714584.6144872804,709199.5932371676,703570.0306266638,697693.3904047669,691567.3009234838,685190.9803916226,678567.0786856527,671698.8878573873,664590.0815504778,657244.715000412,649667.4277494719,641866.5170646842,633852.8722688151,625637.664541403,617232.3477341632,608648.6585400604,599900.2196814002,591004.7919369343,581980.3952140072,572844.7924988973,563615.4898568178,554310.2212983464,544950.20388843,535557.3539270961,526152.4914234668,516755.35652344767,507384.6670839872,498060.4604510387,488803.99329910957,479634.8135913197,470570.68955634936,461627.60968843946,452820.45375588856,444165.30662669666,435676.744907914,427367.37502683053,419247.86160419276,411326.92745420476,403612.414852043,396112.2365571113,388832.2196335127,381776.82741394197,374949.16993590654,368351.00394172786,361982.9734769056,355845.4376344329,349937.0066366875,344255.639860981,338798.8129055973,333563.51758979075,328546.2510663722,323742.2866699203,319146.0708753114,314752.14165815955,310555.15169104905,306549.86834353296,302730.8826658651,299091.432694912,295624.69857744843,292324.25412195176,289184.06076443323,286198.4675684373,283361.80527210893,280667.3261741236,278108.539007817,275679.42202029197,273374.41840363253,271188.4362949035,269116.5612567018,267153.00707950484,265292.2581419728,263529.23404665635,261859.27357348806,260278.13467978334,258781.93471798114,257366.2807431005,256026.73042326787,254759.2257360824,253560.04276999316,252425.7917242988,251353.41690914793,250340.01297457577,249382.18330576646,248476.7733765136,247620.88813951597,246811.87653789355,246047.33150518834,245325.08996536373,244643.09857828644
