Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,11.468812130824215,12.73558042465027,14.128301182764108,15.650059116250029,17.30525824585923,19.098527876362823,21.03459411333223,23.11810608154132,25.354053146759526,27.747879146116926,30.305732627580053,33.03454749930454,35.942349791761394,39.0383445467355,42.33268851489619,45.836724939150834,49.563211836376986,53.526355783804725,57.74132737799055,62.22408257127057,66.9921446988,72.06464269364929,77.46231108680394,83.20748094996179,89.32227753718855,95.829580525516,102.75442013676125,110.1239847593353,117.96762094824298,126.31690669611012,135.20267376601169,144.65348399662417,154.7009369935046,165.38006293745912,176.7293225845429,188.79060726606087,201.60729551225472,215.21319316796158,229.64235646117206,244.93439371224324,261.13446621590117,278.29328824123786,296.4666694189183,315.69855212534736,336.0173310877768,357.4581325730122,380.0643727212808,403.8877575462318,428.98828293493625,455.41955941567807,483.1950247528257,512.3293027156546,542.8481189392257,574.7882996828606,608.1977718301405,643.122183913627,679.5431707761342,717.4322805275012,756.774963236494,797.570381859098,839.8314122385124,883.5637354761316,928.6829539793737,975.0941721235547,1022.7196419900605,1071.4984435643369,1121.3864629470836,1172.3040980383748,1224.069930608844,1276.5123899355556,1329.481797256012,1382.8503657681479,1436.5046940787424,1490.2366470030884,1543.7880179056388,1596.9306883009,1649.4660458873402,1701.2249770991255,1752.0102353822626,1801.5290407884252,1849.5167402877,1895.746175881893,1940.0276846045235,1982.1913120521376,2021.988321683817,2059.180914404086,2093.574041261146,2125.0135964773553,2153.384176337024,2178.5426193801704,2200.3415655215717,2218.675270109004,2233.4728384419614,2244.698225771654,2252.332815689523,2256.350467596988,2256.77116299499,2253.633295077033,2246.992161480893,2236.9199642886206,2223.491666356804,2206.8276179629747,2187.090241127295,2164.431824474392,2138.9941980700887,2110.9087334214023,2080.3047330306213,2047.385554737733,2012.3743232343309,1975.4706723513045,1936.8518520978955,1896.672728661693,1855.0804154588363,1812.2881380467497,1768.5085408387383,1723.9260583640207,1678.6975395269033,1632.952247606774,1586.8127833421267,1540.4597032734964,1494.0549870998284,1447.7351518593107,1401.6121151233965,1355.773194996801,1310.3012461830258,1265.3180429219747,1220.9264900861942,1177.2096770903304,1134.2311789326045,1092.0350561948103,1050.6575596277883,1010.1651835954699,970.61095242481,932.0336393836292,894.4585489204937,857.8975166647141,822.3511070695198,787.8381592099508,754.3777203411672,721.97814273616,690.639420837923,660.3531912594523,631.1027327837461,602.8689217326112,575.649394713813,549.435306200123,524.2126933107982,499.9630278613769,476.6632163636774,454.28560002580247,432.8018062564424
B,0.8371395715930084,0.9380185884397643,1.0925833467164778,1.332013581739162,1.6775623251359795,2.1443024459203253,2.743208022762711,3.4833632735432065,4.372331783585901,5.417553712964544,6.626584447217537,8.007056313305393,9.567565653814198,11.31763470793434,13.267302458845647,15.427673228559998,17.811081686582384,20.431084694128845,23.302095297040733,26.439483420147422,29.86003684397666,33.58197789143969,37.624963427830984,42.01015609425506,46.75924710861059,51.894968760953134,57.44201537614154,63.42704895549143,69.8786991767751,76.82767863231096,84.3051108701085,92.34108401469834,100.96842505761676,110.22301127049168,120.14377020504263,130.7726796930815,142.15374619779342,154.32453573789167,167.3230910986842,181.19233420140858,195.98006702826905,211.738971622434,228.52634065283644,246.3910497390254,265.3691043614466,285.5023416102858,306.8399378346551,329.4384086425933,353.3616089010661,378.6687106204654,405.38409846821287,433.5326076316248,463.14901112544925,494.27801904081946,526.9742785452511,561.2906463284917,597.2217156082747,634.7514469119233,673.8763216096097,714.605215647032,756.9593995454082,800.9532257198204,846.5150703136445,893.5613204596826,942.0240473345552,991.8507435967133,1043.00430326395,1095.4126345287455,1148.9018555223302,1203.3056998971456,1258.4785009311468,1314.2951915278,1370.6439439703217,1427.316591058336,1484.0510147891991,1540.614088552527,1596.8014820928108,1652.437654196827,1707.3169829194444,1761.1315270302002,1813.5999520297619,1864.4789707135812,1913.5633431718973,1960.667330892227,2005.5186596204235,2047.8525143674417,2087.4490900944393,2124.131873382122,2157.7652738480733,2188.181320792677,2215.201221625297,2238.6911362887395,2258.556116847904,2274.7401074897844,2287.2062441079415,2295.9021129976195,2300.822863862139,2301.9868682827487,2299.434153322958,2293.2264015285355,2283.4284844456124,2270.1451572204855,2253.5280221287217,2233.7220982032604,2210.8654608834663,2185.0892420151317,2156.524679266508,2125.3734447519264,2091.862236158432,2056.1959732259993,2018.5581127019846,1979.110648341126,1938.0084785990543,1895.4750882529631,1851.736016025756,1806.9878955973943,1761.3989648940305,1715.1090660879988,1668.251471312824,1621.0216111037914,1573.5965228742996,1526.1261862203908,1478.734397513666,1431.518769901285,1384.5723336317724,1338.0308598792508,1292.010310002363,1246.6050740488115,1201.8882877571664,1157.9118325568595,1114.7191319588433,1072.3871521866724,1030.9784115655023,990.5396442343783,951.1026446968107,912.684267820776,875.2888604090444,838.941134874646,803.6662656896586,769.4774467909012,736.3784404917594,704.3635774821835,673.4177568286909,643.5231186132359,614.6806253922019,586.8839774628709,560.1210064018137,534.3742901170621,509.6211528481082,485.83366516590837,462.98300442743226
C,27.541891905409976,30.57062984480153,33.83155807738742,37.28461025370949,40.910595569824785,44.70242429226972,48.6610955679454,52.79137577757046,57.10185869130546,61.60264167846196,66.3053380432482,71.22330320312567,76.37062487507755,81.76238011923489,87.41496078856902,93.34562330323271,99.57270438822236,106.11580018102252,112.99544653636384,120.23229332038123,127.84851623187771,135.8679069651479,144.31587320997792,153.21952340047866,162.60444236252656,172.49613450207366,182.9226218740743,193.9144593738785,205.50473473723122,217.7290908218035,230.62018305605443,244.20570508925564,258.51700510468635,273.58967539432433,289.4635523588454,306.1827165076251,323.7916749637291,342.3182516491233,361.78969380165563,382.2402278269257,403.711060218745,426.250377559134,449.91248037123876,474.73150247522136,500.71874436421433,527.8940601467889,556.2876712943797,585.9401666412865,616.9025023846721,649.2145827339397,682.8612562232487,717.8296784149804,754.1207860934884,791.7492948689819,830.7436991775224,871.1283837391445,912.8469517533516,955.8335320527241,1000.0396148397499,1045.4337012712751,1092.0013034584995,1139.7194547430738,1188.4624792432737,1238.0979159779172,1288.5144995866144,1339.6216818613004,1391.3496050966132,1443.5911018490572,1496.1364543186453,1548.7922007482127,1601.3905828509073,1653.789545810189,1705.864780047564,1757.401383805971,1808.1451125054107,1857.8749372455857,1906.4013566329509,1953.5663889810298,1999.189186567294,2043.0110828081224,2084.805163019675,2124.3801815265656,2161.5805616618545,2196.270705883544,2228.255345972343,2257.357338491869,2283.435982349103,2306.3850593216207,2326.1309661654977,2342.5829956329026,2355.65902169283,2365.3098971948775,2371.511782739801,2374.2661466795125,2373.587786746613,2369.499354304972,2362.0639489871805,2351.3536007878315,2337.4479874191657,2320.434434311067,2300.402355176895,2277.4942472576213,2251.8843248983508,2223.731539645402,2193.1793369385155,2160.3556561108567,2125.3831137821535,2088.4617065222847,2049.8028548823063,2009.5930391109096,1967.9960884957782,1925.1531813635859,1881.197272062655,1836.3224720074425,1790.7196167206469,1744.5533417075824,1697.9628140494788,1651.0617324034733,1603.9574426254887,1556.8092346194312,1509.7589556176047,1462.9256218306537,1416.4062224256247,1370.2757195259653,1324.6050487426073,1279.4998833763211,1235.0490772858186,1191.323878628584,1148.378199350488,1106.2486151857884,1064.964795536149,1024.5836495633146,985.1503117641416,946.697192383072,909.2446686319659,872.801084690099,837.3647212514031,802.9505161116574,769.574014542285,737.2411263319758,705.9501732284112,675.6918889382647,646.4494191272006,618.2037647456821,590.9515735716285,564.6838122035267,539.3866892946062,515.042151686131,491.62788440739786,469.1173106757413,447.4832507290133
D,125.23607991031407,138.9834323783709,153.6583352357358,168.9980347294252,184.87477874869472,201.24432642458015,218.11959080364838,235.54248962124848,253.58123147199666,272.3136382735486,291.8253997063805,312.2112062161369,333.5656635812233,355.9845416750946,379.56899095226436,404.4210696232541,430.643769628574,458.342281819256,487.62567931782723,518.6021155397558,551.3845953168752,586.0914307672855,622.8462412953511,661.7797437209827,703.0179002096045,746.6856088793648,792.9187929822374,841.8644835977525,893.6808196329963,948.5373488223989,1006.5932954915302,1067.9882973873393,1132.8786328151157,1201.439800663142,1273.866520402695,1350.37273208805,1431.176552397213,1516.428363157051,1606.2774940938048,1700.9048161208411,1800.5227457629544,1905.3752451563494,2015.734361725614,2131.789839663096,2253.634549515542,2381.399934130658,2515.264310769857,2655.452871108252,2802.237681234666,2955.846085824115,3116.2666895064904,3283.4979991019836,3457.600803877377,3638.698165943988,3826.9754202576532,4022.601691371941,4225.386542926987,4435.093539242026,4651.564067399062,4874.715914060217,5104.543265467691,5341.001617170429,5583.572872385215,5831.699299267574,6084.91743213559,6342.8560300881345,6605.235956740891,6871.599451751184,7140.991209671577,7412.520383536538,7685.411060084793,7959.00225975929,8232.710139879342,8505.498337632616,8776.112447822034,9043.449352425574,9306.551363106411,9564.606184259133,9816.674549510411,10061.390915647236,10297.530882304762,10524.04415647845,10740.054552524043,10944.778758936596,11137.088812096692,11315.919251577574,11480.395628402857,11629.825625540008,11763.689124351173,11881.350790342483,11982.172514050892,12065.69953085169,12131.62790595643,12179.804534412906,12210.153568710795,12222.586349908719,12217.223781834877,12194.26379610224,12153.974675204896,12096.695052518042,12022.778369977095,11932.80717079863,11827.55426277545,11707.74218278211,11574.041763834084,11427.072135087757,11267.44253283386,11096.125227282733,10914.185832917557,10722.579207247318,10522.15562558639,10313.660781054517,10097.80582444647,9875.624440588334,9648.152915616653,9416.293943589208,9180.819505676176,8942.370870160075,8701.559561700822,8459.284518992697,8216.36009366848,7973.476971381554,7731.206234722527,7489.999363219238,7250.287462079769,7012.700558772827,6777.7790481743095,6545.96386652359,6317.597933752757,6092.926153486609,5872.154623302116,5655.647327847534,5443.7030740052505,5236.546555700029,5034.332200250896,4837.144168371132,4645.00774647267,4458.045176993875,4276.383393273058,4100.0921072063675,3929.1953928196194,3763.671686268287,3603.453785837503,3448.460941468604,3298.7044316501565,3154.1615821299492,3014.780373428767,2880.4823440747996,2751.1625906036415,2626.6897675583077,2506.927948427379
E,17.16136121765667,19.043825051582417,21.046377518859362,23.128966910648266,25.272734867788074,27.472328710408142,29.73177140343286,32.06007051833222,34.47060132985858,36.97841575891509,39.59986022424887,42.3527389573612,45.25475501551856,48.32368522432382,51.5781766041395,55.03697792343026,58.7188730462213,62.64289396102879,66.82882956797125,71.29651484715981,76.06658981999549,81.16056668838905,86.60082983476057,92.4110394235136,98.61478410907544,105.23583602409074,112.29989257516698,119.83458956819794,127.86950120836383,136.43623662293098,145.5658222864676,155.28715012999797,165.63202430347283,176.63554738433376,188.336120377513,200.77544271543434,213.99676173971199,228.0345338126187,242.92354446739432,258.70392135960776,275.4211351287088,293.12599939802624,311.87425584796426,331.71071455034127,352.665560208999,374.7754373314417,398.08495647252033,422.64669423443155,448.52119326671846,475.76310861107424,504.3889761685519,534.41644520554,565.8738283890482,598.8001006515749,633.2448991911028,669.255766342168,706.8189927073138,745.9110595633829,786.5217624176461,828.6540354427354,872.3239514766356,917.5406253779847,964.2261851172492,1012.292251884229,1061.6667776722284,1112.2937421743316,1164.133131839708,1217.1102549073255,1271.0507893759361,1325.7892303761744,1381.1808208420791,1437.101551511089,1493.4408549975672,1549.9944895800209,1606.5073476349378,1662.7528528114701,1718.532518244795,1773.6759393534858,1827.9838191268132,1881.1594074859227,1932.9320233687574,1983.0673128296191,2031.3672490391664,2077.6523891722254,2121.661143206603,2163.139567378205,2201.8763250118827,2237.7010063942944,2270.481883294745,2300.05674068568,2326.253743862564,2348.9436241641283,2368.033825454497,2383.468504123193,2395.2100277442246,2403.207124810887,2407.454092039701,2407.9672315206353,2404.7833649800714,2397.9598337808116,2387.557285019122,2373.676283764534,2356.462628247409,2336.055784599107,2312.5885431311026,2286.187018334989,2256.977645688158,2225.156672979619,2190.9451967666355,2154.5433165375507,2116.1304811670975,2075.8654889163918,2033.9005766670612,1990.4561618874845,1945.7554646203148,1899.9935315839527,1853.337718660965,1805.9276908980783,1757.8969796960166,1709.441473807528,1660.739532169298,1611.942746124812,1563.1767913956774,1514.5414280816274,1466.13207250112,1418.0876640122126,1370.5277628131496,1323.550214373569,1277.2314614427924,1231.6265440498264,1186.782046384037,1142.779048922458,1099.684351239413,1057.5485690648416,1016.4069765679884,976.2795063573964,937.173239440444,899.1163597084546,862.1379196381332,826.2545055979683,791.4727896067192,757.7895293334169,725.1915680973619,693.6628005626812,663.2069531936581,633.8202712270677,605.4926749042194,578.2083937871457,551.9459667586013,526.6782420220668,502.37704971515643
F,11.719954002302117,13.017447687942337,14.459771341825965,16.062628943181508,17.841159787702857,19.810085393922105,21.983959334463208,24.377415959384432,27.00535428563957,29.883174427658318,33.02689492148247,36.45319439430753,40.17967201247367,44.22489999407493,48.608306267068386,53.35042759790267,58.47308977507753,63.999505372555106,69.95400222997434,76.36172069027118,83.24961613060907,90.64651622244111,98.58312093150961,107.09223245582288,116.20659781866291,125.95978525312545,136.38826433755932,147.53141947453167,159.43154989082768,172.13401045127694,185.68334356884975,200.12089358945124,215.49215483743527,231.84733634985741,249.2413618764742,267.7338698797449,287.38663933365996,308.2479105603723,330.3659680403611,353.79675065564675,378.60385302931144,404.85852552549454,432.6390420925834,462.0065720008847,492.9995118104499,525.6654779602788,560.0635906923872,596.2644740518052,634.3502558865795,674.3934321976582,716.4081730171054,760.4098776983744,806.4294641765775,854.5133671826396,904.7235382432979,957.1181279549148,1011.6628879320291,1068.309013441611,1127.027326496724,1187.8079942152426,1250.6605288198414,1315.5838108493078,1382.4483475121792,1451.1102994917537,1521.4502536357907,1593.3727507533583,1666.8062542669134,1741.629094317717,1817.5772381080085,1894.4015067674434,1971.8838684583325,2049.8374383756336,2128.095915781521,2206.361619155966,2284.269200024291,2361.4957866061154,2437.7599352229868,2512.8216198517207,2586.4025712708617,2658.0947879240125,2727.5300236273815,2794.3917640973737,2858.4152269505903,2919.3630316754547,2976.891431178698,3030.6727736381654,3080.437670015906,3125.972472464114,3167.116241484347,3203.6711415631357,3235.434656306948,3262.260747618125,3284.050578123213,3300.7525111729615,3312.338781186403,3318.7726153065164,3320.0799803984823,3316.311963093675,3307.542740900334,3293.8695822035643,3275.393947324638,3252.280309724634,3224.7508403078537,3193.014299397156,3157.2655962319923,3117.685788968421,3074.4535719256423,3027.850127089237,2978.184957032944,2925.735756372907,2870.7498722366763,2813.4443042632083,2754.0258191593384,2692.7938143711085,2630.048284563835,2566.0502940607316,2501.0227927361893,2435.1506160157633,2368.609691058219,2301.6583872468736,2234.530120014794,2167.4224820495456,2100.498426121728,2033.8862650849803,1967.7082430704081,1902.1431500989272,1837.3436155991835,1773.4337816135837,1710.5097220810583,1648.6394428370616,1587.8797885676906,1528.3321709672873,1470.0790815675805,1413.182062355376,1357.6828156399413,1303.603204053003,1250.9484754996954,1199.7510904923054,1150.0444553133043,1101.8459725477626,1055.160377071632,1009.9797360517447,966.2834489458138,924.0472009384044,883.2721724306972,843.9499654959467,806.0641813340284,769.5912379154378,734.5003699812883,700.7536290433184,668.3118626033006
G,1.00456748591161,1.1197180886410916,1.268094704493692,1.4655036727523998,1.7229951863868975,2.048678386144794,2.448740951576823,2.9285308689497573,3.4927506830537696,4.146150023070699,4.893652939295552,5.740349812609179,6.691946396584941,7.754752061413486,8.935487757406628,10.241573563888533,11.681220949713683,13.263432175122318,14.997837242936557,16.894765755577634,18.96549816005141,21.222275190732205,23.67829786936259,26.347789400081588,29.24557956489207,32.387364417317514,35.790186031614795,39.472435604534816,43.453853455322495,47.7556074892387,52.39963952013794,57.40791432749896,62.80432163654194,68.61484167252735,74.86754516075567,81.59259332656801,88.82190557152549,96.58509108129559,104.91276196794254,113.83883407228655,123.40052750685769,133.63836665589437,144.5960881071391,156.31448710038123,168.8287701591713,182.17822914449687,196.40709647973392,211.5645451506473,227.70468870539045,244.88067610181082,263.128640511078,282.4859264217169,302.99653511614264,324.7111244502608,347.68700885346567,371.98199983347376,397.6229665599541,424.63112231121033,453.03578794510594,482.8743553450429,514.1922874199568,547.0321259203072,581.385708260206,617.2363926491305,654.5769700279249,693.4095490305839,733.7455447139297,775.5741113073467,818.8153322760476,863.3906743635765,909.2331189613388,956.2871621085978,1004.5039787111882,1053.7632516856302,1103.8965746128033,1154.7512925387782,1206.1912173199526,1258.0966230206568,1310.3194597045876,1362.6167085236139,1414.7557938932136,1466.5292082702215,1517.7545121528224,1568.2591176118565,1617.7790993302558,1666.037534616532,1712.7934492590045,1757.841100115495,1801.0079558431182,1842.0775953709835,1880.7922336310307,1916.9354373181861,1950.332163566078,1980.8487599470443,2008.3701875869451,2032.7304232556105,2053.797280520607,2071.4762691669457,2085.70941283779,2096.4752490344563,2103.7557945041885,2107.5291344726184,2107.826493023044,2104.693882612699,2098.1917082189025,2088.3947673390576,2075.389552816347,2059.288528452588,2040.2494423064304,2018.426059816406,1993.9640806059324,1967.001138483311,1937.674487423747,1906.1807622264407,1872.7342956279629,1837.5272808685024,1800.7294118240384,1762.4878830063383,1722.9468321925465,1682.3168122221346,1640.7986001948802,1598.5662586660865,1555.7677538532294,1512.5249556359531,1468.9565876037489,1425.2335097553012,1381.508621533251,1337.9102033755707,1294.5422155834638,1251.4842983213614,1208.806909149387,1166.623558838809,1125.032672990232,1084.1128634164647,1043.9238580183603,1004.5065007848148,965.8858185226377,928.1136434019162,891.2440053384244,855.314980822454,820.3516693666827,786.3661935061741,753.357698798378,721.3213119022495,690.2777757559277,660.2381323179462,631.2047573365951,603.1721647712222,576.1270067922309,550.0480737810844,524.9124262355626
H,1.4231372717081143,1.587243123449605,1.8034994802079045,2.0974950081672272,2.4864683089714164,2.982296782953279,3.593216201571781,4.325638735584496,5.184507315384016,6.174467079635158,7.300087866111854,8.565831832869831,9.976816640969645,11.538785659345054,13.257732047945801,15.140362031399007,17.19424257727437,19.427787002164845,21.849888295936243,24.469993433140147,27.298490163752643,30.3467200791636,33.62697861217654,37.152520271706905,40.9366640515561,44.993282660589344,49.337522495279664,53.98580763863847,58.95583986021549,64.26665916892608,69.93713650657986,75.98499791617577,82.42974801292053,89.29289698171087,96.59796057713359,104.3704601234659,112.63694935980236,121.4186683073332,130.73696867011347,140.61645058143472,151.08496318397883,162.17360462981637,173.91648105878159,186.34096655760888,199.46515240624032,213.31105517344807,227.90559351541125,243.2805881757161,259.4727619853557,276.51512151103947,294.41657947693915,313.1865658090724,332.84116000028405,353.4030904409001,374.9017344187261,397.36510607827483,420.7824611524419,445.13670574809197,470.4191725629466,496.6295151036743,523.7757076858869,551.8613706828819,580.835145695463,610.6390676537404,641.2256777369204,672.5578347766028,704.6087020591128,737.3297595246906,770.6098047586516,804.343536952621,838.43913171502,872.8182410710681,907.4113851782486,942.0904999946754,976.6960470316718,1011.0869493849091,1045.1402990577099,1078.7513524042724,1111.7977055780614,1144.0964858350235,1175.4817408666377,1205.8107077817444,1234.9638131065433,1262.833533842972,1289.2615225359318,1314.094810379868,1337.2071965760983,1358.4981734743867,1377.8915183495535,1395.292219189051,1410.599785963588,1423.7401188501722,1434.6617182878506,1443.3356849777174,1449.7442392422809,1453.861318665058,1455.6890535715934,1455.2426846469941,1452.549632354585,1447.6494969359069,1440.5835635485298,1431.417836782064,1420.2458154478588,1407.1564829926142,1392.2340954732379,1375.5581815568537,1357.2079605355748,1337.3057090495242,1315.9883931071724,1293.3795941009191,1269.5897783627868,1244.7162971644148,1218.8521147785866,1192.1318340790563,1164.69135736845,1136.6490767459056,1108.1061829060789,1079.1466651391345,1049.8505730454872,1020.335960473376,990.7098997294594,961.0630437301625,931.4701542346436,901.9901018447915,872.6790612764484,843.6196345837205,814.8825141483824,786.5252159354642,758.5922716010605,731.1152284923293,704.1205259346818,677.6555202356864,651.758866210839,626.4594886023131,601.7770973267342,577.7221874751791,554.297546843387,531.5187544735859,509.40189588782994,487.95560547879336,467.1826230095155,447.0797936134015,427.6380677942207,408.84668969379396,390.70684972260113,373.21526807958566,356.3649376453324,340.14550665959945,324.543278721317,309.54121278858975,295.1217112501085
I,6.697116572744068,7.442897096578586,8.294260127209057,9.275192051456825,10.403058893422115,11.690667287292309,13.147650448970087,14.781916247676412,16.600101008512446,18.608588061552993,20.813785290530703,23.222118968231804,25.840792723540318,28.677796212474483,31.741478095860813,35.041034094707896,38.58673433339171,42.38994074486926,46.462548610364706,50.81688759377925,55.46651083494419,60.42623047683897,65.71211766559085,71.34149163030976,77.33106987763604,83.69792534625705,90.46090312949231,97.64062821744737,105.25950549701379,113.34176283109164,121.91034630838283,130.98557844566335,140.59031952356457,150.75033564884612,161.49429875439574,172.8537865992301,184.8611881850495,197.5392486811137,210.91066690984368,225.00291012724392,239.84821471731325,255.48358619204276,271.9503150499024,289.27799833055985,307.4821385710392,326.5841144651424,346.6124484811613,367.60280686187684,389.5979996245595,412.6346607049992,436.7144104968956,461.8404450173639,488.02553280117536,515.2920135766584,543.6717982656965,573.194817279611,603.837655567242,635.5698854685888,668.3730684648392,702.240559931763,737.1775091397071,773.1836202027334,810.1868880173902,848.1087942692451,886.8853130569263,926.4666197635694,966.817073102671,1007.8737408861499,1049.495918073033,1091.5520918636735,1133.928402619532,1176.5286438631729,1219.2684034757826,1261.9913283219917,1304.504440766172,1346.6379994787849,1388.2448218775944,1429.2002783992598,1469.3585320928546,1508.501976077243,1546.4341110071146,1582.9861452046084,1618.0169946593094,1651.3999371916289,1682.9483144744318,1712.4826668108294,1739.854959371306,1764.9472419309918,1787.6699862218047,1807.911852401312,1825.5561700095982,1840.5171726421418,1852.7353104027611,1862.1772499036172,1868.8226115340171,1872.6430155554012,1873.643912327605,1871.8457309231278,1867.2827750598985,1860.003223101277,1850.0573877876577,1837.5276375233204,1822.5292565186141,1805.1715087260914,1785.5573868925028,1763.7836125587983,1739.9463768143594,1714.1963783636504,1686.7019696545608,1657.6148748701462,1627.0706686419257,1595.1887760498805,1562.083358834241,1527.92045223002,1492.867721415832,1457.071316781467,1420.656267744774,1383.7264827516578,1346.3811524750158,1308.7666836913181,1271.0160425489582,1233.2419470514444,1195.537519107844,1157.9762845327812,1120.628506320961,1083.5973400728394,1046.971275926173,1010.8224562006795,975.206912313641,940.1645647798998,905.7290002784526,871.9598683978079,838.9060612055079,806.6043208523356,775.0798766444617,744.346445043444,714.4081071819911,685.2848950493337,656.9975204130868,629.557348583753,602.968325544937,577.2269779533448,552.3224131387841,528.2415629007194,504.986322141315,482.55298461189625,460.93312195021304,440.1140614520959,420.0788860714552,400.8064344202845,382.2748137826201
J,1.1719954002302118,1.307513819129773,1.4880394188606865,1.7364604098978533,2.068845718837823,2.497090948779932,3.0303712030666086,3.6766855018334557,4.4431015038014365,5.336729291288035,6.36488405502624,7.535069944645154,8.855599068310276,10.335571074957482,11.984616929408997,13.813300343606304,15.833240309110694,18.05711440187985,20.498457424561046,23.171761856605364,26.0928329762123,29.278802790984514,32.748130037927645,36.520701789063835,40.61729565384205,45.05992500450029,49.8725112038385,55.08088806468511,60.71280184989702,66.79802107015097,73.36750752861181,80.45242531832055,88.08669976119825,96.30724149883049,105.15394649246738,114.6696960230241,124.89996249870265,135.8874918962072,147.67668581680306,160.31667512834295,173.8613207037324,188.36921342092742,203.9035656832344,220.5242544353422,238.2842905831987,257.24263802035597,277.4653660064485,299.0256491671931,322.00376749438874,346.47946153981,372.5107919033747,400.1581502442793,429.4915865439467,460.59080887014903,493.54518337700597,528.4456852865308,565.3432468992271,604.2820602230913,645.3181702584408,688.5194378958896,733.9655399163405,781.7333829787101,831.8327350328731,884.2624699893145,939.0351756961805,996.1770141172774,1055.7277065176775,1117.6976493359812,1182.0024927560464,1248.5595816890482,1317.3024635069164,1388.1808880423318,1461.1541439166124,1536.0807887531544,1612.7487465547367,1690.9668454616801,1770.5661365802257,1851.3998877595284,1933.2789361539976,2015.8698602965362,2098.849467173462,2181.928371682694,2264.8509966337465,2347.3730865406105,2429.103792206476,2509.620791365588,2588.5523913112306,2665.5768542051374,2740.419439324017,2812.7279294157206,2882.0627962098297,2948.0448979797948,3010.3595436960622,3068.756493026076,3123.012589064159,3172.794608744169,3217.806625794058,3257.820723883097,3292.6755394823317,3322.276261864586,3346.5324226211337,3365.3037304153136,3378.5322100178055,3386.201528306657,3388.3363858698845,3385.0025170054682,3376.293000508389,3362.2938487683477,3343.177797498039,3319.1292146405563,3290.333684051023,3256.978005496586,3219.2543642041533,3177.434249536472,3131.8336698851986,3082.742014869492,3030.4205095667467,2975.102214512593,2917.0189569652107,2856.510373490788,2793.912316008672,2729.5195269674477,2663.5862513539096,2596.3262366930653,2527.950058225158,2458.7627870932583,2389.0449668257497,2319.034653017957,2248.9278422104458,2178.8784718890192,2109.0253608759836,2039.589274741446,1970.7675932908899,1902.7210329220234,1835.57519336389,1769.4205576768688,1704.3182454548642,1640.381954606371,1577.732752328212,1516.4609422914014,1456.6312488148847,1398.2828168655456,1341.4292120581988,1286.0761419444466,1232.2813425278016,1180.0841811669454,1129.506133885193,1080.552336559401,1033.2115849199663,987.4563345508333,943.2553814678223
