Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,252.58361018355652,277.336354287586,299.8702108331605,321.54077900840133,343.2674899101397,365.6945780122903,389.27490179544367,414.3592762615675,441.20798942147064,470.045446692331,501.06828775776427,534.4453585347075,570.3492096177376,608.9541152242858,650.4263370048163,694.9411554476688,742.684931784454,793.8514374689529,848.641341130256,907.2808565636022,970.0027217838692,1037.0447347337702,1108.6497532838496,1185.0596929939547,1266.5726944228459,1353.5259760024007,1446.243607618515,1545.0361654971396,1650.200732204282,1762.0180234756635,1880.8508974727993,2007.198126854392,2141.5138091478348,2284.1938132307528,2435.575779331001,2595.939119026674,2765.5591880453694,2945.0679628805738,3135.128204992719,3336.247607840692,3548.778761966308,3772.919154994279,4008.7223751083397,4256.602011115267,4517.453805585054,4791.912032085587,5080.291961602048,5382.589862536935,5698.4830007100445,6083.719543390521,6579.354793797128,7161.483149067248,7815.651349420678,8538.264320147673,9325.445921145216,10176.309418814266,11090.403490303815,12066.32463501875,13103.599771866137,14200.898711660153,15355.194993217381,16563.033910973725,17820.270676025488,19120.216464767742,20454.339139775562,21814.43916145048,23190.107823110877,24568.066551338325,25934.86756264219,27277.303761625633,28579.62553939659,29824.387403073346,30996.916351226468,32082.439767640193,33064.75977048098,33929.478638417364,34666.27348880566,35265.00557815432,35715.97712391778,36014.62724436818,36159.36399142416,36149.274017486765,35985.705778238786,35674.903844415094,35224.30263931441,34642.02517456242,33938.59668422315,33126.58081529521,32218.69123514543,31227.879832027164,30167.89161417091,29051.80521237073,27892.42099332028,26702.500153876797,25494.42255812302,24278.019416178897,23062.265258176867,21856.24843590206,20668.93385595343,19506.418056777657,18373.160795647986,17273.738352642526,16212.802205195063,15193.435184803304,14216.601075490587,13283.393955666805,12395.18746878108,11553.050479503187,10756.010123119453,10002.994562937813,9293.25968816236,8626.34198977046,8000.914938992419,7414.870078300097,6866.422830073922,6354.124277926698,5876.750149224364,5432.318858266035,5018.699573971883,4634.064691990654,4276.870822129608,3945.8071634116204,3639.1536832349148,3355.0918749616144,3092.039296649686,2848.629853160347,2623.713796158061,2416.1641292335244,2224.566457645853,2047.668523342899,1884.3645770754724,1733.6944183729333,1594.8433955431976,1467.0495869606616,1349.3636290170548,1240.946861526722,1141.0530544781723,1049.024284243776,964.2909335797669,886.3716916262367,814.7891249543636,748.9628684461532,688.4050222981398,632.6768672909454,581.3877868169502,534.1952668802883,490.80489609685094,450.9703235880841,414.39872047160065,380.7783392270982,349.8743497386952
B,18.436759867412885,22.11831263856989,28.761273018600974,37.78969875703649,48.85546282628274,61.76164781726425,76.42034698770297,92.80790926333941,110.95819794258902,130.93476630891618,152.82670307280256,176.75044085594087,202.83250567167957,231.21076904318534,262.0442474046308,295.50299441647286,331.7650963933402,371.0166895870496,413.46244451807064,459.3271448380724,508.84367428927237,562.2525125185965,619.8017350776761,681.7459634571518,748.3823443364394,820.0357184582091,897.0299645907776,979.6878300728779,1068.3309308136575,1163.2765186810773,1264.8968689128674,1373.6650495369263,1490.0311434175264,1614.4122862527313,1747.192666574394,1888.7235257481675,2039.349629485985,2199.679456586056,2370.3588666753244,2551.9213209260633,2744.7878483110508,2949.267045603532,3165.560285627337,3394.1311156160077,3635.847761053292,3891.3729256640463,4161.109810315596,4445.202113017751,4743.534028922783,5105.398800860006,5567.837289225705,6110.726223595875,6722.238313267542,7400.215307636776,8142.146143656997,8948.147371101988,9818.690620056743,10753.370749704753,11752.578294431874,12815.884762256863,13941.267052137771,15126.238041852535,16367.58768771918,17659.625405425253,18994.806743780282,20365.745168194833,21762.771700138765,23173.268679029905,24584.223487585357,25982.612817932968,27352.660762261767,28676.6494627291,29939.30022328173,31124.964093082643,32216.28664405804,33197.44765632303,34056.5321337584,34781.617480608795,35361.03453392539,35788.2959831155,36059.95693197855,36173.204578406774,36127.562148718935,35927.88582703515,35580.37159404842,35091.965054521825,34472.35839423065,33733.79441695763,32888.758067063165,31950.033102546826,30931.556038119914,29846.9866855161,28709.705566877252,27533.029466642503,26330.027164528427,25111.45889661315,23887.16311627624,22667.055954164625,21460.90649232455,20275.63286158921,19116.423089364966,17988.545285010256,16897.317348281238,15846.41108400717,14837.236458748466,13871.308150766772,12950.413048496715,12075.993443504927,11247.289862292433,10463.4054264114,9723.777653622881,9028.128396309437,8375.231154673515,7762.988950857568,7189.641199091693,6653.779462477961,6154.227013951826,5688.967644081584,5255.806176850258,4852.869792044304,4478.58799080052,4131.636176572399,3810.231093475944,3512.470286506319,3236.704346348555,2981.515878314345,2745.719502342046,2528.1487963078102,2327.3131286108783,2141.8948685612995,1970.7341164530767,1812.8276526719367,1667.3289376953308,1533.4457175770222,1410.1739603255623,1296.6279526889975,1192.0216728973733,1095.6642646094112,1006.9600369125106,925.408464322744,850.5109300258479,781.6520239187433,718.3163024436975,660.041298849508,606.4163368480073,557.0825306140591,511.73278478556125,470.111747777648,431.9110314423692,396.8000417116334,364.53239194629344
C,606.5693996378839,665.6811069289216,718.8436193139728,769.2762734960626,819.0757779106551,869.6483337424447,921.9280170481352,976.6097699510805,1034.171267455282,1095.0108805512484,1159.4629916195013,1227.7935925094591,1300.275380603891,1377.1798901483835,1458.7515818438653,1545.2471724364873,1636.9369484599943,1734.0957941684428,1837.0015973975878,1945.978034906163,2061.346723359465,2183.4236158574354,2312.519001934648,2448.9266826828675,2593.046927058438,2745.343589838007,2906.233710655668,3076.08680331016,3255.2248557648663,3443.919034799925,3642.596863465125,3851.9297479371266,4072.479527333739,4304.673209233208,4548.802969674215,4805.0261531559,5073.491249212208,5354.996169148526,5650.358107671411,5960.0941359397475,6284.421152323538,6623.255882403866,6976.24295833787,7343.695834025257,7726.698469949086,8125.871590809817,8541.293367161783,8972.49941541322,9418.482797826231,9964.723565352919,10672.222443575263,11501.584773845245,12428.03995033918,13443.253515237786,14538.732966241634,15710.598586592936,16955.73100288798,18269.686656557336,19649.537705656025,21091.269005815906,22588.64292149969,24135.057235952823,25723.230770877,27342.821362704675,28981.431738468928,30627.549282087304,32267.342948456735,33883.91320146241,35460.760730729664,36982.29550028427,38430.48343344202,39785.89580612067,41033.02220803514,42156.756505176636,43140.86777366068,43971.65536696035,44640.30528897099,45138.46818771768,45458.54614480956,45598.58237742268,45559.75567500274,45344.03642576506,44955.76949963574,44404.04507727267,43699.06530602481,42851.74476782421,41875.186591288526,40784.047678474555,39593.10554022244,38317.40710911627,36972.43485783035,35572.427017518065,34131.4038776954,32663.470894985072,31182.191003739175,29697.91491011744,28220.161250661135,26758.690058704775,25323.209176518165,23920.09685903289,22553.958713177733,21229.609746659353,19952.012584241216,18724.39141347088,17547.626040904677,16422.783768436544,15351.279160738224,14334.212047960315,13370.402161758451,12458.576132047281,11597.842722636684,10787.639546807697,10026.436980875364,9311.82100710423,8641.747184313008,8014.554892693601,7428.841105169007,6882.335711559947,6372.589603678621,5897.499996353302,5455.289491851987,5044.446797808773,4662.981830380174,4308.778846976329,3979.9941722667745,3675.0346970537053,3392.55787827197,3131.244617678642,2889.4272860307588,2665.6229205053924,2458.521267727354,2266.9836776184493,2090.0431033974787,1926.793084236702,1776.0941796828627,1636.933554280693,1508.4097362409188,1389.727793106478,1280.1993317525191,1179.2424983864,1086.2782255084035,1000.5938968307082,921.5867629444332,848.7150540173571,781.4966796914841,719.5092290830393,662.3899707824714,609.8357981242655,561.4804683394494,516.9311889386448,475.89355007431914
D,2758.1392761649677,3034.2410107398273,3295.303729830979,3552.9041425288583,3814.4304510193324,4084.804696024065,4367.3177201633325,4664.525196616135,4978.292330271917,5310.306257288148,5662.11040176066,6035.074744609635,6430.655566390743,6850.355608537271,7295.6357202700165,7768.046253181996,8269.212858008206,8800.799023296222,9364.530466071175,9962.37471968784,10596.30329334094,11268.275072011069,11980.236316464625,12734.07873943164,13532.239760078559,14377.47852520278,15272.354501538735,16219.224200040202,17220.241175880303,18277.334472468927,19393.210495794887,20571.82820717071,21816.635678986222,23130.441278408543,24515.41366738205,25973.081802628454,27504.924558849587,29115.749936207045,30810.535624677676,32592.74792159825,34464.34144844447,36425.75915083077,38476.06317984891,40617.733875458645,42857.406517516,45199.312556831544,47644.82666312284,50192.466725014696,52837.89385003892,56073.594393626336,60255.11311760199,65162.03357091028,70657.97826906278,76701.73464986205,83250.9690733718,90290.09254106844,97808.04423607455,105786.31821858921,114215.1970915536,123078.60641389783,132347.4633445018,141990.17423364642,151970.56230372985,162233.61805801536,172711.1476531313,183338.75279859526,194036.41504904145,204703.66607481576,215240.1121685715,225548.353442561,235513.12884578994,245007.63070534318,253926.34019236852,262163.4076009481,269602.9245080467,276142.29340002785,281708.1470563638,286228.2137635315,289633.220292573,291890.1924338792,292986.8772341845,292915.82703890756,291685.6090281352,289339.2342267684,285928.4743085331,281510.5461318538,276160.0746709586,269966.5386573876,263021.3839509572,255418.69447053754,247258.87664564952,238638.16557850625,229651.68649458533,220395.17700198854,210962.32728200065,201428.57605028708,191863.62469329033,182338.53638581044,172923.956959463,163669.385905465,154612.16353187908,145790.67264736487,137244.03544756805,128999.49419862109,121067.88900721431,113460.99768055262,106192.7277921296,99274.55341748075,92701.7238701534,86468.46840184856,80571.48658252606,75009.57801555368,69774.44370271561,64851.168035015406,60227.28616413966,55892.91932668603,51839.87096350007,48053.50005886405,44517.66088759336,41218.59609243051,38144.79417955694,35286.560286880296,32630.579148855064,30162.470446605003,27869.76140125749,25741.73832213137,23769.446606736965,21944.025813701763,20253.954786909497,18688.997019903865,17240.141966554835,15899.597017411517,14660.787499702219,13517.53848758344,12461.893296473323,11486.780877692445,10585.927110382934,9753.819608059108,8985.70771860752,8277.602524286905,7625.508579135527,7024.402784499965,6470.049932169066,5958.653036390239,5486.843773188485,5051.682480366362,4650.658157504001,4281.688056820032,3942.200445330143,3629.411419086586,3341.2608588376816
E,377.95357728196416,415.69653304932586,451.20859933039696,486.0715791173469,521.2758672213541,557.4699590928757,595.080242943393,634.4394763152153,675.7912101890024,719.3620949759593,765.3652483143032,813.994529616575,865.4603200456455,919.9831510838568,977.7800784850433,1039.0830412928235,1104.136475194545,1173.1927111993716,1246.5138467717095,1324.3939645246942,1407.1315344517636,1495.0274405197774,1588.3849806690143,1687.505666260253,1792.7589233713409,1904.556153483242,2023.2916881025596,2149.3424218561695,2283.067812491213,2424.8067770575753,2574.994007888187,2734.2211880560994,2903.0268734677984,3081.8808442780887,3271.184104890094,3471.2688839552648,3682.4623390732727,3905.5067875526147,4141.179607116254,4390.077232709733,4652.6151161556645,4929.027726153691,5219.381903272826,5524.165208693853,5844.423836733793,6180.900417982358,6533.967927066581,6903.629682650831,7289.519347436792,7761.62351081433,8371.170670846694,9087.930300033666,9893.578889000686,10783.401712700848,11752.459155794933,12799.624237168202,13924.406626657035,15125.240152325967,16401.791623887842,17752.76109706879,19174.886177287757,20664.44453722881,22216.919262270934,23824.81175422156,25478.45414807993,27168.538708861328,28883.104455032157,30606.7440420591,32323.746574357614,34018.55063729068,35672.42069006911,37264.43135347104,38776.72027142013,40191.06997520335,41487.31460892065,42647.179479791754,43657.02213843158,44503.19940396,45172.380182463516,45657.278070557455,45954.11652015143,46059.85800919812,45974.177523972045,45702.876585044956,45253.31881631833,44633.782162252995,43855.72422544537,42933.51683690344,41881.88512618931,40715.987230593484,39452.326437633514,38107.053704704,36696.0872073057,35235.37398681906,33740.61484579188,32224.742279538244,30699.666971010218,29177.4642317023,27670.097877110213,26186.113933652534,24732.004609884716,23314.392261019304,21939.990140006492,20613.528634373335,19336.984712206915,18112.46782645491,16942.425312644238,15828.88393820023,14771.149092773485,13768.341442200584,12819.986986145257,11925.955346386472,11084.922788640564,10294.453593992897,9552.51837339776,8857.517095306259,8208.127976699812,7601.950922876236,7036.334625063479,6509.025062746069,6018.141524085633,5562.104978971909,5138.733467467859,4745.669945662757,4380.873868207018,4042.596035450718,3729.378593443597,3439.7789188745674,3171.915763439366,2924.121623319984,2694.930726462222,2483.0776946360024,2287.497543435374,2107.1908517603683,1940.866634254487,1787.380971662395,1645.7200118577425,1514.9941308925447,1394.4379329971862,1283.410250580417,1181.2687091835767,1087.2048802250877,1000.5396586862933,920.6646602096948,847.0406513486453,779.197549567344,716.7344232408407,659.3194260492282,606.5426874457995,557.960517698255,513.2454074959205
F,258.1146381437804,286.9887738718651,319.4975188459203,355.59409386041847,395.25084639952394,438.484426948695,485.35759136154456,535.9822893991548,590.5098402783392,649.1277866551097,712.0543134905046,779.5374326257693,851.8469490965853,929.2723952840932,1012.1312760681201,1100.7622927394423,1195.5181945508348,1296.7627744068097,1404.8897189367167,1520.3386280483737,1643.5557331438697,1774.9917250756416,1915.101754146466,2064.3410163775898,2223.267104755141,2392.4975760172056,2572.6251833644205,2764.2173654576413,2967.816246417939,3183.932541299416,3413.2136801438232,3656.5450612878813,3914.729067487568,4188.460473607927,4478.326446623066,4784.806545616164,5108.3623503644185,5450.086937729276,5811.126939291637,6192.341530874591,6594.302365327482,7017.2935725258285,7461.33152288652,7927.072070088779,8416.037612691296,8929.269362022067,9467.222151325306,10029.764435761477,10616.178292407252,11329.753280132325,12246.173438152977,13320.606468690741,14525.723046665576,15854.228646713145,17298.357919719678,18855.87064413998,20525.347636915063,22303.647680610353,24189.36056875449,26179.55161117479,28268.27928901623,30448.877544925163,32713.495459835263,35049.86084333556,37442.53070033953,39876.72691048961,42333.91292788041,44790.663807186305,47223.38156215325,49609.006495129404,51920.19866908422,54126.80566355604,56203.56572890659,58125.11787180993,59863.7179963136,61394.762483824205,62700.62998473545,63764.01333005502,64568.36086867798,65105.844354430104,65373.65171988488,65370.12584847658,65097.44895427152,64566.08799263943,63788.56187838703,62778.613361699085,61554.10221834347,60136.39783624432,58547.21960535955,56808.79026081774,54944.76287094943,52977.73724848058,50929.93498275929,48823.606373703464,46680.43473959546,44517.78058815035,42351.58819602465,40198.05569334623,38073.22348197103,35988.187154679676,33951.20259966286,31970.747054343672,30055.448999374978,28211.191104628822,26440.100365589704,24744.525661207004,23127.30766897648,21590.738424752883,20133.438768231863,18753.822517423367,17450.877342568772,16224.080544011997,15071.327642722375,13989.057347413933,12974.276473571088,12024.586465296965,11137.98087867865,10311.03755231216,9540.02623586898,8821.760084824493,8153.562515640466,7533.171893077418,6957.544102211662,6423.42265794353,5927.979909199373,5468.782547711372,5043.791608017539,4650.998160750972,4287.82891919226,3952.001882881408,3641.5062123532325,3354.600451097986,3089.812525561361,2845.762632603022,2620.6970935803474,2413.0620883375136,2221.477637515953,2044.7298751849155,1881.7710488414684,1731.7195194104925,1593.6957561256838,1466.6088685191178,1349.5407907666154,1241.6676037218701,1142.2574712516243,1050.6706402356658,966.3594405668294,888.8682002228605,817.6427349288924,752.0870674437505,691.757315585591
G,22.124111840895463,25.563965079079647,30.93150420482792,37.89520786123793,46.26327788542089,55.93673764895598,66.88379436910137,79.1126384260967,92.66762984699201,107.61255543961984,124.0283375439605,142.01439428511205,161.6784472526335,183.13745823005107,206.52379217423086,231.97944463070414,259.6544892911966,289.70721239617524,322.31077640118593,357.65432325003866,395.93650789880945,437.365241286068,482.1576903328763,530.5401506040389,582.770495330019,639.1293663558708,699.9036533984204,765.3863996215816,835.8768016363537,911.6783780522303,993.1372731301755,1080.6709289761156,1174.6919588497233,1275.6020738744398,1383.7920830374737,1499.641893189806,1623.5368594028826,1756.044107168647,1897.7682762213701,2049.253896463534,2210.985365607754,2383.3869491767528,2566.8252338104926,2761.8497755073013,2969.3036742579607,3189.90691271963,3424.2175725434195,3672.6318343744,3935.3839778515976,4255.1362829535865,4664.631809004171,5147.720916470579,5695.475245208365,6307.499749688719,6983.182130589789,7724.33287239965,8533.244369345339,9411.655246811406,10362.15876580571,11386.80830432714,12486.450411413587,13661.631005720108,14912.313181212827,16236.27167820298,17629.561866984357,19088.19306721039,20605.767912630065,22172.745472709426,23778.658229970344,25412.344720124413,27059.063123361786,28701.19707131543,30322.469080882547,31905.033044314132,33427.97228768477,34870.69029182928,36215.60785333786,37443.961614737185,38536.0920678724,39477.417452140486,40256.358194933055,40861.44755028725,41283.60221337494,41520.78059597831,41572.81333401051,41440.460462698786,41128.74874064357,40647.650278198744,40007.88933889656,39220.85892506199,38300.934007067226,37264.25089247596,36126.80069723234,34904.52534231463,33613.91660034008,32270.46393297913,30888.5076086698,29482.38262855269,28066.252935709203,26651.53599864695,25247.44572498133,23863.137468686295,22507.733970843336,21188.28362230466,19908.745363799786,18673.064403745866,17485.44462690341,16349.52711858614,15265.781263641444,14234.317488602535,13255.630808803768,12330.53224390548,11458.358841290788,10637.02908323455,9864.876705005394,9140.6907203675,8463.53591764836,7831.121384330939,7240.7891885401405,6690.3228484557285,6177.920953935685,5702.110600837248,5260.647277578431,4851.035056144713,4471.13837054403,4119.152910184171,3793.6056198727642,3493.0185716481337,3215.3564248938173,2958.8264815993953,2721.8665271920545,2503.1432073329643,2301.552027917278,2116.0541142745656,1945.2454688192945,1787.8905367951454,1642.901697683707,1509.3321881020233,1386.3761018025975,1273.3683896733894,1169.6351837717407,1074.2993554100415,986.6336359711385,905.9897224994178,831.796397456534,763.5595287214032,700.862069590208,643.3639828443276,590.6320171430767,542.1912197598085,497.69882656280254
H,31.342491774601907,36.06165004905634,43.23804364608932,52.41767257263669,63.31347705001021,75.75272475026564,89.64629499461046,104.9562562214471,121.68944950918288,139.8765445364362,159.5681177753818,180.83568420918695,203.75779670633642,228.4206224451372,254.92591092220945,283.3824651028934,313.90298157613285,346.6038386402094,381.6144164989343,419.0790219548644,459.1445717444579,501.9600417123328,547.6764668112653,596.4464449854379,648.4563420536675,703.9115224067132,763.0110134360316,825.9473602115982,892.906625481904,964.0664403444136,1039.648272357287,1119.9494960824477,1205.2431494133505,1295.7702266094193,1391.7396782960457,1493.3284114645965,1600.7081279750794,1714.2518444670468,1834.3524341769548,1961.3130298695735,2095.3470015869025,2236.5779566481533,2385.0454516476284,2540.9918408346703,2704.9437373575165,2877.274485013975,3058.168804024747,3247.622791033447,3445.4439191065794,3685.777274542144,3993.813632446322,4354.973057912108,4760.452638175238,5208.094879900336,5695.564884290266,6222.35550199534,6788.227250389147,7392.363704432658,8034.519016040548,8713.929357651836,9428.807589069354,10177.108289655585,10956.368074256314,11762.586789258503,12590.647646829295,13435.628977816697,14291.264498660645,15149.538770838022,16002.316882340601,16841.590758221784,17657.77599334659,18440.221623647343,19179.92654079739,19867.78163031006,20493.748491784245,21048.832301373768,21526.48673527946,21920.215483802363,22223.727525860966,22433.860040163792,22549.255434902403,22568.928546943847,22493.265619992973,22325.73272692459,22070.539076887555,21732.307450443783,21317.205703939366,20832.782572584314,20286.696748414848,19686.76210611487,19041.384681863452,18358.688841403462,17646.63293066555,16913.147925865956,16165.983240726602,15411.420765444927,14655.205891845346,13903.151273495812,13160.996313229873,12432.741679289542,11721.360218892458,11029.891839012833,10361.422397071485,9718.055100425585,9100.544114493572,8509.719317100802,7946.585221850454,7411.948814289005,6905.301338478508,6426.0597364979085,5973.847871643525,5548.466332404914,5149.150382638268,4774.616239791155,4423.785356356318,4095.793623825007,3789.918842448529,3504.935322328965,3239.510802639279,2992.5081767731235,2762.9734307574236,2550.101622871573,2352.8114754295466,2169.9495429894137,2000.5153983629234,1843.6490198944068,1698.6307914607735,1564.7525929874232,1441.1094160079601,1326.9006083766483,1221.4211721893614,1124.0611296880336,1034.3055232606614,951.6722353230326,875.5497837313231,805.3980457212982,740.7375954271556,681.1469660719645,626.2626499676649,575.779098515067,529.3917838535235,486.7241744613273,447.46042394144206,411.3171421971972,378.0426737479713,347.4170977291897,319.2522278923251,293.3915837483431,269.6456422981923,247.81098529931214,227.7361000394254
I,147.49407893930308,164.14193635071655,183.11097528128934,204.3153142440378,227.6982953935683,253.23928493637464,280.95057182923915,310.87463992874115,343.0782333008869,377.64779604289726,414.6861234842262,454.3125637579021,496.65643942272237,541.8560734604595,590.0654199588631,641.4485836334823,696.1749405899449,754.4171400343417,816.3645278777011,882.2336729169896,952.2410157156573,1026.6013750857142,1105.5279480877246,1189.230729601244,1277.983684764267,1372.094479979096,1471.8506751503517,1577.5194105652363,1689.3474068935318,1807.558915571245,1932.46535246167,2064.514887104232,2204.102831890611,2351.5579269675,2507.142340236602,2671.0516673546454,2843.4783327088703,3024.979039655317,3216.132816688919,3417.3579341882423,3628.9118732838547,3850.8913258582875,4083.2458321853724,4326.2979904133335,4580.833599302924,4847.3793826885885,5126.1517663169925,5417.056877847048,5719.6905468498935,6088.6596879896115,6563.741817648524,7120.9720599201355,7745.688318672892,8433.831921270503,9181.17421735686,9986.457422339954,10848.921847074324,11766.970659098042,12739.98556215311,13766.622972513673,14844.045260948244,15969.109382640148,17138.122066679585,18345.158094425402,19582.701129309717,20843.615873022016,22118.83168270609,23396.742715440305,24665.624876102425,25913.97430516064,27127.968202860306,28292.21361147495,29393.719569852714,30419.280220171393,31354.267454082787,32185.511998454895,32903.32843477522,33498.02845655055,33960.15459878175,34284.73672549411,34469.38448142978,34512.23442717766,34413.411047172885,34177.533127002156,33810.345239127084,33318.24779899871,32709.957148378642,31996.2901053208,31188.305117167365,30297.3664877021,29335.792415961892,28315.581127054804,27248.549982963243,26146.534659939207,25021.165430752462,23881.96367407584,22737.688075676415,21597.222265452452,20469.366460214576,19360.354833086705,18274.891685592876,17217.783204202366,16193.90684619073,15206.663980159487,14257.412633878628,13347.615232266846,12478.990001112794,11652.947172503891,10868.884064807162,10126.068567144852,9424.073361002844,8762.730088847431,8140.992972477235,7557.00256769736,7009.203982745168,6496.362941095062,6017.454277200343,5570.6638917448545,5153.999217497177,4765.762956766133,4404.535106557846,4069.1202936962068,3757.884905371642,3469.0723186502255,3201.1600623529976,2952.840975578875,2723.0232077046403,2510.6284081111744,2314.261967636979,2132.688103536284,1964.8194047883608,1809.7158490454462,1666.5848026327412,1534.6829016607649,1413.0576052377185,1300.8655445959516,1197.3585475264226,1101.879363513668,1013.8616637358055,932.8300410645295,858.3092468560254,789.7060044979221,726.5219130184428,668.3100624322251,614.673892376008,565.2671921086283,519.7941005110239,478.0090591811732,439.6116065429823,404.27778723109435,371.7672903149422
J,25.81146381437804,30.503125407180143,38.56686465007596,49.35502697968932,62.47340875716191,77.69770227887116,94.92702469286714,114.13464371927923,135.36011150864127,158.67839587094628,184.1950377347815,212.04804867248924,242.38862729592228,275.3825425640543,311.2210458921705,350.1098117122733,392.26573634799473,437.9173826563769,487.3164868107836,540.7384804720791,598.4722724161811,660.8198866265941,728.0964622944051,800.6311207653131,878.8000024737779,963.0117689884131,1053.6849311416051,1151.2477285725236,1256.1381297271166,1368.8016753742406,1489.747319223605,1619.5852373525408,1758.921438126244,1908.3495415509237,2068.4507792737945,2239.7939945830904,2422.960729879686,2618.7897174450295,2828.1752106100766,3051.9339214670904,3290.804991265496,3545.4499904118366,3816.4567710805563,4104.67590102621,4411.368937712428,4737.6362447208785,5084.364503850052,5452.226715115287,5841.682196748751,6316.198969992316,6924.615444364537,7643.244098525064,8459.184904734908,9372.30565362809,10382.24612804784,11492.352037779361,12706.821330652192,14029.195420210808,15464.43235611101,17016.873363793173,18689.293922291545,20484.203602096728,22403.428014279154,24445.781619825968,26607.713949918358,28885.704512097855,31272.746645398995,33757.203499685944,36325.98299901578,38964.79873147433,41653.65048283587,44367.80242397381,47084.0119113038,49775.90647799147,52411.49081818874,54958.29401032176,57387.515786170305,59667.26402537122,61762.95859732092,63646.99176159517,65295.55801770425,66683.90698520256,67790.20615878778,68603.9532539447,69117.36464882088,69323.68186372999,69223.49199725334,68826.89126609877,68145.44720011731,67191.9188407619,65985.46352174525,64550.51859040194,62911.54337904067,61092.96429643238,59121.191171926745,57023.513756628156,54825.48572130298,52552.600322818085,50230.18214078287,47880.32871095602,45521.58568869138,43172.26193743136,40850.56159440828,38571.36072488559,36344.13682127655,34178.18421471864,32083.160207825596,30067.654594165146,28134.411482823598,26285.31441922993,24522.870168104237,22850.085947971387,21267.089930606096,19771.126740097036,18360.143892153337,17032.895357292447,15788.59411616081,14623.69213092029,13533.79103923122,12515.307486678123,11565.427936788847,10681.936286557611,9860.989253367292,9098.145057333479,8389.648204907959,7732.376852518462,7123.842806568643,6561.503623271859,6041.610993190717,5560.871221416713,5116.440116180353,4705.919726163657,4327.358340500169,3978.912139670559,3657.9402816333222,3362.1215144269895,3089.4270799561564,2838.106283320531,2606.6864928149266,2393.9731399292627,2198.736380501142,2019.296471402583,1854.2713284673885,1702.4360494258724,1562.7190204842937,1434.201916324845,1316.119700105661,1207.8604617052772,1108.6031251789898,1017.4293677861233,933.695228525511
