Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,450043.3546254024,449935.0829351086,449816.7469860505,449688.5552598444,449550.3783989775,449401.8665685808,449242.50574089546,449071.67740073067,448888.6602373041,448692.66257095174,448482.8228901907,448258.20520826173,448017.81292722165,447760.58425081696,447485.38353771565,447191.0047126827,446876.1668584823,446539.5098879824,446179.59250589705,445794.9031334879,445383.8316330691,444944.6674566001,444475.599645686,443974.70848026406,443440.0081855958,442869.42793801316,442260.7615937183,441611.66734319105,440919.6677111886,440182.14722872735,439396.43079573434,438559.8251102697,437669.47313507507,436722.3432048316,435715.22902615956,434644.74967761914,433507.4148639471,432299.918785416,431018.878769316,429660.7105518407,428221.6282631568,426697.6444274044,425084.5891534704,423378.6147513893,421576.23248792265,419673.7967643334,417667.48228187696,415553.2840418011,413327.0173453461,410195.3361334757,406859.77632688324,403273.8424212088,399401.47482913063,395218.5882534163,390702.08232771826,385833.5056277823,380597.1906911227,374979.34771139553,368970.558855413,362564.88559283497,355759.63681550394,348557.2174254062,340965.61492416816,332997.22965034755,324669.7152559889,316008.3901486897,307043.7337849596,297810.7081560682,288350.6444307572,278710.62679986714,268939.9251258617,259090.121626988,249216.7916929306,239375.36165672317,229619.02356121773,219999.74970839426,210567.89091118387,201368.27229493065,192439.97834465114,183818.08891626087,175531.85514426738,167603.44397923956,160048.9129559496,152879.61406324033,146101.22170488953,139713.95461494627,133714.0263331635,128094.20505695249,122844.23993859567,117951.20636959703,113400.47660299641,109175.79314075767,105260.33239496964,101636.96524523606,98288.37874677473,95196.88171158242,92345.2406992219,89717.167227889,87297.24756741666,85070.21041589821,83021.43020588448,81137.41891537228,79405.80633867579,77814.81397723645,76353.12273181384,75010.3864136285,73777.23818900203,72645.09310517754,71605.61407571359,70651.16955818719,69774.84956409951,68970.44720126875,68232.09468217767,67554.2654816538,66931.94786925575,66360.624016478,65836.23241599176,65354.87427509149,64912.94974857408,64507.19040247259,64134.64691486236,63792.67161469973,63478.731697683914,63190.48472787172,62925.7987114998,62682.73894380372,62459.56800901798,62254.68692146267,62066.55941117228,61893.79931102452,61735.136278480146,61589.4154242699,61455.59731239455,61332.7299369024,61219.89268185332,61116.261875642034,61021.07891596199,60933.648640104155,60853.33932495687,60779.58268700597,60711.84964803462,60649.63280203077,60592.48491512008,60539.9913250929,60491.769552132304,60447.46929881419,60406.7724501072,60369.39306626556,60335.06055722919,60303.51907104868,60274.54140887306
B,441039.7704106133,441005.39942162967,440966.6530486762,440922.6690667219,440872.6632869857,440815.8919306229,440751.6277594406,440679.1347826542,440597.6605078569,440506.41754802264,440404.57794409496,440291.27034509415,440165.56525881274,440026.4730694023,439872.9467029196,439703.8691509233,439518.04704742326,439314.2084773748,439091.00564961066,438847.01484655926,438580.71348839416,438290.4789002223,437974.5883120856,437631.2113686101,437258.4358993082,436854.2528028803,436416.51869689015,435942.95565404533,435431.15120219695,434878.55460815446,434282.5224998861,433640.3589589487,432949.2030847891,432206.01965837716,431407.5991422048,430550.55768028693,429631.37722947024,428646.63620158343,427592.81671408727,426466.19785992714,425262.85568974295,423978.66321187036,422609.30444346374,421150.677352093,419598.9521431916,417950.13846788986,416200.0625990552,414344.36743129086,412378.5124809369,409596.2291976812,406613.79067978566,403386.64073925774,399879.3753695843,396067.3043402664,391926.27840977313,387436.14694176946,382579.0975454296,377338.8634973906,371703.08710117714,365662.58764769865,359211.20975207014,352347.631862799,345075.9610915195,337404.73214516736,329347.7689396716,320926.66823147435,312168.5273199145,303105.3424364026,293775.97974868293,284225.71060215845,274502.7394010158,264658.3488941354,254748.6876274728,244830.57655284728,234959.35548715913,225189.88071470885,215576.08181058828,206166.7475272764,197005.2402054633,188131.195687884,179578.4595169067,171373.57487649156,163536.7561112552,156083.3031235305,149022.37480738852,142357.1349427843,136086.31923583604,130204.82434996562,124704.0203867594,119572.10277379249,114795.23624824846,110357.66364626163,106242.75877341545,102433.30284686913,98911.69982889376,95659.87734378169,92660.0911383497,89895.46953255401,87349.95021632862,85007.59356914464,82853.08393639716,80872.26287696754,79052.11512244219,77380.23196816094,75844.67336652572,74434.51736999223,73139.87156644156,71951.66515291986,70861.08329925868,69860.0555212798,68941.27773307469,68098.19263074489,67324.5992812556,66614.65454823957,65963.06342954317,65365.05735432761,64816.35363860162,64312.83741765502,63850.70929208414,63426.5230572623,63037.172580057326,62679.87289033392,62351.95689917602,62050.95734384904,61774.63089251209,61520.94407954335,61288.07330553993,61074.34082855532,60878.13151278564,60697.98932913493,60532.58113247333,60380.69626085349,60241.24653551067,60113.235803154384,59995.698238411336,59887.770435989834,59788.65785019303,59697.63304004485,59614.03566929012,59537.272506394525,59466.79108397178,59402.05997125812,59342.611383402,59288.01189704819,59237.86203106969,59191.79624656779,59149.48294687208,59110.62446960874,59074.93837095436,59042.157132155044,59012.043874890864
C,582118.9465091783,581872.604081906,581604.4617573255,581315.86184277,581007.2259810413,580678.3933814148,580328.7874437972,579957.5925954276,579563.7653282194,579146.1345773744,578703.4085049897,578234.1665440771,577736.9090844906,577210.048397767,576651.8865499896,576060.6378367977,575434.4246480487,574771.2695181437,574069.091587387,573325.736346358,572538.9302921923,571706.2776997221,570825.2606214773,569893.2304198804,568907.4983527877,567865.3012063407,566763.7176442854,565599.667669853,564369.9126257577,563071.0561601461,561699.7157460713,560252.576315432,558726.1462028419,557116.741131664,555420.4842140097,553633.3059507397,551751.0844201293,549770.1494871841,547686.8117753272,545497.1743966475,543197.1329423763,540782.3754828875,538248.4184862112,535591.459733003,532808.3655733826,529895.8606350797,526850.5020543517,523668.6794759823,520346.61505328177,515714.78821866924,510828.44760594534,505627.6754375567,500068.3164987863,494123.7167647775,487769.56694164197,480988.73820449953,473768.48348273145,466099.0386725001,457976.830794167,449402.9368444639,440382.58814406965,430927.33130832284,421055.24796414975,410789.2080902583,400157.75563581893,389197.60232879844,377950.32473182015,366461.45292338,354782.42663681635,342969.65331063943,331080.4432970342,319173.15846271697,307309.0062095669,295547.65650663263,283945.1375950544,272555.0649012142,261428.36217089777,250609.5181217187,240136.47655583976,230042.60242129833,220355.0149445451,211093.55706544287,202271.8153316288,193898.55100648664,185976.92200818742,178504.78905410928,171476.06800698338,164881.2376545572,158707.9277878421,152941.27586679813,147564.7329035942,142560.07196263605,137908.61588955612,133591.50740641594,129589.73373307979,125883.77082092773,122454.61902185992,119284.3102007182,116355.82196595978,113652.19678734988,111157.13773522855,108855.56826996309,106733.60720398495,104777.97780989246,102975.86245326507,101315.49792719583,99786.18560555737,98378.07182939103,97081.55098838656,95887.79110736283,94788.76148039429,93777.21220424383,92846.2647502934,91989.4154158873,91200.74355407077,90474.88993394106,89807.01405417042,89192.45770929888,88626.90300431305,88106.41674741528,87627.43686229181,87186.75219960554,86781.284374254,86408.17576968062,86064.81817192554,85748.83796469886,85458.09612938091,85190.61834309279,84944.50321210253,84718.02877082006,84509.61380182966,84317.81740078442,84141.33897640638,83978.98417969649,83829.59519385909,83692.13176343133,83565.63441132018,83449.22248798543,83342.09417143969,83243.52646724836,83152.84484206929,83069.39978224685,82992.61636257324,82921.96107532352,82856.94135027843,82797.10555472471,82742.04299345493,82691.38389902221,82644.77648883263,82601.88694835134,82562.418921306
D,3.6016266534277527e6,3.60044333631143e6,3.599152852586348e6,3.59775999054464e6,3.5962654361434407e6,3.5946672675254936e6,3.592961680583771e6,3.591143763958564e6,3.589207533128152e6,3.587146365865442e6,3.5849530231582453e6,3.5826196044350876e6,3.58013775773971e6,3.5774986342486446e6,3.5746927833992583e6,3.57171024095575e6,3.568540503048871e6,3.5651724869897924e6,3.561594507692327e6,3.557794407586873e6,3.5537593290763237e6,3.5494756986239757e6,3.544929226753527e6,3.5401048520097816e6,3.534987157921026e6,3.5295602129048235e6,3.5238071468228507e6,3.517710148159466e6,3.5112504640217135e6,3.5044083944974383e6,3.497164080819242e6,3.4894978188723065e6,3.4813888184304554e6,3.472815116741457e6,3.4637535785270315e6,3.4541798959828443e6,3.444069239880447e6,3.4333988053290993e6,3.422145478791671e6,3.4102848357955725e6,3.397791140852331e6,3.3846373474575887e6,3.370795273388094e6,3.356239920889344e6,3.3409495473890733e6,3.324901436195112e6,3.308071741046937e6,3.290435486115679e6,3.271966566004118e6,3.2461326563569084e6,3.21878092174535e6,3.1895576896332465e6,3.1581953640956786e6,3.1245231315178014e6,3.088380438911374e6,3.0496449029821763e6,3.0082166884495644e6,2.9640108120034696e6,2.916975740362707e6,2.86708529138649e6,2.8143363492240417e6,2.7587618549903175e6,2.70043326357016e6,2.639451508482704e6,2.575952730460534e6,2.510124489415604e6,2.4421877909677112e6,2.3723922901242883e6,2.3010292671498726e6,2.228427371277105e6,2.154928528885061e6,2.0808890453371883e6,2.0066916942670564e6,1.932718143776266e6,1.8593352891488194e6,1.786902617407266e6,1.715770010035074e6,1.6462516277506412e6,1.5786245397029922e6,1.513140444105705e6,1.4500130569127398e6,1.3894093127587235e6,1.3314556228673703e6,1.2762467078027977e6,1.2238383881595898e6,1.1742487622674361e6,1.127467545801337e6,1.083459359675034e6,1.0421663398567009e6,1.0035104001390772e6,967399.674981663,933728.7991126584,902386.5304467719,873257.5772685178,846223.5406935443,821161.4398522264,797950.0457626756,776473.5953699424,756621.314616817,738282.2709935888,721349.1582496271,705722.2610843863,691309.3531483018,678021.898319459,665774.1030645617,654487.065433925,644088.8985427371,634513.2578323145,625695.3023752772,617575.3282227508,610099.0280562903,603217.352422801,596883.688718962,591053.8834728631,585687.7454712559,580748.9070182284,576204.5272242554,572022.9372983575,568174.7539963743,564633.2272224897,561374.1475977178,558375.7051332426,555616.9499932575,553078.4131269815,550742.336958981,548592.5739794989,546614.5867444546,544794.9543385826,543120.7147034766,541580.1338090586,540162.4444812386,538857.843363605,537657.4909174251,536553.2704798448,535537.2870980229,534602.4496843505,533742.2223517569,532950.6107905686,532222.1622685097,531551.965630702,530935.4360002916,530368.1418791122,529846.1643385239,529365.8690321199,528923.9028312205,528517.193824872,528142.9513198464,527798.6657693966,527481.9416017326,527190.5006871849,526922.3266164759
E,567328.793417573,567170.2263697688,566997.4414180806,566811.1846895571,566611.6187186622,566398.5306259613,566171.4344084123,565929.6799366097,565672.458815008,565398.8659631105,565107.9029893547,564798.4714535677,564469.4029789222,564119.4527357576,563747.2828251548,563351.4744596372,562930.5246050017,562482.8403683286,562006.7318626405,561500.4277449829,560962.0452031437,560389.5878125895,559780.9455364654,559133.8839689817,558446.0899893187,557715.15401525,556938.5133711337,556113.4518862016,555237.0998945608,554306.4313952785,553318.3498452273,552269.7360054122,551157.2856295103,549977.4971871744,548726.6718640322,547400.9135616862,545996.2009042772,544508.7148521061,542934.547841666,541269.5640462067,539509.3993586617,537649.46139165,535684.9507539221,533611.4222332553,531424.8261064976,529120.9323358963,526695.30487176,524143.30165245885,521460.0746044242,517690.82074904256,513681.4264235443,509376.529946527,504733.09624622064,499722.1945886484,494315.95525926875,488491.8644463463,482230.50397831196,475514.4565699393,468331.20397034485,460672.04855347105,452531.8574875663,443911.18781258044,434816.872847027,425260.7524573086,415260.66326839075,404843.2677207363,394041.33182346425,382893.010296031,371444.11425736145,359747.5541366463,347859.3560266807,335838.84800636675,323750.7596525716,311660.46742007445,299631.57661886717,287727.11543409864,276009.08531684126,264533.70520432404,253351.10381928133,242507.28204960178,232041.75953424105,221985.85167042806,212363.75821911683,203194.12745341408,194488.62120778623,186252.0620836139,178484.16679877852,171180.1646934906,164331.13679560297,157924.4096186795,151944.8225628961,146374.8197705639,141195.69306394452,136387.90152377076,131931.31315920004,127805.05467254425,123988.50526057417,120461.95257797698,117206.51893088347,114203.3458264763,111434.20713057792,108882.1800146599,106531.63127672572,104367.57980653578,102375.53391964886,100542.18700511183,98855.43853832172,97304.14354635554,95877.42556588905,94565.28836894024,93358.65709555123,92249.35455055429,91229.62085285815,90292.11620212292,89430.17194163431,88637.766292386,87909.47393732062,87240.06679609313,86624.70184528071,86058.9776182672,85538.918373489,85060.95022035844,84621.64170920441,84217.80840630876,83846.55029500338,83505.23452974077,83191.4954360936,82903.1518877315,82638.09764817302,82394.42955018069,82170.40331277512,81964.43303124288,81775.0911771364,81601.06863177542,81441.09188819706,81294.01942774217,81158.8001056079,81034.4708851891,80920.15683807846,80815.0711440664,80718.47978404492,80629.67348817975,80548.02645303792,80472.95870192822,80403.93553170694,80340.46751277786,80282.11048909237,80228.46556672508,80179.1522908616,80133.8090845336,80092.11631703755
F,798528.7857485869,798377.158332181,798210.0438855698,798026.6861150876,797826.0872270106,797607.0892016742,797368.4048826803,797108.6517079807,796826.3436796465,796519.9046669971,796187.6625542461,795827.8422060705,795438.5641553344,795017.8384214961,794563.5603836881,794073.5028054147,793545.3055790417,792976.4700375702,792364.3628137755,791706.2277324112,790999.1386804024,790239.9967922585,789425.5304500745,788552.2838050601,787616.6895889365,786615.0351067368,785543.3818843167,784397.5651316086,783173.1937426252,781865.6467273802,780470.2088941492,778982.1433233742,777396.4480824658,775707.8380882444,773910.745106942,771999.3177541993,769967.5367627514,767809.7263050628,765520.1065180915,763092.581159351,760520.7375825266,757797.846737479,754916.897069821,751871.4767380859,748655.8350338297,745263.9915019515,741689.6975967168,737926.4366817593,733967.4240300768,728403.9796118035,722485.140347835,716130.249974691,709277.2304767205,701885.2087876026,693915.2592038385,685336.7671217739,676124.0942079326,666254.95109782,655714.6850901122,644494.6289816371,632591.66416119,620011.3107543304,606768.4523210668,592885.3119090018,578392.8316685561,563334.6129684984,547762.6929194566,531736.4016828599,515325.4610577364,498608.9468731574,481669.4155744575,464593.1287598115,447472.8679448006,430401.16735224257,413466.92368867586,396757.11258227966,380356.18213683413,364339.6601092279,348773.80755155,333718.4757547161,319224.07263560983,305329.45580153127,292063.4989041173,279447.3313653638,267492.6532792283,256202.05844368986,245571.37144129988,235590.51356669006,226244.15889731774,217512.29265764734,209371.80499307605,201796.58951893635,194759.33527594796,188231.96287306576,182185.84859895197,176591.496190722,171419.98455859112,166643.82301505614,162236.83691477837,158172.9495503347,154427.0516332149,150975.89030509625,147798.04142387255,144873.01666119177,142181.0386804461,139703.9702959634,137425.3356057753,135329.97805140543,133403.12797696065,131631.22298502643,130001.95382637029,128504.23226500054,127127.5462071526,125861.96385066576,124698.46135868001,123628.88884241569,122645.90304845554,121742.43665745913,120911.94703506024,120148.48618205909,119446.67931158312,118801.69312523305,118208.89284846185,117663.98060451086,117163.04080829814,116702.51693102051,116279.21150015332,115890.17697857493,115532.57237706534,115203.83009447376,114901.5958463194,114623.72798635796,114368.29750658173,114133.5353548941,113917.72451466092,113719.32573600582,113536.92100217944,113369.21051764433,113215.0127080745,113073.26422035595,112942.97351826572,112823.18503765353,112713.0552148437,112611.80193467771,112518.70379762865,112433.1001198014,112354.39093293228,112282.03696973552,112215.52517330121,112154.36872116064,112098.13635083183
G,481360.7244927359,481334.40998119407,481304.8481731624,481271.45830237947,481233.69881649304,481191.04458634934,481142.9721946585,481088.94426958205,481028.40427830967,480960.7647174151,480885.4031057822,480801.65943116625,480708.8261180025,480606.1462213438,480492.81410428183,480367.9660609815,480230.6753156591,480079.9500722787,479914.7335117324,479733.90264112,479536.2501078235,479320.4832042773,479085.2238679674,478829.00094773626,478550.2635103365,478247.36982841574,477918.55816223857,477561.9465407831,477175.53276174143,476757.1900447069,476304.68528262764,475815.7094811105,475287.7950303995,474718.3081686351,474104.44898185454,473443.2514039909,472731.59714466496,471966.3607625263,471144.285478929,470261.9014683054,469315.5258396795,468301.2626366689,467215.00968007033,466052.70213333983,464810.37008577056,463483.834287159,462068.6854403353,460560.284201163,458953.761178539,456666.5545650395,454198.2218476976,451507.76646723744,448561.05950269825,445332.24802365346,441794.9563474443,437925.2369225848,433700.123814949,429096.96672084386,424095.4123419551,418676.8669125799,412824.46917901875,406524.7174762923,399768.26714510284,392549.3800432679,384866.85996602016,376726.7582083484,368140.958640238,359126.89702422795,349709.9974031163,339923.97570132447,329807.9813621538,319406.9473780083,308774.21771566395,297967.44389532704,287046.3560180293,276073.94036539434,265116.1263203992,254236.34424421415,243494.97687248213,232951.01940121403,222658.86438887694,212665.4985116835,203011.3941298867,193731.852117672,184854.29151789466,176397.9048143327,168375.66399138386,160794.91232993256,153656.88830489677,146957.0596044169,140687.09997786372,134835.12123291878,129386.57901899921,124324.61569896074,119630.79862546391,115285.52652583734,111268.6544740299,107560.36637817374,104141.1558743343,100991.42277856129,98091.96124183723,95424.76137904818,92973.03206810115,90720.61207403787,88651.80290357978,86752.15711463004,85008.52533016245,83408.78671250054,81941.09470180447,80594.56466610494,79359.34175783463,78226.57437018785,77187.86157775449,76235.2533312279,75361.55308016334,74560.29218413537,73825.67087890199,73152.08749372164,72534.36044300586,71967.80154489342,71448.19786448037,70971.78364841097,70534.9331181319,70134.28445814704,69766.78963868287,69429.69456971383,69120.53910096198,68837.06020851087,68577.06181867169,68338.56887141487,68119.77797740785,67919.05682707856,67734.9441906154,67566.10383329807,67411.22764270712,67269.14898505966,67138.7970406662,67019.19422503826,66909.45618888814,66808.79181812916,66716.46336394329,66631.75380380306,66554.0347866845,66482.72539826848,66417.29154273903,66357.24594278324,66302.14813959136,66251.60448007318,66205.23819565655,66162.69048261753,66123.64659791059
H,282388.10969804256,282351.73273183504,282311.1073716552,282265.6340484927,282214.746683364,282157.89838175254,282094.5497678237,282024.1566899707,281946.1644540672,281859.9976987161,281765.0563525133,281660.7138057398,281546.3075843327,281421.13783636445,281284.46985128266,281135.52604538336,280973.4812339084,280797.4611306077,280606.54631948407,280399.7738052191,280176.1197405535,279934.4985025163,279673.76269242563,279392.69980245986,279090.05668996123,278764.52586625674,278414.7186319492,278039.16490315576,277636.3132115072,277204.5293070738,276742.139858356,276247.4565647156,275718.6941251742,275153.96405050345,274551.2746632256,273908.5310976131,273223.5718410244,272494.3391891054,271718.7307529309,270894.5266598701,270019.3895443253,269090.86454773194,268106.3903229917,267063.59339758044,265960.31461761997,264794.30581551587,263563.2158460189,262264.5905862247,260895.87293557412,258968.79123729857,256914.42605574682,254704.03761407285,252315.28622826253,249733.18639477994,246943.33246648425,243934.15294774785,240695.75597410934,237219.37001188443,233498.86903941623,229530.2208853353,225311.35056753704,220843.26333636994,216130.346824019,211179.67637936052,206001.53011324487,200610.86758590516,195025.84005287927,189267.3899657063,183360.42308452135,177333.4701128695,171216.53516947164,165041.18306701744,158841.6136226624,152652.13272179724,146505.87006341392,140435.41300045527,134472.57346376727,128645.92237011486,122980.64226563896,117499.5961345207,112222.1396298317,107163.26785590191,102334.20972156586,97743.29179919863,93395.23947000579,89291.27836275948,85430.05668406739,81807.99125519212,78419.46575249161,75257.03993408663,72312.10633903455,69574.9439199219,67035.35135813242,64682.81062420392,62506.60224912635,60495.72373580687,58639.38407030721,56927.32712131788,55349.79232690425,53897.08848547309,52559.898974548116,51329.60620801139,50198.28274526254,49158.36414239088,48202.563958158236,47324.21114148357,46517.25753214281,45776.15122978848,45095.49116810247,44470.32704185637,43896.17452150931,43369.003307257786,42884.99819392668,42440.5599957716,42032.424408219355,41657.64907597049,41313.58870354687,40997.6992601157,40707.62928056308,40441.244459117974,40196.6196654205,39972.02727959443,39765.81140004586,39576.438620062414,39402.51393820388,39242.772156655745,39096.07788122912,38961.38575411748,38837.688451840164,38724.07719256093,38619.71959812906,38523.85944610295,38435.81666975006,38354.96833304421,38280.709854185,38212.50030791986,38149.84179829662,38092.27836755469,38039.395996124935,37990.82260262975,37946.21147945221,37905.2286752687,37867.58001963546,37832.99292786112,37801.216138538,37772.01971354217,37745.195038033395,37720.554815353215,37697.92104895475,37677.12498111791,37658.017259499204
I,428507.16328490654,428416.0084912407,428315.5216643677,428205.23062945646,428084.53725873795,427952.76451780554,427809.17368574557,427652.98280481645,427483.36158598715,427299.43802699115,427100.2948108339,426884.96606240585,426652.43528716575,426401.63201096974,426131.4318399626,425840.6511374256,425528.0404445958,425192.2813011047,424831.99241033033,424445.7380138047,424031.99771855545,423589.1647505033,423115.5459544618,422609.3578381488,422068.7771458591,421491.9148746021,420876.76825711445,420221.22046540515,419523.04061075585,418779.8831288281,417989.3776758315,417149.1621128018,416256.7391439313,415309.4664061084,414304.55646891706,413239.0768346372,412110.0217029786,410914.60029643984,409649.9708602197,408313.124151243,406900.8834276892,405409.90444899164,403836.69479062874,402178.1012484516,400431.32511596056,398593.43415638944,396661.34319556534,394631.8141219082,392501.45588643115,389514.4027695573,386343.7873967909,382947.2079014352,379292.16772605263,375357.39230396843,371122.6088283014,366571.8694189509,361691.7384525123,356470.406380999,350899.91500062746,344975.25296467385,338694.11432123726,332058.50241621153,325075.11011432577,317754.2819257751,310110.75156686717,302165.7443455977,293944.84999819903,285477.46286311117,276798.4882407142,267947.9029066928,258967.7541647444,249902.31215642468,240799.67758880096,231708.2408719962,222674.8988528164,213745.98410678928,204966.96436637358,196378.93258392526,188018.39330507533,179918.7549075368,172108.59656054407,164610.40783427496,157441.40380831977,150614.69471287142,144138.23362862467,138014.9326996894,132243.94841132965,126821.14069439613,121739.33610965154,116988.62176814095,112557.27982895936,108431.85291046268,104598.07466501585,101041.1076308422,97745.71594478843,94696.14463481435,91876.86301788667,89273.04956058812,86870.53565297069,84655.18895080476,82613.37082381941,80732.4310305276,79000.69651524318,77406.9935671341,75940.52594516847,74591.38781509714,73350.57800179071,72209.81320366531,71161.01698414942,70196.77189461431,69310.34749403401,68495.68269671085,67747.02973655195,67058.95630206965,66426.52867241645,65845.29328275973,65311.23945014311,64820.50500554544,64369.51451885856,63955.019241318674,63574.08530487161,63224.07613465739,62902.461960495755,62606.89672641599,62335.244197849664,62085.565148150956,61856.11735859657,61645.29508861405,61451.549277156184,61273.48066192379,61109.80682253034,60959.36180517686,60821.09612265207,60694.04758275274,60577.281312978426,60469.95968806352,60371.31136463786,60280.62961842271,60197.27234423082,60120.66205596637,60050.260246500846,59985.54742221626,59926.06534204089,59871.38927772331,59821.127609887466,59774.92182803264,59732.44653053349,59693.409416523704,59657.53219698137,59624.55069944258,59594.231155318834
J,799947.678574859,799908.8614124809,799865.1967142189,799815.7858123526,799759.8014262021,799696.450619077,799624.9509653412,799544.5051352261,799454.292694154,799353.4510973863,799241.069454283,799116.1848915116,798977.7665896077,798824.7131773882,798655.8544656516,798469.9368721424,798265.6157764865,798041.452742889,797795.9162092473,797527.3792979266,797234.0926624774,796914.1830248282,796565.6531752854,796186.3709088569,795774.0879690145,795326.4226798647,794840.8174820569,794314.5386172202,793744.6761279646,793128.1373739224,792461.6703526564,791741.9058347701,790965.2381703758,790127.8143725969,789225.5341175664,788254.0497444294,787208.7816251296,786085.1164085912,784878.2327460457,783582.9836281132,782193.8963569247,780705.1725461234,779110.6964380445,777404.3585788748,775580.1386952314,773631.6770533834,771552.243430664,769334.7371154709,766971.6869072663,763605.0210632957,759968.3862634649,756000.1338961675,751648.3930973723,746873.1287419518,741633.0592297864,735889.9667776009,729606.4751107981,722745.0268572274,715270.7046037611,707150.3764860375,698352.6462456799,688850.169107761,678620.8339139773,667647.0490142521,655917.1517312656,643429.4966855675,630190.7115490243,616215.4247009212,601530.2128960392,586174.5741210564,570197.1103524669,553656.2766354723,536625.2113624569,519185.95960358117,501426.2808156308,483441.936537507,465336.8342138015,447214.220560782,429175.781558191,411324.593669557,393759.41557834676,376569.320975461,359834.94711467373,343630.5084262737,328017.85729410534,313045.29379733594,298750.80704974534,285162.77074409625,272297.8031716289,260161.11431359863,248750.27227377784,238055.62425044147,228061.0262605166,218744.35500484,210079.34914936568,202036.95983088604,194585.81042169608,187693.87700140264,181328.55309129498,175456.7009256177,170045.21977769266,165062.59840946525,160479.01939226597,156265.53108419612,152393.77123452903,148837.45625516903,145572.51913991323,142576.64607086792,139827.93736532863,137306.18693654667,134993.07186662662,132872.10450765098,130927.59071306982,129144.62399927371,127509.71081824905,126010.73103397281,124636.82308826246,123377.45529379092,122222.86701704895,121164.24029131548,120193.66602516024,119304.08817066846,118488.68377623211,117741.1122821378,117055.63613104117,116427.0828874627,115850.8452377877,115322.68440632278,114838.45893528224,114394.44953360646,113987.26723683933,113613.85223086172,113271.47385189171,112957.63648964564,112669.87609843057,112405.9981238641,112163.99229419937,111942.02747542843,111738.45167128227,111551.79202323082,111380.672942962,111223.74445310072,111079.8271867417,110947.83275411652,110826.76250010883,110715.70750425437,110613.84858074109,110520.45625063479,110434.8261226518,110356.28369395334,110284.2422240721
