Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,102.73209193093123,113.38769208431675,124.09223288213603,135.1219707614797,146.64610596655018,158.77772500463846,171.59668803663368,185.1741960410807,199.57200564264815,214.8552798782558,231.09216992995167,248.35250357840408,266.71283071780397,286.25475426037764,307.0638981682042,329.2319357783421,352.8546290269116,378.03045074465115,404.8644662300859,433.47524018223845,463.98255832936604,496.5066702169498,531.1682892076938,568.0877078743046,607.4147284118869,649.3159020946453,693.9504788539854,741.4702653762222,792.019625102578,845.7342894767945,902.7902553479177,963.4284741636599,1027.8676643273116,1096.2978708715314,1168.880465458346,1245.7481463791555,1327.031326742612,1413.0328136466942,1504.0698545663865,1600.3842557180424,1702.1423652341068,1809.4350731631012,1922.2832617006748,2040.8818535093471,2165.6585682907958,2296.914317839398,2434.795437780155,2579.2936875687037,2730.2462504913037,2914.3192917395886,3151.135079799945,3429.227659998941,3741.651982249019,4086.6538199086663,4462.342118871644,4868.252639837247,5304.125623544424,5769.241114055839,6263.32140589315,6785.675847020592,7334.7988008253615,7908.97949775663,8506.17871097869,9123.142181555524,9755.738389110189,10400.004266580516,11050.931783771699,11702.154395521875,12347.241892188606,12979.898757887737,13592.638286392257,14177.187800139203,14726.621489773715,15233.98986707467,15691.688912440144,16092.993566756504,16433.133444098432,16707.44050951955,16911.470305416107,17043.219602805664,17102.09102221038,17087.809770626835,17001.168189257936,16845.25321853185,16623.70184337812,16340.468394856865,16000.620347540242,15610.154116668558,15175.125617532725,14701.694367597705,14196.368175178088,13665.308884379996,13114.542641543556,12550.075056196216,11977.71924221684,11402.062268182908,10827.287555814364,10257.633493814801,9697.280268187911,9149.047400174284,8614.984879070782,8097.200295026146,7597.838577663288,7118.307256102408,6659.020614130296,6220.456936162646,5803.227952784495,5407.804443472869,5033.702469231529,4680.394685893991,4347.509076192951,4034.8068427006865,3741.6474182248858,3467.0272519164805,3210.0957526153793,2970.1605236448636,2746.6354905763883,2538.5827148652697,2344.9963982117124,2165.0131693268404,1997.903136898431,1843.0458076626805,1699.6310900264766,1566.804276426491,1443.8212546729592,1330.0392441357103,1224.9167957441618,1127.9236755511367,1038.3967725867576,955.7490110551855,879.4617972668739,809.0845719322571,744.2348101617513,684.5548653615627,629.6004874686714,578.97928711108,532.3420055263489,489.380593577365,449.82821175234244,413.4592301648213,380.0500238332064,349.3295005066261,321.0697105975081,295.06562331179265,271.1346254109135,249.11652121179793,228.87353258686613,210.29027946291706,193.22999123134488,177.5472421940989,163.13231900560157
B,7.498692841673815,9.231651803109804,12.557748674690162,17.14931775037471,22.802408352844324,29.396292877061533,36.87075540035636,45.202021790755566,54.398648111517204,64.48628747409691,75.50510574353282,87.51049693846736,100.56338967007801,114.7307566319782,130.09087706246638,146.72760892600365,164.72851932415338,184.18491699686152,205.197560481449,227.87726933887464,252.33842639967128,278.6987108290609,307.0790981269524,337.6035362403574,370.417377064525,405.6793499510124,443.54716270745905,484.177418346199,527.7256150842605,574.3445490843212,624.214385770414,677.5654424141301,734.6158711556096,795.5666605017615,860.6016353262618,929.8874568695584,1003.5871050141441,1081.9952573168132,1165.4245546594464,1254.1306978937334,1348.3124310469486,1448.1115413219316,1553.615557088368,1665.0429554321688,1782.813091113241,1907.2421432916367,2038.5163918506562,2176.692217396855,2321.6961012600395,2497.548099381945,2722.261879406567,2985.965801412555,3282.8301819769385,3611.7303752113366,3971.366861026182,4361.7150514524055,4782.917062289918,5234.680066272156,5717.094214679703,6229.846219779921,6771.841178868881,7341.758535241714,7937.929622989031,8557.484175892649,9196.659725723364,9851.788065171993,10518.114171647541,11189.477311742603,11859.557101599448,12522.064254348676,13169.419044844144,13793.145531796617,14385.990662872753,14940.566030615815,15448.705752517417,15903.022304910219,16298.034663398017,16628.285130481232,16888.463227965378,17075.745260942578,17188.758766778985,17226.43572990571,17188.81604681121,17078.441242348446,16898.469185858165,16652.401080569718,16345.005850268473,15982.205386864794,15570.01795201564,15114.589389637067,14622.567883625881,14100.41629581927,13554.458396386797,12990.985157279089,12416.148808103357,11834.966191005911,11252.018561226269,10671.926744163271,10099.242379832074,9537.152231708427,8988.027302764778,8454.281283179138,7938.35483694588,7441.91239816519,6965.556537098773,6509.943794492184,6075.862454416654,5663.942108946266,5273.782211748514,4904.922484696133,4557.06238954438,4230.03759104749,3923.242806194007,3635.669571041091,3366.469169291317,3114.959577658863,2880.5691724647604,2662.3369972372143,2459.2213046607226,2270.3321627242467,2094.9219943690273,1932.3592668187175,1781.8005081612966,1642.3486317748548,1513.2252848003836,1393.7609435150368,1283.3949133321253,1181.576248536765,1087.6045614232564,1000.8607482336787,920.7994878415345,846.9487518616608,778.9098046502302,716.3096544698797,658.6777618484695,605.5990974016347,556.7051614190113,511.6718769997319,470.2195900524294,432.11306929523363,397.11826784366656,364.9474585517412,335.3595607350992,308.13818021687604,283.091058338252,260.0500719584519,238.87123345474487,219.43466914402686,201.5961838138859,185.2014709326928,170.13527166434494
C,246.70699449106849,271.1702184639195,293.89021549439445,315.9690819302127,338.1009980478179,360.73964289162154,384.1796109095877,408.64340520365755,434.2859395225968,461.24400908880136,489.63950735203235,519.5764225029847,551.165538041215,584.5204159520205,619.7489130649126,656.9654445664268,696.2892327241975,737.8407601315598,781.7441655355827,828.1439760131977,877.182309117341,928.9972928579022,983.7230657017219,1041.4868173834984,1102.462756489396,1166.850360562472,1234.8285658357825,1306.5554862048025,1382.1684132274263,1461.7826374094038,1545.5803333148058,1633.8461574304117,1726.818060157053,1824.6767320837948,1927.5456039879346,2035.4908468350047,2148.5750000702556,2267.135031349912,2391.5157079129067,2521.9350118588304,2658.484119576195,2801.1274017424125,2949.714331170745,3104.3770398801853,3265.5725237389242,3433.5623170988724,3608.379151454057,3789.826955440626,3977.480854836841,4207.3910621770765,4505.273803828731,4854.503991584459,5244.625552049143,5672.113853978558,6133.380005737733,6626.781532347214,7150.997889987852,7704.151439710505,8285.004772472643,8891.863298482584,9522.096834732316,10172.92274490501,10841.273426762578,11522.7928343536,12212.260357754649,12904.82928532362,13594.67757109447,14274.692037961297,14937.929298997857,15577.829996944636,16186.80668593519,16756.68572200125,17280.94418533798,17753.230048119392,18166.718404849667,18515.650100386996,18796.32326726208,19005.231752845175,19139.185832396288,19197.369879365124,19180.287493610314,19088.775167483593,18924.668281473285,18691.798072033776,18394.46305256155,18037.26112708145,17625.710184584026,17165.980418840445,16664.292336708928,16126.979517222451,15560.557705094428,14971.01760109715,14364.258116878878,13746.214056738067,13122.59143481602,12497.7433242298,11875.672741710918,11260.484474963418,10656.261456133914,10065.684992679098,9490.690524578476,8933.301815352326,8395.60490962109,7878.954346029399,7383.718306374195,6910.344039761396,6459.4250544732995,6031.42255016861,5625.838496709299,5242.135855156193,4879.938461439606,4539.008605259521,4218.701746588113,3918.001416272907,3636.0467012867207,3372.1382217699315,3125.685028045751,2895.7314979012053,2681.24680170602,2481.345835981206,2295.2804124530485,2122.4143210487887,1961.910011229159,1812.8771404509819,1674.5398326104928,1546.2276300321696,1427.3754934687322,1317.4282745188602,1215.6842773664514,1121.5195059934206,1034.3826207213053,953.7944729193533,879.3481050045222,810.6620592094355,747.2569207714463,688.7065431534077,634.6316260672206,584.697686289143,538.6150576597912,496.13889108413815,457.0255211100833,420.97513659953955,387.734143213637,357.0745974446304,328.793659821854,302.71359491172007,278.6817713177201,256.5706386660899,236.2261058185874,217.48292415249986,200.2172212876229
D,1121.8044491144024,1232.4848490386844,1334.4172674365004,1433.0348825049361,1531.8693362266004,1633.2977184959575,1738.9149935961875,1849.9328716268149,1967.2115572442844,2091.494109829376,2223.429515479489,2363.563294381644,2512.463473731751,2670.7060766104064,2838.8312457981297,3017.4093049530434,3207.0415630651146,3408.344712661191,3621.950517018897,3848.580793784138,4088.961553976945,4343.816622245715,4613.867636867187,4899.813769341537,5202.5583062716205,5523.131428325398,5862.486831846213,6221.5004155853185,6600.970280701875,7001.608404513938,7424.423906193889,7870.905363348285,8342.34526161468,8839.790614306714,9364.042962414132,9915.658374602803,10495.175069541325,11104.402231292645,11745.21149875546,12418.897836500997,13126.179428224294,13867.197676744056,14641.56772184721,15450.210140665715,16295.622240979916,17179.386852935557,18102.001653257335,19062.879165248934,20060.34675879295,21280.829695640663,22858.772163130587,24710.54575561756,26784.348061474288,29064.389267737068,31534.477956755774,34188.55217832954,37022.27285411004,40028.49271434799,43203.39943488356,46540.789339652816,50029.55615355531,53657.66223837976,57411.35896120201,61269.81456475993,65207.249962983275,69199.34862539545,73215.94116898312,77219.19080963546,81171.33042547814,85035.76222160153,88769.21066467949,92324.10055373362,95660.90874458096,98740.02628427345,101518.10243476745,103956.82366624512,106028.87983069848,107707.39324844444,108966.63289752723,109794.4943021151,110186.64234468905,110140.5476405233,109659.68226428489,108760.39691934109,107462.31036470782,105787.07559995292,103762.83870469607,101423.25930756902,98802.72305911887,95936.59776411789,92862.58099909252,89616.75439001281,86234.78270012714,82752.56387649929,79205.21063548759,75620.94865197132,72025.8561540705,68446.52827847064,64909.40703641935,61432.98670209759,58031.20393922295,54718.392459913004,51509.16785052148,48413.691171010796,45435.97675462536,42580.39513917983,39852.11898580314,37255.41183510674,34788.45870628468,32449.06625073473,30235.969366377372,28148.69236827763,26184.10194401363,24336.588523018992,22601.462544196067,20975.004864190694,19454.12810498225,18033.332358094056,16706.555732744306,15468.631998478753,14315.237141574926,13242.728576469102,12246.108656781878,11319.981827508289,10459.667639363643,9661.14510173897,8921.052682700994,8236.064702853839,7601.8595388957465,7014.59719904019,6470.897239462082,5967.835758737644,5502.945397844417,5073.908872009039,4677.741853255034,4311.792016802531,3973.7057678335796,3661.415058581863,3373.137388332702,3107.3758034230473,2862.6310958366776,2637.0192560448486,2428.9515653753874,2237.003601731492,2059.911658046333,1896.5727422830469,1746.0445774347413,1607.545448216318,1480.1105025526695,1362.6954656455446,1254.5273409579252
E,153.72320325431312,168.59824382384076,181.80861826256074,194.2493721501021,206.52322297903206,219.0475743970126,232.11042779968795,245.93008500462915,260.66284202769225,276.43965656684816,293.3715806470886,311.5494066684986,331.065192929044,352.01097678209936,374.4711679696855,398.5345035853642,424.29609790975974,451.85540713374553,481.3135601905643,512.7835405586287,546.3825390042882,582.2312615160592,620.4539293046239,661.1744697716829,704.5422793024827,750.7263854730248,799.8903182549165,852.1919355895441,907.7834233880702,966.809651788456,1029.4538042957106,1095.964984179398,1166.571385502647,1241.4736386931513,1320.8448105431694,1404.830404209529,1493.5733892576984,1587.3888463682881,1686.6076845655407,1791.4857430070674,1902.2037734297987,2018.867440149967,2141.512590195694,2270.3489736959627,2405.8219685893973,2548.2497197491257,2697.794729409684,2854.463857167022,3018.1083199784975,3217.996166750012,3475.6174453014387,3778.401682364728,4118.749561330419,4494.756837249343,4904.407601356225,5347.273063851428,5823.1802481224395,6331.493389539113,6872.084134707395,7444.40663586308,8047.075322372299,8678.500546197658,9336.748138755125,10018.608937859733,10719.944174712133,11436.763381311657,12163.942513102907,12894.88597556006,13622.868234318621,14341.230005269499,15041.962627320861,15716.128714591086,16356.107150222015,16954.13663746643,17501.63596321058,17990.843777363472,18415.990381568245,18771.317497133652,19051.211035358945,19252.64643809355,19374.10289909457,19414.377876284103,19373.427287848863,19253.81523415227,19058.76501449508,18791.882782469358,18458.118298074533,18063.64511417624,17614.775149227607,17117.99347997627,16580.34038391402,16008.685241748559,15409.788924026647,14790.416375463199,14157.215629394603,13515.641926519384,12870.71152306263,12227.50688816486,11591.058967936442,10964.941647385744,10351.857036848505,9754.562191712283,9175.852081949015,8617.681942384808,8080.844776132395,7566.1912027647795,7074.715712561479,6607.236648192593,6163.427737413749,5742.887846268888,5345.388221455137,4970.846476111173,4618.680764606257,4287.845468368736,3977.4674679280424,3686.8554339904363,3415.4364293156996,3162.187910390302,2925.9847523106955,2705.8694382416807,2501.0418889616394,2310.829486576955,2134.3093320241323,1970.487488671713,1818.5030660991902,1677.617561420547,1547.2148592842539,1426.6861229862811,1315.241276239301,1212.1802975398514,1116.8875976785575,1028.831460097989,947.5640408926599,872.6653102440237,803.5950587982575,739.8749476530079,681.0808791212714,626.8405601402019,576.8335022711127,530.7910216994741,488.44426317264697,449.4562475306713,413.54398475553126,380.45386737857194,349.9610182190264,321.86929038401416,296.0112672685417,272.2482355520524,250.40962557773065,230.31114449146187,211.81648156898004
F,104.98169978343336,116.67704019100881,129.77666662028054,144.294357395352,160.2476397044459,177.66704021997103,196.5970798824171,217.09776897894704,239.24157858068335,263.1128177032735,288.806041369553,316.4261513430151,346.0860117906514,377.90589580614665,412.01669951694896,448.5577751426215,487.67452667884055,529.5171588547648,574.2479447219089,622.0479772465917,673.1015828856417,727.5954474378254,785.7186160438429,847.6602818897308,913.6517157973165,983.9495430099889,1058.8004223237422,1138.440829797179,1223.0970587515103,1312.9826140907348,1408.367560898972,1509.6210601827304,1617.0780168923739,1731.0288247855417,1851.7193664271492,1979.351013189394,2114.11755336367,2256.475326172014,2406.903250038093,2565.7607138259477,2733.2875486922553,2909.604028086303,3094.719013430089,3288.9070834956324,3492.804144693305,3706.8456790790683,3931.222743396018,4165.881969074397,4410.525562231574,4708.1415877215095,5090.246243772847,5538.1989105671955,6040.641319807646,6594.554485863623,7196.718556539674,7846.211064924492,8542.448192033746,9284.125582002069,10070.656902510711,10900.817470395856,11772.125545476118,12681.794517282986,13626.541271007978,14601.234557064443,15599.41721307506,16614.908723164088,17639.957994198427,18664.77132879969,19679.483125725485,20674.454048752345,21638.258234236353,22558.296828672926,23424.018064199903,24224.832625084367,24949.159238078424,25586.73319435736,26130.21223704682,26572.3889447801,26906.37488276708,27128.9296501758,27238.910293907564,27235.65685591986,27120.113405563414,26896.683090557803,26570.623492528663,26147.700704497853,25635.396275641826,25042.651254649245,24378.5486411166,23652.37775698931,22874.0192172596,22052.906694709844,21198.31286015841,20319.51973716049,19425.568624800086,18523.69098288893,17620.52571107565,16722.81658650007,15837.24032728372,14968.408220378044,14119.746734993836,13294.774744037637,12497.074137917247,11729.081765230312,10991.66954869882,10285.8025403702,9612.65123682126,8973.158049317715,8366.736987889877,7792.716891181476,7250.666201706103,6740.3578803718965,6260.907194135477,5810.824226210081,5388.8561441363445,4993.99810806367,4625.409006700683,4281.659628694582,3961.1935258381577,3662.680672569798,3385.0036382507496,3127.2179538279956,2888.0544690631887,2666.1564748451956,2460.3457859169407,2269.6083549495634,2093.0942725424206,1929.9664254118375,1779.153795257977,1639.7066904916246,1510.7881834621496,1391.673371202573,1281.7493754295701,1180.4418141629267,1087.0214400436018,1000.8422197702708,921.330348866982,847.9810407431543,780.3585266935775,718.0960558984098,660.8278647957353,608.1007439594902,559.5333076664548,514.7832518574471,473.5464975222062,435.55719069938885,400.5877024765713,368.44859381942,338.9097174921833,311.72368606793066,286.70615391046425
G,8.998431410008578,10.459124110043795,12.80393776045018,15.870034211570955,19.558900822354985,23.815597814265328,28.617111306656625,33.96001073361619,39.8583601155432,46.33592436031467,53.42487450043217,61.16622336289841,69.60489507120043,78.79003208505458,88.7778003330303,99.62855488952805,111.4059466372878,124.1769937447723,138.01518678311598,153.00085386558047,169.21812973837612,186.75483812302008,205.70249171633552,226.15638244730243,248.22533700054169,272.0276109462293,297.6839067713433,325.3173352900187,355.05341564354774,387.01931427519116,421.36026647141165,458.25164076597537,497.86653089077845,540.3731804105854,585.9349827230283,634.71048105861,686.8603871157333,742.6224576386376,802.250118748317,865.9710578681699,933.987214268477,1006.4747790663915,1083.5852619506186,1165.5477077660169,1252.7152199009965,1345.3885062406798,1443.79950195166,1548.111369482006,1658.4184985612571,1792.6598906157255,1964.5920938294114,2167.405658738289,2397.327563457679,2654.1708312551486,2937.656897561649,3248.5245331766628,3587.7134938771305,3955.9286770000085,4354.232706513841,4783.459600405518,5243.9343018782065,5735.8545089788895,6259.172705724493,6812.922132467973,7395.414774467063,8004.945605044438,8638.802994803245,9292.960736012112,9963.009965679572,10644.25815830926,11330.521568579521,12014.421911281413,12689.153024320385,13347.264144603654,13980.032445084089,14578.881946172016,15136.510465299041,15645.132352880031,16096.598805390748,16484.89029082028,16805.246275268,17052.959016938148,17224.319140919255,17318.550602391882,17335.655903749546,17276.02436174582,17141.816799772303,16937.240546997724,16666.81141848172,16335.320208434972,15948.786918167936,15513.946714483514,15037.471211776372,14526.010036912037,13986.433687418057,13425.177827217965,12848.198215836603,12261.448716359664,11670.811215908663,11081.015454095228,10495.87290802377,9919.171919206648,9354.687963219843,8805.332223814252,8272.731005370133,7758.506297360856,7264.388705521814,6791.875651596073,6341.147179605155,5912.235726293645,5505.334403386445,5120.768477633736,4758.252045716368,4416.911628605874,4096.046914007883,3795.147209259257,3513.8169418813313,3251.098929623583,3005.8846824675343,2777.249287012027,2564.440421253884,2366.842453404365,2183.5204205693644,2013.4357927260792,1855.6997298823533,1709.560974158747,1574.40584978853,1449.6189759693427,1334.3544503245046,1227.8672070489192,1129.507833239453,1038.7218958284648,955.0499415838098,878.0598808574282,807.1686621646865,741.8632023280152,681.6917748333195,626.2610766010657,575.2362279862814,528.3407727785537,485.29470656220406,445.7340294883427,409.3568921766859,375.8941829483892,345.1087490069718,316.79539643831527,290.78089021066467,266.9239227594761,245.04468598564722,224.9461699178096,206.48609720833903
H,12.747777830845486,14.876684691085229,18.34910802562459,22.89377363769823,28.33420002426742,34.559688803032486,41.50809781829459,49.14765898030942,57.47299039625246,66.49312877013826,76.2290284676168,86.71387345542308,97.98496183004474,110.08388007328068,123.06085681316999,136.96978771475872,151.8662935704987,167.80766966198456,184.85796868409338,203.08865499442402,222.57219993403763,243.38180717069406,265.5914126988508,289.2757190498261,314.5261485246965,341.44306285544593,370.1236233349769,400.66172364681216,433.1479898650952,467.66885836767153,504.33213147382685,543.2823992067457,584.6523494493641,628.5590373678651,675.1038854116805,724.3726833134922,776.4486388367199,831.5127930418616,889.7557986782991,951.324635543525,1016.3225996654045,1084.8093033021635,1156.8034510448165,1232.4222950016572,1311.9212599059656,1395.4812208277483,1483.1913122630385,1575.0489281338994,1670.9597217884166,1787.4797370585773,1936.8219838856812,2111.913798483168,2308.483525422916,2525.4813921312234,2761.771077813194,3017.1020069001465,3291.3527490074684,3584.1212944413555,3895.281816622304,4224.456717112879,4570.771351084025,4933.225601604405,5310.616688740656,5700.996274554612,6101.874656443037,6510.857978346337,6924.901353387424,7340.112847897162,7752.544794218148,8158.313699661369,8552.77441669069,8930.767593402808,9287.937546269502,9619.879638508144,9921.742114134899,10189.182441258652,10419.04770663246,10608.211567099454,10753.64937290071,10853.853105267452,10908.1893544308,10916.205341380144,10878.11205722985,10795.60897379732,10670.7534588184,10505.801717841432,10303.754642097281,10068.276463313754,9803.082581089831,9511.961800515553,9198.985390361213,8868.083306992616,8523.104112539999,8167.882430571233,7806.162829629396,7440.976014256088,7075.092913970507,6711.316975481517,6352.416000429209,6000.315334910287,5656.44341115326,5322.261436620157,4999.2530660995235,4688.42699776623,4390.140440090034,4104.787639753837,3832.8475673233897,3574.704126921443,3330.1063154329595,3098.76779904302,2880.502469153407,2675.209858791819,2482.517062472399,2301.801253751091,2132.5389248406213,1974.3102721558682,1826.7642093242775,1689.3071811820428,1561.294613473404,1442.1762138790277,1331.4901398579511,1228.846596906564,1133.722837246989,1045.5616036932474,963.8795016322418,888.2609029730669,818.357946147008,753.8284342825594,694.2355168630867,639.1927354109945,588.3597644553006,541.4421058573828,498.1910888109811,458.3739287706933,421.6956702732062,387.89580355547173,356.7430727036655,328.03415643513114,301.5936680983819,277.27415567309856,254.928699938547,234.3758039635154,215.463220904791,198.05433739796024,182.02782607048053,167.27764554167885,153.71304042275264,141.2585274444157,129.82276780616456,119.30776548624286,109.64049591398401
I,59.989542733390515,67.00786179264202,75.37393763557564,84.94529011056622,95.62200648001716,107.34155160756293,120.07221592192366,133.8064372020516,148.55652201140046,164.3487617837278,181.2208336098821,199.2216299963607,218.405530414015,238.83183220022858,260.5687838509719,283.68943310632545,308.2686892204001,334.3825260702062,362.11513059517307,391.5630844787404,422.82219619328987,455.98681362442653,491.14982407097676,528.4024384607965,567.8651331815056,609.6728083790751,653.9507313852623,700.8144012143813,750.3695485633032,802.711299607062,857.9740381745321,916.3531145010149,978.0195702130428,1043.1140154935433,1111.7466290818377,1183.9971582736448,1259.9438289784161,1339.8279045187662,1423.8999032264915,1512.3379957844077,1605.2479915627816,1702.663338619319,1804.551363933482,1911.0465502372085,2022.4887866983224,2139.1022076298646,2260.9727142095617,2388.047974479834,2520.137423347788,2681.182400980352,2888.5841146055623,3131.7751203111347,3404.2685683282007,3704.221951487035,4029.7207235510486,4380.151586287078,4755.11871870337,5153.858171190817,5576.0348394717485,6020.996981061186,6487.440343459417,6973.930791955698,7478.799292436003,7999.40967377495,8532.44062042995,9074.74930240856,9622.364900699518,10170.23017279066,10713.255612325827,11246.467975258005,11763.91113657692,12258.971794975321,12726.100637715877,13159.67785509245,13553.492027567287,13901.982491698074,14201.106581129417,14446.834608908921,14635.250020146985,14764.370118941486,14833.319856934391,14841.45282465743,14788.973275781475,14677.99271554265,14511.09475481042,14291.137950788936,14021.952982688805,13708.238178903393,13354.785673841456,12966.511267785096,12548.714286350458,12106.526237880773,11644.997558018275,11169.185213172419,10684.046078523588,10193.609864464579,9701.580254649327,9211.71594184049,8727.740072899629,8252.268541700272,7787.264214960166,7334.736248251298,6896.726186959519,6474.645467755947,6069.036114422018,5680.4873756534,5309.699633896419,4957.244023223533,4622.837355235716,4306.1442154034485,4006.9604881622126,3725.193837305722,3460.3811909453493,3211.7166238041127,2978.524874041743,2760.267901187314,2556.497599951098,2366.433135007833,2189.219723032302,2024.1284895455433,1870.5487874376818,1727.9658999756634,1595.6807542716924,1472.9433975925401,1359.1034566367584,1253.602101740048,1155.9720468752591,1065.7522775270709,982.348951244687,905.2358420911776,833.9496852532166,768.0897609639263,707.3178945028777,651.317037890709,599.6823234047374,552.0553110177316,508.11789656169844,467.59050424074155,430.2320866310623,395.8401246809585,364.2123513726429,335.0970052514102,308.2825149254638,283.5791053610488,260.81831602169996,239.85300086824037,220.55732835878194,202.82676170255817,186.53376603976986,171.5410083233151,157.74644530261995
J,10.498169978343341,12.392195578133196,15.634327533135037,19.96682318411621,25.233226132889644,31.344978740551696,38.2628730301629,45.977379813991824,54.50552390314938,63.878567712057645,74.14008603455179,85.3467278872221,97.5605301849734,110.84947212225968,125.29183609033169,140.9718067484146,157.97819651191256,176.40462103630998,196.35411489777113,217.9393763435366,241.27866750930767,266.49566846173815,293.719477198432,323.08494667318513,354.74605699723827,388.87009939927765,425.62849203248146,465.1967310280348,507.75439049513034,553.4842297364679,602.5948213367632,655.3360594872513,711.9562808661184,772.6989114825941,837.8024666769517,907.500551120511,982.0319166418119,1061.7402655644426,1146.9921765835306,1238.122657160718,1335.435131342301,1439.201439759214,1549.6633544962256,1667.1696969953525,1792.237761747201,1925.318936119663,2066.777092074541,2216.8885861675512,2375.8422595483207,2569.49961015119,2817.7743943529754,3111.029255117807,3444.021143767721,3816.7107534874417,4228.961637121996,4682.145612697253,5177.978533594219,5717.9040977613295,6303.9403555175495,6937.848644631791,7620.743752652137,8353.626883721618,9137.214676576326,9970.98271292308,10853.431368091771,11783.070869345058,12756.977656834722,13770.325079442313,14817.690125032463,15893.162995857618,16988.49465471357,18093.500257122534,19198.620957217787,20293.030588158854,21363.6158593215,22397.09086273615,23381.700874676757,24304.45085125994,25151.27155622959,25910.9777863564,26573.96527654014,27130.264598604044,27571.119872021947,27892.41891037343,28091.165811354193,28164.788779791055,28113.71217499598,27942.221296153184,27655.190645245642,27257.971814959044,26758.49901931708,26166.81376896277,25492.952630631935,24746.92891053919,23939.539283961745,23081.886956859857,22184.35591767426,21257.30083178277,20310.999956316467,19354.386086107068,18394.937265454006,17440.03520488005,16497.017670091725,15571.861458223288,14668.346996025533,13790.183027082032,12941.227458982556,12124.905798591695,11342.274244618597,10594.044969980254,9881.185121149234,9204.866974177416,8565.10045668217,7960.734469171061,7390.904876914835,6855.075662394697,6352.898546432031,5882.91412287136,5443.324038362741,5032.660475541672,4649.767696724398,4293.732544939939,3962.988993329045,3655.733279972687,3370.4391741980394,3105.836535720413,2860.9113146432487,2634.6290046651334,2425.4727785562445,2232.1100234040014,2053.389329990486,1888.3391782053438,1736.1679370457837,1596.1280954926988,1467.1538929354547,1348.3089170267551,1238.7743883673356,1137.8433564736179,1044.9206997777114,959.5231256274097,881.1537124594389,809.1364198486654,742.914995361655,681.9962560193567,625.9485267601203,574.4016404396941,527.046937831227,483.6372031259155,443.84218843936014,407.293154505626,373.7309997915721
