Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,385.80455568147937,364.21438500914746,352.0343948167836,346.06711145796817,344.2306459550274,345.1543942418885,347.9603122322637,352.04488032495897,357.0425778762673,362.6857711174047,368.8060863748281,375.30744193582285,382.101335167755,389.1327113228592,396.38212981734284,403.8270321297725,411.4407881769935,419.2123292407835,427.14218935954983,435.2272883162826,443.4614876502744,451.8360555214331,460.3501980134689,469.0061415673082,477.80398755211274,486.7429553665209,495.82138243864875,505.03672422608975,514.3883608376279,523.8779905710867,533.5043055582183,543.2663487559446,553.1635525578573,563.1957387942193,573.3631187319644,583.6662930746959,594.109350158614,604.6900051026645,615.4013253857713,626.2388278691171,637.2004788548836,648.2866940862535,659.5003387474092,670.8467274635334,682.3337084935937,693.9808277600289,705.7729316384342,717.6815386870471,729.6878502318319,741.782750366481,753.9668059524145,766.2502666187795,778.6530647624512,791.2048155480329,803.9501179894412,816.9694914150222,830.1608586337,843.4079362372178,856.635969015521,869.8117299567589,882.9435202472822,896.0811692716456,909.3160346126068,922.7810020511254,936.6538165362732,951.2187134479568,966.1444094562811,980.9743535707413,995.416093961185,1009.3412779578123,1022.7856520511759,1035.949061892181,1049.1954522920855,1063.0528672224991,1078.2117056610814,1094.8100438178176,1111.6815225204562,1127.8729661300956,1142.8587410743223,1156.5407558472134,1169.2484610093343,1181.7388491877396,1195.1964550759737,1211.1486754032876,1228.9753925263094,1246.7837178571085,1263.4586018312557,1278.4876216353828,1291.9609812071824,1304.5715112354071,1317.6146691598701,1332.9804121259363,1350.5529989655386,1368.1730147931944,1384.8707566533242,1400.1977091451145,1414.226544422519,1427.5511221942575,1441.2864897238173,1456.9727581348218,1473.8961687967117,1490.644761719637,1506.6036010561602,1521.5294436253355,1535.550738912704,1549.1676290702987,1563.2519489166407,1578.7984560282507,1594.9100852761915,1610.7424942911784,1625.8789293728992,1640.177910177225,1653.773229716213,1667.0739543581062,1680.7644238273313,1695.5688624277182,1710.7553031685056,1725.6484329431605,1739.8853479190016,1753.3365371962561,1766.1058828080631,1778.5306597204712,1791.1815358324375,1804.761237396576,1818.8131084284125,1832.623560818375,1845.7933871261403,1858.1486831207044,1869.7408477803792,1880.846583292795,1891.9678950548991,1903.82519222268,1916.410299772398,1928.8876490497541,1940.766069566473,1951.7883578826206,1961.9312776066056,1971.4055593951787,1980.6559009534326,1990.3609670348023,2001.0352488383367,2011.8419198838453,2022.151627850024,2031.6034382724888,2040.0826152964828,2047.7206216768727,2054.895118778151,2062.229966574435,2070.4268698164014,2078.4945844077984,2086.1216739673755
B,28.160916473100674,42.130175385073585,54.94690173479662,66.85658008059269,78.08372493255311,88.81622490637534,99.20577731521713,109.36815689233364,119.39193722129811,129.3427693277766,139.2686489282,149.20360902018416,159.17369689958545,169.19762884770233,179.2864046221982,189.4491496038091,199.69412227819248,210.02653796981548,220.44790525420595,230.96004925488828,241.56549127580402,252.26738209941365,263.0670782757682,273.963837801541,284.9574786332042,296.0484688505642,307.237926656763,318.52762037827824,329.91977639933475,341.41343463044694,353.0063478814139,364.6973497446551,376.4863648717654,388.374408973516,400.3635888198546,412.45710223990284,424.66025983647745,436.9690272266687,449.3755756316805,461.8750772762723,474.4657054335287,487.14863442486006,499.92803962000096,512.8110974370124,525.8080644675033,538.939306085294,552.1879063658467,565.5243179781345,578.9292147248099,592.3934915422058,605.9182645003357,619.5148708028925,633.2048687872499,647.0200379244629,661.0074217839082,675.2453525242561,689.630787971292,704.0479103227323,718.4224151280154,732.721511288301,746.9539210564702,761.1698800371263,775.461137186594,789.9609548129187,804.8472602152063,820.3940163299701,836.2742235501162,852.042824943843,867.4148686946933,882.2655081015538,896.6300015786543,910.7037126555691,924.8421099772168,939.5607673038585,955.5328239653443,972.8832229077373,990.4820437174856,1007.4097892904649,1023.1595855703764,1037.637181548746,1051.1609492649245,1064.4618838060892,1078.683603307242,1095.3002478501764,1113.7093541308454,1132.088421676311,1149.3663607465846,1165.0511527806555,1179.2298503964905,1192.5685773910357,1206.3125287402124,1222.2781555152328,1240.3537387082893,1258.4650430589984,1275.6816538098792,1291.573355823639,1306.2101335831717,1320.1621711915554,1334.4998523720565,1350.7015161817828,1368.082492600218,1385.2877926676033,1401.7273174531454,1417.1677443167362,1431.7325269089538,1445.9018951710625,1460.5128553350128,1476.5204896304253,1493.0641955563792,1509.3332765991263,1524.9275369400532,1539.7112003282666,1553.812910080588,1567.6257290815595,1581.807139783441,1597.0530690201713,1612.6608730292073,1627.9814948558708,1642.666086807732,1656.5902187403367,1669.8538780572094,1682.7814697098493,1695.9218161977337,1709.9508110754762,1724.4299405383179,1738.6726380650819,1752.2946556614322,1765.1286441850368,1777.2241533455658,1788.8476317046934,1800.482426676095,1812.8221529064865,1825.8596229742805,1838.7901838245064,1851.1403464759244,1862.66217846634,1873.3333038526077,1883.356903210629,1893.1617136353507,1903.40202874077,1914.5742853488678,1925.8721031787004,1936.6877975056475,1946.672793628476,1955.7162656360567,1963.9451364073652,1971.72407761148,1979.6555097075843,1988.4170215712338,1997.0513194970063,2005.257633088797
C,926.4941519650124,866.6356469731968,830.1290279415263,808.9495093430847,797.8602429004299,793.4102011709598,793.3877379344021,796.2762675842433,801.1593778247143,807.3696187423191,814.4900925643819,822.2862120228494,830.5421022054193,839.1254569678254,847.9934168896644,857.0942424238299,866.3647402310488,875.7804789592261,885.345985191621,895.0559670851608,904.8967305636099,914.8473626186004,924.906872584003,935.0821949216294,945.3745643481582,955.7825954618327,966.3022827424616,976.9270005514193,987.6540706738057,998.4884662580948,1009.4292211781908,1020.4753085865202,1031.6257213992112,1042.8794722960934,1054.235593720699,1065.6931378802592,1077.257114045358,1088.9257960793532,1100.6902638783665,1112.5446358505876,1124.4860690096416,1136.5147589745889,1148.633939969925,1160.8498848255824,1173.1720173287144,1185.6257222206154,1198.1918141913884,1210.8333761240594,1223.5260148012974,1236.2578609054142,1249.0295690183643,1261.8543176217458,1274.7578090968009,1287.778269724413,1300.9729977885795,1314.4421945865145,1328.0565424465656,1341.669586928949,1355.187243304239,1368.5677965533657,1381.8219013676178,1395.0125821486392,1408.255233008432,1421.717617769355,1435.6237725284311,1450.3147200356511,1465.3796230428557,1480.2616999065976,1494.6044887228263,1508.2518473268892,1521.2479532935301,1533.837303936891,1546.4647163105105,1559.7753272073248,1574.6096135931195,1591.102225251343,1607.8563594562256,1623.7438049355546,1638.1429693338328,1650.9388792122797,1662.5231800488298,1673.7941362381332,1686.1566310915553,1701.4191260804007,1718.8165289930266,1736.1355593087508,1752.0900832748264,1766.090225416892,1778.242368538969,1789.3491537234609,1800.9094803311557,1815.1089954482186,1831.797783256735,1848.4925651710678,1864.0983231882797,1878.1098337906367,1890.611667945615,1902.2781911058942,1914.3735632093644,1928.6420752212534,1944.2665110848186,1959.661161422941,1974.144177607808,1987.4471092084348,1999.7149039906692,2011.5059079171874,2023.791865147497,2037.6792458715372,2052.165335503797,2066.3219762434765,2079.694679575024,2092.1304190559376,2103.7776303167657,2115.0862110611024,2126.8075210655957,2139.7345267607975,2153.062133203418,2166.0601163526117,2178.338474573645,2189.75919754359,2200.436266251331,2210.735652997559,2221.2753213947744,2232.814752856294,2244.856899474137,2256.638629958784,2267.7359330366075,2277.965068504608,2287.382567230412,2296.2852311522743,2305.2101332790776,2314.9271774138165,2325.42433577636,2335.814055828832,2345.5791037486147,2354.449366909315,2362.401853880763,2369.6606944290165,2376.697139516355,2384.2295613012857,2392.8009329369274,2401.52666633,2409.7472184745407,2417.085139977957,2423.421335333342,2428.8950629194733,2433.9039350008147,2439.1039177275134,2445.2325899935704,2451.2502186962506,2456.8308112171517
D,4212.873104375863,3977.7903965017576,3844.2366088007107,3776.62334251795,3751.9261773326134,3755.1088225116837,3776.649593549907,3810.0736074977785,3851.5469146577007,3898.2925835741353,3948.613613536914,4001.5945712036864,4056.373151451086,4112.439396702595,4169.662271944175,4227.859491620565,4286.789311989061,4346.374705237995,4406.654034670336,4467.6201617607985,4529.22905736114,4591.405136140579,4654.157056730361,4717.516636309103,4781.491517548602,4846.081003800581,4911.276059096696,4977.059308148535,5043.432200576411,5110.41411504186,5177.993090098142,5246.161809837526,5314.917994789342,5384.264401919976,5454.208824632886,5524.764092768572,5595.969841002861,5667.8045316444195,5740.208837995174,5813.145627796359,5886.59996369899,5960.579103263859,6035.112498961538,6110.251798172383,6186.071462077528,6262.727000472933,6340.092060480594,6417.9417849331385,6496.129025824122,6574.584344308018,6653.316010700218,6732.410004477042,6812.030014275722,6892.417437894428,6973.928544340977,7057.143914969103,7141.290687173093,7225.503650113284,7309.228122204643,7392.219951116798,7474.545513774004,7556.581716355166,7639.015994293832,7722.846312278187,7809.403726557452,7900.6787939292935,7994.249335760446,8086.851051673185,8176.394923234,8261.9672139536,8343.829469286908,8423.41851663307,8503.346465335453,8587.400706681625,8680.515701429385,8783.495441331277,8888.136387794617,8987.807923749708,9078.857341928748,9160.609844865825,9235.368544896935,9308.414464159947,9388.00653459464,9484.779738346868,9594.28203397828,9703.46317801365,9804.715010625077,9894.547325304029,9973.58786886138,10046.582341427376,10122.394396451647,10213.949629550229,10320.395812291981,10427.024401892408,10527.310553353707,10618.242304269632,10700.320574825477,10777.55916779808,10857.484768555829,10950.485744920152,11051.717748263603,11151.71039602777,11246.372707242072,11334.092294036516,11415.735361641699,11494.646708388804,11576.6497257096,11668.380111216236,11763.838608615519,11857.43593036171,11946.427412398973,12029.886986535384,12108.70718044294,12185.599117657554,12265.09251757905,12351.972968003405,12441.39260288647,12528.924170211107,12612.197765362902,12690.372636041726,12764.137182261724,12835.708956351342,12908.834662953306,12988.122568959825,13070.567623363888,13151.519116501138,13228.385451122442,13300.041478019513,13366.82849602495,13430.5542520122,13494.4929408956,13563.340061418845,13637.034045413619,13710.145859159347,13779.497032867148,13843.425708663644,13901.786640590994,13955.951194606881,14008.807348584509,14064.759692312604,14127.14472252617,14190.53652032596,14250.864020870318,14305.794395863033,14354.58854900355,14398.101115986983,14438.780464504114,14480.668694241383,14528.311313532753,14575.289845362991,14619.589681345424
E,577.2987876985636,542.9784002456087,522.8299778848498,511.9192527494424,507.0467016873866,506.11945828707155,507.81014529036446,511.21658404363575,515.8042581428773,521.1872183771035,527.1303566751685,533.5077422247299,540.2011518797945,547.1413443362329,554.3119769287495,561.6892866360527,569.2407961576316,576.9568249954197,584.8439472973505,592.9020413680405,601.1254169860069,609.503565760289,618.0377911308121,626.7330690276814,635.5907598818768,644.6107424733577,653.7914139310639,663.1296897329145,672.6249113492441,682.2799471010738,692.0936183178982,702.0650084071099,712.1935147460447,722.4788486819841,732.9210355321543,743.5204145837242,754.2812535886011,765.2013218191224,776.2732495393352,787.4922230016576,798.8559845120765,810.3648324301467,822.0216211689923,833.8317611953054,845.803309070235,857.956926534169,870.2766364356033,882.7322174442356,895.3036895824569,907.9813142253505,920.765594100693,933.6672732889529,946.7073372232915,959.9170126895641,973.3434243232643,987.0723099353429,1000.9953132394863,1014.9888524281732,1028.9734690002786,1042.9138277610755,1056.8187168222332,1070.7410476018192,1084.7778548242975,1099.0702965205287,1113.807244008184,1129.293701150113,1145.1766387017506,1160.967893372882,1176.354778160178,1191.2000823471992,1205.5420715043933,1219.5944874890963,1233.7465484455329,1248.5629488048141,1264.7826019304594,1282.5605792782908,1300.6441830708673,1318.0069100085286,1334.0827008421418,1348.7659403730977,1362.4114574533132,1375.834524985232,1390.3108599218222,1407.4860578151474,1426.699700804079,1445.9066700170683,1463.8982907633417,1480.1190742288554,1494.6667174763004,1508.2921034450965,1522.3993009513943,1539.0367842684075,1558.0833534712672,1577.196125568887,1595.318543202372,1611.9619089045723,1627.2053851000865,1641.6959941052578,1656.6486181281762,1673.7414578503144,1692.199338016746,1710.4816950937784,1727.915996799426,1744.2362927137299,1759.5832142787592,1774.5039747986104,1789.9523694394088,1807.0169960519381,1824.7178464498193,1842.1297682069585,1858.7957361271583,1874.560732147023,1889.571745335953,1904.2777718961484,1919.4298151626067,1935.8229335251096,1952.6548906836983,1969.1836120875155,1985.0101516297286,1999.992259376,2014.2443815644929,2028.1376606058666,2042.299935083278,2057.5044762825783,2073.2500666793585,2088.7506144495633,2103.5659629670863,2117.504430481055,2130.622810115836,2143.226369871029,2155.868852621474,2169.3448928555126,2183.646987601676,2197.852550900473,2211.4179268509424,2224.0584109785805,2235.748250235336,2246.720642999614,2257.4677390762763,2268.740639696638,2281.1098679600386,2293.649807602634,2305.660711769922,2316.7410176134235,2326.762922382298,2335.8723834233383,2344.489118180976,2353.306604197277,2363.104813294661,2372.780682316123,2381.9876120770627
F,394.2528306234097,396.2727142970008,404.88570644914273,417.46055470046366,432.4039739908912,448.74502912883514,465.9245537102327,483.5847081996754,501.5483794222701,519.690655778014,537.9494199886476,556.3059876151726,574.7323995213403,593.2183222769138,611.772862981873,630.3972358233912,649.0857290969865,667.8415735410698,686.6716757755539,705.5793785411958,724.5658382452933,743.6303674915293,762.7765047329036,782.0066383075333,801.321909014233,820.7236341055616,840.2133072878241,859.7925987210712,879.4651323301784,899.2319353600706,919.0901041896462,939.0383769527717,959.0771751307116,979.208603552128,999.4364503930833,1019.7661871770331,1040.2074897969953,1060.7548223531928,1081.3956984056574,1102.122620975116,1122.9330826259734,1143.8295654663127,1164.8195411478932,1185.915470866154,1207.1349297525674,1228.5111297241776,1250.0171267371632,1271.6060398232605,1293.247379089132,1314.927045716364,1336.6473319614702,1358.4269211558876,1380.3008877059794,1402.3206970930362,1424.561730417112,1447.1429531763313,1469.9043498199685,1492.6676009858218,1515.3184654515153,1537.8067801344991,1560.146460092051,1582.415498521273,1604.7559667590947,1627.3740142822699,1650.5445222650233,1674.6783899037034,1699.2762501988482,1723.6649574819228,1747.4136999454192,1770.3339996428517,1792.479712488758,1814.1470282587009,1835.874470589267,1858.4428969780643,1882.871138272667,1909.3427095759757,1936.1531040852353,1961.917707687161,1985.8735047453451,2007.8790781002554,2028.4146090692357,2048.5818774465056,2070.10426150316,2095.203495021883,2122.9778071820847,2150.6779501846568,2176.6856479130624,2200.25771350338,2221.5260493443006,2241.497647077133,2262.054587595797,2285.942278109646,2312.999414900335,2340.088088619326,2365.7935424424363,2389.46170943903,2411.199212572009,2431.8733646978203,2453.1121685664507,2477.164502662205,2502.9955663837663,2528.5397011057744,2552.8934810420515,2575.6999039483976,2597.1483911225973,2617.974787404422,2639.4613611756236,2663.0723612490283,2687.494071246699,2711.4800383541906,2734.4136796228177,2756.0861644974552,2776.6964148165403,2796.8511048120727,2817.564661109611,2839.9119549877,2862.812871889948,2885.2626019356994,2906.720484105469,2926.9940967857056,2946.239257768787,2964.9600242530228,2984.0086928426513,3004.435357243091,3025.563323605815,3046.3240783927677,3066.11858657516,3084.6863367513897,3102.1053411470325,3118.7921356148504,3135.5017796347834,3153.317564878781,3172.232280165755,3190.988500356524,3208.843617759477,3225.4090657187894,3240.6503186144255,3254.886891862133,3268.7923419134486,3283.394266255697,3299.4744485055794,3315.7689236343076,3331.319141769943,3345.5751719352934,3358.362463454875,3369.8818459549107,3380.7095293633356,3391.797103909792,3404.2147260967795,3416.4502664416495,3428.029221610902
G,33.79309976772081,41.78533707823569,49.45239283825819,56.82906658559663,63.97754451389674,70.96318506315251,77.8469551361731,84.67776255721517,91.49653365324966,98.333796252349,105.21296026964012,112.15159981891813,119.16277158418548,126.25632988420203,133.4387869564805,140.71543783734128,148.09092521095357,155.5686285448168,163.1502012084212,170.83735251757307,178.63207488792415,186.53661548340293,194.55243378505656,202.68006348420022,210.92027380538815,219.27411186415029,227.74290266699361,236.32824911140173,245.0319995490904,253.85461363660528,262.7959103256416,271.8561970134029,281.03627490851136,290.3374390310081,299.76147821235384,309.3106750954267,318.98860808534357,328.794239545554,338.72439586025877,348.77742625497075,358.95320282210884,369.25312052099906,379.680097177873,390.2385734858701,400.9345616533987,411.7806839298443,422.76874767156295,433.8828304156617,445.11277424260976,456.45418577623894,467.90843618374373,479.48266117568056,491.1897610059691,503.0484004718918,515.0864277816972,527.3561766602695,539.7957474002551,552.3337196945906,564.9245113939083,577.5483785065352,590.2114151984928,602.9455537934981,615.8085647729639,628.8840567759963,642.2838634026614,656.2043917469493,670.4335924355549,684.6688056441825,698.7164272474342,712.4919088188134,726.0197576307215,739.4335366544606,752.975864560232,766.9984157171361,781.9645590186465,798.0127965216362,814.3338001365653,830.2487847196696,845.3834383341097,859.6679222499729,873.3368709442715,886.9293921009444,901.2890666108548,917.5080369673527,935.1960836380285,952.9589961665305,969.9476377392842,985.7710382640184,1000.4963943697669,1014.6490694068666,1029.212593446958,1045.6227171829862,1063.8253413991044,1082.158676299428,1099.8390747360086,1116.5030759171304,1132.207405407307,1147.4289751272836,1163.064883354035,1180.3568515629638,1198.7531412086041,1217.0915179871658,1234.8482779407666,1251.8153645013363,1268.1003684906163,1284.1265281201593,1300.632728991329,1318.466912283776,1336.8819211398072,1355.1374598459597,1372.8611102119082,1389.9256197015584,1406.44890143305,1422.7940341787546,1439.5692623652765,1457.4235764335665,1475.7166470685654,1493.8254539039067,1511.4104838551373,1528.3497075277292,1544.738579217079,1560.8900369085077,1577.334502277262,1594.7285529624592,1612.6613035235541,1630.4480346193852,1647.6984029474113,1664.241406885201,1680.1253864904354,1695.618023500904,1711.2063413345072,1727.5902986207504,1744.7782736138995,1761.9449570094675,1778.5891866649124,1794.4474789276583,1809.4940286350982,1823.9407091145847,1838.2370721834418,1853.0703481489568,1868.9713700721384,1885.0958938510912,1900.7773534212913,1915.6308936281,1929.5322920057483,1942.617958777343,1955.2849368548634,1968.1909018391618,1982.075715642181,1995.8853861112582,2009.2880443690672
H,47.873558004271146,58.673495378077135,68.98431681696026,78.78906708940175,88.13830080045966,97.10419236744272,105.76370139324229,114.18167324614605,122.41594390956607,130.5102566082998,138.49928074015534,146.4100080686089,154.2621344319506,162.07084758365286,169.8467680044266,177.5982685349528,185.33234111237567,193.0542783251669,200.76687232415017,208.4727941433256,216.17497538214602,223.87657149633932,231.57966008701592,239.28513708946537,246.99414492396215,254.70811519439283,262.42876868825687,270.1581153766664,277.89830521799905,285.65008386675373,293.41369592458494,301.18978893208873,308.97941671808417,316.78403939961294,324.60552338194054,332.4461413585543,340.3090716269068,348.19389654477993,356.09860141823145,364.0222835086551,371.96515205119914,379.9285282547676,387.91484530201893,395.92764834936776,403.9716245449326,412.0553409535917,420.1734106876029,428.31559661549346,436.4754203493401,444.6501622447699,452.84086140095883,461.0523156606333,469.2930816100688,477.57547457909135,485.917496744177,494.34956279783137,502.8338931477667,511.3276396290076,519.8034434906581,528.249435395901,536.6692354219988,545.0819530602938,553.5221872162073,562.0400262092394,570.7023940611938,579.6220427785297,588.6738525481543,597.6817266849415,606.5329678315508,615.1782779584272,623.6317583638016,631.97090967369,640.336631841895,648.9332241500035,658.0298882165266,667.7067455340106,677.493790274912,686.9968987886957,695.9986408051184,704.4582794342302,712.5117711663737,720.4717658721839,728.8276068025887,738.2130705464351,748.4037884686951,758.5888018682544,768.2730175897074,777.2283457154459,785.4936995656627,793.3749956983488,801.4451539092952,810.5406354578768,820.6302598583627,830.7453943593279,840.4287551673679,849.4681983487167,857.8967198292476,865.9924553944711,874.2786806895373,883.4796645617552,893.2727290666594,902.9808576488086,912.299645495209,921.1082290128818,929.4692858288672,937.62903479022,946.0172359640125,955.126674729176,964.5218685238584,973.7747319671938,982.6706228982622,991.1364123733924,999.2404846661636,1007.1927372674046,1015.3445808851928,1024.0702132240526,1032.9987398268897,1041.7741199831557,1050.203155046696,1058.2167525977015,1065.8699264427112,1073.3417966146083,1080.9355893726242,1089.0259109983417,1097.375797924075,1105.5989822999463,1113.4768721022845,1120.914143009126,1127.9387384002164,1134.7018693570103,1141.4780146626706,1148.6612460655974,1156.2527664563045,1163.7921236011864,1171.0037099400697,1177.743102791107,1183.99706435078,1189.8835416938962,1195.6516667735932,1201.6817564213347,1208.265076002859,1214.9345723441388,1221.3299939357985,1227.244207061881,1232.611168525632,1237.5059256495006,1242.144616275139,1246.8844687634012,1252.1272531283817,1257.3040387979036,1262.236242586437
I,225.28733178480545,229.09603522141254,236.30394961004012,245.46262385406288,255.7118723856031,266.53904121403673,277.65870345001645,288.8926131464283,300.15967818999286,311.4036440962315,322.60022984838884,333.7469181428976,344.8342286141339,355.86119145017733,366.8363845360381,377.7635394965583,388.6422790723964,399.476745487241,410.27275039871984,421.03411398435776,431.7634537651551,442.46234302737673,453.1344126595426,463.78321263357464,474.4115726211911,485.0221758983073,495.61755934503697,506.20011344569303,516.7728723002411,527.3388765288479,537.89993820433,548.4580993861824,559.0156455811334,569.575105743146,580.1392522734187,590.7111010203823,601.294935388835,611.8921369119442,622.5022005992901,633.1255387178562,643.7634808141224,654.418273714066,665.0930815231598,675.7919856263737,686.5200134781719,697.2861100989256,708.0868286555806,718.9140162298359,729.7627966643288,740.6315705626326,751.5220152892583,762.4390849696535,773.3910104902035,784.3892994982307,795.4507163524252,806.6064250323409,817.8219302814102,829.0570291336977,840.2861896116926,851.4985507263088,862.6979224768858,873.9027858511873,885.1462928254028,896.4762663641454,907.9568188067916,919.7155337103588,931.6270172454848,943.5036990473445,955.2255517662126,966.7400910674638,978.0623756315713,989.2750071541084,1000.5281303457479,1012.0394329322608,1024.0994674555313,1036.838762177865,1049.7226290394792,1062.2862641198226,1074.2729509919384,1085.6340607224656,1096.529051871638,1107.3254704932845,1118.5989501348288,1131.0986026399753,1144.5991519758581,1158.1094829937242,1171.0036604550235,1182.9925293093402,1194.1237146943943,1204.7816219360404,1215.687436548268,1227.8948899347129,1241.3832970597168,1254.919160064745,1267.8990439314987,1280.0423124821352,1291.3911283792713,1302.3104531259796,1313.4880470657909,1325.8771235997651,1339.0620099358825,1352.141341710841,1364.7027830494735,1376.5821665096742,1387.8634930823955,1398.8789321916506,1410.2088216945117,1422.5200310071214,1435.2276391795076,1447.7462104043484,1459.7802510635252,1471.2288087658555,1482.185472347091,1492.9383718699198,1503.9701786239643,1515.7958408727243,1527.9074420598106,1539.8115201091844,1551.2394535169037,1562.0949992250378,1572.4542926216677,1582.5658475408868,1592.8505562627993,1603.8287895250394,1615.1728588365656,1626.3439917641463,1637.0364988888134,1647.116955022716,1656.62419920912,1665.7693347224053,1674.9357290680698,1684.6738963108146,1694.9863162282993,1705.2286661712678,1715.0143364243736,1724.1406556533352,1732.588890904938,1740.5242476070316,1748.2958695685318,1756.43683897942,1765.3555926483564,1774.397192047391,1783.0557337211444,1791.040248418094,1798.2578699791632,1804.8138353377185,1811.0114845195728,1817.3522606429842,1824.400133399052,1831.3560178398088,1837.9690437624809
J,39.425283062340945,53.518652885410724,66.64557420355476,78.98115455166428,90.70764908809842,101.98768948860933,112.95902621552233,123.72912841182882,134.38327818767368,144.9853612808088,155.58338133436143,166.21262762185427,176.9001485677221,187.6661510591761,198.52376781797898,209.4839947081158,220.55668475625387,231.7489182307903,243.06445193614672,254.50717043361172,266.08144001290384,277.7920369442462,289.6420943990841,301.6334192957124,313.768222592238,326.04905608264613,338.47881239680015,351.06072500044223,363.7981104223958,376.6927338630136,389.74595762125347,402.9595722204665,416.33579854221995,429.87728782629944,443.5871216707088,457.4688120316677,471.5272316639792,485.7630123204056,500.1746327890386,514.7619725964993,529.5263120337089,544.4703321558898,559.5981147825627,574.9151424975508,590.4283503579649,606.1519887005073,622.0796702772661,638.1967925768431,654.4944851452517,670.9696095859168,687.6247595596739,704.4682607847699,721.5141710368639,738.7822801490262,756.3019557199034,774.1322708073457,792.2095305828922,810.4587380989216,828.8324157000334,847.3106050230455,865.9008669969942,884.638281843136,903.5854490749464,922.8324874981186,942.4999414165693,962.8197291920605,983.5594331013522,1004.37543153027,1025.0482380295584,1045.4825013148834,1065.7070052668291,1085.8746689309012,1106.2625465175258,1127.2718274020463,1149.4348429979418,1172.9587291487853,1196.8866626362449,1220.3986346473919,1243.0425640641379,1264.7342974632356,1285.7576091162787,1306.7642009897036,1328.7737027447863,1353.1104972500207,1379.3547210869688,1405.7759809633412,1431.2936614297846,1455.4097094690733,1478.2086344961076,1500.3575083579144,1523.1059653336463,1548.2788676776613,1575.8408034274946,1603.6599309341652,1630.6953492464581,1656.463632188339,1681.0388283589555,1705.0524611326362,1729.6935286588932,1756.6101250172608,1785.0938466247637,1813.5802705235646,1841.3481993522646,1868.1106747390868,1894.0149773018813,1919.64262664812,1946.0093813749,1974.285625970651,2003.4587221753825,2032.4882246031843,2060.8444384296627,2088.3461308084675,2115.160530871291,2141.803329727873,2169.1386804659965,2198.0939071649314,2227.7715258802914,2257.2653998599208,2286.077619136602,2314.0290293426897,2341.259231710109,2368.2265830703577,2395.7081958545014,2424.669280775615,2454.5238671974134,2484.249219419183,2513.255516748623,2541.284093359609,2568.407438292196,2595.029195452612,2621.8841636132674,2650.0289558135432,2679.494993079406,2709.0248952957177,2737.838784350562,2765.5262225162037,2792.0462124490937,2817.727197189861,2843.2670601633235,2869.73312517848,2897.961234767149,2926.6470839434005,2954.725414700488,2981.579050925002,3007.0078103154824,3031.228504382424,3054.8749384482676,3078.997911647404,3104.7794036900837,3130.528942264076,3155.7146339030032
