Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,22.370442692419278,24.835571893354587,27.50045618083562,30.33471166500163,33.31924709572268,36.44154035972952,39.693349345599145,43.06842750343351,46.562428679722515,50.171575197695354,53.89285892001849,57.72388777745623,61.66240130868929,65.70657259439028,69.85500215518974,74.10649856298159,78.46010200899231,82.91518714392177,87.4713868448047,92.12853320969386,96.88666828742114,101.7460409932442,106.70706428493187,111.77034190483123,116.93660382493836,122.20668679339694,127.58153433449837,133.0621967486821,138.64979903213586,144.3455472639871,150.1507450440137,156.0667299579162,162.09487303885524,168.236578767452,174.49328507178822,180.86646332740523,187.3576686815622,193.96841005916565,200.7001426790128,207.55436116496818,214.5325995468028,221.6364312601943,228.86746914672597,236.22736545388824,243.71781341908718,251.34074092135066,259.0974851263584,266.9891282564709,275.01691341538873,283.1822445881523,291.4866866411422,299.9319653220791,308.5199672600236,317.25273996537686,326.1325892640347,335.162493972965,344.342123302277,353.6708638018643,363.14883373827325,372.77688309470284,382.5565935710048,392.49027858368333,402.580983265896,412.8324844674521,423.2493521370279,433.838135142532,444.5941532372676,455.5103892767714,466.582789508828,477.8102635734706,489.1946845029808,500.7408887218878,512.4566760469706,524.3528096872541,536.442994520412,548.7309629725121,561.1964471012509,573.8229957999202,586.6019613822544,599.532499582431,612.6215695550695,625.8839338752337,639.3421585384282,653.0250709218463,666.9222164099053,680.9995589538498,695.2372492803784,709.6264977019997,724.1695741170312,738.8798080096009,753.7815884496457,768.9102149545907,784.2640928179748,799.8038274348087,815.5118173679174,831.3800546994133,847.4101250306945,863.613207482447,880.010074694642,896.629319949779,913.4578668208676,930.4695533408046,947.6528852532581,965.0032193735482,982.5227635886464,1000.2205768571756,1018.1125692094093,1036.2168942774588,1054.516545836762,1072.9953287473131,1091.6449370357743,1110.4621433300263,1129.448798859169,1148.6118334535201,1167.9632555446176,1187.5157756800193,1207.254894605743,1227.1670028238555,1247.2442684406271,1267.4831759661736,1287.884526314457,1308.4534368032855,1329.1993411543126,1350.1340989138857,1371.2478037590124,1392.52555191213,1413.9582723552842,1435.5410819405506,1457.2732853900345,1479.1583752958684,1501.2040321202162,1523.4219951284747,1545.8102619144836,1568.3510675426085,1591.0330386224562,1613.8491816194676,1636.7968828549165,1659.8779085059093,1683.098404605386,1706.4688970421203,1729.9967767108262,1753.6637402645727,1777.4552448556756,1801.3618097474066,1825.3786000997954,1849.5054269696288,1873.7467473104493,1898.1116639725585,1922.6107153725097,1947.222101315738,1971.9369246587112
B,1.6328790286437431,1.8185562155027781,2.0499968595369826,2.348368038120544,2.7291799979918254,3.2037551932863653,3.780250302096908,4.464674235118067,5.261281468749088,6.17333462378146,7.203234537489041,8.352740865260524,9.623429195096929,11.016586539394307,12.533187556999566,14.174226199553532,15.940746071788837,17.833686363498153,19.853881377286243,22.00223097134623,24.279706470715396,26.687345950849398,29.226131374262735,31.897015231422856,34.700999993179934,37.63912970974701,40.71249001070017,43.92220810497869,47.269427456021845,50.755224349678194,54.380683159807916,58.14692050773949,62.05508518936753,66.10635817515302,70.30195261012351,74.64311381387215,79.13112903913182,83.76710987249943,88.55210638741576,93.4872292483876,98.5736497117443,103.81259962563831,109.2053714300443,114.75331815676024,120.45785491296412,126.32058495227835,132.34239557683844,138.52393372395284,144.8660384797001,151.3697410789293,158.03626490525951,164.86702549108023,171.86363051755112,179.02787981460264,186.3618604091476,193.86823114917348,201.54619023512677,209.3946870349675,217.41345069055646,225.60299011765477,233.96459400592383,242.50033081892576,251.21304879412347,260.1063759428794,269.1847796026101,278.4545120628516,287.910387138156,297.54496892739445,307.35384310506663,317.33561692130127,327.49191920185524,337.8274003481141,348.34973233709286,359.0696087214332,370.0006960482295,381.1462195221363,392.4855400273044,404.00198561613433,415.68669055742873,427.538595336392,439.5644466546297,451.7787974301506,464.2040067973629,476.86868490925053,489.7620258024539,502.84994493875155,516.1125724825033,529.541011359969,543.1373372593089,556.914598630584,570.8968166857555,585.1188371854582,599.5788709792763,614.2377043303096,629.0777745291058,644.0910076195615,659.278818398922,674.6521104177817,690.2312759800826,706.0444424539285,722.0785283568449,738.3075314556331,754.7199567345858,771.3110804846141,788.0829503032483,805.0443850946366,822.2109750695452,839.6005300973562,857.1961258772031,874.9816374205858,892.948736879096,911.094117453333,929.4194933929028,947.9315999964197,966.642193611504,985.5637284563468,1004.6817745366269,1023.9827723540569,1043.458875542228,1063.10650831167,1082.9263654498516,1102.9234123211809,1123.1068848670038,1143.4884213148716,1164.0581433850775,1184.8012186290243,1205.7085848062502,1226.7753265455794,1248.0006753451198,1269.388009572267,1290.944854463699,1312.6827545244241,1334.5996634917083,1356.677922786379,1378.906196145156,1401.2774882233432,1423.7891445948337,1446.4428517521055,1469.2446371062242,1492.204868986843,1515.330816964028,1538.6042943274022,1562.0108231886668,1585.5409468001405,1609.1898180018934,1632.957199221744,1656.8474624752575,1680.8695893657484,1705.0339865639285,1729.3189832813978,1753.7157092313805
C,53.72172004237913,59.63251315848881,65.97365048282595,72.63580965336996,79.54795955784245,86.66314278883306,93.95092582776957,101.38986177328255,108.96640349523034,116.67013326848162,124.4939319151041,132.4331334398804,140.4833928947823,148.64161571448867,156.906020881529,165.2749075784162,173.74664392048243,182.32028963748283,190.99543548488367,199.7717299145176,208.64890108373422,217.62676680789684,226.70549468208878,235.88550719733718,245.167266072749,254.5512861407763,264.038135347216,273.6284347512109,283.32289932764513,293.1224168388833,303.0279059360451,313.0402978562404,323.1605366737096,333.38957929982445,343.72839548308855,354.17796780913466,364.7393895290733,375.41372951178175,386.2019646594691,397.1051032226681,408.12418480152473,419.2602803457994,430.51449215486497,441.8879538777091,453.3818323179137,464.9975658144959,476.7359669210125,488.5975552955689,500.58301797871496,512.6932093934456,524.9291513452014,537.2920330218662,549.7832109937711,562.4042092136909,575.1568227560566,588.0435643076571,601.0634307917605,614.2151164165724,627.4980911513156,640.9126007262288,654.4596666325676,668.1410861226032,681.959432209624,695.9180536679339,710.021137296865,724.274804057363,738.6734991624737,753.2093062066793,767.8773909957857,782.6760015469214,797.6064680885376,812.6732030604078,827.8837011136304,843.2485391106227,858.7813176377832,874.4848788772398,890.3378959147853,906.3231191560636,922.431221301475,938.6607973461773,955.0183645800844,971.5183625878683,988.1831532489557,1005.0414183348172,1022.0815873279985,1039.2690176730016,1056.5835445037424,1074.015980611315,1091.5681164439936,1109.2527201072326,1127.093537363665,1145.1251419070898,1163.3452497829123,1181.714509625016,1200.215400785818,1218.839744190189,1237.5887023354544,1256.4727792913943,1275.5118207002422,1294.7332755732061,1314.1239019074326,1333.6580766839566,1353.324486289636,1373.118381585639,1393.041577907447,1413.1024550648485,1433.3159573419432,1453.6991547835928,1474.235419314063,1494.9091674831022,1515.7123450851614,1536.6416940722327,1557.6987525538475,1578.889854797078,1600.2261312265382,1621.7193524299596,1643.3556208993964,1665.1221031161213,1687.0113905018745,1709.0200952663972,1731.1488504074343,1753.4023097107308,1775.7891477500327,1798.3202869179268,1820.98637763866,1843.773636209623,1866.6737034396951,1889.6820727021807,1912.7980899348102,1936.02495363974,1959.3697148835515,1982.843157576947,2006.4433984067134,2030.154236122461,2053.965394627859,2077.8705861211324,2101.867511095064,2125.957858336994,2150.147304928819,2174.4455162469953,2198.859290281547,2223.3721115702056,2247.970993546955,2272.6475323753602,2297.3975244419175,2322.2209663560516,2347.1220549501177,2372.1091872794004,2397.1920645411765,2422.351226320822,2447.5788655056126
D,244.27870268510392,271.13889099520725,299.8653424105633,329.8970458044114,360.87134006423275,392.553955842208,424.80030027946583,457.51676850558704,490.6534428740715,524.17874836961,558.0791949591699,592.3542589947062,627.0042388493127,662.0348668433836,697.4578358155194,733.283352477665,769.5198867782104,806.1780568735185,843.269981670687,880.8063530540815,918.7965466842234,957.2487313957002,996.1722111948287,1035.5762387250732,1075.4692331670533,1115.8591239288226,1156.7533506458685,1198.1588631811187,1240.0827502055997,1282.5322828537255,1325.5138579074098,1369.0338324728405,1413.0985329577888,1457.7142550716092,1502.8872638252428,1548.623793531208,1594.930355331522,1641.8125083022596,1689.2752172891956,1737.323704822395,1785.963451122868,1835.2001941025717,1885.0399293644055,1935.4889102022166,1986.5536553501686,2038.2416316772583,2090.556597667687,2143.5010312786685,2197.0783721349826,2251.29302152898,2306.1503424205794,2361.656659437269,2417.8192588741076,2474.6463886937236,2532.1477407055363,2590.3358852586393,2649.20580849887,2708.7512321362697,2768.969835083966,2829.863253458173,2891.43708057819,2953.700866966404,3016.668120348288,3080.356305652398,3144.7871423838023,3209.9911240233723,3275.941087166686,3342.5986583573294,3409.940704696651,3477.959333843762,3546.6618940155336,3616.070973986598,3686.224403089355,3757.175251213953,3828.991510215985,3901.687737054601,3975.159795789912,4049.323787869503,4124.134791504758,4199.586861670865,4275.713030106803,4352.585305315361,4430.314672563118,4509.043243192221,4588.715490357634,4669.1617409555265,4750.283476031547,4832.036379615353,4914.430338720615,4997.529443345013,5081.451986470248,5166.369727547991,5252.2728648961165,5338.967962353297,5426.369062704133,5514.43661290003,5603.177464059176,5692.644871466564,5782.938494573972,5874.195786615318,5966.352359503655,6059.281719002316,6152.928401835978,6247.269754176577,6342.315931643324,6438.109899302674,6534.727431668353,6632.254981300652,6730.610678692063,6829.717399132332,6929.535707134937,7030.050275848461,7131.269887056569,7233.227431178018,7335.979907266656,7439.587584998198,7543.981725157521,7649.098525208782,7754.9015139241055,7861.374542198767,7968.52178305119,8076.367731622942,8184.957205178737,8294.346411162442,8404.489145506963,8515.31634689173,8626.786390139934,8738.877228780919,8851.586395050163,8964.930999889297,9078.947732946093,9193.692257038101,9309.15596944627,9425.257074812891,9541.943769710939,9659.184629886668,9776.968610259597,9895.305044922525,10014.223647141513,10133.774509355908,10253.993141208779,10374.795723458687,10496.11610172626,10617.911637120778,10740.161265540515,10862.865497672776,10986.046418993856,11109.747689769078,11234.019647324374,11358.762594808411,11483.93676489276
E,33.47402008719674,37.15379443313454,41.0843285510426,45.185398845539204,49.405534244472165,53.712147523596364,58.08595525734203,62.515399225418626,66.99546563881594,71.52396676230838,76.10141870287441,80.73024415065514,85.4129302035081,90.15267991146712,94.95350513299582,99.81906410934913,104.75260932432427,109.75760052054386,114.83763146856877,119.99595942949588,125.23551889461079,130.55894156110506,135.96897514706436,141.46827224484565,147.05928390276293,152.74432636350457,158.5255810641335,164.40509463608743,170.38490592729502,176.4670469219051,182.6533469424985,188.94561327324521,195.34563302332276,201.8551731269167,208.47598034322093,215.20978125643603,222.05833319915646,229.023208467983,236.105867989579,243.30781140007946,250.630577046239,258.0757419854331,265.6449219856564,273.33977152552467,281.16198513640563,289.1134176636502,297.1952831471168,305.4085703024,313.7544293885279,322.2341722079623,330.84927210659856,339.6013639737659,348.49224424222723,357.5238708881793,366.69845278642634,376.01877039976057,385.48445085561093,395.09487352379443,404.8501197773645,414.750972992611,424.79891854905986,434.9961438294738,445.3455382198519,455.8506931094292,466.5159593756842,477.34751011721517,488.34087598932,499.48940429674013,510.7892529159236,522.2393902950237,533.8415954538996,545.6004579841161,557.5233780489451,569.6205663833615,581.9050238833388,594.3803052522654,607.0272199213953,619.8301966861958,632.7810630939921,645.8790454439653,659.1307687871534,672.5502569264513,686.1589324166098,699.9841605046855,714.0161352955458,728.2225795278478,742.5846548368728,757.0940454606756,771.7529582400856,786.5741226187072,801.5807906429184,816.8065954701757,832.250134254672,847.8739652425247,863.6613385700358,879.6046721171585,895.7055515074956,911.9747301083028,928.4321290304836,945.1051464047172,961.981411156867,979.0359821638251,996.2579288523616,1013.6428943861256,1031.1930956656474,1048.9173233283364,1066.8309417484804,1084.9514760420313,1103.262747603178,1121.749310922834,1140.4032972671628,1159.2217276160013,1178.2065126628604,1197.3644528149232,1216.7072381930461,1236.247243024656,1255.9706696424034,1275.8645436146571,1295.921459716431,1316.1381806544218,1336.515637067012,1357.0589275242671,1377.777318527936,1398.682423561098,1419.764867348517,1441.010413873354,1462.4104609373683,1483.9604620569255,1505.6599264629976,1527.5124191011628,1549.5255606316034,1571.710902941059,1594.0667220244627,1616.5759927775614,1639.2278630019955,1662.0157374375278,1684.9372777620447,1707.994402591553,1731.1932874801817,1754.5443649201861,1778.055040737015,1801.7077433780842,1825.488491783232,1849.3882427734654,1873.4024894389388,1897.5312611389513,1921.7791235019513,1946.155178425533,1970.669927687618,1995.302280424958,2020.0437562469815
F,22.86030640101241,25.38144954080476,28.117915932376032,31.047670988354703,34.15873071086812,37.44497001848785,40.90404917626895,44.53533654419256,48.339751890483825,52.318516987002745,56.47328577215163,60.80597154952529,65.31825623790331,70.01186045036252,74.88856561863854,79.94997719438744,85.19754033107007,90.63269769981093,96.25683478825604,102.07124458213552,108.07714691296134,114.2756934855987,120.66803781503724,127.25524608947576,134.03834882611824,141.01836840124952,148.19631905023564,155.57320686752425,163.1500605088735,170.92782205419368,178.9073479648752,187.08953208658218,195.47530649294157,204.0656414855432,212.8615455939404,221.8640655756479,231.07430320921858,240.49307797752243,250.12110950195233,259.95921037549857,270.0082861639469,280.26933540588,290.74344961267514,301.43181326850686,312.33570564882166,323.4566213437338,334.7950809189751,346.35131211417917,358.12580637367,370.11931884646185,382.3328683862592,394.7677375514569,407.42547260514044,420.3078835150855,433.4171569673292,446.75608283004436,460.3231210669433,474.1164615127002,488.13528330299687,502.3797548745219,516.8510339649719,531.5512676130498,546.4835921584673,561.6521332419418,577.0620764818299,592.7206085698238,608.6208612328801,624.7533124459146,641.1121564405737,657.6953037052343,674.5043809850039,691.5447312817197,708.8254138539518,726.3592042169965,744.1625256059999,762.2388878972328,780.5626928775137,799.113243718915,817.8793851707075,836.8595035593615,856.0615267885444,875.5029243391242,895.2107072691645,915.2195388493285,935.5160494288773,956.0582053040368,976.821320081227,997.7941843330084,1018.9790655980815,1040.3917083812885,1062.0613341536127,1084.0304603905759,1106.296783505205,1128.8118255948173,1151.55358155705,1174.5118040421446,1197.6880034529454,1221.0954479449026,1244.759163426067,1268.7137711678495,1292.9429782097927,1317.4142603798095,1342.1130469855248,1367.0332388354732,1392.1772082390992,1417.5557990067578,1443.1883264497105,1469.0969099620838,1495.2603097868273,1521.6581086562155,1548.279666985713,1575.1206846496088,1602.1832009810162,1629.475594771874,1657.0125842729458,1684.8097977927298,1712.8489980136721,1741.1129074877263,1769.5914851440496,1798.28012607085,1827.179661515387,1856.2963588839739,1885.6419217419689,1915.231126876299,1945.0514544172206,1975.0839572205323,2005.3170375574064,2035.7444149161993,2066.365126002449,2097.183524738878,2128.209282265389,2159.4572246959583,2190.924845536198,2222.589542566971,2254.4367757095756,2286.4576094205495,2318.6487126916672,2351.012359049941,2383.5564265576213,2416.2943978121953,2449.235803306194,2482.3573322441666,2515.640335759727,2549.07268312649,2582.6482366599507,2616.366851717482,2650.234376698335,2684.2626530436387,2718.4653757167907,2752.814551043497,2787.298840065043
G,1.9594548343724918,2.1782388889364532,2.4300671386574346,2.7239815121507056,3.0668425667369386,3.4638223614771166,3.9187900997497964,4.434695756721181,5.013751540953399,5.657734965416302,6.368058313400202,7.145865717447085,7.992227769417649,8.908104663685355,9.89433490843598,10.95178154897954,12.081347237238708,13.283906291640289,14.56030218614969,15.911424083993703,17.33820984504231,18.84164365470381,20.422697360851235,22.082346272701898,23.821601371049127,25.64150407799217,27.543126256936254,29.527570212592707,31.59595520647999,33.74938523865769,35.98898305792941,38.31589387488061,40.73128527817441,43.23634723455176,45.83229208883147,48.52035456390977,51.30179825166813,54.17782791978572,57.149631219833495,60.21842907364324,63.38547567363481,66.65205848281633,70.01949823478384,73.48914893372176,77.06239857011197,80.74074034682086,84.52536126582274,88.41734137975824,92.41785436264884,96.5281675098968,100.74964173828523,105.08373158597811,109.53198521252025,114.09604439883749,118.77769565819705,123.57909268037616,128.50067306829686,133.5427353630294,138.7059695360953,143.99145698946708,149.40067055556844,154.93547449727419,160.59812450791048,166.39126771125407,172.3179788912259,178.38262123209364,184.58337125735073,190.9170254986451,197.38202749488826,203.97846779225554,210.7080839441855,217.5742605113805,224.5820290618067,231.7380681706932,239.05074922277774,246.52358164461128,254.145583050424,261.90771891317104,269.80558544674966,277.83940960599944,286.01404908670196,294.3389923255818,302.82835850030443,311.500053375643,320.3494581085022,329.3564433569155,338.5091515962958,347.802743573416,357.2393983064084,366.82831308476585,376.58570346934016,386.5347124629301,396.6756566922661,406.9840222334721,417.44869539055264,428.06503526588244,438.8348737602053,449.7665155726362,460.8747382006579,472.1796276937856,483.67355745433764,495.3393117460457,507.1695028692907,519.1616237088697,531.3180477339967,543.6460289983012,556.1577021398291,568.8668770167058,581.7625144342226,594.8335401180508,608.0745743634004,621.4840380281431,635.0641525328143,648.8209398606109,662.7642225573941,676.9044329369506,691.2317614349927,705.7365245295108,720.4134444598948,735.2606261110953,750.2795570136261,765.4751073435624,780.8555299225405,796.4310274546655,812.194932578544,828.136090918386,844.2479394581479,860.5273457511075,876.974607919864,893.5934546563392,910.3910452217758,927.3778685680131,944.5534139960845,961.9037572888104,979.4200270242245,997.0970976191984,1014.9335893294431,1032.931868249508,1051.098046312779,1069.441981291485,1087.971000048506,1106.6703288253368,1125.5278564417176,1144.5359476812223,1163.6911108513796,1182.9939977836734,1202.4494038335426,1222.0662678803815,1241.8547931226415,1261.7961715890483,1281.883173886188
H,2.7758943486943632,3.0865051039817812,3.4475135127762004,3.8742622451779085,4.378037128523959,4.966961160048133,5.646698992797764,6.42115869212762,7.292830145779391,8.263343749828728,9.333603850812533,10.503972872672863,11.774634030851107,13.14552837438234,14.616335969176163,16.186753372373545,17.85652368477166,19.62531364954115,21.492706173985493,23.45835201870132,25.521977455732703,27.68338013350074,29.9423211103871,32.298547959834174,34.751864975370694,37.30212587989806,39.94923382569045,42.69314139439496,45.53382344915099,48.47121603015175,51.505285481698145,54.63603420896451,57.863500499348206,61.18775852246982,64.60891833017321,68.1271258565249,71.74255298578824,75.45529277177879,79.26543175505523,83.17309959353523,87.17846906272284,91.2817560557089,95.48321958317054,99.78316177337175,104.18192837722756,108.67993271086132,113.2773010453336,117.97408687315352,122.77043256044578,127.66656934695116,132.66281734602603,137.7595855446427,142.9573718033892,148.25676285646975,153.65846732341478,159.16337039435123,164.77107708946198,170.4811208862135,176.29333517410916,182.20785325468958,188.22510834153184,194.34583356025033,200.57106194849646,206.90212645595807,213.34068351887404,219.88913931914976,226.5455171722351,233.3069501919035,240.1717350161675,247.13933180727932,254.21036425172983,261.3866195602493,268.6710484678077,276.06776523361293,283.58207078387886,291.2157308859182,298.96047249793895,306.809421970252,314.7589232143907,322.8085377031091,330.96104447038283,339.2224401114098,347.60193878260776,356.11138719813187,364.7469952271759,373.4941545691389,382.34399856315076,391.29254516527357,400.34069694850166,409.4942411027615,418.7638494349121,428.16501526092554,437.6973598384112,447.34319200581524,457.09413251902913,466.9463170861221,476.9003963673405,486.96153597510823,497.13941647402584,507.4474208932217,517.8795975080302,528.4233160310527,539.072801268126,549.8256778636443,560.6829703005587,571.6491029003768,582.7318998231631,593.9403474721552,605.266116320316,616.7008986881418,628.2403477493121,639.8827507496876,651.6290290073094,663.4827379123996,675.4500669273605,687.5376182251383,699.7379648064796,712.0438480359167,724.4510507796311,736.9576788649352,749.5641610802758,762.2732491752311,775.0900178605123,788.02087194791,801.0606138633952,814.2010979206771,827.437326288132,840.7666253686839,854.1886457998041,867.7053624535127,881.3210744363771,895.0423355575174,908.8681968027818,922.7887815745328,936.7976850605885,950.8909975172998,965.0673042695508,979.3276857107597,993.6757173028772,1008.117469576388,1022.6572897168555,1037.2848776830142,1051.9918787102836,1066.7728743111902,1081.6251540836847,1096.548715711139,1111.5462649623478,1126.623215691528,1141.785816705291,1157.021451378219,1172.325040515941
I,13.063032229149943,14.506659624978187,16.08938901202673,17.810274012458454,19.67021883273077,21.67050591644865,23.812303887834727,26.0961744131626,28.52230164595197,31.0903257395898,33.79954403138263,36.64899125891092,39.6375098574263,42.76384292022698,46.026623058412326,49.424502882846234,52.95619250143939,56.62042056859204,60.41589199377305,64.34140341310199,68.39585903881331,72.57826767744018,76.88765545940677,81.32306698677492,85.8836298282316,90.56855157057743,95.37711981872692,100.30870219570886,105.36271738300701,110.53856476368135,115.83569537944315,121.25361961713662,126.79190702935776,132.4501863344547,138.2281454165279,144.12553132542894,150.14213024279115,156.27766143087104,162.53186040440613,168.90452228468035,175.3955017996582,182.0047132839855,188.73213067898828,195.5777875326741,202.54177729504042,209.6242401275652,216.82508822162137,224.1442056710811,231.58156357731326,239.13722004918324,246.81132020305296,254.60409616278105,262.5158670597226,270.54703903272986,278.69812734205817,286.9697475798319,295.3615811709632,303.8732797269421,312.5047283976181,321.25604587120085,330.12758437425884,339.11992967172057,348.23390106687447,357.4705514013675,366.83118851059584,376.3179156670792,385.92926288471176,395.6629443734928,405.5176312430809,415.4929515027953,425.58949006161424,435.8087887281763,446.1533462107801,456.6266181173831,467.23310743232776,477.97522566976875,488.8456513771846,499.8379979678873,510.9488935375625,522.1779808642708,533.5279174084457,545.004375312896,556.6160414028031,568.3741443894125,580.2760746393876,592.3074270060391,604.4590205939937,616.726742633595,629.111548480904,641.6194616176998,654.2615736514789,667.0539819447275,679.9967848166197,693.0714016759005,706.2685608863717,719.5839932973745,733.0184322437892,746.5776135460368,760.2722755100755,774.1172776904648,788.1062896857645,802.2251145471639,816.4671102566783,830.8295578548457,845.3136614407271,859.9245481719056,874.6712682644863,889.5642451889648,904.5939988373972,919.7508104356261,935.0295643174659,950.4282628758581,965.9480265628692,981.5930938896922,997.3708214266452,1013.2890777391359,1029.3391540515931,1045.5123864261777,1061.8037358135623,1078.2109574034212,1094.7346006244297,1111.3780091442657,1128.1473208696068,1145.0502820531374,1162.0807122844355,1179.2287830334003,1196.4884572087306,1213.856520990381,1231.3325838295632,1248.9190784487464,1266.621260841655,1284.4471262840225,1302.3955794417643,1320.4546265641056,1338.6164739890505,1356.8763761795449,1375.232635723477,1393.6866033336773,1412.2426778479169,1430.9083062289114,1449.688835988213,1468.5717077817296,1487.546711615627,1506.607233403823,1525.7499772910078,1544.9749656526444,1564.2855390949671,1583.688356454984,1603.1910982529314,1622.778314893028,1642.443799598569
J,2.2860306401012402,2.5420808126679053,2.8410508361170006,3.196813774830637,3.6198564784924403,4.118108167040137,4.697544245922737,5.362786822590701,6.117356194326806,6.964129550478121,7.905428964654086,8.943159682635388,10.07909253939353,11.314804190609784,12.651664449687479,14.091044658444728,15.634337796553517,17.282866454462493,19.037883557459523,20.900682462003214,22.8726016318055,24.95502200577623,27.149295979433166,29.456762587046043,31.878800536473836,34.41682451729885,37.07228520082682,39.846669240087074,42.741485435541875,45.75822076592114,48.89838375165455,52.163517775226495,55.555201039898876,59.07504656971116,62.72470220948068,66.50585062480171,70.42021086570324,74.46944280001931,78.65520149252923,82.9791894680885,87.44315671193687,92.04890066969868,96.7982662473824,101.6931458113813,106.73547989783557,111.92732400915828,117.27043157925445,122.7664620961745,128.41718279759513,134.2244686708195,140.19030245277685,146.3167746300228,152.60608343873932,159.06053486473505,165.68259723300343,172.4751567309927,179.4393138774929,186.5760284817149,193.88668034183286,201.37306924498438,209.03741496727037,216.882357273755,224.91095591846613,233.12669064439433,241.5335033557446,250.13694755271808,258.935781117533,267.92715585008796,277.11004793102506,286.48525792172956,296.05541076433025,305.8249557816989,315.8001666774517,325.9891415359463,336.4019099978652,347.04378817822703,357.9029332062605,368.9694894648645,380.2390132513202,391.7124727772908,403.3962481688215,415.3021314663401,427.4473266246552,439.8535307192313,452.5168776124096,465.4139460717256,478.5308395997888,491.86229338877666,505.411674320434,519.190980966074,533.2208435865778,547.5304160255657,562.1213397826651,576.9639443432492,592.0446348190874,607.3581358186622,622.907491447169,638.7040653065177,654.7675404953293,671.1244539119455,687.7661222393458,704.6708325801235,721.8294371393168,739.2393040120756,756.9043171836646,774.8348765294587,793.0478978149464,811.5626104247832,830.3652899373685,849.441582800797,868.7848085114778,888.3935366825854,908.2715870440594,928.4280294426031,948.8771838416859,969.6343008551686,990.6868295810092,1012.0218708771893,1033.6326914946117,1055.517381528178,1077.6788544167864,1100.1248469433338,1122.8679192347129,1145.9234643572063,1169.28305944035,1192.93133205397,1216.8594746110916,1241.0637206973195,1265.5453450708367,1290.3106636624057,1315.3710335753672,1340.7427101603946,1366.4260949463762,1392.4014139879819,1418.6561253294565,1445.1833542410013,1471.9818932187743,1499.056201984889,1526.416407487413,1554.0783039003713,1582.0540390366411,1610.322277129246,1638.8651207982348,1667.6716002497858,1696.7371967053289,1726.0638424015444,1755.6599205903626,1785.5402655389664,1815.7216721812388,1846.175696554899,1876.8919755248924
