Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,385.80455568147937,364.21438500914746,352.0343948167836,346.06711145796817,344.2306459550274,345.1543942418885,347.9603122322637,352.04488032495897,357.0425778762673,362.6857711174047,368.8060863748281,375.30744193582285,382.101335167755,389.1327113228592,396.38212981734284,403.8270321297725,411.4407881769935,419.2123292407835,427.14218935954983,435.2272883162826,443.4614876502744,451.8360555214331,460.3501980134689,469.0061415673082,477.80398755211274,486.7429553665209,495.82138243864875,505.03672422608975,514.3883608376279,523.8779905710867,533.5043055582183,543.2663487559446,553.1635525578573,563.1957387942193,573.3631187319644,583.6662930746959,594.109350158614,604.6900051026645,615.4013253857713,626.2388278691171,637.2004788548836,648.2866940862535,659.5003387474092,670.8467274635334,682.3335626404916,693.9543085621495,705.6987685402376,717.566475072716,729.5575773084817,920.9468548064701,1086.8325990515923,1240.543585064438,1400.9585905771573,1570.950333530762,1753.726713634857,1952.5802391483357,2170.1326061218297,2409.6526580277914,2673.6644584053934,2964.490867958185,3284.852116095371,3637.5897432699817,4025.3862777709573,4451.199728321013,4918.338554584949,5430.306546410593,5990.155610214548,6601.020442007662,7266.369277231061,7990.01359640997,8775.12619968942,9623.678721280394,10537.976994329105,11520.778749204252,12574.77029315177,13699.377164775695,14892.85275679391,16153.861873541624,17481.444989465897,18871.64911400617,20315.22547053346,21803.137506926967,23327.160838802723,24877.988199397707,26437.869226389583,27988.047916655618,29511.846887306474,30993.739571133912,32410.649576708078,33737.666657731635,34954.609265839325,36045.42133491938,36989.35457756339,37765.51459947357,38360.54792567442,38767.88675518578,38978.69432411928,38986.65872957005,38793.89277355882,38409.3583164709,37839.902124591856,37095.87675951363,36193.82886584739,35153.88531470127,33993.13574997652,32730.718420869132,31388.101720276165,29986.37399480666,28543.60131147914,27077.488532333446,25604.90820296992,24140.57189222255,22697.27544895746,21286.21637903668,19916.15135188454,18593.390897230798,17323.713618221,16112.51628795901,14962.6039742685,13874.105772516772,12846.426261513285,11880.7610007462,10976.63877482223,10131.949338831402,9343.495634485218,8609.724678298675,7928.907209995432,7298.23819615065,6713.907425601891,6173.051304760812,5673.776761066475,5213.595633776111,4789.475419535215,4398.237702444792,4037.9972255975226,3706.89000174652,3402.745469347054,3123.0937448563664,2865.722582269367,2629.323428886936,2412.4721585840807,2213.600177536983,2030.9944242229922,1863.0921580907036,1708.983071115531,1567.7261541880687,1438.3068415703638,1319.6374460145348,1210.6002177038104,1110.5262380865913,1018.7410846222726
B,28.160916473100674,42.130175385073585,54.94690173479662,66.85658008059269,78.08372493255311,88.81622490637534,99.20577731521713,109.36815689233364,119.39193722129811,129.3427693277766,139.2686489282,149.20360902018416,159.17369689958545,169.19762884770233,179.2864046221982,189.4491496038091,199.69412227819248,210.02653796981548,220.44790525420595,230.96004925488828,241.56549127580402,252.26738209941365,263.0670782757682,273.963837801541,284.9574786332042,296.0484688505642,307.237926656763,318.52762037827824,329.91977639933475,341.41343463044694,353.0063478814139,364.6973497446551,376.4863648717654,388.374408973516,400.3635888198546,412.45710223990284,424.66025983647745,436.9690272266687,449.3755756316805,461.8750772762723,474.4657054335287,487.14863442486006,499.92803962000096,512.8110974370124,525.8079100094001,538.9112168834438,552.1093310250467,565.4023572580795,578.7910313774992,738.7605431571513,879.1325911646621,1010.8796639411397,1149.9670577300092,1298.7065411851645,1459.8124251981108,1636.163443646744,1830.121507111955,2044.6349152570983,2282.0632359533925,2544.6362994675346,2834.954068243321,3155.755714920073,3509.6882757712974,3899.669688355696,4328.951438257216,4800.992599656584,5318.9137347028745,5885.943437646204,6505.6388446134315,7181.896313879599,7918.100198124529,8716.609293028414,9580.10703744279,10511.706343877693,11514.4883809684,12588.636275629506,13733.263029525857,14947.84224005154,16232.177040243276,17583.319245966966,18993.374250237688,20454.53721424395,21959.650775929713,23500.438069091706,25060.53116949875,26622.360234461998,28170.07300744401,29688.65666000166,31155.57066166943,32546.121959739565,33839.821345542114,35019.814763505645,36064.32163822375,36951.030018668265,37664.76098189023,38196.76408881002,38535.862030847085,38673.24599397517,38608.5690829437,38348.421061198205,37897.38268213936,37263.77030592036,36462.57715934881,35512.813663310466,34430.60284596219,33234.5438414007,31946.152854869673,30586.93044305572,29175.30636890347,27729.67634953279,26267.99161069261,24806.164225185807,23357.910686479852,21935.45115585478,20548.704124681197,19205.195998810585,17911.55340321684,16673.96277801736,15495.987751858202,14378.473503563151,13321.405921668715,12326.410647955841,11393.405565769244,10520.573444249192,9704.919732418777,8945.075714116552,8239.4620805591,7585.344662014307,6978.906703709453,6417.285965017169,5898.620092531298,5420.40312721521,4979.534867008076,4572.742279983959,4198.110852549953,3853.7410665559014,3537.3958297540853,3246.5080570726022,2978.776456672513,2732.8616241622685,2507.295260033209,2300.4475615472875,2110.5272227370674,1935.8991200628147,1775.6276286408824,1628.7407812683578,1494.1832816753026,1370.816972119258,1257.467503240856,1153.443672800734,1058.0457213837608
C,926.4941519650124,866.6356469731968,830.1290279415263,808.9495093430847,797.8602429004299,793.4102011709598,793.3877379344021,796.2762675842433,801.1593778247143,807.3696187423191,814.4900925643819,822.2862120228494,830.5421022054193,839.1254569678254,847.9934168896644,857.0942424238299,866.3647402310488,875.7804789592261,885.345985191621,895.0559670851608,904.8967305636099,914.8473626186004,924.906872584003,935.0821949216294,945.3745643481582,955.7825954618327,966.3022827424616,976.9270005514193,987.6540706738057,998.4884662580948,1009.4292211781908,1020.4753085865202,1031.6257213992112,1042.8794722960934,1054.235593720699,1065.6931378802592,1077.257114045358,1088.9257960793532,1100.6902638783665,1112.5446358505876,1124.4860690096416,1136.5147589745889,1148.633939969925,1160.8498848255824,1173.171829121045,1185.591499377874,1198.0960969599482,1210.684847992719,1223.3578101488038,1528.362799652874,1789.0351429023815,2026.8639581969614,2271.327309118481,2527.11076969092,2799.136263771567,3092.2338298218415,3410.0550930460677,3757.161984153159,4136.839747496469,4551.948042104945,5005.86884632253,5502.066354564662,6043.649569800176,6634.0431844316245,7277.102299345339,7976.862059198538,8736.567134401073,9559.49641783442,10449.309671599298,11410.05425075961,12444.770686811939,13554.780012300778,14741.809595461262,16008.151829214048,17355.94552069237,18782.96431182348,20285.524681835625,21860.554697794625,23505.543777557465,25214.238446746986,26973.926952663005,28772.45477488162,30598.964428941414,32441.548616307988,34278.365321292054,36086.85840071238,37847.44448181406,39542.38145965744,41145.40926515064,42628.62502583066,43970.09583782899,45153.11343440461,46155.77163521079,46956.2517095328,47541.490397502195,47906.25240430963,48042.613599903605,47945.42248022137,47618.78601497463,47074.25513578195,46320.78331526635,45371.0277726449,44244.198655715154,42963.20062241455,41547.55064077893,40018.87996251338,38401.150749203196,36717.807935842284,34989.15750705801,33235.02522159876,31474.178559832075,29723.001648846595,27996.061502366036,26306.109736340095,24663.070429413598,23074.079236230453,21545.949829665056,20085.121606455,18695.014161066116,17375.933620852426,16127.399573803348,14951.099357462921,13846.743311688244,12812.106156820835,11843.675875937257,10939.869114252935,10098.875187200212,9317.584279606428,8591.670620793202,7917.906342062089,7294.195818722075,6717.709840159142,6184.943558020008,5692.1932744654205,5237.287529239769,4818.065009570775,4431.975679226224,4076.0893622459384,3747.7717687794825,3445.4763824117554,3167.506134288062,2911.97556489803,2676.810824075607,2460.112567637928,2260.7797618651475,2077.668616710354,1909.5373709031064,1755.046823837806,1612.814316104377,1482.0144842838524,1361.811111905326
D,4212.873104375863,3977.7903965017576,3844.2366088007107,3776.62334251795,3751.9261773326134,3755.1088225116837,3776.649593549907,3810.0736074977785,3851.5469146577007,3898.2925835741353,3948.613613536914,4001.5945712036864,4056.373151451086,4112.439396702595,4169.662271944175,4227.859491620565,4286.789311989061,4346.374705237995,4406.654034670336,4467.6201617607985,4529.22905736114,4591.405136140579,4654.157056730361,4717.516636309103,4781.491517548602,4846.081003800581,4911.276059096696,4977.059308148535,5043.432200576411,5110.41411504186,5177.993090098142,5246.161809837526,5314.917994789342,5384.264401919976,5454.208824632886,5524.764092768572,5595.969841002861,5667.8045316444195,5740.208837995174,5813.145627796359,5886.59996369899,5960.579103263859,6035.112498961538,6110.251798172383,6186.0702900837605,6262.5138580832545,6339.495797848323,6417.0162333037815,6495.080251174407,8137.383298184003,9546.50922661042,10837.745421854715,12170.61766980338,13570.240281356593,15063.434350151754,16676.86990733921,18431.05996250053,20351.620376935563,22457.46491749338,24765.425803725593,27295.35287029339,30067.7531672756,33101.550399869884,36417.62163285381,40039.39580729368,43991.56567878683,48295.06829184324,52971.38822722024,58044.3825582694,63540.33160018076,69480.63223869789,75877.89386575636,82747.2238861224,90107.07942181225,97975.44575852668,106346.99810385931,115208.44612088619,124549.80521095672,134364.13171607358,144623.67596272472,155264.00900679934,166222.79906606604,177443.97983853682,188864.41055479267,200362.36969486918,211809.41144600912,223091.66330512328,234103.26887413632,244685.13364191874,254664.42408249943,263900.01233530743,272278.18366675265,279650.31717117206,285864.4579072326,290819.1935597262,294458.38589305093,296707.71540955064,297508.81805407256,296861.55708424916,294813.19877968985,291396.1288372611,286668.3027516964,280733.2852571223,273722.0129216878,265746.14190967917,256934.79977515212,247437.28910860393,237403.34303321072,226963.18269048844,216247.26253005478,205383.1278672165,194484.80138466455,183652.85645076618,172977.55440954238,162532.76713275968,152375.47904831805,142557.581950645,133128.13282367648,124116.90785183634,115533.71330252182,107382.19733225842,99678.22932880478,92424.77422274122,85611.66628531029,79219.73911275949,73241.69063682121,67668.37063916714,62481.63370534666,57654.878283038226,53168.39603526847,49009.78864934616,45161.51483170582,41601.2433358,38305.072557041174,35259.30610157651,32450.202725588493,29861.235074204844,27473.146871657464,25268.587342226187,23237.588849180433,21369.08262738098,19650.625779230057,18068.40127467125,16609.731429881478,15267.420524954123,14033.937977366993,12901.029803201174,11859.722289613726,10900.698853381162,10018.49729042196,9207.552118005895
E,577.2987876985636,542.9784002456087,522.8299778848498,511.9192527494424,507.0467016873866,506.11945828707155,507.81014529036446,511.21658404363575,515.8042581428773,521.1872183771035,527.1303566751685,533.5077422247299,540.2011518797945,547.1413443362329,554.3119769287495,561.6892866360527,569.2407961576316,576.9568249954197,584.8439472973505,592.9020413680405,601.1254169860069,609.503565760289,618.0377911308121,626.7330690276814,635.5907598818768,644.6107424733577,653.7914139310639,663.1296897329145,672.6249113492441,682.2799471010738,692.0936183178982,702.0650084071099,712.1935147460447,722.4788486819841,732.9210355321543,743.5204145837242,754.2812535886011,765.2013218191224,776.2732495393352,787.4922230016576,798.8559845120765,810.3648324301467,822.0216211689923,833.8317611953054,845.8031549216147,857.9288986589264,870.1982528481105,882.6106029260206,895.1659950738372,1125.465182260149,1324.1242501688541,1507.2681954383117,1697.4922987019377,1898.3172050761068,2113.596539709706,2347.2350019303976,2602.3114664777795,2882.6631626847084,3191.221262693513,3530.6661360106627,3904.1443644695655,4314.938759755941,4766.161322057509,5261.248772666399,5804.0461458653435,6398.631772523814,7048.615189032961,7757.735737348105,8530.127826657095,9370.331540397021,10282.242216900257,11268.509739130284,12332.188243830362,13476.862646665588,14706.08811839398,16019.953029053448,17417.30973281692,18897.48320421268,20460.232901780433,22102.084847422142,23813.75773042047,25586.136863769505,27410.930482599622,29278.57240127069,31169.97669535531,33064.6661584717,34944.19731194127,36791.11605097128,38579.03205875121,40278.9322210459,41866.65231963144,43322.19836411286,44619.57427562241,45731.95794349526,46640.76549426121,47334.81913451109,47799.870962290865,48024.3202006461,48006.49306153573,47752.855498283396,47267.47862643812,46558.92366320428,45643.81439717927,44543.70065570804,43276.88691980755,41864.86436228041,40332.887604223775,38706.45465323307,37007.59997813547,35258.55925575563,33481.29304490812,31695.50317983569,29918.33279556696,28165.24183170977,26449.033749652004,24779.712727657152,23166.134177800006,21616.630879372424,20136.335399814336,18727.058609865864,17389.50861437344,16126.316708008342,14937.98202881392,13822.803375791502,12777.562774445334,11800.9975143308,10891.538437725148,10046.11601645572,9260.249881581869,8530.61021885695,7855.093599336998,7230.744073078169,6653.811313916916,6120.288161472362,5627.876743872812,5174.2772520194285,4756.730264246093,4372.026294369367,4017.2779359161905,3690.831136297324,3390.851512635026,3115.279251630464,2861.829109563704,2628.407763659076,2413.8332514963076,2216.8690989845827,2036.160493839678,1870.2348964446755,1717.5642725827179,1577.2581493397859,1448.4096885509518
F,394.2528306234097,396.2727142970008,404.88570644914273,417.46055470046366,432.4039739908912,448.74502912883514,465.9245537102327,483.5847081996754,501.5483794222701,519.690655778014,537.9494199886476,556.3059876151726,574.7323995213403,593.2183222769138,611.772862981873,630.3972358233912,649.0857290969865,667.8415735410698,686.6716757755539,705.5793785411958,724.5658382452933,743.6303674915293,762.7765047329036,782.0066383075333,801.321909014233,820.7236341055616,840.2133072878241,859.7925987210712,879.4651323301784,899.2319353600706,919.0901041896462,939.0383769527717,959.0771751307116,979.208603552128,999.4364503930833,1019.7661871770331,1040.2074897969953,1060.7548223531928,1081.3956984056574,1102.122620975116,1122.9330826259734,1143.8295654663127,1164.8195411478932,1185.915470866154,1207.134681750421,1228.4660131099756,1249.8908588919435,1271.4099134406995,1293.0249012543925,1632.6883038961246,1926.8942214201084,2199.2110788509353,2482.9262243842136,2783.0795576941277,3105.2599979187303,3455.17370294578,3837.320194737763,4257.323704144061,4719.470754748181,5227.670674663531,5786.510800229496,6400.76664513081,7074.925104314306,7813.929340765435,8623.30600646448,9508.89687717811,10475.76819235222,11529.123377582662,12674.715298216304,13918.860854815262,15266.809320910923,16721.82678024718,18287.736988580127,19969.11522606059,21770.423765742475,23690.771578065476,25727.369171472204,27878.12541420173,30141.588321714113,32511.423783797512,34972.656580314026,37510.678940941194,40112.22931582588,42762.28468001664,45431.981934628246,48090.755302218284,50711.371775327076,53268.402584643496,55723.8620866063,58036.522480519394,60172.68830289805,62105.20007332531,63798.81870254248,65217.6904839295,66338.1128067404,67147.29981894814,67628.40253830154,67768.53082540967,67568.72774365149,67041.39225016886,66195.44231619731,65045.8166698248,63618.16574245758,61944.49954540176,60052.05495077523,57971.97194257675,55739.89984642486,53391.329617282696,50956.898446496736,48467.06723731181,45951.37576979545,43435.99340055659,40943.8071242408,38495.17932574486,36106.536798854926,33790.28000199822,31557.645476138317,29419.198384959833,27381.04536242522,25444.678770807266,23610.21359318832,21880.662572634614,20256.104583087865,18733.66216028839,17308.454155108175,15978.374898107164,14740.942127756933,13591.682424916622,12524.254639196439,11533.929048653443,10617.66405145149,9771.294901654263,8989.617382429466,8267.110222609897,7600.565035611714,6986.783862734143,6421.971666985881,5901.749282570856,5422.181551312507,4980.983708103591,4575.639268292393,4203.342231961357,3860.9970839270795,3545.7709909959954,3256.0423492897457,2990.12220791619,2746.1710001277556,2522.199353520011,2316.1499907815846,2126.8094066319964,1952.9461653475284
G,33.79309976772081,41.78533707823569,49.45239283825819,56.82906658559663,63.97754451389674,70.96318506315251,77.8469551361731,84.67776255721517,91.49653365324966,98.333796252349,105.21296026964012,112.15159981891813,119.16277158418548,126.25632988420203,133.4387869564805,140.71543783734128,148.09092521095357,155.5686285448168,163.1502012084212,170.83735251757307,178.63207488792415,186.53661548340293,194.55243378505656,202.68006348420022,210.92027380538815,219.27411186415029,227.74290266699361,236.32824911140173,245.0319995490904,253.85461363660528,262.7959103256416,271.8561970134029,281.03627490851136,290.3374390310081,299.76147821235384,309.3106750954267,318.98860808534357,328.794239545554,338.72439586025877,348.77742625497075,358.95320282210884,369.25312052099906,379.680097177873,390.2385734858701,400.9344746572359,411.76486661322144,422.7245149285042,433.81420738602134,445.03508763985013,570.1420291568559,680.5137928652814,784.7346287907111,895.4657318909038,1014.5464476233627,1144.1956536168718,1286.8134497991407,1444.4295984943044,1619.571150940182,1814.3415594963608,2030.7900528865139,2271.304405207404,2538.4343359134664,2834.7408321435523,3163.0678462414976,3526.587431937211,3928.7174706459145,4372.758962249001,4862.217384930906,5400.963275294026,5993.244314342077,6643.103552755128,7353.994007326445,8129.762091330345,8974.72616718914,9893.349797703017,10888.086370558018,11960.667283767156,13113.20623060683,14348.178455162926,15665.964317750828,17062.86033287147,18535.078346636135,20079.211930385238,21690.714643232306,23357.57564437177,25066.00222993498,26803.00901512735,28555.606650195026,30302.6782897291,32019.62102765024,33684.494036358985,35277.489674392695,36772.25075381958,38140.09493957633,39358.28952501458,40409.436996879725,41272.34933825839,41927.38586416193,42363.918504945024,42578.856711738474,42566.96563650684,42327.801268361145,41870.010968058894,41208.29055729691,40354.83300030606,39326.396809052894,38145.49184800042,36836.30138627426,35419.692419504136,33918.08728625597,32355.284720322055,30753.578245849614,29131.84751133614,27507.911347673795,25897.798128287573,24315.263540571577,22771.528794249214,21277.125403509766,19839.588040003884,18463.29759172017,17151.097057186842,15906.943642896053,14732.718154477125,13627.938586477761,12590.398830118233,11619.580835879138,10714.557168384437,9872.745282405423,9089.99507149585,8363.229722113478,7690.592363512305,7069.279487170795,6495.590224377937,5965.498573482389,5476.768932861294,5027.144047660492,4613.846437998798,4233.588371239212,3883.409440281047,3561.6731842941854,3266.536719260011,2995.900292028856,2747.407280319994,2518.9001553845515,2309.206538800618,2117.0874461756835,1941.168862096788,1779.9424086785907,1631.8331113329348,1495.9546177913744,1371.3983539116045
H,47.873558004271146,58.673495378077135,68.98431681696026,78.78906708940175,88.13830080045966,97.10419236744272,105.76370139324229,114.18167324614605,122.41594390956607,130.5102566082998,138.49928074015534,146.4100080686089,154.2621344319506,162.07084758365286,169.8467680044266,177.5982685349528,185.33234111237567,193.0542783251669,200.76687232415017,208.4727941433256,216.17497538214602,223.87657149633932,231.57966008701592,239.28513708946537,246.99414492396215,254.70811519439283,262.42876868825687,270.1581153766664,277.89830521799905,285.65008386675373,293.41369592458494,301.18978893208873,308.97941671808417,316.78403939961294,324.60552338194054,332.4461413585543,340.3090716269068,348.19389654477993,356.09860141823145,364.0222835086551,371.96515205119914,379.9285282547676,387.91484530201893,395.92764834936776,403.9715673031768,412.04492107818743,420.14422412600686,428.2702070853889,436.42382988593585,552.857261687697,654.0762880427847,748.123466944809,846.4503017430259,950.7650075111881,1062.991410088736,1185.114502529942,1318.7158145900742,1465.7729843002546,1627.8132350438464,1806.2436546409692,2002.71320624498,2218.94491880257,2456.571413960278,2717.3924561603503,3003.4190534868453,3316.781792825112,3659.3516115106113,4033.0555986847826,4440.023315933094,4882.592639817409,5362.736153976596,5881.7316472436805,6441.0617664385945,7042.48305824991,7687.720271430432,8376.595332542121,9108.24712335072,9882.062383516173,10697.655024048152,11552.881409037345,12442.462309606472,13361.228171873525,14304.474858280042,15266.838046310786,16237.886102826531,17206.516325848144,18162.79808807987,19097.41645584575,19996.407046520657,20844.5523400945,21629.356025583173,22340.681269459983,22965.373161664502,23490.00391661166,23905.624426284703,24207.315769861212,24388.644724308735,24444.637351049772,24375.531492223123,24185.822408789918,23878.704729424415,23459.62798524078,22938.09582341825,22326.024433000446,21633.499198783727,20872.08003989926,20055.064195067236,19195.69448573753,18305.313521344367,17395.21500204031,16476.38617769225,15558.544128248843,14650.08125429289,13758.461791031097,12889.717461588676,12048.397586582776,11238.534967177651,10463.905606191942,9726.65964778555,9027.26241459498,8365.65986205201,7742.839547279282,7158.729442085704,6612.18180228814,6101.320965688248,5625.29141539108,5183.10940298314,4773.072129742304,4392.802796647975,4040.5215059618,3715.0730300806285,3414.8998661724236,3138.0728226363694,2882.554194057664,2647.1544183971937,2430.6925441415315,2231.7755591836562,2048.80311968781,1880.3402555855519,1725.5530304212077,1583.5260927637107,1453.2421857577915,1333.582147123972,1223.5239776293397,1122.4834419364686,1029.8530550792927,944.9726073923181,867.1294574462921,795.5878304389978,729.9148512047711,669.6719372467525
I,225.28733178480545,229.09603522141254,236.30394961004012,245.46262385406288,255.7118723856031,266.53904121403673,277.65870345001645,288.8926131464283,300.15967818999286,311.4036440962315,322.60022984838884,333.7469181428976,344.8342286141339,355.86119145017733,366.8363845360381,377.7635394965583,388.6422790723964,399.476745487241,410.27275039871984,421.03411398435776,431.7634537651551,442.46234302737673,453.1344126595426,463.78321263357464,474.4115726211911,485.0221758983073,495.61755934503697,506.20011344569303,516.7728723002411,527.3388765288479,537.89993820433,548.4580993861824,559.0156455811334,569.575105743146,580.1392522734187,590.7111010203823,601.294935388835,611.8921369119442,622.5022005992901,633.1255387178562,643.7634808141224,654.418273714066,665.0930815231598,675.7919856263737,686.5199630591735,697.2769216967353,708.0610517424358,718.8738395537106,729.7169657531066,918.4980461220641,1081.331890322422,1231.3694311523016,1387.0156965215351,1551.0959222167353,1726.6912333773166,1916.9106587757813,2124.176146622184,2351.5167802399164,2601.20641608623,2875.295752603658,3176.1991027885406,3506.4229266501306,3868.301449334993,4264.411793707013,4697.644761837048,5171.0554426019735,5687.2661300195105,6248.974183528217,6859.175845201327,7521.173475434221,8237.695246759464,9010.414462144594,9841.320361674603,10732.822166367685,11687.286340813956,12704.246608793554,13782.262120038908,14920.30091635901,16117.708230743892,17371.275692938194,18673.255047228864,20016.135178366465,21393.15992202889,22796.676577452523,24211.71693746616,25622.41573925353,27014.67202406438,28375.333221970875,29684.525677373676,30920.57379720062,32065.718631292468,33105.58486333718,34021.35464531674,34793.73153810889,35409.775304150324,35862.247450770476,36141.60403325723,36240.3105225117,36158.2506198028,35901.35877813787,35473.67731285734,34882.50472353284,34140.994664318656,33265.81486015428,32271.110326381513,31173.24658506089,29991.1891953791,28743.937390120962,27447.886598733665,26119.453466719675,24774.697151393793,23427.92226008928,22091.59882144025,20776.888439762588,19492.899515835627,18246.610660224273,17044.265864206864,15891.738155699528,14792.507938648434,13747.575773319692,12757.165502835382,11823.007309453084,10945.25012804363,10122.431584198057,9351.989880395853,8632.845066101494,7963.705909578062,7342.19166050181,6764.898676190883,6229.2895376543565,5733.740046804222,5276.0106188506115,4853.290825986957,4462.593133146678,4102.188156195863,3770.350443698748,3465.026365608914,3183.841154584349,2924.6606204176533,2686.2509715995548,2467.25075863632,2266.139144429435,2081.2359042755943,1911.0034376464548,1754.5656261361862,1611.0088259619797,1479.3364031870162,1358.4691768913706,1247.2902083128183,1145.1434199831733,1051.3624764592423
J,39.425283062340945,53.518652885410724,66.64557420355476,78.98115455166428,90.70764908809842,101.98768948860933,112.95902621552233,123.72912841182882,134.38327818767368,144.9853612808088,155.58338133436143,166.21262762185427,176.9001485677221,187.6661510591761,198.52376781797898,209.4839947081158,220.55668475625387,231.7489182307903,243.06445193614672,254.50717043361172,266.08144001290384,277.7920369442462,289.6420943990841,301.6334192957124,313.768222592238,326.04905608264613,338.47881239680015,351.06072500044223,363.7981104223958,376.6927338630136,389.74595762125347,402.9595722204665,416.33579854221995,429.87728782629944,443.5871216707088,457.4688120316677,471.5272316639792,485.7630123204056,500.1746327890386,514.7619725964993,529.5263120337089,544.4703321558898,559.5981147825627,574.9151424975508,590.4282638230417,606.136252385697,622.0356534493375,638.128481249698,654.4171099278116,837.9557014404927,999.8115598716649,1152.5944897107822,1314.8916749953023,1489.4215960357205,1679.4613078441025,1888.5568968355878,2119.7173154927295,2376.6880830615905,2662.6030392825155,2980.529881343608,3334.0468441329217,3726.9859050560744,4163.228112173805,4647.095363184005,5183.414434996399,5777.404714159153,6434.187265045371,7159.242402654473,7958.6350774198845,8839.033824269358,9806.925797742275,10868.090432707275,12028.971106377074,13296.785448451063,14679.082918163125,16180.765272672828,17805.85881031477,19559.07065971255,21445.7620314815,23468.499712699147,25624.15984507454,27909.572569429303,30322.19246517688,32857.903958204624,35501.72251904921,38235.85067316368,41043.453620314496,43907.447054955745,46798.124189060225,49679.74000782979,52519.74996334405,55287.99638944749,57942.997306349935,60438.12711385181,62734.675457558944,64800.91534261022,66597.42091321449,68085.62288516878,69240.42298332232,70047.9403496849,70489.81991137832,70555.1728018425,70248.60208688887,69585.28316358874,68576.50039577273,67242.46043353957,65615.10118320203,63730.84516406863,61621.02849920399,59321.565191832255,56873.118301877075,54315.247438831066,51681.16302807555,49003.50542278499,46313.497681544955,43639.64704399237,41004.53656584963,38429.54849229186,35931.45354640058,33522.094890993874,31210.140362727816,29004.945386119613,26912.435437944085,24934.228253295416,23068.63933195662,21316.423641311183,19677.442384853206,18148.37820515056,16722.881118603862,15396.288199235369,14166.028038864271,13027.664584483276,11974.957124084525,11000.927616433037,10101.873349367572,9273.996626920289,8512.43143605057,7811.261390232327,7165.134722249494,6571.219949201983,6026.252566675363,5526.42642691521,5067.393738827097,4645.162067255946,4257.654611049972,3902.644265702332,3577.6143061557013,3279.759694006963,3006.1222489395964,2755.0986591786755,2525.027031397492
