Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,102.73209193093123,110.86419608598243,114.90997123162096,116.20799071436944,115.6699510221244,113.92106416548245,111.38064552460007,108.34437161028572,105.00299092908017,101.4947805698926,97.9127575516004,94.31276498075157,90.74198760980931,87.23160105358193,83.79490776984568,80.44444360736696,77.19286886183846,74.04476625841527,70.99938638601226,68.0571207491743,65.21944575738962,62.48805398707408,59.85989398081463,57.33155646328635,54.90029491882378,52.56387197104626,50.32055938285781,48.168839397367165,46.10516003330708,44.12576526852896,42.22731172172546,40.406772537088806,38.66143738431093,36.9889124585834,35.38712048059757,33.854180535009334,32.38714724758118,30.982550638974015,29.637249512458116,28.34844192875701,27.113665206047454,25.930795919959486,24.79804990357639,23.713982247434622,22.677487299523985,21.688000172161402,20.745060424849623,19.844569961566805,18.982530412337823,18.155659015292315,17.361388616664698,16.597867670794155,15.863960240124635,15.159245995204865,14.484020214688336,13.8392937853333,13.226793202002831,12.650308986009506,12.12698619348062,11.644541110076123,11.184920793781348,10.734292144263346,10.28304190287089,9.82577665263446,9.361322818266265,8.892726666160183,8.427254304391866,7.976391682718649,7.555844592579557,7.185538667095414,6.890624819386957,6.74997482672317,6.713705409229501,6.681253254003734,6.579320164024757,6.3618730581526615,6.010143971128597,5.532630053574902,4.9650935719950695,4.370561908773675,3.839327562176461,3.48894814635035,3.445753506272639,3.4602424005982364,3.4223349360617723,3.364929590603359,3.286793250991903,3.180800921495892,3.0495146417167343,2.9051834865887436,2.769743566379229,2.660078385738344,2.552754090020259,2.445941443068125,2.340571731238695,2.2381988322400694,2.1411579001449406,2.0499026079063967,1.9622090851309535,1.876504243099761,1.7919865837852906,1.7086261998513403,1.627164774653024,1.5491155822367846,1.47676348734038,1.4125399780063934,1.3543299049319566,1.2990819051562141,1.2446811337402504,1.1898360530236418,1.1340784326244615,1.0777633494392713,1.022069187643135,0.9689976386895929,0.9213737013106992,0.8836521864770666,0.8612265465492484,0.8462293161410364,0.8307071367631609,0.8089095197729614,0.7772888463743902,0.7345003676180047,0.6814022044009759,0.6210553474670829,0.558723657406718,0.5018738646568833,0.4601755695011817,0.44538274755067403,0.44199914330204026,0.4334767158139781,0.4226987008414824,0.4129907655753953,0.4017982057368164,0.3873204145731125,0.3691524966962928,0.3482852680830058,0.32710525607453933,0.30939469937682823,0.29776448761906493,0.28713943328802716,0.2762317651937625,0.26457981088289384,0.25215413575002904,0.23935754303776188,0.22702507383667114,0.21642009880360163,0.20716718653661573,0.1981255028002017,0.18930889219857416,0.180761470232794,0.17255762330076743
B,7.498692841673815,8.408471365657295,9.523670989696473,10.775747484477998,12.099301281508595,13.438494225944002,14.748156204585824,15.994878670673328,17.15450787942355,18.211334575472353,19.15627536661323,19.985465568238098,20.69854000614744,21.29789993384958,21.7886011820897,22.176457387321634,22.46758794375253,22.66890514643309,22.788202805991048,22.83274712549305,22.809139340173893,22.72345536610254,22.582224304520544,22.391752685271406,22.15773632038147,21.885274568486583,21.57887033483211,21.242567220825237,20.880697548311296,20.49703638949234,20.09499250085723,19.677680747596632,19.247922103603027,18.808243651470683,18.36087858249572,17.90791726470878,17.451578768810833,16.99332240027352,16.534473325235297,16.076292802436086,15.61997818321733,15.16666291152198,14.717416523894462,14.273244649480699,13.835089010028156,13.404002632540104,12.98159254191037,12.567387298716017,12.160752828053024,11.761298186136347,11.368875560299971,10.983580268996876,10.605750761799044,10.235968619397479,9.875058553602171,9.524088407342125,9.184369154665369,8.85835660970478,8.557951727848055,8.276808894540649,8.0046277591049,7.733608914599741,7.458453897820707,7.176365189299933,6.887046213306163,6.5927013378447095,6.298035874657528,6.010256079223151,5.7390691507566975,5.49668323220994,5.29860627462817,5.205638449383986,5.1859297311515515,5.167486075064932,5.097877101569661,4.944236096422821,4.693260010692945,4.3512094607600975,3.9439087283158574,3.5167457603632664,3.1346721692168895,2.8822032325028184,2.8500439187014153,2.857431593195513,2.8254610614742406,2.7793242269961467,2.7176271882076017,2.6344657188510627,2.5316152555980356,2.4185308980490556,2.3123474087337614,2.22625862550198,2.1417329476968665,2.057316212553504,1.9737464058049214,1.8922673641708179,1.8147422043290389,1.7415308310681457,1.6709059514228435,1.601653380298421,1.5331653411557398,1.4654404660112401,1.3990837954369342,1.3353067785604127,1.2759272730648377,1.2229139803729898,1.1747137096824,1.1288204557899681,1.0834801008323778,1.0376268989598232,0.9908834763360131,0.9435608311381668,0.8966583335570222,0.8518637257968154,0.8115531220753125,0.779528247185036,0.7606761236790549,0.7481981050954362,0.7351700245983481,0.71658786462152,0.6893677568682461,0.6523459823113802,0.6062789711933404,0.5538433030261067,0.4996357065912242,0.45017305993979984,0.41389239039249637,0.4010473590991507,0.3980908780866922,0.39058405556562054,0.3810817850561356,0.372536813911962,0.36266422819333366,0.34985352493762895,0.33374036019024844,0.31520654900461187,0.29638006544215845,0.28063504257235333,0.27030393530258695,0.26085992116933643,0.251143852247812,0.24073835775222308,0.22961724073072126,0.2181454780654008,0.20707922047229815,0.19756225566633878,0.18925536259550094,0.18112684616953165,0.17319020011085948,0.1654865618750437,0.15808471265077403
C,246.70699449106849,265.8629855689012,274.6131571449276,276.3712385625096,273.48564290134607,267.5802525706895,259.75329550963755,250.78040920409967,241.1643995790776,231.26671645045352,221.32778289378496,211.4889893982482,201.86584483007687,192.5307147860546,183.50833261545677,174.82084744885245,166.49065037762398,158.51931567987566,150.8942474580929,143.60665393479164,136.65159401328077,130.02560358379571,123.71294092788949,117.6974502763595,111.96553515609973,106.50574836262449,101.3087919600683,96.36655279705477,91.66540051770899,87.19211229867969,82.93495024131157,78.8832963795365,75.02765267987378,71.35964104142984,67.87200329589874,64.55809575355843,61.408446151788254,58.41332595341352,55.563937578194796,52.85234043742646,50.2714509339368,47.81504246208791,45.4777454077758,43.255047148430165,41.1432920530148,39.14002487944192,37.24269344341694,35.441845415831104,33.72838856650712,32.09472731151502,30.53476271317225,29.043892480043557,27.61901096694102,26.25850917492413,24.962274751299645,23.731691989621716,22.569641829691882,21.482870910185223,20.501031643243536,19.600544115006066,18.747791411438136,17.916907806466483,17.089778761979332,16.25604092782636,15.413082141818718,14.566041429728928,13.727809005291082,12.919026270200662,12.168085814114573,11.511131414651324,10.993633517145842,10.741716210087912,10.666735659838647,10.600462548955381,10.42021505461641,10.04885884862115,9.45480709738989,8.652020461964023,7.7000070980059885,6.703822655799129,5.814070280247864,5.226900610877686,5.15327688970035,5.179024106532822,5.120100125125271,5.028958474042821,4.904399671977037,4.73582606491568,4.527635937322456,4.299223512136987,4.084978950774958,3.911361318522446,3.7420170509627906,3.5741213145340427,3.409111447076468,3.249362685686006,3.098454856816146,2.957085675879426,2.821759557749428,2.689989349977217,2.5604870593359554,2.4331638518209053,2.3091300526494214,2.1906951462609645,2.081367776317082,1.984814413312347,1.8975312801826574,1.8149829483086513,1.7340590049355722,1.6528482636110033,1.570638764184874,1.48791777280945,1.406371781939352,1.3288865103315164,1.2595469030452544,1.2046653995477854,1.17121987044754,1.1482614178875,1.1248411435691132,1.0930369182507513,1.047953381747712,0.9877219429322135,0.9135007797333984,0.8294748391373338,0.7428558371870139,0.6638822589823559,0.605819358680189,0.5847969357505576,0.5796254170908933,0.5676038707326841,0.5525812333713166,0.5389800053452098,0.5234514775067249,0.5036354029422214,0.47900715299213387,0.4508777172509681,0.4223937035673012,0.39853733804379193,0.38273653921465495,0.3683013267128597,0.3535701346994541,0.337953565487979,0.32141284754614796,0.3044598354958484,0.28815701011314016,0.2741124985471317,0.26184619794366015,0.24990225772666663,0.23829509106149413,0.22707664255707005,0.21633638826590446
D,1121.8044491144024,1208.7217129545622,1248.035876488334,1255.391090576762,1241.5679915578648,1214.0300907564474,1177.8292149410856,1136.5304018680213,1092.4420347751661,1047.2168796746203,1001.9474075900428,957.2683687076637,913.6928971644967,871.5350381266351,830.8895980238794,791.8402359991094,754.4730097916049,718.7796842033914,684.6878460451295,652.1445726116134,621.1168096508662,591.5802175826304,563.4548950340162,536.6607462100449,511.1306946779547,486.80872691957734,463.6498923313378,441.61553165179976,420.64162791265244,400.6683139179181,381.64281171241805,363.51748140536137,346.2498211703448,329.80246724535317,314.14319393275997,299.2424194730867,285.0582575978937,271.5495527512022,258.6791115714219,246.41320870787467,234.7215868207941,223.57745658132595,212.95749667152802,202.84185378436942,193.21414262373207,184.06311716291196,175.37882778703568,167.1212944307771,159.25174930348896,151.73777366407398,144.55329782098536,137.67860113222642,131.10031200535073,124.81140789746216,118.81121531521474,113.10540981481267,107.70601600201086,102.64223605211022,98.04944761429826,93.82357500388663,89.81448239738408,85.90668970288677,82.01937256007841,78.10636234023026,74.15614614620115,70.19186681243701,66.27132290497184,62.48696872142679,58.965914291010414,55.869925374519376,53.402908668830015,52.15878167218922,51.73619663930637,51.35603665607156,50.45015334628824,48.661366871674204,45.843465931860294,42.0612077643915,37.590318144726645,32.91749138623788,28.740390340211295,25.96764639584703,25.57625138782887,25.64344343501843,25.316861773403353,24.84325947551863,24.215607725093076,23.382649212504706,22.364440455499302,21.252351799190354,20.209067416059668,19.359747663236167,18.531546862388332,17.710915194791934,16.904589090053758,16.123808394560832,15.385549061676349,14.693048524617126,14.029704351727625,13.383707722080102,12.748943534350754,12.12499040681976,11.517120677371198,10.936300403493139,10.399189362277541,9.923304828929709,9.492298240319458,9.084291635789608,8.684217366723031,8.282821559220562,7.876664114101021,7.468118706901189,7.065372787875878,6.682427581997757,6.339098088957618,6.066215136880701,5.8988831173618435,5.783252920671827,5.665289859896017,5.505901020853547,5.280935262097347,4.9811832149140995,4.612377283324286,4.195191644082154,3.7652422466757516,3.3730868133269034,3.0842248389911533,2.978295912873136,2.950534733862801,2.888817086261252,2.8123027610705225,2.743034920843783,2.6642316001301922,2.5640622948673997,2.439881617190248,2.2982292954307506,2.154830174118093,2.0345942139786852,1.9546756367915326,1.881617770550894,1.8070528255248821,1.7279996440066123,1.6442594923855103,1.5584160611473163,1.4758354648740815,1.4046410823747677,1.342406185419243,1.2817752191591434,1.2228227061719064,1.16581457287989,1.1112081495503667
E,153.72320325431312,165.53665494018762,170.67458702112629,171.33645957943946,169.04518890890228,164.8589853098391,159.49648624390466,153.46462475169488,147.09168906405625,140.61113340200674,134.17567664993533,127.87225333214583,121.76947735360469,115.90729212625914,110.29423720656588,104.93725791675323,99.84381785545536,95.00823584598943,90.41576698585976,86.05491618503254,81.91756233503324,77.99731685680723,74.28001866902517,70.75180130891523,67.40104036335778,64.21806660786582,61.19516600658525,58.32581084804854,55.59978201973439,53.00792637020589,50.54225676055883,48.19561540162518,45.96167385397307,43.8349330279067,41.81072318346663,39.884770773326444,38.051039223830884,36.30405943052717,34.63892373979524,33.05117231315257,31.536793127254196,30.092221973892723,28.714342459998296,27.400486007638563,26.148431854018824,24.956641751766924,23.823943522744912,22.745284843523066,21.7157433872785,20.731212116793305,19.788399284454567,18.884828432254395,18.018838391789856,17.189583284263044,16.397032520481023,15.641970800855855,14.925998115404651,14.25301717961117,13.641690473620406,13.078243792864678,12.542553496548921,12.019164158568115,11.49728856750732,10.970807726641675,10.43827085393639,9.902895382046692,9.372566958317956,8.859839444785578,8.381934918175007,7.960743669901854,7.623902512620257,7.456244071143166,7.402953765851239,7.354846698989842,7.232322060938795,6.985363130212477,6.593537273459669,6.0659959454637,5.4414746891424075,4.788293135548051,4.204355003867423,3.817148101421844,3.763698893968455,3.7735915696877593,3.7273500432989497,3.6603465107509563,3.571324155635696,3.452687844591375,3.307212195485314,3.148041577413939,2.998690110702872,2.8772518832323697,2.7586203197001344,2.64082444445783,2.5248474231510807,2.41233645404234,2.305775001207903,2.205637198212912,2.1095267828975897,2.015744619939539,1.9234184128392953,1.8325027039203283,1.7437788743290359,1.6588551440347528,1.5801665718297393,1.5102971824472782,1.4469493728608873,1.3868748475859467,1.327824899444574,1.2684230831806484,1.208165215459814,1.1474193748694745,1.0874259019188073,1.0302973990387332,0.9790187305819587,0.9382832558223027,0.9136925957782901,0.8969736874663077,0.879778005223232,0.856068026684872,0.8221172327859724,0.776510107760207,0.7201421391401855,0.6562198177574502,0.5902606377424788,0.5300930965246831,0.48585669483239785,0.4698777043787554,0.46591119324413327,0.456600820443833,0.44495606842006136,0.4344463929196247,0.4224105901046663,0.40697272246736177,0.38771095438642894,0.3656575521271245,0.3432988838412442,0.3245754195671308,0.312205679705285,0.3008997669558138,0.28931937081474024,0.2769850805675007,0.26386562561149624,0.2503778754560928,0.23738683972262134,0.22620161625210164,0.21643230018243825,0.20689542723363513,0.19760454380306774,0.1886044748589964,0.17997132394056542
F,104.98169978343336,113.55848151305376,118.38550311374723,120.69317857571397,121.30467713841915,120.77549410892742,119.47157491062968,117.64907538540096,115.4704285803756,113.05411233739171,110.48024166373733,107.79733293245526,105.04841054207175,102.26344691066332,99.45750371629165,96.64575252041953,93.84400195790516,91.06117263544476,88.30197371966473,85.57204297764027,82.87778813331133,80.2256304029318,77.61790524475045,75.05663753851198,72.54409999359963,70.08266501699211,67.67480471326357,65.32287379611849,63.02747189566467,60.78879817039743,58.60712978252383,56.482753422926685,54.41596531116451,52.40707119547146,50.45638635275756,48.5642437052775,46.730144262607546,44.95257566932645,43.23016637703224,41.561744382021274,39.94633722528835,38.38317199252674,36.871675314128055,35.41147336518228,34.002391865477954,32.644858858205346,31.340274927938726,30.084459799358992,28.873094737979685,27.702756829817627,26.57091898139305,25.475949919729462,24.41711419235376,23.394572167296186,22.40938003309029,21.463489798772983,20.55974929388458,19.704082144454347,18.924582303380078,18.20337647493006,17.513158976035562,16.833089591289525,16.148793572946627,15.45236164092327,14.74234998279757,14.023780253809289,13.308139576860015,12.613380542512978,11.963921208993101,11.390645102187145,10.932592583493015,10.721085036626375,10.6779383614272,10.639799251905213,10.487631887271741,10.146717931939909,9.586656535524394,8.821364332841618,7.909075443909724,6.952341473948435,6.098031513379205,5.537332137825228,5.475635630383643,5.50652918295986,5.451109829711476,5.363540018493761,5.241682408015693,5.073700106964371,4.8637677480790185,4.632071488150968,4.414809008023792,4.239844972941927,4.0684736624144495,3.8976834099562963,3.72902021445312,3.5650563184420085,3.409649006837948,3.263555092020605,3.123129899476099,2.985798786910408,2.8502555314206504,2.7164623294950854,2.5856497970131005,2.4603169692452322,2.3442313008531372,2.2413996699457033,2.14834708244949,2.060062968888849,1.9730766511048659,1.8852704933040758,1.7958799020584653,1.7054933263054657,1.6160522573479719,1.5308512288542997,1.4545378168582497,1.3944102005430474,1.359172304371284,1.3359934324733085,1.3119255947471828,1.277607038605777,1.227262248976775,1.1587019483026633,1.0733230965407434,0.9761088911631233,0.8756287671567271,0.7840383970232861,0.7170796907793291,0.6938880418740447,0.6892669584811104,0.6762874928420791,0.6596116947338007,0.6446099229741805,0.6271803864222434,0.6044327478765369,0.5757213351824587,0.5426451412322505,0.5090478239649989,0.48101770636664765,0.4627529146353321,0.44608620165029916,0.42896343234514617,0.41065242443253375,0.3911078764371796,0.37097136769585864,0.35157135835740294,0.3349169770561058,0.3204122795589998,0.3062444414568376,0.29243544767211366,0.27905475881177133,0.2662193111672009
G,8.998431410008578,9.885250623966119,10.69239251023154,11.445867799914359,12.153277729231892,12.813868381789064,13.422911734622582,13.976162079820567,14.469389914803227,14.900418213510314,15.26848985683449,15.57390001290764,15.818419248175399,16.004560190762017,16.135432208959447,16.214534696211683,16.245558682731946,16.23226199298036,16.178643105964213,16.08849453500699,15.96532724137048,15.812402817493771,15.63301721944085,15.430349823680551,15.20729856434015,14.966479769176997,14.71022815957853,14.440653381210797,14.159927094265564,13.869934180307936,13.57238729954002,13.268858876816518,12.96078110164474,12.649445928184589,12.336005075248602,12.021544572616156,11.707173986438532,11.393579565636877,11.08138988736371,10.771213326176287,10.46363805403662,10.159232040311473,9.858543051772354,9.562098652595507,9.270406204361954,8.98406891743601,8.704053136913409,8.429922133140465,8.16114418295828,7.897365255998675,7.638409014684197,7.384276814228122,7.135147702634445,6.891378420697894,6.653503402003913,6.422234772928675,6.19846235263909,5.983883391618734,5.7867936910654265,5.602739638847073,5.424509076765646,5.246641385897826,5.065427486595016,4.878909838483335,4.6868824404636165,4.490890830711398,4.29423208667695,4.1019548250852536,3.9208592019359894,3.759496912503593,3.6287387642520925,3.5717226716136,3.5660795297771397,3.5609245619419982,3.519205167635282,3.41770092271197,3.247023579354835,3.0116170660745176,2.729757487709498,2.4335531254260694,2.1689444367183777,1.9957040554084249,1.977971994634276,1.9878009571310606,1.96942319524146,1.9408247974756778,1.9009538813176663,1.8455400975367122,1.7758316639247262,1.6985953652962327,1.6261165534884199,1.5678568633151209,1.5105095865996527,1.453033743917532,1.3959658821345573,1.3402094393196367,1.2871145930986694,1.2369455455715836,1.1884667362873476,1.1408122415576254,1.0935526758046001,1.0466951915609826,1.0006834794700012,0.956397768285412,0.915154824871488,0.8783883806385708,0.8450093904253875,0.8131923476687631,0.7816565644419812,0.749626400556272,0.716831263560816,0.6835056087427392,0.6503889391271208,0.6187258054769779,0.5902658062932883,0.5678285946329846,0.555145752343808,0.5471469649816135,0.5386492292587,0.5259082286709725,0.5066183334979455,0.47991260080273745,0.44636277443207517,0.4079792850162927,0.3682112499693327,0.3319464734887444,0.30551144655567886,0.29659367311480644,0.2950240237990852,0.2899781373823528,0.283394174605554,0.27751581308564194,0.2705973296261869,0.2614085067409892,0.24967029002602606,0.2360547881594502,0.2221852729015897,0.21063617909495277,0.2031904853404319,0.19639747322069584,0.18936388248357378,0.18176659784309662,0.17358599912425654,0.16510596126300797,0.1569138543062667,0.14989779960464028,0.14379543863021949,0.13780726931356554,0.13194492941850816,0.12624184566874072,0.12075323374781995
H,12.747777830845486,14.02400947541261,15.218181261423606,16.35470912589251,17.43386730419991,18.44629360473334,19.37906405362023,20.22185788206563,20.96593133675831,21.60671472656103,22.142653686639804,22.574460665142947,22.905394077834423,23.140128482380405,23.284530594972498,23.34505074685939,23.328373200406165,23.2413232690914,23.09113056060249,22.88457468792829,22.62785700525308,22.32667193453446,21.986777503988797,21.61367067057919,21.21230812624616,20.78710970230747,20.341958369458055,19.880310079807284,19.405740437125385,18.921268391274698,18.42959888580493,17.93318617731975,17.43423383547687,16.93469474298793,16.43627109561863,15.940554749332899,15.449191302197702,14.963040245770538,14.4828699410163,14.009428456196334,13.543443566868445,13.0856227558869,12.636653213402429,12.197201836862178,11.76791523100982,11.3496016756529,10.943596283415145,10.548955776977218,10.164601905838252,9.789757800798473,9.423947973959196,9.066998318722838,8.71903610979289,8.38049000317395,8.052090036171704,7.734867627392919,7.430155576745489,7.140482924328869,6.877595239037578,6.634709501138288,6.401141869087413,6.168779317268669,5.9320796359930625,5.688071431498897,5.436354125951776,5.17909795744457,4.921043979997485,4.669504063557997,4.4343608940008625,4.228067973128185,4.066359519383944,4.0041172646346865,4.009841370122322,4.01630102624378,3.9745241165753322,3.8537972178726605,3.6416656000707635,3.3439332262840384,2.9846627528062584,2.6061755291105304,2.2690515978493466,2.052129694854593,2.0400884578310547,2.0653155781969166,2.0541327765213024,2.0290368079902037,1.9891477957268002,1.9295614424387386,1.8520270002164085,1.7649472705329372,1.6833786042442427,1.6189164988750375,1.5555011504609828,1.4919037789398115,1.428788098544414,1.3672430596970753,1.308889769933251,1.2540611335562468,1.2012639068260613,1.1494479038148924,1.0980882303810777,1.047185284169098,0.9972647546095718,0.9493776229192619,0.9051001621010674,0.866107663379933,0.8309719996319423,0.7976241714016526,0.7646336164153953,0.7311310969271012,0.6968086997183003,0.6619198360981207,0.6272792419032943,0.5942629774981407,0.5648084277745931,0.5419505686405057,0.5292954337657066,0.5215305887494992,0.5132967298137421,0.5007202377535654,0.48141317793737354,0.4544733003068405,0.4204840393769144,0.3815145142358148,0.34111952854503547,0.3043395705393425,0.27770081302676836,0.26913526211314054,0.2682091619625804,0.2637688792968726,0.2577460900381197,0.2523647365690088,0.24593294054717943,0.23725921001236008,0.22607953054398663,0.2130573652612009,0.19978365482285,0.18877681742749172,0.18177357032224725,0.17540020984770308,0.16881070402379908,0.1617047611428749,0.15406527157140038,0.14615830774997596,0.13853312419333233,0.1320195955160866,0.12637316852660124,0.12084734860391594,0.11545222840268018,0.11021739035504352,0.10519190667065503
I,59.989542733390515,65.001844814369,68.04732151891864,69.76760038580171,70.58341090759373,70.77373644115076,70.51902169704034,69.94524575218023,69.13154659116069,68.13701161108818,67.00286371954628,65.75545640849336,64.41971781377809,63.014638520720126,61.55218494889887,60.044593594050895,58.50443550193217,56.94072628074086,55.36045107132618,53.77069817895418,52.17850439358023,50.590519227983066,49.0112638449706,47.444849413216666,45.89514989841731,44.36573244127487,42.85985735749793,41.380445882908575,39.92957716798796,38.50868504703712,37.11906498118459,35.76188987787618,34.43821009087479,33.14895342026055,31.89492511243084,30.67690606511535,29.49524630583449,28.349192304146193,27.238046044745225,26.161247653819544,25.11837539905032,24.109145689611957,23.13341307617206,22.191170250891407,21.282548047424072,20.40813183341778,19.569237546339565,18.762759172286337,17.985474202200443,17.23485877103519,16.509087657754847,15.807034285334673,15.128270720760872,14.473067675030638,13.842394503152121,13.23791920414444,12.66200842103772,12.119356410323379,11.63109672357572,11.183699099102649,10.756593515626541,10.33409687131908,9.90541298380128,9.46463259014346,9.010733346865276,8.54757982993565,8.08392353477289,7.633402876244578,7.214543188667594,6.850756725808227,6.5715315924407465,6.470117493868958,6.488441588551076,6.508500725632122,6.444313849462137,6.241921999596308,5.879388310794788,5.366798013022861,4.7462584314508875,4.091898986454234,3.5098711936133666,3.138348663713856,3.1258286949124345,3.1797342430353988,3.1707934485519016,3.137199804703864,3.0778611478362725,2.984854468978032,2.8613237263486337,2.7214798453581484,2.590600718607317,2.4881525970696234,2.3874008348125675,2.2863220292048085,2.1860353736965576,2.088354755858765,1.9959769776004042,1.9094685036075139,1.8263316492687813,1.744806239855987,1.6640083121854328,1.5839301146179452,1.5054401070588677,1.430282960958072,1.3610795593099438,1.3005828611719652,1.246317324989458,1.1949351452048353,1.1441394360350179,1.0925322586514656,1.0396146211801809,0.9857864787017044,0.9323467332511268,0.8814932338180606,0.836322776346682,0.8016250556293532,0.7827920582470531,0.7715456711860732,0.7595881461562014,0.7409207258469686,0.7118436439276519,0.6709561250472684,0.6191563848345818,0.5596416298980985,0.4979080578260714,0.4417508571864973,0.40126420752710756,0.3887179616984743,0.38801320188232463,0.38190790264941243,0.37334555369206035,0.36570709162990944,0.35644612659246816,0.34377006480566874,0.32728624492732644,0.3080019380471359,0.28832434768667164,0.27206060979939584,0.2618320248621609,0.25254140680019754,0.24292652067575454,0.2325429755124349,0.22136642197969925,0.2097925523928666,0.19863710071311347,0.18913204125562155,0.18091504118825397,0.17287871893325013,0.1650378118292498,0.15743550483798469,0.1501434305442771
J,10.498169978343341,11.595636524811574,12.700327851516928,13.809703926511032,14.906574532656704,15.970022781664474,16.979553609537106,17.919304541798223,18.776747069220093,19.544143722310228,20.217357582100227,20.795037909715546,21.278370589332994,21.670190789769226,21.974817011940388,22.19720064405323,22.342595961664678,22.41662219504291,22.425439236193718,22.374865576263847,22.270264859163607,22.116620359898192,21.91911328722216,21.68276028052561,21.412128377113188,21.11133913017386,20.784068608780885,20.433641460505726,20.063529802077188,19.676772616141623,19.276130294314317,18.864135718454556,18.443094260665674,18.015083783295015,17.581954638933958,17.1454508976619,16.70738160512803,16.268897564469267,15.831051584973112,15.394857736873496,14.96129135135076,14.531289020531664,14.10574859748938,13.685529196243476,13.271451191759981,12.864484486004079,12.466212622716155,12.075989140385923,11.693008720540174,11.316744663466944,10.946948888215557,10.583651932596624,10.22716295318201,9.878069725304872,9.53723864305964,9.205814719302001,8.885221585648964,8.578147191556717,8.29760127276834,8.036622544320055,7.78393172486506,7.5309931000729105,7.272014522629508,7.003947412237111,6.726486755614339,6.442071106496131,6.155882585633819,5.8758468807950655,5.612633246763869,5.379654505340637,5.193938362175424,5.12186887155479,5.128612210458347,5.135548047139191,5.085430499484732,4.942388135016781,4.691923970891435,4.34091547389917,3.9176145604648265,3.4716475966475433,3.0740153981408396,2.8170932302725977,2.800016850690483,2.8252911999104913,2.8067426590039353,2.7719784761384685,2.7194703785049166,2.6427524431719345,2.543783792740158,2.4329485953421934,2.329056064642688,2.2465945987474183,2.165256787250582,2.083468526772813,2.002062580518834,1.9224289938893122,1.846638745680878,1.7751071245414516,1.7059555414318228,1.6378692342437384,1.5701997009106836,1.5029646994078836,1.4368482477522984,1.37320062400263,1.314038366259313,1.2615503658080216,1.2140634626752658,1.168814629991957,1.1238700669504853,1.078060307716187,1.0309802214273516,0.9829890121952131,0.9352102191039628,0.8895317162107255,0.8486057125455944,0.8166937275466294,0.799387726029138,0.7890526158133601,0.7778914127539043,0.7602721121738116,0.7327276888645614,0.693956097086063,0.6448202705666625,0.5883481225031397,0.5297325455607116,0.4763314118730289,0.4376675730421691,0.4253119990582492,0.42396931136444366,0.41735423843353514,0.4083802280333908,0.40041880425637527,0.3908526843730789,0.3778380339263102,0.3609584251947684,0.3412248371930397,0.3210756556715976,0.3043766731168113,0.2938056035054871,0.2841849647791672,0.27417575940357813,0.26329449608283273,0.25151296941454426,0.23925825988982688,0.22741273389329533,0.2173099271338558,0.20855722427366713,0.19995602305561166,0.19152466773891047,0.18331419605603172,0.1754083392126893
