Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,35.832682516076034,37.75629328607897,38.51044318819004,38.48492768951928,37.942994765732806,37.074350777575205,35.993716929573225,34.79772768486157,33.5347323986756,32.24581633245202,30.964162085073326,29.696336064243155,28.45537233339178,27.25602382524073,26.096854490781993,24.975480774210723,23.89729308776225,22.86527304010974,21.876182555491255,20.92681419846076,20.014869027258328,19.143102263079186,18.309927764567306,17.513051720467956,16.750354336094006,16.01971581678515,15.319424889596917,14.650287888798744,14.010657152908266,13.399017816973583,12.814043714396348,12.25440867854195,11.718786542826365,11.205851140636469,10.71454277452915,10.245073390606194,9.796313154573113,9.367284550142244,8.957085898079868,8.56481551922866,8.18957173436695,7.830452864323092,7.486557229896448,7.156983151901841,6.8407000262815245,6.53709386958144,6.248142742320624,5.9733019666722384,5.711616244152879,5.462130276413291,5.223888765004858,4.995936411507159,4.777317917532514,4.5670779846367395,4.364261314439204,4.1679126084752625,3.9759722885852398,3.777086705145962,3.5949381089792496,3.43399789698708,3.2905766134600754,3.160984802750363,3.0415330091741453,2.9285317770405754,2.818291650693027,2.7071231744431543,2.591336892610343,2.4672433495487667,2.331153089538475,2.1785500259119317,1.9650646149592603,1.7964156253682404,1.7141249947113693,1.6956247739215087,1.7183470139001429,1.7597237655696745,1.7971870798777445,1.8081690077091253,1.7701016000107757,1.660416907703734,1.4565469816888026,1.1511420806218666,1.0533730493087887,1.0484422297173523,1.0186212071337195,0.9918335140506542,0.9728334780008936,0.9535914742646128,0.9260778781144836,0.8822630647905498,0.8262172945316024,0.7909623695084065,0.7586976619799088,0.7270954864537771,0.6955832460097326,0.663463759181468,0.6322223869074151,0.6039817614007461,0.5781623896976953,0.5540870908165516,0.5310786838622334,0.5084599878628069,0.4855538219051141,0.46168300503961746,0.43668861989465313,0.41426768065491615,0.3951210573134176,0.37845059603762365,0.36355493249459414,0.34973270235241216,0.336282541291439,0.32250308494428737,0.307692969016216,0.29115082913688184,0.2715238017850652,0.24805409046143723,0.23148505947426656,0.22186051787286942,0.21736977182627015,0.21620212749712664,0.21654689106662772,0.21659336865172918,0.2145308664435106,0.20854869062134185,0.19683614731229682,0.17758254270472662,0.14907364881173635,0.13347817251224114,0.13164266055196094,0.12773835710618187,0.12139427359045385,0.11737245198503388,0.11505049058973782,0.11328521890243337,0.11093346652148739,0.10685206297887362,0.09989783782134509,0.09101330114583561,0.08643143401332054,0.08306509700298648,0.08023715046829238,0.0775905727391546,0.07476834211331607,0.07141343691137081,0.06717200208595386,0.063365079297796,0.06060670087106246,0.057956043412218605,0.05538342218494563,0.05285915239392125,0.0
B,11.325400889505545,12.062747233640607,12.523050167356928,12.796258763066476,12.939851576639967,12.993940848168336,12.980907907516666,12.920398821032109,12.821426795244292,12.692297673874691,12.540171653605398,12.366985092519258,12.176443319247596,11.972577178101119,11.75657641413784,11.529602384394025,11.294160340441522,11.052124269151818,10.804426223216751,10.552033300209473,10.295981236046146,10.037802930173484,9.778497086134848,9.51870209462686,9.259058050046292,9.000205046856877,8.742734800387325,8.487301968170073,8.234828743138792,7.985591436956838,7.7398069303969805,7.497692104202088,7.259463839134469,7.025339015972918,6.79543449109201,6.570039537715502,6.350034831724088,6.1353917684984935,5.926011652968214,5.721795789962471,5.522645484295936,5.328462040936415,5.13914676464276,4.954600960363791,4.774583000117673,4.598790241960955,4.4292661764226295,4.265977009568019,4.108509031562562,3.9564485326415024,3.809381802963344,3.6668951327931154,3.5285748122876157,3.3940071316883405,3.2627783811433346,3.1344748509570763,3.007895687785208,2.8749325158569263,2.752064848676582,2.642607247401884,2.5441378024154346,2.454234604135877,2.3704757429379697,2.290439309210342,2.2117033933237735,2.131846085687698,2.0484454766988165,1.9590796567152893,1.8613267161504155,1.7520925825776885,1.5938333186495584,1.46687438817969,1.4049465630295117,1.3909773463511783,1.407894241319127,1.4386247510515204,1.4660963787365517,1.4732366275342201,1.442973000536199,1.358233000991504,1.2019441319959014,0.9686255196891125,0.8935858289743237,0.8887618937040997,0.864059832571229,0.8419433135345571,0.8261979867929767,0.810297129020114,0.7877140169126733,0.7519219271745214,0.7062066532730569,0.6773210099659082,0.6508099666988301,0.6247829987935347,0.5987733468676879,0.5722188171083644,0.5463424582487733,0.5228623534562757,0.501311713194923,0.48114531260000604,0.46181792686843437,0.442784331136977,0.4234993006064087,0.40341761041770496,0.3823910050914492,0.36338317319700764,0.34710168713718303,0.3328915461206634,0.32015989742046713,0.3083138883310994,0.2967606661937907,0.2849073782489313,0.2721611718308168,0.25792919420769067,0.2410264488996745,0.22062278586304274,0.20620719827184075,0.19785157692501798,0.19397191014445525,0.19298418638470594,0.1933043939613981,0.19334852125234647,0.1915325566573074,0.1862724885653506,0.17598430527948494,0.15908399526017547,0.13407213167454302,0.1203850510129314,0.11874877288744301,0.11527264786559499,0.1096246702135204,0.10604482185920006,0.10397778830247262,0.1024044730490914,0.10030577958855247,0.09666261144047894,0.0904558721073272,0.08252389407959981,0.07842398500702075,0.07541223948180686,0.07288226272225984,0.07051247216736556,0.06798128519585589,0.064967119176913,0.06115124628115609,0.057724844045878854,0.05524158816012914,0.0528533392848658,0.050533342098447065,0.04825484131652047,0.0
C,81.57440228501082,85.83352294266967,87.34494515219183,87.02604458458995,85.4991625287796,83.21391949084978,80.44387444810536,77.41882309097764,74.25455468349423,71.04896195176127,67.88077445408408,64.76535720137895,61.73304603912334,58.81825355840226,56.016560239299565,53.32115443588111,50.74384254063159,48.2908179844469,45.953193090296054,43.72212115938112,41.59099202606342,39.56559715057551,37.64116882565202,35.811346177612904,34.07020195724567,32.41180891536419,30.831302734575843,29.330151779662742,27.90346827527617,26.547102496462117,25.257418548025726,24.030780534577502,22.86355256088825,21.752098731672504,20.693545249537806,19.68817652837322,18.73237730134815,17.823597483682192,16.959534603724705,16.137886189883943,15.356349770452084,14.61262287386171,13.904403028418415,13.229387762506121,12.585101100038628,11.970395065965363,11.388325746465625,10.837441408648374,10.315624006753069,9.820755494937657,9.350717827370659,8.90339295829017,8.476662841806501,8.068409432137855,7.676514683455821,7.298860549953815,6.931334256807077,6.5535648260485,6.209164382638164,5.906017030469343,5.637111328931269,5.395435837470018,5.173979115426505,4.965729722238052,4.763676217269108,4.560807159923456,4.350111109596696,4.124576625718532,3.87719226762988,3.5995934062314063,3.2216410268264326,2.9259628303476575,2.7805868856202096,2.7464039852790165,2.7843049220904277,2.855180488659812,2.9199214777521547,2.939418681934171,2.8745628940242796,2.6862449065720284,2.3353555123712795,1.80900905006024,1.6403108022533388,1.6326250385911862,1.5839260535943822,1.5399561719608528,1.5085857988905218,1.4768026412682502,1.4315944059515004,1.3599487998462791,1.2685065072461157,1.2109546756430518,1.158420374011257,1.107130453039531,1.056161540845892,1.0043759758872284,0.9541377989960438,0.9088917086230595,0.8676904900232785,0.8294269222574258,0.7929937842316122,0.7572838550399865,0.7211899136194688,0.6836047390005433,0.6443164695060659,0.6093954668851893,0.5796428033104348,0.5537828908719575,0.5307360524910791,0.5094226111028775,0.4887628896315164,0.46767721100059134,0.4450858981373358,0.4199092739531807,0.39018286711075234,0.3552803066374963,0.33057700253016264,0.31604071444087367,0.30903615353281566,0.3069280310752447,0.3070810582635204,0.30685994632267466,0.3036294064804679,0.29475414994305993,0.2775988879450324,0.24952833170038957,0.2080469552423665,0.18527985272316982,0.18250567058180422,0.17682930767489324,0.16773595496692906,0.16190825079604565,0.15847665569765468,0.15584117915614115,0.15240183063804125,0.1465586196310369,0.13671155566760262,0.12418716947581743,0.11770463080597438,0.11290988795747126,0.10886631042251338,0.10508755965963701,0.10108729705802943,0.09637918413011448,0.09048118531063665,0.08518727059151843,0.08133111587608255,0.07763415276269825,0.07405601822108565,0.07055634921073306,0.0
D,391.71687011657923,412.4346306378975,420.11673927296624,419.1077555713032,412.35006168636755,401.96798363760854,389.25116751651194,375.28491832970394,360.61496855491714,345.70404345767065,330.92530288432044,316.3527705040515,302.13203911120763,288.4279079409671,275.2223746588015,262.48641646172837,250.27852938317756,238.63029654765705,227.50266949469824,216.85685737862605,206.66442679142938,196.95438042057413,187.70639007398495,178.89242947715093,170.48647103208032,162.46248714053445,154.79922656475992,147.50421493979184,140.55626697827074,133.93684886196888,127.62969866440199,121.61855445848823,115.88715431740184,110.41923631464579,105.20183703453768,100.23623733945715,95.50690542305165,91.00215710530028,86.71134282475896,82.62381302074527,78.72891813192336,75.01600859710379,71.47443485505164,68.09354734477347,64.86175659537639,61.77323922236383,58.84361820918775,56.066171560757994,53.430779556043035,50.927322474259654,48.54568059447092,46.27573419579767,44.10736355802783,42.03044895955372,40.03487067995957,38.11050899841484,36.23726636069887,34.31268422185349,32.55304192199583,30.99796377314442,29.612870491953345,28.363182794808836,27.21432139843637,26.13170701923491,25.080760374048623,24.026902179063654,22.93555315085632,21.772134006256692,20.5020654615314,19.083738810980776,17.147544243346147,15.622450854607905,14.861637568550577,14.666294639673652,14.83761232305551,15.1767808734553,15.484990545912297,15.563431594793656,15.21329427533874,14.235768842194375,12.432045550342082,9.736836885100274,8.863862374984365,8.809771483036002,8.544422960294014,8.30475927497946,8.131371879400831,7.956557794829223,7.712614043317444,7.33183764589603,6.848643496466593,6.541862247035169,6.261368999175829,5.987520216202029,5.715481627370082,5.439330413589232,5.171405040895024,4.9295661973924325,4.70888699914849,4.503612765059643,4.307988813642169,4.11626046367428,3.922673033725914,3.7214718425466344,3.511464246959349,3.3240544880359266,3.163945949036588,3.0244684986355423,2.899905835943173,2.7845416607037805,2.672659672217833,2.5585435700559174,2.43647705358444,2.3007438226222803,2.140753778442104,1.9522892959575984,1.818558539629521,1.739551277764349,1.7010778626881802,1.688948645019991,1.6889739767998435,1.6869642089773151,1.6687296935406266,1.6200807812274434,1.5268278243288478,1.3747811734938296,1.1505045931899076,1.0271581882375358,1.011541559977104,0.9801672619378223,0.9302186927811817,0.8980869648075895,0.8790274521074934,0.8643168871103626,0.8452320028027316,0.8130495319874171,0.7590462070429567,0.6904380043779383,0.6547571241899277,0.6283257567724831,0.6060181164257301,0.5851590202692023,0.5630732850681852,0.5370857281068311,0.5045448433902493,0.47532248642983177,0.4540059625892354,0.43355938571585284,0.4137598191118741,0.3943843255901811,0.0
E,52.49697745568926,55.257744870879264,56.26041853741776,56.09169491246928,55.14941151533901,53.72096876504963,51.98108999268652,50.076650383390984,48.0815535900108,46.058325917376806,44.05728560631064,42.08819025655043,40.170425094421375,38.32599913872582,36.55208592441841,34.84434141738666,33.210346622724614,31.654069495789372,30.16987602046561,28.75216657482065,27.396775361744858,26.10743950217477,24.881128232632022,23.713855134745245,22.601914725493202,21.54160152185773,20.52988992009523,19.56774705325961,18.652051735302734,17.780234020082617,16.950057710307988,16.159286608765115,15.405684518176827,14.68701524134849,14.001515935981388,13.349332174063534,12.728175694349488,12.136486293765643,11.572860872564661,11.035896331080266,10.524189569635155,10.036337488536219,9.570936988048402,9.12658496851816,8.70174987626433,8.2955765885971,7.910063028951299,7.5443406219091,7.197094399992352,6.867009395711648,6.552770641671259,6.253063170368591,5.966572014358235,5.691982206180342,5.427978778396664,5.173246763517113,4.925123110747222,4.669693510229308,4.435955547678645,4.229290580399038,4.045091358369177,3.87875063166382,3.7256611503321437,3.581215664393426,3.440806923886953,3.2998276789069223,3.1536706794091742,2.9977286755105297,2.827394417218329,2.6370863107486002,2.3750869553603025,2.1683037506993514,2.0656788680420277,2.0400746728612376,2.0643535307550565,2.1113778071344314,2.1540098676144908,2.1651120776425614,2.1175468027375928,1.9841764084243323,1.737863260206609,1.3697279307975805,1.2507748013902074,1.2435438954777283,1.2069752017395103,1.174019561109617,1.1503012323559005,1.1263694331737497,1.092773381311872,1.040062294530344,0.9730298644952882,0.930558060958333,0.8916963952748347,0.8537027166548796,0.8159008348026191,0.7774657792664357,0.7401334133213595,0.7063983658961206,0.6755749035719418,0.6468620882993719,0.6194589819364182,0.5925646464484089,0.5653781436610643,0.5370985355582434,0.5075465586904784,0.4810877754844114,0.45847444251376146,0.43876989594230054,0.42115967502820695,0.4048293190567165,0.3889643673653609,0.37275035921766175,0.35537283389987806,0.3360173307543164,0.3131367171649799,0.2859556391078968,0.2667070697841609,0.255421868053304,0.2500289944158567,0.24845740938587824,0.24863607349050199,0.24849394713260153,0.24595999092844067,0.23896316533432582,0.22543243084294318,0.20329674796994368,0.17059526871605613,0.15265162337982474,0.15044195310758823,0.14589183836619668,0.13858123778504705,0.13391032060735597,0.13117364736660875,0.12907525498383166,0.12631918045769908,0.1216094606753586,0.11365013264548907,0.10351048792631445,0.09825423975496506,0.09437645209152379,0.09111135230659784,0.08805638632793489,0.08480900006577485,0.08096663950743732,0.07613031787639102,0.07178788258988789,0.06863080833397817,0.06559909552015597,0.06265918761948797,0.05977752809781123,0.0
F,50.11935207073134,52.96260487901304,54.27502752132682,54.56281835001823,54.16398363879091,53.32066610510117,52.17714994615983,50.85608002853337,49.41800690361379,47.91526328354553,46.39076179702056,44.853924032793884,43.32292011852212,41.81804686618807,40.339611883477914,38.88691593095325,37.4687738144155,36.09075173435667,34.75087604845237,33.447238290149585,32.17891839796005,30.95068836966459,29.762284344636328,28.612182249252328,27.4990288538944,26.421470928976532,25.378491480991215,24.371668351900325,23.400532474984402,22.463817035966485,21.560357048253536,20.688987525295147,19.848543480381068,19.037859927038994,18.25591416879854,17.503233263789298,16.77975046212805,16.084342274627943,15.415870047042745,14.773195125243092,14.155178855079953,13.560682582394975,12.988567652971597,12.437695412669427,11.906642724338894,11.394505455889998,10.905653900803713,10.43940237637446,9.994214543744533,9.56855406399825,9.16088459821583,8.769669807481591,8.39337335298569,8.030458895730135,7.679390096886209,7.3386306174860465,7.004643690312491,6.656936918761971,6.338302917830674,6.056932255103106,5.806264036795142,5.579737369084228,5.370791358118709,5.172865110128441,4.979397731314975,4.783828327777314,4.579596005763392,4.360139871410638,4.118899030945272,3.8477848231905227,3.4642025603506,3.1612112388602327,3.0155480285759495,2.9860443156010206,3.031531485873302,3.110840925552907,3.1828040205838306,3.2062521570777562,3.14001672101233,2.9429290984990075,2.5738206754805333,2.01930290134635,1.8437340066481056,1.8374735745736643,1.7856136241703098,1.7391709079773818,1.7068419142929088,1.6739732243580647,1.6259114194174344,1.5480030807697176,1.4476853237638352,1.3852508127113197,1.3282075946776786,1.2723137566948708,1.2165316537835906,1.159594983034026,1.1042074119064864,1.0542392856672222,1.0086373704418747,0.9661702674208072,0.9256065778644142,0.885714902981249,0.8452638440231794,0.8030220021654486,0.7587115413439278,0.7190806282197855,0.685347141219836,0.6560630407977897,0.629963539811115,0.6057838511101181,0.5822591875381704,0.5581247619543319,0.5321157872372169,0.5029674762068908,0.4682769699028313,0.42685679115868425,0.39773658574881665,0.3809639812309342,0.37331900179628974,0.371581671624881,0.37253201491625987,0.3729500558348491,0.3696158186558023,0.3593093274870398,0.3388106065513057,0.30489968004269485,0.25452793304293664,0.22707967224084769,0.22408153139508613,0.21743336515373812,0.20648740943011035,0.19960764070799542,0.19570369457937886,0.19277079879691428,0.18880418119965725,0.18179906946784286,0.1697506914299538,0.1543172911573265,0.14643196622466803,0.14066133875473952,0.13582396072251868,0.13130120162293224,0.1264744309659136,0.12072501827981341,0.11343981903894473,0.10690732620639665,0.10219133500663702,0.09766228038779445,0.09326913250095004,0.08896086162144456,0.0
G,8.674954077871945,9.228389309448175,9.561424511731502,9.746053719080066,9.82873393953301,9.842072678173139,9.804536288084421,9.7321951184976,9.632526249160975,9.512300311503026,9.377274000835826,9.22888284114714,9.069942299990089,8.903545752428101,8.730378789660506,8.551076878440284,8.367428180385474,8.180730225858355,7.991456763922628,7.800106474954703,7.6072573596807445,7.4139977175150875,7.220910742622976,7.028332250171104,6.836606342601158,6.646077122364801,6.457074610459841,6.270067103969467,6.085592406717126,5.903790414899362,5.7247713844461146,5.548645571316484,5.375523231469543,5.2055146208186045,5.038674080340087,4.875210474861262,4.715671402797568,4.56002012485871,4.408177001997757,4.260062395352918,4.115596665893861,3.9747001747554407,3.837293282916278,3.703296351491872,3.5725194064714287,3.444698230184258,3.3213664310467834,3.202505220273821,3.0878072193815456,2.9769650498715237,2.869671333273459,2.765618691114497,2.6644997448096888,2.5660071159825293,2.4698334260791626,2.375671296614996,2.2825938715949405,2.184194307733037,2.093363782058077,2.0127233601182297,1.9403927313537963,1.874491585088549,1.813139610685198,1.754456497495113,1.6965619348679581,1.637575612201715,1.5756172188139033,1.5088064441002018,1.4352629773705985,1.3525683425503985,1.230521886199,1.1328867286426885,1.086669016198158,1.0783276635786478,1.0943215855729704,1.121109696960275,1.14515091247614,1.152904146943598,1.1308283150733303,1.0653823316569628,0.9430251114785051,0.7594246923439982,0.7014967447466915,0.6991756486697795,0.6808011318202603,0.6644634503360294,0.653203920911011,0.6417536988104473,0.6248439392113596,0.5972057973637845,0.5614907724070406,0.5392902437317275,0.5189344854687477,0.4988977945604631,0.4788037538090748,0.4582001287881212,0.4380838636703288,0.41984695289787055,0.40311422461982716,0.3874472107830229,0.3724074434479405,0.3575564545872396,0.3424557762263021,0.3266669403058131,0.31006439686629506,0.2950359419301378,0.28220564199301634,0.2710418458987647,0.26105732710630036,0.25176485912666635,0.24267721544313758,0.23330716953751107,0.22316749490363463,0.21177096506374937,0.198119718529,0.18142450399028576,0.16972448984651578,0.1630990733453075,0.16021520519711885,0.15973983618991383,0.16033991693035432,0.16068239823385966,0.15943423076981844,0.1552623652401337,0.14683375238649887,0.13281534294583253,0.11194543697268955,0.10061795825345143,0.09943367008204973,0.0966664209945236,0.09203075725017129,0.08915676270578388,0.08756826961246134,0.08639197870499515,0.08475459061588708,0.08178280607262423,0.07660332572069706,0.06993262139530998,0.06653580540574922,0.06407163062166887,0.0620170380821321,0.0600923863812568,0.0580180340027141,0.05551433957992913,0.052304148382802396,0.04942563505457542,0.047361520605363694,0.045373088417761664,0.04343710562909564,0.04153033942176876,0.0
H,12.002062471380498,12.741601116827383,13.156838469511456,13.353576213126416,13.400791585962281,13.347234275900917,13.221005849306891,13.04643435400169,12.835157249500526,12.597599017476568,12.342567879094133,12.072357978709306,11.791227113867592,11.50383703482828,11.211125601700928,10.913913600713954,10.614766616003692,10.315539095816405,10.016728695413917,9.718855438706555,9.422567137453314,9.12936217645614,8.839942012327697,8.554583268608326,8.273574542112272,7.997204429635474,7.725753507536808,7.4598033443527925,7.199978272421504,6.946302428581873,6.698760800459922,6.457338375606014,6.222020141640428,5.992791086161333,5.7695840740467474,5.552669300772607,5.342664239881458,5.139392220289778,4.942624323961013,4.752131632898681,4.567685229096924,4.3890561945461855,4.216015611241858,4.048334561171373,3.88565844677953,3.7277322796156227,3.5764939565999043,3.4318199145201334,3.293229113639484,3.1602405142675707,3.032373076647275,2.9091457610850284,2.790077527857761,2.6746873372470645,2.5624941495178177,2.453016924961048,2.345029211883002,2.230956337695943,2.1267523656004528,2.0355201554280598,1.9548732779623492,1.8824253039450127,1.8157898041449698,1.7525803492849263,1.69041051016751,1.626893857512698,1.5596439620875344,1.4862743946452497,1.404398725954536,1.3110548951601118,1.175003736059125,1.068444548615048,1.0203043941489796,1.015216420765114,1.0378137766036275,1.0727296097758199,1.1045970684160125,1.118049300664552,1.0977194546053965,1.0282406783976512,0.894246120158698,0.6907525723045183,0.6287095506065725,0.6297338240449903,0.6134921648963996,0.5991086846442499,0.5898501741721702,0.5802345097463331,0.5647795676119358,0.538003224040267,0.5026995887608336,0.4814645688626342,0.4621314026316554,0.44311728242598747,0.4240398893902011,0.4044305488957889,0.38530678061522394,0.36812507534688166,0.35249523422800166,0.33796017834191616,0.32406282879509263,0.31034610666000617,0.29635293306102994,0.2816262290800182,0.26606602589811246,0.25220243534141673,0.24049343632879072,0.23039960634054069,0.22145021867231662,0.21317454662425916,0.2051018634976458,0.19676144256561656,0.18768255714667248,0.1773944805227643,0.16500340298955507,0.1500792948511389,0.13971611783364324,0.1339309882181965,0.13152434778169209,0.1312966382915306,0.13204830150237967,0.13257977918289043,0.131691513106432,0.12818394502789943,0.12085751671867229,0.1085126699445027,0.09001373080013764,0.08004474739112766,0.0791772819307539,0.07693734876795588,0.07308491811528484,0.07073271217194588,0.06947582920577133,0.06856915159175969,0.0672675617229288,0.06482594194193325,0.06049917463388965,0.054904844397242414,0.05211019392919525,0.05009386139562366,0.04841706532590706,0.04685042709212439,0.04516456809204783,0.04313010969951847,0.04051971052967929,0.03818354559552972,0.03651697695784151,0.03491514177034105,0.03335935396603418,0.03183092751748973,0.0
I,30.13064300055757,31.84277541984659,32.63752432085053,32.81775032648807,32.58546188843704,32.08529811646025,31.403367818443826,30.612943828992996,29.750238386253926,28.84662390844761,27.92789020008226,26.99988634780533,26.073698366286834,25.161673821281653,24.26425526797169,23.38128726536283,22.518253989184444,21.678708981362405,20.861661760867833,20.066151696539066,19.291788934085275,18.541562617558895,17.81550961206233,17.112782099806367,16.43262436186373,15.774280679394906,15.137178722973175,14.522325325328808,13.929635340052243,13.358331180015881,12.807675083727759,12.276929289660274,11.76535603630333,11.27221756214513,10.796853213038759,10.339684559449466,9.900854806698334,9.479624585366508,9.075231026266266,8.68691126016293,8.313902417876989,7.95544163018107,7.610766027852748,7.2791127417592065,6.959518274937153,6.651453304165102,6.358151972176671,6.079164625834949,5.813430519060148,5.5598889057397685,5.3174790398130085,5.085140175188428,4.861811565786354,4.646432465511282,4.437942128272482,4.235279807985904,4.0360136570503755,3.826265780066535,3.6357434269974362,3.470073471214789,3.32471915739643,3.1951437301399324,3.0768104341127582,2.9651825139565915,2.8557232142830173,2.7438957797627097,2.625163455047158,2.494989484742831,2.3488371135194654,2.1811791051555076,1.9394232942095186,1.7522081690715652,1.669345099835283,1.663408758839239,1.706973818468839,1.7726149510627067,1.832906828997693,1.860424124647352,1.8277415103463568,1.7074336584817047,1.4720752413929574,1.1127117032513638,1.004752027590257,1.009298774610869,0.9838246418015899,0.9613182286607014,0.9474546751038986,0.9328456022120406,0.9081026311083065,0.8638373829097361,0.8048631096848453,0.7699818351605927,0.7383377433084206,0.707222027621242,0.6759854641322818,0.6438250766808267,0.6124719355186414,0.5844313487681063,0.5590339914126048,0.535495017568195,0.5130295811448491,0.4908528362266793,0.4681799367565418,0.4442260367667643,0.41884074365628976,0.3963971570107674,0.37754993212973886,0.36138318517404855,0.3471143547365898,0.3339608793490072,0.3211401976297168,0.3078697480439416,0.293366969264639,0.2768492997608689,0.2568738235775072,0.23292965579133806,0.2163992264221406,0.20727460731009728,0.20361566821063093,0.20348227905270733,0.20493430957006353,0.20603162959523047,0.2048341090004726,0.19940161754874453,0.1877940250908523,0.16807120146114585,0.1383961603569901,0.12248023370486294,0.12126630243534464,0.11785823959118602,0.11187740029075144,0.10827128985908985,0.10639842921213472,0.10507678077453875,0.10312430697555897,0.09935897024834617,0.09259873301772359,0.08382681635382028,0.07949727434484544,0.07639108326139876,0.07381603702717143,0.07141304023474504,0.06882299746078502,0.06568681330358572,0.061648580989526636,0.05803895578577567,0.05547683968262618,0.05301570502209074,0.05062653527522798,0.04828031397269683,0.0
J,12.794208430431354,13.61685377624292,14.118942279433782,14.40485167136103,14.541687526787314,14.576456357519987,14.535643700237074,14.442383693838224,14.307404904333225,14.14049263837353,13.95001852682799,13.738165924583427,13.509137608127503,13.267532188244672,13.014520353231092,12.751211948100831,12.480346786731388,12.20395117582757,11.922872252246407,11.637991904840305,11.350292294445921,11.061447444183159,10.772443795878644,10.483855859189703,10.1962647174538,9.910251453914725,9.626362668549973,9.345321304857066,9.068041127918036,8.794753091697316,8.52563255966436,8.26085489523473,8.000595461888679,7.745029623022333,7.494239608692283,7.248569645116277,7.00893187139684,6.775261385760473,6.54742160730143,6.325275955186157,6.108687848576096,5.8975207065628865,5.6916379482064485,5.490902992800784,5.295002923667539,5.10354206075931,4.919024799703379,4.74141597918242,4.570213536463143,4.404915408647639,4.245019532975903,4.090023846649956,3.939426286785988,3.7927247906936827,3.6494172954396618,3.50900173831144,3.3699859801977254,3.2221770123746865,3.08629502728229,2.966528717799065,2.8598552896849014,2.763251948479933,2.67369589993541,2.5881643496250035,2.503634503248577,2.4170835664284596,2.325488744828249,2.2258272440903966,2.115076269862925,1.9893718125968007,1.8017847957247568,1.6529983405296207,1.5852439734159134,1.5771407865549918,1.607307872128331,1.65436432231445,1.6969292292146747,1.7136216850705068,1.6830607820126033,1.5838656122160728,1.3946552678396529,1.1085778893285578,1.0205805459638668,1.020278333462329,0.9947301103928794,0.9721787030080122,0.9573880467958134,0.9421587438898769,0.9182913963455803,0.8775866062773048,0.8241855936215643,0.7917423611378354,0.7620846073677967,0.7328409176722062,0.703430450711835,0.6731522681411661,0.6435584419072029,0.6168236347302809,0.5923660159339761,0.5695048363467095,0.5475593467250519,0.5258487978013591,0.5036924404261072,0.480409525347568,0.45581284620379847,0.43363344172928464,0.41480875900015235,0.39851504718649267,0.3840020790247536,0.37051962741759326,0.35731746502665374,0.3436453647226472,0.3287530992419079,0.31189044140023725,0.2915296944374859,0.2665039934967126,0.24911906909721893,0.23948967286082734,0.23557312487469062,0.23532674530179065,0.2367078541351475,0.2376737716019761,0.23618181772485514,0.23018931266244635,0.2176535764624532,0.19653192924749874,0.16489103547337436,0.14785638642172216,0.14635313330529698,0.14241375423569025,0.13560281907587068,0.13147136715383567,0.12929216122802245,0.12773077035296865,0.12545276344371814,0.12112370945180828,0.11340917737334166,0.10340501694020077,0.0983960964073276,0.094803744132264,0.09182885663244633,0.08904444597362726,0.0860235243948182,0.08233910412081968,0.07756799757407862,0.07329707044345923,0.070264368047674,0.06734126570256649,0.06449249155275538,0.06168277372796638,0.0
