EpiState,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
S,1.0617207605849948e7,1.0615928459160097e7,1.0614583228409786e7,1.0613215079308322e7,1.0611852715792475e7,1.0610515035752578e7,1.0609213861391315e7,1.0607956711960755e7,1.060674750141382e7,1.0605588328903e7,1.0604479763199769e7,1.0603421145916002e7,1.0602411583054192e7,1.0601449712017808e7,1.0600533637607943e7,1.0599661539604982e7,1.0598831710520964e7,1.059804226330384e7,1.0597291217054997e7,1.0596576734964378e7,1.059589712396062e7,1.0595250799451904e7,1.059463608716501e7,1.0594051388357682e7,1.0593495207608344e7,1.0592966146114817e7,1.0592462901694316e7,1.059198425170582e7,1.0591528948273176e7,1.0591095818848308e7,1.0590683758207085e7,1.0590291720449192e7,1.0589918718998164e7,1.058956382660136e7,1.0589226175329966e7,1.0588904943744281e7,1.0588599300074458e7,1.0588308467319923e7,1.0588031710007442e7,1.0587768330251602e7,1.058751766775482e7,1.058727909980732e7,1.0587052041287163e7,1.058683594466021e7,1.058663029998016e7,1.0586434624678928e7,1.0586248385141637e7,1.0586071110719152e7,1.0585902367875578e7,1.0585252740869232e7,1.0584598206688749e7,1.0583911391973184e7,1.0583173983661292e7,1.0582370889580172e7,1.0581490321896095e7,1.0580520270005828e7,1.0579448751417143e7,1.0578264280704882e7,1.0576953903004535e7,1.0575503296006e7,1.057389743217746e7,1.0572119665971357e7,1.0570151292962553e7,1.0567971547382724e7,1.0565557694484407e7,1.0562885029384257e7,1.0559925845238646e7,1.0556649232104274e7,1.055302107693817e7,1.0549003969536275e7,1.054455636876141e7,1.0539633364675792e7,1.053418462942146e7,1.0528153955039892e7,1.0521479253472026e7,1.0514092556558244e7,1.0505919517670728e7,1.0496877389241146e7,1.0486878148051158e7,1.0475823267236082e7,1.0463602902249184e7,1.045009589086165e7,1.0435169753162568e7,1.0418679976662237e7,1.0400467930582806e7,1.0380369611238848e7,1.0358202912748815e7,1.0333765301025642e7,1.0306833813776674e7,1.0277165060503727e7,1.0244494913067969e7,1.0208548401998237e7,1.0169048072227353e7,1.0125689576856473e7,1.0078139128552753e7,1.0026033499549368e7,9.968980021645509e6,9.906575850299185e6,9.838450060492419e6,9.764217115882894e6,9.683468186265301e6,9.595771155301923e6,9.500670668140816e6,9.397744270168705e6,9.286666092758708e6,9.167124397093104e6,9.038820667064896e6,8.90146960927781e6,8.754822009704687e6,8.598823308037052e6,8.433527460636143e6,8.259049951179865e6,8.075570381015514e6,7.883357013650287e6,7.68294107214454e6,7.47500145248362e6,7.260286708318647e6,7.039616542042298e6,6.813943549239663e6,6.58444711540982e6,6.352337380679999e6,6.118820184143071e6,5.885110229137245e6,5.652525072149916e6,5.422358772665119e6,5.19579240387284e6,4.973899530768711e6,4.75771774404204e6,4.54818345176774e6,4.346062820439327e6,4.151957669645913e6,3.9663712354859146e6,3.789678201845852e6,3.6221031355291097e6,3.4637294768802845e6,3.3145541279133046e6,3.17447841351918e6,3.043318811944474e6,2.920814093024911e6,2.8066576137240618e6,2.7004942665322665e6,2.6019470640690224e6,2.510623123634234e6,2.4261195386356707e6,2.348019461313631e6,2.275907606306104e6,2.209390056236717e6,2.1480942082185983e6,2.091651251616567e6,2.0397014594489748e6,1.9919120645404903e6
E,14460.630608937197,12395.453758416561,10844.594768728482,9656.402520229689,8725.55384982259,7978.364487626555,7364.172987356837,6846.566094289568,6401.16965866786,6009.954341376453,5660.320225111309,5344.116074781056,5054.455683830513,4786.443060586004,4537.363198796922,4304.700401068075,4086.0052505194353,3879.8098754667276,3685.350960597857,3501.7511136609032,3328.011533460153,3163.115841494031,3006.6529384548185,2858.2955640562127,2717.639689604978,2584.221106815956,2457.5154278120604,2336.9814716979968,2222.3808635244145,2113.5144381432883,2010.145512887491,1912.0145767524048,1818.839290395918,1730.3144861384253,1646.1121679628352,1565.9045286903597,1489.5398980867635,1416.9252019003002,1347.9445382263789,1282.4612491758112,1220.3179208748038,1161.3363834649647,1105.3177111033003,1052.0422219622112,1001.2694782295042,952.7761317063862,906.6372092640244,862.7809423000747,821.0848753086763,1214.2630852459783,1524.9503637751393,1796.1596205490744,2052.3335092240804,2310.5064855095097,2580.026221492653,2869.2009684643504,3184.7020056184824,3530.4683735971043,3911.269093764119,4332.377921825308,4798.092864312547,5313.095756254214,5882.989281187584,6514.286969692452,7213.706756053279,7988.024180965114,8845.079795265337,9793.783592404458,10844.11500844612,12007.169452841888,13295.108395857049,14720.106676894786,16296.021682495826,18038.71758195809,19966.06532733648,22097.942653443057,24456.600360803444,27066.114583836024,29948.04644291538,33127.70694752225,36634.98738568671,40504.35932398812,44774.87460755475,49490.91925285099,54698.44044707173,60429.11179460339,66722.27861120453,73628.38783200228,81208.98801149114,89536.72932353485,98695.53215968587,108751.94649602573,119736.65592654962,131698.38291715455,144709.03768152284,158863.7181811225,174280.71012520714,191067.61153822724,209226.67256304447,228763.0153632991,249717.62972878478,272167.36878284474,296224.8969676326,321948.38510196004,349211.9907537371,377906.1807431985,407966.7035995712,439374.5895610759,472121.04389300325,505935.9898111351,540468.805488541,575432.5859129925,610602.7880008039,645773.9890250309,680446.6226889191,714062.1413552344,746171.1304539319,776431.6278446869,804469.3448148994,829670.6540565615,851544.0298669478,869770.2038236784,884160.1415663947,894372.4804544216,900134.9101646692,901380.7190697191,898225.8919198305,890724.1487117955,878965.9082805256,863208.2797609868,843854.2458031113,821254.5279517205,795766.4281365463,767828.7400140323,737942.2378603391,706538.2498566615,674025.0078430235,640811.7788315096,607297.4722326801,573816.1195053858,540674.5091987062,508136.6919761936,476415.41106813826,445670.4589954722,416061.34800569946,387723.86294715764,360730.42721233185,335090.51827982033,310821.7835754186,287953.69423544075,266470.4885642383
Ia,9467.276191916524,10198.911267708603,10525.702579200282,10580.53381889478,10455.071912284773,10212.848919545828,9896.931472115377,9537.74713158737,9155.044682981536,8762.982043382102,8370.940125489284,7984.394459168667,7607.767497379685,7243.775519040676,6893.2531559885365,6556.929579339638,6235.547154747122,5929.035792550905,5636.7604996225045,5358.25147154105,5093.209830266889,4841.412534551779,4602.148658251217,4374.690941302791,4158.429431734036,3952.8557570836465,3757.5631244014517,3572.204815314542,3396.201582038106,3228.9923505863344,3070.084188828631,2919.0368855531933,2775.4629504670042,2639.027614195839,2509.448828284267,2386.4725171150358,2269.7114157698634,2158.7717686821825,2053.3015472135357,1952.9863472948139,1857.5493894262565,1766.7515186774551,1680.3912046873481,1598.304541664222,1520.365248385716,1446.4514128348692,1376.19688441096,1309.3787886012055,1245.8329028127973,1223.0222506643224,1260.8130341347326,1339.5169740267272,1449.0392253022565,1583.2711321079673,1740.2542845709793,1918.8590612266937,2119.108778504036,2342.7713056775992,2591.6084154178834,2867.565610930642,3173.561408161054,3512.882336065366,3888.974390396377,4305.451008542303,4766.555851755236,5277.271207141271,5843.002214730452,6469.649888286718,7163.611115307943,7931.7805524036685,8781.900513738186,9723.036363094505,10765.149986939517,11919.040547491102,13196.344482717948,14609.535506339706,16171.841023077772,17898.358407328342,19808.030625506806,21921.02630434469,24258.43664184415,26842.275407278077,29695.478941189667,32841.58967338766,36307.89777840734,40133.78929679636,44359.28671029273,49023.35278743697,54163.89058357142,59817.74344084125,66020.48010843038,72821.6919842233,80296.22669417658,88512.89009256025,97531.3339770767,107402.05608886156,118166.40011248332,129871.0477455347,142619.34838095855,156510.64406407624,171616.656883784,187981.4858504376,205621.61946717254,224565.49732695427,244922.10276450583,266766.07094957144,290113.6945285982,314922.9236247377,341109.39809254627,368680.8647877258,397641.8256153169,427904.5034294662,459288.58754848235,491544.9192264067,524528.9158023613,558077.6000687208,591919.3030863319,625674.5985214612,658948.1423478917,691472.7659845501,722915.1185922473,752854.3631506682,780812.9287209706,806469.1502366661,829535.4409501813,849679.1423914497,866539.1543511085,879908.8773247341,889677.5767966034,895728.0754575748,897949.3240181848,896372.8915859893,891120.3133434958,882320.7508968597,870120.6323753621,854764.5736860093,836542.1528964781,815745.1547104211,792673.0289129742,767660.2897110851,741032.2061577133,713108.6931942547,684209.7201586632,654655.1220222043,624706.0036451832,594590.734064184,564545.1259277903,534812.0687267527,505577.17167516827,476970.0210002298,449122.9938341436
Is,3850.578774199503,4148.312839849089,4281.6381217227445,4304.512518687934,4254.147750371472,4156.329004614444,4028.53209514518,3883.1042031932257,3728.0589480233143,3569.1431787942847,3410.166551521672,3253.354764041917,3100.507481401888,2952.7324846109213,2810.374187196109,2673.734316546396,2543.11988494558,2418.507897806848,2299.645879900971,2186.3479769947403,2078.4972392105688,1976.0070780251483,1878.5925421247434,1785.9614858325417,1697.8690728996476,1614.111415855224,1534.5255760064974,1458.972792302351,1387.2196639949184,1319.039315249267,1254.2324593995786,1192.6212219852737,1134.0491407510185,1078.3811656467203,1025.5036588275293,975.3143909818593,927.6565070027377,882.3695827044448,839.310253788333,798.3506136962523,759.3782136105474,722.2960624540627,687.0226268901371,653.491831322606,621.6530578958038,591.4573704496141,562.7545315425068,535.453555562956,509.48767074054837,500.18516696097583,515.6753860480142,547.9042416970693,592.742796999791,647.6928481019056,711.9541591511077,785.0654728327655,867.0372026765517,958.5935392379429,1060.4561957670871,1173.4220994284365,1298.6863550196542,1437.594743724905,1591.5583938235236,1762.0570402587427,1950.8283131708677,2159.912482640016,2391.5230270781544,2648.076369143889,2932.1918757424783,3246.692547701576,3594.7480998322417,3980.0717924566607,4406.74377406277,4879.186326404411,5402.1638645012645,5980.782936638907,6620.457531912829,7327.367726474437,8109.275077614975,8974.440852515407,9931.50076642675,10989.464982670137,12157.718112636621,13445.888629146233,14865.141260025517,16431.616607366534,18161.707698880527,20071.36072261915,22176.07502697415,24490.903120677816,27030.36212579424,29814.730659606023,32874.67122850406,36238.342283634265,39930.11667158249,43970.5816343747,48376.53880947704,53166.96994316621,58384.15245226529,64068.689272349686,70249.79685517782,76945.30388831433,84161.65649850838,91910.20155429552,100235.37147739204,109167.45008446304,118712.72586251199,128853.49196888112,139554.64595516934,150818.93298206563,162647.74182284024,175004.60804219215,187815.1154742505,200976.63285277702,214429.5195457549,228106.65489927036,241896.4853398546,255643.41457715322,269185.4813822148,282413.44067793427,295191.13725629816,307346.81356504164,318685.70597479976,329077.11517870816,338404.49271527823,346533.04692005215,353316.5456262399,358672.07375808514,362555.9636225462,364921.9724016898,365726.41628147283,364983.7840360539,362745.13647986593,359064.5715784802,354003.15653262695,347661.7411707939,340159.21389070246,331615.24861258874,322152.53500028135,311907.74389481836,301013.42520750646,289599.8833071528,277797.4027586937,265736.0774844614,253521.74370709131,241246.86746400406,229006.95731891243,216900.4135995416,205002.20822853938,193364.4466765671,182040.41661987096
R,20613.03740499422,22872.62800914548,25252.203400999533,27676.38526558346,30094.676732106524,32473.511789897962,34791.59527628683,37035.14324186762,39196.69478905854,41272.017037949,43259.612904051755,45160.194966376075,46974.95103774332,48705.945957596894,50356.23273222406,51928.77703071469,53426.387094540914,54852.22267049177,56209.64569665813,57501.787462403096,58731.54696040948,59901.65178678218,61015.0078341752,62074.40862516162,63082.47337178659,64041.65798342762,64954.25506679459,65822.42354722046,66648.37664156922,67434.20692071346,68181.88921793088,68893.29386112174,69570.18667280894,70214.22897013789,70826.97756487664,71409.90793597174,71964.52090443473,72492.22453352273,72994.35183764131,73472.16760713153,73926.86840826979,74359.58258326817,74771.3702502742,75163.22330337085,75536.06541257669,75890.7714631917,76228.31671832348,76549.55899623726,76855.28755324149,77149.29082232599,77444.48791006822,77752.58972342705,78081.48505183987,78437.69834958967,78826.3567922464,79252.67831589622,79721.86799334688,80238.9222862844,80809.46133520543,81439.68809993952,82136.10971111053,82905.92723146538,83757.22702289032,84698.98204504231,85741.01947951295,86894.01596070682,88169.95279030125,89582.20852788172,91145.5589909422,92876.22106446931,94792.23609571882,96913.10145659695,99260.7250344596,101859.64102934979,104737.0099539973,107922.61863381918,111449.12336407174,115353.02834956277,119673.16692583916,124453.27558889911,129742.39278825626,135594.85892693992,142070.3163614944,149234.10476627987,157158.6803135793,165919.1056832758,175599.7434776182,186295.50109954292,198111.83075267277,211164.7294413192,225581.17339266665,241496.50248861863,259048.92920506676,278393.5969320885,299704.30588622176,323173.5131104654,349012.33247427957,377445.0206298412,408690.09374862927,442983.1172839857,480585.3286225252,521783.6380574019,566890.6160136266,616223.8441448462,670076.4756667251,728759.3024302898,792606.2201869765,861974.2285886352,937233.5014877131,1.0186941317315567e6,1.1066441330220986e6,1.2013760763795415e6,1.3031862313478477e6,1.412360466900609e6,1.5290733424474557e6,1.653438981236651e6,1.7855460105030132e6,1.9254564526973167e6,2.0731565224740296e6,2.228470673356613e6,2.39116459816229e6,2.5609591706246887e6,2.7375166376709314e6,2.9203347461808543e6,3.1088195889562154e6,3.3023468453598623e6,3.5002560875279037e6,3.7017707949371636e6,3.906044946004566e6,4.1122424278688254e6,4.3195344701672625e6,4.52704317849062e6,4.73388490595601e6,4.939230297372902e6,5.142301504632955e6,5.3423374097617e6,5.538629716706561e6,5.730547535556858e6,5.9175342084224345e6,6.099092107098159e6,6.274809199205716e6,6.444343664101807e6,6.607419174438458e6,6.763821171558319e6,6.913428989684787e6,7.056188663621656e6,7.192078079881529e6,7.321107122240244e6,7.443352669639026e6,7.558948339096157e6,7.668043024756273e6
Ihsub,263.65044382760584,292.2336440073238,320.88772986552635,347.79991058497205,371.93192870381864,392.75069108310464,410.0731761985331,423.9083650294363,434.4218068359046,441.8356386782081,446.4160338804323,448.46016667107637,448.2428911624777,446.0332828738342,442.1008706538032,436.6860745244825,429.999654116439,422.2418002374194,413.59733428334664,404.22867126450035,394.27682875437927,383.86424565597684,373.10647490001065,362.10182017099373,350.9368143404866,339.68706920381356,328.41727548006156,317.182820785182,306.03521828628544,295.01249442790345,284.1474915354655,273.4690758074214,263.0021373152392,252.7675900034058,242.782371689429,233.06035291254983,223.61264560781817,214.4428908963783,205.55336644554615,196.94551263324334,188.61993254799722,180.57639198894086,172.8138194658131,165.33030619895823,158.12310611932674,151.188460066792,144.52017368833236,138.1119104522671,131.95723680204995,126.12555609186936,120.89723796143109,116.49832786283763,113.03699659966631,110.58034096427897,109.15215116333975,108.77846480712576,109.48324467478909,111.28075131668346,114.1999251691551,118.28206183391339,123.57091104032911,130.12239425502582,138.0082570446056,147.3160118596759,158.14490773027381,170.60564476429283,184.82854352085602,200.96402503479771,219.18261081666472,239.67552049365736,262.6579403618065,288.36125005093635,317.04895632581827,349.0200518458339,384.60901516497114,424.18581073182787,468.15988440636875,516.9871381011167,571.1358417980412,631.1397816400043,697.6058520510861,771.2140557365842,852.7175036830048,942.9496616144531,1042.8202733357475,1153.2001311691213,1275.087439959127,1409.6356013234426,1558.1532136528429,1722.1040721112379,1903.1120499256588,2102.8005717439114,2322.6557011537434,2564.416480203974,2830.1157160386924,3122.0799808972597,3442.9296121143166,3795.3613155708003,4181.508787277629,4603.686130607036,5064.629971705731,5567.499447498647,6115.875827239137,6713.109423710703,7361.3612082123,8063.005300877044,8820.830669488672,9638.041129481546,10517.973445572185,11461.877372056746,12470.162519357758,13543.462472191237,14682.622048790461,15888.308931154928,17158.02760526856,18487.84640000468,19873.855630989405,21312.1543577528,22797.42218169925,24320.331836396785,25871.14309546495,27440.338846941373,29018.191712111995,30591.4199751216,32145.669014050975,33667.596212581215,35144.66733642616,36562.39512215936,37905.84131675603,39162.00607448612,40319.68006396999,41367.31364189922,42294.275806515674,43092.37794266387,43755.68930309063,44279.142246762785,44659.50287819995,44895.65618669324,44988.429051674546,44939.970455480005,44754.547717020585,44437.532763745054,43995.180901670945,43434.5426009818,42764.61925431127,41995.21064746598,41135.67556473296,40194.938401039966,39182.85517550546,38109.891486220324,36985.69122286539
Ihcrit,166.22072618540426,184.24316033937163,202.32013738876114,219.31470292765863,234.57480716549216,247.76441073011395,258.7664373027847,267.5838612082698,274.31771560018007,279.10461100553346,282.1089790444997,283.5149514351002,283.4930910084387,282.21071826413987,279.8357505857597,276.5182427266455,272.39003705213867,267.5765885454615,262.19396956428767,256.3443978187066,250.11684884765359,243.58878548158293,236.83340553789114,229.91326634369656,222.88353384000564,215.79249908355413,208.68157824680702,201.58631095950668,194.53980216598694,187.56682896616886,180.6888386684437,173.92468609404912,167.29063357706943,160.800350964435,154.46491561592322,148.29341624855437,142.2933525327344,136.4675100850591,130.81774787832947,125.34533489497221,120.05095012704061,114.9346825762138,109.99603125379747,105.23390518072317,100.64662338754898,96.23184195530052,91.98595243006568,87.9051010952148,83.98530049900063,80.27069008434202,76.93930824710773,74.13464002621504,71.9252936439696,70.35375464348286,69.4349794998392,69.18532423903089,69.61980512426624,70.74725537132443,72.58581020577681,75.16143204274815,78.50161691989085,82.64156374746422,87.62649470986199,93.51161878694938,100.35956246683425,108.24018465711838,117.23575933561838,127.44127636304127,138.96444148298465,151.92605450297697,166.4620643642433,182.71863210940404,200.86223371446158,221.0817883074307,243.58865816833583,268.61664872921364,296.424537438187,327.3004420824692,361.5402112673996,399.48112911078437,441.5067263011959,488.046780097974,539.5773143312201,596.6251846514972,659.765373989017,729.5479769456786,806.6036818312983,891.6613739526703,985.548135613549,1089.1892461146724,1203.6112537324489,1329.8400041831133,1468.8140005396513,1621.6317995502236,1789.5778381051732,1974.1224332370232,2176.9217821204875,2399.6800526215216,2643.744069796248,2910.5746101756,3201.8997675627484,3519.7149453023576,3866.2826163849213,4243.71839622069,4653.383686301486,5096.774525517135,5575.649394627577,6092.029216262929,6648.018782518288,7244.400368909498,7881.423822228636,8559.480978696622,9279.09760526028,10040.687507746485,10842.66162120466,11682.522129256093,12557.786552949234,13465.979396089868,14403.728127851662,15365.125479010925,16344.005530164071,17334.346719336743,18329.99751044818,19322.560221432574,20302.96214296683,21262.774755851755,22194.084772363447,23087.747009619186,23934.335129673687,24725.651559716935,25454.633670194537,26114.006356091333,26697.078066705944,27198.701570889978,27615.156995487116,27943.27097694176,28181.029537564016,28327.755314960115,28383.99551679412,28351.131713232924,28231.882765959734,28029.661529947,27748.434857994896,27392.668979728733,26968.0610347564,26480.80878670108,25936.828148666526,25341.757376764963,24701.820913069554,24023.62605571434,23313.258848993828
D,78.99999999999986,87.75816044047431,97.42485230631274,107.97195477194414,119.32722707203106,131.39494392329217,144.0671642798052,157.235142067245,170.7909850123566,184.63424581161846,198.67198113281302,212.818701520684,226.99926327737353,241.14695921722034,255.20249661235658,269.1147500958603,282.84040311699914,296.3420710593071,309.5886043769344,322.5539419408981,335.216798433488,347.56027610751516,359.57098154763594,371.2399394511752,382.56047744957203,393.5280537114379,404.1402569425566,414.39653590121617,424.29795524362805,433.84880360289503,443.05408366648976,451.91924349508633,460.4501765225607,468.65322155599097,476.53516277565603,484.10311380038263,491.3652021059735,498.33119228649525,505.01070136727117,511.41308357260885,517.5474303258006,523.4225702491225,529.0470691638345,534.4292300901815,539.5770932473923,544.4986408710007,549.20338870417,553.6999866018025,557.9965850190665,562.1015593930798,566.0300710208561,569.8044992279284,573.4534650934155,577.0075089089125,580.4995157802861,583.9623867104114,587.4295529119321,590.935783633477,594.5162199376681,598.2067680012862,602.0449559716412,606.0700031278074,610.3231973942516,614.8479230972365,619.690644904171,624.9009548721932,630.5326311257545,636.6442166110194,643.2990190958703,650.5652713138134,658.5181287207154,667.2391530052158,676.818910544224,687.3576347542551,698.9652260914344,711.761252051493,725.8756275618523,741.4541114682838,758.656823904836,777.6621598868153,798.6675902483512,821.8896616423966,847.5639965407222,875.9461698271491,907.3239707826697,942.0172709966215,980.3796313950086,1022.79955748484,1069.7004993541213,1121.5408516718653,1178.815841797279,1242.0857973601164,1311.97501665403,1389.1626383365267,1474.3836766998736,1568.4290216710958,1672.1454388119832,1786.458475852228,1912.4195056077338,2051.157392613568,2203.8719051556113,2371.833726275849,2556.3844686196726,2758.973883306359,2981.221684418856,3224.818872980671,3491.508693330048,3783.0866331199763,4101.408638788915,4448.494909497214,4826.4470734704955,5237.331605052126,5683.176959050232,6165.981905988637,6687.838144497786,7250.801427245804,7856.720114283017,8507.230563239358,9203.80943175197,9947.893199112557,10740.586816588195,11582.579126571609,12474.167707098462,13415.455602877624,14406.16339152064,15445.471417643768,16532.03769741691,17664.219094403794,18839.977081590896,20056.76643739376,21311.560349892454,22601.062451712427,23921.660365005537,25269.425095061975,26640.145419854256,28029.48438782885,29432.96272829386,30846.058842496932,32264.237838252768,33683.02389777959,35097.963215112766,36504.80905787558,37899.552182148145,39278.41972316176,40637.77335453981,41974.2461627291,43284.84970932016,44566.97315723616,45818.23917670904,47036.5220006972,48220.06161312456
Htot,429.87117001301004,476.4768043466954,523.2078672542876,567.1146135126306,606.5067358693107,640.5151018132188,668.8396135013179,691.4922262377062,708.7395224360846,720.9402496837416,728.5250129249321,731.9751181061764,731.7359821709164,728.244001137974,721.9366212395629,713.204317251128,702.3896911685777,689.8183887828807,675.7913038476343,660.5730690832067,644.3936776020328,627.4530311375601,609.9398804379017,592.0150865146904,573.8203481804926,555.4795682873676,537.0988537268688,518.7691317446886,500.57502045227227,482.57932339407205,464.8363302039093,447.39376190147067,430.29277089230857,413.5679409678408,397.24728730535224,381.3537691611041,365.9059981405525,350.91040098143736,336.37111432387576,322.29084752821575,308.67088267503783,295.5110745651546,282.80985071961067,270.5642113796814,258.76972950687576,247.42030202209256,236.50612611839804,226.0170115474819,215.94253730105063,206.39624617621138,197.83654620853883,190.63296788905265,184.96229024363586,180.9340956077618,178.58713066317898,177.96378904615668,179.10304979905533,182.02800668800788,186.78573537493187,193.44349387666162,202.07252796021996,212.76395800249003,225.63475175446752,240.82763064662527,258.50447019710805,278.8458294214112,302.0643028564745,328.4053013978388,358.1470522996493,391.6015749966342,429.12000472604973,471.0798821603403,517.9111900402798,570.1018401532644,628.1976733333072,692.8024594610417,764.5844218445559,844.2875801835858,932.6760530654407,1030.620910750789,1139.1125783522818,1259.2608358345587,1392.2948180142248,1539.5748462659499,1702.5856473247645,1882.748108114799,2081.6911217904258,2301.2969752761123,2543.7013492663914,2811.2933182259108,3106.7233036581083,3432.6405759270256,3791.469701693395,4186.048279754196,4619.693554143866,5096.202414134284,5619.851394234803,6195.04136819232,6825.252857073879,7514.260740782637,8266.52973926848,9087.214392801001,9982.15844362406,10956.827819931395,12014.744894513786,13159.77982639418,14396.480064116247,15730.070345744472,17165.992228090472,18706.27774096624,20351.586341586397,22102.94345088785,23961.719654050736,25928.996438901406,28000.68922647322,30170.36852926078,32431.642183938642,34778.13375384266,37201.15030955093,39685.4573154077,42215.14862562904,44774.68556627811,47348.189222560184,49913.9801965542,52448.631157017815,54930.37096843298,57338.75210878958,59650.14213177853,61840.176446429694,63887.65763420304,65774.31373416452,67481.31999799053,68991.35387322165,70291.07951355384,71370.84629857776,72222.41322370456,72840.53241576398,73223.41150165339,73372.42456846866,73291.10216871295,72986.43048298031,72467.19429369204,71743.61575966582,70827.21158071053,69732.68028906768,68476.01943416706,67072.50371339949,65536.69577780491,63884.676088575005,62133.517541934656,60298.95007185921
Dperday,8.758160440474512,9.666691865838388,10.547102465631392,11.355272300086927,12.06771685126117,12.672220356512991,13.167977787439819,13.555842945111543,13.843260799261879,14.037735321194582,14.146720387870962,14.180561756689523,14.14769593984689,14.055537395136227,13.91225348350377,13.725653021138783,13.501667942307968,13.246533317627348,12.965337563963521,12.662856492590016,12.343477674027103,12.010705440120805,11.668957903539292,11.320537998396889,10.967576261865847,10.612203231118583,10.256278958659538,9.901419342411955,9.550848359267066,9.205280063594676,8.865159828596514,8.530933027474392,8.203045033430227,7.881941219665146,7.567951024726629,7.262088305590951,6.965990180521645,6.679509080775859,6.4023822053378385,6.134346753191759,5.875139923321747,5.6244989147120465,5.382160926347112,5.147863157210631,4.921547623608259,4.704747833169597,4.496597897632408,4.296598417264099,4.104974374013195,3.928511627776079,3.7744282070725106,3.648965865487301,3.5540438154968697,3.492006871373713,3.462870930124786,3.4671662015211178,3.506230721544791,3.5804363041911205,3.6905480636179386,3.8381879703554125,4.025047156165657,4.2531942664444315,4.524725702984946,4.8427218069342866,5.21030996802266,5.6316762535610225,6.111585485264999,6.654802484850593,7.266252217943291,7.952857406902033,8.721024284500572,9.579757539007636,10.538724210031528,11.60759133717913,12.796025960058705,14.11437551035945,15.578483906431574,17.202712436551874,19.005335981979382,21.00543036153611,23.222071394045173,25.674334898325725,28.38217328642706,31.377800955520435,34.69330021395159,38.3623603983873,42.419926089831364,46.900941869281276,51.840352317744085,57.274990125413765,63.269955562837715,69.88921929391323,77.18762168249675,85.22103836334651,94.0453449712227,103.7164171408871,114.31303704024454,125.96102975550646,138.73788700583358,152.7145125420449,167.96182112023672,184.5507423438221,202.58941468668664,222.24780111249754,243.59718856181595,266.6898203493769,291.5779397899284,318.3220056689379,347.08627070830187,377.9521639732782,410.8845315816314,445.84535399810676,482.804946938405,521.8562385091476,562.9632827480194,605.9186870372137,650.5104489563378,696.5788685126159,744.0837673605846,792.69361747564,841.9923099834116,891.5885805268528,941.2878957791642,990.7077886430118,1039.3080261231332,1086.5662797731386,1132.1813969868872,1175.7579871870992,1216.7893558028584,1254.7939124986938,1289.5021018199777,1320.5979132931081,1347.7647300564468,1370.7203247922791,1389.3389679746003,1403.478340464997,1413.0961142030756,1418.1789957558362,1418.7860595268187,1414.9393173331862,1406.8458427628132,1394.7431242725477,1378.867541013615,1359.3536313780644,1336.472808189288,1310.6035465910563,1282.1234479160203,1251.2660194728583,1218.2828239881514,1183.539612427391,0.0
