FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",18824.477041061335,18823.94306124602,18823.37640447004,18822.791657813876,18822.198625918027,18821.60398343909,18821.012188771645,18820.426416976803,18819.848736927393,18819.28068827574,18818.72334067514,18818.177369777906,18817.643356261975,18817.121697831557,18816.612590015437,18816.11619828403,18815.632664010325,18815.162022481567,18814.704234559627,18814.2592490103,18813.82700138879,18813.40740719571,18813.000319510335,18812.60556813474,18812.222975443863,18811.852355474115,18811.49351392338,18811.146247488734,18810.810327734915,18810.485505534416,18810.171531628217,18809.868157547535,18809.575135613828,18809.292218938786,18809.01916142434,18808.755719486315,18808.5016383748,18808.25664036746,18808.020454355337,18807.792817732756,18807.573476397294,18807.36218474984,18807.15870569452,18806.96281063875,18806.77427949323,18806.59289423027,18806.41839102985,18806.25053654404,18806.089111963713,18805.460475797903,18804.816657142095,18804.12790967011,18803.373814260958,18802.536854724705,18801.60257793581,18800.555779363516,18799.380794051332,18798.061966764497,18796.58150498451,18794.919572821178,18793.054914945857,18790.963769305068,18788.619328257766,18785.9917310458,18783.047956503393,18779.751779188136,18776.062340209453,18771.93379294264,18767.315303028867,18762.150892318234,18756.37791814405,18749.928163495373,18742.724661426186,18734.680958732744,18725.70111595359,18715.679707369538,18704.500983547852,18692.034931528968,18678.142014540706,18662.665060681295,18645.427958237564,18626.235655684926,18604.8741616874,18581.109271903635,18554.680844712922,18525.3163765054,18492.711427098737,18456.525819753762,18416.383641174474,18371.873241508056,18322.546155123924,18267.925839351472,18207.523309748296,18140.798930027813,18067.15779668264,17985.949738984673,17896.469318985033,17797.980571513603,17689.77850364302,17571.122726997586,17441.22097893941,17299.22912956463,17144.251253076396,16975.425499342586,16792.026550313138,16593.341119434182,16378.665672205438,16147.306426180245,15898.618221871013,15632.275687556743,15348.139431398038,15046.183317321214,14726.499044521728,14389.341578276142,14035.453647846398,13665.872572150869,13281.797778405029,12884.593849050787,12475.90992580291,12057.871354610801,11632.7129128351,11202.711777694387,10770.211682739584,10337.80560294012,9908.088362267037,9483.468754048496,9066.17832290046,8658.404973780322,8262.157565372268,7879.110433456522,7510.61281416365,7157.819052605245,6821.622513322386,6502.599396012682,6201.0262848464245,5916.998124397053,5650.406775583619,5400.956095812724,5168.1768465618925,4951.502710270951,4750.264785646463,4563.740300538896,4391.164922748531,4231.749035545888,4084.6787817239265,3949.1395905770314,3824.3568588524604,3709.595907608913,3604.131219938055,3507.257159044415,3418.320921511086
13003,"Atkinson County, Georgia",8375.477041061331,8375.066642550679,8374.631989230125,8374.184912799958,8373.733346607367,8373.282646414065,8372.836332142584,8372.396845224855,8371.965704583232,8371.543981295996,8371.132354631442,8370.731179428289,8370.3407371875,8369.961166428971,8369.592446568047,8369.234544958832,8368.887423133026,8368.550966453186,8368.225009623122,8367.909390553656,8367.603949557446,8367.308522632102,8367.022902270732,8366.74687313941,8366.480222392367,8366.222738573088,8365.974211614304,8365.734431217348,8365.503170720727,8365.280197337457,8365.065282439893,8364.858201445637,8364.658733817525,8364.466663063637,8364.2817767373,8364.103866803647,8363.932719378943,8363.768111157495,8363.609825292879,8363.457652269222,8363.311389901191,8363.17084333399,8363.035825043375,8362.906154835639,8362.781659847615,8362.662170441723,8362.547489606706,8362.43744123606,8362.331859907172,8361.921821617168,8361.503579177584,8361.058353425755,8360.573386457869,8360.037893349157,8359.443155550138,8358.780108351146,8358.0395277929,8357.212346704735,8356.288308886076,8355.256039047006,8354.103468296238,8352.817188498331,8351.382140948483,8349.781613444175,8347.99724554836,8346.009023616134,8343.794504797492,8341.32864383979,8338.58379308776,8335.529624647319,8332.13241744233,8328.355681785035,8324.158526668125,8319.495284204611,8314.31550962783,8308.563981291443,8302.18029523621,8295.097190212146,8287.243092586024,8278.537928248872,8268.89246525089,8258.208313801477,8246.377926269206,8233.284019294,8218.797870112854,8202.786416834357,8185.1020450865335,8165.580713760944,8144.0419550126735,8120.288874260341,8094.107914754273,8065.276991601357,8033.572244606218,7998.748444937118,7960.536960024746,7918.645753562221,7872.759385505096,7822.554837775743,7767.73571565754,7707.994587013206,7643.00620508256,7572.427515016225,7495.897692821192,7413.083814410381,7323.73234761439,7227.602502010926,7124.465704697212,7014.105600289973,6896.336457738138,6771.130749959085,6638.549400761332,6498.7038279902745,6351.758028796801,6197.948057415001,6037.720448317054,5871.639272879356,5700.323061113663,5524.4459513593665,5344.785938219997,5162.297687367169,4977.956362643663,4792.729424905601,4607.586900966052,4423.574173100321,4241.712281672338,4062.9279759951,3888.0581069591576,3717.905951546952,3553.1905952565353,3394.4946937622913,3242.2693599321537,3096.8862241718243,2958.61496198492,2827.6084489565255,2703.9099954627804,2587.495821928613,2478.26870655943,2376.0676391189104,2280.673426815408,2191.8329526803614,2109.2568578287155,2032.6409816862972,1961.671036258392,1896.026578396733,1835.3768842339994,1779.3938648733053,1727.7672351137487,1680.2044623411282,1636.4164707793489,1596.1215971625563,1559.0597747368092
13005,"Bacon County, Georgia",11330.477041061331,11330.070851364782,11329.64069106627,11329.198301149283,11328.751554778675,11328.305765812058,11327.86442423375,11327.42994702495,11327.003833532388,11326.587136549415,11326.18051843819,11325.784318317015,11325.398801980184,11325.024093001835,11324.660156432885,11324.306945957647,11323.964410389974,11323.63242327366,11323.31080774396,11322.999391491405,11322.698006126948,11322.406480399244,11322.12459979447,11321.852142359758,11321.588890091383,11321.334627871203,11321.089143466681,11320.85222574466,11320.623646755112,11320.403172570257,11320.190574487791,11319.98562890473,11319.788117317401,11319.597826321446,11319.41454761182,11319.238078058039,11319.068207089056,11318.90471435699,11318.747386641702,11318.596018698625,11318.45041325874,11318.310381028587,11318.175740690265,11318.046318901434,11317.921950295306,11317.80247267863,11317.687691218438,11317.57743479789,11317.47154398412,11317.059789671837,11316.638984342757,11316.189933582062,11315.699507077707,11315.156499050452,11314.551726686012,11313.875567336618,11313.11814561289,11312.269641404582,11311.318906314003,11310.25352654468,11309.060234897275,11307.724219766518,11306.228784496334,11304.555343032558,11302.683371811676,11300.590386200885,11298.251052150994,11295.636971893673,11292.716683941446,11289.455568201705,11285.814930926526,11281.752681271279,11277.221386554345,11272.167822552501,11266.532973500918,11260.252032093153,11253.253891952143,11245.458801297233,11236.781278034841,11227.12514580816,11216.382738647188,11204.434900968701,11191.15098757629,11176.388098835703,11159.987798025266,11141.784428793,11121.593123622404,11099.207494994462,11074.399635387657,11046.920117277963,11016.49738898119,10982.843751649618,10945.664698507253,10904.6355672863,10859.398777582586,10809.563830855603,10754.707310428477,10694.388552459948,10628.187726399574,10555.664643527214,10476.348971207595,10389.740237676915,10295.307876095343,10192.544034113262,10081.026096067539,9960.340041462132,9830.079153471886,9689.844018942495,9539.26604053882,9378.17133618216,9206.498652992022,9024.254710243478,8831.516952888627,8628.46066319632,8415.552483075919,8193.433230510718,7962.837653004466,7724.596216215448,7479.705790995819,7229.442199633766,6975.1415655306,6718.160425885072,6459.890134947495,6201.864800605218,5945.614915001884,5692.55736499067,5444.000804161124,5201.225218530922,4965.402578230494,4737.506963402917,4518.320358907291,4308.509533732322,4108.587705130538,3918.8828711787296,3739.5482110714634,3570.630658980171,3412.058607878756,3263.6515807122328,3125.1289561353688,2996.153440859469,2876.327714901108,2765.223759137735,2662.3900856269825,2567.360776045233,2479.6549655604445,2398.791693201733,2324.313800425171,2255.787897568361,2192.785654237475,2134.8901251483708,2081.7155755988415
13007,"Baker County, Georgia",2570.007668986577,2560.262878442021,2550.109097642346,2539.9223173407827,2529.9484803537357,2520.344039881342,2511.200732065978,2502.5702292075985,2494.471506487181,2486.90690739625,2479.865285525121,2473.3251094465822,2467.263481241427,2461.6542984480857,2456.4676425255175,2451.675426898216,2447.2518175887885,2443.1704198431544,2439.404895090604,2435.9312670146883,2432.727933207935,2429.7752681838074,2427.05341379144,2424.5439617307406,2422.2301075323694,2420.0965699968506,2418.1295911945726,2416.3166909094693,2414.6453136854143,2413.1042338331404,2411.6831466686554,2410.372536706299,2409.1636776587407,2408.0486324369826,2407.0202531503564,2406.0719571433683,2405.1970176289287,2404.3897458350675,2403.644895996248,2402.9575787237545,2402.3232610056875,2401.737766206971,2401.1972740693473,2400.6983207113763,2400.2377986284396,2399.8128867492396,2399.420504261903,2399.058054049776,2398.7232299217917,2397.4773624097493,2396.2823668837414,2395.1019459532527,2393.9133741555306,2392.700377550265,2391.4528490302487,2390.162214537936,2388.8215792995334,2387.4263485584,2385.9716298147014,2384.4523390619197,2382.864316633442,2381.2033009494353,2379.4643974897813,2377.6420860233357,2375.7308679074645,2373.7253137474477,2371.6193105758134,2369.4061112175577,2367.078334290142,2364.6279640802354,2362.0465582465085,2359.325316249891,2356.454518378442,2353.423463460554,2350.2204688649535,2346.832870500698,2343.2469676700416,2339.4481252126516,2335.4212475514023,2331.1496283629212,2326.614814104678,2321.7966040149777,2316.6730501129705,2311.22038230382,2305.413477212283,2299.2272161812484,2292.6338478288317,2285.6026124448563,2278.099741990848,2270.0884601000416,2261.529048666908,2252.3818950477057,2242.6080124268155,2232.164489119709,2221.004157726044,2209.075595129664,2196.3231224985984,2182.6905192101435,2168.1281293105912,2152.583850523566,2136.0018407794046,2118.3225199675453,2099.482577278104,2079.4235977052867,2058.101226599313,2035.4715836113105,2011.49102074603,1986.1161223618449,1959.3069752900599,1931.0494452947758,1901.3421811846504,1870.1899523771915,1837.6040296306955,1803.6057823830242,1768.2514386299363,1731.616208758798,1693.7845828597099,1654.8506109120356,1614.9276194922359,1574.1629376102555,1532.7117721092413,1490.7332779115538,1448.3927303719645,1405.8770250753623,1363.3771268257956,1321.0756215185768,1279.1475070701117,1237.770661261524,1197.115868040777,1157.3350334705322,1118.5617311002281,1080.9193828979894,1044.5153602760238,1009.4353258159933,975.7441456433864,943.4925828371628,912.7146462476239,883.4275894438094,855.6328076481442,829.3203587678579,804.467890638296,781.0445953541345,759.012115067671,738.3258242888921,718.934115323303,700.781318228878,683.8117583577305,667.9697530094877,653.1968879342338,639.4335293378246,626.6224167068679
13009,"Baldwin County, Georgia",45548.47704106133,45546.90711034367,45545.23638665408,45543.50434857777,45541.73769263036,45539.95491430983,45538.168768048585,45536.388778436805,45534.62163794928,45532.872718346865,45531.14617772593,45529.44512830831,45527.77238465905,45526.130215659476,45524.52029956586,45522.94413606679,45521.4030524978,45519.89801297529,45518.42970795774,45516.99869705807,45515.60540517314,45514.25011320697,45512.9328849986,45511.65364333138,45510.412229379544,45509.20840291804,45508.04184232259,45506.91215174135,45505.81884818668,45504.7613202977,45503.73892884463,45502.7510158483,45501.79690458027,45500.875899562605,45499.98728656811,45499.130345452024,45498.304315986374,45497.50831987451,45496.74149283398,45496.002994348724,45495.29200766903,45494.607739811545,45493.949421559286,45493.3163074616,45492.70767583424,45492.122806398176,45491.56081398009,45491.02091467687,45490.50237236403,45488.48618901329,45486.426356134885,45484.22957306165,45481.83232286643,45479.18072475378,45476.231011390024,45472.937535012294,45469.25369581063,45465.133492203895,45460.52481657327,45455.3697916712,45449.60684680521,45443.167456067815,45435.97455702427,45427.942533935784,45418.97715135973,45408.975494388455,45397.82195354723,45385.387301460054,45371.52869284971,45356.08925145406,45338.894204142736,45319.75404788922,45298.45597105675,45274.761875126154,45248.40837469566,45219.10679748109,45186.54100900776,45150.35800074838,45110.18110570917,45065.58802271497,45016.10733732264,44961.21852182115,44900.35193523157,44832.88565115007,44758.134441337956,44675.38709839691,44583.85294033936,44482.65180630688,44370.81405657015,44247.280572528995,44110.9010103813,43960.47111540575,43794.77077466654,43612.46060266213,43412.070663659906,43192.00047169609,42950.51899057584,42685.84396964446,42396.31972336512,42080.22345771668,41735.72703663987,41360.897012406065,40953.694829838365,40512.217587476945,40034.97358696166,39520.53271270957,38967.52307246814,38374.63099731525,37740.70108353087,37065.43051739114,36348.99911012051,35591.86838340473,34794.79303730493,33958.929116508596,33086.60382341558,32180.811886258205,31244.872718714956,30282.436985272627,29297.756398376685,28296.096481808447,27282.86721782708,26263.464808142933,25243.32805132924,24228.343597194867,23224.28532629669,22236.41398985797,21269.500673996605,20328.137957572617,19416.451539974703,18537.797616725195,17694.78928672751,16889.5892519025,16123.780660944241,15398.278829769652,14713.37199774717,14068.965046662655,13464.542946604892,12899.223632254982,12371.789982672815,11880.831485839699,11424.731915289147,11001.788781482039,10610.239859561767,10248.287207635356,9914.077747498222,9605.773017815905,9321.634580513684,9060.023756665416,8819.322938351032,8597.95774185963,8394.475344650691
13011,"Banks County, Georgia",19220.477041061335,19219.845585287327,19219.174973570316,19218.482079529498,19217.7782574525,19217.071267162588,19216.366330800145,19215.66721186157,19214.976411801617,19214.295832944586,19213.626841432888,19212.97035126783,19212.32716380378,19211.697864770576,19211.082803049856,19210.48228347473,19209.896572472222,19209.325806746685,19208.77003074934,19208.229264735477,19207.703503218192,19207.19270802698,19206.696764780045,19206.215524927422,19205.748824292383,19205.2964822312,19204.858301633096,19204.434069132574,19204.023541290237,19203.62644432648,19203.242500624823,19202.871430384883,19202.512951622422,19202.166780169307,19201.832629673532,19201.510214485086,19201.199236750224,19200.89936827794,19200.610287175758,19200.331680380023,19200.063243655914,19199.80468159745,19199.555707627485,19199.3160439977,19199.085421788608,19198.863574012965,19198.65018438067,19198.444969251635,19198.247660874233,19197.479510763224,19196.693193785646,19195.852546646343,19194.93280298354,19193.912782659794,19192.77508574651,19191.501453330537,19190.07312483145,19188.471420525602,19186.675137773796,19184.660671695463,19182.40278981988,19179.87333381677,19177.040581341655,19173.869237874216,19170.320345298893,19166.35124491035,19161.913913595377,19156.954560777303,19151.413628415954,19145.225612749407,19138.317361017278,19130.609391259488,19122.012244791527,19112.425640100213,19101.73847284371,19089.82881585153,19076.56297556365,19061.791274682135,19045.353664656763,19027.07036846809,19006.740387647278,18984.141502276136,18959.030270987103,18931.14063770482,18900.178647612698,18865.838441056887,18827.77948875302,18785.622276392492,18738.948304642487,18687.30008914592,18630.180296736045,18567.066466353484,18497.428012522218,18420.682007085663,18336.18822771909,18243.249157929615,18141.1099870562,18028.992047039384,17906.16904969963,17771.885088866617,17625.337877261878,17465.678758896283,17292.01279748187,17103.503145698156,16899.491453160026,16679.347353250938,16442.467056416106,16188.273350162506,15916.25945205468,15626.293961898367,15318.459962345876,14992.967075028997,14650.15647884787,14290.54833352052,13915.180344335922,13525.38605540452,13122.64254867317,12708.573248728497,12285.065281289479,11854.449128143522,11419.114208085353,10981.437928678328,10543.810086882857,10108.808164781902,9678.950584459528,9256.520685151661,8843.577097739839,8442.090675203803,8053.819010461625,7680.1765959881795,7322.246920343367,6980.913064365531,6656.803175752397,6350.255135863383,6061.334925540697,5789.944718397381,5535.808277159834,5298.495658161632,5077.437298398398,4871.985547274463,4681.409738255045,4504.94782188178,4341.817831590644,4191.227616233243,4052.365957178449,3924.4323502590364,3806.6727658859486,3698.379525680626,3598.856996329586,3507.430366781665,3423.47885676228
13013,"Barrow County, Georgia",81133.00766898657,81119.84312213809,81106.0287153556,81092.03617435579,81078.17888970979,81064.66177046859,81051.61091542429,81039.10389114454,81027.17774145404,81015.84887494624,81005.1164706582,80994.96600595684,80985.38053483712,80976.33817764837,80967.81138032951,80959.7739319048,80952.20143862483,80945.06793502571,80938.34683300031,80932.01367440897,80926.0461290977,80920.42355412149,80915.12461838519,80910.1293047029,80905.41907294875,80900.97676871471,80896.78662331057,80892.83401674368,80889.10421980638,80885.58381559612,80882.26027737359,80879.12183859877,80876.15749293104,80873.3569942291,80870.71085655097,80868.21017190392,80865.84607908444,80863.61072904142,80861.49673813256,80859.49711461135,80857.60525862736,80855.81496222594,80854.1204093485,80852.51617583241,80850.9972294109,80849.55888147243,80848.19640049918,80846.90550119357,80845.68221176631,80840.9955646996,80836.30477691247,80831.42027437947,80826.2156362039,80820.58752437159,80814.45605506454,80807.7404050743,80800.36042108193,80792.2397934672,80783.29238970239,80773.422899525,80762.53144335716,80750.50719116563,80737.22522578765,80722.54652544676,80706.31864106061,80688.37558031664,80668.5305661735,80646.57465390163,80622.27673108317,80595.38286643078,80565.61033861183,80532.65241173639,80496.1641999982,80455.7594928349,80411.01075492825,80361.44912620398,80306.56086565851,80245.77160759654,80178.46733099072,80103.95860449756,80021.47492687839,79930.16472699936,79829.09536383144,79717.2478252126,79593.49620243095,79456.667533163,79305.45522826523,79138.40268734223,78953.90329874666,78750.20043957942,78525.38383200171,78277.44045532816,78004.31867593082,77703.76039995775,77373.28194824238,77010.17405630309,76611.50187434362,76174.22358313194,75695.46824946054,75172.23247446578,74601.31347065399,73979.30910210918,73302.61820373664,72567.82047662657,71772.11850715704,70912.78435479943,69987.1517577522,68992.61613294095,67926.7988010099,66788.68708893064,65578.04701724737,64295.10751551253,62940.57964044407,61515.84170170857,60024.25434776384,58470.34374856052,56859.24996954144,55196.73920484919,53489.68030252791,51746.79138271307,49977.165572219084,48190.00603006737,46394.7238993967,44601.6609562355,42821.11253970582,41062.60663254811,39334.94107829888,37646.71478580465,36005.80271505649,34418.7723810429,32890.92313482745,31426.78688567387,30029.875035085784,28702.47702490787,27445.72819142496,26260.046646327846,25145.052807626278,24099.640093461927,23122.031798220876,22210.054002472945,21361.111550205558,20572.39432947959,19840.925519662323,19163.61721382141,18537.254501634,17958.61010892871,17424.607717653238,16932.321669013487,16478.84534085332,16061.336845737087,15677.159440777923
13015,"Bartow County, Georgia",107166.00766898657,107150.00009047726,107133.15767909354,107116.02187321399,107098.95345598648,107082.1905493522,107065.88258880212,107050.12499328,107034.9677937745,107020.43812335118,107006.5437593977,106993.27691150138,106980.62675259053,106968.57646686737,106957.10244347916,106946.18196580326,106935.79368766274,106925.91394930065,106916.51789069579,106907.58243472586,106899.08627877074,106891.00945019757,106883.33085461095,106876.03037340418,106869.08916185261,106862.48956210696,106856.2151031936,106850.25028873066,106844.57935318355,106839.18753664511,106834.06090631486,106829.18625193878,106824.5510858091,106820.14364276448,106815.9528801899,106811.96832641677,106808.17948169955,106804.57659829878,106801.15043056145,106797.89218380184,106794.79351430148,106791.84652930908,106789.0437870407,106786.37829667957,106783.8435183762,106781.43326736,106779.14097002413,106776.96071685305,106774.88701953509,106766.91088671215,106758.88531354119,106750.47808521519,106741.46773899681,106731.6727652599,106720.95255858962,106709.16457378463,106696.1673748431,106681.82642533533,106665.99025445805,106648.49174590985,106629.15634907594,106607.79120212974,106584.17992567108,106558.08260265554,106529.23729343292,106497.36010651127,106462.13333897237,106423.20331007487,106380.18036125417,106332.63782348706,106280.10315825172,106222.06679174729,106157.9592426147,106087.14598999749,106008.92747354189,105922.53909339679,105827.14578790763,105721.82154280377,105605.58506267224,105477.34122233374,105335.8720440809,105179.83669767853,105007.77150036348,104818.08238238652,104609.0293738069,104378.82573995931,104125.49439706403,103846.84232777447,103540.4605811773,103203.72427279237,102833.79121374639,102427.73741884415,101982.64334612104,101495.32009865432,100962.28300051614,100379.75159677364,99743.64965348881,99049.84378050837,98294.63725574923,97474.22212041951,96584.59284658043,95621.54644435795,94580.68301632385,93458.05209973223,92250.86774557388,90956.55725452641,89572.75511628884,88097.30300958165,86528.49786221067,84866.80912724356,83113.89500120349,81272.06200674918,79344.29231421609,77334.49421989547,75249.27849121587,73096.69047650686,70885.35220467442,68624.47597621716,66324.46757225438,63997.80187694953,61657.01835092488,59314.362682908024,56981.91955028575,54672.517872298995,52398.49039172761,50170.848059872646,47999.34160005112,45893.184685488275,43860.45477058481,41907.521511050145,40039.11624817844,38258.981217971676,36569.622938236906,34972.186095869896,33466.54542328142,32051.802428040697,30726.22465685841,29487.390967260315,28332.25846060655,27257.421249381703,26259.082374519312,25333.327372206597,24476.179753025543,23683.631780079308,22951.564486237752,22275.925460023027,21652.903426083103,21078.92738133533,20550.478650416113,20064.13430303748,19616.74423617391
13017,"Ben Hill County, Georgia",17075.47704106133,17074.1335830069,17072.70699873926,17071.233377363853,17069.737132079743,17068.23509297732,17066.738737830095,17065.25646800839,17063.794005735857,17062.35578299769,17060.945063164938,17059.564111069638,17058.214899929364,17056.898893387704,17055.617002862273,17054.369992173553,17053.158489876627,17051.98280482332,17050.84300400977,17049.73906763479,17048.670887985027,17047.63825867021,17046.64078670669,17045.677971360445,17044.749270528315,17043.854100972327,17042.99183831965,17042.16182095233,17041.363315615075,17040.59549155229,17039.857518511264,17039.14857433338,17038.467844954142,17037.814524403148,17037.1878148041,17036.586933469316,17036.011055626655,17035.4592644758,17034.93067332451,17034.424433401324,17033.93973385552,17033.47580175714,17033.03190209697,17032.60733778656,17032.201449658212,17031.813589592726,17031.44291894539,17031.088723807832,17030.75035031389,17029.442730329927,17028.118745015712,17026.72201801617,17025.214936356708,17023.566526300554,17021.75266725756,17019.748799258257,17017.53047605989,17015.074375348755,17012.35426173718,17009.341225132688,17006.005079246308,17002.312536167297,16998.226350991987,16993.705319014454,16988.70454053489,16983.175454632044,16977.06387306082,16970.30962214669,16962.846542785715,16954.602319533726,16945.49706044039,16935.444854220055,16924.349949875665,16912.105899940918,16898.595560480255,16883.69109108888,16867.253077396617,16849.12745947426,16829.151511294745,16807.144038838727,16782.9038902472,16756.20995582145,16726.821168023132,16694.475317387947,16658.887458773945,16619.76620976842,16576.789762200842,16529.601710094845,16477.811049668217,16420.99217933291,16358.684882057896,16290.418925496537,16215.727032054296,16134.09964593891,16044.980797655307,15947.768104005601,15841.812768089074,15726.460248911824,15601.13242604392,15465.235401446324,15318.146001276818,15159.211794864948,14987.751185833271,14803.159628666008,14605.02637476501,14392.976958698298,14166.672058167773,13925.807494009205,13670.154203265338,13399.835412903076,13115.165450583512,12816.560143381466,12504.541139625302,12179.775900311399,11843.361650923987,11496.619750700644,11140.95601558643,10777.86280861431,10409.0157217403,10036.413158242114,9662.054858939444,9287.884655776532,8915.812134891004,8547.859492954847,8185.963571279468,7831.8453144191135,7487.019984201035,7152.915448726737,6830.777416098524,6521.579226053139,6226.033295272523,5944.696696277129,5677.932308267734,5425.888620849699,5188.514537875577,4965.639703287685,4756.9646388069805,4562.083030654007,4380.492382728987,4211.63584124565,4054.8976056350593,3909.6450868818533,3775.2376294984674,3651.0316117822745,3536.36827643552,3430.600708217233,3333.1211676429143,3243.3609576332806,3160.760969099513,3084.7782118877176,3014.9134097192855
13019,"Berrien County, Georgia",19600.477041061335,19599.573169510295,19598.612145605217,19597.61732937979,19596.604493371604,19595.5845090359,19594.56480307722,19593.55084378351,19592.54639208203,19591.554404221766,19590.577105532644,19589.616096855018,19588.672809157895,19587.748358903358,19586.843519314,19585.958975893926,19585.095332427827,19584.252991036312,19583.432203374603,19582.63316266626,19581.85600186926,19581.100786248266,19580.36745925472,19579.655893858664,19578.965927243185,19578.29736050121,19577.649958635462,19577.02345293831,19576.417523788663,19575.831786473962,19575.265846003913,19574.719301421286,19574.191745801905,19573.682766254646,19573.19194392144,19572.71886031778,19572.263071243146,19571.82406634431,19571.40134596286,19570.994426528538,19570.60284055926,19570.22613666111,19569.863879528326,19569.51564994332,19569.18104477668,19568.859661999173,19568.550989423966,19568.25458265372,19567.97002829435,19566.86421675977,19565.735367498542,19564.532659469864,19563.22158496979,19561.772978907204,19560.163276567608,19558.367980213436,19556.362169678174,19554.121363817943,19551.617880287995,19548.82102869259,19545.69826821956,19542.21346963946,19538.32608002113,19533.991115111272,19529.159186189896,19523.77650295368,19517.782798092845,19511.11086580969,19503.686561818613,19495.428595333156,19486.246661926354,19476.043202809695,19464.709025346347,19452.122294174267,19438.148531206174,19422.640615629585,19405.437714889067,19386.361139505683,19365.221363504013,19341.80669322054,19315.881504797853,19287.186244184664,19255.437427135792,19220.3261609704,19181.515000777676,19138.65745034198,19091.370097826206,19039.22762241751,18981.762794327326,18918.466474791323,18848.78739063816,18772.159120522076,18688.01710028168,18595.745387368544,18494.671555096116,18384.066692639724,18263.145405036572,18131.1136517554,17987.26685520534,17830.88192399758,17661.200976583506,17477.431363255393,17278.745776580417,17064.41074877268,16833.92848911175,16586.848230362964,16322.7652507333,16041.320873871377,15742.250992062785,15425.72275467257,15092.138990721478,14742.029203792526,14376.054806843731,13995.057000069794,13600.397522499961,13193.708051643533,12776.718818373294,12351.260981780071,11919.380321253033,11483.499582908758,11046.031099476888,10609.30696116691,10175.604678643405,9747.319116661121,9326.726961936603,8915.833919436816,8516.387262759372,8130.017748843713,7758.129551050214,7401.799683926997,7061.792413273202,6738.685949002147,6432.829593439078,6144.325278613926,5873.045514148742,5618.7273826022665,5380.962781416021,5159.227135394829,4952.891875979333,4761.271088796914,4583.616451261767,4419.167028703057,4267.159333468075,4126.83184561976,3997.4088505981376,3878.1328265036136,3768.2949637263,3667.2349907045823,3574.305983748064,3488.8812364516543,3410.3862115380625
