Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,549.9486123630392,610.2418266994489,673.7807703446997,738.588653027099,803.3434581772924,867.1678176571957,929.5060385372566,989.9984804434425,1048.450415346561,1104.750476154627,1158.8578479419061,1210.7885649595494,1260.5700050535108,1308.2516226478263,1353.9079372934382,1397.6105729125395,1439.4265206498474,1479.4315959603057,1517.706425838708,1554.325581070924,1589.357607072705,1622.8666615477441,1654.9215206781694,1685.5878629192441,1714.9272149591516,1742.997274120759,1769.8519083616188,1795.5419325540665,1820.119635798856,1843.6340674512753,1866.1316821861217,1887.6567227732196,1908.2512200774213,1927.9549930586072,1946.8056487716851,1964.8390552033882,1982.0913482279464,1998.5964986898286,2014.3868962456881,2029.4934994948112,2043.945835979119,2057.7720021831633,2070.9986635341293,2083.651054401836,2095.7529780987343,2107.3271611877612,2118.397953800107,2128.9873526509828,2139.1159286192787,2148.9104432278855,2158.820889203596,2169.2600398026066,2180.5105239419368,2192.81180054425,2206.3585165699774,2221.352674540803,2237.999894809505,2256.502912032817,2277.0909514545037,2300.0184680267926,2325.556152797115,2354.0054715977217,2385.705951586388,2421.0352697212015,2460.4098844425403,2504.2851198912817,2553.1738875961387,2607.651138549522,2668.3538632075397,2735.983127713868,2811.322848031065,2895.2235551140257,2988.6448485884557,3092.665190142944,3208.4819035289474,3337.411174560803,3480.8994092591693,3640.571365968677,3818.1607107823856,4015.6264952666356,4235.171464056396,4479.242054855273,4750.528398435476,5051.983205674132,5386.8955834706385,5758.679075185984,6171.179607343139,6628.733780281504,7136.168868156861,7698.802818941461,8322.466316971986,9013.394466120888,9777.952470066148,10623.296950640346,11557.459092220744,12589.344641729283,13728.733908632621,14986.025201155499,16371.326464252397,17895.52522385791,19570.704929067062,21410.14500669849,23428.320233049766,25639.893923705033,28058.277770127483,30697.65060360936,33573.21654089616,36701.2049841868,40098.3820293676,43778.4597220894,47753.94592306988,52037.422163315336,56641.500171049556,61578.13981638342,66853.76234686993,72471.73838466822,78434.10397596765,84741.50774913005,91390.8943683611,98371.45225382787,105669.63781691005,113269.8917595277,121154.00571919794,129296.26365443249,137666.9862600197,146235.48488322142,154969.80374788222,163833.13002175864,172786.0717171164,181790.26042910726,190808.22518531146,199800.92871921387,208729.78093367268,217559.09842956005,226255.9542792842,234788.76221093902,243128.81850757948,251251.01149953372,259133.6538204022,266757.9802371646,274109.29667722236,281175.84644978796,287948.56213519955,294421.01305833424,300591.00048669236,306458.9905225438,312026.54646026104,317296.33696168265,322273.8034696155,326966.6637814322,331383.01627592597
B,40.14223447905396,44.5938404125004,49.55570961583242,55.08040619647541,61.19929464591827,67.9224838377785,75.24185422383444,83.13416438501179,91.56493112498421,100.4920937033438,109.86840310102676,119.64327302411577,129.76616325090208,140.18683008157404,150.85512714062685,161.7238123499392,172.749014901267,183.8889383654723,195.10384461865226,206.35752041209267,217.6173508098491,228.85399789856078,240.03977215999888,251.1497969011595,262.1617724896541,273.05589719668353,283.81486719703855,294.4235703778117,304.86786386973324,315.13635353294694,325.2191205249723,335.10751106849875,344.79413645138663,354.2728730266669,363.5388622125401,372.588143834187,381.417233102449,390.0251474320862,398.41145795985994,406.57610023365396,414.5193742124739,422.2419442664474,429.74483917682403,437.0294521359757,444.09754074739584,450.9513695903237,457.59470601043455,464.03097179570085,470.2635888248891,476.3730057290238,482.6733077273857,489.45812363931464,496.93296652849983,505.2780585831223,514.6464762214571,525.2011736131781,537.1120926020922,550.5518071727665,565.7164887112954,582.8251053023438,602.1138065498809,623.8469976528436,648.322951858724,675.8739122921152,706.8682388116296,741.7107135335966,780.8582626340414,824.8242246661212,874.1783505601238,929.5486909288942,991.6397561530166,1061.218291549465,1139.1512340632244,1226.414610180872,1324.0935359305656,1433.382216882054,1555.5944045420003,1692.2102505318212,1844.8145984762596,2015.2008795182915,2205.3876609020813,2417.6186459729934,2654.362674177552,2918.3312386489556,3212.5548701147827,3540.1943301332735,3904.8139317695895,4310.434248000873,4761.532111716185,5263.040615716598,5820.3712164659655,6439.344508523362,7125.935759549131,7886.86573649569,8729.677479056949,9662.736299668324,10695.229783506757,11836.96433463275,13097.57492169669,14487.457993626986,16018.159884663177,17702.37688841999,19553.95474180809,21587.018880512926,23814.688485999595,26250.873078291457,28910.52259719702,31809.62740231016,34964.78206795548,38389.95011332689,42098.10265725214,46102.3892092724,50416.10031480253,55052.03787646593,60017.989379890365,65318.97015101867,70958.78716562522,76939.98998093448,83261.6697763093,89915.57187372542,96890.74979660877,104174.21852146175,111750.34123747994,119596.08189015865,127684.31287187566,135986.6422374045,144473.16309244267,153108.87627754072,161855.82968377994,170676.72788630286,179534.81726863547,188391.36062256747,197207.61188926597,205947.45739950307,214577.28095361206,223064.42356111523,231378.78323135598,239493.78607067163,247386.23175521402,255035.64627624972,262425.4551505832,269542.13361618563,276374.97963839746,282915.9794050915,289161.27043657115,295109.81270252046,300761.83073600713,306118.82054113963,311185.1291772448,315967.4813800051,320473.1334262933
C,1320.6795143608754,1465.448284047025,1617.8866589136915,1773.154421151556,1928.0118626571266,2080.3087290241924,2228.684288331277,2372.260940486757,2510.5674126884346,2643.3393827325312,2770.4876341603303,2892.0640997596365,3008.1501809970355,3118.882646894473,3224.460754760746,3325.077258844353,3420.9139818396347,3512.1746083945895,3599.0748925324187,3681.8154086994678,3760.581534520095,3835.5474143655356,3906.8981210375155,3974.810832898491,4039.45168133182,4100.976505652197,4159.530853105658,4215.251883864211,4268.279785721847,4318.746328123396,4366.7760298032545,4412.487071366709,4455.991295289933,4497.394205919983,4536.794969474805,4574.287770524385,4609.967446947061,4643.92250242991,4676.2369486763855,4706.990744158252,4736.2597941155855,4764.115950556785,4790.627012258556,4815.856724765925,4839.864780392231,4862.707752449408,4884.446309002875,4905.134868421158,4924.8239626390805,4943.756471443801,4962.760783555867,4982.587284484705,5003.74078393298,5026.637909354202,5051.6050023764,5078.973440063216,5109.072947540462,5142.218910278816,5178.765590278346,5219.103419174158,5263.640938056165,5312.829448141744,5367.175033796143,5427.23863231716,5493.633446291629,5567.024456834827,5648.15661079243,5737.860381264629,5837.051767606141,5946.73495575243,6068.025057656552,6202.124682904648,6350.382378429568,6514.305824364982,6695.56183404535,6895.976354005952,7117.5491502649875,7362.509814941084,7633.222514163849,7932.34474998011,8262.851780028117,8628.03661753756,9031.510031329504,9477.22409513093,9969.544790840482,10512.970211182695,11112.546303274941,11773.942971774355,12503.454078877689,13307.997444321512,14195.137638807466,15172.876909046272,16249.328807518352,17433.585955758128,18735.822477242367,20167.293997390152,21740.337643562965,23467.981328503764,25362.734062670257,27438.03534002341,29708.755395356577,32191.195215221134,34903.08565348202,37862.24794949874,41084.767748611855,44587.607371567035,48388.90281813532,52507.963767113266,56964.65724067534,61774.919814353125,66953.13372484759,72513.7140869792,78471.05249522961,84838.68376613628,91623.34671404384,98828.08978266633,106454.37478177622,114502.01194565749,122966.37161631575,131833.57640334748,141086.55936318895,150705.90664161067,160669.0970737102,170944.73884683414,181496.8071496531,192288.0907990599,203279.88174159426,214427.744363609,225684.20344221292,237002.93189327556,248338.5989756489,259644.00044569312,270872.41376256704,281980.472645672,292927.9956952552,303676.3602506545,314190.31456830545,324438.83712969214,334394.9460858791,344035.13935222366,353340.76364226924,362296.7093729131,370891.1236477404,379115.35133284435,386965.86683239305,394442.4206060115,401546.1684656766,408279.68146518036,414648.9557833073,420662.82749400457,426330.68390040053
D,6005.278278066472,6663.694025111818,7357.714802092611,8065.8484581563125,8773.686653080455,9471.62372610203,10153.52751171735,10815.381511908061,11454.954250117655,12070.920758180986,12662.727801947542,13230.447631897681,13774.290020215854,14294.718123958648,14792.478733128446,15268.302770049351,15722.886815130436,16157.034146446349,16571.610646032244,16967.42698380973,17345.238591857356,17705.761964444726,18049.76722037008,18377.998747243997,18691.158886015553,18989.910907044923,19274.879010103396,19546.655636053387,19805.848094487104,20053.03463838617,20288.764183950734,20513.55952997407,20727.917357842525,20932.30823153555,21127.176597625687,21312.946035099503,21490.044139079208,21658.875863236583,21819.826593813563,21973.263649960274,22119.536283735066,22258.975680104493,22391.89495694331,22518.589165034504,22639.335288069255,22754.3968408893,22864.05934325736,22968.579010187037,23068.194074907704,23164.147149042972,23260.735287809974,23361.86153506123,23470.159414440033,23587.815452640127,23716.556696073712,23858.147378456193,24014.35359718186,24186.877929698116,24377.637068299588,24588.747991203738,24822.435850420818,25081.164471563618,25367.70012891183,25685.112003148526,26036.76298893243,26426.30876302379,26857.850783256188,27335.967889291904,27865.716302621913,28452.644517275454,29102.92506157627,29823.23086712264,30621.057075734156,31504.79404869578,32483.727366757743,33568.0378301356,34768.88402377323,36098.73840197537,37570.87312458301,39200.2273553246,41003.54212739958,42999.36034347861,45208.02677570305,47651.82217889789,50355.45103906582,53344.51349685782,56647.76148891535,60297.519670637215,64329.68541617916,68783.72881845462,73702.83976533354,79133.04726507,85121.35513547092,91720.48515867647,98989.46017891893,106993.60410252273,115804.54189790484,125498.32265509266,136149.03107077416,147836.48382055332,160649.12696345043,174684.03625393592,190046.91276502283,206845.07249826365,225177.50758654796,245149.07870156015,266872.328602165,290467.4821344088,316059.0821384061,343751.24701338314,373640.5240862179,405824.7976723458,440402.9932660301,477470.32118391135,517084.32256801723,559282.0336368002,604091.6615752862,651532.2058246938,701596.9608354334,754224.8042658535,809334.7325733864,866830.5000918106,926596.0171746571,988460.1444972893,1.0522211217566552e6,1.117666983395944e6,1.1845736707070475e6,1.2526786185654576e6,1.3216964011762028e6,1.3913450563396811e6,1.4613452383779036e6,1.5314017343170743e6,1.6012179415664352e6,1.6705155517949767e6,1.7390336274050807e6,1.806517391973042e6,1.8727301566498352e6,1.9374610969710052e6,2.000524190894233e6,2.061753508726414e6,2.1210120463949936e6,2.178186124777134e6,2.2331837899104054e6,2.285933744210661e6,2.3363963744527427e6,2.3845542226559003e6,2.43040034388794e6,2.473938357644079e6,2.5151943326037424e6,2.554213320301479e6,2.591045381978693e6
E,822.9158068206057,913.1330968678336,1008.1927221748724,1105.1230705588125,1201.9324686671864,1297.294595595202,1390.3647769796514,1480.5923162962831,1567.674379585431,1651.4343461294104,1731.8028932098991,1808.7975536697986,1882.4549538058836,1952.8467303708599,2020.0836959066094,2084.2741200825963,2145.52110535345,2203.9421689671053,2259.6631694237385,2312.8017979859987,2363.4675536788313,2411.764024170314,2457.8018668875047,2501.6877466036217,2543.5220440154594,2583.399271327996,2621.408072254389,2657.6322783714813,2692.1575705672903,2725.0651686780884,2756.4319474667254,2786.3309104448335,2814.831189872831,2841.9980467599294,2867.8928708641197,2892.574005182111,2916.1003703410133,2938.5272372730246,2959.907080135787,2980.2898300551005,2999.7228751249236,3018.2510604073827,3035.916687932754,3052.7595166994843,3068.816762674174,3084.123713257861,3098.7184908406157,3112.6352497798393,3125.9056869772844,3138.696094021294,3151.5825323359145,3165.089853438286,3179.574158917074,3195.3332530340153,3212.604916750951,3231.6335232888423,3252.6653676039914,3275.940156231052,3301.728410647504,3330.3297609297056,3362.0609794047427,3397.274016983441,3436.3649455743684,3479.7740424830854,3527.9854586626375,3581.5273732008527,3640.994084749936,3707.0508758646133,3780.4340130021305,3861.9530004169765,3952.5112925989656,4053.0887973358685,4164.789597983143,4288.852852627291,4426.652794085846,4579.698729907386,4749.647662806412,4938.358981996702,5147.819038391768,5380.26960738678,5638.2281171323,5924.487648534308,6242.1169352541465,6594.481275545964,6985.329646589295,7418.567032948846,7898.5887663400945,8430.344248549442,9019.336951434114,9671.6244169223,10393.843845670102,11193.118623752061,12076.761702411844,13052.988630009539,14131.008904551381,15321.02597368976,16634.237234723263,18082.58641241924,19677.822298045197,21432.626070052676,23361.07300248571,25478.632548491976,27802.167732296788,30348.906594940752,33134.9256157667,36177.2917116073,39494.362001899804,43105.783808686145,47031.9805723421,51290.33636253758,55897.136379494594,60868.95694283727,66222.62181023382,71974.45294885013,78134.89871281998,84711.18176842101,91709.12865475412,99133.11030771227,106983.39238306695,115251.4693634778,123925.55385762075,132991.32059836562,142431.16060064812,152218.4168542285,162321.29439143025,172706.2077548765,183337.4749051148,194172.94188361758,205166.50960213743,216272.53251219486,227445.68465244558,238637.84397053908,249800.4819417931,260888.02312488426,271857.6954043763,282667.5859294003,293278.6465992476,303656.0918422987,313769.2243801605,323590.5658681791,333097.32393297064,342270.57957957406,351095.02869148925,359558.7637054232,367655.0100970373,375380.6637115598,382734.3774007365,389716.5687896849,396331.3239905113,402585.83454212977,408488.13451561367
F,561.9912827067551,623.6866883689886,689.1400827516029,756.6460870905483,825.0536951317622,893.5766958641015,961.6882201881818,1029.0130390653428,1095.3064649126384,1160.3873807770399,1224.130962198353,1286.4595361949016,1347.3075887580233,1406.631766613089,1464.412990457564,1520.6361428590042,1575.2892849620134,1628.373136339834,1679.8973496344674,1729.873039297197,1778.3128822939834,1825.2319043502318,1870.6523765980226,1914.599227095583,1957.0981131271028,1998.1755221469946,2037.85877177989,2076.176079281189,2113.1583626574616,2148.8387413839832,2183.2501675005096,2216.4253168644627,2248.3965891509392,2279.196107852705,2308.855720280194,2337.4068321751056,2364.881896888817,2391.3155544477304,2416.741547970596,2441.1925306094045,2464.7000655493875,2487.2946260090175,2509.005595240008,2529.8612665273126,2549.8888431891246,2569.115094348122,2587.5712624114003,2605.2853422681783,2622.283660704768,2638.7808230029987,2655.56274089913,2673.3518374821642,2692.642548306337,2713.854912392853,2737.331188332785,2763.4275649776077,2792.5072536372786,2824.9287829416285,2861.0974227506576,2901.4627564165135,2946.5028159364665,2996.7492841444478,3052.7999098934524,3115.3186510318033,3185.036517471124,3262.751674743961,3349.3613209390687,3445.869191998934,3553.385561719768,3673.130666078412,3806.4661823818114,3954.867735902999,4119.996366464901,4303.715013082445,4508.088513962534,4735.383606504069,4988.087827279424,5268.989347617702,5581.061258227927,5927.655784263612,6312.534783000316,6739.869743835686,7214.2417882893615,7740.672695183193,8324.745452391317,8972.25662191029,9689.724538898927,10484.485259911246,11364.692562896375,12339.317947198713,13418.18630399385,14611.797581289798,15930.887011854004,17387.50541474102,18995.154443936284,20768.786588356154,22724.80517184795,24880.650582202812,27253.33968717501,29861.20745334901,32724.582562960983,35865.78750306452,39309.13757280364,43079.33308099277,47199.15276382412,51692.71462429856,56585.901020563746,61906.35866591427,67682.71725770795,73938.83127024015,80696.74559621647,87978.76536830749,95807.38750570423,104204.19334303099,113181.92269574731,122748.46522009408,132909.60204214352,143668.9186077683,155023.97387276083,166959.59797555287,179455.99786027998,192489.87480126898,206033.36128940416,220045.8528256303,234479.74628813323,249285.26655968968,264410.0319788157,279792.93944826163,295367.8547712455,311069.7461738781,326834.48473706655,342594.5715820744,358282.5185375653,373835.3193524359,389194.22189424036,404302.16186613427,419106.4922781387,433560.6126589808,447623.7084034289,461259.709033277,474439.30933889473,487138.4758321326,499338.0580089268,511023.58236068825,522187.8406521723,532828.5479494383,542945.651814177,552541.3447089109,561622.83376193,570201.523302782,578289.79028385
G,48.17068137486475,53.484410066310225,59.25823062405648,65.44562166436876,72.01317638606035,78.93207046020852,86.17499536212348,93.71303224810113,101.51682978530111,109.55560725690417,117.79813424138231,126.21333526094168,134.77057371162314,143.44024025556485,152.19374970549447,161.004173002755,169.8464598220874,178.6971729569986,187.53431956630706,196.33783720204886,205.0896418772962,213.77349614224036,222.37436100804416,230.87880770836372,239.27484444881503,247.5518812263905,255.70072982945896,263.71344785926556,271.58276463460385,279.3029780139321,286.8692153978904,294.2773214271965,301.52385798264606,308.60610418511203,315.5220563955452,322.27021929480327,328.84941422782356,335.25994088191044,341.50240239582246,347.5775943311931,353.4865046725308,359.2303138272191,364.81039462551615,370.22831232055546,375.485824588345,380.58498279152866,385.52884424407074,390.3201779539993,394.96171657852597,399.5145665717153,404.2170050337216,409.2924036502368,414.89784892186555,421.17203655706527,428.233848524065,436.21054993300453,445.23564196438605,455.445715000335,466.9965286129508,480.0625006287704,494.83268331522567,511.5195678063445,530.3636166237962,551.6333560299498,575.6276058982904,602.6760083866006,633.1520939008509,667.4769385296272,706.1191640441339,749.5965384361009,798.4919922961648,853.442939193561,915.1731264586945,984.5000915089038,1062.3351618484512,1149.683455068533,1247.6528813272523,1357.4983839884699,1480.5734476144853,1618.415562156501,1772.7600585153139,1945.540108541317,2138.8867250344747,2355.1442292111556,2596.953045449309,2867.100770224616,3168.742397931447,3505.444397516021,3881.1847124763535,4300.352760862335,4767.773005016882,5288.715689724875,5868.675273020535,6513.851840712733,7231.219245526891,8028.525107105003,8914.29081200566,9897.721250282038,10988.134350187513,12195.658615918142,13531.59520295661,15008.41805038127,16639.773619813506,18439.88560776486,20422.540791617543,22602.51878678442,24995.859276467843,27619.862011659687,30492.746270203716,33631.0227137112,37050.75956104336,40768.62326249473,44801.855039543625,49167.70962527536,53879.38188508009,58947.85166219786,64383.21912217878,70194.6601743349,76388.2478828947,82963.0177277985,89915.1528008228,97238.51910679482,104924.01522855624,112954.44805952394,121307.57990946008,129958.91659177393,138881.4349753594,148041.49245244247,157400.82252243705,166920.646062435,176561.57013783217,186280.48831454196,196032.70224334468,205775.53057220473,215468.2062237419,225069.7124749869,234540.80301579175,243846.0046721668,252953.4890244675,261833.85847892976,270461.5716554849,278814.9561809041,286876.0246784012,294630.045072235,302066.7797026118,309179.7791576589,315964.6332666443,322418.97476560535,328543.996637836,334343.9897818242,339824.38876642764
H,68.24179861439173,75.76750925580832,83.9337088390585,92.66570552603211,101.90924727074032,111.61776660359104,121.74772987590582,132.25390266474167,143.09104857731637,154.21237777446046,165.57098003761564,177.12069573317603,188.81648219989017,200.615282118348,212.47598554785847,224.36030881867399,236.23311340761396,248.06196715224326,259.8168646741326,271.4708698645174,283.00017579326106,294.3838829470652,305.60297256952873,316.64096698039486,327.4835300590553,338.11840359676626,348.53540729664957,358.7261782827538,368.68327358811445,378.4016872028662,387.8775281005783,397.1078271422881,406.09053707650133,414.82453253919147,423.3096100537998,431.54616701452215,439.53501064305044,447.27916982534157,454.78196378970836,462.0468251767501,469.07730003935256,475.877047842688,482.44984146421496,488.7995671936791,494.9302247331117,500.8461209469298,506.5532736298105,512.0570120134494,517.3624370247531,522.5363841754249,527.8327606841516,533.4865257231608,539.6597248277618,546.4916236379012,554.097423817494,562.5980244219207,572.1177106751154,582.7804123633208,594.7264153929945,608.1115920510764,623.1024434671785,639.8844625565114,658.6662665538155,679.679653253205,703.1803040016747,729.4478594886469,758.7968844432108,791.5795879389666,828.1858233940271,869.0443160649451,914.6340966583498,965.4747685451025,1022.1518080778056,1085.3224353402838,1155.7156141475768,1234.1320520459444,1321.4509668374385,1418.6590748567592,1526.8095206568005,1647.0908803378272,1780.8380316561868,1929.5321540243162,2094.800728510717,2278.428708424767,2482.403235010674,2708.7897177163463,2959.9127316262848,3238.3903364775338,3547.1340766596454,3889.3489812147373,4268.546769088469,4688.4869607572255,5153.01724806044,5666.459900204526,6233.660620663942,6859.988547181207,7551.3362517669075,8313.976246064112,9154.039237079429,10078.133626139303,11093.59143838318,12208.46835997215,13431.543389813236,14771.745405995347,16237.319603700269,17836.99894399724,19580.161252227925,21476.829218006456,23537.388643504873,25770.503651189716,28184.181778424667,30786.52848511519,33585.72287583249,36589.61550687373,39802.83908909427,43228.25307868091,46867.9494720811,50723.221625494174,54793.16611689681,59072.21873969698,63553.126430552584,68227.36556989612,73084.75334233818,78110.44329657835,83287.03185711284,88596.351935554,94019.31403537242,99533.6454805449,105115.24940387477,110740.4817176479,116386.0773905354,122027.5573262457,127640.47643526045,133202.0774345872,138691.20404308627,144087.33421838086,149371.5863392339,154527.31299174417,159540.00201333006,164396.8766233715,169087.63635630003,173603.89822577682,177939.0514109477,182088.17803862886,186048.99006016707,189820.97128778673,193404.39013366355,196800.30408349395,200011.56747538198,203042.53098333627,205897.8685955653
I,321.13787583243163,356.4000977494403,393.8513644304725,432.5470926138283,471.8486914285368,511.3174517827429,550.6561346552428,589.649324897637,628.1524185109236,666.054896847796,703.2767550412389,739.7637865879852,775.4686963771483,810.3567690622978,844.4070235364429,877.6014237741977,909.9245399707016,941.368596411007,971.9313743504445,1001.6123220773137,1030.4126264390188,1058.3355800140894,1085.388974902087,1111.5827796917115,1136.927962500942,1161.4365277309876,1185.1215160662878,1207.996962285331,1230.078625389473,1251.3841889906694,1271.9315280830067,1291.7385881958012,1310.8233853936003,1329.2040062761803,1346.8986079785468,1363.9252098745749,1380.3024824195322,1396.0510622043273,1411.1911137722586,1425.7421567140618,1439.7230656679108,1453.1520703194176,1466.0467554016318,1478.424060695042,1490.3002810275734,1501.6915275059373,1512.6171665636377,1523.0943622092798,1533.1391899098207,1542.8767506277286,1552.7628265028616,1563.2151863519807,1574.5185184336033,1586.9131005296326,1600.5929601707649,1615.7589454678957,1632.6147380825125,1651.3599534607379,1672.2198281116541,1695.4437521181485,1721.2958483196924,1750.0692826968584,1782.093264034057,1817.7331141298696,1857.3902339707772,1901.5020169277277,1950.559505538943,2005.1113968363552,2065.7640423456137,2133.18329622455,2208.111135411989,2291.3502923273936,2383.803361806773,2486.4817752401345,2600.505800571472,2727.1045422987736,2867.626108220858,3023.5791788732586,3196.5696939391546,3388.407253943198,3601.1216972186016,3836.9630999071483,4098.401775959146,4388.144847853583,4709.196852260716,5064.671066860856,5458.067540337885,5893.325029980562,6374.821001682463,6907.371629942076,7496.250157555882,8147.079288034381,8865.598767702919,9658.252358469643,10532.260191849746,11495.61876896552,12557.10096054635,13726.024798453454,15011.458749324509,16423.17432324682,17972.00768709628,19669.859705693838,21529.695400983146,23564.672332443915,25786.896898030554,28209.191132124724,30845.32102731918,33709.99653441786,36818.452040952725,40183.35286510274,43816.39580239789,47729.428932824725,51934.415149134045,56442.839216501874,61261.46063757944,66394.45966318631,71844.9156725062,77614.76084983857,83702.72563187008,90100.74596461025,96798.3097293895,103783.05520821293,111040.19919252461,118548.14734540081,126281.56670986742,134213.96661618294,142317.4641973427,150559.4912285104,158904.76486458236,167318.5764304045,175766.68351275986,184213.00398850022,192621.42510449945,200958.21602379074,209191.90597275284,217291.89185641482,225229.9069263541,232980.91872378596,240522.99018696058,247836.7049365386,254906.2533589978,261718.65974951655,268263.5758067123,274533.16150206246,280523.459259858,286233.1628038243,291662.1749557778,296811.61415409215,301685.29060228233,306289.2705577324,310630.1525538501
J,56.19912827067554,62.414497406880706,69.2529836821455,76.72209531524682,84.82242125424679,93.54257618015853,102.85952123162826,112.73890469721916,123.13847396482615,134.01005476613392,145.3017966589911,156.95981098608505,168.93070072827783,181.16206607045018,193.60234048828877,206.20310616145497,218.91954394334488,231.70933754664205,244.53255811238284,257.3529345783665,270.1379259339305,282.85840757035453,295.48712873900763,307.99979594295996,320.3747396469935,332.5928329729792,344.6374916998766,356.4943606610932,368.15012501198197,379.5943393681358,390.8180217649157,401.81343217336456,412.57407250020725,423.09468658785147,433.37126021438587,443.40064506387455,453.18021620975964,462.7099710384018,471.990417159394,481.02237259045705,489.8069657574393,498.34563549431647,506.6401310431921,514.6925120542975,522.5051485859906,530.0809043085018,537.4244382566095,544.5398831145629,551.4312893543022,558.1893023721265,565.1672614006847,572.6960442199471,581.0079171346869,590.3075468886556,600.769919893076,612.5821817285473,625.9404571124253,641.0451611674436,658.1248509365323,677.4354574695519,699.2542822179597,723.8930364017253,751.7045379003094,783.0828461903403,818.4665011981576,858.3393766869698,903.2499914755617,953.8168827084717,1010.7286058559904,1074.746088363621,1146.7263195919256,1227.6071004710032,1318.4539667114607,1420.471144987035,1535.0015529345776,1663.5267991540697,1807.6804720044631,1969.3147537585407,2150.4306987992,2353.3033310132146,2580.5019425230707,2834.890093686976,3119.6256130988186,3438.1835470017236,3794.48497301313,4192.683902987289,4637.486801654533,5134.217084853083,5688.815119528965,6307.838223736141,6998.497332931788,7768.704549813368,8626.749814830473,9581.998705863307,10644.993602530927,11827.45368619128,13142.27493994122,14603.440827319686,16225.24529993488,18023.271515884837,20014.938762599508,22219.502685957097,24658.055020276977,27352.744597605284,30325.3560461952,33599.35258731444,37200.30252302793,41155.87923619804,45495.39313687676,50246.08860409786,55434.91322089086,61090.0897886013,67241.08997534947,73917.81799711811,81144.62642038429,88942.94662240827,97333.27013910067,106335.08601288337,115963.53160883072,126223.28194149594,137114.7372112344,148634.78430757188,160775.74546907388,173517.08998802834,186829.94607898407,200681.32384427614,215033.65667198092,229837.9127386416,245036.49095962459,260569.88578337536,276376.5202132369,292387.32328397327,308529.02817843127,324730.5993499217,340923.1013259052,357035.674061622,372998.98128107685,388749.45351770084,404229.13525656937,419383.1605830324,434162.11915180425,448523.3057371793,462430.5220880626,475853.046135196,488767.10243819444,501155.75880108995,513006.16026282124,524309.5297446736,535063.256747078,545270.2732645366,554936.0873656016
