Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,22.370442692419278,24.824781680439056,27.420389475190166,30.083545184491,32.76467287998453,35.430228608158,38.058132546941245,40.63310466765836,43.145694187494186,45.58934889157544,47.96006170395813,50.25594401189784,52.47566620805794,54.61887715999541,56.68629057737734,58.67875805164666,60.59722449720255,62.443144718966636,64.21832381983329,65.92455429122771,67.5636159632269,69.13731080043092,70.64769553824775,72.0968789529319,73.48691520566466,74.81980734479374,76.09750730583345,77.321923028929,78.49502966846136,79.6188337074808,80.6952669181375,81.72618309062707,82.71335803319064,83.65848957211472,84.56319755173128,85.42903496613218,86.25760515257731,87.05051468679962,87.80929594300453,88.53540616439558,89.23022746317451,89.89506682054129,90.53115608669394,91.13965198082875,91.72163609114013,92.27814579125997,92.81041188673014,93.31950662915,93.80641505959473,94.27758796589484,94.75605085547939,95.26284929779953,95.812274117484,96.41637613472967,97.08487696869248,97.82787382818323,98.65564196552555,99.5782921556457,100.60729018592993,101.75538799489355,103.0361527338525,104.46471295825106,106.05812920959623,107.83539828410888,109.81747561221032,112.02727771325428,114.49063320328634,117.23650583728808,120.29699450917714,123.70743633984095,127.50734911233926,131.73959488701354,136.452537722051,141.70054093646326,147.5439671100852,154.049178083576,161.28911194924112,169.34568196163977,178.30619867990026,188.26933860798823,199.3460793154458,211.6596994373922,225.34577867452148,240.55315974677302,257.44754223175744,276.20049968462115,297.00539655532884,320.0803839247398,345.6683995046054,374.0371676375732,405.4802990552522,440.311098975411,478.84841766183604,521.4509997703905,568.5217570683682,620.5077684344951,677.9002798589291,741.2208826674512,810.9736107553205,887.7011730224335,972.0064635941753,1064.5525642826415,1166.062711403275,1277.267330426448,1398.8285163415537,1531.4460274018745,1675.8707373443403,1832.9046353895365,2003.375402681251,2187.9491895355277,2387.227714862556,2601.8158737967256,2832.3195151532946,3079.3102309491965,3343.072184614947,3623.732561192186,3921.352732156034,4235.925614071167,4567.256361594304,4914.753560220276,5277.6918837598605,5655.250315997264,6046.4794659077825,6450.051333176102,6864.4439731785415,7288.094539115957,7719.385855209397,8156.461132846695,8597.342019392368,9040.112195583471,9482.910466191703,9923.803622062613,10360.889306270354,10792.41841350113,11216.786843115151,11632.463057057634,12038.065674499838,12432.395371660768,12814.425899173528,13183.279330528763,13538.28435284246,13878.913919670664,14204.77213976391,14515.592555716516,14811.321368558678,15092.03426795678,15357.856007315317,15608.960841195374,15845.659400219585,16068.373265347058,16277.537423129084
B,1.6328790286437431,1.814892365715784,2.0226528493427907,2.2618250081511846,2.5358827122761873,2.8464013026507713,3.1934188842922477,3.575806126419672,3.9915506700257817,4.438098552742491,4.912519159648088,5.411635993890733,5.9322987752620016,6.471380280949628,7.02575518610234,7.592508568296888,8.168965527461893,8.75258554649791,9.340966624054607,9.931942581450393,10.523586002828505,11.114183909526819,11.702120648707131,12.285966143233404,12.864449709262445,13.43645368682153,14.001013439808407,14.55729615901516,15.104520766136089,15.642083762190467,16.16946558112265,16.68621566477288,17.191952462877246,17.68636343306771,18.169205040872086,18.640281788810277,19.099430140352453,19.54663563613256,19.981910876396093,20.40528417557812,20.816799562303295,21.216516779385834,21.604511283829524,21.980874246827764,22.345712553763487,22.699159241437652,23.041448815481733,23.37278633136011,23.693371286457918,24.00756571923202,24.332317295338946,24.68339944947081,25.07175776731315,25.506937325951938,25.99697945155236,26.550440105102993,27.1762294555031,27.88336889357349,28.68213028757195,29.583988889041056,30.601310837154248,31.747947386033182,33.039533024531885,34.49349062593641,36.12913390520497,37.9676803095522,40.03308221742422,42.352249265089654,44.95504834663965,47.87440283123709,51.147237011157294,54.81370928727957,58.9192176546603,63.514869277152606,68.6574804874058,74.40957678686588,80.839944056543,88.02603910990743,96.05067189561716,105.00754828093015,115.00214894745659,126.15172939115949,138.5853199223528,152.44465076133292,167.8879689945769,185.0798221071324,204.20579565174734,225.47533188657587,249.12172977517537,275.4021449865108,304.5987207599714,337.0140235334376,372.95740998894655,412.777040254348,456.86397113069484,505.6521560922439,559.6184452864571,619.2707994903059,685.1044808477958,757.6534943734252,837.5113657700756,925.3311448196596,1021.8253763447924,1127.7179173949635,1243.673405664473,1370.3959101793855,1508.6423309121665,1659.2223987816915,1822.9749579259721,2000.5919384757212,2192.7084124490293,2399.9670996589234,2623.0163631118357,2862.4764920012776,3118.6964530583386,3391.8765799481184,3682.1553374269297,3989.606792957906,4314.123641921074,4655.210676975356,5012.237542259469,5384.475221690234,5771.063471905967,6170.759485096696,6582.116593590127,7003.635563112915,7433.751159902393,7870.642820713424,8312.349414349595,8756.95767709771,9202.595622613919,9647.29935985173,10089.1166827741,10526.240551882573,10957.001300335154,11379.786629261676,11793.123614710183,12195.723069319736,12586.470910951226,12964.39609763202,13328.731340612152,13678.862012848169,14014.31365884323,14334.746470511616,14640.034392045793,14930.190781769217,15205.2864896986,15465.45024713096,15710.953569119754,15942.18577012337,16159.556401763706
C,53.72172004237913,59.611166207564246,65.81538253751432,72.13997695867572,78.45503323836064,84.67421387906072,90.7426329916702,96.62447040875486,102.30001076627337,107.75766064776897,112.99275849117608,118.0062709605274,122.80038189575578,127.3795609137103,131.7508376192639,135.92110558280237,139.8969612488179,143.68597180932863,147.29627172052085,150.73550369988513,154.01081895410871,157.1290193492333,160.0973780698142,162.9229406344289,165.6123595419794,168.17191926998066,170.60753627456114,172.92482119704817,175.1294986635514,177.22704135854255,179.22263493447826,181.12120332602254,182.92740875004623,184.6456517056273,186.28007097405086,187.83459580814957,189.31320520773207,190.71966648455523,192.05755167974124,193.3302517618506,194.54097662688244,195.6927550982741,196.78843492690143,197.83068279107866,198.82198429655836,199.76469388469113,200.66142096408657,201.51447351335977,202.32597885526474,203.10648309728,203.89208187607724,204.7153550665615,205.59804458401854,206.55799742347276,207.60907018736066,208.76533214636805,210.0407669369655,211.44870697816958,213.00417601360053,214.72376589072852,216.624834026988,218.7265815484985,221.0505750598349,223.62074931660018,226.46327967222828,229.60656026518666,233.08242333603556,236.92637438816283,241.17759218778292,245.87904285945334,251.07844676987943,256.82726295652674,263.1832089169729,270.2108283905434,277.98149135830994,286.57339404309204,296.0721916890474,306.57337620760165,318.17813748765224,331.0002470772422,345.1671144359153,360.8197869347169,378.1129498561909,397.215943960851,418.3157896166528,441.60488978218854,467.29916029550293,495.64133707038815,526.900976096379,561.3744534387598,599.3859388052977,641.2779456536763,687.3970986693657,738.1321247321104,793.9183131899194,855.2375158590673,922.6181470240945,996.6178761835625,1077.770291260106,1166.6487262957721,1263.8881870322748,1370.1853512749335,1486.2985301520478,1612.9887987695613,1750.9396021331008,1900.8719206665344,2063.55746892575,2239.818695598657,2430.5017972548208,2636.2797128182015,2857.756779600569,3095.5393512581195,3350.233370717858,3622.407916908052,3912.334686681293,4220.124987915145,4545.823457791184,4889.405280290474,5250.653940304289,5628.950191919661,6023.539559734352,6433.569994032311,6858.058413663891,7295.637184255215,7744.7410113236065,8203.758820162997,8671.020001827412,9144.607577501669,9622.47643378775,10102.636824216142,10583.147453865016,11061.988246984545,11537.163476050206,12006.826716639938,12469.272999091565,12922.86654138042,13366.119812829027,13797.729609223348,14216.568444427094,14621.659699307376,15012.23763861342,15387.688347131825,15747.536899604098,16091.444975425005,16419.29630832104,16731.11423573021,17026.97917941795,17307.029087797986,17571.54862008616,17820.943478169233,18055.639497033626
D,244.27870268510392,271.0502537755505,299.20795694267184,327.83657915343593,356.3269378755034,384.27820867798516,411.44042734712235,437.6557535550325,462.84359620273653,486.96232454726584,510.0030833335784,531.9832620867683,552.9250117533364,572.8602415697719,591.8320582821663,609.8815327757441,627.0468629834126,643.3698012514333,658.8937880494693,673.658841096012,687.7015766468562,701.0560183862486,713.7579585760117,725.8412263888326,737.3373437195366,748.2756914582263,758.6835094902805,768.586300625928,778.0100419974953,786.9787341652487,795.5149827193262,803.6402120452918,811.3746653241388,818.7374045322878,825.7463104415867,832.4183419488337,838.7704323608793,844.8181343011768,850.5762131469985,856.0587426241823,861.2791048071302,866.2499901188089,870.9833973307493,875.4906335630473,879.7823142843629,883.8684889921373,887.7596106010913,891.4651639851421,894.994006050349,898.3921995526068,901.8187237942511,905.4174386878337,909.2846853625172,913.499982478452,918.1255627365452,923.2249137580762,928.8614508601074,935.0960479729815,941.9973844949455,949.6414125568106,958.1078798568835,967.4851522812719,977.8725542209229,989.3803833540287,1002.1294823660842,1016.2511957505617,1031.8929420649993,1049.2193334667893,1068.4121757131786,1089.6710027621211,1113.2177575475414,1139.2922924321629,1168.1640058679639,1200.1344747260641,1235.5374542967224,1274.738878289337,1318.1398342576585,1366.1884780648677,1419.361318805887,1478.194719617697,1543.289780906784,1615.3123403491436,1694.9929728902696,1783.1318292501837,1880.6155995521465,1988.3617300007713,2107.4007708967006,2238.8916690711003,2384.121767885642,2544.5068072325303,2721.596141362012,2917.0385819981484,3132.5146937680147,3369.910332418332,3631.3378123354114,3919.1359065451584,4235.86984671308,4584.261145789103,4966.951826511279,5386.788092717578,5846.925956225016,6350.831247083614,6902.279452216117,7505.097579370842,8162.798703359872,8879.10451578497,9658.011951190649,10503.793187064202,11420.872564290423,12412.919888030718,13483.323383089766,14635.519506214068,15872.982264586268,17199.049788082626,18615.683552777562,20124.099890415207,21725.203240303017,23419.572595673115,25206.860007496325,27084.743039051064,29050.194444386903,31099.655031487648,33228.865587655004,35431.58144841263,37700.469191264725,40027.85492390085,42405.65499292609,44824.409252712714,47273.85383494136,49743.87919365906,52224.49811192647,54705.16761087203,57175.31574261022,59625.05163643385,62045.13026310972,64426.54118717158,66760.94026319623,69040.92285817377,71259.98388159827,73412.34600854329,75493.28084269185,77498.89357281059,79426.06335234048,81272.40581344001,83036.67889841637,84718.42815027361,86317.56011869176,87834.34427800724,89269.8511589783,90625.8256731496,91904.17524196074
E,33.47402008719674,37.14211476336689,40.99766412913768,44.91356414555507,48.80541804897703,52.618000725334525,56.31723659533524,59.88200386888357,63.30200147425623,66.57237652434702,69.69282386664929,72.66665149688824,75.49774361334646,78.1912539166528,80.75381862375008,83.19167923309755,85.51056089715756,87.71660191219419,89.81609808824592,91.81478506636974,93.71784311116107,95.53002070825625,97.25628062917686,98.90124677800443,100.46919157150815,101.96406294929794,103.38948437382466,104.74881993010217,106.04550134230055,107.28262866400195,108.46311021341978,109.58969984487524,110.66499694879744,111.69144645172314,112.67133881629685,113.60684658307764,114.50012330239515,115.35310845159755,116.16764660877105,116.94550266549678,117.68836182685065,118.39782961140317,119.07543185121985,119.72261469186093,120.3407445923813,120.93111773730779,121.49503124013238,122.03368307754877,122.548203412987,123.04539776628917,123.54929584489517,124.0818075269605,124.65776471723936,125.28961198429158,125.98731914701769,126.76119704681014,127.6216929038143,128.57902947633107,129.64478434457894,130.8318159003493,132.15376467333414,133.62581958704098,135.2650957750801,137.09063843784506,139.12342438766683,141.38636915009752,143.9052783380818,146.70906263995906,149.82973781946325,153.3025242240331,157.16676305401123,161.4651371825299,166.24576514554695,171.56268122749944,177.47583546130298,184.0510936283522,191.36079449072477,199.48614546214696,208.513863757097,218.54186254282226,229.6801458297105,242.05080847129062,255.78803616423005,271.0390321348744,287.96778986020144,306.7448890558268,327.56241852007895,350.6368131952431,376.20885416755834,404.54366866722245,435.93185406936095,470.6849448200012,509.122084959529,551.6020541077814,598.5273470436247,650.3441737049549,707.5424591886989,770.6443952423054,840.1615386152232,916.6459161455132,1000.7107588859589,1093.0305056544116,1194.3407752929147,1305.3915441316092,1426.8781565133036,1559.5386325439865,1704.1672407734159,1861.6144981951206,2032.7639328231096,2218.3592410120577,2419.092510744144,2635.6679201527504,2868.7997955035876,3119.1789411033524,3387.230361378129,3673.233772665929,3977.408012853265,4299.908444168874,4640.708134549095,4999.388173767526,5375.3875878174595,5768.038101032963,6176.530688011121,6599.656919516505,7035.986572256718,7484.019514463756,7942.1719069765195,8408.57950822336,8881.21214055725,9358.07033394808,9837.178997526367,10316.447128618567,10793.774740784638,11267.200104804191,11734.89249866397,12195.065055669387,12646.063281278397,13086.42299872393,13514.862087135552,13930.242262175652,14331.634201566914,14718.276212429802,15089.562151473456,15445.032548116847,15784.453731964955,16107.749030099141,16414.91272962874,16706.010442989013,16981.265754057935,17241.03482118218,17485.70461267941
F,22.86030640101241,25.3694024003479,28.028353533498453,30.765909571322318,33.53429129439922,36.30120064008879,39.0453479432334,41.751883616526165,44.41147294891705,47.0174402695227,49.5654414084952,52.053065813969035,54.4783327815654,56.84011580466222,59.13824127330534,61.37261369653207,63.54318099434724,65.65035726851062,67.69486788192302,69.67743529339363,71.59878516225663,73.4596865489951,75.26118185906458,77.00437297200317,78.69036549670996,80.3202756221596,81.89523011740232,83.4163749073676,84.88496239783468,86.30229416128552,87.66966060798926,88.98834129143324,90.25960490832279,91.48470929858141,92.66490144535045,93.80141117127911,94.89549861567059,95.94849688486936,96.96170705987903,97.93639144386677,98.8737735621634,99.77503816226331,100.6413312138247,101.47375990866925,102.27339266078232,103.04128215089773,103.77863615109369,104.48654442132043,105.16603631806848,105.82611844136125,106.49993818193359,107.21790320501239,108.00071400377286,108.86592199597712,109.82777681339658,110.90113491942694,112.10115956984774,113.44281719248026,114.94306542433947,116.62074610420295,118.4959078384264,120.59087511908645,122.93077140131494,125.54352502959817,128.45990191413344,131.71350907735,135.34214280790377,139.38810517046338,143.89820400571045,148.9238981412284,154.52262745045056,160.756636565613,167.6960086298355,175.41936507875377,184.0138656405183,193.57520833579548,204.20843293283116,216.0312807819934,229.16923762266788,243.76382685628155,259.97390973768734,277.9756853751646,297.9626907304165,320.14712350523473,344.76485895856126,372.06048410815663,402.30913656944307,435.8206155060253,472.9393816296874,514.0445572003986,559.5514347524457,609.903385072585,665.5529132689562,727.0082971806175,794.8393959633765,869.6776500897912,952.2160813491719,1043.1911154869897,1143.3189292235613,1253.371162787256,1374.204108154135,1506.7587127135419,1652.060536205022,1811.1498655049072,1984.9813485049876,2174.565951258564,2380.989529916204,2605.41283072575,2849.0376844381267,3112.857253653735,3397.7850866675644,3704.7460405021266,4034.6733712462333,4388.46092422334,4766.61992522364,5169.4529239221865,5597.174609163523,6049.908131633871,6527.519533092399,7029.327599784821,7554.457489457248,8101.890281264581,8670.416906827528,9258.284121919361,9863.444501881482,10483.766612801894,11117.016065016662,11760.589557570098,12411.675239211567,13067.517736650398,13725.409159059112,14382.502616323036,15035.958210289728,15683.134250192688,16321.57687691634,16948.90796902529,17562.94232960454,18161.755000195466,18743.669571672297,19307.21294795314,19851.202527384157,20374.67815058765,20876.884870648864,21357.264491907325,21815.56861465228,22251.755150245626,22665.871321370294,23058.054212342588,23428.65203316851,23778.18870475709,24107.223734268864
G,1.9594548343724918,2.175860528473404,2.4123327529090686,2.6679298370837565,2.941869438907147,3.2332580729810205,3.541034100316972,3.8639098473795968,4.200459832418427,4.549137109460905,4.908335067877175,5.276429171457755,5.65182950540674,6.033000789253132,6.418457047248955,6.806815897636403,7.196810788824958,7.587261918953468,7.977070318446529,8.365247673503955,8.750917949096266,9.133307773673726,9.511702388945833,9.88547715706689,10.254081709503605,10.617037220476067,10.973936406957721,11.324433976030427,11.668213708169528,12.00504520464877,12.33473632980143,12.657126165916285,12.972085013237596,13.279514389965133,13.579347032254137,13.87153716956331,14.156056898736363,14.432951055379363,14.702275644076845,14.964092333040812,15.218468454110708,15.465477002753433,15.705196638063343,15.937711682762252,16.163112123199415,16.381499837427622,16.593033877743324,16.797853444583716,16.996092410055414,17.1904768921557,17.391580248810303,17.60927500190838,17.850452709889804,18.121167581579112,18.42657205904848,18.772178432093718,19.16376137669163,19.607214052636067,20.109265516545385,20.67745595595205,21.31995281938122,22.04593917191215,22.865811967090593,23.791185934422856,24.834984398666318,26.01146121193048,27.336769436325667,28.829118517018152,30.508774282230274,32.39812812906025,34.52238562988986,36.90909903893217,39.58954893302173,42.59906726255427,45.977037351486395,49.766893897335805,54.01651296289427,58.78010867496195,64.11611111862946,70.09089092227005,76.77936081388506,84.26497562110424,92.6397322711845,102.00484092979393,112.47424372069929,124.16806776988886,137.22228299456393,151.7906264822215,168.04460249065204,186.1734824479429,206.38531719082295,228.90709563423746,253.97503795560795,281.8557895823787,312.8493959355495,347.289302429676,385.54235447287067,428.0045283737096,475.0753785710254,527.1891130542926,584.8304589384896,648.5346680653003,718.8875050982738,796.4985692336653,881.9561298699548,975.890734518162,1078.986967832286,1191.983451609308,1315.6577593453703,1450.709871303253,1597.8185828383148,1757.6879975263123,1931.0465015984057,2118.622073123259,2320.9625770937273,2538.517919975714,2771.7001540342817,3020.8815626388277,3286.299037921064,3567.8810639112576,3865.433951600659,4178.666281976336,4507.1603733938355,4850.147175508078,5206.64162514288,5575.566493910412,5955.740400130935,6345.697742109039,6743.7771713803795,7148.302264217289,7557.576895175422,7969.748379698827,8382.900648831042,8795.211067920969,9204.945561023793,9610.363056767028,10009.803492995648,10401.77300033706,10784.937923622201,11158.07150751681,11520.116256921721,11870.181243208826,12207.533644982246,12531.580251910656,12841.922808570509,13138.324839193234,13420.63417618954,13688.783131906746,13942.856301870195,14183.070055691876,14409.686065716034
H,2.7758943486943632,3.08280217773271,3.4199234916797883,3.7871639682584166,4.184144958156546,4.609923720415368,5.063003938787757,5.541347352987595,6.0425538858799,6.563962463987389,7.10276936607472,7.656112226009404,8.221201088697365,8.795342931020357,9.375928108909934,9.960547883035062,10.547016734188972,11.133307325820056,11.717542674996913,12.298054296024901,12.873384447819078,13.442266727447931,14.003538321294561,14.556204031726269,15.09940303488228,15.632403316365483,16.15460167124239,16.66550501155781,17.164666806946208,17.651798742123766,18.126676720151536,18.58912701065532,19.03902624982566,19.47630144041786,19.900929951751927,20.312921384644532,20.71231337273041,21.09927489294859,21.473988561091247,21.836640215654164,22.187418917836762,22.526516951542124,22.85412982337693,23.17045626265154,23.475698221379915,23.770073541436304,24.05390931534794,24.327487539615728,24.591073933127852,24.848175175982345,25.112088785017725,25.395074403998773,25.705522532091177,26.05061188531481,26.436239306631915,26.86859565786373,27.35404144495031,27.898905731967822,28.510369008411878,29.196420495858618,29.965592898866912,30.827400768820596,31.792555224408332,32.87296673967322,34.08177605128891,35.433357272659485,36.94388665682827,38.63148188504028,40.516202066742274,42.62011112086696,44.9678642791466,47.58619931174014,50.50524775322834,53.75883879216054,57.38449927105414,61.423453686394986,65.92097476775253,70.92786481146885,76.49830624250505,82.69346041507447,89.58203310813164,97.24027452537237,105.7519792952325,115.2090670072811,125.71383436737334,137.37243483771593,150.3043813894123,164.64434174743513,180.54213839062444,198.1627485516905,217.68698259755874,239.3081443902565,263.2236410987414,289.6553817933504,318.8523381205181,351.0905443027771,386.67309713875875,425.92239934873714,469.15230209888324,516.7010976788199,568.9444972325794,626.295632606547,689.2050378473292,758.1301329207555,833.490837445289,915.732013356889,1005.3318627993782,1102.8019281244462,1208.6721932954722,1323.3805192546204,1447.3293785352605,1580.9264824730412,1724.5835248494366,1878.694971919468,2043.4851664910086,2219.085379638234,2405.5881442013592,2603.0456553296603,2811.395934172086,3030.3324843107002,3259.4629282269025,3498.3317310432085,3746.399605458546,4002.884307172773,4266.872879644508,4537.417121602952,4813.525101697739,5094.040854169684,5377.7165548924995,5663.332685803804,5949.693942668855,6235.544121891426,6519.631942524339,6800.797355996715,7077.966689537748,7350.100947956695,7616.248562324965,7875.575237016253,8127.358512621304,8370.966517055029,8605.897026935609,8831.746274714593,9048.201065557725,9255.034808479544,9452.157609528596,9639.569880140114,9817.309843843334,9985.453779832238,10144.170065640199,10293.703288492026,10434.311891585676
I,13.063032229149943,14.498286640979089,16.027152360756414,17.614526490738484,19.236541104230128,20.876460630128133,22.52251604482055,24.165694025399816,25.799429471877062,27.418297028185,29.017944966602553,30.594965784775294,32.14626730852974,33.66929531589003,35.16206537829848,36.6228252894001,38.05005402301705,39.442607525159445,40.7996357595144,42.12046489693835,43.40460012314747,44.65172652669945,45.861745270994334,47.03472874855111,48.1708479142688,49.270369681836485,50.33365692373326,51.36115563854122,52.35338908559341,53.31103552836154,54.23480066809804,55.1254043676348,55.983580651383164,56.81007770533391,57.60565787705725,58.371083310101305,59.10715767771043,59.814815280649,60.49496959371007,61.14850215525525,61.77626256721469,62.37906849508707,62.95770566793963,63.51292787840818,64.04545698269702,64.55600915656512,65.04549208894504,65.5146953877761,65.96435169710463,66.40035139725462,66.84417948752676,67.31545272049426,67.82742836220996,68.39123264289508,69.01577057238902,69.71025510219962,70.48401395316698,71.34615511672926,72.30697788320745,73.37789934078856,74.57099935500376,75.89969345956202,77.37905851700633,79.0258356744099,80.8584150756158,82.89682889561794,85.16356814702374,87.68376363428553,90.48518595370055,93.59833006380003,97.0571653286431,100.89841508689051,105.16335895709095,109.89824551363928,115.15429228677593,120.98768576258746,127.46004746662999,134.64028849524138,142.60165584158807,151.42667146613505,161.20789810180722,172.0479392539899,184.05943920052707,197.36584238759428,212.10399876889082,228.41533779406595,246.45886642783412,266.41357813984393,288.4784529046749,312.87245720184217,339.83535679176913,369.62211302990414,402.49214422101545,438.73683013814525,478.6828538501653,522.6922017217786,571.1621634135194,624.5140257721562,683.1552698990993,747.5247786446132,818.1096021813119,895.4449595363437,980.1142127208232,1072.7074926311511,1173.763007507337,1283.850569545527,1403.5822378333435,1533.6123183498914,1674.6177075935489,1827.152773871563,1991.7249832851235,2168.848057670268,2359.0402889746183,2562.7970115270373,2780.3928487384114,3011.982865021182,3257.673019211826,3517.5180740325986,3791.426557143759,4078.994545462789,4379.709696136008,4692.979926571526,5018.106953883911,5354.083477085227,5699.736924792119,6053.849624936847,6415.14788472707,6782.149667967869,7153.256371483712,7526.903594095437,7901.5558721073285,8275.600035664105,8647.428317059643,9015.546675483702,9378.568777440467,9735.152052383135,10084.064226337094,10424.221075113252,10754.679709678983,11074.612882634241,11383.358562014511,11680.380694054023,11965.259342933412,12237.685959274464,12497.527898601707,12744.769208797306,12979.44397842382,13201.636651652878,13411.551207745444,13609.49100646226,13795.778963267923
J,2.2860306401012402,2.5389040494944517,2.817347214143239,3.1218183999584017,3.4524252302691374,3.808731943135463,4.189785931467077,4.594145276918414,5.020026498148998,5.46539660107538,5.928069055202759,6.405773569060459,6.896267425218454,7.397354730033224,7.906878092497153,8.422818247582327,8.943312799093064,9.466607095070374,9.991049842231845,10.515145833002647,11.037558620464967,11.557096700965486,12.072646969223394,12.583222311643393,13.087944915547462,13.58604259851907,14.076848808403152,14.559789169192637,15.034331660685838,15.500065606531154,15.956639780698959,16.403752803297134,16.841153140571073,17.268639104903674,17.68605885481533,18.093295077541274,18.4902531562091,18.876946977832098,19.25341013578915,19.619687655191925,19.975835992884846,20.321923037445085,20.6580281091826,20.98424196014012,21.300666774093123,21.607424277014015,21.904713840993477,22.192710599104124,22.47158486118963,22.74517265315114,23.02840431401781,23.335227788868256,23.675384716927102,24.057440991176136,24.488695256632578,24.97696207347463,25.53043435790481,26.157481357945287,26.86766358496098,27.6716985563236,28.581203496650797,29.609248103018786,30.77063704212276,32.0819155889157,33.561504282766904,35.22973439853519,37.10966391488096,39.227303880220106,41.611618412724155,44.29462424582628,47.31238981823354,50.704384600625616,54.51546606156816,58.79634352285265,63.60357815949584,68.99958299974027,75.05318642151005,81.84243588372586,89.45161689259677,97.97657936142626,107.52560058627928,118.21938524598295,130.19106540212456,143.58717668128983,158.57305113357359,175.32364535127618,194.03724284475558,214.93821096436395,238.27700090044513,264.33014768333874,293.4018201861365,325.8254670219905,361.94988601289737,402.16931605529527,446.9277702207301,496.7190357558565,552.0866740824389,613.6197530690096,681.9186027700616,757.6375393380763,841.5083929140039,934.3405172247799,1037.0207772185727,1150.4790918834892,1275.6260547107736,1413.4421735627575,1564.996269258629,1731.4454755744378,1914.0147767322367,2113.8350976179677,2332.020854163514,2569.7388498493606,2828.2071288964426,3108.6596005291235,3412.0860133069555,3739.347342596864,4091.263535607866,4468.610860349561,4871.9775059053,5301.4995004199545,5757.132088205382,6238.684296892606,6745.7738005810625,7277.470119490059,7832.492309561875,8409.394255112102,9006.545014813639,9621.832409730187,10252.790077567151,10896.885508112813,11551.512664822216,12213.75828258986,12880.54457215905,13548.902436250663,14215.965141276329,14878.795138644069,15534.531174431211,16180.563897656753,16814.528496821917,17434.196963386345,18037.579522658605,18622.969254498308,19188.932558347653,19734.26605708847,20258.06261096108,20759.70021688199,21238.72121336537,21694.832337412703,22127.99747465868,22538.409853278423,22926.362644312234
