Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,7.034101422469711,7.79798604106147,8.570487802009826,9.307406140700966,9.982998724460375,10.583400315032465,11.102943357696246,11.540405300141295,11.898271398110658,12.18040989191182,12.391832976034285,12.538412989062603,12.625680730168163,12.659209831747527,12.644731678588936,12.587475491089752,12.492158251172006,12.363369537269913,12.20545458587008,12.022339057010123,11.817546571639177,11.594246928311257,11.35547476688624,11.103942312931256,10.842100519255451,10.572152249378592,10.296052277531054,10.015534864627394,9.732229171305674,9.447506624936647,9.162592874665192,8.878586434528074,8.59645868345396,8.317053865263397,8.04108908866885,7.769183819123212,7.501923596636404,7.239709612476931,6.982882908308525,6.731737899759503,6.486522376422761,6.247437501855785,6.014637813580637,5.788231223083956,5.568279015816985,5.354801697563774,5.147825906949008,4.947329413105011,4.753261211802247,4.568778283477623,4.405993689680911,4.274844964218731,4.180363339119021,4.125933902965852,4.113180320676815,4.1438776722007535,4.219763056025135,4.342220295873892,4.5133049088568695,4.73564759207375,5.012055639210859,5.345934103264995,5.741447257175993,6.2035170113471345,6.7376888116075655,7.350118526027752,8.047961607087721,8.839416279348992,9.7337235394546,10.741201513778975,11.873471106823255,13.143043012971118,14.564156757672007,16.152964328501316,17.927530175160182,19.907831209475688,22.11598068640864,24.576707075189304,27.315495989717654,30.361429738233024,33.747600999711366,37.5111128238654,41.693078631144026,46.339040053924386,51.49897780170812,57.220815729571484,63.5595372684558,70.57873971040775,78.35063420857848,86.95604577722501,96.48474241141736,107.02684036312448,118.66450152594447,131.49396443078015,145.6279120074599,161.1954715847382,178.34221489029565,197.2179866708656,217.9399899119619,240.63484667925405,265.45275166196575,292.5674718615751,322.1763247588584,354.4622669892573,389.5377365910109,427.5258214154867,468.57203777166933,512.8443304261627,560.5165972055444,611.6388761786443,666.2101199446843,724.2404075262652,785.7502017148481,850.747947194488,919.0573108797328,990.4182858670848,1064.573017558257,1141.2650960202307,1220.1585654398643,1300.6917596335077,1382.2857330305483,1464.3816823716706,1546.416551182708,1627.6373648901151,1707.2442135285678,1784.5066992197337,1858.7523173331758,1929.2159026610861,1995.125842611004,2055.8285349587086,2110.7793518201956,2159.430850341117,2201.30118126921,2236.042725743985,2263.431109665356,2283.298351025104,2295.5809782423735,2300.3192579184174,2297.6471272514364,2287.7694407138424,2271.0027602020095,2247.7064146338726,2218.2698368767274,2183.1142006517357,2142.7616667520715,2097.76156467335,2048.6274221804506,1995.837404275463,1939.91123935962,1881.3931917905263,1820.7758979516652
B,0.5134380600342857,0.5708200412967692,0.637278475526027,0.7148762163064719,0.804336774829226,0.9053169882926231,1.0166864714248791,1.1368098545989282,1.2637252596936297,1.3953774882367127,1.5297068216409735,1.6647057810030774,1.7985856007761898,1.9297430771491033,2.0567226145560453,2.1783176781239164,2.2935766677034657,2.4017065221923533,2.5020795982806736,2.5942429605334576,2.677911180945727,2.752943761527667,2.8192686899797454,2.8769540346548172,2.9261324073995363,2.9669928632239038,2.999780900301271,3.0247832344550063,3.0422986861395183,3.052736413285023,3.0565069797706537,3.0540090255685812,3.045629266744016,3.0317424954552057,3.012711579953435,2.9888850455111577,2.960640719770249,2.9284052314291307,2.8925801494791488,2.8535377561365642,2.811621046842551,2.7671437302631996,2.7203902282895154,2.671615676037418,2.6210459218477444,2.568892411978549,2.515468358636069,2.461019559361056,2.405754884859556,2.3522635667823644,2.3098064711312323,2.2861872168264274,2.285677887274023,2.3114408124063837,2.36541564776659,2.4497131725091363,2.566465216093494,2.71759806489769,2.9055785530415057,3.1333430877711144,3.404026098250205,3.7212782426681597,4.089389709786076,4.513289874885081,4.998486505166322,5.55105440636791,6.177961169392632,6.887121521258398,7.687397325098254,8.588630885922164,9.60189109051473,10.739101337162458,12.013801059663766,13.44131715471098,15.038763981890163,16.82504336368129,18.82105374311574,21.050216413410876,23.53680569914236,26.308495736498067,29.39673733990686,32.83675800203866,36.667561893803956,40.93232260354674,45.67862956459291,50.95259742592043,56.807050724350255,63.30294331721364,70.50935838235122,78.50350841811441,87.3710863398876,97.19901979641693,108.06762814619921,120.0706310825478,133.31735604348003,147.93273821171744,164.05732051468618,181.83662755466713,201.38769328975567,222.8369478890428,246.33348775249985,272.0490757384231,300.17812198786413,330.9033652634252,364.343965252958,400.6298989920459,439.91318931332046,482.3679048464627,528.1749493885343,577.4012772131301,630.0665909724429,686.2016696880294,745.8477276880175,809.0352695153367,875.6201563228105,945.3777159630746,1018.0839276936235,1093.514775255364,1171.36826635072,1251.1217697159286,1332.2313252888455,1414.1678584152069,1496.3934824709074,1578.1783404024025,1658.7382884771437,1737.3506781286305,1813.3431304209942,1885.942591056838,1954.3590365344426,2017.9143572830565,2076.033880079934,2128.131045508517,2173.6762798468453,2212.2742957670384,2243.65348705932,2267.5928784994694,2283.9732084120055,2292.785111489765,2294.119161159473,2288.13636876379,2275.1103972268193,2255.3660692127955,2229.266973201663,2197.2135494280487,2159.708188523084,2117.287899543751,2070.4593492848467,2019.6992552224212,1965.529340077586,1908.499201740625,1849.1100681125995
C,16.89211217512799,18.72410215943232,20.5640705775372,22.297993116933085,23.860320652161374,25.21702504895433,26.355902459697322,27.276688236142,27.988904187459415,28.50563621511717,28.842785724817357,29.01826900774542,29.048725288337167,28.950544978128473,28.740233736738315,28.43259598453542,28.04070366012166,27.577040379543597,27.053194773204332,26.47942474312257,25.864717413588505,25.216952281715717,24.543581656029918,23.85102446225138,23.144973721469754,22.430445373377594,21.711778276270394,20.992727516964113,20.27678103173762,19.566610567711166,18.86454886024855,18.17265911211234,17.49273499346384,16.826300641863117,16.174610662269025,15.53871233127724,14.919484826694422,14.317315766970065,13.732492946842617,13.165239111554778,12.615711956853502,12.084004128990012,11.57014322471977,11.074091791302473,10.595747326502128,10.134930925632295,9.691300344554884,9.264503936779487,8.854177718328316,8.465042328597628,8.115970909415488,7.822159132026193,7.590865646383636,7.426565481420065,7.330803477411967,7.305254715093054,7.35143488584297,7.470185839725326,7.663312565789253,7.933426017145384,8.283273600257225,8.716387026974608,9.237324144731815,9.85166484725337,10.565730438677507,11.38656226398829,12.32245394598111,13.382976766229362,14.578979665084496,15.922626935420823,17.427587555629785,19.108516884915428,20.982081649711024,23.067174991677728,25.384916467704315,27.95865204990742,30.814208115760515,33.98025287831536,37.48604215531725,41.36489090945773,45.654664988945086,50.39778112750445,55.641206944377146,61.43691729259216,67.84133226594703,74.90774302439472,82.69724485921753,91.28053810010785,100.73792811516694,111.15932531090678,122.6444863123083,135.2916840389519,149.18913144368332,164.44042303797107,181.16711189534266,199.5087096513847,219.62268650374344,241.6694989977925,265.7706095143677,292.05755393091033,320.6870328812264,351.84091007531714,385.72618626521955,422.5319576617002,462.3681653846942,505.3561880658025,551.6410665799631,601.3915040454527,654.7818504262887,711.8518130036241,772.586988460822,836.9853773961196,905.0564952620144,976.7974338302354,1052.010098143091,1130.410126739781,1211.7168608302713,1295.6525061216194,1381.8567912907765,1469.7355197903291,1558.6780176712725,1648.0949896727436,1737.3929876864845,1825.781947626329,1912.4235220680175,1996.5497238934627,2077.450841950954,2154.3204633425166,2226.344014173562,2292.8265356364277,2353.183481286679,2406.826163945687,2453.2319377491717,2492.01643346685,2522.922538568048,2545.7514688981673,2560.4128363360173,2566.926344244775,2565.411583368833,2556.0637452558244,2539.196472872073,2515.1722943365744,2484.389633907777,2447.2835251511938,2404.397894449373,2356.3097117243447,2303.5618550321055,2246.663560267544,2186.171164516175,2122.6700312009393,2056.6934586536713
D,76.81033378112913,85.13661865455464,93.47861096767548,101.30546576514406,108.31393130989461,114.34931426351682,119.3598410810697,123.35014012200921,126.37070142143547,128.4884095099772,129.78279842430018,130.3422051200935,130.24805173356833,129.57974191945132,128.41652209176738,126.82883076140791,124.87815900834187,122.6227262388977,120.11602650416604,117.40491337445486,114.52992311491526,111.52612354476574,108.42650218988928,105.25885396564422,102.04761752938857,98.81413947789034,95.57667434732706,92.35085779322596,89.15112426727953,85.98783835575888,82.86996330549741,79.80542956669447,76.80113479291533,73.86294384109117,70.99568877151934,68.20338055026346,65.48895752998543,62.8531763186341,60.29648255877615,57.819154951870125,55.421305258266436,53.10287829720737,50.86365194682706,48.70323714415141,46.62107788509841,44.61632835317534,42.68689720895081,40.83094165675003,39.04670309323751,37.35553127471959,35.843071591125096,34.57855889821203,33.59541265287986,32.914627533332315,32.5440662634792,32.49230883256067,32.767323998040624,33.37414795781318,34.32229197395224,35.62503054032809,37.29640533865182,39.35417959937331,41.820941261249466,44.724085666889486,48.09460768457506,51.9670303898465,56.381878960612305,61.38582789622961,67.03170101750433,73.37865250610226,80.49318376863035,88.44683103700359,97.32095775468578,107.20776674655636,118.21030021890907,130.44243975945335,144.03012027142955,159.11354612743926,175.8368868460007,194.36426755181407,214.8820624822921,237.5988949875609,262.7456375304563,290.577614500362,321.3735585194314,355.40068393163904,392.96486355174915,434.41903565343114,480.1632039692521,530.6444376906879,586.3583590132903,647.8007329490581,715.4258891870313,789.7646309874847,871.4365737238973,961.150144882954,1059.7025840645476,1167.9139833155668,1286.434058207879,1415.9668328224,1557.343481403654,1711.5223243910064,1879.5887127774804,2062.557125087864,2261.082312767992,2475.882476501577,2707.7994205244418,2957.7985526245316,3226.883581702104,3515.426997497417,3823.546989879191,4151.426197513485,4499.307714023125,4867.377964706519,5254.868999507727,5660.57903549993,6083.308376404178,6521.855262318504,6974.5874591106085,7438.669270095341,7911.138081343681,8389.093620697704,8869.56854794056,9348.532286120097,9821.634205539183,10284.824752275483,10734.294832317073,11165.65715697555,11574.396326483577,11956.577757809442,12308.803720469155,12627.585266776105,12909.717931515834,13152.729109827373,13354.823227594932,13514.474661531096,13630.715084080719,13703.209896294185,13732.205454940524,13718.352725866189,13662.944743120192,13567.603798384916,13434.21487997183,13264.903246033746,13062.38779204046,12829.625865137788,12569.44187138115,12284.529318932386,11977.864531802203,11652.609083220063,11311.677538863409
E,10.525480230702852,11.666004793588343,12.806389808343058,13.872522255012948,14.822287260774344,15.634521337702813,16.302582855745587,16.827799593984164,17.21793657705861,17.483023724226396,17.63480241434953,17.68617458358327,17.648961741122225,17.534601438036464,17.354427617547582,17.118438761260613,16.83527878171722,16.513071859589882,16.159217493565404,15.780134534207166,15.381311296603238,14.96743493701424,14.542893500897526,14.111306204900467,13.675826151053244,13.23918156852067,12.80367581360223,12.371258428142925,11.943719981907941,11.522252562487013,11.107873911640388,10.701484307996528,10.30386656705213,9.915686041172073,9.537490619589496,9.169731376046284,8.81267946549929,8.466316724509213,8.130599934519024,7.8054787754490205,7.490895825696803,7.1867865621373,6.893079360122751,6.6096954934826995,6.336549134524031,6.073522912350566,5.820276356199616,5.576534274765783,5.34204888070691,5.119964912344532,4.922869920288986,4.761040871991775,4.6395747174102056,4.561820736093368,4.529263068113136,4.543538840494502,4.606239445247395,4.718576026494287,4.882459987616983,5.1004002098868835,5.375078751879502,5.709791412288399,6.108614446875231,6.576402617635223,7.118638249043678,7.741423797532653,8.451875744794659,9.258161950893667,10.169501654265144,11.196198045654905,12.349853551122816,13.642993684121294,15.089875430713104,16.706662113889045,18.511423393567735,20.524135266595835,22.766894899975057,25.264422684115047,28.04233113420539,31.129807468288796,34.560006135316584,38.37004881514887,42.601024418553855,47.29838812780743,52.51212852531264,58.29075032831197,64.6897699717979,71.77317510044543,79.61342456861117,88.29144844033485,97.89698986217195,108.52107407863262,120.24823403626877,133.17696719097285,147.42196975460453,163.11413669499123,180.4005617359283,199.43371892076468,220.33770091961708,243.24681822582932,268.31899511595043,295.73576980110494,325.70227513975277,358.4126934856226,393.99809845859346,432.60156244980476,474.38949949746586,519.5516652868577,568.2858021274989,620.6757720690053,676.7587075374272,736.5836770086929,800.2110303905351,867.6908056868424,938.8957442590087,1013.6162045471472,1091.6416792821997,1172.7600893017918,1256.6774087718165,1342.8701805203664,1430.7882713857748,1519.8914560686558,1609.6249445614328,1699.228480112114,1787.8771663914895,1874.802276758213,1959.279770475747,2040.4715536981626,2117.5115976103543,2189.6453644332832,2256.2214601874757,2316.567989510083,2370.0656164977827,2416.2368678822504,2454.735457630454,2485.264686877884,2507.6340251383294,2521.776005128186,2527.735910751717,2525.6352162340527,2515.7177021345433,2498.2909257702795,2473.713376922016,2442.3892744079603,2404.834728835953,2361.6114948153268,2313.2556114467784,2260.277781136283,2203.2418209486004,2142.74610017833,2079.341449963648
F,7.188132840479997,7.96955762596174,8.764034103390498,9.529124756650239,10.23999233349226,10.88303726359757,11.452382326935572,11.94628620043063,12.366480102077729,12.715966951801907,12.998818980375578,13.219925043461595,13.383871904884563,13.495317578849885,13.55910002048282,13.579634837559091,13.560911350134049,13.506849211564711,13.421183108624033,13.307313247017401,13.16832360764813,13.007024521279073,12.826139416018227,12.628133652833453,12.415272839944267,12.189634735577656,11.953109247968058,11.707418329483025,11.45419577525712,11.194873892798045,10.930767491000706,10.663087575450383,10.392941348422724,10.121332208883711,9.849159752489738,9.577233506556484,9.306306130276974,9.037011237259366,8.769922139396794,8.50555809032392,8.244384285416926,7.986811861793514,7.73319789831292,7.483845415575872,7.23900337592466,6.998876098650724,6.7636971812788405,6.533631048198201,6.308799537927824,6.094117448080911,5.90788939839932,5.765231233962949,5.673968111430011,5.639498368273667,5.664606631729415,5.752304038544304,5.90553826841901,6.126721924539917,6.41925052633237,6.787355570160774,7.235517069429885,7.7690853090472975,8.39451525974294,9.119364206424876,9.952097026871446,10.902066049404235,11.980079267718576,13.198463950166515,14.571066639756857,16.113302530622292,17.842478821430003,19.777201490172125,21.93858425778881,24.350512812121636,27.039644807913294,30.035409866807868,33.37032691617563,37.080682893781336,41.2039080166403,45.782609107167964,50.86515638226569,56.505683453320955,62.76408732620652,69.7066120512895,77.40585382443828,85.93171833030384,95.36421184532881,105.79561652051488,117.33049038142133,130.08566732816723,144.1907047303944,159.77592899420713,176.9611384430014,195.8861778753271,216.71420986240943,239.63171474814885,264.8484906491217,292.5808728639708,323.0011263958732,356.2955960333629,392.6841663746544,432.4202613457146,475.79081441754977,523.0643942664205,574.4143581071409,630.0303240309355,690.1344109540901,754.9812386179569,824.8353063357048,899.7925995587553,979.8801919891466,1065.1416414070382,1155.6359725214866,1251.4064811739088,1352.2404669317666,1457.8080599373918,1567.7799475728284,1681.826334761274,1799.5026244663616,1920.0419290427778,2042.6449674590551,2166.531845180794,2290.907479904362,2414.695061743397,2536.7361961501424,2655.9584542609177,2771.359092666924,2881.7860301956107,2986.059348985834,3083.159528252472,3172.2153539436495,3252.3365943672566,3322.714470790076,3382.73651436208,3431.971441533411,3470.062536304966,3496.8029414253247,3512.1501059653615,3516.2114075577415,3509.200305294971,3491.498826693014,3463.5689810023864,3425.934692629462,3379.178128865064,3324.0356318269783,3261.2993596727656,3191.7202867487667,3116.0087750735584,3034.945375853149,2949.3551846052464,2859.994042289397
G,0.6161256720411429,0.6838623156568933,0.7566574769979373,0.8333411925458739,0.9130001626562885,0.9947837213427254,1.0778580748536422,1.1613582272122895,1.2444392845744716,1.3262755406822788,1.4060924912434023,1.4831810298129606,1.5569198429489173,1.6267786378493254,1.6923056585178862,1.7531454311592933,1.809041381360091,1.8598081821715702,1.9053292357849463,1.9455536549078243,1.9804937870636943,2.0102167012858403,2.0348174901845955,2.054444538792292,2.0692668974824393,2.0794710608320672,2.0852609676217164,2.0868518743917086,2.0844608052315463,2.078346860851116,2.068764365656941,2.0559573112941725,2.040159356646591,2.021593827836601,2.000473718225237,1.9770012736952394,1.9513902295094414,1.9238716043697126,1.8946620311232631,1.863962097517334,1.8319563461991966,1.7988132747161565,1.764685335515548,1.7297089359447368,1.694004438251122,1.6576836090065334,1.6209076569910634,1.583802807519387,1.546476038691453,1.5105574436580624,1.4819462573744537,1.4656309428205057,1.4643589383455673,1.4801876845240984,1.5144108138118548,1.5684488536356402,1.6437536067261156,1.7416660782720537,1.8638948702184757,2.012472226080615,2.1895851766250884,2.3977847445372316,2.6400685578944967,2.919880852959271,3.241083359998189,3.6079549886668505,4.025415672989278,4.499066904090722,5.035191730197674,5.640777964534597,6.3237094280261665,7.092548077712734,7.957050536504964,8.928284444884119,10.018628460901942,11.241772260180781,12.612862673404342,14.148991500919527,15.868160256489453,17.790926431762955,19.94065360015106,22.343511416827077,25.02847561872619,28.02760667486241,31.376669804308474,35.11143825340382,39.272854882552515,43.90796581496371,49.06992043665104,54.81797139643354,61.21781751379529,68.33830598629419,76.24594216118626,85.01773767952254,94.74275004480597,105.52208262299207,117.46888464248865,130.70285430667866,145.32953590502976,161.4635864117312,179.23830700348574,198.805644607659,220.33618206002012,243.99826911446826,269.9233940847019,298.254677119019,329.15550151594397,362.80951372422976,399.4104640310976,439.0789324355977,481.90557342875934,527.9925893146549,577.4534269055523,630.3970549945984,686.8043317543554,746.593265239675,809.6782655985724,875.9696667213781,945.3106695575937,1017.3568472736514,1091.7301598194829,1168.0475631696006,1245.9011894511136,1324.6965551857484,1403.7623593636536,1482.4543343050648,1560.14611146201,1636.0882041479608,1709.4769406766677,1779.588726776556,1845.7741844995592,1907.339834687913,1963.6135189652343,2014.0467581152293,2058.2064625919284,2095.686274697788,2126.164443622498,2149.4438205243737,2165.443163293959,2174.1462830626538,2175.6464045831,2170.115941354287,2157.796027462417,2138.981981668869,2114.0694582653464,2083.5147224816506,2047.7666596125478,2007.266976567778,1962.5131881177686,1914.0420237680194,1862.3575184607432
H,0.8728447020582858,0.9689552531388819,1.0730086492500317,1.183811755102961,1.3002599934120067,1.4211351406596442,1.5450992861749697,1.6706863678703299,1.796404341754653,1.9207791322203869,2.0424138149936812,2.160017482189462,2.2724666034941374,2.378801862781972,2.4782028000165983,2.5700294847644796,2.6538265962158234,2.7292660769587993,2.796144982047722,2.8543805325499427,2.904004948252656,2.945149107918298,2.9779913663249435,3.002806929777013,3.0199057946694636,3.0296265802349347,3.032336528543734,3.028420192221704,3.0182626948716176,3.0023249475998366,2.9810562688315714,2.9548840596609995,2.9242138038512517,2.8894290678344294,2.8508915007115894,2.808941106535338,2.7639406247983644,2.7162809500545624,2.6663255162075914,2.6144076366962423,2.560830504494426,2.5058671921111833,2.4497606515906782,2.392723714512197,2.33493909199016,2.2765734176744243,2.2178870217509616,2.159075489691517,2.1002991555113555,2.0435657731974124,1.9960563109650367,1.9637513843237908,1.949836687157748,1.956581501638033,1.985260477834524,2.0372446020290176,2.113887116727225,2.216343078481697,2.3461522875762695,2.5051827296172187,2.6954091264356954,2.9191542824021464,3.1791804894494256,3.4786888052494738,3.8212526255585537,4.21080874108715,4.651885493646858,5.14963260815494,5.709821192634352,6.3388646727416,7.043960957720898,7.832844917367175,8.71428999288413,9.698218907130927,10.795703664622103,12.01896555152766,13.381507923628591,14.898411991391145,16.58524838189909,18.45974899126168,20.54205108561997,22.854697301146913,25.42263564404697,28.273465040052983,31.437476856662254,34.943884881398645,38.826141166402294,43.12284419351908,47.87773887430002,53.13971655000221,58.96301323664969,65.4023231885331,72.50799611467372,80.3388232001435,88.9634176075586,98.46021447707946,108.91747092641093,120.42634635637326,133.05965574378405,146.896145551889,162.0287748937185,178.5647154767259,196.62533934130622,216.32448923368892,237.73587856678483,260.94008850628126,286.03157247904795,313.1186561731376,342.313987084437,373.65880263719055,407.16490270322925,442.8511992067733,480.7433093456423,520.8602961955854,563.1120103195948,607.3580585588599,653.4585024229074,701.2734441290382,750.6141195601292,801.1534324497788,852.5506274230265,904.4738906864477,956.585497865764,1008.4267447473375,1059.504098567046,1109.3620100642113,1157.575891764971,1203.6570602245415,1247.1051690934191,1287.4899094844993,1324.4457377888232,1357.5988583587805,1386.610697210032,1411.22754257362,1431.273895415523,1446.6057884389713,1457.1433561648932,1462.8768127865533,1463.8601646858608,1460.1919768814353,1452.0422785967573,1439.6142309045947,1423.1362964921284,1402.8607258142488,1379.1045496911079,1352.2074208777067,1322.4902170699618,1290.2552865682967,1255.8338778447173,1219.5752657919854,1181.7983302735386
I,4.107504480274284,4.554708683389767,5.012875448693016,5.459905421965086,5.882587517238612,6.273283568806546,6.628164385057323,6.945408765642911,7.22493694089998,7.467336538553117,7.6737986130217735,7.846007680349185,7.985619765214809,8.094445051476239,8.174483132901234,8.227644793822526,8.255751430670209,8.260672848677329,8.244268708277176,8.208304188801916,8.15445468587302,8.084315478047724,7.9994621908192505,7.9014008865948995,7.791548759789073,7.671235500930474,7.541703296662112,7.404109695720624,7.2595633395792465,7.109117634778254,6.953750043443752,6.794361937243451,6.631778597386658,6.466749214624286,6.2999468892488615,6.1319793876379975,5.963449710195841,5.79490956008282,5.626858146328316,5.45974480110068,5.293968979707246,5.129880260594318,4.967778345347181,4.807913058690083,4.650484348486264,4.495658273542347,4.343692113541931,4.194758492974695,4.048983034720848,3.909482341244808,3.7877310413033953,3.6931562227339954,3.630586750561038,3.6032910774266433,3.612867830946111,3.6610273108258644,3.7494123987623715,3.8793008104117934,4.052556802918492,4.271538630447061,4.538723512910215,4.8570925980383945,5.23027528559597,5.662547468061717,6.158696749037055,6.724006492581419,7.364596950273838,8.087457805538193,8.900448173643241,9.812324769013909,10.8329106667215,11.972734595135094,13.243743570159843,14.659456920719657,16.234966288757008,17.986935629233127,19.933782290600675,22.096004905703076,24.494638707251895,27.153639477262168,30.100225745637704,33.36487879017126,36.981342636543985,40.98695276292492,45.42246190236834,50.32680240210618,55.74459442041778,61.72740310616043,68.33373859876865,75.62905602825538,83.68597679682992,92.57698384389029,102.36815568007849,113.13686839055237,124.97364678592155,137.98216440224775,152.27924350104496,167.98493019229642,185.19330632210495,204.00629244448916,224.54465066467532,246.94798407121635,271.3747194288394,297.97228764470174,326.8333597647869,358.05975015175045,391.7715875491683,428.107315081539,467.21085413419564,509.1305105892568,553.8758183918018,601.4660546643096,651.9296614780951,705.2866714579364,761.4134665497534,820.1214199891004,881.2233775311291,944.5330738558548,1009.8009161638039,1076.5978709934266,1144.4782698786703,1213.0087375585003,1281.748772591522,1350.1016020687669,1417.426274899908,1483.1308415465533,1546.6631936094313,1607.388730716919,1664.6581227889167,1717.9116376692089,1766.6723202225226,1810.4528108892496,1848.811135090619,1881.4141166291606,1908.0289188745355,1928.4638675943334,1942.6101723142933,1950.4496460161868,1952.0467035834076,1947.5241643165136,1937.0979365449537,1921.0276382425186,1899.6065550643202,1873.1597114126178,1842.097283581146,1806.8598607671397,1767.8646703872794,1725.505897105478,1680.2163008187035,1632.4530364847183,1582.6345007168031
J,0.718813284048,0.798097231055062,0.8846252368788714,0.9778776057472625,1.0772130482463058,1.1817610189755563,1.2904533494796158,1.402054470713406,1.5152563292435828,1.628739472069998,1.7412264806636433,1.8515107585833315,1.9585217222844034,2.061319641261481,2.159074789949359,2.2511115746301837,2.3369128175391687,2.4160696140820512,2.488280655785442,2.553353269232639,2.611199475821684,2.661822364060956,2.7052711594293672,2.7416826351918555,2.77123255908767,2.794130691492823,2.8106207854200864,2.8209707188565663,2.82545436214503,2.8244152884726796,2.81819496783655,2.8071240553874692,2.7915223914300564,2.771699001422719,2.747952095977661,2.7205667600041314,2.689844171635222,2.65611946657684,2.6197082286974007,2.5809032724657195,2.539974642951014,2.497169615822907,2.452712697351421,2.406805624406981,2.359627364460418,2.3113453189112656,2.262202379514118,2.2123893785668325,2.1620687269533323,2.1135614232437607,2.0752393011226005,2.0541847705087464,2.054304989719121,2.078530189884876,2.1287089383842845,2.2068704237048253,2.3150890254208085,2.4552834523240863,2.6298950223956665,2.841825614506481,3.0941992850360154,3.3906599888334004,3.7354893299104885,4.133606603920044,4.590529440128423,5.1123755860217255,5.706183385640086,6.379970247771719,7.142732645952928,8.004479262016943,8.976509514995941,10.071115709836814,11.302318970472479,12.686034703724738,14.24007259930411,15.984136629809994,17.940033753948402,20.132410914166513,22.587326449585156,25.33456178252081,28.40797443006549,31.845498004086927,35.689142211227946,39.98539142415041,44.78625579948374,50.144181255068816,56.119214003335244,62.78031009911251,70.2053354396291,78.48106576451399,87.7037131687962,97.97496049821893,109.39422458138971,122.07649949906637,136.15454475959424,151.77888529890672,169.11781148052515,188.350451434003,209.6386743127684,233.15883361592,259.1154495043703,287.74121163486876,319.2969671657938,354.0438110680775,392.1950057594079,433.9832555148719,479.6734523585265,529.562676063401,583.9662166715108,643.1010515711527,707.1452805648128,776.2977357558622,850.7776768078228,930.8022531752946,1016.407692907809,1107.5409561051924,1204.1453633054125,1306.1599584261464,1413.4252991672372,1525.500813511136,1641.890000594515,1762.0824127920266,1885.5232105405607,2011.3611981409474,2138.610704166795,2266.310662500275,2393.5105629481145,2519.0445304805226,2641.632574470585,2760.0996199750234,2873.3672842629094,2980.2571795342965,3079.5926349284096,3170.3835245283667,3251.8146344137035,3323.0879869799846,3383.5207172580804,3432.639657072607,3470.1687823020916,3495.927145826632,3509.9006648845293,3512.227595441239,3503.1841534007,3483.148285251671,3452.6535916363173,3412.356031637726,3362.9230459960945,3305.033676573305,3239.4662012263243,3167.073016315876,3088.6705649593027
