EpiState,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
S,1.0567861800508432e7,1.0555823219665235e7,1.0542234024870321e7,1.0527062395109076e7,1.051022467229084e7,1.049160036638419e7,1.047104139530082e7,1.044837575993539e7,1.0423411019452263e7,1.039593485610296e7,1.0365715076391395e7,1.0332500313586863e7,1.0296019158350749e7,1.0255981160707565e7,1.0212074655180398e7,1.016396667022209e7,1.0111307192846308e7,1.00537295022034e7,9.990846909708615e6,9.922254244642876e6,9.847541962968301e6,9.766296326392487e6,9.678094716796504e6,9.582508702297729e6,9.479135164044479e6,9.367598663766082e6,9.24754283726389e6,9.11863396825614e6,8.980612312973788e6,8.833301202639896e6,8.676585430623489e6,8.510414716321493e6,8.334873010618557e6,8.15018867109754e6,7.956687551387831e6,7.754796119107646e6,7.545119326448768e6,7.328426494905019e6,7.105575807726366e6,6.877518223287883e6,6.645369802932854e6,6.410343207982628e6,6.173666457149501e6,5.936593603877995e6,5.700452283418067e6,5.466531589631697e6,5.236032459494738e6,5.0100952339856755e6,4.789806948358783e6,4.576109027145374e6,4.369788765786865e6,4.1715256114690625e6,3.9818682462493125e6,3.8012042215081835e6,3.6297748411181085e6,3.4677203864094513e6,3.31506272065164e6,3.1717122338887756e6,3.0374903617586805e6,2.912152857321652e6,2.795396833969813e6,2.6868732760452577e6,2.586199670006172e6,2.4929662791303974e6,2.406752034278553e6,2.3271403939101496e6,2.253718973612678e6,2.186072912381373e6,2.1237965543392776e6,2.0665079492974135e6,2.0138486686507117e6,1.9654707980672203e6,1.9210402605124542e6,1.8802495014528784e6,1.8428176960309036e6,1.8084797523891013e6,1.776981473944988e6,1.748090858236916e6,1.7215979170901878e6,1.6973104766175277e6,1.6750435576841843e6,1.6546279480611845e6,1.6359106070631067e6,1.6187542230041383e6,1.603029078138616e6,1.588613676105764e6,1.575397923426583e6,1.5632826270279952e6,1.5521785657888635e6,1.5420003743887215e6,1.5326695449794224e6,1.5241147860888417e6,1.5162718061170047e6,1.5090829531091587e6,1.5024932122123556e6,1.4964518220209891e6,1.4909125971502222e6,1.4858336107425804e6,1.4811771944679604e6,1.4769089520303484e6,1.4729957970907772e6,1.4694079285588819e6,1.4661180262802786e6,1.4631012182021933e6,1.460335080373462e6,1.4577993675791859e6,1.455474446829641e6,1.4533427134561704e6,1.4513880305296746e6,1.4495955692082506e6,1.4479518087371893e6,1.4464445364489786e6,1.445062735693058e6,1.4437956388447166e6,1.4426337363868777e6,1.4415683435115165e6,1.4405914164876062e6,1.4396955526611262e6,1.4388739904550493e6,1.4381206093693546e6,1.4374298913120853e6,1.4367964052571377e6,1.4362154277246466e6,1.43568269017907e6,1.435194213943997e6,1.4347463102021427e6,1.4343355799953477e6,1.4339589142245816e6,1.433613493649943e6,1.4332967838717678e6,1.4330062991488134e6,1.4327398444134907e6,1.4324954811287068e6,1.4322713991151238e6,1.4320659165511623e6,1.431877479972998e6,1.4317046642745624e6,1.4315461727075446e6,1.4314008368813894e6,1.4312676167632986e6,1.4311455469775265e6,1.431033630055893e6,1.430930985486725e6,1.4308368076558446e6,1.4307503632410222e6,1.430670991211979e6,1.4305981028303856e6,1.4305311816498635e6,1.430469783515983e6,1.4304135365662628e6,1.430362141230174e6
E,37310.13064838208,39737.50564236196,42999.926123845464,46941.94058712064,51488.01142205913,56611.88373523441,62316.95742661862,68627.53540190801,75580.16096506588,83220.9980443973,91603.80440101608,100787.22110838964,110835.01399416337,121812.23593759994,133789.31243841135,146842.2350382066,161042.55050299168,176458.32732354707,193163.76663080082,211237.68916185753,230737.62723919994,251707.79568759908,274198.36329984834,298262.33704246674,323905.70967113925,351098.1461080093,379812.91390009166,410024.23264486564,441629.67414458824,474454.56673565885,508329.3383868511,543088.4461732426,578462.3299574091,614081.8131058866,649600.1090535028,684691.6601051613,718913.36288214,751741.0710951759,782720.7542337035,811457.5624040028,837448.8659820067,860194.5578434806,879331.0615412729,894589.3487521515,905628.0247127954,912213.8743394022,914291.1338224973,911877.6392922706,904974.5575310781,893730.59082113,878444.7335510759,859413.2347266191,836956.1138111758,811492.475614349,783503.4800541473,753410.8950626376,721651.15205242,688682.5392158956,654941.8599357958,620807.0838450192,586633.5573018523,552742.8649957541,519406.94915061543,486867.26493617747,455330.062037685,424942.50946592557,395797.8233180332,367990.22317763104,341596.62514135026,316644.54738952185,293114.9302319667,270998.11245106097,250292.74595185107,230963.38788938583,212940.1069850443,196158.90066717644,180583.72611051952,166159.4394581707,152810.6111064428,140455.79774331005,129047.46035214653,118533.92815771072,108851.97853984682,99928.18272656818,91707.58975461758,84150.57074795032,77211.19057727593,70837.59600542123,64974.92029458224,59587.60275507519,54645.682502921634,50115.801744506265,45961.5522605668,42144.54929035203,38638.94943356267,35425.17529585732,32481.75245079998,29785.71344657004,27312.597805962352,25039.58301140906,22954.03916008399,21043.501612580767,19294.71081012295,17693.680016113023,16225.695316132435,14876.107667283557,13636.710213907085,12500.787796386461,11461.027172689175,10509.770748495524,9639.016577198609,8840.418359904352,8105.609683215433,7430.171494752555,6810.825301053213,6243.839349011857,5725.311430696801,5251.168883350202,4817.168589388065,4418.896976400261,4051.8905192568795,3714.0177871694527,3403.9831202383866,3120.1103115843316,2860.615539588523,2623.607367892778,2407.086745399497,2208.9470062716596,2026.9738699328425,1858.8624482140501,1703.4567472581919,1560.5482475554456,1429.6383991881705,1310.1165744851364,1201.2600680215244,1102.2340966189229,1012.091799345334,929.7742375151669,854.1103946892442,783.8171766747942,717.9446229342859,656.8903330525776,600.826070185706,549.7663596282465,503.58652470877445,462.02268678986684,424.6717652680998,390.99147757405143,360.30033917229844,331.7776635614197,304.4635622739942
Ia,21416.28079983699,24426.909683060207,27445.87823182287,30593.9494484253,33955.20712372439,37592.76597393563,41558.93986828569,45899.870979476094,50660.138924061685,55884.236217268466,61617.73703067229,67908.66526931884,74807.42518726764,82368.69872050009,90648.69015036053,99704.808455666,109600.46369461661,120403.29289205043,132178.4485516527,144988.66932628414,158906.10768427062,174004.90670477055,190347.38131723713,207984.59802814724,226978.03059446195,247389.24568355444,269251.8687945611,292571.69472223247,317360.9986596191,343631.06462068396,371342.65659483836,400405.2922868758,430730.2691450627,462226.0458114292,494728.94136150356,528003.5517113046,561823.2830218073,595957.4617442553,630094.2380659127,663849.9504409558,696885.1554225157,728859.3700907808,759365.7817822201,787964.5984770294,814316.9155500205,838088.8677735358,858915.5595497212,876478.8995737134,890587.4417497492,901062.559183208,907735.0804964744,910552.5184043987,909553.214844652,904792.3706272636,896362.7689050963,884468.9033318141,869348.9193962833,851252.3663621936,830464.0319226033,807313.4495914658,782129.4694972293,755241.858572145,726989.1463471963,697686.1734242557,667627.9511416958,637109.6380957658,606421.8974858668,575797.5505232769,545430.9572706146,515514.78279499715,486238.21259064344,457737.78459322004,430101.68563186587,403419.50008644327,377783.8020156894,353254.74353630777,329842.1922604431,307558.4919655984,286421.74701128085,266443.17727703316,247591.08177799438,229831.66284048496,213139.12185010494,197494.44307414515,182858.50891510257,169176.69777195854,156402.29835992563,144496.4580998002,133425.34882903702,123138.61969679997,113583.79966639611,104715.517995506,96495.17452499678,88889.82331534967,81857.65601662567,75354.87876763001,69343.23951275928,63789.52164060481,58665.54398395346,53944.7969476654,49594.10302596248,45583.64608256316,41887.036685071376,38481.22857102611,35346.51864790141,32465.637528837946,29817.21851133834,27381.340009407264,25140.428908513248,23078.879841901562,21183.055190594187,19441.285083389925,17843.480214407613,16377.010483873326,15030.190203496591,13792.82747685689,12655.766083403314,11610.885478454584,10651.100793198986,9770.362834694492,8963.515468543923,8223.855159570447,7545.138533502808,6922.070612530139,6349.865895792455,5824.248359380645,5341.451456336471,4898.218116652577,4491.800747272487,4119.941541539265,3779.6365621954856,3467.6541827966653,3181.360792623012,2918.3991978671315,2676.688621634028,2454.4247039411043,2250.0795017181586,2062.4014888073834,1890.4155559633725,1733.423010853109,1590.6026213497146,1460.1248676016414,1340.5005735968884,1230.4687486476603,1128.9797806982792,1035.1954363251918,948.4888607369626,868.4445777742795,794.8584899099501,727.7378782489026,667.301402528192
Is,8684.53894145443,9913.643424305574,11145.30337026728,12429.108669661418,13799.554850246666,15282.502136141837,16899.356152942273,18668.971699946942,20609.54761101774,22739.23373242239,25076.61190093372,27641.25758676216,30453.712703620502,33536.266160151405,36911.821723322326,40603.76867994379,44637.954674649416,49041.95749953,53842.33480833103,59064.65573489363,64738.35400453546,70893.6865666797,77556.0784993429,84746.36247745938,92489.65248314044,100811.12047394001,109724.52788054281,119232.27180085382,129339.42821084155,140050.69356409064,151350.11978775053,163200.81682547447,175566.6415518633,188410.3050297561,201665.01382133638,215234.63841463553,229026.65018902597,242946.84528981193,256867.7982186536,270632.6910225659,284102.7821219627,297138.89942838915,309574.72565406864,321230.4448904394,331967.54318070126,341649.59482307534,350127.49167176505,357271.30955378443,363003.0224244545,367249.87568231847,369942.9983836464,371061.3243089857,370620.99422143266,368645.02299035474,365171.78485687304,360285.3711483823,354083.588850627,346668.8369039955,338157.8681795869,328685.66516395716,318386.8391677602,307396.29262599756,295852.4308433162,283883.8691566011,271611.0411935633,259154.3887100964,246632.46104734915,234140.0942517648,221756.36988627218,209559.65860586247,197626.88997838114,186013.46788563524,174755.0510227022,163887.87318960435,153449.39211118963,143463.83923411314,133934.95090818612,124867.48993256078,116268.58091079115,108142.55554522602,100476.27801275667,93255.78035005496,86470.36662799581,80112.1174572265,74164.94813542067,68606.48867922816,63417.601146602974,58582.356258215674,54086.88047699939,49910.599288196536,46032.094428174234,42432.84176743245,39097.07658176745,36011.33991066981,33158.585154414606,30520.97381384854,28082.923044011946,25830.89895412354,23753.416607580508,21839.67520131332,20076.179104058465,18450.803416111863,16952.815457676494,15572.840820213818,14302.863366443795,13135.856617582485,12063.139525989447,11076.622800868214,10169.17003953434,9334.44311099536,8566.902155950793,7861.805586792146,7215.053370196905,6621.520546936054,6076.468534518568,5575.76401662805,5115.693197060039,4692.961799722029,4304.695068633435,3948.437767925624,3622.096547518283,3322.954611959789,3048.4836942184006,2796.539221918966,2565.1826749476454,2352.681585451913,2157.509537840563,1978.346168783696,1814.077167212739,1663.7863284127777,1526.2572427334635,1400.183165858359,1284.4989751424243,1178.251149101932,1080.5977674144665,990.8085109189277,908.2646616155276,832.4591026657894,762.9963183925532,699.592394279968,641.9143620566998,589.2236089248021,540.918829298896,496.4907245359347,455.5152332383414,417.65353125400765,382.65203167629414,350.34238484403113,320.64147834151765,293.5514369985217,269.1596228902823
R,29980.453039150376,35206.05799058524,41119.2522563178,47737.43326364885,55100.72365756459,63265.755709498386,72301.9154505297,82289.97079597253,93320.83619754898,105495.5614487001,118925.71136361794,133733.45942444945,150052.29452719985,168027.19815263918,187816.5541412524,209592.48441923736,233539.90791798255,259857.7099995841,288761.7293726361,320484.69471671036,355271.6043463759,393381.9431296187,435094.3527516855,480705.89891917276,530520.8315637995,584851.9798909508,644028.5194182214,708394.9337571295,778289.9234049289,854043.502953227,935990.2845361322,1.0244681477753564e6,1.1197838235496082e6,1.2222050734605964e6,1.331981943916389e6,1.4493442905615205e6,1.5744514840001904e6,1.7073881716948957e6,1.8481953695016776e6,1.9968645086877553e6,2.1532716218819795e6,2.317198006092778e6,2.4883672990587624e6,2.6664304913413674e6,2.8508998357098657e6,3.041212114410108e6,3.236758227968449e6,3.436851479026931e6,3.6406994767481126e6,3.847488518583087e6,4.0563936770879957e6,4.266536831712102e6,4.477018153648219e6,4.686972966339191e6,4.895565189297838e6,5.10196077210616e6,5.30537892900611e6,5.505108925572455e6,5.700498104683438e6,5.890952710434801e6,6.0759582084525535e6,6.255076081329299e6,6.427936461882837e6,6.594257446966954e6,6.753829667782919e6,6.906497318286761e6,7.052159819751824e6,7.190797153612562e6,7.32245035604701e6,7.447188992311162e6,7.565111010367927e6,7.676367542231008e6,7.78115500511249e6,7.879676587176244e6,7.972140260378464e6,8.058778062403357e6,8.139853600008368e6,8.215625204114337e6,8.286342747644453e6,8.352254928177314e6,8.41362956275098e6,8.470726811117196e6,8.52379216747623e6,8.57305722022762e6,8.618756021578928e6,8.661121322788225e6,8.700370565912578e6,8.736706025094066e6,8.770316708778486e6,8.801391775607934e6,8.830111404920267e6,8.85664252714466e6,8.881139132363286e6,8.903743083474968e6,8.924593559342682e6,8.943822281403754e6,8.961550798465842e6,8.97789107242275e6,8.99294547825443e6,9.006809277231814e6,9.019575552853884e6,9.031329400211453e6,9.04214949678887e6,9.052108181106787e6,9.06127145272213e6,9.069699701126335e6,9.077451926996965e6,9.084581642921858e6,9.091138198345503e6,9.097167204494864e6,9.102710534379378e6,9.107806322790967e6,9.112489290475743e6,9.116793447610997e6,9.120749071067156e6,9.124383941946203e6,9.127723878329365e6,9.130792735277133e6,9.133612404829236e6,9.136202816004658e6,9.138582052546937e6,9.140767897476932e6,9.14277589868137e6,9.144620166223146e6,9.146313880049242e6,9.147869289990718e6,9.149297715762714e6,9.15060954696447e6,9.151814243079292e6,9.1529203494154e6,9.153936232486602e6,9.154869281511508e6,9.15572604967276e6,9.15651266850254e6,9.157234847882576e6,9.157897876044123e6,9.158506619568005e6,9.159065523384564e6,9.159578610773688e6,9.160049483364819e6,9.16048148660436e6,9.160878014132708e6,9.161242061384693e6,9.161576380916517e6,9.161883490822459e6,9.162165674734889e6,9.16242498182426e6,9.16266322679912e6,9.16288198990609e6,9.163082616929896e6,9.163266219193341e6
Ihsub,470.6361394597859,550.0514939621997,638.2921821111589,734.905548489624,840.0350513135519,954.2111320571562,1078.219589582705,1213.0465369157266,1359.8247790169967,1519.821793826954,1694.43483184279,1885.1789084335614,2093.6961400465134,2321.740365472916,2571.2162052678527,2844.1834429574596,3142.8012393242366,3469.345791715415,3826.2857590220324,4216.274030737905,4641.978403802892,5106.141636075881,5611.7176628419165,6161.84827098158,6759.504097389136,7407.542604982681,8108.972210383049,8866.926894805461,9684.0449310208,10562.42943889171,11504.158150489688,12511.26131248958,13584.748489402027,14724.469973421194,15929.979411885462,17200.49853730778,18533.498733873254,19924.73872335366,21369.51555636842,22862.534525446226,24395.99454081904,25960.449758415827,27546.223418356407,29142.965365156142,30737.622048361885,32316.60762729808,33866.833001339,35374.61541389501,36824.72956312323,38203.05478211762,39496.83682404412,40693.10885857287,41779.538400591526,42745.969685593496,43584.081566903486,44286.26724066332,44846.962235180355,45262.88056381782,45532.48370477686,45655.880613900925,45635.04796695094,45473.52384262257,45176.12006779883,44749.56535548223,44201.679989432574,43540.59775401424,42774.848079946314,41914.34963415091,40969.61136807922,39950.6495514904,38867.00783322575,37728.72959812866,36546.09063185999,35328.444293827735,34084.18253699232,32821.4967966205,31548.66166946839,30272.988237814945,29000.787688168828,27737.664041637796,26489.237649154,25260.383435598236,24055.139077517735,22876.737303143636,21728.19438709413,20612.19295978502,19530.804685609823,18485.525598264816,17477.346986475935,16507.19286052401,15575.652563922173,14682.967149690057,13829.04708097978,13013.500023118975,12235.916029239477,11495.714402928093,10792.144894354577,10124.31503248359,9491.190125074716,8891.662496122015,8324.665949604429,7789.034602371496,7283.574168441866,6807.064463353142,6358.259404161867,5935.90273851665,5538.811477819972,5165.782849420594,4815.632393579301,4487.203797357305,4179.368894616229,3891.0276660181216,3621.112057013232,3368.618487921624,3132.568082985753,2912.015526367799,2706.0549630966784,2513.8199990680473,2334.483701044299,2167.258596654572,2011.3965008506566,1866.1905714400198,1730.9795231492924,1605.1340441803943,1488.0546086853856,1379.171476766467,1277.944694475984,1183.8640938164176,1096.449292740399,1015.2493826015364,939.8353349331244,869.8269490453091,804.8714137385839,744.6314463476383,688.7852927413579,637.0267273228275,589.0650530293268,544.6251013323316,503.4472322375171,465.28733428475215,429.9178677139812,397.14897725780077,366.8153079644963,338.75669914085756,312.8179320769357,288.84873004604316,266.7037583047533,246.24262409290122,227.32987663358256,209.83500713315453,193.63244878123672
Ihcrit,297.8082264462321,348.13641915824036,404.0646256437935,465.29702369931766,531.917802914421,604.2575630586213,682.809174284456,768.1925165563819,861.1201400707347,962.3894880476893,1072.8796333193118,1193.543596133356,1325.4141596251554,1469.5939275406618,1627.2803316671564,1799.7683947202434,1988.4149584497106,2194.650114326399,2420.0253339303586,2666.2082035722024,2934.874826098402,3227.748391077389,3546.6857897369596,3893.662832175524,4270.547030534,4679.134963779773,5121.31969859145,5599.074753624335,6114.061757019409,6667.606198945261,7261.019711989266,7895.586132955206,8571.947415881945,9290.016581299878,10049.522117645032,10849.98569526338,11689.827093841786,12566.387805670782,13476.719912010249,14417.503880613498,15383.839694454784,16369.789700947973,17369.270368660476,18375.77274321871,19381.079348884454,20376.634164075425,21354.192434326127,22305.13132551062,23219.8483520498,24089.434929309107,24905.842198680228,25660.881120042995,26346.75735114976,26957.049403023706,27486.492143835592,27930.265003869496,28284.835323739597,28548.11059067083,28719.101156683282,28797.853455046996,28785.595396625038,28684.54436471046,28497.72335200985,28229.363963655967,27884.390153475702,27467.927349132704,26985.35368410323,26442.924028102738,25847.26858637518,25204.70835372879,24521.26744563223,23803.28663598667,23057.25506881301,22289.079896418763,21504.061478466032,20707.374232769285,19904.24616963734,19099.29669492938,18296.51341947365,17499.43729725084,16711.62032955211,15936.143519250058,15175.55860763615,14431.908508486387,13707.099669702398,13002.827884304175,12320.402682857472,11660.769675326983,11024.555403394976,10412.344138413962,9824.508633163452,9261.201463129095,8722.366225315001,8207.7551202524,7717.109354514278,7250.062224159136,6806.139866509024,6384.778551834292,5985.324683353618,5607.078578084477,5249.3668191807465,4911.452983931921,4592.582733215569,4291.985395277211,4008.8739657303254,3742.455045905978,3491.981540850145,3256.6938560706144,3035.8439923578617,2828.7017609241807,2634.5547834036774,2452.708491852275,2282.488536534905,2123.2612763579054,1974.408685091674,1835.3339525178806,1705.4652075702518,1584.2555183345678,1471.1828920486673,1365.7502751024492,1267.4854405429462,1175.9422397991257,1090.7033055539646,1011.37147402201,937.5683934795093,868.9345242644107,805.129138776363,745.8303214767144,690.7349688885174,639.5585918165824,592.0304962962575,547.9108137983251,506.97697535285965,469.0162138667579,433.82556412373907,401.21186278434465,370.99174838593825,342.99166134270524,317.0478439456539,293.0063403626139,270.72365223455944,250.0800515045715,230.9712692003183,213.2963147419704,196.95731668477796,181.85952271907146,167.9112996702611,155.0241334988372,143.11262930036978,132.09451130550917,121.89062287998618
D,86.35169684224202,102.47568133341076,121.25833967151685,142.97034987954044,167.87780134004137,196.2573658863479,228.40703693829477,264.6521338364851,305.3519309535087,350.90317237436886,401.74444720139337,458.3605196492736,521.2849373278773,591.1060285327919,668.4698293214019,754.0813471757865,848.7141656752827,953.2141758451094,1068.499835014275,1195.5641830711713,1335.4905274145488,1489.451491694166,1658.703882798126,1844.590131871236,2048.560515057881,2272.166508702856,2517.0408337192644,2784.8971703491998,3077.55591818995,3396.933848601283,3744.9922084590703,4123.733172113582,4535.229272215594,4981.604940070015,5464.9389299076265,5987.255867162337,6550.567630354279,7156.828741817037,7807.796785307391,8505.025750775767,9249.93742340769,10043.719102581126,10887.181027159766,11780.774552641073,12724.696031303865,13718.717230807464,14762.10205716517,15853.691828220255,16991.975272650656,18174.938873457588,19400.065671217402,20664.489400217368,21964.981473466454,23297.923832038297,24659.362057199145,26045.139697019993,27450.892484002456,28872.106902197454,30304.18865843471,31742.499574156882,33182.448247217166,34619.558224216584,36049.498350052105,37468.0370664773,38871.173422677166,40255.22642815414,41616.82302019754,42952.792391140356,44260.25736102068,45536.71169582296,46780.01290151327,47988.278537738384,49159.90606796555,50293.626015197304,51388.49846325,52443.830740557656,53459.14892839053,54434.23135967331,55369.095129201836,56263.963300701005,57119.201443231184,57935.34251851833,58713.06075756279,59453.16769867387,60156.55942051987,60824.22306278582,61457.21320856688,62056.64224091014,62623.673442166306,63159.49126433252,63665.31230573227,64142.356646234795,64591.84484608482,65014.995756131524,65413.012456602606,65787.09207083164,66138.40461550273,66468.08920905518,66777.25407168314,67066.97450324724,67338.29599644845,67592.2325321062,67829.75707632273,68051.80142503863,68259.25620403327,68452.97169634812,68633.76490349231,68802.41630982015,68959.66861814764,69106.22703721125,69242.7592816687,69369.89557209819,69488.22996983533,69598.33125444566,69700.73173881996,69795.93422089987,69884.41430120135,69966.62038281481,70042.97367140483,70113.86817521043,70179.67166426287,70240.73689599281,70297.38541732245,70349.91793354788,70398.61889426866,70443.75649338771,70485.58266911138,70524.33310394934,70560.22722471484,70593.46842025298,70624.25198117112,70652.75071594732,70679.1226424868,70703.51780066504,70726.07825232785,70746.93808129102,70766.2233933409,70784.05231623378,70800.53499969638,70815.77361542551,70829.86329182523,70842.88797305623,70854.92107833219,70866.0325809434,70876.28914911408,70885.75414600248,70894.4876297009,70902.5463532356,70909.98376456693,70916.85000658914,70923.19191713059
Htot,768.4443659060182,898.1879131204402,1042.3568077549523,1200.2025721889413,1371.952854227973,1558.4686951157778,1761.0287638671607,1981.2390534721083,2220.944919087732,2482.2112818746436,2767.314465162103,3078.7225045669165,3419.110299671668,3791.334293013579,4198.4965369350075,4643.951837677703,5131.216197773948,5663.995906041812,6246.311092952391,6882.482234310106,7576.853229901294,8333.890027153271,9158.403452578874,10055.511103157101,11030.05112792314,12086.677568762456,13230.291908974497,14466.001648429798,15798.106688040207,17230.03563783698,18765.177862478955,20406.847445444786,22156.69590528397,24014.486554721057,25979.501529530506,28050.48423257116,30223.325827715038,32491.126529024437,34846.23546837867,37280.038406059735,39779.83423527381,42330.23945936381,44915.49378701688,47518.73810837485,50118.70139724633,52693.24179137349,55221.02543566515,57679.74673940564,60044.57791517304,62292.48971142672,64402.67902272434,66353.98997861588,68126.29575174127,69703.0190886172,71070.57371073912,72216.53224453285,73131.79755891995,73810.99115448866,74251.58486146011,74453.73406894793,74420.64336357599,74158.06820733302,73673.84341980869,72978.92931913822,72086.0701429083,71008.52510314692,69760.20176404955,68357.27366225366,66816.87995445442,65155.35790521919,63388.27527885798,61532.01623411534,59603.345700672995,57617.524190246484,55588.24401545838,53528.871029389775,51452.90783910573,49372.284932744325,47297.30110764247,45237.101338888635,43200.8579787061,41196.5269548483,39230.69768515387,37308.64581163001,35435.294056796534,33615.020844089195,31851.207368467294,30146.295273591808,28501.902389870917,26919.53699893797,25400.161197085625,23944.168612819143,22551.413306294777,21221.255143371374,19953.025383753764,18745.77662708723,17598.284760863593,16509.093584317878,15476.514808428334,14498.74107420649,13574.032768785177,12700.487586303416,11876.156901657438,11099.049858630351,10367.13336989219,9678.357784422626,9030.793018670116,8422.47670549121,7851.476385937164,7315.905558281488,6813.923678019908,6343.7361578703985,5903.600593548138,5491.879764279527,5106.976768077428,4747.34947888568,4411.520170666929,4098.075517402615,3805.6665930929667,3533.00887175702,3278.8819413936017,3042.132811239146,2821.6828287032577,2616.5055182024043,2425.6230021648935,2248.106001030879,2083.0738332523465,1929.6944152931324,1787.1842616289166,1654.8079744181186,1531.8658312293817,1417.737762843634,1311.8483890914433,1213.647660214396,1122.610856865097,1038.238590107172,960.0568014152647,887.6167626750371,820.4950761831711,758.2936746473658,700.6415199485407,647.2290287623722,597.7865771648145,552.0530138828278,509.77524876171367,470.70825276511476,434.61505797501445,401.26675759173827,370.4425059339524,341.92951843866365,315.5230716612228
Dperday,16.12398449116868,18.78265833810613,21.712010208023536,24.90745146050092,28.37956454630656,32.149671051946925,36.245096898190205,40.69979711702378,45.55124142086006,50.84127482702453,56.61607244788023,62.924417678603625,69.82109120491467,77.36380078860988,85.6115178543848,94.63281849949597,104.50001016982675,115.28565916916587,127.06434805689602,139.92634434337702,153.960964279618,169.25239110395972,185.88624907311012,203.97038318664463,223.60599364497463,244.87432501640848,267.85633662993575,292.6587478407512,319.37793041133347,348.05835985778594,378.7409636545116,411.4961001020116,446.3756678544202,483.33398983761265,522.3169372547108,563.3117631919444,606.2611114627542,650.9680434903553,697.2289654683775,744.9116726319199,793.7816791734377,843.4619245786415,893.593525481308,943.9214786627867,994.0211995036005,1043.3848263577047,1091.5897710550887,1138.2834444304006,1182.9636008069288,1225.126797759816,1264.4237289999592,1300.49207324909,1332.9423585718444,1361.4382251608465,1385.777639820849,1405.752786982463,1421.2144181950011,1432.081756237254,1438.3109157221675,1439.948673060281,1437.1099769994178,1429.940125835525,1418.5387164252074,1403.1363561998512,1384.0530054769818,1361.5965920433953,1335.9693709428193,1307.4649698803373,1276.4543348022607,1243.3012056903056,1208.2656362251314,1171.6275302271486,1133.7199472317695,1094.8724480526937,1055.3322773076466,1015.3181878328669,975.0824312827963,934.8637695285154,894.868171499166,855.2381425301932,816.1410752871328,777.7182390444657,740.1069411110687,703.391721846018,667.6636422659661,632.9901457810403,599.429032343269,567.0312012561486,535.817822166219,505.8210413997501,477.0443405025198,449.48819985002706,423.1509100467066,398.01670047108945,374.0796142290201,351.31254467111324,329.68459355241407,309.1648626279659,289.7204315641414,271.321493201164,253.9365356577955,237.5245442165047,222.0443487159089,207.45477899462767,193.7154923148688,180.79320714416338,168.65140632787944,157.25230832744236,146.55841906367777,136.53224445741336,127.13629042946812,118.33439773713438,110.1012846103633,102.40048437428808,95.20248207989677,88.48008030150534,82.20608161344103,76.35328859002865,70.8945038055839,65.80348905243602,61.06523172994552,56.648521329640644,52.53251622545105,48.70096072078744,45.1375991190503,41.82617572364556,38.750434837980904,35.894120765457,33.24119553813321,30.783560918168188,28.498734776194,26.371926539484505,24.395158178263227,22.56045166276412,20.85982896321638,19.28531204985055,17.828922892896216,16.48268346258313,15.238615729141795,14.089676399716081,13.024681230979258,12.033105275975558,11.111502611206538,10.256568170680879,9.4649968884148,8.733483698420303,8.05872353471264,7.43741133130413,6.866242022208407,6.341910541438974,0.0
